der	tam	der	tam	ADV	ADV
spørgsmål	vprašanja	spørgsmål	vprašanje	N;INDF;NEUT;PL	N;NOM;NEUT;PL
alexander	aleksandra	alexander	aleksander	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
alexander	aleksander	alexander	aleksander	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
alexander	alexander	alexander	alexander	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
inde	notri	inde	notri	ADV	ADV
begynder	prične	begynde	pričeti	V;IND;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
tab	izguba	tab	izguba	N;INDF;NEUT;SG	N;NOM;FEM;SG
tab	izguba	tab	izguba	N;INDF;NEUT;SG	N;NOM;FEM;SG
tab	zavihek	tab	zavihek	N;INDF;NEUT;SG	N;NOM;MASC;SG
tab	račun	tab	račun	N;INDF;NEUT;SG	N;NOM;MASC;SG
tab	tab	tab	tab	N;INDF;NEUT;SG	N;NOM;MASC;SG
eksempler	primeri	eksempel	primer	N;INDF;NEUT;PL	N;NOM;MASC;PL
udviklede	razviti	udvikle	razviti	V;PL;PST;V.PTCP	V;PFV;NFIN
fandtes	obstajal	fande	obstajati	V;IND;PRS;FIN;PASS	V;IPFV;MASC;SG;V.PTCP
fandtes	obstajala	fande	obstajati	V;IND;PRS;FIN;PASS	V;IPFV;FEM;SG;V.PTCP
fandtes	obstajali	fande	obstajati	V;IND;PRS;FIN;PASS	V;IPFV;MASC;PL;V.PTCP
højt	visoka	høj	visok	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
højt	glasna	høj	glasen	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
højt	glasen	høj	glasen	ADJ;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
skabt	ustvaril	skabe	ustvariti	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
provinsen	pokrajina	provins	pokrajina	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
provinsen	provinca	provins	provinca	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
slag	udarec	slag	udarec	N;INDF;NEUT;SG	N;NOM;MASC;SG
slag	bitka	slag	bitka	N;INDF;NEUT;SG	N;NOM;FEM;SG
slag	bitko	slag	bitko	N;INDF;NEUT;SG	N;ACC;FEM;SG
slag	udarec	slag	udarec	N;INDF;NEUT;SG	N;NOM;MASC;SG
slag	slap	slag	slap	N;INDF;NEUT;SG	N;NOM;MASC;SG
status	status	status	status	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
status	stanje	status	stanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
træner	trener	træne	trener	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
træner	trener	træne	trener	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
træner	trenerja	træne	trener	N;INDF;MASC+FEM;SG	N;ACC;MASC;SG
træner	trenerka	træne	trenerka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
roller	vloge	rolle	vloga	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
roller	vlog	rolle	vloga	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
kontrakt	pogodba	kontrakt	pogodba	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kontrakt	pogodbo	kontrakt	pogodba	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
kontrakt	naročilo	kontrakt	naročiti	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
tildelt	pripisala	tildele	pripisati	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
italiensk	italijanski	italiensk	italijanski	ADJ;INDF;SG	ADJ;NOM;MASC;SG
italiensk	italijansko	italiensk	italijanski	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
italiensk	italijanska	italiensk	italijanski	ADJ;INDF;SG	ADJ;NOM;FEM;SG
kilde	vir	kilde	vir	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
græsk	grški	græsk	grški	ADJ;INDF;SG	ADJ;NOM;MASC;SG
græsk	grško	græsk	grški	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
græsk	grška	græsk	grški	ADJ;INDF;SG	ADJ;NOM;FEM;SG
enheder	enote	enhed	enota	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
enheder	enot	enhed	enota	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
enheder	subjekti	enhed	subjekt	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
enheder	primerki	enhed	primerek	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
enheder	osebkov	enhed	osebek	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
enheder	osebki	enhed	osebek	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
enheder	naprave	enhed	naprava	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
enheder	naprav	enhed	naprava	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
enheder	pripomočki	enhed	pripomoček	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
regel	pravilo	regel	pravilo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
våben	topovi	våben	top	N;INDF;NEUT;PL	N;NOM;MASC;PL
våben	puške	våben	puška	N;INDF;NEUT;PL	N;NOM;FEM;PL
våben	pištole	våben	pištola	N;INDF;NEUT;PL	N;NOM;FEM;PL
våben	roke	våben	roka	N;INDF;NEUT;PL	N;NOM;FEM;PL
spor	steza	spor	steza	N;INDF;NEUT;SG	N;NOM;FEM;SG
spor	skladbo	spor	skladba	N;INDF;NEUT;SG	N;ACC;FEM;SG
spor	tir	spor	tir	N;INDF;NEUT;SG	N;NOM;MASC;SG
spor	proga	spor	proga	N;INDF;NEUT;SG	N;NOM;FEM;SG
spor	progi	spor	proga	N;INDF;NEUT;SG	N;NOM;FEM;SG
hertug	vojvodo	hertug	vojvoda	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
hertug	duke	hertug	duka	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
hertug	knez	hertug	knez	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
hertug	vojvoda	hertug	vojvoda	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
havet	morje	hav	morje	N;DEF;NEUT;SG	N;NOM;NEUT;SG
havet	ocean	hav	ocean	N;DEF;NEUT;SG	N;NOM;MASC;SG
klar	pripravljena	klar	pripravljen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG;V.PTCP
klar	pripravljen	klar	pripravljen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
klar	jasna	klar	jasen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
klar	jasno	klar	jasen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
venner	prijateljev	ven	prijatelj	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
venner	prijatelji	ven	prijatelj	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
venner	prijatelje	ven	prijatelj	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
west	zahod	west	zahod	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
størrelse	velikost	størrelse	velikost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
størrelse	velikosti	størrelse	velikost	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
lys	sveča	lys	sveča	N;INDF;NEUT;SG	N;NOM;FEM;SG
lys	svečo	lys	sveča	N;INDF;NEUT;SG	N;ACC;FEM;SG
lys	svetloba	lys	svetloba	N;INDF;NEUT;SG	N;NOM;FEM;SG
lys	luč	lys	luč	N;INDF;NEUT;SG	N;NOM;FEM;SG
lys	luci	lys	luca	N;INDF;NEUT;SG	N;NOM;MASC;SG
ekstra	dodaten	ekstra	dodaten	ADJ	ADJ;NOM;INDF;MASC;SG
stift	trd	stiv	trd	ADJ;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
stift	toga	stiv	tog	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
produktion	izhod	produktion	izhod	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
produktion	izpis	produktion	izpis	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
produktion	proizvodnja	produktion	proizvodnja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
produktion	pridelava	produktion	pridelava	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
produktion	produkcija	produktion	produkcija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
produktion	proizvodnjo	produktion	proizvodnja	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
fører	vodi	føre	voditi	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
slægt	rodu	slægge	rod	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
slægt	rod	slægge	rod	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
huset	hiša	hus	hiša	N;DEF;NEUT;SG	N;NOM;FEM;SG
huset	hisa	hus	hisa	N;DEF;NEUT;SG	N;NOM;FEM;SG
huset	hiška	hus	hiška	N;DEF;NEUT;SG	N;NOM;FEM;SG
forældre	starše	forælder	starš	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
forældre	starši	forælder	starš	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
forældre	starši	forælder	starš	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
forældre	staršev	forælder	starš	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
tabte	izgubil	tabe	izgubiti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
fjerde	četrto	fjerde	četrti	ADJ	ADJ;NOM;NEUT;SG
fjerde	četrta	fjerde	četrti	ADJ	ADJ;NOM;FEM;SG
fjerde	četrti	fjerde	četrti	ADJ	ADJ;NOM;MASC;SG
minutter	minut	minut	minuta	N;INDF;NEUT;PL	N;GEN;FEM;PL
minutter	minutah	minut	minuta	N;INDF;NEUT;PL	N;ESS;FEM;PL
minutter	minute	minut	minuta	N;INDF;NEUT;PL	N;NOM;FEM;PL
adgang	dostop	adgang	dostop	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sten	stone	sten	stona	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
sten	kamna	sten	kamn	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
sten	kamen	sten	kamen	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sten	skalo	sten	skala	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
sten	rock	sten	rock	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sten	kamen	sten	kamen	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
sten	skala	sten	skala	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
folketinget	parlament	folketing	parlament	N;DEF;NEUT;SG	N;NOM;MASC;SG
professionel	strokovna	professionel	strokoven	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
professionel	poklicna	professionel	poklicen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
professionel	strokovni	professionel	strokoven	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
huse	hiš	hus	hiša	N;INDF;NEUT;PL	N;GEN;FEM;PL
huse	hiške	hus	hiška	N;INDF;NEUT;PL	N;NOM;FEM;PL
huse	hiše	hus	hiša	N;INDF;NEUT;PL	N;NOM;FEM;PL
vægt	težo	vægt	teža	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
vægt	utež	vægt	utež	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
vægt	teža	vægt	teža	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
football	football	football	football	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
football	nogomet	football	nogomet	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
football	fuzbal	football	fuzbal	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
kraft	sila	kraft	sila	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kraft	force	kraft	force	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
kraft	silo	kraft	sila	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
kraft	power	kraft	power	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
kraft	moč	kraft	moč	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
nordiske	nordijskih	nordisk	nordijski	ADJ;PL	ADJ;GEN;MASC;PL
skriver	piši	skrive	pišati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
skriver	piše	skrive	pisati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
studier	študije	studi	študija	N;INDF;NEUT;PL	N;NOM;FEM;PL
hvid	bela	hvid	bel	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
ønsker	hoče	ønske	hoteti	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
ønsker	želi	ønske	želeti	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
ønsker	želiš	ønske	želeti	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;2;PRS;FIN
besluttede	odločil	beslutte	odločiti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
besluttede	odločila	beslutte	odločiti	V;IND;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
besluttede	odločili	beslutte	odločiti	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;V.PTCP
trak	potegnil	trække	potegniti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
trak	narisal	trække	narisati	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
ridder	vitez	ridder	vitez	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ridder	ser	ridder	ser	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
oprindelig	sprva	oprindelig	sprva	ADV	ADV
oprindelig	prvotno	oprindelig	prvotno	ADV	ADV
oprindelig	prvotno	oprindelig	prvotno	ADV	ADV
seneste	najnovejši	sen	nov	ADJ;DEF;RL	ADJ;NOM;DEF;RL;MASC;SG
seneste	najnovejše	sen	nov	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
flåde	mornarica	flåde	mornarica	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
flåde	ladjevje	flåde	ladjevje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
flåde	floto	flåde	flot	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
flåde	flota	flåde	flot	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
sorte	črne	sort	črn	ADJ;PL	ADJ;NOM;FEM;PL
programmet	program	program	program	N;DEF;NEUT;SG	N;NOM;MASC;SG
angrebet	napad	angreb	napad	N;DEF;NEUT;SG	N;NOM;MASC;SG
planter	rastline	planter	rastlina	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
planter	rastlin	planter	rastlina	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
journalist	novinarka	journalist	novinarka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
journalist	novinarja	journalist	novinar	N;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;SG
journalist	novinar	journalist	novinar	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
journalist	novinarka	journalist	novinarka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
journalist	poročevalec	journalist	poročevalec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
journalist	poročevalka	journalist	poročevalka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
journalist	novinar	journalist	novinar	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
klassen	razred	klasse	razred	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
klassen	pouk	klasse	pouk	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
kvinde	ženska	kvinde	ženska	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kvinde	žensko	kvinde	ženska	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
kvinde	ženska	kvinde	ženska	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kvinde	samica	kvinde	samica	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kvinde	žensko	kvinde	ženska	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
stationen	postajo	station	postaja	N;DEF;MASC+FEM;SG	N;ACC;FEM;SG
stationen	postaja	station	postaja	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
yngre	mlajši	ung	mlad	ADJ;CMPR	ADJ;NOM;DEF;CMPR;MASC;SG
yngre	mlajša	ung	mlad	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
yngre	mlajše	ung	mlad	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
oplysninger	informacije	oplysning	informacija	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
oplysninger	podatki	oplysning	podatek	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
oplysninger	informacije	oplysning	informacija	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
oplysninger	podatki	oplysning	podatek	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
barn	otrok	barn	otrok	N;INDF;NEUT;SG	N;NOM;MASC;SG
svært	težko	svær	težek	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
svært	težka	svær	težek	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
svært	težavna	svær	težaven	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;SG
svært	težko	svær	težek	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
energi	energija	energi	energija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
energi	energijo	energi	energija	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
energi	energetika	energi	energetika	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
foreningen	združenje	forening	združenje	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
joseph	jožef	joseph	jožef	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
landsbyen	vasi	landsby	vas	N;DEF;MASC+FEM;SG	N;GEN;FEM;SG
landsbyen	vasica	landsby	vasica	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
jord	zemlja	jord	zemlja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
jord	umazanija	jord	umazanija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
jord	dežela	jord	dežela	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
jord	kopno	jord	kopno	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
jord	zemljišče	jord	zemljišče	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
jord	zemljo	jord	zemlja	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
jord	zemlja	jord	zemlja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
jord	zemlje	jord	zemlja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
jord	zemljo	jord	zemlja	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
berømte	znani	berømt	znan	ADJ;PL	ADJ;NOM;MASC;PL;V.PTCP
brugere	uporabniki	bruger	uporabnik	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
kaptajn	stotnik	kaptajn	stotnik	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
kaptajn	kapitan	kaptajn	kapitan	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
former	oblike	form	oblika	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
former	oblike	form	oblika	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
former	obrazci	form	obrazec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
religion	religija	religion	religija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
religion	religijo	religion	religija	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
religion	vera	religion	vera	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
levede	živel	leve	živeti	V;IND;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
levede	živeli	leve	živeti	V;IND;PST;FIN;ACT	V;IPFV;MASC;PL;V.PTCP
levede	živela	leve	živeti	V;IND;PST;FIN;ACT	V;IPFV;FEM;SG;V.PTCP
ude	ven	ude	ven	ADV	ADV
ude	zunaj	ude	zunaj	ADV	ADV
grønland	grenlandijo	grønland	grenlandija	N;INDF;NEUT;SG	N;ACC;FEM;SG
møde	seji	møde	seja	N;INDF;NEUT;SG	N;NOM;FEM;SG
møde	srečanje	møde	srečanje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
møde	sestanek	møde	sestanek	N;INDF;NEUT;SG	N;NOM;MASC;SG
efteråret	jesen	efterår	jesen	N;DEF;NEUT;SG	N;NOM;FEM;SG
bayern	bayern	bay	bayern	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
plan	načrt	plan	načrt	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
plan	plan	plan	plan	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
plan	nivo	plan	nivo	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
plan	stopnja	plan	stopnja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
plan	raven	plan	raven	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
betegnelse	poimenovanje	betegnelse	poimenovanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
betegnelse	ime	betegnelse	ime	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
betegnelse	določitev	betegnelse	določitev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
betegnelse	označba	betegnelse	označba	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
betegnelse	poimenovanje	betegnelse	poimenovanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
betegnelse	naslov	betegnelse	naslov	N;INDF;MASC+FEM;SG	N;INAN;ACC;MASC;SG
betegnelse	naziv	betegnelse	naziv	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
north	sever	north	sever	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
materiale	material	materiale	material	N;INDF;NEUT;SG	N;NOM;MASC;SG
materiale	gradivo	materiale	gradivo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
materiale	material	materiale	material	N;INDF;NEUT;SG	N;NOM;MASC;SG
biskop	tekač	biskop	tekač	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
biskop	škof	biskop	škof	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
kirker	cerkve	kirke	cerkev	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
indhold	vsebnost	indhold	vsebnost	N;INDF;NEUT;SG	N;NOM;FEM;SG
indhold	vsebina	indhold	vsebina	N;INDF;NEUT;SG	N;NOM;FEM;SG
indhold	vsebina	indhold	vsebina	N;INDF;NEUT;SG	N;NOM;FEM;SG
maler	barvo	male	barva	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
maler	barva	male	barva	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
maler	sliko	male	slika	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
maler	slikanje	male	slikanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
maler	barvanje	male	barvanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
maler	slika	male	slika	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
maler	slikar	male	slikar	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
timer	urami	time	ura	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
timer	ure	time	ura	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
timer	urah	time	ura	N;INDF;MASC+FEM;PL	N;ESS;FEM;PL
timer	ur	time	ura	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
personlige	osebne	personlig	oseben	ADJ;PL	ADJ;NOM;FEM;PL
stå	stati	stå	stati	V;NFIN;ACT	V;IPFV;NFIN
virksomheder	podjetja	virksomhed	podjetje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
virksomheder	podjetja	virksomhed	podjetje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
virksomheder	zaveze	virksomhed	zaveza	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
virksomheder	podjetja	virksomhed	podjetje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
virksomheder	družbe	virksomhed	družba	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
virksomheder	podjetja	virksomhed	podjetje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
virksomheder	podjetji	virksomhed	podjetje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
umiddelbart	nemudoma	umiddelbart	nemudoma	ADV	ADV
umiddelbart	takoj	umiddelbart	takoj	ADV	ADV
etape	faza	etape	faza	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
etape	oder	etape	oder	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
olympiske	olimpijski	olympisk	olimpijski	ADJ;PL	ADJ;NOM;MASC;PL
forening	združenje	forening	združenje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
opgave	dodeljevanje	opgave	dodeljevanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
opgave	naloga	opgave	naloga	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
opgave	dodelitev	opgave	dodelitev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
opgave	naloga	opgave	naloga	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
opgave	opravilo	opgave	opravilo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
html	html	html	htme	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
oprindelse	izvor	oprindelse	izvor	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
oprindelse	poreklo	oprindelse	poreklo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
oprindelse	poreklo	oprindelse	poreklo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
universitetet	univerza	universitet	univerza	N;DEF;NEUT;SG	N;NOM;FEM;SG
ung	mlad	ung	mlad	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
ung	mlada	ung	mlad	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
ung	mlado	ung	mlad	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
friedrich	friedrich	friedrich	friedrich	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
genre	zvrst	genre	zvrst	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mit	moj	min	moj	DET;NEUT;SG;1	DET;NOM;MASC;SG;1
mit	moja	min	moj	DET;NEUT;SG;1	DET;NOM;FEM;SG;1
mit	moje	min	moj	DET;NEUT;SG;1	DET;NOM;NEUT;SG;1
flyttet	preselil	flytte	preseliti	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
student	dijak	student	dijak	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
student	študent	student	študent	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
student	učenec	student	učenec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
student	študentka	student	študentka	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
student	učenka	student	učenek	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
vært	gostitelja	være	gostitelj	N;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;SG
vært	gostitelj	være	gostitelj	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
