עשורים	десетилетия	עשור	десетилетие	N;MASC;PL	N;INDF;NEUT;PL
ראיונות	разпити	ריאיון	разпитя-(се)	N;MASC;PL	N;INDF;MASC;PL
ראיונות	интервютата	ריאיון	интервюта	N;MASC;PL	N;DEF;NEUT;PL
דלתות	вратите	דלת	врата	N;FEM;PL	N;DEF;FEM;PL
דלתות	врати	דלת	врата	N;FEM;PL	N;INDF;FEM;PL
סכר	язовир	סכר	язовир	N;MASC;SG	N;INDF;MASC;SG
תעודה	удостоверение	תעודה	удостоверение	N;FEM;SG	N;INDF;NEUT;SG
תעודה	сертификат	תעודה	сертификат	N;FEM;SG	N;INDF;MASC;SG
תעודה	свидетелство	תעודה	свидетелство	N;FEM;SG	N;INDF;NEUT;SG
אירוח	гостоприемството	אירוח	гостоприемство	N;MASC;SG	N;DEF;NEUT;SG
אירוח	гостоприемство	אירוח	гостоприемство	N;MASC;SG	N;INDF;NEUT;SG
אירוח	хостинг	אירוח	хостинг	N;MASC;SG	N;INDF;MASC;SG
פרסומות	реклами	פרסום	реклам	N;FEM;PL	N;INDF;FEM;PL
הכרזה	обявяване	הכרזה	обявяване	N;FEM;SG	N;INDF;NEUT;SG
הכרזה	съобщение	הכרזה	съобщение	N;FEM;SG	N;INDF;NEUT;SG
הכרזה	обявление	הכרזה	обявление	N;FEM;SG	N;INDF;NEUT;SG
מדינאי	държавник	מדינאי	държавник	N;MASC;SG	N;INDF;MASC;SG
החופים	плажове	החוף	плаж	N;MASC;PL	N;INDF;MASC;PL
החופים	плажовете	החוף	плаж	N;MASC;PL	N;DEF;MASC;PL
אנונימי	анонимно	אנונימי	анонимно	ADV	ADV
אולמות	зали	אולם	зала	N;MASC;PL	N;INDF;FEM;PL
אולמות	коридори	אולם	коридор	N;MASC;PL	N;INDF;MASC;PL
שרירים	мускулите	שריר	мускул	N;MASC;PL	N;DEF;MASC;PL
שרירים	мускули	שריר	мускул	N;MASC;PL	N;INDF;MASC;PL
שרירים	мускули	שריר	мускул	N;MASC;PL	N;INDF;MASC;PL
גבעות	хълмове	גבעות	хълм	N;FEM;PL	N;INDF;MASC;PL
מתמטיקאים	математици	מתמטיקני	математица	N;MASC;PL	N;INDF;MASC;PL
מימד	измерение	ממד	измерение	N;MASC;SG	N;INDF;NEUT;SG
פלישה	инвазия	פלישה	инвазия	N;FEM;SG	N;INDF;FEM;SG
פלישה	нашествие	פלישה	нашествие	N;FEM;SG	N;INDF;NEUT;SG
פלישה	нахлуване	פלישה	нахлуване	N;FEM;SG	N;INDF;NEUT;SG
עמידה	стойка	עמידה	стойка	N;FEM;SG	N;INDF;FEM;SG
מימוש	осъществяване	מימוש	осъществяване	N;MASC;SG	N;INDF;NEUT;SG
מימוש	прилагане	מימוש	прилагане	N;MASC;SG	N;INDF;NEUT;SG
מימוש	изпълнение	מימוש	изпълнение	N;MASC;SG	N;INDF;NEUT;SG
מימוש	внедряване	מימוש	внедряване	N;MASC;SG	N;INDF;NEUT;SG
הנחות	отстъпки	הנחה	отстъпка	N;FEM;PL	N;INDF;FEM;PL
הנחות	намаления	הנחה	намаление	N;FEM;PL	N;INDF;NEUT;PL
הנחות	предположения	הנחה	предположение	N;FEM;PL	N;INDF;NEUT;PL
הנחות	допускания	הנחה	допускане	N;FEM;PL	N;INDF;NEUT;PL
הנחות	хипотези	הנחה	хипотеза	N;FEM;PL	N;INDF;FEM;PL
נייד	преносим	נייד	преноса	N;MASC;SG	N;INDF;MASC;SG
חשבונות	банкноти	חשבון	банкнот	N;MASC;PL	N;INDF;FEM;PL
חשבונות	сметки	חשבון	сметка	N;MASC;PL	N;INDF;FEM;PL
חשבונות	отчети	חשבון	отчета-(се)	N;MASC;PL	N;INDF;MASC;PL
חשבונות	сметки	חשבון	сметка	N;MASC;PL	N;INDF;FEM;PL
חשבונות	акаунти	חשבון	акаунт	N;MASC;PL	N;INDF;MASC;PL
רכיבים	компоненти	רכיב	компонент	N;MASC;PL	N;INDF;MASC;PL
רכיבים	съставки	רכיב	съставка	N;MASC;PL	N;INDF;FEM;PL
רכיבים	съставките	רכיב	съставка	N;MASC;PL	N;DEF;FEM;PL
תפילות	молитви	תפילות	молитвя	N;FEM;PL	N;INDF;FEM;PL
תפילות	молитвите	תפילות	молитв	N;FEM;PL	N;DEF;FEM;PL
אמנויות	изкуства	אמנות	изкуство	N;FEM;PL	N;INDF;NEUT;PL
אמנויות	изкуствата	אמנות	изкуство	N;FEM;PL	N;DEF;NEUT;PL
גופות	трупове	גופה	труп	N;FEM;PL	N;INDF;MASC;PL
גופות	телата	גופה	тяло	N;FEM;PL	N;DEF;NEUT;PL
גופות	тела	גופה	тяло	N;FEM;PL	N;INDF;NEUT;PL
גופות	трупове	גופה	труп	N;FEM;PL	N;INDF;MASC;PL
צמצום	намаление	צמצום	намаление	N;MASC;SG	N;INDF;NEUT;SG
צמצום	намаляване	צמצום	намаляване	N;MASC;SG	N;INDF;NEUT;SG
צמצום	редуциране	צמצום	редуциране	N;MASC;SG	N;INDF;NEUT;SG
צמצום	редукция	צמצום	редукция	N;MASC;SG	N;INDF;FEM;SG
הזוכים	победители	הזוך	победител	N;MASC;PL	N;INDF;MASC;PL
הזוכים	победителите	הזוך	победител	N;MASC;PL	N;DEF;MASC;PL
ריגול	шпионаж	ריגול	шпионаж	N;MASC;SG	N;INDF;MASC;SG
ריגול	шпионин	ריגול	шпионин	N;MASC;SG	N;INDF;MASC;SG
ריגול	шпионаж	ריגול	шпионаж	N;MASC;SG	N;INDF;MASC;SG
עשן	дим	עשן	дим	N;MASC;SG	N;INDF;MASC;SG
עשן	пушек	עשן	пушек	N;MASC;SG	N;INDF;MASC;SG
סדנאות	семинари	סדנאות	семинар	N;FEM;PL	N;INDF;MASC;PL
החלפה	превключвател	החלפה	превключвател	N;FEM;SG	N;INDF;MASC;SG
החלפה	превключване	החלפה	превключване	N;FEM;SG	N;INDF;NEUT;SG
החלפה	обмяна	החלפה	обмяна	N;FEM;SG	N;INDF;FEM;SG
החלפה	замяна	החלפה	замяна	N;FEM;SG	N;INDF;FEM;SG
החלפה	размяна	החלפה	размяна	N;FEM;SG	N;INDF;FEM;SG
החלפה	обмен	החלפה	обмен	N;FEM;SG	N;INDF;MASC;SG
החלפה	борса	החלפה	борса	N;FEM;SG	N;INDF;FEM;SG
החלפה	суап	החלפה	суап	N;FEM;SG	N;INDF;MASC;SG
החלפה	замяна	החלפה	замяна	N;FEM;SG	N;INDF;FEM;SG
החלפה	размяна	החלפה	размяна	N;FEM;SG	N;INDF;FEM;SG
החלפה	търговия	החלפה	търговия	N;FEM;SG	N;INDF;FEM;SG
פקודות	команди	פקודה	команд	N;FEM;PL	N;INDF;MASC;PL
פקודות	командите	פקודה	команд	N;FEM;PL	N;DEF;MASC;PL
פקודות	нареждания	פקודה	нареждане	N;FEM;PL	N;INDF;NEUT;PL
פקודות	заповеди	פקודה	заповедя	N;FEM;PL	N;INDF;MASC;PL
פקודות	поръчки	פקודה	поръчка	N;FEM;PL	N;INDF;FEM;PL
זיקה	афинитет	זיקה	афинитет	N;FEM;SG	N;INDF;MASC;SG
בודדות	самотни	בודד	самотен	ADJ;FEM;PL	ADJ;INDF;PL
חימום	горещина	חימום	горещина	N;MASC;SG	N;INDF;FEM;SG
חימום	жега	חימום	жега	N;MASC;SG	N;INDF;FEM;SG
חימום	топлина	חימום	топлина	N;MASC;SG	N;INDF;FEM;SG
חימום	нагряване	חימום	нагряване	N;MASC;SG	N;INDF;NEUT;SG
חימום	отопление	חימום	отопление	N;MASC;SG	N;INDF;NEUT;SG
חימום	парно	חימום	парно	N;MASC;SG	N;INDF;NEUT;SG
חימום	подгряване	חימום	подгряване	N;MASC;SG	N;INDF;NEUT;SG
חימום	загряване	חימום	загряване	N;MASC;SG	N;INDF;NEUT;SG
הקלטה	записване	הקלטה	записване	N;FEM;SG	N;INDF;NEUT;SG
הקלטה	запис	הקלטה	запис	N;FEM;SG	N;INDF;MASC;SG
להתנגד	устои	התנגד	устоя	V;NFIN	V;PFV;IND;SG;3;PST;FIN;ACT
לחסל	елиминира	חיסל	елиминирам	V;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
יפים	прекрасни	יפה	прекрасен	ADJ;MASC;PL	ADJ;INDF;PL
קיצונית	радикално	קיצוני	радикален	ADV	ADV
קיצונית	крайно	קיצוני	крайно	ADV	ADV
קיצונית	екстремно	קיצוני	екстремно	ADV	ADV
מולדת	родина	מולדת	родина	N;FEM;SG	N;INDF;FEM;SG
דתות	религии	דתה	религия	N;FEM;PL	N;INDF;FEM;PL
צאצאים	потомци	צאצאי	потомец	N;MASC;PL	N;INDF;MASC;PL
צאצאים	потомците	צאצאי	потомец	N;MASC;PL	N;DEF;MASC;PL
צאצאים	наследници	צאצאי	наследник	N;MASC;PL	N;INDF;MASC;PL
אצבעות	пръстите	אצבע	пръст	N;FEM;PL	N;DEF;MASC;PL
אצבעות	пръстите	אצבע	пръст	N;FEM;PL	N;DEF;MASC;PL
אצבעות	пръсти	אצבע	пръст	N;FEM;PL	N;INDF;MASC;PL
אישורים	потвърждения	אישורים	потвърждение	N;MASC;PL	N;INDF;NEUT;PL
אישורים	разрешителни	אישורים	разрешителен	N;MASC;PL	N;INDF;MASC;PL
אישורים	разрешения	אישורים	разрешение	N;MASC;PL	N;INDF;NEUT;PL
תוקן	поправено	תוקן	поправя-(се)	V;MASC;SG;3;PST;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
תוקן	поправен	תוקן	поправя-(се)	V;MASC;SG;3;PST;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
תוקן	поправена	תוקן	поправя-(се)	V;MASC;SG;3;PST;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
תוקן	фиксирана	תוקן	фиксирам	V;MASC;SG;3;PST;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
תוקן	поправен	תוקן	поправя-(се)	V;MASC;SG;3;PST;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
תוקן	фиксиран	תוקן	фиксирам	V;MASC;SG;3;PST;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
תוקן	поправено	תוקן	поправя-(се)	V;MASC;SG;3;PST;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
תוקן	коригиран	תוקן	коригирам	V;MASC;SG;3;PST;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
תוקן	поправена	תוקן	поправя-(се)	V;MASC;SG;3;PST;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
תוקן	коригирана	תוקן	коригирам	V;MASC;SG;3;PST;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
נחיתה	кацане	נחיתה	кацане	N;FEM;SG	N;INDF;NEUT;SG
נחיתה	приземяване	נחיתה	приземяване	N;FEM;SG	N;INDF;NEUT;SG
נחיתה	разтоварване	נחיתה	разтоварване	N;FEM;SG	N;INDF;NEUT;SG
נחיתה	приземяването	נחיתה	приземяване	N;FEM;SG	N;DEF;NEUT;SG
יוזמה	инициатива	יוזמה	инициатива	N;FEM;SG	N;INDF;FEM;SG
ביולוגיה	биология	None	биология	N	N;INDF;FEM;SG
ביולוגיה	биография	None	биография	N	N;INDF;FEM;SG
ביולוגיה	био	None	бий	N	N;INDF;MASC;SG
ביולוגיה	биология	None	биология	N	N;INDF;FEM;SG
ביולוגיה	биологията	None	биология	N	N;DEF;FEM;SG
אבטחה	сигурност	אבטחה	сигурност	N;FEM;SG	N;INDF;FEM;SG
אבטחה	охрана	אבטחה	охрана	N;FEM;SG	N;INDF;FEM;SG
נשאו	носени	נשא	нося-(се)	V;PL;3;PST	V;IPFV;INDF;PL;V.PTCP;PASS
מתוכנן	насрочено	תוכנן	насроча	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
מתוכנן	планирано	תוכנן	планирам	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
מתוכנן	планирана	תוכנן	планирам	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
מתוכנן	планирано	תוכנן	планирам	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
מתוכנן	планиран	תוכנן	планирам	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
מתוכנן	проектирано	תוכנן	проектирам	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
מתוכנן	проектирана	תוכנן	проектирам	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
מתוכנן	проектиран	תוכנן	проектирам	V;MASC;SG;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
הוחלפו	сменени	הוחלף	сменя-(се)	V;PL;3;PST;PASS	V;PFV;INDF;PL;V.PTCP;PASS
הוחלפו	сменени	הוחלף	сменя-(се)	V;PL;3;PST;PASS	V;PFV;INDF;PL;V.PTCP;PASS
הוחלפו	разменени	הוחלף	разменя	V;PL;3;PST;PASS	V;PFV;INDF;PL;V.PTCP;PASS
אינסוף	безкрайност	אינסוף	безкрайност	N;MASC;SG	N;INDF;FEM;SG
אינסוף	безкрайността	אינסוף	безкрайност	N;MASC;SG	N;DEF;FEM;SG
שוד	грабеж	שוד	грабеж	N;MASC;SG	N;INDF;MASC;SG
שוד	грабеж	שוד	грабеж	N;MASC;SG	N;INDF;MASC;SG
שוד	обир	שוד	обир	N;MASC;SG	N;INDF;MASC;SG
ניירות	хартии	נייר	хартия	N;MASC;PL	N;INDF;FEM;PL
ניירות	документи	נייר	документ	N;MASC;PL	N;INDF;MASC;PL
ניירות	вестници	נייר	вестник	N;MASC;PL	N;INDF;MASC;PL
המציא	измислил	המציא	измисля	V;MASC;SG;3;PST;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
המציא	изобретил	המציא	изобретя	V;MASC;SG;3;PST;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
שנאה	омраза	שנאה	омраза	N;FEM;SG	N;INDF;FEM;SG
שנאה	ненавист	שנאה	ненавист	N;FEM;SG	N;INDF;FEM;SG
שנאה	омраза	שנאה	омраза	N;FEM;SG	N;INDF;FEM;SG
שנאה	омразата	שנאה	омраза	N;FEM;SG	N;DEF;FEM;SG
סחורות	стоки	סחורה	стока	N;FEM;PL	N;INDF;FEM;PL
סחורות	стоки	סחורה	стока	N;FEM;PL	N;INDF;FEM;PL
עומס	натоварване	עומס	натоварване	N;MASC;SG	N;INDF;NEUT;SG
עומס	зареждане	עומס	зареждане	N;MASC;SG	N;INDF;NEUT;SG
עומס	товар	עומס	товар	N;MASC;SG	N;INDF;MASC;SG
עומס	претоварване	עומס	претоварване	N;MASC;SG	N;INDF;NEUT;SG
המחוקקת	законодател	המחוקק	законодател	N;FEM;SG	N;INDF;MASC;SG
מעבורת	совалката	מעבורת	совалка	N;FEM;SG	N;DEF;FEM;SG
מעבורת	совалка	מעבורת	совалка	N;FEM;SG	N;INDF;FEM;SG
מעבורת	ферибот	מעבורת	ферибот	N;FEM;SG	N;INDF;MASC;SG
מעבורת	ферибота	מעבורת	ферибот	N;FEM;SG	N;DEF;MASC;SG
מעבורת	фери	מעבורת	фера	N;FEM;SG	N;INDF;MASC;SG
עותק	копиране	עותק	копиране	N;MASC;SG	N;INDF;NEUT;SG
עותק	копие	עותק	копие	N;MASC;SG	N;INDF;NEUT;SG
גופה	тялото	גופה	тяло	N;FEM;SG	N;DEF;NEUT;SG
גופה	тяло	גופה	тяло	N;FEM;SG	N;INDF;NEUT;SG
גופה	труп	גופה	труп	N;FEM;SG	N;INDF;MASC;SG
משקה	пий	משקה	пий	N;MASC;SG	N;INDF;MASC;SG
משקה	питие	משקה	питие	N;MASC;SG	N;INDF;NEUT;SG
משקה	напитка	משקה	напитка	N;MASC;SG	N;INDF;FEM;SG
אחורה	назад	אחורה	назад	ADV	ADV
אחורה	обратно	אחורה	обратно	ADV	ADV
תעסוקה	заетост	תעסוקה	заетост	N;FEM;SG	N;INDF;FEM;SG
הסוגים	типове	הסוג	тип	N;MASC;PL	N;INDF;MASC;PL
הסוגים	видове	הסוג	вид	N;MASC;PL	N;INDF;MASC;PL
משלים	допълване	משל	допълване	N;MASC;SG	N;INDF;NEUT;SG
משלים	допълнение	משל	допълнение	N;MASC;SG	N;INDF;NEUT;SG
אחרונים	последни	אחרון	последен	ADJ;MASC;PL	ADJ;INDF;PL
אחרונים	скорошни	אחרון	скорошен	ADJ;MASC;PL	ADJ;INDF;PL
דרשה	проповед	דרשה	проповед	N;FEM;SG	N;INDF;FEM;SG
בוגרת	зряла	בוגר	зряд	N;FEM;SG	N;INDF;FEM;SG
שייכות	значимост	שייכות	значимост	N;FEM;SG	N;INDF;FEM;SG
שייכות	принадлежност	שייכות	принадлежност	N;FEM;SG	N;INDF;FEM;SG
סעיפים	клаузите	סעיף	клауза	N;MASC;PL	N;DEF;FEM;PL
סעיפים	клаузи	סעיף	клауза	N;MASC;PL	N;INDF;FEM;PL
שהתגלה	открит	שהגלל	открия-(се)	V;MASC;SG;3;PST	V;PFV;INDF;MASC;SG;V.PTCP;PASS
שהתגלה	открита	שהגלל	открия-(се)	V;MASC;SG;3;PST	V;PFV;INDF;FEM;SG;V.PTCP;PASS
חוט	тел	חוט	тел	N;MASC;SG	N;INDF;FEM;SG
חוט	жица	חוט	жиц	N;MASC;SG	N;INDF;FEM;SG
חוט	нишка	חוט	нишка	N;MASC;SG	N;INDF;FEM;SG
חוט	конец	חוט	конец	N;MASC;SG	N;INDF;MASC;SG
עיתונאית	журналист	עיתונאית	журналист	N;FEM;SG	N;INDF;MASC;SG
עיתונאית	журналистка	עיתונאית	журналистка	N;FEM;SG	N;INDF;FEM;SG
מסוק	хеликоптер	מסוק	хеликоптер	N;MASC;SG	N;INDF;MASC;SG
הרישיון	лиценз	הרישיון	лиценз	N;MASC;SG	N;INDF;MASC;SG
הרישיון	книжка	הרישיון	книжка	N;MASC;SG	N;INDF;FEM;SG
הרישיון	книжката	הרישיון	книжка	N;MASC;SG	N;DEF;FEM;SG
פרידה	раздяла	פרידה	раздяла	N;FEM;SG	N;INDF;FEM;SG
פרידה	скъсване	פרידה	скъсване	N;FEM;SG	N;INDF;NEUT;SG
פרידה	сбогом	פרידה	сбогом	N;FEM;SG	N;INDF;MASC;SG
פרידה	раздяла	פרידה	раздяла	N;FEM;SG	N;INDF;FEM;SG
פרידה	раздялата	פרידה	раздяла	N;FEM;SG	N;DEF;FEM;SG
פרידה	фрида	פרידה	фридам	N;FEM;SG	N;INDF;FEM;SG
טונות	тонове	טונה	тон	N;FEM;PL	N;INDF;MASC;PL
התמקד	фокусиран	התמקד	фокусирам	V;MASC;SG;3;PST	V;PFV;INDF;MASC;SG;V.PTCP;PASS
התמקד	фокусирана	התמקד	фокусирам	V;MASC;SG;3;PST	V;PFV;INDF;FEM;SG;V.PTCP;PASS
התמקד	съсредоточен	התמקד	съсредоточен	V;MASC;SG;3;PST	V;PFV;INDF;MASC;SG;V.PTCP;PASS
התמקד	съсредоточена	התמקד	съсредоточа	V;MASC;SG;3;PST	V;PFV;INDF;FEM;SG;V.PTCP;PASS
סטטיסטיקה	статистика	סטטיסטיקה	статистика	N;FEM;SG	N;INDF;FEM;SG
סטטיסטיקה	статистиката	סטטיסטיקה	статистика	N;FEM;SG	N;DEF;FEM;SG
סטטיסטיקה	статистика	סטטיסטיקה	статистика	N;FEM;SG	N;INDF;FEM;SG
סטטיסטיקה	статистика	סטטיסטיקה	статистика	N;FEM;SG	N;INDF;FEM;SG
מבצעית	оперативно	מבצעי	оперативно	ADV	ADV
גלוי	видима	גלוי	видим	ADJ;MASC;SG	ADJ;INDF;FEM;SG
אסטרטגית	стратегическо	אסטרטגי	стратегически	ADV	ADV
צירים	панти	ציר	панта	N;MASC;PL	N;INDF;FEM;PL
צירים	контракции	ציר	контракция	N;MASC;PL	N;INDF;FEM;PL
תצפיות	забележки	תצפית	забележка	N;FEM;PL	N;INDF;FEM;PL
תצפיות	наблюдения	תצפית	наблюдение	N;FEM;PL	N;INDF;NEUT;PL
חרדה	тревожност	חרדה	тревожност	N;FEM;SG	N;INDF;FEM;SG
חרדה	безпокойство	חרדה	безпокойство	N;FEM;SG	N;INDF;NEUT;SG
פער	празнина	פער	празнина	N;MASC;SG	N;INDF;FEM;SG
פער	пролука	פער	пролука	N;MASC;SG	N;INDF;FEM;SG
טורים	колони	טור	колона	N;MASC;PL	N;INDF;FEM;PL
סבב	завъртане	סבב	завъртане	N;MASC;SG	N;INDF;NEUT;SG
סבב	въртене	סבב	въртене	N;MASC;SG	N;INDF;NEUT;SG
עמותה	сдружение	עמותה	сдружение	N;FEM;SG	N;INDF;NEUT;SG
עמותה	асоциация	עמותה	асоциация	N;FEM;SG	N;INDF;FEM;SG
עמותה	асоцииране	עמותה	асоцииране	N;FEM;SG	N;INDF;NEUT;SG
טכניקה	техниката	טכניקה	техника	N;FEM;SG	N;DEF;FEM;SG
טכניקה	техника	טכניקה	техника	N;FEM;SG	N;INDF;FEM;SG
ארטילריה	артилерията	ארטילריה	артилерия	N	N;DEF;FEM;SG
ארטילריה	артилерия	ארטילריה	артилерия	N	N;INDF;FEM;SG
עמיתים	колеги	עמית	колега	N;MASC;PL	N;INDF;MASC;PL
עמיתים	колеги	עמית	колега	N;MASC;PL	N;INDF;MASC;PL
בסיסים	основи	בסיס	основа	N;MASC;PL	N;INDF;FEM;PL
בסיסים	бази	בסיס	база	N;MASC;PL	N;INDF;FEM;PL
הוכח	доказан	הוכח	докажа	V;MASC;SG;3;PST;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
הוכח	доказана	הוכח	докажа	V;MASC;SG;3;PST;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
הוכח	доказано	הוכח	докажа	V;MASC;SG;3;PST;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
חירות	свобода	חירות	свобода	N;FEM;SG	N;INDF;FEM;SG
חירות	либърти	חירות	либърт	N;FEM;SG	N;INDF;MASC;SG
חירות	свобода	חירות	свобода	N;FEM;SG	N;INDF;FEM;SG
יונים	йони	יון	сона	N;MASC;PL	N;INDF;FEM;PL
יונים	гълъбите	יון	гълъб	N;MASC;PL	N;DEF;FEM;PL
יונים	гълъби	יון	гълъб	N;MASC;PL	N;INDF;FEM;PL
יונים	гълъби	יון	гълъб	N;MASC;PL	N;INDF;FEM;PL
אוסטרים	австрийци	אוסטרי	австриец	N;MASC;PL	N;INDF;MASC;PL
קיטור	пара	קיטור	парам-се	N;MASC;SG	N;INDF;FEM;SG
קיטור	парна	קיטור	парна	N;MASC;SG	N;INDF;FEM;SG
קיטור	парата	קיטור	пара	N;MASC;SG	N;DEF;FEM;SG
ממלכות	царства	ממלכה	царство	N;FEM;PL	N;INDF;NEUT;PL
ממלכות	кралства	ממלכה	кралство	N;FEM;PL	N;INDF;NEUT;PL
ממלכות	царства	ממלכה	царство	N;FEM;PL	N;INDF;NEUT;PL
הברכה	благословията	הברכה	благослов	N;FEM;SG	N;DEF;FEM;SG
הברכה	благословия	הברכה	благослов	N;FEM;SG	N;INDF;FEM;SG
הגיב	реагира	הגיב	реагирам	V;MASC;SG;3;PST;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
הגיב	реагирал	הגיב	реагирам	V;MASC;SG;3;PST;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
פלילית	престъпно	פלילי	престъпно	ADV	ADV
הגבלה	ограничение	הגבלה	ограничение	N;FEM;SG	N;INDF;NEUT;SG
הגבלה	ограничаване	הגבלה	ограничаване	N;FEM;SG	N;INDF;NEUT;SG
הגבלה	лимит	הגבלה	лимит	N;FEM;SG	N;INDF;MASC;SG
הגבלה	граница	הגבלה	граница	N;FEM;SG	N;INDF;FEM;SG
הגבלה	ограничаване	הגבלה	ограничаване	N;FEM;SG	N;INDF;NEUT;SG
הגבלה	ограничение	הגבלה	ограничение	N;FEM;SG	N;INDF;NEUT;SG
לוויינים	спътници	לוויין	спътник	N;MASC;PL	N;INDF;MASC;PL
לוויינים	сателитите	לוויין	сателит	N;MASC;PL	N;DEF;MASC;PL
לוויינים	сателити	לוויין	сателит	N;MASC;PL	N;INDF;MASC;PL
פגיעות	контузии	פגיעה	контузия	N;FEM;PL	N;INDF;FEM;PL
פגיעות	наранявания	פגיעה	нараняване	N;FEM;PL	N;INDF;NEUT;PL
רגשית	емоционално	רגשי	емоционално	ADV	ADV
רגשית	емоционално	רגשי	емоционално	ADV	ADV
אופציה	опция	אופציה	опция	N;FEM;SG	N;INDF;FEM;SG
אופציה	вариант	אופציה	вариант	N;FEM;SG	N;INDF;MASC;SG
ביקרו	посетиха	ביקר	посетя	V;PL;3;PST;ACT	V;PFV;IND;PL;3;PST;FIN;ACT
ספריות	библиотеки	ספריות	библиотеки	N;FEM;PL	N;INDF;FEM;PL
ספריות	директории	ספריות	директория	N;FEM;PL	N;INDF;FEM;PL
דאגה	загриженост	דאגה	загриженост	N;FEM;SG	N;INDF;FEM;SG
דאגה	безпокойство	דאגה	безпокойство	N;FEM;SG	N;INDF;NEUT;SG
נופש	resort	נופש	resort	N;MASC;SG	N;INDF;MASC;SG
נופש	курорта	נופש	курорт	N;MASC;SG	N;DEF;MASC;SG
נופש	курорт	נופש	курорт	N;MASC;SG	N;INDF;MASC;SG
נופש	почивка	נופש	почивка	N;MASC;SG	N;INDF;FEM;SG
נופש	ваканция	נופש	ваканция	N;MASC;SG	N;INDF;FEM;SG
נופש	отпуск	נופש	отпуск	N;MASC;SG	N;INDF;MASC;SG
אלמנט	елемент	אלמנט	елемент	N;MASC;SG	N;INDF;MASC;SG
הארכיון	архив	הארכיון	архив	N;MASC;SG	N;INDF;MASC;SG
חוזים	договори	חוזה	договор	N;MASC;PL	N;INDF;MASC;PL
חוזים	поръчки	חוזה	поръчка	N;MASC;PL	N;INDF;FEM;PL
ללבוש	носи	לבש	нося-(се)	V;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
משגר	установка	משגר	установка	N;MASC;SG	N;INDF;FEM;SG
משגר	спускане	משגר	спускане	N;MASC;SG	N;INDF;NEUT;SG
משגר	изстрелване	משגר	изстрелване	N;MASC;SG	N;INDF;NEUT;SG
סכסוכים	конфликтите	סכסוך	конфликт	N;MASC;PL	N;DEF;MASC;PL
סכסוכים	конфликти	סכסוך	конфликт	N;MASC;PL	N;INDF;MASC;PL
סכסוכים	спорове	סכסוך	спор	N;MASC;PL	N;INDF;MASC;PL
סכסוכים	споровете	סכסוך	спор	N;MASC;PL	N;DEF;MASC;PL
מונעת	карал	מנע	карам	V;FEM;SG;V.PTCP	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT
אריות	лъвовете	אריה	лъв	N;FEM;PL	N;DEF;MASC;PL
אריות	лъвове	אריה	лъв	N;FEM;PL	N;INDF;MASC;PL
בעלים	съпрузи	בעלים	съпруг	N;MASC;PL	N;INDF;MASC;PL
בעלים	притежатели	בעלים	притежател	N;MASC;PL	N;INDF;MASC;PL
בעלים	собственици	בעלים	собственик	N;MASC;PL	N;INDF;MASC;PL
בעלים	собствениците	בעלים	собственик	N;MASC;PL	N;DEF;MASC;PL
הנאמנים	лоялисти	הנאמן	лоялист	N;MASC;PL	N;INDF;MASC;PL
הנאמנים	попечители	הנאמן	попечител	N;MASC;PL	N;INDF;MASC;PL
אוטובוסים	автобуси	אוטובוס	автобус	N;MASC;PL	N;INDF;MASC;PL
אוטובוסים	автобусите	אוטובוס	автобус	N;MASC;PL	N;DEF;MASC;PL
