भित्ति	väggmålning	भित्ति	väggmålning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
चैम्पियन	förkämpe	चैम्पियन	förkämpe	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
चैम्पियन	champion	चैम्पियन	champion	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
चैम्पियन	mästare	चैम्पियन	mäst	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
सीमाएं	begränsningar	सीमा	begränsning	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
सीमाएं	inskränkningar	सीमा	inskränkning	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
आयुर्वेदिक	ayurveda	आयुर्वेदिक	ayurveda	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
वाइस	vice	वाइस	vice	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
बाप	far	बाप	far	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
बाप	fader	बाप	far	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
बाप	fadern	बाप	far	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
बाप	pappa	बाप	pappa	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
थाली	registreringsskylt	थाला	registreringsskylt	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
थाली	plåt	थाला	plåt	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
थाली	tallrik	थाला	tallrik	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
कार्यभार	uppdrag	कार्यभार	uppdrag	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
कार्यभार	uppdrag	कार्यभार	uppdrag	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
कार्यभार	överlåtelse	कार्यभार	överlåtelse	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
एनालॉग	analog	एनालॉग	analog	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
रुकावट	blockering	रुकावट	blockering	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
रुकावट	hindrande	रुकावट	hindrande	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
प्रतिबिंब	eftertanke	प्रतिबिंब	eftertanke	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रतिबिंब	reflektion	प्रतिबिंब	reflektion	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रतिबिंब	spegelbild	प्रतिबिंब	spegelbild	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रतिबिंब	spegel	प्रतिबिंब	spegel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
ब्लेड	blade	ब्लेड	blad	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
ब्लेड	blad	ब्लेड	blad	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
सदिश	vektor	सदिश	vektor	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
स्थगित	uppskjutet	स्थगित	uppskjuten	ADJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
स्थगित	uppskjuten	स्थगित	uppskjuta	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
स्थगित	väntande	स्थगित	vänta	ADJ	ADJ;NOM;PRS;V.PTCP
गिरोह	gäng	गिरोह	gäng	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
गिरोह	gänget	गिरोह	gänge	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
गिरोह	gang	गिरोह	gang	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
मर्यादा	värdighet	मर्यादा	värdighet	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
शर्ट	skjorta	शर्ट	skjort	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
शर्ट	shirt	शर्ट	shirt	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
शर्ट	tröja	शर्ट	tröja	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
सेंसर	sensor	सेंसर	sensor	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
सेंसर	sensorn	सेंसर	sensor	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
स्टैंड	stand	स्टैंड	stand	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
बहुवचन	plural	बहुवचन	plural	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
एकाधिकार	monopolet	एकाधिकार	monopol	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
एकाधिकार	monopol	एकाधिकार	monopol	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
एकाधिकार	monopolställning	एकाधिकार	monopolställning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
विनाशकारी	katastrofalt	विनाशकारी	katastrofal	ADJ	ADJ;NOM;INDF;NEUT;SG
विनाशकारी	katastrofal	विनाशकारी	katastrofal	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
विनाशकारी	katastrofala	विनाशकारी	katastrofal	ADJ	ADJ;NOM;PL
विनाशकारी	förkrossande	विनाशकारी	förkrossa	ADJ	ADJ;NOM;PRS;V.PTCP
विनाशकारी	förödande	विनाशकारी	förödande	ADJ	ADJ;NOM;PRS;V.PTCP
शुभारंभ	lansering	शुभारंभ	lansering	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
शुभारंभ	sjösättning	शुभारंभ	sjösättning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
जादूगर	guiden	जादूगर	guid	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
जादूगर	trollkarlen	जादूगर	trollkarl	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
जादूगर	trollkarl	जादूगर	trollkarl	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
जादूगर	magiker	जादूगर	magik	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
जादूगर	trollkarl	जादूगर	trollkarl	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
जादूगर	magiker	जादूगर	magik	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रतिमान	mönster	प्रतिमान	mönster	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
प्रतिमान	mönstret	प्रतिमान	mönster	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
प्रतिमान	paradigm	प्रतिमान	paradigm	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
वोल्ट	volt	वोल्ट	volt	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
अमोनिया	ammoniak	अमोनिया	ammoniak	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
विश्लेषणात्मक	analytisk	विश्लेषणात्मक	analytisk	ADJ;NOM	ADJ;NOM;INDF;MASC+FEM;SG
विश्लेषणात्मक	analytiska	विश्लेषणात्मक	analytisk	ADJ;NOM	ADJ;NOM;PL
विश्लेषणात्मक	analytiskt	विश्लेषणात्मक	analytisk	ADJ;NOM	ADJ;NOM;INDF;NEUT;SG
प्रतिबद्धता	förpliktelse	प्रतिबद्धता	förpliktelse	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रतिबद्धता	engagemang	प्रतिबद्धता	engagemang	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
डू	doo	डू	doo	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
कॉफ़ी	fika	कॉफ़ी	fika	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
कॉफ़ी	kaffe	कॉफ़ी	kaffe	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
किराए	hyran	किराया	hyra	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
मांसपेशी	muskel	मांसपेशी	muskel	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
मांसपेशी	muskeln	मांसपेशी	muskel	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
तूफ़ान	oväder	तूफ़ान	oväder	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
तूफ़ान	tyfonen	तूफ़ान	tyfon	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
तूफ़ान	stormen	तूफ़ान	storm	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
तूफ़ान	storm	तूफ़ान	stor	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
कड़ा	trångt	कड़ा	trång	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
कड़ा	snäv	कड़ा	snäv	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
कड़ा	jobbigt	कड़ा	jobbig	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
कड़ा	hård	कड़ा	hård	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
कड़ा	svårt	कड़ा	svår	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
पड़ाव	milstolpe	पड़ाव	milstolpe	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
एंजाइम	enzym	एंजाइम	enzym	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
एंजाइम	enzymet	एंजाइम	enzym	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
कॉमर्स	handeln	कॉमर्स	handel	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
कॉमर्स	handel	कॉमर्स	handel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
जीप	jeep	जीप	jeep	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
दादी	farmor	दादी	farma	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
दादी	mormor	दादी	morma	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
दादी	farmor	दादी	farma	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
दादी	mormor	दादी	morma	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
कमिश्नर	kommissionär	कमिश्नर	kommissionär	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
कमिश्नर	polismästaren	कमिश्नर	polismästare	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
पहाड़ियाँ	kullarna	पहाड़ी	kull	N;NOM;FEM;PL;3	N;NOM;DEF;MASC+FEM;PL
पहाड़ियाँ	kullar	पहाड़ी	kulla	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
गंधक	svavel	गंधक	svavel	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
गंधक	svavel	गंधक	svavel	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
षड्यंत्र	konspiration	षड्यंत्र	konspiration	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
षड्यंत्र	sammansvärjning	षड्यंत्र	sammansvärjning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
रीडर	läsaren	रीडर	läsare	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
प्रशिक्षक	tränare	प्रशिक्षक	tränare	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रशिक्षक	instruktör	प्रशिक्षक	instruktör	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
नास्तिक	ateism	नास्तिक	ateism	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
नास्तिक	ateist	नास्तिक	ateist	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
जासूसी	spioneri	जासूसी	spioneri	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
प्रचारित	befordrad	प्रचारित	befordrad	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
प्रचारित	marknadsfört	प्रचारित	marknadsför	ADJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
फसलें	odlingar	फसल	odling	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
फसलें	grödor	फसल	gröda	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
डायोड	diod	डायोड	dudd	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
सामंत	samanta	सामंत	samant	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
आत्मसमर्पण	kapitulation	आत्मसमर्पण	kapitulation	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
एथलेटिक्स	friidrott	एथलेटिक्स	friidrot	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
तैराकी	simning	तैराकी	simning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
संस्थागत	institutionell	संस्थागत	institutionell	N;NOM;3	N;NOM;INDF;MASC+FEM;SG
चिट्ठा	blog	चिट्ठा	blog	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
चिट्ठा	bloggen	चिट्ठा	blogg	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
चिट्ठा	blogg	चिट्ठा	blogg	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
ठंड	förkylning	ठंड	förkylning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
ठंड	cold	ठंड	cold	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
ठंड	kyla	ठंड	kyla	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
दरार	rift	दरार	rift	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
दरार	spricka	दरार	spricka	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
दरार	crack	दरार	crack	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
सॉफ़्टवेयर	software	सॉफ़्टवेयर	software	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
सॉफ़्टवेयर	mjukvara	सॉफ़्टवेयर	mjukvara	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
सॉफ़्टवेयर	programvara	सॉफ़्टवेयर	programvar	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
परवाह	skötsel	परवाह	skötsel	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
परवाह	omsorg	परवाह	omsorg	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
परवाह	vård	परवाह	vård	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
परवाह	care	परवाह	care	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
बमबारी	bombardemang	बमबारी	bombardemang	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
बमबारी	bomb	बमबारी	bomb	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
कीड़े	maskar	कीड़ा	maske	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
कठपुतली	marionett	कठपुतली	marionett	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
ग्रीनहाउस	växthuset	ग्रीनहाउस	växthus	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
ग्रीनहाउस	växthus	ग्रीनहाउस	växthus	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
कैम्प	lägret	कैम्प	lägr	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
कैम्प	camp	कैम्प	camp	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
किस्में	linor	कौन्म	lina	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
किस्में	sorterna	कौन्म	sort	N;NOM;FEM;PL;3	N;NOM;DEF;MASC+FEM;PL
किस्में	sorter	कौन्म	sort	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
विषाक्तता	förgiftning	विषाक्तता	förgiftning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
चिंतित	angelägen	चिंतित	angelägen	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
चिंतित	orolig	चिंतित	orolig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
चिंतित	ängslig	चिंतित	ängslig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
चिंतित	bekymrad	चिंतित	bekymrad	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
चिंतित	berört	चिंतित	beröra	ADJ	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
चिंतित	berörda	चिंतित	berörd	ADJ	ADJ;NOM;PL;PST;V.PTCP
चिंतित	berörd	चिंतित	berörd	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
चिंतित	oroliga	चिंतित	orolig	ADJ	ADJ;NOM;PL
चिंतित	oroad	चिंतित	oroa	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
चिंतित	oroade	चिंतित	oroa	ADJ	ADJ;NOM;PL;PST;V.PTCP
चिंतित	orolig	चिंतित	orolig	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
चिंतित	bekymrad	चिंतित	bekymrad	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
स्टारबक्स	starbucks	स्टारबक्स	starbuck	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
असुरक्षित	osäkert	असुरक्षित	osäker	ADJ;NOM	ADJ;NOM;INDF;NEUT;SG
असुरक्षित	osäkra	असुरक्षित	osäker	ADJ;NOM	ADJ;NOM;PL
असुरक्षित	osäker	असुरक्षित	osäker	ADJ;NOM	ADJ;NOM;INDF;MASC+FEM;SG
असुरक्षित	osäkert	असुरक्षित	osäker	ADJ;NOM	ADJ;NOM;INDF;NEUT;SG
असुरक्षित	osäkra	असुरक्षित	osäker	ADJ;NOM	ADJ;NOM;PL
असुरक्षित	osäker	असुरक्षित	osäker	ADJ;NOM	ADJ;NOM;INDF;MASC+FEM;SG
शहद	älskling	शहद	älskling	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
शहद	honung	शहद	honung	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
अम्लीय	surt	अम्लीय	sur	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
ऑपरेटर	aktör	ऑपरेटर	aktör	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
ऑपरेटर	operatören	ऑपरेटर	operatör	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
ऑपरेटर	operatör	ऑपरेटर	operatör	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रेसीडेंसी	ordförandeskapet	प्रेसीडेंसी	ordförandeskap	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
प्रेसीडेंसी	ordförandeskap	प्रेसीडेंसी	ordförandeskap	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
नारा	slogan	नारा	sloga	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
चढ़	rosta	चढ	rosta	V;ACT	V;IMP;FIN;ACT
सेक्टर	sektor	सेक्टर	sektor	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
सेक्टर	sektorn	सेक्टर	sektor	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
महासागरीय	oceanien	महासागरीय	oceani	N;NOM;3	N;NOM;INDF;MASC+FEM;SG
भट्ठी	ugn	भट्ठी	ugn	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
कारें	bilar	कार	bil	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
विकलांगता	handikapp	विकलांगता	handikapp	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
विकलांगता	funktionsnedsättning	विकलांगता	funktionsnedsättning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
अनजाने	omedvetet	अनजाना	omedvetet	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
धर्मशास्त्र	teologi	धर्मशास्त्र	teologi	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
मौद्रिक	monetär	मौद्रिक	monetär	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
एक्यूपंक्चर	akupunktur	एक्यूपंक्चर	akupunktur	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
थोक	grossist	थोक	grossist	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
थोक	partihandel	थोक	partihandel	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
कामयाबी	succé	कामयाबी	succé	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
कामयाबी	framgång	कामयाबी	framgång	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रोटोटाइप	prototypen	प्रोटोटाइप	prototyp	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
प्रोटोटाइप	prototyp	प्रोटोटाइप	prototyp	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
दुग्ध	dairy	दुग्ध	dairy	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
भयभीत	skrämd	भयभीत	skrämd	ADJ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
भयभीत	rädd	भयभीत	rädd	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
भयभीत	rädd	भयभीत	rädd	ADJ	ADJ;NOM;INDF;MASC+FEM;SG
वसूली	återvinning	वसूली	återvinning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
वसूली	återhämtning	वसूली	återhämtning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
वसूली	indrivning	वसूली	indrivning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
डिप्लोमा	diplom	डिप्लोमा	diplom	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
घटा	minska	घटा	minska	V;MASC;SG;V.PTCP;ACT	V;IMP;NFIN;ACT
पॉइंट	points	पॉइंट	points	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
पॉइंट	poäng	पॉइंट	poäng	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
पॉइंट	punkt	पॉइंट	punkt	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
पॉइंट	poäng	पॉइंट	poäng	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
पॉइंट	point	पॉइंट	point	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
त्वरण	acceleration	त्वरण	acceleration	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
स्केल	fjäll	स्केल	fjäll	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
स्केल	skalan	स्केल	skala	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
स्केल	skala	स्केल	skala	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
साम्राज्यवाद	imperialism	साम्राज्यवाद	imperialism	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
वैधता	giltighet	वैधता	giltighet	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
मिथक	myt	मिथक	myt	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
श्रृंगार	makeup	श्रृंगार	makeup	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
श्रृंगार	smink	श्रृंगार	smink	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
नतीजा	nedfall	नतीजा	nedfall	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
वेदान्त	vedanta	वेदान्त	vedant	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
निर्देशिका	katalogen	निर्देशिका	katalog	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
निर्देशिका	katalog	निर्देशिका	katalog	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
निर्देशिका	förteckning	निर्देशिका	förteckning	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
निर्देशिका	index	निर्देशिका	index	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
एवेन्यू	avenyn	एवेन्यू	avenyn	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
एवेन्यू	avenue	एवेन्यू	avenue	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
बेरोजगारी	arbetslösheten	बेरोजगारी	arbetslöshet	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
बेरोजगारी	arbetslöshet	बेरोजगारी	arbetslöshet	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
लत	missbruk	लत	missbruk	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
जुर्माना	fine	जुर्माना	få	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
पूर्णता	komplettering	पूर्णता	komplettering	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
पूर्णता	perfektion	पूर्णता	perfektion	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
मार्केटिंग	marknadsföring	मार्केटिंग	marknadsföring	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
मार्केटिंग	marknadsföringen	मार्केटिंग	marknadsföring	N;NOM;FEM;SG;3	N;NOM;DEF;MASC+FEM;SG
शक्तियां	krafter	शक्ति	kraft	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
शक्तियां	befogenheter	शक्ति	befogenhet	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
शक्तियां	maktbefogenheter	शक्ति	maktbefogenhet	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
शक्तियां	krafter	शक्ति	kraft	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
शक्तियां	styrkor	शक्ति	styrka	N;NOM;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
चीता	cheetah	चीत	cheetah	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
चीता	leopard	चीत	leopard	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रतिभाशाली	genialitet	प्रतिभाशाली	genialitet	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
प्रतिभाशाली	snille	प्रतिभाशाली	snille	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
प्रतिभाशाली	geni	प्रतिभाशाली	geni	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
पनीर	ost	पनीर	ost	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
नियोक्ता	arbetsgivares	नियोक्ता	arbetsgivare	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
नियोक्ता	arbetsgivaren	नियोक्ता	arbetsgivare	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
