undervisningen	lesgeven	undervisning	lesgeven	N;DEF;MASC+FEM;SG	N;NEUT;SG
nyligt	onlangs	nyligt	onlangs	ADV	ADV
mexicanske	mexicaanse	mexicansk	mexicaans	ADJ;PL	ADJ
mexicanske	mexicaans	mexicansk	mexicaans	ADJ;PL	ADJ
forstæder	voorsteden	forståde	voorstad	N;INDF;MASC+FEM;PL	N;PL
forstæder	buitenwijken	forståde	buitenwijk	N;INDF;MASC+FEM;PL	N;PL
fdf	fdf	fdf	fdf	N;INDF;NEUT;SG	N;NEUT;SG
færgen	ferry	færgen	ferry	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
færgen	veerboot	færgen	veerboot	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
begravelse	begrafenis	begravelse	begrafenis	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
begravelse	begrafenis	begravelse	begrafenis	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
begravelse	uitvaart	begravelse	uitvaart	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
nederlaget	nederlaag	nederlag	nederlaag	N;DEF;NEUT;SG	N;MASC+FEM;SG
bestemmer	bepaalt	bestemme	bepalen	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
forandring	wijziging	forandring	wijziging	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
forandring	verandering	forandring	verandering	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
følelse	emotie	følelse	emotie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
følelse	gevoel	følelse	gevoel	N;INDF;MASC+FEM;SG	N;NEUT;SG
rygter	geruchten	rygte	gerucht	N;INDF;NEUT;PL	N;PL
rygter	geruchten	rygte	gerucht	N;INDF;NEUT;PL	N;PL
rygter	geruchten	rygte	gerucht	N;INDF;NEUT;PL	N;PL
indflydelsesrige	invloedrijk	indflydelsesrig	invloedrijk	ADJ;PL	ADJ
indflydelsesrige	invloedrijke	indflydelsesrig	invloedrijk	ADJ;PL	ADJ
stiftelse	stichting	stiftelse	stichting	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
stiftelse	fundering	stiftelse	fundering	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
stiftelse	formatie	stiftelse	formatie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
stiftelse	vorming	stiftelse	vorming	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
singer	zanger	singer	zanger	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
singer	singer	singer	singer	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
singer	zangeres	singer	zangeres	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
lego	lego	lego	lego	N;INDF;NEUT;SG	N;MASC+FEM;SG
manhattan	manhattan	manhattan	manhattan	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
strukturer	structuren	struktur	structuur	N;INDF;MASC+FEM;PL	N;PL
ottende	achtste	otte	acht	ADJ	ADJ
css	css	css	css	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
level	niveau	level	niveau	N;INDF;MASC+FEM;SG	N;NEUT;SG
level	level	level	level	N;INDF;MASC+FEM;SG	N;NEUT;SG
indbygget	ingebed	indbygge	ingebed	V;INDF;SG;PST;V.PTCP	V;V.PTCP
indbygget	ingesloten	indbygge	insluiten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
indbygget	gebouwde	indbygge	bouwen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
indbygget	gebouwd	indbygge	bouwen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
enorm	enorm	enorm	enorm	ADJ;INDF;MASC+FEM;SG	ADJ
enorm	enorme	enorm	enorm	ADJ;INDF;MASC+FEM;SG	ADJ
enorm	immense	enorm	immens	ADJ;INDF;MASC+FEM;SG	ADJ
cornelius	cornelius	cornelius	cornelius	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
cornelius	cornelis	cornelius	cornelis	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
guderne	goden	gud	god	N;DEF;MASC+FEM;PL	N;PL
billedtekst	onderschrift	billedtekst	onderschrift	N;INDF;MASC+FEM;SG	N;NEUT;SG
billedtekst	titel	billedtekst	titel	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
giro	giro	giro	giro	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
tilbagetrækning	intrekking	tilbagetrækning	intrekking	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
tilbagetrækning	terugtrekking	tilbagetrækning	terugtrekking	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
mus	muis	mus	muis	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
virkelighed	realiteit	virkelighed	realiteit	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
virkelighed	werkelijkheid	virkelighed	werkelijkheid	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
virkelighed	realiteit	virkelighed	realiteit	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
grundloven	grondwet	grundlov	grondwet	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
grundloven	constitutie	grundlov	constitutie	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
kemiker	chemicus	kemike	chemicus	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
beretninger	rapporten	beretning	rapport	N;INDF;MASC+FEM;PL	N;PL
beretninger	verslagen	beretning	verslag	N;INDF;MASC+FEM;PL	N;PL
planerne	plannen	plan	plan	N;DEF;MASC+FEM;PL	N;PL
juventus	juventus	juventus	juventus	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
gravsted	grave	gravsted	grave	N;INDF;NEUT;SG	N;MASC+FEM;SG
gravsted	graf	gravsted	graf	N;INDF;NEUT;SG	N;NEUT;SG
ingrid	ingrid	ingrid	ingrid	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
vanskelig	lastig	vanskelig	lastig	ADJ;INDF;MASC+FEM;SG	ADJ
vanskelig	moeilijk	vanskelig	moeilijk	ADJ;INDF;MASC+FEM;SG	ADJ
vanskelig	moeilijke	vanskelig	moeilijk	ADJ;INDF;MASC+FEM;SG	ADJ
anbefalede	aanbevolen	anbefale	aanbevelen	V;IND;PST;FIN;ACT	V;V.PTCP
anbefalede	aangeraden	anbefale	aanraden	V;IND;PST;FIN;ACT	V;V.PTCP
skyldig	schuldig	skyldig	schuldig	ADJ;INDF;MASC+FEM;SG	ADJ
skyldig	schuldige	skyldig	schuldig	ADJ;INDF;MASC+FEM;SG	ADJ
teknikker	technieken	teknik	techniek	N;INDF;MASC+FEM;PL	N;PL
marker	velden	mark	vellen	N;INDF;MASC+FEM;PL	N;PL
marker	fields	mark	fields	N;INDF;MASC+FEM;PL	N;PL
marker	akkers	mark	akker	N;INDF;MASC+FEM;PL	N;PL
marker	percelen	mark	perceel	N;INDF;MASC+FEM;PL	N;PL
baseball	baseball	baseball	baseball	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
baseball	honkbal	baseball	honkbal	N;INDF;MASC+FEM;SG	N;NEUT;SG
fabrikant	producent	fabrikant	producent	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
fabrikant	fabrikant	fabrikant	fabrikant	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
reducere	verminderen	reducere	verminderen	V;NFIN;ACT	V;NFIN
reducere	reduceren	reducere	reduceren	V;NFIN;ACT	V;NFIN
reducere	verkleinen	reducere	verkleinen	V;NFIN;ACT	V;NFIN
enkel	eenvoudige	enkel	eenvoudig	ADJ;INDF;MASC+FEM;SG	ADJ
enkel	simpel	enkel	simpel	ADJ;INDF;MASC+FEM;SG	ADJ
enkel	eenvoudig	enkel	eenvoudig	ADJ;INDF;MASC+FEM;SG	ADJ
tilbagevendende	terugkerende	tilbagevendende	terugkeren	V;PRS;V.PTCP	V;V.PTCP
tilbagevendende	terugkerend	tilbagevendende	terugkeren	V;PRS;V.PTCP	V;V.PTCP
tilbagevendende	terugkerende	tilbagevendende	terugkeren	V;PRS;V.PTCP	V;V.PTCP
tilbagevendende	terugkerend	tilbagevendende	terugkeren	V;PRS;V.PTCP	V;V.PTCP
svaret	antwoord	svar	antwoord	N;DEF;NEUT;SG	N;NEUT;SG
dæk	banden	dæk	band	N;INDF;NEUT;PL	N;PL
dæk	banden	dæk	band	N;INDF;NEUT;PL	N;PL
metropolitan	metropolitan	metropolitan	metropolitan	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
kanten	rand	kant	rand	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
kanten	edge	kant	edg	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
discipliner	disciplines	disciplin	discipline	N;INDF;MASC+FEM;PL	N;PL
hjulpet	geholpen	hjælpe	helpen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
hjulpet	hielp	hjælpe	helpen	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
hjulpet	geholpen	hjælpe	helpen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
opdeling	indeling	opdeling	indeling	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
opdeling	verdeling	opdeling	verdeling	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
opdeling	uitsplitsing	opdeling	uitsplitsing	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
opdeling	divisie	opdeling	divisie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
opdeling	afdeling	opdeling	afdeling	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
opdeling	deling	opdeling	deling	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
opdeling	division	opdeling	division	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
kansler	bondskanselier	kansel	bondskanselier	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
kansler	kanselier	kansel	kanselier	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
kaffe	koffie	kaffe	koffie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
registrerede	geregistreerd	registrere	registreren	V;PL;PST;V.PTCP	V;V.PTCP
registrerede	ingeschreven	registrere	inschrijven	V;PL;PST;V.PTCP	V;V.PTCP
registrerede	geregistreerde	registrere	registreren	V;PL;PST;V.PTCP	V;V.PTCP
godser	landgoederen	gods	landgoed	N;INDF;MASC+FEM;PL	N;PL
gulvet	vloer	gulv	vloer	N;DEF;NEUT;SG	N;MASC+FEM;SG
gulvet	verdieping	gulv	verdieping	N;DEF;NEUT;SG	N;MASC+FEM;SG
gulvet	floor	gulv	floor	N;DEF;NEUT;SG	N;MASC+FEM;SG
markeder	markten	marked	markt	N;INDF;NEUT;PL	N;PL
estisk	estse	estisk	ests	ADJ;INDF;SG	ADJ
estisk	estlandse	estisk	estlands	ADJ;INDF;SG	ADJ
estisk	ests	estisk	ests	ADJ;INDF;SG	ADJ
bemærkelsesværdige	opmerkelijk	bemærkelsesværdig	opmerkelijk	ADJ;PL	ADJ
bemærkelsesværdige	opmerkelijke	bemærkelsesværdig	opmerkelijk	ADJ;PL	ADJ
bemærkelsesværdige	opmerkelijk	bemærkelsesværdig	opmerkelijk	ADJ;PL	ADJ
bemærkelsesværdige	opmerkelijke	bemærkelsesværdig	opmerkelijk	ADJ;PL	ADJ
bemærkelsesværdige	opvallend	bemærkelsesværdig	opvallend	ADJ;PL	ADJ
bemærkelsesværdige	opmerkelijk	bemærkelsesværdig	opmerkelijk	ADJ;PL	ADJ
buenos	buenos	bue	buenos	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
skulpturer	sculpturen	skulptur	sculptuur	N;INDF;MASC+FEM;PL	N;PL
partikler	deeltjes	partikel	deel	N;INDF;MASC+FEM;PL	N;PL
partikler	deeltjes	partikel	deel	N;INDF;MASC+FEM;PL	N;PL
partikler	partikels	partikel	partikel	N;INDF;MASC+FEM;PL	N;PL
faktum	feit	faktum	feit	N;INDF;NEUT;SG	N;NEUT;SG
sjæl	ziel	sjæl	ziel	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sjæl	soul	sjæl	soul	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
svare	reageer	svare	reageren	V;NFIN;ACT	V;SG;PRS;FIN
svare	reageren	svare	reageren	V;NFIN;ACT	V;NFIN
flot	mooi	flot	mooi	ADJ;INDF;SG	ADJ
flot	lekker	flot	lekker	ADJ;INDF;SG	ADJ
flot	fijn	flot	fijn	ADJ;INDF;SG	ADJ
flot	leuk	flot	leuk	ADJ;INDF;SG	ADJ
flot	knap	flot	knap	ADJ;INDF;SG	ADJ
flot	knappe	flot	knap	ADJ;INDF;SG	ADJ
kritiserede	bekritiseerd	kritisere	bekritiseren	V;IND;PST;FIN;ACT	V;V.PTCP
kritiserede	bekritiseerde	kritisere	bekritiseren	V;IND;PST;FIN;ACT	V;SG;PST;FIN
kritiserede	bekritiseerd	kritisere	bekritiseren	V;IND;PST;FIN;ACT	V;V.PTCP
kritiserede	bekritiseerde	kritisere	bekritiseren	V;IND;PST;FIN;ACT	V;SG;PST;FIN
bella	bella	bella	bella	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
frigivet	vrijgelaten	frigiv	vrijlaten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
frigivet	vrijgegeven	frigiv	vrijgeven	V;INDF;SG;PST;V.PTCP	V;V.PTCP
frigivet	uitgebracht	frigiv	uitbrengen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
menighed	congregatie	menighed	congregatie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
aktion	aktie	aktion	aktie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
aktion	actie	aktion	actie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
tung	zwaar	tung	zwaar	ADJ;INDF;MASC+FEM;SG	ADJ
tung	zware	tung	zwaar	ADJ;INDF;MASC+FEM;SG	ADJ
tung	heftig	tung	heftig	ADJ;INDF;MASC+FEM;SG	ADJ
opfylde	vervullen	opfylde	vervullen	V;NFIN;ACT	V;NFIN
trænet	gecoacht	træne	coechen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
trænet	opgeleid	træne	opleiden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
trænet	getrainde	træne	trainen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
trænet	getraind	træne	trainen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
byzantinske	byzantijnse	byzantinsk	byzantijns	ADJ;PL	ADJ
forventet	verwachtte	forvente	verwachten	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
forventet	verwacht	forvente	verwachten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
forventet	verwachte	forvente	verwachten	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
måner	manen	måne	manen	N;INDF;MASC+FEM;PL	N;PL
lodret	verticaal	loder	verticaal	ADJ;INDF;SG	ADJ
lodret	verticaal	loder	verticaal	ADJ;INDF;SG	ADJ
lodret	verticale	loder	verticaal	ADJ;INDF;SG	ADJ
indslag	segment	indslag	segment	N;INDF;NEUT;SG	N;NEUT;SG
kontrollerede	gecontroleerde	kontrollere	controleren	V;PL;PST;V.PTCP	V;V.PTCP
kontrollerede	beheerst	kontrollere	beheersen	V;PL;PST;V.PTCP	V;V.PTCP
kontrollerede	gecontroleerd	kontrollere	controleren	V;PL;PST;V.PTCP	V;V.PTCP
autoritet	autoriteit	autoritet	autoriteit	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
autoritet	gezag	autoritet	gezag	N;INDF;MASC+FEM;SG	N;NEUT;SG
måneden	maandje	måned	maand	N;DEF;MASC+FEM;SG	N;NEUT;SG
måneden	maand	måned	maand	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
elskede	bemind	elske	beminnen	V;DEF;SG;PST;V.PTCP	V;V.PTCP
elskede	hield	elske	houden	V;DEF;SG;PST;V.PTCP	V;SG;PST;FIN
dramatiske	dramatische	dramatisk	dramatisch	ADJ;PL	ADJ
dramatiske	dramatisch	dramatisk	dramatisch	ADJ;PL	ADJ
farlig	gevaarlijke	farlig	gevaarlijk	ADJ;INDF;MASC+FEM;SG	ADJ
farlig	gevaarlijk	farlig	gevaarlijk	ADJ;INDF;MASC+FEM;SG	ADJ
farlig	gevaarlijke	farlig	gevaarlijk	ADJ;INDF;MASC+FEM;SG	ADJ
farlig	gevaarlijk	farlig	gevaarlijk	ADJ;INDF;MASC+FEM;SG	ADJ
plantage	plantage	plantage	plantage	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
kontroversielle	controversieel	kontroversiel	controversieel	ADJ;PL	ADJ
kontroversielle	controversiële	kontroversiel	controversiel	ADJ;PL	ADJ
kvæg	vee	kvæg	vee	N;INDF;NEUT;SG	N;NEUT;SG
kvæg	rundvee	kvæg	rundvee	N;INDF;NEUT;SG	N;NEUT;SG
catherine	catherine	catherin	catherine	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
catherine	catharina	catherin	catharina	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
limfjorden	limfjord	limfjorden	limfjord	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
revolutionære	revolutionair	revolutionær	revolutionair	ADJ;PL	ADJ
revolutionære	revolutionaire	revolutionær	revolutionair	ADJ;PL	ADJ
redigering	uitgever	redigering	uitgever	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
redigering	hoofdredacteur	redigering	hoofdredacteur	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
redigering	redacteur	redigering	redacteur	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
redigering	editor	redigering	editor	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
redigering	bewerker	redigering	bewerker	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
vibeke	vibeke	vibeke	vibek	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
diskuteret	besproken	diskutere	bespreken	V;INDF;SG;PST;V.PTCP	V;V.PTCP
diskuteret	besprak	diskutere	bespreken	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
fugl	vogeltje	fugl	vogel	N;INDF;MASC+FEM;SG	N;NEUT;SG
fugl	vogel	fugl	vogel	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
udenlandsk	buitenlands	udenlandsk	buitenlands	ADJ;INDF;SG	ADJ
celle	cel	celle	cel	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
download	download	download	download	V;IMP	V;SG;PRS;FIN
download	downloaden	download	download	V;IMP	V;NFIN
anliggender	affaires	anliggende	affaires	N;INDF;NEUT;PL	N;PL
vidnesbyrd	getuigenis	vidnesbyrd	getuigenis	N;INDF;NEUT;SG	N;NEUT;SG
sammenstød	aanvaring	sammenstød	aanvaring	N;INDF;NEUT;SG	N;MASC+FEM;SG
sammenstød	botsing	sammenstød	botsing	N;INDF;NEUT;SG	N;MASC+FEM;SG
sammenstød	aanrijding	sammenstød	aanrijding	N;INDF;NEUT;SG	N;MASC+FEM;SG
sammenstød	botsing	sammenstød	botsing	N;INDF;NEUT;SG	N;MASC+FEM;SG
sammenstød	clash	sammenstød	clash	N;INDF;NEUT;SG	N;MASC+FEM;SG
montgomery	montgomery	montgomery	montgomery	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
gearkasse	transmissie	gearkasse	transmissie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
gearkasse	versnellingsbak	gearkasse	versnellingsbak	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
edmund	edmund	edmund	edmund	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
moses	moses	moses	mose	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
borger	burger	borger	burger	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
borger	citizen	borger	citis	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
forhindrede	voorkwam	forhindre	voorkomen	V;IND;PST;FIN;ACT	V;SG;PST;FIN
forhindrede	verhinderd	forhindre	verhinderen	V;IND;PST;FIN;ACT	V;V.PTCP
engel	engel	engel	engel	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
engel	angel	engel	angel	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
engel	engeltje	engel	engel	N;INDF;MASC+FEM;SG	N;NEUT;SG
erich	erich	erich	erich	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
myter	mythen	myte	mythen	N;INDF;MASC+FEM;PL	N;PL
myter	mythes	myte	mythes	N;INDF;MASC+FEM;PL	N;PL
myter	mythes	myte	mythes	N;INDF;MASC+FEM;PL	N;PL
frivillig	facultatieve	frivillig	facultatief	ADJ;INDF;MASC+FEM;SG	ADJ
frivillig	facultatief	frivillig	facultatief	ADJ;INDF;MASC+FEM;SG	ADJ
frivillig	optionele	frivillig	optioneel	ADJ;INDF;MASC+FEM;SG	ADJ
frivillig	optioneel	frivillig	optioneel	ADJ;INDF;MASC+FEM;SG	ADJ
frivillig	vrijwillige	frivillig	vrijwillig	ADJ;INDF;MASC+FEM;SG	ADJ
frivillig	vrijwillig	frivillig	vrijwillig	ADJ;INDF;MASC+FEM;SG	ADJ
frivillig	vrijwillig	frivillig	vrijwillig	ADJ;INDF;MASC+FEM;SG	ADJ
frost	frost	frost	frost	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
frost	vorst	frost	vorst	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sting	hechting	sting	hechting	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sting	stitch	sting	stitch	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sting	sting	sting	sting	N;INDF;MASC+FEM;SG	N;NEUT;SG
fusionerede	samengevoegd	fusionere	samenvoegen	V;PST;V.PTCP	V;V.PTCP
fusionerede	samengevoegde	fusionere	samenvoegen	V;PST;V.PTCP	V;V.PTCP
asiatiske	aziatische	asiatisk	aziatisch	ADJ;PL	ADJ
asiatiske	aziatisch	asiatisk	aziatisch	ADJ;PL	ADJ
antikken	oudheid	antik	oudheid	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
ler	klei	le	klei	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
ler	klei	le	klei	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
ler	clay	le	clay	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
fotografi	foto	fotografi	foto	N;INDF;NEUT;SG	N;MASC+FEM;SG
fotografi	fotografie	fotografi	fotografie	N;INDF;NEUT;SG	N;MASC+FEM;SG
jagten	hunt	jagt	hunt	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
jagten	jacht	jagt	jacht	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
coupé	coupé	coupé	coupé	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
coupé	coupe	coupé	coupe	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
bevidsthed	bewustzijn	bevidsthed	bewustzijn	N;INDF;MASC+FEM;SG	N;NEUT;SG
bevidsthed	bekendheid	bevidsthed	bekendheid	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
bevidsthed	bewustwording	bevidsthed	bewustwording	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
bevidsthed	bewustzijn	bevidsthed	bewustzijn	N;INDF;MASC+FEM;SG	N;NEUT;SG
bevidsthed	bewustzijn	bevidsthed	bewustzijn	N;INDF;MASC+FEM;SG	N;NEUT;SG
retssag	beproeving	retssag	beproeving	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
retssag	proces	retssag	proces	N;INDF;MASC+FEM;SG	N;NEUT;SG
retssag	rechtzaak	retssag	rechtzaak	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
retssag	rechtszaak	retssag	rechtszaak	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
retssag	proef	retssag	proef	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
sproglige	taalkundige	sproglig	taalkundig	ADJ;PL	ADJ
kurser	cursussen	kursus	cursus	N;INDF;NEUT;PL	N;PL
udkæmpet	gevochten	udkæmpe	vechten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udkæmpet	bevochten	udkæmpe	bevechten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udkæmpet	gestreden	udkæmpe	strijden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
undtagelser	uitzonderingen	undtagelse	uitzondering	N;INDF;MASC+FEM;PL	N;PL
undtagelser	vrijstellingen	undtagelse	vrijstelling	N;INDF;MASC+FEM;PL	N;PL
undtagelser	uitzonderingen	undtagelse	uitzondering	N;INDF;MASC+FEM;PL	N;PL
spændende	interessante	spændende	interessant	ADJ	ADJ
spændende	interessant	spændende	interessant	ADJ	ADJ
spændende	opwindend	spændende	opwindend	ADJ	ADJ
spændende	spannend	spændende	spannend	ADJ	ADJ
spændende	spannend	spændende	spannend	ADJ	ADJ
bombe	bom	bombe	bom	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
bombe	bombardement	bombe	bombardement	N;INDF;MASC+FEM;SG	N;NEUT;SG
bombe	bomaanslag	bombe	bomaanslag	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
anmodning	aanvraag	anmodning	aanvraag	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
anmodning	verzoek	anmodning	verzoek	N;INDF;MASC+FEM;SG	N;NEUT;SG
langeland	langeland	langeland	langeland	N;INDF;NEUT;SG	N;MASC+FEM;SG
hænderne	handjes	hånd	hand	N;DEF;MASC+FEM;PL	N;PL
hænderne	handen	hånd	hand	N;DEF;MASC+FEM;PL	N;PL
tank	tank	tank	tank	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
borussia	borussia	borussia	borussia	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
cbs	cbs	cbs	cbs	N;INDF;MASC+FEM;SG	N;NEUT;SG
fremstiller	produceren	fremstille	produceren	V;IND;PRS;FIN;ACT	V;NFIN
fremstiller	produceert	fremstille	produceren	V;IND;PRS;FIN;ACT	V;SG;PRS;FIN
antaget	veronderstelde	antage	veronderstellen	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
kaserne	barakken	kase	barak	N;DEF;MASC+FEM;PL	N;PL
behandle	behandelen	behandle	behandelen	V;NFIN;ACT	V;NFIN
behandle	behandel	behandle	behandelen	V;NFIN;ACT	V;SG;PRS;FIN
patent	octrooi	patent	octrooi	N;INDF;NEUT;SG	N;NEUT;SG
patent	patent	patent	patent	N;INDF;NEUT;SG	N;NEUT;SG
patent	octrooi	patent	octrooi	N;INDF;NEUT;SG	N;NEUT;SG
filippinerne	filipijnen	filippin	filipijn	N;DEF;MASC+FEM;PL	N;PL
filippinerne	filippijnen	filippin	filippijn	N;DEF;MASC+FEM;PL	N;PL
kæden	ketting	kæde	ketting	N;DEF;MASC+FEM;SG	N;MASC+FEM;SG
konvention	conventie	konvention	conventie	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
konvention	verdrag	konvention	verdrag	N;INDF;MASC+FEM;SG	N;NEUT;SG
ravn	raaf	ravn	raaf	N;INDF;MASC+FEM;SG	N;MASC+FEM;SG
usædvanlig	ongewoon	usædvanlig	ongewoon	ADJ;INDF;MASC+FEM;SG	ADJ
usædvanlig	ongebruikelijk	usædvanlig	ongebruikelijk	ADJ;INDF;MASC+FEM;SG	ADJ
usædvanlig	ongewone	usædvanlig	ongewoon	ADJ;INDF;MASC+FEM;SG	ADJ
usædvanlig	ongebruikelijke	usædvanlig	ongebruikelijk	ADJ;INDF;MASC+FEM;SG	ADJ
undersøgt	bestudeerde	undersøge	bestuderen	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
undersøgt	studeerde	undersøge	studeren	V;INDF;SG;PST;V.PTCP	V;SG;PST;FIN
