die	the	die	the	DET;DEF	DET;DEF
aktrise	actress	aktrise	actress	N;SG	N;SG
afdelings	sections	afdeling	section	N;PL	N;PL
goud	gold	goud	gold	N;SG	N;SG
chemiese	chemical	chemies	chemical	ADJ;NOM	ADJ
gevalle	cases	geval	case	N;PL	N;PL
gevalle	instances	geval	instance	N;PL	N;PL
skip	ship	skip	ship	N;SG	N;SG
ver	far	ver	far	ADV	ADV
watter	which	watter	which	PRO	PRO
behou	keep	behou	keep	V;PRS	V;IMP;FIN
hulp	help	hulp	help	N;SG	N;SG
hoop	hope	hoop	hope	V;PRS	V;IND;PRS;FIN
deelgeneem	participated	deelneneem	participate	V;PST;V.PTCP	V;PST;V.PTCP
sukses	success	sukses	success	N;SG	N;SG
aangedui	indicated	aandui	indicate	V;PST;V.PTCP	V;PST;V.PTCP
voorwerpe	objects	voorwerpe	object	N;PL	N;PL
temperatuur	temperature	temperatuur	temperature	N;SG	N;SG
maan	moon	maan	moon	N;SG	N;SG
seisoen	season	seisoen	season	N;SG	N;SG
nasies	nations	nasie	nation	N;PL	N;PL
grondwet	constitution	grondwet	constitution	N;SG	N;SG
kollege	college	kollege	college	N;SG	N;SG
waargeneem	observed	waarneneem	observe	V;PST;V.PTCP	V;PST;V.PTCP
opleiding	education	opleiding	education	N;SG	N;SG
uitgevoer	executed	uitvoer	execute	V;PST;V.PTCP	V;PST;V.PTCP
uitgevoer	performed	uitvoer	perform	V;PST;V.PTCP	V;PST;V.PTCP
soortgelyke	similar	soortgelyk	similar	ADJ;NOM	ADJ
skiereiland	peninsula	skiereiland	peninsula	N;SG	N;SG
wetenskap	science	wetenskap	science	N;SG	N;SG
tye	times	tye	time	N;PL	N;PL
jaarlikse	annual	jaarliks	annual	ADJ;NOM	ADJ
teorie	theory	teorie	theory	N;SG	N;SG
kasteel	castle	kasteel	castle	N;SG	N;SG
lyf	body	lyf	body	N;SG	N;SG
wedstryde	games	wedstryde	game	N;PL	N;PL
totdat	until	totdat	until	CONJ	CONJ
hawe	port	hawe	port	N;SG	N;SG
plan	plan	plan	plan	N;SG	N;SG
beelde	images	beelde	image	N;PL	N;PL
gedigte	poems	dig	poem	N;PL	N;PL
verbeter	enhance	verbeter	enhance	V;PRS	V;IMP;FIN
ring	ring	ring	ring	N;SG	N;SG
toegelaat	allowed	toelaat	allow	V;PST;V.PTCP	V;PST;V.PTCP
finansiële	hierarchical	finansieel	hierarchical	ADJ;NOM	ADJ
finansiële	financial	finansieel	financial	ADJ;NOM	ADJ
gevra	asked	vra	ask	V;PST;V.PTCP	V;PST;V.PTCP
gebruikers	users	gebruiker	user	N;PL	N;PL
vergelyking	equation	vergelyking	equation	N;SG	N;SG
vergelyking	elevation	vergelyking	elevation	N;SG	N;SG
lyn	line	lyn	line	N;SG	N;SG
soorte	types	soort	type	N;PL	N;PL
poging	effort	poging	effort	N;SG	N;SG
blare	leaves	blaar	leave	N;PL	N;PL
drama	drama	drama	drama	N;SG	N;SG
hospitaal	hospital	hospitaal	hospital	N;SG	N;SG
onlangse	recent	onlangs	recent	ADJ;NOM	ADJ
weeg	weighs	weeg	weigh	V;PRS	V;IND;SG;3;PRS;FIN
departement	department	departement	department	N;SG	N;SG
uur	hour	uur	hour	N;SG	N;SG
toestand	state	toestand	state	N;SG	N;SG
koerant	newspaper	koerant	newspaper	N;SG	N;SG
riviere	rivers	rivier	river	N;PL	N;PL
letterkunde	literature	letterkund	literature	N;SG	N;SG
professor	professor	professor	professor	N;SG	N;SG
wapen	weapon	wapen	weapon	N;SG	N;SG
spanne	teams	span	team	N;PL	N;PL
koste	cost	koste	cost	N;SG	N;SG
ortodokse	orthodox	ortodokse	orthodox	ADJ;NOM	ADJ
gebeur	happening	gebeur	happen	V;PRS	V;V.MSDR
opstand	rebellion	opstand	rebellion	N;SG	N;SG
vestig	establish	vestig	establish	V;PRS	V;IMP;FIN
insluit	include	insluit	include	V;PRS	V;IND;PRS;FIN
betaal	pay	betaal	pay	V;PRS	V;IMP;FIN
betaal	settle	betaal	settle	V;PRS	V;IMP;FIN
simbool	symbol	simbool	symbol	N;SG	N;SG
simbool	figurine	simbool	figurine	N;SG	N;SG
bewys	proof	bewys	proof	N;SG	N;SG
geskenk	donated	geskenk	donate	V;PST;V.PTCP	V;PST;V.PTCP
feit	fact	feit	fact	N;SG	N;SG
datum	date	datum	date	N;SG	N;SG
vertel	telling	vertel	tell	V;PRS	V;V.MSDR
vertel	tell	vertel	tell	V;PRS	V;IMP;FIN
maand	month	maand	month	N;SG	N;SG
beweer	assert	beweer	assert	V;PRS	V;IMP;FIN
oog	eye	oog	eye	N;SG	N;SG
verspreiding	distribution	verspreiding	distribution	N;SG	N;SG
kolonie	colony	kolonie	colony	N;SG	N;SG
ingevoer	entered	invoer	enter	V;PST;V.PTCP	V;PST;V.PTCP
ingevoer	imported	invoer	import	V;PST;V.PTCP	V;PST;V.PTCP
struktuur	restart	struktuur	restart	N;SG	N;SG
struktuur	structure	struktuur	structure	N;SG	N;SG
kunstenaars	artists	kunstenaar	artist	N;PL	N;PL
kunstenaars	performers	kunstenaar	performer	N;PL	N;PL
wedstryd	contest	wedstryd	contest	N;SG	N;SG
aanval	attack	aanval	attack	N;SG	N;SG
skrywers	writers	skrywer	writer	N;PL	N;PL
skrywers	authors	skrywer	author	N;PL	N;PL
kanadese	canadian	kanades	canadian	ADJ;NOM	ADJ
onafhanklik	independently	onafhanklik	independently	ADV	ADV
katedraal	cathedral	katedraal	cathedral	N;SG	N;SG
klimaat	climate	klimaat	climate	N;SG	N;SG
vernietig	destroy	vernietig	destroy	V;PRS	V;IMP;FIN
sensus	census	sensus	census	N;SG	N;SG
onderskei	distinguish	onderskei	distinguish	V;PRS	V;IMP;FIN
skepe	ships	skeep	ship	N;PL	N;PL
weermag	army	weermag	army	N;SG	N;SG
getrek	drawn	trek	draw	V;PST;V.PTCP	V;PST;V.PTCP
kos	food	kos	food	N;SG	N;SG
verminder	reduce	verminder	reduce	V;PRS	V;IMP;FIN
verminder	reduces	verminder	reduce	V;PRS	V;IND;SG;3;PRS;FIN
saamgestel	curated	saamstel	curate	V;PST;V.PTCP	V;PST;V.PTCP
terugkeer	return	terugkeer	return	N;SG	N;SG
afdeling	section	afdeling	section	N;SG	N;SG
rewolusie	revolution	rewolusie	revolution	N;SG	N;SG
atmosfeer	atmosphere	atmosfeer	atmosphere	N;SG	N;SG
plant	plant	plant	plant	N;SG	N;SG
ontmoet	meet	ontmoet	meet	V;PRS	V;IMP;FIN
terrein	field	terrein	field	N;SG	N;SG
feitlik	critically	feitlik	critically	ADV	ADV
noem	mention	noem	mention	V;PRS	V;IMP;FIN
behandel	treat	behandel	treat	V;PRS	V;IMP;FIN
stuur	transmit	stuur	transmit	V;PRS	V;IMP;FIN
stuur	send	stuur	send	V;PRS	V;IMP;FIN
area	area	area	area	N;SG	N;SG
deense	danish	deens	danish	ADJ;NOM	ADJ
aard	nature	aard	nature	N;SG	N;SG
veld	field	veld	field	N;SG	N;SG
pogings	efforts	poging	effort	N;PL	N;PL
pogings	attempts	poging	attempt	N;PL	N;PL
vra	ask	vra	ask	V;PRS	V;IMP;FIN
hart	heart	hart	heart	N;SG	N;SG
ernstige	serious	ernstig	serious	ADJ;NOM	ADJ
stelsels	systems	stelsel	system	N;PL	N;PL
getalle	numbers	getal	number	N;PL	N;PL
bediening	locating	bediening	locate	N;SG	N;SG
agtergrond	background	agtergrond	background	N;SG	N;SG
idee	idea	idee	idea	N;SG	N;SG
provinsies	states	provinsie	state	N;PL	N;PL
provinsies	counties	provinsie	county	N;PL	N;PL
wêreldwyd	worldwide	wêreldwyd	worldwide	ADV	ADV
australiese	australian	australies	australian	ADJ;NOM	ADJ
dekades	decades	dekade	decade	N;PL	N;PL
streke	regions	streke	region	N;PL	N;PL
filosofie	philosophy	filosofie	philosophy	N;SG	N;SG
godsdienstige	religious	godsdienstig	religious	ADJ;NOM	ADJ
tydskrif	magazine	tydskrif	magazine	N;SG	N;SG
afgeneem	decreased	afneem	decrease	V;PST;V.PTCP	V;PST;V.PTCP
provinsiale	provincial	provinsiaal	provincial	ADJ;NOM	ADJ
koop	buy	koop	buy	V;PRS	V;IMP;FIN
voorkoms	appearance	voorkoms	appearance	N;SG	N;SG
voorkoms	occurrence	voorkoms	occurrence	N;SG	N;SG
literêre	literary	literêre	literary	ADJ;NOM	ADJ
saal	hall	saal	hall	N;SG	N;SG
spel	game	spel	game	N;SG	N;SG
spel	gameplay	spel	gameplay	N;SG	N;SG
sokker	soccer	sokker	soccer	N;SG	N;SG
bydrae	contribution	bydrae	contribution	N;SG	N;SG
brug	bridge	brug	bridge	N;SG	N;SG
vlae	flags	vlaag	flag	N;PL	N;PL
monument	monument	monument	monument	N;SG	N;SG
behels	involves	behels	involve	V;PRS	V;IND;SG;3;PRS;FIN
landbou	agriculture	landbou	agriculture	N;SG	N;SG
voorwerp	object	voorwerp	object	N;SG	N;SG
natuur	nature	natuur	nature	N;SG	N;SG
produkte	products	produk	product	N;PL	N;PL
vereniging	association	vereniging	association	N;SG	N;SG
verstaan	understand	verstaan	understand	V;PRS	V;IMP;FIN
komitee	committee	komitee	committee	N;SG	N;SG
belangstelling	interest	belangstelling	interest	N;SG	N;SG
bedank	quit	bedank	quit	V;PRS	V;IMP;FIN
vrugte	fruit	vrug	fruit	N;SG	N;SG
gas	gas	gas	gas	N;SG	N;SG
gas	guest	gas	guest	N;SG	N;SG
stam	root	stam	root	N;SG	N;SG
verlede	past	verlede	past	N;SG	N;SG
uiters	extremely	uiters	extremely	ADV	ADV
akademie	academy	akademie	academy	N;SG	N;SG
aangewys	designated	aanwys	designate	V;PST;V.PTCP	V;PST;V.PTCP
motor	engine	motor	engine	N;SG	N;SG
motor	car	motor	car	N;SG	N;SG
gesluit	closed	sluit	close	V;PST;V.PTCP	V;PST;V.PTCP
eenvoudige	simple	eenvoudig	simple	ADJ;NOM	ADJ
grense	borders	grens	border	N;PL	N;PL
gekoop	purchased	koop	purchase	V;PST;V.PTCP	V;PST;V.PTCP
portugese	portuguese	portugees	portuguese	ADJ;NOM	ADJ
tradisie	tradition	tradisie	tradition	N;SG	N;SG
kardinale	cardinals	kardinaal	cardinal	N;PL	N;PL
bevind	finds	bevind	find	V;PRS	V;IND;SG;3;PRS;FIN
publiseer	publish	publiseer	publish	V;PRS	V;IMP;FIN
uitgereik	issued	uitreik	issue	V;PST;V.PTCP	V;PST;V.PTCP
ooreenkoms	agreement	ooreenkoms	agreement	N;SG	N;SG
akademiese	academic	akademies	academic	ADJ;NOM	ADJ
gou	soon	gou	soon	ADV	ADV
gesterf	died	sterf	die	V;PST;V.PTCP	V;IND;PST;FIN
baan	track	baan	track	N;SG	N;SG
vryheid	freedom	vryheid	freedom	N;SG	N;SG
slawiese	slavic	slawies	slavic	ADJ;NOM	ADJ
samewerking	collaboration	samewerking	collaboration	N;SG	N;SG
samewerking	cooperation	samewerking	cooperation	N;SG	N;SG
stedelike	urban	stedelik	urban	ADJ;NOM	ADJ
produksie	production	produksie	production	N;SG	N;SG
brief	letter	brief	letter	N;SG	N;SG
woordeboek	dictionary	woordeboek	dictionary	N;SG	N;SG
ton	tonne	ton	tonne	N;SG	N;SG
bewoners	dwellers	bewoner	dweller	N;PL	N;PL
samelewing	society	samelewing	society	N;SG	N;SG
samelewing	community	samelewing	community	N;SG	N;SG
huise	homes	huis	home	N;PL	N;PL
huise	residences	huis	residence	N;PL	N;PL
huise	houses	huis	house	N;PL	N;PL
aangekondig	declared	aankondig	declare	V;PST;V.PTCP	V;PST;V.PTCP
aangekondig	announced	aankondig	announce	V;PST;V.PTCP	V;PST;V.PTCP
godsdiens	religion	godsdiens	religion	N;SG	N;SG
era	era	era	era	N;SG	N;SG
golf	wave	golf	wave	N;SG	N;SG
omstandighede	circumstances	omstandigheid	circumstance	N;PL	N;PL
geboorte	birth	geboorte	birth	N;SG	N;SG
oorleef	survive	oorleef	survive	V;PRS	V;IMP;FIN
predikante	clergy	predikant	clergy	N;PL	N;PL
redakteur	editor	redakteur	editor	N;SG	N;SG
ontdekking	discovery	ontdekking	discovery	N;SG	N;SG
geleidelik	progressively	geleidelik	progressively	ADV	ADV
verwysings	references	verwysing	reference	N;PL	N;PL
voorstad	suburb	voorstad	suburb	N;SG	N;SG
siekte	disease	siekte	disease	N;SG	N;SG
siekte	sickness	siekte	sickness	N;SG	N;SG
bywoning	attendance	bywoning	attendance	N;SG	N;SG
professionele	professional	professioneel	professional	ADJ;NOM	ADJ
onderskeidelik	respectively	onderskeidelik	respectively	ADV	ADV
mediese	medical	medies	medical	ADJ;NOM	ADJ
uitvoerende	executive	uitvoer	executive	ADJ;NOM	ADJ
stuk	piece	stuk	piece	N;SG	N;SG
toegang	access	toegang	access	N;SG	N;SG
hof	court	hof	court	N;SG	N;SG
hof	courthouse	hof	courthouse	N;SG	N;SG
bank	bank	bank	bank	N;SG	N;SG
teken	draw	teken	draw	V;PRS	V;IMP;FIN
ooit	ever	ooit	ever	ADV	ADV
gedra	behave	dra	behave	V;PST;V.PTCP	V;IMP;FIN
gedra	borne	dra	borne	V;PST;V.PTCP	V;PST;V.PTCP
gesag	authority	gesag	authority	N;SG	N;SG
ensiklopedie	encyclopedia	ensiklopedie	encyclopedia	N;SG	N;SG
myl	mile	myl	mile	N;SG	N;SG
gebeure	events	gebeure	event	N;PL	N;PL
mitologie	mythology	mitologie	mythology	N;SG	N;SG
toekenning	award	toekenning	award	N;SG	N;SG
afsonderlike	separate	afsonderlik	separate	ADJ;NOM	ADJ
vliegtuig	airplane	vliegtuig	airplane	N;SG	N;SG
vliegtuig	plane	vliegtuig	plane	N;SG	N;SG
vliegtuig	aircraft	vliegtuig	aircraft	N;SG	N;SG
toegeneem	increased	toeneem	increase	V;PST;V.PTCP	V;PST;V.PTCP
hande	hands	hand	hand	N;PL	N;PL
kompetisie	competition	kompetisie	competition	N;SG	N;SG
kompetisie	contest	kompetisie	contest	N;SG	N;SG
privaat	private	privaat	private	ADJ;NOM	ADJ
dialekte	dialects	dialekte	dialect	N;PL	N;PL
partye	parties	party	party	N;PL	N;PL
dinge	things	ding	thing	N;PL	N;PL
tegniese	technical	tegnies	technical	ADJ;NOM	ADJ
karakters	characters	karakter	character	N;PL	N;PL
argitektuur	architecture	argitektuur	architecture	N;SG	N;SG
metode	method	metode	method	N;SG	N;SG
bespreek	discuss	bespreek	discuss	V;PRS	V;IMP;FIN
redes	reasons	rede	reason	N;PL	N;PL
eenhede	units	eenhede	unit	N;PL	N;PL
olie	oil	olie	oil	N;SG	N;SG
spelers	players	speler	player	N;PL	N;PL
twaalf	twelve	twaalf	twelve	NUM	NUM
sekretaris	secretary	sekretaris	secretary	N;SG	N;SG
federasie	federation	federasie	federation	N;SG	N;SG
stof	dust	stof	dust	N;SG	N;SG
kommersiële	commercial	kommersieel	commercial	ADJ;NOM	ADJ
primêre	primary	primêr	primary	ADJ;NOM	ADJ
persiese	persian	persies	persian	ADJ;NOM	ADJ
dam	dam	dam	dam	N;SG	N;SG
toekoms	future	toekoms	future	N;SG	N;SG
grootliks	significantly	grootliks	significantly	ADV	ADV
geslag	gender	geslag	gender	N;SG	N;SG
geslag	sex	geslag	sex	N;SG	N;SG
graf	grave	graf	grave	N;SG	N;SG
besoekers	visitors	besoeker	visitor	N;PL	N;PL
volwasse	mature	volwasse	mature	ADJ;NOM	ADJ
kies	select	kies	select	V;PRS	V;IMP;FIN
duitsers	germans	duitser	german	N;PL	N;PL
basiese	basic	basies	basic	ADJ;NOM	ADJ
benodig	need	benodig	need	V;PRS	V;IND;PRS;FIN
broers	brothers	broers	brother	N;PL	N;PL
komponis	composer	komponis	composer	N;SG	N;SG
kunstenaar	artist	kunstenaar	artist	N;SG	N;SG
germaanse	germanic	germaans	germanic	ADJ;NOM	ADJ
vermoë	ability	vermoë	ability	N;SG	N;SG
mond	mouth	mond	mouth	N;SG	N;SG
gesondheid	health	gesondheid	health	N;SG	N;SG
leerders	learners	leerder	learner	N;PL	N;PL
leerders	pupils	leerder	pupil	N;PL	N;PL
geskiedkundige	historical	geskiedkundig	historical	ADJ;NOM	ADJ
aktiwiteite	activities	aktiwiteit	activity	N;PL	N;PL
aktiwiteite	events	aktiwiteit	event	N;PL	N;PL
konflik	conflict	konflik	conflict	N;SG	N;SG
gemeenskaplike	common	gemeenskaplik	common	ADJ;NOM	ADJ
inkomste	income	inkomste	income	N;SG	N;SG
inkomste	revenue	inkomste	revenue	N;SG	N;SG
hulself	themselves	hulself	themselves	PRO;PL;3	PRO;PL;3;REFL
ken	know	ken	know	V;PRS	V;IND;PRS;FIN
ligte	slight	lig	slight	ADJ;NOM	ADJ
erfenis	heritage	erfenis	heritage	N;SG	N;SG
bladsye	pages	bladsy	page	N;PL	N;PL
heelal	universe	heelal	universe	N;SG	N;SG
verdwyn	disappear	verdwyn	disappear	V;PRS	V;IMP;FIN
geskei	separated	skei	separate	V;PST;V.PTCP	V;PST;V.PTCP
geskei	divorced	skei	divorced	V;PST;V.PTCP	V;PST;V.PTCP
hoek	angle	hoek	angle	N;SG	N;SG
tuiste	living	tuiste	living	N;SG	N;SG
verwante	related	verwant	related	ADJ;NOM	ADJ
sport	sport	sport	sport	N;SG	N;SG
selfstandige	independent	selfstandig	independent	ADJ;NOM	ADJ
onderneming	corporation	onderneming	corporation	N;SG	N;SG
onderneming	enterprise	onderneming	enterprise	N;SG	N;SG
tempel	temple	tempel	temple	N;SG	N;SG
twintig	twenty	twintig	twenty	NUM	NUM
literatuur	literature	literatuur	literature	N;SG	N;SG
saamgesmelt	melted	saamsmelt	melt	V;PST;V.PTCP	V;PST;V.PTCP
tabel	table	tabel	table	N;SG	N;SG
speler	player	speler	player	N;SG	N;SG
kommunistiese	communist	kommunisties	communist	ADJ;NOM	ADJ
sokkerspeler	footballer	sokkerspeler	footballer	N;SG	N;SG
prent	picture	prent	picture	N;SG	N;SG
prent	image	prent	image	N;SG	N;SG
prent	nature	prent	nature	N;SG	N;SG
vraag	question	vraag	question	N;SG	N;SG
sterrebeeld	constellation	sterrebeeld	constellation	N;SG	N;SG
optrede	behaviour	optrede	behaviour	N;SG	N;SG
optrede	conduct	optrede	conduct	N;SG	N;SG
blad	page	blad	page	N;SG	N;SG
letters	letters	letters	letter	N;PL	N;PL
reaksie	reaction	reaksie	reaction	N;SG	N;SG
opvoedkundige	educational	opvoedkundig	educational	ADJ;NOM	ADJ
geklassifiseer	classified	klassifiseer	classify	V;PST;V.PTCP	V;PST;V.PTCP
reëls	rules	reël	rule	N;PL	N;PL
reëls	lines	reël	line	N;PL	N;PL
geweier	declined	weier	decline	V;PST;V.PTCP	V;PST;V.PTCP
verduidelik	explain	verduidelik	explain	V;PRS	V;IMP;FIN
teater	theater	teater	theater	N;SG	N;SG
teater	theatre	teater	theatre	N;SG	N;SG
ingestel	cured	instel	cure	V;PST;V.PTCP	V;PST;V.PTCP
ingestel	introduced	instel	introduce	V;PST;V.PTCP	V;PST;V.PTCP
produk	product	produk	product	N;SG	N;SG
gewig	weight	gewig	weight	N;SG	N;SG
vallei	valley	vallei	valley	N;SG	N;SG
enjin	engine	enjin	engine	N;SG	N;SG
oom	uncle	oom	uncle	N;SG	N;SG
klank	sound	klank	sound	N;SG	N;SG
bygedra	contributed	bydra	contribute	V;PST;V.PTCP	V;PST;V.PTCP
taak	task	taak	task	N;SG	N;SG
mere	lakes	baie	lake	N;PL	N;PL
ondersteuning	support	ondersteuning	support	N;SG	N;SG
administrasie	administration	administrasie	administration	N;SG	N;SG
minute	mins	minute	min	N;PL	N;PL
minute	minutes	minute	minute	N;PL	N;PL
oprigting	construction	oprigting	construction	N;SG	N;SG
kandidaat	candidate	kandidaat	candidate	N;SG	N;SG
suksesvolle	successful	suksesvol	successful	ADJ;NOM	ADJ
toepassing	application	toepassing	application	N;SG	N;SG
toepassing	app	toepassing	app	N;SG	N;SG
toegepas	applied	toepas	apply	V;PST;V.PTCP	V;PST;V.PTCP
versterk	strengthen	versterk	strengthen	V;PRS	V;IMP;FIN
straat	street	straat	street	N;SG	N;SG
motors	automobiles	motors	automobile	N;PL	N;PL
motors	cars	motors	car	N;PL	N;PL
litause	lithuanian	litaus	lithuanian	ADJ;NOM	ADJ
maatskaplike	social	maatskaplik	social	ADJ;NOM	ADJ
getoon	expressed	toon	express	V;PST;V.PTCP	V;PST;V.PTCP
getref	hit	tref	hit	V;PST;V.PTCP	V;IMP;FIN
kat	cat	kat	cat	N;SG	N;SG
hout	wood	hout	wood	N;SG	N;SG
stroom	feed	stroom	feed	N;SG	N;SG
stroom	stream	stroom	stream	N;SG	N;SG
dier	animal	dier	animal	N;SG	N;SG
rig	incite	rig	incite	V;PRS	V;IMP;FIN
wiskundige	mathematical	wiskundig	mathematical	ADJ;NOM	ADJ
uitgebeeld	illustrated	uitbeeld	illustrate	V;PST;V.PTCP	V;PST;V.PTCP
vervaardiger	producer	vervaardiger	producer	N;SG	N;SG
vervaardiger	manufacturer	vervaardiger	manufacturer	N;SG	N;SG
betrekking	relation	betrekking	relation	N;SG	N;SG
wette	laws	wet	law	N;PL	N;PL
letter	letter	letter	letter	N;SG	N;SG
deelstate	states	deelstaat	state	N;PL	N;PL
onderrig	education	onderrig	education	N;SG	N;SG
onderrig	tutoring	onderrig	tutor	N;SG	N;SG
voordeel	advantage	voordeel	advantage	N;SG	N;SG
voordeel	benefit	voordeel	benefit	N;SG	N;SG
verskille	differences	verskil	difference	N;PL	N;PL
gees	spirit	gees	spirit	N;SG	N;SG
tropiese	tropical	tropies	tropical	ADJ;NOM	ADJ
kontak	contact	kontak	contact	V;PRS	V;IMP;FIN
vriende	friends	vriend	friend	N;PL	N;PL
gelys	listed	lys	list	V;PST;V.PTCP	V;PST;V.PTCP
aanvalle	attacks	aanval	attack	N;PL	N;PL
aangewend	applied	aanwend	apply	V;PST;V.PTCP	V;PST;V.PTCP
gevoer	excluded	voer	exclude	V;PST;V.PTCP	V;PST;V.PTCP
dadelik	immediately	dadelik	immediately	ADV	ADV
maal	multiplication	maal	multiplication	N;SG	N;SG
wiskunde	mathematics	wiskunde	mathematics	N;SG	N;SG
wiskunde	math	wiskunde	math	N;SG	N;SG
onderteken	encrypt	onderteken	encrypt	V;PRS	V;IMP;FIN
verbied	deny	verbied	deny	V;PRS	V;IMP;FIN
islamitiese	islamic	islamities	islamic	ADJ;NOM	ADJ
wysig	modify	wysig	modify	V;PRS	V;IMP;FIN
oorloë	wars	oorloë	war	N;PL	N;PL
hoogtepunt	highlight	hoogtepunt	highlight	V;PRS	V;IMP;FIN
kanaal	canal	kanaal	canal	N;SG	N;SG
kanaal	channel	kanaal	channel	N;SG	N;SG
fisiese	physical	fisies	physical	ADJ;NOM	ADJ
dokumente	docs	dokument	doc	N;PL	N;PL
veldtog	campaign	veldtog	campaign	N;SG	N;SG
hare	hair	haar	hair	N;SG	N;SG
tekste	texts	teks	text	N;PL	N;PL
gehoor	audience	gehoor	audience	N;SG	N;SG
gehoor	hearing	gehoor	hearing	N;SG	N;SG
toeriste	tourists	toeriste	tourist	N;PL	N;PL
bynaam	nickname	bynaam	nickname	N;SG	N;SG
planne	plans	plan	plan	N;PL	N;PL
joernalis	journalist	joernalis	journalist	N;SG	N;SG
werklikheid	reality	werklikheid	reality	N;SG	N;SG
instituut	institute	instituut	institute	N;SG	N;SG
gedefinieer	defined	definieer	define	V;PST;V.PTCP	V;PST;V.PTCP
direkte	direct	direk	direct	ADJ;NOM	ADJ
vervaardiging	manufacturing	vervaardiging	manufacturing	N;SG	N;SG
programme	applications	program	application	N;PL	N;PL
programme	programs	program	program	N;PL	N;PL
programme	shows	program	show	N;PL	N;PL
strand	beach	strand	beach	N;SG	N;SG
beskerming	protection	beskerming	protection	N;SG	N;SG
nommer	number	nommer	number	N;SG	N;SG
video	video	video	video	N;SG	N;SG
gebruiker	user	gebruiker	user	N;SG	N;SG
voedsel	food	voedsel	food	N;SG	N;SG
passasiers	passengers	passasier	passenger	N;PL	N;PL
stap	step	stap	step	N;SG	N;SG
leiers	leaders	leier	leader	N;PL	N;PL
tuin	garden	tuin	garden	N;SG	N;SG
toestande	conditions	toestande	condition	N;PL	N;PL
spoed	speed	spoed	speed	N;SG	N;SG
halfrond	hemisphere	halfrond	hemisphere	N;SG	N;SG
verkiesings	elections	verkiesing	election	N;PL	N;PL
hoeveelhede	doses	hoeveelheid	dose	N;PL	N;PL
gemeenskappe	communities	gemeenskap	community	N;PL	N;PL
sing	sings	sing	sing	V;PRS	V;IND;SG;3;PRS;FIN
rekord	record	rekord	record	N;SG	N;SG
permanente	permanent	permanent	permanent	ADJ;NOM	ADJ
bande	ties	bande	tie	N;PL	N;PL
stert	tail	stert	tail	N;SG	N;SG
geldeenheid	currency	geldeenheid	currency	N;SG	N;SG
skade	injury	skade	injury	N;SG	N;SG
skildery	painting	skildery	painting	N;SG	N;SG
begrip	understanding	begrip	understanding	N;SG	N;SG
bekendheid	fame	bekendheid	fame	N;SG	N;SG
valign	valign	valign	valign		
bydraes	contributions	bydraag	contribution	N;PL	N;PL
pryse	prices	pryse	price	N;PL	N;PL
toekennings	awards	toekenning	award	N;PL	N;PL
konsep	draft	konsep	draft	N;SG	N;SG
fase	phase	fase	phase	N;SG	N;SG
onderwerpe	topics	onderwerp	topic	N;PL	N;PL
gedrag	behaviour	gedrag	behaviour	N;SG	N;SG
gedrag	behavior	gedrag	behavior	N;SG	N;SG
elektroniese	electronic	elektronies	electronic	ADJ;NOM	ADJ
inval	invasion	inval	invasion	N;SG	N;SG
inval	raid	inval	raid	N;SG	N;SG
bisantynse	byzantine	bisantyns	byzantine	ADJ;NOM	ADJ
stasie	station	stasie	station	N;SG	N;SG
parlementêre	parliamentary	parlementêre	parliamentary	ADJ;NOM	ADJ
kamer	room	kamer	room	N;SG	N;SG
medalje	medal	medalje	medal	N;SG	N;SG
verwoes	destroy	verwoes	destroy	V;PRS	V;IMP;FIN
eiers	eggs	eiers	egg	N;PL	N;PL
plase	farms	plas	farm	N;PL	N;PL
ondernemings	initiatives	onderneming	initiative	N;PL	N;PL
ondernemings	enterprises	onderneming	enterprise	N;PL	N;PL
verwerp	reject	verwerp	reject	V;PRS	V;IMP;FIN
verwerp	discard	verwerp	discard	V;PRS	V;IMP;FIN
vereer	honoring	vereer	honor	V;PRS	V;V.MSDR
digitale	digital	digitaal	digital	ADJ;NOM	ADJ
standbeeld	statue	standbeeld	statue	N;SG	N;SG
tak	branch	tak	branch	N;SG	N;SG
kans	chance	kans	chance	N;SG	N;SG
antwoord	response	antwoord	response	N;SG	N;SG
roete	route	roet	route	N;SG	N;SG
spoorlyn	railway	spoorlyn	railway	N;SG	N;SG
oorgedra	transmitted	oordra	transmit	V;PST;V.PTCP	V;PST;V.PTCP
oorgedra	transferred	oordra	transfer	V;PST;V.PTCP	V;PST;V.PTCP
nasie	nation	nasie	nation	N;SG	N;SG
effek	effect	effek	effect	N;SG	N;SG
wentelbaan	orbit	wentelbaan	orbit	N;SG	N;SG
vermoedelik	presumably	vermoedelik	presumably	ADV	ADV
konings	kings	koning	king	N;PL	N;PL
goedgekeur	approved	goedkeur	approve	V;PST;V.PTCP	V;PST;V.PTCP
oplossing	solution	oplossing	solution	N;SG	N;SG
publikasies	encyclicals	publikasie	encyclical	N;PL	N;PL
publikasies	publications	publikasie	publication	N;PL	N;PL
samestelling	composition	samestelling	composition	N;SG	N;SG
uitsondering	exception	uitsondering	exception	N;SG	N;SG
bene	bones	bene	bone	N;PL	N;PL
hotel	hotel	hotel	hotel	N;SG	N;SG
besonderhede	details	besonderheid	detail	N;PL	N;PL
aangeval	attacked	aanval	attack	V;PST;V.PTCP	V;PST;V.PTCP
