van	frå	van	frå	ADP	ADP
kleur	farge	kleur	farge	N;MASC+FEM;SG	N;INDF;MASC;SG
live	live	live	live	N;MASC+FEM;SG	N
live	lev	live	la	N;MASC+FEM;SG	N;INDF;MASC;SG
live	direktesending	live	direktesending	N;MASC+FEM;SG	N;INDF;FEM;SG
reclame	reklamer	reclame	reklame	N;MASC+FEM;SG	N;INDF;MASC;SG
reclame	reklame	reclame	reklame	N;MASC+FEM;SG	N;INDF;MASC;SG
reclame	annonsering	reclame	annonsering	N;MASC+FEM;SG	N;INDF;FEM;SG
gevallen	saker	geval	sak	N;PL	N;INDF;FEM;PL
gevallen	tilfeller	geval	tilfelle	N;PL	N;INDF;FEM;PL
gevallen	kasser	geval	kasse	N;PL	N;INDF;FEM;PL
straal	bjelke	straal	bjelke	N;MASC+FEM;SG	N;INDF;MASC;SG
straal	stråle	straal	stråle	N;MASC+FEM;SG	N;INDF;FEM;SG
straal	beam	straal	beam	N;MASC+FEM;SG	N;INDF;NEUT;SG
straal	radius	straal	radius	N;MASC+FEM;SG	N;INDF;MASC;SG
middel	midje	middel	midje	N;NEUT;SG	N;INDF;MASC;SG
middel	midjen	middel	midje	N;NEUT;SG	N;INDF;MASC;SG
roman	roman	roman	roman	N;MASC+FEM;SG	N;INDF;MASC;SG
roman	roman	roman	roman	N;MASC+FEM;SG	N;INDF;MASC;SG
draagt	bærer	dragen	bære	V;SG;PRS;FIN	V;IND;PRS;FIN
ons	våre	ons	vår	PRO;ACC;1	PRO;PL
ons	vår	ons	vår	PRO;ACC;1	PRO;MASC;SG
ons	vårt	ons	vår	PRO;ACC;1	PRO;NEUT;SG
regelmatig	regelmessig	regelmatig	regelmessig	ADJ	ADJ;INDF;NEUT;SG
regelmatig	jevnlig	regelmatig	jevnlig	ADJ	ADJ;INDF;NEUT;SG
regelmatig	ofte	regelmatig	ofte	ADJ	ADJ
regelmatig	regulært	regelmatig	regulær	ADJ	ADJ;INDF;NEUT;SG
regelmatig	regelmessige	regelmatig	regelmessig	ADJ	ADJ;PL
regelmatig	vanlig	regelmatig	vanlig	ADJ	ADJ;INDF;NEUT;SG
oostenrijk	østerrike	oostenrijk	østerrik	N;NEUT;SG	N;INDF;NEUT;SG
troepen	tropper	troep	troppe	N;PL	N;INDF;FEM;PL
troepen	troppene	troep	troppe	N;PL	N;DEF;FEM;PL
aarde	jorden	aarde	jord	N;MASC+FEM;SG	N;DEF;MASC;SG
aarde	jorda	aarde	jord	N;MASC+FEM;SG	N;DEF;FEM;SG
aarde	jord	aarde	jord	N;MASC+FEM;SG	N;INDF;FEM;SG
aarde	earth	aarde	earth	N;MASC+FEM;SG	N
zegt	sier	zeggen	seie	V;SG;PRS;FIN	V;IND;PRS;FIN
nhm	nhm	nhm	nhm	N;MASC+FEM;SG	N;INDF;MASC;SG
frank	frank	frank	frank	N;MASC+FEM;SG	N;MASC
tropisch	tropisk	tropisch	tropisk	ADJ	ADJ;INDF;NEUT;SG
zanger	sanger	zanger	sanger	N;MASC+FEM;SG	N;INDF;MASC;SG
graafschap	county	graafschap	county	N;NEUT;SG	N;INDF;SG
graafschap	fylke	graafschap	fylke	N;NEUT;SG	N;INDF;NEUT;SG
kind	gutt	kind	gu	N;NEUT;SG	N;INDF;MASC;SG
kind	kid	kind	kid	N;NEUT;SG	N;INDF;MASC;SG
kind	child	kind	child	N;NEUT;SG	N
kind	barnet	kind	barn	N;NEUT;SG	N;DEF;NEUT;SG
berg	fjell	berg	fjell	N;MASC+FEM;SG	N;INDF;NEUT;SG
berg	mountain	berg	mountain	N;MASC+FEM;SG	N;INDF;NEUT;SG
berg	fjellet	berg	fjell	N;MASC+FEM;SG	N;DEF;NEUT;SG
berg	berg	berg	berg	N;MASC+FEM;SG	N;INDF;MASC;SG
albert	albert	albert	albert	N;MASC+FEM;SG	N;INDF;MASC;SG
uitgegeven	publiserte	uitgeven	publisere	V;V.PTCP	V;IND;PST;FIN
eilanden	øyer	eiland	øyer	N;PL	N;INDF;FEM;PL
stemmen	stemmer	stem	stemme	N;PL	N;INDF;FEM;PL
stemmen	stemmer	stem	stemme	N;PL	N;INDF;FEM;PL
stemmen	stemmene	stem	stemme	N;PL	N;DEF;FEM;PL
stemmen	stemmer	stem	stemme	N;PL	N;INDF;FEM;PL
paus	pope	paus	pope	N;MASC+FEM;SG	N;INDF;MASC;SG
paus	pave	paus	pave	N;MASC+FEM;SG	N;INDF;MASC;SG
japanse	japansk	japans	japansk	ADJ	ADJ;INDF;SG
kennis	kjenning	kennis	kjenning	N;MASC+FEM;SG	N;INDF;MASC;SG
kennis	bekjentskap	kennis	bekjentskap	N;MASC+FEM;SG	N;INDF;MASC;SG
kennis	kunnskap	kennis	kunnskap	N;MASC+FEM;SG	N;INDF;MASC;SG
officieel	offisielt	officieel	offisiell	ADJ	ADJ;INDF;NEUT;SG
officieel	offisiell	officieel	offisiell	ADJ	ADJ;INDF;SG
officieel	offisielle	officieel	offisiell	ADJ	ADJ;PL
officieel	offisielt	officieel	offisiell	ADJ	ADJ;INDF;NEUT;SG
bezig	travle	bezig	travl	ADJ	ADJ;PL
bezig	opptatt	bezig	opptatt	ADJ	ADJ;INDF;SG
bezig	travelt	bezig	travel	ADJ	ADJ;INDF;NEUT;SG
vallen	faller	vallen	falle	V;NFIN	V;IND;PRS;FIN
vallen	faller	vallen	falle	V;NFIN	V;IND;PRS;FIN
vallen	feller	vallen	felle	V;NFIN	V;IND;PRS;FIN
vallen	fall	vallen	falle	V;NFIN	V;IND;PST;FIN
brug	bro	brug	bro	N;MASC+FEM;SG	N;INDF;MASC;SG
chinese	kinesisk	chinees	kinesisk	ADJ	ADJ;INDF;NEUT;SG
plan	plan	plan	plan	N;NEUT;SG	N;INDF;MASC;SG
vlag	flagg	vlag	flagg	N;MASC+FEM;SG	N;INDF;NEUT;SG
datum	årstall	datum	årstall	N;MASC+FEM;SG	N;INDF;MASC;SG
datum	dato	datum	dato	N;MASC+FEM;SG	N;INDF;MASC;SG
datum	date	datum	date	N;MASC+FEM;SG	N;INDF;MASC;SG
inhoud	innhold	inhoud	innhold	N;MASC+FEM;SG	N;INDF;NEUT;SG
inhoud	innhald	inhoud	innhald	N;MASC+FEM;SG	N;INDF;NEUT;SG
inhoud	innholdet	inhoud	innhold	N;MASC+FEM;SG	N;DEF;NEUT;SG
inhoud	innhold	inhoud	innhold	N;MASC+FEM;SG	N;INDF;NEUT;SG
zitten	sit	zitten	sitje	V;NFIN	V;IND;PRS;FIN
parlement	parlamentet	parlement	parlament	N;NEUT;SG	N;DEF;NEUT;SG
parlement	parlament	parlement	parlament	N;NEUT;SG	N;INDF;NEUT;SG
parlement	folketinget	parlement	folketing	N;NEUT;SG	N;DEF;NEUT;SG
parlement	stortinget	parlement	storting	N;NEUT;SG	N;DEF;NEUT;SG
valign	valign	valign	valign	N;SG	N;INDF;MASC;SG
vijfde	femte	vijf	femte	ADJ	ADJ;DEF;SG
gemeenschap	fellesskap	gemeenschap	fellesskap	N;MASC+FEM;SG	N;INDF;NEUT;SG
gemeenschap	samfunnet	gemeenschap	samfunn	N;MASC+FEM;SG	N;DEF;NEUT;SG
gemeenschap	samfunn	gemeenschap	samfunn	N;MASC+FEM;SG	N;INDF;NEUT;SG
gemeenschap	fellesskapet	gemeenschap	fellesskap	N;MASC+FEM;SG	N;DEF;NEUT;SG
bestuur	brettspill	bestuur	brettspill	N;NEUT;SG	N;INDF;MASC;SG
bestuur	styret	bestuur	styre	N;NEUT;SG	N;DEF;NEUT;SG
bestuur	board	bestuur	board	N;NEUT;SG	N;INDF;NEUT;SG
bestuur	styring	bestuur	styring	N;NEUT;SG	N;INDF;FEM;SG
toren	tårn	toren	tårn	N;MASC+FEM;SG	N;INDF;NEUT;SG
toren	tower	toren	towe	N;MASC+FEM;SG	N;INDF;NEUT;SG
toren	tårnet	toren	tårne	N;MASC+FEM;SG	N;DEF;NEUT;SG
straat	streets	straat	streets	N;MASC+FEM;SG	N;INDF;SG
straat	gatelangs	straat	gatelangs	N;MASC+FEM;SG	N;INDF;NEUT;SG
straat	gate	straat	gate	N;MASC+FEM;SG	N;INDF;FEM;SG
straat	gaten	straat	gat	N;MASC+FEM;SG	N;DEF;MASC;SG
straat	gata	straat	gate	N;MASC+FEM;SG	N;DEF;FEM;SG
straat	stredet	straat	stred	N;MASC+FEM;SG	N;DEF;NEUT;SG
straat	strait	straat	strai	N;MASC+FEM;SG	N;INDF;NEUT;SG
site	nettsted	site	nettsted	N;MASC+FEM;SG	N;INDF;NEUT;SG
site	nettstedet	site	nettsted	N;MASC+FEM;SG	N;DEF;NEUT;SG
site	site	site	sitje	N;MASC+FEM;SG	N;INDF;MASC;SG
pierre	pierre	pierre	pierre	N;MASC+FEM;SG	N;INDF;MASC;SG
voldoende	tilstrekkelig	voldoende	tilstrekkelig	ADJ	ADJ;INDF;NEUT;SG
voldoende	tilstrekkelig	voldoende	tilstrekkelig	ADJ	ADJ;INDF;NEUT;SG
voldoende	tilstrekkelig	voldoende	tilstrekkelig	ADJ	ADJ;INDF;NEUT;SG
gesloten	låste	sluiten	låse	V;V.PTCP	V;IND;PST;FIN
publiek	publikum	publiek	publikum	N;NEUT;SG	N;INDF;NEUT;SG
publiek	publikummet	publiek	publikum	N;NEUT;SG	N;DEF;NEUT;SG
vorige	forrige	vorig	forrige	ADJ	ADJ;PL
resultaten	resultater	resultaat	resultater	N;PL	N;INDF;FEM;PL
internationaal	internasjonalt	internationaal	internasjonal	ADJ	ADJ;INDF;NEUT;SG
internationaal	internasjonale	internationaal	internasjonal	ADJ	ADJ;PL
internationaal	internasjonal	internationaal	internasjonal	ADJ	ADJ;INDF;SG
horen	hører	horen	høre	V;NFIN	V;IND;PRS;FIN
mark	marker	mark	marker	N;MASC+FEM;SG	N;INDF;MASC;SG
mark	mark	mark	mark	N;MASC+FEM;SG	N;INDF;NEUT;SG
persoonlijke	personlig	persoonlijk	personlig	ADJ	ADJ;INDF;NEUT;SG
persoonlijke	personlige	persoonlijk	personlig	ADJ	ADJ;PL
model	modell	model	modell	N;NEUT;SG	N;INDF;MASC;SG
wijze	klok	wijze	klok	N;MASC+FEM;SG	N;INDF;MASC;SG
smith	smith	smith	smith	N;MASC+FEM;SG	N;INDF;MASC;SG
stem	avstemning	stem	avstemning	N;MASC+FEM;SG	N;INDF;FEM;SG
stem	stemme	stem	stemme	N;MASC+FEM;SG	N;INDF;FEM;SG
stem	stem	stem	stem	N;MASC+FEM;SG	N;INDF;MASC;SG
stem	voice	stem	voice	N;MASC+FEM;SG	N;INDF;MASC;SG
stem	stemma	stem	stemme	N;MASC+FEM;SG	N;DEF;FEM;SG
stem	røst	stem	røst	N;MASC+FEM;SG	N;INDF;MASC;SG
stem	stemme	stem	stemme	N;MASC+FEM;SG	N;INDF;FEM;SG
markt	markt	markt	mark	N;MASC+FEM;SG	N;INDF;NEUT;SG
markt	markedet	markt	marked	N;MASC+FEM;SG	N;DEF;NEUT;SG
markt	market	markt	mark	N;MASC+FEM;SG	N;INDF;NEUT;SG
markt	marked	markt	marked	N;MASC+FEM;SG	N;INDF;MASC;SG
molen	vindmølle	molen	vindmølle	N;MASC+FEM;SG	N;INDF;FEM;SG
molen	mølla	molen	mølle	N;MASC+FEM;SG	N;DEF;FEM;SG
molen	mill	molen	mill.	N;MASC+FEM;SG	N
molen	mølle	molen	møle	N;MASC+FEM;SG	N;INDF;FEM;SG
sociale	sosialt	sociaal	sosial	ADJ	ADJ;INDF;NEUT;SG
sociale	sosiale	sociaal	sosial	ADJ	ADJ;PL
sociale	sosial	sociaal	sosial	ADJ	ADJ;INDF;SG
partijen	fester	partij	fester	N;PL	N;INDF;FEM;PL
koningin	dronningen	koningin	dronning	N;MASC+FEM;SG	N;DEF;MASC;SG
koningin	queen	koningin	que	N;MASC+FEM;SG	N;DEF;MASC;SG
koningin	dronning	koningin	dronning	N;MASC+FEM;SG	N;INDF;FEM;SG
mening	oppfatning	mening	oppfatning	N;MASC+FEM;SG	N;INDF;FEM;SG
mening	mening	mening	mening	N;MASC+FEM;SG	N;INDF;FEM;SG
kans	sjanse	kans	sjanse	N;MASC+FEM;SG	N;INDF;MASC;SG
kans	chance	kans	chance	N;MASC+FEM;SG	N
kans	sjans	kans	sjans	N;MASC+FEM;SG	N;INDF;MASC;SG
kans	mulighet	kans	mulighet	N;MASC+FEM;SG	N;INDF;FEM;SG
aandacht	oppmerksomhet	aandacht	oppmerksomhet	N;MASC+FEM;SG	N;INDF;MASC;SG
niveau	niva	niveau	niv	N;NEUT;SG	N;INDF;NEUT;SG
niveau	nivå	niveau	nivå	N;NEUT;SG	N;INDF;NEUT;SG
niveau	nivået	niveau	nivå	N;NEUT;SG	N;DEF;NEUT;SG
niveau	level	niveau	level	N;NEUT;SG	N;INDF;MASC;SG
bijzonder	spesielt	bijzonder	spesiell	ADJ	ADJ;INDF;NEUT;SG
bijzonder	spesiell	bijzonder	spesiell	ADJ	ADJ;INDF;SG
bijzonder	spesielle	bijzonder	spesiell	ADJ	ADJ;PL
debuut	debut	debuut	debut	N;NEUT;SG	N;INDF;MASC;SG
debuut	debuten	debuut	debut	N;NEUT;SG	N;DEF;MASC;SG
bisschop	biskop	bisschop	biskop	N;MASC+FEM;SG	N;INDF;MASC;SG
bisschop	bishop	bisschop	bishop	N;MASC+FEM;SG	N;INDF;MASC;SG
ploeg	plog	ploeg	plog	N;MASC+FEM;SG	N;INDF;MASC;SG
ploeg	pløye	ploeg	pløye	N;MASC+FEM;SG	N;INDF;MASC;SG
ploeg	plough	ploeg	plough	N;MASC+FEM;SG	N;INDF;MASC;SG
trok	trakk	trekken	trekkje	V;SG;PST;FIN	V;IND;PST;FIN
vaste	solid	vast	solid	ADJ	ADJ;INDF;NEUT;SG
vaste	massivt	vast	massiv	ADJ	ADJ;INDF;NEUT;SG
vaste	solide	vast	solid	ADJ	ADJ;PL
vaste	fast	vast	fast	ADJ	ADJ;INDF;NEUT;SG
vaste	reparert	vast	reparere	ADJ	ADJ;INDF;SG;V.PTCP
hertog	duke	hertog	duke	N;MASC+FEM;SG	N;INDF;NEUT;SG
hertog	hertug	hertog	hertug	N;MASC+FEM;SG	N;INDF;MASC;SG
oranje	oransje	oranje	oransje	ADJ	ADJ;PL
rechten	rettigheter	recht	rettigheter	N;PL	N;INDF;FEM;PL
rechten	rettighetene	recht	rettigheten	N;PL	N;DEF;FEM;PL
verzoek	forespørselen	verzoek	forespørsel	N;NEUT;SG	N;DEF;MASC;SG
verzoek	forespørsel	verzoek	forespørsel	N;NEUT;SG	N;INDF;FEM;SG
verzoek	anmodning	verzoek	anmodning	N;NEUT;SG	N;INDF;FEM;SG
golf	bukt	golf	bukt	N;MASC+FEM;SG	N;INDF;FEM;SG
golf	vink	golf	vink	N;MASC+FEM;SG	N;INDF;NEUT;SG
golf	bølge	golf	bølgje	N;MASC+FEM;SG	N;INDF;FEM;SG
zomer	summer	zomer	summer	N;MASC+FEM;SG	N;INDF;NEUT;SG
zomer	sommer	zomer	sommer	N;MASC+FEM;SG	N;INDF;MASC;SG
teams	lagene	team	lage	N;PL	N;DEF;FEM;PL
groter	større	groot	stor	ADJ;CMPR	ADJ;CMPR
groter	større	groot	stor	ADJ;CMPR	ADJ;CMPR
groter	større	groot	stor	ADJ;CMPR	ADJ;CMPR
college	college	college	colleg	N;NEUT;SG	N;INDF;NEUT;SG
college	høgskole	college	høgskole	N;NEUT;SG	N;INDF;MASC;SG
college	høyskole	college	høyskole	N;NEUT;SG	N;INDF;MASC;SG
grotere	større	groot	stor	ADJ;CMPR	ADJ;CMPR
relatie	relasjon	relatie	relasjon	N;MASC+FEM;SG	N;INDF;MASC;SG
relatie	forholdet	relatie	forhold	N;MASC+FEM;SG	N;DEF;NEUT;SG
relatie	forhold	relatie	forhold	N;MASC+FEM;SG	N;INDF;NEUT;SG
race	kappløp	race	kappløp	N;MASC+FEM;SG	N;INDF;NEUT;SG
race	rase	race	rase	N;MASC+FEM;SG	N;INDF;MASC;SG
race	race	race	race	N;MASC+FEM;SG	N
baan	jobben	baan	jobb	N;MASC+FEM;SG	N;DEF;MASC;SG
baan	job	baan	job	N;MASC+FEM;SG	N;INDF;SG
baan	jobb	baan	jobb	N;MASC+FEM;SG	N;INDF;MASC;SG
festival	festival	festival	festival	N;NEUT;SG	N;INDF;MASC;SG
reactie	kommentar	reactie	kommentar	N;MASC+FEM;SG	N;INDF;MASC;SG
reactie	reaksjon	reactie	reaksjon	N;MASC+FEM;SG	N;INDF;MASC;SG
reactie	respons	reactie	respons	N;MASC+FEM;SG	N;INDF;MASC;SG
nominatie	nominasjonen	nominatie	nominasjon	N;MASC+FEM;SG	N;DEF;MASC;SG
nominatie	nominasjon	nominatie	nominasjon	N;MASC+FEM;SG	N;INDF;MASC;SG
buurt	nabolaget	buurt	nabolag	N;MASC+FEM;SG	N;DEF;NEUT;SG
buurt	nabolag	buurt	nabolag	N;MASC+FEM;SG	N;INDF;NEUT;SG
buurt	strøket	buurt	strøk	N;MASC+FEM;SG	N;DEF;NEUT;SG
buurt	nabolaget	buurt	nabolag	N;MASC+FEM;SG	N;DEF;NEUT;SG
buurt	nabolag	buurt	nabolag	N;MASC+FEM;SG	N;INDF;NEUT;SG
buurt	strøk	buurt	strøk	N;MASC+FEM;SG	N;INDF;NEUT;SG
buurt	nærområde	buurt	nærområde	N;MASC+FEM;SG	N;INDF;NEUT;SG
koor	sangkor	koor	sangkor	N;NEUT;SG	N;INDF;MASC;SG
koor	refrenget	koor	refreng	N;NEUT;SG	N;DEF;NEUT;SG
koor	chorus	koor	chorus	N;NEUT;SG	N
hulp	aid	hulp	aid	N;MASC+FEM;SG	N;INDF;NEUT;SG
hulp	hjelp	hulp	hjelp	N;MASC+FEM;SG	N;INDF;FEM;SG
samenwerking	samarbeid	samenwerking	samarbeid	N;MASC+FEM;SG	N;INDF;NEUT;SG
samenwerking	samarbeid	samenwerking	samarbeid	N;MASC+FEM;SG	N;INDF;NEUT;SG
besluit	avgjørelse	besluit	avgjørels	N;NEUT;SG	N;INDF;MASC;SG
besluit	avgjørelsen	besluit	avgjørels	N;NEUT;SG	N;DEF;MASC;SG
besluit	beslutning	besluit	beslutning	N;NEUT;SG	N;INDF;FEM;SG
besluit	vedtak	besluit	vedtak	N;NEUT;SG	N;INDF;NEUT;SG
lied	sang	lied	sang	N;NEUT;SG	N;INDF;MASC;SG
lied	låt	lied	låt	N;NEUT;SG	N;INDF;MASC;SG
lied	sangen	lied	sang	N;NEUT;SG	N;DEF;MASC;SG
lied	song	lied	song	N;NEUT;SG	N;INDF;MASC;SG
sport	sport	sport	sport	N;MASC+FEM;SG	N;INDF;MASC;SG
sport	idrett	sport	idrett	N;MASC+FEM;SG	N;INDF;MASC;SG
langer	lenger	langer	lenge	ADJ;CMPR	ADJ;CMPR
langer	lengre	langer	lang	ADJ;CMPR	ADJ;CMPR
langer	lengere	langer	lengere	ADJ;CMPR	ADJ;CMPR
opleiding	trening	opleiding	trening	N;MASC+FEM;SG	N;INDF;FEM;SG
opleiding	opplæring	opleiding	opplæring	N;MASC+FEM;SG	N;INDF;FEM;SG
studie	studie	studie	studium	N;MASC+FEM;SG	N;INDF;MASC;SG
media	media	media	medium	N;PL	N;DEF;NEUT;PL
media	mediefiler	media	mediefile	N;PL	N;INDF;MASC;PL
vroeg	tidig	vroeg	tidig	ADJ	ADJ;INDF;SG
vroeg	tidlig	vroeg	tidlig	ADJ	ADJ;INDF;NEUT;SG
vroeg	tidlige	vroeg	tidlig	ADJ	ADJ;PL
vroeg	tidleg	vroeg	tidleg	ADJ	ADJ;INDF;NEUT;SG
trainer	coach	trainer	coach	N;MASC+FEM;SG	N
groet	hilser	groet	hilse	N;MASC+FEM;SG	N;INDF;MASC;SG
groet	hilsen	groet	hils	N;MASC+FEM;SG	N;INDF;MASC;SG
groet	hilser	groet	hilse	N;MASC+FEM;SG	N;INDF;MASC;SG
groet	honnør	groet	honnør	N;MASC+FEM;SG	N;INDF;MASC;SG
groepen	grupper	groep	gruppe	N;PL	N;INDF;FEM;PL
groepen	gruppene	groep	gruppe	N;PL	N;DEF;FEM;PL
zag	såg	zien	sjå	V;SG;PST;FIN	V;IND;PST;FIN
upload	opplastingen	upload	opplasting	N;MASC+FEM;SG	N;DEF;MASC;SG
upload	opplasting	upload	opplasting	N;MASC+FEM;SG	N;INDF;FEM;SG
gitaar	guitar	gitaar	guit	N;MASC+FEM;SG	N;INDF;MASC;SG
gitaar	gitar	gitaar	gitar	N;MASC+FEM;SG	N;INDF;MASC;SG
liep	gikk	lopen	gå	V;SG;PST;FIN	V;IND;PST;FIN
liep	gått	lopen	gå	V;SG;PST;FIN	V;V.PTCP
liep	gjekk	lopen	gå	V;SG;PST;FIN	V;IND;PST;FIN
situatie	situasjon	situatie	situasjon	N;MASC+FEM;SG	N;INDF;MASC;SG
verband	bandasjer	verband	bandasje	N;NEUT;SG	N;INDF;MASC;SG
verband	bandasjer	verband	bandasje	N;NEUT;SG	N;INDF;MASC;SG
verband	bandasje	verband	bandasje	N;NEUT;SG	N;INDF;MASC;SG
betekenis	betydning	betekenis	betydning	N;MASC+FEM;SG	N;INDF;FEM;SG
betekenis	mening	betekenis	mening	N;MASC+FEM;SG	N;INDF;FEM;SG
betekenis	betydning	betekenis	betydning	N;MASC+FEM;SG	N;INDF;FEM;SG
italiaans	italienske	italiaans	italiensk	ADJ	ADJ;PL
onafhankelijke	uavhengige	onafhankelijk	uavhengig	ADJ	ADJ;PL
onafhankelijke	uavhengig	onafhankelijk	uavhengig	ADJ	ADJ;INDF;NEUT;SG
onafhankelijke	selvstendig	onafhankelijk	selvstendig	ADJ	ADJ;INDF;NEUT;SG
selectie	utvalg	selectie	utvalg	N;MASC+FEM;SG	N;INDF;NEUT;SG
selectie	utvalget	selectie	utvalg	N;MASC+FEM;SG	N;DEF;NEUT;SG
parochie	kommune	parochie	kommune	N;MASC+FEM;SG	N;INDF;MASC;SG
parochie	prestegjeld	parochie	prestegjeld	N;MASC+FEM;SG	N;INDF;NEUT;SG
speciale	spesielt	speciaal	spesiell	ADJ	ADJ;INDF;NEUT;SG
speciale	spesiell	speciaal	spesiell	ADJ	ADJ;INDF;SG
speciale	spesielle	speciaal	spesiell	ADJ	ADJ;PL
jong	ungt	jong	ung	ADJ	ADJ;INDF;NEUT;SG
jong	ung	jong	ung	ADJ	ADJ;INDF;SG
jong	unge	jong	ung	ADJ	ADJ;PL
economische	økonomisk	economisch	økonomisk	ADJ	ADJ;INDF;NEUT;SG
ontwerp	design	ontwerp	design	N;NEUT;SG	N;INDF;MASC;SG
locatie	beliggenhet	locatie	beliggenhet	N;MASC+FEM;SG	N;DEF;MASC;SG
locatie	lokalisering	locatie	lokalisering	N;MASC+FEM;SG	N;INDF;FEM;SG
locatie	lokasjon	locatie	lokasjon	N;MASC+FEM;SG	N;INDF;MASC;SG
locatie	posisjon	locatie	posisjon	N;MASC+FEM;SG	N;INDF;MASC;SG
locatie	plassering	locatie	plassering	N;MASC+FEM;SG	N;INDF;FEM;SG
hof	court	hof	cour	N;NEUT;SG	N
hof	hoff	hof	hoff	N;NEUT;SG	N;INDF;NEUT;SG
hof	retten	hof	rett	N;NEUT;SG	N;DEF;MASC;SG
hof	domstol	hof	domstol	N;NEUT;SG	N;INDF;MASC;SG
lopen	går	lopen	gå	V;NFIN	V;IND;PRS;FIN
lopen	gå	lopen	gå	V;NFIN	V;NFIN
zaak	case	zaak	case	N;MASC+FEM;SG	N
zaak	sak	zaak	sak	N;MASC+FEM;SG	N;INDF;FEM;SG
zaak	kasus	zaak	kasus	N;MASC+FEM;SG	N;INDF;NEUT;SG
zaak	saken	zaak	sak	N;MASC+FEM;SG	N;DEF;MASC;SG
lodewijk	louis	lodewijk	louis	N;MASC+FEM;SG	N;INDF;MASC;SG
gegevens	opplysninger	gegeven	opplysninger	N;PL	N;INDF;FEM;PL
gegevens	dataene	gegeven	data	N;PL	N;DEF;FEM;PL
vol	full	vol	full	ADJ	ADJ;INDF;SG
vol	fullt	vol	full	ADJ	ADJ;INDF;NEUT;SG
hoop	håp	hoop	håp	N;MASC+FEM;SG	N;INDF;NEUT;SG
hoop	håpe	hoop	håpe	N;MASC+FEM;SG	N;INDF;MASC;SG
hoop	håp	hoop	håp	N;MASC+FEM;SG	N;INDF;NEUT;SG
hoop	hope	hoop	hope	N;MASC+FEM;SG	N;INDF;MASC;SG
premier	premier	premier	premie	N;MASC+FEM;SG	N;INDF;MASC;SG
ver	langt	ver	lang	ADJ	ADJ;INDF;NEUT;SG
jeugd	ungdommen	jeugd	ungdom	N;MASC+FEM;SG	N;DEF;MASC;SG
jeugd	ungdom	jeugd	ungdom	N;MASC+FEM;SG	N;INDF;MASC;SG
jeugd	barndom	jeugd	barndom	N;MASC+FEM;SG	N;INDF;MASC;SG
jeugd	barndoms	jeugd	barndoms	N;MASC+FEM;SG	N;INDF;MASC;SG
jeugd	barndommen	jeugd	barndom	N;MASC+FEM;SG	N;DEF;MASC;SG
gebouwen	bygninger	gebouw	bygninger	N;PL	N;INDF;MASC;PL
beweging	motion	beweging	motion	N;MASC+FEM;SG	N;INDF;MASC;SG
beweging	bevegelse	beweging	bevegelse	N;MASC+FEM;SG	N;INDF;MASC;SG
beweging	bevegelse	beweging	bevegelse	N;MASC+FEM;SG	N;INDF;MASC;SG
beweging	movement	beweging	movement	N;MASC+FEM;SG	N;INDF;NEUT;SG
overwinning	seieren	overwinning	seier	N;MASC+FEM;SG	N;DEF;MASC;SG
overwinning	victory	overwinning	victory	N;MASC+FEM;SG	N
klooster	kloster	klooster	kloster	N;NEUT;SG	N;INDF;NEUT;SG
literatuur	litteratur	literatuur	litteratur	N;MASC+FEM;SG	N;INDF;MASC;SG
regels	regler	regel	regel	N;PL	N;INDF;FEM;PL
goud	gull	goud	gull	N;NEUT;SG	N;INDF;NEUT;SG
fort	festning	fort	festning	N;NEUT;SG	N;INDF;FEM;SG
cultuur	lmfao	cultuur	lmfao	N;MASC+FEM;SG	N;INDF;MASC;SG
cultuur	kulturen	cultuur	kultur	N;MASC+FEM;SG	N;DEF;MASC;SG
cultuur	kultur	cultuur	kultur	N;MASC+FEM;SG	N;INDF;MASC;SG
formule	formula	formule	formule	N;MASC+FEM;SG	N;INDF;MASC;SG
formule	formel	formule	formel	N;MASC+FEM;SG	N;INDF;MASC;SG
frederik	frederik	frederik	frederik	N;MASC+FEM;SG	N;INDF;MASC;SG
frederik	frederick	frederik	frederick	N;MASC+FEM;SG	N;INDF;MASC;SG
vertaling	oversettelse	vertaling	oversettelse	N;MASC+FEM;SG	N;INDF;MASC;SG
vertaling	oversettelsen	vertaling	oversettelse	N;MASC+FEM;SG	N;DEF;MASC;SG
brabant	brabant	brabant	brabant	N;MASC+FEM;SG	N;INDF;MASC;SG
seizoenen	årstider	seizoen	årstid	N;PL	N;INDF;FEM;PL
seizoenen	årstidene	seizoen	årstid	N;PL	N;DEF;FEM;PL
seizoenen	sesongene	seizoen	sesong	N;PL	N;DEF;MASC;PL
ouders	foreldre	ouder	forelder	N;PL	N;INDF;MASC;PL
ogen	eyes	oog	eyks	N;PL	N
ogen	øynene	oog	øyne	N;PL	N;DEF;MASC;PL
ster	stjerna	ster	stjerne	N;MASC+FEM;SG	N;DEF;FEM;SG
ster	stjerne	ster	stjerne	N;MASC+FEM;SG	N;INDF;FEM;SG
verhalen	historier	verhaal	historie	N;PL	N;INDF;FEM;PL
verhalen	hendingar	verhaal	hending	N;PL	N;INDF;FEM;PL
verhalen	fortellinger	verhaal	fortellinger	N;PL	N;INDF;FEM;PL
overheid	regjering	overheid	regjering	N;MASC+FEM;SG	N;INDF;FEM;SG
svg	svg	svg	svg	N;MASC+FEM;SG	N
