ele	그를	ele	그+를	PRO;NOM;MASC;SG;3	PRO
chegar	도착하다	chegar	도착+하+다	V;NFIN	V
marinha	해군	marinho	해군	N;FEM;SG	N
marinha	해병대	marinho	해병대	N;FEM;SG	N
princesa	공주님	princesa	공주님	N;FEM;SG	N
simplesmente	간단히	simplesmente	간단+히	ADV	ADV
simplesmente	단순히	simplesmente	단순+히	ADV	ADV
hospital	병원	hospital	병원	N;MASC;SG	N
histórias	스토리	história	스토리	N;FEM;PL	N
histórias	소식	história	소식	N;FEM;PL	N
mão	핸드	mão	핸드	N;FEM;SG	N
filosofia	철학	filosofia	철학	N;FEM;SG	N
efeito	영향	efeito	영향	N;MASC;SG	N
efeito	효과	efeito	효과	N;MASC;SG	N
viagem	여행	viagem	여행	N;FEM;SG	N
viagem	여행	viagem	여행	N;FEM;SG	N
viagem	여행	viagem	여행	N;FEM;SG	N
esquerda	좌파	esquerda	좌파	N;FEM;SG	N
peças	부품	peça	부품	N;FEM;PL	N
peças	부분	peça	부분	N;FEM;PL	N
peças	조각	peça	조각	N;FEM;PL	N
seção	섹션	seção	섹션	N;FEM;SG	N
coração	심장	coração	심장	N;MASC;SG	N
coração	마음	coração	마음	N;MASC;SG	N
golos	목표	golo	목표	N;MASC;PL	N
american	미국인	american	미국인	N;MASC;SG	N
colégio	대학교	colégio	대학교	N;MASC;SG	N
colégio	대학	colégio	대학	N;MASC;SG	N
motor	모터	motor	모터	N;MASC;SG	N
motor	전동기	motor	전동기	N;MASC;SG	N
desempenho	공연	desempenho	공연	N;MASC;SG	N
desempenho	성능	desempenho	성능	N;MASC;SG	N
línguas	언어	língua	언어	N;FEM;PL	N
efeitos	영향	efeito	영향	N;MASC;PL	N
efeitos	효과	efeito	효과	N;MASC;PL	N
visão	시력	visão	시력	N;FEM;SG	N
visão	시각	visão	시각	N;FEM;SG	N
cores	색깔	cor	색깔	N;FEM;PL	N
sítio	장소	sítio	장소	N;MASC;SG	N
conflito	갈등	conflito	갈등	N;MASC;SG	N
conflito	갈등이	conflito	갈등+이	N;MASC;SG	N
conflito	충돌	conflito	충돌	N;MASC;SG	N
conflito	분쟁	conflito	분쟁	N;MASC;SG	N
dinheiro	돈이	dinheiro	돈+이	N;MASC;SG	N
dinheiro	캐시	dinheiro	캐시	N;MASC;SG	N
dinheiro	현금	dinheiro	현금	N;MASC;SG	N
tour	투어	tour	투+어	N;MASC;SG	N
tour	관광	tour	관광	N;MASC;SG	N
tour	구경	tour	구경	N;MASC;SG	N
tour	여행	tour	여행	N;MASC;SG	N
finais	결승전	final	결승전	N;MASC;PL	N
finais	결승	final	결승	N;MASC;PL	N
finais	기말고사	final	기말고사	N;MASC;PL	N
finais	결승전	final	결승전	N;MASC;PL	N
lugares	음식점	lugar	음식점	N;MASC;PL	N
lugares	장소	lugar	장소	N;MASC;PL	N
lugares	좌석	lugar	좌석	N;MASC;PL	N
oficialmente	공식적으로	oficialmente	공식+적+으로	ADV	ADV
ações	주식	ação	주식	N;FEM;PL	N
ações	공유	ação	공유	N;FEM;PL	N
ações	행동	ação	행동	N;FEM;PL	N
ações	활동	ação	활동	N;FEM;PL	N
ações	동작	ação	동작	N;FEM;PL	N
ações	액션	ação	액션	N;FEM;PL	N
comentário	댓글	comentário	댓글	N;MASC;SG	N
comentário	댓글	comentário	댓글	N;MASC;SG	N
medida	측정	medida	측정	N;FEM;SG	N
national	국립	national	국립	N;MASC;SG	N
national	국민	national	국민	N;MASC;SG	N
constituição	헌법	constituição	헌법	N;FEM;SG	N
auto	자동	auto	자동	N;MASC;SG	N
memória	추억	memória	추억	N;FEM;SG	N
memória	기억력	memória	기억력	N;FEM;SG	N
memória	메모리	memória	메모리	N;FEM;SG	N
memória	기억	memória	기억	N;FEM;SG	N
biblioteca	도서관	biblioteca	도서관	N;FEM;SG	N
medicina	의학	medicina	의학	N;FEM;SG	N
medicina	의학	medicina	의학	N;FEM;SG	N
medicina	의료	medicina	의료	N;FEM;SG	N
propriedade	자산	propriedade	자산	N;FEM;SG	N
propriedade	재산권	propriedade	재산권	N;FEM;SG	N
propriedade	속성	propriedade	속성	N;FEM;SG	N
propriedade	재산	propriedade	재산	N;FEM;SG	N
fundador	설립자	fundador	설립자	N;MASC;SG	N
regra	법칙	regra	법칙	N;FEM;SG	N
regra	규칙	regra	규칙	N;FEM;SG	N
tratamento	시술	tratamento	시술	N;MASC;SG	N
tratamento	치료	tratamento	치료	N;MASC;SG	N
temas	주제	tema	주제	N;MASC;PL	N
temas	주제	tema	주제	N;MASC;PL	N
novela	소설	novela	소설	N;FEM;SG	N
falar	말하기	falar	말하+기	V;NFIN	V
carta	편지	carta	편지	N;FEM;SG	N
notas	지폐	nota	지폐	N;FEM;PL	N
proteção	보호	proteção	보호	N;FEM;SG	N
proteção	보호	proteção	보호	N;FEM;SG	N
proteção	보호	proteção	보호	N;FEM;SG	N
alemã	독일인	alemã	독일인	N;FEM;SG	N
carro	자동차	carro	자동차	N;MASC;SG	N
carro	차량	carro	차량	N;MASC;SG	N
max	최대	max	최대	N;MASC;SG	N
frequentemente	자주	frequentemente	자주	ADV	ADV
frequentemente	자주	frequentemente	자주	ADV	ADV
solicitação	요청	solicitação	요청	N;FEM;SG	N
bronze	청동기	bronze	청동기	N;MASC;SG	N
descoberta	발견	descoberta	발견	N;FEM;SG	N
satélite	인공위성	satélite	인공위성	N;MASC;SG	N
satélite	위성	satélite	위성	N;MASC;SG	N
participar	참여하기	participar	참여+하+기	V;NFIN	V
participar	가입하기	participar	가입+하+기	V;NFIN	V
nacionais	국립	nacional	국립	N;MASC;PL	N
nacionais	국민	nacional	국민	N;MASC;PL	N
gestão	경영	gestão	경영	N;FEM;SG	N
gestão	관리	gestão	관리	N;FEM;SG	N
trilha	트랙	trilha	트랙	N;FEM;SG	N
trilha	추적	trilha	추적	N;FEM;SG	N
trilha	흔적	trilha	흔적	N;FEM;SG	N
trilha	트레일	trilha	트레일	N;FEM;SG	N
lago	호수	lago	호수	N;MASC;SG	N
dupla	듀얼	dupla	듀+얼	N;FEM;SG	N
comédia	코미디	comédia	코미디	N;FEM;SG	N
comédia	희극	comédia	희극	N;FEM;SG	N
extensão	확장	extensão	확장	N;FEM;SG	N
extensão	연장	extensão	연장	N;FEM;SG	N
extensão	확장자	extensão	확장자	N;FEM;SG	N
extensão	확대	extensão	확대	N;FEM;SG	N
números	수치	número	수치	N;MASC;PL	N
números	숫자	número	숫자	N;MASC;PL	N
direita	오른쪽	direita	오른쪽	N;FEM;SG	N
completamente	완전히	completamente	완전+히	ADV	ADV
completamente	완전히	completamente	완전+히	ADV	ADV
candidato	지원자	candidato	지원자	N;MASC;SG	N
candidato	후보	candidato	후보	N;MASC;SG	N
candidato	후보자	candidato	후보자	N;MASC;SG	N
padre	성직자	padre	성직자	N;MASC;SG	N
padre	아버지	padre	아버지	N;MASC;SG	N
objeto	객체	objeto	객체	N;MASC;SG	N
objeto	개체	objeto	개체	N;MASC;SG	N
objeto	대상	objeto	대상	N;MASC;SG	N
objeto	천체	objeto	천체	N;MASC;SG	N
difícil	어려운	difícil	어렵+ㄴ	ADJ;MASC;SG	ADJ
casas	주택	casa	주택	N;FEM;PL	N
utilizada	사용함	utilizar	사용+하+ㅁ	V;FEM;SG;V.PTCP	V
utilizada	사용됨	utilizar	사용+되+ㄴ	V;FEM;SG;V.PTCP	V
mudanças	변화	mudança	변화	N;FEM;PL	N
mudanças	변경	mudança	변경	N;FEM;PL	N
mudanças	변화	mudança	변화	N;FEM;PL	N
mudanças	변경	mudança	변경	N;FEM;PL	N
fórmula	공식	fórmula	공식	N;FEM;SG	N
experiência	실험	experiência	실험	N;FEM;SG	N
experiência	경험	experiência	경험	N;FEM;SG	N
experiência	체험	experiência	체험	N;FEM;SG	N
awards	수상	award	수상	N;MASC;SG	N
curta	짧은	curto	짧+ㄴ	ADJ;FEM;SG	ADJ
composição	합성	composição	합성	N;FEM;SG	N
composição	작곡	composição	작곡	N;FEM;SG	N
método	수단	método	수단	N;MASC;SG	N
método	메서드	método	메서드	N;MASC;SG	N
método	방법	método	방법	N;MASC;SG	N
método	메소드	método	메소드	N;MASC;SG	N
publicada	출판됨	publicar	출판+되+ㄴ	V;FEM;SG;V.PTCP	V
expressão	표현	expressão	표현	N;FEM;SG	N
expressão	표현식	expressão	표현식	N;FEM;SG	N
templo	신전	templo	신전	N;MASC;SG	N
templo	사원	templo	사원	N;MASC;SG	N
tribunal	법정	tribunal	법정	N;MASC;SG	N
tribunal	재판소	tribunal	재판소	N;MASC;SG	N
escrever	쓰기	escrever	쓰+기	V;NFIN	V
escrever	글쓰기	escrever	글쓰기	V;NFIN	V
escrever	쓰기	escrever	쓰+기	V;NFIN	V
escrever	글쓰기	escrever	글쓰기	V;NFIN	V
soldados	군인	soldado	군인	N;MASC;PL	N
soldados	병사	soldado	병사	N;MASC;PL	N
continua	계속하기	continuar	계속+하+기	V;IND;SG;3;PRS;FIN	V
vencedor	우승자	vencedor	우승자	N;MASC;SG	N
vencedor	승자	vencedor	승자	N;MASC;SG	N
estrelas	항성	estrela	항성	N;FEM;PL	N
estrelas	항성	estrela	항성	N;FEM;PL	N
famílias	가구	família	가구	N;FEM;PL	N
políticos	정치인들	político	정치인+들	N;MASC;PL	N
políticos	정치인	político	정치인	N;MASC;PL	N
políticos	정치가	político	정치+가	N;MASC;PL	N
posto	계급	posto	계급	N;MASC;SG	N
posto	순위	posto	순위	N;MASC;SG	N
programação	일정	programação	일정	N;FEM;SG	N
programação	예약	programação	예약	N;FEM;SG	N
bandas	밴드	banda	밴드	N;FEM;PL	N
eleição	선거	eleição	선거	N;FEM;SG	N
eleição	선거	eleição	선거	N;FEM;SG	N
letra	편지	letra	편지	N;FEM;SG	N
software	소프트웨어	software	소프트웨어	N;MASC;SG	N
decreto	법령	decreto	법령	N;MASC;SG	N
flores	꽃이	flor	꽃+이	N;FEM;PL	N
star	항성	star	항성	N;MASC;SG	N
encontrada	찾았다	encontrar	찾+았+다	V;FEM;SG;V.PTCP	V
encontrada	찾았습니다	encontrar	찾+았+습니다	V;FEM;SG;V.PTCP	V
encontrada	발견됨	encontrar	발견+되+ㄴ	V;FEM;SG;V.PTCP	V
autores	작가	autor	작가	N;MASC;PL	N
autores	제작자	autor	제작자	N;MASC;PL	N
autores	작성자	autor	작성자	N;MASC;PL	N
taxa	평가	taxa	평가	N;FEM;SG	N
taxa	비율	taxa	비율	N;FEM;SG	N
taxa	요금	taxa	요금	N;FEM;SG	N
taxa	수수료	taxa	수수료	N;FEM;SG	N
doença	질환	doença	질환	N;FEM;SG	N
doença	질병	doença	질병	N;FEM;SG	N
doença	질환	doença	질환	N;FEM;SG	N
doença	질병	doença	질병	N;FEM;SG	N
doença	질병	doença	질병	N;FEM;SG	N
entrar	입력합니다	entrar	입력+하+ㅂ니다	V;NFIN	V
entrar	입력하기	entrar	입력+하+기	V;NFIN	V
valores	가치관	valor	가치관	N;MASC;PL	N
valores	가치	valor	가치	N;MASC;PL	N
quinta	농장	quinta	농장	N;FEM;SG	N
quinta	농장이	quinta	농장+이	N;FEM;SG	N
quinta	다섯번째	quinta	다섯번째	N;FEM;SG	N
navio	선박	navio	선박	N;MASC;SG	N
navio	선박	navio	선박	N;MASC;SG	N
águas	물이	água	물+이	N;FEM;PL	N
princípio	원칙	princípio	원칙	N;MASC;SG	N
princípio	원리	princípio	원리	N;MASC;SG	N
comportamento	행동	comportamento	행동	N;MASC;SG	N
comportamento	행동	comportamento	행동	N;MASC;SG	N
comportamento	동작	comportamento	동작	N;MASC;SG	N
comportamento	행위	comportamento	행위	N;MASC;SG	N
perfil	프로필	perfil	프로필	N;MASC;SG	N
universo	우주	universo	우주	N;MASC;SG	N
secretário	비서	secretário	비서	N;MASC;SG	N
piloto	조종사	piloto	조종사	N;MASC;SG	N
meia	양말	meia	양말	N;FEM;SG	N
completo	완료	completo	완료	N;MASC;SG	N
completo	완성	completo	완성	N;MASC;SG	N
vocais	보컬	vocal	보+니+ㄴ	N;MASC;PL	N
vocais	보컬	vocal	보+니+ㄴ	N;MASC;PL	N
contexto	맥락	contexto	맥락	N;MASC;SG	N
contexto	문맥	contexto	문맥	N;MASC;SG	N
corrida	인종	corrida	인종	N;FEM;SG	N
corrida	경쟁	corrida	경쟁	N;FEM;SG	N
linguagem	언어	linguagem	언어	N;FEM;SG	N
sangue	혈액	sangue	혈액	N;MASC;SG	N
pena	수치	pena	수치	N;FEM;SG	N
pena	깃털	pena	깃털	N;FEM;SG	N
pena	페널티	pena	페널티	N;FEM;SG	N
image	그림	image	그림	N;MASC;SG	N
park	공원	park	공원	N;MASC;SG	N
matemática	수학	matemática	수학	N;FEM;SG	N
matemática	수학	matemática	수학	N;FEM;SG	N
matemática	수학	matemática	수학	N;FEM;SG	N
regime	배열	regime	배열	N;MASC;SG	N
conquista	정복	conquista	정복	N;FEM;SG	N
conquista	정복	conquista	정복	N;FEM;SG	N
conquista	업적	conquista	업적	N;FEM;SG	N
conquista	성취	conquista	성취	N;FEM;SG	N
caixa	상자	caixa	상자	N;FEM;SG	N
moderna	현대	moderno	현대	N;FEM;SG	N
moderna	근대	moderno	근대	N;FEM;SG	N
alunos	학생	aluno	학생	N;MASC;PL	N
alunos	학생들	aluno	학생+들	N;MASC;PL	N
alunos	유학생	aluno	유학생	N;MASC;PL	N
produto	제품	produto	제품	N;MASC;SG	N
gol	목표	gol	목표	N;MASC;SG	N
começaram	시작되었습니다	começar	시작+되+었+습니다	V;IND;PL;3;FIN	V
começaram	시작했습니다	começar	시작+하+었+습니다	V;IND;PL;3;FIN	V
começaram	시작됨	começar	시작+되+ㄴ	V;IND;PL;3;FIN	V
marido	남편	marido	남편	N;MASC;SG	N
marido	남편	marido	남편	N;MASC;SG	N
operações	작전	operação	작전	N;FEM;PL	N
operações	운영	operação	운영	N;FEM;PL	N
operações	거래	operação	거래	N;FEM;PL	N
operações	트랜잭션	operação	트랜잭션	N;FEM;PL	N
cópias	복사	cópia	복사	N;FEM;PL	N
cópias	복사본	cópia	복사본	N;FEM;PL	N
cópias	사본	cópia	사본	N;FEM;PL	N
temperatura	온도	temperatura	온도	N;FEM;SG	N
plantas	식물	planta	식물	N;FEM;PL	N
plantas	식물학	planta	식물학	N;FEM;PL	N
publicação	게시	publicação	게시	N;FEM;SG	N
publicação	게시물	publicação	게시물	N;FEM;SG	N
publicação	출판물	publicação	출판물	N;FEM;SG	N
publicação	출판	publicação	출판	N;FEM;SG	N
publicação	게시	publicação	게시	N;FEM;SG	N
publicação	출판	publicação	출판	N;FEM;SG	N
quadro	프레임워크	quadro	프레임워크	N;MASC;SG	N
transmissão	변속기	transmissão	변속기	N;FEM;SG	N
transmissão	전송	transmissão	전송	N;FEM;SG	N
transmissão	방송	transmissão	방송	N;FEM;SG	N
sequência	순서	sequência	순서	N;FEM;SG	N
sequência	시퀀스	sequência	시퀀스	N;FEM;SG	N
máximo	최대	máximo	최대	N;MASC;SG	N
ataques	공격	ataque	공격	N;MASC;PL	N
poeta	시인	poeta	시인	N;MASC;SG	N
instituição	기관	instituição	기관	N;FEM;SG	N
objetos	객체	objeto	객체	N;MASC;PL	N
objetos	개체	objeto	개체	N;MASC;PL	N
objetos	물체	objeto	물체	N;MASC;PL	N
objetos	천체	objeto	천체	N;MASC;PL	N
participantes	참가자	participante	참가자	N;MASC;PL	N
participantes	참석자	participante	참석자	N;MASC;PL	N
inverno	겨울	inverno	겨울	N;MASC;SG	N
desenho	설계	desenho	설계	N;MASC;SG	N
desenho	설계	desenho	설계	N;MASC;SG	N
portal	포털	portal	포털	N;MASC;SG	N
técnicas	테크닉	técnica	테크닉	N;FEM;PL	N
técnicas	기법	técnica	기법	N;FEM;PL	N
exposição	박람회	exposição	박람회	N;FEM;SG	N
exposição	전시관	exposição	전시관	N;FEM;SG	N
exposição	박람회	exposição	박람회	N;FEM;SG	N
exposição	전시회	exposição	전시회	N;FEM;SG	N
exposição	노출	exposição	노출	N;FEM;SG	N
perda	상실	perda	상실	N;FEM;SG	N
perda	손실	perda	손실	N;FEM;SG	N
enciclopédia	대백과사전	enciclopédia	대백과류전	N;FEM;SG	N
recentemente	최근에	recentemente	최근+에	ADV	ADV
receber	받기	receber	받+기	V;NFIN	V
modelos	모델	modelo	모델	N;MASC;PL	N
modelos	모형	modelo	모형	N;MASC;PL	N
modelos	템플릿	modelo	템플릿	N;MASC;PL	N
séculos	세기	século	세기	N;MASC;PL	N
apresentação	제출	apresentação	제출	N;FEM;SG	N
linear	선형	linear	선형	N;MASC;SG	N
prisão	체포	prisão	체포	N;FEM;SG	N
prisão	교도소	prisão	교도소	N;FEM;SG	N
prisão	감옥	prisão	감옥	N;FEM;SG	N
prisão	교도소	prisão	교도소	N;FEM;SG	N
prisão	감옥	prisão	감옥	N;FEM;SG	N
art	예술	art	예술	N;MASC;SG	N
art	미술	art	미술	N;MASC;SG	N
igual	평등	igual	평등	N;MASC;SG	N
derrota	패배	derrota	패배	N;FEM;SG	N
evolução	개발	evolução	개발	N;FEM;SG	N
evolução	발달	evolução	발달	N;FEM;SG	N
evolução	진화	evolução	진화	N;FEM;SG	N
evolução	진화론	evolução	진화론	N;FEM;SG	N
concurso	경쟁	concurso	경쟁	N;MASC;SG	N
concurso	대회	concurso	대회	N;MASC;SG	N
planta	식물	planta	식물	N;FEM;SG	N
planta	식물학	planta	식물학	N;FEM;SG	N
realidade	현실	realidade	현실	N;FEM;SG	N
clima	날씨	clima	날씨	N;MASC;SG	N
entrevista	인터뷰	entrevista	인터뷰	N;FEM;SG	N
entrevista	면접	entrevista	면접	N;FEM;SG	N
renda	임대료	renda	임대료	N;FEM;SG	N
renda	임대	renda	임대	N;FEM;SG	N
renda	렌트	renda	렌트	N;FEM;SG	N
renda	소득	renda	소득	N;FEM;SG	N
renda	수입	renda	수입	N;FEM;SG	N
administradores	관리자	administrador	관리자	N;MASC;PL	N
administradores	관리자	administrador	관리자	N;MASC;PL	N
gravação	녹음	gravação	녹음	N;FEM;SG	N
gravação	녹화	gravação	녹화	N;FEM;SG	N
ascensão	어센션	ascensão	어센션	N;FEM;SG	N
ascensão	승천	ascensão	승천	N;FEM;SG	N
ascensão	상승	ascensão	상승	N;FEM;SG	N
reinado	통치	reinado	통치	N;MASC;SG	N
engenheiro	기술자	engenheiro	기술자	N;MASC;SG	N
engenheiro	공학자	engenheiro	공학자	N;MASC;SG	N
resto	휴식	resto	휴식	N;MASC;SG	N
vandalismo	파손	vandalismo	파손	N;MASC;SG	N
campeões	챔피언	campeão	챔피언	N;MASC;PL	N
exemplos	예시	exemplo	예시	N;MASC;PL	N
exemplos	예제	exemplo	예제	N;MASC;PL	N
shows	연주회	show	연주회	N;MASC;PL	N
shows	콘서트	show	콘서트	N;MASC;PL	N
figura	그림	figura	그림	N;FEM;SG	N
pressão	압력	pressão	압력	N;FEM;SG	N
pressão	압박	pressão	압박	N;FEM;SG	N
aérea	공중	aéreo	공중	N;FEM;SG	N
aérea	항공기	aéreo	항공기	N;FEM;SG	N
escala	축척	escala	축척	N;FEM;SG	N
escala	규모	escala	규모	N;FEM;SG	N
cursos	강좌	curso	강좌	N;MASC;PL	N
cursos	코스	curso	코스	N;MASC;PL	N
cursos	과정	curso	과정	N;MASC;PL	N
poderes	권력	poder	권력	N;MASC;PL	N
grau	성적	grau	성+적	N;MASC;SG	N
grau	학년	grau	학년	N;MASC;SG	N
grau	학위	grau	학위	N;MASC;SG	N
erro	실수	erro	실수	N;MASC;SG	N
erro	오류	erro	오류	N;MASC;SG	N
stadium	경기장	stadium	경기장	N;MASC;SG	N
stadium	스타디움	stadium	스타디움	N;MASC;SG	N
publicou	출판됨	publicar	출판+되+ㄴ	V;IND;SG;3;PST;FIN	V
chega	충분해	chegar	충분+하+어	V;IND;SG;3;PRS;FIN	V
chega	충분한	chegar	충분+하+ㄴ	V;IND;SG;3;PRS;FIN	V
mudar	바뀌기	mudar	바뀌+기	V;NFIN	V
mudar	바꾸기	mudar	바꾸+기	V;NFIN	V
billboard	간판	billboard	간판	N;MASC;SG	N
billboard	빌보드	billboard	빌보드	N;MASC;SG	N
tabela	차트	tabela	차트	N;FEM;SG	N
arquitetura	건축학	arquitetura	건축학	N;FEM;SG	N
arquitetura	건축	arquitetura	건축	N;FEM;SG	N
marcou	표시됨	marcar	표시+되+ㄴ	V;IND;SG;3;PST;FIN	V
manutenção	관리자	manutenção	관리자	N;FEM;SG	N
manutenção	유지보수	manutenção	유지보수	N;FEM;SG	N
manutenção	정비	manutenção	정비	N;FEM;SG	N
manutenção	점검	manutenção	점검	N;FEM;SG	N
fusão	합병	fusão	합병	N;FEM;SG	N
fusão	병합	fusão	병합	N;FEM;SG	N
fusão	통합	fusão	통합	N;FEM;SG	N
fusão	융합	fusão	융합	N;FEM;SG	N
fusão	핵융합	fusão	핵융합	N;FEM;SG	N
saída	출력	saída	출력	N;FEM;SG	N
saída	종료	saída	종료	N;FEM;SG	N
saída	출구	saída	출구	N;FEM;SG	N
gente	국민	gente	국민	N;FEM;SG	N
gente	사람	gente	사람	N;FEM;SG	N
gente	사람들	gente	사람+들	N;FEM;SG	N
mortos	사망	morto	사망	N;MASC;PL	N
duração	기간	duração	기간	N;FEM;SG	N
best	최고	best	최고	N;MASC;SG	N
best	베스트	best	베스트	N;MASC;SG	N
meados	중간	meado	중간	N;MASC;PL	N
meados	가운데	meado	가운데	N;MASC;PL	N
navios	혈관	navio	혈관	N;MASC;PL	N
animal	동물	animal	동물	N;MASC;SG	N
animal	동물학	animal	동물학	N;MASC;SG	N
usados	사용함	usar	사용+하+ㅁ	V;MASC;PL;V.PTCP	V
usados	사용됨	usar	사용+되+ㄴ	V;MASC;PL;V.PTCP	V
diferença	차이	diferença	차이	N;FEM;SG	N
profissionais	전문	profissional	전문	N;MASC;PL	N
encontro	모임	encontro	모임	N;MASC;SG	N
encontro	만남	encontro	만남	N;MASC;SG	N
encontro	미팅	encontro	미팅	N;MASC;SG	N
encontro	만남	encontro	만남	N;MASC;SG	N
coronel	대령	coronel	대령	N;MASC;SG	N
galáxia	은하	galáxia	은하	N;FEM;SG	N
dança	무용	dança	무용	N;FEM;SG	N
deixando	떠나기	deixar	떠나+기	V;V.MSDR	V
movimentos	운동	movimento	운동	N;MASC;PL	N
sinal	신호	sinal	신호	N;MASC;SG	N
sinal	시그널	sinal	시그널	N;MASC;SG	N
sinal	기호	sinal	기호	N;MASC;SG	N
sinal	서명	sinal	서명	N;MASC;SG	N
league	동맹	leagar	동맹	N;MASC;SG	N
league	리그	leagar	리그	N;MASC;SG	N
olhos	눈빛	olho	눈빛	N;MASC;PL	N
reforma	종교개혁	reforma	종교+개혁	N;FEM;SG	N
reforma	은퇴	reforma	은퇴	N;FEM;SG	N
reforma	퇴직	reforma	퇴직	N;FEM;SG	N
reforma	개혁개방	reforma	개혁+개방	N;FEM;SG	N
reforma	개혁	reforma	개혁	N;FEM;SG	N
solução	해결책	solução	해결책	N;FEM;SG	N
solução	솔루션	solução	솔루션	N;FEM;SG	N
processos	프로세스	processo	프로세스	N;MASC;PL	N
processos	케이스	processo	케이스	N;MASC;PL	N
processos	사례	processo	사례	N;MASC;PL	N
instrumento	악기	instrumento	악기	N;MASC;SG	N
instrumento	계기	instrumento	계기	N;MASC;SG	N
contato	접촉	contato	접촉	N;MASC;SG	N
contato	연락처	contato	연락처	N;MASC;SG	N
escolha	선택	escolha	선택	N;FEM;SG	N
escolha	선택	escolha	선택	N;FEM;SG	N
críticas	평론	crítica	평론	N;FEM;PL	N
críticas	비판	crítica	비판	N;FEM;PL	N
críticas	비평	crítica	비평	N;FEM;PL	N
críticas	비판	crítica	비판	N;FEM;PL	N
críticas	크리티컬	crítica	크리티컬	N;FEM;PL	N
reais	진짜	real	진짜	N;MASC;PL	N
setor	부문	setor	부문	N;MASC;SG	N
trono	왕좌	trono	왕좌	N;MASC;SG	N
trono	왕위	trono	왕위	N;MASC;SG	N
crise	위기	crise	위기	N;FEM;SG	N
obter	받기	obter	받+기	V;NFIN	V
encontrado	찾았다	encontrar	찾+았+다	V;MASC;SG;V.PTCP	V
encontrado	찾았습니다	encontrar	찾+았+습니다	V;MASC;SG;V.PTCP	V
encontrado	발견됨	encontrar	발견+되+ㄴ	V;MASC;SG;V.PTCP	V
record	레코드	record	레코드	N;FEM;SG	N
record	녹음	record	녹음	N;FEM;SG	N
record	녹화	record	녹화	N;FEM;SG	N
record	기록	record	기록	N;FEM;SG	N
biografia	소개	biografia	소개	N;FEM;SG	N
apagar	지우기	apagar	지우+기	V;NFIN	V
apagar	지우기	apagar	지우+기	V;NFIN	V
apagar	삭제하기	apagar	삭제+하+기	V;NFIN	V
química	화학물질	química	화학+물질	N;FEM;SG	N
química	화학	química	화학	N;FEM;SG	N
química	화학	química	화학	N;FEM;SG	N
casal	커플	casal	커플	N;MASC;SG	N
casal	부부	casal	부부	N;MASC;SG	N
núcleo	커널	núcleo	커널	N;MASC;SG	N
neto	손자	neto	손자	N;MASC;SG	N
fazenda	농장	fazenda	농장	N;FEM;SG	N
fazenda	농장이	fazenda	농장+이	N;FEM;SG	N
band	밴드	band	밴드	N;MASC;SG	N
dólares	달러	dólar	달러	N;MASC;PL	N
sérvia	세르비아인	sérvio	세르비아인	N;FEM;SG	N
resistência	저항운동	resistência	저항+운동	N;FEM;SG	N
resistência	저항성	resistência	저항성	N;FEM;SG	N
resistência	저항	resistência	저항	N;FEM;SG	N
acidente	추락	acidente	추락	N;MASC;SG	N
acidente	충돌	acidente	충돌	N;MASC;SG	N
debate	논쟁	debate	논쟁	N;MASC;SG	N
conclusão	완성	conclusão	완성	N;FEM;SG	N
recife	암초	recifar	암초	N;MASC;SG	N
leis	법칙	lei	법칙	N;FEM;PL	N
leis	법률	lei	법률	N;FEM;PL	N
leis	법학	lei	법학	N;FEM;PL	N
leis	법률	lei	법률	N;FEM;PL	N
recebe	받기	receber	받+기	V;IND;SG;3;PRS;FIN	V
facto	사실	facto	사실	N;MASC;SG	N
células	세포	célula	세포	N;FEM;PL	N
game	게임	game	게임	N;MASC;SG	N
game	경기	game	경기	N;MASC;SG	N
crime	범죄	crime	범죄	N;MASC;SG	N
possibilidade	가능성	possibilidade	가능성	N;FEM;SG	N
infantaria	보병	infantaria	보병	N;FEM;SG	N
retorno	컴백	retorno	컴백	N;MASC;SG	N
retorno	반납	retorno	반납	N;MASC;SG	N
retorno	반환	retorno	반환	N;MASC;SG	N
retorno	귀환	retorno	귀환	N;MASC;SG	N
retorno	복귀	retorno	복귀	N;MASC;SG	N
estudantes	학생	estudante	학생	N;MASC;PL	N
estudantes	학생들	estudante	학생+들	N;MASC;PL	N
estudantes	유학생	estudante	유학생	N;MASC;PL	N
pesquisas	검색	pesquisa	검색	N;FEM;PL	N
pesquisas	조사	pesquisa	조사	N;FEM;PL	N
pesquisas	연구	pesquisa	연구	N;FEM;PL	N
machado	도끼	machar	도끼	N;MASC;SG	N
machado	도끼	machar	도끼	N;MASC;SG	N
brown	갈색	brown	갈색	N;MASC;SG	N
músico	음악가	músico	음악가	N;MASC;SG	N
músico	연주자	músico	연주자	N;MASC;SG	N
músico	뮤지션	músico	뮤지션	N;MASC;SG	N
realização	물류	realização	물류	N;FEM;SG	N
realização	이행	realização	이행	N;FEM;SG	N
rótulo	레이블	rótulo	레이블	N;MASC;SG	N
rótulo	라벨	rótulo	라벨	N;MASC;SG	N
solar	태양광	solar	태양광	N;MASC;SG	N
solar	태양	solar	태양	N;MASC;SG	N
expansão	팽창	expansão	팽창	N;FEM;SG	N
expansão	급팽창	expansão	급팽창	N;FEM;SG	N
expansão	전개	expansão	전개	N;FEM;SG	N
expansão	확장	expansão	확장	N;FEM;SG	N
chegada	입국	chegada	입국	N;FEM;SG	N
