contraste	contraste	contraste	contraste	N;MASC;SG	N;MASC;SG
colaboradores	contribuyentes	colaborador	contribuyente	N;MASC;PL	N;MASC;PL
colaboradores	colaboradores	colaborador	colaborador	N;MASC;PL	N;MASC;PL
rotação	rotación	rotação	rotación	N;FEM;SG	N;FEM;SG
rotação	rotación	rotação	rotación	N;FEM;SG	N;FEM;SG
catolicismo	catolicismo	catolicismo	catolicismo	N;MASC;SG	N;MASC;SG
perfeitamente	perfectamente	perfeitamente	perfectamente	ADV	ADV
destruída	destruyó	destruir	destruir	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
ciclone	ciclón	ciclone	ciclón	N;MASC;SG	N;MASC;SG
magno	magnus	magno	magnus	N;MASC;SG	N;SG
terrenos	terrenos	terreno	terreno	N;MASC;PL	N;MASC;PL
terrenos	land	terreno	land	N;MASC;PL	N
terrenos	tierras	terreno	tierra	N;MASC;PL	N;FEM;PL
terrenos	terrenos	terreno	terreno	N;MASC;PL	N;MASC;PL
exclusiva	exclusivo	exclusivo	exclusivo	ADJ;FEM;SG	ADJ;MASC;SG
exclusiva	exclusiva	exclusivo	exclusivo	ADJ;FEM;SG	ADJ;FEM;SG
mandatos	mandatos	mandato	mandato	N;MASC;PL	N;MASC;PL
lançamentos	lanzamientos	lançamento	lanzamiento	N;MASC;PL	N;MASC;PL
lançamentos	lanzamientos	lançamento	lanzamiento	N;MASC;PL	N;MASC;PL
lançamentos	liberaciones	lançamento	liberación	N;MASC;PL	N;FEM;PL
caribe	caribe	caribe	caribe	N;MASC;SG	N;MASC;SG
roque	roque	roque	roque	N;MASC;SG	N;MASC;SG
internos	becarios	interno	becario	N;MASC;PL	N;MASC;PL
internos	pasantes	interno	pasante	N;MASC;PL	N;PL
palestina	palestino	palestina	palestino	N;FEM;SG	N;MASC;SG
palestina	palestino	palestina	palestino	N;FEM;SG	N;MASC;SG
taiwan	taiwán	taiwan	taiwán	N;MASC;SG	N;MASC;SG
taiwan	taiwan	taiwan	taiwar	N;MASC;SG	N;MASC;SG
taiwan	taiwán	taiwan	taiwán	N;MASC;SG	N;MASC;SG
taiwan	taiwanés	taiwan	taiwanés	N;MASC;SG	N;MASC;SG
sara	sarah	sara	sarah	N;FEM;SG	N;FEM;SG
sara	sara	sara	sara	N;FEM;SG	N;FEM;SG
sara	sara	sara	sara	N;FEM;SG	N;FEM;SG
aldeias	pueblos	aldeia	pueblo	N;FEM;PL	N;MASC;PL
aldeias	aldeas	aldeia	aldea	N;FEM;PL	N;FEM;PL
choque	conmoción	choque	conmoción	N;MASC;SG	N;FEM;SG
choque	shock	choque	shock	N;MASC;SG	N;MASC;SG
choque	choque	choque	choque	N;MASC;SG	N;MASC;SG
restrições	restricciones	restrição	restricción	N;FEM;PL	N;FEM;PL
restrições	restricciones	restrição	restricción	N;FEM;PL	N;FEM;PL
restrições	condicionamientos	restrição	condicionamiento	N;FEM;PL	N;MASC;PL
restrições	limitaciones	restrição	limitación	N;FEM;PL	N;FEM;PL
restrições	restricciones	restrição	restricción	N;FEM;PL	N;FEM;PL
desfile	parade	desfilar	parade	N;MASC;SG	N;SG
desfile	desfile	desfilar	desfile	N;MASC;SG	N;MASC;SG
noronha	noronha	noronhar	noronha	N;FEM;SG	N;MASC;SG
cândido	cândido	cânder	cândido	N;MASC;SG	N;MASC;SG
regularmente	regularmente	regularmente	regularmente	ADV	ADV
regularmente	periódicamente	regularmente	periódicamente	ADV	ADV
pesos	pesas	peso	pesa	N;MASC;PL	N;FEM;PL
pesos	pesos	peso	peso	N;MASC;PL	N;MASC;PL
pesos	pesos	peso	peso	N;MASC;PL	N;MASC;PL
douro	duero	douro	duero	N;MASC;SG	N;MASC;SG
inserção	inserción	inserção	inserción	N;FEM;SG	N;FEM;SG
diminuir	disminuir	diminuir	disminuir	V;NFIN	V;NFIN
diminuir	disminuye	diminuir	disminuir	V;NFIN	V;IND;SG;3;PRS;FIN
atingindo	alcanzando	atingir	alcanzar	V;V.MSDR	V;V.MSDR
atingindo	alcanzar	atingir	alcanzar	V;V.MSDR	V;NFIN
evil	maldad	evil	maldad	N;MASC;SG	N;FEM;SG
evil	evil	evil	evil	N;MASC;SG	N
igualdade	igualdad	igualdade	igualdad	N;FEM;SG	N;FEM;SG
coleópteros	escarabajos	coleóptero	escarabajo	N;MASC;PL	N;MASC;PL
reações	reacciones	reação	reacción	N;FEM;PL	N;FEM;PL
rubens	rubens	rubem	ruben	N;MASC;SG	N;MASC;SG
visitar	visite	visitar	visitar	V;NFIN	V;IMP;SG;3;FIN
visitar	visitar	visitar	visitar	V;NFIN	V;NFIN
xuxa	xuxa	xuxa	xuxa	N;FEM;SG	N;FEM;SG
run	run	run	run	N;MASC;SG	N
reno	rin	reno	rin	N;MASC;SG	N;MASC;SG
reno	rhin	reno	rhin	N;MASC;SG	N;MASC;SG
reno	reno	reno	reno	N;MASC;SG	N;MASC;SG
oposto	contrario	oposto	contrario	ADJ;MASC;SG	ADJ;MASC;SG
oposto	opuesto	oposto	opuesto	ADJ;MASC;SG	ADJ;MASC;SG;V.PTCP
edit	edición	edit	edición	N;MASC;SG	N;FEM;SG
primário	primaria	primário	primario	N;MASC;SG	N;FEM;SG
coberta	cubrió	cobrir	cubrir	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
valley	valle	valley	valle	N;MASC;SG	N;MASC;SG
traduções	traducciones	tradução	traducción	N;FEM;PL	N;FEM;PL
traduções	traducciones	tradução	traducción	N;FEM;PL	N;FEM;PL
neo	neo	neo	neo	N;MASC;SG	N
defensores	defensores	defensor	defensor	N;MASC;PL	N;MASC;PL
defensores	defensores	defensor	defensor	N;MASC;PL	N;MASC;PL
lar	hogar	lar	hogar	N;MASC;SG	N;MASC;SG
lar	casa	lar	casa	N;MASC;SG	N;FEM;SG
lar	inicio	lar	inicio	N;MASC;SG	N;MASC;SG
heitor	hector	heitor	hector	N;MASC;SG	N;MASC;SG
heitor	héctor	heitor	héctor	N;MASC;SG	N;MASC;SG
facilidade	facilidad	facilidade	facilidad	N;FEM;SG	N;FEM;SG
vasta	vasto	vasto	vasto	ADJ;FEM;SG	ADJ;MASC;SG
vasta	vasta	vasto	vastar	ADJ;FEM;SG	ADJ;FEM;SG
parabéns	felicitaciones	parabéns	felicitación	N;MASC;PL	N;FEM;PL
parabéns	felicidades	parabéns	felicidad	N;MASC;PL	N;FEM;PL
parabéns	felicitaciones	parabéns	felicitación	N;MASC;PL	N;FEM;PL
parabéns	felicidades	parabéns	felicidad	N;MASC;PL	N;FEM;PL
gases	gases	gase	gas	N;MASC;PL	N;MASC;PL
gases	gases	gase	gas	N;MASC;PL	N;MASC;PL
mecanismos	mecanismos	mecanismo	mecanismo	N;MASC;PL	N;MASC;PL
acreditar	creer	acreditar	creer	V;NFIN	V;NFIN
acreditar	creyendo	acreditar	creer	V;NFIN	V;V.MSDR
acreditar	creer	acreditar	creer	V;NFIN	V;NFIN
eleitores	electores	eleitor	elector	N;MASC;PL	N;MASC;PL
eleitores	votantes	eleitor	votante	N;MASC;PL	N;PL
eleitores	electores	eleitor	elector	N;MASC;PL	N;MASC;PL
australiana	australiano	australiano	australiano	N;FEM;SG	N;MASC;SG
august	agosto	august	agosto	N;MASC;SG	N
bizantinos	bizantinos	bizantino	bizantino	N;MASC;PL	N;MASC;PL
bizantinos	bizantinos	bizantino	bizantino	N;MASC;PL	N;MASC;PL
qualificação	clasificación	qualificação	clasificación	N;FEM;SG	N;FEM;SG
qualificação	titulación	qualificação	titulación	N;FEM;SG	N;FEM;SG
qualificação	cualificación	qualificação	cualificación	N;FEM;SG	N;FEM;SG
qualificação	calificación	qualificação	calificación	N;FEM;SG	N;FEM;SG
luke	luke	luke	luke	N;MASC;SG	N
deep	deep	deep	deep	N;MASC;SG	N
robinson	robinson	robinson	robinson	N;MASC;SG	N;MASC;SG
pátio	patio	pátio	patio	N;MASC;SG	N;MASC;SG
pátio	yard	pátio	yard	N;MASC;SG	N;SG
pátio	yarda	pátio	yarda	N;MASC;SG	N;FEM;SG
pátio	patio	pátio	patio	N;MASC;SG	N;MASC;SG
pátio	patio	pátio	patio	N;MASC;SG	N;MASC;SG
fortificações	fortificaciones	fortificação	fortificación	N;FEM;PL	N;FEM;PL
fortificações	fortificaciones	fortificação	fortificación	N;FEM;PL	N;FEM;PL
western	occidente	western	occidente	N;MASC;SG	N;MASC;SG
western	western	western	western	N;MASC;SG	N;MASC;SG
western	oeste	western	oeste	N;MASC;SG	N;MASC;SG
culpa	culpa	culpa	culpa	N;FEM;SG	N;FEM;SG
culpa	culpa	culpa	culpa	N;FEM;SG	N;FEM;SG
culpa	culpabilidad	culpa	culpabilidad	N;FEM;SG	N;FEM;SG
holmes	holmes	holme	holme	N;MASC;SG	N;MASC;SG
zool	zool	zool	zool	N;MASC;SG	N
emancipação	emancipación	emancipação	emancipación	N;FEM;SG	N;FEM;SG
mina	mina	mina	mina	N;FEM;SG	N;FEM;SG
mina	mina	mina	mina	N;FEM;SG	N;FEM;SG
pietro	pietro	pietro	pietro	N;MASC;SG	N;MASC;SG
circunstâncias	circunstancias	circunstância	circunstancia	N;FEM;PL	N;FEM;PL
circunstâncias	circunstancias	circunstância	circunstancia	N;FEM;PL	N;FEM;PL
orange	orange	orange	orange	N;MASC;SG	N;SG
orange	naranja	orange	naranja	N;MASC;SG	N;FEM;SG
xxi	xxi	xxi	xxi	N;MASC;SG	N
abastecimento	aprovisionamiento	abastecimento	aprovisionamiento	N;MASC;SG	N;MASC;SG
abastecimento	abastecimiento	abastecimento	abastecimiento	N;MASC;SG	N;MASC;SG
abastecimento	abastecimiento	abastecimento	abastecimiento	N;MASC;SG	N;MASC;SG
abastecimento	aprovisionamiento	abastecimento	aprovisionamiento	N;MASC;SG	N;MASC;SG
abastecimento	suministro	abastecimento	suministro	N;MASC;SG	N;MASC;SG
residentes	residentes	residente	residente	N;MASC;PL	N;PL
residentes	residentes	residente	residente	N;MASC;PL	N;PL
residentes	habitantes	residente	habitante	N;MASC;PL	N;PL
derrotas	derrotas	derrota	derrota	N;FEM;PL	N;FEM;PL
derrotas	derrotas	derrota	derrota	N;FEM;PL	N;FEM;PL
mundialmente	mundialmente	mundialmente	mundialmente	ADV	ADV
tanque	tanque	tanque	tanque	N;MASC;SG	N;MASC;SG
tanque	cisterna	tanque	cisterna	N;MASC;SG	N;FEM;SG
tito	titus	tito	titu	N;MASC;SG	N
museus	museos	museu	museo	N;MASC;PL	N;MASC;PL
museus	museos	museu	museo	N;MASC;PL	N;MASC;PL
plástico	plástico	plástico	plástico	N;MASC;SG	N;MASC;SG
plástico	plástico	plástico	plástico	N;MASC;SG	N;MASC;SG
malásia	malasia	malásia	malasio	N;FEM;SG	N;FEM;SG
malásia	malayo	malásia	malayo	N;FEM;SG	N;MASC;SG
malásia	malasia	malásia	malasio	N;FEM;SG	N;FEM;SG
card	tarjeta	card	tarjeta	N;MASC;SG	N;FEM;SG
card	card	card	card	N;MASC;SG	N
positivas	positivos	positivo	positivo	ADJ;FEM;PL	ADJ;MASC;PL
positivas	positivas	positivo	positivo	ADJ;FEM;PL	ADJ;FEM;PL
positivas	positivos	positivo	positivo	ADJ;FEM;PL	ADJ;MASC;PL
positivas	positivas	positivo	positivo	ADJ;FEM;PL	ADJ;FEM;PL
cartão	cartón	cartão	cartón	N;MASC;SG	N;MASC;SG
cartão	tarjeta	cartão	tarjeta	N;MASC;SG	N;FEM;SG
cartão	card	cartão	card	N;MASC;SG	N
violação	infracción	violação	infracción	N;FEM;SG	N;FEM;SG
violação	violación	violação	violación	N;FEM;SG	N;FEM;SG
violação	violación	violação	violación	N;FEM;SG	N;FEM;SG
violação	infracción	violação	infracción	N;FEM;SG	N;FEM;SG
violação	incumplimiento	violação	incumplimiento	N;FEM;SG	N;MASC;SG
violação	brecha	violação	brecha	N;FEM;SG	N;FEM;SG
fort	fortaleza	fort	fortaleza	N;MASC;SG	N;FEM;SG
fort	fort	fort	fort	N;MASC;SG	N;MASC
cargas	cargas	carga	carga	N;FEM;PL	N;FEM;PL
diretores	directores	diretor	director	N;MASC;PL	N;MASC;PL
susan	susana	susan	susano	N;FEM;SG	N;FEM;SG
susan	susan	susan	susar	N;FEM;SG	N;FEM;SG
sex	sex	sexta-feira	sex	N;MASC;SG	N
sex	sexo	sexta-feira	sexo	N;MASC;SG	N;MASC;SG
alcançando	alcanzando	alcançar	alcanzar	V;V.MSDR	V;V.MSDR
alcançando	alcanzar	alcançar	alcanzar	V;V.MSDR	V;NFIN
cerâmica	cerámica	cerâmica	cerámica	N;FEM;SG	N;FEM;SG
cerâmica	cerámica	cerâmica	cerámica	N;FEM;SG	N;FEM;SG
cerâmica	cerámica	cerâmica	cerámica	N;FEM;SG	N;FEM;SG
falsa	falsa	falso	falso	ADJ;FEM;SG	ADJ;FEM;SG
falsa	falso	falso	falso	ADJ;FEM;SG	ADJ;MASC;SG
falsa	falsa	falso	falso	ADJ;FEM;SG	ADJ;FEM;SG
falsa	falso	falso	falso	ADJ;FEM;SG	ADJ;MASC;SG
cinematografia	cinematografía	cinematografia	cinematografía	N;FEM;SG	N;FEM;SG
cinematografia	fotografía	cinematografia	fotografía	N;FEM;SG	N;FEM;SG
idéias	ideas	idéia	idea	N;FEM;PL	N;FEM;PL
manifestação	demostración	manifestação	demostración	N;FEM;SG	N;FEM;SG
manifestação	manifestación	manifestação	manifestación	N;FEM;SG	N;FEM;SG
manifestação	manifestación	manifestação	manifestación	N;FEM;SG	N;FEM;SG
pianista	pianista	pianista	pianista	N;MASC;SG	N;SG
postura	postura	postura	postura	N;FEM;SG	N;FEM;SG
postura	postura	postura	postura	N;FEM;SG	N;FEM;SG
melbourne	melbourne	melbourne	melbourne	N;MASC;SG	N;MASC;SG
melhorias	mejoras	melhoria	mejora	N;FEM;PL	N;FEM;PL
melhorias	mejoras	melhoria	mejora	N;FEM;PL	N;FEM;PL
melhorias	mejoras	melhoria	mejora	N;FEM;PL	N;FEM;PL
exige	requiere	exigir	requerir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
java	jre	java	jre	N;MASC;SG	N;MASC;SG
java	java	java	java	N;MASC;SG	N;MASC;SG
controlo	control	controlo	control	N;MASC;SG	N;MASC;SG
eficiência	eficiencia	eficiência	eficiencia	N;FEM;SG	N;FEM;SG
eficiência	eficacia	eficiência	eficacia	N;FEM;SG	N;FEM;SG
eficiência	efectividad	eficiência	efectividad	N;FEM;SG	N;FEM;SG
eficiência	eficacia	eficiência	eficacia	N;FEM;SG	N;FEM;SG
voivodia	voivodato	voivodia	voivodato	N;FEM;SG	N;MASC;SG
auge	cúspide	auge	cúspide	N;MASC;SG	N;FEM;SG
auge	pináculo	auge	pináculo	N;MASC;SG	N;MASC;SG
marine	marino	marine	marino	N;MASC;SG	N;MASC;SG
marine	marina	marine	marina	N;MASC;SG	N;FEM;SG
marine	marine	marine	marine	N;MASC;SG	N
grace	gracia	grace	gracia	N;FEM;SG	N;FEM;SG
culinária	cocina	culinário	cocina	N;FEM;SG	N;FEM;SG
culinária	gastronomía	culinário	gastronomía	N;FEM;SG	N;FEM;SG
culinária	cocción	culinário	cocción	N;FEM;SG	N;FEM;SG
culinária	cocina	culinário	cocina	N;FEM;SG	N;FEM;SG
arizona	arizona	arizonar	arizona	N;MASC;SG	N;FEM;SG
charlotte	charlotte	charlotte	charlotte	N;MASC;SG	N;MASC;SG
charlotte	carlota	charlotte	carlota	N;MASC;SG	N;FEM;SG
mito	mito	mito	mito	N;MASC;SG	N;MASC;SG
químicos	químicos	químico	químico	N;MASC;PL	N;MASC;PL
químicos	químicos	químico	químico	N;MASC;PL	N;MASC;PL
químicos	químicos	químico	químico	N;MASC;PL	N;MASC;PL
uhf	uhf	uhf	uhf	N;MASC;SG	N;MASC;SG
avó	abuela	avó	abuela	N;FEM;SG	N;FEM;SG
avó	abuela	avó	abuela	N;FEM;SG	N;FEM;SG
avó	abuelita	avó	abuelita	N;FEM;SG	N;FEM;SG
avó	abuela	avó	abuela	N;FEM;SG	N;FEM;SG
avó	abuelita	avó	abuelita	N;FEM;SG	N;FEM;SG
ênfase	hincapié	ênfase	hincapié	N;FEM;SG	N;SG
ênfase	énfasis	ênfase	énfasis	N;FEM;SG	N;MASC
usava	llevaba	usar	llevar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
consulta	consulta	consulta	consulta	N;FEM;SG	N;FEM;SG
consulta	consulta	consulta	consulta	N;FEM;SG	N;FEM;SG
análises	analytics	análise	analytics	N;FEM;PL	N;MASC
análises	análisis	análise	análisis	N;FEM;PL	N;MASC
análises	análisis	análise	análisis	N;FEM;PL	N;MASC
análises	analisis	análise	analisis	N;FEM;PL	N;MASC
análises	análisis	análise	análisis	N;FEM;PL	N;MASC
reverter	revertir	reverter	revertir	V;NFIN	V;NFIN
reverter	invertir	reverter	invertir	V;NFIN	V;NFIN
reverter	revertir	reverter	revertir	V;NFIN	V;NFIN
aula	clase	aula	clase	N;FEM;SG	N;FEM;SG
aula	class	aula	clas	N;FEM;SG	N;FEM;SG
verlag	verlag	verlag	verlag	N;MASC;SG	N;FEM;SG
matando	matando	matar	matar	V;V.MSDR	V;V.MSDR
matando	matar	matar	matar	V;V.MSDR	V;NFIN
giro	giro	giro	giro	N;MASC;SG	N;MASC;SG
padres	sacerdotes	padre	sacerdote	N;MASC;PL	N;MASC;PL
padres	curas	padre	cura	N;MASC;PL	N;MASC;PL
ferrovia	ferrocarril	ferrovia	ferrocarril	N;FEM;SG	N;MASC;SG
ferrovia	ferrocarril	ferrovia	ferrocarril	N;FEM;SG	N;MASC;SG
segmentos	segmentos	segmento	segmento	N;MASC;PL	N;MASC;PL
aplica	aplica	aplicar	aplicar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
elias	elijah	elia	elijah	N;MASC;SG	N;FEM;SG
elias	elias	elia	elia	N;MASC;SG	N;FEM;SG
arábia	arabia	arábia	arabia	N;FEM;SG	N;FEM;SG
traços	rasgos	traço	rasgo	N;MASC;PL	N;MASC;PL
traços	vestigios	traço	vestigio	N;MASC;PL	N;MASC;PL
traços	rastros	traço	rastro	N;MASC;PL	N;MASC;PL
traços	trazas	traço	traza	N;MASC;PL	N;FEM;PL
traços	trazos	traço	trazo	N;MASC;PL	N;MASC;PL
traços	guiones	traço	guión	N;MASC;PL	N;MASC;PL
soberano	soberano	soberano	soberano	N;MASC;SG	N;MASC;SG
judeu	judio	judeu	judio	N;MASC;SG	N;MASC;SG
judeu	judío	judeu	judío	N;MASC;SG	N;MASC;SG
judeu	judio	judeu	judio	N;MASC;SG	N;MASC;SG
judeu	judío	judeu	judío	N;MASC;SG	N;MASC;SG
bruxelas	bruselas	bruxela	brusela	N;FEM;PL	N;FEM;PL
bank	banca	bank	banca	N;MASC;SG	N;FEM;SG
bank	banco	bank	banco	N;MASC;SG	N;MASC;SG
bank	bank	bank	bank	N;MASC;SG	N
divulgar	divulgar	divulgar	divulgar	V;NFIN	V;NFIN
divulgar	revelar	divulgar	revelar	V;NFIN	V;NFIN
vegetais	verduras	vegetal	verdura	N;MASC;PL	N;FEM;PL
vegetais	hortalizas	vegetal	hortaliza	N;MASC;PL	N;FEM;PL
vegetais	vegetales	vegetal	vegetal	N;MASC;PL	N;MASC;PL
vegetais	verduras	vegetal	verdura	N;MASC;PL	N;FEM;PL
vegetais	legumbres	vegetal	legumbre	N;MASC;PL	N;FEM;PL
vegetais	hortalizas	vegetal	hortaliza	N;MASC;PL	N;FEM;PL
vegetais	vegetales	vegetal	vegetal	N;MASC;PL	N;MASC;PL
alimento	alimentación	alimento	alimentación	N;MASC;SG	N;FEM;SG
alimento	alimento	alimento	alimento	N;MASC;SG	N;MASC;SG
alimento	comida	alimento	comida	N;MASC;SG	N;FEM;SG
elétrons	electrones	elétron	electrón	N;MASC;PL	N;MASC;PL
elétrons	electrones	elétron	electrón	N;MASC;PL	N;MASC;PL
observatório	observatorio	observatório	observatorio	N;MASC;SG	N;MASC;SG
esboços	bocetos	esboço	boceto	N;MASC;PL	N;MASC;PL
regresso	regreso	regresso	regreso	N;MASC;SG	N;MASC;SG
regresso	retorno	regresso	retorno	N;MASC;SG	N;MASC;SG
regresso	devolución	regresso	devolución	N;MASC;SG	N;FEM;SG
regresso	regreso	regresso	regreso	N;MASC;SG	N;MASC;SG
regresso	vuelta	regresso	vuelta	N;MASC;SG	N;FEM;SG
automóvel	coche	automóvel	coche	N;MASC;SG	N;MASC;SG
automóvel	automóvil	automóvel	automóvil	N;MASC;SG	N;MASC;SG
automóvel	carro	automóvel	carro	N;MASC;SG	N;MASC;SG
automóvel	auto	automóvel	auto	N;MASC;SG	N;MASC;SG
automóvel	automóvil	automóvel	automóvil	N;MASC;SG	N;MASC;SG
cana	caña	cana	caña	N;FEM;SG	N;FEM;SG
cana	bastón	cana	bastón	N;FEM;SG	N;MASC;SG
cana	cane	cana	canar	N;FEM;SG	N
cana	caña	cana	caña	N;FEM;SG	N;FEM;SG
cana	vara	cana	vara	N;FEM;SG	N;FEM;SG
cana	varilla	cana	varilla	N;FEM;SG	N;FEM;SG
cana	caña	cana	caña	N;FEM;SG	N;FEM;SG
emma	emma	emma	emma	N;FEM;SG	N;FEM;SG
asiático	asiática	asiático	asiático	ADJ;MASC;SG	ADJ;FEM;SG
asiático	asiático	asiático	asiático	ADJ;MASC;SG	ADJ;MASC;SG
couto	couto	couto	couto	N;MASC;SG	N;MASC;SG
profundamente	profundamente	profundamente	profundamente	ADV	ADV
profundamente	profundamente	profundamente	profundamente	ADV	ADV
estética	estética	estética	estética	N;FEM;SG	N;FEM;SG
estética	estética	estética	estética	N;FEM;SG	N;FEM;SG
gradualmente	progresivamente	gradualmente	progresivamente	ADV	ADV
gradualmente	gradualmente	gradualmente	gradualmente	ADV	ADV
dores	dolores	dor	dolor	N;FEM;PL	N;MASC;PL
centre	centro	centre	centro	N;MASC;SG	N;MASC;SG
centre	centre	centre	centre	N;MASC;SG	N;MASC;SG
augusta	augusta	augusta	augusto	N;FEM;SG	N;FEM;SG
multi	multi	multi	multi	N;MASC;SG	N;SG
massas	pastas	massa	pasta	N;FEM;PL	N;FEM;PL
massas	masas	massa	masa	N;FEM;PL	N;FEM;PL
massas	misas	massa	misa	N;FEM;PL	N;FEM;PL
massas	fideos	massa	fideo	N;FEM;PL	N;MASC;PL
massas	tallarines	massa	tallarin	N;FEM;PL	N;MASC;PL
marta	marta	marta	marta	N;FEM;SG	N;FEM;SG
marta	marta	marta	marta	N;FEM;SG	N;FEM;SG
marta	martha	marta	martha	N;FEM;SG	N;FEM;SG
gospel	evangelio	gospel	evangelio	N;MASC;SG	N;MASC;SG
gospel	gospel	gospel	gospel	N;MASC;SG	N;MASC;SG
lorenzo	lorenzo	lorenzo	lorenzo	N;MASC;SG	N;MASC;SG
provocou	provocó	provocar	provocar	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN
legais	legales	legal	legal	ADJ;MASC;PL	ADJ;PL
legais	jurídicas	legal	jurídico	ADJ;MASC;PL	ADJ;FEM;PL
mineira	minero	mineira	minero	N;FEM;SG	N;MASC;SG
mineira	minería	mineira	minería	N;FEM;SG	N;FEM;SG
lúcia	lucy	lúcia	lucy	N;FEM;SG	N;FEM;SG
lúcia	lucia	lúcia	lucia	N;FEM;SG	N;FEM;SG
naturalmente	naturalmente	naturalmente	naturalmente	ADV	ADV
gustav	gustav	gustav	gustav	N;MASC;SG	N;SG
horta	jardín	horta	jardín	N;FEM;SG	N;MASC;SG
horta	jardinería	horta	jardinería	N;FEM;SG	N;FEM;SG
horta	jardin	horta	jardin	N;FEM;SG	N;MASC;SG
horta	horta	horta	horta	N;FEM;SG	N;FEM;SG
madrugada	alba	madrugada	alba	N;FEM;SG	N;FEM;SG
madrugada	dawn	madrugada	dawn	N;FEM;SG	N;SG
madrugada	amanecer	madrugada	amanecer	N;FEM;SG	N;MASC;SG
amostra	ejemplo	amostra	ejemplo	N;FEM;SG	N;MASC;SG
cbs	cbs	cbs	cbs	N;FEM;SG	N;FEM;SG
vegetal	vegetal	vegetal	vegetal	ADJ;MASC;SG	ADJ;SG
estabelecimentos	establecimientos	estabelecimento	establecimiento	N;MASC;PL	N;MASC;PL
medalhista	medallista	medalhista	medallista	N;MASC;SG	N;SG
conteúdos	contenidos	conteúdo	contenido	N;MASC;PL	N;MASC;PL
conteúdos	contenidos	conteúdo	contenido	N;MASC;PL	N;MASC;PL
correr	corran	correr	correr	V;NFIN	V;IMP;PL;3;FIN
correr	correr	correr	correr	V;NFIN	V;NFIN
correr	corre	correr	correr	V;NFIN	V;IND;SG;3;PRS;FIN
correr	ejecutar	correr	ejecutar	V;NFIN	V;NFIN
georges	georges	georges	george	N;MASC;SG	N
empregado	trabajador	empregado	trabajador	N;MASC;SG	N;MASC;SG
empregado	camarero	empregado	camarero	N;MASC;SG	N;MASC;SG
empregado	mesero	empregado	mesero	N;MASC;SG	N;MASC;SG
empregado	mozo	empregado	mozo	N;MASC;SG	N;MASC;SG
funk	funk	funk	funk	N;MASC;SG	N;MASC;SG
entrando	entrar	entrar	entrar	V;V.MSDR	V;NFIN
entrando	entrando	entrar	entrar	V;V.MSDR	V;V.MSDR
entrando	ingresando	entrar	ingresar	V;V.MSDR	V;V.MSDR
costume	costumbre	costume	costumbre	N;MASC;SG	N;FEM;SG
costume	custom	costume	custom	N;MASC;SG	N
ronald	ronald	ronald	ronald	N;MASC;SG	N;SG
estabilidade	estabilidad	estabilidade	estabilidad	N;FEM;SG	N;FEM;SG
escultor	escultor	escultor	escultor	N;MASC;SG	N;MASC;SG
horizontal	horizontal	horizontal	horizontal	ADJ;MASC;SG	ADJ;SG
magic	magic	magic	magic	N;MASC;SG	N
magic	magia	magic	magia	N;MASC;SG	N;FEM;SG
sensação	sensación	sensação	sensación	N;FEM;SG	N;FEM;SG
sensação	sentimiento	sensação	sentimiento	N;FEM;SG	N;MASC;SG
sensação	sensación	sensação	sensación	N;FEM;SG	N;FEM;SG
convidada	invita	convidar	invitar	V;FEM;SG;V.PTCP	V;IND;SG;3;PRS;FIN
permanecendo	quedarse	permanecer	quedar	V;V.MSDR	V;SBJV;SG;3;IPFV;FIN
permanecendo	permaneciendo	permanecer	permanecer	V;V.MSDR	V;V.MSDR
poetas	poetas	poeta	poeta	N;MASC;PL	N;MASC;PL
efetivamente	eficazmente	efetivamente	eficazmente	ADV	ADV
efetivamente	efectivamente	efetivamente	efectivamente	ADV	ADV
ludwig	luis	ludwig	luis	N;MASC;SG	N;MASC;SG
samurai	samurái	samurai	samurái	N;MASC;SG	N;MASC;SG
samurai	samurai	samurai	samurai	N;MASC;SG	N;MASC;SG
pretendia	pretendía	pretender	pretender	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
ron	ron	ron	ron	N;MASC;SG	N;MASC;SG
espectro	espectro	espectro	espectro	N;MASC;SG	N;MASC;SG
espectro	espectro	espectro	espectro	N;MASC;SG	N;MASC;SG
espectro	espectro	espectro	espectro	N;MASC;SG	N;MASC;SG
espectro	specter	espectro	specter	N;MASC;SG	N;SG
anunciada	anunció	anunciar	anunciar	V;FEM;SG;V.PTCP	V;IND;SG;3;PST;FIN
fósseis	fósiles	fóssil	fósil	N;MASC;PL	N;MASC;PL
fósseis	fósiles	fóssil	fósil	N;MASC;PL	N;MASC;PL
sra	sra	sra	ser	N;FEM;SG	N;FEM;SG
sra	mrs	sra	mrs	N;FEM;SG	N;SG
catalunha	catalunya	catalunha	catalunya	N;FEM;SG	N;FEM;SG
catalunha	cataluña	catalunha	cataluña	N;FEM;SG	N;FEM;SG
puro	pura	puro	puro	ADJ;MASC;SG	ADJ;FEM;SG
