august	август	august	август	N;MASC;SG	N;INDF;MASC;SG
vestígios	следи	vestígio	следя	N;MASC;PL	N;INDF;FEM;PL
profundo	дълбока	profundo	дълбок	ADJ;MASC;SG	ADJ;INDF;FEM;SG
profundo	дълбок	profundo	дълбок	ADJ;MASC;SG	ADJ;INDF;MASC;SG
clipes	клипове	clipe	клип	N;MASC;PL	N;INDF;MASC;PL
clipes	щипки	clipe	щипка	N;MASC;PL	N;INDF;FEM;PL
tanques	резервоари	tanque	резервоар	N;MASC;PL	N;INDF;MASC;PL
tanques	танкове	tanque	танк	N;MASC;PL	N;INDF;MASC;PL
tanques	цистерни	tanque	цистерн	N;MASC;PL	N;INDF;FEM;PL
ideologia	идеология	ideologia	идеология	N;FEM;SG	N;INDF;FEM;SG
arnold	арнолд	arnold	арнолд	N;MASC;SG	N;INDF;MASC;SG
gerente	управител	gerente	управител	N;MASC;SG	N;INDF;MASC;SG
gerente	мениджър	gerente	мениджър	N;MASC;SG	N;INDF;MASC;SG
reconhecer	разпознае	reconhecer	разпозная-(се)	V;NFIN	V;PFV;IND;SG;3;PST;FIN;ACT
atrações	атракции	atração	атракция	N;FEM;PL	N;INDF;FEM;PL
adotou	приета	adotar	приема	V;IND;SG;3;PST;FIN	V;PFV;INDF;FEM;SG;V.PTCP;PASS
adotou	приет	adotar	приема	V;IND;SG;3;PST;FIN	V;PFV;INDF;MASC;SG;V.PTCP;PASS
prazer	удоволствие	prazer	удоволствие	N;MASC;SG	N;INDF;NEUT;SG
avisado	предупреден	avisar	предупредя	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
actor	актьор	actor	актьор	N;MASC;SG	N;INDF;MASC;SG
ofereceu	предложен	oferecer	предложа	V;IND;SG;3;PST;FIN	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ofereceu	предложена	oferecer	предложа	V;IND;SG;3;PST;FIN	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ofereceu	предложено	oferecer	предложа	V;IND;SG;3;PST;FIN	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
intelectuais	интелектуалци	intelectual	интелектуалец	N;MASC;PL	N;INDF;MASC;PL
caridade	милосърдие	caridade	милосърдие	N;FEM;SG	N;INDF;NEUT;SG
caridade	благотворителност	caridade	благотворителност	N;FEM;SG	N;INDF;FEM;SG
caridade	милостиня	caridade	милостиня	N;FEM;SG	N;INDF;FEM;SG
integrada	интегриран	integrar	интегрирам	V;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
integrada	интегрирано	integrar	интегрирам	V;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
integrada	интегрирана	integrar	интегрирам	V;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
carvão	въглен	carvão	въглен	N;MASC;SG	N;INDF;MASC;SG
carvão	въглен	carvão	въглен	N;MASC;SG	N;INDF;MASC;SG
pistas	писти	pista	пистя	N;FEM;PL	N;INDF;FEM;PL
pistas	склонове	pista	склон	N;FEM;PL	N;INDF;MASC;PL
pistas	улики	pista	улика	N;FEM;PL	N;INDF;FEM;PL
cordilheira	диапазон	cordilheira	диапазон	N;FEM;SG	N;INDF;MASC;SG
cordilheira	обхват	cordilheira	обхват	N;FEM;SG	N;INDF;MASC;SG
cordilheira	обсег	cordilheira	обсег	N;FEM;SG	N;INDF;MASC;SG
presa	заклещен	presa	заклещя	V;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
presa	заседнал	presa	заседна	V;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
presa	арестувана	presa	арестувам	V;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
presa	арестуван	presa	арестувам	V;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
noites	нощувки	noite	нощувка	N;FEM;PL	N;INDF;FEM;PL
noites	нощи	noite	нощ	N;FEM;PL	N;INDF;FEM;PL
noites	нощите	noite	нощ	N;FEM;PL	N;DEF;FEM;PL
noites	вечери	noite	вечеря	N;FEM;PL	N;INDF;FEM;PL
noites	вечерите	noite	вечер	N;FEM;PL	N;DEF;FEM;PL
departamentos	отделите	departamento	отдел	N;MASC;PL	N;DEF;MASC;PL
departamentos	управления	departamento	управление	N;MASC;PL	N;INDF;NEUT;PL
departamentos	отдели	departamento	отдел	N;MASC;PL	N;INDF;MASC;PL
amaro	амаро	amaro	амаро	N;MASC;SG	N;INDF;MASC;SG
barcos	кораби	barco	кораб	N;MASC;PL	N;INDF;MASC;PL
barcos	лодки	barco	лодка	N;MASC;PL	N;INDF;FEM;PL
malta	малта	malta	малта	N;FEM;SG	N;INDF;FEM;SG
oponente	опонент	oponente	опонент	N;MASC;SG	N;INDF;MASC;SG
oponente	съперник	oponente	съперник	N;MASC;SG	N;INDF;MASC;SG
oponente	противник	oponente	противник	N;MASC;SG	N;INDF;MASC;SG
dublagem	дублаж	dublagem	дублаж	N;FEM;SG	N;INDF;MASC;SG
hunter	ловец	hunter	ловец	N;MASC;SG	N;INDF;MASC;SG
forest	форест	forest	форест	N;MASC;SG	N;INDF;MASC;SG
forest	гора	forest	гора	N;MASC;SG	N;INDF;FEM;SG
consideração	обмисляне	consideração	обмисляне	N;FEM;SG	N;INDF;NEUT;SG
salva	спестява	salvar	спестявам	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
salva	спасява	salvar	спасявам-(се)	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
salva	спасена	salvar	спася-(се)	V;IND;SG;3;PRS;FIN	V;PFV;INDF;FEM;SG;V.PTCP;PASS
salva	спасен	salvar	спасен	V;IND;SG;3;PRS;FIN	V;PFV;INDF;MASC;SG;V.PTCP;PASS
premier	премиер	premier	премиер	N;MASC;SG	N;INDF;MASC;SG
premier	премиера	premier	премиер	N;MASC;SG	N;DEF;MASC;SG
justo	праведен	justo	праведа	ADJ;MASC;SG	ADJ;INDF;MASC;SG
justo	справедлив	justo	справедлив	ADJ;MASC;SG	ADJ;INDF;MASC;SG
justo	справедлива	justo	справедлив	ADJ;MASC;SG	ADJ;INDF;FEM;SG
anéis	халки	anel	халка	N;MASC;PL	N;INDF;FEM;PL
humberto	хумберт	humberto	хумберт	N;MASC;SG	N;INDF;MASC;SG
humberto	умберто	humberto	умберто	N;MASC;SG	N;DEF;MASC;SG
humberto	юбер	humberto	юбер	N;MASC;SG	N;INDF;MASC;SG
átomos	атомите	átomo	атома	N;MASC;PL	N;DEF;MASC;PL
átomos	атоми	átomo	атом	N;MASC;PL	N;INDF;MASC;PL
comunistas	комунисти	comunista	комунист	N;MASC;PL	N;INDF;MASC;PL
comunistas	комунистите	comunista	комунист	N;MASC;PL	N;DEF;MASC;PL
transmitir	предава	transmitir	предавам-(се)	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
rodovias	магистралите	rodovia	магистрал	N;FEM;PL	N;DEF;FEM;PL
rodovias	магистрали	rodovia	магистрал	N;FEM;PL	N;INDF;FEM;PL
sepultado	погребан	sepultado	погребан	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
sepultado	погребана	sepultado	погребан	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
sepultado	заровено	sepultado	заровя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
inspirada	вдъхновена	inspirar	вдъхновя-(се)	V;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
inspirada	вдъхнови	inspirar	вдъхновя-(се)	V;FEM;SG;V.PTCP	V;PFV;IMP;SG;2;FIN
joan	джоан	joan	джоан	N;FEM;SG	N;INDF;FEM;SG
lara	лара	lara	лара	N;FEM;SG	N;INDF;FEM;SG
inovação	иновация	inovação	иновация	N;FEM;SG	N;INDF;FEM;SG
falhas	неуспехи	falha	неуспех	N;FEM;PL	N;INDF;MASC;PL
falhas	недостатъци	falha	недостатък	N;FEM;PL	N;INDF;MASC;PL
falhas	недостатъци	falha	недостатък	N;FEM;PL	N;INDF;MASC;PL
meridional	южна	meridional	южен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
dum	дум	dum	дум	N;MASC;SG	N;INDF;MASC;SG
felicidade	щастие	felicidade	щастие	N;FEM;SG	N;INDF;NEUT;SG
felicidade	щастието	felicidade	щастие	N;FEM;SG	N;DEF;NEUT;SG
suficientes	достатъчни	suficiente	достатъчен	ADJ;MASC;PL	ADJ;INDF;PL
performances	представления	performance	представление	N;FEM;PL	N;INDF;NEUT;PL
performances	изпълнения	performance	изпълнение	N;FEM;PL	N;INDF;NEUT;PL
triunfo	триумф	triunfo	триумф	N;MASC;SG	N;INDF;MASC;SG
telescópio	телескопа	telescópio	телескоп	N;MASC;SG	N;DEF;MASC;SG
telescópio	телескоп	telescópio	телескоп	N;MASC;SG	N;INDF;MASC;SG
canada	канада	canada	канад	N;FEM;SG	N;INDF;FEM;SG
norman	норман	norman	норман	N;MASC;SG	N;INDF;MASC;SG
tronco	торса	tronco	торса	N;MASC;SG	N;DEF;MASC;SG
tronco	багажника	tronco	багажник	N;MASC;SG	N;DEF;MASC;SG
tronco	багажник	tronco	багажник	N;MASC;SG	N;INDF;MASC;SG
caverna	пещера	cavernar	пещера	N;FEM;SG	N;INDF;FEM;SG
caverna	пещерата	cavernar	пещера	N;FEM;SG	N;DEF;FEM;SG
promessa	залог	promessa	залог	N;FEM;SG	N;INDF;MASC;SG
promessa	обет	promessa	обет	N;FEM;SG	N;INDF;MASC;SG
liverpool	ливърпул	liverpool	ливърпул	N;MASC;SG	N;INDF;MASC;SG
alternativas	алтернативи	alternativa	алтернатива	N;FEM;PL	N;INDF;FEM;PL
bebê	бебе	bebê	бебе	N;MASC;SG	N;INDF;NEUT;SG
bebê	бейби	bebê	бейба	N;MASC;SG	N;INDF;NEUT;SG
harold	харолд	harold	харолд	N;MASC;SG	N;INDF;MASC;SG
harold	харълд	harold	харълд	N;MASC;SG	N;INDF;MASC;SG
comparado	сравнена	comparar	сравня	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
propõe	предлага	propor	предлагам	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
transformado	трансформирана	transformar	трансформирам	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
portos	пристанищата	porto	пристанище	N;MASC;PL	N;DEF;NEUT;PL
portos	пристанища	porto	пристанище	N;MASC;PL	N;INDF;NEUT;PL
adversários	противници	adversário	противник	N;MASC;PL	N;INDF;MASC;PL
adversários	противниците	adversário	противник	N;MASC;PL	N;DEF;MASC;PL
adversários	противници	adversário	противник	N;MASC;PL	N;INDF;MASC;PL
adversários	опоненти	adversário	опонент	N;MASC;PL	N;INDF;MASC;PL
minuto	минута	minuto	минута	N;MASC;SG	N;INDF;FEM;SG
reitor	ректор	reitor	ректор	N;MASC;SG	N;INDF;MASC;SG
edge	ръба	edge	ръб	N;MASC;SG	N;DEF;MASC;SG
edge	ръб	edge	ръб	N;MASC;SG	N;INDF;MASC;SG
contemporâneo	съвременна	contemporâneo	съвременен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
contemporâneo	съвременен	contemporâneo	съвременен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
noiva	годеница	noiva	годеница	N;FEM;SG	N;INDF;FEM;SG
noiva	годеницата	noiva	годеница	N;FEM;SG	N;DEF;FEM;SG
noiva	булката	noiva	булка	N;FEM;SG	N;DEF;FEM;SG
noiva	булка	noiva	булка	N;FEM;SG	N;INDF;FEM;SG
noiva	годеница	noiva	годеница	N;FEM;SG	N;INDF;FEM;SG
associadas	асоциирани	associar	асоциирам	V;FEM;PL;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
associadas	асоциирани	associar	асоциирам	V;FEM;PL;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
associadas	свързани	associar	свържа	V;FEM;PL;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
coletiva	колектив	coletivo	колектив	N;FEM;SG	N;INDF;MASC;SG
pavilhão	флаг	pavilhão	флаг	N;MASC;SG	N;INDF;MASC;SG
pavilhão	знамето	pavilhão	знаме	N;MASC;SG	N;DEF;NEUT;SG
pavilhão	знаме	pavilhão	знаме	N;MASC;SG	N;INDF;NEUT;SG
pavilhão	павилион	pavilhão	павилион	N;MASC;SG	N;INDF;MASC;SG
spin	завъртане	spin	завъртане	N;MASC;SG	N;INDF;NEUT;SG
spin	въртене	spin	въртене	N;MASC;SG	N;INDF;NEUT;SG
proximidade	близост	proximidade	близост	N;FEM;SG	N;INDF;FEM;SG
proximidade	близост	proximidade	близост	N;FEM;SG	N;INDF;FEM;SG
proximidade	близостта	proximidade	близост	N;FEM;SG	N;DEF;FEM;SG
insiste	настоява	insistir	настоявам-(се)	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
borda	ръба	borda	ръб	N;FEM;SG	N;DEF;MASC;SG
borda	ръб	borda	ръб	N;FEM;SG	N;INDF;MASC;SG
borda	границата	borda	граница	N;FEM;SG	N;DEF;FEM;SG
borda	граница	borda	граница	N;FEM;SG	N;INDF;FEM;SG
funcionário	работник	funcionário	работник	N;MASC;SG	N;INDF;MASC;SG
funcionário	служител	funcionário	служител	N;MASC;SG	N;INDF;MASC;SG
funcionário	служителка	funcionário	служителка	N;MASC;SG	N;INDF;FEM;SG
percepção	схващане	percepção	схващане	N;FEM;SG	N;INDF;NEUT;SG
percepção	възприятие	percepção	възприятие	N;FEM;SG	N;INDF;NEUT;SG
percepção	възприемане	percepção	възприемане	N;FEM;SG	N;INDF;NEUT;SG
nov	ноември	nov	ноември	N;MASC;SG	N;INDF;MASC;SG
acadêmica	академик	acadêmico	академик	N;FEM;SG	N;INDF;MASC;SG
frequentes	общи	frequente	общ	ADJ;MASC;PL	ADJ;INDF;PL
fechada	затворена	fechar	затворя-(се)	V;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
fechada	затворено	fechar	затворя-(се)	V;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
cinza	пепел	cinza	пепел	N;FEM;SG	N;INDF;MASC;SG
oxigênio	кислород	oxigênio	кислород	N;MASC;SG	N;INDF;MASC;SG
serie	серия	seriar	серия	N;FEM;SG	N;INDF;FEM;SG
frequente	обща	frequente	общ	ADJ;MASC;SG	ADJ;INDF;FEM;SG
frequente	общ	frequente	общ	ADJ;MASC;SG	ADJ;INDF;MASC;SG
phoenix	феникс	phoenix	феникс	N;MASC;SG	N;INDF;MASC;SG
phoenix	финикс	phoenix	финикс	N;MASC;SG	N;INDF;MASC;SG
enviada	изпратена	enviar	изпратя	V;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
enviada	изпратено	enviar	изпратя	V;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
enviada	изпратен	enviar	изпратя	V;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
muralha	стена	muralha	стена	N;FEM;SG	N;INDF;FEM;SG
muralha	стената	muralha	стена	N;FEM;SG	N;DEF;FEM;SG
muralha	уол	muralha	уол	N;FEM;SG	N;INDF;FEM;SG
mercedes	мерцедес	mercede	мерцедес	N;MASC;SG	N;INDF;MASC;SG
mercedes	мерседес	mercede	мерседес	N;MASC;SG	N;INDF;FEM;SG
difíceis	трудни	difícil	труден	ADJ;MASC;PL	ADJ;INDF;PL
sargento	сержант	sargento	сержант	N;MASC;SG	N;INDF;MASC;SG
renovação	ремонт	renovação	ремонт	N;FEM;SG	N;INDF;MASC;SG
renovação	подновяване	renovação	подновяване	N;FEM;SG	N;INDF;NEUT;SG
renovação	обновяване	renovação	обновяване	N;FEM;SG	N;INDF;NEUT;SG
manchete	заглавие	manchete	заглавие	N;FEM;SG	N;INDF;NEUT;SG
fragmentos	фрагменти	fragmento	фрагмент	N;MASC;PL	N;INDF;MASC;PL
exclusivo	изключителна	exclusivo	изключителен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
geometria	геометрията	geometria	геометрия	N;FEM;SG	N;DEF;FEM;SG
geometria	геометрия	geometria	геометрия	N;FEM;SG	N;INDF;FEM;SG
crônica	кроникъл	crônico	кроникъл	N;FEM;SG	N;INDF;MASC;SG
telecomunicações	телекомуникациите	telecomunicação	телекомуникация	N;FEM;PL	N;DEF;FEM;PL
apoiado	подкрепен	apoiar	подкрепя	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
apoiado	подкрепи	apoiar	подкрепя	V;MASC;SG;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
apoiado	подкрепена	apoiar	подкрепя	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
apoiado	подкрепено	apoiar	подкрепя	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
eficaz	ефективна	eficaz	ефективен	ADJ;FEM;SG	ADJ;INDF;FEM;SG
eficaz	ефективен	eficaz	ефективен	ADJ;FEM;SG	ADJ;INDF;MASC;SG
prestígio	престиж	prestígio	престиж	N;MASC;SG	N;INDF;MASC;SG
governadores	управителите	governador	управител	N;MASC;PL	N;DEF;MASC;PL
governadores	управители	governador	управител	N;MASC;PL	N;INDF;MASC;PL
coletivo	колектив	coletivo	колектив	N;MASC;SG	N;INDF;MASC;SG
centímetros	сантиметри	centímetro	сантиметър	N;MASC;PL	N;INDF;MASC;PL
centímetros	сантиметри	centímetro	сантиметър	N;MASC;PL	N;INDF;MASC;PL
centímetros	сантиметри	centímetro	сантиметър	N;MASC;PL	N;INDF;MASC;PL
secundárias	вторични	secundário	вторичен	ADJ;FEM;PL	ADJ;INDF;PL
fenômenos	явления	fenômeno	явление	N;MASC;PL	N;INDF;NEUT;PL
fenômenos	феномени	fenômeno	феномен	N;MASC;PL	N;INDF;MASC;PL
enterrado	погребан	enterrar	погребан	V;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
enterrado	погребана	enterrar	погребан	V;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
enterrado	заровено	enterrar	заровя-(се)	V;MASC;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
líbia	либия	líbia	либия	N;FEM;SG	N;INDF;FEM;SG
líbia	либия	líbia	либия	N;FEM;SG	N;INDF;FEM;SG
embarcações	съдове	embarcação	съд	N;FEM;PL	N;INDF;MASC;PL
embarcações	кораби	embarcação	кораб	N;FEM;PL	N;INDF;MASC;PL
pouso	кацане	pouso	кацане	N;MASC;SG	N;INDF;NEUT;SG
pouso	приземяване	pouso	приземяване	N;MASC;SG	N;INDF;NEUT;SG
pouso	разтоварване	pouso	разтоварване	N;MASC;SG	N;INDF;NEUT;SG
pouso	приземяването	pouso	приземяване	N;MASC;SG	N;DEF;NEUT;SG
issn	issn	issn	issn	N;MASC;SG	N;INDF;FEM;SG
confrontos	сблъсъци	confronto	сблъсък	N;MASC;PL	N;INDF;MASC;PL
criaturas	твари	criatura	твар	N;FEM;PL	N;INDF;MASC;PL
criaturas	създания	criatura	създане	N;FEM;PL	N;INDF;NEUT;PL
criaturas	същества	criatura	същество	N;FEM;PL	N;INDF;NEUT;PL
euro	еврото	euro	евро	N;MASC;SG	N;DEF;NEUT;SG
euro	евро	euro	евро	N;MASC;SG	N;INDF;NEUT;SG
colapso	колапс	colapso	колапс	N;MASC;SG	N;INDF;MASC;SG
colapso	срутване	colapso	срутване	N;MASC;SG	N;INDF;NEUT;SG
colapso	срив	colapso	срив	N;MASC;SG	N;INDF;MASC;SG
colapso	разпадане	colapso	разпадане	N;MASC;SG	N;INDF;NEUT;SG
parágrafo	параграф	parágrafo	параграф	N;MASC;SG	N;INDF;MASC;SG
parágrafo	абзац	parágrafo	абзац	N;MASC;SG	N;INDF;MASC;SG
pátria	родино	pátria	родино	N;FEM;SG	N;INDF;MASC;SG
pátria	родината	pátria	родина	N;FEM;SG	N;DEF;FEM;SG
pátria	родина	pátria	родина	N;FEM;SG	N;INDF;FEM;SG
pátria	родина	pátria	родина	N;FEM;SG	N;INDF;FEM;SG
pátria	родино	pátria	родино	N;FEM;SG	N;INDF;MASC;SG
pátria	родина	pátria	родина	N;FEM;SG	N;INDF;FEM;SG
tigre	тигре	tigre	тигре	N;MASC;SG	N;INDF;MASC;SG
tigre	тигър	tigre	тигър	N;MASC;SG	N;INDF;MASC;SG
pescoço	врат	pescoço	врат	N;MASC;SG	N;INDF;MASC;SG
pescoço	врата	pescoço	врата	N;MASC;SG	N;INDF;FEM;SG
pescoço	шия	pescoço	шия	N;MASC;SG	N;INDF;FEM;SG
semestre	семестър	semestre	семестър	N;MASC;SG	N;INDF;MASC;SG
semestre	семестъра	semestre	семестър	N;MASC;SG	N;DEF;MASC;SG
ring	ринг	ring	ринг	N;MASC;SG	N;INDF;MASC;SG
temática	тема	temático	тема	N;FEM;SG	N;INDF;FEM;SG
oficina	работилница	oficina	работилница	N;FEM;SG	N;INDF;FEM;SG
oficina	работилницата	oficina	работилница	N;FEM;SG	N;DEF;FEM;SG
oficina	семинар	oficina	семинар	N;FEM;SG	N;INDF;MASC;SG
invenção	изобретението	invenção	изобретение	N;FEM;SG	N;DEF;NEUT;SG
invenção	изобретение	invenção	изобретение	N;FEM;SG	N;INDF;NEUT;SG
hidrogênio	водород	hidrogênio	водород	N;MASC;SG	N;INDF;MASC;SG
almas	душите	alma	души	N;FEM;PL	N;DEF;FEM;PL
timor	тимор	timor	тимор	N;MASC;SG	N;INDF;MASC;SG
hebraico	иврит	hebraico	иврит	N;MASC;SG	N;INDF;MASC;SG
jurisdição	компетентност	jurisdição	компетентност	N;FEM;SG	N;INDF;FEM;SG
jurisdição	юрисдикция	jurisdição	юрисдикция	N;FEM;SG	N;INDF;FEM;SG
adolfo	адолф	adolfo	адолф	N;MASC;SG	N;INDF;MASC;SG
bactérias	бактерии	bactéria	бактерия	N;FEM;PL	N;INDF;FEM;PL
progressivo	прогресивна	progressivo	прогресивен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
colaborou	сътрудничил	colaborar	сътруднича	V;IND;SG;3;PST;FIN	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT
requer	изисква	requerer	изисквам	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
alfa	алфа	alfar	алфа	N;MASC;SG	N;INDF;FEM;SG
alfa	алфа	alfar	алфа	N;MASC;SG	N;INDF;FEM;SG
verso	стих	verso	стих	N;MASC;SG	N;INDF;MASC;SG
futuros	бъдещи	futuro	бъдещ	ADJ;MASC;PL	ADJ;INDF;PL
impróprio	неподходящ	impróprio	неподходящ	ADJ;MASC;SG	ADJ;INDF;MASC;SG
impróprio	неподходяща	impróprio	неподходящ	ADJ;MASC;SG	ADJ;INDF;FEM;SG
impróprio	неподходящ	impróprio	неподходящ	ADJ;MASC;SG	ADJ;INDF;MASC;SG
impróprio	неподходяща	impróprio	неподходящ	ADJ;MASC;SG	ADJ;INDF;FEM;SG
inferiores	нисши	inferior	нисшя	ADJ;MASC;PL	ADJ;INDF;PL
potências	сили	potências	сила	N;FEM;PL	N;INDF;FEM;PL
potências	правомощия	potências	правомощие	N;FEM;PL	N;INDF;NEUT;PL
toque	докосване	toque	докосване	N;MASC;SG	N;INDF;NEUT;SG
encontros	срещи	encontro	среща	N;MASC;PL	N;INDF;FEM;PL
encontros	събрания	encontro	събрание	N;MASC;PL	N;INDF;NEUT;PL
encontros	заседания	encontro	заседание	N;MASC;PL	N;INDF;NEUT;PL
encontros	срещи	encontro	среща	N;MASC;PL	N;INDF;FEM;PL
encontros	запознанства	encontro	запознанство	N;MASC;PL	N;INDF;NEUT;PL
viajar	пътувам	viajar	пътувам	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
viajar	пътуват	viajar	пътувам	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
viajar	пътувам	viajar	пътувам	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
viajar	пътува	viajar	пътувам	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
bombeiros	пожарникарите	bombeiro	пожарникар	N;MASC;PL	N;DEF;MASC;PL
bombeiros	пожарникари	bombeiro	пожарникар	N;MASC;PL	N;INDF;MASC;PL
meninos	момчета	menino	момче	N;MASC;PL	N;INDF;NEUT;PL
observado	наблюдаван	observar	наблюдавам	V;MASC;SG;V.PTCP	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
observado	наблюдавано	observar	наблюдавам	V;MASC;SG;V.PTCP	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
observado	наблюдавана	observar	наблюдавам	V;MASC;SG;V.PTCP	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
pertencem	принадлежат	pertencer	принадлежа	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
pecuária	добитък	pecuário	добитък	N;FEM;SG	N;INDF;MASC;SG
maneiras	начини	maneira	начин	N;FEM;PL	N;INDF;MASC;PL
maneiras	обноски	maneira	обноска	N;FEM;PL	N;INDF;FEM;PL
maneiras	маниери	maneira	маниера	N;FEM;PL	N;INDF;FEM;PL
absoluto	абсолютна	absoluto	абсолютен	ADJ;MASC;SG	ADJ;INDF;FEM;SG
absoluto	абсолютен	absoluto	абсолютен	ADJ;MASC;SG	ADJ;INDF;MASC;SG
supercopa	суперкопа	supercopa	суперкопа	N;FEM;SG	N;INDF;MASC;SG
crenças	вярвания	crença	вярван	N;FEM;PL	N;INDF;NEUT;PL
crenças	убеждения	crença	убеждение	N;FEM;PL	N;INDF;NEUT;PL
viseu	визеу	viseu	визеу	N;MASC;SG	N;INDF;MASC;SG
moreno	морено	moreno	морено	N;MASC;SG	N;INDF;NEUT;SG
lobos	вълците	lobo	вълк	N;MASC;PL	N;DEF;MASC;PL
lobos	вълци	lobo	вълк	N;MASC;PL	N;INDF;MASC;PL
denis	денис	denis	денис	N;MASC;SG	N;INDF;MASC;SG
patinação	пързаляне	patinação	пързаляне	N;FEM;SG	N;INDF;NEUT;SG
airlines	авиокомпания	airline	авиокомпания	N;MASC;SG	N;INDF;FEM;SG
monstros	чудовища	monstro	чудовище	N;MASC;PL	N;INDF;NEUT;PL
monstros	чудовищата	monstro	чудовище	N;MASC;PL	N;DEF;NEUT;PL
sobrevivência	преживяемост	sobrevivência	преживяемост	N;FEM;SG	N;INDF;FEM;SG
sobrevivência	оцеляване	sobrevivência	оцеляване	N;FEM;SG	N;INDF;NEUT;SG
sobrevivência	оцеляването	sobrevivência	оцеляване	N;FEM;SG	N;DEF;NEUT;SG
acidentes	инциденти	acidente	инцидент	N;MASC;PL	N;INDF;MASC;PL
acidentes	злополуки	acidente	злополука	N;MASC;PL	N;INDF;FEM;PL
acidentes	аварии	acidente	авария	N;MASC;PL	N;INDF;FEM;PL
acidentes	произшествия	acidente	произшествие	N;MASC;PL	N;INDF;NEUT;PL
silvio	силвио	silvio	силвио	N;MASC;SG	N;INDF;MASC;SG
parentes	роднини	parente	роднина	N;MASC;PL	N;INDF;MASC;PL
parentes	роднините	parente	роднина	N;MASC;PL	N;DEF;MASC;PL
julia	джулия	julia	джулие	N;FEM;SG	N;INDF;FEM;SG
significativamente	значително	significativamente	значително	ADV	ADV
