els	the	el	the	DET;DEF;MASC;PL	DET;DEF
orquestra	orchestra	orquestra	orchestra	N;FEM;SG	N;SG
òpera	opera	òpera	opera	N;FEM;SG	N;SG
àrab	arabic	àrab	arabic	ADJ;SG	ADJ
volum	volume	volum	volume	N;MASC;SG	N;SG
argentina	argentine	argentí	argentine	ADJ;FEM;SG	ADJ
àlbum	album	àlbum	album	N;MASC;SG	N;SG
comercial	commercial	comercial	commercial	ADJ;SG	ADJ
exposició	exhibition	exposició	exhibition	N;FEM;SG	N;SG
exposició	exposure	exposició	exposure	N;FEM;SG	N;SG
arriba	arrives	arribar	arrive	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
bandera	flag	bandera	flag	N;FEM;SG	N;SG
proves	tests	prova	test	N;FEM;PL	N;PL
equipaments	equipments	equipament	equipment	N;MASC;PL	N;PL
apartaments	apartments	apartament	apartment	N;MASC;PL	N;PL
nau	ship	nau	ship	N;FEM;SG	N;SG
última	last	últim	last	ADJ;FEM;SG	ADJ
cançons	songs	cançó	song	N;FEM;PL	N;PL
piano	piano	piano	piano	N;MASC;SG	N;SG
temes	themes	tema	theme	N;MASC;PL	N;PL
temes	topics	tema	topic	N;MASC;PL	N;PL
funcions	functions	funció	function	N;FEM;PL	N;PL
economia	economy	economia	economy	N;FEM;SG	N;SG
matrimoni	marriage	matrimoni	marriage	N;MASC;SG	N;SG
independent	independent	independent	independent	ADJ;SG	ADJ
treballs	jobs	treball	job	N;MASC;PL	N;PL
idea	idea	idea	idea	N;FEM;SG	N;SG
tradició	tradition	tradició	tradition	N;FEM;SG	N;SG
federació	federation	federació	federation	N;FEM;SG	N;SG
escolars	schoolchildren	escolar	schoolchild	N;PL	N;PL
actriu	actress	actriu	actress	N;FEM;SG	N;SG
mercat	marketplace	mercat	marketplace	N;MASC;SG	N;SG
mercat	market	mercat	market	N;MASC;SG	N;SG
grau	grade	grau	grade	N;MASC;SG	N;SG
grau	degree	grau	degree	N;MASC;SG	N;SG
sector	sector	sector	sector	N;MASC;SG	N;SG
motiu	reason	motiu	reason	N;MASC;SG	N;SG
condicions	terms	condició	term	N;FEM;PL	N;PL
comú	common	comú	common	ADJ;MASC;SG	ADJ
efecte	effect	efecte	effect	N;MASC;SG	N;SG
americà	american	americà	american	ADJ;MASC;SG	ADJ
entitat	entity	entitat	entity	N;FEM;SG	N;SG
muntanyes	mountains	muntanya	mountain	N;FEM;PL	N;PL
tradicional	traditional	tradicional	traditional	ADJ;SG	ADJ
poeta	poet	poeta	poet	N;SG	N;SG
problema	problem	problema	problem	N;MASC;SG	N;SG
propietat	property	propietat	property	N;FEM;SG	N;SG
canvis	changes	canvi	change	N;MASC;PL	N;PL
composició	composition	composició	composition	N;FEM;SG	N;SG
frontera	border	frontera	border	N;FEM;SG	N;SG
històric	historical	històric	historical	ADJ;MASC;SG	ADJ
edicions	edits	edició	edit	N;FEM;PL	N;PL
parla	speaks	parlar	speak	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
diferent	different	diferent	different	ADJ;SG	ADJ
escala	scale	escala	scale	N;FEM;SG	N;SG
permetre	allow	permetre	allow	V;NFIN	V;IMP;FIN
nombrosos	numerous	nombrós	numerous	ADJ;MASC;PL	ADJ
revolució	revolution	revolució	revolution	N;FEM;SG	N;SG
competició	competition	competició	competition	N;FEM;SG	N;SG
indústria	industry	indústria	industry	N;FEM;SG	N;SG
arquitectura	architecture	arquitectura	architecture	N;FEM;SG	N;SG
agrícola	agricultural	agrícola	agricultural	ADJ;SG	ADJ
locals	local	local	local	ADJ;PL	ADJ
gen	gene	gen	gene	N;MASC;SG	N;SG
armes	weapons	arma	weapon	N;FEM;PL	N;PL
armes	guns	arma	gun	N;FEM;PL	N;PL
similar	similar	similar	similar	ADJ;SG	ADJ
seguretat	security	seguretat	security	N;FEM;SG	N;SG
seguretat	safety	seguretat	safety	N;FEM;SG	N;SG
militars	military	militar	military	ADJ;PL	ADJ
pertany	belongs	pertànyer	belong	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
present	present	present	present	ADJ;SG	ADJ
edificis	buildings	edifici	building	N;MASC;PL	N;PL
camps	fields	camp	field	N;MASC;PL	N;PL
autors	authors	autor	author	N;MASC;PL	N;PL
festa	party	festa	party	N;FEM;SG	N;SG
soldats	soldiers	soldat	soldier	N;MASC;PL	N;PL
comissió	commission	comissió	commission	N;FEM;SG	N;SG
arxiu	archive	arxiu	archive	N;MASC;SG	N;SG
arxiu	file	arxiu	file	N;MASC;SG	N;SG
arribada	arrival	arribada	arrival	N;FEM;SG	N;SG
màxim	maximum	màxim	maximum	ADJ;MASC;SG	ADJ
línies	lines	línia	line	N;FEM;PL	N;PL
germans	brothers	germà	brother	N;MASC;PL	N;PL
objectes	objects	objecte	object	N;MASC;PL	N;PL
moderna	modern	modern	modern	ADJ;FEM;SG	ADJ
artistes	artists	artista	artist	N;PL	N;PL
entitats	entities	entitat	entity	N;FEM;PL	N;PL
fase	phase	fase	phase	N;FEM;SG	N;SG
pis	floor	pis	floor	N;MASC;SG	N;SG
darrer	last	darrer	last	ADJ;MASC;SG	ADJ
defunció	death	defunció	death	N;FEM;SG	N;SG
cursa	race	cursa	race	N;FEM;SG	N;SG
doble	double	doble	double	ADJ;SG	ADJ
distància	distance	distància	distance	N;FEM;SG	N;SG
econòmica	economic	econòmic	economic	ADJ;FEM;SG	ADJ
traducció	translation	traducció	translation	N;FEM;SG	N;SG
termes	termes	terme	terme	N;MASC;PL	N;PL
termes	terms	terme	term	N;MASC;PL	N;PL
normal	normal	normal	normal	ADJ;SG	ADJ
hostatgeria	hospice	hostatgeria	hospice	N;FEM;SG	N;SG
botiga	shop	botiga	shop	N;FEM;SG	N;SG
botiga	store	botiga	store	N;FEM;SG	N;SG
tropical	tropical	tropical	tropical	ADJ;SG	ADJ
vots	votes	vot	vote	N;MASC;PL	N;PL
nombroses	numerous	nombrós	numerous	ADJ;FEM;PL	ADJ
regions	regions	regió	region	N;FEM;PL	N;PL
industrial	industrial	industrial	industrial	ADJ;SG	ADJ
element	element	element	element	N;MASC;SG	N;SG
pàgines	pages	pàgina	page	N;FEM;PL	N;PL
artista	artist	artista	artist	N;SG	N;SG
mida	size	mida	size	N;FEM;SG	N;SG
secretari	secretary	secretari	secretary	N;MASC;SG	N;SG
socials	social	social	social	ADJ;PL	ADJ
objecte	object	objecte	object	N;MASC;SG	N;SG
directament	directly	directament	directly	ADV	ADV
esposa	wife	esposar	wife	N;FEM;SG	N;SG
rep	receives	rebre	receive	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
materials	materials	material	material	N;MASC;PL	N;PL
retirar	withdraw	retirar	withdraw	V;NFIN	V;IMP;FIN
roca	rock	roca	rock	N;FEM;SG	N;SG
notes	notes	nota	note	N;FEM;PL	N;PL
comercials	commercial	comercial	commercial	ADJ;PL	ADJ
usuari	user	usuari	user	N;MASC;SG	N;SG
hivern	winter	hivern	winter	N;MASC;SG	N;SG
paraules	words	paraula	word	N;FEM;PL	N;PL
temperatura	temperature	temperatura	temperature	N;FEM;SG	N;SG
contingut	content	contingut	content	N;MASC;SG	N;SG
evolució	evolution	evolució	evolution	N;FEM;SG	N;SG
representació	rendering	representació	render	N;FEM;SG	N;SG
representació	representation	representació	representation	N;FEM;SG	N;SG
cantant	singer	cantant	singer	N;SG	N;SG
cantant	singing	cantant	sing	N;SG	N;SG
existència	existence	existència	existence	N;FEM;SG	N;SG
llibertat	freedom	llibertat	freedom	N;FEM;SG	N;SG
plantilla	template	plantilla	template	N;FEM;SG	N;SG
malaltia	disease	malaltia	disease	N;FEM;SG	N;SG
rius	rivers	riu	river	N;MASC;PL	N;PL
produeix	produces	produir	produce	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
particular	particular	particular	particular	ADJ;SG	ADJ
tron	throne	tron	throne	N;MASC;SG	N;SG
existeix	exists	existir	exist	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
torneig	tournament	torneig	tournament	N;MASC;SG	N;SG
salut	health	salut	health	N;FEM;SG	N;SG
crítica	criticism	crítica	criticism	N;FEM;SG	N;SG
oficina	office	oficina	office	N;FEM;SG	N;SG
marine	marine	marine	marine	N;SG	N;SG
efectes	effects	efecte	effect	N;MASC;PL	N;PL
hora	hour	hora	hour	N;FEM;SG	N;SG
estadi	stadium	estadi	stadium	N;MASC;SG	N;SG
barranc	ravine	barranc	ravine	N;MASC;SG	N;SG
barranc	gully	barranc	gully	N;MASC;SG	N;SG
hospital	hospital	hospital	hospital	N;MASC;SG	N;SG
investigació	research	investigació	research	N;FEM;SG	N;SG
protecció	protection	protecció	protection	N;FEM;SG	N;SG
publicació	publication	publicació	publication	N;FEM;SG	N;SG
publicació	post	publicació	post	N;FEM;SG	N;SG
carta	letter	carta	letter	N;FEM;SG	N;SG
viatge	trip	viatge	trip	N;MASC;SG	N;SG
resistència	resistance	resistència	resistance	N;FEM;SG	N;SG
considerar	consider	considerar	consider	V;NFIN	V;IMP;FIN
motor	engine	motor	engine	N;MASC;SG	N;SG
expedició	expedition	expedició	expedition	N;FEM;SG	N;SG
àmbit	field	àmbit	field	N;MASC;SG	N;SG
àmbit	area	àmbit	area	N;MASC;SG	N;SG
àmbit	scope	àmbit	scope	N;MASC;SG	N;SG
colors	colours	color	colour	N;MASC;PL	N;PL
colors	colors	color	color	N;MASC;PL	N;PL
constitució	constitution	constitució	constitution	N;FEM;SG	N;SG
recuperar	retrieve	recuperar	retrieve	V;NFIN	V;IMP;FIN
allà	there	allà	there	ADV	ADV
federal	federal	federal	federal	ADJ;SG	ADJ
escoles	schools	escola	school	N;FEM;PL	N;PL
animal	animal	animal	animal	N;SG	N;SG
ràdio	radio	ràdio	radio	N;FEM;SG	N;SG
mètode	method	mètode	method	N;MASC;SG	N;SG
lletres	lyrics	lletra	lyric	N;FEM;PL	N;PL
jugadors	players	jugador	player	N;MASC;PL	N;PL
cambres	chambers	cambra	chamber	N;FEM;PL	N;PL
quilòmetres	kilometres	quilòmetre	kilometre	N;MASC;PL	N;PL
quilòmetres	miles	quilòmetre	mile	N;MASC;PL	N;PL
inventari	inventory	inventari	inventory	N;MASC;SG	N;SG
missió	mission	missió	mission	N;FEM;SG	N;SG
concepte	concept	concepte	concept	N;MASC;SG	N;SG
rock	rock	rock	rock	N;MASC;SG	N;SG
setmana	week	setmana	week	N;FEM;SG	N;SG
participació	participation	participació	participation	N;FEM;SG	N;SG
britànica	british	britànic	british	ADJ;FEM;SG	ADJ
ciència	science	ciència	science	N;FEM;SG	N;SG
filosofia	philosophy	filosofia	philosophy	N;FEM;SG	N;SG
bosc	forest	bosc	forest	N;MASC;SG	N;SG
escena	scene	escena	scene	N;FEM;SG	N;SG
pressió	pressure	pressió	pressure	N;FEM;SG	N;SG
inicialment	initially	inicialment	initially	ADV	ADV
concentració	concentration	concentració	concentration	N;FEM;SG	N;SG
classes	classes	classe	class	N;FEM;PL	N;PL
sortida	output	sortida	output	N;FEM;SG	N;SG
sortida	exit	sortida	exit	N;FEM;SG	N;SG
colònia	colony	colònia	colony	N;FEM;SG	N;SG
por	fear	por	fear	N;FEM;SG	N;SG
ciclista	cyclist	ciclista	cyclist	N;SG	N;SG
fulles	leaves	fulla	leave	N;FEM;PL	N;PL
arquitecte	architect	arquitecte	architect	N;MASC;SG	N;SG
règim	regime	règim	regime	N;MASC;SG	N;SG
medieval	medieval	medieval	medieval	ADJ;SG	ADJ
portal	portal	portal	portal	N;MASC;SG	N;SG
recursos	resources	recurs	resource	N;MASC;PL	N;PL
creixement	growth	creixement	growth	N;MASC;SG	N;SG
establiment	establishment	establiment	establishment	N;MASC;SG	N;SG
conflicte	conflict	conflicte	conflict	N;MASC;SG	N;SG
assemblea	assembly	assemblea	assembly	N;FEM;SG	N;SG
tribus	tribes	tribus	tribe	N;FEM;PL	N;PL
polítics	politicians	polític	politician	N;MASC;PL	N;PL
poesia	poetry	poesia	poetry	N;FEM;SG	N;SG
vint	twenty	vint	twenty	NUM;PL	NUM
ràpidament	quickly	ràpidament	quickly	ADV	ADV
mil	thousand	mil	thousand	NUM;PL	NUM
conseqüència	consequence	conseqüència	consequence	N;FEM;SG	N;SG
regnat	reign	regnar	reign	N;MASC;SG	N;SG
catòlica	catholic	catòlic	catholic	ADJ;FEM;SG	ADJ
àrees	areas	àrea	area	N;FEM;PL	N;PL
pares	parents	pare	parent	N;MASC;PL	N;PL
pares	dads	pare	dad	N;MASC;PL	N;PL
naturals	natural	natural	natural	ADJ;PL	ADJ
amic	friend	amic	friend	N;MASC;SG	N;SG
minuts	minutes	minut	minute	N;MASC;PL	N;PL
cert	true	cert	true	ADJ;MASC;SG	ADJ
actiu	active	actiu	active	ADJ;MASC;SG	ADJ
revolta	riot	revoltar	riot	N;FEM;SG	N;SG
medicina	medicine	medicina	medicine	N;FEM;SG	N;SG
taller	workshop	taller	workshop	N;MASC;SG	N;SG
modern	modern	modern	modern	ADJ;MASC;SG	ADJ
líder	leader	líder	leader	N;SG	N;SG
fundador	founder	fundador	founder	N;MASC;SG	N;SG
princesa	princess	princesa	princess	N;FEM;SG	N;SG
títols	titles	títol	title	N;MASC;PL	N;PL
vermell	red	vermell	red	ADJ;MASC;SG	ADJ
film	film	film	film	N;MASC;SG	N;SG
humà	human	humà	human	ADJ;MASC;SG	ADJ
vaixells	boats	vaixell	boat	N;MASC;PL	N;PL
vaixells	ships	vaixell	ship	N;MASC;PL	N;PL
límit	limit	límit	limit	N;MASC;SG	N;SG
galeria	gallery	galeria	gallery	N;FEM;SG	N;SG
flors	flowers	flor	flower	N;FEM;PL	N;PL
acte	act	acte	act	N;MASC;SG	N;SG
producte	product	producte	product	N;MASC;SG	N;SG
coses	things	cosa	thing	N;FEM;PL	N;PL
coneixement	knowledge	coneixement	knowledge	N;MASC;SG	N;SG
totalment	fully	totalment	fully	ADV	ADV
totalment	totally	totalment	totally	ADV	ADV
raó	reason	raó	reason	N;FEM;SG	N;SG
estrella	star	estrella	star	N;FEM;SG	N;SG
germana	sister	germana	sister	N;FEM;SG	N;SG
moviments	moves	moviment	move	N;MASC;PL	N;PL
moviments	movements	moviment	movement	N;MASC;PL	N;PL
boscos	forests	bosc	forest	N;MASC;PL	N;PL
comitè	committee	comitè	committee	N;MASC;SG	N;SG
províncies	provinces	província	province	N;FEM;PL	N;PL
finestres	windows	finestra	window	N;FEM;PL	N;PL
pista	track	pista	track	N;FEM;SG	N;SG
usuaris	users	usuari	user	N;MASC;PL	N;PL
monument	monument	monument	monument	N;MASC;SG	N;SG
futbolista	footballer	futbolista	footballer	N;SG	N;SG
reconeixement	appreciation	reconeixement	appreciation	N;MASC;SG	N;SG
reconeixement	recognition	reconeixement	recognition	N;MASC;SG	N;SG
tractament	treatment	tractament	treatment	N;MASC;SG	N;SG
figures	figures	figura	figure	N;FEM;PL	N;PL
smithsonian	smithsonian	smithsoniar	smithsonian	N;SG	N;SG
feina	job	feina	job	N;FEM;SG	N;SG
monuments	monuments	monument	monument	N;MASC;PL	N;PL
valors	values	valor	value	N;MASC;PL	N;PL
religió	religion	religió	religion	N;FEM;SG	N;SG
continuació	continuation	continuació	continuation	N;FEM;SG	N;SG
enllaç	link	enllaç	link	N;MASC;SG	N;SG
tasca	task	tasca	task	N;FEM;SG	N;SG
nacions	nations	nació	nation	N;FEM;PL	N;PL
obert	open	obert	open	ADJ;MASC;SG;V.PTCP	ADJ
documents	documents	document	document	N;MASC;PL	N;PL
oposició	opposition	oposició	opposition	N;FEM;SG	N;SG
digital	digital	digital	digital	ADJ;SG	ADJ
residència	residence	residència	residence	N;FEM;SG	N;SG
arquebisbe	archbishop	arquebisbe	archbishop	N;MASC;SG	N;SG
setge	siege	setge	siege	N;MASC;SG	N;SG
conquesta	conquest	conquesta	conquest	N;FEM;SG	N;SG
torrent	torrent	torrent	torrent	N;MASC;SG	N;SG
completament	completely	completament	completely	ADV	ADV
autònoma	autonomous	autònom	autonomous	ADJ;FEM;SG	ADJ
stadium	stadium	stadium	stadium	N;MASC;SG	N;SG
peça	track	peça	track	N;SG	N;SG
llenguatge	language	llenguatge	language	N;MASC;SG	N;SG
tecnologia	technology	tecnologia	technology	N;FEM;SG	N;SG
propietats	properties	propietat	property	N;FEM;PL	N;PL
entrenador	coach	entrenador	coach	N;MASC;SG	N;SG
projectes	projects	projecte	project	N;MASC;PL	N;PL
lliures	free	lliure	free	ADJ;PL	ADJ
proposta	proposal	proposta	proposal	N;FEM;SG	N;SG
agricultura	farming	agricultura	farm	N;FEM;SG	N;SG
agricultura	agriculture	agricultura	agriculture	N;FEM;SG	N;SG
relacionats	related	relacionat	related	ADJ;MASC;PL;V.PTCP	ADJ
pèrdua	loss	pèrdua	loss	N;FEM;SG	N;SG
extensió	extension	extensió	extension	N;FEM;SG	N;SG
varietat	variety	varietat	variety	N;FEM;SG	N;SG
sang	blood	sang	blood	N;FEM;SG	N;SG
internet	internet	internet	internet	N;SG	N;SG
basc	basque	basc	basque	ADJ;MASC;SG	ADJ
circuit	circuit	circuit	circuit	N;MASC;SG	N;SG
anàlisi	analysis	anàlisi	analysis	N;FEM;SG	N;SG
aspecte	aspect	aspecte	aspect	N;MASC;SG	N;SG
resposta	answer	resposta	answer	N;FEM;SG	N;SG
hàbitat	habitat	hàbitat	habitat	N;MASC;SG	N;SG
oficialment	officially	oficialment	officially	ADV	ADV
periodista	journalist	periodista	journalist	N;SG	N;SG
festes	holidays	festa	holiday	N;FEM;PL	N;PL
operació	operation	operació	operation	N;FEM;SG	N;SG
fortalesa	fortress	fortalesa	fortress	N;FEM;SG	N;SG
internacionals	international	internacional	international	ADJ;PL	ADJ
roig	red	roig	red	ADJ;MASC;SG	ADJ
millorar	improve	millorar	improve	V;NFIN	V;IMP;FIN
senyal	signal	senyal	signal	N;MASC;SG	N;SG
difícil	difficult	difícil	difficult	ADJ;SG	ADJ
diputats	deputies	diputat	deputy	N;MASC;PL	N;PL
versions	versions	versió	version	N;FEM;PL	N;PL
històrica	historical	històric	historical	ADJ;FEM;SG	ADJ
metge	physician	metge	physician	N;MASC;SG	N;SG
metge	doctor	metge	doctor	N;MASC;SG	N;SG
cadena	string	cadena	string	N;FEM;SG	N;SG
cadena	chain	cadena	chain	N;FEM;SG	N;SG
aliança	alliance	aliança	alliance	N;FEM;SG	N;SG
models	models	model	model	N;MASC;PL	N;PL
vaixell	boat	vaixell	boat	N;MASC;SG	N;SG
historiador	historian	historiador	historian	N;MASC;SG	N;SG
junta	board	junta	board	N;FEM;SG	N;SG
junta	junta	junta	junta	N;FEM;SG	N;SG
presó	prison	presó	prison	N;FEM;SG	N;SG
operacions	operations	operació	operation	N;FEM;PL	N;PL
localitat	locality	localitat	locality	N;FEM;SG	N;SG
celebrar	celebrate	celebrar	celebrate	V;NFIN	V;IMP;FIN
aplicació	application	aplicació	application	N;FEM;SG	N;SG
obertura	aperture	obertura	aperture	N;FEM;SG	N;SG
obertura	opening	obertura	opening	N;FEM;SG	N;SG
esdeveniments	events	esdeveniment	event	N;MASC;PL	N;PL
categories	categories	categoria	category	N;FEM;PL	N;PL
amics	friends	amic	friend	N;MASC;PL	N;PL
premsa	press	premsa	press	N;FEM;SG	N;SG
parella	couple	parella	couple	N;FEM;SG	N;SG
ocasions	occasions	ocasió	occasion	N;FEM;PL	N;PL
concert	concert	concert	concert	N;MASC;SG	N;SG
reforma	reform	reforma	reform	N;FEM;SG	N;SG
simple	simple	simple	simple	ADJ;SG	ADJ
portes	doors	porta	door	N;FEM;PL	N;PL
idees	ideas	idea	idea	N;FEM;PL	N;PL
dimensions	dimensions	dimensió	dimension	N;FEM;PL	N;PL
anteriorment	previously	anteriorment	previously	ADV	ADV
parròquia	parish	parròquia	parish	N;FEM;SG	N;SG
exemples	examples	exemple	example	N;MASC;PL	N;PL
explica	explains	explicar	explain	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
vídeo	video	vídeo	video	N;MASC;SG	N;SG
provocar	provoke	provocar	provoke	V;NFIN	V;IMP;FIN
autoritat	authority	autoritat	authority	N;FEM;SG	N;SG
inicial	initial	inicial	initial	ADJ;SG	ADJ
forta	strong	fort	strong	ADJ;FEM;SG	ADJ
econòmic	economic	econòmic	economic	ADJ;MASC;SG	ADJ
darrera	last	darrer	last	ADJ;FEM;SG	ADJ
ocupa	occupies	ocupar	occupy	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
expressió	expression	expressió	expression	N;FEM;SG	N;SG
accions	actions	acció	action	N;FEM;PL	N;PL
càrrega	load	càrrega	load	N;FEM;SG	N;SG
càrrega	loading	càrrega	loading	N;FEM;SG	N;SG
descripció	description	descripció	description	N;FEM;SG	N;SG
lleis	laws	llei	law	N;FEM;PL	N;PL
atenció	attention	atenció	attention	N;FEM;SG	N;SG
justícia	justice	justícia	justice	N;FEM;SG	N;SG
fàbrica	factory	fàbrica	factory	N;FEM;SG	N;SG
béns	goods	bé	goods	N;MASC;PL	N;PL
gas	gas	gas	gas	N;MASC;SG	N;SG
populars	popular	popular	popular	ADJ;PL	ADJ
nivells	levels	nivell	level	N;MASC;PL	N;PL
completa	complete	complet	complete	ADJ;FEM;SG	ADJ
flota	fleet	flota	fleet	N;FEM;SG	N;SG
culturals	cultural	cultural	cultural	ADJ;PL	ADJ
simplement	simply	simplement	simply	ADV	ADV
indica	indicates	indicar	indicate	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
programes	programmes	programa	programme	N;MASC;PL	N;PL
programes	programs	programa	program	N;MASC;PL	N;PL
centres	centers	centre	center	N;MASC;PL	N;PL
centres	centres	centre	centre	N;MASC;PL	N;PL
planeta	planet	planeta	planet	N;MASC;SG	N;SG
atacs	attacks	atac	attack	N;MASC;PL	N;PL
principat	principality	principar	principality	N;MASC;SG	N;SG
habitual	usual	habitual	usual	ADJ;SG	ADJ
municipals	municipal	municipal	municipal	ADJ;PL	ADJ
migdia	noon	migdia	noon	N;MASC;SG	N;SG
essent	being	ser	be	V;V.MSDR	V;V.MSDR
treballadors	workers	treballador	worker	N;MASC;PL	N;PL
solar	solar	solar	solar	ADJ;SG	ADJ
carrers	streets	carrer	street	N;MASC;PL	N;PL
instruments	instruments	instrument	instrument	N;MASC;PL	N;PL
nombres	numbers	nombre	number	N;MASC;PL	N;PL
pintures	paints	pintura	paint	N;FEM;PL	N;PL
pintures	paintings	pintura	painting	N;FEM;PL	N;PL
constant	constant	constant	constant	ADJ;SG	ADJ
gestió	management	gestió	management	N;FEM;SG	N;SG
cossos	bodies	cos	body	N;MASC;PL	N;PL
temporades	seasons	temporada	season	N;FEM;PL	N;PL
crisi	crisis	crisi	crisis	N;FEM;SG	N;SG
sants	saints	sant	saint	N;MASC;PL	N;PL
sants	sants	sant	sant	N;MASC;PL	N;PL
ensenyament	teaching	ensenyament	teaching	N;MASC;SG	N;SG
ministeri	ministry	ministeri	ministry	N;MASC;SG	N;SG
participants	participants	participant	participant	N;PL	N;PL
baixes	low	baix	low	ADJ;FEM;PL	ADJ
motius	reasons	motiu	reason	N;MASC;PL	N;PL
motius	motives	motiu	motive	N;MASC;PL	N;PL
regional	regional	regional	regional	ADJ;SG	ADJ
ascensió	ascension	ascensió	ascension	N;FEM;SG	N;SG
possibilitat	possibility	possibilitat	possibility	N;FEM;SG	N;SG
complet	complete	complet	complete	ADJ;MASC;SG	ADJ
universal	universal	universal	universal	ADJ;SG	ADJ
context	context	context	context	N;MASC;SG	N;SG
arcs	bows	arc	bows	N;MASC;PL	N;PL
convent	convent	convent	convent	N;MASC;SG	N;SG
jueus	jews	jueu	jew	N;MASC;PL	N;PL
famós	famous	famós	famous	ADJ;MASC;SG	ADJ
estudiants	students	estudiant	student	N;PL	N;PL
doctor	doctor	doctor	doctor	N;MASC;SG	N;SG
espais	spaces	espai	space	N;MASC;PL	N;PL
riera	stream	riera	stream	N;FEM;SG	N;SG
interpretació	interpretation	interpretació	interpretation	N;FEM;SG	N;SG
caiguda	fall	caiguda	fall	N;FEM;SG	N;SG
aspectes	aspects	aspecte	aspect	N;MASC;PL	N;PL
incloure	include	incloure	include	V;NFIN	V;IND;PRS;FIN
intent	attempt	intent	attempt	N;MASC;SG	N;SG
document	document	document	document	N;MASC;SG	N;SG
clàssica	classical	clàssic	classical	ADJ;FEM;SG	ADJ
obertures	openings	obertura	opening	N;FEM;PL	N;PL
institucions	institutions	institució	institution	N;FEM;PL	N;PL
representant	representative	representant	representative	N;SG	N;SG
altura	height	altura	height	N;FEM;SG	N;SG
organitzar	organize	organitzar	organize	V;NFIN	V;IMP;FIN
escultura	sculpture	escultura	sculpture	N;FEM;SG	N;SG
editor	editor	editor	editor	N;MASC;SG	N;SG
agència	agency	agència	agency	N;FEM;SG	N;SG
visió	vision	visió	vision	N;FEM;SG	N;SG
laterals	lateral	lateral	lateral	ADJ;PL	ADJ
international	international	international	international	ADJ;SG	ADJ
diòcesi	diocese	diòcesi	diocese	N;FEM;SG	N;SG
musulmans	muslims	musulmà	muslim	N;MASC;PL	N;PL
retorn	return	retorn	return	N;MASC;SG	N;SG
concurs	contest	concurs	contest	N;MASC;SG	N;SG
acceptar	accepting	acceptar	accept	V;NFIN	V;V.MSDR
acceptar	accept	acceptar	accept	V;NFIN	V;IMP;FIN
possiblement	possibly	possiblement	possibly	ADV	ADV
reacció	reaction	reacció	reaction	N;FEM;SG	N;SG
global	global	global	global	ADJ;SG	ADJ
textos	texts	text	text	N;MASC;PL	N;PL
marit	husband	marit	husband	N;MASC;SG	N;SG
tractar	treat	tractar	treat	V;NFIN	V;IMP;FIN
actuals	current	actual	current	ADJ;PL	ADJ
partida	game	partida	game	N;FEM;SG	N;SG
capaç	capable	capaç	capable	ADJ;SG	ADJ
matèria	matter	matèria	matter	N;FEM;SG	N;SG
arbre	tree	arbre	tree	N;MASC;SG	N;SG
propis	own	propi	own	ADJ;MASC;PL	ADJ
declarar	declare	declarar	declare	V;NFIN	V;IMP;FIN
cicle	cycle	cicle	cycle	N;MASC;SG	N;SG
processos	processes	procés	process	N;MASC;PL	N;PL
patir	suffer	patir	suffer	V;NFIN	V;IMP;FIN
similars	similar	similar	similar	ADJ;PL	ADJ
estrelles	stars	estrella	star	N;FEM;PL	N;PL
notable	remarkable	notable	remarkable	ADJ;SG	ADJ
estructures	structures	estructura	structure	N;FEM;PL	N;PL
ciutadans	citizens	ciutadà	citizen	N;MASC;PL	N;PL
inicis	beginnings	inici	beginnings	N;MASC;PL	N;PL
guerres	wars	guerra	war	N;FEM;PL	N;PL
generació	generation	generació	generation	N;FEM;SG	N;SG
platja	beach	platja	beach	N;FEM;SG	N;SG
publicacions	posts	publicació	post	N;FEM;PL	N;PL
invasió	invasion	invasió	invasion	N;FEM;SG	N;SG
eix	axis	eix	axis	N;MASC;SG	N;SG
papers	papers	paper	papers	N;MASC;PL	N;PL
casat	married	casat	married	ADJ;MASC;SG;V.PTCP	ADJ
alegre	cheerful	alegre	cheerful	ADJ;SG	ADJ
valign	valign	valign	valign		
successió	succession	successió	succession	N;FEM;SG	N;SG
pràcticament	practically	pràcticament	practically	ADV	ADV
nobel	nobel	nobel	nobel	N;MASC;SG	N;SG
ermita	hermitage	ermita	hermitage	N;FEM;SG	N;SG
gèneres	genres	gènere	genre	N;MASC;PL	N;PL
pilot	pilot	pilot	pilot	N;MASC;SG	N;SG
coalició	coalition	coalició	coalition	N;FEM;SG	N;SG
igualment	equally	igualment	equally	ADV	ADV
igualment	similarly	igualment	similarly	ADV	ADV
arbres	trees	arbre	tree	N;MASC;PL	N;PL
liberal	liberal	liberal	liberal	ADJ;SG	ADJ
ulls	eyes	ull	eye	N;MASC;PL	N;PL
