aliado	حليف	aliado	حَلِيف	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
galaxia	المجرة	galaxia	مَجرَة	N;FEM;SG	N;NOM;DEF;SG
age	السن	age	سِنّ	N	N;NOM;DEF;SG
age	العمر	age	عُمر	N	N;NOM;DEF;SG
bola	كرة	bola	كُرَة	N;FEM;SG	N;NOM;INDF;SG
bola	الكرة	bola	كُرَة	N;FEM;SG	N;NOM;DEF;SG
wolf	الذئب	wolf	ذِئب	N	N;NOM;DEF;SG
certificado	معتمدة	certificado	مُعتَمَد	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
certificado	معتمد	certificado	معتمد	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
escándalo	فضيحة	escándalo	فَضِيحَة	N;MASC;SG	N;NOM;INDF;SG
escándalo	الفضيحة	escándalo	فَضِيح	N;MASC;SG	N;NOM;DEF;SG
tanque	دبابة	tanque	دَبَّابَة	N;MASC;SG	N;NOM;INDF;SG
tanque	الدبابة	tanque	دَبَّابَة	N;MASC;SG	N;NOM;DEF;SG
tanque	خزان	tanque	خَزَّان	N;MASC;SG	N;NOM;INDF;SG
sólido	صلبة	sólido	صُلبَة	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
sólido	متين	sólido	متين	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
serpiente	الافعى	serpiente	أَفعَى	N;FEM;SG	N;NOM;DEF;SG
testigos	شهود	testigo	شَاهِد	N;MASC;PL	N;NOM;INDF;PL
testigos	الشهود	testigo	شَاهِد	N;MASC;PL	N;NOM;DEF;PL
submarino	غواصة	submarino	غَوَّاصَة	N;MASC;SG	N;NOM;INDF;SG
submarino	الغواصة	submarino	غَوَّاصَة	N;MASC;SG	N;NOM;DEF;SG
submarino	غواصة	submarino	غَوَّاصَة	N;MASC;SG	N;NOM;INDF;SG
submarino	الغواصة	submarino	غَوَّاصَة	N;MASC;SG	N;NOM;DEF;SG
códigos	رموز	código	رَمز	N;MASC;PL	N;NOM;INDF;PL
códigos	الرموز	código	رَمز	N;MASC;PL	N;NOM;DEF;PL
prevención	المنع	prevención	مَنع	N;FEM;SG	N;NOM;DEF;SG
prevención	الوقاية	prevención	وِقَايَة	N;FEM;SG	N;NOM;DEF;SG
progresivo	التدريجي	progresivo	تَدرِيجِيّ	ADJ;MASC;SG	ADJ;NOM;DEF;MASC;SG
progresivo	تدريجي	progresivo	تَدرِيجِيّ	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
paloma	حمامة	paloma	حمامة	N;FEM;SG	N;NOM;INDF;SG
paloma	حمامة	paloma	حمامة	N;FEM;SG	N;NOM;INDF;SG
ira	الغضب	ira	غَضَب	N;FEM;SG	N;NOM;DEF;SG
atractivo	جذاب	atractivo	جَذب	ADJ;MASC;SG	ADJ;NOM;INDF;MASC;SG
atractivo	جذابة	atractivo	جَذبَة	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
volar	تطير	volar	طَار	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
recta	مباشرة	recta	مُبَاشَرَة	N;FEM;SG	N;NOM;INDF;SG
asientos	مقاعد	asiento	مَقعَد	N;MASC;PL	N;NOM;INDF;PL
asientos	المقاعد	asiento	مَقعَد	N;MASC;PL	N;NOM;DEF;PL
dominios	المجالات	dominio	مَجَال	N;MASC;PL	N;NOM;DEF;PL
dominios	الميادين	dominio	مَيدَان	N;MASC;PL	N;NOM;DEF;PL
dominios	مجالات	dominio	مَجَال	N;MASC;PL	N;NOM;INDF;PL
dominios	النطاقات	dominio	نِطَاقَة	N;MASC;PL	N;NOM;DEF;PL
falsa	زائف	falso	زَائِف	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
falsa	وهمية	falso	وَهمِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
falsa	زائف	falso	زَائِف	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
falsa	مزيفة	falso	مُزَيَّف	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
tribunales	المحاكم	tribunal	مَحكَمَة	N;MASC;PL	N;NOM;DEF;PL
tribunales	المحاكم	tribunal	مَحكَمَة	N;MASC;PL	N;NOM;DEF;PL
tribunales	محاكم	tribunal	مَحكَمَة	N;MASC;PL	N;NOM;INDF;PL
tribunales	المحاكم	tribunal	مَحكَمَة	N;MASC;PL	N;NOM;DEF;PL
bond	السند	bond	سَنَد	N;SG	N;NOM;DEF;SG
cerdo	خنزير	cerdo	خُنزِير	N;MASC;SG	N;NOM;INDF;SG
cerdo	الخنزير	cerdo	خِنزِير	N;MASC;SG	N;NOM;DEF;SG
dorsal	الظهرية	dorsal	ظُهرِيّ	ADJ;SG	ADJ;NOM;DEF;FEM;SG
blood	دماء	blood	دَم	N	N;NOM;INDF;PL
blood	دم	blood	دَم	N	N;NOM;INDF;SG
blood	دما	blood	دَم	N	N;NOM;INDF;SG
blood	الدم	blood	دَم	N	N;NOM;DEF;SG
danés	الدنماركية	danés	دَنِمَارِكِيّ	N;MASC;SG	N;NOM;DEF;SG
cajas	الصناديق	caja	صُندُوق	N;FEM;PL	N;NOM;DEF;PL
cajas	صناديق	caja	صُندُوق	N;FEM;PL	N;NOM;INDF;PL
ring	الخاتم	ring	خَاتِم	N;MASC;SG	N;NOM;DEF;SG
fiebre	الحمى	fiebre	حَمَى	N;FEM;SG	N;NOM;DEF;SG
fiebre	حمى	fiebre	حُمَّى	N;FEM;SG	N;NOM;INDF;SG
geometría	الهندسة	geometría	هَندَسَة	N;FEM;SG	N;NOM;DEF;SG
geometría	هندسة	geometría	هَندَسَة	N;FEM;SG	N;NOM;INDF;SG
pink	الوردي	pink	وَردِيّ	N;SG	N;NOM;DEF;SG
doblaje	الدبلجة	doblaje	دُبلَج	N;MASC;SG	N;NOM;DEF;SG
hoteles	فنادق	hotel	فُندُق	N;MASC;PL	N;NOM;INDF;PL
hoteles	الفنادق	hotel	فُندُق	N;MASC;PL	N;NOM;DEF;PL
bull	الثور	bull	ثَور	N;SG	N;NOM;DEF;SG
macizo	الصلبة	macizo	صَلبَة	N;MASC;SG	N;NOM;DEF;SG
macizo	صلب	macizo	صُلب	N;MASC;SG	N;NOM;INDF;SG
aldeas	القرى	aldea	قَريَة	N;FEM;PL	N;NOM;DEF;PL
aldeas	قرى	aldea	قَريَة	N;FEM;PL	N;NOM;INDF;PL
potente	قوي	potente	قَوِيّ	ADJ;SG	ADJ;NOM;INDF;MASC;SG
potente	قوية	potente	قَوِيّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
desafío	التحدي	desafío	تَحَدِّي	N;MASC;SG	N;NOM;DEF;SG
desafío	تحدي	desafío	تَحَدِّي	N;MASC;SG	N;NOM;INDF;SG
ánimo	مزاج	ánimo	مِزَاج	N;MASC;SG	N;NOM;INDF;SG
ánimo	المزاج	ánimo	مِزَاج	N;MASC;SG	N;NOM;DEF;SG
acusaciones	الادعاءات	acusación	إِدعَاء	N;FEM;PL	N;NOM;DEF;PL
acusaciones	ادعاءات	acusación	اِدِّعَاء	N;FEM;PL	N;NOM;INDF;PL
acusaciones	المزاعم	acusación	مَزعَمَة	N;FEM;PL	N;NOM;DEF;PL
acusaciones	مزاعم	acusación	مَزعَمَة	N;FEM;PL	N;NOM;INDF;PL
acusaciones	اتهامات	acusación	اِتِّهَام	N;FEM;PL	N;NOM;INDF;PL
acusaciones	الاتهامات	acusación	اِتِّهَام	N;FEM;PL	N;NOM;DEF;PL
oso	الدب	oso	دَبّ	N;MASC;SG	N;NOM;DEF;SG
oso	دب	oso	دَبّ	N;MASC;SG	N;NOM;INDF;SG
mostrado	معروض	mostrar	مَعرُوض	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG
mostrado	معروضة	mostrar	مَعرُوض	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
camp	المخيم	camp	مُخَيَّم	N;MASC;SG	N;NOM;DEF;SG
camp	مخيم	camp	مُخَيَّم	N;MASC;SG	N;NOM;INDF;SG
camp	معسكر	camp	مُعَسكَر	N;MASC;SG	N;NOM;INDF;SG
camp	المعسكر	camp	مُعَسكَر	N;MASC;SG	N;NOM;DEF;SG
aproximación	تقريب	aproximación	تَقرِيب	N;FEM;SG	N;NOM;INDF;SG
aproximación	التقريب	aproximación	تَقرِيب	N;FEM;SG	N;NOM;DEF;SG
aproximación	نهج	aproximación	نَهج	N;FEM;SG	N;NOM;INDF;SG
aproximación	النهج	aproximación	نَهج	N;FEM;SG	N;NOM;DEF;SG
aproximación	الاقتراب	aproximación	اِقتِرَاب	N;FEM;SG	N;NOM;DEF;SG
mirada	نظرة	mirada	نَظرَة	N;FEM;SG	N;NOM;INDF;SG
mirada	النظرة	mirada	نَظرَة	N;FEM;SG	N;NOM;DEF;SG
plumas	اقلام	pluma	إِقلَام	N;FEM;PL	N;NOM;INDF;PL
consideración	النظر	consideración	نَظَر	N;FEM;SG	N;NOM;DEF;SG
consideración	الاعتبار	consideración	اِعتِبَار	N;FEM;SG	N;NOM;DEF;SG
cerrar	اغلق	cerrar	أَغلَق	V;NFIN	V;PFV;MASC;SG;3;ACT
molino	الطاحونة	molino	طَاحُونَة	N;MASC;SG	N;NOM;DEF;SG
molino	الطاحونة	molino	طَاحُونَة	N;MASC;SG	N;NOM;DEF;SG
tronco	السجل	tronco	سِجِلّ	N;MASC;SG	N;NOM;DEF;SG
tronco	الصندوق	tronco	صُندُوق	N;MASC;SG	N;NOM;DEF;SG
tronco	جذع	tronco	جَذع	N;MASC;SG	N;NOM;INDF;SG
reducida	مخفضة	reducido	مخفضة	ADJ;FEM;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
anatomía	التشريح	anatomía	تَشرِيح	N;FEM;SG	N;NOM;DEF;SG
anatomía	تشريح	anatomía	تَشرِيح	N;FEM;SG	N;NOM;INDF;SG
monstruo	الوحش	monstruo	وَحش	N;MASC;SG	N;NOM;DEF;SG
monstruo	وحش	monstruo	وَحش	N;MASC;SG	N;NOM;INDF;SG
dedos	الاصابع	dedo	صَابِع	N;MASC;PL	N;NOM;DEF;PL
dedos	اصابع	dedo	أَصَابُع	N;MASC;PL	N;NOM;INDF;PL
pasaje	تذكرة	pasaje	تَذَكُّر	N;MASC;SG	N;NOM;INDF;SG
pasaje	التذكرة	pasaje	تَذَكُّر	N;MASC;SG	N;NOM;DEF;SG
pasaje	التذاكر	pasaje	تَذَاكُر	N;MASC;SG	N;NOM;DEF;SG
pasaje	مرور	pasaje	مُرُور	N;MASC;SG	N;NOM;INDF;SG
estonia	الاستونية	estonia	اِستَونِيّ	N;FEM;SG	N;NOM;DEF;SG
crecer	ينمو	crecer	نَمَا	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
crecer	ينمو	crecer	نَمَا	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
crecer	تنمو	crecer	نَمَا	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
sismo	زلزال	sismo	زِلزَال	N;MASC;SG	N;NOM;INDF;SG
sismo	الزلزال	sismo	زِلزَال	N;MASC;SG	N;NOM;DEF;SG
luchas	صراعات	lucha	صِرَاعَة	N;FEM;PL	N;NOM;INDF;PL
discutir	تناقش	discutir	نَاقَش	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
discutir	يناقش	discutir	نَاقَش	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
discutir	ناقش	discutir	نَاقَش	V;NFIN	V;PFV;MASC;SG;3;ACT
recuperó	استعاد	recuperar	اِستِعَاد	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
carece	يفتقر	carecer	اِفتَقَر	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
conducido	مدفوعا	conducir	مَدفُوع	ADJ;MASC;SG;V.PTCP	ADJ;ACC;INDF;MASC;SG
coordinador	المنسق	coordinador	مُنَسِّق	N;MASC;SG	N;NOM;DEF;SG
coordinador	منسق	coordinador	منسق	N;MASC;SG	N;NOM;INDF;SG
miércoles	الاربعاء	miércoles	أَربِعَاء	N	N;NOM;DEF;SG
terrorismo	الارهاب	terrorismo	إِرهَاب	N;MASC;SG	N;NOM;DEF;SG
terrorismo	ارهاب	terrorismo	ارهاب	N;MASC;SG	N;NOM;INDF;SG
terrorismo	الارهاب	terrorismo	إِرهَاب	N;MASC;SG	N;NOM;DEF;SG
terrorismo	ارهاب	terrorismo	ارهاب	N;MASC;SG	N;NOM;INDF;SG
terrorismo	الارهابي	terrorismo	إِرهَابِيّ	N;MASC;SG	N;NOM;DEF;SG
poderosa	قوي	poderoso	قَوِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
poderosa	قوية	poderoso	قَوِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
niega	تنفي	negar	نَفَى	V;IND;SG;3;PRS;FIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
defecto	التخلف	defecto	تَخَلُّف	N;MASC;SG	N;NOM;DEF;SG
defecto	التقصير	defecto	تَقصِير	N;MASC;SG	N;NOM;DEF;SG
defecto	تقصير	defecto	تَقصِير	N;MASC;SG	N;NOM;INDF;SG
viajeros	المسافرون	viajero	مُسَافِر	N;MASC;PL	N;NOM;DEF;PL
viajeros	المسافرين	viajero	مُسَافِر	N;MASC;PL	N;NOM;DEF;PL
viajeros	المسافرون	viajero	مُسَافِر	N;MASC;PL	N;NOM;DEF;PL
viajeros	المسافرين	viajero	مُسَافِر	N;MASC;PL	N;NOM;DEF;PL
experimento	التجربة	experimento	تَجرِبَة	N;MASC;SG	N;NOM;DEF;SG
experimento	تجربة	experimento	تَجرِبَة	N;MASC;SG	N;NOM;INDF;SG
adolescentes	المراهقين	adolescente	مُرَاهِق	N;PL	N;NOM;DEF;PL
adolescentes	المراهقون	adolescente	مُرَاهِق	N;PL	N;NOM;DEF;PL
adolescentes	مراهقين	adolescente	مُرَاهِق	N;PL	N;NOM;INDF;PL
adolescentes	المراهقين	adolescente	مُرَاهِق	N;PL	N;NOM;DEF;PL
adolescentes	المراهقون	adolescente	مُرَاهِق	N;PL	N;NOM;DEF;PL
adolescentes	مراهقين	adolescente	مُرَاهِق	N;PL	N;NOM;INDF;PL
adolescentes	المراهقين	adolescente	مُرَاهِق	N;PL	N;NOM;DEF;PL
habituales	النظاميين	habitual	نِظَامِيّ	ADJ;PL	ADJ;NOM;DEF;MASC;PL
impedir	تعوق	impedir	عَوَّق	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
lienzo	اللوحة	lienzo	لَوحَة	N;MASC;SG	N;NOM;DEF;SG
lienzo	قماش	lienzo	قِمَاش	N;MASC;SG	N;NOM;INDF;SG
solidaridad	تضامن	solidaridad	تَضَامُن	N;FEM;SG	N;NOM;INDF;SG
solidaridad	التضامن	solidaridad	تَضَامُن	N;FEM;SG	N;NOM;DEF;SG
aporte	ادخال	aporte	إِدخَال	N;MASC;SG	N;NOM;INDF;SG
aporte	مساهمة	aporte	مُسَاهَمَة	N;MASC;SG	N;NOM;INDF;SG
aporte	الاسهام	aporte	إِسهَام	N;MASC;SG	N;NOM;DEF;SG
aporte	مساهمة	aporte	مُسَاهَمَة	N;MASC;SG	N;NOM;INDF;SG
aporte	المساهمة	aporte	مُسَاهَمَة	N;MASC;SG	N;NOM;DEF;SG
aproximada	التقريبي	aproximado	تَقرِيبِيّ	ADJ;FEM;SG;V.PTCP	ADJ;NOM;DEF;MASC;SG
castigo	العقاب	castigo	عِقَاب	N;MASC;SG	N;NOM;DEF;SG
castigo	عقاب	castigo	عَقَاب	N;MASC;SG	N;NOM;INDF;SG
castigo	العقوبة	castigo	عُقُوبَة	N;MASC;SG	N;NOM;DEF;SG
castigo	عقوبة	castigo	عُقُوبَة	N;MASC;SG	N;NOM;INDF;SG
complejidad	التعقيد	complejidad	تَعقِيد	N;FEM;SG	N;NOM;DEF;SG
complejidad	تعقيد	complejidad	تَعقِيد	N;FEM;SG	N;NOM;INDF;SG
head	الراس	head	رَأس	N	N;NOM;DEF;SG
gallo	القضيب	gallo	قَضِيب	N;MASC;SG	N;NOM;DEF;SG
parlamentarias	البرلمانيين	parlamentario	بَرلَمَانِيّ	ADJ;FEM;PL	ADJ;ACC;DEF;MASC;PL
exportación	التصدير	exportación	تَصدِير	N;FEM;SG	N;NOM;DEF;SG
exportación	تصدير	exportación	تَصدِير	N;FEM;SG	N;NOM;INDF;SG
exportación	التصدير	exportación	تَصدِير	N;FEM;SG	N;NOM;DEF;SG
exportación	تصدير	exportación	تَصدِير	N;FEM;SG	N;NOM;INDF;SG
colectiva	جماعية	colectivo	جَمَاعِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;FEM;SG
colectiva	جماعي	colectivo	جَمَاعِيّ	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
hambre	المجاعة	hambre	مَجَّاعَة	N;FEM;SG	N;NOM;DEF;SG
hambre	الجوع	hambre	جُوع	N;FEM;SG	N;NOM;DEF;SG
residuos	النفايات	residuo	نُفَايَة	N;MASC;PL	N;NOM;DEF;PL
residuos	النفايات	residuo	نُفَايَة	N;MASC;PL	N;NOM;DEF;PL
socialismo	الاشتراكية	socialismo	اِشتِرَاكِيَّة	N;MASC;SG	N;NOM;DEF;SG
socialismo	للاشتراكية	socialismo	للاشتراكية	N;MASC;SG	N;NOM;DEF;SG
directorio	دليل	directorio	دَلِيل	N;MASC;SG	N;NOM;INDF;SG
directorio	الدليل	directorio	دَلِيل	N;MASC;SG	N;NOM;DEF;SG
square	المربع	square	مُرَبَّع	N;MASC;SG	N;NOM;DEF;SG
square	ميدان	square	مَيدَان	N;MASC;SG	N;NOM;INDF;SG
prohibición	الحظر	prohibición	حَظر	N;FEM;SG	N;NOM;DEF;SG
prohibición	حظر	prohibición	حَظر	N;FEM;SG	N;NOM;INDF;SG
prohibición	الحظر	prohibición	حَظر	N;FEM;SG	N;NOM;DEF;SG
irregular	متفاوتة	irregular	مُتَفَاوِت	ADJ;SG	ADJ;NOM;INDF;FEM;SG
escudos	الدروع	escudo	دَرع	N;MASC;PL	N;NOM;DEF;PL
films	الافلام	film	فِيلم	N;MASC;PL	N;NOM;DEF;PL
films	افلام	film	فِيلم	N;MASC;PL	N;NOM;INDF;PL
terapia	العلاج	terapia	عِلَاج	N;FEM;SG	N;NOM;DEF;SG
terapia	علاج	terapia	عِلَاج	N;FEM;SG	N;NOM;INDF;SG
instalado	مثبتة	instalado	مُثَبِّت	ADJ;MASC;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
fallo	فشل	fallo	فَشَل	N;MASC;SG	N;NOM;INDF;SG
fallo	الفشل	fallo	فَشَل	N;MASC;SG	N;NOM;DEF;SG
barro	الطين	barro	طِين	N;MASC;SG	N;NOM;DEF;SG
banca	مقعد	banca	مَقعَد	N;FEM;SG	N;NOM;INDF;SG
banca	المقعد	banca	مَقعَد	N;FEM;SG	N;NOM;DEF;SG
banca	مصرف	banca	مَصرِف	N;FEM;SG	N;NOM;INDF;SG
banca	المصرف	banca	مَصرِف	N;FEM;SG	N;NOM;DEF;SG
banca	بنك	banca	بَنك	N;FEM;SG	N;NOM;INDF;SG
banca	البنك	banca	بَنك	N;FEM;SG	N;NOM;DEF;SG
luchadores	المصارعين	luchador	مُصَارِع	N;MASC;PL	N;NOM;DEF;PL
luchadores	المقاتلين	luchador	مُقَاتِل	N;MASC;PL	N;NOM;DEF;PL
luchadores	مقاتلين	luchador	مُقَاتِل	N;MASC;PL	N;NOM;INDF;PL
luchadores	المقاتلون	luchador	مُقَاتِل	N;MASC;PL	N;NOM;DEF;PL
luchadores	المقاتلات	luchador	مُقَاتِلَة	N;MASC;PL	N;NOM;DEF;PL
edificación	البناء	edificación	بِنَاء	N;FEM;SG	N;NOM;DEF;SG
edificación	المبنى	edificación	مَبنَى	N;FEM;SG	N;NOM;DEF;SG
edificación	بناء	edificación	بِنَاء	N;FEM;SG	N;ACC;INDF;SG
edificación	مبنى	edificación	مَبنَى	N;FEM;SG	N;NOM;INDF;SG
edificación	البناية	edificación	بِنَايَة	N;FEM;SG	N;NOM;DEF;SG
riesgos	المخاطر	riesgo	مَخَاطِر	N;MASC;PL	N;NOM;DEF;PL
riesgos	المخاطر	riesgo	مَخَاطِر	N;MASC;PL	N;NOM;DEF;PL
riesgos	مخاطر	riesgo	مَخَاطِر	N;MASC;PL	N;NOM;INDF;PL
riesgos	المخاطر	riesgo	مَخَاطِر	N;MASC;PL	N;NOM;DEF;PL
never	ابدا	never	أَبَد	N	N;ACC;INDF;SG
polaca	البولندية	polaco	بُولَندِيّ	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
polaca	البولندي	polaco	بُولَندِيّ	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
class	الطبقة	clas	طَبَقَة	N;FEM;SG	N;NOM;DEF;SG
class	الفصل	clas	فَصل	N;FEM;SG	N;NOM;DEF;SG
class	صف	clas	صَفّ	N;FEM;SG	N;NOM;INDF;SG
class	الصف	clas	صَفّ	N;FEM;SG	N;NOM;DEF;SG
class	الفئة	clas	فِئَة	N;FEM;SG	N;NOM;DEF;SG
comisario	مفوضة	comisario	مفوضة	N;MASC;SG	N;NOM;INDF;SG
comisario	المفوض	comisario	مُفَوَّض	N;MASC;SG	N;NOM;DEF;SG
comisario	مفوض	comisario	مفوض	N;MASC;SG	N;NOM;INDF;SG
comisario	المفوضة	comisario	مُفَوَّض	N;MASC;SG	N;NOM;DEF;SG
comisario	مفتش	comisario	مفتش	N;MASC;SG	N;NOM;INDF;SG
comisario	المفتش	comisario	مُفَتِّش	N;MASC;SG	N;NOM;DEF;SG
decenas	العشرات	decena	عَشَرَة	N;FEM;PL	N;NOM;DEF;PL
campana	الجرس	campana	جَرَس	N;FEM;SG	N;NOM;DEF;SG
campana	جرس	campana	جَرَس	N;FEM;SG	N;NOM;INDF;SG
tía	عمة	tía	عِمَّة	N;FEM;SG	N;NOM;INDF;SG
tía	خالة	tía	خَالَة	N;FEM;SG	N;NOM;INDF;SG
tía	العمة	tía	عِمَّة	N;FEM;SG	N;NOM;DEF;SG
tía	عمة	tía	عِمَّة	N;FEM;SG	N;NOM;INDF;SG
tía	خالة	tía	خَالَة	N;FEM;SG	N;NOM;INDF;SG
tía	العمة	tía	عِمَّة	N;FEM;SG	N;NOM;DEF;SG
rivalidad	التنافس	rivalidad	تَنَافُس	N;FEM;SG	N;NOM;DEF;SG
húmedo	رطبة	húmedo	رُطبَة	ADJ;MASC;SG	ADJ;NOM;INDF;FEM;SG
embajadores	سفراء	embajador	سَفِير	N;MASC;PL	N;NOM;INDF;PL
embajadores	السفراء	embajador	سَفِير	N;MASC;PL	N;NOM;DEF;PL
hospitales	مستشفيات	hospital	مُستَشفَى	N;MASC;PL	N;NOM;INDF;PL
hospitales	المستشفيات	hospital	مُستَشفَى	N;MASC;PL	N;NOM;DEF;PL
leal	مخلص	leal	مُخَلَّص	ADJ;SG	ADJ;NOM;INDF;MASC;SG
terroristas	الارهابيين	terrorista	إِرهَابِيّ	N;PL	N;NOM;DEF;PL
terroristas	ارهابيين	terrorista	إِرهَابِيّ	N;PL	N;NOM;INDF;PL
establecimientos	المنشات	establecimiento	مُنشَأَة	N;MASC;PL	N;NOM;DEF;PL
establecimientos	منشات	establecimiento	مُنشَة	N;MASC;PL	N;NOM;INDF;PL
establecimientos	مؤسسات	establecimiento	مُؤَسَّسَة	N;MASC;PL	N;NOM;INDF;PL
recopilación	التجميع	recopilación	تَجمِيع	N;FEM;SG	N;NOM;DEF;SG
recopilación	تجميع	recopilación	تَجمِيع	N;FEM;SG	N;NOM;INDF;SG
comisiones	اللجان	comisión	لَجنَة	N;FEM;PL	N;NOM;DEF;PL
comisiones	لجان	comisión	لَجنَة	N;FEM;PL	N;NOM;INDF;PL
comisiones	اللجان	comisión	لَجنَة	N;FEM;PL	N;NOM;DEF;PL
comisiones	لجان	comisión	لَجنَة	N;FEM;PL	N;NOM;INDF;PL
detención	القبض	detención	قَبض	N;FEM;SG	N;NOM;DEF;SG
detención	التوقيف	detención	تَوقِيف	N;FEM;SG	N;NOM;DEF;SG
detención	الاعتقال	detención	اِعتِقَال	N;FEM;SG	N;NOM;DEF;SG
detención	توقيف	detención	تَوقِيف	N;FEM;SG	N;NOM;INDF;SG
detención	اعتقال	detención	اِعتِقَال	N;FEM;SG	N;NOM;INDF;SG
detención	الاحتجاز	detención	اِحتِجَاز	N;FEM;SG	N;NOM;DEF;SG
detención	الاعتقال	detención	اِعتِقَال	N;FEM;SG	N;NOM;DEF;SG
detención	احتجاز	detención	اِحتِجَاز	N;FEM;SG	N;NOM;INDF;SG
inversiones	استثمارات	inversión	اِستِثمَار	N;FEM;PL	N;NOM;INDF;PL
inversiones	الاستثمارات	inversión	اِستِثمَار	N;FEM;PL	N;NOM;DEF;PL
inversiones	الاستثمارات	inversión	اِستِثمَار	N;FEM;PL	N;NOM;DEF;PL
inversiones	استثمارات	inversión	اِستِثمَار	N;FEM;PL	N;NOM;INDF;PL
mercancías	سلع	mercancía	سِلعَة	N;FEM;PL	N;NOM;INDF;PL
mercancías	البضائع	mercancía	بِضَاعَة	N;FEM;PL	N;NOM;DEF;PL
mercancías	السلع	mercancía	سِلعَة	N;FEM;PL	N;NOM;DEF;PL
mercancías	بضائع	mercancía	بِضَاعَة	N;FEM;PL	N;NOM;INDF;PL
mercancías	السلع	mercancía	سِلعَة	N;FEM;PL	N;NOM;DEF;PL
mercancías	سلع	mercancía	سِلعَة	N;FEM;PL	N;NOM;INDF;PL
mercancías	البضائع	mercancía	بِضَاعَة	N;FEM;PL	N;NOM;DEF;PL
mercancías	بضائع	mercancía	بِضَاعَة	N;FEM;PL	N;NOM;INDF;PL
construye	يبنى	construir	بَنَى	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
construye	يبني	construir	بَنَى	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
agregar	يضاف	agregar	أَضَاف	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
agregar	نضيف	agregar	أَضَاف	V;NFIN	V;IPFV;MASC;IND;PL;1;FIN;ACT
tela	قماش	tela	قِمَاش	N;FEM;SG	N;NOM;INDF;SG
tela	القماش	tela	قِمَاش	N;FEM;SG	N;NOM;DEF;SG
tela	النسيج	tela	نَسِيج	N;FEM;SG	N;NOM;DEF;SG
tela	قماش	tela	قِمَاش	N;FEM;SG	N;NOM;INDF;SG
tela	القماش	tela	قِمَاش	N;FEM;SG	N;NOM;DEF;SG
refugiados	اللاجئين	refugiado	لَاجِئ	N;MASC;PL	N;NOM;DEF;PL
refugiados	لاجئين	refugiado	لَاجِئ	N;MASC;PL	N;NOM;INDF;PL
refugiados	اللاجئون	refugiado	لَاجِئ	N;MASC;PL	N;NOM;DEF;PL
cantera	المحجر	cantera	مُحَجِّر	N;FEM;SG	N;NOM;DEF;SG
énfasis	التشديد	énfasis	تَشدِيد	N;MASC	N;NOM;DEF;SG
brothers	الاخوان	brothers	أَخ	N;MASC;PL	N;NOM;DEF;PL
circo	السيرك	circo	السيرك	N;MASC;SG	N;NOM;DEF;SG
robo	سرقة	robo	سَرِقَة	N;MASC;SG	N;NOM;INDF;SG
robo	السرقة	robo	سَرِقَة	N;MASC;SG	N;NOM;DEF;SG
robo	سرقة	robo	سَرِقَة	N;MASC;SG	N;NOM;INDF;SG
robo	السرقة	robo	سَرِقَة	N;MASC;SG	N;NOM;DEF;SG
robo	السطو	robo	سَطو	N;MASC;SG	N;NOM;DEF;SG
