से	from	से	from		
विभाजित	podzielony	विभाजित	podzielić	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
इकाई	agregaty	इकाई	agregat	N;NOM;FEM;SG;3	N;NOM;MASC;SG
इकाई	jednostka	इकाई	jednostka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अम्ल	kwas	अम्ल	kwas	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आए	przyszedł	आ	przyjść	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
आए	przyszło	आ	przyjść	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NEUT;IND;SG;PST;FIN;ACT
प्रबंधक	menadżer	प्रबंधक	menadżer	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रबंधक	kierownik	प्रबंधक	kierownik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रबंधक	menedżer	प्रबंधक	menedżer	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रबंधक	zarządca	प्रबंधक	zarządca	N;NOM;MASC;SG;3	N;NOM;MASC;SG
जीता	wygra	जीत	wygrać	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;FUT;FIN;ACT
जीता	wygrał	जीत	wygrać	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
मुद्रा	waluta	मुद्रा	walutać	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मुद्रा	pieniądz	मुद्रा	pieniądz	N;NOM;FEM;SG;3	N;NOM;MASC;SG
मुद्रा	kasa	मुद्रा	kasa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मतलब	średnia	मतलब	średnia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
युवा	młodzież	युवा	młodzież	N;NOM;MASC;SG;3	N;NOM;FEM;SG
युवा	młodość	युवा	młodość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अंतरिक्ष	przestrzeń	अंतरिक्ष	przestrzeń	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संचार	komunikat	संचार	komunikat	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संचार	komunikacja	संचार	komunikacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संचार	komunikacja	संचार	komunikacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संचार	łączność	संचार	łączność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रसारण	transmisja	प्रसारण	transmisja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रसारण	nadawanie	प्रसारण	nadawać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
प्रसारण	nadawanie	प्रसारण	nadawać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
नियमित	zwykły	नियमित	zwykły	ADJ;NOM	ADJ;NOM;MASC;SG
नियमित	regularne	नियमित	regularny	ADJ;NOM	ADJ;NOM;NEUT;SG
नियमित	regularny	नियमित	regularny	ADJ;NOM	ADJ;NOM;MASC;SG
व्याख्या	notatka	व्याख्या	notatka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
व्याख्या	interpretacja	व्याख्या	interpretacja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
व्याख्या	wyjaśnienie	व्याख्या	wyjaśnić	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
व्याख्या	wyjaśnienia	व्याख्या	wyjaśnienie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
शेष	pozostający	शेष	pozostawać	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
शेष	lewy	शेष	lewy	ADJ	ADJ;NOM;MASC;SG
दावा	roszczenia	दावा	roszczenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
दावा	roszczenie	दावा	roszczyć	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
दावा	twierdzenie	दावा	twierdzić	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
दावा	roszczenia	दावा	roszczenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
मोबाइल	komórka	मोबाइल	komórka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संभावना	prawdopodobieństwa	संभावना	prawdopodobieństwo	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
संभावना	prawdopodobieństwo	संभावना	prawdopodobieństwo	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
दिवस	dzień	दिवस	dzień	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विधायक	prawodawcy	विधायक	prawodawca	N;NOM;MASC;PL;3	N;NOM;MASC;PL
विधायक	prawodawcy	विधायक	prawodawca	N;NOM;MASC;PL;3	N;NOM;MASC;PL
तर्क	kłótnia	तर्क	kłótnia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
तर्क	argument	तर्क	argument	N;NOM;MASC;SG;3	N;NOM;MASC;SG
तर्क	rozumowanie	तर्क	rozumować	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
तर्क	logika	तर्क	logika	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परीक्षा	test	परीक्षा	test	N;NOM;FEM;SG;3	N;NOM;MASC;SG
परीक्षा	badanie	परीक्षा	badanie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
परीक्षा	próba	परीक्षा	próba	N;NOM;FEM;SG;3	N;NOM;FEM;SG
परीक्षा	badanie	परीक्षा	badanie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
परीक्षा	egzamin	परीक्षा	egzamin	N;NOM;FEM;SG;3	N;NOM;MASC;SG
परीक्षा	egzamin	परीक्षा	egzamin	N;NOM;FEM;SG;3	N;NOM;MASC;SG
भविष्य	przyszłość	भविष्य	przyszłość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
इंटरनेट	internet	इंटरनेट	internet	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सम्मेलन	konferencja	सम्मेलन	konferencja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सम्मेलन	konwent	सम्मेलन	konwent	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सम्मेलन	zjazd	सम्मेलन	zjazd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सम्मेलन	konwencja	सम्मेलन	konwencja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रानी	królowa	रानी	królowa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सिटी	miejscowość	सिटी	miejscowość	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सिटी	miasto	सिटी	miasto	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
सिर	głowa	सिर	głowa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दबाव	presja	दबाव	presja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दबाव	ciśnienie	दबाव	ciśnienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
दबाव	nacisk	दबाव	nacisk	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बोर्ड	zarząd	बोर्ड	zarząd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बोर्ड	wyżywienie	बोर्ड	wyżywienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
बोर्ड	deska	बोर्ड	deska	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बोर्ड	tablica	बोर्ड	tablica	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नियुक्त	zatrudniony	नियुक्त	zatrudnić	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
नियुक्त	wynajęty	नियुक्त	wynająć	ADJ	ADJ;NOM;MASC;SG;V.PTCP
नियुक्त	zatrudniona	नियुक्त	zatrudnić	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
नियुक्त	mianowany	नियुक्त	mianować	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
नियुक्त	wyznaczony	नियुक्त	wyznaczyć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
नियुक्त	wyznaczona	नियुक्त	wyznaczyć	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
संसार	świat	संसार	świat	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रतिनिधित्व	reprezentacja	प्रतिनिधित्व	reprezentacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रतिनिधित्व	przedstawicielstwa	प्रतिनिधित्व	przedstawicielstwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
प्रतिनिधित्व	przedstawicielstwo	प्रतिनिधित्व	przedstawicielstwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
प्रेरित	zainspirowany	प्रेरित	zainspirować	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
प्रेरित	inspirujące	प्रेरित	inspirować	ADJ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
समारोह	ceremonia	समारोह	ceremonia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समारोह	uroczystość	समारोह	uroczystość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मस्तिष्क	mózg	मस्तिष्क	mózg	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मस्तिष्क	umysł	मस्तिष्क	umysł	N;NOM;MASC;SG;3	N;NOM;MASC;SG
घरेलू	krajowy	घरेलू	krajowy	ADJ;NOM	ADJ;NOM;MASC;SG
घरेलू	krajowa	घरेलू	krajowy	ADJ;NOM	ADJ;NOM;FEM;SG
घरेलू	krajowe	घरेलू	krajowy	ADJ;NOM	ADJ;NOM;NEUT;SG
प्रायः	często	प्रायः	często	ADV	ADV
मौसम	pogoda	मौसम	pogoda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मौसम	sezon	मौसम	sezon	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भावना	uczucie	भावना	uczucie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
भावना	duch	भावना	duch	N;NOM;FEM;SG;3	N;NOM;MASC;SG
गुणवत्ता	jakość	गुणवत्ता	jakość	N;NOM;FEM;SG;3	N;NOM;FEM;SG
छात्र	studenci	छात्र	student	N;NOM;MASC;PL;3	N;NOM;MASC;PL
खाना	pokarm	खाना	pokarm	N;NOM;MASC;SG;3	N;NOM;MASC;SG
खाना	żywność	खाना	żywność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
खाना	jedzenie	खाना	jedzenie	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
मिले	znaleziono	मिल	znaleźć	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;0;PST;FIN;ACT
मिले	znalazł	मिल	znaleźć	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
मिले	spotkał	मिल	spotkać	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
सिद्धान्त	teoria	सिद्धान्त	teoria	N;NOM;MASC;SG;3	N;NOM;FEM;SG
राजवंश	dynastia	राजवंश	dynastia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संक्रमण	przemiana	संक्रमण	przemiać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संक्रमण	przejście	संक्रमण	przejście	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
संक्रमण	infekcja	संक्रमण	infekcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संक्रमण	zakażenia	संक्रमण	zakażenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
संक्रमण	zakażenie	संक्रमण	zakażenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
नियंत्रित	kontrolowane	नियंत्रित	kontrolować	ADJ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
नियंत्रित	kontrolowana	नियंत्रित	kontrolować	ADJ	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
नियंत्रित	kontrolowanych	नियंत्रित	kontrolować	ADJ	ADJ;IPFV;GEN;MASC;PL;POS;V.PTCP;PASS
नियंत्रित	kontrolowany	नियंत्रित	kontrolować	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
विकल्प	alternatywa	विकल्प	alternatywa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विकल्प	opcja	विकल्प	opcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उद्यान	park	उद्यान	park	N;NOM;MASC;SG;3	N;NOM;MASC;SG
होगी	będzie	हो	być	V;FEM;IND;SG;3;FUT;FIN;ACT	V;IPFV;IND;SG;3;FUT;FIN
पशु	zwierzak	पशु	zwierzak	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पशु	zwierzę	पशु	zwierzę	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
क्षेत्रफल	teren	क्षेत्रफल	teren	N;NOM;MASC;SG;3	N;NOM;MASC;SG
क्षेत्रफल	powierzchnia	क्षेत्रफल	powierzchnia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्षेत्रफल	obszar	क्षेत्रफल	obszar	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रभावी	efektywne	प्रभावी	efektywny	ADJ	ADJ;NOM;NEUT;SG
प्रभावी	skuteczny	प्रभावी	skuteczny	ADJ	ADJ;NOM;MASC;SG
प्रभावी	efektywna	प्रभावी	efektywny	ADJ	ADJ;NOM;FEM;SG
प्रभावी	efektywny	प्रभावी	efektywny	ADJ	ADJ;NOM;MASC;SG
प्रभावी	skuteczne	प्रभावी	skuteczny	ADJ	ADJ;NOM;NEUT;SG
विज्ञापन	reklama	विज्ञापन	reklama	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विज्ञापन	reklama	विज्ञापन	reklama	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विज्ञापन	ogłoszenie	विज्ञापन	ogłoszenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG;V.MSDR
ईश्वर	boże	ईश्वर	boży		
आसानी	łatwość	आसानी	łatwość	N;NOM;FEM;SG;3	N;NOM;FEM;SG
शिकार	zdobycz	शिकार	zdobyczyć	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शिकार	polowania	शिकार	polowanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
शिकार	polowanie	शिकार	polować	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
शिकार	ofiara	शिकार	ofiara	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रोगी	pacjentka	रोगी	pacjentka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रोगी	pacjent	रोगी	pacjent	N;NOM;MASC;SG;3	N;NOM;MASC;SG
व्यावसायिक	zawodowe	व्यावसायिक	zawodowy	ADJ;NOM	ADJ;NOM;NEUT;SG
क्रांति	rewolucja	क्रांति	rewolucja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
हृदय	serce	हृदय	serce	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
हृदय	serca	हृदय	serce	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
हृदय	serce	हृदय	serce	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
हृदय	serca	हृदय	serce	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
आयोग	komisja	आयोग	komisja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शुद्ध	czysta	शुद्ध	czysty		
चर्च	kościół	चर्च	kościół	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कार्यालय	praca	कार्यालय	praca	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कार्यालय	biura	कार्यालय	biuro	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
कार्यालय	biura	कार्यालय	biuro	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
कार्यालय	urząd	कार्यालय	urząd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
परिवहन	przewóz	परिवहन	przewóz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
परिवहन	dojazd	परिवहन	dojazd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
परिवहन	transport	परिवहन	transport	N;NOM;MASC;SG;3	N;NOM;MASC;SG
परिवहन	przewóz	परिवहन	przewóz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
परिवहन	transport	परिवहन	transport	N;NOM;MASC;SG;3	N;NOM;MASC;SG
स्टार	gwiazdka	स्टार	gwiazdka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्टार	gwiazda	स्टार	gwiazda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वर्षा	deszcz	वर्षा	deszcz	N;NOM;FEM;SG;3	N;NOM;MASC;SG
जनरल	generał	जनरल	generał	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संदेश	komunikat	संदेश	komunikat	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संदेश	wiadomość	संदेश	wiadomość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मार	zabij	मार	zabić	V;ACT	V;PFV;IMP;SG;2;FIN;ACT
परिचय	wprowadzanie	परिचय	wprowadzać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
परिचय	wstęp	परिचय	wstęp	N;NOM;MASC;SG;3	N;NOM;MASC;SG
परिचय	wprowadzenie	परिचय	wprowadzić	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
परिचय	wstęp	परिचय	wstęp	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उत्पत्ति	pochodzenie	उत्पत्ति	pochodzenie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
मांग	popyt	मांग	popyt	N;NOM;FEM;SG;3	N;NOM;MASC;SG
मांग	zapotrzebowanie	मांग	zapotrzebowanie	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
मांग	żądanie	मांग	żądanie	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
देवता	bóstwo	देवता	bóstwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
दौर	runda	दौर	runda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संचालन	funkcjonowanie	संचालन	funkcjonowanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
संचालन	operacja	संचालन	operacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संचालन	działanie	संचालन	działać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
भौगोलिक	geograficzne	भौगोलिक	geograficzny	ADJ;NOM	ADJ;NOM;NEUT;SG
भौगोलिक	geograficzna	भौगोलिक	geograficzny	ADJ;NOM	ADJ;NOM;FEM;SG
भौगोलिक	geograficzny	भौगोलिक	geograficzny	ADJ;NOM	ADJ;NOM;MASC;SG
भौगोलिक	geograficzne	भौगोलिक	geograficzny	ADJ;NOM	ADJ;NOM;NEUT;SG
भौगोलिक	geograficzna	भौगोलिक	geograficzny	ADJ;NOM	ADJ;NOM;FEM;SG
भौगोलिक	geograficzny	भौगोलिक	geograficzny	ADJ;NOM	ADJ;NOM;MASC;SG
उपस्थित	obecny	उपस्थित	obecny	ADJ	ADJ;NOM;MASC;SG
उपस्थित	obecna	उपस्थित	obecny	ADJ	ADJ;NOM;FEM;SG
उपस्थित	obecne	उपस्थित	obecny	ADJ	ADJ;NOM;NEUT;SG
अस्पताल	szpital	अस्पताल	szpital	N;NOM;MASC;SG;3	N;NOM;MASC;SG
परिवर्तित	zmienione	परिवर्तित	zmienić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
परिवर्तित	zmieniony	परिवर्तित	zmienić	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
परिवर्तित	zmodyfikowane	परिवर्तित	zmodyfikować	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
परिवर्तित	zmienione	परिवर्तित	zmienić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
परिवर्तित	zmodyfikowany	परिवर्तित	zmodyfikować	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
परिवर्तित	modyfikowane	परिवर्तित	modyfikować	ADJ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
परिवर्तित	zmieniony	परिवर्तित	zmienić	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
परिवर्तित	przekształcone	परिवर्तित	przekształcić	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
स्वर	samogłoska	स्वर	samogłosek	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लाइन	wiersz	लाइन	wiersz	N;NOM;FEM;SG;3	N;NOM;MASC;SG
लाइन	linia	लाइन	linia	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रश्न	zapytanie	प्रश्न	zapytać	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
प्रश्न	zapytania	प्रश्न	zapytać	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
प्रश्न	pytanie	प्रश्न	pytanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
आलोचना	krytyka	आलोचना	krytyka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पहाड़ी	wzgórza	पहाडी	wzgórzać	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
पहाड़ी	wzgórze	पहाडी	wzgórze	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
पुरानी	stary	पुराना	stary	ADJ;FEM;SG	ADJ;NOM;MASC;SG
पुरानी	starsza	पुराना	stary	ADJ;FEM;SG	ADJ;NOM;CMPR;FEM;SG
पुरानी	starsze	पुराना	stary	ADJ;FEM;SG	ADJ;NOM;CMPR;NEUT;SG
पुरानी	starszy	पुराना	stary	ADJ;FEM;SG	ADJ;NOM;CMPR;MASC;SG
पसंद	wybór	पसंद	wybór	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सुझाव	propozycja	सुझाव	propozycja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
सुझाव	sugestia	सुझाव	sugestia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
खेती	hodowla	खेती	hodowle	N;NOM;FEM;SG;3	N;NOM;FEM;SG
खेती	rolnictwo	खेती	rolnictwo	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
खेती	zbiór	खेती	zbiór	N;NOM;FEM;SG;3	N;NOM;MASC;SG
लिखने	pisać	लिख	pisać	V;NFIN;ACT	V;IPFV;NFIN;ACT
वर्णित	opisane	वर्णित	opisać	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
वर्णित	opisana	वर्णित	opisać	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
विभाजन	wydział	विभाजन	wydział	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विशेषता	jakość	विशेषता	jakość	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विशेषता	funkcja	विशेषता	funkcja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
विशेषता	cecha	विशेषता	cechać	N;NOM;FEM;SG;3	N;NOM;FEM;SG
क्षेत्रीय	regionalne	क्षेत्रीय	regionalny	ADJ;NOM	ADJ;NOM;NEUT;SG
क्षेत्रीय	regionalny	क्षेत्रीय	regionalny	ADJ;NOM	ADJ;NOM;MASC;SG
क्षेत्रीय	regionalna	क्षेत्रीय	regionalny	ADJ;NOM	ADJ;NOM;FEM;SG
लड़ाई	walka	लड़ाई	walka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
लड़ाई	walka	लड़ाई	walka	N;NOM;FEM;SG;3	N;NOM;FEM;SG
परिभाषित	zdefiniowane	परिभाषित	zdefiniować	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
परिभाषित	określonych	परिभाषित	określony	ADJ	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
परिभाषित	zdefiniowana	परिभाषित	zdefiniować	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
परिभाषित	zdefiniowany	परिभाषित	zdefiniować	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
परिभाषित	zdefiniowanych	परिभाषित	zdefiniować	ADJ	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
अंश	ułamek	अंश	ułamek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
अंश	frakcja	अंश	frakcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रोड	droga	रोड	droga	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रस्तावित	proponowane	प्रस्तावित	proponować	ADJ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
प्रस्तावित	proponowana	प्रस्तावित	proponować	ADJ	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
प्रस्तावित	proponowany	प्रस्तावित	proponować	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
गायक	piosenkarz	गायक	piosenkarz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गायक	wokalista	गायक	wokalista	N;NOM;MASC;SG;3	N;NOM;MASC;SG
गायक	piosenkarka	गायक	piosenkarka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समुद्री	morski	समुद्री	morski	ADJ;NOM	ADJ;NOM;MASC;SG
समुद्री	morskie	समुद्री	morski	ADJ;NOM	ADJ;NOM;NEUT;SG
उपयोगी	użyteczny	उपयोगी	użyteczny	ADJ	ADJ;NOM;MASC;SG;POS;V.PTCP;PASS
उपयोगी	przydatne	उपयोगी	przydatny	ADJ	ADJ;NOM;NEUT;SG
उपयोगी	użyteczne	उपयोगी	użyteczny	ADJ	ADJ;NOM;NEUT;SG
उपयोगी	przydatny	उपयोगी	przydatny	ADJ	ADJ;NOM;MASC;SG
उपयोगी	przydatna	उपयोगी	przydatny	ADJ	ADJ;NOM;FEM;SG
उपयोगी	przydatna	उपयोगी	przydatny	ADJ	ADJ;NOM;FEM;SG
उपयोगी	pomocny	उपयोगी	pomocny	ADJ	ADJ;NOM;MASC;SG
उपयोगी	pomocna	उपयोगी	pomocny	ADJ	ADJ;NOM;FEM;SG
उपयोगी	pomocne	उपयोगी	pomocny	ADJ	ADJ;NOM;NEUT;SG
सत्र	sesja	सत्र	sesja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पहुँच	osiągnie	पहुँच	osiągnie	V;ACT	V;PFV;IND;SG;3;FUT;FIN;ACT
पहुँच	sięga	पहुँच	sięga	V;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
पहुँच	osiąga	पहुँच	osiągać	V;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
छात्रों	studentów	छात्र	student	N;ACC;MASC;PL;3	N;ACC;MASC;PL
पुराना	stary	पुराना	stary	ADJ;MASC;SG	ADJ;NOM;MASC;SG
पुराना	starsza	पुराना	stary	ADJ;MASC;SG	ADJ;NOM;CMPR;FEM;SG
पुराना	starsze	पुराना	stary	ADJ;MASC;SG	ADJ;NOM;CMPR;NEUT;SG
पुराना	starszy	पुराना	stary	ADJ;MASC;SG	ADJ;NOM;CMPR;MASC;SG
तेज	szybkie	तेज	szybki	ADJ	ADJ;NOM;NEUT;SG
तेज	szybki	तेज	szybki	ADJ	ADJ;NOM;MASC;SG
तेज	szybka	तेज	szybki	ADJ	ADJ;NOM;FEM;SG
सम्राट	imperator	सम्राट	imperator	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सम्राट	cesarz	सम्राट	cesarz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
