задняя	zadní	задний	zadní	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG;POS
висит	visí	висеть	viset	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
конвенции	úmluvy	конвенция	úmluva	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
конвенции	úmluvy	конвенция	úmluva	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
местоположения	lokace	местоположение	lokace	N;INAN;NOM;NEUT;PL	N;NOM;FEM;PL;POS
местоположения	lokality	местоположение	lokalita	N;INAN;NOM;NEUT;PL	N;NOM;FEM;PL;POS
обнаружить	objevit	обнаружить	objevit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
душа	sprcha	душа	sprcha	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
душа	duše	душа	duše	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
медведь	medvěd	медведь	medvěd	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
чёрное	černá	черный	černý	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
чёрное	černé	черный	černý	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG;POS
чёрное	černý	черный	černý	ADJ;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;SG;POS
эхо	ozvěna	эхо	ozvěna	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
эхо	ozvěna	эхо	ozvěna	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
эхо	echo	эхо	echo	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
быстрый	rychlé	быстрый	rychlý	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
быстрый	rychlá	быстрый	rychlý	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
быстрый	rychlý	быстрый	rychlý	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
быстрый	rychlé	быстрый	rychlý	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
быстрый	rychlá	быстрый	rychlý	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
быстрый	rychlý	быстрый	rychlý	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
спектр	přízrak	спектр	přízrak	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
спектр	strašidlo	спектр	strašidlo	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
спектр	spektrum	спектр	spektrum	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
спектр	přízrak	спектр	přízrak	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
спектр	strašidlo	спектр	strašidlo	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
курт	kurt	курт	kurt	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
ширину	šířku	ширина	šířka	N;INAN;ACC;FEM;SG	N;ACC;FEM;SG;POS
материнская	mateřská	материнский	mateřský	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
материнская	mateřské	материнский	mateřský	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG;POS
материнская	mateřský	материнский	mateřský	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
мощный	mocná	мощный	mocný	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
мощный	mocný	мощный	mocný	ADJ;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
записать	nahrát	записать	nahrát	V;PFV;NFIN;ACT	V;POS;NFIN
записать	zaznamenat	записать	zaznamenat	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
испанская	španělská	испанский	španělský	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
испанская	španělské	испанский	španělský	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
комплексы	komplexy	комплекс	komplex	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
разнообразные	rozmanité	разнообразный	rozmanitý	ADJ;NOM;PL	ADJ;NOM;MASC;PL;POS
моложе	mladší	молодой	mladý	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG;POS
моложе	mladších	молодой	mladý	ADJ;CMPR	ADJ;GEN;CMPR;MASC;PL;POS
интерпретации	výklady	интерпретация	výklad	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
льда	ledu	лед	led	N;INAN;GEN;MASC;SG	N;INAN;GEN;MASC;SG;POS
зимний	zimní	зимний	zimní	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
институты	ústavy	институт	ústava	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
институты	instituce	институт	instituce	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
немецкое	německý	немецкий	německý	ADJ;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;SG;POS
немецкое	německá	немецкий	německý	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
норвежский	norský	норвежский	norský	ADJ;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
вулкан	vulkán	вулкан	vulkaný	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
вулкан	sopka	вулкан	sopka	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
вулкан	vulkán	вулкан	vulkaný	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
дополнительная	dodatečná	дополнительный	dodatečný	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
дополнительная	dodatečné	дополнительный	dodatečný	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG;POS
дополнительная	doplňková	дополнительный	doplňkový	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
гостиницы	hotely	гостиница	hotel	N;INAN;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
конкретный	specifická	конкретный	specifický	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
конкретный	konkrétní	конкретный	konkrétní	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
конкретный	specifický	конкретный	specifický	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
конкретный	konkrétní	конкретный	konkrétní	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
верить	věřit	верить	věřit	V;IPFV;NFIN;ACT	V;IPFV;POS;NFIN
купить	koupit	купить	koupit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
купить	zakoupit	купить	zakoupit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
верность	věrnost	верность	věrnost	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
верность	věrnosti	верность	věrnost	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
верность	věrnost	верность	věrnost	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
верность	oddanost	верность	oddanost	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
верность	loajalita	верность	loajalita	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
поднять	zvednout	поднять	zvednout	V;PFV;NFIN;ACT	V;POS;NFIN
поднять	zvýšit	поднять	zvýšit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
плата	poplatek	плата	poplatek	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
плата	honorář	плата	honorář	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
репутацию	reputaci	репутация	reputace	N;INAN;ACC;FEM;SG	N;ACC;FEM;SG;POS
костюм	kostým	костюм	kostým	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
костюм	oblek	костюм	oblek	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
избирательный	selektivní	избирательный	selektivní	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
маяк	maják	маяк	maják	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
маяк	maják	маяк	maják	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
норма	norma	норма	norma	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
норма	norma	норма	norma	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
отдельное	samostatné	отдельный	samostatný	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG;POS
воин	bojovnice	воин	bojovnice	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;POS
воин	válečník	воин	válečník	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
воин	bojovník	воин	bojovník	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
бойцы	bojovníci	боец	bojovník	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
бойцы	stíhačky	боец	stíhačka	N;ANIM;NOM;MASC;PL	N;NOM;FEM;PL;POS
бойцы	bojovníci	боец	bojovník	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
лук	cibule	лук	cibule	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
лук	cibule	лук	cibule	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
лук	příď	лук	příď	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
лук	luk	лук	louka	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
бабушка	babička	бабушка	babička	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
бабушка	bába	бабушка	bába	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
бабушка	babka	бабушка	babka	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
бабушка	babička	бабушка	babička	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
бабушка	babička	бабушка	babička	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
симфония	symfonie	симфония	symfonie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
скажите	řekněme	сказать	říci	V;PFV;IMP;PL;2;FIN;ACT	V;PFV;IMP;PL;2;POS;FIN
скажите	řekněte	сказать	říci	V;PFV;IMP;PL;2;FIN;ACT	V;PFV;IMP;PL;2;POS;FIN
проектирование	návrh	проектирование	návrh	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
проектирование	design	проектирование	design	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
проектирование	projektování	проектирование	projektování	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
проектирование	konstrukce	проектирование	konstrukce	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
проектирование	navrhování	проектирование	navrhování	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
проектирование	projektování	проектирование	projektování	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
низкая	nízký	низкий	nízký	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
низкая	nízká	низкий	nízký	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
индейцы	indiáni	индеец	indián	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
индейцы	indové	индеец	indový	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
трио	trio	трио	trio	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
достоинство	důstojnosti	достоинство	důstojnost	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
достоинство	důstojnost	достоинство	důstojnost	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
пустыни	pouště	пустыня	poušť	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
пустыни	pouště	пустыня	poušť	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
оборона	obrany	оборона	obrana	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
оборона	obrana	оборона	obrana	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
оборона	obhajoba	оборона	obhajoba	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
оборона	obrana	оборона	obrana	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
оборона	obhajoba	оборона	obhajoba	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
оборона	obrany	оборона	obrana	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
технически	technicky	технически	technicky	ADV	ADV;POS
дяди	strýcové	дядя	strýcový	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
христос	kristus	христос	kristus	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
героиня	hrdinka	героиня	hrdinka	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
эрика	erika	эрик	erika	N;ANIM;NOM;FEM;SG	N;NOM;FEM;SG;POS
требовать	požadovat	требовать	požadovat	V;IPFV;NFIN;ACT	V;IPFV;POS;NFIN
требовать	vyžadují	требовать	vyžadovat	V;IPFV;NFIN;ACT	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT
требовать	vyžadovat	требовать	vyžadovat	V;IPFV;NFIN;ACT	V;IPFV;POS;NFIN
упомянуть	zmínit	упомянуть	zmínit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
пещера	jeskyně	пещера	jeskyně	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
гости	návštěvy	гость	návštěva	N;ANIM;NOM;MASC;PL	N;NOM;FEM;PL;POS
гости	návštěvníci	гость	návštěvník	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
гости	hosté	гость	host	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
переворот	převrat	переворот	převrat	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
обслуживание	servis	обслуживание	servis	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
обслуживание	služba	обслуживание	služba	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
обслуживание	servis	обслуживание	servis	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
обслуживание	obsluha	обслуживание	obsluha	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
религиозный	náboženský	религиозный	náboženský	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
религиозный	náboženská	религиозный	náboženský	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
религиозный	náboženské	религиозный	náboženský	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
выделение	výběr	выделение	výběr	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
вероятности	pravděpodobnost	вероятность	pravděpodobnost	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
степанов	stepanov	степан	stepanov	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;POS
банки	banky	банк	banka	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
банки	konzervy	банк	konzerva	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
банки	plechovky	банк	plechovka	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
настоящие	skutečné	настоящий	skutečný	ADJ;NOM;PL	ADJ;NOM;MASC;PL;POS
настоящие	závazné	настоящий	závazný	ADJ;NOM;PL	ADJ;NOM;MASC;PL;POS
тяжёлый	těžká	тяжёлый	těžký	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
тяжёлый	těžké	тяжёлый	těžký	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
тяжёлый	těžký	тяжёлый	těžký	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
сорок	čtyřicet	сорок	čtyřicet	NUM;NOM	NUM;NOM;SG
курган	kurgan	курган	kurgan	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;POS
стояла	stál	стоять	stát	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
временной	časová	временный	časový	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
запретить	zakázat	запретить	zakázat	V;PFV;NFIN;ACT	V;POS;NFIN
запретить	zakázat	запретить	zakázat	V;PFV;NFIN;ACT	V;POS;NFIN
крыша	střecha	крыша	střecha	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
крыша	střecha	крыша	střecha	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
промышленный	průmyslový	промышленный	průmyslový	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
промышленный	průmyslová	промышленный	průmyslový	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
промышленный	průmyslové	промышленный	průmyslový	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
продюсеры	výrobci	продюсер	výrobce	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
продюсеры	producenti	продюсер	producent	N;ANIM;NOM;MASC;PL	N;ANIM;NOM;MASC;PL;POS
объяснение	vysvětlení	объяснение	vysvětlení	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
атмосферу	atmosféru	атмосфера	atmosféra	N;INAN;ACC;FEM;SG	N;ACC;FEM;SG;POS
добавления	dodatky	добавление	dodatek	N;INAN;NOM;NEUT;PL	N;INAN;NOM;MASC;PL;POS
добавления	dodatky	добавление	dodatek	N;INAN;NOM;NEUT;PL	N;INAN;NOM;MASC;PL;POS
прорыв	průlom	прорыв	průlom	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
сложный	složité	сложный	složitý	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
сложный	komplexní	сложный	komplexní	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
сложный	složitá	сложный	složitý	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
сложный	složité	сложный	složitý	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
сложный	komplikovaný	сложный	komplikovaný	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
сложный	komplikovaná	сложный	komplikovaný	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
сложный	složitý	сложный	složitý	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
сложный	komplikované	сложный	komplikovaný	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
мастерство	mistrovství	мастерство	mistrovství	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
мастерство	dovednost	мастерство	dovednost	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
сущность	podstata	сущность	podstata	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
сущность	esence	сущность	esence	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
дизель	diesel	дизель	diesel	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
дизель	nafta	дизель	nafta	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
приоритет	priorita	приоритет	priorita	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
приоритет	přednost	приоритет	přednost	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
кратко	stručně	кратко	stručně	ADV	ADV;POS
кратко	krátce	кратко	krátce	ADV	ADV;POS
боли	bolesti	боль	bolest	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
секс	pohlaví	секс	pohlaví	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
секс	sex	секс	sex	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
инцидент	incident	инцидент	incident	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
серый	šedé	серый	šedý	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
серый	šedý	серый	šedý	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
серый	šedivý	серый	šedivý	ADJ;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
серый	šedá	серый	šedý	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
серый	šedá	серый	šedý	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
серый	šedé	серый	šedý	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
серый	greyová	серый	greyový	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
серый	šedý	серый	šedý	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
серый	šedivý	серый	šedivý	ADJ;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
точность	přesnost	точность	přesnost	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
точность	správnost	точность	správnost	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
точность	přesnost	точность	přesnost	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
точность	přesnosti	точность	přesnost	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
политбюро	politbyra	политбюро	politbyro	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
альянс	spojenectví	альянс	spojenectví	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
альянс	aliance	альянс	aliance	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;POS
заявляет	prohlašuje	заявлять	prohlašovat	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
упорно	tvrdohlavě	упорно	tvrdohlavě	ADV	ADV;POS
белки	proteiny	белок	protein	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
белки	bílkoviny	белок	bílkovina	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
белки	proteiny	белок	protein	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
белки	bílkoviny	белок	bílkovina	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
белки	veverky	белок	veverka	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL;POS
управляет	spravuje	управлять	spravovat	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
скандал	skandál	скандал	skandál	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
свадьбы	svatby	свадьба	svatba	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
свадьбы	svatby	свадьба	svatba	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
ранение	zranění	ранение	zranění	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
ранение	úraz	ранение	úraz	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
ранение	újma	ранение	újma	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
ранение	poranění	ранение	poranění	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
ранение	zranění	ранение	zranění	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
ранение	rána	ранение	ráno	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
орловская	orelská	орловский	orelský	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
цепь	okruh	цепь	okruh	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
цепь	obvod	цепь	obvod	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
цепь	řetízek	цепь	řetízek	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
цепь	řetěz	цепь	řetěz	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
цепь	řetězec	цепь	řetězec	N;INAN;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
видна	viditelný	видный	viditelný	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
видна	viditelná	видный	viditelný	ADJ;FEM;SG	ADJ;NOM;FEM;SG;POS
видна	viditelné	видный	viditelný	ADJ;FEM;SG	ADJ;NOM;NEUT;SG;POS
пруд	rybník	пруд	rybník	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
звёздный	hvězdný	звёздный	hvězdný	ADJ;NOM;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
звёздный	hvězdná	звёздный	hvězdný	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
длиннее	delší	длинный	dlouhý	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG;POS
процессор	procesor	процессор	procesor	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
процессор	procesor	процессор	procesor	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
процессор	cpu	процессор	cpu	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;POS
изредка	občas	изредка	občas	ADV	ADV
изредка	příležitostně	изредка	příležitostně	ADV	ADV;POS
эксперименты	experimenty	эксперимент	experiment	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
эксперименты	pokusy	эксперимент	pokus	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
эксперименты	experimenty	эксперимент	experiment	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
монах	mnich	монах	mnich	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
монах	mnich	монах	mnich	N;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
гражданина	občana	гражданин	občan	N;ANIM;ACC;MASC;SG	N;ANIM;ACC;MASC;SG;POS
добровольцев	dobrovolníky	доброволец	dobrovolník	N;ANIM;ACC;MASC;PL	N;ANIM;ACC;MASC;PL;POS
рождение	narození	рождение	narození	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
рождение	zrození	рождение	zrození	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
рождение	narození	рождение	narození	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
рождение	porod	рождение	porod	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
отменить	zrušit	отменить	zrušit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
винтовки	pušky	винтовка	puška	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
самостоятельный	autonomní	самостоятельный	autonomní	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG;POS
доски	prkna	доска	prkno	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL;POS
доски	tabule	доска	tabule	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
доски	desky	доска	deska	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
доски	prkna	доска	prkno	N;INAN;NOM;FEM;PL	N;NOM;NEUT;PL;POS
отступить	ustoupit	отступить	ustoupit	V;PFV;NFIN;ACT	V;PFV;POS;NFIN
очевидна	zřejmý	очевидный	zřejmý	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
очевидна	zjevné	очевидный	zjevný	ADJ;FEM;SG	ADJ;NOM;NEUT;SG;POS
очевидна	zřejmá	очевидный	zřejmý	ADJ;FEM;SG	ADJ;NOM;FEM;SG;POS
очевидна	zřejmé	очевидный	zřejmý	ADJ;FEM;SG	ADJ;NOM;NEUT;SG;POS
