van	no	van	no		
burgers	pilsoņus	burger	pilsonis	N;PL	N;ACC;MASC;PL
burgers	pilsoņi	burger	pilsonis	N;PL	N;NOM;MASC;PL
burgers	iedzīvotāji	burger	iedzīvotājs	N;PL	N;NOM;MASC;PL
reis	ceļošana	reis	ceļošana	N;SG	N;NOM;FEM;SG
burger	pilsoņa	burger	pilsoņa	N;SG	N;NOM;MASC;SG
burger	pilsonis	burger	pilsonis	N;SG	N;NOM;MASC;SG
voet	pēda	voet	pēda	N;SG	N;NOM;FEM;SG
voet	pēdu	voet	pēda	N;SG	N;ACC;FEM;SG
voet	kāja	voet	kāja	N;SG	N;NOM;FEM;SG
ondersteun	atbalstīt	ondersteun	atbalstīt	V;PRS	V;POS;NFIN
ondersteun	atbalsta	ondersteun	atbalstīt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
moeder	māte	moeder	māte	N;SG	N;NOM;FEM;SG
materiaal	materiāls	materiaal	materiāls	N;SG	N;NOM;MASC;SG
aktrise	aktrise	aktrise	aktrise	N;SG	N;NOM;FEM;SG
afdelings	iedaļas	afdeling	iedaļa	N;PL	N;NOM;FEM;PL
afdelings	nodaļas	afdeling	nodaļa	N;PL	N;NOM;FEM;PL
afdelings	sekcijas	afdeling	sekcija	N;PL	N;NOM;FEM;PL
afdelings	sadaļas	afdeling	sadaļa	N;PL	N;NOM;FEM;PL
goud	zeltā	goud	zelts	N;SG	N;ESS;MASC;SG
goud	zelts	goud	zelts	N;SG	N;NOM;MASC;SG
groepeer	grupas	groepeer	grupa	N;PL	N;NOM;FEM;PL
chemiese	ķīmiskais	chemies	ķīmisks	ADJ;NOM	ADJ;NOM;MASC;SG
chemiese	ķīmiskā	chemies	ķīmiska	ADJ;NOM	ADJ;NOM;FEM;SG
gevalle	lietas	geval	lieta	N;PL	N;NOM;FEM;PL
gevalle	gadījumi	geval	gadījums	N;PL	N;NOM;MASC;PL
gevalle	korpusi	geval	korpuse	N;PL	N;NOM;MASC;PL
gevalle	gadījumos	geval	gadījums	N;PL	N;ESS;MASC;PL
gevalle	instances	geval	instance	N;PL	N;NOM;FEM;PL
skip	kuģis	skip	kuģis	N;SG	N;NOM;MASC;SG
ver	tālu	ver	tālu	ADV	ADV
watter	kas	watter	kas	PRO	PRO;NOM
watter	kura	watter	kura	PRO	PRO;NOM;FEM;SG
behou	turēt	behou	turēt	V;PRS	V;POS;NFIN
behou	paturēt	behou	paturēt	V;PRS	V;POS;NFIN
versoek	pieprasīt	versoek	pieprasīt	V;PRS	V;POS;NFIN
hulp	palīgā	hulp	palīgs	N;SG	N;ESS;MASC;SG
hulp	palīdzība	hulp	palīdzība	N;SG	N;NOM;FEM;SG
hoop	ceru	hoop	cerēt	V;PRS	V;FH;IND;SG;1;POS;PRS;FIN;ACT
deelgeneem	piedalījās	deelneneem	piedalīties	V;PST;V.PTCP	V;FH;IND;3;POS;REFL;PST;FIN;ACT
deelgeneem	piedalījušies	deelneneem	piedalīties	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;REFL;PST;V.PTCP
deelgeneem	piedalījusies	deelneneem	piedalīties	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;REFL;PST;V.PTCP
deelgeneem	piedalījies	deelneneem	piedalīties	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP
sukses	veiksme	sukses	veiksme	N;SG	N;NOM;FEM;SG
aangedui	norādītas	aandui	norādīt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
aangedui	norādītā	aandui	norādīt	V;PST;V.PTCP	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
aangedui	norādīts	aandui	norādīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
voorwerpe	objekti	voorwerpe	objekts	N;PL	N;NOM;MASC;PL
voorwerpe	priekšmeti	voorwerpe	priekšmets	N;PL	N;NOM;MASC;PL
temperatuur	temperatūra	temperatuur	temperatūra	N;SG	N;NOM;FEM;SG
maan	mēness	maan	mēness	N;SG	N;NOM;MASC;SG
maan	pavadonis	maan	pavadonis	N;SG	N;NOM;MASC;SG
seisoen	sezonai	seisoen	sezona	N;SG	N;DAT;FEM;SG
seisoen	sezonu	seisoen	sezona	N;SG	N;ACC;FEM;SG
seisoen	sezonā	seisoen	sezona	N;SG	N;ESS;FEM;SG
seisoen	sezona	seisoen	sezona	N;SG	N;NOM;FEM;SG
nasies	nācijas	nasie	nācija	N;PL	N;NOM;FEM;PL
amper	teju	amper	teju		
grondwet	konstitūcija	grondwet	konstitūcija	N;SG	N;NOM;FEM;SG
grondwet	konstitūcijā	grondwet	konstitūcija	N;SG	N;ESS;FEM;SG
kollege	koledža	kollege	koledža	N;SG	N;NOM;FEM;SG
kollege	kolēģija	kollege	kolēģija	N;SG	N;NOM;FEM;SG
kollege	koledžā	kollege	koledžs	N;SG	N;ESS;FEM;SG
waargeneem	novērotais	waarneneem	novērot	V;PST;V.PTCP	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
waargeneem	novērotā	waarneneem	novērot	V;PST;V.PTCP	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
waargeneem	novērota	waarneneem	novērot	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
waargeneem	novērotas	waarneneem	novērot	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
waargeneem	novērotās	waarneneem	novērot	V;PST;V.PTCP	V;PFV;NOM;DEF;FEM;PL;PST;V.PTCP
waargeneem	novērots	waarneneem	novērot	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
opleiding	izglītība	opleiding	izglītība	N;SG	N;NOM;FEM;SG
uitgevoer	izpildīts	uitvoer	izpildīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
uitgevoer	veikts	uitvoer	veikt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
soortgelyke	līdzīgs	soortgelyk	līdzīgs	ADJ;NOM	ADJ;NOM;MASC;SG
soortgelyke	līdzīgas	soortgelyk	līdzīga	ADJ;NOM	ADJ;NOM;FEM;PL
soortgelyke	līdzīga	soortgelyk	līdzīga	ADJ;NOM	ADJ;NOM;FEM;SG
skiereiland	pussalā	skiereiland	pussala	N;SG	N;ESS;FEM;SG
skiereiland	pussala	skiereiland	pussala	N;SG	N;NOM;FEM;SG
wetenskap	zinātne	wetenskap	zinātne	N;SG	N;NOM;FEM;SG
tye	laiki	tye	laiks	N;PL	N;NOM;MASC;PL
hoeksteen	stūrakmens	hoeksteen	stūrakmens	N;SG	N;NOM;MASC;SG
jaarlikse	ikgadēja	jaarliks	ikgadēt	ADJ;NOM	ADJ;NOM;FEM;SG
jaarlikse	ikgadējais	jaarliks	ikgadēt	ADJ;NOM	ADJ;NOM;MASC;SG
teorie	teorija	teorie	teorija	N;SG	N;NOM;FEM;SG
kasteel	pili	kasteel	pils	N;SG	N;ACC;FEM;SG
kasteel	pils	kasteel	pils	N;SG	N;NOM;FEM;SG
lyf	ķermeņa	lyf	ķermenis	N;SG	N;GEN;MASC;SG
lyf	ķermenis	lyf	ķermenis	N;SG	N;NOM;MASC;SG
wedstryde	spēles	wedstryde	spēle	N;PL	N;NOM;FEM;PL
gelewer	padarīti	lewer	padarīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
gelewer	padarīta	lewer	padarīt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
hawe	portu	hawe	ports	N;SG	N;ACC;MASC;SG
hawe	ostā	hawe	osta	N;SG	N;ESS;FEM;SG
hawe	osta	hawe	osta	N;SG	N;NOM;FEM;SG
plan	plāna	plan	plāns	N;SG	N;NOM;FEM;SG
plan	plāns	plan	plāns	N;SG	N;NOM;MASC;SG
plan	plānā	plan	plāns	N;SG	N;ESS;MASC;SG
beelde	attēli	beelde	attēls	N;PL	N;NOM;MASC;PL
beelde	attēlus	beelde	attēls	N;PL	N;ACC;MASC;PL
gedigte	dzejoļi	dig	dzejolis	N;PL	N;NOM;MASC;PL
ring	gredzens	ring	gredzens	N;SG	N;NOM;MASC;SG
oorwinning	uzvara	oorwinning	uzvara	N;SG	N;NOM;FEM;SG
toegelaat	atļauti	toelaat	atļaut	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
toegelaat	atļauta	toelaat	atļaut	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
toegelaat	atļauts	toelaat	atļauts	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
toegelaat	atļautas	toelaat	atļaut	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
finansiële	finansiālā	finansieel	finansiāla	ADJ;NOM	ADJ;NOM;FEM;SG
finansiële	finansiālais	finansieel	finansiāls	ADJ;NOM	ADJ;NOM;MASC;SG
finansiële	finansiāls	finansieel	finansiāls	ADJ;NOM	ADJ;NOM;MASC;SG
gevra	lūdza	vra	lūgt	V;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
gebruikers	izmantotāji	gebruiker	izmantotājs	N;PL	N;NOM;MASC;PL
gebruikers	lietotāji	gebruiker	lietotājs	N;PL	N;NOM;MASC;PL
vergelyking	vienādojums	vergelyking	vienādojums	N;SG	N;NOM;MASC;SG
vergelyking	vienādojumu	vergelyking	vienādojums	N;SG	N;ACC;MASC;SG
vergelyking	pacēluma	vergelyking	pacēlums	N;SG	N;GEN;MASC;SG
vergelyking	pacēlums	vergelyking	pacēlums	N;SG	N;NOM;MASC;SG
aangesluit	pievienojās	aansluit	pievienoties	V;PST;V.PTCP	V;FH;IND;3;POS;REFL;PST;FIN;ACT
lyn	līnija	lyn	līnija	N;SG	N;NOM;FEM;SG
soorte	tipi	soort	tips	N;PL	N;NOM;MASC;PL
soorte	veidi	soort	veids	N;PL	N;NOM;MASC;PL
poging	piepūle	poging	piepūle	N;SG	N;NOM;FEM;SG
blare	lapas	blaar	lapa	N;PL	N;NOM;FEM;PL
drama	drāma	drama	drāma	N;SG	N;NOM;FEM;SG
hospitaal	slimnīcā	hospitaal	slimnīca	N;SG	N;ESS;FEM;SG
hospitaal	slimnīca	hospitaal	slimnīca	N;SG	N;NOM;FEM;SG
weeg	sver	weeg	svērt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
departement	departamentā	departement	departaments	N;SG	N;ESS;MASC;SG
departement	departaments	departement	departaments	N;SG	N;NOM;MASC;SG
uur	stunda	uur	stunda	N;SG	N;NOM;FEM;SG
uur	stundu	uur	stunda	N;SG	N;ACC;FEM;SG
toestand	valsts	toestand	valsts	N;SG	N;NOM;FEM;SG
toestand	štats	toestand	štats	N;SG	N;NOM;MASC;SG
koerant	laikraksts	koerant	laikraksts	N;SG	N;NOM;MASC;SG
koerant	avīze	koerant	avīze	N;SG	N;NOM;FEM;SG
koerant	laikraksta	koerant	laikraksts	N;SG	N;GEN;MASC;SG
koerant	avīzē	koerant	avīze	N;SG	N;ESS;FEM;SG
riviere	upēm	rivier	upe	N;PL	N;DAT;FEM;PL
riviere	upēs	rivier	upe	N;PL	N;ESS;FEM;PL
letterkunde	literatūra	letterkund	literatūra	N;SG	N;NOM;FEM;SG
letterkunde	literatūrā	letterkund	literatūra	N;SG	N;ESS;FEM;SG
verhoog	palielināt	verhoog	palielināt	V;PRS	V;POS;NFIN
professor	profesore	professor	profesore	N;SG	N;NOM;FEM;SG
professor	profesors	professor	profesors	N;SG	N;NOM;MASC;SG
wapen	ieroča	wapen	ierocis	N;SG	N;NOM;MASC;SG
spanne	komandām	span	komanda	N;PL	N;DAT;FEM;PL
spanne	komandas	span	komanda	N;PL	N;NOM;FEM;PL
ortodokse	pareizticīgo	ortodokse	pareizticīgs	ADJ;NOM	ADJ;NOM;MASC;PL
gebeur	notikt	gebeur	notikt	V;PRS	V;POS;NFIN
gebeur	gadās	gebeur	gadīties	V;PRS	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
gebeur	notiek	gebeur	notikt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
opstand	sacelšanās	opstand	sacelšanās	N;SG	N;NOM;FEM;SG
opstand	dumpis	opstand	dumpis	N;SG	N;NOM;MASC;SG
insluit	iekļaut	insluit	iekļaut	V;PRS	V;POS;NFIN
insluit	ietvert	insluit	ietvert	V;PRS	V;POS;NFIN
insluit	ietver	insluit	ietvert	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
betaal	maksāt	betaal	maksāt	V;PRS	V;POS;NFIN
betaal	maksā	betaal	maksāt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
betaal	samaksāt	betaal	samaksāt	V;PRS	V;POS;NFIN
betaal	nokārtot	betaal	nokārtot	V;PRS	V;POS;NFIN
betaal	nokārtotu	betaal	nokārtot	V;PRS	V;COND;POS;FIN;ACT
betaal	maksā	betaal	maksāt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
simbool	simbols	simbool	simbols	N;SG	N;NOM;MASC;SG
simbool	figūriņa	simbool	figūriņa	N;SG	N;NOM;FEM;SG
bewys	pierādījumu	bewys	pierādījums	N;SG	N;ACC;MASC;SG
bewys	pierādījums	bewys	pierādījums	N;SG	N;NOM;MASC;SG
geskenk	ziedoja	geskenk	ziedot	V;PST;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
feit	fakts	feit	fakts	N;SG	N;NOM;MASC;SG
datum	datums	datum	datums	N;SG	N;NOM;MASC;SG
maand	mēnesis	maand	mēnesis	N;SG	N;NOM;MASC;SG
maand	mēnesi	maand	mēnesis	N;SG	N;ACC;MASC;SG
munisipale	pilsoniskās	munisipaal	pilsoniska	ADJ;NOM	ADJ;NOM;FEM;PL
oog	acs	oog	acs	N;SG	N;NOM;FEM;SG
oog	acī	oog	acī	N;SG	N;ESS;FEM;SG
verspreiding	sadalījums	verspreiding	sadalījums	N;SG	N;NOM;MASC;SG
verspreiding	sadale	verspreiding	sadale	N;SG	N;NOM;FEM;SG
verspreiding	izplatība	verspreiding	izplatība	N;SG	N;NOM;FEM;SG
verspreiding	izplatīšanās	verspreiding	izplatīšanās	N;SG	N;NOM;FEM;SG
verspreiding	izplatīšana	verspreiding	izplatīšana	N;SG	N;NOM;FEM;SG
kolonie	koloniju	kolonie	kolonija	N;SG	N;ACC;FEM;SG
ingevoer	ierakstīts	invoer	ierakstīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
ingevoer	ievadīti	invoer	ievadīt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
ingevoer	importēts	invoer	importēt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
ingevoer	importētas	invoer	importēt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
struktuur	struktūra	struktuur	struktūra	N;SG	N;NOM;FEM;SG
struktuur	uzbūve	struktuur	uzbūve	N;SG	N;NOM;FEM;SG
kunstenaars	māksliniekiem	kunstenaar	mākslinieks	N;PL	N;DAT;MASC;PL
kunstenaars	izpildītāji	kunstenaar	izpildītājs	N;PL	N;NOM;MASC;PL
kunstenaars	mākslinieki	kunstenaar	mākslinieks	N;PL	N;NOM;MASC;PL
kunstenaars	izpildītāji	kunstenaar	izpildītājs	N;PL	N;NOM;MASC;PL
wedstryd	konkurss	wedstryd	konkurss	N;SG	N;NOM;MASC;SG
liefde	mīlestība	liefde	mīlestība	N;SG	N;NOM;FEM;SG
liefde	mīla	liefde	mīlēt	N;SG	N;NOM;FEM;SG
gewees	bijis	wees	būt	V;PST;FIN	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
standaard	standartam	standaard	standarts	N;SG	N;DAT;MASC;SG
standaard	standarta	standaard	standarts	N;SG	N;GEN;MASC;SG
standaard	standarts	standaard	standarts	N;SG	N;NOM;MASC;SG
aanval	uzbrukums	aanval	uzbrukums	N;SG	N;NOM;MASC;SG
aanval	uzbrukumu	aanval	uzbrukums	N;SG	N;ACC;MASC;SG
aanval	uzbrukumā	aanval	uzbrukums	N;SG	N;ESS;MASC;SG
skrywers	rakstnieki	skrywer	rakstnieks	N;PL	N;NOM;MASC;PL
skrywers	autori	skrywer	autors	N;PL	N;NOM;MASC;PL
skrywers	autoriem	skrywer	autors	N;PL	N;DAT;MASC;PL
onafhanklik	neatkarīgi	onafhanklik	neatkarīgi	ADV	ADV
onafhanklik	neatkarīgi	onafhanklik	neatkarīgi	ADV	ADV
onafhanklik	patstāvīgi	onafhanklik	patstāvīgs	ADV	ADV
langer	ilgāk	lank	ilgi	ADV;CMPR	ADV;CMPR
katedraal	katedrāle	katedraal	katedrāle	N;SG	N;NOM;FEM;SG
klimaat	klimats	klimaat	klimats	N;SG	N;NOM;MASC;SG
vernietig	iznīcina	vernietig	iznīcināt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
vernietig	iznīcināt	vernietig	iznīcināt	V;PRS	V;POS;NFIN
sensus	skaitīšana	sensus	skaitīšana	N;SG	N;NOM;FEM;SG
skepe	kuģi	skeep	kuģis	N;PL	N;NOM;MASC;PL
skepe	kuģiem	skeep	kuģis	N;PL	N;DAT;MASC;PL
skepe	kuģus	skeep	kuģis	N;PL	N;ACC;MASC;PL
weermag	armija	weermag	armija	N;SG	N;NOM;FEM;SG
kos	pārtika	kos	pārtika	N;SG	N;NOM;FEM;SG
kos	ēdiens	kos	ēdiens	N;SG	N;NOM;MASC;SG
verminder	samazinātu	verminder	samazināt	V;PRS	V;COND;POS;FIN;ACT
verminder	samazina	verminder	samazināt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
verminder	jāsamazina	verminder	samazināt	V;PRS	V;POS;FIN;ACT
verminder	samazināt	verminder	samazināt	V;PRS	V;POS;NFIN
verminder	samazināt	verminder	samazināt	V;PRS	V;POS;NFIN
verminder	mazina	verminder	mazināt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
verminder	samazina	verminder	samazināt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
terugkeer	atdeve	terugkeer	atdeve	N;SG	N;NOM;FEM;SG
terugkeer	atgriešanas	terugkeer	atgriešana	N;SG	N;NOM;FEM;SG
terugkeer	atgriešanās	terugkeer	atgriešanās	N;SG	N;NOM;FEM;SG
afdeling	iedaļa	afdeling	iedaļa	N;SG	N;NOM;FEM;SG
afdeling	sadaļa	afdeling	sadaļa	N;SG	N;NOM;FEM;SG
afdeling	sekcija	afdeling	sekcija	N;SG	N;NOM;FEM;SG
rewolusie	revolūcija	rewolusie	revolūcija	N;SG	N;NOM;FEM;SG
atmosfeer	gaisotne	atmosfeer	gaisotne	N;SG	N;NOM;FEM;SG
atmosfeer	atmosfēra	atmosfeer	atmosfērs	N;SG	N;NOM;FEM;SG
atmosfeer	atmosfērā	atmosfeer	atmosfērs	N;SG	N;ESS;FEM;SG
plant	rūpnīca	plant	rūpnīca	N;SG	N;NOM;FEM;SG
plant	iekārta	plant	iekārta	N;SG	N;NOM;FEM;SG
plant	augs	plant	augt	N;SG	N;NOM;MASC;SG
plant	augu	plant	augs	N;SG	N;ACC;MASC;SG
ontmoet	satiekas	ontmoet	satikties	V;PRS	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
ontmoet	tiekas	ontmoet	tikties	V;PRS	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
ontmoet	sanāk	ontmoet	sanākt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
terrein	lauks	terrein	lauks	N;SG	N;NOM;MASC;SG
terrein	lauka	terrein	lauks	N;SG	N;GEN;MASC;SG
noem	minēt	noem	minēt	V;PRS	V;POS;NFIN
noem	pieminēt	noem	pieminēt	V;PRS	V;POS;NFIN
behandel	ārstētu	behandel	ārstēt	V;PRS	V;COND;POS;FIN;ACT
behandel	ārstēt	behandel	ārstēt	V;PRS	V;POS;NFIN
stuur	pārsūta	stuur	pārsūt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
stuur	nosūtīt	stuur	nosūtīt	V;PRS	V;POS;NFIN
stuur	sūtīt	stuur	sūtīt	V;PRS	V;POS;NFIN
verleen	piešķirt	verleen	piešķirt	V;PRS	V;POS;NFIN
belangrik	svarīgi	belangrik	svarīgi	ADV	ADV
area	teritorija	area	teritorija	N;SG	N;NOM;FEM;SG
area	platība	area	platība	N;SG	N;NOM;FEM;SG
area	apgabals	area	apgabals	N;SG	N;NOM;MASC;SG
area	laukums	area	laukums	N;SG	N;NOM;MASC;SG
aard	daba	aard	daba	N;SG	N;NOM;FEM;SG
aard	raksturs	aard	raksturs	N;SG	N;NOM;MASC;SG
aard	dabu	aard	daba	N;SG	N;ACC;FEM;SG
veld	lauks	veld	lauks	N;SG	N;NOM;MASC;SG
veld	lauka	veld	lauks	N;SG	N;GEN;MASC;SG
pogings	pūles	poging	pūle	N;PL	N;NOM;FEM;PL
pogings	centieni	poging	centieni	N;PL	N;NOM;MASC;PL
pogings	pūliņi	poging	pūliņš	N;PL	N;NOM;MASC;PL
pogings	mēģinājumi	poging	mēģinājums	N;PL	N;NOM;MASC;PL
moeilik	smagi	moeilik	smags	ADV	ADV
moeilik	grūti	moeilik	grūti	ADV	ADV
moeilik	grūti	moeilik	grūti	ADV	ADV
moeilik	sarežģīti	moeilik	sarežģīti	ADV	ADV
vra	prasīt	vra	prasīt	V;PRS	V;POS;NFIN
vra	jautāt	vra	jautāt	V;PRS	V;POS;NFIN
vra	lūgt	vra	lūgt	V;PRS	V;POS;NFIN
vra	jautā	vra	jautāt	V;PRS	V;FH;IND;SG;2;POS;PRS;FIN;ACT
sweedse	zviedru	sweeds	zviedrs	N;SG	N;ACC;MASC;SG
hart	sirds	hart	sirds	N;SG	N;NOM;FEM;SG
ernstige	nopietna	ernstig	nopietna	ADJ;NOM	ADJ;NOM;FEM;SG
ernstige	nopietns	ernstig	nopietns	ADJ;NOM	ADJ;NOM;MASC;SG
ernstige	nopietnas	ernstig	nopietna	ADJ;NOM	ADJ;NOM;FEM;PL
stelsels	sistēmas	stelsel	sistēma	N;PL	N;NOM;FEM;PL
getalle	numuri	getal	numurs	N;PL	N;NOM;MASC;PL
getalle	skaitļi	getal	skaitļi	N;PL	N;NOM;MASC;PL
politiek	politika	politiek	politika	N;SG	N;NOM;FEM;SG
politiek	politikā	politiek	politika	N;SG	N;ESS;FEM;SG
agtergrond	fons	agtergrond	fons	N;SG	N;NOM;MASC;SG
agtergrond	fona	agtergrond	fona	N;SG	N;NOM;MASC;SG
idee	doma	idee	doma	N;SG	N;NOM;FEM;SG
idee	ideja	idee	ideja	N;SG	N;NOM;FEM;SG
provinsies	valstis	provinsie	valsts	N;PL	N;NOM;FEM;PL
provinsies	apgabali	provinsie	apgabali	N;PL	N;NOM;MASC;PL
provinsies	novados	provinsie	novads	N;PL	N;ESS;MASC;PL
wêreldwyd	globāli	wêreldwyd	globālis	ADV	ADV
dekades	desmitgades	dekade	desmitgade	N;PL	N;NOM;FEM;PL
streke	reģioni	streke	reģions	N;PL	N;NOM;MASC;PL
filosofie	filozofija	filosofie	filozofija	N;SG	N;NOM;FEM;SG
godsdienstige	reliģiskās	godsdienstig	reliģiska	ADJ;NOM	ADJ;NOM;FEM;PL
pers	preses	pers	prese	N;PL	N;NOM;FEM;PL
tydskrif	žurnāls	tydskrif	žurnāls	N;SG	N;NOM;MASC;SG
afgeneem	samazināta	afneem	samazināt	V;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
afgeneem	pazemināts	afneem	pazemināt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
afgeneem	samazināts	afneem	samazināt	V;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
afgeneem	samazinājās	afneem	samazināties	V;PST;V.PTCP	V;FH;IND;3;POS;REFL;PST;FIN;ACT
koop	nopirkt	koop	nopirkt	V;PRS	V;POS;NFIN
koop	pirkt	koop	pirkt	V;PRS	V;POS;NFIN
voorkoms	izskats	voorkoms	izskats	N;SG	N;NOM;MASC;SG
voorkoms	sastopamība	voorkoms	sastopamība	N;SG	N;NOM;FEM;SG
voorkoms	sastopamību	voorkoms	sastapamība	N;SG	N;ACC;FEM;SG
saal	zālē	saal	zāle	N;SG	N;ESS;FEM;SG
spel	spēle	spel	spēle	N;SG	N;NOM;FEM;SG
bydrae	iemaksu	bydrae	iemaksa	N;SG	N;ACC;FEM;SG
bydrae	ieguldījums	bydrae	ieguldījums	N;SG	N;NOM;MASC;SG
bydrae	devums	bydrae	devums	N;SG	N;NOM;MASC;SG
brug	tilts	brug	tilts	N;SG	N;NOM;MASC;SG
brug	tilta	brug	tilts	N;SG	N;GEN;MASC;SG
vlae	karogi	vlaag	karogs	N;PL	N;NOM;MASC;PL
monument	piemineklis	monument	piemineklis	N;SG	N;NOM;MASC;SG
monument	pieminekļa	monument	piemineklis	N;SG	N;GEN;MASC;SG
behels	iesaista	behels	iesaistīt	V;PRS	V;FH;IND;3;POS;PRS;FIN;ACT
landbou	lauksaimniecība	landbou	lauksaimniecība	N;SG	N;NOM;FEM;SG
voorwerp	objekts	voorwerp	objekts	N;SG	N;NOM;MASC;SG
natuur	daba	natuur	daba	N;SG	N;NOM;FEM;SG
natuur	raksturs	natuur	raksturs	N;SG	N;NOM;MASC;SG
natuur	dabu	natuur	daba	N;SG	N;ACC;FEM;SG
produkte	izstrādājumi	produk	izstrādājums	N;PL	N;NOM;MASC;PL
produkte	produkti	produk	produkts	N;PL	N;NOM;MASC;PL
produkte	ražojumi	produk	ražojums	N;PL	N;NOM;MASC;PL
vereniging	apvienība	vereniging	apvienība	N;SG	N;NOM;FEM;SG
vereniging	biedrība	vereniging	biedrība	N;SG	N;NOM;FEM;SG
vereniging	asociācija	vereniging	asociācija	N;SG	N;NOM;FEM;SG
verstaan	saprast	verstaan	saprast	V;PRS	V;POS;NFIN
verstaan	izprast	verstaan	izprast	V;PRS	V;POS;NFIN
verstaan	saprotu	verstaan	saprast	V;PRS	V;FH;IND;SG;1;POS;PRS;FIN;ACT
komitee	komiteju	komitee	komiteja	N;SG	N;ACC;FEM;SG
komitee	komiteja	komitee	komiteja	N;SG	N;NOM;FEM;SG
belangstelling	interese	belangstelling	interese	N;SG	N;NOM;FEM;SG
griekeland	grieķijā	griekeland	grieķija	N;SG	N;ESS;FEM;SG
griekeland	grieķija	griekeland	grieķija	N;SG	N;NOM;FEM;SG
vrugte	auglis	vrug	auglis	N;SG	N;NOM;MASC;SG
gas	gāze	gas	gāze	N;SG	N;NOM;FEM;SG
gas	viesis	gas	viesis	N;SG	N;NOM;MASC;SG
stam	root	stam	root	N;SG	N
stam	sakne	stam	sakne	N;SG	N;NOM;FEM;SG
verlede	pagātni	verlede	pagātne	N;SG	N;ACC;FEM;SG
verlede	pagātne	verlede	pagātne	N;SG	N;NOM;FEM;SG
uiters	ārkārtīgi	uiters	ārkārtīgi	ADV	ADV
uiters	ārkārtīgi	uiters	ārkārtīgi	ADV	ADV
akademie	akadēmija	akademie	akadēmija	N;SG	N;NOM;FEM;SG
akademie	akadēmijā	akademie	akadēmija	N;SG	N;ESS;FEM;SG
aangewys	norādītā	aanwys	norādīt	V;PST;V.PTCP	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
motor	dzinējs	motor	dzinējs	N;SG	N;NOM;MASC;SG
motor	motors	motor	motors	N;SG	N;NOM;MASC;SG
motor	motora	motor	motors	N;SG	N;GEN;MASC;SG
motor	auto	motor	auto	N;SG	N
