con	sa	con	sa	ADP	ADP;INS
realizar	nastupa	realizar	nastupati	V;NFIN	V;IND;SG;3;PRS;FIN
bar	šank	bar	šank	N;MASC;SG	N;NOM;MASC;SG
medalla	medalju	medalla	medalja	N;FEM;SG	N;ACC;FEM;SG
medalla	medalja	medalla	medalja	N;FEM;SG	N;NOM;FEM;SG
medalla	orden	medalla	orden	N;FEM;SG	N;NOM;MASC;SG
función	funkcija	función	funkcija	N;FEM;SG	N;NOM;FEM;SG
función	funkciju	función	funkcija	N;FEM;SG	N;ACC;FEM;SG
usuarios	korisnike	usuario	korisnik	N;MASC;PL	N;ACC;MASC;PL
usuarios	korisnici	usuario	korisnik	N;MASC;PL	N;NOM;MASC;PL
usuarios	korisnika	usuario	korisnik	N;MASC;PL	N;GEN;MASC;PL
programas	programi	programa	program	N;MASC;PL	N;NOM;MASC;PL
programas	programe	programa	program	N;MASC;PL	N;ACC;MASC;PL
programas	programi	programa	program	N;MASC;PL	N;NOM;MASC;PL
calidad	kvalitet	calidad	kvalitet	N;FEM;SG	N;NOM;MASC;SG
calidad	kvaliteta	calidad	kvaliteta	N;FEM;SG	N;NOM;FEM;SG
artistas	izvođači	artista	izvođač	N;PL	N;NOM;MASC;PL
artistas	umjetnici	artista	umjetnik	N;PL	N;NOM;MASC;PL
similar	slično	similar	sličan	ADJ;SG	ADJ;NOM;DEF;NEUT;SG
similar	slična	similar	sličan	ADJ;SG	ADJ;NOM;DEF;FEM;SG
nuestra	naše	nuestro	naš	DET;FEM;SG;1	DET;NOM;FEM;SG;1
nuestra	naš	nuestro	naš	DET;FEM;SG;1	DET;NOM;MASC;SG;1
nuestra	naša	nuestro	naš	DET;FEM;SG;1	DET;NOM;FEM;SG;1
nuestra	naše	nuestro	naš	DET;FEM;SG;1	DET;NOM;FEM;SG;1
nuestra	naš	nuestro	naš	DET;FEM;SG;1	DET;NOM;MASC;SG;1
nuestra	naša	nuestro	naš	DET;FEM;SG;1	DET;NOM;FEM;SG;1
independencia	nezavisnost	independencia	nezavisnost	N;FEM;SG	N;NOM;FEM;SG
independencia	neovisnost	independencia	neovisnost	N;FEM;SG	N;NOM;FEM;SG
buena	dobar	buen	dobar	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
sistemas	sustavi	sistema	sustav	N;MASC;PL	N;NOM;MASC;PL
sistemas	sistemi	sistema	sistem	N;MASC;PL	N;NOM;MASC;PL
virgen	djevica	virgen	djevica	N;FEM;SG	N;NOM;FEM;SG
transporte	prevoz	transporte	prevoz	N;MASC;SG	N;NOM;MASC;SG
transporte	prijevoz	transporte	prijevoz	N;MASC;SG	N;NOM;MASC;SG
transporte	transport	transporte	transport	N;MASC;SG	N;NOM;MASC;SG
transporte	transporter	transporte	transporter	N;MASC;SG	N;NOM;MASC;SG
transporte	prevoz	transporte	prevoz	N;MASC;SG	N;NOM;MASC;SG
transporte	prijevoz	transporte	prijevoz	N;MASC;SG	N;NOM;MASC;SG
transporte	transport	transporte	transport	N;MASC;SG	N;NOM;MASC;SG
pueblos	gradove	pueblo	grad	N;MASC;PL	N;ACC;MASC;PL
pueblos	gradovi	pueblo	grad	N;MASC;PL	N;NOM;MASC;PL
pueblos	sela	pueblo	selo	N;MASC;PL	N;NOM;NEUT;PL
pueblos	selima	pueblo	selo	N;MASC;PL	N;DAT;NEUT;PL
pueblos	narodi	pueblo	narod	N;MASC;PL	N;NOM;MASC;PL
coordenadas	koordinate	coordenada	koordinat	N;FEM;PL	N;NOM;FEM;PL
valor	hrabrost	valor	hrabrost	N;MASC;SG	N;NOM;FEM;SG
valor	vrijednost	valor	vrijednost	N;MASC;SG	N;NOM;FEM;SG
unidad	jedinstvo	unidad	jedinstvo	N;FEM;SG	N;NOM;NEUT;SG
unidad	jedinica	unidad	jedinica	N;FEM;SG	N;NOM;FEM;SG
crear	stvori	crear	stvor	V;NFIN	V;IND;SG;3;PRS;FIN
crear	stvoriti	crear	stvoriti	V;NFIN	V;NFIN
imágenes	slike	imagen	slika	N;FEM;PL	N;NOM;FEM;PL
imágenes	slike	imagen	slika	N;FEM;PL	N;NOM;FEM;PL
inicio	kući	inicio	kuća	N;MASC;SG	N;DAT;FEM;SG
inicio	dom	inicio	dom	N;MASC;SG	N;NOM;MASC;SG
inicio	pocetak	inicio	pocetak	N;MASC;SG	N;NOM;MASC;SG
inicio	početak	inicio	početak	N;MASC;SG	N;NOM;MASC;SG
salud	zdravlje	salud	zdravlje	N;FEM;SG	N;NOM;NEUT;SG
salud	zdravlja	salud	zdravlje	N;FEM;SG	N;NOM;NEUT;SG
contiene	sadrži	contener	sadržati	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
idea	ideja	idea	ideja	N;FEM;SG	N;NOM;FEM;SG
idea	zamisao	idea	zamisao	N;FEM;SG	N;NOM;FEM;SG
llevó	vodio	llevar	voditi	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP;ACT
minutos	minuta	minuto	minuta	N;MASC;PL	N;NOM;FEM;PL
minutos	minute	minuto	minuta	N;MASC;PL	N;NOM;FEM;PL
minutos	min	minuto	min	N;MASC;PL	N
verano	ljeto	verano	ljeto	N;MASC;SG	N;NOM;NEUT;SG
sol	sunca	sol	sunac	N;MASC;SG	N;GEN;MASC;SG
sol	sunce	sol	sunce	N;MASC;SG	N;NOM;NEUT;SG
sol	sunce	sol	sunce	N;MASC;SG	N;NOM;NEUT;SG
sol	sol	sol	sol	N;MASC;SG	N;NOM;FEM;SG
teoría	teorija	teoría	teorija	N;FEM;SG	N;NOM;FEM;SG
revolución	revoluciju	revolución	revolucija	N;FEM;SG	N;ACC;FEM;SG
revolución	revolucija	revolución	revolucija	N;FEM;SG	N;NOM;FEM;SG
entrada	unos	entrada	unos	N;FEM;SG	N;NOM;MASC;SG
entrada	ulazak	entrada	ulazak	N;FEM;SG	N;NOM;MASC;SG
entrada	ulaz	entrada	ulaz	N;FEM;SG	N;NOM;MASC;SG
entrada	ulaz	entrada	ulaz	N;FEM;SG	N;NOM;MASC;SG
entrada	unos	entrada	unos	N;FEM;SG	N;NOM;MASC;SG
entrada	ulaz	entrada	ulaz	N;FEM;SG	N;NOM;MASC;SG
mando	naredba	mando	naredba	N;MASC;SG	N;NOM;FEM;SG
decidió	odlučio	decidir	odlučiti	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP;ACT
decidió	odlučila	decidir	odlučiti	V;IND;SG;3;PST;FIN	V;FEM;SG;PST;V.PTCP;ACT
ciencia	nauka	ciencia	nauk	N;FEM;SG	N;NOM;FEM;SG
ciencia	znanost	ciencia	znanost	N;FEM;SG	N;NOM;FEM;SG
dirigida	usmjerena	dirigido	usmjeriti	ADJ;FEM;SG;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP
dirigida	usmjereno	dirigido	usmjeriti	ADJ;FEM;SG;V.PTCP	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
records	records	records	records	N;MASC	N;NOM;MASC;SG
records	ploče	records	ploča	N;MASC	N;NOM;FEM;PL
records	zapisi	records	zapis	N;MASC	N;NOM;MASC;PL
aire	zrak	aire	zrak	N;MASC;SG	N;NOM;MASC;SG
aire	zraka	aire	zrak	N;MASC;SG	N;GEN;MASC;SG
sector	sektor	sector	sektor	N;MASC;SG	N;NOM;MASC;SG
sector	sektora	sector	sektor	N;MASC;SG	N;GEN;MASC;SG
importancia	važnost	importancia	važnost	N;FEM;SG	N;NOM;FEM;SG
importancia	značaj	importancia	značaj	N;FEM;SG	N;NOM;MASC;SG
importancia	značaj	importancia	značaj	N;FEM;SG	N;NOM;MASC;SG
ataque	napad	ataque	napad	N;MASC;SG	N;NOM;MASC;SG
flora	flora	flora	flora	N;FEM;SG	N;NOM;FEM;SG
comunicación	komunikacija	comunicación	komunikacija	N;FEM;SG	N;NOM;FEM;SG
comunicación	komunikacija	comunicación	komunikacija	N;FEM;SG	N;NOM;FEM;SG
puente	most	puente	most	N;MASC;SG	N;NOM;MASC;SG
puente	bridge	puente	bridge	N;MASC;SG	N;NOM;MASC;SG
matrimonio	brak	matrimonio	brak	N;MASC;SG	N;NOM;MASC;SG
material	materijal	material	materijal	N;MASC;SG	N;NOM;MASC;SG
material	materijal	material	materijal	N;MASC;SG	N;NOM;MASC;SG
mitad	polovina	mitad	polovina	N;FEM;SG	N;NOM;FEM;SG
mitad	polovica	mitad	polovica	N;FEM;SG	N;NOM;FEM;SG
realidad	realnost	realidad	realnost	N;FEM;SG	N;NOM;FEM;SG
realidad	stvarnost	realidad	stvarnost	N;FEM;SG	N;NOM;FEM;SG
cámara	odaja	cámara	odaja	N;FEM;SG	N;NOM;FEM;SG
cámara	komora	cámara	komora	N;FEM;SG	N;NOM;FEM;SG
cámara	komoru	cámara	komora	N;FEM;SG	N;ACC;FEM;SG
cámara	kameru	cámara	kamera	N;FEM;SG	N;ACC;FEM;SG
cámara	fotoaparat	cámara	fotoaparat	N;FEM;SG	N;NOM;MASC;SG
cámara	kamera	cámara	kamera	N;FEM;SG	N;NOM;FEM;SG
escudo	štit	escudo	štit	N;MASC;SG	N;NOM;MASC;SG
acceso	pristup	acceso	pristup	N;MASC;SG	N;NOM;MASC;SG
acceso	pristupi	acceso	pristupiti	N;MASC;SG	N;NOM;MASC;SG
clasificación	rejting	clasificación	rejting	N;FEM;SG	N;NOM;MASC;SG
clasificación	ocjena	clasificación	ocjena	N;FEM;SG	N;NOM;FEM;SG
clasificación	sortiranje	clasificación	sortiranje	N;FEM;SG	N;NOM;NEUT;SG
clasificación	klasifikacija	clasificación	klasifikacija	N;FEM;SG	N;NOM;FEM;SG
mano	mano	mano	mano	N;FEM;SG	N;NOM;MASC;SG
mano	ruka	mano	ruka	N;FEM;SG	N;NOM;FEM;SG
mano	ruku	mano	ruka	N;FEM;SG	N;ACC;FEM;SG
sigue	slijedi	seguir	slijediti	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
sociales	socijalne	social	socijalan	ADJ;PL	ADJ;NOM;DEF;FEM;PL
problema	problem	problema	problem	N;MASC;SG	N;NOM;MASC;SG
trabajos	poslovi	trabajo	posao	N;MASC;PL	N;NOM;MASC;PL
trabajos	radovi	trabajo	rad	N;MASC;PL	N;NOM;MASC;PL
elegido	odabrana	elegido	odabrati	ADJ;MASC;SG;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP
elegido	izabran	elegido	izabrati	ADJ;MASC;SG;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP;PASS
elegido	izabran	elegido	izabrati	ADJ;MASC;SG;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP;PASS
independiente	neovisna	independiente	neovisan	ADJ;SG	ADJ;NOM;DEF;FEM;SG
independiente	samostalna	independiente	samostalan	ADJ;SG	ADJ;NOM;DEF;FEM;SG
futbolista	nogometaš	futbolista	nogometaš	N;SG	N;NOM;MASC;SG
comercial	komercijalni	comercial	komercijalan	ADJ;SG	ADJ;NOM;DEF;MASC;SG
metal	metala	metal	metal	N;MASC;SG	N;GEN;MASC;SG
metal	metal	metal	metal	N;MASC;SG	N;NOM;MASC;SG
diario	dnevnik	diario	dnevnik	N;MASC;SG	N;NOM;MASC;SG
diario	dnevnik	diario	dnevnik	N;MASC;SG	N;NOM;MASC;SG
palabra	riječ	palabra	riječ	N;FEM;SG	N;NOM;FEM;SG
palabra	rijec	palabra	rijec	N;FEM;SG	N;NOM;FEM;SG
carácter	lik	carácter	lik	N;MASC;SG	N;NOM;MASC;SG
carácter	karakter	carácter	karakter	N;MASC;SG	N;NOM;MASC;SG
falta	manjak	falta	manjak	N;FEM;SG	N;NOM;MASC;SG
falta	nedostatak	falta	nedostatak	N;FEM;SG	N;NOM;MASC;SG
falta	manjka	falta	manjak	N;FEM;SG	N;GEN;MASC;SG
reina	matica	reina	matica	N;FEM;SG	N;NOM;FEM;SG
reina	kraljica	reina	kraljica	N;FEM;SG	N;NOM;FEM;SG
reina	reina	reina	rein	N;FEM;SG	N;NOM;FEM;SG
domingo	nedjelja	domingo	nedjelja	N	N;NOM;FEM;SG
domingo	nedelja	domingo	nedelja	N	N;NOM;FEM;SG
libertad	sloboda	libertad	sloboda	N;FEM;SG	N;NOM;FEM;SG
libertad	slobodu	libertad	sloboda	N;FEM;SG	N;ACC;FEM;SG
libertad	libertad	libertad	libertad	N;FEM;SG	N;NOM;FEM;SG
xviii	eighteenth	xviii	eighteenth	N	N;NOM;MASC;SG
unidades	jedinice	unidad	jedinica	N;FEM;PL	N;NOM;FEM;PL
capitán	kapetan	capitán	kapetan	N;MASC;SG	N;NOM;MASC;SG
bgcolor	bgcolor	bgcolor	bgcolor		
políticas	politike	política	politika	N;FEM;PL	N;NOM;FEM;PL
políticas	police	política	polica	N;FEM;PL	N;NOM;FEM;PL
jugó	igrao	jugar	igrati	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP;ACT
video	videozapis	video	videozapis	N;MASC;SG	N;NOM;MASC;SG
video	video	video	video	N;MASC;SG	N;NOM;MASC;SG
comisión	povjerenstvo	comisión	povjerenstvo	N;FEM;SG	N;NOM;NEUT;SG
comisión	komisija	comisión	komisija	N;FEM;SG	N;NOM;FEM;SG
comisión	odbor	comisión	odbor	N;FEM;SG	N;NOM;MASC;SG
comisión	komitet	comisión	komitet	N;FEM;SG	N;NOM;MASC;SG
lima	lima	lima	lima	N;FEM;SG	N;GEN;MASC;SG
lima	limun	lima	limun	N;FEM;SG	N;NOM;MASC;SG
alberto	albert	alberto	albert	N;MASC;SG	N;NOM;MASC;SG
alberto	alberto	alberto	alberto	N;MASC;SG	N;NOM;MASC;SG
comienza	počinje	comenzar	počinjati	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
comienza	započinje	comenzar	započinjati	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
comienza	počinje	comenzar	počinjati	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
velocidad	brzina	velocidad	brzina	N;FEM;SG	N;NOM;FEM;SG
objetos	objekti	objeto	objekt	N;MASC;PL	N;NOM;MASC;PL
objetos	objekte	objeto	objekt	N;MASC;PL	N;ACC;MASC;PL
objetos	predmeti	objeto	predmet	N;MASC;PL	N;NOM;MASC;PL
escribió	napisala	escribir	napisati	V;IND;SG;3;PST;FIN	V;FEM;SG;PST;V.PTCP;ACT
escribió	pisao	escribir	pisati	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP;ACT
escribió	napisao	escribir	napisati	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP;ACT
ministerio	ministarstvo	ministerio	ministarstvo	N;MASC;SG	N;NOM;NEUT;SG
creado	stvoreno	creado	stvoriti	ADJ;MASC;SG;V.PTCP	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
creado	stvorena	creado	stvoriti	ADJ;MASC;SG;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP
creado	stvoren	creado	stvoriti	ADJ;MASC;SG;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP
oriental	orijentalni	oriental	orijentalan	ADJ;SG	ADJ;NOM;DEF;MASC;SG
oriental	istočna	oriental	istočan	ADJ;SG	ADJ;NOM;DEF;FEM;SG
hermanos	braća	hermano	braća	N;MASC;PL	N;NOM;MASC;PL
edificios	građevine	edificio	građevina	N;MASC;PL	N;NOM;FEM;PL
cosas	stvari	cosa	stvar	N;FEM;PL	N;NOM;FEM;PL
cosas	stvari	cosa	stvar	N;FEM;PL	N;NOM;FEM;PL
áfrica	afrika	áfrico	afrika	N;FEM;SG	N;NOM;FEM;SG
izquierda	lijeva	izquierda	lijevo	N;FEM;SG	N;NOM;FEM;SG
cambios	izmjene	cambio	izmjena	N;MASC;PL	N;NOM;FEM;PL
cambios	promjene	cambio	promjena	N;MASC;PL	N;NOM;FEM;PL
alfonso	alphonse	alfonso	alphonsa	N;MASC;SG	N;NOM;MASC;SG
alfonso	alfonso	alfonso	alfonso	N;MASC;SG	N;NOM;MASC;SG
lanzado	pušten	lanzado	pušten	ADJ;MASC;SG;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP;PASS
lanzado	puštena	lanzado	pustiti	ADJ;MASC;SG;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP
lanzado	pokrenuta	lanzado	pokrenuti	ADJ;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP;PASS
bandera	zastava	bandera	zastava	N;FEM;SG	N;NOM;FEM;SG
bandera	natpis	bandera	natpis	N;FEM;SG	N;NOM;MASC;SG
bandera	banner	bandera	banner	N;FEM;SG	N;NOM;MASC;SG
videojuegos	videoigre	videojuego	videoigra	N;MASC;PL	N;NOM;FEM;PL
rica	bogata	rico	bogat	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
rica	bogat	rico	bogat	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
rica	bogati	rico	bogat	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
verde	zeleno	verde	zelen	ADJ;SG	ADJ;NOM;NEUT;SG
verde	zeleni	verde	zelen	ADJ;SG	ADJ;NOM;DEF;MASC;SG
verde	zelen	verde	zelen	ADJ;SG	ADJ;NOM;INDF;MASC;SG
verde	zelena	verde	zelen	ADJ;SG	ADJ;NOM;DEF;FEM;SG
templo	hram	templo	hram	N;MASC;SG	N;NOM;MASC;SG
raza	raza	raza	raza	N;FEM;SG	N;NOM;FEM;SG
raza	sorta	raza	sort	N;FEM;SG	N;NOM;FEM;SG
raza	utrka	raza	utrka	N;FEM;SG	N;NOM;FEM;SG
raza	trka	raza	trka	N;FEM;SG	N;NOM;FEM;SG
raza	rasa	raza	ras	N;FEM;SG	N;NOM;FEM;SG
avenida	avenue	avenida	avenue	N;FEM;SG	N;NOM;MASC;SG
avenida	avenija	avenida	avenija	N;FEM;SG	N;NOM;FEM;SG
regional	regionalno	regional	regionalno	ADJ;SG	ADJ;NOM;NEUT;SG
regional	regionalni	regional	regionalan	ADJ;SG	ADJ;NOM;DEF;MASC;SG
biblioteca	knjižnica	biblioteca	knjižnica	N;FEM;SG	N;NOM;FEM;SG
biblioteca	biblioteka	biblioteca	biblioteka	N;FEM;SG	N;NOM;FEM;SG
publicó	postavio	publicar	postaviti	V;IND;SG;3;PST;FIN	V;MASC;SG;PST;V.PTCP;ACT
títulos	naslovi	título	naslov	N;MASC;PL	N;NOM;MASC;PL
títulos	titule	título	titul	N;MASC;PL	N;NOM;FEM;PL
títulos	stupnjeva	título	stupanj	N;MASC;PL	N;GEN;MASC;PL
títulos	diplome	título	diploma	N;MASC;PL	N;NOM;FEM;PL
reporte	izvješće	reportar	izvješće	N;MASC;SG	N;NOM;NEUT;SG
reporte	izvještaj	reportar	izvještaj	N;MASC;SG	N;NOM;MASC;SG
blancos	bijelci	blanco	bijelac	N;MASC;PL	N;NOM;MASC;PL
blancos	mete	blanco	meti	N;MASC;PL	N;NOM;FEM;PL
diez	deset	diez	deset	NUM;PL	NUM
ángel	anđela	ángel	anđeo	N;MASC;SG	N;ACC;MASC;SG
ángel	anđeo	ángel	anđeo	N;MASC;SG	N;NOM;MASC;SG
ecuador	ekvator	ecuador	ekvator	N;MASC;SG	N;NOM;MASC;SG
ecuador	ekvadoru	ecuador	ekvador	N;MASC;SG	N;DAT;MASC;SG
productos	proizvode	producto	proizvod	N;MASC;PL	N;ACC;MASC;PL
productos	proizvodi	producto	proizvod	N;MASC;PL	N;NOM;MASC;PL
salvador	spasitelj	salvador	spasitelj	N;MASC;SG	N;NOM;MASC;SG
salvador	spasitelja	salvador	spasitelj	N;MASC;SG	N;ANIM;ACC;MASC;SG
salvador	spasilac	salvador	spasilac	N;MASC;SG	N;NOM;MASC;SG
salvador	spasitelj	salvador	spasitelj	N;MASC;SG	N;NOM;MASC;SG
salvador	spasilac	salvador	spasilac	N;MASC;SG	N;NOM;MASC;SG
manos	ruke	mano	ruka	N;FEM;PL	N;NOM;FEM;PL
carretera	autoputu	carretera	autoputa	N;FEM;SG	N;DAT;MASC;SG
carretera	autoput	carretera	autoput	N;FEM;SG	N;NOM;MASC;SG
carretera	autocesta	carretera	autocesta	N;FEM;SG	N;NOM;FEM;SG
carretera	put	carretera	put	N;FEM;SG	N;NOM;MASC;SG
carretera	cestom	carretera	cest	N;FEM;SG	N;INS;FEM;SG
carretera	cesta	carretera	cesta	N;FEM;SG	N;NOM;FEM;SG
escrito	napisano	escrito	napisati	ADJ;MASC;SG;V.PTCP	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
escrito	zapisano	escrito	zapisati	ADJ;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP;PASS
escrito	napisana	escrito	napisati	ADJ;MASC;SG;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP;PASS
escrito	pisano	escrito	pisano	ADJ;MASC;SG;V.PTCP	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
industria	industrije	industria	industrija	N;FEM;SG	N;NOM;FEM;SG
industria	industrija	industria	industrija	N;FEM;SG	N;NOM;FEM;SG
entrenador	trener	entrenador	trener	N;MASC;SG	N;NOM;MASC;SG
entrenador	trener	entrenador	trener	N;MASC;SG	N;NOM;MASC;SG
entrenador	treneru	entrenador	trener	N;MASC;SG	N;DAT;MASC;SG
palabras	riječi	palabra	riječ	N;FEM;PL	N;NOM;FEM;PL
palabras	reči	palabra	reči	N;FEM;PL	N;NOM;FEM;PL
padres	očeve	padre	očeva	N;MASC;PL	N;NOM;FEM;PL
padres	očevi	padre	očeva	N;MASC;PL	N;NOM;MASC;PL
padres	roditelji	padre	roditelj	N;MASC;PL	N;NOM;MASC;PL
padres	roditelje	padre	roditelj	N;MASC;PL	N;ACC;MASC;PL
policía	pandur	policía	pandur	N;SG	N;NOM;MASC;SG
policía	policajac	policía	policajac	N;SG	N;NOM;MASC;SG
policía	policija	policía	policija	N;SG	N;NOM;FEM;SG
policía	policajac	policía	policajac	N;SG	N;NOM;MASC;SG
líder	lider	líder	lider	N;SG	N;NOM;MASC;SG
líder	vođa	líder	vođa	N;SG	N;NOM;MASC;SG
fondo	fond	fondo	fond	N;MASC;SG	N;NOM;MASC;SG
fondo	pozadina	fondo	pozadina	N;MASC;SG	N;NOM;FEM;SG
productor	producent	productor	producent	N;MASC;SG	N;NOM;MASC;SG
gira	turneja	gira	turan	N;FEM;SG	N;NOM;FEM;SG
gira	tura	gira	tura	N;FEM;SG	N;NOM;FEM;SG
gira	obilazak	gira	obilazak	N;FEM;SG	N;NOM;MASC;SG
técnica	tehničar	técnica	tehničar	N;FEM;SG	N;NOM;MASC;SG
técnica	tehnika	técnica	tehnik	N;FEM;SG	N;NOM;FEM;SG
príncipe	kraljević	príncipe	kraljević	N;MASC;SG	N;NOM;MASC;SG
príncipe	princ	príncipe	princ	N;MASC;SG	N;NOM;MASC;SG
áreas	područja	área	područje	N;FEM;PL	N;NOM;NEUT;PL
encontrar	pronađite	encontrar	pronaći	V;NFIN	V;IMP;PL;2;FIN
encontrar	naći	encontrar	naći	V;NFIN	V;NFIN
encontrar	nađi	encontrar	nađi	V;NFIN	V;IMP;SG;2;FIN
encontrar	pronađi	encontrar	pronaći	V;NFIN	V;IND;SG;2;PRS;FIN
plan	plan	plan	plan	N;MASC;SG	N;NOM;MASC;SG
plan	plana	plan	plan	N;MASC;SG	N;GEN;MASC;SG
artista	zabavljač	artista	zabavljač	N;SG	N;NOM;MASC;SG
artista	izvođač	artista	izvođač	N;SG	N;NOM;MASC;SG
artista	umjetnica	artista	umjetnica	N;SG	N;NOM;FEM;SG
artista	umjetnik	artista	umjetnik	N;SG	N;NOM;MASC;SG
artista	izvođač	artista	izvođač	N;SG	N;NOM;MASC;SG
formas	oblici	forma	oblik	N;FEM;PL	N;NOM;MASC;PL
formas	oblike	forma	oblik	N;FEM;PL	N;ACC;MASC;PL
formas	oblici	forma	oblik	N;FEM;PL	N;NOM;MASC;PL
formas	forme	forma	forma	N;FEM;PL	N;NOM;FEM;PL
formas	načine	forma	način	N;FEM;PL	N;ACC;MASC;PL
formas	načini	forma	način	N;FEM;PL	N;NOM;MASC;PL
rafael	raphael	rafael	raphael	N;MASC;SG	N;NOM;MASC;SG
rafael	rafael	rafael	rafael	N;MASC;SG	N;NOM;MASC;SG
rafael	rafael	rafael	rafael	N;MASC;SG	N;NOM;MASC;SG
rafael	rafaela	rafael	rafael	N;MASC;SG	N;ACC;MASC;SG
atlético	atletico	atlético	atletico	N;MASC;SG	N;NOM;MASC;SG
atlético	atlético	atlético	atlético	N;MASC;SG	N;NOM;MASC;SG
catedral	katedrala	catedral	katedrala	N;FEM;SG	N;NOM;FEM;SG
generalmente	općenito	generalmente	općenito	ADV	ADV
generalmente	generalno	generalmente	generalno	ADV	ADV
generalmente	obično	generalmente	obično	ADV	ADV
cuarto	četvrti	cuarto	četvrti	ADJ;MASC;SG	ADJ;NOM;MASC;SG
cuarto	četvrta	cuarto	četvrt	ADJ;MASC;SG	ADJ;NOM;FEM;SG
cuarto	četvrto	cuarto	četvrti	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
colección	prikupljanje	colección	prikupljanje	N;FEM;SG	N;NOM;NEUT;SG
colección	zbirka	colección	zbirka	N;FEM;SG	N;NOM;FEM;SG
colección	kolekcija	colección	kolekcija	N;FEM;SG	N;NOM;FEM;SG
cadena	string	cadena	string	N;FEM;SG	N;NOM;MASC;SG
cadena	lanac	cadena	lanac	N;FEM;SG	N;NOM;MASC;SG
music	muzika	music	muzika	N	N;NOM;FEM;SG
music	glazba	music	glazba	N	N;NOM;FEM;SG
reyes	kraljevi	rey	kralj	N;MASC;PL	N;NOM;MASC;PL
reyes	kraljeva	rey	kralj	N;MASC;PL	N;GEN;MASC;PL
combate	bitku	combate	bitka	N;MASC;SG	N;ACC;FEM;SG
combate	boj	combate	boj	N;MASC;SG	N;NOM;MASC;SG
combate	bitka	combate	bitka	N;MASC;SG	N;NOM;FEM;SG
azul	plavo	azul	plav	ADJ;SG	ADJ;NOM;DEF;NEUT;SG
azul	plavi	azul	plav	ADJ;SG	ADJ;NOM;DEF;MASC;SG
azul	plava	azul	plav	ADJ;SG	ADJ;NOM;DEF;FEM;SG
motivo	motiva	motivo	motiv	N;MASC;SG	N;NOM;MASC;SG
motivo	motiv	motivo	motiv	N;MASC;SG	N;NOM;MASC;SG
motivo	razum	motivo	razum	N;MASC;SG	N;NOM;MASC;SG
motivo	razlog	motivo	razlog	N;MASC;SG	N;NOM;MASC;SG
motivo	molbu	motivo	molba	N;MASC;SG	N;ACC;FEM;SG
líneas	crte	línea	crta	N;FEM;PL	N;NOM;FEM;PL
líneas	linije	línea	linija	N;FEM;PL	N;NOM;FEM;PL
páginas	stranice	página	stranica	N;FEM;PL	N;NOM;FEM;PL
españoles	španjolci	español	španjolac	N;MASC;PL	N;NOM;MASC;PL
medida	mjera	medida	mjera	N;FEM;SG	N;NOM;FEM;SG
medida	mjeri	medida	mjera	N;FEM;SG	N;DAT;FEM;SG
medida	mjerenje	medida	mjerenje	N;FEM;SG	N;NOM;NEUT;SG
influencia	utjecaj	influencia	utjecaj	N;FEM;SG	N;NOM;MASC;SG
influencia	uticaj	influencia	uticaj	N;FEM;SG	N;NOM;MASC;SG
lago	jezero	lago	jezero	N;MASC;SG	N;NOM;NEUT;SG
condiciones	uvjete	condición	uvjet	N;FEM;PL	N;ACC;MASC;PL
condiciones	uvjeti	condición	uvjet	N;FEM;PL	N;NOM;MASC;PL
condiciones	uslovi	condición	uslov	N;FEM;PL	N;NOM;MASC;PL
condiciones	uvjete	condición	uvjet	N;FEM;PL	N;ACC;MASC;PL
