den	den	den	den	PRO;ACC;MASC+FEM;SG;3	PRO;SG;3
indflydelse	innflytelse	indflydelse	innflytels	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
indflydelse	påvirkning	indflydelse	påvirkning	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
bror	broder	bror	broder	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
bror	brother	bror	brother	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
bror	bror	bror	bror	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
retning	retning	retning	retning	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
let	enkel	let	enkel	ADJ;INDF;SG	ADJ;INDF;SG
let	enkelt	let	enkel	ADJ;INDF;SG	ADJ;INDF;NEUT;SG
let	rolig	let	rolig	ADJ;INDF;SG	ADJ;INDF;NEUT;SG
let	lett	let	lett	ADJ;INDF;SG	ADJ;INDF;NEUT;SG
johannes	johannes	johan	johannes	N;GEN;INDF;MASC+FEM;SG	N;INDF;MASC;SG
johannes	john	johan	john	N;GEN;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kunst	art	kunst	art	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kunst	kunst	kunst	kunst	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
historisk	historisk	historisk	historisk	ADJ;INDF;SG	ADJ;INDF;NEUT;SG
historisk	historisk	historisk	historisk	ADJ;INDF;SG	ADJ;INDF;NEUT;SG
historisk	historisk	historisk	historisk	ADJ;INDF;SG	ADJ;INDF;NEUT;SG
guld	gull	guld	gull	N;INDF;NEUT;SG	N;INDF;NEUT;SG
måneder	måneder	måned	måned	N;INDF;MASC+FEM;PL	N;INDF;MASC;PL
styrke	styrke	styrke	styrke	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sæsonen	sesongen	sæson	sesong	N;DEF;MASC+FEM;SG	N;DEF;MASC;SG
slot	castle	slå	castle	N;INDF;NEUT;SG	N
slot	slott	slå	slott	N;INDF;NEUT;SG	N;INDF;NEUT;SG
slot	palass	slå	palass	N;INDF;NEUT;SG	N;INDF;NEUT;SG
slot	palace	slå	palace	N;INDF;NEUT;SG	N;INDF;MASC;SG
sommer	summer	sommer	summer	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
sommer	sommer	sommer	sommer	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sommer	sommer	sommer	sommer	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
centrale	centrale	central	central	ADJ;PL	ADJ;PL
klub	club	klub	club	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
klub	klubb	klub	klubb	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
placeret	plasserte	placere	plassere	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN
hvorfor	kvifor	hvorfor	kvifor	ADV	ADV
henvisning	henvisning	henvisning	henvisning	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
henvisning	aktelse	henvisning	aktelse	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
henvisning	referanse	henvisning	referanse	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
gerne	gjerne	gerne	gjerne	ADV	ADV
holdet	laget	hold	lag	N;DEF;NEUT;SG	N;DEF;NEUT;SG
roman	roman	roman	roman	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
roman	roman	roman	roman	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
fald	reduser	fald	redus	N;INDF;NEUT;SG	N;INDF;FEM;SG
fald	minsk	fald	minsk	N;INDF;NEUT;SG	N;INDF;MASC;SG
fald	nedgang	fald	nedgang	N;INDF;NEUT;SG	N;INDF;MASC;SG
fald	høst	fald	høst	N;INDF;NEUT;SG	N;INDF;MASC;SG
bygninger	bygninger	bygning	bygninger	N;INDF;MASC+FEM;PL	N;INDF;MASC;PL
jul	jul	jul	jul	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
jul	christmas	jul	christmas	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
radio	radio	radio	radio	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kultur	kultur	kultur	kultur	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
information	informasjon	information	informasjon	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
befolkning	befolkning	befolkning	befolkning	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
finalen	finalen	finale	finale	N;DEF;MASC+FEM;SG	N;DEF;MASC;SG
stil	stil	stil	stil	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
roskilde	roskilde	roskilde	roskild	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
politik	policy	politik	policy	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
politik	politikk	politik	politikk	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
politik	politikk	politik	politikk	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
skete	hendte	ske	hende	V;IND;PST;FIN;ACT	V;IND;PST;FIN
skete	skjedde	ske	skje	V;IND;PST;FIN;ACT	V;IND;PST;FIN
skete	skjedd	ske	skje	V;IND;PST;FIN;ACT	V;V.PTCP
offentlige	offentlige	offentlig	offentlige	ADJ;PL	ADJ;PL
tjeneste	servise	tjen	servise	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
tjeneste	tjeneste	tjen	tjeneste	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
tjeneste	service	tjen	service	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
vinder	vinne	vinde	vinne	V;IND;PRS;FIN;ACT	V;NFIN
vinder	vinn	vinde	vinne	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
vinder	vinne	vinde	vinne	V;IND;PRS;FIN;ACT	V;NFIN
uddannelse	trening	uddannelse	trening	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
uddannelse	opplæring	uddannelse	opplæring	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
uddannelse	utdannelse	uddannelse	utdannelse	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
uddannelse	utdanning	uddannelse	utdanning	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
længde	lengde	længde	lengje	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
længde	lengdegrad	længde	lengdegrad	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
lever	lever	leve	leve	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
single	single	single	single	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
single	singel	single	singel	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
club	club	club	club	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
club	klubb	club	klubb	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
komponist	komponist	komponist	komponist	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
komponist	publiseringsverktøy	komponist	publiseringsverktøy	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
point	poeng	point	poeng	N;INDF;NEUT;SG	N;INDF;NEUT;SG
point	poeng	point	poeng	N;INDF;NEUT;SG	N;INDF;NEUT;SG
point	punkt	point	punkt	N;INDF;NEUT;SG	N;INDF;NEUT;SG
point	point	point	poin	N;INDF;NEUT;SG	N;INDF;MASC;SG
manuskript	filmmanus	manuskript	filmmanus	N;INDF;NEUT;SG	N;INDF;MASC;SG
manuskript	manuskript	manuskript	manuskript	N;INDF;NEUT;SG	N;INDF;NEUT;SG
manuskript	manus	manuskript	manus	N;INDF;NEUT;SG	N;INDF;NEUT;SG
følger	følger	følge	følge	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
følger	følger	følge	følge	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
følger	følger	følge	følge	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
følger	tilhenger	følge	tilhenger	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
følger	følger	følge	følge	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
frederiksberg	frederiksberg	frederiksberg	frederiksberg	N;INDF;NEUT;SG	N;INDF;MASC;SG
virksomhed	firma	virksomhed	firme	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
virksomhed	selskap	virksomhed	selskap	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
virksomhed	kompani	virksomhed	kompani	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
virksomhed	bedrift	virksomhed	bedrift	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
virksomhed	business	virksomhed	business	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
virksomhed	virksomhet	virksomhed	virksomhet	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
virksomhed	bedrift	virksomhed	bedrift	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
virksomhed	enterprise	virksomhed	enterprise	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
skolen	skolen	skole	skole	N;DEF;MASC+FEM;SG	N;DEF;MASC;SG
skolen	skulen	skole	skule	N;DEF;MASC+FEM;SG	N;DEF;MASC;SG
ellers	ellers	ellers	ellers	ADV	ADV
nationale	nasjonale	national	nasjonal	ADJ;PL	ADJ;PL
anvendt	søkte	anvende	søkje	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN
spil	spill	spil	spill	N;INDF;NEUT;SG	N;INDF;NEUT;SG
spil	kampstart	spil	kampstart	N;INDF;NEUT;SG	N;INDF;MASC;SG
spil	game	spil	game	N;INDF;NEUT;SG	N
spil	spill	spil	spill	N;INDF;NEUT;SG	N;INDF;NEUT;SG
spil	spel	spil	spel	N;INDF;NEUT;SG	N;INDF;NEUT;SG
spil	games	spil	game	N;INDF;NEUT;SG	N;INDF;MASC;SG
spil	avspilling	spil	avspilling	N;INDF;NEUT;SG	N;INDF;FEM;SG
spil	leke	spil	leke	N;INDF;NEUT;SG	N;INDF;FEM;SG
spil	lek	spil	lek	N;INDF;NEUT;SG	N;INDF;MASC;SG
spil	spill	spil	spill	N;INDF;NEUT;SG	N;INDF;NEUT;SG
fulgte	fulgte	følge	følgje	V;IND;PST;FIN;ACT	V;IND;PST;FIN
prins	prince	prins	prince	N;INDF;MASC+FEM;SG	N
prins	prins	prins	prins	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
møller	mills	mølle	mills	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
forlag	utgiver	forlag	utgive	N;INDF;NEUT;SG	N;INDF;FEM;SG
forlag	forlegger	forlag	forlegg	N;INDF;NEUT;SG	N;INDF;MASC;SG
forlag	forlag	forlag	forlag	N;INDF;NEUT;SG	N;INDF;NEUT;SG
forlag	utgiver	forlag	utgive	N;INDF;NEUT;SG	N;INDF;FEM;SG
mark	marker	mark	marker	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mark	mark	mark	mark	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
time	hour	time	hour	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
time	time	time	time	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ledelse	lederskap	ledelse	lederskap	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
ledelse	management	ledelse	management	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
ledelse	ledelse	ledelse	ledelse	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ledelse	styring	ledelse	styring	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
dronning	dronning	dronning	dronning	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
britisk	britisk	britisk	britisk	ADJ;INDF;SG	ADJ;INDF;SG
sluttede	endte	slutte	ende	V;IND;PST;FIN;ACT	V;IND;PST;FIN
sovjetunionen	sovjetunionen	sovjetunion	sovjetunion	N;DEF;MASC+FEM;SG	N;DEF;MASC;SG
heller	heller	heller	heller	ADV	ADV
etableret	etablerte	etablere	etablere	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN
alene	åleine	alene	åleine	ADV	ADV
alene	aleine	alene	aleine	ADV	ADV
hustru	wife	hustru	wife	N;INDF;MASC+FEM;SG	N
hustru	kone	hustru	kone	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
hustru	hustru	hustru	hustru	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
hovedstad	kapital	hovedstad	kapital	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
hovedstad	capital	hovedstad	capital	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
hovedstad	hovedstad	hovedstad	hovedstad	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
dyr	animals	dyr	animals	N;INDF;NEUT;SG	N;INDF;MASC;SG
dyr	dyr	dyr	dyr	N;INDF;NEUT;SG	N;INDF;NEUT;SG
dyr	animal	dyr	animal	N;INDF;NEUT;SG	N;INDF;MASC;SG
dyr	dyr	dyr	dyr	N;INDF;NEUT;SG	N;INDF;NEUT;SG
stemme	avstemning	stemme	avstemning	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
stemme	stemme	stemme	stemme	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
stemme	stem	stemme	stem	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
stemme	voice	stemme	voice	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
stemme	røst	stemme	røst	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
stemme	stemme	stemme	stemme	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
tekst	tekst	tekst	tekst	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
nordisk	nordisk	nordisk	nordisk	ADJ;INDF;SG	ADJ;INDF;SG
charles	charles	charles	charlas	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
livet	livet	liv	liv	N;DEF;NEUT;SG	N;DEF;NEUT;SG
stockholm	stockholm	stockholm	stockholm	N;INDF;NEUT;SG	N;INDF;NEUT;SG
stockholm	stockholms	stockholm	stockholm	N;INDF;NEUT;SG	N;INDF;MASC;SG
mente	mente	mene	mente	V;IND;PST;FIN;ACT	V;IND;PST;FIN
sanger	sanger	sang	sanger	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
bane	bane	bane	bane	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
bane	bann	bane	bann	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
bane	rullebane	bane	rulleb	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
bane	lane	bane	lane	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
bane	bane	bane	bane	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
solgt	solgte	sælge	solgje	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN
interesse	rente	interesse	rente	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
interesse	interesse	interesse	interesse	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
georg	georg	georg	georg	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kejser	keiser	kejse	keise	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
link	link	link	link	N;INDF;NEUT;SG	N;INDF;MASC;SG
link	kobling	link	kobling	N;INDF;NEUT;SG	N;INDF;FEM;SG
link	lenke	link	lenke	N;INDF;NEUT;SG	N;INDF;MASC;SG
sker	skjer	ske	skje	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
sker	skjer	ske	skje	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
aug	aug	aug	aug	N;INDF;MASC+FEM;SG	N
løb	run	løb	run	N;INDF;NEUT;SG	N;INDF;SG
løb	kjør	løb	kjør	N;INDF;NEUT;SG	N;INDF;MASC;SG
løb	løp	løb	løp	N;INDF;NEUT;SG	N;INDF;NEUT;SG
skabe	opprette	skabe	opprette	V;NFIN;ACT	V;NFIN
skabe	skape	skabe	skape	V;NFIN;ACT	V;IMP;NFIN
udtryk	betingelser	udtryk	betingelse	N;INDF;NEUT;SG	N;INDF;MASC;SG
udtryk	uttrykk	udtryk	uttrykk	N;INDF;NEUT;SG	N;INDF;NEUT;SG
udtryk	uttrykk	udtryk	uttrykk	N;INDF;NEUT;SG	N;INDF;NEUT;SG
fri	gratis	fri	gratis	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
fri	fri	fri	fri	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;SG
fri	ledig	fri	ledig	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;SG
fri	fritt	fri	fri	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
ende	avslutt	ende	avslutt	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ende	ende	ende	ende	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ende	slutt	ende	slutt	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
instruktør	direktør	instruktør	direktør	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
instruktør	regissør	instruktør	regissør	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
instruktør	instruktør	instruktør	instruktør	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
siger	sier	sige	seie	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
siger	sier	sige	seie	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
vinde	vinne	vinde	vinne	V;NFIN;ACT	V;NFIN
vinde	vinn	vinde	vinne	V;NFIN;ACT	V;IND;PRS;FIN
vinde	vinne	vinde	vinne	V;NFIN;ACT	V;NFIN
krav	påstander	krav	påstand	N;INDF;NEUT;SG	N;INDF;FEM;SG
krav	krav	krav	krav	N;INDF;NEUT;SG	N;INDF;NEUT;SG
lærer	lærer	lære	lære	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
lærer	lærer	lære	lære	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
sejr	victory	sejr	victory	N;INDF;MASC+FEM;SG	N
grænser	grenser	grænse	grense	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
grænser	grenser	grænse	grense	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
grænser	begrensninger	grænse	begrensning	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
grænser	grenser	grænse	grense	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
alligevel	likevel	alligevel	likevel	ADV	ADV
alligevel	uansett	alligevel	uansett	ADV	ADV
alligevel	enda	alligevel	enda	ADV	ADV
alligevel	enno	alligevel	enno	ADV	ADV
alligevel	likevel	alligevel	likevel	ADV	ADV
alligevel	ennå	alligevel	ennå	ADV	ADV
italienske	italienske	italiensk	italiensk	ADJ;PL	ADJ;PL
valg	utvalg	valg	utvalg	N;INDF;NEUT;SG	N;INDF;NEUT;SG
valg	valg	valg	valg	N;INDF;NEUT;SG	N;INDF;NEUT;SG
valg	valg	valg	valg	N;INDF;NEUT;SG	N;INDF;NEUT;SG
valg	valg	valg	valg	N;INDF;NEUT;SG	N;INDF;NEUT;SG
træk	trekk	træk	trekk	N;INDF;NEUT;SG	N;INDF;NEUT;SG
træk	pull	træk	pull	N;INDF;NEUT;SG	N;INDF;NEUT;SG
træk	drag	træk	drag	N;INDF;NEUT;SG	N;INDF;NEUT;SG
træk	draw	træk	draw	N;INDF;NEUT;SG	N
træk	trekk	træk	trekk	N;INDF;NEUT;SG	N;INDF;NEUT;SG
træk	tegne	træk	ta	N;INDF;NEUT;SG	N;INDF;FEM;SG
rejse	reise	rejse	reise	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
rejse	reise	rejse	reise	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
udover	dessuten	udover	dessuten	ADV	ADV
modsætning	kontrast	modsætning	kontrast	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
baggrund	bakgrunn	baggrund	bakgrunn	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
feb	feb	feb	feb	N;INDF;MASC+FEM;SG	N
sep	sept	sep	sept	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
sep	sep	sep	sep	N;INDF;MASC+FEM;SG	N
militære	militære	militær	militær	ADJ;PL	ADJ;PL
delstat	stat	delstat	stat	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
delstat	tilstand	delstat	tilstand	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
delstat	delstat	delstat	delstat	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
chef	høvding	chef	høvding	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
chef	sjef	chef	sjef	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
chef	boss	chef	boss	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
model	modell	model	modell	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
russisk	russisk	russisk	russisk	ADJ;INDF;SG	ADJ;INDF;NEUT;SG
litteratur	litteratur	litteratur	litteratur	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
forsøgte	forsøkte	forsøge	forsøkje	V;IND;PST;FIN;ACT	V;IND;PST;FIN
forsøgte	prøvde	forsøge	prøve	V;IND;PST;FIN;ACT	V;IND;PST;FIN
forsøgte	forsøkte	forsøge	forsøkje	V;IND;PST;FIN;ACT	V;IND;PST;FIN
selskab	firma	selskab	firme	N;INDF;NEUT;SG	N;INDF;NEUT;SG
selskab	selskap	selskab	selskap	N;INDF;NEUT;SG	N;INDF;NEUT;SG
selskab	kompani	selskab	kompani	N;INDF;NEUT;SG	N;INDF;NEUT;SG
selskab	bedrift	selskab	bedrift	N;INDF;NEUT;SG	N;INDF;FEM;SG
slået	slo	slå	slå	V;INDF;SG;PST;V.PTCP	V;IND;PST;FIN
tidsskrift	ukeblad	tidsskrift	ukeblad	N;INDF;NEUT;SG	N;INDF;NEUT;SG
tidsskrift	blad	tidsskrift	blad	N;INDF;NEUT;SG	N;INDF;NEUT;SG
tidsskrift	magasin	tidsskrift	magasin	N;INDF;NEUT;SG	N;INDF;NEUT;SG
tidsskrift	journal	tidsskrift	journal	N;INDF;NEUT;SG	N;INDF;MASC;SG
tidsskrift	tidsskrift	tidsskrift	tidsskrift	N;INDF;NEUT;SG	N;INDF;FEM;SG
tidsskrift	dagbok	tidsskrift	dagbok	N;INDF;NEUT;SG	N;INDF;FEM;SG
led	innrykk	led	innrykk	N;INDF;NEUT;SG	N;INDF;NEUT;SG
led	ledd	led	ledd	N;INDF;NEUT;SG	N;INDF;NEUT;SG
ludvig	ludvig	ludvig	ludvig	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ludvig	louis	ludvig	louis	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
deltagelse	oppmøte	deltagelse	oppmøte	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
deltagelse	deltakelse	deltagelse	deltakels	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
deltagelse	deltagelse	deltagelse	deltagelse	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
randers	randers	rande	randers	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
samfund	samfunn	samfund	samfunn	N;INDF;NEUT;SG	N;INDF;NEUT;SG
samfund	society	samfund	society	N;INDF;NEUT;SG	N;INDF;NEUT;SG
samfund	samfunn	samfund	samfunn	N;INDF;NEUT;SG	N;INDF;NEUT;SG
samfund	samfunn	samfund	samfunn	N;INDF;NEUT;SG	N;INDF;NEUT;SG
wilhelm	wilhelm	wilhelm	wilhelm	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
records	records	records	record	N;INDF;NEUT;SG	N;INDF;NEUT;SG
records	rekorder	records	rekord	N;INDF;NEUT;SG	N;INDF;NEUT;SG
klasse	grade	klasse	grad	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
klasse	klasse	klasse	klasse	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
sort	svart	sort	svart	ADJ;INDF;SG	ADJ;INDF;NEUT;SG
vilhelm	william	vilhelm	william	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
vilhelm	vilhelm	vilhelm	vilhelm	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
vis	visning	vis	visning	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
vis	utsikt	vis	utsikt	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
vis	vis	vis	vis	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
vis	vis	vis	vis	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
vis	show	vis	show	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
skibet	skipet	skib	skip	N;DEF;NEUT;SG	N;DEF;NEUT;SG
magt	kraft	magt	kraft	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
magt	makt	magt	makt	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
magt	strøm	magt	strøm	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
magt	power	magt	power	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
befolkningen	befolkningen	befolkning	befolkning	N;DEF;MASC+FEM;SG	N;DEF;MASC;SG
slog	slo	slå	slå	V;IND;PST;FIN;ACT	V;IND;PST;FIN
dagen	dagen	dag	dag	N;DEF;MASC+FEM;SG	N;DEF;MASC;SG
skov	woods	skov	woods	N;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
skov	skog	skov	skog	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
samling	compilation	samling	compilation	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
samling	montering	samling	montering	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
samling	forsamling	samling	forsamling	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
samling	samling	samling	samling	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
gud	gud	gud	gud	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
grænsen	grensen	grænse	grens	N;DEF;MASC+FEM;SG	N;DEF;MASC;SG
voksede	vokste	vokse	vokst	V;IND;PST;FIN;ACT	V;IND;PST;FIN
stat	stat	stat	stat	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
stat	tilstand	stat	tilstand	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
stat	delstat	stat	delstat	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
union	union	union	union	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
union	fagforening	union	fagforening	N;INDF;MASC+FEM;SG	N;INDF;FEM;SG
arkitekt	arkitekt	arkitekt	arkitekt	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
studerede	studerte	studere	studere	V;IND;PST;FIN;ACT	V;IND;PST;FIN
vigtig	viktig	vigtig	viktig	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
alder	åge	alder	åge	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
alder	age	alder	age	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
alder	alder	alder	alder	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
tilsvarende	liknende	tilsvarende	liknende	ADJ	ADJ;INDF;NEUT;SG
dec	dec	dec	dec	N;INDF;MASC+FEM;SG	N
spørgsmål	problemstillinger	spørgsmål	problemstilling	N;INDF;NEUT;PL	N;INDF;FEM;PL
spørgsmål	saker	spørgsmål	sak	N;INDF;NEUT;PL	N;INDF;FEM;PL
spørgsmål	problemer	spørgsmål	problem	N;INDF;NEUT;PL	N;INDF;MASC;PL
holsten	holsten	holst	holst	N;DEF;MASC+FEM;SG	N;DEF;MASC;SG
alexander	aleksander	alexander	aleksande	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
alexander	alexander	alexander	alexander	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kristne	kristne	kristen	kristen	ADJ;PL	ADJ;PL
caps	caps	caps	caps	N;INDF;NEUT;SG	N
