van	مخرج	van	مخرج		
vernietig	فائرکرنا	vernietig	فائرکرنا	V;PRS	V;NFIN;ACT
weermag	تنظیم	weermag	تنظیم	N;SG	N;NOM;FEM;SG;3
metropolitaanse	اصل	metropolitaans	اصل	ADJ;NOM	ADJ
kos	خوراک	kos	خوراک	N;SG	N;NOM;FEM;SG;3
kos	غذا	kos	غذا	N;SG	N;NOM;FEM;SG;3
verminder	گھٹانا	verminder	گھٹا	V;PRS	V;SG;NFIN;ACT
afdeling	گروہ	afdeling	گروہ	N;SG	N;NOM;MASC;SG;3
afdeling	طبقہ	afdeling	طبقہ	N;SG	N;NOM;MASC;SG;3
rewolusie	گردش	rewolusie	گردش	N;SG	N;NOM;MASC;SG;3
rewolusie	گردش	rewolusie	گردش	N;SG	N;NOM;MASC;SG;3
ontmoet	جُڑنا	ontmoet	جُڑ	V;PRS	V;SG;NFIN;ACT
ontmoet	بھڑنا.	ontmoet	بھڑنا.	V;PRS	V;SG;NFIN;ACT
ontmoet	ملنا	ontmoet	مل	V;PRS	V;MASC;SG;NFIN;ACT
terrein	سمندر	terrein	سمندر	N;SG	N;NOM;MASC;SG;3
terrein	برف	terrein	برف	N;SG	N;NOM;MASC;SG;3
terrein	سکّے	terrein	سک	N;SG	N;NOM;MASC;SG;3
terrein	شعبہ	terrein	شعبہ	N;SG	N;NOM;MASC;SG;3
terrein	لڑائی	terrein	لڑائی	N;SG	N;NOM;FEM;SG;3
area	رقبہ	area	رقبہ	N;SG	N;NOM;MASC;SG;3
somer	in	somer	in		
aard	حالت	aard	حالت	N;SG	N;NOM;FEM;SG;3
aard	قسم	aard	قسم	N;SG	N;NOM;MASC;SG;3
veld	سمندر	veld	سمندر	N;SG	N;NOM;MASC;SG;3
veld	برف	veld	برف	N;SG	N;NOM;MASC;SG;3
veld	سکّے	veld	سک	N;SG	N;NOM;MASC;SG;3
veld	شعبہ	veld	شعبہ	N;SG	N;NOM;MASC;SG;3
veld	لڑائی	veld	لڑائی	N;SG	N;NOM;FEM;SG;3
vra	پوچھنا	vra	پوچھ	V;PRS	V;MASC;SG;NFIN;ACT
hart	ہمت	hart	ہمت	N;SG	N;NOM;MASC;SG;3
ernstige	اہم	ernstig	اہم	ADJ;NOM	ADJ
ernstige	معقول.	ernstig	معقول.	ADJ;NOM	ADJ
ernstige	معتبر	ernstig	معتبر	ADJ;NOM	ADJ
ernstige	اہم	ernstig	اہم	ADJ;NOM	ADJ
ernstige	معقول.	ernstig	معقول.	ADJ;NOM	ADJ
ernstige	معتبر	ernstig	معتبر	ADJ;NOM	ADJ
ernstige	سنجیدہ	ernstig	سنجیدہ	ADJ;NOM	ADJ
clemens	رحمدل	clemens	رحمدل		
klooster	صومعہ.	klooster	صومعہ.		
idee	مقصد	idee	مقصد	N;SG	N;NOM;MASC;SG;3
idee	ارادہ	idee	ارادہ	N;SG	N;NOM;MASC;SG;3
idee	نقشہ	idee	نقشہ	N;SG	N;NOM;MASC;SG;3
brand	into	brand	into		
brand	لپک	brand	لپک		
brand	(	brand	(		
relatief	(	relatief	(		
relatief	(	relatief	(		
filosofie	حکمت	filosofie	حکمت	N;SG	N;NOM;MASC;SG;3
filosofie	بردباری	filosofie	بردباری	N;SG	N;NOM;MASC;SG;3
filosofie	تحمل	filosofie	تحمل	N;SG	N;NOM;MASC;SG;3
filosofie	حکمت	filosofie	حکمت	N;SG	N;NOM;MASC;SG;3
filosofie	بردباری	filosofie	بردباری	N;SG	N;NOM;MASC;SG;3
filosofie	تحمل	filosofie	تحمل	N;SG	N;NOM;MASC;SG;3
godsdienstige	محتاط	godsdienstig	محتاط	ADJ;NOM	ADJ
godsdienstige	متقی	godsdienstig	متقی	ADJ;NOM	ADJ
tydskrif	کیمرے	tydskrif	کیمرا	N;SG	N;NOM;MASC;SG;3
koop	خریدنا	koop	خرید	V;PRS	V;SG;NFIN;ACT
kruis	out	kruis	out		
kruis	برہم.	kruis	برہم.		
voorkoms	ظہور	voorkoms	ظہور	N;SG	N;NOM;MASC;SG;3
spel	تفریح	spel	تفریح	N;SG	N;NOM;MASC;SG;3
spel	تدبیر	spel	تدبیر	N;SG	N;NOM;MASC;SG;3
spel	توانا	spel	توانا	N;SG	N;NOM;MASC;SG;3
spel	کھیل	spel	کھیل	N;SG	N;NOM;MASC;SG;3
spel	ہدف	spel	ہدف	N;SG	N;NOM;MASC;SG;3
spel	اپاہج	spel	اپاہج	N;SG	N;NOM;MASC;SG;3
spel	تفریح	spel	تفریح	N;SG	N;NOM;MASC;SG;3
spel	تدبیر	spel	تدبیر	N;SG	N;NOM;MASC;SG;3
spel	توانا	spel	توانا	N;SG	N;NOM;MASC;SG;3
spel	کھیل	spel	کھیل	N;SG	N;NOM;MASC;SG;3
spel	ہدف	spel	ہدف	N;SG	N;NOM;MASC;SG;3
spel	اپاہج	spel	اپاہج	N;SG	N;NOM;MASC;SG;3
spel	بازی	spel	بازی	N;SG	N;NOM;MASC;SG;3
rand	into	rand	into		
gelyk	درجے	gelyk	درجہ		
gelyk	درجے	gelyk	درجہ		
silwer	نقرہ	silwer	نقرہ		
silwer	نقرئی	silwer	نقرئی		
silwer	نقرہ	silwer	نقرہ		
silwer	نقرئی	silwer	نقرئی		
landbou	زراعت	landbou	زراعت	N;SG	N;NOM;FEM;SG;3
landbou	کاشتکاری	landbou	کاشتکاری	N;SG	N;NOM;MASC;SG;3
voorwerp	مقصد	voorwerp	مقصد	N;SG	N;NOM;MASC;SG;3
natuur	حالت	natuur	حالت	N;SG	N;NOM;FEM;SG;3
natuur	قسم	natuur	قسم	N;SG	N;NOM;MASC;SG;3
stille	خاموشی	stille	خاموشی	N;SG	N;NOM;MASC;SG;3
stille	ساکن	stille	ساکن	N;SG	N;NOM;MASC;SG;3
stille	خاموشی	stille	خاموشی	N;SG	N;NOM;MASC;SG;3
stille	ساکن	stille	ساکن	N;SG	N;NOM;MASC;SG;3
vereniging	تنظیم.	vereniging	تنظیم.	N;SG	N;NOM;MASC;SG;3
vereniging	جمعیت	vereniging	جمعیت	N;SG	N;NOM;MASC;SG;3
vereniging	تنظیم.	vereniging	تنظیم.	N;SG	N;NOM;MASC;SG;3
vereniging	جمعیت	vereniging	جمعیت	N;SG	N;NOM;MASC;SG;3
vereniging	رفاقت	vereniging	رفاقت	N;SG	N;NOM;FEM;SG;3
seker	یقیناً	seker	یقیناً	ADV	ADV
seker	یقیناً	seker	یقیناً	ADV	ADV
komitee	گروہ	komitee	گروہ	N;SG	N;NOM;MASC;SG;3
eintlik	واقعی	eintlik	واقعی		
belangstelling	دلچسپی	belangstelling	دلچسپی	N;SG	N;NOM;MASC;SG;3
belangstelling	منافع	belangstelling	منافع	N;SG	N;NOM;MASC;SG;3
belangstelling	دلچسپی	belangstelling	دلچسپی	N;SG	N;NOM;MASC;SG;3
belangstelling	فائدہ	belangstelling	فائدہ	N;SG	N;NOM;MASC;SG;3
belangstelling	منافع	belangstelling	منافع	N;SG	N;NOM;MASC;SG;3
bedank	چھوڑنا	bedank	چھوڑ	V;PRS	V;NFIN
vrugte	ترکاری	vrug	ترکاری	N;SG	N;NOM;FEM;SG;3
vrugte	اولاد	vrug	اولاد	N;SG	N;NOM;MASC;SG;3
vrugte	ترکاری	vrug	ترکاری	N;SG	N;NOM;FEM;SG;3
vrugte	اولاد	vrug	اولاد	N;SG	N;NOM;MASC;SG;3
gas	غاز	gas	غاز	N;SG	N;NOM;MASC;SG;3
gas	گیس	gas	گیس	N;SG	N;NOM;MASC;SG;3
gas	پٹرول	gas	پٹرول	N;SG	N;NOM;MASC;SG;3
gas	مہمان	gas	مہمان	N;SG	N;NOM;MASC;SG;3
stigter	خالق.	stigter	خالق.		
stam	دانت	stam	دانت	N;SG	N;NOM;MASC;SG;3
stam	دانت	stam	دانت	N;SG	N;NOM;MASC;SG;3
uiters	انتہائی	uiters	انتہائی	ADV	ADV
motor	انجن	motor	انجن	N;SG	N;NOM;MASC;SG;3
motor	مشین	motor	مشین	N;SG	N;NOM;MASC;SG;3
motor	لفٹ	motor	لفٹ	N;SG	N;NOM;MASC;SG;3
eenvoudige	معمولی	eenvoudig	معمولی	ADJ;NOM	ADJ
eenvoudige	پیچیدہ	eenvoudig	پیچیدہ	ADJ;NOM	ADJ
eenvoudige	سہل	eenvoudig	سہل	ADJ;NOM	ADJ
eenvoudige	معمولی	eenvoudig	معمولی	ADJ;NOM	ADJ
eenvoudige	پیچیدہ	eenvoudig	پیچیدہ	ADJ;NOM	ADJ
eenvoudige	سادہ	eenvoudig	سادہ	ADJ;NOM	ADJ
tradisie	روایت	tradisie	روایت	N;SG	N;NOM;FEM;SG;3
tradisie	ریت	tradisie	ریت	N;SG	N;NOM;MASC;SG;3
tradisie	رواج	tradisie	رواج	N;SG	N;NOM;MASC;SG;3
tradisie	عادت	tradisie	عادت	N;SG	N;NOM;FEM;SG;3
here	آقا	heer	آقا		
royal	وقیع	royal	وقیع		
ooreenkoms	اقرار	ooreenkoms	اقرار	N;SG	N;NOM;MASC;SG;3
ooreenkoms	معاہدہ	ooreenkoms	معاہدہ	N;SG	N;NOM;MASC;SG;3
ooreenkoms	توافق	ooreenkoms	توافق	N;SG	N;NOM;MASC;SG;3
akademiese	پرتکلف.	akademies	پرتکلف.	ADJ;NOM	ADJ
akademiese	روایتی	akademies	روایتی	ADJ;NOM	ADJ
akademiese	نظریاتی	akademies	نظریاتی	ADJ;NOM	ADJ;NOM
gou	فوراً	gou	فوراً	ADV	ADV
baan	آدمی	baan	آدمی	N;SG	N;NOM;MASC;SG;3
baan	ٹینک	baan	ٹینک	N;SG	N;NOM;MASC;SG;3
vryheid	آزادی	vryheid	آزادی	N;SG	N;NOM;MASC;SG;3
vryheid	اختیار	vryheid	اختیار	N;SG	N;NOM;MASC;SG;3
last	اخیر	last	اخیر		
samewerking	تعاون	samewerking	تعاون	N;SG	N;NOM;MASC;SG;3
woordeboek	لغت	woordeboek	لغت	N;SG	N;NOM;MASC;SG;3
woordeboek	لغت	woordeboek	لغت	N;SG	N;NOM;MASC;SG;3
samelewing	معاشرہ	samelewing	معاشرہ	N;SG	N;NOM;MASC;SG;3
samelewing	معاشرہ	samelewing	معاشرہ	N;SG	N;NOM;MASC;SG;3
samelewing	سماج	samelewing	سماج	N;SG	N;NOM;MASC;SG;3
samelewing	وحدت	samelewing	وحدت	N;SG	N;NOM;MASC;SG;3
samelewing	گروہ	samelewing	گروہ	N;SG	N;NOM;MASC;SG;3
samelewing	جماعت	samelewing	جماعت	N;SG	N;NOM;FEM;SG;3
samelewing	اتحاد	samelewing	اتحاد	N;SG	N;NOM;MASC;SG;3
midde	اوسط	midde	اوسط	N;SG	N;NOM;MASC;SG;3
midde	اوسط	midde	اوسط	N;SG	N;NOM;MASC;SG;3
turkye	پیلو	turky	پیلو		
godsdiens	مذہب	godsdiens	مذہب	N;SG	N;NOM;MASC;SG;3
golf	حرارت	golf	حرارت	N;SG	N;NOM;MASC;SG;3
golf	لہر	golf	لہر	N;SG	N;NOM;MASC;SG;3
golf	حرارت	golf	حرارت	N;SG	N;NOM;MASC;SG;3
mooi	نفیس	mooi	نفیس		
geboorte	ولادت	geboorte	ولادت	N;SG	N;NOM;MASC;SG;3
direk	to	direk	to		
ontdekking	تلاش	ontdekking	تلاش	N;SG	N;NOM;FEM;SG;3
kaptein	سربراہ	kaptein	سربراہ	N;SG	N;NOM;MASC;SG;3
kaptein	کپتان	kaptein	کپتان	N;SG	N;NOM;MASC;SG;3
kaptein	سربراہ	kaptein	سربراہ	N;SG	N;NOM;MASC;SG;3
siekte	مرض	siekte	مرض	N;SG	N;NOM;MASC;SG;3
siekte	بیماری	siekte	بیماری	N;SG	N;NOM;FEM;SG;3
stuk	مثال	stuk	مثال	N;SG	N;NOM;MASC;SG;3
stuk	شق	stuk	شق	N;SG	N;NOM;MASC;SG;3
stuk	حصہ	stuk	حصہ	N;SG	N;NOM;MASC;SG;3
toegang	دورہ	toegang	دورہ	N;SG	N;NOM;MASC;SG;3
toegang	دورہ	toegang	دورہ	N;SG	N;NOM;MASC;SG;3
toegang	دسترس	toegang	دسترس	N;SG	N;NOM;MASC;SG;3
toegang	رسائی	toegang	رسائی	N;SG	N;NOM;MASC;SG;3
bank	گھاٹ	bank	گھاٹ	N;SG	N;NOM;MASC;SG;3
bank	بادل	bank	بادل	N;SG	N;NOM;MASC;SG;3
bank	ڈھلان	bank	ڈھلان	N;SG	N;NOM;MASC;SG;3
teken	پہنچنا	teken	پہنچ	V;PRS	V;MASC;SG;NFIN;ACT
teken	بڑھنا	teken	بڑھ	V;PRS	V;MASC;SG;NFIN;ACT
teken	چلنا	teken	چل	V;PRS	V;MASC;SG;NFIN;ACT
teken	لکھنا	teken	لکھ	V;PRS	V;MASC;SG;NFIN;ACT
teken	کھینچنے	teken	کھینچ	V;PRS	V;NFIN
skaars	بمشکل	skaars	بمشکل	V;PRS	V
ooit	ہمیشہ	ooit	ہمیشہ	ADV	ADV
gesag	مختارکاری.	gesag	مختارکاری.	N;SG	N;NOM;MASC;SG;3
eens	اچانک	eens	اچانک	ADV	ADV
toekenning	انعام	toekenning	انعام	N;SG	N;NOM;MASC;SG;3
toekenning	سزا	toekenning	سزا	N;SG	N;NOM;MASC;SG;3
afsonderlike	الگ	afsonderlik	الگ	ADJ;NOM	ADJ
afsonderlike	جداگانہ	afsonderlik	جداگانہ	ADJ;NOM	ADJ
vliegtuig	علم	vliegtuig	علم	N;SG	N;NOM;MASC;SG;3
kompetisie	آزمائش	kompetisie	آزمائش	N;SG	N;NOM;MASC;SG;3
kompetisie	نزاع	kompetisie	نزاع	N;SG	N;NOM;MASC;SG;3
tegniese	قانونی	tegnies	قانونی	ADJ;NOM	ADJ
tegniese	اصولی	tegnies	اصولی	ADJ;NOM	ADJ
metode	باقاعدگی	metode	باقاعدگی	N;SG	N;NOM;MASC;SG;3
droë	اڑنے	droog	اڑنا	V;PRS	V;ACC;NFIN
droë	اڑنے	droog	اڑنا	V;PRS	V;ACC;NFIN
bestudeer	پڑھائی	bestudeer	پڑھا	V;PRS	V;PFV;FEM;SG;V.PTCP;ACT
olie	پیٹرولیم.	olie	پیٹرولیم.	N;SG	N;NOM;MASC;SG;3
olie	چکنائی	olie	چکنائی	N;SG	N;NOM;FEM;SG;3
olie	پیٹرولیم.	olie	پیٹرولیم.	N;SG	N;NOM;MASC;SG;3
olie	تیل	olie	تیل	N;SG	N;NOM;MASC;SG;3
olie	چکنائی	olie	چکنائی	N;SG	N;NOM;FEM;SG;3
sekretaris	معتمد	sekretaris	معتمد	N;SG	N;NOM;MASC;SG;3
stof	فساد	stof	فساد	N;SG	N;NOM;MASC;SG;3
stof	انتشار	stof	انتشار	N;SG	N;NOM;MASC;SG;3
stof	غبار	stof	غبار	N;SG	N;NOM;MASC;SG;3
stof	زمین	stof	زمین	N;SG	N;NOM;FEM;SG;3
primêre	ابتدائی	primêr	ابتدائی	ADJ;NOM	ADJ
primêre	اصلی	primêr	اصلی	ADJ;NOM	ADJ
helder	فطین	helder	فطین		
helder	طباع	helder	طباع		
toekoms	مستقبل	toekoms	مستقبل	N;SG	N;NOM;MASC;SG;3
toekoms	شخص	toekoms	شخص	N;SG	N;NOM;MASC;SG;3
boonste	اپر	boonste	اپر		
boonste	اپر	boonste	اپر		
polisie	سپاہی	polisie	سپاہی	N;SG	N;NOM;MASC;SG;3
graf	انجام	graf	انجام	N;SG	N;NOM;MASC;SG;3
graf	انجام	graf	انجام	N;SG	N;NOM;MASC;SG;3
volwasse	پختہ	volwasse	پختہ	ADJ;NOM	ADJ
volwasse	فہمیدہ	volwasse	فہمیدہ	ADJ;NOM	ADJ
volwasse	سنجیدہ	volwasse	سنجیدہ	ADJ;NOM	ADJ
volwasse	پختہ	volwasse	پختہ	ADJ;NOM	ADJ
volwasse	فہمیدہ	volwasse	فہمیدہ	ADJ;NOM	ADJ
volwasse	سنجیدہ	volwasse	سنجیدہ	ADJ;NOM	ADJ
volwasse	بالغ	volwasse	بالغ	ADJ;NOM	ADJ
kies	چننا	kies	چننا	V;PRS	V;MASC;SG;NFIN;ACT
basiese	اساسی	basies	اساسی	ADJ;NOM	ADJ
benodig	مانگنا	benodig	مانگ	V;PRS	V;MASC;SG;NFIN;ACT
benodig	مانگنا	benodig	مانگ	V;PRS	V;MASC;SG;NFIN;ACT
benodig	چاہنا	benodig	چاہ	V;PRS	V;MASC;SG;NFIN;ACT
kunstenaar	موسیقار	kunstenaar	موسیقار	N;SG	N;NOM;MASC;SG;3
vermoë	قدرت	vermoë	قدرت	N;SG	N;NOM;MASC;SG;3
vermoë	ذہانت	vermoë	ذہانت	N;SG	N;NOM;MASC;SG;3
vermoë	قابلیت	vermoë	قابلیت	N;SG	N;NOM;MASC;SG;3
vermoë	استعداد	vermoë	استعداد	N;SG	N;NOM;MASC;SG;3
gesondheid	صحت	gesondheid	صحت	N;SG	N;NOM;FEM;SG;3
gemeenskaplike	مشترکہ	gemeenskaplik	مشترکہ	ADJ;NOM	ADJ
gemeenskaplike	مبتذل	gemeenskaplik	مبتذل	ADJ;NOM	ADJ
gemeenskaplike	گھٹیا	gemeenskaplik	گھٹیا	ADJ;NOM	ADJ
inkomste	آمدنی	inkomste	آمدنی	N;SG	N;NOM;FEM;SG;3
inkomste	آمد	inkomste	آمد	N;SG	N;NOM;MASC;SG;3
ken	سیکھا	ken	سیکھ	V;PRS	V;PFV;MASC;SG;V.PTCP;ACT
ken	سیکھا	ken	سیکھ	V;PRS	V;PFV;MASC;SG;V.PTCP;ACT
ken	جاننا	ken	جان	V;PRS	V;MASC;SG;NFIN;ACT
ligte	شاندار	lig	شاندار	ADJ;NOM	ADJ
ligte	گھٹیا	lig	گھٹیا	ADJ;NOM	ADJ
ligte	روشن	lig	روشن	ADJ;NOM	ADJ
ligte	ہلکا	lig	ہلکا	ADJ;NOM	ADJ;NOM;MASC;SG
ligte	ہلکے	lig	ہلکا	ADJ;NOM	ADJ;NOM;MASC;SG
ligte	تیز	lig	تیز	ADJ;NOM	ADJ
ligte	شاندار	lig	شاندار	ADJ;NOM	ADJ
ligte	گھٹیا	lig	گھٹیا	ADJ;NOM	ADJ
ligte	روشن	lig	روشن	ADJ;NOM	ADJ
ligte	ہلکا	lig	ہلکا	ADJ;NOM	ADJ;NOM;MASC;SG
ligte	ہلکے	lig	ہلکا	ADJ;NOM	ADJ;NOM;MASC;SG
ligte	تیز	lig	تیز	ADJ;NOM	ADJ
ligte	کمزور	lig	کمزور	ADJ;NOM	ADJ
heelal	کائنات	heelal	کائنات	N;SG	N;NOM;MASC;SG;3
hoek	کونا	hoek	کونا	N;SG	N;NOM;MASC;SG;3
hoek	کونا	hoek	کونا	N;SG	N;NOM;MASC;SG;3
hoek	زاویہ	hoek	زاویہ	N;SG	N;NOM;MASC;SG;3
tuiste	معاصر	tuiste	معاصر	N;SG	N;NOM;MASC;SG;3
selfstandige	مستقل.	selfstandig	مستقل.	ADJ;NOM	ADJ
onderneming	مہم	onderneming	مہم	N;SG	N;NOM;MASC;SG;3
tempel	صومعہ	tempel	صومعہ	N;SG	N;NOM;MASC;SG;3
twintig	xx	twintig	xx	NUM	NUM
berig	وقائع	berig	وقائع		
berig	قصّہ	berig	قصّہ		
berig	وقائع	berig	وقائع		
berig	قصّہ	berig	قصّہ		
speler	کھلاڑی.	speler	کھلاڑی.	N;SG	N;NOM;MASC;SG;3
kommunistiese	اشتراکی	kommunisties	اشتراکی	ADJ;NOM	ADJ
prent	نقش	prent	نقش	N;SG	N;NOM;MASC;SG;3
prent	خاکہ	prent	خاکہ	N;SG	N;NOM;MASC;SG;3
prent	حالت	prent	حالت	N;SG	N;NOM;FEM;SG;3
prent	قسم	prent	قسم	N;SG	N;NOM;MASC;SG;3
vraag	اعتراض	vraag	اعتراض	N;SG	N;NOM;MASC;SG;3
optrede	انتظام	optrede	انتظام	N;SG	N;NOM;MASC;SG;3
optrede	رہنمائی	optrede	رہنمائی	N;SG	N;NOM;FEM;SG;3
reaksie	اُتار	reaksie	اُتار	N;SG	N;NOM;MASC;SG;3
opvoedkundige	تعلیمی	opvoedkundig	تعلیمی	ADJ;NOM	ADJ
opvoedkundige	تعلیماتی	opvoedkundig	تعلیماتی	ADJ;NOM	ADJ;NOM
effens	قلیل	effens	قلیل		
effens	محض	effens	محض		
been	ہاڑ.	been	ہاڑ.		
verduidelik	سمجھانا	verduidelik	سمجھا	V;PRS	V;MASC;SG;NFIN;ACT
gevaar	خطر.	gevaar	خطر.		
kroon	مکٹ	kroon	مکٹ		
kroon	مکٹ	kroon	مکٹ		
mee	مقابلہ.	mee	مقابلہ.		
mee	مقابلہ.	mee	مقابلہ.		
produk	حاصل	produk	حاصل	N;SG	N;NOM;MASC;SG;3
produk	نتیجہ	produk	نتیجہ	N;SG	N;NOM;MASC;SG;3
produk	پیداوار	produk	پیداوار	N;SG	N;NOM;MASC;SG;3
gewig	وزن	gewig	وزن	N;SG	N;NOM;MASC;SG;3
enjin	انجن	enjin	انجن	N;SG	N;NOM;MASC;SG;3
enjin	مشین	enjin	مشین	N;SG	N;NOM;MASC;SG;3
oom	چچا	oom	چچا	N;SG	N;NOM;MASC;SG;3
klank	رطوبت	klank	رطوبت	N;SG	N;NOM;FEM;SG;3
klank	صوت	klank	صوت	N;SG	N;NOM;MASC;SG;3
klank	آواز	klank	آواز	N;SG	N;NOM;FEM;SG;3
klank	رطوبت	klank	رطوبت	N;SG	N;NOM;FEM;SG;3
klank	صوت	klank	صوت	N;SG	N;NOM;MASC;SG;3
sosialistiese	اشتراکی	sosialisties	اشتراکی	ADJ;NOM	ADJ
ondersteuning	توثیق	ondersteuning	توثیق	N;SG	N;NOM;MASC;SG;3
ondersteuning	نظریے	ondersteuning	نظریہ	N;SG	N;NOM;MASC;SG;3
administrasie	انتظام	administrasie	انتظام	N;SG	N;NOM;MASC;SG;3
administrasie	حکومت	administrasie	حکومت	N;SG	N;NOM;FEM;SG;3
administrasie	انتظام	administrasie	انتظام	N;SG	N;NOM;MASC;SG;3
administrasie	بندوبست	administrasie	بندوبست	N;SG	N;NOM;MASC;SG;3
administrasie	حکومت	administrasie	حکومت	N;SG	N;NOM;FEM;SG;3
oprigting	تشکیل	oprigting	تشکیل	N;SG	N;NOM;MASC;SG;3
oprigting	تعمیر	oprigting	تعمیر	N;SG	N;NOM;FEM;SG;3
oprigting	تشکیل	oprigting	تشکیل	N;SG	N;NOM;MASC;SG;3
kandidaat	امیدوار	kandidaat	امیدوار	N;SG	N;NOM;MASC;SG;3
suksesvolle	کامیاب	suksesvol	کامیاب	ADJ;NOM	ADJ
toepassing	توجہ	toepassing	توجہ	N;SG	N;NOM;MASC;SG;3
toepassing	محنت	toepassing	محنت	N;SG	N;NOM;FEM;SG;3
toepassing	توجہ	toepassing	توجہ	N;SG	N;NOM;MASC;SG;3
toepassing	درخواست	toepassing	درخواست	N;SG	N;NOM;FEM;SG;3
toepassing	محنت	toepassing	محنت	N;SG	N;NOM;FEM;SG;3
christiaan	رحمدل	christiaan	رحمدل		
suiwer	طاہر	suiwer	طاہر		
suiwer	فقط.	suiwer	فقط.		
suiwer	طاہر	suiwer	طاہر		
suiwer	محض	suiwer	محض		
suiwer	سچّا	suiwer	سچّا		
suiwer	پاک	suiwer	پاک		
suiwer	فقط.	suiwer	فقط.		
getref	چوٹ	tref	چوٹ	V;PST;V.PTCP	V;ACT
skerp	عیار	skerp	عیار		
skerp	ڈھالو	skerp	ڈھالو		
skerp	عیار	skerp	عیار		
skerp	ڈھالو	skerp	ڈھالو		
rig	بھڑکانا	rig	بھڑکانا	V;PRS	V;MASC;SG;NFIN;ACT
opsig	خصوص	opsig	خصوص	N;SG	N;NOM;MASC;SG;3
opsig	تعلق	opsig	تعلق	N;SG	N;NOM;MASC;SG;3
vervaardiger	فلم	vervaardiger	فلم	N;SG	N;NOM;FEM;SG;3
betrekking	خصوص	betrekking	خصوص	N;SG	N;NOM;MASC;SG;3
betrekking	تعلق	betrekking	تعلق	N;SG	N;NOM;MASC;SG;3
betrekking	رشتہ	betrekking	رشتہ	N;SG	N;NOM;MASC;SG;3
betrekking	ربط	betrekking	ربط	N;SG	N;NOM;MASC;SG;3
betrekking	رشتہ	betrekking	رشتہ	N;SG	N;NOM;MASC;SG;3
kritiek	نقاد	kritiek	نقاد	N;SG	N;NOM;MASC;SG;3
kritiek	تنقیدی.	kritiek	تنقیدی.	N;SG	N;NOM;MASC;SG;3
boer	(	boer	(		
boer	(	boer	(		
voordeel	امتیاز	voordeel	امتیاز	N;SG	N;NOM;MASC;SG;3
voordeel	امتیاز	voordeel	امتیاز	N;SG	N;NOM;MASC;SG;3
voordeel	فائدہ	voordeel	فائدہ	N;SG	N;NOM;MASC;SG;3
voordeel	نفع	voordeel	نفع	N;SG	N;NOM;MASC;SG;3
voordeel	فائدہ	voordeel	فائدہ	N;SG	N;NOM;MASC;SG;3
gees	جوش	gees	جوش	N;SG	N;NOM;MASC;SG;3
gees	ہمت	gees	ہمت	N;SG	N;NOM;MASC;SG;3
gees	رم	gees	رم	N;SG	N;NOM;MASC;SG;3
gees	رجحان	gees	رجحان	N;SG	N;NOM;MASC;SG;3
gees	انداز.	gees	انداز.	N;SG	N;NOM;MASC;SG;3
gees	جوش	gees	جوش	N;SG	N;NOM;MASC;SG;3
gees	دم	gees	دم	N;SG	N;NOM;MASC;SG;3
gees	ہمت	gees	ہمت	N;SG	N;NOM;MASC;SG;3
gees	رم	gees	رم	N;SG	N;NOM;MASC;SG;3
gees	رجحان	gees	رجحان	N;SG	N;NOM;MASC;SG;3
gees	انداز.	gees	انداز.	N;SG	N;NOM;MASC;SG;3
toets	جانچنا	toets	جانچ	V;PRS	V;MASC;SG;NFIN;ACT
kontak	ملنے	kontak	مل	V;PRS	V;NFIN;ACT
aangepas	چلن	aanpas	چلن	V;PST;V.PTCP	V;ACT
oorsese	بدیسی	oorsee	بدیسی	ADJ;NOM	ADJ
oorsese	بیرونی	oorsee	بیرونی	ADJ;NOM	ADJ
jack	(	jack	(		
jack	(	jack	(		
dadelik	فوراً	dadelik	فوراً	ADV	ADV
wiskunde	اقدار	wiskunde	اقدار	N;SG	N;NOM;MASC;SG;3
verbied	ماننے	verbied	مان	V;PRS	V;ACC;NFIN
islamitiese	اسلامی	islamities	اسلامی	ADJ;NOM	ADJ
wysig	بدلنا.	wysig	بدلنا.	V;PRS	V;NFIN;ACT
wysig	بدلنا	wysig	بدل	V;PRS	V;MASC;SG;NFIN;ACT
kanaal	راستہ	kanaal	راستہ	N;SG	N;NOM;MASC;SG;3
kanaal	سمت	kanaal	سمت	N;SG	N;NOM;MASC;SG;3
fisiese	جسمانی	fisies	جسمانی	ADJ;NOM	ADJ
gehoor	توجہ	gehoor	توجہ	N;SG	N;NOM;MASC;SG;3
gehoor	کتاب	gehoor	کتاب	N;SG	N;NOM;MASC;SG;3
gehoor	پیشی	gehoor	پیشی	N;SG	N;NOM;MASC;SG;3
gehoor	شنوائی	gehoor	شنوائی	N;SG	N;NOM;FEM;SG;3
gehoor	سماعت	gehoor	سماعت	N;SG	N;NOM;MASC;SG;3
werklikheid	حقیقت	werklikheid	حقیقت	N;SG	N;NOM;MASC;SG;3
direkte	اصلی	direk	اصلی	ADJ;NOM	ADJ
direkte	مستقیم	direk	مستقیم	ADJ;NOM	ADJ
direkte	واضح	direk	واضح	ADJ;NOM	ADJ
beskerming	مدافعت	beskerming	مدافعت	N;SG	N;NOM;MASC;SG;3
beskerming	مدافعت	beskerming	مدافعت	N;SG	N;NOM;MASC;SG;3
nommer	ٹولی	nommer	ٹولی	N;SG	N;NOM;FEM;SG;3
nommer	کمپنی	nommer	کمپنی	N;SG	N;NOM;FEM;SG;3
