ve	in	ve	in	CONJ	CONJ
verdi	dal	ver	dati	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
verdi	dau	ver	dau	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
verdi	dala	ver	dati	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
süper	super	süper	super		
hiç	nikdar	hiç	nikdar	ADV	ADV
hiç	nikoli	hiç	nikoli	ADV	ADV
hiç	kdaj	hiç	kdaj	ADV	ADV
ifade	express	ifade	express	N;NOM;SG;3	N;NOM;MASC;SG
ifade	pričevanje	ifade	pričevanje	N;NOM;SG;3	N;NOM;NEUT;SG
ifade	odlaganje	ifade	odlaganje	N;NOM;SG;3	N;NOM;NEUT;SG
ifade	navedba	ifade	navedba	N;NOM;SG;3	N;NOM;FEM;SG
ifade	izjava	ifade	izjava	N;NOM;SG;3	N;NOM;FEM;SG
ifade	pričevanje	ifade	pričevanje	N;NOM;SG;3	N;NOM;NEUT;SG
ifade	pričanje	ifade	pričanje	N;NOM;SG;3	N;NOM;NEUT;SG
ifade	izraz	ifade	izraz	N;NOM;SG;3	N;NOM;MASC;SG
ifade	izražanje	ifade	izražanje	N;NOM;SG;3	N;NOM;NEUT;SG
şey	stvar	şey	stvar	N;NOM;SG;3	N;NOM;FEM;SG
rapor	poročilo	rapor	poročilo	N;NOM;SG;3	N;NOM;NEUT;SG
kurulan	ustanovil	kur	ustanoviti	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;MASC;SG;V.PTCP
altı	šest	altı	šest	NUM	NUM;NOM;PL
dizi	serija	dizi	serija	N;NOM;SG;3	N;NOM;FEM;SG
dizi	zaporedje	dizi	zaporedje	N;NOM;SG;3	N;NOM;NEUT;SG
ayrı	ločena	ayrı	ločen	ADJ	ADJ;NOM;FEM;SG;V.PTCP
ayrı	ločeni	ayrı	ločen	ADJ	ADJ;NOM;MASC;PL;V.PTCP
ayrı	ločen	ayrı	ločen	ADJ	ADJ;NOM;INDF;MASC;SG;V.PTCP
ayrı	ločeno	ayrı	ločen	ADJ	ADJ;NOM;NEUT;SG;V.PTCP
ayrı	ločena	ayrı	ločen	ADJ	ADJ;NOM;FEM;SG;V.PTCP
ayrı	ločeni	ayrı	ločen	ADJ	ADJ;NOM;MASC;PL;V.PTCP
ayrı	ločeno	ayrı	ločen	ADJ	ADJ;NOM;NEUT;SG;V.PTCP
şampiyonası	prvenstvo	şampiyon	prvenstvo	N;NOM;SG;3	N;NOM;NEUT;SG
göz	brskanje	göz	brskanje	N;NOM;SG;3	N;NOM;NEUT;SG
göz	oci	göz	oci	N;NOM;SG;3	N;NOM;FEM;SG
göz	eye	göz	eye	N;NOM;SG;3	N;NOM;MASC;SG
göz	oko	göz	oko	N;NOM;SG;3	N;NOM;NEUT;SG
televizyon	televizija	televizyon	televizija	N;NOM;SG;3	N;NOM;FEM;SG
galatasaray	liverpool	galatasarayay	liverpool	N;NOM;SG;3	N;NOM;MASC;SG
sezonu	sezono	sezon	sezona	N;ACC;SG;3	N;ACC;FEM;SG
karasal	kopenski	karasal	kopenski	ADJ	ADJ;NOM;DEF;MASC;SG
karasal	kopenske	karasal	kopenski	ADJ	ADJ;NOM;FEM;PL
karasal	kopenskih	karasal	kopenski	ADJ	ADJ;GEN;MASC;PL
durum	status	durum	status	N;NOM;SG;3	N;NOM;MASC;SG
durum	stanje	durum	stanje	N;NOM;SG;3	N;NOM;NEUT;SG
durum	položaj	durum	položaj	N;NOM;SG;3	N;NOM;MASC;SG
durum	situacija	durum	situacija	N;NOM;SG;3	N;NOM;FEM;SG
durum	stanje	durum	stanje	N;NOM;SG;3	N;NOM;NEUT;SG
durum	pogoj	durum	pogoj	N;NOM;SG;3	N;NOM;MASC;SG
durum	stanje	durum	stanje	N;NOM;SG;3	N;NOM;NEUT;SG
gelenek	tradicija	gelenek	tradicija	N;NOM;SG;3	N;NOM;FEM;SG
yeri	lokacijo	yer	lokacija	N;ACC;SG;3	N;ACC;FEM;SG
yanlış	nepravilna	yanlış	nepravilen	ADJ	ADJ;NOM;FEM;SG
yanlış	napačno	yanlış	napačen	ADJ	ADJ;NOM;NEUT;SG
yanlış	napačen	yanlış	napačen	ADJ	ADJ;NOM;INDF;MASC;SG
yanlış	lažno	yanlış	lažen	ADJ	ADJ;NOM;NEUT;SG
al	vzemi	al	vzeme	V;PFV;IMP;SG;2;POS;PRS	V;PFV;IMP;SG;2;FIN
al	dobil	al	dobiti	V;PFV;IMP;SG;2;POS;PRS	V;PFV;MASC;SG;V.PTCP
ses	zvok	ses	zvok	N;NOM;SG;3	N;NOM;MASC;SG
ses	glas	ses	glas	N;NOM;SG;3	N;NOM;MASC;SG
ses	zvok	ses	zvok	N;NOM;SG;3	N;NOM;MASC;SG
ses	avdio	ses	avdia	N;NOM;SG;3	N;NOM;MASC;SG
ses	hrup	ses	hrup	N;NOM;SG;3	N;NOM;MASC;SG
ses	volumen	ses	volumen	N;NOM;SG;3	N;NOM;MASC;SG
ses	glasnost	ses	glasnost	N;NOM;SG;3	N;NOM;FEM;SG
ses	prostornina	ses	prostornina	N;NOM;SG;3	N;NOM;FEM;SG
ses	zvezek	ses	zvezek	N;NOM;SG;3	N;NOM;MASC;SG
ses	obseg	ses	obseg	N;NOM;SG;3	N;NOM;MASC;SG
milli	nacionalna	milli	nacionalen	ADJ	ADJ;NOM;FEM;SG
milli	nacionalno	milli	nacionalen	ADJ	ADJ;NOM;NEUT;SG
milli	nacionalni	milli	nacionalen	ADJ	ADJ;NOM;MASC;SG
kitap	knjiga	kitap	knjiga	N;NOM;SG;3	N;NOM;FEM;SG
ödülleri	nagrade	ödül	nagrada	N;NOM;PL;3	N;NOM;FEM;PL
ödülleri	nagrade	ödül	nagrada	N;NOM;PL;3	N;NOM;FEM;PL
ödülleri	nagrade	ödül	nagrada	N;NOM;PL;3	N;NOM;FEM;PL
kaldı	preostalo	kal	preostati	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;SG;V.PTCP
kaldı	ostal	kal	ostati	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
kaldı	ostala	kal	ostati	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
bakanı	ministrica	bakan	ministrica	N;NOM;SG;3	N;NOM;FEM;SG
bakanı	minister	bakan	minister	N;NOM;SG;3	N;NOM;MASC;SG
krallık	kraljestvo	krallık	kraljestvo	N;NOM;SG;3	N;NOM;NEUT;SG
krallık	kraljevina	krallık	kraljevina	N;NOM;SG;3	N;NOM;FEM;SG
doğdu	rodil	doğ	roditi	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;V.PTCP
başkanlığı	predsedstvo	başkanlık	predsedstvo	N;NOM;SG;3	N;NOM;NEUT;SG
başkanlığı	predsedovanje	başkanlık	predsedovanje	N;NOM;SG;3	N;NOM;NEUT;SG
başkanlığı	predsedovanje	başkanlık	predsedovanje	N;NOM;SG;3	N;NOM;NEUT;SG
bakanlığı	ministrstvo	bakanlık	ministrstvo	N;NOM;SG;3	N;NOM;NEUT;SG
durumu	status	durum	status	N;NOM;SG;3	N;NOM;MASC;SG
durumu	stanje	durum	stanje	N;NOM;SG;3	N;NOM;NEUT;SG
durumu	pogoj	durum	pogoj	N;NOM;SG;3	N;NOM;MASC;SG
durumu	stanje	durum	stanje	N;NOM;SG;3	N;NOM;NEUT;SG
kırmızı	rdeča	kırmızı	rdeč	ADJ	ADJ;NOM;FEM;SG
kırmızı	rdeči	kırmızı	rdeč	ADJ	ADJ;NOM;DEF;MASC;SG
kırmızı	rdeč	kırmızı	rdeč	ADJ	ADJ;NOM;INDF;MASC;SG
kırmızı	rdeče	kırmızı	rdeč	ADJ	ADJ;NOM;NEUT;SG
atatürk	atatürka	atatürk	atatürka	N;NOM;SG;3	N;NOM;MASC;SG
yardım	pomoč	yardım	pomoč	N;NOM;SG;3	N;NOM;FEM;SG
yardım	pomoč	yardım	pomoč	N;NOM;SG;3	N;NOM;FEM;SG
oranı	mera	oran	mera	N;NOM;SG;3	N;NOM;FEM;SG
oranı	stopnja	oran	stopnja	N;NOM;SG;3	N;NOM;FEM;SG
oranı	razmerje	oran	razmerje	N;NOM;SG;3	N;NOM;NEUT;SG
şarkıcı	pevka	şarkıcı	pevek	N;NOM;SG;3	N;NOM;FEM;SG
şarkıcı	singer	şarkıcı	singer	N;NOM;SG;3	N;NOM;MASC;SG
şarkıcı	pevec	şarkıcı	pevec	N;NOM;SG;3	N;NOM;MASC;SG
katıldı	pridružil	kat	pridružiti	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;MASC;SG;V.PTCP
ekonomik	ekonomski	ekonomik	ekonomski	ADJ	ADJ;NOM;MASC;PL
ekonomik	gospodarski	ekonomik	gospodarski	ADJ	ADJ;NOM;MASC;SG
ekonomik	gospodarsko	ekonomik	gospodarski	ADJ	ADJ;NOM;NEUT;SG
ekonomik	ekonomske	ekonomik	ekonomski	ADJ	ADJ;NOM;FEM;PL
ekonomik	ekonomska	ekonomik	ekonomski	ADJ	ADJ;NOM;FEM;SG
adam	tip	adam	tip	N;NOM;SG;3	N;NOM;MASC;SG
adam	mož	adam	mož	N;NOM;SG;3	N;NOM;MASC;SG
adam	človek	adam	človek	N;NOM;SG;3	N;NOM;MASC;SG
hizmet	servis	hizmet	servis	N;NOM;SG;3	N;NOM;MASC;SG
hizmet	storitev	hizmet	storitev	N;NOM;SG;3	N;NOM;FEM;SG
hizmet	servis	hizmet	servis	N;NOM;SG;3	N;NOM;MASC;SG
ilan	oglas	ilan	oglas	N;NOM;SG;3	N;NOM;MASC;SG
sürekli	konstantno	sürekli	konstanten	ADV	ADV
sürekli	nenehno	sürekli	nenehno	ADV	ADV
sürekli	neprekinjeno	sürekli	neprekinjen	ADV	ADV
basketbol	košarka	basketbol	košarka	N;NOM;SG;3	N;NOM;FEM;SG
kullanımı	uporaba	kullanım	uporaba	N;NOM;SG;3	N;NOM;FEM;SG
kullanımı	uporaba	kullanım	uporaba	N;NOM;SG;3	N;NOM;FEM;SG
belli	očiten	belli	očiten	ADJ	ADJ;NOM;INDF;MASC;SG
belli	očitna	belli	očiten	ADJ	ADJ;NOM;FEM;SG
öldü	umrla	öl	umreti	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;V.PTCP
öldü	umrl	öl	umreti	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
hızlı	hitrejše	hızlı	hiter	ADJ	ADJ;NOM;CMPR;NEUT;SG
hızlı	hitrejši	hızlı	hiter	ADJ	ADJ;NOM;DEF;CMPR;MASC;SG
hızlı	hitri	hızlı	hiter	ADJ	ADJ;NOM;DEF;MASC;SG
hızlı	hiter	hızlı	hiter	ADJ	ADJ;NOM;INDF;MASC;SG
hızlı	hitra	hızlı	hiter	ADJ	ADJ;NOM;FEM;SG
hızlı	hitri	hızlı	hiter	ADJ	ADJ;NOM;DEF;MASC;SG
kiralık	izposoja	kiralık	izposoja	N;NOM;SG;3	N;NOM;FEM;SG
kiralık	izposoja	kiralık	izposoja	N;NOM;SG;3	N;NOM;FEM;SG
kiralık	najem	kiralık	najem	N;NOM;SG;3	N;NOM;MASC;SG
kiralık	najem	kiralık	najem	N;NOM;SG;3	N;NOM;MASC;SG
aslında	dejansko	aslında	dejansko	ADV	ADV
madalya	medalja	madalya	medalja	N;NOM;SG;3	N;NOM;FEM;SG
azerbaycan	azerbajdžan	azerbaycan	azerbajdžan	N;NOM;SG;3	N;NOM;MASC;SG
milletvekili	kongresnik	milletvekili	kongresnik	N;NOM;SG;3	N;NOM;MASC;SG
sayfası	stran	sayfa	stran	N;NOM;SG;3	N;NOM;FEM;SG
değişiklik	sprememba	değişiklik	sprememba	N;NOM;SG;3	N;NOM;FEM;SG
değişiklik	sprememba	değişiklik	sprememba	N;NOM;SG;3	N;NOM;FEM;SG
beşiktaş	beşiktaş	beşiktaş	beşiktaş	N;NOM;SG;3	N;NOM;MASC;SG
maddeler	učinkovine	madde	učinkovina	N;NOM;PL;3	N;NOM;FEM;PL
maddeler	snovi	madde	snov	N;NOM;PL;3	N;NOM;FEM;PL
kulübü	klub	kulüb	klub	N;NOM;SG;3	N;NOM;MASC;SG
kulübü	club	kulüb	club	N;NOM;SG;3	N;NOM;MASC;SG
tanımlar	definicije	tanım	definicija	N;NOM;PL;3	N;NOM;FEM;PL
tanımlar	opredelitve	tanım	opredelitev	N;NOM;PL;3	N;NOM;FEM;PL
fark	obvestilo	fark	obvestiti	N;NOM;SG;3	N;NOM;NEUT;SG
fark	spoznanje	fark	spoznanje	N;NOM;SG;3	N;NOM;NEUT;SG
fark	razlika	fark	razlika	N;NOM;SG;3	N;NOM;FEM;SG
ilçesi	okrožje	ilçe	okrožje	N;NOM;SG;3	N;NOM;NEUT;SG
güncelleme	posodobi	güncelle	posodobiti	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;PFV;IND;SG;3;PRS;FIN
baş	glava	baş	glava	N;NOM;SG;3	N;NOM;FEM;SG
yaşam	zivljenje	yaşam	zivljenje	N;NOM;SG;3	N;NOM;NEUT;SG
yaşam	življenje	yaşam	življenje	N;NOM;SG;3	N;NOM;NEUT;SG
kötü	zlo	kötü	zlo		
isim	samostalnik	isim	samostalnik	N;NOM;SG;3	N;NOM;MASC;SG
isim	ime	isim	ime	N;NOM;SG;3	N;NOM;NEUT;SG
gece	noč	gece	noč	N;NOM;SG;3	N;NOM;FEM;SG
emin	samozavesten	emin	samozavesten	ADJ	ADJ;NOM;INDF;MASC;SG
emin	samozavestna	emin	samozavesten	ADJ	ADJ;NOM;FEM;SG
emin	samozavestni	emin	samozavesten	ADJ	ADJ;NOM;MASC;PL
bilgiler	informacije	bilgi	informacija	N;NOM;PL;3	N;NOM;FEM;PL
bilgiler	podatki	bilgi	podatek	N;NOM;PL;3	N;NOM;MASC;PL
bilgiler	informacije	bilgi	informacija	N;NOM;PL;3	N;NOM;FEM;PL
site	namizje	sit	namizje	N;NOM;SG;3	N;NOM;NEUT;SG
sınıf	razred	sınıf	razred	N;NOM;SG;3	N;NOM;MASC;SG
sınıf	pouk	sınıf	pouk	N;NOM;SG;3	N;NOM;MASC;SG
dizisi	zaporedje	dizi	zaporedje	N;NOM;SG;3	N;NOM;NEUT;SG
park	parkiraj	park	parkiraj	N;NOM;SG;3	N;NOM;MASC;SG
park	park	park	park	N;NOM;SG;3	N;NOM;MASC;SG
park	parkiranje	park	parkiranje	N;NOM;SG;3	N;NOM;NEUT;SG
siyasetçi	politik	siyasetçi	politik	N;NOM;SG;3	N;NOM;MASC;SG
edebiyat	književnost	edebiyat	književnost	N;NOM;SG;3	N;NOM;FEM;SG
edebiyat	literatura	edebiyat	literatura	N;NOM;SG;3	N;NOM;FEM;SG
et	goveje	et	goveji		
haber	novica	haber	novica	N;NOM;SG;3	N;NOM;FEM;SG
annesi	mater	anne	mati	N;NOM;SG;3	N;NOM;FEM;SG
annesi	mati	anne	mati	N;NOM;SG;3	N;NOM;FEM;SG
yönetimi	upravljanje	yönetim	upravljanje	N;NOM;SG;3	N;NOM;NEUT;SG
yönetimi	obvladovanje	yönetim	obvladovanje	N;NOM;SG;3	N;NOM;NEUT;SG
yönetimi	dajanje	yönetim	dajanje	N;NOM;SG;3	N;NOM;NEUT;SG
bazen	včasih	bazen	včasih	ADV	ADV
doğum	rojstvo	doğum	rojstvo	N;NOM;SG;3	N;NOM;NEUT;SG
doğum	materinstvo	doğum	materinstvo	N;NOM;SG;3	N;NOM;NEUT;SG
doğum	porodništva	doğum	porodništvo	N;NOM;SG;3	N;NOM;NEUT;SG
güvenlik	varnost	güvenlik	varnost	N;NOM;SG;3	N;NOM;FEM;SG
güvenlik	varovanje	güvenlik	varovanje	N;NOM;SG;3	N;NOM;NEUT;SG
güvenlik	varnost	güvenlik	varnost	N;NOM;SG;3	N;NOM;FEM;SG
başkenti	prestolnica	başkent	prestolnica	N;NOM;SG;3	N;NOM;FEM;SG
başkenti	kapital	başkent	kapital	N;NOM;SG;3	N;NOM;MASC;SG
hala	vseeno	hala	vseeno	ADV	ADV
camii	mošeji	camii	mošej	N;NOM;SG;3	N;NOM;FEM;SG
derneği	združenje	dernek	združenje	N;NOM;SG;3	N;NOM;NEUT;SG
kuruldu	ustanovil	kur	ustanoviti	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;MASC;SG;V.PTCP
enstitüsü	inštitut	enstitü	inštitut	N;NOM;SG;3	N;NOM;MASC;SG
enstitüsü	zavod	enstitü	zavod	N;NOM;SG;3	N;NOM;MASC;SG
öğretim	navodilo	öğretim	navodilo	N;NOM;SG;3	N;NOM;NEUT;SG
öğretim	fakulteta	öğretim	fakulteta	N;NOM;SG;3	N;NOM;FEM;SG
öğretim	poučevanje	öğretim	poučevanje	N;NOM;SG;3	N;NOM;NEUT;SG
dikkat	pozornost	dikkat	pozornost	N;NOM;SG;3	N;NOM;FEM;SG
kurulmuş	ustanovil	kur	ustanoviti	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;PFV;MASC;SG;V.PTCP
bilimsel	znanstvena	bilimsel	znanstven	ADJ	ADJ;NOM;FEM;SG
bilimsel	znanstveno	bilimsel	znanstven	ADJ	ADJ;NOM;NEUT;SG
bilimsel	znanstvene	bilimsel	znanstven	ADJ	ADJ;NOM;FEM;PL
arka	zadaj	arka	zadaj		
arka	zadaj	arka	zadaj		
aşk	love	aşk	lova	N;NOM;SG;3	N;NOM;MASC;SG
aşk	ljubezen	aşk	ljubezen	N;NOM;SG;3	N;NOM;FEM;SG
#aaa	#aaa	#aaa	#aaa		
aydın	aydın	ay	aydın		
sarı	blond	sarı	blond		
etkisi	učinek	etki	učinek	N;NOM;SG;3	N;NOM;MASC;SG
etkisi	trk	etki	trk	N;NOM;SG;3	N;NOM;MASC;SG
etkisi	vpliv	etki	vpliv	N;NOM;SG;3	N;NOM;MASC;SG
etkisi	vplivanje	etki	vplivanje	N;NOM;SG;3	N;NOM;NEUT;SG
etkisi	vpliv	etki	vpliv	N;NOM;SG;3	N;NOM;MASC;SG
etkisi	učinek	etki	učinek	N;NOM;SG;3	N;NOM;MASC;SG
etkisi	efekt	etki	efekt	N;NOM;SG;3	N;NOM;MASC;SG
müdürlüğü	direktorat	müdürlük	direktorat	N;NOM;SG;3	N;NOM;MASC;SG
yeşil	zelene	yeşil	zelen	ADJ	ADJ;NOM;FEM;PL
yeşil	zeleni	yeşil	zelen	ADJ	ADJ;NOM;DEF;MASC;SG
yeşil	zelena	yeşil	zelen	ADJ	ADJ;NOM;FEM;SG
grand	jurja	grand	jurje	N;NOM;SG;3	N;NOM;NEUT;SG
grand	grand	grand	grand	N;NOM;SG;3	N;NOM;MASC;SG
ailesi	druzina	aile	druzina	N;NOM;SG;3	N;NOM;FEM;SG
ailesi	družina	aile	družina	N;NOM;SG;3	N;NOM;FEM;SG
insanlar	ljudje	insan	človek	N;NOM;PL;3	N;NOM;MASC;PL
insanlar	ljudje	insan	človek	N;NOM;PL;3	N;NOM;MASC;PL
insanlar	osebe	insan	oseba	N;NOM;PL;3	N;NOM;FEM;PL
parçası	del	parça	del	N;NOM;SG;3	N;NOM;MASC;SG
bilgisayar	računalnik	bilgisayar	računalnik	N;NOM;SG;3	N;NOM;MASC;SG
sınırları	meje	sınır	meja	N;NOM;PL;3	N;NOM;FEM;PL
sınırları	meje	sınır	meja	N;NOM;PL;3	N;NOM;FEM;PL
sınırları	omejitve	sınır	omejitev	N;NOM;PL;3	N;NOM;FEM;PL
sınırları	meje	sınır	meja	N;NOM;PL;3	N;NOM;FEM;PL
parlaklık	svetlost	parlaklık	svetlost	N;NOM;SG;3	N;NOM;FEM;SG
demokratik	demokratične	demokratik	demokratičen	ADJ	ADJ;NOM;FEM;PL
demokratik	demokratični	demokratik	demokratičen	ADJ	ADJ;NOM;MASC;SG
demokratik	demokratična	demokratik	demokratičen	ADJ	ADJ;NOM;FEM;SG
vb	etc	vb	etc		
vb	itd	vb	itd		
sistem	sistem	sistem	sistem	N;NOM;SG;3	N;NOM;MASC;SG
şimdi	zdaj	şimdi	zdaj	ADV	ADV
şimdi	sedaj	şimdi	sedaj	ADV	ADV
amacı	namen	amaç	namen	N;NOM;SG;3	N;NOM;MASC;SG
özellikleri	lastnosti	özellik	lastnost	N;NOM;PL;3	N;NOM;FEM;PL
özellikleri	značilnosti	özellik	značilnost	N;NOM;PL;3	N;NOM;FEM;PL
özellikleri	atributi	özellik	atribut	N;NOM;PL;3	N;NOM;MASC;PL
özellikleri	lastnosti	özellik	lastnost	N;NOM;PL;3	N;NOM;FEM;PL
özellikleri	značilnosti	özellik	značilnost	N;NOM;PL;3	N;NOM;FEM;PL
özellikleri	lastnosti	özellik	lastnost	N;NOM;PL;3	N;NOM;FEM;PL
sovyetler	sovjeti	sovyet	sovjeti	N;NOM;PL;3	N;NOM;MASC;PL
kişilik	osebnost	kişilik	osebnost	N;NOM;SG;3	N;NOM;FEM;SG
boş	prazno	boş	prazen	ADJ	ADJ;NOM;NEUT;SG
boş	prazni	boş	prazen	ADJ	ADJ;NOM;MASC;PL
boş	prazna	boş	prazen	ADJ	ADJ;NOM;FEM;SG
boş	prazen	boş	prazen	ADJ	ADJ;NOM;INDF;MASC;SG
boş	prazen	boş	prazen	ADJ	ADJ;NOM;INDF;MASC;SG
boş	prazno	boş	prazen	ADJ	ADJ;NOM;NEUT;SG
adası	island	ada	island	N;NOM;SG;3	N;NOM;MASC;SG
adası	otok	ada	otok	N;NOM;SG;3	N;NOM;MASC;SG
kim	kdo	kim	kdo	PRO;NOM;SG;3	PRO;NOM;MASC;SG
alınan	prejeti	al	prejeti	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;NFIN
alınan	vzet	al	vzet	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;NFIN
federasyonu	federacija	federasyon	federacija	N;NOM;SG;3	N;NOM;FEM;SG
uyum	skladnost	uyum	skladnost	N;NOM;SG;3	N;NOM;FEM;SG
uyum	harmoniji	uyum	harmonija	N;NOM;SG;3	N;NOM;FEM;SG
uyum	harmonija	uyum	harmonija	N;NOM;SG;3	N;NOM;FEM;SG
uyum	harmony	uyum	harmony	N;NOM;SG;3	N;NOM;MASC;SG
resimleri	slike	resim	slika	N;NOM;PL;3	N;NOM;FEM;PL
resimleri	fotke	resim	fotek	N;NOM;PL;3	N;NOM;FEM;PL
yapısı	zgradba	yapı	zgradba	N;NOM;SG;3	N;NOM;FEM;SG
yapısı	struktura	yapı	struktura	N;NOM;SG;3	N;NOM;FEM;SG
yapısı	konstrukcija	yapı	konstrukcija	N;NOM;SG;3	N;NOM;FEM;SG
çıkış	izstop	çıkış	izstop		
iletişim	obveščanje	iletiş	obveščanje	N;NOM;SG;3	N;NOM;NEUT;SG
iletişim	komunikacija	iletiş	komunikacija	N;NOM;SG;3	N;NOM;FEM;SG
iletişim	komuniciranje	iletiş	komuniciranje	N;NOM;SG;3	N;NOM;NEUT;SG
iletişim	sporazumevanje	iletiş	sporazumevanje	N;NOM;SG;3	N;NOM;NEUT;SG
iletişim	sporočanje	iletiş	sporočanje	N;NOM;SG;3	N;NOM;NEUT;SG
iletişim	kontakt	iletiş	kontakt	N;NOM;SG;3	N;NOM;MASC;SG
iletişim	stik	iletiş	stik	N;NOM;SG;3	N;NOM;MASC;SG
iletişim	komuniciranje	iletiş	komuniciranje	N;NOM;SG;3	N;NOM;NEUT;SG
attı	vrgel	at	vreči	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;SG;V.PTCP
öğrenci	kadet	öğrenci	kadet	N;NOM;SG;3	N;NOM;MASC;SG
öğrenci	dijak	öğrenci	dijak	N;NOM;SG;3	N;NOM;MASC;SG
öğrenci	študent	öğrenci	študent	N;NOM;SG;3	N;NOM;MASC;SG
öğrenci	učenec	öğrenci	učenec	N;NOM;SG;3	N;NOM;MASC;SG
öğrenci	študentka	öğrenci	študentka	N;NOM;SG;3	N;NOM;FEM;SG
öğrenci	učenka	öğrenci	učenek	N;NOM;SG;3	N;NOM;FEM;SG
üyeleri	poslanci	üye	poslanec	N;NOM;PL;3	N;NOM;MASC;PL
üyeleri	članice	üye	članica	N;NOM;PL;3	N;NOM;FEM;PL
üyeleri	člani	üye	član	N;NOM;PL;3	N;NOM;MASC;PL
baba	ata	baba	at	N;NOM;SG;3	N;NOM;MASC;SG
baba	oče	baba	oče	N;NOM;SG;3	N;NOM;MASC;SG
baba	očka	baba	očka	N;NOM;SG;3	N;NOM;MASC;SG
baba	oče	baba	oče	N;NOM;SG;3	N;NOM;MASC;SG
erkekler	moške	erkek	moški	ADJ;NOM;PL;3	ADJ;NOM;FEM;PL
sonuçlar	izidi	sonuç	izid	N;NOM;PL;3	N;NOM;MASC;PL
sonuçlar	rezultati	sonuç	rezultat	N;NOM;PL;3	N;NOM;MASC;PL
sonuçlar	izidi	sonuç	izid	N;NOM;PL;3	N;NOM;MASC;PL
sonuçlar	posledice	sonuç	posledica	N;NOM;PL;3	N;NOM;FEM;PL
sonuçlar	sklepi	sonuç	sklep	N;NOM;PL;3	N;NOM;MASC;PL
sonuçlar	zaključki	sonuç	zaključek	N;NOM;PL;3	N;NOM;MASC;PL
onları	jih	o	on	PRO;ACC;PL;3	PRO;ACC;MASC;PL;3
tarihleri	datume	tarih	datum	N;ACC;PL;3	N;ACC;MASC;PL
soğuk	ohlajeno	soğuk	ohlajen	ADJ	ADJ;NOM;NEUT;SG;V.PTCP
soğuk	ohlajeni	soğuk	ohlajen	ADJ	ADJ;NOM;MASC;PL;V.PTCP
soğuk	mrzlo	soğuk	mrzel	ADJ	ADJ;NOM;NEUT;SG
soğuk	hladno	soğuk	hladen	ADJ	ADJ;NOM;NEUT;SG
soğuk	mrzla	soğuk	mrzel	ADJ	ADJ;NOM;FEM;SG
soğuk	mrzel	soğuk	mrzel	ADJ	ADJ;NOM;INDF;MASC;SG
kültürel	kulturno	kültürel	kulturen	ADJ	ADJ;NOM;NEUT;SG
kültürel	kulturne	kültürel	kulturen	ADJ	ADJ;NOM;FEM;PL
kültürel	kulturni	kültürel	kulturen	ADJ	ADJ;NOM;DEF;MASC;SG
kültürel	kulturna	kültürel	kulturen	ADJ	ADJ;NOM;FEM;SG
kurdu	volk	kurt	volk	N;NOM;SG;3	N;NOM;MASC;SG
birisi	nekdo	biri	nekdo	PRO;NOM;SG;3	PRO;NOM;MASC;SG
birisi	nekdo	biri	nekdo	PRO;NOM;SG;3	PRO;NOM;MASC;SG
projesi	projekt	proje	projekt	N;NOM;SG;3	N;NOM;MASC;SG
nedeni	motiv	neden	motiv	N;NOM;SG;3	N;NOM;MASC;SG
nedeni	razlog	neden	razlog	N;NOM;SG;3	N;NOM;MASC;SG
nedeni	vzrok	neden	vzrok	N;NOM;SG;3	N;NOM;MASC;SG
kararı	sklep	karar	sklep	N;NOM;SG;3	N;NOM;MASC;SG
kararı	odločitev	karar	odločitev	N;NOM;SG;3	N;NOM;FEM;SG
kararı	odločba	karar	odločba	N;NOM;SG;3	N;NOM;FEM;SG
kamu	javnost	kamu	javnost	N;NOM;SG;3	N;NOM;FEM;SG
kişiler	osebe	kişi	oseba	N;NOM;PL;3	N;NOM;FEM;PL
kişiler	ljudje	kişi	človek	N;NOM;PL;3	N;NOM;MASC;PL
kişiler	osebe	kişi	oseba	N;NOM;PL;3	N;NOM;FEM;PL
kişiler	stiki	kişi	stik	N;NOM;PL;3	N;NOM;MASC;PL
uydu	satelit	uy	satelit	N;NOM;SG;3	N;NOM;MASC;SG
uydu	sat	uy	sat	N;NOM;SG;3	N;NOM;MASC;SG
basit	preprost	basit	preprosto	ADJ	ADJ;NOM;INDF;MASC;SG
