kategória	kategorija	kategória	kategorija	N;NOM;FEM;SG	N;NOM;FEM;SG
pravidelne	redno	pravidelne	redno	ADV	ADV
pravidelne	redno	pravidelne	redno	ADV	ADV
pravidelne	periodično	pravidelne	periodično	ADV	ADV
kráľovná	kraljica	kráľovná	kraljica	N;NOM;FEM;SG	N;NOM;FEM;SG
autori	pisatelji	autori	pisatelj	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
autori	avtorji	autori	avtor	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
pravidlá	pravila	pravidlo	pravilo	N;NOM;NEUT;PL	N;NOM;NEUT;PL
pravidlá	predpisi	pravidlo	predpis	N;NOM;NEUT;PL	N;NOM;MASC;PL
vzdelanie	izobrazba	vzdelanie	izobrazba	N;NOM;NEUT;SG	N;NOM;FEM;SG
vzdelanie	izobraževanje	vzdelanie	izobraževanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
kozmonaut	kozmonavt	kozmonaut	kozmonavt	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
kozmonaut	astronavt	kozmonaut	astronavt	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
fotografie	fotografije	fotografia	fotografija	N;NOM;FEM;PL	N;NOM;FEM;PL
fotografie	fotografije	fotografia	fotografija	N;NOM;FEM;PL	N;NOM;FEM;PL
fotografie	slike	fotografia	slika	N;NOM;FEM;PL	N;NOM;FEM;PL
vojsko	vojska	vojsko	vojska	N;NOM;NEUT;SG	N;NOM;FEM;SG
vojsko	čet	vojsko	čet	N;NOM;NEUT;SG	N;NOM;MASC;SG
vojsko	armada	vojsko	armada	N;NOM;NEUT;SG	N;NOM;FEM;SG
vojsko	vojska	vojsko	vojska	N;NOM;NEUT;SG	N;NOM;FEM;SG
island	islandija	island	islandija	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
mier	mir	mier	mir	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
opis	opis	opis	opis	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
opis	poimenovanje	opis	poimenovanje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
patrila	pripadal	patriť	pripadati	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
patrila	pripadala	patriť	pripadati	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
bližšie	bliže	blízko	blizu	ADV;CMPR	ADV;CMPR
bližšie	bližje	blízko	blizu	ADV;CMPR	ADV;CMPR
preteky	rase	preteky	rase	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
preteky	dirke	preteky	dirka	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
preteky	dirke	preteky	dirka	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
tlak	pritisk	tlak	pritisk	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
tlak	tlak	tlak	tlak	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
vysoký	visoka	vysoký	visok	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
vysoký	visok	vysoký	visok	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
vysoký	visoka	vysoký	visok	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
poitou	poitou	poit	poito	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vosges	vosges	vosges	vosges	N;NOM;MASC;SG	N;NOM;MASC;SG
stroj	mašina	stroj	mašina	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
stroj	stroj	stroj	stroj	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
konal	ravnala	konať	ravnati	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
filozofi	filozofi	filozofi	filozof	N;ANIM;NOM;MASC;PL	N;NOM;MASC;PL
štít	ščit	štít	ščit	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
stroje	stroji	stroj	stroj	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
stroje	stroji	stroj	stroj	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
chemik	kemik	chemik	kemik	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
ťažko	trdo	ťažko	trdo	ADV	ADV
ťažko	komaj	ťažko	komaj	ADV	ADV
ťažko	komajda	ťažko	komajda	ADV	ADV
štruktúra	tekstura	štruktúra	tekstura	N;NOM;FEM;SG	N;NOM;FEM;SG
štruktúra	zgradba	štruktúra	zgradba	N;NOM;FEM;SG	N;NOM;FEM;SG
štruktúra	struktura	štruktúra	struktura	N;NOM;FEM;SG	N;NOM;FEM;SG
štruktúra	konstrukcija	štruktúra	konstrukcija	N;NOM;FEM;SG	N;NOM;FEM;SG
priebeh	progress	priebeh	progress	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
priebeh	napredek	priebeh	napredek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
publicista	publicistka	publicista	publicistka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
princíp	princip	princíp	princip	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
princíp	načelo	princíp	načelo	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
profesionálny	strokovna	profesionálny	strokoven	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
profesionálny	poklicna	profesionálny	poklicen	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
profesionálny	strokovni	profesionálny	strokoven	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
operácie	operacije	operácia	operacija	N;NOM;FEM;PL	N;NOM;FEM;PL
operácie	operacije	operácia	operacija	N;NOM;FEM;PL	N;NOM;FEM;PL
ryby	ribe	ryba	riba	N;NOM;FEM;PL	N;NOM;FEM;PL
ryby	ribice	ryba	ribica	N;NOM;FEM;PL	N;NOM;FEM;PL
ryby	ribe	ryba	riba	N;NOM;FEM;PL	N;NOM;FEM;PL
ryby	ribice	ryba	ribica	N;NOM;FEM;PL	N;NOM;FEM;PL
inžinier	inženir	inžinker	inženir	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vedúci	upravnik	vedúci	upravnik	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vedúci	upravitelj	vedúci	upravitelj	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vedúci	upravljalnik	vedúci	upravljalnik	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vedúci	menedžer	vedúci	menedžer	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vedúci	svinec	vedúci	svinec	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
muž	samec	muž	samec	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
muž	mož	muž	mož	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
muž	človek	muž	človek	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
marek	marek	marek	marek	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
mix	mešanica	mix	mešanica	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
gitarista	kitarist	gitarista	kitarist	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
kameň	stone	kameň	stona	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
kameň	kamen	kameň	kamen	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
kameň	rock	kameň	rock	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
kameň	kamen	kameň	kamen	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
kameň	skala	kameň	skala	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
pôdy	tla	pôda	tla	N;NOM;FEM;PL	N;NOM;NEUT;PL
pôdy	zemljišča	pôda	zemljišče	N;NOM;FEM;PL	N;NOM;NEUT;PL
pôdy	prsti	pôda	prst	N;NOM;FEM;PL	N;NOM;MASC;PL
stanislav	stanislav	stanislav	stanislav	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
vhodné	primerno	vhodný	primeren	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
vhodné	ustrezna	vhodný	ustrezen	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
vhodné	primerna	vhodný	primeren	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
vhodné	ustrezen	vhodný	ustrezen	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
vhodné	primerna	vhodný	primeren	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
vhodné	primerno	vhodný	primeren	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
vhodné	ustrezna	vhodný	ustrezen	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
vhodné	primeren	vhodný	primeren	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
gymnázium	slovnica	gymnázium	slovnica	N;NOM;NEUT;SG	N;NOM;FEM;SG
gymnázium	telovadnica	gymnázium	telovadnica	N;NOM;NEUT;SG	N;NOM;FEM;SG
dobré	pridna	dobrý	pridno	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
dobré	dober	dobrý	dober	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
osobný	osebno	osobný	oseben	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
osobný	osebni	osobný	oseben	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
osobný	osebna	osobný	oseben	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
zmluva	pogodba	zmluva	pogodba	N;NOM;FEM;SG	N;NOM;FEM;SG
zmluva	naročilo	zmluva	naročiti	N;NOM;FEM;SG	N;NOM;NEUT;SG
zmluva	pogodba	zmluva	pogodba	N;NOM;FEM;SG	N;NOM;FEM;SG
dlhá	dolg	dlhý	dolg	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
dlhá	dolgi	dlhý	dolg	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
dlhá	dolga	dlhý	dolg	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
zvyšok	ostanek	zvyšok	ostanek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
zvyšok	ostanek	zvyšok	ostanek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
zvyšok	počitka	zvyšok	počitek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
zvyšok	počitek	zvyšok	počitek	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
charentes	charentes	charentes	charentes	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
úlohy	naloge	úloha	naloga	N;NOM;FEM;PL	N;NOM;FEM;PL
úlohy	vloge	úloha	vloga	N;NOM;FEM;PL	N;NOM;FEM;PL
úlohy	zadolžitve	úloha	zadolžitev	N;NOM;FEM;PL	N;NOM;FEM;PL
klávesy	tipke	kláves	tipek	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
klávesy	ključi	kláves	ključ	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
klávesy	klaviature	kláves	klaviatura	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
klávesy	tipkovnice	kláves	tipkovnica	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
novinár	novinarka	novinár	novinarka	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
novinár	novinar	novinár	novinar	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
nikto	nihče	nikto	nihče	PRO;ANIM;NOM;MASC;SG	PRO;NOM;MASC;SG
údajne	domnevno	údajne	domnevno	ADV	ADV
údajne	domnevno	údajne	domnevno	ADV	ADV
údajne	domnevno	údajne	domnevno	ADV	ADV
linky	črte	linka	črta	N;NOM;FEM;PL	N;NOM;FEM;PL
linky	vrstice	linka	vrstica	N;NOM;FEM;PL	N;NOM;FEM;PL
linky	proge	linka	proga	N;NOM;FEM;PL	N;NOM;FEM;PL
linky	povezave	linka	povezava	N;NOM;FEM;PL	N;NOM;FEM;PL
diaľnica	avtocesta	diaľnica	avtocesta	N;NOM;FEM;SG	N;NOM;FEM;SG
diaľnica	avtocesta	diaľnica	avtocesta	N;NOM;FEM;SG	N;NOM;FEM;SG
schopný	zmožen	schopný	zmožen	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
schopný	sposoben	schopný	sposoben	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
trh	trg	trh	trg	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
trh	tržišče	trh	tržišče	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
prevádzky	operacije	prevádzka	operacija	N;NOM;FEM;PL	N;NOM;FEM;PL
prevádzky	ustanove	prevádzka	ustanova	N;NOM;FEM;PL	N;NOM;FEM;PL
prevádzky	obrati	prevádzka	obrati	N;NOM;FEM;PL	N;NOM;MASC;PL
prevádzky	objekti	prevádzka	objekt	N;NOM;FEM;PL	N;NOM;MASC;PL
prevádzky	naprave	prevádzka	naprava	N;NOM;FEM;PL	N;NOM;FEM;PL
prevádzky	inštalacije	prevádzka	inštalacija	N;NOM;FEM;PL	N;NOM;FEM;PL
prevádzky	obrati	prevádzka	obrati	N;NOM;FEM;PL	N;NOM;MASC;PL
láska	love	láska	lova	N;NOM;FEM;SG	N;NOM;MASC;SG
láska	ljubezen	láska	ljubezen	N;NOM;FEM;SG	N;NOM;FEM;SG
index	indeks	index	indeks	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
štruktúry	konstrukcije	štruktúra	konstrukcija	N;NOM;FEM;PL	N;NOM;FEM;PL
štruktúry	strukture	štruktúra	struktura	N;NOM;FEM;PL	N;NOM;FEM;PL
americké	ameriško	americký	ameriški	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
americké	ameriški	americký	ameriški	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
americké	ameriška	americký	ameriški	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
rezervácie	rezervacije	rezervácia	rezervacija	N;NOM;FEM;PL	N;NOM;FEM;PL
rezervácie	rezervacije	rezervácia	rezervacija	N;NOM;FEM;PL	N;NOM;FEM;PL
rezervácie	rezervacije	rezervácia	rezervacija	N;NOM;FEM;PL	N;NOM;FEM;PL
rezervácie	rezervacije	rezervácia	rezervacija	N;NOM;FEM;PL	N;NOM;FEM;PL
fakulta	fakulteta	fakult	fakulteta	N;NOM;FEM;SG	N;NOM;FEM;SG
európsky	evropski	európsky	evropski	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG
európsky	evropska	európsky	evropski	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
európsky	evropsko	európsky	evropski	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
hmotnosti	množice	hmotnosť	množica	N;NOM;FEM;PL	N;NOM;FEM;PL
hmotnosti	mase	hmotnosť	masa	N;NOM;FEM;PL	N;NOM;FEM;PL
píše	piše	písať	pisati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
kapela	band	kapel	band	N;NOM;FEM;SG	N;NOM;MASC;SG
kapela	bend	kapel	bend	N;NOM;FEM;SG	N;NOM;MASC;SG
kapela	ansambel	kapel	ansambel	N;NOM;FEM;SG	N;NOM;MASC;SG
písomná	napisano	písomný	napisan	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG;V.PTCP
písomná	napisana	písomný	napisan	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;V.PTCP
písomná	pisna	písomný	pisen	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
písomná	zapisano	písomný	zapisan	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG;V.PTCP
katedrála	katedrala	katedrál	katedrala	N;NOM;FEM;SG	N;NOM;MASC;SG
katedrála	katedrali	katedrál	katedrala	N;NOM;FEM;SG	N;NOM;FEM;SG
vojenský	vojaška	vojenský	vojaški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
vojenský	vojaški	vojenský	vojaški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
vojenský	vojaško	vojenský	vojaški	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
plán	načrt	plán	načrt	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
plán	plan	plán	plan	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
auvergne	auvergne	auvergne	auvergen	N;NOM;FEM;SG	N;NOM;MASC;SG
tretia	tretje	tretí	tretji	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
tretia	tretji	tretí	tretji	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
tretia	tretja	tretí	tretji	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
podobný	podoben	podobný	podoben	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
podobný	podobna	podobný	podoben	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
podobný	podobno	podobný	podoben	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
osi	osi	osi	osi	N;NOM;FEM;SG	N;NOM;MASC;SG
osi	osi	osi	osi	N;NOM;FEM;SG	N;NOM;MASC;SG
osi	os	osi	os	N;NOM;FEM;SG	N;NOM;MASC;SG
stredisko	središče	stredisko	središče	N;NOM;NEUT;SG	N;NOM;NEUT;SG
stredisko	center	stredisko	center	N;NOM;NEUT;SG	N;NOM;MASC;SG
synov	sinove	syn	sin	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL
členenie	razčlenitev	členenie	razčlenitev	N;NOM;NEUT;SG	N;NOM;FEM;SG
členenie	razdelitev	členenie	razdelitev	N;NOM;NEUT;SG	N;NOM;FEM;SG
členenie	razčlenitev	členenie	razčlenitev	N;NOM;NEUT;SG	N;NOM;FEM;SG
spisovateľka	pisec	spisovateľka	pisec	N;NOM;FEM;SG	N;NOM;MASC;SG
spisovateľka	pisateljica	spisovateľka	pisateljica	N;NOM;FEM;SG	N;NOM;FEM;SG
spisovateľka	pisatelj	spisovateľka	pisatelj	N;NOM;FEM;SG	N;NOM;MASC;SG
postaviť	zgradi	postaviť	zgraditi	V;PFV;POS;NFIN	V;PFV;IND;SG;3;PRS;FIN
postaviť	zgraditi	postaviť	zgraditi	V;PFV;POS;NFIN	V;PFV;NFIN
postaviť	zgradil	postaviť	zgraditi	V;PFV;POS;NFIN	V;PFV;MASC;SG;V.PTCP
prišli	prispele	prísť	prispeti	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	V;PFV;FEM;PL;V.PTCP
prišli	prispeli	prísť	prispeti	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	V;PFV;MASC;PL;V.PTCP
štátne	državno	štátny	državen	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
dosiahnuť	doseči	dosiahnuť	doseči	V;PFV;POS;NFIN	V;PFV;NFIN
dosiahnuť	doseči	dosiahnuť	doseči	V;PFV;POS;NFIN	V;PFV;NFIN
povedal	povedal	povedať	povedati	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
medailu	medaljo	medaila	medalja	N;ACC;FEM;SG	N;ACC;FEM;SG
škôl	šol	škola	šola	N;GEN;FEM;PL	N;GEN;FEM;PL
žiarenia	sevanja	žiarenie	sevanji	N;NOM;NEUT;PL	N;NOM;NEUT;PL
celková	splošno	celkový	splošen	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
straty	izgube	strata	izguba	N;NOM;FEM;PL	N;NOM;FEM;PL
straty	žrtve	strata	žrtev	N;NOM;FEM;PL	N;NOM;FEM;PL
pes	kuža	pes	kuža	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
pes	pes	pes	pes	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
minister	ministrica	minister	ministrica	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
minister	minister	minister	minister	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
momentálne	trenutno	momentálne	trenutno	ADV	ADV
predchodca	predhodnik	predchodca	predhodnik	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
mori	mori	more	mora	N;NOM;NEUT;SG	N;NOM;MASC;SG
mori	morje	more	morje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
domy	hiške	dom	hiška	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
domy	hiše	dom	hiša	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
domy	domovi	dom	domov	N;INAN;NOM;MASC;PL	N;NOM;MASC;PL
polovica	polovica	polovica	polovica	N;NOM;FEM;SG	N;NOM;FEM;SG
lety	leti	let	leto	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
techniky	tehnike	technika	tehnika	N;NOM;FEM;PL	N;NOM;FEM;PL
sopka	vulkan	sopka	vulkan	N;NOM;FEM;SG	N;NOM;MASC;SG
kariéru	kariero	kariéra	kariera	N;ACC;FEM;SG	N;ACC;FEM;SG
zlaté	luštno	zlatý	lušten	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
zlaté	zlato	zlatý	zlat	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
zlaté	zlata	zlatý	zlat	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
zlaté	zlati	zlatý	zlat	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
súčasná	sočasni	súčasný	sočasen	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
súčasná	sočasna	súčasný	sočasen	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
súčasná	sodobno	súčasný	sodoben	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
súčasná	sodobna	súčasný	sodoben	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
súčasná	sodobni	súčasný	sodoben	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
alexandra	alexandra	alexandra	alexandra	N;NOM;FEM;SG	N;NOM;MASC;SG
alexandra	aleksandra	alexandra	aleksander	N;NOM;FEM;SG	N;NOM;MASC;SG
starší	starejši	starý	star	ADJ;ANIM;NOM;CMPR;MASC;SG	ADJ;NOM;DEF;CMPR;MASC;SG
starší	starejše	starý	star	ADJ;ANIM;NOM;CMPR;MASC;SG	ADJ;NOM;CMPR;FEM;SG
starší	starejša	starý	star	ADJ;ANIM;NOM;CMPR;MASC;SG	ADJ;NOM;CMPR;FEM;SG
starší	starejši	starý	star	ADJ;ANIM;NOM;CMPR;MASC;SG	ADJ;NOM;DEF;CMPR;MASC;SG
starší	starejše	starý	star	ADJ;ANIM;NOM;CMPR;MASC;SG	ADJ;NOM;CMPR;FEM;SG
karty	kartice	karta	kartica	N;NOM;FEM;PL	N;NOM;FEM;PL
karty	karte	karta	karta	N;NOM;FEM;PL	N;NOM;FEM;PL
študentov	študente	študent	študent	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL
určený	odločna	určený	odločen	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;FEM;SG
určený	odločena	určený	odločen	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
určený	odločen	určený	odločen	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
určený	določen	určený	določen	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
určený	določena	určený	določen	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
pomenovanie	izraz	pomenovanie	izraz	N;NOM;NEUT;SG	N;NOM;MASC;SG
pomenovanie	termin	pomenovanie	termin	N;NOM;NEUT;SG	N;NOM;MASC;SG
pomenovanie	poimenovanje	pomenovanie	poimenovanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
pomenovanie	poimenovanje	pomenovanie	poimenovanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
minimálne	minimalno	minimálne	minimalno	ADV	ADV
minimálne	minimalno	minimálne	minimalno	ADV	ADV
metódy	metode	metóda	metoda	N;NOM;FEM;PL	N;NOM;FEM;PL
útočník	napadalec	útočník	napadalec	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
útočník	striker	útočník	striker	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
podniky	podjetja	podnik	podjetje	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
podniky	podjetji	podnik	podjetje	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
podniky	podjetja	podnik	podjetje	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
podniky	podjetja	podnik	podjetje	N;INAN;NOM;MASC;PL	N;NOM;NEUT;PL
podniky	zaveze	podnik	zaveza	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
základ	izhodišče	základ	izhodišče	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
základ	fundacija	základ	fundacija	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
základ	temelj	základ	temelj	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
základ	sklad	základ	sklad	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
základ	osnova	základ	osnova	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
základ	podlaga	základ	podlaga	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
základ	baza	základ	baza	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
základ	osnova	základ	osnova	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
základ	oporišče	základ	oporišče	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
obyčajne	običajno	obyčajne	običajno	ADV	ADV
obyčajne	navadno	obyčajne	navadno	ADV	ADV
obyčajne	ponavadi	obyčajne	ponavadi	ADV	ADV
nástroj	inštrument	nástroj	inštrument	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
nástroj	instrument	nástroj	instrument	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
nástroj	orodje	nástroj	orodje	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
radio	radio	radio	radio	N;NOM;NEUT;SG	N;NOM;MASC;SG
európske	evropski	európsky	evropski	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
európske	evropska	európsky	evropski	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
európske	evropsko	európsky	evropski	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
rozšírenie	razširitev	rozšírenie	razširitev	N;NOM;NEUT;SG	N;NOM;FEM;SG
rozšírenie	podaljšek	rozšírenie	podaljšek	N;NOM;NEUT;SG	N;NOM;MASC;SG
rozšírenie	podaljšanje	rozšírenie	podaljšanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
rozšírenie	razširitev	rozšírenie	razširitev	N;NOM;NEUT;SG	N;NOM;FEM;SG
rozšírenie	širjenje	rozšírenie	širjenje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
rozšírenie	širitev	rozšírenie	širitev	N;NOM;NEUT;SG	N;NOM;FEM;SG
rozšírenie	širitev	rozšírenie	širitev	N;NOM;NEUT;SG	N;NOM;FEM;SG
rozšírenie	povečevanje	rozšírenie	povečevanje	N;NOM;NEUT;SG	N;NOM;NEUT;SG
