年	tahun	年	tahun	N	N;SG
任務	tugas	任務	tugas	N	N;SG
任務	tugas	任務	tugas	N	N;SG
任務	misi	任務	misi	N	N;SG
商業	perdagangan	商業	perdagangan	N	N;SG
商業	komersil	商業	komersil	N	N;SG
商業	bisnis	商業	bisnis	N	N;SG
基金	dana	基金	dana	N	N;SG
基金	dana	基金	dana	N	N;SG
空間	spasi	空間	spasi	N	N
空間	ruang	空間	ruang	N	N;SG
空間	spasi	空間	spasi	N	N
空間	angkasa	空間	angkasa	N	N;SG
詩	puisi	詩	puisi	N	N
詩	puisi	詩	puisi	N	N
詩	puisi	詩	puisi	N	N
提高	naikkan	提高	naikkan	V	V;SG;ACT
提高	tingkatkan	提高	tingkatkan	V	V;SG;ACT
提高	meningkat	提高	mentingkat	V	V;SG;ACT
提高	meningkatkan	提高	mentingkatkan	V	V;SG;ACT
嚴重	serius	嚴重	serius	ADJ	ADJ;SG
嚴重	parah	嚴重	parah	ADJ	ADJ;SG
論	teori	論	teori	N	N;SG
母親	ibu	母親	ibu	N	N;SG
訓練	berlatih	訓練	berlatih	V	V;SG;ACT
行為	perilaku	行為	perilaku	N	N;SG
行為	kelakuan	行為	kelakuan	N	N;SG
行為	perilaku	行為	perilaku	N	N;SG
行為	perilakunya	行為	perilakunya	N	N;SG
行為	tingkah	行為	tingkah	N	N;SG
行為	perilaku	行為	perilaku	N	N;SG
行為	kelakuan	行為	kelakuan	N	N;SG
行為	prilaku	行為	prilaku	N	N;SG
行為	perilaku	行為	perilaku	N	N;SG
工業	industri	工業	industri	N	N;SG
工業	industri	工業	industri	N	N;SG
工業	industri	工業	industri	N	N;SG
坦克	tangki	坦克	tangki	N	N;SG
坦克	tank	坦克	tank	N	N
坦克	tank	坦克	tank	N	N
劇場	teater	劇場	teater	N	N
劇場	bioskop	劇場	bioskop	N	N
劇場	teater	劇場	teater	N	N
劇場	bioskop	劇場	bioskop	N	N
授予	diberikan	授予	diberikan	V	V;SG;PASS
授予	dianugerahi	授予	dianugerahi	V	V;SG;PASS
水域	perairan	水域	perairan	N	N;SG
水域	air	水域	air	N	N;SG
收入	pendapatan	收入	pendapatan	N	N;SG
收入	pendapatan	收入	pendapatan	N	N;SG
收入	penghasilan	收入	penhasilan	N	N;SG
收入	pendapatan	收入	pendapatan	N	N;SG
收入	penghasilan	收入	penhasilan	N	N;SG
收入	pemasukan	收入	penpasukan	N	N;SG
成績	pencapaian	成績	pencapaian	N	N;SG
成績	prestasi	成績	prestasi	N	N;SG
成績	pencapaian	成績	pencapaian	N	N;SG
成績	prestasi	成績	prestasi	N	N;SG
姓	marga	姓	marga	N	N;SG
菜	hidangan	菜	hidangan	N	N;SG
菜	piring	菜	piring	N	N;SG
菜	masakan	菜	masakan	N	N;SG
菜	piring	菜	piring	N	N;SG
灰	kelabu	灰	kelabu	N	N
灰	kelabu	灰	kelabu	N	N
工具	perkakas	工具	perkakas	N	N;SG
工具	alat	工具	alat	N	N;SG
工具	perkakas	工具	perkakas	N	N;SG
工具	alat	工具	alat	N	N;SG
工具	peralatan	工具	peralatan	N	N;SG
工具	tools	工具	tools	N	N
提升	tingkatkan	提升	tingkatkan	V	V;SG;ACT
提升	perbarui	提升	perbarui	V	V;SG;ACT
提升	mengangkat	提升	menangkat	V	V;SG;ACT
退	mundur	退	mundur	V	V;SG;ACT
持續	berkelanjutan	持續	berkelanjutan	V	V;SG;ACT
持續	berkelanjutan	持續	berkelanjutan	V	V;SG;ACT
品牌	merek	品牌	merek	N	N;SG
品牌	merk	品牌	merk	N	N;SG
品牌	merek	品牌	merek	N	N;SG
翻譯	menerjemahkan	翻譯	menterjemahkan	V	V;SG;ACT
翻譯	diterjemahkan	翻譯	diterjemahkan	V	V;SG;PASS
翻譯	menerjemahkan	翻譯	menterjemahkan	V	V;SG;ACT
翻譯	terjemahkan	翻譯	terjemahkan	V	V;SG;PASS
目標	tujuan	目標	tujuan	N	N;SG
目標	gawang	目標	gawang	N	N;SG
目標	sasaran	目標	sasaran	N	N;SG
目標	gol	目標	gol	N	N;SG
目標	tujuan	目標	tujuan	N	N;SG
目標	gol	目標	gol	N	N;SG
目標	tujuan	目標	tujuan	N	N;SG
目標	tujuan	目標	tujuan	N	N;SG
目標	target	目標	target	N	N;SG
目標	targetkan	目標	targetkan	N	N;SG
目標	sasaran	目標	sasaran	N	N;SG
目標	target	目標	target	N	N;SG
基礎	pangkalan	基礎	pangkalan	N	N;SG
基礎	base	基礎	base	N	N
基礎	markas	基礎	markas	N	N;SG
自動	auto	自動	auto	N	N;SG
自動	otomotif	自動	otomotif	N	N;SG
自動	automatic	自動	automatic	N	N;SG
自動	atis	自動	atis	N	N
群島	pulau	群島	pulau	N	N;SG
理論	teori	理論	teori	N	N;SG
理論	doktrin	理論	doktrin	N	N;SG
理論	ajaran	理論	ajaran	N	N;SG
理論	teori	理論	teori	N	N;SG
軍隊	tentara	軍隊	tentara	N	N;SG
鏡	cermin	鏡	cermin	N	N;SG
大樓	bangunan	大樓	bangunan	N	N;SG
大樓	gedung	大樓	gedung	N	N;SG
出口	ekspor	出口	ekspor	N	N;SG
出口	ekspor	出口	ekspor	N	N;SG
地震	gempa	地震	gempa	N	N;SG
關於	tentang	關於	tentang	ADP	ADP;SG;ACT
關於	sekitar	關於	sekitar	ADP	ADP
海外	perantauan	海外	perantauan	N	N
產品	produk	產品	produk	N	N;SG
產品	produk	產品	produk	N	N;SG
條約	perjanjian	條約	perjanjian	N	N;SG
條約	traktat	條約	traktat	N	N
助理	pembantu	助理	penbantu	N	N;SG
助理	asisten	助理	asisten	N	N;SG
助理	asisten	助理	asisten	N	N;SG
畫	imbang	畫	imbang	N	N;SG
畫	lukisan	畫	lukisan	N	N;SG
舞	dansa	舞	dansa	N	N;SG
舞	tari	舞	tari	N	N;SG
舞	tarian	舞	tarian	N	N;SG
獸	binatang	獸	binatang	N	N;SG
獸	sangar	獸	sangar	N	N
汽車	mobil	汽車	mobil	N	N;SG
汽車	mobil	汽車	mobil	N	N;SG
避免	menghindari	避免	menhindari	V	V;SG;ACT
避免	hindari	避免	hindari	V	V;SG;ACT
避免	menghindari	避免	menhindari	V	V;SG;ACT
結構	struktur	結構	struktur	N	N;SG
結構	arsitektur	結構	arsitektur	N	N;SG
結構	struktur	結構	struktur	N	N;SG
結構	struktur	結構	struktur	N	N;SG
結構	struktural	結構	struktural	N	N;SG
字母	alphabet	字母	alphabet	N	N
字母	alfabet	字母	alfabet	N	N;SG
字母	abjad	字母	abjad	N	N;SG
字母	huruf	字母	huruf	N	N;SG
字母	surat	字母	surat	N	N;SG
字母	huruf	字母	huruf	N	N;SG
大陸	kontinental	大陸	kontinental	N	N
大陸	benua	大陸	benua	N	N;SG
大陸	benua	大陸	benua	N	N;SG
大陸	benua	大陸	benua	N	N;SG
海岸	pesisir	海岸	pesisir	N	N
水平	horisontal	水平	horisontal	N	N
水平	horizontal	水平	horizontal	N	N
水平	horisontal	水平	horisontal	N	N
水平	horizontal	水平	horizontal	N	N
都市	metropolis	都市	metropolis	N	N
學習	belajar	學習	belajar	V	V;SG
學習	belajar	學習	belajar	V	V;SG
學習	belajar	學習	belajar	V	V;SG
學習	pelajari	學習	pelajari	V	V;SG;ACT
學習	belajar	學習	belajar	V	V;SG
樂團	band	樂團	band	N	N
樂團	orkestra	樂團	orkestra	N	N;SG
樂團	orkes	樂團	orkes	N	N
材料	matre	材料	matre	N	N
材料	bahan	材料	bahan	N	N;SG
材料	materi	材料	materi	N	N;SG
材料	material	材料	material	N	N;SG
材料	bahan	材料	bahan	N	N;SG
材料	materi	材料	materi	N	N;SG
材料	material	材料	material	N	N;SG
士兵	tentara	士兵	tentara	N	N;SG
士兵	prajurit	士兵	prajurit	N	N;SG
士兵	serdadu	士兵	serdadu	N	N;SG
士兵	tentara	士兵	tentara	N	N;SG
士兵	prajurit	士兵	prajurit	N	N;SG
士兵	serdadu	士兵	serdadu	N	N;SG
魔法	sihir	魔法	sihir	N	N;SG
魔法	sulap	魔法	sulap	N	N;SG
茶	teh	茶	teh	N	N;SG
孩子	anakan	孩子	anakan	N	N;SG
孩子	anak	孩子	anak	N	N;SG
代理	bertindak	代理	bertindak	V	V;SG;ACT
代理	berakting	代理	berakting	V	V;SG;ACT
組合	kombinasi	組合	kombinasi	N	N;SG
組合	campuran	組合	campuran	N	N;SG
組合	campur	組合	campur	N	N;SG;ACT
王子	pangeran	王子	pangeran	N	N;SG
模型	model	模型	model	N	N;SG
模型	model	模型	model	N	N;SG
夜	malam	夜	malam	N	N;SG
乘客	penumpang	乘客	pentumpang	N	N;SG
乘客	penumpang	乘客	pentumpang	N	N;SG
錦標	kejuaraan	錦標	kejuaraan	N	N;SG
錦標	turnamen	錦標	turnamen	N	N;SG
錦標	turnamen	錦標	turnamen	N	N;SG
錦標	championship	錦標	championship	N	N
錦標	kejuaraan	錦標	kejuaraan	N	N;SG
禁止	dilarang	禁止	dilarang	V	V;SG;PASS
禁止	dilarang	禁止	dilarang	V	V;SG;PASS
重播	memutar	重播	menputar	V	V;SG;ACT
宣傳	publikasi	宣傳	publikasi	N	N
宣傳	publisitas	宣傳	publisitas	N	N;SG
宣傳	propaganda	宣傳	propaganda	N	N;SG
宣傳	advokasi	宣傳	advokasi	N	N;SG
蛇	ular	蛇	ular	N	N;SG
蛇	ular	蛇	ular	N	N;SG
週	minggu	週	minggu	N	N;SG
上市	tercantum	上市	tercantum	V	V;SG;PASS
上市	terdaftar	上市	terdaftar	V	V;SG;PASS
森林	hutan	森林	hutan	N	N;SG
森林	hutan	森林	hutan	N	N;SG
介紹	memperkenalkan	介紹	menperkenalkan	V	V;SG;ACT
晚上	petang	晚上	petang	N	N;SG
晚上	sore	晚上	sore	N	N;SG
晚上	malam	晚上	malam	N	N;SG
晚上	malam	晚上	malam	N	N;SG
耳	kuping	耳	kuping	N	N
耳	telinga	耳	telinga	N	N;SG
耳	telinga	耳	telinga	N	N;SG
改變	mengubah	改變	menubah	V	V;SG;ACT
改變	berubah	改變	berrubah	V	V;SG;ACT
改變	berubah	改變	berrubah	V	V;SG;ACT
改變	ganti	改變	ganti	V	V;SG;ACT
改變	mengubah	改變	menubah	V	V;SG;ACT
改變	ubah	改變	ubah	V	V;SG;ACT
廣場	persegi	廣場	persegi	N	N;SG
廣場	kuadrat	廣場	kuadrat	N	N;SG
市民	warga	市民	warga	N	N;SG
市民	warga	市民	warga	N	N;SG
樹	pohon	樹	pohon	N	N;SG
樹	pepohonan	樹	pepohonan	N	N;SG
樹	pohon	樹	pohon	N	N;SG
聯邦	federal	聯邦	federal	N	N;SG
聯邦	federasi	聯邦	federasi	N	N;SG
聯邦	konfederasi	聯邦	konfederasi	N	N
董事	direksi	董事	direksi	N	N;SG
董事	sutradara	董事	sutradara	N	N;SG
外交	diplomatik	外交	diplomatik	N	N;SG
外交	diplomasi	外交	diplomasi	N	N;SG
夫人	nyonya	夫人	nyonya	N	N
公斤	kilogram	公斤	kilogram	N	N
公斤	kilogram	公斤	kilogram	N	N
效果	efek	效果	efek	N	N;SG
效果	efek	效果	efek	N	N;SG
資格	kualifikasi	資格	kualifikasi	N	N;SG
連續	berturut	連續	berturut	ADV	ADV;SG;ACT
輪	roda	輪	roda	N	N;SG
輪	roda	輪	roda	N	N;SG
輪	ronde	輪	ronde	N	N
記錄	merekam	記錄	menrekam	V	V;SG;ACT
寫	menulis	寫	mentulis	V	V;SG;ACT
寫	tulislah	寫	tulis	V	V;SG;ACT
寫	menulis	寫	mentulis	V	V;SG;ACT
鹿	kijang	鹿	kijang	N	N
鹿	rusa	鹿	rusa	N	N
地理	geografi	地理	geografi	N	N;SG
地理	geografis	地理	geografis	N	N;SG
地理	geografi	地理	geografi	N	N;SG
最近	belakangan	最近	belakangan	N	N;SG
最近	terkini	最近	terkini	N	N;SG
網頁	website	網頁	website	N	N;SG
秘密	rahasia	秘密	rahasia	N	N;SG
變	berubah	變	berrubah	V	V;SG;ACT
變	ganti	變	ganti	V	V;SG;ACT
變	mengubah	變	menubah	V	V;SG;ACT
變	ubah	變	ubah	V	V;SG;ACT
開放	buka	開放	buka	V	V;SG;ACT
開放	terbuka	開放	terbuka	V	V;SG
運輸	transportasi	運輸	transportasi	N	N;SG
運輸	pengangkutan	運輸	penangkutan	N	N;SG
運輸	transportasi	運輸	transportasi	N	N;SG
運輸	transpor	運輸	transpor	N	N;SG
運輸	angkut	運輸	angkut	N	N;SG;ACT
運輸	pengangkutan	運輸	penangkutan	N	N;SG
第八	kedelapan	第八	kedelapan	NUM	NUM
大小	ukuran	大小	ukuran	N	N;SG
大小	ukuran	大小	ukuran	N	N;SG
頂	puncak	頂	puncak	N	N;SG
三	tiga	三	tiga	NUM	NUM
符	jimat	符	jimat	N	N
親	ciuman	親	ciuman	N	N;SG
兒子	putra	兒子	putra	N	N;SG
兒子	anak	兒子	anak	N	N;SG
骨	tulangku	骨	tulang	N	N;SG
骨	tulang	骨	tulang	N	N;SG
骨	tulang	骨	tulang	N	N;SG
人口	sensus	人口	sensus	N	N;SG
戰役	pertempuran	戰役	pertempuran	N	N;SG
戰役	peperangan	戰役	peperangan	N	N
戰役	pertempuran	戰役	pertempuran	N	N;SG
墓	makam	墓	makam	N	N;SG
墓	kubur	墓	kubur	N	N;SG
墓	kuburan	墓	kuburan	N	N;SG
墓	makam	墓	makam	N	N;SG
業務	bisnis	業務	bisnis	N	N;SG
射	tembak	射	tembak	N	N;SG;ACT
前身	pendahulu	前身	pendahulu	N	N;SG
前身	pendahulunya	前身	pendahulunya	N	N;SG
極	amat	極	amat		
投資	investasi	投資	investasi	N	N;SG
投資	investasi	投資	investasi	N	N;SG
投資	investasi	投資	investasi	N	N;SG
海洋	lautan	海洋	lautan	N	N;SG
海洋	lautan	海洋	lautan	N	N;SG
海洋	laut	海洋	laut	N	N;SG
類型	genre	類型	genre	N	N
類型	jenis	類型	jenis	N	N;SG
類型	tipe	類型	tipe	N	N;SG
類型	jenis	類型	jenis	N	N;SG
類型	tipe	類型	tipe	N	N;SG
機會	peluang	機會	peluang	N	N;SG
機會	kesempatan	機會	kesempatan	N	N;SG
機會	peluang	機會	peluang	N	N;SG
機會	kesempatan	機會	kesempatan	N	N;SG
機會	peluang	機會	peluang	N	N;SG
機會	kesempatan	機會	kesempatan	N	N;SG
錯誤	kekeliruan	錯誤	kekeliruan	N	N;SG
錯誤	kesalahan	錯誤	kesalahan	N	N;SG
錯誤	salah	錯誤	salah	N	N;SG
錯誤	kesalahan	錯誤	kesalahan	N	N;SG
錯誤	kesalahan	錯誤	kesalahan	N	N;SG
總部	markas	總部	markas	N	N;SG
健康	kesehatan	健康	kesehatan	N	N;SG
股	satuan	股	satuan	N	N;SG
股	unit	股	unit	N	N;SG
空中	udara	空中	udara	N	N;SG
空中	airborne	空中	airborne	N	N
空中	udara	空中	udara	N	N;SG
空中	air	空中	air	N	N;SG
工人	pekerja	工人	pekerja	N	N;SG
工人	pekerja	工人	pekerja	N	N;SG
經常	sering	經常	sering	ADV	ADV
經常	seringkali	經常	seringkali	ADV	ADV
經常	sering	經常	sering	ADV	ADV
經常	sering	經常	sering	ADV	ADV
交易	bertransaksi	交易	bertransaksi	V	V;SG;ACT
喜歡	suka	喜歡	suka	V	V;SG
警方	polisi	警方	polisi	N	N;SG
警方	kepolisian	警方	kepolisian	N	N;SG
能量	tenaga	能量	tenaga	N	N;SG
能量	energi	能量	energi	N	N;SG
酒	alkohol	酒	alkohol	N	N;SG
酒	arak	酒	arak	N	N;SG
酒	anggur	酒	anggur	N	N;SG
地面	permukaan	地面	permukaan	N	N;SG
地面	tanah	地面	tanah	N	N;SG
然後	kemudian	然後	kemudian	ADV	ADV
鬼	hantu	鬼	hantu	N	N;SG
鼠	tikus	鼠	tikus	N	N;SG
鼠	mouse	鼠	mouse	N	N
鼠	tetikus	鼠	tetikus	N	N;SG
鼠	tikus	鼠	tikus	N	N;SG
鼠	tikus	鼠	tikus	N	N;SG
退出	keluar	退出	keluar	V	V;SG;ACT
退出	keluar	退出	keluar	V	V;SG;ACT
兒童	anak	兒童	anak	N	N;SG
兒童	anakan	兒童	anakan	N	N;SG
兒童	anak	兒童	anak	N	N;SG
東部	timur	東部	timur	N	N;SG
東部	timur	東部	timur	N	N;SG
博物	musium	博物	musium	N	N
博物	musium	博物	musium	N	N
對話	percakapan	對話	percakapan	N	N;SG
對話	dialog	對話	dialog	N	N;SG
對話	dialog	對話	dialog	N	N;SG
對話	dialog	對話	dialog	N	N;SG
對話	percakapan	對話	percakapan	N	N;SG
琴	biola	琴	biola	N	N;SG
階段	fase	階段	fase	N	N
階段	tahapan	階段	tahapan	N	N;SG
階段	pentas	階段	pentas	N	N
階段	tahap	階段	tahap	N	N;SG
階段	panggung	階段	panggung	N	N;SG
游	renang	游	renang	N	N;SG
游	tur	游	tur	N	N
游	wisata	游	wisata	N	N;SG
游	renang	游	renang	N	N;SG
病	penyakit	病	pensakit	N	N;SG
病	penyakit	病	pensakit	N	N;SG
病	sakit	病	sakit	N	N;SG
病	penyakit	病	pensakit	N	N;SG
問	tanya	問	tanya		
維持	pertahankan	維持	pertahankan	V	V;SG;ACT
維持	mempertahankan	維持	menpertahankan	V	V;SG;ACT
維持	mempertahankan	維持	menpertahankan	V	V;SG;ACT
格式	pemformatan	格式	penformatan	N	N;SG
事故	kecelakaan	事故	kecelakaan	N	N;SG
事故	kecelakaan	事故	kecelakaan	N	N;SG
互	mutual	互	mutual	N	N
刺	tusuk	刺	tusuk	N	N;SG
刺	tikam	刺	tikam	N	N;SG;ACT
藝人	penghibur	藝人	penhibur	N	N;SG
藝人	artis	藝人	artis	N	N;SG
藝人	seniman	藝人	seniman	N	N;SG
藝人	seniman	藝人	seniman	N	N;SG
藝人	artis	藝人	artis	N	N;SG
藝人	entertainer	藝人	entertainer	N	N
藝人	penghibur	藝人	penhibur	N	N;SG
天使	malaikat	天使	malaikat	N	N;SG
天使	bidadari	天使	bidadari	N	N;SG
天使	malaikat	天使	malaikat	N	N;SG
表面	permukaan	表面	permukaan	N	N;SG
池	kolam	池	kolam	N	N;SG
池	kolam	池	kolam	N	N;SG
圖片	gambar	圖片	gambar	N	N;SG
圖片	gambar	圖片	gambar	N	N;SG
圖片	gambar	圖片	gambar	N	N;SG
圖片	image	圖片	image	N	N
圖片	citra	圖片	citra	N	N;SG
圖片	gambar	圖片	gambar	N	N;SG
圖片	citra	圖片	citra	N	N;SG
定義	definisinya	定義	definisi	N	N;SG
定義	definisi	定義	definisi	N	N;SG
定義	definisikan	定義	definisikan	N	N;SG
定義	definisi	定義	definisi	N	N;SG
步兵	infanteri	步兵	infanteri	N	N;SG
步兵	infantri	步兵	infantri	N	N;SG
指定	menspesifikasikan	指定	menspesifikasikan	V	V;SG;ACT
指定	ditunjuk	指定	ditunjuk	V	V;SG;PASS
指定	nyatakan	指定	nyatakan	V	V;SG;ACT
指定	tentukan	指定	tentukan	V	V;SG;ACT
指定	menentukan	指定	mententukan	V	V;SG;ACT
指定	sebutkan	指定	sebutkan	V	V;SG;ACT
解決	memecahkan	解決	menpecahkan	V	V;SG;ACT
解決	selesaikan	解決	selesaikan	V	V;SG;ACT
解決	pecahkan	解決	pecahkan	V	V;SG;ACT
熊	pikul	熊	pikul	N	N;SG;ACT
國語	tionghoa	國語	tionghoa	N	N
火箭	roket	火箭	roket	N	N;SG
火箭	roket	火箭	roket	N	N;SG
騎士	ksatria	騎士	ksatria	N	N;SG
騎士	kesatria	騎士	kesatria	N	N
騎士	ksatria	騎士	ksatria	N	N;SG
騎士	kesatria	騎士	kesatria	N	N
安排	mengatur	安排	menatur	V	V;SG;ACT
明星	bintang	明星	bintang	N	N;SG
明星	bintang	明星	bintang	N	N;SG
現任	arus	現任	arus	N	N;SG
羊	domba	羊	domba	N	N;SG
羊	kambing	羊	kambing	N	N;SG
出席	menghadiri	出席	menhadiri	V	V;SG;ACT
出席	menghadiri	出席	menhadiri	V	V;SG;ACT
出席	dihadiri	出席	dihadiri	V	V;SG;PASS
出席	hadir	出席	hadir	V	V;SG;ACT
改造	merombak	改造	menrombak	V	V;SG;ACT
車輛	kendaraan	車輛	kendaraan	N	N;SG
車輛	kendaraan	車輛	kendaraan	N	N;SG
上午	pagi	上午	pagi	N	N;SG
機械	mesin	機械	mesin	N	N;SG
機械	mesin	機械	mesin	N	N;SG
機械	mekanik	機械	mekanik	N	N;SG
機械	mekanis	機械	mekanis	N	N;SG
機械	mekanika	機械	mekanika	N	N;SG
爭議	sengketa	爭議	sengketa	N	N;SG
爭議	kontroversi	爭議	kontroversi	N	N;SG
爭議	sengketa	爭議	sengketa	N	N;SG
爭議	perselisihan	爭議	perselisihan	N	N;SG
爭議	persengketaan	爭議	persengketaan	N	N;SG
爭議	kontroversial	爭議	kontroversial	N	N;SG
爭議	sengketa	爭議	sengketa	N	N;SG
爭議	persengketaan	爭議	persengketaan	N	N;SG
爭議	perselisihan	爭議	perselisihan	N	N;SG
發射	luncurkan	發射	luncurkan	V	V;SG;ACT
首先	duluan	首先	duluan		
同盟	liga	同盟	liga	N	N;SG
同盟	aliansi	同盟	aliansi	N	N;SG
同盟	persekutuan	同盟	persekutuan	N	N;SG
同盟	aliansi	同盟	aliansi	N	N;SG
同盟	sekutu	同盟	sekutu	N	N;SG
轉換	mengkonversi	轉換	menkonversi	V	V;SG;ACT
轉換	mengonversi	轉換	menonversi	V	V;SG;ACT
轉換	mengubah	轉換	menubah	V	V;SG;ACT
轉換	mengonversi	轉換	menonversi	V	V;SG;ACT
疑似	dicurigai	疑似	dicurigai	V	V;SG;PASS
唱	nyanyi	唱	nyanyi	N	N;SG
血	darah	血	darah	N	N;SG
努力	upaya	努力	upaya	N	N;SG
事情	hal	事情	hal	N	N;SG
事情	perkara	事情	perkara	N	N;SG
監督	pengawasan	監督	penkawasan	N	N;SG
監督	surveilans	監督	surveilans	N	N
監督	pengawasan	監督	penkawasan	N	N;SG
軌道	lacak	軌道	lacak	N	N;SG;ACT
軌道	orbital	軌道	orbital	N	N
軌道	orbit	軌道	orbit	N	N
軌道	orbit	軌道	orbit	N	N
軌道	orbit	軌道	orbit	N	N
狼	serigala	狼	serigala	N	N
部門	departemen	部門	departemen	N	N;SG
部門	sektor	部門	sektor	N	N;SG
汗	keringat	汗	keringat	N	N;SG
廣播	siaran	廣播	siaran	N	N;SG
廣播	penyiaran	廣播	pensiaran	N	N;SG
廣播	siaran	廣播	siaran	N	N;SG
廣播	penyiaran	廣播	pensiaran	N	N;SG
比例	rasio	比例	rasio	N	N;SG
比例	proporsi	比例	proporsi	N	N;SG
比例	proporsi	比例	proporsi	N	N;SG
偶像	idola	偶像	idola	N	N
偶像	idol	偶像	idol	N	N
側	lateral	側	lateral	N	N
側	sisi	側	sisi	N	N;SG
側	samping	側	samping	N	N;SG
父母	orangtua	父母	orangtua	N	N;SG
父母	orangtua	父母	orangtua	N	N;SG
父母	induk	父母	induk	N	N;SG
它們	mereka	它	mereka	PRO;PL;3	PRO;PL;3
飛行	menerbangkan	飛行	menterbangkan	V	V;SG;ACT
大獎	jackpot	大獎	jackpot	N	N
恢復	kembalikan	恢復	kembalikan	V	V;SG;ACT
恢復	mengembalikan	恢復	menkembalikan	V	V;SG;ACT
恢復	pulihkan	恢復	pulihkan	V	V;SG;ACT
恢復	lanjutkan	恢復	lanjutkan	V	V;SG;ACT
設施	fasilitas	設施	fasilitas	N	N;SG
設施	pemasangan	設施	penpasangan	N	N;SG
設施	instalasi	設施	instalasi	N	N;SG
設施	fasilitas	設施	fasilitas	N	N;SG
框	boks	框	boks	N	N;SG
框	kotak	框	kotak	N	N;SG
框	bingkai	框	bingkai	N	N;SG
框	frame	框	frame	N	N
框	bingkai	框	bingkai	N	N;SG
框	frame	框	frame	N	N
住宅	hunian	住宅	hunian	N	N;SG
住宅	pemukiman	住宅	penmukiman	N	N;SG
住宅	perumahan	住宅	penrumahan	N	N;SG
住宅	residences	住宅	residences	N	N
住宅	residence	住宅	residence	N	N
住宅	kediaman	住宅	kediaman	N	N;SG
混合	berbaur	混合	berbaur	V	V;SG;ACT
混合	menyatu	混合	mensatu	V	V;SG;ACT
混合	bercampur	混合	bercampur	V	V;SG;ACT
混合	berbaur	混合	berbaur	V	V;SG;ACT
混合	mencampurkan	混合	mencampurkan	V	V;SG;ACT
混合	mencampur	混合	mencampur	V	V;SG;ACT
殺	membunuh	殺	menbunuh	V	V;SG;ACT
殺	bunuh	殺	bunuh	V	V;SG;ACT
殺	bunuhlah	殺	bunuh	V	V;SG;ACT
殺	membunuh	殺	menbunuh	V	V;SG;ACT
殺	bunuhlah	殺	bunuh	V	V;SG;ACT
殺	bunuh	殺	bunuh	V	V;SG;ACT
山脈	gunung	山脈	gunung	N	N;SG
山脈	pegunungan	山脈	pegunungan	N	N;SG
山脈	rentang	山脈	rentang	N	N;SG
山脈	kisaran	山脈	kisaran	N	N;SG
山脈	jangkauan	山脈	jangkauan	N	N;SG
食品	makanan	食品	makanan	N	N;SG
食品	pangan	食品	pangan	N	N;SG
食品	makanan	食品	makanan	N	N;SG
深度	kedalaman	深度	kedalaman	N	N;SG
深度	kedalaman	深度	kedalaman	N	N;SG
法案	tagihan	法案	tagihan	N	N;SG
法案	tagih	法案	tagih	N	N;SG;ACT
法案	ruu	法案	ruu	N	N;SG
法案	tagihan	法案	tagihan	N	N;SG
學者	akademisi	學者	akademisi	N	N;SG
學者	sarjana	學者	sarjana	N	N
學者	terpelajar	學者	terpelajar	N	N;SG
學者	cendekiawan	學者	cendekiawan	N	N;SG
學者	ulama	學者	ulama	N	N;SG
學者	sarjana	學者	sarjana	N	N
學者	cendekiawan	學者	cendekiawan	N	N;SG
戰士	tentara	戰士	tentara	N	N;SG
戰士	prajurit	戰士	prajurit	N	N;SG
戰士	serdadu	戰士	serdadu	N	N;SG
戰士	prajurit	戰士	prajurit	N	N;SG
戰士	pejuang	戰士	pejuang	N	N;SG
被	dipaksakan	被	dipaksakan	V;PASS	V;SG;PASS
被	dipaksa	被	dipaksa	V;PASS	V;SG;PASS
合成	sintetis	合成	sintetis	N	N;SG
合成	sintetik	合成	sintetik	N	N
合成	komposit	合成	komposit	N	N;SG
合成	sintesis	合成	sintesis	N	N;SG
基因	jeni	基因	jeni	N	N;SG
基因	gen	基因	gen	N	N;SG
基因	gen	基因	gen	N	N;SG
罪	dosa	罪	dosa	N	N;SG
罪	dosa	罪	dosa	N	N;SG
鳥	burung	鳥	burung	N	N;SG
鳥	burung	鳥	burung	N	N;SG
教練	pelatih	教練	penlatih	N	N;SG
展示	memamerkan	展示	menpamerkan	V	V;SG;ACT
展示	pamerkan	展示	pamerkan	V	V;SG;ACT
展示	tunjukkan	展示	tunjukkan	V	V;SG;ACT
展示	tampilkan	展示	tampilkan	V	V;SG;ACT
展示	perlihatkan	展示	perlihatkan	V	V;SG;ACT
展示	tampilkan	展示	tampilkan	V	V;SG;ACT
槍	senapan	槍	senapan	N	N;SG
槍	pistol	槍	pistol	N	N
槍	senjata	槍	senjata	N	N;SG
讀	bacalah	讀	bacalah	V	V;SG;ACT
讀	baca	讀	baca	V	V;SG;ACT
讀	dibaca	讀	dibaca	V	V;SG;PASS
讀	membaca	讀	menbaca	V	V;SG;ACT
讀	membaca	讀	menbaca	V	V;SG;ACT
很快	segera	很快	segera	ADV	ADV
追	mengejar	追	menkejar	V	V;SG;ACT
拍	menembak	拍	mentembak	V	V;SG;ACT
部落	suku	部落	suku	N	N;SG
部落	suku	部落	suku	N	N;SG
部落	suku	部落	suku	N	N;SG
圓	melingkar	圓	menlingkar		;ACT
幫助	membantu	幫助	menbantu	V	V;SG;ACT
教會	gereja	教會	gereja	N	N;SG
教會	gereja	教會	gereja	N	N;SG
