dorme	sueño	dorme	sueño	N	N;MASC;SG
computador	ordenadores	computador	ordenador	N	N;MASC;PL
xogadores	jugadores	xogador	jugador	N	N;MASC;PL
xogadores	jugadores	xogador	jugador	N	N;MASC;PL
xogadores	reproductores	xogador	reproductor	N	N;MASC;PL
gañando	ganar	gañar	ganar	V	V;NFIN
gañando	ganando	gañar	ganar	V	V;V.MSDR
preguntando	preguntar	preguntar	preguntar	V	V;NFIN
preguntando	preguntando	preguntar	preguntar	V	V;V.MSDR
preguntando	pidiendo	preguntar	pedir	V	V;V.MSDR
supostamente	supuestamente	supostamente	supuestamente	ADV	ADV
violación	violación	violación	violación	N	N;FEM;SG
violación	violaciones	violación	violación	N	N;FEM;PL
violación	infracción	violación	infracción	N	N;FEM;SG
violación	violación	violación	violación	N	N;FEM;SG
gustoume	gustar	gustoume	gustar	V	V;NFIN
gustoume	gustaba	gustoume	gustar	V	V;IND;SG;3;IPFV;FIN
xefa	head	xefa	head	N	N
xefa	cabezal	xefa	cabezal	N	N;MASC;SG
xefa	cabeza	xefa	cabeza	N	N;FEM;SG
manchas	manchas	mancha	mancha	N	N;FEM;PL
neveira	frigorífico	neveiro	frigorífico	N	N;MASC;SG
neveira	heladera	neveiro	heladera	N	N;FEM;SG
neveira	nevera	neveiro	nevero	N	N;FEM;SG
neveira	refrigerador	neveiro	refrigerador	N	N;MASC;SG
potente	poderosas	potente	poderoso	ADJ	ADJ;FEM;PL
potente	potente	potente	potente	ADJ	ADJ;SG
potente	poderosa	potente	poderoso	ADJ	ADJ;FEM;SG
potente	poderoso	potente	poderoso	ADJ	ADJ;MASC;SG
potente	poderosos	potente	poderoso	ADJ	ADJ;MASC;PL
devanceiros	antepasados	devanceiro	antepasado	ADJ	ADJ;MASC;PL;V.PTCP
perigosa	peligroso	perigosa	peligroso	ADJ	ADJ;MASC;SG
perigosa	peligrosas	perigosa	peligroso	ADJ	ADJ;FEM;PL
perigosa	peligrosos	perigosa	peligroso	ADJ	ADJ;MASC;PL
perigosa	peligrosa	perigosa	peligroso	ADJ	ADJ;FEM;SG
categoría	categoria	categoría	categoria	N	N;FEM;SG
categoría	categoría	categoría	categoría	N	N;FEM;SG
representante	proxy	representante	proxy	N	N;MASC;SG
representante	representatividad	representante	representatividad	N	N;FEM;SG
representante	representante	representante	representante	N	N;SG
levárono	tomaron	levárono	tomar	V	V;IND;PL;3;PST;FIN
levárono	tomó	levárono	tomar	V	V;IND;SG;3;PST;FIN
xogamos	jugaron	xogar	jugar	V	V;IND;PL;3;PST;FIN
xogamos	jugó	xogar	jugar	V	V;IND;SG;3;PST;FIN
xogamos	juegue	xogar	jugar	V	V;IMP;SG;3;FIN
xogamos	juega	xogar	jugar	V	V;IND;SG;3;PRS;FIN
xogamos	jugar	xogar	jugar	V	V;NFIN
xogamos	reproducir	xogar	reproducir	V	V;NFIN
renunciar	dandole	renunciar	dandole	V	V;V.MSDR
renunciar	regalando	renunciar	regalar	V	V;V.MSDR
renunciar	dando	renunciar	dar	V	V;V.MSDR
logro	logros	logro	logro	N	N;MASC;PL
logro	logro	logro	logro	N	N;MASC;SG
estranxeira	extranjeras	estranxeiro	extranjero	ADJ	ADJ;FEM;PL
estranxeira	extranjera	estranxeiro	extranjero	ADJ	ADJ;FEM;SG
estranxeira	extranjera	estranxeiro	extranjero	ADJ	ADJ;FEM;SG
favorita	favoritos	favoritar	favorito	N	N;MASC;PL
favorita	favorita	favoritar	favorita	N	N;FEM;SG
favorita	favoritas	favoritar	favorita	N	N;FEM;PL
seguranza	contratista	seguranza	contratista	N	N;SG
seguranza	contratistas	seguranza	contratista	N	N;PL
subtítulos	subtitulos	subtítulo	subtitulo	N	N;MASC;PL
subtítulos	subtítulos	subtítulo	subtítulo	N	N;MASC;PL
ciclo	ciclo	ciclo	ciclo	N	N;MASC;SG
ciclo	ciclos	ciclo	ciclo	N	N;MASC;PL
dirán	dí	dir	dí	V	V;IND;SG;1;PST;FIN
dirán	decir	dir	decir	V	V;NFIN
dirán	diga	dir	decir	V	V;IMP;SG;3;FIN
viaxa	viaja	viaxa	viajar	V	V;IND;SG;3;PRS;FIN
viaxa	viajar	viaxa	viajar	V	V;NFIN
néboa	niebla	néboa	niebla	N	N;FEM;SG
néboa	neblina	néboa	neblina	N	N;FEM;SG
ducia	docenas	ducia	docena	N	N;FEM;PL
ducia	docena	ducia	docena	N	N;FEM;SG
localización	lugar	localización	lugar	N	N;MASC;SG
localización	ubicacion	localización	ubicacion	N	N;FEM;SG
localización	ubicación	localización	ubicación	N	N;FEM;SG
localización	emplazamiento	localización	emplazamiento	N	N;MASC;SG
localización	localización	localización	localización	N	N;FEM;SG
cidadás	ciudadanos	cidadán	ciudadano	N	N;MASC;PL
cidadás	ciudadanas	cidadán	ciudadana	N	N;FEM;PL
satisfacer	satisfacer	satisfacer	satisfacer	V	V;NFIN
pioneiros	pioneros	pioneiro	pionero	N	N;MASC;PL
esperan	esperándote	esperar	esperándote	V	V;IND;SG;1;PRS;FIN
esperan	esperando	esperar	esperar	V	V;V.MSDR
esperan	esperar	esperar	esperar	V	V;NFIN
lémbrome	recuerdas	lémbrome	recorda	V	V;IND;SG;2;PRS;FIN
lémbrome	recuerden	lémbrome	recordar	V	V;IMP;PL;3;FIN
lémbrome	recuerda	lémbrome	recordar	V	V;IND;SG;3;PRS;FIN
lémbrome	recordar	lémbrome	recordar	V	V;NFIN
lémbrome	recuerde	lémbrome	recordar	V	V;IMP;SG;3;FIN
brincar	bromeando	brincar	bromear	V	V;V.MSDR
brincar	bromeaba	brincar	bromear	V	V;IND;SG;3;IPFV;FIN
brincar	bromeando	brincar	bromear	V	V;V.MSDR
brincar	bromeaba	brincar	bromear	V	V;IND;SG;3;IPFV;FIN
lote	lote	lote	lote	N	N;MASC;SG
metais	metales	metal	metal	N	N;MASC;PL
lixeiro	ligera	lixeiro	ligero	ADJ	ADJ;FEM;SG
lixeiro	ligero	lixeiro	ligero	ADJ	ADJ;MASC;SG
acumulación	acumulación	acumulación	acumulación	N	N;FEM;SG
manchester	mánchester	manchester	mánchester	N	N;MASC;SG
manchester	manchester	manchester	manchester	N	N;MASC;SG
raíces	raíces	raíz	raíz	N	N;FEM;PL
raíces	raices	raíz	raiz	N	N;FEM;PL
evidentemente	obviamente	evidente	obviamente	ADV	ADV
evidentemente	evidentemente	evidente	evidentemente	ADV	ADV
tina	tina	tina	tina	N	N;FEM;SG
condena	hora	condena	hora	N	N;FEM;SG
condena	tiempo	condena	tiempo	N	N;MASC;SG
condena	time	condena	time	N	N
defunto	muertos	defunto	muerto	N	N;MASC;PL
defunto	dead	defunto	dead	N	N
fuga	miembro	fugar	miembro	N	N;MASC;SG
fuga	extremidad	fugar	extremidad	N	N;FEM;SG
fantasma	carruaje	fantasma	carruaje	N	N;MASC;SG
fantasma	carroza	fantasma	carroza	N	N;FEM;SG
fantasma	ghost	fantasma	ghost	N	N
fantasma	fantasmas	fantasma	fantasma	N	N;PL
fantasma	fantasma	fantasma	fantasma	N	N;SG
regrese	volver	regrese	volver	V	V;NFIN
escapou	escapó	escapar	escapar	V	V;IND;SG;3;PST;FIN
escapou	escapo	escapar	escapo	V	V;IND;SG;3;PRS;FIN
tumbas	fosas	tumba	fosa	N	N;FEM;PL
tumbas	tumba	tumba	tumba	N	N;FEM;SG
tumbas	tumbas	tumba	tumba	N	N;FEM;PL
amada	amado	amadar	amado	ADJ	ADJ;MASC;SG;V.PTCP
amada	amada	amadar	amado	ADJ	ADJ;FEM;SG;V.PTCP
cooperativas	cooperativa	cooperativa	cooperativa	N	N;FEM;SG
cooperativas	cooperativas	cooperativa	cooperativo	N	N;FEM;PL
cooperativas	cooperativas	cooperativa	cooperativo	N	N;FEM;PL
colgar	cuelga	colgar	colgar	V	V;IND;SG;3;PRS;FIN
colgar	cuelgue	colgar	colguir	V	V;IMP;SG;3;FIN
colgar	colgar	colgar	colgar	V	V;NFIN
internado	hospitales	internado	hospital	N	N;MASC;PL
internado	hospital	internado	hospital	N	N;MASC;SG
internado	hospitalización	internado	hospitalización	N	N;FEM;SG
pensado	pensó	pensar	pensar	V	V;IND;SG;3;PST;FIN
sabas	chapas	saber	chapa	N	N;FEM;PL
sabas	sábanas	saber	sábana	N	N;FEM;PL
sabas	hojas	saber	hoja	N	N;FEM;PL
sabas	sabanas	saber	sabana	N	N;FEM;PL
sermón	sermón	sermón	sermón	N	N;MASC;SG
barriga	tripa	barriga	tripa	N	N;FEM;SG
barriga	panza	barriga	panza	N	N;FEM;SG
barriga	vientre	barriga	vientre	N	N;MASC;SG
barriga	barriga	barriga	barriga	N	N;FEM;SG
gustaríalle	gustar	gustaríalle	gustar	V	V;NFIN
parado	stand	parado	stand	N	N;MASC;SG
escravo	esclavo	escravo	esclavo	N	N;MASC;SG
escravo	esclavos	escravo	esclavo	N	N;MASC;PL
escravo	esclava	escravo	esclavo	N	N;FEM;SG
socorro	ayuda	socorro	ayuda	N	N;FEM;SG
mandou	envió	mandar	enviar	V	V;IND;SG;3;PST;FIN
seda	seda	sedo	seda	N	N;FEM;SG
secreta	secret	secreta	secret	N	N
secreta	secreto	secreta	secreto	N	N;MASC;SG
secreta	secretos	secreta	secreto	N	N;MASC;PL
ombreiro	hombro	ombreiro	hombro	N	N;MASC;SG
ombreiro	hombros	ombreiro	hombro	N	N;MASC;PL
potencia	potencia	potencia	potencia	N	N;FEM;SG
potencia	power	potencia	power	N	N
prometo	prometer	prometo	prometer	V	V;NFIN
prometo	prometen	prometo	prometer	V	V;IND;PL;3;PRS;FIN
planos	planos	plano	plano	N	N;MASC;PL
planos	planes	plano	plan	N	N;MASC;PL
polis	polis	polis	poli	N	N;FEM;PL
polis	policías	polis	policía	N	N;PL
deixaría	dejemos	deixar	dejar	V	V;IMP;PL;1;FIN
vervos	véase	vervo	véase	V	V;SBJV;SG;3;PRS;FIN
vervos	ver	vervo	ver	V	V;NFIN
vervos	vea	vervo	ver	V	V;IMP;SG;3;FIN
ataques	atentados	ataque	atentado	N	N;MASC;PL
ataques	ataques	ataque	ataque	N	N;MASC;PL
celosa	celosos	celosar	celoso	ADJ	ADJ;MASC;PL
celosa	celoso	celosar	celoso	ADJ	ADJ;MASC;SG
celosa	celosa	celosar	celoso	ADJ	ADJ;FEM;SG
cometer	cometer	cometer	cometer	V	V;NFIN
cometer	comprometerse	cometer	comprometer	V	V;SBJV;SG;3;PRS;FIN
escoitaches	escuche	escoitaches	escuche	V	V;IMP;SG;3;FIN
escoitaches	escuchar	escoitaches	escuchar	V	V;NFIN
escoitaches	oír	escoitaches	oír	V	V;NFIN
escoitaches	oyes	escoitaches	oír	V	V;IND;SG;2;PRS;FIN
vendas	venta	venda	venta	N	N;FEM;SG
vendas	rebajas	venda	rebaja	N	N;FEM;PL
vendas	venta	venda	venta	N	N;FEM;SG
vendas	sales	venda	sal	N	N;FEM;PL
vendas	ventas	venda	venta	N	N;FEM;PL
pague	pagar	pague	pagar	V	V;NFIN
pague	paga	pague	pagar	V	V;IND;SG;3;PRS;FIN
pague	pague	pague	pagar	V	V;IMP;SG;3;FIN
levarte	tomar	levarte	tomar	V	V;NFIN
levarte	toma	levarte	tomar	V	V;IND;SG;3;PRS;FIN
levarte	tome	levarte	tomar	V	V;IMP;SG;3;FIN
sacaches	conseguir	sacaches	conseguir	V	V;NFIN
sacaches	consigue	sacaches	conseguir	V	V;IND;SG;3;PRS;FIN
sacaches	obtener	sacaches	obtener	V	V;NFIN
sacaches	obtenga	sacaches	obtener	V	V;SBJV;SG;3;PRS;FIN
sacaches	hizo	sacaches	hacer	V	V;IND;SG;3;PST;FIN
xudea	fachada	xudea	fachada	N	N;FEM;SG
xudea	front	xudea	front	N	N
xudea	frente	xudea	frente	N	N
xudea	delantero	xudea	delantero	N	N;MASC;SG
rezo	ora	rezo	ora	N	N;FEM;SG
refíreste	mean	refíreste	mear	N	N
soñando	soñando	soñar	soñar	V	V;V.MSDR
soñando	soñar	soñar	soñar	V	V;NFIN
adoro	amar	adoro	amar	V	V;NFIN
xastre	sastre	xastre	sastre	N	N;MASC;SG
xastre	sastres	xastre	sastre	N	N;MASC;PL
enxergar	entienda	enxergar	entender	V	V;IMP;SG;3;FIN
enxergar	comprenda	enxergar	comprender	V	V;IMP;SG;3;FIN
enxergar	comprender	enxergar	comprender	V	V;NFIN
enxergar	entiende	enxergar	entender	V	V;IND;SG;3;PRS;FIN
enxergar	entender	enxergar	entender	V	V;NFIN
tetas	tetas	teta	teta	N	N;FEM;PL
boulevard	boulevard	boulevard	boulevard	N	N;MASC;SG
boulevard	bulevar	boulevard	bulevar	N	N;MASC;SG
autoestrada	autopista	autoestrada	autopista	N	N;FEM;SG
crucifixión	crucifixión	crucifixión	crucifixión	N	N;FEM;SG
serventa	sirvienta	serventar	sirvienta	N	N;FEM;SG
serventa	mucama	serventar	mucama	N	N;FEM;SG
serventa	doncella	serventar	doncella	N	N;FEM;SG
melinda	melinda	melinda	melinda	N	N;FEM;SG
imperfecto	imperfecto	imperfecto	imperfecto	ADJ	ADJ;MASC;SG
imperfecto	imperfecta	imperfecto	imperfecto	ADJ	ADJ;FEM;SG
refuxiados	refugiados	refuxiado	refugiado	N	N;MASC;PL
refuxiados	refugiados	refuxiado	refugiado	N	N;MASC;PL
viñan	ven	vir	ver	V	V;IND;PL;3;PRS;FIN
viñan	venid	vir	venir	V	V;IND;PL;2;PRS;FIN
viñan	venga	vir	venir	V	V;SBJV;SG;3;PRS;FIN
viñan	vengan	vir	venir	V	V;IMP;PL;3;FIN
viñan	vinieron	vir	venir	V	V;IND;PL;3;PST;FIN
levei	tomaron	levar	tomar	V	V;IND;PL;3;PST;FIN
levei	tomó	levar	tomar	V	V;IND;SG;3;PST;FIN
cambian	cambiar	cambiar	cambiar	V	V;NFIN
cambian	cambia	cambiar	cambiar	V	V;IND;SG;3;PRS;FIN
honestidade	honradez	honestidade	honradez	N	N;FEM;SG
honestidade	sinceridad	honestidade	sinceridad	N	N;FEM;SG
honestidade	honestidad	honestidade	honestidad	N	N;FEM;SG
granxas	explotaciones	granxa	explotación	N	N;FEM;PL
granxas	granjas	granxa	granja	N	N;FEM;PL
granxas	fincas	granxa	finca	N	N;FEM;PL
mozart	mozart	mozart	mozart	N	N;MASC;SG
mestra	maestra	mestra	maestro	N	N;FEM;SG
mestra	maestro	mestra	maestro	N	N;MASC;SG
mestra	docente	mestra	docente	N	N;SG
mestra	profesor	mestra	profesor	N	N;MASC;SG
mestra	profesora	mestra	profesora	N	N;FEM;SG
occidental	occidental	occidental	occidental	ADJ	ADJ;SG
occidental	occidentales	occidental	occidental	ADJ	ADJ;PL
occidental	occidental	occidental	occidental	ADJ	ADJ;SG
representar	representar	representar	representar	V	V;NFIN
representar	representa	representar	representar	V	V;IND;SG;3;PRS;FIN
representar	representan	representar	representar	V	V;IND;PL;3;PRS;FIN
representar	represente	representar	represente	V	V;SBJV;SG;3;PRS;FIN
actuación	rendimiento	actuación	rendimiento	N	N;MASC;SG
actuación	desempeño	actuación	desempeño	N	N;MASC;SG
actuación	actuación	actuación	actuación	N	N;FEM;SG
actuación	performance	actuación	performance	N	N;FEM;SG
impresionante	impresionantes	impresionante	impresionante	ADJ	ADJ;PL
impresionante	impresionante	impresionante	impresionante	ADJ	ADJ;SG
encaixa	encaja	encaixa	encajar	V	V;IND;SG;3;PRS;FIN
encaixa	cabe	encaixa	caber	V	V;IND;SG;3;PRS;FIN
tomaba	tomaron	tomar	tomar	V	V;IND;PL;3;PST;FIN
tomaba	tomó	tomar	tomar	V	V;IND;SG;3;PST;FIN
fantasía	fantasy	fantasía	fantasy	N	N;MASC
fantasía	fantasia	fantasía	fantasia	N	N;FEM;SG
fantasía	fantasías	fantasía	fantasía	N	N;FEM;PL
fantasía	fantasía	fantasía	fantasía	N	N;FEM;SG
vicepresidente	vicepresidente	vicepresidente	vicepresidente	N	N;MASC;SG
vicepresidente	vicios	vicepresidente	vicio	N	N;MASC;PL
vicepresidente	vicio	vicepresidente	vicio	N	N;MASC;SG
vicepresidente	president	vicepresidente	president	N	N;MASC;SG
vicepresidente	presidenta	vicepresidente	presidenta	N	N;FEM;SG
vicepresidente	presidente	vicepresidente	presidente	N	N;MASC;SG
fase	etapa	fase	etapa	N	N;FEM;SG
fase	escenario	fase	escenario	N	N;MASC;SG
fase	stage	fase	stage	N	N
fase	etapa	fase	etapa	N	N;FEM;SG
fase	fase	fase	fase	N	N;FEM;SG
veredes	véase	verede	véase	V	V;SBJV;SG;3;PRS;FIN
veredes	ver	verede	ver	V	V;NFIN
veredes	vea	verede	ver	V	V;IMP;SG;3;FIN
extraordinario	extraordinarias	extraordinario	extraordinario	ADJ	ADJ;FEM;PL
extraordinario	extraordinaria	extraordinario	extraordinario	ADJ	ADJ;FEM;SG
extraordinario	extraordinario	extraordinario	extraordinario	ADJ	ADJ;MASC;SG
extraordinario	extraordinarios	extraordinario	extraordinario	ADJ	ADJ;MASC;PL
contesta	contestar	contesta	contestar	V	V;NFIN
contesta	contesta	contesta	contestar	V	V;IND;SG;3;PRS;FIN
contesta	responder	contesta	responder	V	V;NFIN
pagas	sueldo	paga	sueldo	N	N;MASC;SG
pagas	pago	paga	pago	N	N;MASC;SG
preguntoume	pregunté	preguntoume	preguntar	V	V;IND;SG;1;PST;FIN
preguntoume	preguntó	preguntoume	preguntar	V	V;IND;SG;3;PST;FIN
impedir	pare	impedir	parir	V	V;SBJV;SG;3;PRS;FIN
impedir	detener	impedir	detener	V	V;NFIN
impedir	parar	impedir	parar	V	V;NFIN
impedir	mantener	impedir	mantener	V	V;NFIN
impedir	conservar	impedir	conservar	V	V;NFIN
congreso	congreso	congreso	congreso	N	N;MASC;SG
congreso	congresos	congreso	congreso	N	N;MASC;PL
collen	tomar	coller	tomar	V	V;NFIN
collen	toma	coller	tomar	V	V;IND;SG;3;PRS;FIN
collen	tome	coller	tomar	V	V;IMP;SG;3;FIN
béisbol	beisbol	béisbol	beisbol	N	N;MASC;SG
béisbol	baseball	béisbol	baseball	N	N;SG
béisbol	béisbol	béisbol	béisbol	N	N;MASC;SG
electrónico	electrónicos	electrónico	electrónico	ADJ	ADJ;MASC;PL
electrónico	electrónico	electrónico	electrónico	ADJ	ADJ;MASC;SG
electrónico	electrónica	electrónico	electrónico	ADJ	ADJ;FEM;SG
electrónico	electrónicas	electrónico	electrónico	ADJ	ADJ;FEM;PL
terriblemente	terriblemente	térrible	terriblemente	ADV	ADV
reto	impugnación	reto	impugnación	N	N;FEM;SG
reto	challenge	reto	challenge	N	N;SG
reto	reto	reto	reto	N	N;MASC;SG
reto	desafio	reto	desafio	N	N;MASC;SG
reto	desafío	reto	desafío	N	N;MASC;SG
postura	postura	postura	postura	N	N;FEM;SG
postura	posicion	postura	posicion	N	N;FEM;SG
postura	posición	postura	posición	N	N;FEM;SG
interacción	interacción	interacción	interacción	N	N;FEM;SG
impotencia	impotencia	impotencia	impotencia	N	N;FEM;SG
despedida	despedida	despedir	despedida	N	N;FEM;SG
convencer	convencer	convencer	convencer	V	V;NFIN
convencer	convence	convencer	convencer	V	V;IND;SG;3;PRS;FIN
ego	ego	ego	ego	N	N;MASC;SG
prioridades	prioridades	prioridade	prioridad	N	N;FEM;PL
experto	experto	experto	experto	N	N;MASC;SG
experto	perito	experto	perito	N	N;MASC;SG
experto	expertos	experto	experto	N	N;MASC;PL
experto	experta	experto	experta	N	N;FEM;SG
referencia	referencia	referencia	referencia	N	N;FEM;SG
tiveses	tenía	ter	tener	V	V;IND;SG;3;IPFV;FIN
tiveses	tuvo	ter	tener	V	V;IND;SG;3;PST;FIN
preocupar	preocuparse	preocupar	preocuparse	V	V;SBJV;SG;3;IPFV;FIN
necesitaba	necesitó	necesitar	necesitar	V	V;IND;SG;3;PST;FIN
necesitaba	necesitaba	necesitar	necesitar	V	V;IND;SG;3;IPFV;FIN
gafas	lentes	gafo	lente	N	N;MASC;PL
gafas	vidrios	gafo	vidrio	N	N;MASC;PL
gafas	gafas	gafo	gafas	N	N;FEM;PL
gafas	vasos	gafo	vaso	N	N;MASC;PL
gafas	copas	gafo	copa	N	N;FEM;PL
secundarios	costado	secundario	costar	ADJ	ADJ;MASC;SG;V.PTCP
secreto	secret	secreto	secret	N	N
secreto	secreto	secreto	secreto	N	N;MASC;SG
secreto	secretos	secreto	secreto	N	N;MASC;PL
pavos	pavos	pavo	pavo	N	N;MASC;PL
pavos	bucks	pavo	bucks	N	N;MASC;PL
verdadeiros	real	verdadeiro	real	ADJ	ADJ;SG
verdadeiros	reales	verdadeiro	real	ADJ	ADJ;PL
verdadeiros	verdadero	verdadeiro	verdadero	ADJ	ADJ;MASC;SG
verdadeiros	cierto	verdadeiro	cierto	ADJ	ADJ;MASC;SG
verdadeiros	verdadera	verdadeiro	verdadero	ADJ	ADJ;FEM;SG
verdadeiros	verdadero	verdadeiro	verdadero	ADJ	ADJ;MASC;SG
similares	parecido	similar	parecido	ADJ	ADJ;MASC;SG;V.PTCP
similares	similar	similar	similar	ADJ	ADJ;SG
similares	similares	similar	similar	ADJ	ADJ;PL
similares	parecidos	similar	parecido	ADJ	ADJ;MASC;PL;V.PTCP
desafío	impugnación	desafío	impugnación	N	N;FEM;SG
desafío	challenge	desafío	challenge	N	N;SG
desafío	reto	desafío	reto	N	N;MASC;SG
desafío	desafio	desafío	desafio	N	N;MASC;SG
desafío	desafío	desafío	desafío	N	N;MASC;SG
desafío	desafío	desafío	desafío	N	N;MASC;SG
capturar	capturan	capturar	capturar	V	V;IND;PL;3;PRS;FIN
capturar	capturar	capturar	capturar	V	V;NFIN
profundidade	profundidad	profundidade	profundidad	N	N;FEM;SG
profundidade	deep	profundidade	deep	N	N
capas	capas	capa	capa	N	N;FEM;PL
capas	oro	capa	oro	N	N;MASC;SG
capas	gold	capa	gold	N	N
utiliza	usar	utilizar	usar	V	V;NFIN
utiliza	utilizar	utilizar	utilizar	V	V;NFIN
virán	ven	virán	ver	V	V;IND;PL;3;PRS;FIN
virán	venid	virán	venir	V	V;IND;PL;2;PRS;FIN
virán	venga	virán	venir	V	V;SBJV;SG;3;PRS;FIN
virán	vengan	virán	venir	V	V;IMP;PL;3;FIN
operar	operar	operar	operar	V	V;NFIN
orientais	orientales	oriental	oriental	ADJ	ADJ;PL
orientais	oriental	oriental	oriental	ADJ	ADJ;SG
adolescente	adolescente	adolescente	adolescente	N	N;SG
adolescente	adolescentes	adolescente	adolescente	N	N;PL
maquinaria	maquinarias	maquinaria	maquinaria	N	N;FEM;PL
maquinaria	maquinaria	maquinaria	maquinaria	N	N;FEM;SG
maquinaria	máquinas	maquinaria	máquina	N	N;FEM;PL
maquinaria	máquina	maquinaria	máquina	N	N;FEM;SG
maquinaria	maquina	maquinaria	maquina	N	N;FEM;SG
renda	renta	renda	renta	N	N;FEM;SG
renda	ingresos	renda	ingreso	N	N;MASC;PL
renda	rentas	renda	renta	N	N;FEM;PL
renda	ingreso	renda	ingreso	N	N;MASC;SG
renda	renta	renda	renta	N	N;FEM;SG
sexamos	dejemos	sexar	dejar	V	V;IMP;PL;1;FIN
admitir	admitir	admitir	admitir	V	V;NFIN
admitir	admita	admitir	admitir	V	V;SBJV;SG;3;FIN
admitir	admite	admitir	admitir	V	V;IND;SG;3;PRS;FIN
admitir	admiten	admitir	admitir	V	V;IND;PL;3;PRS;FIN
admitir	quieres	admitir	querer	V	V;IND;SG;2;PRS;FIN
admitir	quiero	admitir	querer	V	V;IND;SG;1;PRS;FIN
admitir	querer	admitir	querer	V	V;NFIN
admitir	quieren	admitir	querer	V	V;IND;PL;3;PRS;FIN
inxección	inyección	inxección	inyección	N	N;FEM;SG
instrumento	instrumento	instrumento	instrumento	N	N;MASC;SG
diaños	hell	diaño	hell	N	N
diaños	infierno	diaño	infierno	N	N;MASC;SG
micrófono	micrófono	micrófono	micrófono	N	N;MASC;SG
cheguen	conseguir	chegar	conseguir	V	V;NFIN
cheguen	consigue	chegar	conseguir	V	V;IND;SG;3;PRS;FIN
cheguen	obtener	chegar	obtener	V	V;NFIN
cheguen	obtenga	chegar	obtener	V	V;SBJV;SG;3;PRS;FIN
cheguen	ven	chegar	ver	V	V;IND;PL;3;PRS;FIN
cheguen	venid	chegar	venir	V	V;IND;PL;2;PRS;FIN
cheguen	venga	chegar	venir	V	V;SBJV;SG;3;PRS;FIN
cheguen	vengan	chegar	venir	V	V;IMP;PL;3;FIN
placas	planchas	placa	plancha	N	N;FEM;PL
placas	placas	placa	placa	N	N;FEM;PL
placas	chapas	placa	chapa	N	N;FEM;PL
placas	platos	placa	plato	N	N;MASC;PL
habitacións	habitación	habitación	habitación	N	N;FEM;SG
habitacións	habitaciones	habitación	habitación	N	N;FEM;PL
habitacións	cuartos	habitación	cuarto	N	N;MASC;PL
habitacións	salas	habitación	sala	N	N;FEM;PL
actuais	actual	actual	actual	ADJ	ADJ;SG
contrasinal	contraseñas	contrasinal	contraseño	N	N;FEM;PL
contrasinal	password	contrasinal	password	N	N;MASC;SG
contrasinal	clave	contrasinal	clave	N	N;FEM;SG
contrasinal	contraseña	contrasinal	contraseño	N	N;FEM;SG
dispositivos	dispositivos	dispositivo	dispositivo	N	N;MASC;PL
dispositivos	aparatos	dispositivo	aparato	N	N;MASC;PL
particularmente	particularmente	particular	particularmente	ADV	ADV
particularmente	especialmente	particular	especialmente	ADV	ADV
porca	dirty	porco	dirty	N	N
entrevistas	entrevistas	entrevista	entrevista	N	N;FEM;PL
lendo	leyendo	lendo	leer	V	V;V.MSDR
lendo	leer	lendo	leer	V	V;NFIN
queixa	queja	queixa	queja	N	N;FEM;SG
queixa	quejas	queixa	queja	N	N;FEM;PL
queixa	reclamación	queixa	reclamación	N	N;FEM;SG
queixa	denuncia	queixa	denuncia	N	N;FEM;SG
verdades	verdades	verdade	verdad	N	N;FEM;PL
tomen	tomar	tomar	tomar	V	V;NFIN
tomen	toma	tomar	tomar	V	V;IND;SG;3;PRS;FIN
tomen	tome	tomar	tomar	V	V;IMP;SG;3;FIN
manifestación	demostración	manifestación	demostración	N	N;FEM;SG
manifestación	demostraciones	manifestación	demostración	N	N;FEM;PL
manifestación	manifestación	manifestación	manifestación	N	N;FEM;SG
ética	ética	ética	ética	N	N;FEM;SG
cruzando	cruzando	cruzar	cruzar	V	V;V.MSDR
cruzando	cruzar	cruzar	cruzar	V	V;NFIN
opresión	opresión	opresión	opresión	N	N;FEM;SG
serra	sierra	serra	sierra	N	N;FEM;SG
argumento	argumento	argumento	argumento	N	N;MASC;SG
argumento	argumentación	argumento	argumentación	N	N;FEM;SG
asilo	enfermería	asilo	enfermería	N	N;FEM;SG
asilo	hogar	asilo	hogar	N	N;MASC;SG
asilo	casa	asilo	casa	N	N;FEM;SG
asilo	inicio	asilo	inicio	N	N;MASC;SG
autor	autor	autor	autor	N	N;MASC;SG
autor	autora	autor	autora	N	N;FEM;SG
ducha	ducha	ducha	ducha	N	N;FEM;SG
amabilidade	bondad	amabilidade	bondad	N	N;FEM;SG
amabilidade	gentileza	amabilidade	gentileza	N	N;FEM;SG
amabilidade	amabilidad	amabilidade	amabilidad	N	N;FEM;SG
propiedades	propiedad	propiedade	propiedad	N	N;FEM;SG
propiedades	propiedades	propiedade	propiedad	N	N;FEM;PL
propiedades	inmueble	propiedade	inmueble	N	N;MASC;SG
propiedades	propiedades	propiedade	propiedad	N	N;FEM;PL
propiedades	fincas	propiedade	finca	N	N;FEM;PL
propiedades	inmuebles	propiedade	inmueble	N	N;MASC;PL
gañadores	vencedores	gañador	vencedor	N	N;MASC;PL
gañadores	ganadores	gañador	ganador	N	N;MASC;PL
use	usar	use	usar	V	V;NFIN
use	utilizar	use	utilizar	V	V;NFIN
paramos	pare	parar	parir	V	V;SBJV;SG;3;PRS;FIN
