من	от	مِن	от	ADP	ADP
معالجة	обработка	مُعَالَجَة	обработка	N;NOM;INDF;SG	N;INDF;FEM;SG
معالجة	третиране	مُعَالَجَة	третиране	N;NOM;INDF;SG	N;INDF;NEUT;SG
معالجة	лечение	مُعَالَجَة	лечение	N;NOM;INDF;SG	N;INDF;NEUT;SG
معالجة	обработка	مُعَالَجَة	обработка	N;NOM;INDF;SG	N;INDF;FEM;SG
وطنية	национална	وَطَنِيّ	национален	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
وطنية	национален	وَطَنِيّ	национален	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
قياس	измерване	قِيَاس	измерване	N;NOM;INDF;SG	N;INDF;NEUT;SG
قياس	мярка	قِيَاس	мярка	N;NOM;INDF;SG	N;INDF;FEM;SG
قياس	оценяване	قِيَاس	оценяване	N;NOM;INDF;SG	N;INDF;NEUT;SG
قياس	измерване	قِيَاس	измерване	N;NOM;INDF;SG	N;INDF;NEUT;SG
شعبية	популярност	شَعبِيَّة	популярност	N;NOM;INDF;SG	N;INDF;FEM;SG
شعبية	известност	شَعبِيَّة	известност	N;NOM;INDF;SG	N;INDF;FEM;SG
بطل	шампион	بَطَل	шампион	N;NOM;INDF;SG	N;INDF;MASC;SG
بطل	херо	بَطَل	херо	N;NOM;INDF;SG	N;INDF;MASC;SG
بطل	герой	بَطَل	герой	N;NOM;INDF;SG	N;INDF;MASC;SG
بطل	шампион	بَطَل	шампион	N;NOM;INDF;SG	N;INDF;MASC;SG
بطل	шампионка	بَطَل	шампионка	N;NOM;INDF;SG	N;INDF;FEM;SG
علمية	научен	عِلمِيّ	научен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
لوحة	рисуване	لَوحَة	рисуване	N;NOM;INDF;SG	N;INDF;NEUT;SG
لوحة	живопис	لَوحَة	живопис	N;NOM;INDF;SG	N;INDF;FEM;SG
لوحة	картина	لَوحَة	картина	N;NOM;INDF;SG	N;INDF;FEM;SG
لوحة	боядисване	لَوحَة	боядисване	N;NOM;INDF;SG	N;INDF;NEUT;SG
محتوى	съдържание	مُحتَوَى	съдържание	N;NOM;INDF;SG	N;INDF;NEUT;SG
الملكة	кралицата	مَلِكَة	кралица	N;NOM;DEF;SG	N;DEF;FEM;SG
رئاسة	председателство	رِئَاسَة	председателство	N;NOM;INDF;SG	N;INDF;NEUT;SG
مسلمون	мюсюлмани	مُسلِم	мюсюлманин	N;NOM;INDF;PL	N;INDF;MASC;PL
سقوط	падане	سُقُوط	падане	N;NOM;INDF;SG	N;INDF;NEUT;SG
سقوط	падане	سُقُوط	падане	N;NOM;INDF;SG	N;INDF;NEUT;SG
سقوط	есен	سُقُوط	есен	N;NOM;INDF;SG	N;INDF;FEM;SG
مساعدة	помощ	مُسَاعَدَة	помощ	N;NOM;INDF;SG	N;INDF;FEM;SG
الدستور	конституцията	دُستُور	конституция	N;NOM;DEF;SG	N;DEF;FEM;SG
التقنية	техниката	تَقنِيَّة	техника	N;NOM;DEF;SG	N;DEF;FEM;SG
الجلد	кожата	جَلد	кожа	N;NOM;DEF;SG	N;DEF;FEM;SG
الصحراء	пустинята	صَحرَاء	пустиня	N;NOM;DEF;SG	N;DEF;FEM;SG
التصويت	гласуването	تَصوِيت	гласуване	N;NOM;DEF;SG	N;DEF;NEUT;SG
تعليم	преподаване	تَعلِيم	преподаване	N;NOM;INDF;SG	N;INDF;NEUT;SG
تعليم	обучение	تَعلِيم	обучение	N;NOM;INDF;SG	N;INDF;NEUT;SG
تعليم	образование	تَعلِيم	образование	N;NOM;INDF;SG	N;INDF;NEUT;SG
تعليم	възпитание	تَعلِيم	възпитание	N;NOM;INDF;SG	N;INDF;NEUT;SG
القرار	решението	قَرَار	решение	N;NOM;DEF;SG	N;DEF;NEUT;SG
شعب	разделение	شَعب	разделение	N;NOM;INDF;SG	N;INDF;NEUT;SG
سيارة	автомобил	سَيَّارَة	автомобил	N;NOM;INDF;SG	N;INDF;MASC;SG
سيارة	кола	سَيَّارَة	кола	N;NOM;INDF;SG	N;INDF;FEM;SG
الجماعة	паството	جَمَاعَة	паство	N;NOM;DEF;SG	N;DEF;NEUT;SG
الجماعة	общността	جَمَاعَة	общност	N;NOM;DEF;SG	N;DEF;FEM;SG
وصلة	връзка	وِصلَة	връзка	N;NOM;INDF;SG	N;INDF;FEM;SG
وصلة	линк	وِصلَة	линк	N;NOM;INDF;SG	N;INDF;MASC;SG
رابطة	сдружение	رَابِطَة	сдружение	N;NOM;INDF;SG	N;INDF;NEUT;SG
رابطة	асоциация	رَابِطَة	асоциация	N;NOM;INDF;SG	N;INDF;FEM;SG
رابطة	асоцииране	رَابِطَة	асоцииране	N;NOM;INDF;SG	N;INDF;NEUT;SG
نشاط	дейност	نَشَاط	дейност	N;NOM;INDF;SG	N;INDF;FEM;SG
نشاط	активност	نَشَاط	активност	N;NOM;INDF;SG	N;INDF;FEM;SG
ليلة	вечер	لَيلَة	вечер	N;NOM;INDF;SG	N;INDF;FEM;SG
ليلة	нощ	لَيلَة	нощ	N;NOM;INDF;SG	N;INDF;FEM;SG
تعريف	дефиниция	تَعرِيف	дефиниция	N;NOM;INDF;SG	N;INDF;FEM;SG
تعريف	определение	تَعرِيف	определение	N;NOM;INDF;SG	N;INDF;NEUT;SG
حجة	спор	حُجَّة	спор	N;NOM;INDF;SG	N;INDF;MASC;SG
حجة	аргумент	حُجَّة	аргумент	N;NOM;INDF;SG	N;INDF;MASC;SG
المهمة	задачата	مَهَمَّة	задача	N;NOM;DEF;SG	N;DEF;FEM;SG
المهمة	мисията	مَهَمَّة	мисия	N;NOM;DEF;SG	N;DEF;FEM;SG
الجنس	секса	جِنس	секс	N;NOM;DEF;SG	N;DEF;MASC;SG
الجنس	сексът	جِنس	секс	N;NOM;DEF;SG	N;DEF;MASC;SG
قصص	истории	قِصَّة	история	N;NOM;INDF;PL	N;INDF;FEM;PL
قصص	разкази	قِصَّة	разказ	N;NOM;INDF;PL	N;INDF;MASC;PL
مجالات	области	مَجَال	област	N;NOM;INDF;PL	N;INDF;FEM;PL
مجالات	райони	مَجَال	район	N;NOM;INDF;PL	N;INDF;MASC;PL
مجالات	зони	مَجَال	зоня	N;NOM;INDF;PL	N;INDF;FEM;PL
مجالات	площи	مَجَال	площ	N;NOM;INDF;PL	N;INDF;FEM;PL
مجالات	области	مَجَال	област	N;NOM;INDF;PL	N;INDF;FEM;PL
الحقيقة	истината	حَقِيقَة	истина	N;NOM;DEF;SG	N;DEF;FEM;SG
تصوير	фотография	تَصوِير	фотография	N;NOM;INDF;SG	N;INDF;FEM;SG
منتج	продукт	مُنتَج	продукт	N;NOM;INDF;SG	N;INDF;MASC;SG
منتج	продуцент	مُنتَج	продуцент	N;NOM;INDF;SG	N;INDF;MASC;SG
منتج	производител	مُنتَج	производител	N;NOM;INDF;SG	N;INDF;MASC;SG
انتشار	разпространение	اِنتِشَار	разпространение	N;NOM;INDF;SG	N;INDF;NEUT;SG
مسلم	мюсюлманин	مُسلِم	мюсюлманин	N;NOM;INDF;SG	N;INDF;MASC;SG
عسكري	военен	عَسكَرِيّ	военен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;MASC;SG
عسكري	военна	عَسكَرِيّ	военен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
كاملة	пълна	كَامِل	пълен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
كاملة	пълен	كَامِل	пълен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
كاملة	пълна	كَامِل	пълен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
كاملة	пълен	كَامِل	пълен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
بدء	начало	بَدء	начало	N;NOM;INDF;SG	N;INDF;NEUT;SG
بدء	старт	بَدء	старт	N;NOM;INDF;SG	N;INDF;MASC;SG
بدء	стартиране	بَدء	стартиране	N;NOM;INDF;SG	N;INDF;NEUT;SG
بدء	започване	بَدء	започване	N;NOM;INDF;SG	N;INDF;NEUT;SG
الصحافة	пресата	صَحَافَة	преса	N;NOM;DEF;SG	N;DEF;FEM;SG
الصحافة	журналистиката	صَحَافَة	журналистика	N;NOM;DEF;SG	N;DEF;FEM;SG
مساهمات	хипотези	مُسَاهَمَة	хипотеза	N;NOM;INDF;PL	N;INDF;FEM;PL
مساهمات	входове	مُسَاهَمَة	вход	N;NOM;INDF;PL	N;INDF;MASC;PL
مساهمات	вноски	مُسَاهَمَة	вноска	N;NOM;INDF;PL	N;INDF;FEM;PL
رسوم	рисунки	رَسم	рисунка	N;NOM;INDF;PL	N;INDF;FEM;PL
رسوم	скици	رَسم	скица	N;NOM;INDF;PL	N;INDF;FEM;PL
رسوم	чертежи	رَسم	чертеж	N;NOM;INDF;PL	N;INDF;MASC;PL
رسوم	хонорари	رَسم	хонорар	N;NOM;INDF;PL	N;INDF;MASC;PL
رسوم	такси	رَسم	такса	N;NOM;INDF;PL	N;INDF;FEM;PL
مستقلة	независима	مُستَقِلّ	независим	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
مستقلة	независим	مُستَقِلّ	независим	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
مستقلة	автономна	مُستَقِلّ	автономен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
قدرة	способност	قُدرَة	способност	N;NOM;INDF;SG	N;INDF;FEM;SG
قدرة	способност	قُدرَة	способност	N;NOM;INDF;SG	N;INDF;FEM;SG
طبقة	пласт	طَبَقَة	пласт	N;NOM;INDF;SG	N;INDF;MASC;SG
طبقة	слой	طَبَقَة	слой	N;NOM;INDF;SG	N;INDF;MASC;SG
النتائج	последствията	نَتِيجَة	последствие	N;NOM;DEF;PL	N;DEF;NEUT;PL
تسجيل	записване	تَسجِيل	записване	N;NOM;INDF;SG	N;INDF;NEUT;SG
تسجيل	запис	تَسجِيل	запис	N;NOM;INDF;SG	N;INDF;MASC;SG
تسجيل	рекорд	تَسجِيل	рекорд	N;NOM;INDF;SG	N;INDF;MASC;SG
تسجيل	запис	تَسجِيل	запис	N;NOM;INDF;SG	N;INDF;MASC;SG
تسجيل	регистър	تَسجِيل	регистър	N;NOM;INDF;SG	N;INDF;MASC;SG
تسجيل	регистрация	تَسجِيل	регистрация	N;NOM;INDF;SG	N;INDF;FEM;SG
تسجيل	регистриране	تَسجِيل	регистриране	N;NOM;INDF;SG	N;INDF;NEUT;SG
سيرة	биография	سِيرَة	биография	N;NOM;INDF;SG	N;INDF;FEM;SG
ميداليات	медали	مِيدَالِيَات	медал	N;NOM;INDF;PL	N;INDF;MASC;PL
مرور	преминаване	مُرُور	преминаване	N;NOM;INDF;SG	N;INDF;NEUT;SG
مرور	проход	مُرُور	проход	N;NOM;INDF;SG	N;INDF;MASC;SG
مرور	преминаване	مُرُور	преминаване	N;NOM;INDF;SG	N;INDF;NEUT;SG
مرور	пасаж	مُرُور	пасаж	N;NOM;INDF;SG	N;INDF;MASC;SG
المستقبل	бъдещето	مُستَقبَل	бъдеще	N;NOM;DEF;SG	N;DEF;NEUT;SG
توقيع	подписване	تَوقِيع	подписване	N;NOM;INDF;SG	N;INDF;NEUT;SG
توقيع	подпис	تَوقِيع	подпис	N;NOM;INDF;SG	N;INDF;MASC;SG
توقيع	подписване	تَوقِيع	подписване	N;NOM;INDF;SG	N;INDF;NEUT;SG
توقيع	подпис	تَوقِيع	подпис	N;NOM;INDF;SG	N;INDF;MASC;SG
سلام	мир	سَلَام	мир	N;NOM;INDF;SG	N;INDF;MASC;SG
سلام	салам	سَلَام	салам	N;NOM;INDF;SG	N;INDF;MASC;SG
تفسير	обяснение	تَفسِير	обяснение	N;NOM;INDF;SG	N;INDF;NEUT;SG
تفسير	тълкуване	تَفسِير	тълкуване	N;NOM;INDF;SG	N;INDF;NEUT;SG
تفسير	интерпретация	تَفسِير	интерпретация	N;NOM;INDF;SG	N;INDF;FEM;SG
تفسير	тълкуване	تَفسِير	тълкуване	N;NOM;INDF;SG	N;INDF;NEUT;SG
متوسط	среден	مُتَوَسِّط	среден	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;MASC;SG
متوسط	средна	مُتَوَسِّط	среден	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
متوسط	среден	مُتَوَسِّط	среден	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;MASC;SG
الخليفة	халифа	خَلِيفَة	халифа	N;NOM;DEF;SG	N;DEF;MASC;SG
نص	текст	نَصّ	текст	N;NOM;INDF;SG	N;INDF;MASC;SG
نص	сценарий	نَصّ	сценарий	N;NOM;INDF;SG	N;INDF;MASC;SG
الزواج	брака	زَوَاج	брак	N;NOM;DEF;SG	N;DEF;MASC;SG
الزواج	бракът	زَوَاج	брак	N;NOM;DEF;SG	N;DEF;MASC;SG
معاهدة	договор	مُعَاهَدَة	договор	N;NOM;INDF;SG	N;INDF;MASC;SG
جامعات	университети	جَامِعَة	университет	N;NOM;INDF;PL	N;INDF;MASC;PL
مساعد	помощник	مُسَاعِد	помощник	N;NOM;INDF;SG	N;INDF;MASC;SG
مساعد	асистентка	مُسَاعِد	асистентка	N;NOM;INDF;SG	N;INDF;FEM;SG
مساعد	асистент	مُسَاعِد	асистент	N;NOM;INDF;SG	N;INDF;MASC;SG
مساعد	помощничка	مُسَاعِد	помощничка	N;NOM;INDF;SG	N;INDF;FEM;SG
مساعد	помощник	مُسَاعِد	помощник	N;NOM;INDF;SG	N;INDF;MASC;SG
اثنين	двама	اِثنَان	двама	NUM;NOM;INDF;MASC	NUM;INDF;PL
اثنين	две	اِثنَان	два	NUM;NOM;INDF;MASC	NUM;INDF;FEM;PL
مقاومة	съпротива	مُقَاوَمَة	съпротива	N;NOM;INDF;SG	N;INDF;FEM;SG
مقاومة	резистентност	مُقَاوَمَة	резистентност	N;NOM;INDF;SG	N;INDF;FEM;SG
مقاومة	устойчивост	مُقَاوَمَة	устойчивост	N;NOM;INDF;SG	N;INDF;FEM;SG
مقاومة	съпротивление	مُقَاوَمَة	съпротивление	N;NOM;INDF;SG	N;INDF;NEUT;SG
قضية	случай	قَضِيَّة	случай	N;NOM;INDF;SG	N;INDF;MASC;SG
قضية	дело	قَضِيَّة	дело	N;NOM;INDF;SG	N;INDF;NEUT;SG
قضية	кейс	قَضِيَّة	кейс	N;NOM;INDF;SG	N;INDF;MASC;SG
قضية	каса	قَضِيَّة	каса	N;NOM;INDF;SG	N;INDF;FEM;SG
مجمع	комплекс	مَجمَع	комплекс	N;NOM;INDF;SG	N;INDF;MASC;SG
مجمع	съединение	مَجمَع	съединение	N;NOM;INDF;SG	N;INDF;NEUT;SG
شاعر	поет	شَاعِر	поет	N;NOM;INDF;SG	N;INDF;MASC;SG
بطولات	турнири	بُطُولَة	турнир	N;NOM;INDF;PL	N;INDF;MASC;PL
صندوق	box	صُندُوق	box	N;NOM;INDF;SG	N;INDF;MASC;SG
صندوق	клетка	صُندُوق	клетка	N;NOM;INDF;SG	N;INDF;FEM;SG
صندوق	кутия	صُندُوق	кутия	N;NOM;INDF;SG	N;INDF;FEM;SG
صندوق	фонд	صُندُوق	фонд	N;NOM;INDF;SG	N;INDF;MASC;SG
حجر	камък	حَجَر	камък	N;NOM;INDF;SG	N;INDF;MASC;SG
كتلة	маса	كُتلَة	маса	N;NOM;INDF;SG	N;INDF;FEM;SG
كتلة	литургия	كُتلَة	литургия	N;NOM;INDF;SG	N;INDF;FEM;SG
كتلة	блокиране	كُتلَة	блокиране	N;NOM;INDF;SG	N;INDF;NEUT;SG
كتلة	блок	كُتلَة	блок	N;NOM;INDF;SG	N;INDF;MASC;SG
منزل	дом	مَنزِل	дом	N;NOM;INDF;SG	N;INDF;MASC;SG
منزل	house	مَنزِل	house	N;NOM;INDF;SG	N;INDF;MASC;SG
منزل	къща	مَنزِل	къща	N;NOM;INDF;SG	N;INDF;FEM;SG
منزل	хаус	مَنزِل	хаус	N;NOM;INDF;SG	N;INDF;MASC;SG
معنى	смисъл	مَعنَى	смисъл	N;NOM;INDF;SG	N;INDF;MASC;SG
بمعنى	смисъл	بمعنى	смисъл	N;NOM;INDF;SG	N;INDF;MASC;SG
حاول	опитай	حَاوَل	опитам-(се)	V;MASC;IMP;SG;FIN	V;PFV;IMP;SG;2;FIN
موسوعة	енциклопедия	مَوسُوع	енциклопедия	N;NOM;INDF;SG	N;INDF;FEM;SG
الجبهة	челото	جَبهَة	чело	N;NOM;DEF;SG	N;DEF;NEUT;SG
محل	сладкарница	مَحَلّ	сладкарница	N;NOM;INDF;SG	N;INDF;FEM;SG
محل	магазин	مَحَلّ	магазин	N;NOM;INDF;SG	N;INDF;MASC;SG
محل	магазинче	مَحَلّ	магазинче	N;NOM;INDF;SG	N;INDF;NEUT;SG
مواضيع	теми	مَوضُوع	тема	N;NOM;INDF;PL	N;INDF;FEM;PL
مواضيع	теми	مَوضُوع	тема	N;NOM;INDF;PL	N;INDF;FEM;PL
مواضيع	субекти	مَوضُوع	субект	N;NOM;INDF;PL	N;INDF;MASC;PL
مواضيع	поданици	مَوضُوع	поданик	N;NOM;INDF;PL	N;INDF;MASC;PL
مواضيع	теми	مَوضُوع	тема	N;NOM;INDF;PL	N;INDF;FEM;PL
مواضيع	обекти	مَوضُوع	обект	N;NOM;INDF;PL	N;INDF;MASC;PL
رؤية	зрение	رُؤيَة	зрение	N;NOM;INDF;SG	N;INDF;NEUT;SG
رؤية	виждане	رُؤيَة	виждане	N;NOM;INDF;SG	N;INDF;NEUT;SG
رؤية	визия	رُؤيَة	визия	N;NOM;INDF;SG	N;INDF;FEM;SG
حديقة	парк	حَدِيقَة	парк	N;NOM;INDF;SG	N;INDF;MASC;SG
حديقة	гардън	حَدِيقَة	гардън	N;NOM;INDF;SG	N;INDF;MASC;SG
حديقة	градинка	حَدِيقَة	градинка	N;NOM;INDF;SG	N;INDF;FEM;SG
حديقة	градина	حَدِيقَة	градина	N;NOM;INDF;SG	N;INDF;FEM;SG
ميناء	пристанище	مِينَاء	пристанище	N;NOM;INDF;SG	N;INDF;NEUT;SG
ميناء	порт	مِينَاء	порт	N;NOM;INDF;SG	N;INDF;MASC;SG
قصير	къса	قَصِير	къс	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
قصير	кратка	قَصِير	кратък	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;FEM;SG
قصير	кратък	قَصِير	кратък	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;MASC;SG
الحضور	присъствието	حُضُور	присъствие	N;NOM;DEF;SG	N;DEF;NEUT;SG
السفن	корабите	سَفِينَة	кораб	N;NOM;DEF;PL	N;DEF;MASC;PL
النصف	половината	نِصف	половина	N;NOM;DEF;SG	N;DEF;FEM;SG
حكام	управители	حَاكِم	управител	N;NOM;INDF;PL	N;INDF;MASC;PL
حكام	управници	حَاكِم	управник	N;NOM;INDF;PL	N;INDF;MASC;PL
حكام	владетели	حَاكِم	владетел	N;NOM;INDF;PL	N;INDF;MASC;PL
تجارية	търговска	تِجَارِيّ	търговски	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
تجارية	търговски	تِجَارِيّ	търговски	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
معروفة	позната	مَعرُوف	познат	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
معروفة	известна	مَعرُوف	известен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
معروفة	известен	مَعرُوف	известен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
مشاكل	неприятности	مُشكِلَة	неприятност	N;NOM;INDF;PL	N;INDF;FEM;PL
مشاكل	проблеми	مُشكِلَة	проблем	N;NOM;INDF;PL	N;INDF;MASC;PL
مشاكل	проблеми	مُشكِلَة	проблем	N;NOM;INDF;PL	N;INDF;MASC;PL
سلاح	оръжие	سِلَاح	оръжие	N;NOM;INDF;SG	N;INDF;NEUT;SG
تدخل	встъпване	تَدَخُّل	встъпване	N;NOM;INDF;SG	N;INDF;NEUT;SG
تدخل	интервенция	تَدَخُّل	интервенция	N;NOM;INDF;SG	N;INDF;FEM;SG
تدخل	намеса	تَدَخُّل	намеса	N;NOM;INDF;SG	N;INDF;FEM;SG
كانون	оръдие	كَانُون	оръдие	N;GEN;INDF;SG	N;INDF;NEUT;SG
كانون	канон	كَانُون	канон	N;GEN;INDF;SG	N;INDF;MASC;SG
النواب	депутатите	نَائِب	депутат	N;NOM;DEF;PL	N;DEF;MASC;PL
مدرج	писта	مُدَرِّج	писта	N;NOM;INDF;SG	N;INDF;FEM;SG
تقول	казва	قَال	казвам-(се)	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
تكوين	състав	تَكوِين	състав	N;NOM;INDF;SG	N;INDF;MASC;SG
تكوين	композиция	تَكوِين	композиция	N;NOM;INDF;SG	N;INDF;FEM;SG
تكوين	настройване	تَكوِين	настройване	N;NOM;INDF;SG	N;INDF;NEUT;SG
موسيقية	музикален	مُوسِيقِيّ	музикален	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
موسيقية	музикална	مُوسِيقِيّ	музикален	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
النهضة	ренесанса	نَهضَة	ренесанс	N;NOM;DEF;SG	N;DEF;MASC;SG
ملاحظة	забележка	مُلَاحِظَة	забележка	N;NOM;INDF;SG	N;INDF;FEM;SG
ملاحظة	бележка	مُلَاحِظَة	бележка	N;NOM;INDF;SG	N;INDF;FEM;SG
ملاحظة	наблюдение	مُلَاحِظَة	наблюдение	N;NOM;INDF;SG	N;INDF;NEUT;SG
السياحة	туризмът	سِيَاحَة	туризъм	N;NOM;DEF;SG	N;DEF;MASC;SG
الجامع	джамията	جَامِع	джамия	N;NOM;DEF;SG	N;DEF;FEM;SG
طبية	медицински	طِبِّيّ	медицински	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
طبية	медицинска	طِبِّيّ	медицински	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
جسم	тяло	جَسم	тяло	N;NOM;INDF;SG	N;INDF;NEUT;SG
جسم	предмет	جَسم	предмет	N;NOM;INDF;SG	N;INDF;MASC;SG
جسم	обект	جَسم	обект	N;NOM;INDF;SG	N;INDF;MASC;SG
حب	обич	حُبّ	обич	N;NOM;INDF;SG	N;INDF;FEM;SG
حب	любов	حُبّ	любов	N;NOM;INDF;SG	N;INDF;FEM;SG
استعمال	използване	اِستِعمَال	използване	N;NOM;INDF;SG	N;INDF;NEUT;SG
استعمال	употреба	اِستِعمَال	употреба	N;NOM;INDF;SG	N;INDF;FEM;SG
الحروب	войните	حَرب	войн	N;NOM;DEF;PL	N;DEF;MASC;PL
محددة	специфичен	مُحَدَّد	специфичен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
محددة	специфична	مُحَدَّد	специфичен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
الحملة	кампанията	حَملَة	кампания	N;NOM;DEF;SG	N;DEF;FEM;SG
تفاعل	реакция	تَفَاعُل	реакция	N;NOM;INDF;SG	N;INDF;FEM;SG
تفاعل	взаимодействие	تَفَاعُل	взаимодействие	N;NOM;INDF;SG	N;INDF;NEUT;SG
الليل	нощта	لَيل	нощ	N;NOM;DEF;SG	N;DEF;FEM;SG
طبيعية	естествена	طَبِيعِيّ	естествен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
طبيعية	естествен	طَبِيعِيّ	естествен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
رسمية	официален	رَسمِيّ	официален	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
رسمية	официална	رَسمِيّ	официален	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
رسمية	официален	رَسمِيّ	официален	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
رسمية	официална	رَسمِيّ	официален	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
مدار	орбита	مَدَار	орбита	N;NOM;INDF;SG	N;INDF;FEM;SG
قدر	съдба	قَدر	съдба	N;NOM;INDF;SG	N;INDF;FEM;SG
النهر	реката	نَهر	река	N;NOM;DEF;SG	N;DEF;FEM;SG
السيدة	дамата	سَيِّدَة	дама	N;NOM;DEF;SG	N;DEF;FEM;SG
الجبال	планините	جَبَل	планини	N;NOM;DEF;PL	N;DEF;FEM;PL
محرك	двигател	مُحَرَّك	двигател	N;NOM;INDF;SG	N;INDF;MASC;SG
محرك	двигател	مُحَرَّك	двигател	N;NOM;INDF;SG	N;INDF;MASC;SG
محرك	мотор	مُحَرَّك	мотор	N;NOM;INDF;SG	N;INDF;MASC;SG
الطبعة	изданието	طَبعَة	издание	N;NOM;DEF;SG	N;DEF;NEUT;SG
تقويم	календар	تَقوِيم	календар	N;NOM;INDF;SG	N;INDF;MASC;SG
مقدمة	въведение	مُقَدِّمَة	въведение	N;NOM;INDF;SG	N;INDF;NEUT;SG
مقدمة	въвеждане	مُقَدِّمَة	въвеждане	N;NOM;INDF;SG	N;INDF;NEUT;SG
مقدمة	въведение	مُقَدِّمَة	въведение	N;NOM;INDF;SG	N;INDF;NEUT;SG
مقدمة	интро	مُقَدِّمَة	интро	N;NOM;INDF;SG	N;INDF;NEUT;SG
مقدمة	предговор	مُقَدِّمَة	предговор	N;NOM;INDF;SG	N;INDF;MASC;SG
سبعة	седем	سَبعَة	седем	NUM;NOM;INDF;MASC	NUM;INDF;PL
قوية	силен	قَوِيّ	силен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
قوية	силна	قَوِيّ	силен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
قوية	мощен	قَوِيّ	мощен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
قوية	мощна	قَوِيّ	мощен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
اتفاقية	конвенция	اِتِّفَاقِيَّة	конвенция	N;NOM;INDF;SG	N;INDF;FEM;SG
اتفاقية	конгрес	اِتِّفَاقِيَّة	конгрес	N;NOM;INDF;SG	N;INDF;MASC;SG
رئيسية	основна	رَئِيسِيّ	основен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
رئيسية	главна	رَئِيسِيّ	главен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;FEM;SG
رئيسية	главен	رَئِيسِيّ	главен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;MASC;SG
جسر	мостик	جِسر	мостик	N;NOM;INDF;SG	N;INDF;MASC;SG
جسر	мост	جِسر	мост	N;NOM;INDF;SG	N;INDF;MASC;SG
جسر	бридж	جِسر	бридж	N;NOM;INDF;SG	N;INDF;MASC;SG
نجوم	звездички	نَجم	звездичка	N;NOM;INDF;PL	N;INDF;FEM;PL
نجوم	звезди	نَجم	звезда	N;NOM;INDF;PL	N;INDF;FEM;PL
الجنود	войниците	جُندِيّ	войник	N;NOM;DEF;PL	N;DEF;MASC;PL
الكلمات	думите	كَلِمَة	дума	N;NOM;DEF;PL	N;DEF;FEM;PL
عمارة	архитектура	عِمَارَة	архитектура	N;NOM;INDF;SG	N;INDF;FEM;SG
عمارة	амара	عِمَارَة	амар	N;NOM;INDF;SG	N;INDF;MASC;SG
غرفة	стая	غُرفَة	стая	N;NOM;INDF;SG	N;INDF;FEM;SG
العمال	работниците	عَامِل	работник	N;NOM;DEF;PL	N;DEF;MASC;PL
