この	هذا	この	هٰذَا	DET	DET;NOM;MASC;SG
イベント	الاحداث	イベント	حَدَث	N	N;NOM;DEF;PL
イベント	مناسبة	イベント	مُنَاسَبَة	N	N;NOM;INDF;SG
イベント	الحدث	イベント	حَدَث	N	N;NOM;DEF;SG
イベント	المناسبة	イベント	مُنَاسَبَة	N	N;NOM;DEF;SG
出典	مصادر	出典	مَصدَر	N	N;NOM;INDF;PL
出典	المصادر	出典	مَصدَر	N	N;NOM;DEF;PL
出典	المصدر	出典	مَصدَر	N	N;NOM;DEF;SG
出典	مصدر	出典	مَصدَر	N	N;NOM;INDF;SG
重要	هام	重要	هَامّ	ADJ	ADJ;NOM;INDF;MASC;SG
重要	مهم	重要	مُهِمّ	ADJ	ADJ;NOM;INDF;MASC;SG
プロジェクト	مشروع	プロジェクト	مَشرُوع	N	N;NOM;INDF;SG
プロジェクト	المشروع	プロジェクト	مَشرُوع	N	N;NOM;DEF;SG
プロジェクト	المشروعات	プロジェクト	مَشرُوع	N	N;NOM;DEF;PL
プロジェクト	المشاريع	プロジェクト	مَشرُوع	N	N;NOM;DEF;PL
プロジェクト	مشاريع	プロジェクト	مَشرُوع	N	N;NOM;INDF;PL
プロジェクト	مشروعات	プロジェクト	مَشرُوع	N	N;NOM;INDF;PL
電車	قطار	電車	قِطَار	N	N;NOM;INDF;SG
電車	القطار	電車	قِطَار	N	N;NOM;DEF;SG
電車	قطارات	電車	قِطَار	N	N;NOM;INDF;PL
電車	القطارات	電車	قِطَار	N	N;NOM;DEF;PL
建築	عمارة	建築	عِمَارَة	N	N;NOM;INDF;SG
建築	العمارة	建築	العمارة	N	N;NOM;DEF;SG
クラス	الفصول	クラス	فَصل	N	N;NOM;DEF;PL
クラス	صفوف	クラス	صَفّ	N	N;NOM;INDF;PL
クラス	الصفوف	クラス	صَفّ	N	N;NOM;DEF;PL
クラス	فصول	クラス	فَصل	N	N;NOM;INDF;PL
クラス	الطبقة	クラス	طَبَقَة	N	N;NOM;DEF;SG
クラス	الفصل	クラス	فَصل	N	N;NOM;DEF;SG
クラス	صف	クラス	صَفّ	N	N;NOM;INDF;SG
クラス	الصف	クラス	صَفّ	N	N;NOM;DEF;SG
クラス	الفئة	クラス	فِئَة	N	N;NOM;DEF;SG
全体	اجمالا	全体	إِجمَال	N	N;ACC;INDF;SG
全体	عموما	全体	عُمُوم	N	N;ACC;INDF;SG
普通	طبيعي	普通	طَبِيعِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
普通	عادي	普通	عَادِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
舞台	اطوار	舞台	طَور	N	N;NOM;INDF;PL
舞台	المراحل	舞台	مَرحَلَة	N	N;NOM;DEF;PL
舞台	مراحل	舞台	مَرحَلَة	N	N;NOM;INDF;PL
舞台	المنصة	舞台	مِنَصَّة	N	N;NOM;DEF;SG
舞台	المسرح	舞台	مَسرَح	N	N;NOM;DEF;SG
舞台	المرحلة	舞台	مَرحَلَة	N	N;NOM;DEF;SG
舞台	مرحلة	舞台	مَرحَلَة	N	N;NOM;INDF;SG
意見	الراي	意見	رَأي	N	N;NOM;DEF;SG
意見	اراء	意見	رَأي	N	N;NOM;INDF;PL
意見	الاراء	意見	رَأي	N	N;NOM;DEF;PL
発見	اكتشف	発見	اِكتَشَف	V	V;PFV;MASC;SG;3;PASS
発見	يكتشف	発見	اِكتَشَف	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
少女	فتاة	少女	فَتَاة	N	N;NOM;INDF;SG
少女	البنت	少女	بَنت	N	N;NOM;DEF;SG
少女	الفتاة	少女	فَتَاة	N	N;NOM;DEF;SG
試験	الامتحان	試験	اِمتِحَان	N	N;NOM;DEF;SG
試験	امتحان	試験	اِمتِحَان	N	N;NOM;INDF;SG
試験	امتحانات	試験	اِمتِحَان	N	N;NOM;INDF;PL
試験	الامتحانات	試験	اِمتِحَان	N	N;NOM;DEF;PL
作家	الكاتب	作家	كَاتِب	N	N;NOM;DEF;SG
作家	كاتب	作家	كَاتِب	N	N;NOM;INDF;SG
作家	الكاتبة	作家	كَاتِب	N	N;NOM;DEF;SG
作家	الكاتب	作家	كَاتِب	N	N;NOM;DEF;SG
作家	كاتب	作家	كَاتِب	N	N;NOM;INDF;SG
地球	الارض	地球	أَرض	N	N;NOM;DEF;SG
方法	طريقة	方法	طَرِيقَة	N	N;NOM;INDF;SG
方法	الطريقة	方法	طَرِيقَة	N	N;NOM;DEF;SG
方法	اسلوب	方法	أُسلُوب	N	N;NOM;INDF;SG
方法	الاسلوب	方法	أُسلُوب	N	N;NOM;DEF;SG
特徴	خصائص	特徴	خَصِيصَة	N	N;NOM;INDF;PL
特徴	الخصائص	特徴	خَصِيصَة	N	N;NOM;DEF;PL
特徴	الملامح	特徴	مَلَامِح	N	N;NOM;DEF;PL
特徴	سمات	特徴	سِمَّة	N	N;NOM;INDF;PL
特徴	السمات	特徴	سَمَة	N	N;NOM;DEF;PL
特徴	الميزات	特徴	مِيزَة	N	N;NOM;DEF;PL
特徴	ميزات	特徴	مِيزَة	N	N;NOM;INDF;PL
特徴	الميزة	特徴	مِيزَة	N	N;NOM;DEF;SG
特徴	ميزة	特徴	مِيزَة	N	N;NOM;INDF;SG
特徴	سمة	特徴	سِمَّة	N	N;NOM;INDF;SG
ベース	القاعدة	ベース	قَاعِدَة	N	N;NOM;DEF;SG
ベース	قاعدة	ベース	قَاعِدَة	N	N;NOM;INDF;SG
男性	ذكرا	男性	ذِكر	N	N;ACC;INDF;SG
男性	الذكر	男性	ذِكر	N	N;NOM;DEF;SG
男性	الذكور	男性	ذُكُور	N	N;NOM;DEF;PL
男性	ذكور	男性	ذَكّ	N	N;NOM;INDF;PL
男性	الرجال	男性	رَجُل	N	N;NOM;DEF;PL
男性	رجال	男性	رَجُل	N	N;NOM;INDF;PL
男性	رجل	男性	رَجُل	N	N;NOM;INDF;SG
男性	الرجل	男性	رَجُل	N	N;NOM;DEF;SG
ケース	القضية	ケース	قَضِيَّة	N	N;NOM;DEF;SG
ケース	حالة	ケース	حَالَة	N	N;NOM;INDF;SG
ケース	قضية	ケース	قَضِيَّة	N	N;NOM;INDF;SG
ケース	الحالة	ケース	حَالَة	N	N;NOM;DEF;SG
ケース	الحالات	ケース	حَالَة	N	N;NOM;DEF;PL
ケース	حالات	ケース	حَالَة	N	N;NOM;INDF;PL
ケース	القضايا	ケース	قَضِيَّة	N	N;NOM;DEF;PL
ケース	قضايا	ケース	قَضِيَّة	N	N;NOM;INDF;PL
子供	الاولاد	子供	وَلَد	N	N;NOM;DEF;PL
子供	الاطفال	子供	طِفل	N	N;NOM;DEF;PL
子供	الاطفال	子供	طِفل	N	N;NOM;DEF;PL
子供	الطفلة	子供	طِفلَة	N	N;NOM;DEF;SG
子供	طفل	子供	طِفل	N	N;NOM;INDF;SG
子供	طفلة	子供	طِفلَة	N	N;NOM;INDF;SG
子供	الطفل	子供	طِفل	N	N;NOM;DEF;SG
大臣	وزير	大臣	وَزِير	N	N;NOM;INDF;SG
大臣	وزيرة	大臣	وَزِيرَة	N	N;NOM;INDF;SG
大臣	الوزيرة	大臣	وَزِيرَة	N	N;NOM;DEF;SG
大臣	الوزير	大臣	وَزِير	N	N;NOM;DEF;SG
大臣	وزراء	大臣	وَزِير	N	N;NOM;INDF;PL
大臣	الوزراء	大臣	وَزِير	N	N;NOM;DEF;PL
コーナー	الركن	コーナー	الركن	N	N;NOM;DEF;SG
コーナー	الزاوية	コーナー	زَاوِيَة	N	N;NOM;DEF;SG
コーナー	زاوية	コーナー	زَاوِيَة	N	N;NOM;INDF;SG
取締役	مديرة	取締役	مُدِيرَة	N	N;NOM;INDF;SG
取締役	مدير	取締役	مُدِير	N	N;NOM;INDF;SG
取締役	المديرة	取締役	مُدِير	N	N;NOM;DEF;SG
取締役	المدير	取締役	مُدِير	N	N;NOM;DEF;SG
取締役	المخرج	取締役	مُخرِج	N	N;NOM;DEF;SG
取締役	مخرج	取締役	مَخرَج	N	N;NOM;INDF;SG
取締役	المديرون	取締役	مُدِير	N	N;NOM;DEF;PL
取締役	المدراء	取締役	مِدرَاء	N	N;NOM;DEF;SG
人気	شعبية	人気	شَعبِيَّة	N	N;NOM;INDF;SG
人気	شعبية	人気	شَعبِيَّة	N	N;NOM;INDF;SG
説明	فسر	説明	فَسَّر	V	V;PFV;MASC;SG;3;ACT
説明	اشرح	説明	أَشرَح	V	V;PFV;MASC;SG;3;ACT
説明	وصف	説明	وَصَف	V	V;PFV;MASC;SG;3;ACT
ドル	الدولارات	ドル	دُولَار	N	N;NOM;DEF;PL
ドル	دولار	ドル	دُولَار	N	N;NOM;INDF;SG
ドル	دولارات	ドル	دُولَار	N	N;NOM;INDF;PL
ドル	الدولار	ドル	دُولَار	N	N;NOM;DEF;SG
ドル	دولار	ドル	دُولَار	N	N;NOM;INDF;SG
投票	صوتوا	投票	صَوت	V	V;PFV;MASC;PL;3;ACT
雑誌	مجلة	雑誌	مَجَلَّة	N	N;NOM;INDF;SG
雑誌	المجلة	雑誌	مَجَلَّة	N	N;NOM;DEF;SG
雑誌	المجلات	雑誌	مَجَلّ	N	N;NOM;DEF;PL
雑誌	مجلات	雑誌	مَجَلَّة	N	N;NOM;INDF;PL
学科	القسم	学科	قِسم	N	N;NOM;DEF;SG
学科	قسم	学科	قِسم	N	N;NOM;INDF;SG
学科	الادارة	学科	إِدَارَة	N	N;NOM;DEF;SG
学科	الادارات	学科	إِدَارَة	N	N;NOM;DEF;PL
学科	الاقسام	学科	قِسم	N	N;NOM;DEF;PL
学科	ادارات	学科	إِدَارَة	N	N;NOM;INDF;PL
登録	سجل	登録	سَجَّل	V	V;PFV;MASC;SG;3;ACT
ステージ	اطوار	ステージ	طَور	N	N;NOM;INDF;PL
ステージ	المراحل	ステージ	مَرحَلَة	N	N;NOM;DEF;PL
ステージ	مراحل	ステージ	مَرحَلَة	N	N;NOM;INDF;PL
ステージ	المنصة	ステージ	مِنَصَّة	N	N;NOM;DEF;SG
ステージ	المسرح	ステージ	مَسرَح	N	N;NOM;DEF;SG
ステージ	المرحلة	ステージ	مَرحَلَة	N	N;NOM;DEF;SG
ステージ	مرحلة	ステージ	مَرحَلَة	N	N;NOM;INDF;SG
学生	طلاب	学生	طَالِب	N	N;NOM;INDF;PL
学生	التلاميذ	学生	تِلمِيذ	N	N;NOM;DEF;PL
学生	الطلاب	学生	طَالِب	N	N;NOM;DEF;PL
学生	طلبة	学生	طَالِب	N	N;NOM;INDF;PL
学生	الطلبة	学生	طَالِب	N	N;NOM;DEF;PL
学生	الطالب	学生	طَالِب	N	N;NOM;DEF;SG
学生	تلميذ	学生	تَلمِيذ	N	N;NOM;INDF;SG
学生	طالبة	学生	طَالِبَة	N	N;NOM;INDF;SG
学生	التلميذ	学生	تَلمِيذ	N	N;NOM;DEF;SG
言葉	كلمة	言葉	كَلِمَة	N	N;NOM;INDF;SG
言葉	الكلمة	言葉	كَلِمَة	N	N;NOM;DEF;SG
言葉	الكلمات	言葉	كَلِمَة	N	N;NOM;DEF;PL
言葉	كلمات	言葉	كَلِمَة	N	N;NOM;INDF;PL
教会	الكنائس	教会	كَنِيسَة	N	N;NOM;DEF;PL
教会	كنيسة	教会	كَنِيسَة	N	N;NOM;INDF;SG
教会	الكنيسة	教会	كَنِيسَة	N	N;NOM;DEF;SG
内閣	الوزارة	内閣	وِزَارَة	N	N;NOM;DEF;SG
ロック	قفل	ロック	قفل	N	N;NOM;INDF;SG
ロック	القفل	ロック	القفل	N	N;NOM;DEF;SG
ロック	الصخرة	ロック	صُخرَة	N	N;NOM;DEF;SG
ロック	صخرة	ロック	صُخرَة	N	N;NOM;INDF;SG
事故	حادث	事故	حَادِث	N	N;NOM;INDF;SG
事故	الحادث	事故	حَادِث	N	N;NOM;DEF;SG
事故	حادثة	事故	حَادِث	N	N;NOM;INDF;SG
事故	الحوادث	事故	حَادِث	N	N;NOM;DEF;PL
事故	حوادث	事故	حَادِث	N	N;NOM;INDF;PL
状況	الظروف	状況	ظَرف	N	N;NOM;DEF;PL
状況	حالات	状況	حَالَة	N	N;NOM;INDF;PL
状況	الحالات	状況	حَالَة	N	N;NOM;DEF;PL
状況	الوضع	状況	وَضع	N	N;NOM;DEF;SG
状況	الموقف	状況	مَوقِف	N	N;NOM;DEF;SG
状況	الحالة	状況	حَالَة	N	N;NOM;DEF;SG
状況	ظروف	状況	ظَرف	N	N;NOM;INDF;PL
状況	الظروف	状況	ظَرف	N	N;NOM;DEF;PL
家族	عائلة	家族	عَائِلَة	N	N;NOM;INDF;SG
家族	الاسرة	家族	أُسرَة	N	N;NOM;DEF;SG
家族	اسرة	家族	أُسرَة	N	N;NOM;INDF;SG
家族	العائلة	家族	عَائِلَة	N	N;NOM;DEF;SG
距離	المسافة	距離	مَسَافَة	N	N;NOM;DEF;SG
距離	البعد	距離	بُعد	N	N;NOM;DEF;SG
距離	مسافة	距離	مَسَافَة	N	N;NOM;INDF;SG
距離	مسافات	距離	مَسَاف	N	N;NOM;INDF;PL
距離	المسافات	距離	المسافات	N	N;NOM;DEF;PL
新しい	جديد	新しい	جَدِيد	ADJ	ADJ;NOM;INDF;MASC;SG
新しい	جديدة	新しい	جَدِيد	ADJ	ADJ;NOM;INDF;FEM;SG
新しい	الجديد	新しい	جَدِيد	ADJ	ADJ;NOM;DEF;MASC;SG
ホール	ثقب	ホール	ثَقب	N	N;NOM;INDF;SG
ホール	الحفرة	ホール	حَفرَة	N	N;NOM;DEF;SG
ホール	حفرة	ホール	حَفرَة	N	N;NOM;INDF;SG
ホール	فتحة	ホール	فَتحَة	N	N;NOM;INDF;SG
ホール	القاعة	ホール	قَاعَة	N	N;NOM;DEF;SG
ホール	قاعة	ホール	قَاعَة	N	N;NOM;INDF;SG
ホール	صالة	ホール	صَالَة	N	N;NOM;INDF;SG
体重	الوزن	体重	وَزن	N	N;NOM;DEF;SG
体重	وزن	体重	وَزن	N	N;NOM;INDF;SG
血液	دماء	血液	دَم	N	N;NOM;INDF;PL
血液	دم	血液	دَم	N	N;NOM;INDF;SG
血液	دما	血液	دَم	N	N;NOM;INDF;SG
血液	الدم	血液	دَم	N	N;NOM;DEF;SG
同意	اتفق	同意	اِتَّفَق	V	V;PFV;MASC;SG;3;ACT
店舗	متاجر	店舗	مُتَأَجِّر	N	N;NOM;INDF;PL
店舗	المخازن	店舗	مَخزَن	N	N;NOM;DEF;PL
店舗	محلات	店舗	مَحَلّ	N	N;NOM;INDF;PL
店舗	المتاجر	店舗	مُتَأَجِّر	N	N;NOM;DEF;PL
店舗	مخازن	店舗	مَخزَن	N	N;NOM;INDF;PL
店舗	متاجر	店舗	مُتَأَجِّر	N	N;NOM;INDF;PL
店舗	المحلات	店舗	مَحَلّ	N	N;NOM;DEF;PL
店舗	محلات	店舗	مَحَلّ	N	N;NOM;INDF;PL
店舗	المتاجر	店舗	مُتَأَجِّر	N	N;NOM;DEF;PL
店舗	مخزن	店舗	مَخزَن	N	N;NOM;INDF;SG
店舗	المخزن	店舗	مَخزَن	N	N;NOM;DEF;SG
店舗	المتجر	店舗	مُتَجَرِّر	N	N;NOM;DEF;SG
店舗	تخزين	店舗	تَخزِين	N	N;NOM;INDF;SG
カテゴリ	الفئة	カテゴリ	فِئَة	N	N;NOM;DEF;SG
カテゴリ	فئة	カテゴリ	فِئَة	N	N;NOM;INDF;SG
カテゴリ	الفئات	カテゴリ	فِئَة	N	N;NOM;DEF;PL
カテゴリ	الاصناف	カテゴリ	إِصنَاف	N	N;NOM;DEF;PL
カテゴリ	فئات	カテゴリ	فِئَة	N	N;NOM;INDF;PL
メートル	متر	メートル	مِتر	N	N;NOM;INDF;SG
メートル	امتار	メートル	مِتر	N	N;NOM;INDF;PL
メートル	متر	メートル	مِتر	N	N;NOM;INDF;SG
メートル	مترا	メートル	مِتر	N	N;ACC;INDF;SG
メートル	متر	メートル	مِتر	N	N;NOM;INDF;SG
メートル	امتار	メートル	مِتر	N	N;NOM;INDF;PL
芸術	الفنون	芸術	فَنّ	N	N;NOM;DEF;PL
芸術	فنون	芸術	فَنّ	N	N;NOM;INDF;PL
芸術	الفن	芸術	فَنّ	N	N;NOM;DEF;SG
複数	تعدد	複数	عَدَّد	N	N;NOM;INDF;SG
複数	الجمع	複数	جَمع	N	N;NOM;DEF;SG
観光	للسياحة	観光	للسياحة	N	N;GEN;DEF;SG
観光	السياحة	観光	سِيَاحَة	N	N;NOM;DEF;SG
観光	سائح	観光	سَائِح	N	N;NOM;INDF;SG
取得	استرجع	取得	استرجع	V	V;PFV;MASC;SG;3;ACT
取得	جلب	取得	جَلب	V	V;PFV;MASC;SG;3;ACT
王国	مملكة	王国	مَملَكَة	N	N;NOM;INDF;SG
王国	المملكة	王国	مَملَكَة	N	N;NOM;DEF;SG
電話	الهاتف	電話	هَاتِف	N	N;NOM;DEF;SG
刑事	المحقق	刑事	مُحَقَّق	N	N;NOM;DEF;SG
刑事	المخبر	刑事	مُخَبَّر	N	N;NOM;DEF;SG
刑事	مخبر	刑事	مُخَبَّر	N	N;NOM;INDF;SG
レコード	تسجيل	レコード	تَسجِيل	N	N;NOM;INDF;SG
レコード	السجل	レコード	سِجِلّ	N	N;NOM;DEF;SG
レコード	السجلات	レコード	سِجِلّ	N	N;NOM;DEF;PL
レコード	سجلات	レコード	سِجِلّ	N	N;NOM;INDF;PL
レコード	المحاضر	レコード	مُحَاضِر	N	N;NOM;DEF;SG
トップ	القمة	トップ	قِمَّة	N	N;NOM;DEF;SG
トップ	قمة	トップ	قِمَّة	N	N;NOM;INDF;SG
付近	بالقرب	付近	بِ	N	N;NOM;DEF;SG
飛行	الرحلة	飛行	رِحلَة	N	N;NOM;DEF;SG
飛行	طيران	飛行	طَيَرَان	N	N;NOM;INDF;SG
飛行	الطيران	飛行	طَيَرَان	N	N;NOM;DEF;SG
メイン	ابتدائي	メイン	اِبتِدَائِيّ	N	N;ACC;INDF;SG
ロード	تحميل	ロード	تَحمِيل	N	N;NOM;INDF;SG
ロード	حمولة	ロード	حُمُولَة	N	N;NOM;INDF;SG
ロード	التحميل	ロード	تَحمِيل	N	N;NOM;DEF;SG
ワールド	عالم	ワールド	عَالَم	N	N;NOM;INDF;SG
ワールド	الدنيا	ワールド	دِنِّيَا	N	N;NOM;DEF;SG
ワールド	العالم	ワールド	عَالَم	N	N;NOM;DEF;SG
美術	الفن	美術	فَنّ	N	N;NOM;DEF;SG
息子	ابناء	息子	اِبن	N	N;NOM;INDF;PL
息子	الابناء	息子	الابناء	N	N;NOM;DEF;PL
息子	الابن	息子	اِبن	N	N;NOM;DEF;SG
制度	مؤسسة	制度	مُؤَسَّسَة	N	N;NOM;INDF;SG
制度	المؤسسة	制度	مُؤَسَّسَة	N	N;NOM;DEF;SG
ツアー	جولة	ツアー	جَولَة	N	N;NOM;INDF;SG
ツアー	الجولة	ツアー	جَولَة	N	N;NOM;DEF;SG
ツアー	جولات	ツアー	جولات	N	N;NOM;INDF;PL
ツアー	الجولات	ツアー	جَولَة	N	N;NOM;DEF;PL
スタジオ	الاستديوهات	スタジオ	اِستَدَاو	N	N;NOM;DEF;PL
スタジオ	ستوديوهات	スタジオ	ستوديوهات	N	N;NOM;INDF;PL
スタジオ	الاستديو	スタジオ	اِستَديُو	N	N;NOM;DEF;SG
スタジオ	استوديو	スタジオ	استوديو	N	N;NOM;INDF;SG
スタジオ	استديو	スタジオ	اِستَدَاو	N	N;NOM;INDF;SG
市民	مواطنو	市民	مُوَاطِن	N	N;NOM;INDF;PL
市民	المواطنين	市民	مُوَاطِن	N	N;NOM;DEF;PL
市民	مواطنون	市民	مُوَاطِن	N	N;NOM;INDF;PL
市民	المواطنون	市民	مُوَاطِن	N	N;NOM;DEF;PL
市民	مواطنين	市民	مُوَاطِن	N	N;NOM;INDF;PL
市民	مواطنة	市民	مُوَاطِنَة	N	N;NOM;INDF;SG
市民	الجنسية	市民	جِنسِيَّة	N	N;NOM;DEF;SG
市民	المواطنة	市民	مُوَاطَنَة	N	N;NOM;DEF;SG
市民	مواطن	市民	مُوَاطِن	N	N;NOM;INDF;SG
市民	مواطنة	市民	مُوَاطِنَة	N	N;NOM;INDF;SG
市民	المواطن	市民	مُوَاطِن	N	N;NOM;DEF;SG
自然	الطبيعية	自然	طَبِيعِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
自然	الطبيعي	自然	طَبِيعِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
自然	طبيعي	自然	طَبِيعِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
自然	طبيعية	自然	طَبِيعِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
マイル	اميال	マイル	مِيل	N	N;NOM;INDF;PL
マイル	الميل	マイル	مِيل	N	N;NOM;DEF;SG
組合	الجمعيات	組合	جَمعِيَّة	N	N;NOM;DEF;PL
組合	جمعيات	組合	جَمعِيَّة	N	N;NOM;INDF;PL
生徒	طلاب	生徒	طَالِب	N	N;NOM;INDF;PL
生徒	التلاميذ	生徒	تِلمِيذ	N	N;NOM;DEF;PL
生徒	الطلاب	生徒	طَالِب	N	N;NOM;DEF;PL
生徒	طلبة	生徒	طَالِب	N	N;NOM;INDF;PL
生徒	الطلبة	生徒	طَالِب	N	N;NOM;DEF;PL
生徒	التلميذ	生徒	تَلمِيذ	N	N;NOM;DEF;SG
生徒	تلميذ	生徒	تَلمِيذ	N	N;NOM;INDF;SG
生徒	الطالب	生徒	طَالِب	N	N;NOM;DEF;SG
生徒	تلميذ	生徒	تَلمِيذ	N	N;NOM;INDF;SG
生徒	طالبة	生徒	طَالِبَة	N	N;NOM;INDF;SG
生徒	التلميذ	生徒	تَلمِيذ	N	N;NOM;DEF;SG
ギター	الجيتار	ギター	جِيتَار	N	N;NOM;DEF;SG
ギター	الغيتار	ギター	غِيتَار	N	N;NOM;DEF;SG
コース	الدورات	コース	دَورَة	N	N;NOM;DEF;PL
防衛	الدفاع	防衛	دِفَاع	N	N;NOM;DEF;SG
アナウンサー	مذيع	アナウンサー	مُذِيع	N	N;NOM;INDF;SG
アナウンサー	المذيع	アナウンサー	مُذِيع	N	N;NOM;DEF;SG
タイプ	النوع	タイプ	نَوع	N	N;NOM;DEF;SG
タイプ	نوع	タイプ	نَوع	N	N;NOM;INDF;SG
議会	البرلمان	議会	بَرلَمَان	N	N;NOM;DEF;SG
議会	برلمان	議会	بَرلَمَان	N	N;NOM;INDF;SG
南部	جنوب	南部	جَنُوب	N	N;NOM;INDF;SG
延長	مددت	延長	مَدَّد	V	V;PFV;FEM;SG;3;ACT
ランド	اراض	ランド	أَرض	N	N;NOM;INDF;PL
ランド	الارض	ランド	أَرض	N	N;NOM;DEF;SG
ランド	الاراضي	ランド	أَرض	N	N;NOM;DEF;PL
条件	معايير	条件	مِعيَار	N	N;NOM;INDF;PL
条件	المعايير	条件	مِعيَار	N	N;NOM;DEF;PL
条件	الاحوال	条件	حَال	N	N;NOM;DEF;PL
条件	ظروف	条件	ظَرف	N	N;NOM;INDF;PL
条件	الظروف	条件	ظَرف	N	N;NOM;DEF;PL
条件	الشروط	条件	شَرط	N	N;NOM;DEF;PL
条件	شروط	条件	شَرط	N	N;NOM;INDF;PL
条件	حالة	条件	حَالَة	N	N;NOM;INDF;SG
条件	شرط	条件	شَرط	N	N;NOM;INDF;SG
条件	الحالة	条件	حَالَة	N	N;NOM;DEF;SG
条件	الشرط	条件	شَرط	N	N;NOM;DEF;SG
伝説	الاسطورة	伝説	أُسطُورَة	N	N;NOM;DEF;SG
伝説	اسطورة	伝説	أُسطُورَة	N	N;NOM;INDF;SG
競走	السباق	競走	سِبَاق	N	N;NOM;DEF;SG
競走	سباق	競走	سِبَاق	N	N;NOM;INDF;SG
競走	العرق	競走	عِرق	N	N;NOM;DEF;SG
競走	السباق	競走	سِبَاق	N	N;NOM;DEF;SG
競走	سباق	競走	سِبَاق	N	N;NOM;INDF;SG
競走	سباقات	競走	سِبَاقَة	N	N;NOM;INDF;PL
競走	السباقات	競走	سِبَاقَة	N	N;NOM;DEF;PL
デジタル	رقمية	デジタル	رَقَمِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
デジタル	رقمي	デジタル	رَقَمِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
ポジション	موقف	ポジション	مَوقِف	N	N;NOM;INDF;SG
ポジション	المنصب	ポジション	مَنصِب	N	N;NOM;DEF;SG
ポジション	الموضع	ポジション	مُوَضَّع	N	N;NOM;DEF;SG
ポジション	الموقف	ポジション	مَوقِف	N	N;NOM;DEF;SG
ポジション	المناصب	ポジション	مُنَاصِب	N	N;NOM;DEF;PL
ポジション	المواقف	ポジション	مَوقِف	N	N;NOM;DEF;PL
ポジション	مناصب	ポジション	مَنصِب	N	N;NOM;INDF;PL
ポジション	المواقع	ポジション	مَوقِع	N	N;NOM;DEF;PL
名誉	الشرف	名誉	شَرَف	N	N;NOM;DEF;SG
ソング	اغان	ソング	أَغَان	N	N;NOM;INDF;PL
ソング	اغاني	ソング	اغاني	N	N;NOM;INDF;PL
ソング	الاغنية	ソング	أَغنِيّ	N	N;NOM;DEF;SG
ソング	اغنية	ソング	أَغنِيّ	N	N;NOM;INDF;SG
ライン	سطر	ライン	سِطر	N	N;NOM;INDF;SG
ライン	السطر	ライン	سِطر	N	N;NOM;DEF;SG
ライン	الخط	ライン	خَطّ	N	N;NOM;DEF;SG
ライン	خط	ライン	خَطّ	N	N;NOM;INDF;SG
履歴	التاريخ	履歴	تَارِيخ	N	N;NOM;DEF;SG
履歴	تاريخ	履歴	تَارِيخ	N	N;NOM;INDF;SG
方向	اتجاه	方向	اِتِّجَاه	N	N;NOM;INDF;SG
方向	الاتجاه	方向	اِتِّجَاه	N	N;NOM;DEF;SG
方向	توجيه	方向	تَوجِيه	N	N;NOM;INDF;SG
方向	التوجه	方向	تَوَجُّه	N	N;NOM;DEF;SG
方向	التوجيه	方向	تَوجِيه	N	N;NOM;DEF;SG
法律	القانون	法律	قَانُون	N	N;NOM;DEF;SG
法律	قانون	法律	قَانُون	N	N;NOM;INDF;SG
法律	قوانين	法律	قَانُون	N	N;NOM;INDF;PL
法律	القوانين	法律	قَانُون	N	N;NOM;DEF;PL
提案	اقترح	提案	اِقتَرَح	V	V;PFV;MASC;SG;3;ACT
提案	نقترح	提案	نقترح	V	V;IPFV;MASC;IND;PL;1;FIN;ACT
効果	الاثر	効果	أَثَر	N	N;NOM;DEF;SG
効果	تاثير	効果	تَأثِير	N	N;NOM;INDF;SG
効果	التاثير	効果	تَاثِير	N	N;NOM;DEF;SG
効果	التاثيرات	効果	تَاثِير	N	N;NOM;DEF;PL
効果	تاثيرات	効果	تَاثِير	N	N;NOM;INDF;PL
ミュージック	موسيقى	ミュージック	مُوسِيقِيّ	N	N;NOM;INDF;SG
ミュージック	موسيقي	ミュージック	مُوسِيقِيّ	N	N;NOM;INDF;SG
ミュージック	الموسيقى	ミュージック	الموسيقى	N	N;NOM;DEF;SG
ヶ月	الاشهر	ヶ月	شَهر	N	N;NOM;DEF;PL
ヶ月	شهورا	ヶ月	شَهر	N	N;ACC;INDF;PL
ヶ月	الشهور	ヶ月	شَهر	N	N;NOM;DEF;PL
ヶ月	اشهر	ヶ月	شَهر	N	N;NOM;INDF;PL
ヶ月	شهور	ヶ月	شَهر	N	N;NOM;INDF;PL
解説	وصف	解説	وَصَف	V	V;PFV;MASC;SG;3;ACT
職業	الوظيفة	職業	وَظِيفَة	N	N;NOM;DEF;SG
職業	وظيفة	職業	وَظِيفَة	N	N;NOM;INDF;SG
職業	الشغل	職業	شُغل	N	N;NOM;DEF;SG
職業	عمل	職業	عَمَل	N	N;NOM;INDF;SG
職業	المهن	職業	مِهنَة	N	N;NOM;DEF;PL
