for	für	for	für	ADP	ADP
vigtigste	wichtigsten	vigtig	wichtig	ADJ;DEF;RL	ADJ;PL
vigtigste	wichtigste	vigtig	wichtig	ADJ;DEF;RL	ADJ;NOM;FEM;SG
vigtigste	schulleiter	vigtig	schulleit	ADJ;DEF;RL	ADJ
county	landkreis	county	landkreis	N;INDF;MASC+FEM;SG	N
sendt	verschickt	sende	verschicken	V;INDF;SG;PST;V.PTCP	V;V.PTCP
sendt	geschickt	sende	schicken	V;INDF;SG;PST;V.PTCP	V;V.PTCP
sendt	versendet	sende	versenden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
sendt	gesendet	sende	senden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
sendt	versandt	sende	versandt	V;INDF;SG;PST;V.PTCP	V;V.PTCP
eget	eigenes	egen	eigen	ADJ;NEUT;SG	ADJ;NOM;NEUT;SG
eget	eigener	egen	eigen	ADJ;NEUT;SG	ADJ
eget	eigenen	egen	eigen	ADJ;NEUT;SG	ADJ;ACC;MASC;SG
viste	zeigte	vise	zeigen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
viste	zeigten	vise	zeigen	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
viste	angezeigt	vise	anzeigen	V;IND;PST;FIN;ACT	V;V.PTCP
viste	ausgestellt	vise	ausstellen	V;IND;PST;FIN;ACT	V;V.PTCP
kongen	könig	konge	könig	N;DEF;MASC+FEM;SG	N;NOM;SG
label	kennzeichnung	label	kennzeichnung	N;INDF;NEUT;SG	N;NOM;FEM;SG
valgte	auserwählt	vælge	auserwählen	V;IND;PST;FIN;ACT	V;V.PTCP
valgte	wählte	vælge	wählen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
valgte	auserwählt	vælge	auserwählen	V;IND;PST;FIN;ACT	V;V.PTCP
valgte	ausgewählt	vælge	auswählen	V;IND;PST;FIN;ACT	V;V.PTCP
valgte	erwählt	vælge	erwählen	V;IND;PST;FIN;ACT	V;V.PTCP
valgte	gewählt	vælge	wählen	V;IND;PST;FIN;ACT	V;V.PTCP
valgte	ausgesucht	vælge	aussuchen	V;IND;PST;FIN;ACT	V;V.PTCP
valgte	ausgewählt	vælge	auswählen	V;IND;PST;FIN;ACT	V;V.PTCP
valgte	gewählt	vælge	wählen	V;IND;PST;FIN;ACT	V;V.PTCP
valgte	ausgewählten	vælge	ausgewählt	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
valgte	gewählt	vælge	wählen	V;IND;PST;FIN;ACT	V;V.PTCP
valgte	entschieden	vælge	entscheiden	V;IND;PST;FIN;ACT	V;V.PTCP
valgte	entschied	vælge	entscheiden	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
klubber	diskotheken	klub	diskotheken	N;INDF;MASC+FEM;PL	N;NOM;PL
bedst	besten	god	gut	ADJ;RL	ADJ
bedst	schönste	god	schön	ADJ;RL	ADJ;NOM;FEM;SG
bedst	bestes	god	gut	ADJ;RL	ADJ;NOM;NEUT;SG
bedst	beste	god	gut	ADJ;RL	ADJ;NOM;FEM;PL
højeste	höchstes	høj	hoch	ADJ;DEF;RL	ADJ;NOM;NEUT;SG
højeste	höchster	høj	hoch	ADJ;DEF;RL	ADJ
højeste	höchste	høj	hoch	ADJ;DEF;RL	ADJ;NOM;FEM;PL
højeste	höchsten	høj	hoch	ADJ;DEF;RL	ADJ;NOM;MASC;PL
tager	nimmt	tage	nehmen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
sidst	zuletzt	sidst	zuletzt	ADV	ADV
adskillige	mehrfache	adskillig	mehrfach	ADJ;PL	ADJ;NOM;FEM;PL
adskillige	multiple	adskillig	multipl	ADJ;PL	ADJ;NOM;FEM;PL
adskillige	mehrfach	adskillig	mehrfach	ADJ;PL	ADJ
løber	läuft	løbe	laufen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
løber	laufen	løbe	laufen	V;IND;PRS;FIN;ACT	V;NFIN
løber	rennt	løbe	rennen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
løber	läuft	løbe	laufen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
teater	kino	teater	kino	N;INDF;NEUT;SG	N;NOM;NEUT;SG
teater	theater	teater	theat	N;INDF;NEUT;SG	N;NOM;SG
teater	theater	teater	theat	N;INDF;NEUT;SG	N;NOM;SG
vendte	gewendet	vende	wenden	V;IND;PST;FIN;ACT	V;V.PTCP
vendte	drehte	vende	drehen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
vendte	verwandelt	vende	verwandeln	V;IND;PST;FIN;ACT	V;V.PTCP
vendte	wandte	vende	wenden	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
service	dienstleistung	service	dienstleistung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
lykkedes	gelungen	lykkes	gelingen	V;IND;PST;FIN;ACT	V;V.PTCP
lykkedes	geschafft	lykkes	schaffen	V;IND;PST;FIN;ACT	V;V.PTCP
lykkedes	verwaltet	lykkes	verwalten	V;IND;PST;FIN;ACT	V;V.PTCP
lykkedes	bewirtschaftet	lykkes	bewirtschaften	V;IND;PST;FIN;ACT	V;V.PTCP
lykkedes	gelungen	lykkes	gelingen	V;IND;PST;FIN;ACT	V;V.PTCP
lykkedes	geschafft	lykkes	schaffen	V;IND;PST;FIN;ACT	V;V.PTCP
forsøg	versuche	forsøg	versuchen	N;INDF;NEUT;SG	N;NOM;SG
forsøg	versuche	forsøg	versuchen	N;INDF;NEUT;SG	N;NOM;SG
bøger	bücher	bog	büchern	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
formål	ziel	formål	ziel	N;INDF;NEUT;SG	N;NOM;NEUT;SG
rige	reich	rig	reich	ADJ;PL	ADJ
tropper	soldaten	troppe	soldat	N;INDF;MASC+FEM;PL	N;PL
hus	haus	hus	haus	N;INDF;NEUT;SG	N;NOM;NEUT;SG
aktiv	aktiven	aktiv	aktiv	ADJ;INDF;MASC+FEM;SG	ADJ
aktiv	aktiv	aktiv	aktiv	ADJ;INDF;MASC+FEM;SG	ADJ
aktiv	aktiver	aktiv	aktiv	ADJ;INDF;MASC+FEM;SG	ADJ
aktiv	vermögenswerte	aktiv	vermögenswert	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
østlige	osteuropa	østlig	osteuropa	ADJ;PL	ADJ
østlige	östliche	østlig	östlich	ADJ;PL	ADJ;NOM;FEM;PL
højre	rechte	højre	recht	ADJ	ADJ;NOM;FEM;PL
otte	acht	otte	acht	NUM	NUM
grupper	gruppen	gruppe	grappen	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
metal	metallverarbeitung	metal	metallverarbeitung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
linje	linie	linje	linie	N;INDF;MASC+FEM;SG	N
linje	strecke	linje	strecken	N;INDF;MASC+FEM;SG	N;SG
skibe	schiffe	skib	schiff	N;INDF;NEUT;PL	N;NOM;NEUT;PL
skibe	schiffe	skib	schiff	N;INDF;NEUT;PL	N;NOM;NEUT;PL
fælles	gemeinsam	fælles	gemeinsam	ADJ	ADJ
fælles	gemeinsamen	fælles	gemeinsam	ADJ	ADJ;SG
fælles	gemeinsames	fælles	gemeinsam	ADJ	ADJ;NOM;NEUT;SG
fælles	gemeinsame	fælles	gemeinsam	ADJ	ADJ;NOM;FEM;PL
fælles	gemeinsamen	fælles	gemeinsam	ADJ	ADJ;SG
fælles	häufig	fælles	häufig	ADJ	ADJ
fælles	allgemein	fælles	allgemein	ADJ	ADJ
fælles	gemeinsames	fælles	gemeinsam	ADJ	ADJ;NOM;NEUT;SG
fælles	gemeinsame	fælles	gemeinsam	ADJ	ADJ;NOM;FEM;PL
skrive	schreiben	skrive	schreiben	V;NFIN;ACT	V;NFIN
skrive	schreibe	skrive	schreibe	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
skrive	verfassen	skrive	verfassen	V;NFIN;ACT	V;NFIN
skrive	schreib	skrive	schreib	V;NFIN;ACT	V;IND;SG;2;FIN
skrive	tippen	skrive	tippen	V;NFIN;ACT	V;NFIN
skrive	schreiben	skrive	schreiben	V;NFIN;ACT	V;NFIN
skrive	schreibe	skrive	schreibe	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
almindelig	gemeinsamen	almindelig	gemeinsam	ADJ;INDF;MASC+FEM;SG	ADJ;SG
almindelig	häufig	almindelig	häufig	ADJ;INDF;MASC+FEM;SG	ADJ
almindelig	allgemein	almindelig	allgemein	ADJ;INDF;MASC+FEM;SG	ADJ
almindelig	gemeinsames	almindelig	gemeinsam	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
almindelig	allgemeines	almindelig	allgemein	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
almindelig	allgemein	almindelig	allgemein	ADJ;INDF;MASC+FEM;SG	ADJ
almindelig	allgemeinen	almindelig	allgemein	ADJ;INDF;MASC+FEM;SG	ADJ
officiel	beamter	officiel	beamt	ADJ;INDF;MASC+FEM;SG	ADJ
officiel	offizielles	officiel	offiziell	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
officiel	offizieller	officiel	offiziell	ADJ;INDF;MASC+FEM;SG	ADJ
officiel	offiziellen	officiel	offiziell	ADJ;INDF;MASC+FEM;SG	ADJ
dannet	gegründet	danne	gründen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
dannet	gebildet	danne	bilden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
dannet	geformt	danne	formen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
problemer	schwierigkeiten	problem	schwierigkeit	N;INDF;NEUT;PL	N;NOM;FEM;PL
problemer	schwierigkeiten	problem	schwierigkeit	N;INDF;NEUT;PL	N;NOM;FEM;PL
efterhånden	stufenweise	efterhånden	stufenweise	ADV	ADV
hvide	weiße	hvid	weiß	ADJ;PL	ADJ;NOM;FEM;PL
hvide	weißen	hvid	weiß	ADJ;PL	ADJ
højere	größer	høj	groß	ADJ;CMPR	ADJ
højere	grösser	høj	groß	ADJ;CMPR	ADJ
højere	höhere	høj	hoch	ADJ;CMPR	ADJ;NOM;FEM;PL
højere	höheren	høj	hoch	ADJ;CMPR	ADJ
højere	höher	høj	hoch	ADJ;CMPR	ADJ
udviklet	entwickelte	udvikle	entwickeln	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
udviklet	entwickelt	udvikle	entwickeln	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udviklet	entwickelte	udvikle	entwickeln	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
udviklet	entwickelt	udvikle	entwickeln	V;INDF;SG;PST;V.PTCP	V;V.PTCP
arbejdet	werk	arbejde	werk	N;DEF;NEUT;SG	N;NOM;NEUT;SG
arbejdet	arbeit	arbejde	arbeit	N;DEF;NEUT;SG	N;NOM;FEM;SG
kaldt	aufgerufen	kalde	aufrufen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
kaldt	angerufen	kalde	anrufen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
kaldt	rief	kalde	rufen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
kaldt	genannt	kalde	nennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
kaldt	gerufen	kalde	rufen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
indflydelse	beeinflussung	indflydelse	beeinflussung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
indflydelse	einfluß	indflydelse	einfluß	N;INDF;MASC+FEM;SG	N
let	leicht	let	leicht	ADJ;INDF;SG	ADJ
let	leichter	let	leicht	ADJ;INDF;SG	ADJ
let	leicht	let	leicht	ADJ;INDF;SG	ADJ
let	leichter	let	leicht	ADJ;INDF;SG	ADJ
let	leicht	let	leicht	ADJ;INDF;SG	ADJ
kunst	kunst	kunst	kunst	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kunst	kunst	kunst	kunst	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
historisk	historisches	historisk	historisch	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
historisk	altstadt	historisk	altstadt	ADJ;INDF;SG	ADJ
historisk	historischen	historisk	historisch	ADJ;INDF;SG	ADJ;NOM;MASC;SG
historisk	geschichtlich	historisk	geschichtlich	ADJ;INDF;SG	ADJ
historisk	historisch	historisk	historisch	ADJ;INDF;SG	ADJ
historisk	historisches	historisk	historisch	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
historisk	historischen	historisk	historisch	ADJ;INDF;SG	ADJ;NOM;MASC;SG
historiske	historische	historisk	historisch	ADJ;PL	ADJ;NOM;FEM;PL
historiske	altstadt	historisk	altstadt	ADJ;PL	ADJ
historiske	historische	historisk	historisch	ADJ;PL	ADJ;NOM;FEM;PL
visse	gewisse	vis	gewiß	ADJ;PL	ADJ;NOM;FEM;PL
visse	bestimmte	vis	bestimmt	ADJ;PL	ADJ;NOM;FEM;PL
måneder	monaten	måned	Monat	N;INDF;MASC+FEM;PL	N;DAT;MASC;PL
måneder	monaten	måned	Monat	N;INDF;MASC+FEM;PL	N;DAT;MASC;PL
styrke	stärkung	styrke	stärkung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
styrke	kräfte	styrke	krafen	N;INDF;MASC+FEM;SG	N
styrke	festigkeit	styrke	Festigkeit	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
optaget	resorbiert	optage	resorbiert	V;INDF;SG;PST;V.PTCP	V;V.PTCP
optaget	absorbiert	optage	absorbieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
optaget	versunken	optage	versunken	V;INDF;SG;PST;V.PTCP	V;V.PTCP
optaget	besetzte	optage	besetzen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
optaget	beschäftigt	optage	beschäftigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
optaget	bewohnt	optage	bewohnen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
optaget	besetzt	optage	besetzen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
optaget	beschäftigt	optage	beschäftigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
optaget	besetzt	optage	besetzen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
optaget	erfasst	optage	erfassen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
optaget	aufgezeichnet	optage	aufzeichnen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
optaget	aufgenommen	optage	aufnehmen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
sæsonen	spielzeit	sæson	spielzeit	N;DEF;MASC+FEM;SG	N;NOM;SG
sæsonen	saison	sæson	saison	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
ansat	beschäftigte	ansætte	beschäftigen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
ansat	beschäftigt	ansætte	beschäftigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
ansat	angeheuert	ansætte	anpeuern	V;INDF;SG;PST;V.PTCP	V;V.PTCP
ansat	eingestellt	ansætte	einstellen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
fortsat	weiter	fortsat	weiter	ADV	ADV
fortsat	weiter	fortsat	weiter	ADV	ADV
fortsat	weiterhin	fortsat	weiterhin	ADV	ADV
ordet	wortes	ord	wort	N;DEF;NEUT;SG	N;NOM;NEUT;SG
ordet	wort	ord	wort	N;DEF;NEUT;SG	N;NOM;NEUT;SG
klub	club	klub	club	N;INDF;MASC+FEM;SG	N;NOM
klub	klub	klub	klub	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
placeret	platziert	placere	plazieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
placeret	platzierte	placere	plazieren	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
placeret	positioniert	placere	positionieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
placeret	platziert	placere	plazieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
placeret	aufgestellt	placere	aufstellen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
placeret	lokalisiert	placere	lokalisieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
hvorfor	weswegen	hvorfor	weswegen	ADV	ADV
hvorfor	wieso	hvorfor	wieso	ADV	ADV
hvorfor	warum	hvorfor	warum	ADV	ADV
hvorfor	wozu	hvorfor	wozu	ADV	ADV
henvisning	überweisung	henvisning	überweisung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
henvisning	verweisung	henvisning	verweisung	N;INDF;MASC+FEM;SG	N;SG
henvisning	befassung	henvisning	befassung	N;INDF;MASC+FEM;SG	N
gerne	gerne	gerne	gerne	ADV	ADV
holdet	team	hold	team	N;DEF;NEUT;SG	N;NOM;NEUT;SG
roman	roman	roman	roman	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
roman	roman	roman	roman	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fald	verringerung	fald	verringerung	N;INDF;NEUT;SG	N;NOM;FEM;SG
fald	abnahme	fald	abnehmen	N;INDF;NEUT;SG	N;SG
fald	reduzierung	fald	Reduzierung	N;INDF;NEUT;SG	N;NOM;FEM;SG
begravet	vergraben	begrave	vergraben	V;INDF;SG;PST;V.PTCP	V;V.PTCP
begravet	begraben	begrave	begraben	V;INDF;SG;PST;V.PTCP	V;V.PTCP
begravet	bestattet	begrave	bestatten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
begravet	beerdigt	begrave	beerdigen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
regeringen	staat	regering	staaen	N;DEF;MASC+FEM;SG	N
særligt	besonders	særligt	besonders	ADV	ADV
særligt	insbesondere	særligt	insbesondere	ADV	ADV
skiftede	vertauscht	skifte	vertauschen	V;IND;PST;FIN;ACT	V;V.PTCP
skiftede	wechselte	skifte	wechseln	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
skiftede	umgestellt	skifte	umstellen	V;IND;PST;FIN;ACT	V;V.PTCP
skiftede	gewechselt	skifte	wechseln	V;IND;PST;FIN;ACT	V;V.PTCP
skiftede	getauscht	skifte	tauschen	V;IND;PST;FIN;ACT	V;V.PTCP
indre	inneres	indre	inner	ADJ	ADJ;NOM;NEUT;SG
indre	innerer	indre	inner	ADJ	ADJ
indre	innere	indre	inner	ADJ	ADJ;NOM;FEM;PL
indre	inneren	indre	inner	ADJ	ADJ
opnåede	verdient	opnå	verdienen	V;IND;PST;FIN;ACT	V;V.PTCP
opnåede	erworben	opnå	erwerben	V;IND;PST;FIN;ACT	V;V.PTCP
opnåede	verdienten	opnå	verdient	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
opnåede	verdiente	opnå	verdient	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
opnåede	erzielt	opnå	erzielen	V;IND;PST;FIN;ACT	V;V.PTCP
opnåede	erreicht	opnå	erreichen	V;IND;PST;FIN;ACT	V;V.PTCP
opnåede	erreichte	opnå	erreichen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
finalen	abschlussprüfung	finale	abschlussprüfung	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
finalen	finale	finale	final	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
finalen	endspiel	finale	endspiel	N;DEF;MASC+FEM;SG	N;NOM;SG
finalen	endrunde	finale	endrunde	N;DEF;MASC+FEM;SG	N;SG
snart	bald	snart	bald	ADV	ADV
snart	demnächst	snart	demnächst	ADV	ADV
opkaldt	genannt	opkalde	nennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
opkaldt	benannte	opkalde	benennen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
opkaldt	benannt	opkalde	benennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
skete	passierte	ske	passieren	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
skete	geschah	ske	geschehen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
skete	geschehen	ske	geschehen	V;IND;PST;FIN;ACT	V;V.PTCP
offentlige	öffentlicher	offentlig	öffentlich	ADJ;PL	ADJ
offentlige	öffentlichkeit	offentlig	öffentlichkeit	ADJ;PL	ADJ
offentlige	öffentlichen	offentlig	öffentlich	ADJ;PL	ADJ;NOM;PL
offentlige	öffentliche	offentlig	öffentlich	ADJ;PL	ADJ;NOM;FEM;PL
offentlige	öffentlich	offentlig	öffentlich	ADJ;PL	ADJ
høje	hohe	høj	hoch	ADJ;PL	ADJ;NOM;FEM;PL
høje	hohen	høj	hoch	ADJ;PL	ADJ;PL
høje	hoch	høj	hoch	ADJ;PL	ADJ
høje	groß	høj	groß	ADJ;PL	ADJ
tjeneste	dienstleistung	tjen	dienstleistung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
vinder	gewinnen	vinde	gewinnen	V;IND;PRS;FIN;ACT	V;NFIN
vinder	gewinnen	vinde	gewinnen	V;IND;PRS;FIN;ACT	V;NFIN
vinder	gewinnt	vinde	winnen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
afholdt	abgehalten	afholde	abhalten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afholdt	gehalten	afholde	halten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
afholdt	hielt	afholde	halten	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
afholdt	festgehalten	afholde	festhalten	V;INDF;SG;PST;V.PTCP	V;V.PTCP
uddannelse	ausbildung	uddannelse	ausbildung	N;INDF;MASC+FEM;SG	N;FEM;SG
uddannelse	schulung	uddannelse	schulung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
uddannelse	fortbildung	uddannelse	fortbildung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
uddannelse	ausbildung	uddannelse	ausbildung	N;INDF;MASC+FEM;SG	N;FEM;SG
uddannelse	erziehung	uddannelse	erziehung	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
club	club	club	club	N;INDF;MASC+FEM;SG	N;NOM
club	klub	club	klub	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
økonomiske	wirtschaftlichen	økonomisk	wirtschaftlich	ADJ;PL	ADJ;NOM;MASC;PL
økonomiske	wirtschaftliche	økonomisk	wirtschaftlich	ADJ;PL	ADJ;NOM;FEM;PL
økonomiske	wirtschaftlich	økonomisk	wirtschaftlich	ADJ;PL	ADJ
manuskript	drehbuch	manuskript	drehbuch	N;INDF;NEUT;SG	N;NOM;NEUT;SG
manuskript	manuskript	manuskript	manuskript	N;INDF;NEUT;SG	N;NOM;NEUT;SG
manuskript	drehbuch	manuskript	drehbuch	N;INDF;NEUT;SG	N;NOM;NEUT;SG
manuskript	skript	manuskript	skripten	N;INDF;NEUT;SG	N;NOM;SG
japanske	japanische	japansk	japanisch	ADJ;PL	ADJ;NOM;FEM;PL
japanske	japanischen	japansk	japanisch	ADJ;PL	ADJ;NOM;MASC;PL
japanske	japanisch	japansk	japanisch	ADJ;PL	ADJ
japanske	japaner	japansk	japaner	ADJ;PL	ADJ
japanske	japanischer	japansk	japanisch	ADJ;PL	ADJ
følger	folgt	følge	folgen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
følger	folgen	følge	folgen	V;IND;PRS;FIN;ACT	V;NFIN
følger	folgt	følge	folgen	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
virksomhed	firma	virksomhed	firma	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
virksomhed	geschäft	virksomhed	schäfen	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
brugte	gebraucht	bruge	brauchen|gebrauchen	V;IND;PST;FIN;ACT	V;V.PTCP
brugte	benutzt	bruge	benutzen	V;IND;PST;FIN;ACT	V;V.PTCP
brugte	verwendete	bruge	verwenden	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
brugte	verwendet	bruge	verwenden	V;IND;PST;FIN;ACT	V;V.PTCP
brugte	verbracht	bruge	verbringen	V;IND;PST;FIN;ACT	V;V.PTCP
brugte	verbrachte	bruge	verbringen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
brugte	ausgegeben	bruge	ausgeben	V;IND;PST;FIN;ACT	V;V.PTCP
skolen	schule	skole	schule	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
uddannet	erzogen	uddanne	erziehen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
uddannet	gebildet	uddanne	bilden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
uddannet	ausgebildet	uddanne	ausbilden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
uddannet	trainiert	uddanne	trainieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
uddannet	ausgebildet	uddanne	ausbilden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
uddannet	geschult	uddanne	schulen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udnævnt	ernannt	udnævne	ernennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udnævnt	ernannt	udnævne	ernennen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
udnævnt	nominiert	udnævne	nominieren	V;INDF;SG;PST;V.PTCP	V;V.PTCP
bestemt	unbedingt	bestemt	unbedingt	ADV	ADV
ellers	ansonsten	ellers	ansonsten	ADV	ADV
ellers	anderenfalls	ellers	anderenfalls	ADV	ADV
ellers	sonst	ellers	sonst	ADV	ADV
ellers	andernfalls	ellers	andernfalls	ADV	ADV
nationale	nationaler	national	national	ADJ;PL	ADJ
nationale	nationale	national	national	ADJ;PL	ADJ;NOM;FEM;PL
nationale	nationalen	national	national	ADJ;PL	ADJ;NOM
nationale	national	national	national	ADJ;PL	ADJ
boede	lebten	bo	leben	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
boede	gelebt	bo	peben	V;IND;PST;FIN;ACT	V;V.PTCP
boede	lebte	bo	leben	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
anvendt	angewandt	anvende	anwenden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
anvendt	angewendet	anvende	anwenden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
anvendt	beantragte	anvende	beantragen	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
anvendt	gebraucht	anvende	brauchen|gebrauchen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
anvendt	benutzt	anvende	benutzen	V;INDF;SG;PST;V.PTCP	V;V.PTCP
anvendt	verwendete	anvende	verwenden	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
anvendt	verwendet	anvende	verwenden	V;INDF;SG;PST;V.PTCP	V;V.PTCP
spil	spiel	spil	spielen	N;INDF;NEUT;SG	N;NOM;NEUT;SG
spil	spiel	spil	spielen	N;INDF;NEUT;SG	N;NOM;NEUT;SG
spil	spiel	spil	spielen	N;INDF;NEUT;SG	N;NOM;NEUT;SG
almindelige	häufig	almindelig	häufig	ADJ;PL	ADJ
almindelige	allgemein	almindelig	allgemein	ADJ;PL	ADJ
almindelige	gemeinsame	almindelig	gemeinsam	ADJ;PL	ADJ;NOM;FEM;PL
fulgte	gefolgt	følge	folgen	V;IND;PST;FIN;ACT	V;V.PTCP
fulgte	folgten	følge	folgen	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
fulgte	abonniert	følge	abonnieren	V;IND;PST;FIN;ACT	V;V.PTCP
fulgte	folgte	følge	folgen	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
prins	prinz	prins	prinz	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
