css	css	css	css	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fisker	ribolova	fisker	ribolov	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
emmy	emmy	emmy	emmy	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
beton	beton	beton	beton	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
mandat	mandat	mandat	mandat	N;INDF;NEUT;SG	N;NOM;MASC;SG
mandat	mandata	mandat	mandat	N;INDF;NEUT;SG	N;NOM;MASC;SG
kæde	verigo	kæde	veriga	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
kæde	veriga	kæde	veriga	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
bureau	agencija	bureau	agencija	N;INDF;NEUT;SG	N;NOM;FEM;SG
bureau	predsedstvo	bureau	predsedstvo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
bureau	urad	bureau	urad	N;INDF;NEUT;SG	N;NOM;MASC;SG
bureau	biro	bureau	biro	N;INDF;NEUT;SG	N;NOM;MASC;SG
police	policija	police	policija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
göttingen	göttingen	gytting	göttingen	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
rede	gnezdo	rede	gnezdo	N	N;NOM;NEUT;SG
rede	gnezda	rede	gnezda	N	N;NOM;NEUT;PL
drab	umor	drab	umor	N;INDF;NEUT;SG	N;NOM;MASC;SG
drab	umori	drab	umor	N;INDF;NEUT;SG	N;NOM;MASC;SG
drab	umori	drab	umor	N;INDF;NEUT;SG	N;NOM;MASC;SG
drab	ubijanje	drab	ubijanje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
drab	uboj	drab	uboj	N;INDF;NEUT;SG	N;NOM;MASC;SG
humor	humor	humor	humor	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
humor	humor	humor	humor	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
afløser	nadomeščanje	afløser	nadomeščanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
afløser	zamenjava	afløser	zamenjava	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
afløser	nadomestitev	afløser	nadomestitev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
afløser	nadomeščanje	afløser	nadomeščanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
fuldmægtig	administrator	fuldmægtig	administrator	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fuldmægtig	upravitelj	fuldmægtig	upravitelj	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fuldmægtig	administratorja	fuldmægtig	administrator	N;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;SG
nassau	nassau	nassau	nassati	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
proteiner	beljakovin	protein	beljakovina	N;INDF;NEUT;PL	N;GEN;FEM;PL
proteiner	proteini	protein	protein	N;INDF;NEUT;PL	N;NOM;MASC;PL
proteiner	beljakovine	protein	beljakovina	N;INDF;NEUT;PL	N;NOM;FEM;PL
proteiner	beljakovin	protein	beljakovina	N;INDF;NEUT;PL	N;GEN;FEM;PL
proteiner	proteini	protein	protein	N;INDF;NEUT;PL	N;NOM;MASC;PL
proteiner	beljakovine	protein	beljakovina	N;INDF;NEUT;PL	N;NOM;FEM;PL
satellitter	sateliti	satellit	sateliti	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
påstand	zahtevek	påstand	zahtevek	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
påstand	terjatev	påstand	terjatev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
påstand	trditev	påstand	trditev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
westfalen	vestfalija	westfale	vestfalija	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
factor	dejavnik	factor	dejavnik	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
factor	faktor	factor	faktor	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
molekyler	molekule	molekyle	molekol	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
terror	groza	terror	groz	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
terror	teror	terror	teror	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
terror	terorizem	terror	terorizem	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
kriminelle	kazenskih	kriminel	kazenski	ADJ;PL	ADJ;GEN;MASC;PL
cæsar	cezar	cæsar	cezar	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
cæsar	cezarja	cæsar	cezar	N;INDF;MASC+FEM;SG	N;ACC;MASC;SG
skarpe	ostri	skarp	oster	ADJ;PL	ADJ;NOM;MASC;PL
kriminalitet	zločin	kriminalitet	zločin	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
kriminalitet	kriminal	kriminalitet	kriminal	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
kriminalitet	kriminala	kriminalitet	kriminal	N;INDF;MASC+FEM;SG	N;GEN;MASC;SG
undervist	naučil	undervist	naučiti	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
batteri	baterija	batteri	baterija	N;INDF;NEUT;SG	N;NOM;FEM;SG
batteri	baterijo	batteri	baterija	N;INDF;NEUT;SG	N;ACC;FEM;SG
batteri	akumulator	batteri	akumulator	N;INDF;NEUT;SG	N;NOM;MASC;SG
omkostninger	stroški	omkostning	strošek	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
omkostninger	stroški	omkostning	strošek	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
afdelingen	oddelek	afdeling	oddelek	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
mur	obzidje	mur	obzidje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
mur	zid	mur	zid	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
mur	stena	mur	stena	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mur	steno	mur	stena	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
richmond	richmond	richmond	richmond	N;INDF;NEUT;SG	N;NOM;MASC;SG
illustrationer	ilustracije	illustration	ilustracija	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
brugerne	uporabniki	bruger	uporabnik	N;DEF;MASC+FEM;PL	N;NOM;MASC;PL
sct	kps	sct	kps	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tjenester	storitve	tjenester	storitev	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
templet	svetišče	temple	svetišče	N;DEF;NEUT;SG	N;NOM;NEUT;SG
templet	tempelj	temple	tempelj	N;DEF;NEUT;SG	N;NOM;MASC;SG
templet	hram	temple	hrama	N;DEF;NEUT;SG	N;NOM;MASC;SG
håbet	upanja	håb	upanje	N;DEF;NEUT;SG	N;GEN;NEUT;SG
håbet	upanje	håb	upanje	N;DEF;NEUT;SG	N;NOM;NEUT;SG
reform	reformo	reform	reforma	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
reform	reforma	reform	reforma	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
missioner	misije	mission	misija	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
tidsrum	obdobje	tidsrum	obdobje	N;INDF;NEUT;SG	N;NOM;NEUT;SG
psykisk	psihološko	psykisk	psihološki	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
psykisk	psihološki	psykisk	psihološki	ADJ;INDF;SG	ADJ;NOM;MASC;SG
psykisk	psihološka	psykisk	psihološki	ADJ;INDF;SG	ADJ;NOM;FEM;SG
psykisk	duševno	psykisk	duševno	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
psykisk	mentalno	psykisk	mentalen	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
psykisk	duševna	psykisk	duševen	ADJ;INDF;SG	ADJ;NOM;FEM;SG
psykisk	duševno	psykisk	duševno	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
psykisk	mentalno	psykisk	mentalen	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
hoteller	hotelov	hotel	hotel	N;INDF;NEUT;PL	N;GEN;MASC;PL
pinyin	pinjin	pinyin	pinjin	N;INDF;NEUT;SG	N;NOM;MASC;SG
modtagelse	prejem	modtagelse	prejem	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
modtagelse	prejemanje	modtagelse	prejemanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
modtagelse	sprejem	modtagelse	sprejem	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
support	podporo	support	podpora	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
support	podpora	support	podpora	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
sandhed	resnico	sandhed	resnica	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
sandhed	resnica	sandhed	resnica	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
hævet	vzgojila	hæve	vzgojiti	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
hævet	zatekel	hæve	zateči	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
manuelt	ročni	manuel	ročen	ADJ;INDF;SG	ADJ;NOM;MASC;SG
manuelt	ročna	manuel	ročen	ADJ;INDF;SG	ADJ;NOM;FEM;SG
præstation	nastop	præstation	nastop	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
præstation	zmogljivost	præstation	zmogljivost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
præstation	uspešnost	præstation	uspešnost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
præstation	uspešnosti	præstation	uspešnost	N;INDF;MASC+FEM;SG	N;GEN;FEM;SG
præstation	dosežek	præstation	dosežek	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
præstation	doseganje	præstation	doseganje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
atmosfæren	ozračje	atmosfær	ozračje	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
atmosfæren	atmosfera	atmosfær	atmosfer	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
atmosfæren	atmosfero	atmosfær	atmosfer	N;DEF;MASC+FEM;SG	N;ACC;FEM;SG
atmosfæren	vzdušje	atmosfær	vzdušje	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
eksistere	obstajajo	eksistere	obstajati	V;NFIN;ACT	V;IPFV;IND;PL;3;PRS;FIN
eksistere	obstaja	eksistere	obstajati	V;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
racer	dirk	race	dirka	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
racer	dirkah	race	dirka	N;INDF;MASC+FEM;PL	N;ESS;FEM;PL
racer	rase	race	rase	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
racer	dirke	race	dirka	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
racer	pasem	race	pasma	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
racer	pasme	race	pasma	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
boksning	boks	boksning	boks	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
augustus	avgust	augustus	avgust	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
augustus	augustus	augustus	augustus	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
forestilling	spektakel	forestilling	spektakel	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
cameron	cameron	cameron	cameron	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
badminton	badminton	badminton	badminton	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
øre	uho	øre	uho	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
katalog	katalog	katalog	kataloga	N;INDF;NEUT;SG	N;NOM;MASC;SG
katalog	katalog	katalog	kataloga	N;INDF;NEUT;SG	N;NOM;MASC;SG
katalog	kataloga	katalog	kataloga	N;INDF;NEUT;SG	N;GEN;MASC;SG
shakespeare	shakespeara	shakespeare	shakespear	N;INDF;NEUT;SG	N;GEN;MASC;SG
shakespeare	shakespeare	shakespeare	shakespeara	N;INDF;NEUT;SG	N;NOM;MASC;SG
schwerin	schwerin	schwerin	schwerin	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
rapporterede	poročali	rapportere	poročati	V;IND;PST;FIN;ACT	V;IPFV;MASC;PL;V.PTCP
løvfældende	listnati	løvfældende	listnati	ADJ	ADJ;NOM;MASC;PL
produktet	produkt	produkt	produkt	N;DEF;NEUT;SG	N;NOM;MASC;SG
produktet	proizvod	produkt	proizvod	N;DEF;NEUT;SG	N;NOM;MASC;SG
produktet	izdelek	produkt	izdelek	N;DEF;NEUT;SG	N;NOM;MASC;SG
currentclub	currentclub	currentclub	currentclub	N;INDF;MASC+FEM;SG	N;DAT;MASC;SG
taber	izgubi	tabe	izgubiti	V;IND;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
broadway	broadway	broadway	broadway	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
armenien	armenijo	armenie	armenija	N;DEF;MASC+FEM;SG	N;ACC;FEM;SG
tropiske	tropske	tropisk	tropski	ADJ;PL	ADJ;NOM;FEM;PL
tropiske	tropskih	tropisk	tropski	ADJ;PL	ADJ;GEN;MASC;PL
indstilling	možnost	indstilling	možnost	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
indstilling	drža	indstilling	držati	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
indstilling	obnašanje	indstilling	obnašanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
indstilling	odnos	indstilling	odnos	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
indstilling	nastavljanje	indstilling	nastavljanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
indstilling	nastavitev	indstilling	nastavitev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
indstilling	nastavitev	indstilling	nastavitev	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
lød	zvenelo	lyde	zveneti	V;IND;PST;FIN;ACT	V;IPFV;NEUT;SG;V.PTCP
busk	bush	busk	bush	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
busk	grmovje	busk	grmovje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
busk	grm	busk	grm	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
busk	grm	busk	grm	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
rapporter	poročila	rapport	poročilo	N;INDF;MASC+FEM;PL	N;NOM;NEUT;PL
kompleks	zapletena	kompleks	zapleten	ADJ;INDF;SG	ADJ;NOM;FEM;SG
kompleks	zapleteno	kompleks	zapleten	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
kompleks	kompleksna	kompleks	kompleksen	ADJ;INDF;SG	ADJ;NOM;FEM;SG
fænomener	pojave	fænomene	pojava	N;INDF;NEUT;PL	N;ACC;MASC;PL
koncept	pojem	koncept	pojem	N;INDF;NEUT;SG	N;NOM;MASC;SG
koncept	koncept	koncept	koncept	N;INDF;NEUT;SG	N;NOM;MASC;SG
wallace	wallace	wallace	wallace	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
eksport	izvoz	eksport	izvoz	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
eksport	izvoz	eksport	izvoz	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
lært	naučil	lære	naučiti	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
lært	naučil	lære	naučiti	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
elite	elita	elite	elita	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
elite	elito	elite	elito	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
spurgte	vprašal	spørge	vprašati	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
spurgte	vprašali	spørge	vprašati	V;IND;PST;FIN;ACT	V;PFV;MASC;PL;V.PTCP
kørsel	vožnja	kørsel	vožnja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
kørsel	vožnjo	kørsel	vožnja	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
ment	pomenilo	mene	pomeniti	V;INDF;SG;PST;V.PTCP	V;NEUT;SG;V.PTCP
jules	jules	jules	jules	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
symboliserer	simbolizira	symbolisere	simbolizirati	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
symboliserer	simbolizira	symbolisere	simbolizirati	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
bloch	bloch	bloch	bloch	N;INDF;NEUT;SG	N;NOM;MASC;SG
udtrykker	izraža	udtrykke	izražati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
polo	polo	polo	pola	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
frugter	sadeži	frugte	sadež	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
frugter	plodovi	frugte	plodov	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
bifloder	pritokov	biflode	pritok	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
hood	kapuco	hood	kapuca	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
hood	hood	hood	hooda	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tobias	tobias	tobias	tobias	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
indvandrere	migranti	indvandrer	migrant	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
indvandrere	migrantov	indvandrer	migrant	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
indvandrere	migrante	indvandrer	migrant	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
indvandrere	priseljenci	indvandrer	priseljenec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
indvandrere	priseljencev	indvandrer	priseljenec	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
indvandrere	priseljence	indvandrer	priseljenec	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
indvandrere	priseljenci	indvandrer	priseljenec	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
arbejdspladser	zaposlitve	arbejdsplads	zaposlitev	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
anklager	obtožbe	anklage	obtožba	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
konsulent	svetovalca	konsulent	svetovalec	N;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;SG
konsulent	svetovalec	konsulent	svetovalec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
konsulent	svetovalec	konsulent	svetovalec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
skribent	pisec	skribent	pisec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
skribent	pisateljica	skribent	pisateljica	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
skribent	pisatelj	skribent	pisatelj	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
skribent	pisar	skribent	pisara	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
saturn	saturn	saturn	saturn	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
forklarede	pojasnil	forklare	pojasniti	V;IND;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
samtale	pogovor	samtale	pogovor	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
arrangement	dogovor	arrangement	dogovor	N;INDF;NEUT;SG	N;NOM;MASC;SG
arrangement	aranžma	arrangement	aranž	N;INDF;NEUT;SG	N;NOM;MASC;SG
arrangement	ureditev	arrangement	ureditev	N;INDF;NEUT;SG	N;NOM;FEM;SG
arrangement	razporeditev	arrangement	razporeditev	N;INDF;NEUT;SG	N;NOM;FEM;SG
ritualer	obrede	ritual	obred	N;INDF;NEUT;PL	N;ACC;MASC;PL
mændene	možje	mand	mož	N;DEF;MASC+FEM;PL	N;NOM;MASC;PL
mændene	moški	mand	moški	N;DEF;MASC+FEM;PL	N;NOM;MASC;PL
ambassade	veleposlaništvo	ambassade	veleposlaništvo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
statsborgerskab	državljanstvo	statsborgerskab	državljanstvo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
statsborgerskab	državljanstvo	statsborgerskab	državljanstvo	N;INDF;NEUT;SG	N;NOM;NEUT;SG
runder	krogov	runde	krog	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
runder	kroge	runde	krog	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
runder	nabojev	runde	nabojev	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
støder	žali	stod	žali	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
åndelige	duhovne	åndelig	duhoven	ADJ;PL	ADJ;NOM;FEM;PL
tropperne	čete	trop	četa	N;DEF;MASC+FEM;PL	N;NOM;FEM;PL
fiktion	fikcija	fiktion	fikcija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
tibet	tibeta	tibet	tibet	N;DEF;NEUT;SG	N;NOM;MASC;SG
tibet	tibetu	tibet	tibet	N;DEF;NEUT;SG	N;DAT;MASC;SG
tibet	tibet	tibet	tibet	N;DEF;NEUT;SG	N;NOM;MASC;SG
svendsen	svendsen	svends	svendsen	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
særskilt	ločeno	særskilt	ločen	ADJ;INDF;SG	ADJ;NOM;NEUT;SG;V.PTCP
særskilt	ločena	særskilt	ločen	ADJ;INDF;SG	ADJ;NOM;FEM;SG;V.PTCP
særskilt	ločeno	særskilt	ločen	ADJ;INDF;SG	ADJ;NOM;NEUT;SG;V.PTCP
højdepunkt	vrh	højdepunkt	vrh	N;INDF;NEUT;SG	N;NOM;MASC;SG
varighed	trajanje	varighed	trajanje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
pseudonym	psevdonim	pseudonym	psevdon	N;INDF;NEUT;SG	N;NOM;MASC;SG
gemeinden	gemeinden	gemeinde	gemeinden	N;INDF;NEUT;SG	N;NOM;MASC;SG
sko	čevlje	sko	čevelj	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
sko	čevljev	sko	čevelj	N;INDF;MASC+FEM;PL	N;GEN;MASC;PL
sko	čevlji	sko	čevelj	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
lider	trpeti	lide	trpeti	V;IND;PRS;FIN;ACT	V;IPFV;NFIN
lider	trpel	lide	trpeti	V;IND;PRS;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
lider	trpi	lide	trpeti	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
bakken	hrib	bakke	hrib	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
bakken	grič	bakke	grič	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
dyrke	gojiti	dyrke	gojiti	V;NFIN;ACT	V;IPFV;NFIN
simpelt	preprost	simpel	preprosto	ADJ	ADJ;NOM;INDF;MASC;SG
simpelt	preprosta	simpel	preprost	ADJ	ADJ;NOM;FEM;SG
standarder	standarde	standarder	standard	N;INDF;MASC+FEM;PL	N;ACC;MASC;PL
standarder	standardi	standarder	standard	N;INDF;MASC+FEM;PL	N;NOM;MASC;PL
opererer	obratuje	operere	obratovati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
dominerede	prevladovala	dominere	prevladovati	V;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
mælk	mleka	mælk	mleko	N;INDF;MASC+FEM;SG	N;GEN;NEUT;SG
mælk	mleko	mælk	mleko	N;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
færge	shuttle	færge	shuttla	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
færge	trajekt	færge	trajekt	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
virus	virus	virus	virus	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
virus	virusa	virus	virus	N;INDF;MASC+FEM;SG	N;ACC;MASC;SG
adm	adm	adm	adm	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
vision	vizija	vision	vizija	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
vision	vida	vision	vido	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
vision	vid	vision	vid	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
vision	vizijo	vision	vizeti	N;INDF;MASC+FEM;SG	N;ACC;FEM;SG
slagmarken	bojišče	slagmark	bojišče	N;DEF;MASC+FEM;SG	N;NOM;NEUT;SG
gæst	obiskovalec	gæst	obiskovalec	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
gæst	gosta	gæst	gost	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
gæst	gostja	gæst	gostja	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
definerer	opredeli	definere	opredeliti	V;IND;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
definerer	opredeliti	definere	opredeliti	V;IND;PRS;FIN;ACT	V;PFV;NFIN
definerer	definira	definere	definira	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
definerer	opredeljuje	definere	opredeljevati	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
idéer	zamisli	idé	zamisel	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
idéer	idej	idé	ideja	N;INDF;MASC+FEM;PL	N;GEN;FEM;PL
idéer	ideje	idé	ideja	N;INDF;MASC+FEM;PL	N;NOM;FEM;PL
begivenhederne	dogodki	begivenhed	dogodek	N;DEF;MASC+FEM;PL	N;NOM;MASC;PL
begivenhederne	prireditve	begivenhed	prireditev	N;DEF;MASC+FEM;PL	N;NOM;FEM;PL
begivenhederne	dogodke	begivenhed	dogodek	N;DEF;MASC+FEM;PL	N;ACC;MASC;PL
begivenhederne	dogodkov	begivenhed	dogodek	N;DEF;MASC+FEM;PL	N;GEN;MASC;PL
økonom	ekonomist	økonom	ekonomist	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
beat	ritem	beat	ritem	N;INDF;NEUT;SG	N;NOM;MASC;SG
gradvis	postopoma	gradvis	postopoma	ADV	ADV
gradvis	postopno	gradvis	postopno	ADV	ADV
gradvis	postopoma	gradvis	postopoma	ADV	ADV
gradvis	postopno	gradvis	postopno	ADV	ADV
gradvis	postopno	gradvis	postopno	ADV	ADV
vinden	vetru	vind	veter	N;DEF;MASC+FEM;SG	N;DAT;MASC;SG
vinden	veter	vind	veter	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
vinden	vetra	vind	veter	N;DEF;MASC+FEM;SG	N;GEN;MASC;SG
mare	mare	mare	mara	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
mare	kobila	mare	kobilo	N;INDF;MASC+FEM;SG	N;NOM;FEM;SG
mare	kobilo	mare	kobilo	N;INDF;MASC+FEM;SG	N;ACC;NEUT;SG
matcher	ujema	matcher	ujem	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
novelle	roman	novel	roman	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
novelle	romana	novel	roman	N;INDF;MASC+FEM;SG	N;NOM;MASC;SG
ejeren	lastnik	ejer	lastnik	N;DEF;MASC+FEM;SG	N;NOM;MASC;SG
ejeren	lastnica	ejer	lastnica	N;DEF;MASC+FEM;SG	N;NOM;FEM;SG
tilbyde	ponuja	tilbyde	ponujati	V;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
fejlagtigt	pomotoma	fejlagtigt	pomotoma	ADV	ADV
regelmæssigt	redno	regelmæssigt	redno	ADV	ADV
regelmæssigt	redno	regelmæssigt	redno	ADV	ADV
