پُف	puff	پُف	puff		
پیشوائی	pierwszeństwo	پیشوائی	pierwszeństwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشوائی	przewodnictwo	پیشوائی	przewodnictwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشوائی	kierownictwo	پیشوائی	kierownictwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشوائی	przywódcy	پیشوائی	przywódca	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشوائی	przywództwo	پیشوائی	przywództwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشوائی	przewodnictwo	پیشوائی	przewodnictwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشوائی	pierwszeństwo	پیشوائی	pierwszeństwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشہ	powołanie	پیشہ	powołać	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
پیشہ	handel	پیشہ	handel	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشہ	biznes	پیشہ	biznes	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشہ	interes	پیشہ	interes	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشہ	zwyczaj	پیشہ	zwyczaj	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشہ	biura	پیشہ	biuro	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشہ	urząd	پیشہ	urząd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشہ	prostytucja	پیشہ	prostytucja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیشہ	powołanie	پیشہ	powołać	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
پیشہ	zawód	پیشہ	zawód	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشہ	powołanie	پیشہ	powołać	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
پیشہ	handel	پیشہ	handel	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشہ	biznes	پیشہ	biznes	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشہ	interes	پیشہ	interes	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشہ	zwyczaj	پیشہ	zwyczaj	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشہ	biura	پیشہ	biuro	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشہ	urząd	پیشہ	urząd	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشہ	prostytucja	پیشہ	prostytucja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیشی	słuch	پیشی	słuch	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیشی	rozprawa	پیشی	rozprawa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیشی	przesłuchanie	پیشی	przesłuchanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشی	obecność	پیشی	obecność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پیشی	występowanie	پیشی	występowanie	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
پیشین	popołudnie	پیشین	popołudnie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشین	popołudnia	پیشین	popołudnie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پیشین	wieczór	پیشین	wieczór	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پیکھنا	patrz	پیکھ	patrzeć	V;SG;NFIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
پیکھنا	zobacz	پیکھ	zobaczyć	V;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پیکھنا	obserwuj	پیکھ	obserwować	V;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پیل	push	پیل	push		
پَین	channel	پَین	channel		
پَین	bilard	پَین	bilard		
پینڈ	ball	پینڈ	ball		
پینڈ	kula	پینڈ	kula		
پھاٹک	bramy	پھاٹک	brama		
پھاٹک	gate	پھاٹک	gatek		
پھاڑ	podział	چیرپھاڑ	podziać	V;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پھاڑ	podziel	چیرپھاڑ	podziel	V;ACT	V;PFV;IMP;SG;2;FIN;ACT
پھاڑنا	drażnić	پھاڑ	drażnić	V;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پھاڑنا	złamać	پھاڑ	złamać	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
پھاگ	biesiada	پھاگ	biesiad		
پھال	step	پھال	step		
پھال	stride	پھال	stridy		
پھانٹنا	pokonać	پھانٹنا	pokonać	V;NFIN;ACT	V;PFV;NFIN;ACT
پھانس	splinter	پھانس	splinter		
پھانسی	uduszenie	پھانسی	udusić	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
پھانسی	pętla	پھانسی	pętlać	N;NOM;FEM;SG;3	N;NOM;FEM;SG
پھانسی	pętla	پھانسی	pętlać	N;NOM;FEM;SG;3	N;NOM;FEM;SG
پھانک	bit	پھانک	bit		
پھانک	cięcie	پھانک	cięcie		
پھانکڑ	mądrze	پھانکڑ	mądrze		
پھانکڑ	smart	پھانکڑ	smart		
پھانکنا	otwórz	پھانکنا	otwórzyć	V;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پھب	grace	پھب	graka		
پھبن	grace	پھبن	graka		
پھبن	cudo	پھبن	cudo		
پھبن	piękno	پھبن	piękno		
پھبن	wdzięk	پھبن	wdzięk		
پھبن	uroku	پھبن	urok		
پھٹا	podział	پھٹا	podziać	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پھٹا	podziel	پھٹا	podziel	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IMP;SG;2;FIN;ACT
پُھٹانا	wyzwolić	پُھٹا	wyzwolić	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
پُھٹکر	zmienić	پُھٹکر	zmienić	V;V.CVB;ACT	V;PFV;NFIN;ACT
پُھٹکر	zmień	پُھٹکر	zmień	V;V.CVB;ACT	V;PFV;IMP;SG;2;FIN;ACT
پھدک	wrzącej	پھدک	wrzącej		
پھدک	wrzenia	پھدک	wrzenie		
پِھرنا	wróć	پِھر	wróć	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پِھرنا	odbiegać	پِھر	odbiegać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پِھرنا	zmienić	پِھر	zmienić	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پِھرنا	zmień	پِھر	zmień	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پُھسلانا	porwać	پُھسلانا	porwać	V;MASC;SG;V.PTCP;ACT	V;PFV;NFIN;ACT
پُھسلانا	porwanie	پُھسلانا	porwać	V;MASC;SG;V.PTCP;ACT	V;PFV;IND;PST;FIN;ACT
پُھسلانا	uwieść	پُھسلانا	uwieść	V;MASC;SG;V.PTCP;ACT	V;PFV;NFIN;ACT
پُھکنا	płonie	پُھک	płonąć	V;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
پُھکنا	spalić	پُھک	spalić	V;NFIN;ACT	V;IPFV;NFIN;ACT
پُھکنا	spal	پُھک	spal	V;NFIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
پھل	zwrot	پھل	zwrot	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پھل	zysk	پھل	zysk	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پھل	efekt	پھل	efekt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پھل	skutek	پھل	skutek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پھل	potomek	پھل	potomek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پھل	potomstwo	پھل	potomstwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پھل	zysk	پھل	zysk	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پھل	nagroda	پھل	nagroda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پھل	owoc	پھل	owoc	N;NOM;MASC;SG;3	N;NOM;MASC;SG
پھُل	kwiecie	پھُل	kwiecie		
پھلی	ostrze	پھلا	ostrzyć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
پھلی	pętla	پھلا	pętlać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پھلی	tarcza	پھلا	tarczyć	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پھلی	osłona	پھلا	osłona	N;NOM;MASC;SG;3	N;NOM;FEM;SG
پُھوٹنا	strzelać	پُھوٹنا	strzelać	V;NFIN;ACT	V;IPFV;NFIN;ACT
پُھوٹنا	pękł	پُھوٹنا	pęknąć	V;NFIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پُھوٹنا	powiedz	پُھوٹنا	powiedzieć	V;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پُھوٹنا	rozbił	پُھوٹنا	rozbić	V;NFIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پُھوٹنا	podział	پُھوٹنا	podziać	V;NFIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پُھوٹنا	podziel	پُھوٹنا	podziel	V;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پھوڑنا	podział	پھوڑ	podziać	V;NFIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پھوڑنا	podziel	پھوڑ	podziel	V;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پھوڑنا	ujawnić	پھوڑ	ujawnić	V;NFIN;ACT	V;PFV;NFIN;ACT
پھوڑنا	złamać	پھوڑ	złamać	V;NFIN;ACT	V;PFV;NFIN;ACT
پھوک	hollow	پھوک	hollow		
پھوک	puste	پھوک	pusty		
پھوک	pusto	پھوک	pusto		
پھوک	lees	پھوک	lees		
پھوک	suszone	پھوک	susić		
پھوک	hollow	پھوک	hollow		
پھوک	puste	پھوک	pusty		
پھوک	pusto	پھوک	pusto		
پھوک	lees	پھوک	lees		
پھوک	suszone	پھوک	susić		
پھیٹنا	mieszać	پھیٹ	mieszać	V;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پھیٹنا	wymieszać	پھیٹ	wymieszać	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
پھیر	wróć	پھیر	wróć	V;ACT	V;PFV;IMP;SG;2;FIN;ACT
پھیر	bend	پھیر	bend	V;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
پھیر	zmienić	پھیر	zmienić	V;ACT	V;PFV;NFIN;ACT
پھیر	zmień	پھیر	zmień	V;ACT	V;PFV;IMP;SG;2;FIN;ACT
پھیر	okrągły	پھیر	okrągnąć	V;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پھیر	okrągł	پھیر	okrągnąć	V;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پھیرا	okrągły	پھیرا	okrągnąć	V;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پھیرا	okrągł	پھیرا	okrągnąć	V;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
پِھینچنا	umyć	پِھینچ	umyć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پھینکنا	rzuć	پھینکنا	rzuć	V;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
تاب	władza	تاب	władza	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تاب	siła	تاب	siła	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تاب	zasilanie	تاب	zasilać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تاب	jasność	تاب	jasność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تاب	spalanie	تاب	spalać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تاب	palenie	تاب	palen	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تاب	spalenie	تاب	spalenie	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تاب	pieczenie	تاب	pieczenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تاب	wytrzymałość	تاب	wytrzymałość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تاب	składanie	تاب	składać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تابع	wierny	تابع	wierny	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تابع	wierny	تابع	wierny	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تابعی	obserwujących	تابعی	obserwujący	ADJ	ADJ;IPFV;ACC;MASC;PL;POS;V.PTCP;ACT
تاپ	ciepła	تاپ	ciepło		
تاپ	ciepło	تاپ	ciepło		
تاپ	upał	تاپ	upał		
تاپ	heat	تاپ	heat		
تاپ	ciepło	تاپ	ciepło		
تاپ	ciepła	تاپ	ciepło		
تات	ojcze	تات	ojciec		
تات	drogi	تات	droga		
تاخت	atak	تاخت	atak	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تاخت	inwazja	تاخت	inwazja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تاخت	atak	تاخت	atak	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تاخت	napad	تاخت	napad	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تاَخُّر	opóźnienia	تاَخُّر	opóźnienie	N	N;NOM;NEUT;SG
تاَخُّر	opóźnienie	تاَخُّر	opóźnienie	N	N;NOM;NEUT;SG
تاخیر	opóźnienia	تاخیر	opóźnienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تاخیر	opóźnienie	تاخیر	opóźnienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تادیبی	dyscyplinarne	تادیبی	dyscyplinarny	ADJ	ADJ;NOM;NEUT;SG
تاذِین	sankcje	تاذِین	sankcja	N;NOM;MASC;PL;3	N;NOM;FEM;PL
تار	sznurek	تار	sznurek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تار	sznur	تار	sznur	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تار	wiersz	تار	wiersz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تار	linia	تار	linia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تار	mrok	تار	mrok	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تار	kontynuacja	تار	kontynuacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تار	telegram	تار	telegram	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تار	drut	تار	drut	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تار	ciemność	تار	ciemność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تار	mrok	تار	mrok	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تار	telegraph	تار	telegraph	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تارِنفس	oddychanie	تارِنفس	oddychać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تارِنفس	oddech	تارِنفس	oddech	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تارک	top	تارک	top		
تارک	góra	تارک	góra		
تارک	hill	تارک	hill		
تاریخ	termin	تاریخ	termin	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تاریخ	randka	تاریخ	randka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تاریخ	historia	تاریخ	historia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تاریخی	historyczne	تاریخی	historyczny	ADJ	ADJ;NOM;NEUT;SG
تاریخی	historyczny	تاریخی	historyczny	ADJ	ADJ;NOM;MASC;SG
تاریخی	historyczna	تاریخی	historyczny	ADJ	ADJ;NOM;FEM;SG
تاڑ	ogle	تاڑ	ogla		
تاڑن	karny	تاڑن	karny		
تاڑنا	zrozumieć	تاڑنا	zrozumieć	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
تاڑنا	zrozum	تاڑنا	zrozum	V;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
تاز	race	تاز	raka		
تاز	napaści	تاز	napaść		
تازگی	innowacyjność	تازگی	innowacyjność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تازگی	innowacja	تازگی	innowacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تازگی	przedłużenie	تازگی	przedłużyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تازگی	odnowienie	تازگی	odnowienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تازگی	innowacyjność	تازگی	innowacyjność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تازگی	innowacja	تازگی	innowacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تازگی	przedłużenie	تازگی	przedłużyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تازگی	odnowienie	تازگی	odnowienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تازہ	nowe	تازہ	nowy	ADJ	ADJ;NOM;NEUT;SG
تازہ	nowy	تازہ	nowy	ADJ	ADJ;NOM;MASC;SG
تازہ	świeże	تازہ	świeży	ADJ	ADJ;NOM;NEUT;SG
تازہ	świeża	تازہ	świeży	ADJ	ADJ;NOM;FEM;SG
تازہ	zadowolona	تازہ	zadowolony	ADJ	ADJ;NOM;FEM;SG
تازہ	szczęśliwi	تازہ	szczęśliwy	ADJ	ADJ;NOM;MASC;PL
تازہ	szczęśliwa	تازہ	szczęśliwy	ADJ	ADJ;NOM;FEM;SG
تازہ	szczęśliwy	تازہ	szczęśliwy	ADJ	ADJ;NOM;MASC;SG
تازہ	zadowolony	تازہ	zadowolony	ADJ	ADJ;NOM;MASC;SG
تازہ	nowe	تازہ	nowy	ADJ	ADJ;NOM;NEUT;SG
تازہ	nowy	تازہ	nowy	ADJ	ADJ;NOM;MASC;SG
تازہ	świeże	تازہ	świeży	ADJ	ADJ;NOM;NEUT;SG
تازہ	świeża	تازہ	świeży	ADJ	ADJ;NOM;FEM;SG
تازہ	zadowolona	تازہ	zadowolony	ADJ	ADJ;NOM;FEM;SG
تازہ	szczęśliwi	تازہ	szczęśliwy	ADJ	ADJ;NOM;MASC;PL
تازہ	szczęśliwa	تازہ	szczęśliwy	ADJ	ADJ;NOM;FEM;SG
تازہ	szczęśliwy	تازہ	szczęśliwy	ADJ	ADJ;NOM;MASC;SG
تازہ	zadowolony	تازہ	zadowolony	ADJ	ADJ;NOM;MASC;SG
تاس	basin	تاس	basina		
تاس	koryta	تاس	koryt		
تاسیس	ustanawianie	تاسیس	ustanawiać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تاغ	mountain	تاغ	mountain		
تاغ	góra	تاغ	góra		
تاک	target	تاک	target		
تاک	winogron	تاک	winogron		
تاک	opieki	تاک	opieka		
تاک	opieka	تاک	opieka		
تاکنا	peep	تاکنا	peep		
تاکنا	peep	تاکنا	peep		
تاکنا	stare	تاکنا	stary		
تاکید	podkreślenie	تاکید	podkreślenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تاکید	nacisk	تاکید	nacisk	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تاکید	akcent	تاکید	akcent	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تاکید	presja	تاکید	presja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تاکید	ciśnienie	تاکید	ciśnienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تاکید	nacisk	تاکید	nacisk	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تاکید	stres	تاکید	stres	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تاکیداً	ściśle	تاکیداً	ściśle	ADV	ADV
تاکیدی	naciśnięcie	تاکیدی	naciśnięcie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تاگا	nić	تاگا	nić		
تاگا	nici	تاگا	nić		
تال	zbiornik	تال	zbiornik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تال	środek	تال	środek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تال	miara	تال	miara	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تال	pula	تال	pula	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تال	basen	تال	basen	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تال	staw	تال	staw	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تالاب	zbiornik	تالاب	zbiornik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تالاب	staw	تالاب	staw	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تالاب	pula	تالاب	pula	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تالاب	basen	تالاب	basen	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تالک	piorun	تالک	piorun		
تالیف	pocieszenie	تالیف	pocieszenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تالیف	skład	تالیف	skład	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تالیف	pocieszenie	تالیف	pocieszenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تالیف	skład	تالیف	skład	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تام	full	تام	full		
تام	pełne	تام	pełny		
تان	melodia	تان	melodia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تان	notatka	تان	notatka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تان	napięcie	تان	napięcie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تانتا	seria	تان	seria	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تانس	groźby	تانس	groźba		
تاننا	podnieść	تان	podnieść	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
تاننا	sprowokować	تان	sprowokować	V;SG;NFIN;ACT	V;PFV;NFIN;ACT
تاوان	odszkodowanie	تاوان	odszkodowanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تاوان	karne	تاوان	karny	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تاوان	kara	تاوان	kara	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تاوان	wynagrodzenie	تاوان	wynagrodzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS;V.MSDR
تاوان	odszkodowanie	تاوان	odszkodowanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تاوان	odszkodowanie	تاوان	odszkodowanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تاوان	karne	تاوان	karny	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تاوان	kara	تاوان	kara	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تاوان	okup	تاوان	okup	N;NOM;MASC;SG;3	N;NOM;MASC;SG
تاوان	wynagrodzenie	تاوان	wynagrodzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG;POS;V.MSDR
تاوان	odszkodowanie	تاوان	odszkodowanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تائو	roll	تائو	roll		
تائو	upał	تائو	upał		
تائو	heat	تائو	heat		
تائو	ciepło	تائو	ciepło		
تائو	ciepła	تائو	ciepło		
تائو	twist	تائو	twist		
تائو	curl	تائو	curl		
تائید	potwierdzenie	تائید	potwierdzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تائید	wsparcia	تائید	wsparcie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تائید	wsparcie	تائید	wesprzeć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تائید	wspieranie	تائید	wspierać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تائید	potwierdzenie	تائید	potwierdzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تائید	wsparcia	تائید	wsparcie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تائید	wsparcie	تائید	wesprzeć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تائید	wspieranie	تائید	wspierać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تب	upał	تب	upał		
تب	heat	تب	heat		
تب	ciepło	تب	ciepło		
تب	ciepła	تب	ciepło		
تبار	plemię	تبار	plemia		
تبار	people	تبار	peopło		
تبار	dynastii	تبار	dynastia		
تبار	race	تبار	raka		
تباغُض	wrogość	تباغُض	wrogość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تباہ	zniszczony	تباہ	zniszczyć	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
تباہ	zniszczona	تباہ	zniszczyć	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
تباہ	zrujnowany	تباہ	zrujnować	ADJ	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
تباہی	zniszczenia	تباہی	zniszczyć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تباہی	zniszczenie	تباہی	zniszczyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تباہی	niszczenie	تباہی	niszczenie	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
تباہی	zniszczenia	تباہی	zniszczyć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تباہی	spustoszenie	تباہی	spustoszyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تباہی	zniszczenie	تباہی	zniszczyć	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تبدیل	mutacja	تبدیل	mutacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تبدیل	zmiana	تبدیل	zmiana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تبدیل	przekształcenie	تبدیل	przekształcenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
تبدیل	przemiana	تبدیل	przemiać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تبدیل	modyfikacja	تبدیل	modyfikacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تبدیل	zmienność	تبدیل	zmienność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
تبدیلی	zmiana	تبدیلی	zmiana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تبدیلی	przenoszenie	تبدیلی	przenosić	N;NOM;FEM;SG;3	N;NOM;NEUT;SG;POS;V.MSDR
تبدیلی	transfer	تبدیلی	transfer	N;NOM;FEM;SG;3	N;NOM;MASC;SG
تبدیلی	przeniesienie	تبدیلی	przeniesienie	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تبدیلی	przekazanie	تبدیلی	przekazać	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تبدیلی	zmiana	تبدیلی	zmiana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
تبدیلی	przenoszenie	تبدیلی	przenosić	N;NOM;FEM;SG;3	N;NOM;NEUT;SG;POS;V.MSDR
تبدیلی	transfer	تبدیلی	transfer	N;NOM;FEM;SG;3	N;NOM;MASC;SG
تبدیلی	przeniesienie	تبدیلی	przeniesienie	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تبدیلی	przekazanie	تبدیلی	przekazać	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تبر	topór	تبر	topór		
تبر	topór	تبر	topór		
تبر	axe	تبر	axe		
تبر	topór	تبر	topór		
تبصرہ	recenzja	تبصرہ	recenzja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
