ve	ja	ve	ja	CONJ	CONJ
ödülleri	palkinnot	ödül	palkinto	N;NOM;PL;3	N;NOM;PL
ödülleri	palkinnot	ödül	palkinto	N;NOM;PL;3	N;NOM;PL
ödülleri	palkinnot	ödül	palkinto	N;NOM;PL;3	N;NOM;PL
kaldı	pysynyt	kal	pysyä	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
kaldı	jäi	kal	jäädä	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
kaldı	pysyi	kal	pysyä	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
bakanı	ministeri	bakan	ministeri	N;NOM;SG;3	N;NOM;SG
geçti	kulunut	geç	kulua	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
krallık	kuningaskunta	krallık	kuningas#kunta	N;NOM;SG;3	N;NOM;SG
krallık	valtakunta	krallık	valta#kunta	N;NOM;SG;3	N;NOM;SG
doğdu	syntynyt	doğ	syntyä	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
doğdu	syntyi	doğ	syntyä	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
başkanlığı	puheenjohtajuus	başkanlık	puheen#johtajuus	N;NOM;SG;3	N;NOM;SG
başkanlığı	puheenjohtajuus	başkanlık	puheen#johtajuus	N;NOM;SG;3	N;NOM;SG
bakanlığı	ministeriö	bakanlık	ministeriö	N;NOM;SG;3	N;NOM;SG
kurulmuştur	perustettu	kur	perustaa	V;PFV;NFH;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
durumu	status	durum	status	N;NOM;SG;3	N;NOM;SG
durumu	asema	durum	asema	N;NOM;SG;3	N;NOM;SG
durumu	tila	durum	tila	N;NOM;SG;3	N;NOM;SG
durumu	tilanne	durum	tilanne	N;NOM;SG;3	N;NOM;SG
durumu	ehto	durum	ehto	N;NOM;SG;3	N;NOM;SG
durumu	edellytys	durum	edellytys	N;NOM;SG;3	N;NOM;SG
durumu	kunto	durum	kunto	N;NOM;SG;3	N;NOM;SG
kırmızı	punaiset	kırmızı	punainen	ADJ	ADJ;NOM;PL
kırmızı	punainen	kırmızı	punainen	ADJ	ADJ;NOM;SG
kırmızı	punaista	kırmızı	punainen	ADJ	ADJ;PRT;SG
yardım	avustus	yardım	avustus	N;NOM;SG;3	N;NOM;SG
yardım	avustaminen	yardım	avustaminen	N;NOM;SG;3	N;NOM;SG
yardım	apu	yardım	apu	N;NOM;SG;3	N;NOM;SG
yardım	ohje	yardım	ohje	N;NOM;SG;3	N;NOM;SG
oranı	korko	oran	korko	N;NOM;SG;3	N;NOM;SG
oranı	suhde	oran	suhde	N;NOM;SG;3	N;NOM;SG
oranı	suhdeluku	oran	suhdelu	N;NOM;SG;3	N;NOM;SG
şarkıcı	laulaja	şarkıcı	laulaja	N;NOM;SG;3	N;NOM;SG
hafta	viikko	hafta	viikko	N;NOM;SG;3	N;NOM;SG
ekonomik	taloudelliset	ekonomik	taloudellinen	ADJ	ADJ;NOM;PL
ekonomik	taloudellinen	ekonomik	taloudellinen	ADJ	ADJ;NOM;SG
adam	kaveri	adam	kaveri	N;NOM;SG;3	N;NOM;SG
adam	jätkä	adam	jätkää	N;NOM;SG;3	N;NOM;SG
adam	äijä	adam	äijä	N;NOM;SG;3	N;NOM;SG
adam	mies	adam	mies	N;NOM;SG;3	N;NOM;SG
adam	äijä	adam	äijä	N;NOM;SG;3	N;NOM;SG
hizmet	palvelu	hizmet	palvelu	N;NOM;SG;3	N;NOM;SG
düzenlenen	pidetty	düzenle	pitää	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
girdi	syötetty	gir	syöttää	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;PASS
çalışma	opiskella	çalış	opiskella	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;NFIN;ACT
yıllar	vuodet	yıl	vuosi	N;NOM;PL;3	N;NOM;PL
ilan	mainos	ilan	mainos	N;NOM;SG;3	N;NOM;SG
sürekli	jatkuvasti	sürekli	jatkuvasti	ADV	ADV
basketbol	koripallo	basketbol	kori#pallo	N;NOM;SG;3	N;NOM;SG
kullanımı	käyttö	kullanım	käyttö	N;NOM;SG;3	N;NOM;SG
kullanımı	käyttö	kullanım	käyttö	N;NOM;SG;3	N;NOM;SG
kullanımı	käyttö	kullanım	käyttö	N;NOM;SG;3	N;NOM;SG
vardı	oli	var	olla	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
benim	minun	ben	minä	PRO;GEN;SG;1	PRO;GEN;SG;1
belli	varmaa	belli	varma	ADJ	ADJ;PRT;SG
belli	tietty	belli	tietty	ADJ	ADJ;NOM;SG
belli	tiettyjen	belli	tietty	ADJ	ADJ;GEN;PL
belli	tietyt	belli	tietty	ADJ	ADJ;NOM;PL
belli	ilmiselvä	belli	ilmi#selvä	ADJ	ADJ;NOM;SG
belli	ilmeinen	belli	ilmeinen	ADJ	ADJ;NOM;SG
belli	ilmeistä	belli	ilmeinen	ADJ	ADJ;PRT;SG
öldü	kuoli	öl	kuolla	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
öldü	kuollut	öl	kuolla	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
hızlı	nopeampi	hızlı	nopea	ADJ	ADJ;NOM;CMPR;SG
hızlı	nopeaa	hızlı	nopea	ADJ	ADJ;PRT;SG
hızlı	nopea	hızlı	nopea	ADJ	ADJ;NOM;SG
hızlı	nopea	hızlı	nopea	ADJ	ADJ;NOM;SG
oynadı	pelattu	oyna	pelata	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;PASS
oynadı	soitettu	oyna	soittaa	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;PASS
oynadı	pelasi	oyna	pelata	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
oynadı	pelannut	oyna	pelata	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
kiralık	vuokra	kiralık	vuokra	N;NOM;SG;3	N;NOM;SG
kiralık	vuokraus	kiralık	vuokraus	N;NOM;SG;3	N;NOM;SG
kiralık	vuokra	kiralık	vuokra	N;NOM;SG;3	N;NOM;SG
kiralık	vuokraus	kiralık	vuokraus	N;NOM;SG;3	N;NOM;SG
zaten	jo	zaten	jo	ADV	ADV
madalya	mitali	madalya	mitali	N;NOM;SG;3	N;NOM;SG
milletvekili	kongressiedustaja	milletvekili	kongressi#edustaja	N;NOM;SG;3	N;NOM;SG
milletvekili	kongressiedustaja	milletvekili	kongressi#edustaja	N;NOM;SG;3	N;NOM;SG
milletvekili	kansanedustaja	milletvekili	kansan#edustaja	N;NOM;SG;3	N;NOM;SG
sayfası	sivu	sayfa	sivu	N;NOM;SG;3	N;NOM;SG
değişiklik	muutos	değişiklik	muutos	N;NOM;SG;3	N;NOM;SG
maddeler	aineet	madde	aine	N;NOM;PL;3	N;NOM;PL
kulübü	klubi	kulüb	klubi	N;NOM;SG;3	N;NOM;SG
kulübü	club	kulüb	club	N;NOM;SG;3	N;NOM;SG
kulübü	kerho	kulüb	kerho	N;NOM;SG;3	N;NOM;SG
kulübü	seura	kulüb	seura	N;NOM;SG;3	N;NOM;SG
tanımlar	määritelmät	tanım	määritelmä	N;NOM;PL;3	N;NOM;PL
fark	ilmoitus	fark	ilmoitus	N;NOM;SG;3	N;NOM;SG
fark	ero	fark	ero	N;NOM;SG;3	N;NOM;SG
fark	erotus	fark	erotus	N;NOM;SG;3	N;NOM;SG
ilçesi	piiri	ilçe	piiri	N;NOM;SG;3	N;NOM;SG
ilçesi	piirikunta	ilçe	piiri#kunta	N;NOM;SG;3	N;NOM;SG
yayınlanan	julkaistu	yayınla	julkaista	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
yayınlanan	julkaistaan	yayınla	julkaista	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;IND;PRS;FIN;PASS
yayınlanan	julkaistut	yayınla	julkaista	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;PL;V.PTCP;PASS
yalnızca	ainoastaan	yalnızca	ainoastaan	ADV	ADV
yalnızca	vain	yalnızca	vain	ADV	ADV
güncelleme	päivittää	güncelle	päivittää	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;SG;NFIN;ACT
güncelleme	päivitetään	güncelle	päivittää	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;PRS;FIN;PASS
baş	pää	baş	pää	N;NOM;SG;3	N;NOM;SG
yaşam	elämä	yaşam	elämä	N;NOM;SG;3	N;NOM;SG
isim	substantiivi	isim	substantiivi	N;NOM;SG;3	N;NOM;SG
isim	nimi	isim	nimi	N;NOM;SG;3	N;NOM;SG
gece	ilta	gece	ilta	N;NOM;SG;3	N;NOM;SG
gece	yö	gece	yö	N;NOM;SG;3	N;NOM;SG
emin	varma	emin	varma	ADJ	ADJ;NOM;SG
emin	itsevarma	emin	itsevarma	ADJ	ADJ;NOM;SG
emin	luottavainen	emin	luottavainen	ADJ	ADJ;NOM;SG
bilgiler	tiedot	bilgi	tieto	N;NOM;PL;3	N;NOM;PL
bilgiler	tiedot	bilgi	tieto	N;NOM;PL;3	N;NOM;PL
site	sivusto	sit	sivusto	N;NOM;SG;3	N;NOM;SG
site	verkkosivusto	sit	verkko#sivusto	N;NOM;SG;3	N;NOM;SG
site	sivusto	sit	sivusto	N;NOM;SG;3	N;NOM;SG
site	työpöytä	sit	työ#pöytä	N;NOM;SG;3	N;NOM;SG
sınıf	luokka	sınıf	luokka	N;NOM;SG;3	N;NOM;SG
dizisi	sarja	dizi	sarja	N;NOM;SG;3	N;NOM;SG
seçildi	valittu	seç	valita	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
seçildi	valittu	seç	valita	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
seçildi	valittuna	seç	valita	V;PFV;IND;SG;3;POS;PST;PASS	V;FRML;SG;V.PTCP;PASS
seçildi	valittiin	seç	valita	V;PFV;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN;PASS
yapılmış	tehdyt	yap	tehdä	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	V;NOM;PL;V.PTCP;PASS
yapılmış	tehty	yap	tehdä	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
yapılmış	valmistettu	yap	valmistaa	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
yapıldı	tehty	yap	tehdä	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
yapıldı	valmistettu	yap	valmistaa	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
yapıldı	tehty	yap	tehdä	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
park	puisto	park	puisto	N;NOM;SG;3	N;NOM;SG
park	pysäköinti	park	pysäköinti	N;NOM;SG;3	N;NOM;SG
park	parkkipaikka	park	parkki#paikka	N;NOM;SG;3	N;NOM;SG
siyasetçi	poliitikko	siyasetçi	poliitikko	N;NOM;SG;3	N;NOM;SG
edebiyat	kirjallisuus	edebiyat	kirjallisuus	N;NOM;SG;3	N;NOM;SG
edebiyat	kirjallisuus	edebiyat	kirjallisuus	N;NOM;SG;3	N;NOM;SG
haber	uutinen	haber	uutinen	N;NOM;SG;3	N;NOM;SG
annesi	äiti	anne	äiti	N;NOM;SG;3	N;NOM;SG
verildi	annettu	ver	antaa	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
çalıştı	työskennellyt	çalış	työskennellä	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
çalıştı	työskenteli	çalış	työskennellä	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
çalıştı	toiminut	çalış	toimia	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
yönetimi	hallinnointi	yönetim	hallinnointi	N;NOM;SG;3	N;NOM;SG
yönetimi	hallinto	yönetim	hallinto	N;NOM;SG;3	N;NOM;SG
yönetimi	johto	yönetim	johto	N;NOM;SG;3	N;NOM;SG
yönetimi	hallinta	yönetim	hallinta	N;NOM;SG;3	N;NOM;SG
yönetimi	anto	yönetim	anto	N;NOM;SG;3	N;NOM;SG
yönetimi	hallinto	yönetim	hallinto	N;NOM;SG;3	N;NOM;SG
yönetimi	annostelu	yönetim	annostelu	N;NOM;SG;3	N;NOM;SG
bulundu	löydetty	bulun	löytää	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;PASS
bulundu	löytynyt	bulun	löytyä	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
bulundu	löydettiin	bulun	löytää	V;PFV;IND;SG;3;POS;PST	V;IND;PST;FIN;PASS
bulundu	löysi	bulun	löytää	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
bulundu	löyty	bulun	löytyä	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
bulundu	löytyi	bulun	löytyä	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
bazen	joskus	bazen	joskus	ADV	ADV
bazen	toisinaan	bazen	toisinaan	ADV	ADV
doğum	synnytys	doğum	synnytys	N;NOM;SG;3	N;NOM;SG
doğum	synty	doğum	syntyä	N;NOM;SG;3	N;NOM;SG
doğum	syntymä	doğum	syntymä	N;NOM;SG;3	N;NOM;SG
doğum	syntymäpäivä	doğum	syntymä#päivä	N;NOM;SG;3	N;NOM;SG
doğum	äitiys	doğum	äitiys	N;NOM;SG;3	N;NOM;SG
güvenlik	vartiointi	güvenlik	vartiointi	N;NOM;SG;3	N;NOM;SG
güvenlik	turvallisuus	güvenlik	turvallisuus	N;NOM;SG;3	N;NOM;SG
güvenlik	turva	güvenlik	turva	N;NOM;SG;3	N;NOM;SG
güvenlik	turvallisuus	güvenlik	turvallisuus	N;NOM;SG;3	N;NOM;SG
başkenti	pääkaupunki	başkent	pää#kaupunki	N;NOM;SG;3	N;NOM;SG
başkenti	pääoma	başkent	pääoma	N;NOM;SG;3	N;NOM;SG
hala	vielä	hala	vielä	ADV	ADV
hala	vieläkin	hala	vieläkin	ADV	ADV
hala	edelleen	hala	edelleen	ADV	ADV
hala	yhä	hala	yhä	ADV	ADV
camii	moskeija	camii	moskeija	N;NOM;SG;3	N;NOM;SG
derneği	yhdistys	dernek	yhdistys	N;NOM;SG;3	N;NOM;SG
kuruldu	perustettiin	kur	perustaa	V;PFV;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN;PASS
kuruldu	perustettu	kur	perustaa	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
kuruldu	perustettu	kur	perustaa	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
kuruldu	asennettu	kur	asentaa	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
kuruldu	asennettuna	kur	asentaa	V;PFV;IND;SG;3;POS;PST;PASS	V;FRML;SG;V.PTCP;PASS
taşıyan	pitäen	taşı	pitää	V;PFV;IND;POS;PRS;V.PTCP	V;INS;SG;NFIN;ACT
enstitüsü	institute	enstitü	institute	N;NOM;SG;3	N;NOM;SG
enstitüsü	laitos	enstitü	laitos	N;NOM;SG;3	N;NOM;SG
enstitüsü	instituutti	enstitü	instituutti	N;NOM;SG;3	N;NOM;SG
öğretim	ohje	öğretim	ohje	N;NOM;SG;3	N;NOM;SG
öğretim	opettaminen	öğretim	opettaminen	N;NOM;SG;3	N;NOM;SG
öğretim	opetus	öğretim	opetus	N;NOM;SG;3	N;NOM;SG
dikkat	huomio	dikkat	huomio	N;NOM;SG;3	N;NOM;SG
kurulmuş	perustettiin	kur	perustaa	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN;PASS
kurulmuş	perustettu	kur	perustaa	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
kurulmuş	perustettu	kur	perustaa	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
aşk	rakkaus	aşk	rakkaus	N;NOM;SG;3	N;NOM;SG
etkisi	törmäys	etki	törmäys	N;NOM;SG;3	N;NOM;SG
etkisi	vaikutus	etki	vaikutus	N;NOM;SG;3	N;NOM;SG
etkisi	vaikutusvalta	etki	vaikutus#valta	N;NOM;SG;3	N;NOM;SG
etkisi	vaikutus	etki	vaikutus	N;NOM;SG;3	N;NOM;SG
etkisi	vaikutus	etki	vaikutus	N;NOM;SG;3	N;NOM;SG
etkisi	seuraus	etki	seuraus	N;NOM;SG;3	N;NOM;SG
müdürlüğü	osasto	müdürlük	osasto	N;NOM;SG;3	N;NOM;SG
yeşil	vihreä	yeşil	vihreä	ADJ	ADJ;NOM;SG
yeşil	vihreät	yeşil	vihreä	ADJ	ADJ;NOM;PL
yeşil	vihreää	yeşil	vihreä	ADJ	ADJ;PRT;SG
ailesi	suku	aile	suku	N;NOM;SG;3	N;NOM;SG
ailesi	perhe	aile	perhe	N;NOM;SG;3	N;NOM;SG
insanlar	ihmiset	insan	ihminen	N;NOM;PL;3	N;NOM;PL
insanlar	ihmiset	insan	ihminen	N;NOM;PL;3	N;NOM;PL
insanlar	henkilöt	insan	henkilö	N;NOM;PL;3	N;NOM;PL
parçası	osa	parça	osa	N;NOM;SG;3	N;NOM;SG
bilgisayar	tietokone	bilgisayar	tieto#kone	N;NOM;SG;3	N;NOM;SG
sınırları	rajat	sınır	raja	N;NOM;PL;3	N;NOM;PL
sınırları	rajat	sınır	raja	N;NOM;PL;3	N;NOM;PL
sınırları	rajoitukset	sınır	rajoitus	N;NOM;PL;3	N;NOM;PL
sınırları	rajat	sınır	raja	N;NOM;PL;3	N;NOM;PL
parlaklık	luminositeetti	parlaklık	luminositeetti	N;NOM;SG;3	N;NOM;SG
parlaklık	kirkkaus	parlaklık	kirkkaus	N;NOM;SG;3	N;NOM;SG
demokratik	demokraattiset	demokratik	demokraattinen	ADJ	ADJ;NOM;PL
demokratik	demokraattinen	demokratik	demokraattinen	ADJ	ADJ;NOM;SG
sistem	systeemi	sistem	systeemi	N;NOM;SG;3	N;NOM;SG
sistem	järjestelmä	sistem	järjestelmä	N;NOM;SG;3	N;NOM;SG
şimdi	nyt	şimdi	nyt	ADV	ADV
amacı	tarkoitus	amaç	tarkoitus	N;NOM;SG;3	N;NOM;SG
amacı	käyttötarkoitus	amaç	käyttö#tarkoitus	N;NOM;SG;3	N;NOM;SG
özellikleri	piirteet	özellik	piirre	N;NOM;PL;3	N;NOM;PL
özellikleri	ominaispiirteet	özellik	ominainen#piirre	N;NOM;PL;3	N;NOM;PL
özellikleri	ominaisuudet	özellik	ominaisuus	N;NOM;PL;3	N;NOM;PL
özellikleri	attribuutit	özellik	attribuutti	N;NOM;PL;3	N;NOM;PL
özellikleri	ominaisuudet	özellik	ominaisuus	N;NOM;PL;3	N;NOM;PL
özellikleri	piirteet	özellik	piirre	N;NOM;PL;3	N;NOM;PL
özellikleri	ominaisuudet	özellik	ominaisuus	N;NOM;PL;3	N;NOM;PL
özellikleri	kiinteistöt	özellik	kiinteistö	N;NOM;PL;3	N;NOM;PL
özellikleri	ominaisuudet	özellik	ominaisuus	N;NOM;PL;3	N;NOM;PL
kişilik	persoonallisuus	kişilik	persoonallisuus	N;NOM;SG;3	N;NOM;SG
kişilik	luonne	kişilik	luonne	N;NOM;SG;3	N;NOM;SG
kişilik	persoona	kişilik	persoona	N;NOM;SG;3	N;NOM;SG
boş	tyhjä	boş	tyhjä	ADJ	ADJ;NOM;SG
boş	tyhjä	boş	tyhjä	ADJ	ADJ;NOM;SG
kullanarak	käyttää	kullan	käyttää	V;PFV;IND;POS;PRS;V.CVB	V;IND;SG;PRS;FIN;ACT
kullanarak	käyttäen	kullan	käyttää	V;PFV;IND;POS;PRS;V.CVB	V;INS;SG;NFIN;ACT
kullanarak	käyttämällä	kullan	käyttää	V;PFV;IND;POS;PRS;V.CVB	V;AT+ESS
;SG;NFIN;ACT
adası	island	ada	island	N;NOM;SG;3	N;NOM;SG
adası	saari	ada	saari	N;NOM;SG;3	N;NOM;SG
adası	saari	ada	saari	N;NOM;SG;3	N;NOM;SG
kim	kuka	kim	kuka	PRO;NOM;SG;3	PRO;NOM;SG
kim	joka	kim	joka	PRO;NOM;SG;3	PRO;NOM;SG
alınan	vastaanotettu	al	vastaanottaa	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
alınan	saadut	al	saada	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;PL;V.PTCP;PASS
alınan	saatu	al	saada	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
alınan	viety	al	viedä	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
alınan	otettu	al	ottaa	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;NOM;SG;V.PTCP;PASS
federasyonu	federaatio	federasyon	federaatio	N;NOM;SG;3	N;NOM;SG
federasyonu	liitto	federasyon	liitto	N;NOM;SG;3	N;NOM;SG
federasyonu	liittovaltio	federasyon	liitto#valtio	N;NOM;SG;3	N;NOM;SG
uyum	noudattaminen	uyum	noudattaminen	N;NOM;SG;3	N;NOM;SG
uyum	harmony	uyum	harmoa	N;NOM;SG;3	N;NOM;SG
öncesi	pre	önce	pre	N;NOM;SG;3	N;NOM;SG
resimleri	kuvat	resim	kuva	N;NOM;PL;3	N;NOM;PL
yapısı	rakenne	yapı	rakenne	N;NOM;SG;3	N;NOM;SG
iletişim	viestintä	iletiş	viestin	N;NOM;SG;3	N;NOM;SG
iletişim	tiedonanto	iletiş	tiedon#anto	N;NOM;SG;3	N;NOM;SG
iletişim	yhteyshenkilö	iletiş	yhteys#henkilö	N;NOM;SG;3	N;NOM;SG
iletişim	viestintä	iletiş	viestin	N;NOM;SG;3	N;NOM;SG
iletişim	tietoliikenne	iletiş	tieto#liikenne	N;NOM;SG;3	N;NOM;SG
attı	heitti	at	heittää	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN;ACT
öğrenci	kadetti	öğrenci	kadetti	N;NOM;SG;3	N;NOM;SG
öğrenci	opiskelija	öğrenci	opiskelija	N;NOM;SG;3	N;NOM;SG
öğrenci	ylioppilas	öğrenci	yli#oppilas	N;NOM;SG;3	N;NOM;SG
öğrenci	oppilas	öğrenci	oppilas	N;NOM;SG;3	N;NOM;SG
üyeleri	jäsenet	üye	jäsen	N;NOM;PL;3	N;NOM;PL
kolay	helppo	kolay	helppo	ADJ	ADJ;NOM;SG
kolay	helppoa	kolay	helppo	ADJ	ADJ;PRT;SG
yayınlandı	julkaistu	yayınla	julkaista	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
onların	heidän	o	hän	PRO;GEN;PL;3	PRO;GEN;PL;3
baba	faija	baba	faija	N;NOM;SG;3	N;NOM;SG
baba	isä	baba	isä	N;NOM;SG;3	N;NOM;SG
baba	isä	baba	isä	N;NOM;SG;3	N;NOM;SG
baba	isä	baba	isä	N;NOM;SG;3	N;NOM;SG
sonuçlar	tulokset	sonuç	tulos	N;NOM;PL;3	N;NOM;PL
sonuçlar	seuraukset	sonuç	seuraus	N;NOM;PL;3	N;NOM;PL
sonuçlar	seuraamukset	sonuç	seuraamus	N;NOM;PL;3	N;NOM;PL
sonuçlar	päätelmät	sonuç	päätelmä	N;NOM;PL;3	N;NOM;PL
sonuçlar	johtopäätökset	sonuç	johto#päätös	N;NOM;PL;3	N;NOM;PL
soğuk	kylmempää	soğuk	kylmä	ADJ	ADJ;PRT;CMPR;SG
soğuk	viileä	soğuk	viileä	ADJ	ADJ;NOM;SG
soğuk	viileää	soğuk	viileä	ADJ	ADJ;PRT;SG
soğuk	kylmä	soğuk	kylmä	ADJ	ADJ;NOM;SG
soğuk	kylmää	soğuk	kylmä	ADJ	ADJ;PRT;SG
kültürel	kulttuurinen	kültürel	kulttuurinen	ADJ	ADJ;NOM;SG
kurdu	susi	kurt	susi	N;NOM;SG;3	N;NOM;SG
birisi	joku	biri	joku	PRO;NOM;SG;3	PRO;NOM;SG
birisi	joku	biri	joku	PRO;NOM;SG;3	PRO;NOM;SG
projesi	projekti	proje	projekti	N;NOM;SG;3	N;NOM;SG
projesi	hanke	proje	hanke	N;NOM;SG;3	N;NOM;SG
nedeni	motiivi	neden	motiivi	N;NOM;SG;3	N;NOM;SG
nedeni	järki	neden	järki	N;NOM;SG;3	N;NOM;SG
nedeni	syy	neden	syy	N;NOM;SG;3	N;NOM;SG
nedeni	syy	neden	syy	N;NOM;SG;3	N;NOM;SG
kararı	päätös	karar	päätös	N;NOM;SG;3	N;NOM;SG
kişiler	henkilöt	kişi	henkilö	N;NOM;PL;3	N;NOM;PL
kişiler	ihmiset	kişi	ihminen	N;NOM;PL;3	N;NOM;PL
kişiler	henkilöt	kişi	henkilö	N;NOM;PL;3	N;NOM;PL
kişiler	yhteystiedot	kişi	yhteys#tieto	N;NOM;PL;3	N;NOM;PL
uydu	satelliitti	uy	satelliitti	N;NOM;SG;3	N;NOM;SG
basit	yksinkertaiset	basit	yksinkertainen	ADJ	ADJ;NOM;PL
basit	yksinkertaista	basit	yksinkertainen	ADJ	ADJ;PRT;SG
basit	yksinkertainen	basit	yksin#kertainen	ADJ	ADJ;NOM;SG
kaynaklar	lähteet	kaynak	lähteä	N;NOM;PL;3	N;NOM;PL
kaynaklar	varat	kaynak	vara	N;NOM;PL;3	N;NOM;PL
kaynaklar	voimavarat	kaynak	voima#vara	N;NOM;PL;3	N;NOM;PL
kaynaklar	resurssit	kaynak	resurssi	N;NOM;PL;3	N;NOM;PL
cumhurbaşkanı	puhemies	cumhurbaşkanı	puhe#mies	N;NOM;SG;3	N;NOM;SG
cumhurbaşkanı	presidentti	cumhurbaşkanı	presidentti	N;NOM;SG;3	N;NOM;SG
cumhurbaşkanı	puheenjohtaja	cumhurbaşkanı	puheen#johtaja	N;NOM;SG;3	N;NOM;SG
tanımlamak	määritellään	tanımla	määritellä	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IND;PRS;FIN;PASS
alındı	vastaanotettu	al	vastaanottaa	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
alındı	saatu	al	saada	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
alındı	vietiin	al	viedä	V;PFV;IND;SG;3;POS;PST;PASS	V;IND;PST;FIN;PASS
alındı	viety	al	viedä	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
alındı	otettu	al	ottaa	V;PFV;IND;SG;3;POS;PST;PASS	V;NOM;SG;V.PTCP;PASS
gitti	mennyt	git	mennä	V;PFV;IND;SG;3;POS;PST	V;NOM;SG;V.PTCP;ACT
boyu	pituus	boy	pituus	N;NOM;SG;3	N;NOM;SG
boyu	korkeus	boy	korkeus	N;NOM;SG;3	N;NOM;SG
boyu	pituus	boy	pituus	N;NOM;SG;3	N;NOM;SG
belki	ehkä	belki	ehkä	ADV	ADV
belki	ehkäpä	belki	ehkäpä	ADV	ADV
belki	ehkä	belki	ehkä	ADV	ADV
