से	vom	से	vom		
निर्णय	beschlüsse	निर्णय	beschlüssen	N;NOM;MASC;SG;3	N;NOM;SG
मिला	gefunden	मिल	finden	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
मिला	fand	मिल	finden	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
प्रारंभिक	anfängliche	प्रारंभिक	anfänglich	ADJ;NOM	ADJ;NOM;FEM;PL
प्रारंभिक	initialen	प्रारंभिक	initial	ADJ;NOM	ADJ
प्रारंभिक	vorläufige	प्रारंभिक	vorläufig	ADJ;NOM	ADJ;NOM;FEM;PL
प्रारंभिक	vorläufig	प्रारंभिक	vorläufig	ADJ;NOM	ADJ
प्रारंभिक	vorläufigen	प्रारंभिक	vorläufig	ADJ;NOM	ADJ
मुक्त	frei	मुक्त	frei	ADJ	ADJ
मुक्त	kostenlose	मुक्त	kostenlos	ADJ	ADJ;NOM;FEM;PL
मुक्त	kostenlos	मुक्त	kostenlos	ADJ	ADJ
मुक्त	freien	मुक्त	frei	ADJ	ADJ;NOM;PL
परन्तु	but	परन्तु	bun		
मनुष्य	mensch	मनुष्य	mensch	N;NOM;MASC;SG;3	N;SG
मनुष्य	mensch	मनुष्य	mensch	N;NOM;MASC;SG;3	N;SG
उपकरण	geräte	उपकरण	geräten	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
उपकरण	ausstattung	उपकरण	ausstattung	N;NOM;MASC;PL;3	N
उपकरण	geräte	उपकरण	geräten	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
उपकरण	geräte	उपकरण	geräten	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
उपकरण	werkzeuge	उपकरण	werkzeugen	N;NOM;MASC;PL;3	N;NOM;PL
उपन्यास	roman	उपन्यास	roman	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ऑफिस	geschäftsstelle	ऑफिस	geschäftsstelle	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ऑफिस	amt	ऑफिस	amt	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
बदलाव	veränderung	बदलाव	veränderung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बदलाव	änderung	बदलाव	änderung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
गांव	dorf	गाँव	dorf	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
वापस	rückseite	वापस	rückseite	ADJ	ADJ
देखने	ansehen	देख	ansehen	V;ACC;NFIN;ACT	V;NFIN
नया	neuer	नया	neu	ADJ;NOM;MASC;SG	ADJ
नया	neu	नया	neu	ADJ;NOM;MASC;SG	ADJ
नया	neues	नया	neu	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
नया	neuer	नया	neu	ADJ;NOM;MASC;SG	ADJ
नया	neuerer	नया	neu	ADJ;NOM;MASC;SG	ADJ
नया	neueren	नया	neu	ADJ;NOM;MASC;SG	ADJ
पर्वत	gebirge	पर्वत	gebirge	N;NOM;MASC;SG;3	N
समुदाय	gemeinde	समुदाय	gemeinde	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मान	werten	मान	werten	V;SG;FIN;ACT	V;NFIN
स्वतंत्र	selbständig	स्वतंत्र	selbständig	ADJ;NOM	ADJ
स्वतंत्र	unabhängige	स्वतंत्र	unabhängig	ADJ;NOM	ADJ;NOM;FEM;PL
स्वतंत्र	selbständige	स्वतंत्र	selbständig	ADJ;NOM	ADJ;NOM;FEM;PL
स्वतंत्र	unabhängig	स्वतंत्र	unabhängig	ADJ;NOM	ADJ
स्वतंत्र	unabhängigen	स्वतंत्र	unabhängig	ADJ;NOM	ADJ
चला	ausführen	चल	ausführen	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
चला	laufen	चल	laufen	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
कथा	erzählung	कथा	erzählung	N;NOM;FEM;SG;3	N;FEM;SG
पक्ष	seite	पक्ष	seit	N;NOM;MASC;SG;3	N
दृश्य	szene	दृश्य	szen	N;NOM;MASC;SG;3	N;SG
दृश्य	ansicht	दृश्य	ansechen	N;NOM;MASC;SG;3	N
भोजन	küche	भोजन	küchen	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भोजन	nahrung	भोजन	nahrung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
भोजन	mahlzeit	भोजन	mahlzeit	N;NOM;MASC;SG;3	N;FEM;SG
प्रकाशन	publikation	प्रकाशन	publikation	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पांच	fünf	पांच	fünf	NUM	NUM
विधानसभा	montage	विधानसभा	montag	N;NOM;FEM;SG;3	N;NOM;SG
विधानसभा	versammlung	विधानसभा	versammlung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सक्रिय	eingeschaltet	सक्रिय	einschalten	ADJ	ADJ;V.PTCP
सक्रिय	eingeschaltet	सक्रिय	einschalten	ADJ	ADJ;V.PTCP
सक्रिय	aktiviert	सक्रिय	aktivieren	ADJ	ADJ;V.PTCP
सक्रिय	adjektiv	सक्रिय	adjektiv	ADJ	ADJ
सक्रिय	aktive	सक्रिय	aktiv	ADJ	ADJ;NOM;FEM;PL
सक्रिय	aktiven	सक्रिय	aktiv	ADJ	ADJ
सक्रिय	aktiv	सक्रिय	aktiv	ADJ	ADJ
सक्रिय	aktiver	सक्रिय	aktiv	ADJ	ADJ
आया	gekommen	आ	kommen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
आया	kam	आ	kommen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
निश्चित	gewisse	निश्चित	gewiß	ADJ;NOM	ADJ;NOM;FEM;PL
निश्चित	bestimmte	निश्चित	bestimmt	ADJ;NOM	ADJ;NOM;FEM;PL
निश्चित	klar	निश्चित	klar	ADJ;NOM	ADJ
निश्चित	sicher	निश्चित	sicher	ADJ;NOM	ADJ
छोड़	überspringen	छोड	überspringen	V;ACT	V;NFIN
छोड़	auslassen	छोड	auslassen	V;ACT	V;NFIN
छोड़	übersprungen	छोड	überspringen	V;ACT	V;V.PTCP
छोड़	verlassen	छोड	verlassen	V;ACT	V;NFIN
छोड़	hinterlassen	छोड	hinterlassen	V;ACT	V;V.PTCP
छोड़	weggehen	छोड	weggehen	V;ACT	V;NFIN
सम्मानित	geehrte	सम्मानित	geehrt	ADJ	ADJ
सम्मानित	wohlwollend	सम्मानित	wohlwollend	ADJ	ADJ
स्वरूप	dateiformat	स्वरूप	dateiformat	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
स्वरूप	format	स्वरूप	format	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
जीत	sieg	जीत	seigen	N;NOM;FEM;SG;3	N;NOM;SG
जीत	gewinn	जीत	gewinn	N;NOM;FEM;SG;3	N
अध्यक्ष	sprecher	अध्यक्ष	sprecher	N;NOM;MASC;SG;3	N
मामले	fälle	मामला	fallen	N;NOM;MASC;PL;3	N;NOM;MASC;PL
मामले	fallbeispiele	मामला	fallbeispiele	N;NOM;MASC;PL;3	N;NOM;PL
बाजार	märkte	बाजार	märken	N;NOM;MASC;SG;3	N;SG
लीग	liga	लीग	liga	N;NOM;FEM;SG;3	N;NOM;FEM;SG
वास्तविक	echte	वास्तविक	echt	ADJ;NOM	ADJ;NOM;FEM;PL
वास्तविक	real	वास्तविक	real	ADJ;NOM	ADJ
वास्तविक	realen	वास्तविक	real	ADJ;NOM	ADJ;SG
वास्तविक	reale	वास्तविक	real	ADJ;NOM	ADJ;NOM;FEM;PL
वास्तविक	echten	वास्तविक	echt	ADJ;NOM	ADJ;MASC;SG
वास्तविक	tatsächlich	वास्तविक	tatsächlich	ADJ;NOM	ADJ
वास्तविक	tatsächlicher	वास्तविक	tatsächlich	ADJ;NOM	ADJ
वास्तविक	tatsächlichen	वास्तविक	tatsächlich	ADJ;NOM	ADJ
वास्तविक	tatsächliche	वास्तविक	tatsächlich	ADJ;NOM	ADJ;NOM;FEM;PL
वास्तविक	echte	वास्तविक	echt	ADJ;NOM	ADJ;NOM;FEM;PL
वास्तविक	echt	वास्तविक	echt	ADJ;NOM	ADJ
वास्तविक	echtes	वास्तविक	echt	ADJ;NOM	ADJ;NOM;NEUT;SG
वास्तविक	echten	वास्तविक	echt	ADJ;NOM	ADJ;MASC;SG
उत्पाद	produkt	उत्पाद	produkt	N;NOM;MASC;SG;3	N
उत्पाद	produkt	उत्पाद	produkt	N;NOM;MASC;SG;3	N
सात	sieben	सात	sieben	NUM	NUM
योग्य	qualifizierter	योग्य	qualifiziert	ADJ	ADJ
योग्य	qualifiziert	योग्य	qualifizieren	ADJ	ADJ;V.PTCP
योग्य	berechtigt	योग्य	berechtigen	ADJ	ADJ
प्रारंभ	inbetriebnahme	प्रारंभ	inbetriebnahme	N;NOM;MASC;SG;3	N;NOM;FEM;SG
समस्या	problemstellung	समस्या	problemstellung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
समस्या	problem	समस्या	probel	N;NOM;FEM;SG;3	N;NOM;SG
समस्या	ausgabe	समस्या	ausgeben	N;NOM;FEM;SG;3	N;NOM;FEM;SG
समस्या	thema	समस्या	thema	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
वीडियो	video	वीडियो	video	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
वीडियो	video	वीडियो	video	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
वन	wälder	वन	wald		
संभव	möglichen	संभव	möglich	ADJ	ADJ
संभव	möglicher	संभव	möglich	ADJ	ADJ
संभव	mögliche	संभव	möglich	ADJ	ADJ;NOM;FEM;PL
संभव	möglich	संभव	möglich	ADJ	ADJ
क्लब	club	क्लब	club	N;NOM;MASC;SG;3	N;NOM
क्लब	klub	क्लब	klub	N;NOM;MASC;SG;3	N;NOM;MASC;SG
समिति	ausschuss	समिति	ausschassen	N;NOM;FEM;SG;3	N
समिति	ausschuß	समिति	ausscheßen	N;NOM;FEM;SG;3	N;SG
सर्वाधिक	meisten	सर्वाधिक	meist	ADJ;NOM	ADJ;NOM;INDF;PL
चरण	bühne	चरण	bühnen	N;NOM;MASC;SG;3	N;FEM;SG
चरण	etappe	चरण	etapp	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विरोध	protest	विरोध	protest	N;NOM;MASC;SG;3	N
विरोध	protest	विरोध	protest	N;NOM;MASC;SG;3	N
विरोध	einspruch	विरोध	einspruch	N;NOM;MASC;SG;3	N
विरोध	widerspruch	विरोध	widerspruchen	N;NOM;MASC;SG;3	N
विरोध	einspruch	विरोध	einspruch	N;NOM;MASC;SG;3	N
विरोध	opposition	विरोध	opposition	N;NOM;MASC;SG;3	N;NOM;SG
विरोध	ablehnung	विरोध	ablehnung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नेतृत्व	führung	नेतृत्व	führung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अंतर	abstand	अंतर	abstehen		
अंतर	kluft	अंतर	klufen		
अंतर	lücke	अंतर	lücken		
संरचना	gliederung	संरचना	gliederung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सीमित	beschränkt	सीमित	beschränken	ADJ	ADJ;V.PTCP
सीमित	begrenzte	सीमित	begrenzt	ADJ	ADJ;SG
सीमित	eingeschränkt	सीमित	einschränken	ADJ	ADJ
सीमित	begrenzt	सीमित	begrenzen	ADJ	ADJ
सीमित	schmalen	सीमित	schmal	ADJ	ADJ
सीमित	eng	सीमित	eng	ADJ	ADJ
सीमित	schmale	सीमित	schmal	ADJ	ADJ;NOM;FEM;PL
सीमित	enge	सीमित	eng	ADJ	ADJ;NOM;FEM;SG
सीमित	engen	सीमित	eng	ADJ	ADJ
सीमित	schmal	सीमित	schmal	ADJ	ADJ
छोटा	kleines	छोटा	klein	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
छोटा	kleiner	छोटा	klein	ADJ;NOM;MASC;SG	ADJ
छोटा	klein	छोटा	klein	ADJ;NOM;MASC;SG	ADJ
छोटा	kleiner	छोटा	klein	ADJ;NOM;MASC;SG	ADJ
छोटा	klein	छोटा	klein	ADJ;NOM;MASC;SG	ADJ
छोटा	kurzer	छोटा	kurz	ADJ;NOM;MASC;SG	ADJ
छोटा	kurz	छोटा	kurz	ADJ;NOM;MASC;SG	ADJ
छोटा	klein	छोटा	klein	ADJ;NOM;MASC;SG	ADJ
छोटा	winzig	छोटा	winzig	ADJ;NOM;MASC;SG	ADJ
संपादन	bearbeitung	संपादन	bearbeitung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संपादन	bearbeitung	संपादन	bearbeitung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संपादन	redaktion	संपादन	redaktion	N;NOM;MASC;SG;3	N;SG
संपादन	redaktion	संपादन	redaktion	N;NOM;MASC;SG;3	N;SG
रक्षा	verteidigung	रक्षा	verteidigung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रक्षा	abwehr	रक्षा	abwehr	N;NOM;FEM;SG;3	N;SG
रक्षा	selbstverteidigung	रक्षा	selbstverteidigung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रक्षा	verteidigung	रक्षा	verteidigung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रक्षा	abwehr	रक्षा	abwehr	N;NOM;FEM;SG;3	N;SG
विपरीत	umkehr	विपरीत	umkehr		
प्रतियोगिता	wettkampf	प्रतियोगिता	wettkampf	N;NOM;FEM;SG;3	N
प्रतियोगिता	wettkampf	प्रतियोगिता	wettkampf	N;NOM;FEM;SG;3	N
प्रतियोगिता	gewinnspiel	प्रतियोगिता	gewinnspiel	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
विद्युत	strom	विद्युत	strom	N;NOM;FEM;SG;3	N;NOM;MASC;SG
विद्युत	stromversorgung	विद्युत	stromversorgung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
वायु	luft	वायु	lüfen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
निर्भर	abhängig	निर्भर	abhängig	ADJ	ADJ
निर्भर	abhängigen	निर्भर	abhängig	ADJ	ADJ
निर्भर	abhängige	निर्भर	abhängig	ADJ	ADJ;NOM;FEM;PL
निर्भर	kontingente	निर्भर	kontingent	ADJ	ADJ;NOM;FEM;PL
निर्भर	kontingent	निर्भर	kontingent	ADJ	ADJ
अधिनियम	gesetz	अधिनियम	gesetz	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
लिखे	schreiben	लिख	schreiben	V;PFV;MASC;PL;V.PTCP;ACT	V;NFIN
लिखे	verfassen	लिख	verfassen	V;PFV;MASC;PL;V.PTCP;ACT	V;NFIN
आंदोलन	agitation	आंदोलन	agitation	N;NOM;MASC;SG;3	N;SG
आंदोलन	unruhe	आंदोलन	unruh	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रासायनिक	chemie	रासायनिक	chemie	N;NOM;MASC;SG;3	N;NOM;FEM
चलता	wanderungen	चल	wanderung	V;IPFV;MASC;SG;V.PTCP;ACT	V;NFIN
बच्चे	kinder	बच्चा	kinder	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
बच्चे	kindern	बच्चा	kindern	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
भारी	schwerer	भारी	schwer	ADJ;NOM	ADJ
भारी	schwer	भारी	schwer	ADJ;NOM	ADJ
भारी	schweren	भारी	schwer	ADJ;NOM	ADJ;SG
भारी	schwere	भारी	schwer	ADJ;NOM	ADJ;NOM;FEM;PL
पत्नी	ehefrau	पत्नी	ehefrau	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पत्नी	frau	पत्नी	frau	N;NOM;FEM;SG;3	N;NOM;FEM;SG
उचित	gerecht	उचित	rechen	ADJ;NOM	ADJ
उचित	fair	उचित	fair	ADJ;NOM	ADJ
उचित	jahrmarkt	उचित	jahrmarkt	ADJ;NOM	ADJ
उचित	angemessene	उचित	angemessen	ADJ;NOM	ADJ;NOM;FEM;PL
उचित	geeignet	उचित	geeignet	ADJ;NOM	ADJ
उचित	angemessen	उचित	angemessen	ADJ;NOM	ADJ
उचित	angemessener	उचित	angemessen	ADJ;NOM	ADJ
उचित	geeignete	उचित	geeignet	ADJ;NOM	ADJ;NOM;FEM;PL
उचित	angemessenen	उचित	angemessen	ADJ;NOM	ADJ
उचित	vernünftigen	उचित	vernünftigen	ADJ;NOM	ADJ
उचित	vernünftiger	उचित	vernünftiger	ADJ;NOM	ADJ
उचित	vernünftig	उचित	vernünftig	ADJ;NOM	ADJ
उचित	angemessen	उचित	angemessen	ADJ;NOM	ADJ
उचित	ordnungsgemäße	उचित	ordnungsgemäß	ADJ;NOM	ADJ;NOM;FEM;PL
उचित	ordnungsgemäß	उचित	ordnungsgemäß	ADJ;NOM	ADJ
रात	nacht	रात	nacht	N;NOM;FEM;SG;3	N
विदेशी	ausland	विदेशी	auslinden	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
विदेशी	ausland	विदेशी	auslinden	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
कोशिश	versuche	कोशिश	versuchen	N;NOM;FEM;SG;3	N;NOM;SG
जीव	wesen	जीव	wesen	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
जीव	organismus	जीव	organismus	N;NOM;MASC;SG;3	N;NOM;MASC;SG
झील	stausee	झील	stausen	N;NOM;FEM;SG;3	N;SG
ना	naa	ना	naa		
सुविधा	funktion	सुविधा	Funktion	N;NOM;FEM;SG;3	N;SG
सुविधा	nützlichkeit	सुविधा	nützlichkeit	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सुविधा	werkzeug	सुविधा	werkzeug	N;NOM;FEM;SG;3	N;NOM;SG
पिछले	früheren	पिछला	früh	ADJ;ACC;MASC;PL	ADJ
पिछले	vorheriger	पिछला	vorherig	ADJ;ACC;MASC;PL	ADJ
प्रशिक्षण	ausbildung	प्रशिक्षण	ausbildung	N;NOM;MASC;SG;3	N;FEM;SG
प्रशिक्षण	schulung	प्रशिक्षण	schulung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रशिक्षण	fortbildung	प्रशिक्षण	fortbildung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उल्लेखनीय	bemerkenswerten	उल्लेखनीय	bemerkenswert	ADJ	ADJ
उल्लेखनीय	bemerkenswerte	उल्लेखनीय	bemerkenswert	ADJ	ADJ;NOM;FEM;PL
उल्लेखनीय	bemerkenswert	उल्लेखनीय	bemerkenswert	ADJ	ADJ
उल्लेखनीय	bemerkenswertes	उल्लेखनीय	bemerkenswertes	ADJ	ADJ;NOM;NEUT;SG
उल्लेखनीय	auffallend	उल्लेखनीय	auffallend	ADJ	ADJ
डिजाइन	entwurf	डिजाइन	entwerfen	N;NOM;MASC;SG;3	N
डिजाइन	gestaltung	डिजाइन	gestaltung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
डिजाइन	konstruktion	डिजाइन	konstruktion	N;NOM;MASC;SG;3	N;SG
डिजाइन	design	डिजाइन	design	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
कंप्यूटर	datenverarbeitung	कंप्यूटर	datenverarbeitung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दस	zehn	दस	zehn	NUM	NUM
सहयोग	kooperation	सहयोग	kooperation	N;NOM;MASC;SG;3	N;SG
सहयोग	mitarbeit	सहयोग	mitarbeit	N;NOM;MASC;SG;3	N;NOM;SG
सहयोग	kooperation	सहयोग	kooperation	N;NOM;MASC;SG;3	N;SG
सहयोग	mitarbeit	सहयोग	mitarbeit	N;NOM;MASC;SG;3	N;NOM;SG
सहयोग	kooperation	सहयोग	kooperation	N;NOM;MASC;SG;3	N;SG
विश्लेषण	aufschlüsselung	विश्लेषण	aufschlüsselung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्लेषण	gliederung	विश्लेषण	gliederung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्लेषण	aufschlüsselung	विश्लेषण	aufschlüsselung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्लेषण	auswertung	विश्लेषण	auswertung	N;NOM;MASC;SG;3	N;FEM;SG
विश्लेषण	analyse	विश्लेषण	analyse	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विश्लेषण	analyse	विश्लेषण	analyse	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लक्ष्य	ziel	लक्ष्य	ziel	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
लक्ष्य	ziel	लक्ष्य	ziel	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
लक्ष्य	ziel	लक्ष्य	ziel	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
न्यायालय	gericht	न्यायालय	ringen	N;NOM;MASC;SG;3	N;NOM;SG
पार्क	naturparks	पार्क	naturparks	N;NOM;MASC;SG;3	N;NOM
अधिकारी	beamte	अधिकारी	beamt	N;NOM;MASC;PL;3	N;NOM;FEM;PL
अधिकारी	polizisten	अधिकारी	polizist	N;NOM;MASC;PL;3	N;PL
तंत्र	system	तंत्र	system	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
निकट	demnächst	निकट	demnächst	ADV;NOM;MASC;SG;3	ADV
क्रम	ordnung	क्रम	ordnung	N;NOM;MASC;SG;3	N
क्रम	auftrag	क्रम	auftragen	N;NOM;MASC;SG;3	N;MASC;SG
क्रम	bestellung	क्रम	bestellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्रम	folge	क्रम	folge	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मिली	gefunden	मिल	finden	V;PFV;FEM;SG;V.PTCP;ACT	V;V.PTCP
मिली	fand	मिल	finden	V;PFV;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
शायद	möglicherweise	शायद	möglicherweise	ADV	ADV
शायद	eventuell	शायद	eventuell	ADV	ADV
शायद	vielleicht	शायद	vielleicht	ADV	ADV
शायद	möglicherweise	शायद	möglicherweise	ADV	ADV
शायद	eventuell	शायद	eventuell	ADV	ADV
शायद	vielleicht	शायद	vielleicht	ADV	ADV
शायद	wohl	शायद	wohl	ADV	ADV
देख	sehen	देख	sehen	V;ACT	V;NFIN
देख	siehe	देख	sehen	V;ACT	V;IMP;SG;FIN
देख	ansehen	देख	ansehen	V;ACT	V;NFIN
लिंक	link	लिंक	link	N;NOM;MASC;SG;3	N;SG
लिंक	verknüpfung	लिंक	verknüpfang	N;NOM;MASC;SG;3	N;SG
पाँच	fünf	पाँच	fünf	NUM	NUM
लक्षण	symptome	लक्षण	symptom	N;NOM;MASC;SG;3	N;SG
लक्षण	symptome	लक्षण	symptom	N;NOM;MASC;SG;3	N;SG
संपर्क	kontakt	संपर्क	kontakt	N;NOM;MASC;SG;3	N;NOM;SG
संपर्क	kontakt	संपर्क	kontakt	N;NOM;MASC;SG;3	N;NOM;SG
वित्तीय	finanziell	वित्तीय	finanziell	ADJ;NOM	ADJ
वित्तीय	finanzielle	वित्तीय	finanziell	ADJ;NOM	ADJ;NOM;FEM;PL
वित्तीय	finanziellen	वित्तीय	finanziell	ADJ;NOM	ADJ
सुरक्षित	geschützter	सुरक्षित	geschützter	ADJ	ADJ
सुरक्षित	geschützte	सुरक्षित	geschützt	ADJ	ADJ;NOM;FEM;SG
सुरक्षित	geschützt	सुरक्षित	schützen	ADJ	ADJ;V.PTCP
सुरक्षित	sichere	सुरक्षित	sicher	ADJ	ADJ;NOM;FEM;PL
सुरक्षित	sicher	सुरक्षित	sicher	ADJ	ADJ
सुरक्षित	reservierte	सुरक्षित	reserviert	ADJ	ADJ;SG
सुरक्षित	reserviert	सुरक्षित	reservieren	ADJ	ADJ;V.PTCP
सुरक्षित	sichere	सुरक्षित	sicher	ADJ	ADJ;NOM;FEM;PL
सुरक्षित	sicher	सुरक्षित	sicher	ADJ	ADJ
पर्यावरण	umwelt	पर्यावरण	umwelt	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पर्यावरण	umgebung	पर्यावरण	Umgebung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लगातार	aufeinander	लगातार	aufeinander	ADV	ADV
भूगोल	welt	भूगोल	welt	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बेहतर	besser	बेहतर	gut	ADJ	ADJ
बेहतर	besseren	बेहतर	gut	ADJ	ADJ
बेहतर	bessere	बेहतर	gut	ADJ	ADJ;NOM;FEM;PL
मुख्यालय	sitz	मुख्यालय	sitz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मुख्यालय	sitz	मुख्यालय	sitz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लिपि	drehbuch	लिपि	drehbuch	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
लिपि	skript	लिपि	skripten	N;NOM;FEM;SG;3	N;NOM;SG
एल्बम	albums	एल्बम	albums	N;NOM;MASC;SG;3	N;NOM;SG
धन	geld	धन	geld	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
योग	summe	योग	summen		
योग	sum	योग	sum		
योग	yoga	योग	yoga		
योग	summen	योग	summen		
योग	gesamt	योग	gesamt		
औद्योगिक	industrielle	औद्योगिक	industriell	ADJ;NOM	ADJ;NOM;FEM;PL
औद्योगिक	industriellen	औद्योगिक	industriell	ADJ;NOM	ADJ;PL
औद्योगिक	industriell	औद्योगिक	industriell	ADJ;NOM	ADJ
प्रधान	chef	प्रधान	chef	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संविधान	verfassung	संविधान	verfassung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अनुमान	schätzung	अनुमान	schätzung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अवसर	chance	अवसर	chance	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अंक	punktzahl	अंक	punktzahl	N;NOM;MASC;SG;3	N
अंक	filmmusik	अंक	filmmusik	N;NOM;MASC;SG;3	N
अंक	punktzahl	अंक	punktzahl	N;NOM;MASC;SG;3	N
शोध	forschung	शोध	forschung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
हमेशा	stets	हमेशा	stets	ADV	ADV
हमेशा	immer	हमेशा	immer	ADV	ADV
जोखिम	gefährdung	जोखिम	gefährdung	N;NOM;MASC;SG;3	N;FEM;SG
जोखिम	gefährdung	जोखिम	gefährdung	N;NOM;MASC;SG;3	N;FEM;SG
संदर्भ	zusammenhang	संदर्भ	zusammenhang	N;NOM;MASC;SG;3	N
प्राथमिक	grundschule	प्राथमिक	grundschule	N;NOM	N;NOM;FEM;SG
बजाय	anstatt	बजाय	anstatt		
निधन	todesstrafe	निधन	todesstraf	N;NOM;MASC;SG;3	N;NOM;FEM;SG
निधन	niedergang	निधन	niedergang	N;NOM;MASC;SG;3	N
निधन	untergang	निधन	untergehen	N;NOM;MASC;SG;3	N
व्यवसाय	beruf	व्यवसाय	beruf	N;NOM;MASC;SG;3	N;SG
व्यवसाय	geschäft	व्यवसाय	schäfen	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
संरक्षण	erhaltung	संरक्षण	erhaltung	N;NOM;MASC;SG;3	N;SG
संरक्षण	konservierung	संरक्षण	konservierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संरक्षण	erhaltung	संरक्षण	erhaltung	N;NOM;MASC;SG;3	N;SG
संरक्षण	konservierung	संरक्षण	konservierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संरक्षण	schutz	संरक्षण	schutz	N;NOM;MASC;SG;3	N
शो	show	शो	show	N;NOM;MASC;SG;3	N
प्रस्ताव	angebot	प्रस्ताव	anpieten	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
रिपोर्ट	bericht	रिपोर्ट	berechen	N;NOM;FEM;SG;3	N
रिकॉर्ड	aufzeichnung	रिकॉर्ड	aufzeichnung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
