que	你	que	你	PRO	PRO;2
honra	榮譽	honra	榮譽	N	N
escoite	聽著	escoitar	聽著	V	V
confianza	信心	confianza	信心	N	N
confianza	自信	confianza	自信	N	N
confianza	信任	confianza	信任	N	N
confianza	信託	confianza	信託	N	N
visto	見	ver	見	V	V
porén	然而	porén	然而	ADV	ADV
porén	然而	porén	然而	ADV	ADV
porén	但	porén	但	ADV	ADV
porén	不過	porén	不過	ADV	ADV
porén	但是	porén	但是	ADV	ADV
lembrar	記住	lembrar	記住	V	V
lembrar	提醒	lembrar	提醒	V	V
vendo	觀看	ver	觀看	V	V
vendo	尋找	ver	尋找	V	V
vendo	見	ver	見	V	V
práctica	實踐	práctica	實踐	N	N
práctica	實用	práctica	實用	N	N
correo	郵件	correo	郵件	N	N
correo	郵寄	correo	郵寄	N	N
correo	信件	correo	信件	N	N
correo	電子	correo	電子	N	N
correo	郵政	correo	郵政	N	N
correo	書記	correo	書記	N	N
correo	職員	correo	職員	N	N
importantes	重要	importante	重要	ADJ	ADJ
economía	經濟	economía	經濟	N	N
economía	經濟	economía	經濟	N	N
economía	經濟	economía	經濟	N	N
modelo	模範	modelo	模範	N	N
modelo	模型	modelo	模型	N	N
modelo	型號	modelo	型號	N	N
modelo	模特	modelo	模特	N	N
propiedade	地產	propiedade	地產	N	N
propiedade	屬性	propiedade	屬性	N	N
propiedade	財產	propiedade	財產	N	N
propiedade	物業	propiedade	物業	N	N
propiedade	產業	propiedade	產業	N	N
propiedade	邨	propiedade	邨	N	N
montañas	山	montaña	山	N	N
montañas	山脈	montaña	山脈	N	N
montañas	山區	montaña	山區	N	N
montañas	山	montaña	山	N	N
montañas	山區	montaña	山區	N	N
montañas	山地	montaña	山地	N	N
canta	唱	canta	唱	N	N
canta	唱歌	canta	唱歌	N	N
canta	歌唱	canta	歌唱	N	N
bacterias	細菌	bacteria	細菌	N	N
vacacións	假期	vacación	假期	N	N
vacacións	假日	vacación	假日	N	N
vacacións	節日	vacación	節日	N	N
vacacións	假期	vacación	假期	N	N
vacacións	假期	vacación	假期	N	N
vacacións	假期	vacación	假期	N	N
vacacións	假日	vacación	假日	N	N
vacacións	節假	vacación	節假	N	N
vacacións	節日	vacación	節日	N	N
servir	服務	servir	服務	V	V
servir	發球	servir	發球	V	V
perda	廢物	perda	廢物	N	N
perda	虧損	perda	虧損	N	N
perda	損失	perda	損失	N	N
parvadas	笨	parvar	笨	ADJ	ADJ
quixera	喜歡	querer	喜歡	V	V
quixera	通緝	querer	通緝	V	V
fogo	消防	fogo	消防	N	N
fogo	火	fogo	火	N	N
fogo	火災	fogo	火災	N	N
fogo	射	fogo	射	N	N
fica	留	ficar	留	V	V
fica	留下	ficar	留下	V	V
fica	留下	ficar	留下	V	V
serás	將	ser	將	V	V;CAUS
cadro	照片	cadro	照片	N	N
cadro	圖片	cadro	圖片	N	N
cadro	畫	cadro	畫	N	N
cadro	油畫	cadro	油畫	N	N
cadro	繪畫	cadro	繪畫	N	N
sorpresa	驚喜	sorpresa	驚喜	N	N
sorpresa	驚奇	sorpresa	驚奇	N	N
árbores	樹	árbor	樹	N	N
árbores	樹木	árbor	樹木	N	N
obrigado	被	obrigar	被	V	V;PASS
universo	宇宙	universo	宇宙	N	N
comunicación	通訊	comunicación	通訊	N	N
comunicación	媒體	comunicación	媒體	N	N
comunicación	媒介	comunicación	媒介	N	N
estraña	怪異	estraña	怪異	ADJ	ADJ
quedan	留	quedar	留	V	V
quedan	留下	quedar	留下	V	V
quedan	留下	quedar	留下	V	V
peixe	魚類	peixe	魚類	N	N
peixe	魚	peixe	魚	N	N
peixe	魚兒	peixe	魚兒	N	N
camión	貨車	camión	貨車	N	N
camión	卡車	camión	卡車	N	N
ambiente	環境	ambiente	環境	N	N
ambiente	氣氛	ambiente	氣氛	N	N
ambiente	大氣	ambiente	大氣	N	N
ambiente	大氣	ambiente	大氣	N	N
ambiente	氛圍	ambiente	氛圍	N	N
dean	關閉	dar	關閉	V	V
avión	平面	avión	平面	N	N
avión	飛機	avión	飛機	N	N
avión	飛機	avión	飛機	N	N
avión	飛機	avión	飛機	N	N
querían	通緝	querer	通緝	V	V
arranxar	獲取	arranxar	獲取	V	V
arranxar	獲得	arranxar	獲得	V	V
arranxar	得到	arranxar	得到	V	V
arranxar	修復	arranxar	修復	V	V
arranxar	修	arranxar	修	V	V
inocente	無辜	inocente	無辜	ADJ	ADJ
mascotas	寵物	mascota	寵物	N	N
mascotas	寵物	mascota	寵物	N	N
democracia	民主	democracia	民主	N	N
estilo	樣式	estilo	樣式	N	N
estilo	風格	estilo	風格	N	N
incríbel	神奇	incríbel	神奇	ADJ	ADJ
aceptar	接受	aceptar	接受	V	V
capacidade	容量	capacidade	容量	N	N
capacidade	能力	capacidade	能力	N	N
capacidade	能力	capacidade	能力	N	N
capacidade	能力	capacidade	能力	N	N
necesidade	需求	necesidade	需求	N	N
necesidade	必要	necesidade	必要	N	N
razóns	理由	razón	理由	N	N
razóns	原因	razón	原因	N	N
razóns	理由	razón	理由	N	N
razóns	理性	razón	理性	N	N
razóns	原因	razón	原因	N	N
levaba	攜	levar	攜	V	V
levaba	承載	levar	承載	V	V
bebés	嬰兒	bebés	嬰兒	N	N
bebés	嬰兒	bebés	嬰兒	N	N
bebés	寶貝	bebés	寶貝	N	N
bebés	寶寶	bebés	寶寶	N	N
bebés	實際	bebés	實際	N	N
obxectos	事情	obxecto	事情	N	N
obxectos	物體	obxecto	物體	N	N
obxectos	天體	obxecto	天體	N	N
obxectos	物件	obxecto	物件	N	N
obxectos	項目	obxecto	項目	N	N
teatro	電影	teatro	電影	N	N
teatro	劇場	teatro	劇場	N	N
teatro	戲劇	teatro	戲劇	N	N
teatro	劇院	teatro	劇院	N	N
teatro	戲院	teatro	戲院	N	N
teatro	皇家	teatro	皇家	N	N
teatro	皇室	teatro	皇室	N	N
teatro	劇場	teatro	劇場	N	N
teatro	戰區	teatro	戰區	N	N
teatro	戲劇	teatro	戲劇	N	N
teatro	劇院	teatro	劇院	N	N
teatro	戲院	teatro	戲院	N	N
puxo	獲取	poñer	獲取	V	V
puxo	獲得	poñer	獲得	V	V
puxo	得到	poñer	得到	V	V
puxo	設	poñer	設	V	V
puxo	設定	poñer	設定	V	V
asuntos	企業	asunto	企業	N	N
asuntos	業務	asunto	業務	N	N
asuntos	商業	asunto	商業	N	N
asuntos	商務	asunto	商務	N	N
estrela	星星	estrela	星星	N	N
estrela	恆星	estrela	恆星	N	N
estrela	星	estrela	星	N	N
estrela	明星	estrela	明星	N	N
trinta	三十	trinta	三十	NUM	NUM
cabelo	頭髮	cabelo	頭髮	N	N
cabelo	髮型	cabelo	髮型	N	N
cabelo	發	cabelo	發	N	N
ladrón	賊	ladrón	賊	N	N
dona	妻子	don	妻子	N	N
doutra	某人	doutrar	某人	N	N
nota	等級	nota	等級	N	N
nota	年級	nota	年級	N	N
intención	意圖	intención	意圖	N	N
intención	意向	intención	意向	N	N
intención	意圖	intención	意圖	N	N
intención	意向	intención	意向	N	N
aprendín	學習	aprender	學習	V	V
500	百萬	500	百萬	NUM	NUM
500	五	500	五	NUM	NUM
500	五	500	五	NUM	NUM
comportamento	行為	comportamento	行為	N	N
comportamento	行為	comportamento	行為	N	N
actitude	態度	actitude	態度	N	N
xogos	遊戲	xogo	遊戲	N	N
xogos	比賽	xogo	比賽	N	N
xogos	遊戲	xogo	遊戲	N	N
pescozo	脖子	pescozo	脖子	N	N
pescozo	頸	pescozo	頸	N	N
pescozo	頸部	pescozo	頸部	N	N
pescozo	周圍	pescozo	周圍	N	N
escoller	挑選	escoller	挑選	V	V
escoller	選擇	escoller	選擇	V	V
escoller	選擇	escoller	選擇	V	V
combate	格鬥	combate	格鬥	N	N
combate	打架	combate	打架	N	N
combate	戰鬥	combate	戰鬥	N	N
combate	戰	combate	戰	N	N
combate	戰役	combate	戰役	N	N
combate	戰鬥	combate	戰鬥	N	N
combate	打架	combate	打架	N	N
combate	戰鬥	combate	戰鬥	N	N
combate	動作	combate	動作	N	N
combate	行動	combate	行動	N	N
crime	犯罪	crime	犯罪	N	N
crime	罪犯	crime	罪犯	N	N
importancia	重量	importancia	重量	N	N
importancia	體重	importancia	體重	N	N
importancia	份量	importancia	份量	N	N
metro	英尺	metro	英尺	N	N
metro	腳	metro	腳	N	N
metro	地鐵	metro	地鐵	N	N
metro	火車	metro	火車	N	N
metro	列車	metro	列車	N	N
metro	公尺	metro	公尺	N	N
metro	捷運	metro	捷運	N	N
metro	地鐵	metro	地鐵	N	N
tenta	嘗試	tentar	嘗試	V	V
tenta	嘗試	tentar	嘗試	V	V
tenta	試試	tentar	試試	V	V
escribiu	書寫	escribiu	書寫	V	V
escribiu	撰寫	escribiu	撰寫	V	V
escribiu	撰寫	escribiu	撰寫	V	V
escribiu	寫	escribiu	寫	V	V
escribiu	寫信	escribiu	寫信	V	V
escribiu	寫入	escribiu	寫入	V	V
beira	邊緣	beira	邊緣	N	N
beira	岸	beira	岸	N	N
beira	岸邊	beira	岸邊	N	N
beira	海岸	beira	海岸	N	N
beira	側	beira	側	N	N
beira	附近	beira	附近	N	N
beira	河	beira	河	N	N
beira	江河	beira	江河	N	N
beira	河流	beira	河流	N	N
mataron	被	matar	被	V	V;PASS
mataron	殺	matar	殺	V	V
verás	見	verás	見	V	V
verás	將	verás	將	V	V;CAUS
fale	聊	fale	聊	V	V
deter	停止	deter	停止	V	V
grave	嚴重	grave	嚴重	ADJ	ADJ
grave	嚴重	grave	嚴重	ADJ	ADJ
grave	嚴肅	grave	嚴肅	ADJ	ADJ
resultados	結果	resultado	結果	N	N
resultados	成果	resultado	成果	N	N
resultados	結果	resultado	結果	N	N
resultados	成功	resultado	成功	N	N
cura	治癒	curo	治癒	N	N
cura	祭司	curo	祭司	N	N
mirando	觀看	mirar	觀看	V	V
mirando	尋找	mirar	尋找	V	V
mirando	觀看	mirar	觀看	V	V
mirando	凝視	mirar	凝視	V	V
defender	捍衛	defender	捍衛	V	V
defender	保衛	defender	保衛	V	V
defender	捍衛	defender	捍衛	V	V
motivo	理由	motivo	理由	N	N
motivo	理性	motivo	理性	N	N
motivo	原因	motivo	原因	N	N
dito	說	dicir	說	V	V
emprego	工作	emprego	工作	N	N
carón	附近	carón	附近	N	N
carón	側	carón	側	N	N
chegue	獲取	chegar	獲取	V	V
chegue	獲得	chegar	獲得	V	V
chegue	得到	chegar	得到	V	V
chegue	將	chegar	將	V	V;CAUS
tamaño	大小	tamaño	大小	N	N
tamaño	體積	tamaño	體積	N	N
tamaño	尺寸	tamaño	尺寸	N	N
humanidade	人性	humanidade	人性	N	N
humanidade	人道	humanidade	人道	N	N
humanidade	人類	humanidade	人類	N	N
caras	臉	cara	臉	N	N
caras	面孔	cara	面孔	N	N
caras	昂貴	cara	昂貴	N	N
caras	貴	cara	貴	N	N
caras	臉	cara	臉	N	N
caras	臉部	cara	臉部	N	N
sacrificio	犧牲	sacrificio	犧牲	N	N
aniversario	生日	aniversario	生日	N	N
aniversario	週年	aniversario	週年	N	N
prefiro	喜歡	preferir	喜歡	V	V
aparece	顯示	aparecer	顯示	V	V
chamas	名字	chamar	名字	N	N
chamas	名稱	chamar	名稱	N	N
chamas	姓名	chamar	姓名	N	N
chamas	電話	chamar	電話	N	N
chamas	通話	chamar	通話	N	N
piscina	撞球	piscina	撞球	N	N
piscina	池	piscina	池	N	N
piscina	游泳	piscina	游泳	N	N
piscina	泳池	piscina	泳池	N	N
piscina	游泳	piscina	游泳	N	N
piscina	游	piscina	游	N	N
irmás	妹妹	irmás	妹妹	N	N
irmás	姐姐	irmás	姐姐	N	N
irmás	姐妹	irmás	姐妹	N	N
irmás	姊妹	irmás	姊妹	N	N
irmás	姊姊	irmás	姊姊	N	N
irmás	姐妹	irmás	姐妹	N	N
irmás	姊妹	irmás	姊妹	N	N
resulta	出局	resultar	出局	V	V
artista	藝術	artista	藝術	N	N
artista	藝人	artista	藝人	N	N
artista	人	artista	人	N	N
artista	人們	artista	人	N	N;PL
artista	人民	artista	人民	N	N
correndo	跑步	correr	跑步	V	V
correndo	運行	correr	運行	V	V
correndo	奔	correr	奔	V	V
correndo	跑步	correr	跑步	V	V
correndo	運行	correr	運行	V	V
correndo	圍繞	correr	圍繞	V	V
correndo	圍繞	correr	圍繞	V	V
terreo	地面	terreo	地面	N	N
terreo	欄位	terreo	欄位	N	N
terreo	地形	terreo	地形	N	N
terreo	地勢	terreo	地勢	N	N
terreo	陸地	terreo	陸地	N	N
terreo	土地	terreo	土地	N	N
terreo	地產	terreo	地產	N	N
terreo	屬性	terreo	屬性	N	N
terreo	財產	terreo	財產	N	N
terreo	物業	terreo	物業	N	N
meirande	最多	meirande	最多	ADJ	ADJ
meirande	多數	meirande	多數	ADJ	ADJ
neuronas	腦子	neurona	腦子	N	N
neuronas	大腦	neurona	大腦	N	N
neuronas	腦	neurona	腦	N	N
neuronas	腦	neurona	腦	N	N
sede	口渴	sede	口渴	N	N
sede	廳	sede	廳	N	N
sede	大廳	sede	大廳	N	N
sede	口渴	sede	口渴	N	N
sentimentos	感情	sentimento	感情	N	N
sentimentos	感覺	sentimento	感覺	N	N
sentimentos	感覺	sentimento	感覺	N	N
altura	身高	altura	身高	N	N
altura	高度	altura	高度	N	N
altura	層次	altura	層次	N	N
altura	級別	altura	級別	N	N
altura	等級	altura	等級	N	N
altura	關卡	altura	關卡	N	N
altura	短期	altura	短期	N	N
altura	矮	altura	矮	N	N
ruído	噪聲	ruído	噪聲	N	N
ruído	噪音	ruído	噪音	N	N
ruído	聲音	ruído	聲音	N	N
ruído	音效	ruído	音效	N	N
papeis	論文	papel	論文	N	N
porcos	豬	porco	豬	N	N
porcos	豬	porco	豬	N	N
come	吃	comer	吃	V	V
come	吃	comer	吃	V	V
gas	氣	gas	氣	N	N
gas	汽油	gas	汽油	N	N
gas	氣體	gas	氣體	N	N
preparado	集	preparado	集	N	N
trato	治療	trato	治療	N	N
bomba	炸彈	bomba	炸彈	N	N
escuridade	黑	escuridade	黑	N	N
escuridade	暗	escuridade	暗	N	N
escuridade	黑暗	escuridade	黑暗	N	N
escuridade	黑暗	escuridade	黑暗	N	N
camarada	同志	camarar	同志	N	N
camarada	隊友	camarar	隊友	N	N
porco	豬	porco	豬	N	N
porco	豬肉	porco	豬肉	N	N
autobús	公車	autobús	公車	N	N
autobús	巴士	autobús	巴士	N	N
prisioneiros	囚犯	prisioneiro	囚犯	N	N
prisioneiros	犯人	prisioneiro	犯人	N	N
prisioneiros	囚徒	prisioneiro	囚徒	N	N
prisioneiros	士兵	prisioneiro	士兵	N	N
imaxinación	想象	imaxinación	想象	N	N
imaxinación	想像	imaxinación	想像	N	N
apareceu	展示	aparecer	展示	V	V
apareceu	顯示	aparecer	顯示	V	V
tarefa	任務	tarefa	任務	N	N
tarefa	工作	tarefa	工作	N	N
tarefa	職責	tarefa	職責	N	N
quixo	通緝	quixo	通緝	V	V
golpe	中風	golpe	中風	N	N
golpe	命中	golpe	命中	N	N
golpe	炸	golpe	炸	N	N
golpe	罷工	golpe	罷工	N	N
oír	聽證	oír	聽證	V	V
plano	平面	plano	平面	N	N
plano	公寓	plano	公寓	N	N
plano	平原	plano	平原	N	N
plano	計畫	plano	計畫	N	N
necesita	需要	necesitar	需要	V	V
necesita	需要	necesitar	需要	V	V
voltas	周圍	volta	周圍	N	N
voltas	輪	volta	輪	N	N
actividade	動態	actividade	動態	N	N
actividade	活動	actividade	活動	N	N
parecer	喜歡	parecer	喜歡	V	V
parecer	說	parecer	說	V	V
superficie	表面	superficie	表面	N	N
superficie	地面	superficie	地面	N	N
superficie	地表	superficie	地表	N	N
superficie	地面	superficie	地面	N	N
superficie	陸地	superficie	陸地	N	N
superficie	土地	superficie	土地	N	N
carga	貨運	carga	貨運	N	N
carga	貨物	carga	貨物	N	N
carga	貨	carga	貨	N	N
carga	電荷	carga	電荷	N	N
carga	收費	carga	收費	N	N
carga	重擔	carga	重擔	N	N
carga	擔子	carga	擔子	N	N
carga	負載	carga	負載	N	N
chegan	獲取	chegar	獲取	V	V
chegan	獲得	chegar	獲得	V	V
chegan	得到	chegar	得到	V	V
salvaxe	狂	salvaxe	狂	N	N
salvaxe	野性	salvaxe	野性	N	N
salvaxe	野生	salvaxe	野生	N	N
salvaxe	野人	salvaxe	野人	N	N
salvaxe	野蠻	salvaxe	野蠻	N	N
limpo	乾淨	limpo	乾淨	ADJ	ADJ
voda	婚禮	vodo	婚禮	N	N
voda	已婚	vodo	已婚	N	N
voda	婚姻	vodo	婚姻	N	N
caza	獵	caza	獵	N	N
caza	獵	caza	獵	N	N
ósos	骨	óso	骨	N	N
ósos	骨骼	óso	骨骼	N	N
ósos	骨頭	óso	骨頭	N	N
ósos	骨	óso	骨	N	N
ósos	骨骼	óso	骨骼	N	N
ósos	骨頭	óso	骨頭	N	N
poidan	將	poder	將	V	V;CAUS
soamente	只	soamente	只	ADV	ADV
soamente	只	soamente	只	ADV	ADV
charla	講課	charlar	講課	N	N
charla	演講	charlar	演講	N	N
membro	會員	membro	會員	N	N
membro	成員	membro	成員	N	N
membro	幻影	membro	幻影	N	N
escándalo	醜聞	escándalo	醜聞	N	N
escándalo	緋聞	escándalo	緋聞	N	N
escrito	寫作	escrito	寫作	N	N
curso	課程	curso	課程	N	N
curso	階級	curso	階級	N	N
curso	類	curso	類	N	N
curso	類別	curso	類別	N	N
curso	課堂	curso	課堂	N	N
curso	班級	curso	班級	N	N
curso	年度	curso	年度	N	N
curso	年份	curso	年份	N	N
curso	年	curso	年	N	N
curso	現在	curso	現在	N	N
adoitaba	使用	adoitar	使用	V	V
roubar	偷竊	roubar	偷竊	V	V
roubar	偷	roubar	偷	V	V
roubar	偷	roubar	偷	V	V
unión	聯盟	unión	聯盟	N	N
unión	工會	unión	工會	N	N
naceu	生	nacer	生	V	V
naceu	誕生	nacer	誕生	V	V
naceu	出生	nacer	出生	V	V
altos	冶煉	alto	冶煉	N	N
altos	爐	alto	爐	N	N
altos	熔爐	alto	熔爐	N	N
contas	決算	conta	決算	N	N
contas	帳號	conta	帳號	N	N
contas	帳戶	conta	帳戶	N	N
contas	之後	conta	之後	N	N
contas	賬	conta	賬	N	N
contas	帳單	conta	帳單	N	N
contas	法案	conta	法案	N	N
bolsa	包包	bolsa	包包	N	N
bolsa	袋	bolsa	袋	N	N
bolsa	袋子	bolsa	袋子	N	N
bolsa	郵袋	bolsa	郵袋	N	N
bolsa	股票	bolsa	股票	N	N
bolsa	存貨	bolsa	存貨	N	N
bolsa	庫存	bolsa	庫存	N	N
bolsa	交流	bolsa	交流	N	N
bolsa	錢	bolsa	錢	N	N
bolsa	皮	bolsa	皮	N	N
poderá	將	poder	將	V	V;CAUS
espello	鏡	espello	鏡	N	N
espello	鏡子	espello	鏡子	N	N
acabou	結束	acabar	結束	V	V
acabou	出局	acabar	出局	V	V
entrada	入場	entrada	入場	N	N
entrada	入口	entrada	入口	N	N
nariz	鼻	nariz	鼻	N	N
nariz	鼻子	nariz	鼻子	N	N
nariz	鼻孔	nariz	鼻孔	N	N
películas	影片	película	影片	N	N
películas	電影	película	電影	N	N
películas	電影	película	電影	N	N
películas	影片	película	影片	N	N
ocupado	繁忙	ocupar	繁忙	ADJ	ADJ
botella	瓶子	botella	瓶子	N	N
botella	瓶	botella	瓶	N	N
iremos	將	ir	將	V	V;CAUS
iremos	獲取	ir	獲取	V	V
iremos	獲得	ir	獲得	V	V
iremos	得到	ir	得到	V	V
amable	善良	amable	善良	N	N
voltar	返回	voltar	返回	V	V
voltar	回歸	voltar	回歸	V	V
voltar	獲取	voltar	獲取	V	V
voltar	獲得	voltar	獲得	V	V
voltar	得到	voltar	得到	V	V
vaias	留	vabo	留	V	V
vaias	留下	vabo	留下	V	V
vaias	留下	vabo	留下	V	V
vaias	出局	vabo	出局	V	V
parva	蠢	parva	蠢	N	N
parva	愚蠢	parva	愚蠢	N	N
parva	啞	parva	啞	N	N
regresar	返回	regresar	返回	V	V
regresar	回歸	regresar	回歸	V	V
terán	將	ter	將	V	V;CAUS
estudar	研究	estudar	研究	V	V
estudar	學習	estudar	學習	V	V
estudar	學習	estudar	學習	V	V
permitir	允許	permitir	允許	V	V
permitir	讓	permitir	讓	V	V;CAUS
descubrir	發現	descubrir	發現	V	V
descubrir	探索	descubrir	探索	V	V
descubrir	出局	descubrir	出局	V	V
descubrir	找到	descubrir	找到	V	V
descubrir	尋找	descubrir	尋找	V	V
fantástico	偉大	fantástico	偉大	ADJ	ADJ
sufrimento	痛	sufrimento	痛	N	N
sufrimento	傷痛	sufrimento	傷痛	N	N
sufrimento	疼痛	sufrimento	疼痛	N	N
sufrimento	痛苦	sufrimento	痛苦	N	N
sufrimento	苦難	sufrimento	苦難	N	N
sufrimento	痛苦	sufrimento	痛苦	N	N
sufrimento	苦難	sufrimento	苦難	N	N
cita	日期	cita	日期	N	N
cita	約會	cita	約會	N	N
cita	引文	cita	引文	N	N
cita	會議	cita	會議	N	N
malos	壞	malo	壞	N	N
300	三	300	三	NUM	NUM
300	三	300	三	NUM	NUM
chaves	按鍵	chave	按鍵	N	N
chaves	鍵	chave	鍵	N	N
chaves	管家	chave	管家	N	N
bosque	樹林	bosque	樹林	N	N
bosque	森林	bosque	森林	N	N
conversa	對話	converso	對話	N	N
perdín	失	perder	失	V	V
perdín	輸	perder	輸	V	V
perdín	輸	perder	輸	V	V
perdín	遺失	perder	遺失	V	V
perdín	迷失	perder	迷失	V	V
perdín	輸	perder	輸	V	V
estrelas	星星	estrela	星星	N	N
estrelas	明星	estrela	明星	N	N
estrelas	星空	estrela	星空	N	N
estrelas	星	estrela	星	N	N
estrelas	恆星	estrela	恆星	N	N
señoras	晚間	señor	晚間	N	N
señoras	晚上	señor	晚上	N	N
señoras	傍晚	señor	傍晚	N	N
biblioteca	圖書	biblioteca	圖書	N	N
miseria	苦難	miseria	苦難	N	N
miseria	貧窮	miseria	貧窮	N	N
miseria	貧困	miseria	貧困	N	N
fada	神仙	fada	神仙	N	N
fada	仙女	fada	仙女	N	N
fada	仙子	fada	仙子	N	N
baile	舞蹈	baile	舞蹈	N	N
baile	跳舞	baile	跳舞	N	N
baile	舞	baile	舞	N	N
baile	舞蹈	baile	舞蹈	N	N
baile	舞動	baile	舞動	N	N
baile	跳舞	baile	跳舞	N	N
baile	舞	baile	舞	N	N
baile	球	baile	球	N	N
dedo	指頭	dedo	指頭	N	N
dedo	手指	dedo	手指	N	N
dedo	選	dedo	選	N	N
vedes	見	vede	見	V	V
permite	允許	permitir	允許	V	V
pasamos	花費	pasar	花費	V	V
pasamos	花費	pasar	花費	V	V
pasamos	讓	pasar	讓	V	V;CAUS
pasamos	移動	pasar	移動	V	V
momentos	瞬間	momento	瞬間	N	N
momentos	時刻	momento	時刻	N	N
momentos	時代	momento	時代	N	N
momentos	時報	momento	時報	N	N
momentos	時刻	momento	時刻	N	N
semellante	相同	semellante	相同	ADJ	ADJ
luces	燈	luz	燈	N	N
luces	燈光	luz	燈光	N	N
contento	高興	contento	高興	ADV	ADV
departamento	部門	departamento	部門	N	N
demos	地獄	dar	地獄	N	N
demos	大地	dar	大地	N	N
precisan	需要	precisar	需要	V	V
precisan	需要	precisar	需要	V	V
apartamento	公寓	apartamento	公寓	N	N
apartamento	地方	apartamento	地方	N	N
apartamento	地點	apartamento	地點	N	N
apartamento	平面	apartamento	平面	N	N
apartamento	公寓	apartamento	公寓	N	N
meter	獲取	meter	獲取	V	V
meter	獲得	meter	獲得	V	V
meter	得到	meter	得到	V	V
regras	規則	regra	規則	N	N
regras	細則	regra	細則	N	N
fillas	兒童	fillo	兒童	N	N
fillas	小孩	fillo	小孩	N	N
fillas	女孩	fillo	女孩	N	N
fillas	女生	fillo	女生	N	N
fillas	女	fillo	女	N	N
cargo	電荷	cargo	電荷	N	N
cargo	收費	cargo	收費	N	N
presa	獵物	presa	獵物	N	N
presa	壩	presa	壩	N	N
presa	水電	presa	水電	N	N
presa	水庫	presa	水庫	N	N
presa	大壩	presa	大壩	N	N
presa	水壩	presa	水壩	N	N
vino	鋸	ver	鋸	N	N
vino	鋸子	ver	鋸子	N	N
atopou	找到	atopar	找到	V	V
atopou	發現	atopar	發現	V	V
atopou	找到	atopar	找到	V	V
atopou	尋找	atopar	尋找	V	V
preocupado	擔憂	preocupar	擔憂	V	V
preocupado	擔心	preocupar	擔心	V	V
whisky	威士忌	whisky	威士忌	N	N
whisky	威士忌	whisky	威士忌	N	N
desembarco	落地	desembarco	落地	N	N
noticias	新聞	noticia	新聞	N	N
profesores	教師	profesor	教師	N	N
tendo	結束	ter	結束	V	V
enteiro	世界	enteiro	世界	N	N
enteiro	飽	enteiro	飽	N	N
enteiro	完整	enteiro	完整	N	N
república	共和	república	共和	N	N
república	共和	república	共和	N	N
explicar	解釋	explicar	解釋	V	V
parede	壁	parede	壁	N	N
parede	牆壁	parede	牆壁	N	N
parede	圍牆	parede	圍牆	N	N
parede	牆	parede	牆	N	N
selo	蓋章	selo	蓋章	N	N
selo	郵票	selo	郵票	N	N
selo	印章	selo	印章	N	N
selo	標籤	selo	標籤	N	N
cadros	油畫	cadro	油畫	N	N
cadros	繪畫	cadro	繪畫	N	N
cadros	圖片	cadro	圖片	N	N
cadros	像片	cadro	像片	N	N
cadros	圖畫	cadro	圖畫	N	N
cadros	照片	cadro	照片	N	N
fonte	來源	fonte	來源	N	N
fonte	春	fonte	春	N	N
fonte	春秋	fonte	春秋	N	N
fonte	春天	fonte	春天	N	N
fonte	彈簧	fonte	彈簧	N	N
fonte	春季	fonte	春季	N	N
fonte	噴泉	fonte	噴泉	N	N
antiga	古老	antigo	古老	ADJ	ADJ
antiga	舊	antigo	舊	ADJ	ADJ
liñas	線	liña	線	N	N
liñas	線	liña	線	N	N
liñas	線	liña	線	N	N
liñas	線路	liña	線路	N	N
relixión	宗教	relixión	宗教	N	N
relixión	宗教	relixión	宗教	N	N
relixión	宗教	relixión	宗教	N	N
autoridade	權威	autoridade	權威	N	N
saia	出局	saia	出局	V	V
saia	關閉	saia	關閉	V	V
saia	獲取	saia	獲取	V	V
saia	獲得	saia	獲得	V	V
saia	得到	saia	得到	V	V
procura	搜尋	procura	搜尋	N	N
dacordo	右	dacordo	右	N	N
irá	將	ir	將	V	V;CAUS
tele	集	telar	集	N	N
tele	電視	telar	電視	N	N
tele	電視	telar	電視	N	N
tele	電視	telar	電視	N	N
pecha	關閉	pecha	關閉	V	V
parque	樸	parque	樸	N	N
parque	公園	parque	公園	N	N
fortes	強壯	forte	強壯	ADJ	ADJ
fortes	強烈	forte	強烈	ADJ	ADJ
fortes	堅強	forte	堅強	ADJ	ADJ
impresión	感覺	impresión	感覺	N	N
impresión	印象	impresión	印象	N	N
aposto	賭	aposto	賭	N	N
aposto	賭注	aposto	賭注	N	N
aposto	帥哥	aposto	帥哥	N	N
aposto	帥	aposto	帥	N	N
antigo	老了	antigo	老了	N	N
antigo	古代	antigo	古代	N	N
rochas	岩	rocha	岩	N	N
rochas	岩石	rocha	岩石	N	N
rochas	堆	rocha	堆	N	N
testemuña	證人	testemuña	證人	N	N
testemuña	證言	testemuña	證言	N	N
testemuña	證詞	testemuña	證詞	N	N
quita	關閉	quita	關閉	V	V
quita	獲取	quita	獲取	V	V
quita	獲得	quita	獲得	V	V
quita	得到	quita	得到	V	V
caste	善良	caste	善良	N	N
caste	形式	caste	形式	N	N
caste	表格	caste	表格	N	N
caste	型態	caste	型態	N	N
caste	類型	caste	類型	N	N
salvaxes	狂	salvaxe	狂	N	N
salvaxes	野性	salvaxe	野性	N	N
salvaxes	野生	salvaxe	野生	N	N
salvaxes	野人	salvaxe	野人	N	N
estudos	教育	estudo	教育	N	N
estudos	學歷	estudo	學歷	N	N
estudos	學校	estudo	學校	N	N
