serena	serena	serna	serena	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
míč	bal	míč	bal	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
míč	ball	míč	ball	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
míč	boll	míč	boll	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
výslovně	uttryckligen	výslovně	uttryckligen	ADV;POS	ADV
výslovně	uttryckligen	výslovně	uttryckligen	ADV;POS	ADV
výslovně	specifikt	výslovně	specifikt	ADV;POS	ADV
výpočet	beräkning	výpočet	beräkning	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
výpočet	beräkning	výpočet	beräkning	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
autorka	författaren	autorka	författare	N;NOM;FEM;SG;POS	N;NOM;DEF;MASC+FEM;SG
autorka	upphovsman	autorka	upphovsman	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
stanovení	bestämning	stanovení	bestämning	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
stanovení	beslutsamhet	stanovení	beslutsamhet	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
stanovení	bestämdhet	stanovení	bestämdhet	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
hospodářská	ekonomiskt	hospodářský	ekonomisk	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;NEUT;SG
hospodářská	ekonomisk	hospodářský	ekonomisk	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
pouť	pilgrimsfärd	pouť	pilgrimsfärd	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
souhlasí	samtycker	souhlasit	samtyck	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
souhlasí	instämmer	souhlasit	instämma	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
prezentace	presentation	prezentace	presentation	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
prezentace	bildspel	prezentace	bildspel	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
objevit	upptäck	objevit	upptäck	V;PFV;POS;NFIN	V;IMP;FIN;ACT
objevit	upptäcker	objevit	upptäcka	V;PFV;POS;NFIN	V;IND;PRS;FIN;ACT
objevit	upptäcka	objevit	upptäcka	V;PFV;POS;NFIN	V;IMP;FIN;ACT
příchod	ankomst	příchod	ankomst	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
přežil	överlevt	přežít	överleva	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.CVB;ACT
přežil	överlevde	přežít	överleva	V;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
padesát	femtio	padesát	femtio	NUM;NOM;SG	NUM;NOM
oprávnění	tillåtelse	oprávnění	tillåtelse	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
oprávnění	behörighet	oprávnění	behörighet	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
oprávnění	tillstånd	oprávnění	tillstånd	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
oprávnění	godkännande	oprávnění	godkännande	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
oprávnění	auktorisation	oprávnění	auktorisation	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
oprávnění	tillstånd	oprávnění	tillstånd	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
oprávnění	behörighet	oprávnění	behörighet	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
příze	garn	příze	garn	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
směry	riktningar	směr	riktning	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
směry	inriktningar	směr	inriktning	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
verše	verser	verš	vers	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
dodržování	uppfyllande	dodržování	uppfyllande	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
dodržování	överensstämmelse	dodržování	överensstämmelse	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
dodržování	efterlevnad	dodržování	efterlevnad	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
dodržování	iakttagande	dodržování	iaktta	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
teplo	heat	teplo	heat	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
teplo	värme	teplo	värme	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
teplo	värme	teplo	värme	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
dobrovolně	villigt	dobrovolně	villig	ADV;POS	ADV
dobrovolně	frivilligt	dobrovolně	frivillig	ADV;POS	ADV
dobrovolně	frivilligt	dobrovolně	frivillig	ADV;POS	ADV
rna	rna	rna	rna	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
reagovat	reagera	reagovat	reagera	V;IPFV;POS;NFIN	V;IMP;FIN;ACT
reagovat	reagerar	reagovat	reagera	V;IPFV;POS;NFIN	V;IND;PRS;FIN;ACT
reagovat	svara	reagovat	svara	V;IPFV;POS;NFIN	V;IMP;FIN;ACT
duševní	själslig	duševní	själslig	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
duševní	andlig	duševní	andlig	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
duševní	andligt	duševní	andlig	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
duševní	psykiskt	duševní	psykisk	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
duševní	intellektuell	duševní	intellektuell	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
dopředu	framåt	dopředu	framåt	ADV	ADV
dopředu	framåt	dopředu	framåt	ADV	ADV
terapie	behandling	terapie	behandling	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
terapie	terapi	terapie	terapi	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
mnich	munken	mnich	munke	N;ANIM;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
mnich	munk	mnich	munk	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
zajat	fångad	zajatý	fånga	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
zajat	fångat	zajatý	fånga	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
soukromá	privat	soukromý	privat	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
úseky	sektioner	úsek	sektion	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
ostřice	carex	ostřice	carex	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
rychleji	fortare	rychle	fort	ADV;CMPR;POS	ADV;CMPR
brigády	brigaderna	brigáda	brigad	N;NOM;FEM;PL;POS	N;NOM;DEF;MASC+FEM;PL
květ	blossom	květ	blossom	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
květ	blomma	květ	blomma	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
květ	blomman	květ	blomma	N;INAN;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
květ	blomma	květ	blomma	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
květ	bloom	květ	bloom	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
květ	blom	květ	blom	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
společenský	socialt	společenský	social	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
společenský	social	společenský	social	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
bohové	gudar	boh	gud	N;ANIM;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
bohové	gudarna	boh	gud	N;ANIM;NOM;MASC;PL;POS	N;NOM;DEF;MASC+FEM;PL
subjekt	väsen	subjekt	väs	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
subjekt	enhet	subjekt	enhet	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
subjekt	föremål	subjekt	föremål	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
subjekt	ämne	subjekt	ämne	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
oka	ögon	oko	ögon	N;NOM;NEUT;PL;POS	N;NOM;INDF;NEUT;PL
čapek	čapek	čapek	čapek	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
vazba	bindemedel	vazba	bindemedel	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
vazba	bindning	vazba	bindning	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
dánská	danskt	dánský	danskt	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;NEUT;SG
dánská	dansk	dánský	dansk	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
řetězec	snöre	řetězec	snöra	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
řetězec	sträng	řetězec	sträng	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
řetězec	string	řetězec	string	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
řetězec	kedja	řetězec	kedja	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
řetězec	kedjan	řetězec	kedjan	N;INAN;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
schválení	godkännande	schválení	godkännande	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
schválení	godkännandet	schválení	godkännande	N;NOM;NEUT;SG;POS	N;NOM;DEF;NEUT;SG
nabídky	erbjudanden	nabídka	erbjudande	N;NOM;FEM;PL;POS	N;NOM;INDF;NEUT;PL
vstoupit	ange	vstoupit	ange	V;PFV;POS;NFIN	V;IMP;FIN;ACT
střecha	tak	střecha	tak	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
střecha	taket	střecha	taket	N;NOM;FEM;SG;POS	N;NOM;DEF;NEUT;SG
střecha	tak	střecha	tak	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
návštěvy	besökare	návštěva	besökare	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
bloky	kvarter	blok	kvarter	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;NEUT;PL
bloky	blockeringar	blok	blockering	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
součet	summan	součet	summan	N;INAN;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
součet	sum	součet	sum	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
součet	summa	součet	summa	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
regulace	reglering	regulace	reglering	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
regulace	förordningen	regulace	förordning	N;NOM;FEM;SG;POS	N;NOM;DEF;MASC+FEM;SG
regulace	förordning	regulace	förordning	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
regulace	reglering	regulace	reglering	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
špatný	dåligt	špatný	dålig	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
špatný	dålig	špatný	dålig	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
přesný	noggrann	přesný	noggrann	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
přesný	korrekt	přesný	korrekt	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
etapa	fas	etapa	fas	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
etapa	fasen	etapa	fas	N;NOM;FEM;SG;POS	N;NOM;DEF;MASC+FEM;SG
etapa	etapp	etapa	etapp	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
etapa	benet	etapa	ben	N;NOM;FEM;SG;POS	N;NOM;DEF;NEUT;SG
etapa	scen	etapa	scen	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
etapa	etapp	etapa	etapp	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
etapa	stadium	etapa	stadium	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
etapa	skede	etapa	skede	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
všiml	märkte	všimnout	märka	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
naučil	lärde	naučit	lära	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IMP;FIN;ACT
plná	fullständig	plný	fullständig	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
plná	full	plný	full	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
efekty	effekter	efekt	effekt	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
efekty	verkningar	efekt	verkning	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
náboženská	religiöst	náboženský	religiös	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;NEUT;SG
náboženská	religiös	náboženský	religiös	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
zničil	förstörde	zničit	förstöra	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
stvoření	varelse	stvoření	varelse	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
arsenal	arsenal	arsenal	arsenal	N;INAN;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
mechanické	mekaniskt	mechanický	mekanisk	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG
mechanické	mekanisk	mechanický	mekanisk	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
bohatá	rikt	bohatý	rik	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;NEUT;SG
bohatá	rik	bohatý	rik	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
ubytování	boende	ubytování	boende	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
ubytování	boende	ubytování	boende	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
ubytování	vandrarhem	ubytování	vandrarhem	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
odpovědnost	ansvar	odpovědnost	ansvar	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
odpovědnost	ansvarighet	odpovědnost	ansvarighet	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
odpovědnost	ansvar	odpovědnost	ansvar	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
odpovědnost	ansvarstagande	odpovědnost	ansvarstagande	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
odpovědnost	ansvar	odpovědnost	ansvar	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
odpovědnost	ansvarighet	odpovědnost	ansvarighet	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
rosa	rosa	rosa	rosa	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
rosa	dagg	rosa	dagg	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
rozvíjet	utvecklas	rozvíjet	utveckla	V;IPFV;POS;NFIN	V;IND;FIN;PASS
rozvíjet	utvecklar	rozvíjet	utveckla	V;IPFV;POS;NFIN	V;IND;PRS;FIN;ACT
rozvíjet	utveckla	rozvíjet	utveckla	V;IPFV;POS;NFIN	V;IMP;FIN;ACT
šestnáct	sexton	šestnáct	sexton	NUM;NOM;SG	NUM;NOM
implementace	genomförande	implementace	genomförande	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
implementace	implementering	implementace	implementering	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
implementace	genomförandet	implementace	genomförande	N;NOM;FEM;SG;POS	N;NOM;DEF;NEUT;SG
head	head	haad	head	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
head	huvud	haad	huvud	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;NEUT;SG
head	huvudet	haad	huvud	N;INAN;NOM;MASC;SG;POS	N;NOM;DEF;NEUT;SG
podává	tjänar	podávat	tjäna	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
podává	serverar	podávat	servera	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
provádění	genomförande	provádění	genomförande	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
provádění	implementering	provádění	implementering	N;NOM;NEUT;SG;POS	N;NOM;INDF;MASC+FEM;SG
provádění	genomförandet	provádění	genomförande	N;NOM;NEUT;SG;POS	N;NOM;DEF;NEUT;SG
simona	simon	simon	simon	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
sopky	vulkaner	sopka	vulkan	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
hluboce	djupt	hluboce	djup	ADV;POS	ADV
pohřeb	begravning	pohřeb	begravning	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
pohřeb	begravningen	pohřeb	begravning	N;INAN;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
pohřeb	begravning	pohřeb	begravning	N;INAN;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
pouště	öknar	poušť	öken	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
pouště	öknen	poušť	ökn	N;NOM;FEM;PL;POS	N;NOM;DEF;NEUT;PL
použité	begagnade	použitý	begagnad	ADJ;NOM;MASC;PL;POS	ADJ;NOM;PL;PST;V.PTCP
mclaren	mclaren	mclarna	mclar	N;INAN;NOM;MASC;SG;POS	N;NOM;DEF;MASC+FEM;SG
nejnovější	nyaste	nový	ny	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;DEF;RL
nejnovější	senaste	nový	sen	ADJ;NOM;RL;MASC;SG;POS	ADJ;NOM;DEF;RL
žádá	frågar	žádat	fråga	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
náročné	utmanande	náročný	utmanande	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;PRS;V.PTCP
náročné	krävande	náročný	krävande	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;PRS;V.PTCP
kompatibilní	förenligt	kompatibilní	förenlig	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
kompatibilní	kompatibelt	kompatibilní	kompatibel	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG;PST
ekonomický	ekonomiskt	ekonomický	ekonomisk	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
ekonomický	ekonomisk	ekonomický	ekonomisk	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
ekonomický	ekonomiskt	ekonomický	ekonomisk	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
ekonomický	sparsam	ekonomický	sparsam	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
hledal	sökte	hledat	söka	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
porážka	slakt	porážka	slakt	N;NOM;FEM;SG;POS	N;NOM;INDF;MASC+FEM;SG
porážka	nederlag	porážka	nederlag	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
nést	bära	nést	bära	V;POS;NFIN	V;IMP;FIN;ACT
nést	bär	nést	bära	V;POS;NFIN	V;IMP;FIN;ACT
blíží	närmar	blížit	närma	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
naznačuje	antyder	naznačovat	antyda	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
naznačuje	föreslår	naznačovat	föreslå	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
naznačuje	anger	naznačovat	ange	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
naznačuje	indikerar	naznačovat	indikera	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
věřící	troende	věřící	troende	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;NOM;PRS;V.PTCP
věřící	troende	věřící	troende	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;NOM;PRS;V.PTCP
rytíři	riddare	rytíř	riddare	N;ANIM;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
rytíři	riddare	rytíř	riddare	N;ANIM;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
rytíři	springare	rytíř	spring	N;ANIM;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
profesní	professionellt	profesní	professionell	ADJ;NOM;FEM;SG;POS	ADJ;NOM;INDF;NEUT;SG
přihlásil	loggade	přihlásit	logga	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;PST;V.PTCP;ACT
nováček	novis	nováček	novis	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
nováček	nykomling	nováček	nykomling	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
nováček	rookie	nováček	rookie	N;ANIM;NOM;MASC;SG;POS	N;NOM;INDF;MASC+FEM;SG
výslovnost	uttal	výslovnost	uttal	N;NOM;FEM;SG;POS	N;NOM;INDF;NEUT;SG
poražen	misshandlad	poražený	misshandlad	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
poražen	besegrat	poražený	besegrad	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
poražen	besegrad	poražený	besegrad	ADJ;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
ukončit	avsluta	ukončit	avsluta	V;PFV;POS;NFIN	V;IMP;FIN;ACT
ukončit	avsluta	ukončit	avsluta	V;PFV;POS;NFIN	V;IMP;FIN;ACT
prsty	tår	prst	tå	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
prsty	tårna	prst	tå	N;INAN;NOM;MASC;PL;POS	N;NOM;DEF;MASC+FEM;PL
prsty	fingrar	prst	fingra	N;INAN;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
prsty	fingrarna	prst	fingrare	N;INAN;NOM;MASC;PL;POS	N;NOM;DEF;MASC+FEM;PL
vznikající	framväxande	vznikající	framväxande	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;NOM;PRS;V.PTCP
chráněný	skyddad	chráněný	skydda	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
chráněný	skyddat	chráněný	skydda	ADJ;INAN;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
nejvíc	mest	hodně	mycket	ADV;RL;POS	ADV;RL
projít	passera	projít	passera	V;POS;NFIN	V;IMP;FIN;ACT
úvahy	överväganden	úvaha	övervägande	N;NOM;FEM;PL;POS	N;NOM;INDF;NEUT;PL
úvahy	reflexioner	úvaha	reflexion	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
úvahy	funderingar	úvaha	fundering	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
úvahy	reflektioner	úvaha	reflektion	N;NOM;FEM;PL;POS	N;NOM;INDF;MASC+FEM;PL
existovalo	förelåg	existovat	föreligga	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT	V;IMP;PST;FIN;ACT
existovalo	existerade	existovat	existera	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT	V;IND;PST;V.PTCP;ACT
existovalo	fanns	existovat	finnas	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT	V;IND;PST;FIN
fungují	funkar	fungovat	funka	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
fungují	arbetar	fungovat	arbeta	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
fungují	fungerar	fungovat	fungera	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
kolektivní	kollektivt	kolektivní	kollektiv	ADJ;NOM;MASC;SG;POS	ADJ;NOM;INDF;NEUT;SG
zničeno	förstörd	zničený	förstöra	ADJ;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
zničeno	förstört	zničený	förstöra	ADJ;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
zničeno	ruinerad	zničený	ruinera	ADJ;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
zničeno	förstörd	zničený	förstöra	ADJ;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
zničeno	förstört	zničený	förstöra	ADJ;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
hosté	gästerna	host	gäst	N;ANIM;NOM;MASC;PL;POS	N;NOM;DEF;MASC+FEM;PL
hosté	gäster	host	gästa	N;ANIM;NOM;MASC;PL;POS	N;NOM;INDF;MASC+FEM;PL
klima	klimatet	klima	klimate	N;NOM;NEUT;SG;POS	N;NOM;DEF;NEUT;SG
klima	klimat	klima	klima	N;NOM;NEUT;SG;POS	N;NOM;INDF;NEUT;SG
uprchl	flydde	uprchnout	fly	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IND;PST;FIN;ACT
obr	jätte	obrázek	jätte	N;INAN;MASC;POS	N;NOM;INDF;MASC+FEM;SG
platné	giltigt	platný	giltig	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;NEUT;SG
platné	giltig	platný	giltig	ADJ;NOM;NEUT;SG;POS	ADJ;NOM;INDF;MASC+FEM;SG
