정체성	identitas	정체성	identitas	N	N;SG
용품	persediaan	용품	persediaan	N	N;SG
마술	sihir	마술	sihir	N	N;SG
마술	sihir	마술	sihir	N	N;SG
마술	sulap	마술	sulap	N	N;SG
부담	beban	부담	beban	N	N;SG
바리톤	bariton	바리톤	bariton	N	N
강조	sorotan	강조	sorotan	N	N;SG
강조	penyorotan	강조	pensorotan	N	N;SG
강조	penekanan	강조	pentekanan	N	N;SG
강조	penandaan	강조	pentandaan	N	N;SG
강조	penyorotan	강조	pensorotan	N	N;SG
강조	intensitas	강조	intensitas	N	N;SG
탐구	investigasi	탐구	investigasi	N	N;SG
탐구	penyelidikan	탐구	penselidikan	N	N;SG
수염	janggut	수염	janggut	N	N
수염	jenggot	수염	jenggot	N	N;SG
수염	janggut	수염	janggut	N	N
수염	jenggot	수염	jenggot	N	N;SG
본질	esensi	본질	esensi	N	N
본질	intisari	본질	intisari	N	N;SG
까다로운	rumit	까다롭+ㄴ	rumit	ADJ	ADJ;SG
매뉴얼	manual	매뉴얼	manual	N	N
안전성	keselamatan	안전성	keselamatan	N	N;SG
안전성	keamanan	안전성	keamanan	N	N;SG
예매	pemesanan	예매	penpesanan	N	N;SG
향수	nostalgia	향수	nostalgia	N	N
향수	parfum	향수	parfum	N	N;SG
향수	nostalgia	향수	nostalgia	N	N
향수	parfum	향수	parfum	N	N;SG
향수	wewangian	향수	wewangian	N	N;SG
향수	keharuman	향수	keharuman	N	N;SG
향수	parfum	향수	parfum	N	N;SG
국민투표	referendum	국민투표	referendum	N	N
술집	pub	술집	pub	N	N
술집	pub	술집	pub	N	N
이더넷	ethernet	이더넷	ethernet	N	N
부관	deputi	부관	deputi	N	N;SG
부관	anumerta	부관	anumerta	N	N
신탁	kepercayaan	신탁	kepercayaan	N	N;SG
가르침	mengajarkan	가르치+ㅁ	menajarkan	V	V;SG;ACT
가르침	mengajari	가르치+ㅁ	menajari	V	V;SG;ACT
가르침	mengajar	가르치+ㅁ	menajar	V	V;SG;ACT
칙령	dekrit	칙령	dekrit	N	N;SG
근로자	pekerja	근로자	pekerja	N	N;SG
근로자	pekerja	근로자	pekerja	N	N;SG
응답	tanggapan	응답	tanggapan	N	N;SG
응답	respons	응답	respons	N	N;SG
응답	balasan	응답	balasan	N	N;SG;ACT
응답	jawab	응답	jawab	N	N;SG;ACT
응답	jawaban	응답	jawaban	N	N;SG
응답	balasan	응답	balasan	N	N;SG;ACT
응답	respon	응답	respon	N	N;SG
응답	tanggapan	응답	tanggapan	N	N;SG
응답	respons	응답	respons	N	N;SG
저널리즘	jurnalisme	저널리즘	jurnalisme	N	N;SG
저널리즘	jurnalistik	저널리즘	jurnalistik	N	N;SG
조립	rakit	조립	rakit	N	N;SG
텅스텐	tungsten	텅스텐	tungsten	N	N
등대	mercusuar	등대	mercusuar	N	N
던지기	melemparkan	던지기	menlemparkan	V	V;SG;ACT
던지기	melempar	던지기	menlempar	V	V;SG;ACT
던지기	melempar	던지기	menlempar	V	V;SG;ACT
통계학	statistika	통계학	statistika	N	N;SG
통계학	statistik	통계학	statistik	N	N;SG
픽션	fiksi	픽션	fiksi	N	N
학업	akademik	학업	akademik	N	N;SG
학업	akademisi	학업	akademisi	N	N;SG
혐오	kebencian	혐오	kebencian	N	N;SG
혐오	kebencian	혐오	kebencian	N	N;SG
등산	panjat	등산	panjat	N	N;SG;ACT
등산	pendakian	등산	pendakian	N	N;SG
등산	mountaineering	등산	mountaineering	N	N
하든	mengeras	하+든	menkeras		
신용카드	kredit	신용카드	kredit	N	N;SG
가상화	virtualisasi	가상화	virtualisasi	N	N
대리석	marmer	대리석	marmer	N	N;SG
대리석	kelereng	대리석	kelereng	N	N;SG
대리석	kelereng	대리석	kelereng	N	N;SG
핸드	tangan	핸드	tangan	N	N;SG
외모	penampilan	외모	pentampilan	N	N;SG
외모	penampilan	외모	pentampilan	N	N;SG
외모	tampilan	외모	tampilan	N	N;SG
보행자	pedestrian	보행자	pedestrian	N	N
보행자	pedestrian	보행자	pedestrian	N	N
당구	bilyar	당구	bilyar	N	N;SG
당구	biliar	당구	biliar	N	N;SG
형제들	saudara	형제+들	saudara	N	N;SG
형제들	brothers	형제+들	brothers	N	N
외로운	sepi	외롭+ㄴ	sepi	ADJ	ADJ
라벨	label	라벨	label	N	N;SG
라벨	label	라벨	label	N	N;SG
폴란드인	kutub	폴란드인	kutub	N	N;SG
폴란드인	galah	폴란드인	galah	N	N;SG
백금	platinum	백금	platinum	N	N
걷기	berjalan	걷+기	berjalan	V	V;SG;ACT
걷기	berjalan	걷+기	berjalan	V	V;SG;ACT
걷기	berjalan	걷+기	berjalan	V	V;SG;ACT
걷기	berjalanlah	걷+기	berjalan	V	V;SG;ACT
바지	celana	바지	celana	N	N;SG
바지	celana	바지	celana	N	N;SG
설득	bujukan	설득	bujukan	N	N;SG
설득	persuasif	설득	persuasif	N	N;SG
광업	pertambangan	광업	pertambangan	N	N;SG
광업	penambangan	광업	pentambangan	N	N;SG
애슬론	athlon	애슬론	athlon	N	N
오르기	mendaki	오르+기	mendaki	V	V;SG;ACT
오르기	memanjat	오르+기	menpanjat	V	V;SG;ACT
완화	mitigasi	완화	mitigasi	N	N;SG
회귀	regresi	회귀	regresi	N	N;SG
떠나기	tinggalkan	떠나+기	tinggalkan	V	V;SG;ACT
떠나기	meninggalkan	떠나+기	mentinggalkan	V	V;SG;ACT
떠나기	meninggalkan	떠나+기	mentinggalkan	V	V;SG;ACT
농도	konsentrasi	농도	konsentrasi	N	N;SG
농도	jurusan	농도	jurusan	N	N;SG
농도	kedalaman	농도	kedalaman	N	N;SG
슬롯	slots	슬롯	slots	N	N
다이오드	dioda	다이오드	dioda	N	N
다이오드	diode	다이오드	diode	N	N
샘플링	sampel	샘플링	sampel	N	N;SG
샘플링	contoh	샘플링	contoh	N	N;SG
샘플링	percontohan	샘플링	percontohan	N	N;SG
샘플링	sampling	샘플링	sampling	N	N
튜브	tabung	튜브	tabung	N	N;SG
튜브	tabung	튜브	tabung	N	N;SG
카트	keranjang	카트	keranjang	N	N;SG
카트	gerobak	카트	gerobak	N	N;SG
직위	posisi	직위	posisi	N	N;SG
직위	jabatan	직위	jabatan	N	N;SG
직위	posisi	직위	posisi	N	N;SG
비아	via	비+아	via		
진흙	lumpur	진흙	lumpur	N	N;SG
추론	inferensi	추론	inferensi	N	N
추론	penalaran	추론	pentalaran	N	N;SG
적응	adaptif	적응	adaptif	N	N
적응	adaptasi	적응	adaptasi	N	N;SG
적응	adaptasi	적응	adaptasi	N	N;SG
코뮌	komune	코뮌	komune	N	N
흡연	perokok	흡연	perokok	N	N;SG
복권	lotto	복권	lotto	N	N;SG
복권	undian	복권	undian	N	N;SG
복권	lotre	복권	lotre	N	N;SG
복권	lotere	복권	lotere	N	N;SG
복권	lotere	복권	lotere	N	N;SG
복권	lotre	복권	lotre	N	N;SG
자율	otonom	자율	otonom	N	N
단속	penumpasan	단속	pentumpasan	N	N;SG
벤처	usaha	벤처	usaha	N	N;SG
호스팅	penyelenggara	호스팅	penselenggara	N	N;SG
호스팅	hosting	호스팅	hosting	N	N
호스팅	inang	호스팅	inang	N	N
목차	isi	목차	isi	N	N;SG
국수	mi	국수	mi		
국수	mi	국수	mi		
불평등	ketidaksetaraan	불평등	ketidaksetaraan	N	N;SG
남용	penyalahgunaan	남용	pensalahgunaan	N	N;SG
남용	pelecehan	남용	penlecehan	N	N;SG
남용	penyalahgunaan	남용	pensalahgunaan	N	N;SG
편집기	penyunting	편집기	penyunting	N	N
편집기	editor	편집기	editor	N	N
편집기	penyunting	편집기	penyunting	N	N
편집기	editor	편집기	editor	N	N
모듈러	modular	모증러	modular	N	N
퇴직	pensiun	퇴직	pensiun	N	N
퇴직	pensiunan	퇴직	pensiunan	N	N
퇴직	pensiun	퇴직	pensiun	N	N
포인터	pointer	포인터	pointer	N	N
포인터	pointer	포인터	pointer	N	N
포인터	penunjuk	포인터	pentunjuk	N	N;SG
녹아	meleleh	녹+아	menleleh		
녹아	mencair	녹+아	mencair		
박격포	mortir	박격포	mortir	N	N
재활	rehabilitasi	재활	rehabilitasi	N	N;SG
재활	rehabilitasi	재활	rehabilitasi	N	N;SG
통증	sakit	통증	sakit	N	N;SG
통증	kesakitan	통증	kesakitan	N	N;SG
통증	nyeri	통증	nyeri	N	N;SG
통증	nyeri	통증	nyeri	N	N;SG
플랫	kempes	플랫	kempes		
복합체	komplek	복합체	komplek	N	N;SG
복합체	kompleks	복합체	kompleks	N	N;SG
복합체	senyawa	복합체	senyawa	N	N;SG
카누	kano	카누	kano	N	N
카누	kano	카누	kano	N	N
카누	kano	카누	kano	N	N
카누	sampan	카누	sampan	N	N;SG
시그널	sinyal	시그널	sinyal	N	N;SG
시그널	signal	시그널	signal	N	N;SG
댓글	komen	댓글	komen	N	N
댓글	komentari	댓글	komentari	N	N;SG
댓글	komentar	댓글	komentar	N	N;SG
댓글	komentar	댓글	komentar	N	N;SG
아래쪽	bawah	아래+쪽	bawah	N	N;SG
플로피	disket	플로피	disket	N	N
조달	pengadaan	조달	penadaan	N	N;SG
검출	deteksi	검출	deteksi	N	N;SG
걷고	berjalan	걷+고	berjalan	V	V;SG;ACT
범죄자	kriminal	범죄자	kriminal	N	N;SG
범죄자	penjahat	범죄자	penjahat	N	N;SG
범죄자	pidana	범죄자	pidana	N	N
범죄자	kriminal	범죄자	kriminal	N	N;SG
범죄자	penjahat	범죄자	penjahat	N	N;SG
범죄자	pelanggar	범죄자	penlanggar	N	N;SG
범죄자	pelaku	범죄자	penlaku	N	N;SG
범죄자	terpidana	범죄자	terpidana	N	N;SG;PASS
농부	petani	농부	petani	N	N;SG
농부	petani	농부	petani	N	N;SG
비선형	nonlinier	비선형	nonlinier	N	N
응급	darurat	응급	darurat	N	N;SG
응급	darurat	응급	darurat	N	N;SG
실린더	silinder	실린더	silinder	N	N;SG
버추얼	virtual	버추+ㄴ	virtual	N	N
어시스트	assist	어시스트	assist	N	N
혈관	bejana	혈관	bejana	N	N;SG
공지	pemberitahuan	공지	penberitahuan	N	N;SG
공지	pengumuman	공지	penumuman	N	N;SG
공지	pemberitahuan	공지	penberitahuan	N	N;SG
공지	pengumuman	공지	penumuman	N	N;SG
잠금	kunci	잠금	kunci	N	N;SG
잠금	gembok	잠금	gembok	N	N;SG
잠금	penguncian	잠금	penuncian	N	N;SG
루니	rooney	루니	rooney	N	N
감지	deteksi	감+지	deteksi	N	N;SG
감지	deteksi	감+지	deteksi	N	N;SG
통역	penerjemah	통역	penterjemah	N	N;SG
연습생	praktek	연습생	praktek	N	N;SG
연습생	latihan	연습생	latihan	N	N;SG
연습생	praktik	연습생	praktik	N	N;SG
민병대	milisi	민병대	milisi	N	N;SG
민병대	militan	민병대	militan	N	N;SG
민병대	militia	민병대	militia	N	N
전갈자리	scorpio	전갈자리	scorpio	N	N
전갈자리	scorpius	전갈자리	scorpius	N	N
체계적	sistematis	체계+적	sistematis	N	N
물고기자리	pisces	물고기+자리	pisces	N	N;SG
자격증	sertifikasi	자격증	sertifikasi	N	N;SG
자격증	kualifikasi	자격증	kualifikasi	N	N;SG
자격증	kredensial	자격증	kredensial	N	N;SG
가정교사	pengajar	가정교사	penajar	N	N;SG
흔적	trail	흔적	trail	N	N
흔적	setapak	흔적	setapak	N	N;SG
흔적	jejak	흔적	jejak	N	N;SG
흔적	jejak	흔적	jejak	N	N;SG
흔적	lacak	흔적	lacak	N	N;SG;ACT
흔적	jejak	흔적	jejak	N	N;SG
흔적	jejak	흔적	jejak	N	N;SG
플루트	suling	플루트	suling	N	N
플루트	seruling	플루트	seruling	N	N
부모님	orangtua	부모님	orangtua	N	N;SG
부모님	orangtua	부모님	orangtua	N	N;SG
부모님	induk	부모님	induk	N	N;SG
단락	paragraf	단락	paragraf	N	N;SG
단락	paragraf	단락	paragraf	N	N;SG
숨김	bathin	숨김	bathin	N	N;SG
카세트	kaset	카세트	kaset	N	N
카세트	kaset	카세트	kaset	N	N
거품	gelembung	거품	gelembung	N	N;SG
거품	busa	거품	busa	N	N;SG
거품	gelembung	거품	gelembung	N	N;SG
랠리	reli	랠리	reli	N	N
랠리	reli	랠리	reli	N	N
배너	spanduk	배너	spanduk	N	N;SG
배너	banner	배너	banner	N	N
배너	spanduk	배너	spanduk	N	N;SG
억제	penekanan	억제	pentekanan	N	N;SG
억제	inhibitor	억제	inhibitor	N	N
방학	liburan	방학	liburan	N	N;SG
가정부	pembantu	가정부	penbantu	N	N;SG
멤버들	anggota	멤버+들	anggota	N	N;SG
볼륨	volume	볼륨	volume	N	N;SG
볼륨	borongan	볼륨	borongan	N	N
볼륨	volume	볼륨	volume	N	N;SG
엘프	peri	엘프	penri	N	N;SG
백조	angsa	백조	angsa	N	N;SG
백조	angsa	백조	angsa	N	N;SG
외출	outing	외출	outing	N	N
외출	tamasya	외출	tamasya	N	N;SG
출판물	publikasi	출판물	publikasi	N	N
출판물	penerbitan	출판물	penterbitan	N	N;SG
출판물	terbitan	출판물	terbitan	N	N;SG
출판물	publikasi	출판물	publikasi	N	N
중성미자	neutrino	중성미자	neutrino	N	N
새우	udang	새우	udang	N	N;SG
혼돈	kebingungan	혼돈	kebingungan	N	N;SG
혼돈	kekacauan	혼돈	kekacauan	N	N;SG
하이라이트	sorot	하이라이트	sorot		
하이라이트	sorot	하이라이트	sorot		
일관성	konsistensi	일관성	konsistensi	N	N
지리학	geografi	지리학	geografi	N	N;SG
전자제품	elektronika	전자제품	elektronika	N	N
전자제품	elektronik	전자제품	elektronik	N	N;SG
재산권	properti	재산권	properti	N	N;SG
장애물	penyumbatan	장애물	pensumbatan	N	N;SG
장애물	lompat	장애물	lompat	N	N;SG
장애물	kendala	장애물	kendala	N	N;SG
장애물	rintangan	장애물	rintangan	N	N;SG
장애물	halangan	장애물	halangan	N	N;SG
장애물	hambatan	장애물	hambatan	N	N;SG
장애물	hambatan	장애물	hambatan	N	N;SG
장애물	rintangan	장애물	rintangan	N	N;SG
사용법	penggunaan	사용법	pengunaan	N	N;SG
사용법	kegunaan	사용법	kegunaan	N	N;SG
사용법	pemakaian	사용법	penpakaian	N	N;SG
분사	suntik	분사	suntik	N	N
분사	injeksi	분사	injeksi	N	N;SG
분사	suntikan	분사	suntikan	N	N
절단	amputasi	절단	amputasi	N	N
지뢰	ranjau	지뢰	ranjau	N	N;SG
지뢰	tambang	지뢰	tambang	N	N;SG
항생제	antibiotik	항생제	antibiotik	N	N;SG
항생제	antibiotik	항생제	antibiotik	N	N;SG
정서	emosi	정서	emosi	N	N;SG
현미경	mikroskop	현미경	mikroskop	N	N
육체	kedagingan	육체	kedagingan	N	N;SG
육체	daging	육체	daging	N	N;SG
칩셋	chipset	칩셋	chipset	N	N
아이튠즈	itunes	아이튠즈	itunes	N	N;SG
트레이딩	perdagangan	트레이딩	perdagangan	N	N;SG
트레이딩	trading	트레이딩	trading	N	N
중요성	pentingnya	중요성	penting	N	N;SG
전화번호	ponsel	전화번호	ponsel	N	N;SG
전화번호	telepon	전화번호	telepon	N	N;SG
긴장	ketegangan	긴장	ketegangan	N	N;SG
질투	iri	질투	iri	N	N;SG
질투	kecemburuan	질투	kecemburuan	N	N;SG
개선하기	meningkatkan	개선+하+기	mentingkatkan	V	V;SG;ACT
개선하기	tingkatkan	개선+하+기	tingkatkan	V	V;SG;ACT
개선하기	meningkatkan	개선+하+기	mentingkatkan	V	V;SG;ACT
플라스마	plasma	플라스마	plasma	N	N
타당성	kelayakan	타당성	kelayakan	N	N;SG
타당성	validitas	타당성	validitas	N	N;SG
타당성	keabsahan	타당성	keabsahan	N	N;SG
복장	pakaian	복장	pakaian	N	N;SG
복장	busana	복장	busana	N	N;SG
랜드마크	landmark	랜드마크	landmark	N	N;SG
탈레반	taliban	탈레반	taliban	N	N
용접	mengelas	용접	menkelas	N	N;SG;ACT
리라	lira	리+라	lira		
악용	penyalahgunaan	악용	pensalahgunaan	N	N;SG
악용	pelecehan	악용	penlecehan	N	N;SG
악용	penyalahgunaan	악용	pensalahgunaan	N	N;SG
마크업	markup	마크업	markup	N	N
마크업	marka	마크업	marka	N	N;SG
명목	nominal	명목	nominal	N	N;SG
대리인	guardians	대리+이+ㄴ	guardians	N	N
성기	penis	성기	penis	N	N;SG
콤보	kombo	콤보	kombo	N	N
콤보	kombinasi	콤보	kombinasi	N	N;SG
콤보	kombo	콤보	kombo	N	N
위생	sanitasi	위생	sanitasi	N	N;SG
위생	kebersihan	위생	kebersihan	N	N;SG
위생	sanitasi	위생	sanitasi	N	N;SG
노예제	budak	노예제	budak	N	N;SG
노예제	perbudakan	노예제	perbudakan	N	N;SG
아쉬운	gampang	아쉽+ㄴ	gampang	ADJ	ADJ;SG
아쉬운	mudah	아쉽+ㄴ	mudah	ADJ	ADJ;SG
인류학	antropologi	인류학	antropologi	N	N
인류학	antropologi	인류학	antropologi	N	N
집착	obsesi	집착	obsesi	N	N;SG
가입자	pelanggan	가입자	penlanggan	N	N;SG
가입자	pelanggan	가입자	penlanggan	N	N;SG
불만	pengaduan	불만	penaduan	N	N;SG
불만	keluhan	불만	keluhan	N	N;SG
불만	komplain	불만	komplain	N	N;SG
불만	ketidakpuasan	불만	cukupan	N	N;SG
불만	pengaduan	불만	penaduan	N	N;SG
불만	keluhan	불만	keluhan	N	N;SG
불만	komplain	불만	komplain	N	N;SG
불만	ketidakpuasan	불만	cukupan	N	N;SG
조차도	genap	조차도	genap		
구출	penyelamatan	구출	penselamatan	N	N;SG
명소	atraksi	명소	atraksi	N	N;SG
명소	landmark	명소	landmark	N	N;SG
숭배	sekte	숭배	sekte	N	N
숭배	pemujaan	숭배	penpujaan	N	N;SG
숭배	kultus	숭배	kultus	N	N
숭배	ibadah	숭배	ibadah	N	N;SG
독성	toksisitas	독성	toksisitas	N	N
치사	pembunuhan	치사	penbunuhan	N	N;SG
목장	peternakan	목장	peternakan	N	N;SG
