van	從	van	從	ADP	ADP
sterke	強烈	sterk	強烈	ADJ	ADJ
sterke	堅強	sterk	堅強	ADJ	ADJ
optreden	表演	optreden	表演	V;NFIN	V
eigenaar	業	eigenaar	業	N;MASC+FEM;SG	N
royal	皇家	royal	皇家	N;MASC+FEM;SG	N
royal	皇室	royal	皇室	N;MASC+FEM;SG	N
bos	樹林	bos	樹林	N;NEUT;SG	N
bos	森林	bos	森林	N;NEUT;SG	N
begraafplaats	墓園	begraafplaats	墓園	N;MASC+FEM;SG	N
begraafplaats	墓地	begraafplaats	墓地	N;MASC+FEM;SG	N
begraafplaats	公墓	begraafplaats	公墓	N;MASC+FEM;SG	N
begraafplaats	墓地	begraafplaats	墓地	N;MASC+FEM;SG	N
combinatie	組合	combinatie	組合	N;MASC+FEM;SG	N
combinatie	套	combinatie	套	N;MASC+FEM;SG	N
bedrijven	公司	bedrijf	公司	N;PL	N
bedrijven	企業	bedrijf	企業	N;PL	N
gemiddelde	平均	gemiddeld	平均	ADJ	ADJ
verschenen	出版	verschijnen	出版	V;V.PTCP	V
verschenen	發表	verschijnen	發表	V;V.PTCP	V
lezen	讀	lezen	讀	V;NFIN	V
lezen	讀取	lezen	讀取	V;NFIN	V
lezen	讀取	lezen	讀取	V;NFIN	V
lezen	讀	lezen	讀	V;NFIN	V
haven	埠	haven	埠	N;MASC+FEM;SG	N
haven	港口	haven	港口	N;MASC+FEM;SG	N
behouden	留用	behouden	留用	V;V.PTCP	V
rock	岩	rock	岩	N;MASC+FEM;SG	N
rock	岩石	rock	岩石	N;MASC+FEM;SG	N
rock	石頭	rock	石頭	N;MASC+FEM;SG	N
rock	搖滾	rock	搖滾	N;MASC+FEM;SG	N
verdeeld	分布	verdelen	分布	V;V.PTCP	V
theater	電影	theater	電影	N;NEUT;SG	N
theater	劇場	theater	劇場	N;NEUT;SG	N
theater	戲劇	theater	戲劇	N;NEUT;SG	N
theater	劇院	theater	劇院	N;NEUT;SG	N
theater	戲院	theater	戲院	N;NEUT;SG	N
theater	劇場	theater	劇場	N;NEUT;SG	N
theater	戰區	theater	戰區	N;NEUT;SG	N
theater	戲劇	theater	戲劇	N;NEUT;SG	N
theater	劇院	theater	劇院	N;NEUT;SG	N
theater	戲院	theater	戲院	N;NEUT;SG	N
tijdschrift	雜誌	tijdschrift	雜誌	N;NEUT;SG	N
tijdschrift	日誌	tijdschrift	日誌	N;NEUT;SG	N
tijdschrift	日刊	tijdschrift	日刊	N;NEUT;SG	N
tijdschrift	日記	tijdschrift	日記	N;NEUT;SG	N
tijdschrift	期刊	tijdschrift	期刊	N;NEUT;SG	N
mond	嘴	mond	嘴	N;MASC+FEM;SG	N
mond	口	mond	口	N;MASC+FEM;SG	N
mond	嘴	mond	嘴	N;MASC+FEM;SG	N
mond	口腔	mond	口腔	N;MASC+FEM;SG	N
planten	植物	plant	植物	N;PL	N
materiaal	裝備	materiaal	裝備	N;NEUT;SG	N
materiaal	物料	materiaal	物料	N;NEUT;SG	N
materiaal	材質	materiaal	材質	N;NEUT;SG	N
materiaal	材料	materiaal	材料	N;NEUT;SG	N
materiaal	物料	materiaal	物料	N;NEUT;SG	N
materiaal	材料	materiaal	材料	N;NEUT;SG	N
activiteiten	活動	activiteit	活動	N;PL	N
tegenover	對	tegenover	對	ADP	ADP
hoogleraar	教授	hoogleraar	教授	N;MASC+FEM;SG	N
steun	援助	steun	援助	N;MASC+FEM;SG	N
verlaten	休假	verlaten	休假	V;V.PTCP	V
verlaten	離開	verlaten	離開	V;V.PTCP	V
verlaten	廢棄	verlaten	廢棄	V;V.PTCP	V
verlaten	遺棄	verlaten	遺棄	V;V.PTCP	V
negen	九	negen	九	NUM	NUM
orgel	器官	orgel	器官	N;NEUT;SG	N
orgel	風琴	orgel	風琴	N;NEUT;SG	N
bisdom	教區	bisdom	教區	N;NEUT;SG	N
hogere	較高	hoog	較高	ADJ;CMPR	ADJ
hogere	更高	hoog	更高	ADJ;CMPR	ADJ
luik	艙	luik	艙	N;NEUT;SG	N
zang	歌聲	zang	歌聲	N;MASC+FEM;SG	N
zang	唱歌	zang	唱歌	N;MASC+FEM;SG	N
zang	歌唱	zang	歌唱	N;MASC+FEM;SG	N
zang	歌曲	zang	歌曲	N;MASC+FEM;SG	N
zang	首歌	zang	首歌	N;MASC+FEM;SG	N
zang	歌	zang	歌	N;MASC+FEM;SG	N
genre	類型	genre	類型	N;NEUT;SG	N
genre	流派	genre	流派	N;NEUT;SG	N
dragen	穿	dragen	穿	V;NFIN	V
kritiek	批判	kritiek	批判	N;MASC+FEM;SG	N
kritiek	批判	kritiek	批判	N;MASC+FEM;SG	N
kritiek	批判	kritiek	批判	N;MASC+FEM;SG	N
kritiek	臨界	kritiek	臨界	N;MASC+FEM;SG	N
oorsprong	原產	oorsprong	原產	N;MASC+FEM;SG	N
oorsprong	起源	oorsprong	起源	N;MASC+FEM;SG	N
oorsprong	起源	oorsprong	起源	N;MASC+FEM;SG	N
divisie	組織	divisie	組織	N;MASC+FEM;SG	N
geproduceerd	製造	produceren	製造	V;V.PTCP	V
hieronder	下方	hieronder	下方	N;MASC+FEM;SG	N
vrienden	朋友	vriend	朋友	N;PL	N
vrienden	好友	vriend	好友	N;PL	N
verkozen	當選	verkiezen	當選	V;V.PTCP	V
spons	海綿	spons	海綿	N;MASC+FEM;SG	N
kijken	尋找	kijken	尋找	V;NFIN	V
kijken	觀看	kijken	觀看	V;NFIN	V
kijken	觀看	kijken	觀看	V;NFIN	V
opera	歌劇	opera	歌劇	N;MASC+FEM;SG	N
soldaten	士兵	soldaat	士兵	N;PL	N
internet	網路	internet	網路	N;NEUT;SG	N
internet	網際	internet	網際	N;NEUT;SG	N
thema	專題	thema	專題	N;NEUT;SG	N
thema	主題	thema	主題	N;NEUT;SG	N
politie	警方	politie	警方	N;MASC+FEM;SG	N
politie	警務	politie	警務	N;MASC+FEM;SG	N
politie	警察	politie	警察	N;MASC+FEM;SG	N
dingen	事情	dingen	事情	N;PL	N
kust	沿海	kust	沿海	N;MASC+FEM;SG	N
kust	沿岸	kust	沿岸	N;MASC+FEM;SG	N
kust	海岸	kust	海岸	N;MASC+FEM;SG	N
kust	海岸	kust	海岸	N;MASC+FEM;SG	N
last	重擔	last	重擔	N;MASC+FEM;SG	N
last	擔子	last	擔子	N;MASC+FEM;SG	N
voorkeur	偏好	voorkeur	偏好	N;MASC+FEM;SG	N
voorkeur	喜好	voorkeur	喜好	N;MASC+FEM;SG	N
voorkeur	偏好	voorkeur	偏好	N;MASC+FEM;SG	N
head	頭	head	頭	N;MASC+FEM;SG	N
head	頭部	head	頭部	N;MASC+FEM;SG	N
plannen	計畫	plan	計畫	N;PL	N
hierboven	上方	hierboven	上方	N;PL	N
overlijden	死亡	overlijden	死亡	V;NFIN	V
leggen	鋪設	leggen	鋪設	V;NFIN	V
regisseur	主任	regisseur	主任	N;MASC+FEM;SG	N
regisseur	司長	regisseur	司長	N;MASC+FEM;SG	N
maatschappij	社會	maatschappij	社會	N;MASC+FEM;SG	N
begraven	埋葬	begraven	埋葬	V;V.PTCP	V
begraven	埋葬	begraven	埋葬	V;V.PTCP	V
oplossing	溶液	oplossing	溶液	N;MASC+FEM;SG	N
gewicht	重量	gewicht	重量	N;NEUT;SG	N
gewicht	重量	gewicht	重量	N;NEUT;SG	N
gewicht	體重	gewicht	體重	N;NEUT;SG	N
gewicht	份量	gewicht	份量	N;NEUT;SG	N
collega	同事	collega	同事	N;MASC+FEM;SG	N
collega	同事	collega	同事	N;MASC+FEM;SG	N
helpen	幫助	helpen	幫助	V;NFIN	V
helpen	幫忙	helpen	幫忙	V;NFIN	V
rijden	開車	rijden	開車	V;NFIN	V
rijden	駕駛	rijden	駕駛	V;NFIN	V
rijden	駕駛	rijden	駕駛	V;NFIN	V
star	星星	star	星星	N;MASC+FEM;SG	N
star	恆星	star	恆星	N;MASC+FEM;SG	N
star	星	star	星	N;MASC+FEM;SG	N
star	明星	star	明星	N;MASC+FEM;SG	N
actie	動作	actie	動作	N;MASC+FEM;SG	N
actie	行動	actie	行動	N;MASC+FEM;SG	N
trekken	繪製	trekken	繪製	V;NFIN	V
trekken	抽籤	trekken	抽籤	V;NFIN	V
trekken	吸引	trekken	吸引	V;NFIN	V
vriend	朋友	vriend	朋友	N;MASC+FEM;SG	N
vriend	好友	vriend	好友	N;MASC+FEM;SG	N
professor	教授	professor	教授	N;MASC+FEM;SG	N
vogel	鳥	vogel	鳥	N;MASC+FEM;SG	N
mogelijkheid	可能	mogelijkheid	可能	N;MASC+FEM;SG	N
route	路線	route	路線	N;MASC+FEM;SG	N
lucht	天空	lucht	天空	N;MASC+FEM;SG	N
lucht	空中	lucht	空中	N;MASC+FEM;SG	N
lucht	航空	lucht	航空	N;MASC+FEM;SG	N
lucht	空氣	lucht	空氣	N;MASC+FEM;SG	N
afbeeldingen	影像	afbeelding	影像	N;PL	N
afbeeldingen	圖片	afbeelding	圖片	N;PL	N
afdeling	部門	afdeling	部門	N;MASC+FEM;SG	N
afdeling	組織	afdeling	組織	N;MASC+FEM;SG	N
cijfers	等級	cijfer	等級	N;PL	N
cijfers	成績	cijfer	成績	N;PL	N
cijfers	數字	cijfer	數字	N;PL	N
proces	審訊	proces	審訊	N;NEUT;SG	N
proces	審判	proces	審判	N;NEUT;SG	N
hart	心	hart	心	N;NEUT;SG	N
hart	心臟	hart	心臟	N;NEUT;SG	N
studenten	學生	student	學生	N;PL	N
televisie	電視	televisie	電視	N;MASC+FEM;SG	N
televisie	電視	televisie	電視	N;MASC+FEM;SG	N
televisie	電視	televisie	電視	N;MASC+FEM;SG	N
elementen	元素	element	元素	N;PL	N
elementen	要件	element	要件	N;PL	N
lijnen	線	lijn	線	N;PL	N
lijnen	線	lijn	線	N;PL	N
beker	戰利	beker	戰利	N;MASC+FEM;SG	N
beker	獎	beker	獎	N;MASC+FEM;SG	N
beker	獎杯	beker	獎杯	N;MASC+FEM;SG	N
beker	盃	beker	盃	N;MASC+FEM;SG	N
beker	杯	beker	杯	N;MASC+FEM;SG	N
beker	杯子	beker	杯子	N;MASC+FEM;SG	N
vertaald	翻譯	vertalen	翻譯	V;V.PTCP	V
baron	男爵	baron	男爵	N;MASC+FEM;SG	N
landschap	風景	landschap	風景	N;NEUT;SG	N
landschap	景觀	landschap	景觀	N;NEUT;SG	N
aangeduid	指定	aanduiden	指定	V;V.PTCP	V
adel	高尚	adel	高尚	N;MASC+FEM;SG	N
adel	貴族	adel	貴族	N;MASC+FEM;SG	N
toegepast	套用	toepassen	套用	V;V.PTCP	V
brand	消防	brand	消防	N;MASC+FEM;SG	N
brand	火	brand	火	N;MASC+FEM;SG	N
brand	火災	brand	火災	N;MASC+FEM;SG	N
brand	品牌	brand	品牌	N;MASC+FEM;SG	N
brand	燒傷	brand	燒傷	N;MASC+FEM;SG	N
brand	燒	brand	燒	N;MASC+FEM;SG	N
kampioenschappen	錦標	kampioenschap	錦標	N;PL	N
principe	原則	principe	原則	N;NEUT;SG	N
principe	原理	principe	原理	N;NEUT;SG	N
rechter	法官	rechter	法官	N;MASC+FEM;SG	N
uilen	貓頭鷹	uilen	貓頭鷹	N;PL	N
kleuren	顏色	kleur	顏色	N;PL	N
kleuren	色彩	kleur	色彩	N;PL	N
kleuren	色	kleur	色	N;PL	N
kleuren	彩色	kleur	彩色	N;PL	N
kleuren	顏色	kleur	顏色	N;PL	N
kleuren	色彩	kleur	色彩	N;PL	N
kleuren	顏色	kleur	顏色	N;PL	N
kleuren	色彩	kleur	色彩	N;PL	N
exemplaren	拷貝	exemplaar	拷貝	N;PL	N
prijzen	物價	prijs	物價	N;PL	N
prijzen	價格	prijs	價格	N;PL	N
prijzen	價	prijs	價	N;PL	N
prijzen	價錢	prijs	價錢	N;PL	N
prijzen	價格	prijs	價格	N;PL	N
prijzen	定價	prijs	定價	N;PL	N
vervoer	運輸	vervoer	運輸	N;NEUT;SG	N
vervoer	交通	vervoer	交通	N;NEUT;SG	N
vervoer	運輸	vervoer	運輸	N;NEUT;SG	N
vervoer	交通	vervoer	交通	N;NEUT;SG	N
verdrag	條約	verdrag	條約	N;NEUT;SG	N
personage	字元	personage	字元	N;NEUT;SG	N
personage	人物	personage	人物	N;NEUT;SG	N
personage	角色	personage	角色	N;NEUT;SG	N
personage	性格	personage	性格	N;NEUT;SG	N
personage	品格	personage	品格	N;NEUT;SG	N
beperkt	受限	beperken	受限	V;V.PTCP	V
beperkt	受限	beperken	受限	V;V.PTCP	V
biografie	傳記	biografie	傳記	N;MASC+FEM;SG	N
biografie	自傳	biografie	自傳	N;MASC+FEM;SG	N
aangenomen	受雇	aannemen	受雇	V;V.PTCP	V
record	唱片	record	唱片	N;NEUT;SG	N
record	紀錄	record	紀錄	N;NEUT;SG	N
opstand	起義	opstand	起義	N;MASC+FEM;SG	N
opstand	叛亂	opstand	叛亂	N;MASC+FEM;SG	N
opstand	起義	opstand	起義	N;MASC+FEM;SG	N
opstand	叛亂	opstand	叛亂	N;MASC+FEM;SG	N
opstand	叛逆	opstand	叛逆	N;MASC+FEM;SG	N
collectie	收藏	collectie	收藏	N;MASC+FEM;SG	N
terrein	地形	terrein	地形	N;NEUT;SG	N
terrein	地勢	terrein	地勢	N;NEUT;SG	N
blue	藍	blue	藍	N;MASC+FEM;SG	N
blue	藍色	blue	藍色	N;MASC+FEM;SG	N
afgeleid	衍生	afleiden	衍生	V;V.PTCP	V
karakter	字元	karakter	字元	N;NEUT;SG	N
karakter	人物	karakter	人物	N;NEUT;SG	N
karakter	角色	karakter	角色	N;NEUT;SG	N
karakter	性格	karakter	性格	N;NEUT;SG	N
karakter	品格	karakter	品格	N;NEUT;SG	N
albums	相簿	album	相簿	N;PL	N
albums	專輯	album	專輯	N;PL	N
energie	能量	energie	能量	N;MASC+FEM;SG	N
energie	能源	energie	能源	N;MASC+FEM;SG	N
eigendom	地產	eigendom	地產	N;NEUT;SG	N
eigendom	屬性	eigendom	屬性	N;NEUT;SG	N
eigendom	財產	eigendom	財產	N;NEUT;SG	N
eigendom	物業	eigendom	物業	N;NEUT;SG	N
bedoeling	意圖	bedoeling	意圖	N;MASC+FEM;SG	N
bedoeling	意向	bedoeling	意向	N;MASC+FEM;SG	N
gouverneur	省長	gouverneur	省長	N;MASC+FEM;SG	N
gouverneur	總督	gouverneur	總督	N;MASC+FEM;SG	N
gouverneur	州	gouverneur	州	N;MASC+FEM;SG	N
item	項目	item	項目	N;NEUT;SG	N
objecten	物體	object	物體	N;PL	N
objecten	天體	object	天體	N;PL	N
objecten	物件	object	物件	N;PL	N
omstandigheden	條件	omstandigheid	條件	N;PL	N
regel	細則	regel	細則	N;MASC+FEM;SG	N
stof	塵土	stof	塵土	N;MASC+FEM;SG	N
stof	塵	stof	塵	N;MASC+FEM;SG	N
stof	塵埃	stof	塵埃	N;MASC+FEM;SG	N
stof	灰塵	stof	灰塵	N;MASC+FEM;SG	N
stof	布料	stof	布料	N;MASC+FEM;SG	N
stof	纖維	stof	纖維	N;MASC+FEM;SG	N
stof	織物	stof	織物	N;MASC+FEM;SG	N
beelden	影像	beeld	影像	N;PL	N
beelden	圖片	beeld	圖片	N;PL	N
onderwerpen	題目	onderwerp	題目	N;PL	N
onderwerpen	議題	onderwerp	議題	N;PL	N
onderwerpen	專題	onderwerp	專題	N;PL	N
onderwerpen	主題	onderwerp	主題	N;PL	N
onderwerpen	科目	onderwerp	科目	N;PL	N
twaalf	十二	twaalf	十二	NUM	NUM
secretaris	秘書	secretaris	秘書	N;MASC+FEM;SG	N
nacht	夜晚	nacht	夜晚	N;MASC+FEM;SG	N
nacht	晚上	nacht	晚上	N;MASC+FEM;SG	N
nacht	夜	nacht	夜	N;MASC+FEM;SG	N
toestemming	授權	toestemming	授權	N;MASC+FEM;SG	N
huizen	房屋	huis	房屋	N;PL	N
huizen	房子	huis	房子	N;PL	N
huizen	住家	huis	住家	N;PL	N
conflict	衝突	conflict	衝突	N;NEUT;SG	N
conflict	衝突	conflict	衝突	N;NEUT;SG	N
natuur	自然	natuur	自然	N;MASC+FEM;SG	N
natuur	性質	natuur	性質	N;MASC+FEM;SG	N
vrede	和平	vrede	和平	N;MASC+FEM;SG	N
vlucht	班機	vlucht	班機	N;MASC+FEM;SG	N
toevoegen	加上	toevoegen	加上	V;NFIN	V
behoorde	屬	behoren	屬	V;SG;PST;FIN	V
veld	欄位	veld	欄位	N;NEUT;SG	N
tijden	時代	tijd	時代	N;PL	N
tijden	時報	tijd	時報	N;PL	N
zijde	蠶絲	zijde	蠶絲	N;MASC+FEM;SG	N
zijde	絲綢	zijde	絲綢	N;MASC+FEM;SG	N
zijde	側	zijde	側	N;MASC+FEM;SG	N
kwaliteit	素質	kwaliteit	素質	N;MASC+FEM;SG	N
kwaliteit	品質	kwaliteit	品質	N;MASC+FEM;SG	N
kwaliteit	優質	kwaliteit	優質	N;MASC+FEM;SG	N
kwaliteit	質量	kwaliteit	質量	N;MASC+FEM;SG	N
kerken	教會	kerk	教會	N;PL	N
kerken	教堂	kerk	教堂	N;PL	N
uitgave	版	uitgave	版	N;MASC+FEM;SG	N
uitgave	版本	uitgave	版本	N;MASC+FEM;SG	N
uitvoering	處	uitvoering	處	N;MASC+FEM;SG	N
schilder	畫師	schilder	畫師	N;MASC+FEM;SG	N
schilder	畫家	schilder	畫家	N;MASC+FEM;SG	N
economie	經濟	economie	經濟	N;MASC+FEM;SG	N
economie	經濟	economie	經濟	N;MASC+FEM;SG	N
economie	經濟	economie	經濟	N;MASC+FEM;SG	N
ziekte	病	ziekte	病	N;MASC+FEM;SG	N
ziekte	疾病	ziekte	疾病	N;MASC+FEM;SG	N
ziekte	病	ziekte	病	N;MASC+FEM;SG	N
ziekte	疾病	ziekte	疾病	N;MASC+FEM;SG	N
ziekte	病	ziekte	病	N;MASC+FEM;SG	N
ziekte	疾病	ziekte	疾病	N;MASC+FEM;SG	N
kunstenaar	藝術	kunstenaar	藝術	N;MASC+FEM;SG	N
kunstenaar	藝人	kunstenaar	藝人	N;MASC+FEM;SG	N
hall	廳	hall	廳	N;MASC+FEM;SG	N
hall	大廳	hall	大廳	N;MASC+FEM;SG	N
verkeer	交通	verkeer	交通	N;NEUT;SG	N
uitspraak	讀音	uitspraak	讀音	N;MASC+FEM;SG	N
uitspraak	判決	uitspraak	判決	N;MASC+FEM;SG	N
eenheid	團	eenheid	團	N;MASC+FEM;SG	N
eenheid	股	eenheid	股	N;MASC+FEM;SG	N
eenheid	單元	eenheid	單元	N;MASC+FEM;SG	N
eenheid	單位	eenheid	單位	N;MASC+FEM;SG	N
ridder	騎士	ridder	騎士	N;MASC+FEM;SG	N
revolutie	革命	revolutie	革命	N;MASC+FEM;SG	N
geschikt	合適	geschikt	合適	ADJ	ADJ
verschillen	差距	verschil	差距	N;PL	N
verschillen	差異	verschil	差異	N;PL	N
verschillen	差額	verschil	差額	N;PL	N
verschillen	分歧	verschil	分歧	N;PL	N
fout	錯誤	fout	錯誤	N;MASC+FEM;SG	N
fout	錯誤	fout	錯誤	N;MASC+FEM;SG	N
fout	錯誤	fout	錯誤	N;MASC+FEM;SG	N
kamp	難民	kamp	難民	N;NEUT;SG	N
kamp	營	kamp	營	N;NEUT;SG	N
kamp	營地	kamp	營地	N;NEUT;SG	N
kunstschilder	畫師	kunstschilder	畫師	N;MASC+FEM;SG	N
kunstschilder	畫家	kunstschilder	畫家	N;MASC+FEM;SG	N
ontvangen	接收	ontvangen	接收	V;V.PTCP	V
ontvangen	接收	ontvangen	接收	V;V.PTCP	V
ontmoeting	會議	ontmoeting	會議	N;MASC+FEM;SG	N
ontmoeting	邂逅	ontmoeting	邂逅	N;MASC+FEM;SG	N
academie	學院	academie	學院	N;MASC+FEM;SG	N
gedrag	行為	gedrag	行為	N;NEUT;SG	N
gedrag	行為	gedrag	行為	N;NEUT;SG	N
natuurlijke	天然	natuurlijk	天然	ADJ	ADJ
oog	眼	oog	眼	N;NEUT;SG	N
oog	眼睛	oog	眼睛	N;NEUT;SG	N
bond	鍵	bond	鍵	N;MASC+FEM;SG	N
bond	債券	bond	債券	N;MASC+FEM;SG	N
beschermd	保護	beschermen	保護	V;V.PTCP	V
vogels	鳥類	vogel	鳥類	N;PL	N
vogels	鳥	vogel	鳥	N;PL	N
vogels	鳥兒	vogel	鳥兒	N;PL	N
vogels	鳥	vogel	鳥	N;PL	N
kanaal	運河	kanaal	運河	N;NEUT;SG	N
kanaal	頻道	kanaal	頻道	N;NEUT;SG	N
kanaal	海峽	kanaal	海峽	N;NEUT;SG	N
kanaal	通道	kanaal	通道	N;NEUT;SG	N
veranderen	改變	veranderen	改變	V;NFIN	V
veranderen	改變	veranderen	改變	V;NFIN	V
veranderen	變更	veranderen	變更	V;NFIN	V
veranderen	變	veranderen	變	V;NFIN	V
voorstel	提案	voorstel	提案	N;NEUT;SG	N
oceaan	大洋	oceaan	大洋	N;MASC+FEM;SG	N
oceaan	洋	oceaan	洋	N;MASC+FEM;SG	N
oceaan	海洋	oceaan	海洋	N;MASC+FEM;SG	N
oceaan	海	oceaan	海	N;MASC+FEM;SG	N
verzameling	收藏	verzameling	收藏	N;MASC+FEM;SG	N
dienen	服務	dienen	服務	V;NFIN	V
dienen	發球	dienen	發球	V;NFIN	V
ring	環	ring	環	N;MASC+FEM;SG	N
ring	戒指	ring	戒指	N;MASC+FEM;SG	N
ton	噸	ton	噸	N;MASC+FEM;SG	N
ton	公噸	ton	公噸	N;MASC+FEM;SG	N
ton	噸	ton	噸	N;MASC+FEM;SG	N
ton	噸	ton	噸	N;MASC+FEM;SG	N
ton	噸	ton	噸	N;MASC+FEM;SG	N
ton	公噸	ton	公噸	N;MASC+FEM;SG	N
reis	旅行	reis	旅行	N;MASC+FEM;SG	N
reis	旅費	reis	旅費	N;MASC+FEM;SG	N
reis	旅遊	reis	旅遊	N;MASC+FEM;SG	N
reis	旅途	reis	旅途	N;MASC+FEM;SG	N
reis	旅程	reis	旅程	N;MASC+FEM;SG	N
tempel	神廟	tempel	神廟	N;MASC+FEM;SG	N
tempel	寺	tempel	寺	N;MASC+FEM;SG	N
tempel	寺廟	tempel	寺廟	N;MASC+FEM;SG	N
tempel	廟	tempel	廟	N;MASC+FEM;SG	N
tempel	聖殿	tempel	聖殿	N;MASC+FEM;SG	N
discipline	紀律	discipline	紀律	N;MASC+FEM;SG	N
discipline	紀律	discipline	紀律	N;MASC+FEM;SG	N
toekomst	今後	toekomst	今後	N;MASC+FEM;SG	N
toekomst	將來	toekomst	將來	N;MASC+FEM;SG	N
toekomst	未來	toekomst	未來	N;MASC+FEM;SG	N
luchthaven	機場	luchthaven	機場	N;MASC+FEM;SG	N
ziekenhuis	醫院	ziekenhuis	醫院	N;NEUT;SG	N
ziekenhuis	醫院	ziekenhuis	醫院	N;NEUT;SG	N
liefde	戀愛	liefde	戀愛	N;MASC+FEM;SG	N
liefde	愛情	liefde	愛情	N;MASC+FEM;SG	N
structuur	結構	structuur	結構	N;MASC+FEM;SG	N
gemengd	混合	mengen	混合	V;V.PTCP	V
gezin	家人	gezin	家人	N;NEUT;SG	N
gezin	家屬	gezin	家屬	N;NEUT;SG	N
gezin	家庭	gezin	家庭	N;NEUT;SG	N
proberen	嘗試	proberen	嘗試	V;NFIN	V
proberen	試試	proberen	試試	V;NFIN	V
proberen	嘗試	proberen	嘗試	V;NFIN	V
handel	商務	handel	商務	N;MASC+FEM;SG	N
handel	商業	handel	商業	N;MASC+FEM;SG	N
handel	貿易	handel	貿易	N;MASC+FEM;SG	N
label	標籤	label	標籤	N;NEUT;SG	N
redenen	理由	reden	理由	N;PL	N
redenen	原因	reden	原因	N;PL	N
prinses	王妃	prinses	王妃	N;MASC+FEM;SG	N
prinses	公主	prinses	公主	N;MASC+FEM;SG	N
boom	樹	boom	樹	N;MASC+FEM;SG	N
boom	樹木	boom	樹木	N;MASC+FEM;SG	N
boom	繁榮	boom	繁榮	N;MASC+FEM;SG	N
aangemaakt	生成	aanmaken	生成	V;V.PTCP	V
titels	頭銜	titel	頭銜	N;PL	N
titels	職銜	titel	職銜	N;PL	N
titels	標題	titel	標題	N;PL	N
verbeteren	改進	verbeteren	改進	V;NFIN	V
verbeteren	改善	verbeteren	改善	V;NFIN	V
verbeteren	改進	verbeteren	改進	V;NFIN	V
verbeteren	改善	verbeteren	改善	V;NFIN	V
snelheid	速度	snelheid	速度	N;MASC+FEM;SG	N
snelheid	速	snelheid	速	N;MASC+FEM;SG	N
bekijken	檢視	bekijken	檢視	V;NFIN	V
bekijken	瀏覽	bekijken	瀏覽	V;NFIN	V
bekijken	檢視	bekijken	檢視	V;NFIN	V
bekijken	瀏覽	bekijken	瀏覽	V;NFIN	V
jazz	爵士	jazz	爵士	N;MASC+FEM;SG	N
jazz	爵士	jazz	爵士	N;MASC+FEM;SG	N
blad	葉子	blad	葉子	N;NEUT;SG	N
winter	冬	winter	冬	N;MASC+FEM;SG	N
winter	冬季	winter	冬季	N;MASC+FEM;SG	N
winter	冬天	winter	冬天	N;MASC+FEM;SG	N
voet	腳	voet	腳	N;MASC+FEM;SG	N
voet	英尺	voet	英尺	N;MASC+FEM;SG	N
kenmerken	特徵	kenmerk	特徵	N;PL	N
kenmerken	特性	kenmerk	特性	N;PL	N
kenmerken	特點	kenmerk	特點	N;PL	N
kenmerken	屬性	kenmerk	屬性	N;PL	N
kenmerken	功能	kenmerk	功能	N;PL	N
kenmerken	特色	kenmerk	特色	N;PL	N
kenmerken	特徵	kenmerk	特徵	N;PL	N
kenmerken	特點	kenmerk	特點	N;PL	N
journalist	記者	journalist	記者	N;MASC+FEM;SG	N
journalist	記者	journalist	記者	N;MASC+FEM;SG	N
treinen	火車	trein	火車	N;PL	N
treinen	列車	trein	列車	N;PL	N
categorieën	類別	categorieën	類別	N;PL	N
concert	音樂	concert	音樂	N;NEUT;SG	N
kapitein	機長	kapitein	機長	N;MASC+FEM;SG	N
kapitein	隊長	kapitein	隊長	N;MASC+FEM;SG	N
hoek	角落	hoek	角落	N;MASC+FEM;SG	N
hoek	轉角	hoek	轉角	N;MASC+FEM;SG	N
hoek	角	hoek	角	N;MASC+FEM;SG	N
hoek	角度	hoek	角度	N;MASC+FEM;SG	N
hoek	角	hoek	角	N;MASC+FEM;SG	N
lees	讀	lezen	讀	V;SG;PRS;FIN	V
lees	讀取	lezen	讀取	V;SG;PRS;FIN	V
graven	挖	graven	挖	V;NFIN	V
graven	挖掘	graven	挖掘	V;NFIN	V
graven	挖	graven	挖	V;NFIN	V
armen	軍	arm	軍	N;PL	N
stenen	磚頭	steen	磚頭	N;PL	N
stenen	磚	steen	磚	N;PL	N
stenen	磚塊	steen	磚塊	N;PL	N
stenen	石	steen	石	N;PL	N
stenen	石頭	steen	石頭	N;PL	N
stenen	岩	steen	岩	N;PL	N
stenen	岩石	steen	岩石	N;PL	N
theorie	理論	theorie	理論	N;MASC+FEM;SG	N
theorie	論	theorie	論	N;MASC+FEM;SG	N
kabinet	內閣	kabinet	內閣	N;NEUT;SG	N
gang	走廊	gang	走廊	N;MASC+FEM;SG	N
gang	走廊	gang	走廊	N;MASC+FEM;SG	N
trein	火車	trein	火車	N;MASC+FEM;SG	N
trein	列車	trein	列車	N;MASC+FEM;SG	N
hard	苛刻	hard	苛刻	ADJ	ADJ
hard	嚴酷	hard	嚴酷	ADJ	ADJ
zilver	銀色	zilver	銀色	N;NEUT;SG	N
zilver	銀	zilver	銀	N;NEUT;SG	N
effect	特效	effect	特效	N;NEUT;SG	N
effect	效果	effect	效果	N;NEUT;SG	N
effect	效應	effect	效應	N;NEUT;SG	N
twintig	二十	twintig	二十	NUM	NUM
antwoord	答	antwoord	答	N;NEUT;SG	N
antwoord	答案	antwoord	答案	N;NEUT;SG	N
