聖歌	التراتيل	聖歌	تَرتِيل	N	N;NOM;DEF;PL
オペレーター	مشغل	オペレーター	مُشَغِّل	N	N;NOM;INDF;SG
オペレーター	المشغل	オペレーター	مُشَغَّل	N	N;NOM;DEF;SG
ゲット	احصل	ゲット	احصل	V	V;MASC;IMP;SG
ゲット	احضر	ゲット	اِحضَرّ	V	V;PFV;MASC;SG;3;ACT
マグロ	التونة	マグロ	تَونَة	N	N;NOM;DEF;SG
キープ	احتفظ	キープ	اِحتَفَظ	V	V;PFV;MASC;SG;3;ACT
ダイバー	الغواص	ダイバー	غَوَّاص	N	N;NOM;DEF;SG
ダイバー	الغواصون	ダイバー	غَاصُون	N	N;NOM;DEF;PL
ダイバー	الغواصين	ダイバー	غَاصّ	N	N;NOM;DEF;PL
可視	مرئي	可視	مرئي	N	N;NOM;INDF;SG
長方形	مستطيلات	長方形	مُستَطِيل	N	N;NOM;INDF;PL
疾病	المرض	疾病	مَرَض	N	N;NOM;DEF;SG
疾病	الامراض	疾病	مَرَض	N	N;NOM;DEF;PL
疾病	مرض	疾病	مَرَض	N	N;NOM;INDF;SG
迷路	المتاهة	迷路	مُتَاه	N	N;NOM;DEF;SG
迷路	متاهة	迷路	مُتَاه	N	N;NOM;INDF;SG
形容詞	صفة	形容詞	صِفَة	N	N;NOM;INDF;SG
形容詞	الصفة	形容詞	صِفَة	N	N;NOM;DEF;SG
形容詞	صفات	形容詞	صِفَة	N	N;NOM;INDF;PL
形容詞	الصفات	形容詞	صِفَة	N	N;NOM;DEF;PL
アスリート	رياضي	アスリート	رِيَاضِيّ	N	N;NOM;INDF;SG
アスリート	رياضيين	アスリート	رِيَاضِيّ	N	N;NOM;INDF;PL
キャラバン	قافلة	キャラバン	قافلة	N	N;NOM;INDF;SG
キャラバン	القافلة	キャラバン	قَافِل	N	N;NOM;DEF;SG
手足	اطراف	手足	طَرَف	N	N;NOM;INDF;PL
手足	الاطراف	手足	طَرَف	N	N;NOM;DEF;PL
丸い	مستديرة	丸く	مُستَدِير	ADJ	ADJ;NOM;INDF;FEM;SG
変奏曲	الاختلافات	変奏曲	اِختِلَاف	N	N;NOM;DEF;PL
変奏曲	اختلافات	変奏曲	اِختِلَاف	N	N;NOM;INDF;PL
カーテン	الستارة	カーテン	سِتَارَة	N	N;NOM;DEF;SG
カーテン	ستارة	カーテン	سِتَارَة	N	N;NOM;INDF;SG
カーテン	ستائر	カーテン	سِتَّائ	N	N;NOM;INDF;PL
カーテン	الستائر	カーテン	سِتَّائِر	N	N;NOM;DEF;PL
昨日	الامس	昨日	أَمس	N	N;NOM;DEF;SG
コンベンション	الاتفاقية	コンベンション	اِتِّفَاقِيَّة	N	N;NOM;DEF;SG
コンベンション	اتفاقية	コンベンション	اِتِّفَاقِيَّة	N	N;NOM;INDF;SG
レクリエーション	الترفيه	レクリエーション	تَرفِيه	N	N;NOM;DEF;SG
コンパイル	التجميع	コンパイル	تَجمِيع	N	N;NOM;DEF;SG
コンパイル	تجميع	コンパイル	تَجمِيع	N	N;NOM;INDF;SG
ファシズム	الفاشية	ファシズム	فَاشِي	N	N;NOM;DEF;SG
ファシズム	الفاشية	ファシズム	فَاشِي	N	N;NOM;DEF;SG
ファシズム	الفاشيون	ファシズム	فَاشِيّ	N	N;NOM;DEF;PL
ズボン	البنطلون	ズボン	بِنطِلُون	N	N;NOM;DEF;SG
ズボン	السراويل	ズボン	اَلسَرَاوِيل	N	N;NOM;DEF;PL
ズボン	البنطال	ズボン	بِنطَال	N	N;NOM;DEF;SG
日	الشروق	日	شُرُوق	N	N;NOM;DEF;SG
日	شروق	日	شَرق	N	N;NOM;INDF;PL
風車	الطاحونة	風車	طَاحُونَة	N	N;NOM;DEF;SG
定量	كمي	定量	كمي	N	N;NOM;INDF;SG
触手	مجسات	触手	مَجسَة	N	N;NOM;INDF;PL
悲しい	حزينة	悲しい	حِزِّينَة	ADJ	ADJ;NOM;INDF;FEM;SG
ダイス	النرد	ダイス	نَرد	N	N;NOM;DEF;SG
ファイナンス	تمويل	ファイナンス	تَموِيل	N	N;NOM;INDF;SG
ファイナンス	المالية	ファイナンス	مَالِيَّة	N	N;NOM;DEF;SG
ファイナンス	التمويل	ファイナンス	تَموِيل	N	N;NOM;DEF;SG
偏見	المساس	偏見	مِسَاس	N	N;NOM;DEF;SG
偏見	التحيز	偏見	التحيز	N	N;NOM;DEF;SG
許す	اغفر	許す	أَغفَر	V	V;PFV;MASC;SG;3;ACT
ダイビング	الغوص	ダイビング	غَوص	N	N;NOM;DEF;SG
ダイビング	الغطس	ダイビング	غَطس	N	N;NOM;DEF;SG
ダイビング	الغوص	ダイビング	غَوص	N	N;NOM;DEF;SG
ブロンズ	البرونز	ブロンズ	بُرُونز	N	N;NOM;DEF;SG
ヤシ	النخيل	ヤシ	نَخل	N	N;NOM;DEF;PL
ヤシ	الكف	ヤシ	كَفّ	N	N;NOM;DEF;SG
小切手	صك	小切手	صَكّ	N	N;NOM;INDF;SG
絶叫	صرخة	絶叫	صَرخَة	N	N;NOM;INDF;SG
運動量	زخم	運動量	زَخم	N	N;NOM;INDF;SG
運動量	الزخم	運動量	زَخم	N	N;NOM;DEF;SG
議定	بروتوكول	議定	برُوتُوكُول	N	N;NOM;INDF;SG
議定	البروتوكول	議定	برُوتُوكُول	N	N;NOM;DEF;SG
ピザ	البيتزا	ピザ	بِيتزَا	N	N;NOM;DEF;SG
サクセス	النجاح	サクセス	نَجَاح	N	N;NOM;DEF;SG
サクセス	التوفيق	サクセス	تَوفِيق	N	N;NOM;DEF;SG
サクセス	نجاح	サクセス	نَجَاح	N	N;NOM;INDF;SG
海老	الجمبري	海老	جُمبُرِيّ	N	N;NOM;DEF;SG
退屈	ممل	退屈	مَمَلّ	ADJ	ADJ;NOM;INDF;MASC;SG
退屈	مملة	退屈	مَمَلَّة	ADJ	ADJ;NOM;INDF;FEM;SG
中庭	الفناء	中庭	فَنَّاء	N	N;NOM;DEF;SG
中庭	فناء	中庭	فِنَاء	N	N;NOM;INDF;SG
ウィルス	الفيروس	ウィルス	فَيرُوس	N	N;NOM;DEF;SG
ウィルス	فيروسات	ウィルス	فَيرُوس	N	N;NOM;INDF;PL
ウィルス	الفيروسات	ウィルス	فَيرُوس	N	N;NOM;DEF;PL
噴水	النافورة	噴水	النافورة	N	N;NOM;DEF;SG
噴水	نافورة	噴水	نافورة	N	N;NOM;INDF;SG
噴水	نوافير	噴水	نَافِير	N	N;NOM;INDF;PL
試練	المحاكمات	試練	مُحَاكَمَة	N	N;NOM;DEF;PL
試練	محاكمات	試練	مُحَاكَمَة	N	N;NOM;INDF;PL
ガレージ	الجراج	ガレージ	جَرَاج	N	N;NOM;DEF;SG
苦しむ	تعاني	苦しむ	عَانَى	V	V;IPFV;FEM;IND;SG;3;FIN;ACT
ヘルプ	المساعدة	ヘルプ	مُسَاعَدَة	N	N;NOM;DEF;SG
ヘルプ	مساعدة	ヘルプ	مُسَاعَدَة	N	N;NOM;INDF;SG
レンガ	الطوب	レンガ	طُوب	N	N;NOM;DEF;SG
包装	العبوة	包装	عَبوَة	N	N;NOM;DEF;SG
包装	تغليف	包装	تَغلِيف	N	N;NOM;INDF;SG
包装	التغليف	包装	تَغلِيف	N	N;NOM;DEF;SG
包装	التعبئة	包装	تَعبِئَة	N	N;NOM;DEF;SG
包装	تعبئة	包装	تَعبِئَة	N	N;NOM;INDF;SG
会計士	المحاسبين	会計士	مُحَاسِب	N	N;NOM;DEF;PL
会計士	المحاسب	会計士	مُحَاسِب	N	N;NOM;DEF;SG
会計士	محاسب	会計士	مُحَاسِب	N	N;NOM;INDF;SG
会計士	محاسبة	会計士	مُحَاسَبَة	N	N;NOM;INDF;SG
ヒート	حرارة	ヒート	حَرَارَة	N	N;NOM;INDF;SG
ヒート	الحرارة	ヒート	حَرَارَة	N	N;NOM;DEF;SG
干拓	استصلاح	干拓	اِستِصلَاح	N	N;NOM;INDF;SG
隣人	الجار	隣人	جَار	N	N;NOM;DEF;SG
隣人	الجار	隣人	جَار	N	N;NOM;DEF;SG
隣人	جارة	隣人	جارة	N	N;NOM;INDF;SG
乱暴	الخام	乱暴	خَام	ADJ	ADJ;NOM;DEF;MASC;SG
ハエ	ذبابة	ハエ	ذَبَّابَة	N	N;NOM;INDF;SG
悪霊	شيطان	悪霊	شِيطَان	N	N;NOM;INDF;SG
悪霊	الشياطين	悪霊	شِيطَاط	N	N;ACC;DEF;DU
悪霊	شياطين	悪霊	شِيَاطِين	N	N;ACC;INDF;PL
汚職	الفساد	汚職	فَسَاد	N	N;NOM;DEF;SG
汚職	فساد	汚職	فَسَاد	N	N;NOM;INDF;SG
服飾	الزي	服飾	اَلزَذِي	N	N;NOM;DEF;SG
ロケーション	موقع	ロケーション	مَوقِع	N	N;NOM;INDF;SG
ロケーション	الموقع	ロケーション	مَوقِع	N	N;NOM;DEF;SG
ロケーション	المكان	ロケーション	مَكَان	N	N;NOM;DEF;SG
由緒	التاريخ	由緒	تَارِيخ	N	N;NOM;DEF;SG
由緒	تاريخ	由緒	تَارِيخ	N	N;NOM;INDF;SG
好奇心	الفضول	好奇心	فُضُول	N	N;NOM;DEF;SG
好奇心	فضول	好奇心	فَضل	N	N;NOM;INDF;SG
好奇心	الفضول	好奇心	فُضُول	N	N;NOM;DEF;SG
フェーズ	الطور	フェーズ	طُور	N	N;NOM;DEF;SG
フェーズ	المرحلة	フェーズ	مَرحَلَة	N	N;NOM;DEF;SG
フェーズ	مرحلة	フェーズ	مَرحَلَة	N	N;NOM;INDF;SG
タフ	صعب	タフ	صَعب	ADJ	ADJ;NOM;INDF;MASC;SG
タフ	صعبة	タフ	صَعب	ADJ	ADJ;NOM;INDF;FEM;SG
タフ	قاسي	タフ	قاسي	ADJ	ADJ;NOM;INDF;MASC;SG
スパイス	التوابل	スパイス	تَوَابُل	N	N;NOM;DEF;PL
スパイス	التوابل	スパイス	تَوَابُل	N	N;NOM;DEF;PL
光沢	اللمعان	光沢	لَمعَانَة	N	N;NOM;DEF;SG
親指	الابهام	親指	إِبهَام	N	N;NOM;DEF;SG
親指	الابهام	親指	إِبهَام	N	N;NOM;DEF;SG
フォロー	اتبع	フォロー	اِتَّبَع	V	V;PFV;MASC;SG;3;ACT
フォロー	يلي	フォロー	وَلِي	V	V;IPFV;MASC;IND;SG;3;FIN;ACT
粉末	الطحين	粉末	الطحين	N	N;NOM;DEF;SG
粉末	الدقيق	粉末	دَقِيق	N	N;NOM;DEF;SG
粉末	بودرة	粉末	بُودرَة	N	N;NOM;INDF;SG
粉末	المسحوق	粉末	مَسحُوق	N	N;NOM;DEF;SG
粉末	مسحوق	粉末	مَسحُوق	N	N;NOM;INDF;SG
粉末	مساحيق	粉末	مَسحُوق	N	N;NOM;INDF;PL
台所	المطابخ	台所	مُطَابِخ	N	N;NOM;DEF;PL
台所	مطبخ	台所	مَطبَخ	N	N;NOM;INDF;SG
台所	المطبخ	台所	مُطبِخ	N	N;NOM;DEF;SG
楽屋	الكواليس	楽屋	كُولِيس	N	N;NOM;DEF;PL
楽屋	كواليس	楽屋	كُولِيس	N	N;NOM;INDF;PL
峡谷	الوادي	峡谷	وَادِي	N	N;NOM;DEF;SG
救世主	المنقذ	救世主	مُنقَذ	N	N;NOM;DEF;SG
馬術	الفروسية	馬術	فُرُوسِيَّة	N	N;NOM;DEF;SG
書式	الاشكال	書式	شَكل	N	N;NOM;DEF;PL
書式	اشكال	書式	شَكل	N	N;NOM;INDF;PL
書式	نسق	書式	نَسَق	N	N;NOM;INDF;SG
書式	الشكل	書式	شَكل	N	N;NOM;DEF;SG
書式	تنسيق	書式	تَنسِيق	N	N;NOM;INDF;SG
アレルギー	حساسية	アレルギー	حَسَّاسِيّ	N	N;NOM;INDF;SG
アレルギー	الحساسية	アレルギー	حَسَّاسِيّ	N	N;NOM;DEF;SG
序文	التصدير	序文	تَصدِير	N	N;NOM;DEF;SG
序文	تمهيد	序文	تَمهِيد	N	N;NOM;INDF;SG
序文	تصدير	序文	تَصدِير	N	N;NOM;INDF;SG
序文	تمهيد	序文	تَمهِيد	N	N;NOM;INDF;SG
序文	مقدمة	序文	مُقَدِّمَة	N	N;NOM;INDF;SG
知覚	ادراك	知覚	إِدرَاك	N	N;NOM;INDF;SG
知覚	الادراك	知覚	إِدرَاك	N	N;NOM;DEF;SG
知覚	التصور	知覚	تَصَوُّر	N	N;NOM;DEF;SG
モーメント	اللحظات	モーメント	لَحظَة	N	N;NOM;DEF;PL
モーメント	لحظات	モーメント	لَحظَة	N	N;NOM;INDF;PL
モーメント	اللحظة	モーメント	لَحظَة	N	N;NOM;DEF;SG
農産物	محاصيل	農産物	مَحصُول	N	N;NOM;INDF;PL
農産物	المحاصيل	農産物	مَحصُول	N	N;NOM;DEF;PL
叙事	ملحمة	叙事	مَلحَمَة	N	N;NOM;INDF;SG
注射	حقن	注射	حَقَّن	N	N;NOM;INDF;SG
注射	الحقن	注射	الحقن	N	N;NOM;DEF;SG
注射	حقن	注射	حَقَّن	N	N;NOM;INDF;SG
注射	الحقن	注射	الحقن	N	N;NOM;DEF;SG
注射	الحقنة	注射	الحقنة	N	N;NOM;DEF;SG
ブレンド	مزج	ブレンド	مَزج	N	N;NOM;INDF;SG
ブレンド	خلطة	ブレンド	خَلطَة	N	N;NOM;INDF;SG
ブレンド	مزيج	ブレンド	مَزِيج	N	N;NOM;INDF;SG
クレーム	الشكاوى	クレーム	شَكوَى	N	N;NOM;DEF;PL
クレーム	شكاوى	クレーム	شَكوَى	N	N;NOM;INDF;PL
クレーム	الشكوى	クレーム	شَكوَى	N	N;NOM;DEF;SG
クレーム	شكوى	クレーム	شَكوَى	N	N;NOM;INDF;SG
トウモロコシ	ذرة	トウモロコシ	ذُرَّة	N	N;NOM;INDF;SG
トウモロコシ	الذرة	トウモロコシ	ذُرَة	N	N;NOM;DEF;SG
甲状	الدرقية	甲状	دِرقِيّ	N	N;NOM;DEF;SG
因果	السببية	因果	سَبَبِيّ	N	N;NOM;DEF;SG
図面	رسوم	図面	رَسم	N	N;NOM;INDF;PL
図面	رسومات	図面	رَسم	N	N;NOM;INDF;PL
図面	الرسوم	図面	رَسم	N	N;NOM;DEF;PL
図面	الرسومات	図面	رَسمَة	N	N;NOM;DEF;PL
図面	رسمة	図面	رَسمَة	N	N;NOM;INDF;SG
図面	رسم	図面	رَسم	N	N;NOM;INDF;SG
図面	الرسم	図面	رَسم	N	N;NOM;DEF;SG
チャリティ	الصدقة	チャリティ	صِدقَة	N	N;NOM;DEF;SG
チャリティ	صدقة	チャリティ	صِدقَة	N	N;NOM;INDF;SG
チャリティ	الاحسان	チャリティ	إِحسَان	N	N;NOM;DEF;SG
ストリング	سلسلة	ストリング	سِلسِلَة	N	N;NOM;INDF;SG
ストリング	خيط	ストリング	خَيط	N	N;NOM;INDF;SG
ストリング	السلسلة	ストリング	سِلسِلَة	N	N;NOM;DEF;SG
プロット	مؤامرة	プロット	مُؤَامَرَة	N	N;NOM;INDF;SG
プロット	المؤامرة	プロット	مُؤَامَرَة	N	N;NOM;DEF;SG
区切り	تكسر	区切り	كَسَّر	V	V;IPFV;FEM;IND;SG;3;FIN;ACT
計器	صك	計器	صَكّ	N	N;NOM;INDF;SG
計器	الصك	計器	صَكّ	N	N;NOM;DEF;SG
文官	المدنيون	文官	مَدَنِيّ	N	N;NOM;DEF;PL
タオル	منشفة	タオル	مُنشِف	N	N;NOM;INDF;SG
タオル	المناشف	タオル	مَنشِفَة	N	N;NOM;DEF;PL
ディッシュ	صحن	ディッシュ	صَحن	N	N;NOM;INDF;SG
ディッシュ	الطبق	ディッシュ	طَبِيقَة	N	N;NOM;DEF;SG
ディッシュ	الصحن	ディッシュ	صَحن	N	N;NOM;DEF;SG
ディッシュ	طبق	ディッシュ	طَبَّق	N	N;NOM;INDF;SG
方法論	منهجية	方法論	مُنهَجِيّ	N	N;NOM;INDF;SG
方法論	المنهجية	方法論	مَنهَجِيّ	N	N;NOM;DEF;SG
ノズル	فوهة	ノズル	فَوهَة	N	N;NOM;INDF;SG
パイン	الصنوبر	パイン	صُنُوبِر	N	N;NOM;DEF;SG
正方	المربع	正方	مُرَبَّع	N	N;NOM;DEF;SG
正方	ميدان	正方	مَيدَان	N	N;NOM;INDF;SG
正方	المربعات	正方	مُرَبِّع	N	N;NOM;DEF;PL
リザーブ	الاحتياطي	リザーブ	اِحتِيَاطِيّ	N	N;NOM;DEF;SG
肥満	السمنة	肥満	سُمنَة	N	N;NOM;DEF;SG
モデリング	النمذجة	モデリング	نَمَذجَة	N	N;NOM;DEF;SG
モデリング	نمذجة	モデリング	نَمَذ	N	N;NOM;INDF;SG
キャビン	الكوخ	キャビン	الكوخ	N	N;NOM;DEF;SG
キャビン	كابينة	キャビン	كابينة	N	N;NOM;INDF;SG
キャビン	المقصورة	キャビン	مَقصُورَة	N	N;NOM;DEF;SG
行軍	المسيرة	行軍	مَسِيرَة	N	N;NOM;DEF;SG
行軍	الزحف	行軍	زَحف	N	N;NOM;DEF;SG
羽毛	الريشة	羽毛	رِيشَة	N	N;NOM;DEF;SG
羽毛	الريش	羽毛	رِيش	N	N;NOM;DEF;SG
銀河	مجرة	銀河	مِجرَة	N	N;NOM;INDF;SG
銀河	المجرة	銀河	مَجرَة	N	N;NOM;DEF;SG
フィナーレ	خاتمة	フィナーレ	خاتمة	N	N;NOM;INDF;SG
フィナーレ	الخاتمة	フィナーレ	خَاتِم	N	N;NOM;DEF;SG
アニマル	الحيوان	アニマル	حَيَان	N	N;NOM;DEF;SG
アニマル	حيوان	アニマル	حيوان	N	N;NOM;INDF;SG
開祖	المؤسس	開祖	مُؤَسِّس	N	N;NOM;DEF;SG
マグネシウム	المغنيسيوم	マグネシウム	المغنيسيوم	N	N;NOM;DEF;PL
共和制	الجمهورية	共和制	جُمهُورِيَّة	N	N;NOM;DEF;SG
共和制	جمهورية	共和制	جُمهُورِيَّة	N	N;NOM;INDF;SG
共和制	الجمهوريات	共和制	جُمهُورِيَّة	N	N;NOM;DEF;PL
仮装	الزي	仮装	اَلزَذِي	N	N;NOM;DEF;SG
磁石	المغناطيس	磁石	مُغَنَاطِيس	N	N;NOM;DEF;SG
磁石	المغناطيس	磁石	مُغَنَاطِيس	N	N;NOM;DEF;SG
インストラクター	مدرب	インストラクター	مُدَرِّب	N	N;NOM;INDF;SG
イノベーション	الابتكارات	イノベーション	اِبتِكَار	N	N;NOM;DEF;PL
イノベーション	ابداع	イノベーション	بَدَع	N	N;NOM;INDF;SG
イノベーション	الابداع	イノベーション	بَدَع	N	N;NOM;DEF;SG
イノベーション	الابتكار	イノベーション	اِبتِكَار	N	N;NOM;DEF;SG
イノベーション	ابتكار	イノベーション	اِبتِكَار	N	N;NOM;INDF;SG
イノベーション	التجديد	イノベーション	تَجدِيد	N	N;NOM;DEF;SG
窃盗	سرقة	窃盗	سَرِقَة	N	N;NOM;INDF;SG
窃盗	السرقة	窃盗	سَرِقَة	N	N;NOM;DEF;SG
窃盗	سرقة	窃盗	سَرِقَة	N	N;NOM;INDF;SG
合図	الاشارات	合図	إِشَارَة	N	N;NOM;DEF;PL
合図	اشارات	合図	إِشَارَة	N	N;NOM;INDF;PL
コンビネーション	مزيج	コンビネーション	مَزِيج	N	N;NOM;INDF;SG
コンビネーション	تركيبة	コンビネーション	تَركِيبَة	N	N;NOM;INDF;SG
シャンプー	الشامبو	シャンプー	شَامِب	N	N;NOM;DEF;SG
四肢	اطراف	四肢	طَرَف	N	N;NOM;INDF;PL
四肢	الاطراف	四肢	طَرَف	N	N;NOM;DEF;PL
四肢	اطراف	四肢	طَرَف	N	N;NOM;INDF;PL
思春	البلوغ	思春	بَلوَغ	N	N;NOM;DEF;SG
ダイアモンド	الماس	ダイアモンド	مَاس	N	N;NOM;DEF;SG
ダイアモンド	الماسة	ダイアモンド	مَاسَّة	N	N;NOM;DEF;SG
外傷	الاصابة	外傷	إِصَابَة	N	N;NOM;DEF;SG
外傷	اصابة	外傷	إِصَابَة	N	N;NOM;INDF;SG
外傷	الصدمة	外傷	صَدمَة	N	N;NOM;DEF;SG
朝食	فطور	朝食	فَطّ	N	N;NOM;INDF;SG
朝食	الافطار	朝食	فِطر	N	N;NOM;DEF;SG
朝食	الفطور	朝食	فَطُور	N	N;NOM;DEF;SG
朝食	افطار	朝食	فَطر	N	N;NOM;INDF;SG
化身	تجسيد	化身	تَجسِيد	N	N;NOM;INDF;SG
アルカリ	القلوي	アルカリ	قَلوِيّ	N	N;NOM;DEF;SG
予告	المقطورة	予告	مَقطُور	N	N;NOM;DEF;SG
予告	مقطورة	予告	مَقطُور	N	N;NOM;INDF;SG
シルク	الحرير	シルク	حَرِير	N	N;NOM;DEF;SG
フリーズ	تجميد	フリーズ	تَجمِيد	N	N;NOM;INDF;SG
フリーズ	التجميد	フリーズ	تَجمِيد	N	N;NOM;DEF;SG
スパイラル	دوامة	スパイラル	دوامة	N	N;NOM;INDF;SG
アソシエーション	جمعية	アソシエーション	جَمعِيَّة	N	N;NOM;INDF;SG
アソシエーション	الرابطة	アソシエーション	رَابِطَة	N	N;NOM;DEF;SG
アソシエーション	رابطة	アソシエーション	رَابِطَة	N	N;NOM;INDF;SG
アソシエーション	الجمعية	アソシエーション	جَمعِيَّة	N	N;NOM;DEF;SG
租税	ضرائب	租税	ضَرِيبَة	N	N;NOM;INDF;PL
租税	الضرائب	租税	ضَرِيبَة	N	N;NOM;DEF;PL
租税	الضريبة	租税	ضَرِيبَة	N	N;NOM;DEF;SG
租税	ضرائب	租税	ضَرِيبَة	N	N;NOM;INDF;PL
租税	الضرائب	租税	ضَرِيبَة	N	N;NOM;DEF;PL
租税	الضريبة	租税	ضَرِيبَة	N	N;NOM;DEF;SG
租税	ضريبة	租税	ضَرِيبَة	N	N;NOM;INDF;SG
オウム	الببغاء	オウム	بَبَغ	N	N;NOM;DEF;SG
オウム	ببغاء	オウム	بَبَغَاء	N	N;NOM;INDF;SG
廊下	المدخل	廊下	مَدخَل	N	N;NOM;DEF;SG
廊下	الرواق	廊下	رَوَاق	N	N;NOM;DEF;SG
廊下	الممر	廊下	مَمر	N	N;NOM;DEF;SG
廊下	ممر	廊下	مَمَرّ	N	N;NOM;INDF;SG
コレクター	الجامع	コレクター	جَامِع	N	N;NOM;DEF;SG
整形	التنسيق	整形	تَنسِيق	N	N;NOM;DEF;SG
インパルス	الاندفاع	インパルス	اِندِفَاع	N	N;NOM;DEF;SG
インパルス	اندفاع	インパルス	اِندِفَاع	N	N;NOM;INDF;SG
アイデンティティ	هوية	アイデンティティ	هُوِيَّة	N	N;NOM;INDF;SG
アイデンティティ	الهوية	アイデンティティ	هُوِيَّة	N	N;NOM;DEF;SG
キツネ	الثعلب	キツネ	ثَعلَب	N	N;NOM;DEF;SG
プロパガンダ	الدعاية	プロパガンダ	دِعَايَة	N	N;NOM;DEF;SG
プロパガンダ	دعاية	プロパガンダ	دِعَايَة	N	N;NOM;INDF;SG
イージー	السهل	イージー	سَهل	N	N;NOM;DEF;SG
風邪	البرد	風邪	بُرد	N	N;NOM;DEF;SG
風邪	الباردة	風邪	بَارِد	N	N;NOM;DEF;SG
ストレージ	مخزن	ストレージ	مَخزَن	N	N;NOM;INDF;SG
ストレージ	المخزن	ストレージ	مَخزَن	N	N;NOM;DEF;SG
ストレージ	التخزين	ストレージ	تَخزِين	N	N;NOM;DEF;SG
ストレージ	تخزين	ストレージ	تَخزِين	N	N;NOM;INDF;SG
シチュエーション	الوضع	シチュエーション	وَضع	N	N;NOM;DEF;SG
シチュエーション	الموقف	シチュエーション	مَوقِف	N	N;NOM;DEF;SG
シチュエーション	الحالة	シチュエーション	حَالَة	N	N;NOM;DEF;SG
厳重	صارم	厳重	صَارِم	ADJ	ADJ;NOM;INDF;MASC;SG
厳重	صارمة	厳重	صَارِم	ADJ	ADJ;NOM;INDF;FEM;SG
青	البرونز	青	بُرُونز	N	N;NOM;DEF;SG
貯蓄	الادخار	貯蓄	اِدِّخَار	N	N;NOM;DEF;SG
貯蓄	المدخرات	貯蓄	مُدَّخِرَة	N	N;NOM;DEF;PL
貯蓄	مدخرات	貯蓄	مُدَّخِرَة	N	N;NOM;INDF;PL
貯蓄	وفورات	貯蓄	وفورات	N	N;NOM;INDF;PL
パラシュート	المظلة	パラシュート	مُظَلَّة	N	N;NOM;DEF;SG
パラシュート	مظلة	パラシュート	مِظَلَّة	N	N;NOM;INDF;SG
アレイ	المصفوفة	アレイ	مَصفُوف	N	N;NOM;DEF;SG
腎臓	الكلى	腎臓	كُليَة	N	N;NOM;DEF;PL
腎臓	كلية	腎臓	كُلِّيَّة	N	N;NOM;INDF;SG
腎臓	الكلية	腎臓	كُلِّيَّة	N	N;NOM;DEF;SG
抵当	مرهونة	抵当	مَرهُون	N	N;NOM;INDF;SG
アスペクト	جانب	アスペクト	جَانِب	N	N;NOM;INDF;SG
アスペクト	الجانب	アスペクト	جَانِب	N	N;NOM;DEF;SG
リアリティ	واقع	リアリティ	وَاقِع	N	N;NOM;INDF;SG
リアリティ	واقعا	リアリティ	وَاقِع	N	N;ACC;INDF;SG
リアリティ	الواقع	リアリティ	وَاقِع	N	N;NOM;DEF;SG
温室	الدفيئة	温室	دَفِيء	N	N;NOM;DEF;SG
稼ぐ	تكسب	稼ぐ	كَسَب	V	V;IPFV;FEM;IND;SG;3;FIN;ACT
稼ぐ	كسب	稼ぐ	كَسب	V	V;PFV;MASC;SG;3;ACT
稼ぐ	كسب	稼ぐ	كَسب	V	V;PFV;MASC;SG;3;ACT
うつ	اكتئاب	うつ	اِكتِئَاب	N	N;NOM;INDF;SG
うつ	الاكتئاب	うつ	اِكتِئَاب	N	N;NOM;DEF;SG
うつ	الكساد	うつ	كَسَاد	N	N;NOM;DEF;SG
接吻	التقبيل	接吻	تَقبِيل	N	N;NOM;DEF;SG
接吻	تقبيل	接吻	تَقبِيل	N	N;NOM;INDF;SG
接吻	قبلة	接吻	قَبلَة	N	N;NOM;INDF;SG
審理	الاجراءات	審理	إِجرَاء	N	N;NOM;DEF;PL
ジャーナリズム	صحافة	ジャーナリズム	صَحَافَة	N	N;NOM;INDF;SG
ジャーナリズム	الصحافة	ジャーナリズム	صَحَافَة	N	N;NOM;DEF;SG
湿度	الرطوبة	湿度	رُطُوبَة	N	N;NOM;DEF;SG
ボリューム	الحجم	ボリューム	حَجم	N	N;NOM;DEF;SG
ボリューム	المجلد	ボリューム	مَجلَد	N	N;NOM;DEF;SG
ボリューム	حجم	ボリューム	حَجم	N	N;NOM;INDF;SG
サプライ	الامداد	サプライ	إِمدَاد	N	N;NOM;DEF;PL
サプライ	توريد	サプライ	تَورِيد	N	N;NOM;INDF;SG
サプライ	امداد	サプライ	إِمدَاد	N	N;NOM;INDF;SG
ボンネット	القلنسوة	ボンネット	قُلنسُوَّة	N	N;NOM;DEF;SG
食肉	اللحم	食肉	لَحم	N	N;NOM;DEF;SG
食肉	لحوم	食肉	لَحم	N	N;NOM;INDF;PL
食肉	اللحوم	食肉	لَحم	N	N;NOM;DEF;PL
食肉	لحم	食肉	لَحم	N	N;NOM;INDF;SG
生き物	المخلوق	生き物	مَخلُوق	N	N;NOM;DEF;SG
酵母	الخميرة	酵母	خَمِير	N	N;NOM;DEF;SG
願望	الطموحات	願望	طُمُوح	N	N;NOM;DEF;PL
願望	تطلعات	願望	تَطَلُّع	N	N;NOM;INDF;PL
願望	التطلعات	願望	تَطَلُّع	N	N;NOM;DEF;PL
土産	التذكارات	土産	تَذَكُّر	N	N;NOM;DEF;PL
土産	تذكار	土産	تَذكَار	N	N;NOM;INDF;SG
ジャガイモ	البطاطا	ジャガイモ	بِطَاط	N	N;NOM;DEF;SG
