les	els	le	el	DET;DEF;PL	DET;DEF;MASC;PL
svg	svg	svg	svg	N;MASC;SG	N;MASC;SG
architecte	arquitecte	architecte	arquitecte	N;MASC;SG	N;MASC;SG
message	missatge	message	missatge	N;MASC;SG	N;MASC;SG
artistes	artistes	artiste	artista	N;MASC;PL	N;PL
constitution	constitució	constitution	constitució	N;FEM;SG	N;FEM;SG
presque	gairebé	presque	gairebé	ADV	ADV
propose	proposa	proposer	proposar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
esprit	esperit	esprit	esperit	N;MASC;SG	N;MASC;SG
moteur	motor	moteur	motor	N;MASC;SG	N;MASC;SG
relations	relacions	relation	relació	N;FEM;PL	N;FEM;PL
relations	relacions	relation	relació	N;FEM;PL	N;FEM;PL
ouverture	obertura	ouverture	obertura	N;FEM;SG	N;FEM;SG
désormais	ara	désormais	ara	ADV	ADV
séries	sèries	série	sèrie	N;FEM;PL	N;FEM;PL
galerie	galeria	galerie	galeria	N;FEM;SG	N;FEM;SG
parlement	parlament	parlement	parlament	N;MASC;SG	N;MASC;SG
zip	zip	zip	zip	N;MASC;SG	N;MASC;SG
étudiant	alumne	étudiant	alumne	N;MASC;SG	N;MASC;SG
techniques	tècniques	technique	tècnic	ADJ;MASC;PL	ADJ;FEM;PL
théorie	teoria	théorie	teoria	N;FEM;SG	N;FEM;SG
suppression	supressió	suppression	supressió	N;FEM;SG	N;FEM;SG
suppression	supressió	suppression	supressió	N;FEM;SG	N;FEM;SG
suppression	eliminació	suppression	eliminació	N;FEM;SG	N;FEM;SG
ami	amistat	ami	amistat	N;MASC;SG	N;FEM;SG
ami	amic	ami	amic	N;MASC;SG	N;MASC;SG
arrive	arriba	arriver	arribar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
images	imatges	image	imatge	N;FEM;PL	N;FEM;PL
images	fotografies	image	fotografia	N;FEM;PL	N;FEM;PL
éducation	educació	éducation	educació	N;FEM;SG	N;FEM;SG
magazine	revista	magazine	revista	N;MASC;SG	N;FEM;SG
don	donació	don	donació	N;MASC;SG	N;FEM;SG
hauteur	alçada	hauteur	alçada	N;FEM;SG	N;FEM;SG
hauteur	alçària	hauteur	alçari	N;FEM;SG	N;FEM;SG
hauteur	altura	hauteur	altura	N;FEM;SG	N;FEM;SG
camp	campament	camp	campament	N;MASC;SG	N;MASC;SG
camp	camp	camp	camp	N;MASC;SG	N;MASC;SG
secteur	sector	secteur	sector	N;MASC;SG	N;MASC;SG
probablement	probablement	probablement	probablement	ADV	ADV
social	social	social	social	ADJ;MASC;SG	ADJ;SG
représentant	representant	représentant	representant	N;MASC;SG	N;SG
saisons	temporades	saison	temporada	N;FEM;PL	N;FEM;PL
saisons	estacions	saison	estació	N;FEM;PL	N;FEM;PL
temple	temple	temple	temple	N;MASC;SG	N;MASC;SG
forêt	bosc	forêt	bosc	N;FEM;SG	N;MASC;SG
importance	importància	importance	importància	N;FEM;SG	N;FEM;SG
importance	transcendència	importance	transcendència	N;FEM;SG	N;FEM;SG
importance	significació	importance	significació	N;FEM;SG	N;FEM;SG
maintenant	ara	maintenant	ara	ADV	ADV
forte	forta	fort	fort	ADJ;FEM;SG	ADJ;FEM;SG
forte	fort	fort	fort	ADJ;FEM;SG	ADJ;MASC;SG
conflit	conflicte	conflit	conflicte	N;MASC;SG	N;MASC;SG
conflit	controvèrsia	conflit	controvèrsia	N;MASC;SG	N;FEM;SG
meurt	mor	mourir	mor	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
docteur	metge	docteur	metge	N;MASC;SG	N;MASC;SG
docteur	doctor	docteur	doctor	N;MASC;SG	N;MASC;SG
gouverneur	governador	gouverneur	governador	N;MASC;SG	N;MASC;SG
artistique	artístic	artistique	artístic	ADJ;MASC;SG	ADJ;MASC;SG
artistique	artística	artistique	artístic	ADJ;MASC;SG	ADJ;FEM;SG
utilise	usa	utiliser	usar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
bassin	pelvis	bassin	pelvi	N;MASC;SG	N;FEM;SG
bassin	conca	bassin	conca	N;MASC;SG	N;FEM;SG
victoires	victòries	victoire	victòria	N;FEM;PL	N;FEM;PL
victoires	victòries	victoire	victòria	N;FEM;PL	N;FEM;PL
bureau	despatx	bureau	despatx	N;MASC;SG	N;MASC;SG
bureau	oficina	bureau	oficina	N;MASC;SG	N;FEM;SG
contrat	contracte	contrat	contracte	N;MASC;SG	N;MASC;SG
romain	romà	romain	romà	ADJ;MASC;SG	ADJ;MASC;SG
professionnel	professional	professionnel	professional	ADJ;MASC;SG	ADJ;SG
arbitre	àrbitre	arbitre	àrbitre	N;MASC;SG	N;MASC;SG
justice	justícia	justice	justícia	N;FEM;SG	N;FEM;SG
directement	directament	directement	directament	ADV	ADV
appel	recurs	appel	recurs	N;MASC;SG	N;MASC;SG
appel	convocatòria	appel	convocatòria	N;MASC;SG	N;FEM;SG
appel	trucada	appel	trucada	N;MASC;SG	N;FEM;SG
semaine	setmana	semaine	setmana	N;FEM;SG	N;FEM;SG
you	vostè	you	tu	PRO;SG;2	PRO;SG;2;FORM
chanteur	cantant	chanteur	cantant	N;MASC;SG	N;SG
européen	european	européen	europeun	ADJ;MASC;SG	ADJ;SG
distribution	distribució	distribution	distribució	N;FEM;SG	N;FEM;SG
canadien	canadenc	canadien	canadenc	ADJ;MASC;SG	ADJ;MASC;SG
entreprises	negocis	entreprise	negoci	N;FEM;PL	N;MASC;PL
entreprises	empreses	entreprise	empresa	N;FEM;PL	N;FEM;PL
entreprises	companyies	entreprise	companyia	N;FEM;PL	N;FEM;PL
supérieure	superior	supérieur	superior	ADJ;FEM;SG	ADJ;SG
frères	germans	frère	germà	N;MASC;PL	N;MASC;PL
train	tren	train	tren	N;MASC;SG	N;MASC;SG
soviétique	soviètic	soviétique	soviètic	ADJ;MASC;SG	ADJ;MASC;SG
soviétique	soviètica	soviétique	soviètic	ADJ;MASC;SG	ADJ;FEM;SG
lieutenant	tinent	lieutenant	tinent	N;MASC;SG	N;SG
textes	textos	texte	text	N;MASC;PL	N;MASC;PL
moitié	meitat	moitié	meitat	N;FEM;SG	N;FEM;SG
pilote	xofer	pilote	xofer	N;MASC;SG	N;MASC;SG
pilote	conductor	pilote	conductor	N;MASC;SG	N;MASC;SG
pilote	pilot	pilote	pilot	N;MASC;SG	N;MASC;SG
studio	estudi	studio	estudi	N;MASC;SG	N;MASC;SG
réponse	resposta	réponse	resposta	N;FEM;SG	N;FEM;SG
chacun	cadascuna	chacun	cadascun	PRO;MASC;SG	PRO;FEM;SG
chacun	cadascun	chacun	cadascun	PRO;MASC;SG	PRO;MASC;SG
physique	física	physique	físic	ADJ;MASC;SG	ADJ;FEM;SG
physique	físic	physique	físic	ADJ;MASC;SG	ADJ;MASC;SG
auteurs	escriptores	auteur	escriptora	N;MASC;PL	N;FEM;PL
auteurs	escriptors	auteur	escriptor	N;MASC;PL	N;MASC;PL
auteurs	autors	auteur	autor	N;MASC;PL	N;MASC;PL
chansons	cançons	chanson	cançó	N;FEM;PL	N;FEM;PL
via	mitjançant	via	mitjançant	ADP	ADP
volume	volum	volume	volum	N;MASC;SG	N;MASC;SG
militaires	militars	militaire	militar	ADJ;MASC;PL	ADJ;PL
pape	papa	pape	papa	N;MASC;SG	N;MASC;SG
quoi	quins	quoi	quin	PRO	PRO;MASC;PL
quoi	quina	quoi	quin	PRO	PRO;FEM;SG
quoi	quin	quoi	quin	PRO	PRO;MASC;SG
quoi	què	quoi	què	PRO	PRO;SG
questions	preguntes	question	pregunta	N;FEM;PL	N;FEM;PL
parle	parla	parler	parlar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
lire	llegir	lire	llegir	V;NFIN	V;NFIN
lire	lectura	lire	lectura	V;NFIN	V;IND;SG;3;PRS;FIN
ouvrages	llibres	ouvrage	llibre	N;MASC;PL	N;MASC;PL
industrie	indústria	industrie	indústria	N;FEM;SG	N;FEM;SG
lettre	carta	lettre	carta	N;FEM;SG	N;FEM;SG
terres	terres	terre	terra	N;FEM;PL	N;FEM;PL
man	home	man	home	N;MASC;SG	N;MASC;SG
opération	operació	opération	operació	N;FEM;SG	N;FEM;SG
opération	transacció	opération	transacció	N;FEM;SG	N;FEM;SG
piste	pista	piste	pista	N;FEM;SG	N;FEM;SG
piste	peça	piste	peça	N;FEM;SG	N;SG
piste	sender	piste	sender	N;FEM;SG	N;MASC;SG
paix	pau	paix	pau	N;FEM;SG	N;FEM;SG
vieux	antic	vieux	antic	ADJ;MASC;SG	ADJ;MASC;SG
propriétaire	propietari	propriétaire	propietari	N;MASC;SG	N;MASC;SG
faible	dèbil	faible	dèbil	ADJ;MASC;SG	ADJ;SG
faible	feble	faible	feble	ADJ;MASC;SG	ADJ;SG
algérie	algèria	algérie	algèria	ADJ;MASC;SG	ADJ;FEM;SG
journée	jornada	journée	jornada	N;FEM;SG	N;FEM;SG
journée	dia	journée	dia	N;FEM;SG	N;MASC;SG
participation	assiduïtat	participation	assiduïtat	N;FEM;SG	N;FEM;SG
participation	participació	participation	participació	N;FEM;SG	N;FEM;SG
puissance	potència	puissance	potència	N;FEM;SG	N;FEM;SG
zones	zones	zone	zona	N;FEM;PL	N;FEM;PL
zones	àrees	zone	àrea	N;FEM;PL	N;FEM;PL
zones	àmbits	zone	àmbit	N;FEM;PL	N;MASC;PL
endémique	endèmica	endémique	endèmic	ADJ;MASC;SG	ADJ;FEM;SG
sœur	germaneta	sœur	germaneta	N;FEM;SG	N;FEM;SG
sœur	germana	sœur	germana	N;FEM;SG	N;FEM;SG
opéra	òpera	opéra	òpera	N;MASC;SG	N;FEM;SG
locale	local	local	local	ADJ;FEM;SG	ADJ;SG
piano	piano	piano	piano	N;MASC;SG	N;MASC;SG
montagne	muntanya	montagne	muntanya	N;FEM;SG	N;FEM;SG
circonscription	divisió	circonscription	divisió	N;FEM;SG	N;FEM;SG
circonscription	circumscripció	circonscription	circumscripció	N;FEM;SG	N;FEM;SG
poète	poeta	poète	poeta	N;MASC;SG	N;SG
champ	àmbit	champ	àmbit	N;MASC;SG	N;MASC;SG
champ	camp	champ	camp	N;MASC;SG	N;MASC;SG
champ	champ	champ	champ	N;MASC;SG	N;FEM
religieux	religiós	religieux	religiós	ADJ;MASC;SG	ADJ;MASC;SG
archives	arxius	archive	arxiu	N;FEM;PL	N;MASC;PL
vote	votació	vote	votació	N;MASC;SG	N;FEM;SG
vote	vot	vote	vot	N;MASC;SG	N;MASC;SG
projets	projectes	projet	projecte	N;MASC;PL	N;MASC;PL
formes	formularis	forme	formulari	N;FEM;PL	N;MASC;PL
formes	formes	forme	forma	N;FEM;PL	N;FEM;PL
formes	formes	forme	forma	N;FEM;PL	N;FEM;PL
proximité	proximitat	proximité	proximitat	N;FEM;SG	N;FEM;SG
romaine	romà	romain	romà	ADJ;FEM;SG	ADJ;MASC;SG
obtenir	aconsegueix	obtenir	aconseguir	V;NFIN	V;IND;SG;3;PRS;FIN
blanche	blanc	blanc	blanc	ADJ;FEM;SG	ADJ;MASC;SG
continue	continu	continu	continu	ADJ;FEM;SG	ADJ;MASC;SG
chant	cançó	chant	cançó	N;MASC;SG	N;FEM;SG
chant	cantant	chant	cantant	N;MASC;SG	N;SG
mondial	global	mondial	global	ADJ;MASC;SG	ADJ;SG
congrès	congrés	congrès	congrés	N;MASC;SG	N;MASC;SG
chinois	xinès	chinois	xinès	ADJ;MASC;SG	ADJ;MASC;SG
utilisateur	usuari	utilisateur	usuari	N;MASC;SG	N;MASC;SG
allemands	alemanys	allemand	alemany	ADJ;MASC;PL	ADJ;MASC;PL
amis	amics	ami	amic	N;MASC;PL	N;MASC;PL
amis	amistats	ami	amistat	N;MASC;PL	N;FEM;PL
peinture	pintura	peinture	pintura	N;FEM;SG	N;FEM;SG
légion	legió	légion	legió	N;FEM;SG	N;FEM;SG
légion	légion	légion	légion	N;FEM;SG	N;FEM;SG
inclinaison	inclinació	inclinaison	inclinació	N;FEM;SG	N;FEM;SG
inclinaison	inclinació	inclinaison	inclinació	N;FEM;SG	N;FEM;SG
mexique	mèxic	mexique	mèxic	ADJ;MASC;SG	ADJ;MASC;SG
limite	límit	limite	límit	N;FEM;SG	N;MASC;SG
dernières	últimes	dernier	últim	ADJ;FEM;PL	ADJ;FEM;PL
cinquième	cinquè	cinquième	cinquè	ADJ;MASC;SG	ADJ;MASC;SG
cinquième	cinquena	cinquième	cinquè	ADJ;MASC;SG	ADJ;FEM;SG
gens	persones	gens	persona	N;MASC;PL	N;FEM;PL
guitare	guitarra	guitare	guitarra	N;FEM;SG	N;FEM;SG
liberté	llibertat	liberté	llibertat	N;FEM;SG	N;FEM;SG
liberté	llibertat	liberté	llibertat	N;FEM;SG	N;FEM;SG
star	estrella	star	estrella	N;FEM;SG	N;FEM;SG
fête	festival	fête	festival	N;FEM;SG	N;MASC;SG
fête	partit	fête	partit	N;FEM;SG	N;MASC;SG
fête	festa	fête	festa	N;FEM;SG	N;FEM;SG
photo	foto	photo	foto	N;FEM;SG	N;FEM;SG
canal	canal	canal	canal	N;MASC;SG	N;MASC;SG
canal	canal	canal	canal	N;MASC;SG	N;MASC;SG
vincent	vicent	vincent	vicent	N;MASC;SG	N;SG
jouer	reprodueix	jouer	reproduir	V;NFIN	V;IND;SG;3;PRS;FIN
jouer	jugant	jouer	jugar	V;NFIN	V;V.MSDR
précédente	anterior	précédent	anterior	ADJ;FEM;SG	ADJ;SG
polonais	polonès	polonais	polonès	ADJ;MASC;SG	ADJ;MASC;SG
analyse	anàlisi	analyse	anàlisi	N;FEM;SG	N;FEM;SG
recherches	cerques	recherche	cerca	N;FEM;PL	N;MASC;PL
offre	oferta	offre	oferta	N;FEM;SG	N;FEM;SG
sauf	excepte	sauf	excepte	ADP	ADP
frontière	frontera	frontière	frontera	N;FEM;SG	N;FEM;SG
américains	americans	américain	americà	ADJ;MASC;PL	ADJ;MASC;PL
existence	existència	existence	existència	N;FEM;SG	N;FEM;SG
indépendance	independència	indépendance	independència	N;FEM;SG	N;FEM;SG
eaux	aigües	eau	aigua	N;FEM;PL	N;FEM;PL
bâtiments	edificacions	bâtiment	edificació	N;MASC;PL	N;FEM;PL
bâtiments	edificis	bâtiment	edifici	N;MASC;PL	N;MASC;PL
uniquement	només	uniquement	només	ADV	ADV
résistance	resistència	résistance	resistència	N;FEM;SG	N;FEM;SG
caractère	caràcter	caractère	caràcter	N;MASC;SG	N;MASC;SG
caractère	personatge	caractère	personatge	N;MASC;SG	N;MASC;SG
contient	conté	contenir	contenir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
excentricité	excentricitat	excentricité	excentricitat	N;FEM;SG	N;FEM;SG
objets	objectes	objet	objecte	N;MASC;PL	N;MASC;PL
sommet	tossal	sommet	tossal	N;MASC;SG	N;MASC;SG
sommet	cimera	sommet	cimera	N;MASC;SG	N;FEM;SG
border	frontera	border	frontera	N;MASC;SG	N;FEM;SG
licence	llicència	licence	llicència	N;FEM;SG	N;FEM;SG
licence	llicència	licence	llicència	N;FEM;SG	N;FEM;SG
juifs	jueus	juif	jueu	N;MASC;PL	N;MASC;PL
médecin	metge	médecin	metge	N;MASC;SG	N;MASC;SG
médecin	metge	médecin	metge	N;MASC;SG	N;MASC;SG
médecin	doctor	médecin	doctor	N;MASC;SG	N;MASC;SG
écrire	escriu	écrire	escriure	V;NFIN	V;IND;SG;3;PRS;FIN
besoin	necessitat	besoin	necessitat	N;MASC;SG	N;FEM;SG
fondateur	fundador	fondateur	fundador	N;MASC;SG	N;MASC;SG
avance	antelació	avance	antelació	N;FEM;SG	N;FEM;SG
avance	bestreta	avance	bestret	N;FEM;SG	N;FEM;SG
grec	grec	grec	grec	ADJ;MASC;SG	ADJ;MASC;SG
règles	regles	règle	regla	N;FEM;PL	N;FEM;PL
règles	normes	règle	norma	N;FEM;PL	N;FEM;PL
soldats	soldats	soldat	soldat	N;MASC;PL	N;MASC;PL
religion	religió	religion	religió	N;FEM;SG	N;FEM;SG
cimetière	cementiri	cimetière	cementiri	N;MASC;SG	N;MASC;SG
somme	sumatori	somme	sumatori	N;FEM;SG	N;MASC;SG
défaite	derrota	défaite	derrota	N;FEM;SG	N;FEM;SG
sports	esports	sport	esport	N;MASC;PL	N;MASC;PL
ceci	això	ceci	això	PRO;SG	PRO;SG
maritime	marítim	maritime	marítim	ADJ;MASC;SG	ADJ;MASC;SG
épreuve	test	épreuve	test	N;FEM;SG	N;SG
voies	carrils	voie	carril	N;FEM;PL	N;MASC;PL
cardinal	cardenal	cardinal	cardenal	N;MASC;SG	N;MASC;SG
exploitation	explotació	exploitation	explotació	N;FEM;SG	N;FEM;SG
sert	serveix	servir	servir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
encyclopédie	encyclopédie	encyclopédie	encyclopédie	N;FEM;SG	N;FEM;SG
parents	pares	parent	pare	N;MASC;PL	N;MASC;PL
disque	disc	disque	disc	N;MASC;SG	N;MASC;SG
recensement	cens	recensement	cens	N;MASC;SG	N;MASC;SG
philosophie	filosofia	philosophie	filosofia	N;FEM;SG	N;FEM;SG
hôpital	hospital	hôpital	hospital	N;MASC;SG	N;MASC;SG
propriété	propietat	propriété	propietat	N;FEM;SG	N;FEM;SG
parler	parlant	parler	parlar	V;NFIN	V;V.MSDR
expression	expressió	expression	expressió	N;FEM;SG	N;FEM;SG
astéroïdes	asteroides	astéroïde	asteroit	N;MASC;PL	N;MASC;PL
nécessaire	requerit	nécessaire	requerir	ADJ;MASC;SG	ADJ;MASC;SG;V.PTCP
nécessaire	requerida	nécessaire	requerit	ADJ;MASC;SG	ADJ;FEM;SG;V.PTCP
règne	regnat	règne	regnar	N;MASC;SG	N;MASC;SG
difficile	dura	difficile	dur	ADJ;MASC;SG	ADJ;FEM;SG
difficile	difícil	difficile	difícil	ADJ;MASC;SG	ADJ;SG
inconnu	desconegut	inconnu	desconegut	ADJ;MASC;SG	ADJ;MASC;SG;V.PTCP
inconnu	desconeguda	inconnu	desconegut	ADJ;MASC;SG	ADJ;FEM;SG;V.PTCP
champions	champions	champion	champió	N;MASC;PL	N;FEM;PL
champions	campions	champion	campió	N;MASC;PL	N;MASC;PL
modèles	models	modèle	model	N;MASC;PL	N;MASC;PL
modèles	plantilles	modèle	plantilla	N;MASC;PL	N;FEM;PL
animaux	mascotes	animal	mascota	N;MASC;PL	N;FEM;PL
animaux	animals	animal	animal	N;MASC;PL	N;PL
navires	naus	navire	nau	N;MASC;PL	N;FEM;PL
navires	vaixells	navire	vaixell	N;MASC;PL	N;MASC;PL
débuts	inicis	début	inici	N;MASC;PL	N;MASC;PL
animation	animació	animation	animació	N;FEM;SG	N;FEM;SG
méthode	metodologia	méthode	metodologia	N;FEM;SG	N;FEM;SG
méthode	mètode	méthode	mètode	N;FEM;SG	N;MASC;SG
communication	comunicació	communication	comunicació	N;FEM;SG	N;FEM;SG
petites	petites	petit	petit	ADJ;FEM;PL	ADJ;FEM;PL
commun	comú	commun	comú	ADJ;MASC;SG	ADJ;MASC;SG
jardin	jardí	jardin	jardí	N;MASC;SG	N;MASC;SG
avion	avió	avion	avió	N;MASC;SG	N;MASC;SG
avion	avió	avion	avió	N;MASC;SG	N;MASC;SG
paroisse	parròquia	paroisse	parròquia	N;FEM;SG	N;FEM;SG
mots	paraules	mot	paraula	N;MASC;PL	N;FEM;PL
portugal	portugal	portugal	portugal	ADJ;MASC;SG	ADJ;SG
local	local	local	local	ADJ;MASC;SG	ADJ;SG
historien	historiador	historien	historiador	N;MASC;SG	N;MASC;SG
relation	relació	relation	relació	N;FEM;SG	N;FEM;SG
crée	crear	créer	crear	V;FEM;SG;PST;V.PTCP	V;NFIN
suivantes	següents	suivant	següent	ADJ;FEM;PL	ADJ;PL
navire	embarcació	navire	embarcació	N;MASC;SG	N;FEM;SG
navire	nau	navire	nau	N;MASC;SG	N;FEM;SG
étudiants	estudiants	étudiant	estudiant	N;MASC;PL	N;PL
étudiants	alumnes	étudiant	alumne	N;MASC;PL	N;MASC;PL
maisons	habitatges	maison	habitatge	N;FEM;PL	N;MASC;PL
maisons	cases	maison	casa	N;FEM;PL	N;FEM;PL
plein	ple	plein	ple	ADJ;MASC;SG	ADJ;MASC;SG
plein	plena	plein	ple	ADJ;MASC;SG	ADJ;FEM;SG
naturel	natural	naturel	natural	ADJ;MASC;SG	ADJ;SG
opposition	oposició	opposition	oposició	N;FEM;SG	N;FEM;SG
simplement	simplement	simplement	simplement	ADV	ADV
simplement	només	simplement	només	ADV	ADV
essentiellement	essencialment	essentiellement	essencialment	ADV	ADV
essentiellement	majoritàriament	essentiellement	majoritàriament	ADV	ADV
essentiellement	principalment	essentiellement	principalment	ADV	ADV
essentiellement	bàsicament	essentiellement	bàsicament	ADV	ADV
adaptation	adaptació	adaptation	adaptació	N;FEM;SG	N;FEM;SG
abbé	abat	abbé	abat	N;MASC;SG	N;MASC;SG
argument	argument	argument	argument	N;MASC;SG	N;MASC;SG
semaines	setmanes	semaine	setmana	N;FEM;PL	N;FEM;PL
familles	famílies	famille	família	N;FEM;PL	N;FEM;PL
expérience	experiment	expérience	experiment	N;FEM;SG	N;MASC;SG
expérience	experiencia	expérience	experiencia	N;FEM;SG	N;FEM;SG
expérience	experiència	expérience	experiència	N;FEM;SG	N;FEM;SG
gardien	tutor	gardien	tutor	N;MASC;SG	N;MASC;SG
gardien	guàrdia	gardien	guàrdia	N;MASC;SG	N;SG
gardien	porter	gardien	porter	N;MASC;SG	N;MASC;SG
dramatique	dramàtica	dramatique	dramàtic	ADJ;MASC;SG	ADJ;FEM;SG
extérieur	alella	extérieur	alella	N;MASC;SG	N;FEM;SG
restauration	càtering	restauration	càtering	N;FEM;SG	N;MASC;SG
restauration	restauració	restauration	restauració	N;FEM;SG	N;FEM;SG
médecine	medicament	médecine	medicament	N;FEM;SG	N;MASC;SG
médecine	medicina	médecine	medicina	N;FEM;SG	N;FEM;SG
établissement	establiment	établissement	establiment	N;MASC;SG	N;MASC;SG
marne	marne	marne	marne	N;FEM;SG	N;MASC;SG
régional	regional	régional	regional	ADJ;MASC;SG	ADJ;SG
thème	temàtica	thème	temàtica	N;MASC;SG	N;FEM;SG
thème	tema	thème	tema	N;MASC;SG	N;MASC;SG
thème	temàtica	thème	temàtica	N;MASC;SG	N;FEM;SG
thème	tema	thème	tema	N;MASC;SG	N;MASC;SG
prison	presó	prison	presó	N;FEM;SG	N;FEM;SG
distance	distància	distance	distància	N;FEM;SG	N;FEM;SG
capacité	capacitat	capacité	capacitat	N;FEM;SG	N;FEM;SG
littéraire	literari	littéraire	literari	ADJ;MASC;SG	ADJ;MASC;SG
littéraire	literària	littéraire	literari	ADJ;MASC;SG	ADJ;FEM;SG
écoles	escoles	école	escola	N;FEM;PL	N;FEM;PL
tradition	tradició	tradition	tradició	N;FEM;SG	N;FEM;SG
savoie	savoia	savoir	saver	N;FEM;SG	N;FEM;SG
connaissance	coneixement	connaissance	coneixement	N;FEM;SG	N;MASC;SG
étoile	estrella	étoile	estrella	N;FEM;SG	N;FEM;SG
marche	març	marche	març	N;FEM;SG	N
marche	passeig	marche	passeig	N;FEM;SG	N;MASC;SG
permettent	permetre	permettre	permetre	V;IND;PL;3;PRS;FIN	V;NFIN
traitement	tramitació	traitement	tramitació	N;MASC;SG	N;FEM;SG
traitement	processament	traitement	processament	N;MASC;SG	N;MASC;SG
traitement	tractament	traitement	tractament	N;MASC;SG	N;MASC;SG
masse	missa	masse	missa	N;FEM;SG	N;FEM;SG
tombe	sepultura	tomber	sepultura	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
risque	risc	risque	risc	N;MASC;SG	N;MASC;SG
risque	perillositat	risque	perillositat	N;MASC;SG	N;FEM;SG
socialiste	socialista	socialiste	socialista	ADJ;MASC;SG	ADJ;SG
réalise	adona	réaliser	adonar-se	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
notables	notables	notable	notable	ADJ;MASC;PL	ADJ;PL
vrai	real	vrai	real	ADJ;MASC;SG	ADJ;SG
vrai	cert	vrai	cert	ADJ;MASC;SG	ADJ;MASC;SG
baseball	beisbol	baseball	beisbol	N;MASC;SG	N;MASC;SG
arabe	àrab	arabe	àrab	ADJ;MASC;SG	ADJ;SG
acte	acte	acte	acte	N;MASC;SG	N;MASC;SG
civile	civil	civil	civil	ADJ;FEM;SG	ADJ;SG
civile	civil	civil	civil	ADJ;FEM;SG	ADJ;SG
essai	assaig	essai	assaig	N;MASC;SG	N;MASC;SG
essai	judici	essai	judici	N;MASC;SG	N;MASC;SG
essai	test	essai	test	N;MASC;SG	N;SG
albums	àlbums	album	àlbum	N;MASC;PL	N;MASC;PL
termes	termes	terme	terme	N;MASC;PL	N;MASC;PL
termes	condicions	terme	condició	N;MASC;PL	N;FEM;PL
filles	xiques	fille	xica	N;FEM;PL	N;FEM;PL
filles	nenes	fille	nena	N;FEM;PL	N;FEM;PL
filles	noies	fille	noia	N;FEM;PL	N;FEM;PL
filles	girls	fille	girl	N;FEM;PL	N;MASC;PL
filles	nadons	fille	nadó	N;FEM;PL	N;MASC;PL
filles	filles	fille	filla	N;FEM;PL	N;FEM;PL
midi	migdia	midi	migdia	N;MASC;SG	N;MASC;SG
géographique	geogràfic	géographique	geogràfic	ADJ;MASC;SG	ADJ;MASC;SG
maladie	malaltia	maladie	malaltia	N;FEM;SG	N;FEM;SG
aéroport	aeroport	aéroport	aeroport	N;MASC;SG	N;MASC;SG
dictionnaire	diccionari	dictionnaire	diccionari	N;MASC;SG	N;MASC;SG
autorité	autoritat	autorité	autoritat	N;FEM;SG	N;FEM;SG
autorité	amf	autorité	amf	N;FEM;SG	N;MASC;SG
préfecture	prefectura	préfecture	prefectura	N;FEM;SG	N;FEM;SG
futur	futur	futur	futur	ADJ;MASC;SG	ADJ;MASC;SG
objectif	finalitat	objectif	finalitat	N;MASC;SG	N;FEM;SG
objectif	propòsit	objectif	propòsit	N;MASC;SG	N;MASC;SG
objectif	objectiu	objectif	objectiu	N;MASC;SG	N;MASC;SG
cap	gorra	cap	gorra	N;MASC;SG	N;FEM;SG
ingénieur	enginyer	ingénieur	enginyer	N;MASC;SG	N;MASC;SG
actes	actes	acte	acte	N;MASC;PL	N;MASC;PL
occupe	ocupa	occuper	ocupar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
hongrie	hongria	hongrie	hongrir	ADJ;FEM;SG	ADJ;FEM;SG
peine	sanció	peine	sanció	N;FEM;SG	N;FEM;SG
peine	penalització	peine	penalització	N;FEM;SG	N;FEM;SG
peine	pena	peine	pena	N;FEM;SG	N;FEM;SG
peine	dolor	peine	dolor	N;FEM;SG	N;MASC;SG
absence	absència	absence	absència	N;FEM;SG	N;FEM;SG
guerres	guerres	guerre	guerra	N;FEM;PL	N;FEM;PL
sociétés	corporacions	société	corporació	N;FEM;PL	N;FEM;PL
sociétés	empreses	société	empresa	N;FEM;PL	N;FEM;PL
sociétés	companyies	société	companyia	N;FEM;PL	N;FEM;PL
chanteuse	cantant	chanteur	cantant	N;FEM;SG	N;SG
crise	crisi	crise	crisi	N;FEM;SG	N;FEM;SG
brigade	esquadra	brigade	esquadra	N;FEM;SG	N;FEM;SG
brigade	brigada	brigade	brigada	N;FEM;SG	N;FEM;SG
chapitre	capítol	chapitre	capítol	N;MASC;SG	N;MASC;SG
drapeau	bandera	drapeau	bandera	N;MASC;SG	N;FEM;SG
application	aplicació	application	aplicació	N;FEM;SG	N;FEM;SG
circuit	circuit	circuit	circuit	N;MASC;SG	N;MASC;SG
japonaise	japonès	japonais	japonès	ADJ;FEM;SG	ADJ;MASC;SG
banque	banc	banque	banc	N;FEM;SG	N;MASC;SG
