culto	kult	culto	kult	N	N;NOM;MASC;SG
fase	faza	fase	faza	N	N;NOM;FEM;SG
fase	fazo	fase	faza	N	N;ACC;FEM;SG
veredes	glej	verede	gledati	V	V;IPFV;IMP;SG;2;FIN
veredes	glejte	verede	gledati	V	V;IPFV;IMP;PL;2;FIN
veredes	si	verede	biti	V	V;IND;SG;2;POS;PRS;FIN
extraordinario	izredna	extraordinario	izreden	ADJ	ADJ;NOM;FEM;SG
extraordinario	izredni	extraordinario	izreden	ADJ	ADJ;NOM;MASC;SG
pagas	plača	paga	plača	N	N;NOM;FEM;SG
pagas	plačilo	paga	plačilo	N	N;NOM;NEUT;SG
preguntoume	vprašal	preguntoume	vprašati	V	V;PFV;MASC;SG;V.PTCP
preguntoume	vprašali	preguntoume	vprašati	V	V;PFV;MASC;PL;V.PTCP
impedir	ustavi	impedir	ustaviti	V	V;PFV;IND;SG;3;PRS;FIN
impedir	obdrži	impedir	obdržiti	V	V;PFV;IND;SG;3;PRS;FIN
impedir	ohrani	impedir	ohran	V	V;PFV;IND;SG;3;PRS;FIN
congreso	kongres	congreso	kongres	N	N;NOM;MASC;SG
congreso	kongresu	congreso	kongres	N	N;DAT;MASC;SG
recibiron	prejeti	recibir	prejeti	V	V;PFV;NFIN
collen	vzemite	coller	vzeti	V	V;PFV;IMP;PL;2;FIN
collen	vzemi	coller	vzeme	V	V;PFV;IMP;SG;2;FIN
béisbol	baseball	béisbol	basebalel	N	N;NOM;MASC;SG
electrónico	elektronska	electrónico	elektronski	ADJ	ADJ;NOM;FEM;SG
reto	izziv	reto	izziv	N	N;NOM;MASC;SG
postura	drža	postura	držati	N	N;NOM;FEM;SG
postura	držo	postura	drža	N	N;ACC;FEM;SG
postura	položaj	postura	položaj	N	N;NOM;MASC;SG
postura	lega	postura	leg	N	N;NOM;FEM;SG
postura	stališče	postura	stališče	N	N;NOM;NEUT;SG
postura	pozicija	postura	pozicija	N	N;NOM;FEM;SG
interacción	interakcij	interacción	interakcija	N	N;GEN;FEM;PL
interacción	interakcije	interacción	interakcija	N	N;NOM;FEM;PL
impotencia	nemoč	impotencia	nemoč	N	N;NOM;FEM;SG
tocas	si	toca	biti	V	V;IND;SG;2;POS;PRS;FIN
convencer	prepričajte	convencer	prepričati	V	V;PFV;IMP;PL;2;FIN
ego	ega	ego	ega	N	N;GEN;MASC;SG
ego	ego	ego	ega	N	N;NOM;MASC;SG
prioridades	prioritete	prioridade	prioriteti	N	N;NOM;FEM;PL
experto	izvedenec	experto	izvedenec	N	N;NOM;MASC;SG
experto	strokovnjak	experto	strokovnjak	N	N;NOM;MASC;SG
referencia	referenca	referencia	referenca	N	N;NOM;FEM;SG
referencia	sklic	referencia	sklic	N	N;NOM;MASC;SG
referencia	sklicevanje	referencia	sklicevanje	N	N;NOM;NEUT;SG
tiveses	si	ter	biti	V	V;IND;SG;2;POS;PRS;FIN
tiveses	imelo	ter	imeti	V	V;IPFV;NEUT;SG;V.PTCP
tiveses	imeli	ter	imeti	V	V;IPFV;MASC;PL;V.PTCP
tiveses	imel	ter	imeti	V	V;IPFV;MASC;SG;V.PTCP
tiveses	imela	ter	imeti	V	V;IPFV;FEM;SG;V.PTCP
preocupar	skrbi	preocupar	skrbeti	V	V;IPFV;IND;SG;3;PRS;FIN
necesitaba	potrebovali	necesitar	potrebovati	V	V;IPFV;MASC;PL;V.PTCP
gafas	očala	gafo	očati	N	N;NOM;NEUT;SG
gafas	kozarci	gafo	kozarec	N	N;NOM;MASC;PL
secreto	skrivnost	secreto	skrivnost	N	N;NOM;FEM;SG
verdadeiros	resničen	verdadeiro	resničen	ADJ	ADJ;NOM;INDF;MASC;SG
verdadeiros	resnična	verdadeiro	resničen	ADJ	ADJ;NOM;FEM;SG
verdadeiros	prava	verdadeiro	pravi	ADJ	ADJ;NOM;FEM;SG
verdadeiros	realno	verdadeiro	realen	ADJ	ADJ;NOM;NEUT;SG
verdadeiros	resnična	verdadeiro	resničen	ADJ	ADJ;NOM;FEM;SG
similares	podobni	similar	podoben	ADJ	ADJ;NOM;MASC;PL
similares	podoben	similar	podoben	ADJ	ADJ;NOM;INDF;MASC;SG
similares	podobna	similar	podoben	ADJ	ADJ;NOM;FEM;SG
similares	podobne	similar	podoben	ADJ	ADJ;NOM;FEM;PL
similares	podobnih	similar	podoben	ADJ	ADJ;GEN;MASC;PL
similares	podobno	similar	podoben	ADJ	ADJ;NOM;NEUT;SG
desafío	izziv	desafío	izziv	N	N;NOM;MASC;SG
desafío	kljubovanje	desafío	kljubovanje	N	N;NOM;NEUT;SG
capturar	zajeti	capturar	zajeti	V	V;PFV;NFIN
profundidade	globina	profundidade	globina	N	N;NOM;FEM;SG
capas	plasti	capa	plast	N	N;NOM;FEM;PL
capas	zlat	capa	zlat	N	N;NOM;MASC;SG
virán	pridi	virán	pridi	V	V;PFV;IMP;SG;2;FIN
orientais	vzhodni	oriental	vzhoden	ADJ	ADJ;NOM;DEF;MASC;SG
orientais	vzhodna	oriental	vzhoden	ADJ	ADJ;NOM;FEM;SG
adolescente	mladostnikih	adolescente	mladostnik	N	N;ESS;MASC;PL
nalgures	nekje	nalgures	nekje	ADV	ADV
nalgures	nekam	nalgures	nekam	ADV	ADV
maquinaria	stroji	maquinaria	stroj	N	N;NOM;MASC;PL
maquinaria	mašina	maquinaria	mašina	N	N;NOM;FEM;SG
maquinaria	stroj	maquinaria	stroj	N	N;NOM;MASC;SG
renda	najemnino	renda	najemnina	N	N;ACC;FEM;SG
renda	najem	renda	najem	N	N;NOM;MASC;SG
renda	dohodek	renda	dohodek	N	N;NOM;MASC;SG
renda	dohodka	renda	dohodek	N	N;GEN;MASC;SG
renda	dohodki	renda	dohodek	N	N;NOM;MASC;PL
renda	prihodki	renda	prihodek	N	N;NOM;MASC;PL
renda	prihodek	renda	prihodek	N	N;NOM;MASC;SG
admitir	želiš	admitir	želeti	V	V;IPFV;IND;SG;2;PRS;FIN
inxección	vbrizgavanje	inxección	vbrizgavanje	N	N;NOM;NEUT;SG
inxección	injekcijo	inxección	injekcija	N	N;ACC;FEM;SG
inxección	injiciranje	inxección	injiciranje	N	N;NOM;NEUT;SG
inxección	injekcija	inxección	injekcija	N	N;NOM;FEM;SG
instrumento	inštrument	instrumento	inštrument	N	N;NOM;MASC;SG
instrumento	instrument	instrumento	instrument	N	N;NOM;MASC;SG
diaños	pekel	diaño	pečel	N	N;NOM;MASC;SG
micrófono	mikrofon	micrófono	mikrofon	N	N;NOM;MASC;SG
micrófono	mic	micrófono	mica	N	N;NOM;MASC;SG
micrófono	mikrofon	micrófono	mikrofon	N	N;NOM;MASC;SG
cheguen	so	chegar	biti	V	V;IND;PL;3;POS;PRS;FIN
cheguen	dobil	chegar	dobiti	V	V;PFV;MASC;SG;V.PTCP
cheguen	dobi	chegar	dobiti	V	V;PFV;IND;SG;3;PRS;FIN
cheguen	pridi	chegar	pridi	V	V;PFV;IMP;SG;2;FIN
placas	tablice	placa	tablica	N	N;NOM;FEM;PL
placas	krožniki	placa	krožnik	N	N;NOM;MASC;PL
placas	plošče	placa	plošča	N	N;NOM;FEM;PL
habitacións	sobe	habitación	soba	N	N;NOM;FEM;PL
habitacións	sob	habitación	sob	N	N;ACC;MASC;SG
actuais	trenutni	actual	trenuten	ADJ	ADJ;NOM;MASC;SG
actuais	trenutna	actual	trenuten	ADJ	ADJ;NOM;FEM;SG
actuais	sedanji	actual	sedanji	ADJ	ADJ;NOM;MASC;SG
construíu	zgradil	construír	zgraditi	V	V;PFV;MASC;SG;V.PTCP
contrasinal	geslo	contrasinal	geslo	N	N;NOM;NEUT;SG
dispositivos	naprave	dispositivo	naprava	N	N;NOM;FEM;PL
dispositivos	naprav	dispositivo	naprava	N	N;GEN;FEM;PL
dispositivos	pripomočki	dispositivo	pripomoček	N	N;NOM;MASC;PL
entrevistas	intervjuje	entrevista	intervjevati	N	N;ACC;MASC;PL
entrevistas	intervjujev	entrevista	intervjujev	N	N;GEN;MASC;PL
entrevistas	razgovori	entrevista	razgovor	N	N;NOM;MASC;PL
entrevistas	pogovori	entrevista	pogovor	N	N;NOM;MASC;PL
queixa	pritožba	queixa	pritožba	N	N;NOM;FEM;SG
verdades	resnice	verdade	resnica	N	N;NOM;FEM;PL
tomen	vzemite	tomar	vzeti	V	V;PFV;IMP;PL;2;FIN
tomen	vzemi	tomar	vzeme	V	V;PFV;IMP;SG;2;FIN
manifestación	dokazovanje	manifestación	dokazovanje	N	N;NOM;NEUT;SG
manifestación	prikaz	manifestación	prikaz	N	N;NOM;MASC;SG
ética	etiko	ética	etika	N	N;ACC;FEM;SG
ética	etika	ética	etika	N	N;NOM;FEM;SG
opresión	zatiranje	opresión	zatiranje	N	N;NOM;NEUT;SG
serra	sierra	serra	sierra	N	N;NOM;FEM;SG
argumento	utemeljitev	argumento	utemeljitev	N	N;NOM;FEM;SG
argumento	argument	argumento	argument	N	N;NOM;MASC;SG
asilo	dom	asilo	dom	N	N;NOM;MASC;SG
autor	avtor	autor	avtor	N	N;NOM;MASC;SG
ducha	tuš	ducha	tuša	N	N;NOM;MASC;SG
ducha	prha	ducha	prha	N	N;NOM;FEM;SG
amabilidade	prijaznost	amabilidade	prijaznost	N	N;NOM;FEM;SG
amabilidade	dobrote	amabilidade	dobrot	N	N;NOM;FEM;PL
amabilidade	prijaznosti	amabilidade	prijaznost	N	N;GEN;FEM;SG
propiedades	last	propiedade	last	N	N;NOM;FEM;SG
propiedades	lastnost	propiedade	lastnost	N	N;NOM;FEM;SG
propiedades	premoženje	propiedade	premoženje	N	N;NOM;NEUT;SG
propiedades	nepremičnine	propiedade	nepremičnina	N	N;NOM;FEM;PL
propiedades	lastnina	propiedade	lastnina	N	N;NOM;FEM;SG
propiedades	lastnosti	propiedade	lastnost	N	N;NOM;FEM;PL
gañadores	zmagovalcev	gañador	zmagovalec	N	N;GEN;MASC;PL
gañadores	zmagovalci	gañador	zmagovalec	N	N;NOM;MASC;PL
gañadores	zmagovalce	gañador	zmagovalec	N	N;ACC;MASC;PL
paramos	ustavi	parar	ustaviti	V	V;PFV;IND;SG;3;PRS;FIN
aparecer	pokaži	aparecer	pokaža	V	V;PFV;IND;SG;3;PRS;FIN
aparecer	oddaja	aparecer	oddajati	V	V;IPFV;IND;SG;3;PRS;FIN
buracos	luknje	buraco	luknja	N	N;NOM;FEM;PL
ensaio	sojenje	ensaio	sojenje	N	N;NOM;NEUT;SG
mercados	trg	mercado	trg	N	N;NOM;MASC;SG
mercados	tržišče	mercado	tržišče	N	N;NOM;NEUT;SG
mercados	tržnice	mercado	tržnica	N	N;NOM;FEM;PL
mercados	trgi	mercado	trg	N	N;NOM;MASC;PL
mercados	tržišča	mercado	tržišče	N	N;NOM;NEUT;PL
dentista	zobozdravnik	dentista	zobozdravnik	N	N;NOM;MASC;SG
obtivo	dobil	obter	dobiti	V	V;PFV;MASC;SG;V.PTCP
comín	pojedel	comín	pojesti	V	V;PFV;MASC;SG;V.PTCP
comín	jedli	comín	jesti	V	V;IPFV;MASC;PL;V.PTCP
comín	jedla	comín	jesti	V	V;IPFV;FEM;SG;V.PTCP
comín	pojedla	comín	pojesti	V	V;PFV;FEM;SG;V.PTCP
comín	jedel	comín	jesti	V	V;IPFV;MASC;SG;V.PTCP
reside	prebiva	residir	prebivati	V	V;IPFV;IND;SG;3;PRS;FIN
farían	imajo	facer	imeti	V	V;IPFV;IND;PL;3;POS;PRS;FIN
farían	imeti	facer	imeti	V	V;IPFV;NFIN
farían	so	facer	biti	V	V;IND;PL;3;POS;PRS;FIN
xerais	splošno	xeral	splošen	ADJ	ADJ;NOM;NEUT;SG
xerais	splošni	xeral	splošen	ADJ	ADJ;NOM;MASC;SG
xerais	splošna	xeral	splošen	ADJ	ADJ;NOM;FEM;SG
golpes	udarci	golpe	udarec	N	N;NOM;MASC;PL
meniño	otrok	meniño	otrok	N	N;NOM;MASC;SG
meniño	punčka	meniño	punčka	N	N;NOM;FEM;SG
meniño	dojenček	meniño	dojenček	N	N;NOM;MASC;SG
meniño	poba	meniño	poba	N	N;NOM;MASC;SG
meniño	deček	meniño	deček	N	N;NOM;MASC;SG
meniño	fant	meniño	fant	N	N;NOM;MASC;SG
meniño	fantek	meniño	fantek	N	N;NOM;MASC;SG
colleron	so	coller	biti	V	V;IND;PL;3;POS;PRS;FIN
debiamos	imelo	debiar	imeti	V	V;IPFV;NEUT;SG;V.PTCP
debiamos	imeli	debiar	imeti	V	V;IPFV;MASC;PL;V.PTCP
debiamos	imel	debiar	imeti	V	V;IPFV;MASC;SG;V.PTCP
debiamos	imela	debiar	imeti	V	V;IPFV;FEM;SG;V.PTCP
teredes	imajo	ter	imeti	V	V;IPFV;IND;PL;3;POS;PRS;FIN
teredes	imeti	ter	imeti	V	V;IPFV;NFIN
teredes	si	ter	biti	V	V;IND;SG;2;POS;PRS;FIN
nazis	nacisti	nazis	nacist	N	N;NOM;MASC;PL
nazis	nacist	nazis	nacist	N	N;NOM;MASC;SG
cazadores	lovce	cazador	lovec	N	N;ACC;MASC;PL
cazadores	lovci	cazador	lovec	N	N;NOM;MASC;PL
cazadores	lov	cazador	lov	N	N;NOM;MASC;SG
cazadores	lovljenje	cazador	lovljenje	N	N;NOM;NEUT;SG
trataba	bil	tratar	biti	V	V;MASC;SG;V.PTCP
trataba	bila	tratar	biti	V	V;FEM;SG;V.PTCP
musulmáns	muslimani	musulmáns	musliman	N	N;NOM;MASC;PL
musulmáns	muslimanov	musulmáns	musliman	N	N;GEN;MASC;PL
barrios	soseske	barrio	soseska	N	N;NOM;FEM;PL
barrios	soseščine	barrio	soseščina	N	N;NOM;FEM;PL
barrios	območja	barrio	območje	N	N;NOM;NEUT;PL
barrios	področja	barrio	področje	N	N;NOM;NEUT;PL
barrios	površine	barrio	površina	N	N;NOM;FEM;PL
bater	udaril	bater	udariti	V	V;PFV;MASC;SG;V.PTCP
perdoar	odpusti	perdoar	odpustiti	V	V;PFV;IND;SG;3;PRS;FIN
manteñen	obdrži	manter	obdržiti	V	V;PFV;IND;SG;3;PRS;FIN
manteñen	ohrani	manter	ohran	V	V;PFV;IND;SG;3;PRS;FIN
manteñen	so	manter	biti	V	V;IND;PL;3;POS;PRS;FIN
existiu	obstajal	existir	obstajati	V	V;IPFV;MASC;SG;V.PTCP
existiu	obstajala	existir	obstajati	V	V;IPFV;FEM;SG;V.PTCP
existiu	obstajali	existir	obstajati	V	V;IPFV;MASC;PL;V.PTCP
elemento	element	elemento	element	N	N;NOM;MASC;SG
mecánico	mehanik	mecánico	mehanik	N	N;NOM;MASC;SG
mecánico	mehanika	mecánico	mehanika	N	N;NOM;FEM;SG
desaparición	izginotje	desaparición	izginotje	N	N;NOM;NEUT;SG
piden	vprašajte	pedir	vprašati	V	V;PFV;IMP;PL;2;FIN
piden	so	pedir	biti	V	V;IND;PL;3;POS;PRS;FIN
durmimos	spi	durmir	spati	V	V;IPFV;IND;SG;3;PRS;FIN
durmimos	spati	durmir	spati	V	V;IPFV;NFIN
esquezo	pozabi	esquezo	pozabiti	V	V;PFV;IND;SG;3;PRS;FIN
espacial	hubble	espacial	hubbel	N	N;NOM;FEM;SG
espacial	vesolje	espacial	vesolje	N	N;NOM;NEUT;SG
espacial	prostor	espacial	prostor	N	N;NOM;MASC;SG
espacial	space	espacial	space	N	N;NOM;MASC;SG
estacións	sezon	estación	sezona	N	N;GEN;FEM;PL
estacións	postaje	estación	postaja	N	N;NOM;FEM;PL
barra	bar	barra	bar	N	N;NOM;MASC;SG
barra	kilogram	barra	kilogram	N	N;NOM;MASC;SG
barra	kilo	barra	kilo	N	N;ACC;FEM;SG
rabaño	jato	rabaño	jato	N	N;ACC;FEM;SG
rabaño	čreda	rabaño	čreda	N	N;NOM;FEM;SG
rabaño	jate	rabaño	jata	N	N;NOM;FEM;PL
rabaño	jata	rabaño	jata	N	N;NOM;FEM;SG
national	nacionalna	national	nacionalen	ADJ	ADJ;NOM;FEM;SG
national	nacionalno	national	nacionalen	ADJ	ADJ;NOM;NEUT;SG
national	nacionalni	national	nacionalen	ADJ	ADJ;NOM;MASC;SG
osos	medvedov	oso	medved	N	N;GEN;MASC;PL
osos	medvedje	oso	medvedje	N	N;NOM;MASC;PL
osos	medvedi	oso	medved	N	N;NOM;MASC;PL
sumidoiro	jarku	sumidoiro	jarek	N	N;DAT;MASC;SG
diálogo	dialog	diálogo	dialog	N	N;NOM;MASC;SG
personalidade	osebnosti	personalidade	osebnost	N	N;NOM;FEM;PL
personalidade	osebnost	personalidade	osebnost	N	N;NOM;FEM;SG
sinceramente	res	sinceramente	res	ADV	ADV
sinceramente	resnično	sinceramente	resnično	ADV	ADV
sinceramente	zares	sinceramente	zares	ADV	ADV
perdidos	izgubil	perdido	izgubiti	V	V;PFV;MASC;SG;V.PTCP
hara	hara	haber	hara	N	N;NOM;MASC;SG
bebendo	piti	beber	piti	V	V;IPFV;NFIN
persecución	zasledovanje	persecución	zasledovanje	N	N;NOM;NEUT;SG
persecución	pregon	persecución	pregon	N	N;NOM;MASC;SG
acusación	obtožba	acusación	obtožba	N	N;NOM;FEM;SG
vivido	živel	vivido	živeti	V	V;IPFV;MASC;SG;V.PTCP
vivido	živeli	vivido	živeti	V	V;IPFV;MASC;PL;V.PTCP
vivido	živela	vivido	živeti	V	V;IPFV;FEM;SG;V.PTCP
lanzamento	spust	lanzamento	spust	N	N;NOM;MASC;SG
recorda	si	recordar	biti	V	V;IND;SG;2;POS;PRS;FIN
clásico	klasične	clásico	klasičen	ADJ	ADJ;NOM;FEM;PL
clásico	klasična	clásico	klasičen	ADJ	ADJ;NOM;FEM;SG
clásico	klasična	clásico	klasičen	ADJ	ADJ;NOM;FEM;SG
clásico	klasičen	clásico	klasičen	ADJ	ADJ;NOM;INDF;MASC;SG
clásico	klasični	clásico	klasičen	ADJ	ADJ;NOM;MASC;SG
mobles	pohištva	moble	pohištvo	N	N;GEN;NEUT;SG
mobles	pohištvo	moble	pohištvo	N	N;NOM;NEUT;SG
negociar	pogajati	negociar	pogajati	V	V;IPFV;NFIN
xestos	geste	xesto	gesti	N	N;NOM;FEM;PL
disturbios	nemiri	disturbio	nemira	N	N;NOM;MASC;PL
disturbios	nemirov	disturbio	nemir	N	N;GEN;MASC;PL
intelectual	intelektualna	intelectual	intelektualen	ADJ	ADJ;NOM;FEM;SG
intelectual	intelektualne	intelectual	intelektualen	ADJ	ADJ;NOM;FEM;PL
intelectual	intelektualno	intelectual	intelektualno	ADJ	ADJ;NOM;NEUT;SG
gravitacional	gravitacijsko	gravitacional	gravitacijski	ADJ	ADJ;NOM;NEUT;SG
averiguar	poišči	averiguar	poiskati	V	V;PFV;IMP;SG;2;FIN
averiguar	najdi	averiguar	najdi	V	V;PFV;IMP;SG;2;FIN
presencia	prisotnost	presencia	prisotnost	N	N;NOM;FEM;SG
presencia	prisotnosti	presencia	prisotnost	N	N;GEN;FEM;SG
presencia	navzočnost	presencia	navzočnost	N	N;NOM;FEM;SG
teríamos	imajo	ter	imeti	V	V;IPFV;IND;PL;3;POS;PRS;FIN
teríamos	imeti	ter	imeti	V	V;IPFV;NFIN
sospeita	sum	sospeita	sum	N	N;NOM;MASC;SG
sospeita	osumljenci	sospeita	osumljenec	N	N;NOM;MASC;PL
sospeita	osumljenca	sospeita	osumljenca	N	N;NOM;MASC;DU
mestura	mešanica	mestura	mešanica	N	N;NOM;FEM;SG
mestura	mešanje	mestura	mešanje	N	N;NOM;NEUT;SG
mañán	jutro	mañán	jutro	N	N;NOM;NEUT;SG
asentos	sedeže	asento	sedež	N	N;ACC;MASC;PL
asentos	sedeži	asento	sedež	N	N;NOM;MASC;PL
fondos	sredstva	fondo	sredstvo	N	N;NOM;NEUT;PL
fondos	skladi	fondo	sklad	N	N;NOM;MASC;PL
bicos	poljubček	bico	poljubček	N	N;NOM;MASC;SG
bicos	poljubi	bico	poljub	N	N;NOM;MASC;PL
príncipes	princi	príncipe	princi	N	N;NOM;MASC;PL
socialismo	socializem	socialismo	socializem	N	N;NOM;MASC;SG
traio	prinesi	traio	prinesti	V	V;PFV;IMP;SG;2;FIN
mantemento	vzdrževanje	mantemento	vzdrževanje	N	N;NOM;NEUT;SG
privilexios	privilegije	privilexio	privilegija	N	N;NOM;FEM;PL
privilexios	privilegiji	privilexio	privilegija	N	N;NOM;MASC;PL
sabíao	vedel	sabíao	vedeti	V	V;IPFV;MASC;SG;V.PTCP
sabíao	vedela	sabíao	vedeti	V	V;IPFV;FEM;SG;V.PTCP
pases	čas	pase	čas	N	N;NOM;MASC;SG
pases	časa	pase	čas	N	N;GEN;MASC;SG
botes	čolni	bote	čoln	N	N;NOM;MASC;PL
tivésemos	imelo	tevésemo	imeti	V	V;IPFV;NEUT;SG;V.PTCP
tivésemos	imeli	tevésemo	imeti	V	V;IPFV;MASC;PL;V.PTCP
tivésemos	imel	tevésemo	imeti	V	V;IPFV;MASC;SG;V.PTCP
tivésemos	imela	tevésemo	imeti	V	V;IPFV;FEM;SG;V.PTCP
algodón	bombaž	algodón	bombaž	N	N;NOM;MASC;SG
tirado	lažnivi	tirado	lažniv	N	N;NOM;MASC;PL
tirado	laganje	tirado	laganja	N	N;NOM;NEUT;SG
pazo	palačo	pazo	palača	N	N;ACC;FEM;SG
pazo	palača	pazo	palača	N	N;NOM;FEM;SG
pazo	vili	pazo	vila	N	N;NOM;FEM;SG
pazo	vilo	pazo	vila	N	N;ACC;FEM;SG
pazo	villa	pazo	vileti	N	N;NOM;FEM;SG
pazo	vila	pazo	vilo	N	N;NOM;FEM;SG
aturo	vzemite	aturo	vzeti	V	V;PFV;IMP;PL;2;FIN
aturo	vzemi	aturo	vzeme	V	V;PFV;IMP;SG;2;FIN
aturo	stati	aturo	stati	V	V;IPFV;NFIN
aparta	dobil	apartir	dobiti	V	V;PFV;MASC;SG;V.PTCP
aparta	dobi	apartir	dobiti	V	V;PFV;IND;SG;3;PRS;FIN
municións	streliva	munición	strelivo	N	N;GEN;NEUT;SG
municións	strelivo	munición	strelivo	N	N;NOM;NEUT;SG
municións	strelivo	munición	strelivo	N	N;NOM;NEUT;SG
escocés	viski	escocés	viski	N	N;NOM;MASC;SG
quite	vzemite	quite	vzeti	V	V;PFV;IMP;PL;2;FIN
quite	vzemi	quite	vzeme	V	V;PFV;IMP;SG;2;FIN
pedido	red	peder	red	N	N;NOM;MASC;SG
pedido	naročilo	peder	naročiti	N	N;NOM;NEUT;SG
francesas	francosko	francesa	francoski	ADJ	ADJ;NOM;NEUT;SG
francesas	francoska	francesa	francoski	ADJ	ADJ;NOM;FEM;SG
francesas	francoski	francesa	francoski	ADJ	ADJ;NOM;DEF;MASC;SG
perdes	si	perde	biti	V	V;IND;SG;2;POS;PRS;FIN
perdes	izgubi	perde	izgubiti	V	V;PFV;IND;SG;3;PRS;FIN
falaron	so	falar	biti	V	V;IND;PL;3;POS;PRS;FIN
servirá	bo	servir	biti	V	V;IND;SG;3;POS;FUT;FIN
digno	vredna	digno	vreden	ADJ	ADJ;NOM;FEM;SG
digno	vreden	digno	vreden	ADJ	ADJ;NOM;INDF;MASC;SG
digno	vredni	digno	vreden	ADJ	ADJ;NOM;MASC;PL
fama	slava	facer	slava	N	N;NOM;FEM;SG
fama	slavo	facer	slava	N	N;ACC;FEM;SG
canibalismo	kanibalizem	canibalismo	kanibalizem	N	N;NOM;MASC;PL
duras	trde	duro	trd	ADJ	ADJ;NOM;FEM;PL
duras	težko	duro	težek	ADJ	ADJ;NOM;NEUT;SG
aceno	gesta	aceno	gesto	N	N;NOM;FEM;SG
trucos	triki	truco	trik	N	N;NOM;MASC;PL
trucos	trike	truco	trik	N	N;ACC;MASC;PL
alumnado	so	alumnado	biti	V	V;IND;PL;3;POS;PRS;FIN
vera	vera	verar	vera	N	N;NOM;FEM;SG
tentativa	poizkus	tentativo	poizkus	N	N;NOM;MASC;SG
tentativa	poskus	tentativo	poskus	N	N;NOM;MASC;SG
tentativa	poskus	tentativo	poskus	N	N;NOM;MASC;SG
bárbaros	barbari	bárbaro	barbar	N	N;NOM;MASC;PL
bárbaros	divjaki	bárbaro	divjak	N	N;NOM;MASC;PL
stan	si	stan	biti	V	V;IND;SG;2;POS;PRS;FIN
marines	marinci	marine	marinec	N	N;NOM;MASC;PL
marines	marinec	marine	marinec	N	N;NOM;MASC;SG
marines	marine	marine	marin	N	N;NOM;FEM;PL
cóidate	oskrba	cóidate	oskrba	N	N;NOM;FEM;SG
cóidate	nego	cóidate	nega	N	N;NOM;NEUT;SG
cóidate	nega	cóidate	neg	N	N;NOM;FEM;SG
cóidate	care	cóidate	cara	N	N;NOM;MASC;SG
armenia	armenijo	armenia	armenija	N	N;ACC;FEM;SG
turista	turist	turista	turist	N	N;NOM;MASC;SG
alicia	alica	alicia	alica	N	N;NOM;FEM;SG
alicia	alice	alicia	alica	N	N;NOM;FEM;SG
doutora	zdravnik	doutor	zdravnik	N	N;NOM;MASC;SG
doutora	zdravnika	doutor	zdravnik	N	N;ACC;MASC;SG
doutora	zdravnica	doutor	zdravnica	N	N;NOM;FEM;SG
doutora	doktor	doutor	doktor	N	N;NOM;MASC;SG
conquistar	osvojil	conquistar	osvojiti	V	V;PFV;MASC;SG;V.PTCP
equipos	ekip	equipo	ekipa	N	N;GEN;FEM;PL
equipos	ekipe	equipo	ekipa	N	N;NOM;FEM;PL
equipos	moštva	equipo	moštvo	N	N;NOM;NEUT;PL
procede	pride	proceder	priti	V	V;PFV;IND;SG;3;PRS;FIN
vise	videl	visir	videti	V	V;MASC;SG;V.PTCP
vise	vidu	visir	vido	V	V;MASC;SG;V.PTCP
vise	glej	visir	gledati	V	V;IPFV;IMP;SG;2;FIN
vise	glejte	visir	gledati	V	V;IPFV;IMP;PL;2;FIN
altar	oltarju	altar	oltar	N	N;DAT;MASC;SG
altar	oltar	altar	oltar	N	N;NOM;MASC;SG
altar	oltarja	altar	oltar	N	N;NOM;MASC;SG
debates	razprave	debate	razprava	N	N;NOM;FEM;PL
debates	razprave	debate	razprava	N	N;NOM;FEM;PL
redes	mreže	rede	mreža	N	N;NOM;FEM;PL
redes	mrež	rede	mrež	N	N;GEN;FEM;PL
redes	mreže	rede	mreža	N	N;NOM;FEM;PL
redes	omrežja	rede	omrežje	N	N;NOM;NEUT;PL
investigadores	raziskovalcem	investigador	raziskovalec	N	N;DAT;MASC;PL
investigadores	raziskovalci	investigador	raziskovalec	N	N;NOM;MASC;PL
investigadores	raziskovalca	investigador	raziskovalec	N	N;ANIM;ACC;MASC;SG
investigadores	raziskovalce	investigador	raziskovalec	N	N;ACC;MASC;PL
utilidade	uporaba	utilidade	uporaba	N	N;NOM;FEM;SG
utilidade	uporabi	utilidade	uporaba	N	N;DAT;FEM;SG
utilidade	uporabnost	utilidade	uporabnost	N	N;NOM;FEM;SG
utilidade	pripomoček	utilidade	pripomoček	N	N;NOM;MASC;SG
crece	raste	crecer	rasti	V	V;IPFV;IND;SG;3;PRS;FIN
crece	zraste	crecer	zrasti	V	V;PFV;IND;SG;3;PRS;FIN
entretemento	zabava	entretemento	zabava	N	N;NOM;FEM;SG
entretemento	zabavo	entretemento	zabava	N	N;ACC;FEM;SG
diapositiva	slide	diapositivo	slida	N	N;NOM;MASC;SG
trampas	pasti	trampa	pasti	N	N;NOM;FEM;PL
comparten	delimo	compartir	deliti	V	V;IPFV;IND;PL;1;PRS;FIN
comparten	delim	compartir	del	V	V;IPFV;IND;SG;1;PRS;FIN
musical	glasbeni	musical	glasben	ADJ	ADJ;NOM;MASC;SG
musical	glasbena	musical	glasben	ADJ	ADJ;NOM;FEM;SG
detector	detektor	detector	detektor	N	N;NOM;MASC;SG
fundamental	temeljno	fundamental	temeljen	ADJ	ADJ;NOM;NEUT;SG
