catholicisme	katolilaisuus	catholicisme	katolilaisuus	N;MASC;SG	N;NOM;SG
doux	lievä	doux	lievä	ADJ;MASC;SG	ADJ;NOM;SG
doux	lievää	doux	lievä	ADJ;MASC;SG	ADJ;PRT;SG
doux	pehmeää	doux	pehmeä	ADJ;MASC;SG	ADJ;PRT;SG
doux	pehmeä	doux	pehmeä	ADJ;MASC;SG	ADJ;NOM;SG
pères	isien	père	isä	N;MASC;PL	N;GEN;PL
pères	isiä	père	isiä	N;MASC;PL	N;PRT;PL
pères	isät	père	isä	N;MASC;PL	N;NOM;PL
pères	isät	père	isä	N;MASC;PL	N;NOM;PL
partagé	jakanut	partager	jakaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
partagé	jakoi	partager	jakaa	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
partagé	jaettu	partager	jakaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
achevé	suoritettu	achever	suorittaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
achevé	päättynyt	achever	päättyä	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
syndicats	ammattiliittojen	syndicat	ammatti#liitto	N;MASC;PL	N;GEN;PL
syndicats	liitot	syndicat	liitto	N;MASC;PL	N;NOM;PL
immédiate	välitön	immédiat	välitön	ADJ;FEM;SG	ADJ;NOM;SG
gaulois	gallialainen	gaulois	gallialainen	ADJ;MASC;SG	ADJ;NOM;SG
convaincu	vakuuttunut	convaincre	vakuuttua	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
concession	toimiluvan	concession	toimi#lupa	N;FEM;SG	N;GEN;SG
concession	toimilupa	concession	toimi#lupa	N;FEM;SG	N;NOM;SG
hainaut	hainaut	hainer	hainaa	N;MASC;SG	N;NOM;SG
dérive	tuuliajolla	dérive	tuuli#ajo	N;FEM;SG	N;AT+ESS
;SG
eurovision	eurovision	eurovision	euro#visio	N;FEM;SG	N;GEN;SG
égyptien	egyptiläinen	égyptien	egyptiläinen	ADJ;MASC;SG	ADJ;NOM;SG
naturaliste	luonnontieteilijä	naturaliste	luonnon#tieteilijä	N;MASC;SG	N;NOM;SG
tort	vikaa	tort	vika	N;MASC;SG	N;PRT;SG
juges	tuomarit	juge	tuomari	N;MASC;PL	N;NOM;PL
juges	tuomareita	juge	tuomari	N;MASC;PL	N;PRT;PL
avantages	edut	avantage	etu	N;MASC;PL	N;NOM;PL
avantages	etuja	avantage	etu	N;MASC;PL	N;PRT;PL
avantages	hyödyt	avantage	hyöty	N;MASC;PL	N;NOM;PL
avantages	etuudet	avantage	etuus	N;MASC;PL	N;NOM;PL
avantages	edut	avantage	etu	N;MASC;PL	N;NOM;PL
avantages	etuja	avantage	etu	N;MASC;PL	N;PRT;PL
prévention	ennaltaehkäisy	prévention	ennalta#ehkäisy	N;FEM;SG	N;NOM;SG
prévention	ehkäisy	prévention	ehkäisy	N;FEM;SG	N;NOM;SG
prévention	ehkäiseminen	prévention	ehkäiseminen	N;FEM;SG	N;NOM;SG
dommages	vahingot	dommage	vahinko	N;MASC;PL	N;NOM;PL
dommages	vauriot	dommage	vaurio	N;MASC;PL	N;NOM;PL
dommages	vahingot	dommage	vahinko	N;MASC;PL	N;NOM;PL
eglise	kirkon	eglise	kirkko	N;FEM;SG	N;GEN;SG
eglise	kirkossa	eglise	kirkko	N;FEM;SG	N;IN+ESS;SG
eglise	kirkkoon	eglise	kirkko	N;FEM;SG	N;IN+ALL;SG
eglise	kirkko	eglise	kirkko	N;FEM;SG	N;NOM;SG
eglise	seurakunta	eglise	seura#kunta	N;FEM;SG	N;NOM;SG
organique	orgaaninen	organique	orgaaninen	ADJ;MASC;SG	ADJ;NOM;SG
organique	orgaanista	organique	orgaani	ADJ;MASC;SG	ADJ;PRT;SG
organique	luonnonmukainen	organique	luonnon#mukainen	ADJ;MASC;SG	ADJ;NOM;SG
impôt	verotus	impôt	verotus	N;MASC;SG	N;NOM;SG
impôt	vero	impôt	vero	N;MASC;SG	N;NOM;SG
vengeance	kosto	vengeance	kosto	N;FEM;SG	N;NOM;SG
vengeance	koston	vengeance	kosto	N;FEM;SG	N;GEN;SG
vengeance	kosto	vengeance	kosto	N;FEM;SG	N;NOM;SG
vengeance	kostoa	vengeance	kostoa	N;FEM;SG	N;PRT;SG
vengeance	koston	vengeance	kosto	N;FEM;SG	N;GEN;SG
vengeance	kosto	vengeance	kosto	N;FEM;SG	N;NOM;SG
guadeloupe	guadeloupe	guadeloupe	guadeloupe	N;FEM;SG	N;NOM;SG
violoncelle	sello	violoncelle	sello	N;MASC;SG	N;NOM;SG
impliqué	osallistunut	impliquer	osallistua	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
stage	harjoittelu	stage	harjoittelu	N;MASC;SG	N;NOM;SG
stage	työharjoittelu	stage	työ#harjoittelu	N;MASC;SG	N;NOM;SG
demain	huomenna	demain	huomenna	ADV	ADV
mensuel	kuukausittainen	mensuel	kuu#kausittainen	ADJ;MASC;SG	ADJ;NOM;SG
équipée	asennettu	équiper	asentaa	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
équipée	varustettu	équiper	varustaa	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
profond	syvälle	profond	syvä	ADJ;MASC;SG	ADJ;AT+ALL;SG
profond	syvällä	profond	syvä	ADJ;MASC;SG	ADJ;AT+ESS
;SG
profond	syvä	profond	syvä	ADJ;MASC;SG	ADJ;NOM;SG
profond	syvällistä	profond	syvällinen	ADJ;MASC;SG	ADJ;PRT;SG
spécialisés	erikoistuneet	spécialiser	erikoistua	V;MASC;PL;PST;V.PTCP	V;NOM;PL;V.PTCP;ACT
spécialisés	erikoistuneet	spécialiser	erikoistua	V;MASC;PL;PST;V.PTCP	V;NOM;PL;V.PTCP;ACT
continuité	jatkuvuutta	continuité	jatkuvuus	N;FEM;SG	N;PRT;SG
continuité	jatkuvuuden	continuité	jatkuvuus	N;FEM;SG	N;GEN;SG
continuité	jatkuvuus	continuité	jatkuvuus	N;FEM;SG	N;NOM;SG
systématiquement	systemaattisesti	systématiquement	systemaattisesti	ADV	ADV
systématiquement	järjestelmällisesti	systématiquement	järjestelmällisesti	ADV	ADV
systématiquement	systemaattisesti	systématiquement	systemaattisesti	ADV	ADV
systématiquement	järjestelmällisesti	systématiquement	järjestelmällisesti	ADV	ADV
intensité	voimakkuus	intensité	voimakkuus	N;FEM;SG	N;NOM;SG
intensité	intensiteetti	intensité	intensiteetti	N;FEM;SG	N;NOM;SG
protéines	proteiineja	protéine	proteiini	N;FEM;PL	N;PRT;PL
protéines	proteiineja	protéine	proteiini	N;FEM;PL	N;PRT;PL
récent	viimeaikainen	récent	viimeaikainen	ADJ;MASC;SG	ADJ;NOM;SG
hollandais	hollantilainen	hollandais	hollantilainen	ADJ;MASC;SG	ADJ;NOM;SG
attentats	iskujen	attentat	isku	N;MASC;PL	N;GEN;PL
attentats	hyökkäykset	attentat	hyökkäys	N;MASC;PL	N;NOM;PL
attentats	iskut	attentat	isku	N;MASC;PL	N;NOM;PL
attentats	pommitukset	attentat	pommitus	N;MASC;PL	N;NOM;PL
intéressé	kiinnostunut	intéresser	kiinnostua	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
décrire	kuvailla	décrire	kuvailla	V;NFIN	V;SG;NFIN;ACT
sauveur	pelastaja	sauveur	pelastaja	N;MASC;SG	N;NOM;SG
sauveur	pelastaja	sauveur	pelastaja	N;MASC;SG	N;NOM;SG
éclairage	valaistus	éclairage	valaistus	N;MASC;SG	N;NOM;SG
éclairage	valaistuksen	éclairage	valaistus	N;MASC;SG	N;GEN;SG
éclairage	valaistus	éclairage	valaistus	N;MASC;SG	N;NOM;SG
haye	haagin	haye	haagi	N;FEM;SG	N;GEN;SG
rochefort	rochefort	rochefort	rochefort	N;MASC;SG	N;NOM;SG
assurée	vakuutettu	assurer	vakuuttaa	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
assurée	vakuutti	assurer	vakuuttaa	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
mathématique	matemaattinen	mathématique	matemaattinen	ADJ;MASC;SG	ADJ;NOM;SG
baccalauréat	poikamies	baccalauréat	poika#mies	N;MASC;SG	N;NOM;SG
appliquée	soveltanut	appliquer	soveltaa	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
appliquée	sovellettu	appliquer	soveltaa	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
mesurer	mitata	mesurer	mitata	V;NFIN	V;SG;NFIN;ACT
mesurer	mittaa	mesurer	mitata	V;NFIN	V;IMP;SG;2;FIN;ACT
grace	armo	grace	armo	N;FEM;SG	N;NOM;SG
grace	armon	grace	armo	N;FEM;SG	N;GEN;SG
console	konsoli	console	konsoli	N;FEM;SG	N;NOM;SG
tombes	hautoja	tombe	hauta	N;FEM;PL	N;PRT;PL
tombes	hautoja	tombe	hauta	N;FEM;PL	N;PRT;PL
récents	viimeaikaiset	récent	viimeaikainen	ADJ;MASC;PL	ADJ;NOM;PL
récents	viimeisimmät	récent	viimeinen	ADJ;MASC;PL	ADJ;NOM;CMPR;PL
réservoir	säiliö	réservoir	säiliö	N;MASC;SG	N;NOM;SG
réservoir	tank	réservoir	tank	N;MASC;SG	N;NOM;SG
réservoir	tankki	réservoir	tankki	N;MASC;SG	N;NOM;SG
approfondir	syventää	approfondir	syventää	V;NFIN	V;IND;SG;3;PRS;FIN;ACT
élevés	kohonneet	élevé	kohota	V;MASC;PL;PST;V.PTCP	V;NOM;PL;V.PTCP;ACT
vocabulaire	sanasto	vocabulaire	sanasto	N;MASC;SG	N;NOM;SG
missile	ohjus	missile	ohjus	N;MASC;SG	N;NOM;SG
utiles	hyödyllisiä	utile	hyödyllinen	ADJ;MASC;PL	ADJ;PRT;PL
utiles	hyödyllisiä	utile	hyödyllinen	ADJ;MASC;PL	ADJ;PRT;PL
wallonie	vallonian	wallonie	vallonia	N;FEM;SG	N;GEN;SG
représentés	edustettuina	représenter	edustaa	V;MASC;PL;PST;V.PTCP	V;FRML;PL;V.PTCP;PASS
anneaux	renkaat	anneau	rengas	N;MASC;PL	N;NOM;PL
anneaux	sormukset	anneau	sormus	N;MASC;PL	N;NOM;PL
fuir	paeta	fuir	paeta	V;NFIN	V;SG;NFIN;ACT
sentier	polkua	sentier	polku	N;MASC;SG	N;PRT;SG
sentier	polku	sentier	polku	N;MASC;SG	N;NOM;SG
sentier	polkua	sentier	polku	N;MASC;SG	N;PRT;SG
sentier	polun	sentier	polku	N;MASC;SG	N;GEN;SG
richelieu	richelieu	richelieu	richelieu	N;MASC;SG	N;NOM;SG
croisade	ristiretki	croisade	risti#retki	N;FEM;SG	N;NOM;SG
boxeur	nyrkkeilijä	boxeur	nyrkkeilijä	N;MASC;SG	N;NOM;SG
boxeur	taistelija	boxeur	taistelija	N;MASC;SG	N;NOM;SG
boxeur	hävittäjä	boxeur	hävittäjä	N;MASC;SG	N;NOM;SG
fifa	fifa	fif	fifa	N;FEM;SG	N;NOM;SG
finance	rahoitus	finance	rahoitus	N;FEM;SG	N;NOM;SG
vedette	tähti	vedette	tähti	N;FEM;SG	N;NOM;SG
vedette	tähteä	vedette	tähteä	N;FEM;SG	N;PRT;SG
vedette	tähden	vedette	tähti	N;FEM;SG	N;GEN;SG
critère	kriteeri	critère	kriteeri	N;MASC;SG	N;NOM;SG
critère	peruste	critère	peruste	N;MASC;SG	N;NOM;SG
critère	kriteerin	critère	kriteeri	N;MASC;SG	N;GEN;SG
tensions	jännitteitä	tension	jännite	N;FEM;PL	N;PRT;PL
tensions	jännitteet	tension	jännite	N;FEM;PL	N;NOM;PL
tensions	jännitteet	tension	jännite	N;FEM;PL	N;NOM;PL
tensions	jännitteet	tension	jännite	N;FEM;PL	N;NOM;PL
tensions	jännitteitä	tension	jännite	N;FEM;PL	N;PRT;PL
impôts	veroja	impôt	vero	N;MASC;PL	N;PRT;PL
impôts	verot	impôt	vero	N;MASC;PL	N;NOM;PL
impôts	veroja	impôt	vero	N;MASC;PL	N;PRT;PL
impôts	verot	impôt	vero	N;MASC;PL	N;NOM;PL
fresques	freskoja	fresque	fresko	N;FEM;PL	N;PRT;PL
pattes	jalkoja	patte	jalka	N;FEM;PL	N;PRT;PL
pattes	jalkojen	patte	jalka	N;FEM;PL	N;GEN;PL
pattes	sääret	patte	sääri	N;FEM;PL	N;NOM;PL
pattes	jalat	patte	jalka	N;FEM;PL	N;NOM;PL
pattes	tassut	patte	tassu	N;FEM;PL	N;NOM;PL
économiste	taloustieteilijä	économiste	talous#tieteilijä	N;MASC;SG	N;NOM;SG
adapter	mukautua	adapter	mukautua	V;NFIN	V;SG;NFIN;ACT
adapter	mukauttaa	adapter	mukauttaa	V;NFIN	V;IND;SG;3;PRS;FIN;ACT
adapter	sopeutua	adapter	sopeutua	V;NFIN	V;SG;NFIN;ACT
disparaître	katoavan	disparaître	kadota	V;NFIN	V;GEN;SG;V.PTCP;ACT
disparaître	katoavat	disparaître	kadota	V;NFIN	V;IND;PL;3;PRS;FIN;ACT
disparaître	katoaa	disparaître	kadota	V;NFIN	V;IND;SG;3;PRS;FIN;ACT
disparaître	kadota	disparaître	kadota	V;NFIN	V;SG;NFIN;ACT
disparaître	katoa	disparaître	kadota	V;NFIN	V;IMP;SG;2;FIN;ACT
verbe	verbi	verbe	verbi	N;MASC;SG	N;NOM;SG
adopter	adoptoi	adopter	adoptoida	V;NFIN	V;IND;SG;3;PST;FIN;ACT
adopter	adoptoida	adopter	adoptoida	V;NFIN	V;SG;NFIN;ACT
adopter	adoptoida	adopter	adoptoida	V;NFIN	V;SG;NFIN;ACT
évalué	arvioitiin	évaluer	arvioida	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;PASS
évalué	arvioinut	évaluer	arvioida	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
évalué	luokitellut	évaluer	luokitella	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
rond	erä	rond	erä	N;MASC;SG	N;NOM;SG
rond	kierros	rond	kierros	N;MASC;SG	N;NOM;SG
rond	rond	rond	rond	N;MASC;SG	N;NOM;SG
érigé	pystytetty	ériger	pystyttää	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
pokémon	pokémon	pokémon	pokimo	N;MASC;SG	N;NOM;SG
pokémon	pokemon	pokémon	pokemo	N;MASC;SG	N;NOM;SG
linux	linux	linux	linux	N;MASC;SG	N;NOM;SG
commandée	tilasi	commander	tilata	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
commandée	määräsi	commander	määrätä	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
commandée	tilattu	commander	tilata	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
commandée	tilasi	commander	tilata	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
commandée	tilannut	commander	tilata	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
fabricant	valmistaja	fabricant	valmistaja	N;MASC;SG	N;NOM;SG
fabricant	valmistajan	fabricant	valmistaja	N;MASC;SG	N;GEN;SG
syntaxe	syntaksi	syntaxe	synta	N;FEM;SG	N;NOM;SG
celtique	kelttiläinen	celtique	kelttiläinen	ADJ;MASC;SG	ADJ;NOM;SG
joie	iloa	joie	ilo	N;FEM;SG	N;PRT;SG
joie	ilon	joie	ilo	N;FEM;SG	N;GEN;SG
joie	ilo	joie	ilo	N;FEM;SG	N;NOM;SG
costume	puku	costume	puku	N;MASC;SG	N;NOM;SG
costume	asu	costume	asua	N;MASC;SG	N;NOM;SG
costume	puvun	costume	puku	N;MASC;SG	N;GEN;SG
costume	puku	costume	puku	N;MASC;SG	N;NOM;SG
puissants	voimakkaita	puissant	voimakas	ADJ;MASC;PL	ADJ;PRT;PL
hymne	virsi	hymne	virsi	N;MASC;SG	N;NOM;SG
hymne	hymni	hymne	hymni	N;MASC;SG	N;NOM;SG
douleur	kipu	douleur	kipu	N;FEM;SG	N;NOM;SG
douleur	kipua	douleur	kipu	N;FEM;SG	N;PRT;SG
douleur	tuska	douleur	tuska	N;FEM;SG	N;NOM;SG
douleur	tuskaa	douleur	tuska	N;FEM;SG	N;PRT;SG
restauré	palautettiin	restaurer	palauttaa	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;PASS
restauré	palautettua	restaurer	palauttaa	V;MASC;SG;PST;V.PTCP	V;PRT;SG;V.PTCP;PASS
restauré	palautettu	restaurer	palauttaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
gay	homo	gay	homo	N;MASC;SG	N;NOM;SG
gay	gay	gay	gay	N;MASC;SG	N;NOM;SG
mannequin	nukke	mannequin	nukke	N;MASC;SG	N;NOM;SG
mannequin	nukkea	mannequin	nukkea	N;MASC;SG	N;PRT;SG
mannequin	nuken	mannequin	nukke	N;MASC;SG	N;GEN;SG
mannequin	mallia	mannequin	malli	N;MASC;SG	N;PRT;SG
mannequin	malli	mannequin	malli	N;MASC;SG	N;NOM;SG
mannequin	mallissa	mannequin	malli	N;MASC;SG	N;IN+ESS;SG
mannequin	mallina	mannequin	malli	N;MASC;SG	N;FRML;SG
intense	intensiivinen	intense	intensiivinen	ADJ;FEM;SG	ADJ;NOM;SG
intense	voimakasta	intense	voimakas	ADJ;FEM;SG	ADJ;PRT;SG
intense	voimakas	intense	voimakas	ADJ;FEM;SG	ADJ;NOM;SG
chimiste	kemisti	chimiste	kemisti	N;MASC;SG	N;NOM;SG
flash	salama	flash	salama	N;MASC;SG	N;NOM;SG
flash	flash	flash	flash	N;MASC;SG	N;NOM;SG
analyses	analyysit	analyse	analyysi	N;FEM;PL	N;NOM;PL
analyses	analyysit	analyse	analyysi	N;FEM;PL	N;NOM;PL
plateforme	alusta	plateforme	alku	N;FEM;SG	N;IN+ABL;SG
plateforme	foorumi	plateforme	foorumi	N;FEM;SG	N;NOM;SG
plateforme	alustan	plateforme	alusta	N;FEM;SG	N;GEN;SG
plateforme	laituri	plateforme	laituri	N;FEM;SG	N;NOM;SG
stock	osake	stock	osake	N;MASC;SG	N;NOM;SG
stock	kannan	stock	kanta	N;MASC;SG	N;GEN;SG
stock	kalusto	stock	kalusto	N;MASC;SG	N;NOM;SG
stock	varasto	stock	varasto	N;MASC;SG	N;NOM;SG
traversé	ylitti	traverser	ylittää	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
traversé	ylitetty	traverser	ylittää	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
corruption	lahjonnan	corruption	lahjonta	N;FEM;SG	N;GEN;SG
corruption	lahjontaa	corruption	lahjonta	N;FEM;SG	N;PRT;SG
corruption	korruptio	corruption	korruptio	N;FEM;SG	N;NOM;SG
corruption	lahjontaa	corruption	lahjonta	N;FEM;SG	N;PRT;SG
corruption	korruption	corruption	korruptio	N;FEM;SG	N;GEN;SG
corruption	korruptiota	corruption	korruptio	N;FEM;SG	N;PRT;SG
dépenses	menoja	dépense	meno	N;FEM;PL	N;PRT;PL
dépenses	menoja	dépense	meno	N;FEM;PL	N;PRT;PL
dépenses	menot	dépense	meno	N;FEM;PL	N;NOM;PL
dépenses	kulut	dépense	kulu	N;FEM;PL	N;NOM;PL
dépenses	menot	dépense	meno	N;FEM;PL	N;NOM;PL
dépenses	kulut	dépense	kulu	N;FEM;PL	N;NOM;PL
découpage	leikkaaminen	découpage	leikkaaminen	N;MASC;SG	N;NOM;SG
vampire	vampyyri	vampire	vampyyri	N;MASC;SG	N;NOM;SG
vampire	vampyyrin	vampire	vampy#yrin	N;MASC;SG	N;GEN;SG
consultation	kuulemisen	consultation	kuuleminen	N;FEM;SG	N;GEN;SG
consultation	kuuleminen	consultation	kuuleminen	N;FEM;SG	N;NOM;SG
comtés	maakunnat	comté	maa#kunta	N;MASC;PL	N;NOM;PL
comtés	läänit	comté	lääni	N;MASC;PL	N;NOM;PL
platine	platinaa	platine	platina	N;FEM;SG	N;PRT;SG
jeter	hylkää	jeter	hylätä	V;NFIN	V;IMP;SG;2;FIN;ACT
jeter	hävitä	jeter	hävitä	V;NFIN	V;SG;NFIN;ACT
jeter	heittää	jeter	heittää	V;NFIN	V;SG;NFIN;ACT
remplacés	korvattiin	remplacer	korvata	V;MASC;PL;PST;V.PTCP	V;IND;PST;FIN;PASS
pin	pin	pin	pin	N;MASC;SG	N;NOM;SG
augmenté	lisääntynyt	augmenter	lisääntyä	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
augmenté	kasvoi	augmenter	kasvaa	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
pédagogique	pedagoginen	pédagogique	pedagoginen	ADJ;MASC;SG	ADJ;NOM;SG
nécessairement	välttämättä	nécessairement	välttämättä	ADV	ADV
tissu	kangas	tissu	kangas	N;MASC;SG	N;NOM;SG
tissu	kankaalla	tissu	kangas	N;MASC;SG	N;AT+ESS
;SG
tissu	kankaan	tissu	kangas	N;MASC;SG	N;GEN;SG
tissu	kangasta	tissu	kangas	N;MASC;SG	N;IN+ABL;SG
tissu	kangas	tissu	kangas	N;MASC;SG	N;NOM;SG
continu	jatkuva	continu	jatkuva	ADJ;MASC;SG	ADJ;NOM;SG
continu	jatkuvaa	continu	jatkuva	ADJ;MASC;SG	ADJ;PRT;SG
rire	nauravat	rire	nauraa	V;NFIN	V;IND;PL;3;PRS;FIN;ACT
rire	naurattaa	rire	naurattaa	V;NFIN	V;IND;SG;3;PRS;FIN;ACT
rire	nauraa	rire	nauraa	V;NFIN	V;SG;NFIN;ACT
rire	naura	rire	nauraa	V;NFIN	V;IMP;SG;2;FIN;ACT
rire	nauraa	rire	nauraa	V;NFIN	V;SG;NFIN;ACT
créations	luomuksia	création	luomus	N;FEM;PL	N;PRT;PL
coupable	syyllinen	coupable	syyllinen	ADJ;MASC;SG	ADJ;NOM;SG
report	lykkäämistä	report	lykkääminen	N;MASC;SG	N;PRT;SG
apport	saanti	apport	saanti	N;MASC;SG	N;NOM;SG
channel	kanava	channel	kanava	N;MASC;SG	N;NOM;SG
channel	kanavaa	channel	kanava	N;MASC;SG	N;PRT;SG
channel	kanavalla	channel	kanava	N;MASC;SG	N;AT+ESS
;SG
channel	kanavan	channel	kanava	N;MASC;SG	N;GEN;SG
terreur	terrori	terreur	terrori	N;FEM;SG	N;NOM;SG
terreur	kauhu	terreur	kauhu	N;FEM;SG	N;NOM;SG
terreur	kauhua	terreur	kauhua	N;FEM;SG	N;PRT;SG
terreur	kauhun	terreur	kauhu	N;FEM;SG	N;GEN;SG
temporaire	tilapäinen	temporaire	tilapäinen	ADJ;MASC;SG	ADJ;NOM;SG
temporaire	väliaikainen	temporaire	väli#aikainen	ADJ;MASC;SG	ADJ;NOM;SG
ultra	ultra	ultra	ultra	N;MASC;SG	N;NOM;SG
fourni	edellyttäen	fournir	edellyttää	V;MASC;SG;PST;V.PTCP	V;INS;SG;NFIN;ACT
sonde	luotain	sonde	luotain	N;FEM;SG	N;NOM;SG
tante	täti	tante	täti	N;FEM;SG	N;NOM;SG
tante	täti	tante	täti	N;FEM;SG	N;NOM;SG
tante	täti	tante	täti	N;FEM;SG	N;NOM;SG
assurances	vakuutukset	assurance	vakuutus	N;FEM;PL	N;NOM;PL
vélo	polkupyörä	vélo	polku#pyörä	N;MASC;SG	N;NOM;SG
vélo	pyörä	vélo	pyörä	N;MASC;SG	N;NOM;SG
vélo	polkupyörä	vélo	polku#pyörä	N;MASC;SG	N;NOM;SG
vélo	polkupyörän	vélo	polku#pyörä	N;MASC;SG	N;GEN;SG
stabilité	vakautta	stabilité	vakaus	N;FEM;SG	N;PRT;SG
stabilité	pysyvyys	stabilité	pysyvyys	N;FEM;SG	N;NOM;SG
stabilité	vakaus	stabilité	vakaus	N;FEM;SG	N;NOM;SG
stabilité	talli	stabilité	talli	N;FEM;SG	N;NOM;SG
rabbin	rabbi	rabbin	rabbi	N;MASC;SG	N;NOM;SG
marketing	markkinoinnin	marketing	markkinointi	N;MASC;SG	N;GEN;SG
marketing	markkinointi	marketing	markkinointi	N;MASC;SG	N;NOM;SG
simultanément	samanaikaisesti	simultanément	samanaikaisesti	ADV	ADV
simultanément	samanaikaisesti	simultanément	samanaikaisesti	ADV	ADV
touché	osui	toucher	osua	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
touché	osu	toucher	osu	V;MASC;SG;PST;V.PTCP	V;IMP;SG;2;FIN;ACT
touché	lyö	toucher	lyödä	V;MASC;SG;PST;V.PTCP	V;IMP;SG;2;FIN;ACT
touché	koskenut	toucher	koskea	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
touché	kosketti	toucher	kosketti	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
touché	vaikuttanut	toucher	vaikuttaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
touché	vaikutti	toucher	vaikuttaa	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
globalement	maailmanlaajuisesti	globalement	maailman#laajuisesti	ADV	ADV
attirer	houkutella	attirer	houkutella	V;NFIN	V;SG;NFIN;ACT
attirer	houkutella	attirer	houkutella	V;NFIN	V;SG;NFIN;ACT
attirer	houkuttelee	attirer	houkutella	V;NFIN	V;IND;SG;3;PRS;FIN;ACT
végétation	kasvillisuuden	végétation	kasvillisuus	N;FEM;SG	N;GEN;SG
souffle	henkäys	souffle	henkäys	N;MASC;SG	N;NOM;SG
diagnostic	diagnoosi	diagnostic	diagnoosi	N;MASC;SG	N;NOM;SG
diagnostic	diagnostiikka	diagnostic	diagnostiikka	N;MASC;SG	N;NOM;SG
sacrée	pyhitetty	sacrer	pyhittää	V;FEM;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
casino	kasinolla	casino	kasinolla	N;MASC;SG	N;AT+ESS
;SG
casino	kasino	casino	kasino	N;MASC;SG	N;NOM;SG
casino	casino	casino	casino	N;MASC;SG	N;NOM;SG
musulman	islamilainen	musulman	islamilainen	ADJ;MASC;SG	ADJ;NOM;SG
amené	tuotiin	amener	tuoda	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN;PASS
observé	havaittu	observer	havaita	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
serre	kasvihuone	serre	kasvi#huone	N;FEM;SG	N;NOM;SG
complot	juoni	complot	juoni	N;MASC;SG	N;NOM;SG
complot	tontti	complot	tontti	N;MASC;SG	N;NOM;SG
complot	salaliitto	complot	sala#liitto	N;MASC;SG	N;NOM;SG
appris	oppinut	apprendre	oppia	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
appris	opetti	apprendre	opettaa	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN;ACT
appris	opetettu	apprendre	opettaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
appris	opettanut	apprendre	opettaa	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;ACT
sara	saralla	saro	sarka	N;FEM;SG	N;AT+ESS
;SG
sara	saran	saro	saran	N;FEM;SG	N;GEN;SG
remarqué	huomioitu	remarquer	huomioida	V;MASC;SG;PST;V.PTCP	V;NOM;SG;V.PTCP;PASS
