yang	זה	yang	זה	PRO	PRO;MASC;SG;3
studio	אולפן	studio	אולפן	N;SG	N;MASC;SG
khas	אופיינית	khas	אופייני	ADJ;SG	ADJ;FEM;SG
khas	אופייני	khas	אופייני	ADJ;SG	ADJ;MASC;SG
perdagangan	מסחר	perdagangan	מסחר	N;SG	N;MASC;SG
perdagangan	מסחר	perdagangan	מסחר	N;SG	N;MASC;SG
perdagangan	סחר	perdagangan	סחר	N;SG	N;MASC;SG
perdagangan	החלפה	perdagangan	החלפה	N;SG	N;FEM;SG
perdagangan	מסחר	perdagangan	מסחר	N;SG	N;MASC;SG
tradisi	מסורת	tradisi	מסורת	N;SG	N;FEM;SG
tradisi	מסורת	tradisi	מסורת	N;SG	N;FEM;SG
diproduksi	מיוצר	diproduksi	יוצר	V;SG;PASS	V;MASC;SG;V.PTCP;PASS
diproduksi	מיוצר	diproduksi	יוצר	V;SG;PASS	V;MASC;SG;V.PTCP;PASS
meminta	ביקש	menpinta	ביקש	V;SG;ACT	V;MASC;SG;3;PST;ACT
meminta	מבקשת	menpinta	ביקש	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
meminta	מבקש	menpinta	ביקש	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
standar	סטנדרטי	standar	סטנדרטי	ADJ;SG	ADJ;MASC;SG
energi	אנרגיה	energi	אנרגיה	N;SG	N;FEM;SG
meningkatkan	משפר	mentingkatkan	משפר	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
meningkatkan	להגדיל	mentingkatkan	הגדיל	V;SG;ACT	V;NFIN;ACT
meningkatkan	משתפרת	mentingkatkan	השתפר	V;SG;ACT	V;FEM;SG;V.PTCP
meningkatkan	משתפר	mentingkatkan	השתפר	V;SG;ACT	V;MASC;SG;V.PTCP
meningkatkan	מתגבר	mentingkatkan	התגבר	V;SG;ACT	V;MASC;SG;V.PTCP
meningkatkan	לשפר	mentingkatkan	שיפר	V;SG;ACT	V;NFIN;ACT
darah	דם	darah	דם	N;SG	N;MASC;SG
pasal	פרק	pasal	פרק	N;SG	N;MASC;SG
pasal	כתבה	pasal	כתבה	N;SG	N;FEM;SG
pasal	מאמר	pasal	מאמר	N;SG	N;MASC;SG
siswa	סטודנט	siswa	סטודנט	N;SG	N;MASC;SG
siswa	תלמידה	siswa	תלמידה	N;SG	N;FEM;SG
siswa	תלמיד	siswa	תלמיד	N;SG	N;MASC;SG
siswa	סטודנטית	siswa	סטודנטי	N;SG	N;FEM;SG
jelas	ברור	jelas	ברור	ADJ;SG	ADJ;MASC;SG
jelas	נקי	jelas	נקי	ADJ;SG	ADJ;MASC;SG
keuangan	מימון	keuangan	מימון	N;SG	N;MASC;SG
memang	אכן	memang	אכן	ADV	ADV
asing	זר	asing	זר	ADJ;SG	ADJ;MASC;SG
asing	זר	asing	זר	ADJ;SG	ADJ;MASC;SG
kemungkinan	הסתברות	kemungkinan	הסתברות	N;SG	N;FEM;SG
kemungkinan	ההסתברות	kemungkinan	ההסתברות	N;SG	N;FEM;SG
kemungkinan	אפשרות	kemungkinan	אפשרות	N;SG	N;FEM;SG
kemungkinan	סבירות	kemungkinan	סבירה	N;SG	N;FEM;SG
tunggal	יחיד	tunggal	יחיד	ADJ;SG	ADJ;MASC;SG
berakhir	מסתיים	berakhir	הסתיים	V;SG;ACT	V;MASC;SG;V.PTCP
berakhir	מסתיימת	berakhir	הסתיים	V;SG;ACT	V;FEM;SG;V.PTCP
berakhir	מסתיים	berakhir	הסתיים	V;SG;ACT	V;MASC;SG;V.PTCP
berakhir	הסתיים	berakhir	הסתיים	V;SG;ACT	V;MASC;SG;3;PST
berakhir	הסתיימה	berakhir	הסתיים	V;SG;ACT	V;FEM;SG;3;PST
pimpinan	מנהיגות	pimpinan	מנהיגות	N;SG	N;FEM;SG
kebudayaan	תרבות	kebudayaan	תרבות	N;SG	N;FEM;SG
kebudayaan	התרבות	kebudayaan	התרבות	N;SG	N;FEM;SG
kemerdekaan	חופש	kemerdekaan	חופש	N;SG	N;MASC;SG
kemerdekaan	חירות	kemerdekaan	חירות	N;SG	N;FEM;SG
kemerdekaan	עצמאות	kemerdekaan	עצמאות	N;SG	N;FEM;SG
berusaha	משתדלת	berusaha	השתדל	V;SG;ACT	V;FEM;SG;V.PTCP
berusaha	מנסה	berusaha	ניסה	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
berusaha	משתדל	berusaha	השתדל	V;SG;ACT	V;MASC;SG;V.PTCP
publik	ציבור	publik	ציבור	N	N;MASC;SG
sutradara	במאי	sutradara	במאי	N;SG	N;MASC;SG
sutradara	מנהל	sutradara	מנהל	N;SG	N;MASC;SG
angka	מספר	angka	מספר	N;SG	N;MASC;SG
apabila	כאשר	apabila	כאשר	CONJ	CONJ
jurusan	ריכוז	jurusan	ריכוז	N;SG	N;MASC;SG
menggantikan	תחליף	mengantikan	החליף	V;SG;ACT	V;FEM;SG;3;FUT;ACT
latar	רקע	latar	רקע	N;SG	N;MASC;SG
terbang	זבוב	terbang	None	N;SG;ACT	N;MASC;SG
terbang	טיסה	terbang	טיסה	N;SG;ACT	N;FEM;SG
konsep	מושג	konsep	מושג	N;SG	N;MASC;SG
konsep	תפיסה	konsep	תפיסה	N;SG	N;FEM;SG
konsep	הטיוטה	konsep	הטיוטה	N;SG	N;FEM;SG
konsep	גיוס	konsep	גיוס	N;SG	N;MASC;SG
konsep	טיוטה	konsep	טיוטה	N;SG	N;FEM;SG
mengembangkan	לפתח	menkembangkan	פיתח	V;SG;ACT	V;NFIN;ACT
mengembangkan	התפתח	menkembangkan	התפתח	V;SG;ACT	V;MASC;SG;3;PST
mengembangkan	התפתחה	menkembangkan	התפתח	V;SG;ACT	V;FEM;SG;3;PST
pengurus	מנהל	penurus	מנהל	N;SG	N;MASC;SG
merasa	להרגיש	menrasa	הרגיש	V;SG;ACT	V;NFIN;ACT
merasa	מרגיש	menrasa	הרגיש	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
merasa	תרגיש	menrasa	תרגיש	V;SG;ACT	V;MASC;SG;2;FUT;ACT
merasa	מרגישה	menrasa	הרגיש	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
merasa	מרגיש	menrasa	הרגיש	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
merasa	מרגישה	menrasa	הרגיש	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
merasa	מרגיש	menrasa	הרגיש	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
merasa	הרגיש	menrasa	הרגיש	V;SG;ACT	V;MASC;SG;3;PST;ACT
merasa	הרגשתי	menrasa	הרגיש	V;SG;ACT	V;SG;1;PST;ACT
area	אזור	area	אזור	N;SG	N;MASC;SG
area	איזור	area	איזור	N;SG	N;MASC;SG
area	שטח	area	שטח	N;SG	N;MASC;SG
tahu	דע	tahu	דע	V;SG	V;MASC;SG;1;PST;ACT
tahu	יודעת	tahu	ידע	V;SG	V;FEM;SG;V.PTCP;ACT
tahu	יודע	tahu	ידע	V;SG	V;MASC;SG;V.PTCP;ACT
ukuran	מידה	ukuran	מידה	N;SG	N;FEM;SG
ukuran	גודל	ukuran	גודל	N;SG	N;MASC;SG
pilihan	ברירה	pilihan	ברירה	N;SG	N;FEM;SG
pilihan	בחירה	pilihan	בחירה	N;SG	N;FEM;SG
dikembangkan	התפתח	dikembangkan	התפתח	V;SG;PASS	V;MASC;SG;3;PST
dikembangkan	התפתחה	dikembangkan	התפתח	V;SG;PASS	V;FEM;SG;3;PST
kulit	עור	kulit	עור	N;SG	N;MASC;SG
kulit	עור	kulit	עור	N;SG	N;MASC;SG
kendaraan	הרכב	kendaraan	הרכב	N;SG	N;MASC;SG
kendaraan	רכב	kendaraan	רכב	N;SG	N;MASC;SG
direktur	במאי	direktur	במאי	N;SG	N;MASC;SG
direktur	מנהל	direktur	מנהל	N;SG	N;MASC;SG
pesan	ההודעה	pesan	ההודעה	N;SG	N;FEM;SG
pesan	מסר	pesan	מסר	N;SG	N;MASC;SG
pesan	הודעה	pesan	הודעה	N;SG	N;FEM;SG
pertengahan	אמצע	pertengahan	אמצע	N;SG	N;MASC;SG
pertengahan	אמצע	pertengahan	אמצע	N;SG	N;MASC;SG
tenaga	אנרגיה	tenaga	אנרגיה	N;SG	N;FEM;SG
tenaga	כוח	tenaga	כוח	N;SG	N;MASC;SG
tenaga	עוצמה	tenaga	עוצמה	N;SG	N;FEM;SG
pertahanan	הגנה	pertahanan	הגנה	N;SG	N;FEM;SG
pertahanan	הגנה	pertahanan	הגנה	N;SG	N;FEM;SG
mengalahkan	התבוסה	menkalahkan	התבוסה	V;SG;ACT	V;FEM;SG;3;PST
mengalahkan	להביס	menkalahkan	הביס	V;SG;ACT	V;NFIN;ACT
menampilkan	מציג	mentampilkan	הציג	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
menampilkan	מציג	mentampilkan	הציג	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
pekerjaan	עבודה	pekerjaan	עבודה	N;SG	N;FEM;SG
pekerjaan	משרה	pekerjaan	משרה	N;SG	N;FEM;SG
pekerjaan	עבודה	pekerjaan	עבודה	N;SG	N;FEM;SG
rencana	תכנית	rencana	תוכנית	N;SG	N;FEM;SG
rencana	תוכנית	rencana	תוכנית	N;SG	N;FEM;SG
menyerap	סופג	menserap	סופג	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
menyerap	לספוג	menserap	ספג	V;SG;ACT	V;NFIN;ACT
menyerap	ספג	menserap	ספג	V;SG;ACT	V;MASC;SG;3;PST;ACT
menyerap	סופג	menserap	סופג	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
tipe	סוג	tipe	סוג	N;SG	N;MASC;SG
menyerang	תקף	menserang	תקף	V;SG;ACT	V;MASC;SG;3;PST;ACT
menyerang	מעליב	menserang	העליב	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
menyerang	תוקפת	menserang	תוקפת	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
terlalu	גם	terlalu	גם	ADV	ADV
terlalu	מדי	terlalu	מדי	ADV	ADV
aliran	זרם	aliran	זרם	N;SG	N;MASC;SG
aliran	זרימה	aliran	זרימה	N;SG	N;FEM;SG
aliran	זרימת	aliran	זרימה	N;SG	N;FEM;SG
berjalan	מפעיל	berjalan	מפעיל	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
berjalan	ללכת	berjalan	הלך	V;SG;ACT	V;NFIN;ACT
teks	טקסט	teks	טקסט	N;SG	N;MASC;SG
tujuh	שבעה	tujuh	שבעה	NUM	NUM;MASC;SG
tujuh	שבע	tujuh	שבע	NUM	NUM;FEM;SG
penumpang	הנוסעים	pentumpang	הנוסע	N;SG	N
minyak	שמן	minyak	שמן	N;SG	N;MASC;SG
minyak	נפט	minyak	נפט	N;SG	N;MASC;SG
upacara	טקס	upacara	טקס	N;SG	N;MASC;SG
manajemen	ניהול	manajemen	ניהול	N;SG	N;MASC;SG
manajemen	הנהלה	manajemen	הנהלה	N;SG	N;FEM;SG
terkait	מקושרת	terkait	קושר	V;SG;PASS	V;FEM;SG;V.PTCP;PASS
murid	סטודנט	murid	סטודנט	N;SG	N;MASC;SG
murid	תלמידה	murid	תלמידה	N;SG	N;FEM;SG
murid	תלמיד	murid	תלמיד	N;SG	N;MASC;SG
murid	סטודנטית	murid	סטודנטי	N;SG	N;FEM;SG
gas	גז	gas	גז	N;SG	N;MASC;SG
gas	דלק	gas	דלק	N;SG	N;MASC;SG
makan	אכילה	makan	אכילה	N;SG;ACT	N;FEM;SG
ternyata	כנראה	ternyata	כנראה	ADV;RL;SG	ADV
mengandung	מכיל	menkandung	הכיל	V;SG;ACT	V;MASC;SG;V.PTCP
mengandung	מכילה	menkandung	הכיל	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
mengandung	להכיל	menkandung	הכיל	V;SG;ACT	V;NFIN;ACT
vokal	תנועה	vokal	תנועה	N;SG	N;FEM;SG
keempat	רביעית	keempat	רביעית	NUM	NUM;FEM;SG
khususnya	בפרט	khususnya	בפרט	ADV	ADV
khususnya	במפורש	khususnya	במפורש	ADV	ADV
khususnya	ספציפית	khususnya	ספציפית	ADV	ADV
khususnya	במיוחד	khususnya	במיוחד	ADV	ADV
pinjaman	הלוואה	pinjaman	הלוואה	N;SG	N;FEM;SG
pinjaman	הלוואה	pinjaman	הלוואה	N;SG	N;FEM;SG
metode	שיטה	metode	שיטה	N;SG	N;FEM;SG
predator	טורף	predator	טורף	N	N;MASC;SG
predator	טורפים	predator	טורף	N	N;MASC;PL
peraturan	התקנות	peraturan	התקנה	N;SG	N;FEM;SG
pemenang	מנצח	penmenang	מנצח	N;SG	N;MASC;SG
bergerak	עובר	bergerak	עבר	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
bergerak	זז	bergerak	זז	V;SG;ACT	V;MASC;SG;3;PST;ACT
skor	ניקוד	skor	ניקוד	N;SG	N;MASC;SG
skor	ניקוד	skor	ניקוד	N;SG	N;MASC;SG
pengaruh	השפעה	pengaruh	השפעה	N;SG	N;FEM;SG
kanan	ימין	kanan	ימין	N;SG	N;MASC;SG
kompetisi	תחרות	kompetisi	תחרות	N;SG	N;FEM;SG
polisi	שוטר	polisi	שוטר	N;SG	N;MASC;SG
polisi	שוטרת	polisi	שוטרה	N;SG	N;FEM;SG
polisi	משטרה	polisi	משטרה	N;SG	N;FEM;SG
hijau	ירוקה	hijau	ירוקה	ADJ;SG	ADJ;FEM;SG
hijau	ירוק	hijau	ירוק	ADJ;SG	ADJ;MASC;SG
kecepatan	מהירות	kecepatan	מהירות	N;SG	N;FEM;SG
kecepatan	מהירות	kecepatan	מהירות	N;SG	N;FEM;SG
mengetahui	הידיעה	menketahui	הידיע	V;SG;ACT	V;FEM;SG;3;PST;ACT
mencoba	משתדלת	mencoba	השתדל	V;SG;ACT	V;FEM;SG;V.PTCP
mencoba	מנסה	mencoba	ניסה	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
mencoba	משתדל	mencoba	השתדל	V;SG;ACT	V;MASC;SG;V.PTCP
mencoba	ניסית	mencoba	ניסית	V;SG;ACT	V;SG;1;PST;ACT
mencoba	ניסיתי	mencoba	ניסה	V;SG;ACT	V;SG;1;PST;ACT
mencoba	ניסתה	mencoba	ניסה	V;SG;ACT	V;FEM;SG;3;PST;ACT
mencoba	ניסה	mencoba	ניסה	V;SG;ACT	V;MASC;SG;3;PST;ACT
penguasa	סרגל	penkuasa	סרגל	N;SG	N;MASC;SG
tewas	מת	tewas	מת	ADJ;SG	ADJ;MASC;SG
pasangan	שותפה	pasangan	שותף	N;SG	N;FEM;SG
pasangan	שותף	pasangan	שותף	N;SG	N;MASC;SG
menolak	לסרב	mentolak	סירב	V;SG;ACT	V;NFIN;ACT
menolak	תסרב	mentolak	תסרב	V;SG;ACT	V;FEM;SG;3;FUT;ACT
menolak	מסרב	mentolak	סירב	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
menolak	מסרב	mentolak	סירב	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
menolak	מסרבת	mentolak	סירב	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
menolak	סירבה	mentolak	סירב	V;SG;ACT	V;FEM;SG;3;PST;ACT
menolak	דחה	mentolak	דחה	V;SG;ACT	V;MASC;SG;3;PST;ACT
lewat	באמצעות	lewat	באמצעות	ADP;SG;ACT	ADP
mengubah	משתנה	menubah	השתנה	V;SG;ACT	V;MASC;SG;V.PTCP
mengubah	משתנה	menubah	השתנה	V;SG;ACT	V;MASC;SG;V.PTCP
korban	קורבן	korban	קורבן	N;SG	N;MASC;SG
korban	קרבן	korban	קרבן	N;SG	N;MASC;SG
agresif	תוקפני	agresif	תוקפן	ADJ;SG	ADJ;MASC;SG
agresif	אגרסיבי	agresif	אגרסיבי	ADJ;SG	ADJ;MASC;SG
jembatan	גשר	jembatan	גשר	N;SG	N;MASC;SG
yayasan	קרן	yayasan	קרן	N;SG	N;FEM;SG
keamanan	בטחון	keamanan	ביטחון	N;SG	N;MASC;SG
keamanan	אבטחה	keamanan	אבטחה	N;SG	N;FEM;SG
keamanan	ביטחון	keamanan	ביטחון	N;SG	N;MASC;SG
keamanan	בטיחות	keamanan	בטיחות	N;SG	N;FEM;SG
gagal	להיכשל	gagal	נכשל	V;SG	V;NFIN;MID
gagal	נכשל	gagal	נכשל	V;SG	V;MASC;SG;3;PST;MID
gagal	נכשלה	gagal	נכשל	V;SG	V;FEM;SG;3;PST;MID
news	בשורות	news	בשורה		
perbedaan	הבחנה	perbedaan	הבחנה	N;SG	N;FEM;SG
perbedaan	ההבחנה	perbedaan	ההבחנה	N;SG	N;FEM;SG
perbedaan	הבדל	perbedaan	הבדל	N;SG	N;MASC;SG
pintu	דלת	pintu	דלת	N;SG	N;FEM;SG
pembuat	סופרת	penbuat	סופר	N;SG	N;FEM;SG
pembuat	סופר	penbuat	סופר	N;SG	N;MASC;SG
kiri	שמאל	kiri	שמאל	N;SG	N;MASC;SG
tumbuh	לגדול	tumbuh	גדל	V;SG;ACT	V;NFIN;ACT
tumbuh	תגדל	tumbuh	גדל	V;SG;ACT	V;FEM;SG;3;FUT
menciptakan	יוצר	menciptakan	יצר	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
menciptakan	יוצרת	menciptakan	יצר	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
menciptakan	יוצר	menciptakan	יצר	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
menciptakan	יוצרת	menciptakan	יצר	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
teluk	מפרץ	teluk	מפרץ	N;SG	N;MASC;SG
teluk	מפרץ	teluk	מפרץ	N;SG	N;MASC;SG
difusi	דיפוזיה	difusi	דיפוזיה	N;SG	N;FEM;SG
vietnam	וייטנאמים	vietnam	וייטנאמי	N	N;MASC;PL
jasa	שרות	jasa	שרות	N;SG	N;FEM;SG
jasa	שירות	jasa	שירות	N;SG	N;MASC;SG
bakar	כוויה	bakar	כוויה	N;SG;ACT	N;FEM;SG
kelahiran	הלידה	kelahiran	הלידה	N;SG	N;FEM;SG
kelahiran	לידה	kelahiran	לידה	N;SG	N;FEM;SG
bendera	דגל	bendera	דגל	N;SG	N;MASC;SG
bendera	דגל	bendera	דגל	N;SG	N;MASC;SG
berbasis	מבוסס	berbasis	None	V;SG;ACT	V;MASC;SG;V.PTCP
pelayanan	שרות	penlayanan	שרות	N;SG	N;FEM;SG
pelayanan	שירות	penlayanan	שירות	N;SG	N;MASC;SG
memimpin	מובילה	menpimpin	הוביל	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
memimpin	מוביל	menpimpin	הוביל	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
memimpin	להוביל	menpimpin	הוביל	V;SG;ACT	V;NFIN;ACT
fitur	תכונה	fitur	תכונה	N;SG	N;FEM;SG
aplikasi	יישום	aplikasi	יישום	N;SG	N;MASC;SG
aplikasi	אפליקציה	aplikasi	אפליקציה	N;SG	N;FEM;SG
aplikasi	יישום	aplikasi	יישום	N;SG	N;MASC;SG
aplikasi	אפליקציה	aplikasi	אפליקציה	N;SG	N;FEM;SG
aplikasi	אפליקציית	aplikasi	אפליקציה	N;SG	N;PSSD;FEM;SG
tersedia	זמין	tersedia	זמין	ADJ;SG	ADJ;MASC;SG
kemenangan	נצחון	kemenangan	ניצחון	N;SG	N;MASC;SG
kemenangan	ניצחון	kemenangan	ניצחון	N;SG	N;MASC;SG
kemenangan	ניצחון	kemenangan	ניצחון	N;SG	N;MASC;SG
artinya	משמעות	arti	משמעות	N;SG	N;FEM;SG
artinya	אמצעי	arti	אמצע	N;SG	N;MASC;SG
misi	משימה	misi	משימה	N;SG	N;FEM;SG
kejadian	תקרית	kejadian	תקרית	N;SG	N;FEM;SG
sukses	מוצלח	sukses	מוצלח	ADJ;SG	ADJ;MASC;SG
sukses	מוצלחת	sukses	הוצלח	ADJ;SG	ADJ;FEM;SG
berusia	הזדקן	berusia	הזדקן	V;SG;ACT	V;MASC;SG;3;PST
massa	מאפיה	massa	מאפייה	N	N;FEM;SG
massa	אספסוף	massa	אספסוף	N	N;MASC;SG
massa	גושים	massa	גוש	N	N;MASC;PL
massa	המונים	massa	המון	N	N;MASC;PL
massa	המסה	massa	המסה	N	N;FEM;SG
massa	מסה	massa	מסה	N	N;FEM;SG
melanjutkan	ממשיך	menlanjutkan	המשיך	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
dibagi	מחולק	dibagi	חולק	V;SG;PASS	V;MASC;SG;V.PTCP;PASS
dibagi	מחולקת	dibagi	חולק	V;SG;PASS	V;FEM;SG;V.PTCP;PASS
jawab	תשובה	jawab	תשובה	N;SG;ACT	N;FEM;SG
petani	חקלאי	petani	חקלאי	N;SG	N;MASC;SG
bar	ברים	bar	בר	N	N;MASC;PL
bar	סורגים	bar	סורג	N	N;MASC;PL
bar	בארים	bar	בארים	N	N;MASC;PL
bar	באר	bar	באר	N	N;FEM;SG
bar	סרגל	bar	סרגל	N	N;MASC;SG
membunuh	להרוג	menbunuh	הרג	V;SG;ACT	V;NFIN;ACT
berkata	אומרת	berkata	אמר	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
berkata	אומר	berkata	אמר	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
berkata	אמר	berkata	אמר	V;SG;ACT	V;MASC;SG;3;PST;ACT
berkata	אומרת	berkata	אמר	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
berkata	אומר	berkata	אמר	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
nominasi	מועמדת	nominasi	מועמד	N;SG	N;FEM;SG
nominasi	מועמד	nominasi	מועמד	N;SG	N;MASC;SG
desain	עיצוב	desain	עיצוב	N;SG	N;MASC;SG
dibuka	פתחתי	dibuka	פתח	V;SG;PASS	V;SG;1;PST
puncak	שיא	puncak	שיא	N;SG	N;MASC;SG
insting	אינסטינקט	insting	אינסטינקט	N;SG	N;MASC;SG
profil	פרופיל	profil	פרופיל	N;SG	N;MASC;SG
profil	פרופיל	profil	פרופיל	N;SG	N;MASC;SG
system	מערכת	system	מערכת	N	N;FEM;SG
terlibat	מאורסת	terlibat	מאורס	V;SG;PASS	V;FEM;SG;V.PTCP;PASS
terlibat	מאורס	terlibat	מאורס	V;SG;PASS	V;MASC;SG;V.PTCP;PASS
pembagian	חטיבה	penbagian	חטיבה	N;SG	N;FEM;SG
pembagian	דיוויזיה	penbagian	דיוויזיה	N;SG	N
pembagian	חלוקה	penbagian	חלוקה	N;SG	N;FEM;SG
tindakan	פעולה	tindakan	פעולה	N;SG	N;FEM;SG
tindakan	עשייה	tindakan	עשייה	N;SG	N;FEM;SG
tindakan	אקשן	tindakan	אקשן	N;SG	N;MASC;SG
sekretaris	מזכיר	sekretaris	מזכיר	N;SG	N;MASC;SG
gadis	בחורה	gadis	בחורה	N;SG	N;FEM;SG
gadis	ילדה	gadis	ילד	N;SG	N;FEM;SG
gadis	נערה	gadis	נערה	N;SG	N;FEM;SG
entertainment	בידור	entertainment	בידור	N	N;MASC;SG
penampilan	מראה	pentampilan	מראה	N;SG	N;MASC;SG
penampilan	הופעה	pentampilan	הופעה	N;SG	N;FEM;SG
satuan	יחידה	satuan	יחידה	N;SG	N;FEM;SG
efek	האפקט	efek	האפקט	N;SG	N;MASC;SG
efek	השפעה	efek	השפעה	N;SG	N;FEM;SG
efek	אפקט	efek	אפקט	N;SG	N;MASC;SG
calon	מועמדת	calon	מועמד	N;SG	N;FEM;SG
calon	מועמד	calon	מועמד	N;SG	N;MASC;SG
merujuk	מתייחס	menrujuk	התייחס	V;SG;ACT	V;MASC;SG;V.PTCP
merujuk	מתייחסת	menrujuk	התייחס	V;SG;ACT	V;FEM;SG;V.PTCP
merujuk	התייחס	menrujuk	התייחס	V;SG;ACT	V;MASC;SG;3;PST
merujuk	מתייחס	menrujuk	התייחס	V;SG;ACT	V;MASC;SG;V.PTCP
upaya	מאמץ	upaya	מאמץ	N;SG	N;MASC;SG
pembuatan	הבריאה	penbuatan	הבריא	N;SG	N;FEM;SG
pembuatan	יצירה	penbuatan	יצירה	N;SG	N;FEM;SG
ajaran	דוקטרינת	ajaran	דוקטרינה	N;SG	N;PSSD;FEM;SG
harga	מחיר	harga	מחיר	N;SG	N;MASC;SG
harga	תמחור	harga	תמחור	N;SG	N;MASC;SG
kebutuhan	צורך	kebutuhan	צורך	N;SG	N;MASC;SG
kebutuhan	צרכים	kebutuhan	צרכים	N;SG	N;MASC;SG
kebutuhan	צורך	kebutuhan	צורך	N;SG	N;MASC;SG
menyediakan	לספק	mensediakan	סיפק	V;SG;ACT	V;NFIN;ACT
menyediakan	מספק	mensediakan	סיפק	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
menyediakan	מספקת	mensediakan	סיפק	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
remaja	נוער	remaja	נוער	N;SG	N;MASC;SG
remaja	נוער	remaja	נוער	N;SG	N;MASC;SG
remaja	נער	remaja	נער	N;SG	N;MASC;SG
remaja	נוער	remaja	נוער	N;SG	N;MASC;SG
terminal	מסופי	terminal	מסוף	N	N;PSSD;MASC;PL
biaya	עולה	biaya	עולה	N;SG	N;MASC;SG
biaya	חיוב	biaya	חיוב	N;SG	N;MASC;SG
biaya	מחיר	biaya	מחיר	N;SG	N;MASC;SG
biaya	עלות	biaya	עלות	N;SG	N;FEM;SG
terbagi	מחולק	terbagi	חולק	V;SG;PASS	V;MASC;SG;V.PTCP;PASS
terbagi	מחולקת	terbagi	חולק	V;SG;PASS	V;FEM;SG;V.PTCP;PASS
memenuhi	פוגש	menpenuhi	פגש	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
memenuhi	להגשים	menpenuhi	הגשים	V;SG;ACT	V;NFIN;ACT
rekaman	הקלטה	rekaman	הקלטה	N;SG	N;FEM;SG
rekaman	מקליט	rekaman	הקליט	N;SG	N;MASC;SG
rekaman	קלטת	rekaman	קלטה	N;SG	N;FEM;SG
tahap	שלב	tahap	שלב	N;SG	N;MASC;SG
game	משחק	game	משחק	N;SG	N;MASC;SG
pertemuan	פגישה	pertemuan	פגישה	N;SG	N;FEM;SG
pertemuan	ישיבה	pertemuan	ישיבה	N;SG	N;FEM;SG
pertemuan	מפגש	pertemuan	מפגש	N;SG	N;MASC;SG
administrasi	ממשל	administrasi	ממשל	N;SG	N;MASC;SG
langit	שמיים	langit	שמיים	N;SG	N
langit	שמיים	langit	שמיים	N;SG	N
indah	נפלא	indah	נפלא	ADJ;SG	ADJ;MASC;SG
indah	נפלאה	indah	נפלא	ADJ;SG	ADJ;FEM;SG
mencakup	מכסה	mencakup	כיסה	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
mencakup	כולל	mencakup	כלל	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
mencakup	כוללת	mencakup	כלל	V;SG;ACT	V;FEM;SG;V.PTCP;ACT
dibawah	מתחת	dibawah	מתחת	ADP;SG;PASS	ADP
dibawah	תחת	dibawah	תחת	ADP;SG;PASS	ADP
dibawah	מתחת	dibawah	מתחת	ADP;SG;PASS	ADP
perwakilan	ייצוג	perwakilan	ייצוג	N;SG	N;MASC;SG
perwakilan	נציג	perwakilan	נציג	N;SG	N;MASC;SG
pagi	בוקר	pagi	בוקר	N;SG	N;MASC;SG
percaya	להאמין	percaya	האמין	V;SG;ACT	V;NFIN;ACT
percaya	מאמין	percaya	האמין	V;SG;ACT	V;MASC;SG;V.PTCP;ACT
percaya	לבטוח	percaya	בטח	V;SG;ACT	V;NFIN;ACT
percaya	להאמין	percaya	האמין	V;SG;ACT	V;NFIN;ACT
lengkap	שלם	lengkap	שלם	ADJ;SG	ADJ;MASC;SG
sarana	אמצעי	sarana	אמצע	N;SG	N;MASC;SG
