vir	pre	vir	pre	ADP	ADP;ACC
munisipale	občianska	munisipaal	občiansky	ADJ;NOM	ADJ;NOM;FEM;SG
oog	oka	oog	oko	N;SG	N;GEN;NEUT;SG
oog	oku	oog	oko	N;SG	N;INAN;DAT;MASC;SG
oog	oko	oog	oko	N;SG	N;NOM;NEUT;SG
studies	štúdium	studie	štúdium	N;SG	N;NOM;NEUT;SG
verspreiding	rozloženie	verspreiding	rozloženie	N;SG	N;NOM;NEUT;SG
verspreiding	rozdeľovanie	verspreiding	rozdeľovanie	N;SG	N;NOM;NEUT;SG
verspreiding	distribúcia	verspreiding	distribúcia	N;SG	N;NOM;FEM;SG
verspreiding	rozdelenie	verspreiding	rozdelenie	N;SG	N;NOM;NEUT;SG
kolonie	kolóniu	kolonie	kolónia	N;SG	N;ACC;FEM;SG
kolonie	kolónia	kolonie	kolónia	N;SG	N;NOM;FEM;SG
kolonie	kolónii	kolonie	kolónia	N;SG	N;DAT;FEM;SG
ingevoer	vstúpil	invoer	vstúpiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
struktuur	štruktúru	struktuur	štruktúra	N;SG	N;ACC;FEM;SG
struktuur	konštrukcia	struktuur	konštrukcia	N;SG	N;NOM;FEM;SG
struktuur	štruktúra	struktuur	štruktúra	N;SG	N;NOM;FEM;SG
kunstenaars	umelcov	kunstenaar	umelec	N;PL	N;ANIM;ACC;MASC;PL
kunstenaars	umelci	kunstenaar	umelec	N;PL	N;ANIM;NOM;MASC;PL
wedstryd	súťaž	wedstryd	súťaž	N;SG	N;NOM;FEM;SG
liefde	laska	liefde	laska	N;SG	N;NOM;FEM;SG
liefde	láska	liefde	láska	N;SG	N;NOM;FEM;SG
oblast	oblasť	oblast	oblasť	N;SG	N;NOM;FEM;SG
standaard	štandard	standaard	štandard	N;SG	N;INAN;NOM;MASC;SG
standaard	norma	standaard	norma	N;SG	N;NOM;FEM;SG
aanval	útok	aanval	útok	N;SG	N;INAN;NOM;MASC;SG
skrywers	autori	skrywer	autori	N;PL	N;ANIM;NOM;MASC;PL
skrywers	spisovatelia	skrywer	spisovateľ	N;PL	N;ANIM;NOM;MASC;PL
skrywers	spisovateľov	skrywer	spisovateľ	N;PL	N;ANIM;ACC;MASC;PL
skrywers	autori	skrywer	autori	N;PL	N;ANIM;NOM;MASC;PL
skrywers	autorov	skrywer	autor	N;PL	N;ANIM;GEN;MASC;PL
kanadese	kanadský	kanades	kanadský	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
onafhanklik	samostatne	onafhanklik	samostatne	ADV	ADV
onafhanklik	nezávisle	onafhanklik	závisel	ADV	ADV
langer	dlhšie	lank	dlho	ADV;CMPR	ADV;CMPR
langer	dlhšiu	lank	dlhý	ADV;CMPR	ADV;CMPR
katedraal	katedrála	katedraal	katedrál	N;SG	N;NOM;FEM;SG
klimaat	klímu	klimaat	klima	N;SG	N;ACC;FEM;SG
klimaat	podnebie	klimaat	podnebie	N;SG	N;NOM;NEUT;SG
klimaat	klíma	klimaat	klíma	N;SG	N;NOM;FEM;SG
vernietig	zničiť	vernietig	zničiť	V;PRS	V;PFV;POS;NFIN
vernietig	zničí	vernietig	zničiť	V;PRS	V;PFV;IND;SG;3;POS;PRS;FIN
vernietig	ničiť	vernietig	ničiť	V;PRS	V;IPFV;POS;NFIN
onderneem	zaväzujú	onderneem	zaväzovať	V;PRS	V;IPFV;IND;PL;3;POS;PRS;FIN
sensus	sčítanie	sensus	sčítanie	N;SG	N;NOM;NEUT;SG
onderskei	rozlišovať	onderskei	rozlišovať	V;PRS	V;IPFV;POS;NFIN
skepe	lodí	skeep	loď	N;PL	N;GEN;FEM;PL
skepe	lode	skeep	loď	N;PL	N;NOM;FEM;PL
weermag	armáda	weermag	armáda	N;SG	N;NOM;FEM;SG
weermag	vojsko	weermag	vojsko	N;SG	N;NOM;NEUT;SG
metropolitaanse	metropolitná	metropolitaans	metropolitný	ADJ;NOM	ADJ;NOM;FEM;SG
getrek	vyvodiť	trek	vyvodiť	V;PST;V.PTCP	V;PFV;POS;NFIN
kos	jedlo	kos	jedlo	N;SG	N;NOM;NEUT;SG
verminder	zredukovať	verminder	zredukovať	V;PRS	V;POS;NFIN
verminder	znížiť	verminder	znížiť	V;PRS	V;PFV;POS;NFIN
verminder	eliminovať	verminder	eliminovať	V;PRS	V;IPFV;POS;NFIN
verminder	znižovať	verminder	znižovať	V;PRS	V;IPFV;POS;NFIN
verminder	znížiť	verminder	znížiť	V;PRS	V;PFV;POS;NFIN
verminder	zmenšuje	verminder	zmenšovať	V;PRS	V;IPFV;IND;SG;3;POS;PRS;FIN
verminder	znižuje	verminder	znižovať	V;PRS	V;IPFV;IND;SG;3;POS;PRS;FIN
verminder	zníži	verminder	znížiť	V;PRS	V;PFV;IND;SG;3;POS;PRS;FIN
terugkeer	vrátenie	terugkeer	vrátenie	N;SG	N;NOM;NEUT;SG
terugkeer	návratnosť	terugkeer	návratnosť	N;SG	N;NOM;FEM;SG
terugkeer	návrat	terugkeer	návrat	N;SG	N;INAN;NOM;MASC;SG
afdeling	oddiel	afdeling	oddlieť	N;SG	N;INAN;NOM;MASC;SG
afdeling	časť	afdeling	časť	N;SG	N;NOM;FEM;SG
afdeling	úsek	afdeling	úsek	N;SG	N;INAN;NOM;MASC;SG
afdeling	sekcia	afdeling	sekcia	N;SG	N;NOM;FEM;SG
rewolusie	revolúciu	rewolusie	revolúcia	N;SG	N;ACC;FEM;SG
rewolusie	revolúcia	rewolusie	revolúcia	N;SG	N;NOM;FEM;SG
atmosfeer	atmosféru	atmosfeer	atmosféra	N;SG	N;ACC;FEM;SG
atmosfeer	atmosféra	atmosfeer	atmosféra	N;SG	N;NOM;FEM;SG
plant	závod	plant	závod	N;SG	N;INAN;NOM;MASC;SG
plant	rastlina	plant	rastlina	N;SG	N;NOM;FEM;SG
ontmoet	stretnúť	ontmoet	stretnúť	V;PRS	V;PFV;POS;NFIN
ontmoet	spoznať	ontmoet	spoznať	V;PRS	V;PFV;POS;NFIN
terrein	pole	terrein	pole	N;SG	N;NOM;NEUT;SG
feitlik	kriticky	feitlik	kriticky	ADV	ADV
noem	zmieniť	noem	zmieniť	V;PRS	V;PFV;POS;NFIN
noem	spomenúť	noem	spomenúť	V;PRS	V;PFV;POS;NFIN
behandel	ošetriť	behandel	ošetriť	V;PRS	V;PFV;POS;NFIN
behandel	liečiť	behandel	liečiť	V;PRS	V;IPFV;POS;NFIN
behandel	zaobchádzať	behandel	zaobchádzať	V;PRS	V;IPFV;POS;NFIN
stuur	zasielať	stuur	zasielať	V;PRS	V;IPFV;POS;NFIN
stuur	prenášať	stuur	prenášať	V;PRS	V;IPFV;POS;NFIN
stuur	pošli	stuur	poslať	V;PRS	V;PFV;IMP;SG;2;POS;FIN
stuur	poslať	stuur	poslať	V;PRS	V;PFV;IMP;2;POS;NFIN
stuur	odoslať	stuur	odoslať	V;PRS	V;PFV;POS;NFIN
verleen	udeliť	verleen	udeliť	V;PRS	V;PFV;POS;NFIN
area	oblasť	area	oblasť	N;SG	N;NOM;FEM;SG
area	plocha	area	plocha	N;SG	N;NOM;FEM;SG
deense	dánske	deens	dánsky	ADJ;NOM	ADJ;NOM;NEUT;SG
deense	dánska	deens	dánsky	ADJ;NOM	ADJ;NOM;FEM;SG
deense	dánsky	deens	dánsky	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
aard	priroda	aard	priroda	N;SG	N;NOM;FEM;SG
aard	prírodu	aard	príroda	N;SG	N;ACC;FEM;SG
aard	povaha	aard	povaha	N;SG	N;NOM;FEM;SG
aard	príroda	aard	príroda	N;SG	N;NOM;FEM;SG
aard	charakter	aard	charakter	N;SG	N;INAN;NOM;MASC;SG
veld	pole	veld	pole	N;SG	N;NOM;NEUT;SG
pogings	snahy	poging	snaha	N;PL	N;NOM;FEM;PL
pogings	pokusy	poging	pokus	N;PL	N;INAN;NOM;MASC;PL
pogings	pokusov	poging	pokus	N;PL	N;INAN;GEN;MASC;PL
moeilik	tvrdo	moeilik	tvrdo	ADV	ADV
moeilik	silno	moeilik	silno	ADV	ADV
moeilik	ťažko	moeilik	ťažko	ADV	ADV
moeilik	ťažko	moeilik	ťažko	ADV	ADV
vra	opýtať	vra	opýtať	V;PRS	V;PFV;POS;NFIN
hart	srdce	hart	srdce	N;SG	N;NOM;NEUT;SG
ernstige	závažné	ernstig	závažný	ADJ;NOM	ADJ;NOM;NEUT;SG
ernstige	závažná	ernstig	závažný	ADJ;NOM	ADJ;NOM;FEM;SG
ernstige	vážny	ernstig	vážny	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
ernstige	vážna	ernstig	vážna	ADJ;NOM	ADJ;NOM;FEM;SG
stelsels	systémov	stelsel	systém	N;PL	N;INAN;GEN;MASC;PL
stelsels	systémy	stelsel	systém	N;PL	N;INAN;NOM;MASC;PL
getalle	počty	getal	počet	N;PL	N;INAN;NOM;MASC;PL
getalle	čísla	getal	číslo	N;PL	N;NOM;NEUT;PL
politiek	politika	politiek	politika	N;SG	N;NOM;FEM;SG
politiek	politike	politiek	politika	N;SG	N;DAT;FEM;SG
agtergrond	pozadie	agtergrond	pozadie	N;SG	N;NOM;NEUT;SG
agtergrond	minulosť	agtergrond	minulosť	N;SG	N;NOM;FEM;SG
agtergrond	pozadí	agtergrond	pozadie	N;SG	N;NOM;NEUT;SG
idee	napad	idee	napad	N;SG	N;INAN;NOM;MASC;SG
idee	idea	idee	idea	N;SG	N;NOM;FEM;SG
idee	myšlienka	idee	myšlienka	N;SG	N;NOM;FEM;SG
idee	nápad	idee	nápad	N;SG	N;INAN;NOM;MASC;SG
provinsies	stavy	provinsie	stav	N;PL	N;NOM;FEM;PL
provinsies	štáty	provinsie	štát	N;PL	N;INAN;NOM;MASC;PL
provinsies	štátov	provinsie	štát	N;PL	N;INAN;GEN;MASC;PL
provinsies	okresoch	provinsie	okres	N;PL	N;INAN;GEN;MASC;PL
wêreldwyd	celosvetovo	wêreldwyd	celosvetov	ADV	ADV
australiese	austrálsky	australies	austrálsky	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
dekades	desaťročia	dekade	desaťročie	N;PL	N;NOM;NEUT;PL
streke	regióny	streke	región	N;PL	N;INAN;NOM;MASC;PL
filosofie	filozofia	filosofie	filozofie	N;SG	N;NOM;FEM;SG
filosofie	filozofiu	filosofie	filozofia	N;SG	N;ACC;FEM;SG
godsdienstige	náboženské	godsdienstig	náboženský	ADJ;NOM	ADJ;NOM;NEUT;SG
godsdienstige	náboženský	godsdienstig	náboženský	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
godsdienstige	náboženská	godsdienstig	náboženský	ADJ;NOM	ADJ;NOM;FEM;SG
pers	tlače	pers	tlič	N;PL	N;NOM;FEM;PL
tydskrif	časopis	tydskrif	časopis	N;SG	N;INAN;NOM;MASC;SG
tydskrif	magazín	tydskrif	magazina	N;SG	N;INAN;NOM;MASC;SG
tydskrif	časopisu	tydskrif	časopis	N;SG	N;INAN;GEN;MASC;SG
koop	kúp	koop	kúp	V;PRS	V;PFV;IMP;SG;2;POS;FIN
koop	kúpim	koop	kúp	V;PRS	V;PFV;IND;SG;1;POS;PRS;FIN
koop	kúpiť	koop	kúpiť	V;PRS	V;PFV;POS;NFIN
voorkoms	vzhľad	voorkoms	vzhľad	N;SG	N;INAN;NOM;MASC;SG
voorkoms	výskyt	voorkoms	výskyt	N;SG	N;INAN;NOM;MASC;SG
literêre	literárny	literêre	literárny	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
saal	hala	saal	hať	N;SG	N;NOM;FEM;SG
saal	sála	saal	sála	N;SG	N;NOM;FEM;SG
saal	sieň	saal	sieň	N;SG	N;NOM;FEM;SG
spel	zápas	spel	zápas	N;SG	N;INAN;NOM;MASC;SG
spel	hra	spel	hra	N;SG	N;NOM;FEM;SG
sokker	futbal	sokker	futbať	N;SG	N;INAN;NOM;MASC;SG
bydrae	príspevok	bydrae	príspevok	N;SG	N;INAN;NOM;MASC;SG
bydrae	prínos	bydrae	prínos	N;SG	N;INAN;NOM;MASC;SG
brug	most	brug	most	N;SG	N;INAN;NOM;MASC;SG
brug	mostík	brug	mostík	N;SG	N;INAN;NOM;MASC;SG
brug	mosta	brug	most	N;SG	N;INAN;GEN;MASC;SG
vlae	vlajky	vlaag	vlajka	N;PL	N;NOM;FEM;PL
vlae	zástavy	vlaag	zástava	N;PL	N;NOM;FEM;PL
monument	pamätník	monument	pamätník	N;SG	N;INAN;NOM;MASC;SG
monument	pamätníku	monument	pamätník	N;SG	N;INAN;DAT;MASC;SG
monument	pamiatka	monument	pamiatka	N;SG	N;NOM;FEM;SG
landbou	poľnohospodárstvo	landbou	poľnohospodárstvo	N;SG	N;NOM;NEUT;SG
voorwerp	predmet	voorwerp	predmet	N;SG	N;INAN;NOM;MASC;SG
voorwerp	objekt	voorwerp	objekt	N;SG	N;INAN;NOM;MASC;SG
voorwerp	objektu	voorwerp	objekt	N;SG	N;INAN;GEN;MASC;SG
natuur	priroda	natuur	priroda	N;SG	N;NOM;FEM;SG
natuur	prírodu	natuur	príroda	N;SG	N;ACC;FEM;SG
natuur	povaha	natuur	povaha	N;SG	N;NOM;FEM;SG
natuur	príroda	natuur	príroda	N;SG	N;NOM;FEM;SG
natuur	charakter	natuur	charakter	N;SG	N;INAN;NOM;MASC;SG
stille	ticho	stille	ticho	N;SG	N;NOM;NEUT;SG
produkte	výrobky	produk	výrobok	N;PL	N;INAN;NOM;MASC;PL
produkte	produkty	produk	produkt	N;PL	N;INAN;NOM;MASC;PL
produkte	produktov	produk	produkt	N;PL	N;INAN;GEN;MASC;PL
vereniging	asociácia	vereniging	asociácia	N;SG	N;NOM;FEM;SG
vereniging	združenie	vereniging	združenie	N;SG	N;NOM;NEUT;SG
verstaan	porozumieť	verstaan	porozumieť	V;PRS	V;PFV;POS;NFIN
verstaan	pochopiť	verstaan	pochopiť	V;PRS	V;PFV;POS;NFIN
verstaan	rozumieť	verstaan	rozumieť	V;PRS	V;IPFV;POS;NFIN
komitee	výbor	komitee	výbor	N;SG	N;INAN;NOM;MASC;SG
komitee	výbore	komitee	výbor	N;SG	N;INAN;NOM;MASC;SG
komitee	výboru	komitee	výbor	N;SG	N;INAN;GEN;MASC;SG
belangstelling	záujem	belangstelling	záujem	N;SG	N;INAN;NOM;MASC;SG
belangstelling	úrok	belangstelling	úrok	N;SG	N;INAN;NOM;MASC;SG
bedank	ukončiť	bedank	ukončiť	V;PRS	V;PFV;POS;NFIN
bedank	skončiť	bedank	skončiť	V;PRS	V;PFV;POS;NFIN
griekeland	alcoa	griekeland	alco	N;SG	N;INAN;NOM;MASC;SG
griekeland	grécko	griekeland	grécko	N;SG	N;NOM;NEUT;SG
griekeland	grécka	griekeland	grécka	N;SG	N;NOM;NEUT;SG
vrugte	ovocia	vrug	ovoc	N;SG	N;GEN;NEUT;SG
gas	plynu	gas	plyn	N;SG	N;INAN;GEN;MASC;SG
gas	benzin	gas	benzin	N;SG	N;INAN;NOM;MASC;SG
gas	plyn	gas	plyn	N;SG	N;INAN;NOM;MASC;SG
gas	hosťa	gas	hosť	N;SG	N;ANIM;ACC;MASC;SG
gas	hosť	gas	hosť	N;SG	N;ANIM;NOM;MASC;SG
stam	koreň	stam	koreň	N;SG	N;INAN;NOM;MASC;SG
verlede	minulosť	verlede	minulosť	N;SG	N;NOM;FEM;SG
verlede	minulosťou	verlede	minulosť	N;SG	N;INS;FEM;SG
uiters	extrémne	uiters	extrémne	ADV	ADV
uiters	krajne	uiters	krajne	ADV	ADV
uiters	mimoriadne	uiters	mimoriadne	ADV	ADV
uiters	extrémne	uiters	extrémne	ADV	ADV
akademie	akadémia	akademie	akadémia	N;SG	N;NOM;FEM;SG
aangewys	určili	aanwys	určiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
motor	motorom	motor	motor	N;SG	N;INAN;INS;MASC;SG
motor	motora	motor	motor	N;SG	N;INAN;GEN;MASC;SG
motor	motor	motor	motor	N;SG	N;INAN;NOM;MASC;SG
motor	auto	motor	auto	N;SG	N;NOM;NEUT;SG
motor	autom	motor	auto	N;SG	N;INS;NEUT;SG
eenvoudige	jednoduchý	eenvoudig	jednoduchý	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
eenvoudige	jednoduchá	eenvoudig	jednoduchý	ADJ;NOM	ADJ;NOM;FEM;SG
eenvoudige	jednoduché	eenvoudig	jednoduchý	ADJ;NOM	ADJ;NOM;NEUT;SG
grense	okraje	grens	okraj	N;PL	N;INAN;NOM;MASC;PL
grense	hraníc	grens	hranica	N;PL	N;GEN;FEM;PL
grense	hranice	grens	hranica	N;PL	N;NOM;FEM;PL
portugese	portugalské	portugees	portugalský	ADJ;NOM	ADJ;NOM;NEUT;SG
portugese	portugalská	portugees	portugalský	ADJ;NOM	ADJ;NOM;FEM;SG
portugese	portugalský	portugees	portugalský	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
tradisie	tradíciu	tradisie	tradícia	N;SG	N;ACC;FEM;SG
tradisie	tradícia	tradisie	tradícia	N;SG	N;NOM;FEM;SG
kalifornië	california	kalifornië	californie	N;SG	N;NOM;FEM;SG
kalifornië	kalifornia	kalifornië	kalifornie	N;SG	N;NOM;FEM;SG
kardinale	kardináli	kardinaal	kardinál	N;PL	N;ANIM;NOM;MASC;PL
bevind	nájde	bevind	nájsť	V;PRS	V;PFV;IND;SG;3;POS;PRS;FIN
publiseer	publikovať	publiseer	publikovať	V;PRS	V;IPFV;POS;NFIN
publiseer	zverejniť	publiseer	zverejniť	V;PRS	V;PFV;POS;NFIN
publiseer	uverejniť	publiseer	uverejniť	V;PRS	V;PFV;POS;NFIN
publiseer	zverejňovať	publiseer	zverejňovať	V;PRS	V;IPFV;POS;NFIN
uitgereik	vydal	uitreik	vydať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
ooreenkoms	dohoda	ooreenkoms	dohoda	N;SG	N;NOM;FEM;SG
ooreenkoms	dohodou	ooreenkoms	dohoda	N;SG	N;INS;FEM;SG
akademiese	akademické	akademies	akademický	ADJ;NOM	ADJ;NOM;NEUT;SG
akademiese	akademický	akademies	akademický	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
gou	čoskoro	gou	čoskoro	ADV	ADV
gou	onedlho	gou	onedlho	ADV	ADV
gesterf	umrel	sterf	umrieť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
gesterf	zomreli	sterf	zomrieť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
gesterf	zomrel	sterf	zomrieť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
gesterf	zomrela	sterf	zomrieť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
baan	koľaj	baan	koľať	N;SG	N;NOM;FEM;SG
baan	trať	baan	trať	N;SG	N;NOM;FEM;SG
vryheid	sloboda	vryheid	sloboda	N;SG	N;NOM;FEM;SG
vryheid	voľnosť	vryheid	voľnosť	N;SG	N;NOM;FEM;SG
vryheid	slobodu	vryheid	sloboda	N;SG	N;ACC;FEM;SG
vryheid	voľnosť	vryheid	voľnosť	N;SG	N;NOM;FEM;SG
slawiese	slovanská	slawies	slovanský	ADJ;NOM	ADJ;NOM;FEM;SG
samewerking	spolupráca	samewerking	spolupráca	N;SG	N;NOM;FEM;SG
samewerking	spolupráca	samewerking	spolupráca	N;SG	N;NOM;FEM;SG
argentinië	argentíne	argentinië	argentína	N;SG	N;NOM;FEM;SG
argentinië	argentína	argentinië	argentína	N;SG	N;NOM;FEM;SG
stedelike	mestský	stedelik	mestský	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
stedelike	mestské	stedelik	mestský	ADJ;NOM	ADJ;NOM;NEUT;SG
stedelike	mestská	stedelik	mestský	ADJ;NOM	ADJ;NOM;FEM;SG
produksie	produkciu	produksie	produkcia	N;SG	N;ACC;FEM;SG
produksie	výroba	produksie	výroba	N;SG	N;NOM;FEM;SG
produksie	produkcia	produksie	produkcia	N;SG	N;NOM;FEM;SG
messier	messier	messier	messier	N;SG	N;ANIM;NOM;MASC;SG
brief	dopis	brief	dopis	N;SG	N;INAN;NOM;MASC;SG
brief	písmeno	brief	písmeno	N;SG	N;NOM;NEUT;SG
brief	list	brief	list	N;SG	N;INAN;NOM;MASC;SG
woordeboek	slovníka	woordeboek	slovník	N;SG	N;INAN;GEN;MASC;SG
woordeboek	slovník	woordeboek	slovník	N;SG	N;INAN;NOM;MASC;SG
ton	tona	ton	tona	N;SG	N;NOM;FEM;SG
ton	tonu	ton	ton	N;SG	N;ACC;FEM;SG
ton	ton	ton	ton	N;SG	N;INAN;NOM;MASC;SG
geslaag	prešiel	slaag	prejsť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
geslaag	prešli	slaag	prejsť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
geslaag	prešlo	slaag	prejsť	V;PST;V.PTCP	V;PFV;NEUT;SG;POS;PST;V.PTCP
samelewing	spolok	samelewing	spolok	N;SG	N;INAN;NOM;MASC;SG
samelewing	spoločnosť	samelewing	spoločnosť	N;SG	N;NOM;FEM;SG
samelewing	spoločenstvo	samelewing	spoločenstvo	N;SG	N;NOM;NEUT;SG
samelewing	komunita	samelewing	komunita	N;SG	N;NOM;FEM;SG
huise	domy	huis	dom	N;PL	N;INAN;NOM;MASC;PL
huise	domovy	huis	domov	N;PL	N;INAN;NOM;MASC;PL
huise	domy	huis	dom	N;PL	N;INAN;NOM;MASC;PL
midde	stred	midde	stred	N;SG	N;INAN;NOM;MASC;SG
midde	polovici	midde	polovica	N;SG	N;DAT;FEM;SG
aangekondig	oznámil	aankondig	oznámiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
aangekondig	oznámila	aankondig	oznámiť	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
aangekondig	oznámili	aankondig	oznámiť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
publiek	public	publiek	publica	N;SG	N;NOM;FEM;SG
publiek	verejnosť	publiek	verejnosť	N;SG	N;NOM;FEM;SG
godsdiens	vyznanie	godsdiens	vyznanie	N;SG	N;NOM;NEUT;SG
godsdiens	náboženstvo	godsdiens	náboženstvo	N;SG	N;NOM;NEUT;SG
era	éra	era	éra	N;SG	N;NOM;FEM;SG
golf	vlna	golf	vlna	N;SG	N;NOM;FEM;SG
golf	vlnu	golf	vln	N;SG	N;ACC;FEM;SG
omstandighede	okolnosti	omstandigheid	okolnosť	N;PL	N;NOM;FEM;PL
omstandighede	okolnosti	omstandigheid	okolnosť	N;PL	N;NOM;FEM;PL
geboorte	narodenie	geboorte	narodenie	N;SG	N;NOM;NEUT;SG
geboorte	pôrod	geboorte	pôrod	N;SG	N;INAN;NOM;MASC;SG
oorleef	prežije	oorleef	prežiť	V;PRS	V;PFV;IND;SG;3;POS;PRS;FIN
oorleef	prežijú	oorleef	prežiť	V;PRS	V;PFV;IND;PL;3;POS;PRS;FIN
oorleef	prežiť	oorleef	prežiť	V;PRS	V;PFV;POS;NFIN
redakteur	vydavateľ	redakteur	vydavateľ	N;SG	N;ANIM;NOM;MASC;SG
redakteur	editor	redakteur	editor	N;SG	N;INAN;NOM;MASC;SG
ontdekking	objavenie	ontdekking	objavenie	N;SG	N;NOM;NEUT;SG
ontdekking	objav	ontdekking	objav	N;SG	N;INAN;NOM;MASC;SG
kaptein	kapitánom	kaptein	kapitán	N;SG	N;ANIM;INS;MASC;SG
kaptein	kapitan	kaptein	kapitan	N;SG	N;ANIM;NOM;MASC;SG
kaptein	kapitán	kaptein	kapitán	N;SG	N;ANIM;NOM;MASC;SG
verwysings	odkazy	verwysing	odkaz	N;PL	N;INAN;NOM;MASC;PL
verwysings	referencie	verwysing	referencia	N;PL	N;NOM;FEM;PL
voorstad	predmestie	voorstad	predmestie	N;SG	N;NOM;NEUT;SG
siekte	choroba	siekte	choroba	N;SG	N;NOM;FEM;SG
siekte	ochorenie	siekte	ochorenie	N;SG	N;NOM;NEUT;SG
siekte	choroba	siekte	choroba	N;SG	N;NOM;FEM;SG
siekte	ochorenie	siekte	ochorenie	N;SG	N;NOM;NEUT;SG
bywoning	účasť	bywoning	účasť	N;SG	N;NOM;FEM;SG
professionele	odborná	professioneel	odborný	ADJ;NOM	ADJ;NOM;FEM;SG
professionele	profesionálny	professioneel	profesionálny	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
professionele	profesionálna	professioneel	profesionálny	ADJ;NOM	ADJ;NOM;FEM;SG
mediese	lekárska	medies	lekársky	ADJ;NOM	ADJ;NOM;FEM;SG
mediese	lekársky	medies	lekársky	ADJ;NOM	ADJ;INAN;NOM;MASC;SG
mediese	zdravotnícke	medies	zdravotnícky	ADJ;NOM	ADJ;NOM;NEUT;SG
mediese	lekárske	medies	lekársky	ADJ;NOM	ADJ;NOM;NEUT;SG
mediese	zdravotné	medies	zdravotný	ADJ;NOM	ADJ;NOM;NEUT;SG
uitvoerende	výkonná	uitvoer	výkonný	ADJ;NOM	ADJ;NOM;FEM;SG
uitvoerende	výkonný	uitvoer	výkonný	ADJ;NOM	ADJ;ANIM;NOM;MASC;SG
stuk	kusu	stuk	kus	N;SG	N;INAN;GEN;MASC;SG
stuk	kus	stuk	kus	N;SG	N;INAN;NOM;MASC;SG
stuk	kúsok	stuk	kúsok	N;SG	N;INAN;NOM;MASC;SG
toegang	pristup	toegang	pristup	N;SG	N;INAN;NOM;MASC;SG
toegang	prístup	toegang	prístup	N;SG	N;INAN;NOM;MASC;SG
hof	dvor	hof	dvor	N;SG	N;INAN;NOM;MASC;SG
hof	súd	hof	súd	N;SG	N;INAN;NOM;MASC;SG
bank	banku	bank	banka	N;SG	N;ACC;FEM;SG
bank	banka	bank	banka	N;SG	N;NOM;FEM;SG
teken	čerpať	teken	čerpať	V;PRS	V;IPFV;POS;NFIN
teken	nakresliť	teken	nakresliť	V;PRS	V;PFV;POS;NFIN
teken	kresliť	teken	kresliť	V;PRS	V;PFV;POS;NFIN
teken	vyvodiť	teken	vyvodiť	V;PRS	V;PFV;POS;NFIN
teken	podpísať	teken	podpísať	V;PRS	V;PFV;POS;NFIN
gedra	správať	dra	správať	V;PST;V.PTCP	V;IPFV;POS;NFIN
gedra	znášal	dra	znášať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
gesag	autorita	gesag	autorita	N;SG	N;NOM;FEM;SG
gesag	právomoc	gesag	právomoc	N;SG	N;NOM;FEM;SG
gesag	orgán	gesag	orgán	N;SG	N;INAN;NOM;MASC;SG
gesag	úrad	gesag	úrad	N;SG	N;INAN;NOM;MASC;SG
myl	míľ	myl	míľ	N;SG	N;GEN;FEM;SG
myl	míľu	myl	míľ	N;SG	N;ACC;FEM;SG
myl	mile	myl	milo	N;SG	N;NOM;MASC;SG
eens	raz	eens	raz	ADV	ADV
eens	jedenkrát	eens	jedenkrát	ADV	ADV
eens	kedysi	eens	kedysi	ADV	ADV
gebeure	udalostí	gebeure	udalosť	N;PL	N;GEN;FEM;PL
gebeure	podujatia	gebeure	podujatie	N;PL	N;NOM;NEUT;PL
gebeure	udalosti	gebeure	udalosť	N;PL	N;NOM;FEM;PL
mitologie	mytológia	mitologie	mytológia	N;SG	N;NOM;FEM;SG
toekenning	ocenenie	toekenning	ocenenie	N;SG	N;NOM;NEUT;SG
toekenning	zadanie	toekenning	zadanie	N;SG	N;NOM;NEUT;SG
