年	ano	年	ano	N	N
晚上	noites	晚上	noite	N	N
國王	xurxo	國王	xurxo	N	N
耳	ouvido	耳	ouvido	N	N
耳	orella	耳	orellar	N	N
耳	orellas	耳	orella	N	N
改變	cambiar	改變	cambiar	V	V
改變	cambiando	改變	cambiar	V	V
改變	muda	改變	muda	V	V
改變	mudando	改變	mudar	V	V
改變	cambiar	改變	cambiar	V	V
改變	mudar	改變	mudar	V	V
廣場	praza	廣場	praza	N	N
市民	cidadáns	市民	cidadán	N	N
市民	cidadán	市民	cidadán	N	N
樹	árbore	樹	árbore	N	N
樹	árbores	樹	árbor	N	N
樹	das	樹	das	N	N
聯邦	circuíto	聯邦	circuíto	N	N
酸	ácido	酸	ácido	N	N
酸	aminoácidos	酸	aminoácer	N	N
董事	directores	董事	director	N	N
夫人	señora	夫人	señor	N	N
公斤	kilos	公斤	kilo	N	N
公斤	quilos	公斤	quilo	N	N
公斤	chan	公斤	chan	N	N
效果	efecto	效果	efecto	N	N
效果	efectos	效果	efecto	N	N
效果	efectos	效果	efecto	N	N
晚	tarde	晚	tarde	N	N
輪	roda	輪	roda	N	N
輪	rodas	輪	roda	N	N
輪	raís	輪	raes	N	N
輪	redondo	輪	redordo	N	N
輪	redondos	輪	redondo	N	N
輪	xira	輪	xira	N	N
記錄	gravar	記錄	gravar	V	V
寫	escribir	寫	escribir	V	V
寫	escribe	寫	escribir	V	V
寫	escribo	寫	escribir	V	V
寫	escribir	寫	escribir	V	V
寫	escribía	寫	escribir	V	V
寫	facendo	寫	facer	V	V
寫	escrita	寫	escribir	V	V
寫	escribe	寫	escribir	V	V
網頁	sitio	網頁	sitio	N	N
網頁	web	網頁	web	N	N
網頁	páxina	網頁	páxina	N	N
秘密	segredo	秘密	segredo	N	N
秘密	secreto	秘密	secreto	N	N
秘密	secreta	秘密	secreta	N	N
變	cambiar	變	cambiar	V	V
變	mudar	變	mudar	V	V
開放	abertos	開放	aberto	V	V
開放	abrir	開放	abrir	V	V
開放	aberto	開放	abrir	V	V
開放	abre	開放	abre	V	V
開放	abra	開放	abra	V	V
大小	tamaños	大小	tamaño	N	N
大小	tamaño	大小	tamaño	N	N
習性	costumes	習性	costume	N	N
習性	hábitos	習性	hábito	N	N
頂	cima	頂	cima	N	N
三	3	三	3	NUM	NUM
今天	día	今天	día	N	N
親	bico	親	bico	N	N
兒子	fillo	兒子	fillo	N	N
骨	ósos	骨	óso	N	N
骨	óso	骨	óso	N	N
戰役	batalla	戰役	batalla	N	N
戰役	batallas	戰役	batalla	N	N
戰役	combates	戰役	combate	N	N
電台	radio	電台	radio	N	N
墓	tumba	墓	tumbar	N	N
北方	norte	北方	norte	N	N
北方	norte	北方	norte	N	N
活躍	activa	活躍	activo	N	N
活躍	activo	活躍	activo	N	N
活躍	activos	活躍	activo	N	N
活躍	militante	活躍	militante	N	N
業務	negocios	業務	negocio	N	N
業務	negocio	業務	negocio	N	N
業務	asunto	業務	asunto	N	N
業務	traballo	業務	traballo	N	N
投資	investimento	投資	investimento	N	N
海洋	océanos	海洋	océano	N	N
海洋	océano	海洋	océano	N	N
海洋	océanos	海洋	océano	N	N
類型	tipo	類型	tipo	N	N
類型	clase	類型	clase	N	N
類型	tipos	類型	tipo	N	N
機會	oportunidade	機會	oportunidade	N	N
機會	posibilidade	機會	posibilidade	N	N
機會	oportunidade	機會	oportunidade	N	N
機會	oportunidades	機會	oportunidade	N	N
錯誤	erro	錯誤	erro	N	N
錯誤	erros	錯誤	erro	N	N
錯誤	culpa	錯誤	culpa	N	N
錯誤	erro	錯誤	erro	N	N
健康	saúde	健康	saúde	N	N
健康	saúde	健康	saúde	N	N
股	unidade	股	unidade	N	N
身高	altura	身高	altura	N	N
空中	aire	空中	aire	N	N
空中	ar	空中	ar	N	N
工人	traballadores	工人	traballador	N	N
工人	obreiros	工人	obreiro	N	N
工人	traballador	工人	traballador	N	N
工人	obreiro	工人	obreiro	N	N
工人	obreiros	工人	obreiro	N	N
工人	parado	工人	parado	N	N
經常	regularmente	經常	regular	ADV	ADV
經常	moito	經常	moito	ADV	ADV
經常	acotío	經常	acotío	ADV	ADV
交易	tratar	交易	tratar	V	V
黑色	negra	黑色	negro	N	N
黑色	negro	黑色	negro	N	N
黑色	negros	黑色	negro	N	N
警方	policía	警方	policía	N	N
能量	enerxía	能量	enerxía	N	N
能量	consumo	能量	consumo	N	N
酒	alcol	酒	alcol	N	N
酒	alcohol	酒	alcohol	N	N
酒	viño	酒	vir	N	N
地面	superficie	地面	superficie	N	N
地面	terreo	地面	terreo	N	N
地面	chan	地面	chan	N	N
地面	terra	地面	terra	N	N
然後	logo	然後	logo	ADV	ADV
然後	despois	然後	despois	ADV	ADV
然後	entón	然後	entón	ADV	ADV
然後	daquela	然後	daquela	ADV	ADV
鬼	pantasma	鬼	pantasma	N	N
鬼	espírito	鬼	espírito	N	N
鼠	rata	鼠	rata	N	N
鼠	rato	鼠	rato	N	N
鼠	ratos	鼠	rato	N	N
鼠	démoslles	鼠	démoslle	N	N
退出	deixa	退出	deixar	V	V
退出	deixar	退出	deixar	V	V
退出	deixaches	退出	deixaches	V	V
退出	deixe	退出	deixar	V	V
退出	deixou	退出	deixar	V	V
兒童	nenos	兒童	neno	N	N
兒童	fillos	兒童	fillo	N	N
兒童	nenas	兒童	neno	N	N
兒童	nena	兒童	nena	N	N
兒童	neno	兒童	neno	N	N
兒童	fillo	兒童	fillo	N	N
一切	todo	一切	todo	DET	DET
一切	o	一切	o	DET	DET
東部	leste	東部	leste	N	N
東部	oriente	東部	oriente	N	N
博物	museo	博物	museo	N	N
對話	conversación	對話	conversación	N	N
對話	conversa	對話	converso	N	N
對話	conversas	對話	converso	N	N
對話	conversacións	對話	conversación	N	N
琴	violín	琴	violín	N	N
階段	fase	階段	fase	N	N
階段	fases	階段	fase	N	N
階段	escenario	階段	escenario	N	N
階段	etapa	階段	etapa	N	N
階段	palco	階段	palco	N	N
游	baño	游	baño	N	N
游	xira	游	xira	N	N
游	piscina	游	piscina	N	N
游	á	游	á	N	N
病	enfermo	病	enfermo	N	N
病	enferma	病	enferma	N	N
病	doente	病	doente	N	N
病	enfermidade	病	enfermidade	N	N
病	doenza	病	doenza	N	N
病	enfermidades	病	enfermidade	N	N
病	enfermidade	病	enfermidade	N	N
病	cardíacas	病	cardíaco	N	N
病	enfermo	病	enfermo	N	N
病	enfermos	病	enfermo	N	N
病	enferma	病	enferma	N	N
維持	manter	維持	manter	V	V
事故	accidente	事故	accidente	N	N
藝人	artista	藝人	artista	N	N
藝人	artistas	藝人	artista	N	N
藝人	artistas	藝人	artista	N	N
天使	anxos	天使	anxo	N	N
天使	inferno	天使	inferno	N	N
天使	anxo	天使	anxo	N	N
表面	superficie	表面	superficie	N	N
池	piscina	池	piscina	N	N
圖片	foto	圖片	foto	N	N
圖片	imaxe	圖片	imaxe	N	N
圖片	fotografía	圖片	fotografía	N	N
圖片	fotos	圖片	foto	N	N
圖片	imaxes	圖片	imaxe	N	N
圖片	fotografías	圖片	fotografía	N	N
圖片	imaxe	圖片	imaxe	N	N
圖片	imaxes	圖片	imaxe	N	N
建設	construír	建設	construír	V	V
風暴	treboada	風暴	treboar	N	N
定義	definición	定義	definición	N	N
定義	definicións	定義	definición	N	N
步兵	infantería	步兵	infantería	N	N
步兵	infantaría	步兵	infantar	N	N
解決	solucionar	解決	solucionar	V	V
解決	resolver	解決	resolver	V	V
熊	osos	熊	oso	N	N
熊	oso	熊	oso	N	N
熊	osiño	熊	osiño	N	N
火箭	foguetes	火箭	foguete	N	N
火箭	foguete	火箭	foguete	N	N
指揮	comando	指揮	comar	V	V
象	elefantes	象	elefante	N	N
象	elefante	象	elefante	N	N
象	elefante	象	elefante	N	N
明星	estrela	明星	estrela	N	N
明星	estrelas	明星	estrela	N	N
明星	das	明星	das	N	N
現任	agasallo	現任	agasallo	N	N
你	túa	你	teu	PRO;2	PRO
羊	ovellas	羊	ovella	N	N
河流	río	河流	río	N	N
河流	ríos	河流	río	N	N
車輛	vehículo	車輛	vehículo	N	N
上午	día	上午	día	N	N
上午	pola	上午	pola	N	N
上午	días	上午	día	N	N
上午	bos	上午	bo	N	N
機械	máquina	機械	máquina	N	N
機械	lavadora	機械	lavador	N	N
機械	maquinaria	機械	maquinaria	N	N
機械	metralladoras	機械	metrallador	N	N
機械	maquinaria	機械	maquinaria	N	N
機械	máquinas	機械	máquina	N	N
機械	mecánica	機械	mecánica	N	N
機械	mecánico	機械	mecánico	N	N
轉換	transformar	轉換	transformar	V	V
唱	canta	唱	canta	N	N
唱	cante	唱	cante	N	N
血	sangue	血	sangue	N	N
努力	esforzos	努力	esforzo	N	N
事情	cousas	事情	cousa	N	N
監督	vixilancia	監督	vixilancia	N	N
軌道	pista	軌道	pistar	N	N
軌道	camiño	軌道	camiño	N	N
軌道	rastro	軌道	rastro	N	N
軌道	cambios	軌道	cambio	N	N
軌道	hipódromo	軌道	hipódromo	N	N
今日	día	今日	día	N	N
部門	departamento	部門	departamento	N	N
部門	axentes	部門	axente	N	N
部門	sector	部門	sector	N	N
汗	suor	汗	suor	N	N
汗	factoría	汗	factoría	N	N
廣播	radio	廣播	radio	N	N
比例	proporción	比例	proporción	N	N
比例	porcentaxe	比例	porcentaxe	N	N
側	lado	側	lado	N	N
父母	pais	父母	pai	N	N
它們	que	它	que	PRO;PL;3	PRO
它們	eles	它	el	PRO;PL;3	PRO
飛行	voando	飛行	voar	V	V
飛行	voar	飛行	voar	V	V
冬	inverno	冬	inverno	N	N
恢復	restaurar	恢復	restaurar	V	V
綠	verde	綠	verde	N	N
綠	verdes	綠	verde	N	N
設施	instalacións	設施	instalación	N	N
設施	instalacións	設施	instalación	N	N
框	caixa	框	caixa	N	N
框	palco	框	palco	N	N
框	foto	框	foto	N	N
殺	matar	殺	matar	V	V
山脈	montañas	山脈	montaña	N	N
山脈	das	山脈	das	N	N
山脈	andes	山脈	ande	N	N
山脈	montes	山脈	monte	N	N
山脈	montaña	山脈	montaña	N	N
山脈	monte	山脈	monte	N	N
山脈	rango	山脈	rango	N	N
山脈	cadea	山脈	cadea	N	N
山脈	abano	山脈	abano	N	N
食品	comida	食品	comida	N	N
食品	alimentos	食品	alimento	N	N
王國	reino	王國	reino	N	N
王國	ceos	王國	ceos	N	N
法案	billete	法案	billete	N	N
法案	conta	法案	conta	N	N
法案	dereitos	法案	dereito	N	N
法案	contrato	法案	contrato	N	N
法案	billetes	法案	billete	N	N
法案	contas	法案	conta	N	N
法案	facturas	法案	factura	N	N
有限	limitado	有限	limitado	ADJ	ADJ
有限	limitada	有限	limitado	ADJ	ADJ
戰士	guerreiro	戰士	guerreiro	N	N
被	obrigado	被	obrigar	V;PASS	V
被	forzado	被	forzar	V;PASS	V
被	obrigoume	被	obrigoume	V;PASS	V
被	recrutado	被	recrutar	V;PASS	V
四十	40	四十	40	NUM	NUM
基因	xene	基因	xenar	N	N
基因	xenes	基因	xene	N	N
基因	xenes	基因	xene	N	N
罪	pecado	罪	pecado	N	N
罪	pecados	罪	pecar	N	N
罪	pecado	罪	pecado	N	N
鳥	paxaro	鳥	paxaro	N	N
鳥	aves	鳥	ave	N	N
鳥	ave	鳥	ave	N	N
鳥	aves	鳥	ave	N	N
鳥	paxaros	鳥	paxar	N	N
展示	amosar	展示	amosar	V	V
槍	arma	槍	arma	N	N
槍	pistola	槍	pistola	N	N
槍	revólver	槍	revólver	N	N
只要	de	只要	de	ADP	ADP
讀	lin	讀	lin	V	V
讀	ler	讀	ler	V	V
讀	lendo	讀	lendo	V	V
讀	ler	讀	ler	V	V
很快	axiña	很快	axiña	ADV	ADV
很快	pronto	很快	pronto	ADV	ADV
拍	disparar	拍	disparar	V	V
幫助	axudar	幫助	axudar	V	V
教會	igrexas	教會	igrexa	N	N
教會	igrexa	教會	igrexir	N	N
教會	á	教會	á	N	N
記者	xornalistas	記者	xornalista	N	N
記者	xornalista	記者	xornalista	N	N
記者	xornalista	記者	xornalista	N	N
記者	reporteiro	記者	reporteiro	N	N
數量	cantidade	數量	cantidade	N	N
星系	galaxias	星系	galaxia	N	N
假	finxilo	假	finxilo	N	N
感	sentido	感	sentido	N	N
留下	quedar	留下	quedar	V	V
留下	ficar	留下	ficar	V	V
留下	queda	留下	quedar	V	V
程式	programa	程式	programa	N	N
程式	programas	程式	programa	N	N
校長	reitor	校長	reitor	N	N
步	paso	步	paso	N	N
步	escala	步	escala	N	N
解釋	explicar	解釋	explicar	V	V
刀	espada	刀	espada	N	N
刀	coitelo	刀	coitelo	N	N
刀	navalla	刀	navalla	N	N
太子	príncipe	太子	príncipe	N	N
檔案	arquivos	檔案	arquivo	N	N
狗	can	狗	can	N	N
狗	cans	狗	can	N	N
狗	can	狗	can	N	N
國會	parlamento	國會	parlamento	N	N
國會	congreso	國會	congreso	N	N
病毒	virus	病毒	virus	N	N
對手	rivais	對手	rival	N	N
湯	sopa	湯	sopa	N	N
艦隊	negro	艦隊	negro	N	N
艦隊	frota	艦隊	frota	N	N
錢	cartos	錢	carto	N	N
錢	diñeiro	錢	diñeiro	N	N
錢	xiro	錢	xiro	N	N
棒球	béisbol	棒球	béisbol	N	N
質量	foxas	質量	foxa	N	N
質量	masa	質量	masa	N	N
質量	masas	質量	masa	N	N
質量	misa	質量	misa	N	N
質量	calidade	質量	calidade	N	N
持有	suxeitando	持有	suxeitar	V	V
理解	comprendín	理解	comprender	V	V
理解	entendían	理解	entender	V	V
理解	entendeu	理解	entender	V	V
理解	entendía	理解	entender	V	V
理解	entender	理解	entender	V	V
理解	comprender	理解	comprender	V	V
恆星	estrela	恆星	estrela	N	N
恆星	estrelas	恆星	estrela	N	N
恆星	das	恆星	das	N	N
部長	ministro	部長	ministro	N	N
部長	ministra	部長	ministrar	N	N
部長	pastor	部長	pastor	N	N
挑戰	desafiar	挑戰	desafiar	V	V
東方	leste	東方	leste	N	N
東方	oriente	東方	oriente	N	N
幾乎	case	幾乎	case	ADV	ADV
消失	desaparecer	消失	desaparecer	V	V
例子	exemplos	例子	exemplo	N	N
司令	comandante	司令	comandante	N	N
月球	lúa	月球	lúa	N	N
地圖	mapa	地圖	mapa	N	N
女兒	filla	女兒	fillo	N	N
引用	citar	引用	citar	V	V
官員	funcionarios	官員	funcionario	N	N
原子	núcleo	原子	núcleo	N	N
觀眾	audiencia	觀眾	audiencia	N	N
觀眾	auditorio	觀眾	auditorio	N	N
觀眾	audiencia	觀眾	audiencia	N	N
觀眾	auditorios	觀眾	auditorio	N	N
觀眾	espectadores	觀眾	espectador	N	N
觀眾	audiencia	觀眾	audiencia	N	N
進攻	atacar	進攻	atacar	V	V
貓	gatos	貓	gato	N	N
貓	gato	貓	gato	N	N
測試	proba	測試	proba	N	N
測試	exame	測試	exame	N	N
測試	probas	測試	proba	N	N
測試	test	測試	test	N	N
測試	exames	測試	exame	N	N
測試	exames	測試	exame	N	N
測試	probas	測試	proba	N	N
測試	tests	測試	test	N	N
測試	probas	測試	proba	N	N
專業	profesionais	專業	profesional	N	N
專業	profesión	專業	profesión	N	N
旅遊	xira	旅遊	xira	N	N
旅遊	cara	旅遊	cara	N	N
石油	petróleo	石油	petróleo	N	N
石油	aceite	石油	aceite	N	N
需求	necesidades	需求	necesidade	N	N
需求	demanda	需求	demanda	N	N
失	perdeu	失	perder	V	V
失	perderon	失	perder	V	V
失	perdín	失	perder	V	V
失	perdemos	失	perder	V	V
失	perdido	失	perdido	V	V
日文	xaponeses	日文	xaponés	N	N
犯罪	crimes	犯罪	crimes	N	N
犯罪	delitos	犯罪	delito	N	N
犯罪	delito	犯罪	delito	N	N
犯罪	crime	犯罪	crime	N	N
犯罪	criminalidade	犯罪	criminalidade	N	N
犯罪	crimes	犯罪	crimes	N	N
犯罪	delincuencia	犯罪	delincuencia	N	N
公爵	duque	公爵	duque	N	N
降低	diminúe	降低	diminuír	V	V
私人	privadas	私人	privado	ADJ	ADJ
私人	privado	私人	privado	ADJ	ADJ
私人	privada	私人	privado	ADJ	ADJ
私人	privados	私人	privado	ADJ	ADJ
軟體	software	軟體	software	N	N
每日	cotiá	每日	cotián	N	N
每日	día	每日	día	N	N
每日	cotiá	每日	cotián	N	N
每日	diario	每日	diario	N	N
原始	materia	原始	materia	N	N
原始	materias	原始	materia	N	N
俱樂部	clube	俱樂部	clubar	N	N
俱樂部	salvavidas	俱樂部	salvavidas	N	N
俱樂部	club	俱樂部	club	N	N
敗	derrota	敗	derrota	N	N
貿易	comercio	貿易	comercio	N	N
貿易	oficio	貿易	oficio	N	N
減少	reducir	減少	reducir	V	V
減少	diminúe	減少	diminuír	V	V
減少	reducir	減少	reducir	V	V
身體	corpo	身體	corpo	N	N
碼頭	peirao	碼頭	peirao	N	N
女	actriz	女	actriz	N	N
恐怖	terror	恐怖	terror	N	N
園	xardín	園	xardír	N	N
園	horta	園	horta	N	N
生	nacín	生	nacín	V	V
生	naceu	生	nacer	V	V
生	nacer	生	nacer	V	V
生	naciches	生	naciches	V	V
生	nacen	生	nacer	V	V
風格	estilo	風格	estilo	N	N
長度	lonxitude	長度	lonxitude	N	N
勝利	vitoria	勝利	vitoria	N	N
勝利	victoria	勝利	victoria	N	N
勝利	triunfo	勝利	triunfo	N	N
女王	raíña	女王	raíña	N	N
天皇	emperador	天皇	emperador	N	N
邀請	convídovos	邀請	convídovo	V	V
邀請	invitamos	邀請	invetar	V	V
邀請	invitoume	邀請	invitoume	V	V
邀請	invitado	邀請	invitado	V	V
邀請	convidado	邀請	convidar	V	V
邀請	convidou	邀請	convidar	V	V
變化	cambia	變化	cambiar	V	V
變化	muda	變化	muda	V	V
舞台	escenario	舞台	escenario	N	N
舞台	etapa	舞台	etapa	N	N
舞台	palco	舞台	palco	N	N
食物	comida	食物	comida	N	N
食物	alimentos	食物	alimento	N	N
延伸	estender	延伸	estender	V	V
廠	planta	廠	planta	N	N
廠	fábrica	廠	fábrica	N	N
廠	fábricas	廠	fábrica	N	N
廠	industriais	廠	industrial	N	N
意外	accidente	意外	accidente	N	N
收費	cargos	收費	cargo	N	N
收費	cargo	收費	cargo	N	N
收費	mando	收費	mando	N	N
收費	cargos	收費	cargo	N	N
收費	carga	收費	carga	N	N
圖書	biblioteca	圖書	biblioteca	N	N
人生	vida	人生	vida	N	N
地鐵	metro	地鐵	metro	N	N
地鐵	pantalóns	地鐵	pantalón	N	N
司法	xustiza	司法	xustiza	N	N
司法	xuíza	司法	xuízar	N	N
花園	xardín	花園	xardír	N	N
花園	horta	花園	horta	N	N
實驗	experimentos	實驗	experimento	N	N
實驗	experimento	實驗	experimento	N	N
實驗	experimentos	實驗	experimento	N	N
課程	suposto	課程	suposto	N	N
課程	cursos	課程	curso	N	N
估計	estima	估計	estimar	V	V
箱	caixa	箱	caixa	N	N
箱	palco	箱	palco	N	N
國內	caseira	國內	caseira	N	N
個	mes	個	mes	N	N
現場	escena	現場	escenar	N	N
現場	escea	現場	escear	N	N
尤其	especialmente	尤其	especial	ADV	ADV
十字	cruz	十字	cruz	N	N
信仰	fe	信仰	fe	N	N
信仰	crenza	信仰	crenza	N	N
反應	reacción	反應	reacción	N	N
反應	reaccións	反應	reacción	N	N
反應	reacción	反應	reacción	N	N
賞	recompensa	賞	recompensa	N	N
文明	civilización	文明	civilización	N	N
價值	valores	價值	valor	N	N
價值	valor	價值	valor	N	N
價值	revenda	價值	revenda	N	N
本地	local	本地	local	N	N
本地	locais	本地	local	N	N
案件	caso	案件	caso	N	N
銷售	vender	銷售	vender	V	V
銷售	ventas	銷售	ventar	V	V
旅行	cara	旅行	cara	N	N
旅行	viaxe	旅行	viaxe	N	N
考慮	considerar	考慮	considerar	V	V
考慮	consideren	考慮	considerar	V	V
考慮	consideraría	考慮	considerar	V	V
冬季	inverno	冬季	inverno	N	N
步槍	rifles	步槍	rifle	N	N
步槍	fusís	步槍	fuso	N	N
步槍	rifle	步槍	rifle	N	N
久	tempo	久	tempo	N	N
機器	máquina	機器	máquina	N	N
機器	lavadora	機器	lavador	N	N
機器	maquinaria	機器	maquinaria	N	N
機器	metralladoras	機器	metrallador	N	N
機器	máquinas	機器	máquina	N	N
機器	lavadoras	機器	lavador	N	N
通道	canle	通道	canle	N	N
通道	noroeste	通道	noroeste	N	N
通道	pasaxe	通道	pasaxe	N	N
通道	paso	通道	paso	N	N
墨	tinta	墨	tinto	N	N
疾病	enfermidade	疾病	enfermidade	N	N
疾病	doenza	疾病	doenza	N	N
疾病	enfermidades	疾病	enfermidade	N	N
疾病	enfermidade	疾病	enfermidade	N	N
疾病	cardíacas	疾病	cardíaco	N	N
疾病	enfermidades	疾病	enfermidade	N	N
疾病	enfermedades	疾病	enfermedade	N	N
疾病	doenzas	疾病	doenza	N	N
逮捕	deter	逮捕	deter	V	V
英里	quilómetros	英里	quilómetros	N	N
英里	millas	英里	milla	N	N
英里	kilómetros	英里	kilómetro	N	N
心理	psicoloxía	心理	psicoloxía	N	N
心理	mentais	心理	mental	N	N
生成	xerar	生成	xerar	V	V
生成	xerado	生成	xerar	V	V
每個	os	每個	o	DET	DET
每個	as	每個	o	DET	DET
每個	todos	每個	todo	DET	DET
每個	cada	每個	cada	DET	DET
每個	todas	每個	todo	DET	DET
每個	cada	每個	cada	DET	DET
每個	uns	每個	un	DET	DET
每個	un	每個	un	DET	DET
嘴	boca	嘴	boca	N	N
數位	dixitais	數位	dixital	N	N
協議	acordo	協議	acordo	N	N
蛋白	proteína	蛋白	proteína	N	N
蛋白	proteínas	蛋白	proteína	N	N
條件	condicións	條件	condición	N	N
條件	patoloxías	條件	patoloxía	N	N
條件	condición	條件	condición	N	N
條件	situación	條件	situación	N	N
條件	doenza	條件	doenza	N	N
條件	estado	條件	estado	N	N
名單	lista	名單	lista	N	N
名單	listaxe	名單	listaxe	N	N
隊長	capitán	隊長	capitán	N	N
戲劇	drama	戲劇	dramar	N	N
戲劇	teatro	戲劇	teatro	N	N
戲劇	recinto	戲劇	recinto	N	N
戲劇	teatro	戲劇	teatro	N	N
創建	crear	創建	crear	V	V
創建	creamos	創建	crear	V	V
創建	crean	創建	crear	V	V
創建	crear	創建	crear	V	V
創建	creando	創建	crear	V	V
牙	dentes	牙	dente	N	N
吃	comer	吃	comer	V	V
吃	comendo	吃	comer	V	V
吃	comer	吃	comer	V	V
吃	come	吃	comer	V	V
吃	comen	吃	comer	V	V
首席	xefe	首席	xefar	N	N
強烈	forte	強烈	forte	ADJ	ADJ
強烈	fortes	強烈	forte	ADJ	ADJ
女人	muller	女人	muller	N	N
資源	recurso	資源	recurso	N	N
資源	recursos	資源	recurso	N	N
平面	plano	平面	plano	N	N
平面	avión	平面	avión	N	N
重量	peso	重量	peso	N	N
重量	importancia	重量	importancia	N	N
依然	aínda	依然	aínda	ADV	ADV
化學	químicas	化學	química	N	N
化學	química	化學	químico	N	N
房屋	casa	房屋	casa	N	N
房屋	casas	房屋	casa	N	N
房屋	fogares	房屋	fogar	N	N
共識	consenso	共識	consenso	N	N
基金	fundación	基金	fundación	N	N
基金	alicerce	基金	alicerce	N	N
基金	alicerces	基金	alicerze	N	N
基金	base	基金	base	N	N
基金	cimentos	基金	cimento	N	N
老師	profesor	老師	profesor	N	N
老師	mestra	老師	mestra	N	N
老師	mestre	老師	mestre	N	N
五十	50	五十	50	NUM	NUM
五十	cincuenta	五十	cincuenta	NUM	NUM
合約	contratos	合約	contrato	N	N
合約	contrato	合約	contrato	N	N
平原	chaira	平原	chaira	N	N
平原	costa	平原	costa	N	N
平原	plano	平原	plano	N	N
平原	tenra	平原	tenra	N	N
領導	liderado	領導	liderado	V	V
幸福	felicidade	幸福	felicidade	N	N
幸福	benestar	幸福	benestar	N	N
幸福	ledicia	幸福	ledicia	N	N
幸福	feliz	幸福	feliz	N	N
幸福	felices	幸福	felice	N	N
弟弟	irmán	弟弟	irmán	N	N
引入	presentar	引入	presentar	V	V
引入	introducir	引入	introducir	V	V
城堡	castelo	城堡	castelo	N	N
歡迎	benvidos	歡迎	benvido	V	V
影像	imaxes	影像	imaxe	N	N
影像	imaxe	影像	imaxe	N	N
吻	bico	吻	bico	N	N
廟	templo	廟	templo	N	N
腳	metros	腳	metro	N	N
腳	pés	腳	pés	N	N
腳	pé	腳	pé	N	N
腳	pé	腳	pé	N	N
腳	infantaría	腳	infantar	N	N
產業	industria	產業	industria	N	N
生存	sobreviven	生存	sobrevivir	V	V
裝置	aparello	裝置	aparello	N	N
裝置	dispositivo	裝置	dispositivo	N	N
裝置	historias	裝置	historia	N	N
裝置	mecanismo	裝置	mecanismo	N	N
裝置	mecanismos	裝置	mecanismo	N	N
裝置	dispositivos	裝置	dispositivo	N	N
裝置	aparellos	裝置	aparello	N	N
裝置	utensilios	裝置	utensilio	N	N
現象	fenómeno	現象	fenómeno	N	N
基	baseándose	基	baseándose	V	V
基	baséase	基	baséase	V	V
基	baseada	基	basear	V	V
基	baseado	基	basear	V	V
女孩	moza	女孩	mozo	N	N
女孩	rapaza	女孩	rapaza	N	N
女孩	nena	女孩	nena	N	N
女孩	ás	女孩	á	N	N
女孩	rapazas	女孩	rapaz	N	N
女孩	mozas	女孩	mozo	N	N
女孩	nenas	女孩	neno	N	N
年輕	nova	年輕	novo	ADJ	ADJ
年輕	novo	年輕	novo	ADJ	ADJ
早上	día	早上	día	N	N
早上	pola	早上	pola	N	N
早上	días	早上	día	N	N
早上	bos	早上	bo	N	N
商品	produto	商品	produto	N	N
商品	bens	商品	ben	N	N
商品	luxo	商品	luxo	N	N
商品	produtos	商品	produto	N	N
商品	orixe	商品	orixe	N	N
商品	mercadoría	商品	mercadoría	N	N
評論	comentar	評論	comentar	V	V
狀況	posición	狀況	posición	N	N
狀況	statu	狀況	statu	N	N
狀況	status	狀況	status	N	N
狀況	condición	狀況	condición	N	N
狀況	situación	狀況	situación	N	N
狀況	doenza	狀況	doenza	N	N
狀況	estado	狀況	estado	N	N
年齡	anos	年齡	ano	N	N
年齡	idade	年齡	idade	N	N
嶺	cresta	嶺	cresta	N	N
泥	lama	泥	lama	N	N
提及	mencionar	提及	mencionar	V	V
訪問	visitar	訪問	visitar	V	V
利益	intereses	利益	interese	N	N
海上	mar	海上	mar	N	N
愛情	amor	愛情	amor	N	N
島嶼	illa	島嶼	illa	N	N
島嶼	illas	島嶼	illa	N	N
生日	aniversario	生日	aniversario	N	N
理想	ideais	理想	ideal	N	N
理想	ideais	理想	ideal	N	N
農業	agricultura	農業	agricultura	N	N
舞蹈	baile	舞蹈	baile	N	N
舞蹈	danza	舞蹈	danza	N	N
舞蹈	baile	舞蹈	baile	N	N
丸	pílulas	丸	pílula	N	N
丸	pastillas	丸	pastilla	N	N
丸	somníferos	丸	somnífer	N	N
衝突	conflito	衝突	conflito	N	N
確認	confirmado	確認	confirmar	V	V
犬	can	犬	can	N	N
犬	cans	犬	can	N	N
犬	can	犬	can	N	N
粒子	partículas	粒子	partícula	N	N
粒子	partículas	粒子	partícula	N	N
粒子	partícula	粒子	partícula	N	N
婚姻	casamento	婚姻	casamento	N	N
婚姻	matrimonio	婚姻	matrimonio	N	N
成本	custo	成本	custo	N	N
成本	costa	成本	costa	N	N
成本	custos	成本	custo	N	N
接收	recibir	接收	recibir	V	V
數字	figuras	數字	figura	N	N
數字	número	數字	número	N	N
數字	números	數字	número	N	N
數字	das	數字	das	N	N
數字	número	數字	número	N	N
通知	vin	通知	ver	V	V
鼓	drum	鼓	drum	N	N
鼓	tambores	鼓	tambor	N	N
裝甲	armadura	裝甲	armadura	N	N
裝甲	armadura	裝甲	armadura	N	N
惡	maldade	惡	maldade	N	N
政治	políticos	政治	político	N	N
丈夫	marido	丈夫	marido	N	N
丈夫	home	丈夫	home	N	N
黃金	ouro	黃金	ouro	N	N
黃金	ouro	黃金	ouro	N	N
醫學	medicinas	醫學	medicina	N	N
