το	la	ο	el	DET;NOM;DEF;NEUT;SG	DET;DEF;FEM;SG
ελεύθερη	gratuït	ελεύθερος	gratuït	ADJ;NOM;FEM;SG	ADJ;MASC;SG
εντελώς	completament	εντελώς	completament	ADV	ADV
εντελώς	totalment	εντελώς	totalment	ADV	ADV
ποταμός	riu	ποταμός	riu	N;NOM;MASC;SG	N;MASC;SG
μαθήματα	lliçons	μάθημα	lliçó	N;NOM;NEUT;PL	N;FEM;PL
μαθήματα	ensenyaments	μάθημα	ensenyament	N;NOM;NEUT;PL	N;MASC;PL
μαθήματα	cursos	μάθημα	curs	N;NOM;NEUT;PL	N;MASC;PL
μαθήματα	classes	μάθημα	classe	N;NOM;NEUT;PL	N;FEM;PL
ιταλική	italià	ιταλικός	italià	ADJ;NOM;FEM;SG	ADJ;MASC;SG
παραδείγματα	exemples	παράδειγμα	exemple	N;NOM;NEUT;PL	N;MASC;PL
ηγέτης	líder	ηγέτης	líder	N;NOM;MASC;SG	N;SG
πολίτες	ciutadans	πολίτης	ciutadà	N;NOM;MASC;PL	N;MASC;PL
πόδια	cames	πόδι	cama	N;NOM;NEUT;PL	N;FEM;PL
πολιορκία	setge	πολιορκία	setge	N;NOM;FEM;SG	N;MASC;SG
αρχικό	inicial	αρχικός	inicial	ADJ;NOM;NEUT;SG	ADJ;SG
αρχικό	original	αρχικός	original	ADJ;NOM;NEUT;SG	ADJ;SG
επίπεδα	nivells	επίπεδο	nivell	N;NOM;NEUT;PL	N;MASC;PL
τηλεόραση	televisió	τηλεόραση	televisió	N;ACC;FEM;SG	N;FEM;SG
μικρός	petita	μικρός	petit	ADJ;NOM;MASC;SG	ADJ;FEM;SG
περιόδους	períodes	περίοδος	període	N;NOM;FEM;PL	N;MASC;PL
μισό	meitat	μισός	meitat	N;NOM;NEUT;SG	N;FEM;SG
λέξεις	paraules	λέξη	paraula	N;NOM;FEM;PL	N;FEM;PL
γωνία	racó	γωνία	racó	N;NOM;FEM;SG	N;MASC;SG
γωνία	cantonada	γωνία	cantonada	N;NOM;FEM;SG	N;FEM;SG
δεκαετίες	dècades	δεκαετία	dècada	N;NOM;FEM;PL	N;FEM;PL
κανάλι	canal	κανάλι	canal	N;NOM;NEUT;SG	N;MASC;SG
κανάλι	canal	κανάλι	canal	N;NOM;NEUT;SG	N;MASC;SG
γεωγραφία	geografia	γεωγραφία	geografia	N;NOM;FEM;SG	N;FEM;SG
αγάπη	amor	αγάπη	amor	N;NOM;FEM;SG	N;MASC;SG
φτάσει	arribin	φτάνω	arribar	V;PFV;NFIN;ACT	V;SBJV;PL;3;PRS;FIN
άμεση	directa	άμεσος	directe	ADJ;NOM;FEM;SG	ADJ;FEM;SG
άμεση	immediata	άμεσος	immediat	ADJ;NOM;FEM;SG	ADJ;FEM;SG
άμεση	immediat	άμεσος	immediat	ADJ;NOM;FEM;SG	ADJ;MASC;SG
δράσης	acció	δράση	acció	N;GEN;FEM;SG	N;FEM;SG
τοποθεσία	localització	τοποθεσία	localització	N;NOM;FEM;SG	N;FEM;SG
τοποθεσία	ubicació	τοποθεσία	ubicació	N;NOM;FEM;SG	N;FEM;SG
τοποθεσία	emplaçament	τοποθεσία	emplaçament	N;NOM;FEM;SG	N;MASC;SG
σύνδεσμος	vinculació	σύνδεσμος	vinculació	N;NOM;MASC;SG	N;FEM;SG
σύνδεσμος	enllaç	σύνδεσμος	enllaç	N;NOM;MASC;SG	N;MASC;SG
ανανέωση	renovació	ανανέωση	renovació	N;ACC;FEM;SG	N;FEM;SG
θάνατος	defunció	θάνατος	defunció	N;NOM;MASC;SG	N;FEM;SG
τοπικό	local	τοπικός	local	ADJ;NOM;NEUT;SG	ADJ;SG
γενικό	general	γενικός	general	ADJ;NOM;NEUT;SG	ADJ;SG
πατρίδα	domicili	πατρίδα	domicili	N;ACC;FEM;SG	N;MASC;SG
πατρίδα	llar	πατρίδα	llar	N;ACC;FEM;SG	N;FEM;SG
πατρίδα	pàtria	πατρίδα	pàtria	N;ACC;FEM;SG	N;FEM;SG
φωτογραφία	foto	φωτογραφία	foto	N;ACC;FEM;SG	N;FEM;SG
κατεύθυνση	direcció	κατεύθυνση	direcció	N;ACC;FEM;SG	N;FEM;SG
κόσμος	món	κόσμος	món	N;NOM;MASC;SG	N;MASC;SG
κόσμος	gent	κόσμος	gent	N;NOM;MASC;SG	N;FEM;SG
καλύπτει	abasta	καλύπτω	abastar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
δυναστεία	dinastia	δυναστεία	dinastia	N;NOM;FEM;SG	N;FEM;SG
περιγράφει	descriu	περιγράφω	descriure	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
νικητής	guanyador	νικητής	guanyador	N;NOM;MASC;SG	N;MASC;SG
προσφέρει	ofereix	προσφέρω	oferir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
όργανο	instrument	όργανο	instrument	N;NOM;NEUT;SG	N;MASC;SG
όργανο	orgue	όργανο	orgue	N;NOM;NEUT;SG	N;MASC;SG
όργανο	òrgan	όργανο	òrgan	N;NOM;NEUT;SG	N;MASC;SG
γένος	gènere	γένος	gènere	N;NOM;NEUT;SG	N;MASC;SG
μόνον	només	μόνο	només	ADV	ADV
παράγει	genera	παράγω	generar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
παράγει	produeix	παράγω	produir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
μείωση	reducció	μείωση	reducció	N;ACC;FEM;SG	N;FEM;SG
μείωση	disminució	μείωση	disminució	N;ACC;FEM;SG	N;FEM;SG
ιατρική	mèdica	ιατρικός	mèdic	ADJ;NOM;FEM;SG	ADJ;FEM;SG
κύπελλα	tasses	κύπελλος	tassa	N;NOM;NEUT;PL	N;FEM;PL
προσέγγιση	aproximació	προσέγγιση	aproximació	N;ACC;FEM;SG	N;FEM;SG
προσέγγιση	plantejament	προσέγγιση	plantejament	N;ACC;FEM;SG	N;MASC;SG
προσέγγιση	enfocament	προσέγγιση	enfocament	N;ACC;FEM;SG	N;MASC;SG
πλανήτη	planeta	πλανήτης	planeta	N;ACC;MASC;SG	N;MASC;SG
δημοσιογράφος	periodista	δημοσιογράφος	periodista	N;NOM;MASC;SG	N;SG
δημοσιογράφος	reporter	δημοσιογράφος	reporter	N;NOM;MASC;SG	N;MASC;SG
εξέγερση	aldarull	εξέγερση	aldarull	N;NOM;FEM;SG	N;MASC;SG
εξέγερση	revolta	εξέγερση	revoltar	N;NOM;FEM;SG	N;FEM;SG
λήξη	expiració	λήξη	expiració	N;ACC;FEM;SG	N;FEM;SG
λήξη	rescissió	λήξη	rescissió	N;ACC;FEM;SG	N;FEM;SG
λήξη	terminació	λήξη	terminació	N;ACC;FEM;SG	N;FEM;SG
λήξη	expiració	λήξη	expiració	N;ACC;FEM;SG	N;FEM;SG
λήξη	caducitat	λήξη	caducitat	N;ACC;FEM;SG	N;FEM;SG
εμπορική	comercial	εμπορικός	comercial	ADJ;NOM;FEM;SG	ADJ;SG
επεισόδια	episodis	επεισόδιο	episodi	N;NOM;NEUT;PL	N;MASC;PL
αντίσταση	resistència	αντίσταση	resistència	N;ACC;FEM;SG	N;FEM;SG
φωτογραφίες	fotografies	φωτογραφία	fotografia	N;NOM;FEM;PL	N;FEM;PL
φωτογραφίες	fotos	φωτογραφία	foto	N;NOM;FEM;PL	N;FEM;PL
φωτογραφίες	fotografies	φωτογραφία	fotografia	N;NOM;FEM;PL	N;FEM;PL
έντονη	intens	έντονος	intens	ADJ;NOM;FEM;SG	ADJ;MASC;SG
παίκτες	jugadors	παίκτης	jugador	N;NOM;MASC;PL	N;MASC;PL
κύκλο	circumferència	κύκλος	circumferència	N;ACC;MASC;SG	N;FEM;SG
κύκλο	cercle	κύκλος	cercle	N;ACC;MASC;SG	N;MASC;SG
κύκλο	cicle	κύκλος	cicle	N;ACC;MASC;SG	N;MASC;SG
υλικά	materials	υλικά	material	N;NOM;NEUT;PL	N;MASC;PL
υλικά	matèries	υλικά	matèria	N;NOM;NEUT;PL	N;FEM;PL
γνώση	coneixement	γνώση	coneixement	N;ACC;FEM;SG	N;MASC;SG
βασική	bàsic	βασικός	bàsic	ADJ;NOM;FEM;SG	ADJ;MASC;SG
βασική	basic	βασικός	basic	ADJ;NOM;FEM;SG	ADJ;MASC;SG
πρόσφατα	recentment	πρόσφατα	recentment	ADV	ADV
λογοτεχνία	literatura	λογοτεχνία	literatura	N;NOM;FEM;SG	N;FEM;SG
ρωσική	rus	ρωσικός	rus	ADJ;NOM;FEM;SG	ADJ;MASC;SG
συμμαχία	aliança	συμμαχία	aliança	N;NOM;FEM;SG	N;FEM;SG
ιδέες	idees	ιδέα	idea	N;NOM;FEM;PL	N;FEM;PL
πίνακες	quadres	πίνακα	quadre	N;NOM;MASC;PL	N;MASC;PL
πίνακες	taules	πίνακα	taula	N;NOM;MASC;PL	N;FEM;PL
πίνακες	pintures	πίνακα	pintura	N;NOM;MASC;PL	N;FEM;PL
παραγωγός	productor	παραγωγός	productor	N;NOM;MASC;SG	N;MASC;SG
προφίλ	perfil	προφίλ	perfil	N;ACC;NEUT;SG	N;MASC;SG
κλίμα	clima	κλίμα	clima	N;NOM;NEUT;SG	N;MASC;SG
σπίτια	habitatges	σπίτι	habitatge	N;NOM;NEUT;PL	N;MASC;PL
σπίτια	cases	σπίτι	casa	N;NOM;NEUT;PL	N;FEM;PL
ικανότητα	destresa	ικανότητα	destresa	N;ACC;FEM;SG	N;FEM;SG
ικανότητα	capacitat	ικανότητα	capacitat	N;ACC;FEM;SG	N;FEM;SG
αποκτήσει	adquirir	αποκτώ	adquirir	V;PFV;NFIN;ACT	V;NFIN
μνημεία	monuments	μνημείο	monument	N;NOM;NEUT;PL	N;MASC;PL
λαμβάνει	rep	λαμβάνω	rebre	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
σπάνια	rarament	σπάνια	rarament	ADV	ADV
διαγωνισμό	concurs	διαγωνισμός	concurs	N;ACC;MASC;SG	N;MASC;SG
διαγωνισμό	certamen	διαγωνισμός	certamen	N;ACC;MASC;SG	N;MASC;SG
γέφυρα	pont	γέφυρα	pont	N;NOM;FEM;SG	N;MASC;SG
προσοχή	atenció	προσοχή	atenció	N;NOM;FEM;SG	N;FEM;SG
πυκνότητα	densitat	πυκνότητα	densitat	N;ACC;FEM;SG	N;FEM;SG
πιθανότατα	probablement	πιθανώς	probablement	ADV;CMPR	ADV
υπουργοί	ministres	υπουργός	ministre	N;NOM;MASC;PL	N;MASC;PL
φύλλα	cartes	φύλλο	carta	N;NOM;NEUT;PL	N;FEM;PL
φύλλα	targetes	φύλλο	targeta	N;NOM;NEUT;PL	N;FEM;PL
φύλλα	fulls	φύλλο	full	N;NOM;NEUT;PL	N;MASC;PL
φύλλα	fulles	φύλλο	fulla	N;NOM;NEUT;PL	N;FEM;PL
φύλλα	làmines	φύλλο	làmina	N;NOM;NEUT;PL	N;FEM;PL
φύλλα	fulls	φύλλο	full	N;NOM;NEUT;PL	N;MASC;PL
φύλλα	llençols	φύλλο	llençol	N;NOM;NEUT;PL	N;MASC;PL
κίνδυνο	risc	κίνδυνος	risc	N;ACC;MASC;SG	N;MASC;SG
κίνδυνο	perill	κίνδυνος	perill	N;ACC;MASC;SG	N;MASC;SG
πραγματικά	veritablement	πραγματικά	veritablement	ADV	ADV
πραγματικά	realment	πραγματικά	realment	ADV	ADV
σφαίρα	esfera	σφαίρα	esferar	N;NOM;FEM;SG	N;FEM;SG
βάθος	profunditat	βάθος	profunditat	N;ACC;NEUT;SG	N;FEM;SG
έλλειψη	deficiència	έλλειψη	deficiència	N;NOM;FEM;SG	N;FEM;SG
υψηλή	alta	ψηλός	alt	ADJ;NOM;FEM;SG	ADJ;FEM;SG
υψηλή	alt	ψηλός	alt	ADJ;NOM;FEM;SG	ADJ;MASC;SG
κοινότητες	comunitats	κοινότητα	comunitat	N;NOM;FEM;PL	N;FEM;PL
κατάλογο	directori	κατάλογος	directori	N;ACC;MASC;SG	N;MASC;SG
κατάλογο	catàleg	κατάλογος	catàleg	N;ACC;MASC;SG	N;MASC;SG
κατάλογο	catàleg	κατάλογος	catàleg	N;ACC;MASC;SG	N;MASC;SG
κυριαρχία	sobirania	κυριαρχία	sobirania	N;ACC;FEM;SG	N;FEM;SG
κυριαρχία	dominació	κυριαρχία	dominació	N;ACC;FEM;SG	N;FEM;SG
κυριαρχία	domini	κυριαρχία	domini	N;ACC;FEM;SG	N;MASC;SG
βασικά	bàsicament	βασικά	bàsicament	ADV	ADV
διαχειριστές	administradors	διαχειριστής	administrador	N;NOM;MASC;PL	N;MASC;PL
διαχειριστές	gestors	διαχειριστής	gestor	N;NOM;MASC;PL	N;MASC;PL
διαχειριστές	directius	διαχειριστής	directiu	N;NOM;MASC;PL	N;MASC;PL
ευρώ	euro	ευρώ	euro	N;ACC;NEUT;SG	N;MASC;SG
αντίστοιχο	corresponent	αντίστοιχος	corresponent	ADJ;NOM;NEUT;SG	ADJ;SG
κυβερνήτης	governador	κυβερνήτης	governador	N;NOM;MASC;SG	N;MASC;SG
προγράμματα	programes	πρόγραμμα	programa	N;NOM;NEUT;PL	N;MASC;PL
προγράμματα	programes	πρόγραμμα	programa	N;NOM;NEUT;PL	N;MASC;PL
προσωπικά	personalment	προσωπικά	personalment	ADV	ADV
εισβολή	invasió	εισβολή	invasió	N;ACC;FEM;SG	N;FEM;SG
εισβολή	intrusió	εισβολή	intrusió	N;ACC;FEM;SG	N;FEM;SG
γραφή	escriptura	γραφή	escriptura	N;NOM;FEM;SG	N;FEM;SG
στρατιωτικός	militar	στρατιωτικός	militar	ADJ;NOM;MASC;SG	ADJ;SG
οργανισμός	organització	οργανισμός	organització	N;NOM;MASC;SG	N;FEM;SG
οργανισμός	agència	οργανισμός	agència	N;NOM;MASC;SG	N;FEM;SG
νοσοκομείο	hospital	νοσοκομείο	hospital	N;NOM;NEUT;SG	N;MASC;SG
κριτικές	crítiques	κριτικός	crítica	N;NOM;FEM;PL	N;FEM;PL
κριτικές	revisions	κριτικός	revisió	N;NOM;FEM;PL	N;FEM;PL
συμμετέχουν	participar	συμμετέχω	participar	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;NFIN
πασοκ	pasok	πασοκ	pasok	N	N;MASC;SG
όριο	límit	όριο	límit	N;NOM;NEUT;SG	N;MASC;SG
προφανώς	aparentment	προφανώς	aparentment	ADV	ADV
προφανώς	òbviament	προφανώς	òbviament	ADV	ADV
προφανώς	evidentment	προφανώς	evidentment	ADV	ADV
εμπόριο	comerç	εμπόριο	comerç	N;NOM;NEUT;SG	N;MASC;SG
ανάγκες	necessitats	ανάγκη	necessitat	N;NOM;FEM;PL	N;FEM;PL
χάρτη	mapa	χάρτης	mapa	N;ACC;MASC;SG	N;MASC;SG
προηγούμενη	anterior	προηγούμενος	anterior	ADJ;NOM;FEM;SG	ADJ;SG
ποιήματα	poemes	ποίημα	poema	N;NOM;NEUT;PL	N;MASC;PL
έντονα	fortament	έντονα	fortament	ADV	ADV
έντονα	intensament	έντονα	intensament	ADV	ADV
κέντρα	centres	κέντρο	centre	N;NOM;NEUT;PL	N;MASC;PL
ηλικίας	edat	ηλικία	edat	N;GEN;FEM;SG	N;FEM;SG
συγκροτήματα	bandes	σύγκροτημα	banda	N;NOM;NEUT;PL	N;FEM;PL
συγκροτήματα	assemblees	σύγκροτημα	assemblea	N;NOM;NEUT;PL	N;FEM;PL
συγκροτήματα	muntatges	σύγκροτημα	muntatge	N;NOM;NEUT;PL	N;MASC;PL
σκοπός	finalitat	σκοπός	finalitat	N;NOM;MASC;SG	N;FEM;SG
σκοπός	propòsit	σκοπός	propòsit	N;NOM;MASC;SG	N;MASC;SG
διαμερίσματα	apartaments	διαμέρισμα	apartament	N;NOM;NEUT;PL	N;MASC;PL
λόγια	paraules	λόγος	paraula	N;NOM;NEUT;PL	N;FEM;PL
παραλία	platja	παραλία	platja	N;NOM;FEM;SG	N;FEM;SG
πράγματι	efectivament	πράγματι	efectivament	ADV	ADV
συνεχώς	ininterrompudament	συνεχώς	ininterrompudament	ADV	ADV
συνεχώς	constantment	συνεχώς	constantment	ADV	ADV
συνεχώς	contínuament	συνεχώς	contínuament	ADV	ADV
σώματα	cossos	σώμα	cos	N;NOM;NEUT;PL	N;MASC;PL
εξαίρεση	excepció	εξαίρεση	excepció	N;ACC;FEM;SG	N;FEM;SG
εξαίρεση	exclusió	εξαίρεση	exclusió	N;ACC;FEM;SG	N;FEM;SG
εξαίρεση	exempció	εξαίρεση	exempció	N;ACC;FEM;SG	N;FEM;SG
αιτία	raó	αιτία	raó	N;NOM;FEM;SG	N;FEM;SG
αιτία	motiu	αιτία	motiu	N;NOM;FEM;SG	N;MASC;SG
πολιτισμός	cultura	πολιτισμός	cultura	N;NOM;MASC;SG	N;FEM;SG
πολιτισμός	civilització	πολιτισμός	civilització	N;NOM;MASC;SG	N;FEM;SG
τράπεζα	banc	τράπεζα	banc	N;NOM;FEM;SG	N;MASC;SG
διατηρεί	manté	διατηρώ	mantenir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
διαφορετική	diferent	διαφορετικός	diferent	ADJ;NOM;FEM;SG	ADJ;SG
πύργος	torre	πύργος	torre	N;NOM;MASC;SG	N;FEM;SG
σχολεία	escoles	σχολείο	escola	N;NOM;NEUT;PL	N;FEM;PL
προπονητή	autocar	προπονητής	autocar	N;ACC;MASC;SG	N;MASC;SG
προπονητή	entrenador	προπονητής	entrenador	N;ACC;MASC;SG	N;MASC;SG
συζητήσεις	discussions	συζήτηση	discussió	N;NOM;FEM;PL	N;FEM;PL
συζητήσεις	debats	συζήτηση	debat	N;NOM;FEM;PL	N;MASC;PL
συζητήσεις	debats	συζήτηση	debat	N;NOM;FEM;PL	N;MASC;PL
προώθηση	promoció	προώθηση	promoció	N;ACC;FEM;SG	N;FEM;SG
επίσκοπος	bisbe	επίσκοπος	bisbe	N;NOM;MASC;SG	N;MASC;SG
επίσκοπος	alfil	επίσκοπος	alfil	N;NOM;MASC;SG	N;MASC;SG
πλούσια	ric	πλούσιος	ric	ADJ;NOM;FEM;SG	ADJ;MASC;SG
παράσταση	actuació	παράσταση	actuació	N;ACC;FEM;SG	N;FEM;SG
παράσταση	rendiment	παράσταση	rendiment	N;ACC;FEM;SG	N;MASC;SG
παράσταση	espectacle	παράσταση	espectacle	N;ACC;FEM;SG	N;MASC;SG
περάσει	passen	περνώ	passar	V;PFV;NFIN;ACT	V;IND;PL;3;PRS;FIN
περάσει	passi	περνώ	passar	V;PFV;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
σοφία	saviesa	σοφία	saviès	N;NOM;FEM;SG	N;FEM;SG
παρουσίαση	presentació	παρουσίαση	presentació	N;NOM;FEM;SG	N;FEM;SG
δυνατόν	possible	δυνατός	possible	ADJ;NOM;NEUT;SG	ADJ;SG
αναγνώριση	identificació	αναγνώριση	identificació	N;ACC;FEM;SG	N;FEM;SG
αναγνώριση	reconeixement	αναγνώριση	reconeixement	N;ACC;FEM;SG	N;MASC;SG
τάγμα	batalló	τάγμα	batalló	N;NOM;NEUT;SG	N;MASC;SG
σήμα	senyal	σήμα	senyal	N;NOM;NEUT;SG	N;MASC;SG
ευρήματα	troballes	εύρημα	troballa	N;NOM;NEUT;PL	N;FEM;PL
χρόνος	temps	χρόνος	temps	N;NOM;MASC;SG	N;MASC
πράξεις	operacions	πράξη	operació	N;NOM;FEM;PL	N;FEM;PL
πράξεις	actes	πράξη	acte	N;NOM;FEM;PL	N;MASC;PL
πράξεις	accions	πράξη	acció	N;NOM;FEM;PL	N;FEM;PL
δυνατό	forta	δυνατός	fort	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
δυνατό	fort	δυνατός	fort	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
βασιλείς	reis	βασίλης	rei	N;NOM;MASC;PL	N;MASC;PL
τουρκική	turc	τουρκικός	turc	ADJ;NOM;FEM;SG	ADJ;MASC;SG
δήμοι	municipis	δήμος	municipi	N;NOM;MASC;PL	N;MASC;PL
δήμοι	ajuntaments	δήμος	ajuntament	N;NOM;MASC;PL	N;MASC;PL
ύφος	estil	ύφος	estil	N;NOM;NEUT;SG	N;MASC;SG
χώρους	espais	χώρος	espai	N;ACC;MASC;PL	N;MASC;PL
ορθόδοξη	ortodox	ορθόδοξος	ortodox	ADJ;NOM;FEM;SG	ADJ;MASC;SG
παραστάσεις	actuacions	παράσταση	actuació	N;NOM;FEM;PL	N;FEM;PL
παραστάσεις	espectacles	παράσταση	espectacle	N;NOM;FEM;PL	N;MASC;PL
παράγοντες	agents	παράγοντας	agent	N;NOM;MASC;PL	N;PL
παράγοντες	factors	παράγοντας	factor	N;NOM;MASC;PL	N;MASC;PL
τεχνικές	tècniques	τεχνικός	tècnic	ADJ;NOM;FEM;PL	ADJ;FEM;PL
αστέρας	estrella	αστέρα	estrella	N;NOM;MASC;SG	N;FEM;SG
φυτά	plantes	φυτώ	planta	N;NOM;NEUT;PL	N;FEM;PL
αγίων	sants	άγιος	sant	N;GEN;NEUT;PL	N;MASC;PL
προτάσεις	suggerències	πρόταση	suggerències	N;NOM;FEM;PL	N;FEM;PL
προτάσεις	suggeriments	πρόταση	suggeriment	N;NOM;FEM;PL	N;MASC;PL
προτάσεις	propostes	πρόταση	proposta	N;NOM;FEM;PL	N;FEM;PL
προτάσεις	recomanacions	πρόταση	recomanació	N;NOM;FEM;PL	N;FEM;PL
σύμβουλος	assessor	σύμβουλος	assessor	N;NOM;MASC;SG	N;MASC;SG
σύμβουλος	consultor	σύμβουλος	consultor	N;NOM;MASC;SG	N;MASC;SG
οικισμό	aglomeració	οικισμός	aglomeració	N;ACC;MASC;SG	N;FEM;SG
τεχνολογία	tecnologia	τεχνολογία	tecnologia	N;NOM;FEM;SG	N;FEM;SG
όπλα	armes	όπλο	arma	N;NOM;NEUT;PL	N;FEM;PL
όπλα	armes	όπλο	arma	N;NOM;NEUT;PL	N;FEM;PL
όπλα	guns	όπλο	guns	N;NOM;NEUT;PL	N;MASC
έκρηξη	erupció	έκρηξη	erupció	N;ACC;FEM;SG	N;FEM;SG
έκρηξη	explosió	έκρηξη	explosió	N;ACC;FEM;SG	N;FEM;SG
συνέλευση	assemblea	συνέλευση	assemblea	N;NOM;FEM;SG	N;FEM;SG
συνέλευση	conveni	συνέλευση	conveni	N;NOM;FEM;SG	N;MASC;SG
συνέλευση	convenció	συνέλευση	convenció	N;NOM;FEM;SG	N;FEM;SG
πάρκο	parc	πάρκο	parc	N;NOM;NEUT;SG	N;MASC;SG
ποίηση	poesia	ποίηση	poesia	N;NOM;FEM;SG	N;FEM;SG
εθνών	nacions	εθνό	nació	N;GEN;NEUT;PL	N;FEM;PL
διαστάσεις	dimensions	διάσταση	dimensió	N;NOM;FEM;PL	N;FEM;PL
ερείπια	ruïnes	ερείπιο	ruïna	N;NOM;NEUT;PL	N;FEM;PL
ασφάλεια	seguretat	ασφάλεια	seguretat	N;NOM;FEM;SG	N;FEM;SG
ασφάλεια	seguretat	ασφάλεια	seguretat	N;NOM;FEM;SG	N;FEM;SG
ασφάλεια	assegurança	ασφάλεια	assegurança	N;NOM;FEM;SG	N;FEM;SG
γραφείο	despatx	γραφείο	despatx	N;NOM;NEUT;SG	N;MASC;SG
γραφείο	oficina	γραφείο	oficina	N;NOM;NEUT;SG	N;FEM;SG
εσωτερική	intern	εσωτερικός	intern	ADJ;NOM;FEM;SG	ADJ;MASC;SG
εσωτερική	interna	εσωτερικός	intern	ADJ;NOM;FEM;SG	ADJ;FEM;SG
απλή	simple	απλός	simple	ADJ;NOM;FEM;SG	ADJ;SG
απλή	senzill	απλός	senzill	ADJ;NOM;FEM;SG	ADJ;MASC;SG
αρχεία	fitxers	αρχείο	fitxer	N;NOM;NEUT;PL	N;MASC;PL
αρχεία	arxius	αρχείο	arxiu	N;NOM;NEUT;PL	N;MASC;PL
αρχεία	rècords	αρχείο	rècord	N;NOM;NEUT;PL	N;MASC;PL
αρχεία	registres	αρχείο	registre	N;NOM;NEUT;PL	N;MASC;PL
αρχεία	arxius	αρχείο	arxiu	N;NOM;NEUT;PL	N;MASC;PL
διάκριση	discriminació	διάκριση	discriminació	N;ACC;FEM;SG	N;FEM;SG
διάκριση	distinció	διάκριση	distinció	N;ACC;FEM;SG	N;FEM;SG
εβδομάδες	setmanes	εβδομάδα	setmana	N;NOM;FEM;PL	N;FEM;PL
επιστολή	carta	επιστολή	carta	N;ACC;FEM;SG	N;FEM;SG
συνεισφορά	aportació	συνεισφορά	aportació	N;ACC;FEM;SG	N;FEM;SG
πιθανότητα	probabilitat	πιθανότητα	probabilitat	N;ACC;FEM;SG	N;FEM;SG
πιθανότητα	possibilitat	πιθανότητα	possibilitat	N;ACC;FEM;SG	N;FEM;SG
πέρασμα	passatge	πέρασμα	passatge	N;NOM;NEUT;SG	N;MASC;SG
έμβλημα	insígnia	έμβλημα	insígnia	N;NOM;NEUT;SG	N;FEM;SG
γερμανικό	alemany	γερμανικός	alemany	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
βρετανική	britànic	βρετανικός	britànic	ADJ;NOM;FEM;SG	ADJ;MASC;SG
βρετανική	britànica	βρετανικός	britànic	ADJ;NOM;FEM;SG	ADJ;FEM;SG
συγκρούσεις	conflictes	σύγκρουση	conflicte	N;NOM;FEM;PL	N;MASC;PL
εταιρείες	corporacions	εταιρεία	corporació	N;NOM;FEM;PL	N;FEM;PL
εταιρείες	empreses	εταιρεία	empresa	N;NOM;FEM;PL	N;FEM;PL
εταιρείες	companyies	εταιρεία	companyia	N;NOM;FEM;PL	N;FEM;PL
εφημερίδες	diaris	εφημερίδα	diari	N;NOM;FEM;PL	N;MASC;PL
εφημερίδες	papers	εφημερίδα	paper	N;NOM;FEM;PL	N;MASC;PL
αρχαιολογικό	arqueològic	αρχαιολογικός	arqueològic	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
χρήματα	diners	χρήμα	diner	N;NOM;NEUT;PL	N;MASC;PL
τραγουδίστρια	cantant	τραγουδίστρια	cantant	N;NOM;FEM;SG	N;SG
κλίμακα	escala	κλίμακα	escala	N;NOM;FEM;SG	N;FEM;SG
κύκλος	circumferència	κύκλος	circumferència	N;NOM;MASC;SG	N;FEM;SG
κύκλος	cercle	κύκλος	cercle	N;NOM;MASC;SG	N;MASC;SG
κύκλος	cicle	κύκλος	cicle	N;NOM;MASC;SG	N;MASC;SG
εφαρμογές	aplicacions	εφαρμογή	aplicació	N;NOM;FEM;PL	N;FEM;PL
εφαρμογές	aplicacions	εφαρμογή	aplicació	N;NOM;FEM;PL	N;FEM;PL
αιώνες	segles	αιώνας	segle	N;NOM;MASC;PL	N;MASC;PL
ιστορίες	contes	ιστορία	conte	N;NOM;FEM;PL	N;MASC;PL
ιστορίες	històries	ιστορία	història	N;NOM;FEM;PL	N;FEM;PL
ιστορίες	relats	ιστορία	relat	N;NOM;FEM;PL	N;MASC;PL
βρετανικό	britànic	βρετανικός	britànic	ADJ;NOM;NEUT;SG	ADJ;MASC;SG
βρετανικό	britànica	βρετανικός	britànic	ADJ;NOM;NEUT;SG	ADJ;FEM;SG
έρευνες	enquestes	έρευνα	enquesta	N;NOM;FEM;PL	N;FEM;PL
έρευνες	investigacions	έρευνα	investigació	N;NOM;FEM;PL	N;FEM;PL
πρακτική	pràctic	πρακτικός	pràctic	ADJ;NOM;FEM;SG	ADJ;MASC;SG
πρακτική	pràctica	πρακτικός	pràctic	ADJ;NOM;FEM;SG	ADJ;FEM;SG
