les	the	le	the	DET;DEF;PL	DET;DEF
piano	piano	piano	piano	N;MASC;SG	N;SG
gros	big	gros	big	ADJ;MASC;SG	ADJ
gros	fat	gros	fat	ADJ;MASC;SG	ADJ
gros	wholesale	gros	wholesale	ADJ;MASC;SG	ADJ
montagne	mountain	montagne	mountain	N;FEM;SG	N;SG
diverses	miscellaneous	divers	miscellaneous	ADJ;FEM;PL	ADJ
diverses	various	divers	various	ADJ;FEM;PL	ADJ
diverses	diverse	divers	diverse	ADJ;FEM;PL	ADJ
découverte	discover	découvrir	discover	V;FEM;SG;PST;V.PTCP	V;IMP;FIN
front	front	front	front	N;MASC;SG	N;SG
front	forehead	front	forehead	N;MASC;SG	N;SG
front	brow	front	brow	N;MASC;SG	N;SG
circonscription	division	circonscription	division	N;FEM;SG	N;SG
circonscription	constituency	circonscription	constituency	N;FEM;SG	N;SG
poète	poet	poète	poet	N;MASC;SG	N;SG
champ	field	champ	field	N;MASC;SG	N;SG
champ	champ	champ	champ	N;MASC;SG	N;SG
religieux	religious	religieux	religious	ADJ;MASC;SG	ADJ
archives	archives	archive	archive	N;FEM;PL	N;PL
vote	voting	vote	voting	N;MASC;SG	N;SG
projets	projects	projet	project	N;MASC;PL	N;PL
formes	forms	forme	form	N;FEM;PL	N;PL
formes	shapes	forme	shape	N;FEM;PL	N;PL
proximité	proximity	proximité	proximity	N;FEM;SG	N;SG
proximité	closeness	proximité	closeness	N;FEM;SG	N;SG
proximité	vicinity	proximité	vicinity	N;FEM;SG	N;SG
intitulé	titled	intituler	title	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
appelée	called	appeler	call	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
romaine	roman	romain	roman	ADJ;FEM;SG	ADJ
obtenir	getting	obtenir	get	V;NFIN	V;V.MSDR
obtenir	obtain	obtenir	obtain	V;NFIN	V;IMP;FIN
obtenir	get	obtenir	get	V;NFIN	V;IMP;FIN
blanche	white	blanc	white	ADJ;FEM;SG	ADJ
belle	beautiful	beau	beautiful	ADJ;FEM;SG	ADJ
belle	lovely	beau	lovely	ADJ;FEM;SG	ADJ
motif	motive	motif	motive	N;MASC;SG	N;SG
motif	pattern	motif	pattern	N;MASC;SG	N;SG
motif	motif	motif	motif	N;MASC;SG	N;SG
continue	continuous	continu	continuous	ADJ;FEM;SG	ADJ
chant	song	chant	song	N;MASC;SG	N;SG
chant	chant	chant	chant	N;MASC;SG	N;SG
chant	singing	chant	sing	N;MASC;SG	N;SG
mondial	global	mondial	global	ADJ;MASC;SG	ADJ
colonel	colonel	colonel	colonel	N;MASC;SG	N;SG
longtemps	long	longtemps	long	ADV	ADV
soleil	sunshine	soleil	sunshine	N;MASC;SG	N;SG
utilisateur	user	utilisateur	user	N;MASC;SG	N;SG
allemands	german	allemand	german	ADJ;MASC;PL	ADJ
amis	friends	ami	friend	N;MASC;PL	N;PL
peinture	paint	peinture	paint	N;FEM;SG	N;SG
peinture	painting	peinture	painting	N;FEM;SG	N;SG
légion	legion	légion	legion	N;FEM;SG	N;SG
inclinaison	tilt	inclinaison	tilt	N;FEM;SG	N;SG
inclinaison	inclination	inclinaison	inclination	N;FEM;SG	N;SG
limite	limit	limite	limit	N;FEM;SG	N;SG
dernières	last	dernier	last	ADJ;FEM;PL	ADJ
dernières	latest	dernier	latest	ADJ;FEM;PL	ADJ;RL
gens	people	gens	people	N;MASC;PL	N;PL
liberté	freedom	liberté	freedom	N;FEM;SG	N;SG
html	html	html	html	N;MASC;SG	N;SG
star	star	star	star	N;FEM;SG	N;SG
fête	festival	fête	festival	N;FEM;SG	N;SG
fête	feast	fête	feast	N;FEM;SG	N;SG
fête	party	fête	party	N;FEM;SG	N;SG
photo	photo	photo	photo	N;FEM;SG	N;SG
photo	picture	photo	picture	N;FEM;SG	N;SG
canal	canal	canal	canal	N;MASC;SG	N;SG
canal	channel	canal	channel	N;MASC;SG	N;SG
jouer	playing	jouer	play	V;NFIN	V;V.MSDR
précédente	previous	précédent	previous	ADJ;FEM;SG	ADJ
analyse	analysis	analyse	analysis	N;FEM;SG	N;SG
noire	black	noir	black	ADJ;FEM;SG	ADJ
recherches	searches	recherche	search	N;FEM;PL	N;PL
côtés	sides	côté	side	N;MASC;PL	N;PL
frontière	border	frontière	border	N;FEM;SG	N;SG
frontière	frontier	frontière	frontier	N;FEM;SG	N;SG
américains	american	américain	american	ADJ;MASC;PL	ADJ
existence	existence	existence	existence	N;FEM;SG	N;SG
indépendance	independence	indépendance	independence	N;FEM;SG	N;SG
eaux	waters	eau	water	N;FEM;PL	N;PL
bâtiments	buildings	bâtiment	building	N;MASC;PL	N;PL
uniquement	only	uniquement	only	ADV	ADV
résistance	strength	résistance	strength	N;FEM;SG	N;SG
résistance	resistance	résistance	resistance	N;FEM;SG	N;SG
caractère	character	caractère	character	N;MASC;SG	N;SG
contient	contains	contenir	contain	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
classé	rated	classer	rate	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
classé	classified	classer	classify	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
classé	ranked	classer	rank	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
classé	filed	classer	file	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
excentricité	eccentricity	excentricité	eccentricity	N;FEM;SG	N;SG
signifie	means	signifier	mean	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
objets	objects	objet	object	N;MASC;PL	N;PL
sommet	summit	sommet	summit	N;MASC;SG	N;SG
border	border	border	border	N;MASC;SG	N;SG
construite	built	construire	build	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
construite	constructed	construire	construct	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
licence	licence	licence	licence	N;FEM;SG	N;SG
licence	license	licence	license	N;FEM;SG	N;SG
juifs	jews	juif	jew	N;MASC;PL	N;PL
médecin	physician	médecin	physician	N;MASC;SG	N;SG
médecin	doctor	médecin	doctor	N;MASC;SG	N;SG
écrire	write	écrire	write	V;NFIN	V;IMP;FIN
lance	spear	lance	spear	N;FEM;SG	N;SG
fonds	fund	fonds	fund	N;MASC;SG	N;SG
fondateur	founder	fondateur	founder	N;MASC;SG	N;SG
avance	advance	avance	advance	N;FEM;SG	N;SG
grec	greek	grec	greek	ADJ;MASC;SG	ADJ
règles	rules	règle	rule	N;FEM;PL	N;PL
soldats	soldiers	soldat	soldier	N;MASC;PL	N;PL
publie	publishes	publier	publish	V;SG;PRS;V.PTCP	V;IND;SG;3;PRS;FIN
publie	publish	publier	publish	V;SG;PRS;V.PTCP	V;IMP;FIN
religion	religion	religion	religion	N;FEM;SG	N;SG
successeur	successor	successeur	successor	N;MASC;SG	N;SG
cimetière	cemetery	cimetière	cemetery	N;MASC;SG	N;SG
cimetière	graveyard	cimetière	graveyard	N;MASC;SG	N;SG
composée	composed	composer	compose	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
somme	sum	somme	sum	N;FEM;SG	N;SG
formé	formed	former	form	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
formé	trained	former	train	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
éviter	avoiding	éviter	avoid	V;NFIN	V;V.MSDR
éviter	avoid	éviter	avoid	V;NFIN	V;IMP;FIN
réserve	reservation	réserve	reservation	N;FEM;SG	N;SG
réserve	reserve	réserve	reserve	N;FEM;SG	N;SG
sports	sports	sport	sport	N;MASC;PL	N;PL
ceci	this	ceci	this	PRO;SG	PRO;SG
maritime	maritime	maritime	maritime	ADJ;MASC;SG	ADJ
épreuve	ordeal	épreuve	ordeal	N;FEM;SG	N;SG
épreuve	test	épreuve	test	N;FEM;SG	N;SG
voies	lanes	voie	lane	N;FEM;PL	N;PL
exploitation	exploitation	exploitation	exploitation	N;FEM;SG	N;SG
sert	serves	servir	serve	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
encyclopédie	encyclopedia	encyclopédie	encyclopedia	N;FEM;SG	N;SG
encyclopédie	encyclopaedia	encyclopédie	encyclopaedia	N;FEM;SG	N;SG
lutte	wrestling	lutte	wrestling	N;FEM;SG	N;SG
lutte	struggle	lutte	struggle	N;FEM;SG	N;SG
parents	parents	parent	parent	N;MASC;PL	N;PL
disque	disk	disque	disk	N;MASC;SG	N;SG
recensement	census	recensement	census	N;MASC;SG	N;SG
philosophie	philosophy	philosophie	philosophy	N;FEM;SG	N;SG
hôpital	hospital	hôpital	hospital	N;MASC;SG	N;SG
propriété	property	propriété	property	N;FEM;SG	N;SG
propriété	ownership	propriété	ownership	N;FEM;SG	N;SG
collaboration	collaboration	collaboration	collaboration	N;FEM;SG	N;SG
parler	talking	parler	talk	V;NFIN	V;V.MSDR
parler	talk	parler	talk	V;NFIN	V;IMP;FIN
parler	speak	parler	speak	V;NFIN	V;IMP;FIN
expression	expression	expression	expression	N;FEM;SG	N;SG
astéroïdes	asteroids	astéroïde	asteroid	N;MASC;PL	N;PL
nécessaire	necessary	nécessaire	necessary	ADJ;MASC;SG	ADJ
règne	reign	règne	reign	N;MASC;SG	N;SG
difficile	hard	difficile	hard	ADJ;MASC;SG	ADJ
difficile	difficult	difficile	difficult	ADJ;MASC;SG	ADJ
inconnu	unknown	inconnu	unknown	ADJ;MASC;SG	ADJ
champions	champions	champion	champion	N;MASC;PL	N;PL
modèles	models	modèle	model	N;MASC;PL	N;PL
modèles	templates	modèle	template	N;MASC;PL	N;PL
meilleurs	better	meilleur	better	ADJ;MASC;PL	ADJ;CMPR
meilleurs	best	meilleur	best	ADJ;MASC;PL	ADJ;RL
animaux	pets	animal	pet	N;MASC;PL	N;PL
animaux	animals	animal	animal	N;MASC;PL	N;PL
cheval	horse	cheval	horse	N;MASC;SG	N;SG
soutien	support	soutien	support	N;MASC;SG	N;SG
navires	ships	navire	ship	N;MASC;PL	N;PL
navires	vessels	navire	vessel	N;MASC;PL	N;PL
débuts	beginnings	début	beginnings	N;MASC;PL	N;PL
animation	animation	animation	animation	N;FEM;SG	N;SG
méthode	methodology	méthode	methodology	N;FEM;SG	N;SG
méthode	method	méthode	method	N;FEM;SG	N;SG
communication	communication	communication	communication	N;FEM;SG	N;SG
petites	small	petit	small	ADJ;FEM;PL	ADJ
commun	common	commun	common	ADJ;MASC;SG	ADJ
jardin	garden	jardin	garden	N;MASC;SG	N;SG
avion	aircraft	avion	aircraft	N;MASC;SG	N;SG
avion	plane	avion	plane	N;MASC;SG	N;SG
avion	aeroplane	avion	aeroplane	N;MASC;SG	N;SG
avion	airplane	avion	airplane	N;MASC;SG	N;SG
paroisse	parish	paroisse	parish	N;FEM;SG	N;SG
internes	internal	interne	internal	ADJ;MASC;PL	ADJ
mots	words	mot	word	N;MASC;PL	N;PL
personnel	staff	personnel	staff	N;MASC;SG	N;SG
local	local	local	local	ADJ;MASC;SG	ADJ
historien	historian	historien	historian	N;MASC;SG	N;SG
relation	relation	relation	relation	N;FEM;SG	N;SG
relation	relationship	relation	relationship	N;FEM;SG	N;SG
crée	create	créer	create	V;FEM;SG;PST;V.PTCP	V;IMP;FIN
crée	created	créer	create	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
navire	vessel	navire	vessel	N;MASC;SG	N;SG
navire	ship	navire	ship	N;MASC;SG	N;SG
étudiants	students	étudiant	student	N;MASC;PL	N;PL
maisons	houses	maison	house	N;FEM;PL	N;PL
apparition	apparition	apparition	apparition	N;FEM;SG	N;SG
apparition	appearance	apparition	appearance	N;FEM;SG	N;SG
manque	lack	manque	lack	N;MASC;SG	N;SG
plein	full	plein	full	ADJ;MASC;SG	ADJ
naturel	natural	naturel	natural	ADJ;MASC;SG	ADJ
opposition	opposition	opposition	opposition	N;FEM;SG	N;SG
simplement	simply	simplement	simply	ADV	ADV
simplement	just	simplement	just	ADV	ADV
essentiellement	essentially	essentiellement	essentially	ADV	ADV
essentiellement	mostly	essentiellement	mostly	ADV	ADV
essentiellement	mainly	essentiellement	mainly	ADV	ADV
essentiellement	basically	essentiellement	basically	ADV	ADV
pourtant	yet	pourtant	yet	ADV	ADV
adaptation	adaptation	adaptation	adaptation	N;FEM;SG	N;SG
abbé	abbot	abbé	abbot	N;MASC;SG	N;SG
argument	argument	argument	argument	N;MASC;SG	N;SG
semaines	weeks	semaine	week	N;FEM;PL	N;PL
familles	families	famille	family	N;FEM;PL	N;PL
expérience	experiment	expérience	experiment	N;FEM;SG	N;SG
expérience	experience	expérience	experience	N;FEM;SG	N;SG
gardien	guardian	gardien	guardian	N;MASC;SG	N;SG
gardien	guard	gardien	guard	N;MASC;SG	N;SG
gardien	custodian	gardien	custodian	N;MASC;SG	N;SG
gardien	keeper	gardien	keeper	N;MASC;SG	N;SG
gardien	goalkeeper	gardien	goalkeeper	N;MASC;SG	N;SG
dramatique	dramatic	dramatique	dramatic	ADJ;MASC;SG	ADJ
extérieur	exterior	extérieur	exterior	N;MASC;SG	N;SG
restauration	catering	restauration	catering	N;FEM;SG	N;SG
restauration	restoration	restauration	restoration	N;FEM;SG	N;SG
médecine	medicine	médecine	medicine	N;FEM;SG	N;SG
établissement	establishment	établissement	establishment	N;MASC;SG	N;SG
régional	regional	régional	regional	ADJ;MASC;SG	ADJ
thème	topic	thème	topic	N;MASC;SG	N;SG
thème	theme	thème	theme	N;MASC;SG	N;SG
prison	jail	prison	jail	N;FEM;SG	N;SG
prison	prison	prison	prison	N;FEM;SG	N;SG
distance	distance	distance	distance	N;FEM;SG	N;SG
capacité	capability	capacité	capability	N;FEM;SG	N;SG
capacité	capacity	capacité	capacity	N;FEM;SG	N;SG
capacité	ability	capacité	ability	N;FEM;SG	N;SG
littéraire	literary	littéraire	literary	ADJ;MASC;SG	ADJ
écoles	schools	école	school	N;FEM;PL	N;PL
arrêté	arrested	arrêter	arrest	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
arrêté	discontinued	arrêter	discontinued	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
tradition	tradition	tradition	tradition	N;FEM;SG	N;SG
réalité	reality	réalité	reality	N;FEM;SG	N;SG
connaissance	acquaintance	connaissance	acquaintance	N;FEM;SG	N;SG
connaissance	knowledge	connaissance	knowledge	N;FEM;SG	N;SG
étoile	star	étoile	star	N;FEM;SG	N;SG
marche	walking	marche	walking	N;FEM;SG	N;SG
jaune	yellow	jaune	yellow	ADJ;MASC;SG	ADJ
telle	such	tel	such	ADJ;FEM;SG	ADJ
traitement	processing	traitement	processing	N;MASC;SG	N;SG
traitement	treatment	traitement	treatment	N;MASC;SG	N;SG
masse	mass	masse	mass	N;FEM;SG	N;SG
arc	rainbow	arc	rainbow	N;MASC;SG	N;SG
arc	arc	arc	arc	N;MASC;SG	N;SG
arc	bow	arc	bow	N;MASC;SG	N;SG
risque	risk	risque	risk	N;MASC;SG	N;SG
risque	hazard	risque	hazard	N;MASC;SG	N;SG
notables	notable	notable	notable	ADJ;MASC;PL	ADJ
vrai	real	vrai	real	ADJ;MASC;SG	ADJ
vrai	true	vrai	true	ADJ;MASC;SG	ADJ
baseball	baseball	baseball	baseball	N;MASC;SG	N;SG
arabe	arab	arabe	arab	ADJ;MASC;SG	ADJ
arabe	arabic	arabe	arabic	ADJ;MASC;SG	ADJ
arabe	arabian	arabe	arabian	ADJ;MASC;SG	ADJ
acte	act	acte	act	N;MASC;SG	N;SG
civile	civil	civil	civil	ADJ;FEM;SG	ADJ
civile	civilian	civil	civilian	ADJ;FEM;SG	ADJ
essai	essay	essai	essay	N;MASC;SG	N;SG
essai	testing	essai	testing	N;MASC;SG	N;SG
essai	trial	essai	trial	N;MASC;SG	N;SG
essai	test	essai	test	N;MASC;SG	N;SG
décrit	described	décrire	describe	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
albums	albums	album	album	N;MASC;PL	N;PL
héros	hero	héros	hero	N;MASC;SG	N;SG
termes	terms	terme	term	N;MASC;PL	N;PL
filles	girls	fille	girl	N;FEM;PL	N;PL
filles	babes	fille	babe	N;FEM;PL	N;PL
filles	daughters	fille	daughter	N;FEM;PL	N;PL
midi	noon	midi	noon	N;MASC;SG	N;SG
midi	midday	midi	midday	N;MASC;SG	N;SG
géographique	geographic	géographique	geographic	ADJ;MASC;SG	ADJ
géographique	geographical	géographique	geographical	ADJ;MASC;SG	ADJ
ciel	heaven	ciel	heaven	N;MASC;SG	N;SG
ciel	sky	ciel	sky	N;MASC;SG	N;SG
rang	rank	rang	rank	N;MASC;SG	N;SG
rang	row	rang	row	N;MASC;SG	N;SG
occidentale	western	occidental	western	ADJ;FEM;SG	ADJ
rurale	rural	rural	rural	ADJ;FEM;SG	ADJ
maladie	illness	maladie	illness	N;FEM;SG	N;SG
maladie	sickness	maladie	sickness	N;FEM;SG	N;SG
maladie	disease	maladie	disease	N;FEM;SG	N;SG
aéroport	airport	aéroport	airport	N;MASC;SG	N;SG
dictionnaire	dictionary	dictionnaire	dictionary	N;MASC;SG	N;SG
autorité	authority	autorité	authority	N;FEM;SG	N;SG
objectif	objective	objectif	objective	N;MASC;SG	N;SG
objectif	lens	objectif	lens	N;MASC;SG	N;SG
objectif	purpose	objectif	purpose	N;MASC;SG	N;SG
objectif	goal	objectif	goal	N;MASC;SG	N;SG
objectif	target	objectif	target	N;MASC;SG	N;SG
cap	cap	cap	cap	N;MASC;SG	N;SG
ingénieur	engineer	ingénieur	engineer	N;MASC;SG	N;SG
actes	deeds	acte	deed	N;MASC;PL	N;PL
occupe	occupies	occuper	occupy	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
peine	sentence	peine	sentence	N;FEM;SG	N;SG
peine	sorrow	peine	sorrow	N;FEM;SG	N;SG
peine	penalty	peine	penalty	N;FEM;SG	N;SG
peine	pain	peine	pain	N;FEM;SG	N;SG
britanniques	british	britannique	british	ADJ;MASC;PL	ADJ
absence	absence	absence	absence	N;FEM;SG	N;SG
importants	important	important	important	ADJ;MASC;PL	ADJ
guerres	wars	guerre	war	N;FEM;PL	N;PL
sociétés	corporations	société	corporation	N;FEM;PL	N;PL
sociétés	companies	société	company	N;FEM;PL	N;PL
chanteuse	singer	chanteur	singer	N;FEM;SG	N;SG
crise	crisis	crise	crisis	N;FEM;SG	N;SG
brigade	squad	brigade	squad	N;FEM;SG	N;SG
brigade	brigade	brigade	brigade	N;FEM;SG	N;SG
chapitre	chapter	chapitre	chapter	N;MASC;SG	N;SG
tient	holds	tenir	hold	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
cordialement	sincerely	cordialement	sincerely	ADV	ADV
cordialement	cordially	cordialement	cordially	ADV	ADV
drapeau	flag	drapeau	flag	N;MASC;SG	N;SG
utilisés	used	utiliser	use	V;MASC;PL;PST;V.PTCP	V;PST;V.PTCP
application	application	application	application	N;FEM;SG	N;SG
application	app	application	app	N;FEM;SG	N;SG
responsable	responsible	responsable	responsible	ADJ;MASC;SG	ADJ
circuit	circuit	circuit	circuit	N;MASC;SG	N;SG
japonaise	japanese	japonais	japanese	ADJ;FEM;SG	ADJ
banque	banking	banque	banking	N;FEM;SG	N;SG
banque	bank	banque	bank	N;FEM;SG	N;SG
décédé	died	décéder	die	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN
décédé	deceased	décéder	decease	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
danse	dance	danse	dance	N;FEM;SG	N;SG
danse	dancing	danse	dancing	N;FEM;SG	N;SG
désigner	nominate	désigner	nominate	V;NFIN	V;IMP;FIN
désigner	designate	désigner	designate	V;NFIN	V;IMP;FIN
développé	developed	développer	develop	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
systèmes	systems	système	system	N;MASC;PL	N;PL
élèves	students	élève	student	N;MASC;PL	N;PL
élèves	pupils	élève	pupil	N;MASC;PL	N;PL
officiellement	formally	officiellement	formally	ADV	ADV
officiellement	officially	officiellement	officially	ADV	ADV
remplacé	substituted	remplacer	substitute	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
remplacé	replaced	remplacer	replace	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
fleuve	river	fleuve	river	N;MASC;SG	N;SG
univers	universe	univers	universe	N;MASC;SG	N;SG
villages	villages	village	village	N;MASC;PL	N;PL
critiques	critics	critique	critic	N;MASC;PL	N;PL
critiques	reviews	critique	review	N;MASC;PL	N;PL
vraiment	truly	vraiment	truly	ADV	ADV
vraiment	really	vraiment	really	ADV	ADV
argentine	argentine	argentin	argentine	ADJ;FEM;SG	ADJ
salon	lounge	salon	lounge	N;MASC;SG	N;SG
salon	salon	salon	salon	N;MASC;SG	N;SG
écriture	writing	écriture	writing	N;FEM;SG	N;SG
écriture	handwriting	écriture	handwriting	N;FEM;SG	N;SG
libération	liberation	libération	liberation	N;FEM;SG	N;SG
libération	release	libération	release	N;FEM;SG	N;SG
entièrement	fully	entièrement	fully	ADV	ADV
entièrement	completely	entièrement	completely	ADV	ADV
entièrement	entirely	entièrement	entirely	ADV	ADV
largement	widely	largement	widely	ADV	ADV
réunion	meeting	réunion	meeting	N;FEM;SG	N;SG
réunion	reunion	réunion	reunion	N;FEM;SG	N;SG
chasse	hunting	chasse	hunt	N;FEM;SG	N;SG
chasse	hunt	chasse	hunt	N;FEM;SG	N;SG
paru	appeared	paraître	appear	V;MASC;SG;PST;V.PTCP	V;IND;PST;FIN
processus	process	processus	process	N;MASC;SG	N;SG
gaz	gas	gaz	gas	N;MASC;SG	N;SG
catégories	categories	catégorie	category	N;FEM;PL	N;PL
propres	own	propre	own	ADJ;MASC;PL	ADJ
régulièrement	regularly	régulièrement	regularly	ADV	ADV
véritable	real	véritable	real	ADJ;MASC;SG	ADJ
véritable	genuine	véritable	genuine	ADJ;MASC;SG	ADJ
véritable	true	véritable	true	ADJ;MASC;SG	ADJ
rapide	rapid	rapide	rapid	ADJ;MASC;SG	ADJ
rapide	fast	rapide	fast	ADJ;MASC;SG	ADJ
rapide	quick	rapide	quick	ADJ;MASC;SG	ADJ
agriculture	agriculture	agriculture	agriculture	N;FEM;SG	N;SG
traduit	translated	traduire	translate	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
traduit	translate	traduire	translate	V;MASC;SG;PST;V.PTCP	V;IMP;FIN
chœur	choir	chœur	choir	N;MASC;SG	N;SG
chœur	chorus	chœur	chorus	N;MASC;SG	N;SG
décret	decree	décret	decree	N;MASC;SG	N;SG
naturelle	natural	naturel	natural	ADJ;FEM;SG	ADJ
plantes	plants	plante	plant	N;FEM;PL	N;PL
permettre	allow	permettre	allow	V;NFIN	V;IMP;FIN
nommée	named	nommer	name	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
résidence	residence	résidence	residence	N;FEM;SG	N;SG
fusion	merger	fusion	merger	N;FEM;SG	N;SG
fusion	fusion	fusion	fusion	N;FEM;SG	N;SG
fusion	melting	fusion	melting	N;FEM;SG	N;SG
critères	criteria	critère	criterion	N;MASC;PL	N;PL
commandement	commandment	commandement	commandment	N;MASC;SG	N;SG
commandement	command	commandement	command	N;MASC;SG	N;SG
portrait	portrait	portrait	portrait	N;MASC;SG	N;SG
choses	things	chose	thing	N;FEM;PL	N;PL
sang	blood	sang	blood	N;MASC;SG	N;SG
indique	indicates	indiquer	indicate	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
yeux	eyes	oeil	eye	N;MASC;PL	N;PL
désigne	designates	désigner	designate	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
types	types	type	type	N;MASC;PL	N;PL
reprise	resumed	reprendre	resume	V;FEM;SG;PST;V.PTCP	V;PST;FIN
reprise	reprise	reprendre	reprise	V;FEM;SG;PST;V.PTCP	V;IMP;FIN
évolue	evolves	évoluer	evolve	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
prédécesseur	predecessor	prédécesseur	predecessor	N;MASC;SG	N;SG
retraite	retirement	retraite	retirement	N;FEM;SG	N;SG
retraite	pension	retraite	pension	N;FEM;SG	N;SG
retraite	retreat	retraite	retreat	N;FEM;SG	N;SG
description	description	description	description	N;FEM;SG	N;SG
table	table	table	table	N;FEM;SG	N;SG
magnitude	magnitude	magnitude	magnitude	N;FEM;SG	N;SG
emploi	employment	emploi	employment	N;MASC;SG	N;SG
promotion	promotion	promotion	promotion	N;FEM;SG	N;SG
alliance	alliance	alliance	alliance	N;FEM;SG	N;SG
obtenu	obtained	obtenir	obtain	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
unités	units	unité	unit	N;FEM;PL	N;PL
importantes	important	important	important	ADJ;FEM;PL	ADJ
faune	wildlife	faune	wildlife	N;FEM;SG	N;SG
faune	fauna	faune	fauna	N;FEM;SG	N;SG
faune	hiking	faune	hike	N;FEM;SG	N;SG
faite	made	faire	make	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
faite	done	faire	do	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
participé	attended	participer	attend	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
participé	participated	participer	participate	V;MASC;SG;PST;V.PTCP	V;PST;V.PTCP
actions	shares	action	share	N;FEM;PL	N;PL
actions	actions	action	action	N;FEM;PL	N;PL
contributeurs	contributors	contributeur	contributor	N;MASC;PL	N;PL
biographie	bio	biographie	bio	N;FEM;SG	N;SG
biographie	biography	biographie	biography	N;FEM;SG	N;SG
effets	effects	effet	effect	N;MASC;PL	N;PL
explique	explains	expliquer	explain	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
blocage	locking	blocage	lock	N;MASC;SG	N;SG
blocage	blocking	blocage	block	N;MASC;SG	N;SG
blocage	block	blocage	block	N;MASC;SG	N;SG
nœud	node	nœud	node	N;MASC;SG	N;SG
nœud	knot	nœud	knot	N;MASC;SG	N;SG
serbe	serb	serbe	serb	ADJ;MASC;SG	ADJ
serbe	serbian	serbe	serbian	ADJ;MASC;SG	ADJ
événements	events	événement	event	N;MASC;PL	N;PL
atelier	workshop	atelier	workshop	N;MASC;SG	N;SG
atelier	atelier	atelier	atelier	N;MASC;SG	N;SG
raisons	reasons	raison	reason	N;FEM;PL	N;PL
bout	bout	bout	bout	N;MASC;SG	N;SG
cent	hundred	cent	hundred	NUM	NUM
voiture	car	voiture	car	N;FEM;SG	N;SG
agent	agent	agent	agent	N;MASC;SG	N;SG
débute	begins	débuter	begin	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
débute	starts	débuter	start	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
écrite	written	écrire	write	V;FEM;SG;PST;V.PTCP	V;PST;V.PTCP
chute	waterfall	chute	waterfall	N;FEM;SG	N;SG
chute	fall	chute	fall	N;FEM;SG	N;SG
chute	falling	chute	falling	N;FEM;SG	N;SG
communiste	communist	communiste	communist	ADJ;MASC;SG	ADJ
présentation	presentation	présentation	presentation	N;FEM;SG	N;SG
étranger	foreigner	étranger	foreigner	N;MASC;SG	N;SG
étranger	stranger	étranger	stranger	N;MASC;SG	N;SG
documentaire	documentary	documentaire	documentary	N;MASC;SG	N;SG
cartes	cards	carte	card	N;FEM;PL	N;PL
cartes	maps	carte	map	N;FEM;PL	N;PL
sièges	seats	siège	seat	N;MASC;PL	N;PL
couple	couple	couple	couple	N;MASC;SG	N;SG
couple	torque	couple	torque	N;MASC;SG	N;SG
publics	public	public	public	ADJ;MASC;PL	ADJ
col	collar	col	collar	N;MASC;SG	N;SG
métro	subway	métro	subway	N;MASC;SG	N;SG
mines	mines	mine	mine	N;FEM;PL	N;PL
conférence	conference	conférence	conference	N;FEM;SG	N;SG
conférence	lecture	conférence	lecture	N;FEM;SG	N;SG
mains	hands	main	hand	N;FEM;PL	N;PL
locaux	local	local	local	ADJ;MASC;PL	ADJ
