gefasst	抓到	fassen	抓到	V;V.PTCP	V
argumentiert	爭論	argumentieren	爭論	V;V.PTCP	V
mäßig	溫和	mäßig	溫和	ADJ	ADJ
anpassen	定制	anpassen	定制	V;NFIN	V
anpassen	調整	anpassen	調整	V;NFIN	V
anpassen	適應	anpassen	適應	V;NFIN	V
abhandlung	作文	abhandlung	作文	N;SG	N
abhandlung	論文	abhandlung	論文	N;SG	N
abhandlung	作文	abhandlung	作文	N;SG	N
abgestimmt	匹配	abstimmen	匹配	V;V.PTCP	V
ladung	負載	ladung	負載	N;SG	N
ladung	貨運	ladung	貨運	N;SG	N
ladung	貨物	ladung	貨物	N;SG	N
ladung	貨	ladung	貨	N;SG	N
ladung	傳票	ladung	傳票	N;SG	N
ladung	傳訊	ladung	傳訊	N;SG	N
kranken	生病	krank	生病	V;NFIN	V
reife	成熟	reif	成熟	N;NOM;FEM;PL	N
reife	成熟	reif	成熟	N;NOM;FEM;PL	N
reife	成熟	reif	成熟	N;NOM;FEM;PL	N
fenstern	視	fenstern	視	V;NFIN	V
warnung	警告	warnung	警告	N;NOM;SG	N
warnung	警報	warnung	警報	N;NOM;SG	N
warnung	警示	warnung	警示	N;NOM;SG	N
warnung	警告	warnung	警告	N;NOM;SG	N
gleichfalls	同樣	gleichfalls	同樣	ADV	ADV
geboten	投標	bieten|gebieten	投標	V;V.PTCP	V
geboten	出價	bieten|gebieten	出價	V;V.PTCP	V
geboten	競標	bieten|gebieten	競標	V;V.PTCP	V
geboten	投標	bieten|gebieten	投標	V;V.PTCP	V
geboten	出價	bieten|gebieten	出價	V;V.PTCP	V
erlass	法令	erlassen	法令	N;SG	N
erlass	政令	erlassen	政令	N;SG	N
erlass	法令	erlassen	法令	N;SG	N
erlass	政令	erlassen	政令	N;SG	N
unglück	災害	unglück	災害	N;NOM;NEUT;SG	N
unglück	災難	unglück	災難	N;NOM;NEUT;SG	N
unglück	苦難	unglück	苦難	N;NOM;NEUT;SG	N
verteidigt	捍衛	verteidigen	捍衛	V;V.PTCP	V
verteidigt	保衛	verteidigen	保衛	V;V.PTCP	V
verteidigt	捍衛	verteidigen	捍衛	V;V.PTCP	V
kongresses	國會	kongreß	國會	N;NOM;NEUT;SG	N
verschwörung	陰謀	verschwörung	陰謀	N;NOM;FEM;SG	N
kennzeichnung	標記	kennzeichnung	標記	N;NOM;FEM;SG	N
kennzeichnung	標識	kennzeichnung	標識	N;NOM;FEM;SG	N
kennzeichnung	標籤	kennzeichnung	標籤	N;NOM;FEM;SG	N
schmal	狹窄	schmal	狹窄	ADJ	ADJ
aufbauen	建	aufbauen	建	V;NFIN	V
aufbauen	建立	aufbauen	建立	V;NFIN	V
geschieden	離異	scheiden	離異	V;V.PTCP	V
geschieden	離婚	scheiden	離婚	V;V.PTCP	V
einfaches	簡單	einfach	簡單	ADJ;NOM;NEUT;SG	ADJ
wiederholung	重復	wiederholung	重復	N;NOM;FEM;SG	N
beschwerden	投訴	beschwerden	投訴	V;NFIN	V
beschwerden	控訴	beschwerden	控訴	V;NFIN	V
beschwerden	投訴	beschwerden	投訴	V;NFIN	V
gebrochen	斷裂	brechen	斷裂	V;V.PTCP	V
fachzeitschriften	期刊	fachzeitschrift	期刊	N;NOM;FEM;PL	N
fachzeitschriften	期刊	fachzeitschrift	期刊	N;NOM;FEM;PL	N
küsten	海岸	küsten	海岸	N;PL	N
küsten	沿海	küsten	沿海	N;PL	N
küsten	海岸	küsten	海岸	N;PL	N
empfehle	推薦	empfehlen	推薦	V;IND;SG;3;PRS;FIN	V
optimal	最佳	optimal	最佳	ADJ	ADJ
optimal	最佳	optimal	最佳	ADJ	ADJ
versprechen	允諾	versprechen	允諾	V;NFIN	V
versprechen	許諾	versprechen	許諾	V;NFIN	V
versprechen	許諾	versprechen	許諾	V;NFIN	V
vernichtung	毀滅	vernichtung	毀滅	N;NOM;FEM;SG	N
unzureichend	不足	unzureichend	不足	ADJ	ADJ
unzureichend	不足	unzureichend	不足	ADJ	ADJ
unzureichend	不足	unzureichend	不足	ADJ	ADJ
untersagt	禁止	untersagen	禁止	V;V.PTCP	V
untersagt	違禁	untersagen	違禁	V;V.PTCP	V
untersagt	禁止	untersagen	禁止	V;V.PTCP	V
träume	夢幻	träumen	夢幻	ADJ;NOM	ADJ
integrierte	積分	integrieren	積分	V;IND;SG;3;PST;FIN	V
schießen	拍攝	schießen	拍攝	V;NFIN	V
schießen	拍	schießen	拍	V;NFIN	V
schießen	拍攝	schießen	拍攝	V;NFIN	V
erobern	征服	erobern	征服	V;NFIN	V
erobern	征服	erobern	征服	V;NFIN	V
divisionen	師團	division	師團	N;NOM;PL	N
vorstandsvorsitzender	總	vorstandsvorsitzender	總	ADJ	ADJ
buslinien	公車	buslinien	公車	N;PL	N
buslinien	巴士	buslinien	巴士	N;PL	N
buslinien	公車	buslinien	公車	N;PL	N
buslinien	巴士	buslinien	巴士	N;PL	N
fängt	捕捉	fängen	捕捉	V;IND;SG;3;PRS;FIN	V
fängt	捕獲	fängen	捕獲	V;IND;SG;3;PRS;FIN	V
schwachen	虛弱	schwachen	虛弱	ADJ	ADJ
schwachen	軟弱	schwachen	軟弱	ADJ	ADJ
schwachen	薄弱	schwachen	薄弱	ADJ	ADJ
moderierte	主辦	moderieren	主辦	V;IND;SG;3;PST;FIN	V
fachgebiet	特殊	fachgebieten	特殊	ADJ	ADJ
geringfügig	稍	geringfügig	稍	ADJ	ADJ
katzen	貓	katzen	貓	N;NOM;PL	N
katzen	貓咪	katzen	貓咪	N;NOM;PL	N
katzen	貓	katzen	貓	N;NOM;PL	N
gestört	困擾	stören	困擾	V;V.PTCP	V
versicherung	保險	versicherung	保險	N;NOM;FEM;SG	N
versicherung	保險	versicherung	保險	N;NOM;FEM;SG	N
vollständigkeit	完整	vollständigkeit	完整	ADJ	ADJ
ausschnitt	摘錄	ausschneiden	摘錄	V;IND;SG;3;PRS;FIN	V
zuhause	首頁	zuhause	首頁		
berührt	感動	berühren	感動	V;V.PTCP	V
gespannt	激動	spannen	激動	ADJ	ADJ
optik	光學	optik	光學	N;SG	N
dreißig	三十	dreißig	三十	NUM	NUM
verurteilung	量	verurteilung	量	N;NOM;FEM;SG	N
verurteilung	信念	verurteilung	信念	N;NOM;FEM;SG	N
beseitigen	消除	beseitigen	消除	V;NFIN	V
beseitigen	根除	beseitigen	根除	V;NFIN	V
zeugnis	證言	zeugnis	證言	N;NOM;NEUT;SG	N
zeugnis	憑證	zeugnis	憑證	N;NOM;NEUT;SG	N
zeugnis	證書	zeugnis	證書	N;NOM;NEUT;SG	N
zeugnis	證言	zeugnis	證言	N;NOM;NEUT;SG	N
zeugnis	證詞	zeugnis	證詞	N;NOM;NEUT;SG	N
dicken	厚厚	dick	厚厚	ADJ	ADJ
wirkungen	影響	wirkingen	影響	V;NFIN	V
wirkungen	影響	wirkingen	影響	V;NFIN	V
erhebungen	調查	erhebungen	調查	V;NFIN	V
missionen	任務	missionen	任務	N;NOM;FEM;PL	N
fossilien	化石	fossilien	化石	N;NOM;FEM;PL	N
fossilien	化石	fossilien	化石	N;NOM;FEM;PL	N
flughäfen	機場	flughäfen	機場	N;PL	N
flughäfen	機場	flughäfen	機場	N;PL	N
ärger	憤怒	ärger	憤怒	ADJ	ADJ
anschauen	觀看	anschauen	觀看	V;NFIN	V
anschauen	觀看	anschauen	觀看	V;NFIN	V
uniform	制服	uniform	制服	N;NOM;SG	N
uniform	軍服	uniform	軍服	N;NOM;SG	N
uniform	制服	uniform	制服	N;NOM;SG	N
uniform	軍裝	uniform	軍裝	N;NOM;SG	N
dauerhafte	耐用	dauerhaft	耐用	ADJ;NOM;FEM;SG	ADJ
fressen	吃	freß	吃	V;NFIN	V
fressen	飲食	freß	飲食	V;NFIN	V
fressen	進食	freß	進食	V;NFIN	V
fressen	吃	freß	吃	V;NFIN	V
fressen	吃	freß	吃	V;NFIN	V
