年	año	年	año	N	N;MASC;SG
西南	suroeste	西南	suroeste	N	N;MASC;SG
西南	sudoeste	西南	sudoeste	N	N;MASC;SG
西南	suroeste	西南	suroeste	N	N;MASC;SG
翼	tsubasa	翼	tsubasar	N	N;FEM;SG
翼	wing	翼	wing	N	N
翼	alas	翼	ala	N	N;FEM;PL
翼	wings	翼	wings	N	N
翼	alitas	翼	alita	N	N;FEM;PL
十一	once	十一	once	NUM	NUM;PL
協會	asociación	協會	asociación	N	N;FEM;SG
協會	association	協會	association	N	N;FEM;SG
文學	literarios	文學	literario	N	N;MASC;PL
文學	literatura	文學	literatura	N	N;FEM;SG
頻道	canales	頻道	canal	N	N;MASC;PL
頻道	canal	頻道	canal	N	N;MASC;SG
頻道	canales	頻道	canal	N	N;MASC;PL
頻道	channel	頻道	channel	N	N;SG
少年	teen	少年	tener	N	N
少年	adolescente	少年	adolescente	N	N;SG
少年	adolescentes	少年	adolescente	N	N;PL
少年	júnior	少年	júnior	N	N;MASC;SG
少年	junior	少年	junior	N	N;SG
大家	todos	大家	todo	PRO	PRO;MASC;PL
股份	acciones	股份	acción	N	N;FEM;PL
紀錄	registro	紀錄	registro	N	N;MASC;SG
紀錄	récord	紀錄	récord	N	N;MASC;SG
紀錄	actas	紀錄	acta	N	N;FEM;PL
紀錄	registros	紀錄	registro	N	N;MASC;PL
紀錄	discos	紀錄	disco	N	N;MASC;PL
紀錄	records	紀錄	records	N	N;MASC
影片	films	影片	film	N	N;MASC;PL
影片	peliculas	影片	pelicula	N	N;FEM;PL
影片	cine	影片	cine	N	N;MASC;SG
影片	películas	影片	película	N	N;FEM;PL
影片	pelicula	影片	pelicula	N	N;FEM;SG
影片	cine	影片	cine	N	N;MASC;SG
影片	movie	影片	movie	N	N;SG
影片	película	影片	película	N	N;FEM;SG
影片	vídeo	影片	vídeo	N	N;MASC;SG
影片	video	影片	video	N	N;MASC;SG
影片	pelicula	影片	pelicula	N	N;FEM;SG
影片	cine	影片	cine	N	N;MASC;SG
影片	película	影片	película	N	N;FEM;SG
影片	film	影片	film	N	N;MASC;SG
身份	identidades	身份	identidad	N	N;FEM;PL
身份	identidad	身份	identidad	N	N;FEM;SG
身份	identidad	身份	identidad	N	N;FEM;SG
義	justicia	義	justicia	N	N;FEM;SG
義	rectitud	義	rectitud	N	N;FEM;SG
基地	bases	基地	base	N	N;PL
基地	fundamentos	基地	fundamento	N	N;MASC;PL
基地	base	基地	base	N	N;SG
文件	files	文件	fil	N	N
文件	archivos	文件	archivo	N	N;MASC;PL
文件	expedientes	文件	expediente	N	N;MASC;PL
文件	ficheros	文件	fichero	N	N;MASC;PL
文件	fichero	文件	fichero	N	N;MASC;SG
文件	expediente	文件	expediente	N	N;MASC;SG
文件	archivo	文件	archivo	N	N;MASC;SG
電視	drama	電視	drama	N	N;MASC;SG
藍	blue	藍	blue	N	N
居住	residence	居住	residence	V	V;IND;SG;3;PRS;FIN
力量	fortaleza	力量	fortaleza	N	N;FEM;SG
力量	fuerza	力量	fuerza	N	N;FEM;SG
板	planchas	板	plancha	N	N;FEM;PL
板	placas	板	placa	N	N;FEM;PL
板	chapas	板	chapa	N	N;FEM;PL
板	platos	板	plato	N	N;MASC;PL
板	placa	板	placa	N	N;FEM;SG
板	placas	板	placa	N	N;FEM;PL
板	plato	板	plato	N	N;MASC;SG
板	tableros	板	tablero	N	N;MASC;PL
板	tablas	板	tabla	N	N;FEM;PL
船	barco	船	barco	N	N;MASC;SG
船	nave	船	nave	N	N;FEM;SG
船	buque	船	buque	N	N;MASC;SG
船	barca	船	barca	N	N;FEM;SG
船	barco	船	barco	N	N;MASC;SG
船	embarcación	船	embarcación	N	N;FEM;SG
船	bote	船	bote	N	N;MASC;SG
船	lancha	船	lancha	N	N;FEM;SG
文章	articulos	文章	articulo	N	N;MASC;PL
文章	artículos	文章	artículo	N	N;MASC;PL
意見	dictámenes	意見	dictamen	N	N;MASC;PL
意見	opiniones	意見	opinión	N	N;FEM;PL
意見	observaciones	意見	observación	N	N;FEM;PL
意見	comentarios	意見	comentario	N	N;MASC;PL
意見	comentario	意見	comentario	N	N;MASC;SG
意見	opinion	意見	opinion	N	N;FEM;SG
意見	dictamen	意見	dictamen	N	N;MASC;SG
意見	opinión	意見	opinión	N	N;FEM;SG
公主	infanta	公主	infantar	N	N;FEM;SG
公主	princesas	公主	princesa	N	N;FEM;PL
公主	princess	公主	princess	N	N
公主	princesa	公主	princesa	N	N;FEM;SG
同意	coincidir	同意	coincidir	V	V;NFIN
同意	acordar	同意	acordar	V	V;NFIN
同意	convenir	同意	convenir	V	V;NFIN
果	frutos	果	fruto	N	N;MASC;PL
果	fruto	果	fruto	N	N;MASC;SG
果	fruta	果	fruta	N	N;FEM;SG
果	frutas	果	fruta	N	N;FEM;PL
最多	máximo	最多	máximo	ADJ	ADJ;MASC;SG
地下	subsuelo	地下	subsuelo	N	N;MASC;SG
地下	underground	地下	underground	N	N;MASC;SG
十	diez	十	diez	NUM	NUM;PL
銀行	banks	銀行	bank	N	N
銀行	bancos	銀行	banco	N	N;MASC;PL
銀行	banca	銀行	banca	N	N;FEM;SG
銀行	banco	銀行	banco	N	N;MASC;SG
銀行	bank	銀行	bank	N	N
媒體	media	媒體	media	N	N;FEM;SG
媒體	medios	媒體	medio	N	N;MASC;PL
陵	mausoleo	陵	mausoleo	N	N;MASC;SG
拍攝	disparar	拍攝	disparar	V	V;NFIN
拍攝	dispara	拍攝	disparar	V	V;IND;SG;3;PRS;FIN
拍攝	disparen	拍攝	disparar	V	V;IMP;PL;3;FIN
拍攝	filmando	拍攝	filmar	V	V;V.MSDR
拍攝	grabando	拍攝	grabar	V	V;V.MSDR
旗	pabellones	旗	pabellón	N	N;MASC;PL
旗	banderas	旗	bandera	N	N;FEM;PL
旗	flag	旗	flag	N	N;SG
旗	bandera	旗	bandera	N	N;FEM;SG
旗	pancarta	旗	pancarta	N	N;FEM;SG
旗	estandarte	旗	estandarte	N	N;MASC;SG
旗	bandera	旗	bandera	N	N;FEM;SG
旗	banner	旗	banner	N	N;MASC;SG
行星	planet	行星	planet	N	N;SG
行星	planeta	行星	planeta	N	N;MASC;SG
行星	planetarios	行星	planetario	N	N;MASC;PL
行星	planetas	行星	planeta	N	N;MASC;PL
作者	escritora	作者	escritora	N	N;FEM;SG
作者	escritor	作者	escritor	N	N;MASC;SG
作者	writer	作者	writer	N	N;MASC;SG
作者	autores	作者	autor	N	N;MASC;PL
作者	guionistas	作者	guionista	N	N;PL
作者	escritores	作者	escritor	N	N;MASC;PL
作者	redactores	作者	redactor	N	N;MASC;PL
作者	autor	作者	autor	N	N;MASC;SG
作者	autora	作者	autora	N	N;FEM;SG
皇家	royal	皇家	royal	N	N;MASC;SG
皇家	realeza	皇家	realeza	N	N;FEM;SG
電子	electrones	電子	electrón	N	N;MASC;PL
電子	electrón	電子	electrón	N	N;MASC;SG
電子	electronic	電子	electronic	N	N;MASC;SG
三十	treinta	三十	treinta	NUM	NUM;PL
範圍	ámbitos	範圍	ámbito	N	N;MASC;PL
範圍	alcances	範圍	alcanze	N	N;MASC;PL
範圍	gamas	範圍	gama	N	N;FEM;PL
範圍	rangos	範圍	rango	N	N;MASC;PL
範圍	intervalos	範圍	intervalo	N	N;MASC;PL
範圍	alcance	範圍	alcance	N	N;MASC;SG
範圍	intervalo	範圍	intervalo	N	N;MASC;SG
範圍	gama	範圍	gama	N	N;FEM;SG
範圍	rango	範圍	rango	N	N;MASC;SG
範圍	cordillera	範圍	cordillera	N	N;FEM;SG
黨	parte	黨	parte	N	N;FEM;SG
黨	partido	黨	partido	N	N;MASC;SG
黨	fiesta	黨	fiesta	N	N;FEM;SG
黨	party	黨	party	N	N
微	micro	微	micro		
教堂	iglesias	教堂	iglesia	N	N;FEM;PL
教堂	iglesia	教堂	iglesia	N	N;FEM;SG
警察	policía	警察	policía	N	N;SG
警察	police	警察	police	N	N
警察	policia	警察	policia	N	N;FEM;SG
警察	policías	警察	policía	N	N;PL
帝國	imperio	帝國	imperio	N	N;MASC;SG
帝國	empire	帝國	empire	N	N
原本	originalmente	原本	originalmente	ADV	ADV
原本	originariamente	原本	originariamente	ADV	ADV
娛樂	esparcimiento	娛樂	esparcimiento	N	N;MASC;SG
娛樂	ocio	娛樂	ocio	N	N;MASC;SG
娛樂	recreo	娛樂	recreo	N	N;MASC;SG
娛樂	recreación	娛樂	recreación	N	N;FEM;SG
娛樂	entretenimiento	娛樂	entretenimiento	N	N;MASC;SG
娛樂	espectáculos	娛樂	espectáculo	N	N;MASC;PL
坡	ladera	坡	ladera	N	N;FEM;SG
坡	poe	坡	poe	N	N;SG
方案	programa	方案	programa	N	N;MASC;SG
方案	programas	方案	programa	N	N;MASC;PL
方案	programas	方案	programa	N	N;MASC;PL
方案	programa	方案	programa	N	N;MASC;SG
屋	house	屋	house	N	N;MASC;SG
屋	casita	屋	casita	N	N;FEM;SG
屋	casa	屋	casa	N	N;FEM;SG
部隊	tropas	部隊	tropa	N	N;FEM;PL
部隊	contingentes	部隊	contingente	N	N;PL
部隊	efectivos	部隊	efectivo	N	N;MASC;PL
部隊	tropa	部隊	tropa	N	N;FEM;SG
詞	word	詞	word	N	N
詞	palabra	詞	palabra	N	N;FEM;SG
詞	palabras	詞	palabra	N	N;FEM;PL
宮	palacio	宮	palacio	N	N;MASC;SG
宮	palace	宮	palace	N	N;MASC;SG
影	sombras	影	sombra	N	N;FEM;PL
影	sombra	影	sombra	N	N;FEM;SG
影	sombras	影	sombra	N	N;FEM;PL
影	sombra	影	sombra	N	N;FEM;SG
影	shadow	影	shadow	N	N
速	rapidez	速	rapidez	N	N;FEM;SG
速	celeridad	速	celeridad	N	N;FEM;SG
速	speed	速	speed	N	N
速	velocidad	速	velocidad	N	N;FEM;SG
會議	conferencia	會議	conferencia	N	N;FEM;SG
會議	reuniones	會議	reunión	N	N;FEM;PL
會議	encuentros	會議	encuentro	N	N;MASC;PL
會議	reunión	會議	reunión	N	N;FEM;SG
會議	encuentro	會議	encuentro	N	N;MASC;SG
會議	reuniones	會議	reunión	N	N;FEM;PL
資訊	información	資訊	información	N	N;FEM;SG
資訊	informacion	資訊	informacion	N	N;FEM;SG
資訊	informaciones	資訊	información	N	N;FEM;PL
戰鬥	batalla	戰鬥	batalla	N	N;FEM;SG
戰鬥	combate	戰鬥	combate	N	N;MASC;SG
戰鬥	batallas	戰鬥	batalla	N	N;FEM;PL
戰鬥	combates	戰鬥	combate	N	N;MASC;PL
戰鬥	peleas	戰鬥	pelea	N	N;FEM;PL
戰鬥	lucha	戰鬥	lucha	N	N;FEM;SG
戰鬥	fighting	戰鬥	fighting	N	N
戰鬥	pelea	戰鬥	pelea	N	N;FEM;SG
戰鬥	fight	戰鬥	fight	N	N
戰鬥	lucha	戰鬥	lucha	N	N;FEM;SG
項目	project	項目	project	N	N
項目	proyecto	項目	proyecto	N	N;MASC;SG
項目	ítems	項目	ítems	N	N;MASC;PL
項目	articulos	項目	articulo	N	N;MASC;PL
項目	artículos	項目	artículo	N	N;MASC;PL
項目	proyectos	項目	proyecto	N	N;MASC;PL
項目	projects	項目	project	N	N
項目	elemento	項目	elemento	N	N;MASC;SG
項目	artículo	項目	artículo	N	N;MASC;SG
玩家	player	玩家	player	N	N;SG
玩家	reproductor	玩家	reproductor	N	N;MASC;SG
玩家	jugador	玩家	jugador	N	N;MASC;SG
玩家	jugadora	玩家	jugadora	N	N;FEM;SG
玩家	gamer	玩家	gamer	N	N
玩家	jugador	玩家	jugador	N	N;MASC;SG
玩家	jugadores	玩家	jugador	N	N;MASC;PL
玩家	reproductores	玩家	reproductor	N	N;MASC;PL
限制	limite	限制	limitar	V	V;SBJV;SG;3;PRS;FIN
限制	limitar	限制	limitar	V	V;NFIN
電腦	computadora	電腦	computador	N	N;FEM;SG
電腦	ordenador	電腦	ordenador	N	N;MASC;SG
電腦	informática	電腦	informática	N	N;FEM;SG
電腦	computadoras	電腦	computador	N	N;FEM;PL
電腦	ordenadores	電腦	ordenador	N	N;MASC;PL
電腦	informática	電腦	informática	N	N;FEM;SG
電腦	computadores	電腦	computador	N	N;MASC;PL
電腦	computadoras	電腦	computador	N	N;FEM;PL
電腦	ordenadores	電腦	ordenador	N	N;MASC;PL
引擎	motores	引擎	motor	N	N;MASC;PL
引擎	motor	引擎	motor	N	N;MASC;SG
引擎	motores	引擎	motor	N	N;MASC;PL
執行	ejecuta	執行	ejecuto	V	V;IND;SG;3;PRS;FIN
執行	ejecute	執行	ejecutar	V	V;SBJV;SG;3;PRS;FIN
執行	ejecutar	執行	ejecutar	V	V;NFIN
執行	ejecutando	執行	ejecutar	V	V;V.MSDR
英雄	heroes	英雄	heroe	N	N;MASC;PL
英雄	héroes	英雄	héroe	N	N;MASC;PL
英雄	heroe	英雄	heroe	N	N;MASC;SG
英雄	hero	英雄	hero	N	N;MASC;SG
英雄	héroe	英雄	héroe	N	N;MASC;SG
下午	tardes	下午	tarde	N	N;FEM;PL
透過	mediante	透過	mediante	ADP	ADP
興	xing	興	xing	N	N
小時	horarios	小時	horario	N	N;MASC;PL
小時	horas	小時	hora	N	N;FEM;PL
小時	horario	小時	horario	N	N;MASC;SG
小時	hora	小時	hora	N	N;FEM;SG
不足	insuficiente	不足	insuficiente	ADJ	ADJ;SG
不足	insuficientes	不足	insuficiente	ADJ	ADJ;PL
不足	insuficientes	不足	insuficiente	ADJ	ADJ;PL
不足	inadecuado	不足	inadecuado	ADJ	ADJ;MASC;SG
不足	inadecuada	不足	inadecuado	ADJ	ADJ;FEM;SG
不足	insuficiente	不足	insuficiente	ADJ	ADJ;SG
不足	inadecuados	不足	inadecuado	ADJ	ADJ;MASC;PL
不足	inadecuadas	不足	inadecuado	ADJ	ADJ;FEM;PL
體育	deportes	體育	deporte	N	N;MASC;PL
體育	sport	體育	sport	N	N
體育	deporte	體育	deporte	N	N;MASC;SG
體育	deportes	體育	deporte	N	N;MASC;PL
體育	deporte	體育	deporte	N	N;MASC;SG
元素	elementos	元素	elemento	N	N;MASC;PL
元素	ingredientes	元素	ingrediente	N	N;MASC;PL
元素	elemento	元素	elemento	N	N;MASC;SG
王朝	dinastía	王朝	dinastía	N	N;FEM;SG
區域	zona	區域	zona	N	N;FEM;SG
區域	zone	區域	zone	N	N
區域	superficie	區域	superficie	N	N;FEM;SG
區域	zona	區域	zona	N	N;FEM;SG
區域	area	區域	area	N	N;FEM;SG
區域	área	區域	área	N	N;FEM;SG
區域	region	區域	region	N	N;FEM;SG
區域	comarca	區域	comarca	N	N;FEM;SG
區域	región	區域	región	N	N;FEM;SG
區域	regiones	區域	región	N	N;FEM;PL
報	periódico	報	periódico	N	N;MASC;SG
報	periodico	報	periodico	N	N;MASC;SG
報	periódicos	報	periódico	N	N;MASC;PL
分子	molécula	分子	molécula	N	N;FEM;SG
分子	moléculas	分子	molécula	N	N;FEM;PL
隧道	túnel	隧道	túnel	N	N;MASC;SG
隧道	tunel	隧道	tunel	N	N;MASC;SG
隧道	túneles	隧道	túnel	N	N;MASC;PL
禮	rito	禮	rito	N	N;MASC;SG
雜誌	cargador	雜誌	cargador	N	N;MASC;SG
雜誌	magazine	雜誌	magazine	N	N;SG
雜誌	revista	雜誌	revista	N	N;FEM;SG
雜誌	revistas	雜誌	revista	N	N;FEM;PL
雜誌	cargadores	雜誌	cargador	N	N;MASC;PL
雜誌	revistas	雜誌	revista	N	N;FEM;PL
平台	andén	平台	andén	N	N;MASC;SG
平台	plataforma	平台	plataforma	N	N;FEM;SG
平台	plataformas	平台	plataforma	N	N;FEM;PL
平台	plataformas	平台	plataforma	N	N;FEM;PL
概念	concepto	概念	concepto	N	N;MASC;SG
概念	noción	概念	noción	N	N;FEM;SG
概念	conceptos	概念	concepto	N	N;MASC;PL
概念	nociones	概念	noción	N	N;FEM;PL
議會	parlamento	議會	parlamento	N	N;MASC;SG
議會	parlamentos	議會	parlamento	N	N;MASC;PL
傳統	tradición	傳統	tradición	N	N;FEM;SG
傳統	tradiciones	傳統	tradición	N	N;FEM;PL
傳統	tradiciones	傳統	tradición	N	N;FEM;PL
夏季	summer	夏季	summer	N	N
夏季	verano	夏季	verano	N	N;MASC;SG
照片	fotografias	照片	fotografia	N	N;FEM;PL
照片	fotos	照片	foto	N	N;FEM;PL
照片	fotografías	照片	fotografía	N	N;FEM;PL
照片	foto	照片	foto	N	N;FEM;SG
照片	fotografía	照片	fotografía	N	N;FEM;SG
照片	fotografia	照片	fotografia	N	N;FEM;SG
照片	imagenes	照片	imagen	N	N;FEM;PL
照片	fotos	照片	foto	N	N;FEM;PL
照片	fotografías	照片	fotografía	N	N;FEM;PL
照片	cuadros	照片	cuadro	N	N;MASC;PL
照片	imágenes	照片	imagen	N	N;FEM;PL
照片	fotos	照片	foto	N	N;FEM;PL
照片	fotografías	照片	fotografía	N	N;FEM;PL
照片	fotografía	照片	fotografía	N	N;FEM;SG
照片	photo	照片	photo	N	N
照片	foto	照片	foto	N	N;FEM;SG
核	núcleos	核	núcleo	N	N;MASC;PL
核	núcleo	核	núcleo	N	N;MASC;SG
更名	renombrar	更名	renombrar	V	V;NFIN
停止	pare	停止	parir	V	V;SBJV;SG;3;PRS;FIN
停止	detener	停止	detener	V	V;NFIN
停止	parar	停止	parar	V	V;NFIN
劍	espadas	劍	espada	N	N;FEM;PL
劍	espada	劍	espada	N	N;FEM;SG
劍	espada	劍	espada	N	N;FEM;SG
機構	agencia	機構	agencia	N	N;FEM;SG
機構	agency	機構	agency	N	N
機構	instituciones	機構	institución	N	N;FEM;PL
機構	institución	機構	institución	N	N;FEM;SG
帶	trae	帶	traer	V	V;IND;SG;3;PRS;FIN
帶	traiga	帶	traiga	V	V;IMP;SG;3;FIN
帶	traer	帶	traer	V	V;NFIN
帶	traigan	帶	traigar	V	V;IMP;PL;3;FIN
取消	anular	取消	anular	V	V;NFIN
取消	cancelar	取消	cancelar	V	V;NFIN
人類	humanos	人類	humanos	N	N
人類	humanos	人類	humanos	N	N
市場	mercado	市場	mercado	N	N;MASC;SG
市場	mercados	市場	mercado	N	N;MASC;PL
市場	mercado	市場	mercado	N	N;MASC;SG
市場	market	市場	market	N	N
接近	acercarse	接近	acercarse	V	V;SBJV;SG;3;PRS;FIN
接近	aproximándose	接近	aproximánose	V	V;IND;SG;3;PRS;FIN
飛	fly	飛	fly	N	N
飛	mosca	飛	mosca	N	N;FEM;SG
飛	flying	飛	flying	N	N;SG
飛	vuelo	飛	vuelo	N	N;MASC;SG
軍事	ejército	軍事	ejército	N	N;MASC;SG
軍事	militares	軍事	militar	N	N;PL
協助	asista	協助	asistir	V	V;SBJV;SG;3;FIN
協助	asistir	協助	asistir	V	V;NFIN
橋	bridge	橋	bridge	N	N;MASC;SG
橋	puente	橋	puente	N	N;MASC;SG
橋	bridges	橋	bridge	N	N
橋	puentes	橋	puente	N	N;MASC;PL
調查	investigar	調查	investigar	V	V;NFIN
調查	investiga	調查	investigar	V	V;IND;SG;3;PRS;FIN
調查	investigue	調查	investigar	V	V;IMP;SG;3;FIN
調查	investiguen	調查	investigar	V	V;IMP;PL;3;FIN
投	reparto	投	reparto	N	N;MASC;SG
投	elenco	投	elenco	N	N;MASC;SG
投	brea	投	brea	N	N;FEM;SG
主教	alfil	主教	alfil	N	N;MASC;SG
主教	bishop	主教	bishop	N	N;MASC;SG
主教	obispo	主教	obispo	N	N;MASC;SG
紀念	recuerdo	紀念	recordar	V	V;IND;SG;1;PRS;FIN
地點	lugar	地點	lugar	N	N;MASC;SG
地點	lugar	地點	lugar	N	N;MASC;SG
地點	place	地點	place	N	N
地點	lugar	地點	lugar	N	N;MASC;SG
地點	ubicacion	地點	ubicacion	N	N;FEM;SG
地點	ubicación	地點	ubicación	N	N;FEM;SG
地點	emplazamiento	地點	emplazamiento	N	N;MASC;SG
地點	localización	地點	localización	N	N;FEM;SG
地點	sitios	地點	sitio	N	N;MASC;PL
地點	lugares	地點	lugar	N	N;MASC;PL
地點	localidades	地點	localidad	N	N;FEM;PL
地點	plazas	地點	plaza	N	N;FEM;PL
地點	localizaciones	地點	localización	N	N;FEM;PL
地點	ubicaciones	地點	ubicación	N	N;FEM;PL
地點	lugares	地點	lugar	N	N;MASC;PL
地點	localidades	地點	localidad	N	N;FEM;PL
颱風	tifones	颱風	tifón	N	N;MASC;PL
颱風	tifón	颱風	tifón	N	N;MASC;SG
決賽	finales	決賽	final	N	N;MASC;PL
決賽	final	決賽	final	N	N;MASC;SG
決賽	finales	決賽	final	N	N;MASC;PL
決賽	final	決賽	final	N	N;MASC;SG
大臣	ministro	大臣	ministro	N	N;MASC;SG
大臣	pastor	大臣	pastor	N	N;MASC;SG
大臣	ministra	大臣	ministra	N	N;FEM;SG
移動	mover	移動	mover	V	V;NFIN
移動	muévete	移動	muévete	V	V;IND;SG;2;PRS;FIN
陸軍	ejército	陸軍	ejército	N	N;MASC;SG
陸軍	army	陸軍	army	N	N
陸軍	ejercito	陸軍	ejercito	N	N;MASC;SG
法院	tribunal	法院	tribunal	N	N;MASC;SG
法院	tribunales	法院	tribunal	N	N;MASC;PL
法院	court	法院	court	N	N;MASC;SG
法院	tribunales	法院	tribunal	N	N;MASC;PL
法院	cortes	法院	corte	N	N;MASC;PL
留	quédate	留	quédate	V	V;IND;SG;2;PRS;FIN
留	quedo	留	quedar	V	V;IND;SG;1;PRS;FIN
留	quedate	留	quedate	V	V;IND;SG;2;PRS;FIN
電	electricidad	電	electricidad	N	N;FEM;SG
電	electrico	電	electrico	N	N;MASC;SG
電	electrica	電	electrica	N	N;FEM;SG
電	electricidad	電	electricidad	N	N;FEM;SG
效力	potencia	效力	potencia	N	N;FEM;SG
夢	dream	夢	dream	N	N
夢	sueño	夢	sueño	N	N;MASC;SG
夢	dreams	夢	dreams	N	N
夢	sueños	夢	sueño	N	N;MASC;PL
科學	ciencia	科學	ciencia	N	N;FEM;SG
科學	ciencias	科學	ciencia	N	N;FEM;PL
科學	científicos	科學	científico	N	N;MASC;PL
東北	noreste	東北	noreste	N	N;MASC;SG
東北	noreste	東北	noreste	N	N;MASC;SG
東北	nordeste	東北	nordeste	N	N;MASC;SG
啟用	activar	啟用	activar	V	V;NFIN
啟用	habilitar	啟用	habilitar	V	V;NFIN
啟用	activar	啟用	activar	V	V;NFIN
皇后	emperatriz	皇后	emperatriz	N	N;FEM;SG
皇后	queen	皇后	quear	N	N;SG
皇后	reina	皇后	reina	N	N;FEM;SG
柱	columna	柱	columna	N	N;FEM;SG
柱	pilar	柱	pilar	N	N;SG
動物	animales	動物	animal	N	N;MASC;PL
動物	animales	動物	animal	N	N;MASC;PL
動物	animal	動物	animal	N	N;MASC;SG
佛教	budismo	佛教	budismo	N	N;MASC;SG
佛教	budismo	佛教	budismo	N	N;MASC;SG
佛教	budistas	佛教	budista	N	N;PL
精神	espíritu	精神	espíritu	N	N;MASC;SG
精神	spirit	精神	spirit	N	N
精神	espiritu	精神	espiritu	N	N;MASC;SG
企業	empresas	企業	empresa	N	N;FEM;PL
企業	enterprises	企業	enterpris	N	N;FEM
企業	empresas	企業	empresa	N	N;FEM;PL
企業	comercios	企業	comercio	N	N;MASC;PL
企業	negocios	企業	negocio	N	N;MASC;PL
企業	empresa	企業	empresa	N	N;FEM;SG
企業	negocio	企業	negocio	N	N;MASC;SG
企業	negocios	企業	negocio	N	N;MASC;PL
企業	empresa	企業	empresa	N	N;FEM;SG
企業	enterprise	企業	enterprir	N	N;SG
核心	core	核心	corer	N	N
核心	núcleo	核心	núcleo	N	N;MASC;SG
核心	núcleos	核心	núcleo	N	N;MASC;PL
核心	núcleo	核心	núcleo	N	N;MASC;SG
核心	kernel	核心	kernel	N	N;MASC;SG
核心	núcleo	核心	núcleo	N	N;MASC;SG
環境	medioambiente	環境	medioambiente	N	N;MASC;SG
環境	ambiente	環境	ambiente	N	N;MASC;SG
環境	entorno	環境	entorno	N	N;MASC;SG
環境	entornos	環境	entorno	N	N;MASC;PL
環境	ambientes	環境	ambiente	N	N;MASC;PL
冰	hielo	冰	hielo	N	N;MASC;SG
飛機	avión	飛機	avión	N	N;MASC;SG
飛機	aeronaves	飛機	aeronave	N	N;FEM;PL
飛機	aviones	飛機	avión	N	N;MASC;PL
飛機	aeronave	飛機	aeronave	N	N;FEM;SG
飛機	avión	飛機	avión	N	N;MASC;SG
飛機	plano	飛機	plano	N	N;MASC;SG
飛機	avion	飛機	avion	N	N;MASC;SG
飛機	avión	飛機	avión	N	N;MASC;SG
飛機	avion	飛機	avion	N	N;MASC;SG
飛機	aeroplano	飛機	aeroplano	N	N;MASC;SG
應	debería	應	deber	V	V;COND;SG;3;FIN
應	deberían	應	deber	V	V;COND;PL;3;FIN
太陽	sun	太陽	sun	N	N;SG
太陽	sol	太陽	sol	N	N;MASC;SG
太陽	solares	太陽	solar	N	N;MASC;PL
太陽	solar	太陽	solar	N	N;MASC;SG
廳	vestíbulo	廳	vestíbulo	N	N;MASC;SG
廳	pasillo	廳	pasillo	N	N;MASC;SG
廳	hall	廳	hall	N	N;MASC;SG
廳	salón	廳	salón	N	N;MASC;SG
竹	bambú	竹	bambú	N	N;MASC;SG
選擇	elija	選擇	elegir	V	V;IND;SG;3;PRS;FIN
選擇	escoja	選擇	escoger	V	V;SBJV;SG;3;PRS;FIN
選擇	elegir	選擇	elegir	V	V;NFIN
選擇	elige	選擇	elegir	V	V;IND;SG;3;PRS;FIN
選擇	seleccione	選擇	seleccionar	V	V;IMP;SG;3;FIN
選擇	seleccione	選擇	seleccionar	V	V;IMP;SG;3;FIN
選擇	seleccionar	選擇	seleccionar	V	V;NFIN
選擇	selecciona	選擇	seleccionar	V	V;IND;SG;3;PRS;FIN
選擇	elegir	選擇	elegir	V	V;NFIN
珠	cuentas	珠	cuenta	N	N;FEM;PL
珠	perlas	珠	perla	N	N;FEM;PL
眼	ojitos	眼	ojito	N	N;MASC;PL
眼	ojos	眼	ojo	N	N;MASC;PL
眼	eyes	眼	eye	N	N
眼	ojo	眼	ojo	N	N;MASC;SG
妻子	esposa	妻子	esposa	N	N;FEM;SG
妻子	mujer	妻子	mujer	N	N;FEM;SG
雨	lluvia	雨	lluvia	N	N;FEM;SG
雨	lluvias	雨	lluvia	N	N;FEM;PL
編號	numeración	編號	numeración	N	N;FEM;SG
編號	número	編號	número	N	N;MASC;SG
編號	numero	編號	numero	N	N;MASC;SG
亭	quiosco	亭	quiosco	N	N;MASC;SG
思想	pensamiento	思想	pensamiento	N	N;MASC;SG
思想	pensamiento	思想	pensamiento	N	N;MASC;SG
思想	pensamientos	思想	pensamiento	N	N;MASC;PL
重建	reconstruyendo	重建	reconstruir	V	V;V.MSDR
重建	reconstruir	重建	reconstruir	V	V;NFIN
洋	hiroshi	洋	hiroshi	N	N;MASC;SG
洋	océano	洋	océano	N	N;MASC;SG
洋	mar	洋	mar	N	N;SG
洋	oceano	洋	oceano	N	N;MASC;SG
公民	civic	公民	civic	N	N;MASC;SG
公民	ciudadanos	公民	ciudadano	N	N;MASC;PL
公民	ciudadanas	公民	ciudadana	N	N;FEM;PL
公民	ciudadanas	公民	ciudadana	N	N;FEM;PL
公民	ciudadana	公民	ciudadana	N	N;FEM;SG
公民	ciudadano	公民	ciudadano	N	N;MASC;SG
公民	ciudadanos	公民	ciudadano	N	N;MASC;PL
改善	mejorando	改善	mejorar	V	V;V.MSDR
改善	mejorar	改善	mejorar	V	V;NFIN
改善	mejoró	改善	mejorar	V	V;IND;SG;3;PST;FIN
改善	mejore	改善	mejorar	V	V;IMP;SG;3;FIN
改善	mejorar	改善	mejorar	V	V;NFIN
鐵道	ferrocarril	鐵道	ferrocarril	N	N;MASC;SG
鐵道	ferrocarriles	鐵道	ferrocarril	N	N;MASC;PL
