का	de	का	de	ADP;NOM;MASC;SG	ADP
पीछे	atrás	पीछे	atrás	ADV;NOM;MASC;SG;3	ADV
पीछे	detrás	पीछे	detrás	ADV;NOM;MASC;SG;3	ADV
पीछे	atrás	पीछे	atrás	ADV;NOM;MASC;SG;3	ADV
दल	festas	दल	festa	N;NOM;MASC;SG;3	N
दल	partidos	दल	partido	N;NOM;MASC;SG;3	N
दल	tripulación	दल	tripulación	N;NOM;MASC;SG;3	N
दल	equipo	दल	equipo	N;NOM;MASC;SG;3	N
दल	festa	दल	festa	N;NOM;MASC;SG;3	N
दल	partido	दल	partido	N;NOM;MASC;SG;3	N
मीटर	metros	मीटर	metro	N;NOM;MASC;SG;3	N
क्रिया	acción	क्रिया	acción	N;NOM;FEM;SG;3	N
क्रिया	accións	क्रिया	acción	N;NOM;FEM;SG;3	N
क्रिया	actividade	क्रिया	actividade	N;NOM;FEM;SG;3	N
कॉलेज	universidade	कॉलेज	universidade	N;NOM;MASC;SG;3	N
कॉलेज	na	कॉलेज	na	N;NOM;MASC;SG;3	N
कॉलेज	estudantes	कॉलेज	estudantes	N;NOM;MASC;SG;3	N
कॉलेज	facultade	कॉलेज	facultade	N;NOM;MASC;SG;3	N
कॉलेज	colexio	कॉलेज	colexio	N;NOM;MASC;SG;3	N
विवाह	casamento	विवाह	casamento	N;NOM;MASC;SG;3	N
विवाह	matrimonio	विवाह	matrimonio	N;NOM;MASC;SG;3	N
विवाह	voda	विवाह	vodo	N;NOM;MASC;SG;3	N
विवाह	matrimonio	विवाह	matrimonio	N;NOM;MASC;SG;3	N
विवाह	noiva	विवाह	noiva	N;NOM;MASC;SG;3	N
बनाए	creamos	बना	crear	V;PFV;MASC;PL;V.PTCP;ACT	V
बनाए	creou	बना	crear	V;PFV;MASC;PL;V.PTCP;ACT	V
बनाए	creado	बना	crear	V;PFV;MASC;PL;V.PTCP;ACT	V
बनाए	creei	बना	crear	V;PFV;MASC;PL;V.PTCP;ACT	V
बनाए	creados	बना	crear	V;PFV;MASC;PL;V.PTCP;ACT	V
सुधार	reforma	सुधार	reforma	N;NOM;MASC;SG;3	N
सुधार	vexas	सुधार	vexa	N;NOM;MASC;SG;3	N
दिनों	días	दिन	día	N;NOM;MASC;PL;3	N
बच्चों	nenos	बच्चा	neno	N;ACC;MASC;PL;3	N
बच्चों	fillos	बच्चा	fillo	N;ACC;MASC;PL;3	N
बच्चों	rapaces	बच्चा	rapaz	N;ACC;MASC;PL;3	N
बच्चों	mozos	बच्चा	mozo	N;ACC;MASC;PL;3	N
प्रौद्योगिकी	tecnoloxía	प्रौद्योगिकी	tecnoloxía	N;NOM;FEM;SG;3	N
महत्व	importancia	महत्व	importancia	N;NOM;MASC;SG;3	N
रह	quedar	रह	quedar	V;ACT	V
रह	quedará	रह	quedar	V;ACT	V
नियम	regras	नियम	regra	N;NOM;MASC;SG;3	N
नियम	normas	नियम	norma	N;NOM;MASC;SG;3	N
नियम	norma	नियम	norma	N;NOM;MASC;SG;3	N
नियम	regra	नियम	regra	N;NOM;MASC;SG;3	N
जन्मे	nacín	जन्मा	nacín	V;MASC;IND;SG;3;FIN;ACT	V
जन्मे	naceu	जन्मा	nacer	V;MASC;IND;SG;3;FIN;ACT	V
जन्मे	nacer	जन्मा	nacer	V;MASC;IND;SG;3;FIN;ACT	V
जन्मे	naciches	जन्मा	naciches	V;MASC;IND;SG;3;FIN;ACT	V
जन्मे	nacen	जन्मा	nacer	V;MASC;IND;SG;3;FIN;ACT	V
शब्दों	palabras	शब्द	palabra	N;ACC;MASC;PL;3	N
शब्दों	verbas	शब्द	verba	N;ACC;MASC;PL;3	N
स्वास्थ्य	saúde	स्वास्थ्य	saúde	N;NOM;MASC;SG;3	N
सहायक	axudante	सहायक	axudante	N;NOM;MASC;SG;3	N
सहायक	axuda	सहायक	axuda	N;NOM;MASC;SG;3	N
उल्लेख	mención	उल्लेख	mención	N;NOM;MASC;SG;3	N
जिसने	quen	जो	quen	PRO;SG;3	PRO
जिसने	que	जो	que	PRO;SG;3	PRO
धीरे	lentamente	धीरे	lentamente	ADV	ADV
धीरे	despacio	धीरे	despacio	ADV	ADV
धीरे	pouco	धीरे	pouco	ADV	ADV
सार्वजनिक	público	सार्वजनिक	público	ADJ	ADJ
सार्वजनिक	pública	सार्वजनिक	público	ADJ	ADJ
सार्वजनिक	públicos	सार्वजनिक	público	ADJ	ADJ
सार्वजनिक	públicas	सार्वजनिक	público	ADJ	ADJ
खिलाफ	en	खिलाफ	en	ADP	ADP
खिलाफ	contra	खिलाफ	contra	ADP	ADP
सफल	exitosos	सफल	exitoso	ADJ	ADJ
पहचान	identificación	पहचान	identificación	N;NOM;FEM;SG;3	N
पहचान	documento	पहचान	documento	N;NOM;FEM;SG;3	N
पहचान	identidade	पहचान	identidade	N;NOM;FEM;SG;3	N
पहचान	identidade	पहचान	identidade	N;NOM;FEM;SG;3	N
राष्ट्र	nacións	राष्ट्र	nación	N;NOM;MASC;SG;3	N
राष्ट्र	nación	राष्ट्र	nación	N;NOM;MASC;SG;3	N
राष्ट्र	país	राष्ट्र	país	N;NOM;MASC;SG;3	N
संग्रह	colección	संग्रह	colección	N;NOM;MASC;SG;3	N
भीतर	dentro	भीतर	dentro	ADV;NOM;MASC;SG;3	ADV
भीतर	dentro	भीतर	dentro	ADV;NOM;MASC;SG;3	ADV
मौजूद	actual	मौजूद	actual	ADJ	ADJ
मौजूद	presente	मौजूद	presente	ADJ	ADJ
मौजूद	presentes	मौजूद	presente	ADJ	ADJ
मुझे	me	मैं	me	PRO;SG;1	PRO
रक्त	sangue	रक्त	sangue	N;NOM;MASC;SG;3	N
सम्मान	respeto	सम्मान	respeto	N;NOM;MASC;SG;3	N
सम्मान	respecto	सम्मान	respecto	N;NOM;MASC;SG;3	N
सम्मान	honor	सम्मान	honor	N;NOM;MASC;SG;3	N
सम्मान	honra	सम्मान	honra	N;NOM;MASC;SG;3	N
सम्मान	señoría	सम्मान	señor	N;NOM;MASC;SG;3	N
नृत्य	baile	नृत्य	baile	N;NOM;MASC;SG;3	N
नृत्य	danza	नृत्य	danza	N;NOM;MASC;SG;3	N
सामूहिक	colectiva	सामूहिक	colectivo	ADJ;NOM	ADJ
स्रोत	fonte	स्रोत	fonte	N;NOM;MASC;SG;3	N
स्रोत	orixe	स्रोत	orixe	N;NOM;MASC;SG;3	N
स्रोत	fontes	स्रोत	fonte	N;NOM;MASC;SG;3	N
संकेत	sinal	संकेत	sinal	N;NOM;MASC;SG;3	N
संकेत	símbolo	संकेत	símbolo	N;NOM;MASC;SG;3	N
संकेत	indicios	संकेत	indicio	N;NOM;MASC;SG;3	N
बताया	díxome	बता	díxome	V;PFV;MASC;SG;V.PTCP;ACT	V
बताया	dixo	बता	dicir	V;PFV;MASC;SG;V.PTCP;ACT	V
बताया	dixen	बता	dixir	V;PFV;MASC;SG;V.PTCP;ACT	V
स्वतंत्रता	liberdade	स्वतन्त्रता	liberdade	N;NOM;FEM;SG;3	N
स्वतंत्रता	liberdade	स्वतन्त्रता	liberdade	N;NOM;FEM;SG;3	N
स्वतंत्रता	libertade	स्वतन्त्रता	libertade	N;NOM;FEM;SG;3	N
स्वतंत्रता	independencia	स्वतन्त्रता	independencia	N;NOM;FEM;SG;3	N
विद्यालय	escolas	विद्यालय	escola	N;NOM;MASC;SG;3	N
विद्यालय	instituto	विद्यालय	instituto	N;NOM;MASC;SG;3	N
विद्यालय	escola	विद्यालय	escola	N;NOM;MASC;SG;3	N
विद्यालय	colexio	विद्यालय	colexio	N;NOM;MASC;SG;3	N
विशाल	enormes	विशाल	enorme	ADJ;NOM	ADJ
विशाल	enorme	विशाल	enorme	ADJ;NOM	ADJ
विशाल	gran	विशाल	gran	ADJ;NOM	ADJ
विशाल	xigante	विशाल	xigante	ADJ;NOM	ADJ
विशाल	grande	विशाल	grande	ADJ;NOM	ADJ
विशाल	enorme	विशाल	enorme	ADJ;NOM	ADJ
विशाल	enormes	विशाल	enorme	ADJ;NOM	ADJ
विशाल	grande	विशाल	grande	ADJ;NOM	ADJ
विशाल	gran	विशाल	gran	ADJ;NOM	ADJ
विशाल	grandes	विशाल	grande	ADJ;NOM	ADJ
विशाल	amplo	विशाल	amplo	ADJ;NOM	ADJ
विशाल	gran	विशाल	gran	ADJ;NOM	ADJ
कानून	leis	कानून	lei	N;NOM;MASC;SG;3	N
कानून	lei	कानून	lei	N;NOM;MASC;SG;3	N
कानून	leis	कानून	lei	N;NOM;MASC;SG;3	N
महान	xenial	महान	xenial	ADJ	ADJ
महान	gran	महान	gran	ADJ	ADJ
महान	grande	महान	grande	ADJ	ADJ
महान	grandes	महान	grande	ADJ	ADJ
बल	forza	बल	forza	N;NOM;MASC;SG;3	N
बल	policía	बल	policía	N;NOM;MASC;SG;3	N
बल	exército	बल	exército	N;NOM;MASC;SG;3	N
भाई	irmán	भाई	irmán	N;NOM;MASC;SG;3	N
उपचार	tratamento	उपचार	tratamento	N;NOM;MASC;SG;3	N
उपचार	tratamentos	उपचार	tratamento	N;NOM;MASC;SG;3	N
उपचार	trato	उपचार	trato	N;NOM;MASC;SG;3	N
उपचार	tratamentos	उपचार	tratamento	N;NOM;MASC;SG;3	N
अवस्था	estado	अवस्था	estado	N;NOM;FEM;SG;3	N
निजी	persoais	निजी	persoal	ADJ;NOM	ADJ
निजी	privadas	निजी	privado	ADJ;NOM	ADJ
निजी	privado	निजी	privado	ADJ;NOM	ADJ
निजी	privada	निजी	privado	ADJ;NOM	ADJ
निजी	privados	निजी	privado	ADJ;NOM	ADJ
निर्णय	xuízo	निर्णय	xuízo	N;NOM;MASC;SG;3	N
निर्णय	decisión	निर्णय	decisión	N;NOM;MASC;SG;3	N
निर्णय	decisións	निर्णय	decisión	N;NOM;MASC;SG;3	N
मिला	atopei	मिल	atopar	V;PFV;MASC;SG;V.PTCP;ACT	V
मिला	atopamos	मिल	atopar	V;PFV;MASC;SG;V.PTCP;ACT	V
मिला	atoparon	मिल	atopar	V;PFV;MASC;SG;V.PTCP;ACT	V
मिला	atopou	मिल	atopar	V;PFV;MASC;SG;V.PTCP;ACT	V
मिला	teño	मिल	ter	V;PFV;MASC;SG;V.PTCP;ACT	V
मिला	tes	मिल	tes	V;PFV;MASC;SG;V.PTCP;ACT	V
मिला	ten	मिल	ter	V;PFV;MASC;SG;V.PTCP;ACT	V
मिला	temos	मिल	ter	V;PFV;MASC;SG;V.PTCP;ACT	V
घंटे	horas	घंटा	hora	N;NOM;MASC;SG;3	N
मुक्त	libre	मुक्त	libre	ADJ	ADJ
मुक्त	libres	मुक्त	libre	ADJ	ADJ
मनुष्य	home	मनुष्य	home	N;NOM;MASC;SG;3	N
उपकरण	ferramenta	उपकरण	ferramenta	N;NOM;MASC;PL;3	N
उपकरण	ferramentas	उपकरण	ferramenta	N;NOM;MASC;PL;3	N
उपकरण	mecanismos	उपकरण	mecanismo	N;NOM;MASC;PL;3	N
उपकरण	dispositivos	उपकरण	dispositivo	N;NOM;MASC;PL;3	N
उपकरण	aparellos	उपकरण	aparello	N;NOM;MASC;PL;3	N
उपकरण	utensilios	उपकरण	utensilio	N;NOM;MASC;PL;3	N
उपकरण	equipamento	उपकरण	equipamento	N;NOM;MASC;PL;3	N
उपकरण	aparello	उपकरण	aparello	N;NOM;MASC;PL;3	N
उपकरण	dispositivo	उपकरण	dispositivo	N;NOM;MASC;PL;3	N
उपकरण	historias	उपकरण	historia	N;NOM;MASC;PL;3	N
उपकरण	mecanismo	उपकरण	mecanismo	N;NOM;MASC;PL;3	N
उपकरण	ferramentas	उपकरण	ferramenta	N;NOM;MASC;PL;3	N
उपन्यास	novela	उपन्यास	novelar	N;NOM;MASC;SG;3	N
ऑफिस	oficina	ऑफिस	oficinar	N;NOM;MASC;SG;3	N
ऑफिस	despacho	ऑफिस	despacho	N;NOM;MASC;SG;3	N
ऑफिस	correo	ऑफिस	correo	N;NOM;MASC;SG;3	N
बदलाव	cambio	बदलाव	cambio	N;NOM;MASC;SG;3	N
अनुमति	permiso	अनुमति	permiso	N;NOM;FEM;SG;3	N
नीति	política	नीति	política	N;NOM;FEM;SG;3	N
नीति	póliza	नीति	póliza	N;NOM;FEM;SG;3	N
गांव	aldea	गाँव	aldea	N;NOM;MASC;SG;3	N
गांव	pobo	गाँव	pobo	N;NOM;MASC;SG;3	N
गांव	vila	गाँव	vila	N;NOM;MASC;SG;3	N
बैंड	banda	बैंड	banda	N;NOM;MASC;SG;3	N
नया	novo	नया	novo	ADJ;NOM;MASC;SG	ADJ
नया	novas	नया	novo	ADJ;NOM;MASC;SG	ADJ
नया	nova	नया	novo	ADJ;NOM;MASC;SG	ADJ
नया	novos	नया	novo	ADJ;NOM;MASC;SG	ADJ
पर्वत	montaña	पर्वत	montaña	N;NOM;MASC;SG;3	N
सूर्य	sol	सूर्य	sol	N;NOM;MASC;SG;3	N
अनुवाद	tradución	अनुवाद	tradución	N;NOM;MASC;SG;3	N
समुदाय	comunidades	समुदाय	comunidade	N;NOM;MASC;SG;3	N
समुदाय	comunidade	समुदाय	comunidade	N;NOM;MASC;SG;3	N
स्वतंत्र	independente	स्वतंत्र	independente	ADJ;NOM	ADJ
टीवी	televisión	टीवी	televisión	N;NOM;MASC;SG;3	N
टीवी	tele	टीवी	telar	N;NOM;MASC;SG;3	N
टीवी	programa	टीवी	programa	N;NOM;MASC;SG;3	N
टीवी	televisión	टीवी	televisión	N;NOM;MASC;SG;3	N
टीवी	tele	टीवी	telar	N;NOM;MASC;SG;3	N
चला	correr	चल	correr	V;PFV;MASC;SG;V.PTCP;ACT	V
चला	corre	चल	currir	V;PFV;MASC;SG;V.PTCP;ACT	V
पक्ष	lado	पक्ष	lado	N;NOM;MASC;SG;3	N
दृश्य	opinións	दृश्य	opinión	N;NOM;MASC;SG;3	N
दृश्य	escena	दृश्य	escenar	N;NOM;MASC;SG;3	N
दृश्य	escea	दृश्य	escear	N;NOM;MASC;SG;3	N
दृश्य	vista	दृश्य	vista	N;NOM;MASC;SG;3	N
दृश्य	opinión	दृश्य	opinión	N;NOM;MASC;SG;3	N
दृश्य	punto	दृश्य	punto	N;NOM;MASC;SG;3	N
दृश्य	visión	दृश्य	visión	N;NOM;MASC;SG;3	N
भोजन	comida	भोजन	comida	N;NOM;MASC;SG;3	N
भोजन	alimentos	भोजन	alimento	N;NOM;MASC;SG;3	N
भोजन	cea	भोजन	cear	N;NOM;MASC;SG;3	N
भोजन	comida	भोजन	comida	N;NOM;MASC;SG;3	N
मॉडल	modelos	मॉडल	modelo	N;NOM;MASC;SG;3	N
मॉडल	modelo	मॉडल	modelo	N;NOM;MASC;SG;3	N
प्रांत	provincia	प्रांत	provincia	N;NOM;MASC;SG;3	N
पांच	5	पांच	5	NUM	NUM
उससे	el	वह	el	PRO;SG;3	PRO
उससे	lle	वह	lle	PRO;SG;3	PRO
मन	mente	मन	mente	N;NOM;MASC;SG;3	N
उम्र	anos	उम्र	ano	N;NOM;FEM;SG;3	N
उम्र	idade	उम्र	idade	N;NOM;FEM;SG;3	N
सक्रिय	activas	सक्रिय	activo	ADJ	ADJ
आया	chegou	आ	chegar	V;PFV;MASC;SG;V.PTCP;ACT	V
आया	veu	आ	vir	V;PFV;MASC;SG;V.PTCP;ACT	V
निश्चित	claro	निश्चित	claro	ADJ;NOM	ADJ
अभिनेत्री	actriz	अभिनेत्री	actriz	N;NOM;FEM;SG;3	N
छोड़	deixar	छोड	deixar	V;ACT	V
वस्तु	materiais	वस्तु	material	N;NOM;FEM;SG;3	N
वस्तु	material	वस्तु	material	N;NOM;FEM;SG;3	N
वस्तु	prima	वस्तु	prima	N;NOM;FEM;SG;3	N
वस्तु	obxecto	वस्तु	obxecto	N;NOM;FEM;SG;3	N
वस्तु	obxectos	वस्तु	obxecto	N;NOM;FEM;SG;3	N
अध्यक्ष	presidente	अध्यक्ष	presidente	N;NOM;MASC;SG;3	N
अध्यक्ष	vicepresidente	अध्यक्ष	vicepresidente	N;NOM;MASC;SG;3	N
अध्यक्ष	falante	अध्यक्ष	falante	N;NOM;MASC;SG;3	N
अध्यक्ष	presidente	अध्यक्ष	presidente	N;NOM;MASC;SG;3	N
राज्यों	estados	राज्य	estado	N;ACC;MASC;PL;3	N
मामले	casos	मामला	caso	N;NOM;MASC;PL;3	N
मामले	caixas	मामला	caixa	N;NOM;MASC;PL;3	N
विजेता	gañadores	विजेता	gañador	N;NOM;MASC;SG;3	N
बाजार	mercado	बाजार	mercado	N;NOM;MASC;SG;3	N
बाजार	mercados	बाजार	mercado	N;NOM;MASC;SG;3	N
बाजार	feira	बाजार	feira	N;NOM;MASC;SG;3	N
वास्तविक	real	वास्तविक	real	ADJ;NOM	ADJ
वास्तविक	real	वास्तविक	real	ADJ;NOM	ADJ
चैनल	canle	चैनल	canle	N;NOM;MASC;SG;3	N
उत्पाद	produto	उत्पाद	produto	N;NOM;MASC;SG;3	N
उत्पाद	produtos	उत्पाद	produto	N;NOM;MASC;SG;3	N
उत्पाद	orixe	उत्पाद	orixe	N;NOM;MASC;SG;3	N
सात	7	सात	7	NUM	NUM
समुद्र	mares	समुद्र	mar	N;NOM;MASC;SG;3	N
समुद्र	mar	समुद्र	mar	N;NOM;MASC;SG;3	N
समुद्र	mar	समुद्र	mar	N;NOM;MASC;SG;3	N
समाचार	noticias	समाचार	noticia	N;NOM;MASC;SG;3	N
समाचार	noticia	समाचार	noticia	N;NOM;MASC;SG;3	N
समस्या	problema	समस्या	problema	N;NOM;FEM;SG;3	N
समस्या	tema	समस्या	tema	N;NOM;FEM;SG;3	N
समस्या	problema	समस्या	problema	N;NOM;FEM;SG;3	N
वीडियो	vídeo	वीडियो	vídeo	N;NOM;MASC;SG;3	N
वीडियो	video	वीडियो	video	N;NOM;MASC;SG;3	N
वीडियो	videoxogos	वीडियो	videoxogos	N;NOM;MASC;SG;3	N
वीडियो	vídeos	वीडियो	vídeos	N;NOM;MASC;SG;3	N
संभव	posible	संभव	posible	ADJ	ADJ
संभव	posíbel	संभव	posíbel	ADJ	ADJ
नेटवर्क	rede	नेटवर्क	rede	N;NOM;MASC;SG;3	N
घटना	incidente	घटना	incidente	N;NOM;FEM;SG;3	N
घटना	accidente	घटना	accidente	N;NOM;FEM;SG;3	N
घटना	acontecemento	घटना	acontecemento	N;NOM;FEM;SG;3	N
घटना	eventos	घटना	evento	N;NOM;FEM;SG;3	N
घटना	evento	घटना	evento	N;NOM;FEM;SG;3	N
घटना	suceso	घटना	suceso	N;NOM;FEM;SG;3	N
घटना	fenómeno	घटना	fenómeno	N;NOM;FEM;SG;3	N
प्रकृति	natureza	प्रकृति	natureza	N;NOM;FEM;SG;3	N
मूल्य	prezos	मूल्य	prezo	N;NOM;MASC;SG;3	N
मूल्य	prezo	मूल्य	prezo	N;NOM;MASC;SG;3	N
मूल्य	precio	मूल्य	precio	N;NOM;MASC;SG;3	N
मूल्य	caché	मूल्य	caché	N;NOM;MASC;SG;3	N
मूल्य	valor	मूल्य	valor	N;NOM;MASC;SG;3	N
मूल्य	valor	मूल्य	valor	N;NOM;MASC;SG;3	N
मूल्य	revenda	मूल्य	revenda	N;NOM;MASC;SG;3	N
क्लब	clube	क्लब	clubar	N;NOM;MASC;SG;3	N
क्लब	salvavidas	क्लब	salvavidas	N;NOM;MASC;SG;3	N
क्लब	club	क्लब	club	N;NOM;MASC;SG;3	N
समिति	comité	समिति	comité	N;NOM;FEM;SG;3	N
राजनीति	política	राजनीति	política	N;NOM;FEM;SG;3	N
राजनीति	políticas	राजनीति	política	N;NOM;FEM;SG;3	N
चरण	paso	चरण	paso	N;NOM;MASC;SG;3	N
चरण	escala	चरण	escala	N;NOM;MASC;SG;3	N
चरण	fases	चरण	fase	N;NOM;MASC;SG;3	N
चरण	pasos	चरण	paso	N;NOM;MASC;SG;3	N
चरण	escenario	चरण	escenario	N;NOM;MASC;SG;3	N
चरण	etapa	चरण	etapa	N;NOM;MASC;SG;3	N
चरण	palco	चरण	palco	N;NOM;MASC;SG;3	N
नाटक	drama	नाटक	dramar	N;NOM;MASC;SG;3	N
विरोध	protesto	विरोध	protesto	N;NOM;MASC;SG;3	N
विरोध	protesta	विरोध	protesta	N;NOM;MASC;SG;3	N
विरोध	contraste	विरोध	contraste	N;NOM;MASC;SG;3	N
विरोध	oposición	विरोध	oposición	N;NOM;MASC;SG;3	N
विरोध	conflito	विरोध	conflito	N;NOM;MASC;SG;3	N
अनुभव	experiencias	अनुभव	experiencia	N;NOM;MASC;SG;3	N
अनुभव	experiencia	अनुभव	experiencia	N;NOM;MASC;SG;3	N
संरचना	estrutura	संरचना	estrutura	N;NOM;FEM;SG;3	N
संरचना	rede	संरचना	rede	N;NOM;FEM;SG;3	N
सीमित	limitado	सीमित	limitado	ADJ	ADJ
सीमित	limitada	सीमित	limitado	ADJ	ADJ
पत्रिका	revistas	पत्रिका	revista	N;NOM;FEM;SG;3	N
पत्रिका	revista	पत्रिका	revista	N;NOM;FEM;SG;3	N
पत्रिका	revista	पत्रिका	revista	N;NOM;FEM;SG;3	N
तेल	petróleo	तेल	petróleo	N;NOM;MASC;SG;3	N
तेल	aceite	तेल	aceite	N;NOM;MASC;SG;3	N
काव्य	poesía	काव्य	poesía	N;NOM;MASC;SG;3	N
छोटा	pequeno	छोटा	pequeno	ADJ;NOM;MASC;SG	ADJ
छोटा	pequenos	छोटा	pequeno	ADJ;NOM;MASC;SG	ADJ
छोटा	pequenas	छोटा	pequeno	ADJ;NOM;MASC;SG	ADJ
छोटा	pequena	छोटा	pequeno	ADJ;NOM;MASC;SG	ADJ
छोटा	pequeno	छोटा	pequeno	ADJ;NOM;MASC;SG	ADJ
छोटा	pequena	छोटा	pequeno	ADJ;NOM;MASC;SG	ADJ
छोटा	curto	छोटा	curto	ADJ;NOM;MASC;SG	ADJ
छोटा	curta	छोटा	curto	ADJ;NOM;MASC;SG	ADJ
छोटा	pequena	छोटा	pequeno	ADJ;NOM;MASC;SG	ADJ
छोटा	pequenos	छोटा	pequeno	ADJ;NOM;MASC;SG	ADJ
छोटा	pequeno	छोटा	pequeno	ADJ;NOM;MASC;SG	ADJ
छोटा	diminuta	छोटा	diminuta	ADJ;NOM;MASC;SG	ADJ
छोटा	pequenas	छोटा	pequeno	ADJ;NOM;MASC;SG	ADJ
संपादन	editores	संपादन	editor	N;NOM;MASC;SG;3	N
औसत	media	औसत	media	N;NOM;MASC;SG;3	N
औसत	medio	औसत	medio	N;NOM;MASC;SG;3	N
औसत	mediocre	औसत	mediocre	N;NOM;MASC;SG;3	N
विश्वास	confianza	विश्वास	confianza	N;NOM;MASC;SG;3	N
विश्वास	fe	विश्वास	fe	N;NOM;MASC;SG;3	N
विश्वास	confianza	विश्वास	confianza	N;NOM;MASC;SG;3	N
विश्वास	crenza	विश्वास	crenza	N;NOM;MASC;SG;3	N
रक्षा	protexelos	रक्षा	protexelo	N;NOM;FEM;SG;3	N
रक्षा	defensa	रक्षा	defensa	N;NOM;FEM;SG;3	N
रक्षा	defensa	रक्षा	defensa	N;NOM;FEM;SG;3	N
खुद	el	खुद	el	PRO;NOM	PRO
खुद	eu	खुद	eu	PRO;NOM	PRO
खुद	me	खुद	me	PRO;NOM	PRO
निर्माता	produtor	निर्माता	produtor	N;NOM;MASC;SG;3	N
प्रतियोगिता	competición	प्रतियोगिता	competición	N;NOM;FEM;SG;3	N
विद्युत	electricidade	विद्युत	electricidade	N;NOM;FEM;SG;3	N
वायु	vento	वायु	vento	N;NOM;FEM;SG;3	N
वायु	corda	वायु	corda	N;NOM;FEM;SG;3	N
वायु	aire	वायु	aire	N;NOM;FEM;SG;3	N
वायु	ar	वायु	ar	N;NOM;FEM;SG;3	N
निर्भर	dependentes	निर्भर	dependente	ADJ	ADJ
आसपास	preto	आसपास	preto	ADV;NOM;MASC;SG;3	ADV
अधिनियम	acto	अधिनियम	acto	N;NOM;MASC;SG;3	N
लिखे	escribir	लिख	escribir	V;PFV;MASC;PL;V.PTCP;ACT	V
लिखे	escribe	लिख	escribir	V;PFV;MASC;PL;V.PTCP;ACT	V
लिखे	escribo	लिख	escribir	V;PFV;MASC;PL;V.PTCP;ACT	V
बस	autobús	बस	autobús	N;NOM;FEM;SG;3	N
बस	parada	बस	parado	N;NOM;FEM;SG;3	N
बस	autocarro	बस	autocarro	N;NOM;FEM;SG;3	N
महिलाओं	señoras	महिला	señor	N;ACC;FEM;PL;3	N
महिलाओं	damas	महिला	dar	N;ACC;FEM;PL;3	N
महिलाओं	mozas	महिला	mozo	N;ACC;FEM;PL;3	N
महिलाओं	señores	महिला	señor	N;ACC;FEM;PL;3	N
महिलाओं	donas	महिला	dono	N;ACC;FEM;PL;3	N
महिलाओं	mulleres	महिला	muller	N;ACC;FEM;PL;3	N
धारा	sección	धारा	sección	N;NOM;FEM;SG;3	N
धारा	río	धारा	río	N;NOM;FEM;SG;3	N
धारा	regato	धारा	regato	N;NOM;FEM;SG;3	N
प्रेम	amor	प्रेम	amor	N;NOM;MASC;SG;3	N
इंजन	máquina	इंजन	máquina	N;NOM;MASC;SG;3	N
इंजन	motor	इंजन	motor	N;NOM;MASC;SG;3	N
आंदोलन	axitación	आंदोलन	axitación	N;NOM;MASC;SG;3	N
आंदोलन	movemento	आंदोलन	movemento	N;NOM;MASC;SG;3	N
आंदोलन	movementos	आंदोलन	movemento	N;NOM;MASC;SG;3	N
आंदोलन	movimento	आंदोलन	movimento	N;NOM;MASC;SG;3	N
आंदोलन	xesto	आंदोलन	xesto	N;NOM;MASC;SG;3	N
सफलता	éxito	सफलता	éxito	N;NOM;FEM;SG;3	N
विधान	lexislación	विधान	lexislación	N;NOM;MASC;SG;3	N
विधान	lei	विधान	lei	N;NOM;MASC;SG;3	N
रासायनिक	químicas	रासायनिक	química	N;NOM;MASC;SG;3	N
चलता	camiña	चल	camiñar	V;IPFV;MASC;SG;V.PTCP;ACT	V
डॉलर	dólares	डॉलर	dólar	N;NOM;MASC;SG;3	N
डॉलर	dólar	डॉलर	dólar	N;NOM;MASC;SG;3	N
डॉलर	cartos	डॉलर	carto	N;NOM;MASC;SG;3	N
बच्चे	nenos	बच्चा	neno	N;NOM;MASC;PL;3	N
बच्चे	fillos	बच्चा	fillo	N;NOM;MASC;PL;3	N
बच्चे	rapaces	बच्चा	rapaz	N;NOM;MASC;PL;3	N
बच्चे	mozos	बच्चा	mozo	N;NOM;MASC;PL;3	N
बच्चे	nena	बच्चा	nena	N;NOM;MASC;PL;3	N
बच्चे	neno	बच्चा	neno	N;NOM;MASC;PL;3	N
बच्चे	fillo	बच्चा	fillo	N;NOM;MASC;PL;3	N
मन्दिर	templo	मन्दिर	templo	N;NOM;MASC;SG;3	N
भारी	pesada	भारी	pesar	ADJ;NOM	ADJ
भारी	pesado	भारी	pesar	ADJ;NOM	ADJ
भारी	forte	भारी	forte	ADJ;NOM	ADJ
भारी	intenso	भारी	intenso	ADJ;NOM	ADJ
पत्नी	muller	पत्नी	muller	N;NOM;FEM;SG;3	N
पत्नी	esposa	पत्नी	esposa	N;NOM;FEM;SG;3	N
पत्नी	dona	पत्नी	don	N;NOM;FEM;SG;3	N
मान्यता	crenza	मान्यता	crenza	N;NOM;FEM;SG;3	N
मान्यता	recoñecemento	मान्यता	recoñecemento	N;NOM;FEM;SG;3	N
तरीके	formas	तरीका	forma	N;NOM;MASC;PL;3	N
तरीके	xeitos	तरीका	xeito	N;NOM;MASC;PL;3	N
तरीके	xeito	तरीका	xeito	N;NOM;MASC;PL;3	N
तरीके	maneiras	तरीका	maneira	N;NOM;MASC;PL;3	N
तरीके	forma	तरीका	forma	N;NOM;MASC;PL;3	N
उचित	razoable	उचित	razoable	ADJ;NOM	ADJ
उचित	razoábel	उचित	razoábel	ADJ;NOM	ADJ
