lui	그의	el	그+의	PRO;3	PRO
acces	접속	acces	접속	N;INDF;MASC;SG	N
acces	접근	acces	접근	N;INDF;MASC;SG	N
acces	액세스	acces	액세스	N;INDF;MASC;SG	N
matematica	수학	matematică	수학	N;DEF;FEM;SG	N
matematica	수학	matematică	수학	N;DEF;FEM;SG	N
matematica	수학	matematică	수학	N;DEF;FEM;SG	N
matematica	수학	matematică	수학	N;DEF;FEM;SG	N
matematica	수학	matematică	수학	N;DEF;FEM;SG	N
primeste	받기	primi	받+기	V;IND;SG;3;PRS;FIN	V
afl	afl	afla	afl		
povestiri	스토리	povestire	스토리	N;INDF;FEM;PL	N
povestiri	소식	povestire	소식	N;INDF;FEM;PL	N
scor	점수	scor	점수	N;INDF;MASC;SG	N
scor	득점	scor	득점	N;INDF;MASC;SG	N
comunitati	커뮤니티	comunitat	커뮤니티		
wiki	위키	wiki	위키		
wiki	위키위키	wiki	위키+위키		
guvern	정부	guvern	정부	N;INDF;MASC;SG	N
posibilitatea	가능성	posibilitate	가능성	N;DEF;FEM;SG	N
midi	미디	mid	미디		
copiii	애들	copil	애+들	N;DEF;MASC;PL	N
copiii	아이들	copil	아이+들	N;DEF;MASC;PL	N
copiii	어린이	copil	어린이	N;DEF;MASC;PL	N
copiii	어린이들	copil	어린이+들	N;DEF;MASC;PL	N
copiii	자녀	copil	자녀	N;DEF;MASC;PL	N
copiii	어린이	copil	어린이	N;DEF;MASC;PL	N
copiii	아이들	copil	아이+들	N;DEF;MASC;PL	N
google	구글	google	구글		
studiul	공부	studiu	공부	N;DEF;MASC;SG	N
studiul	연구	studiu	연구	N;DEF;MASC;SG	N
constructii	공사	construct	공사	N;INDF;FEM;PL	N
constructii	건설	construct	건설	N;INDF;FEM;PL	N
constructii	건축	construct	건축	N;INDF;FEM;PL	N
constructii	공사	construct	공사	N;INDF;FEM;PL	N
constructii	건설	construct	건설	N;INDF;FEM;PL	N
constructii	건축	construct	건축	N;INDF;FEM;PL	N
sprijinul	지원	sprijin	지원	N;DEF;MASC;SG	N
sprijinul	후원	sprijin	후원	N;DEF;MASC;SG	N
puternica	강한	puternic	강하+ㄴ	ADJ;DEF;FEM;SG	ADJ
puternica	강한	puternic	강하+ㄴ	ADJ;DEF;FEM;SG	ADJ
scorul	점수	scor	점수	N;DEF;MASC;SG	N
scorul	득점	scor	득점	N;DEF;MASC;SG	N
relatii	연애	relatie	연애	N;INDF;FEM;PL	N
relatii	관계	relatie	관계	N;INDF;FEM;PL	N
relatii	관계	relatie	관계	N;INDF;FEM;PL	N
relatii	연애	relatie	연애	N;INDF;FEM;PL	N
relatii	관계	relatie	관계	N;INDF;FEM;PL	N
relatii	관계	relatie	관계	N;INDF;FEM;PL	N
ordine	순서	ordine	순서	N;INDF;FEM;SG	N
ordine	주문	ordine	주문	N;INDF;FEM;SG	N
ordine	주문	ordine	주문	N;INDF;FEM;SG	N
democrat	민주당	democrat	민주당	N;INDF;MASC;SG	N
democrat	민주당	democrat	민주당	N;INDF;MASC;SG	N
trait	살았던	trai	살+았+던	V;MASC;SG;V.PTCP	V
trait	살았던	trai	살+았+던	V;MASC;SG;V.PTCP	V
forta	강제	forta	강제	N;DEF;FEM;SG	N
forta	강제	forta	강제	N;DEF;FEM;SG	N
forta	체력	forta	체력	N;DEF;FEM;SG	N
forta	강제	forta	강제	N;DEF;FEM;SG	N
larga	넓은	larg	넓+ㄴ	ADJ;DEF;FEM;SG	ADJ
programul	프로그램	program	프로그램	N;DEF;MASC;SG	N
programul	일정	program	일정	N;DEF;MASC;SG	N
programul	예약	program	예약	N;DEF;MASC;SG	N
formatul	포맷	format	포맷	N;DEF;MASC;SG	N
asociatia	협회	asociatie	협회	N;DEF;FEM;SG	N
asociatia	협회	asociatie	협회	N;DEF;FEM;SG	N
spectatori	관람객	spectator	관람객	N;INDF;MASC;PL	N
spectatori	시청자	spectator	시청자	N;INDF;MASC;PL	N
personaje	문자	personaj	문자	N;INDF;FEM;PL	N
personaje	등장인물	personaj	등장+인물	N;INDF;FEM;PL	N
trupa	밴드	trupă	밴드	N;DEF;FEM;SG	N
trupa	밴드	trupă	밴드	N;DEF;FEM;SG	N
inalta	높음	inalta	높음	ADJ;DEF;FEM;SG	ADJ
inalta	높음	inalta	높음	ADJ;DEF;FEM;SG	ADJ
formarea	형성	formare	형성	N;DEF;FEM;SG	N
disc	디스크	disc	디스크	N;INDF;MASC;SG	N
disc	디스크	disc	디스크	N;INDF;MASC;SG	N
activitati	활동	activitati	활동	N;INDF;FEM;PL	N
activitati	활동	activitati	활동	N;INDF;FEM;PL	N
print	왕자	print	왕자	N;INDF;MASC;SG	N
print	왕자	print	왕자	N;INDF;MASC;SG	N
print	왕자	print	왕자	N;INDF;MASC;SG	N
air	항공	air	항공	N;INDF;MASC;SG	N
air	공기	air	공기	N;INDF;MASC;SG	N
educatie	교육학	educatie	교육학	N;INDF;FEM;SG	N
educatie	교육	educatie	교육	N;INDF;FEM;SG	N
educatie	학력	educatie	학력	N;INDF;FEM;SG	N
educatie	교육학	educatie	교육학	N;INDF;FEM;SG	N
educatie	교육	educatie	교육	N;INDF;FEM;SG	N
educatie	학력	educatie	학력	N;INDF;FEM;SG	N
dimensiuni	차원	dimensiune	차원	N;INDF;FEM;PL	N
grad	성적	grad	성+적	N;INDF;MASC;SG	N
grad	학년	grad	학년	N;INDF;MASC;SG	N
grad	학위	grad	학위	N;INDF;MASC;SG	N
grad	계급	grad	계급	N;INDF;MASC;SG	N
grad	순위	grad	순위	N;INDF;MASC;SG	N
interviu	인터뷰	interviu	인터뷰	N;INDF;MASC;SG	N
interviu	면접	interviu	면접	N;INDF;MASC;SG	N
tratat	조약	tratat	조약	N;INDF;MASC;SG	N
maxima	최대	maxim	최대	N;DEF;FEM;SG	N
maxima	최대	maxim	최대	N;DEF;FEM;SG	N
sisteme	체계	sistem	체계	N;INDF;FEM;PL	N
sisteme	시스템	sistem	시스템	N;INDF;FEM;PL	N
arbitru	심판	arbitru	심판	N;INDF;MASC;SG	N
jocul	게임	joc	게임	N;DEF;MASC;SG	N
jocul	경기	joc	경기	N;DEF;MASC;SG	N
incredere	자신감	incredere	자신감	N;INDF;FEM;SG	N
incredere	신탁	incredere	신탁	N;INDF;FEM;SG	N
incredere	자신감	incredere	자신감	N;INDF;FEM;SG	N
incredere	신탁	incredere	신탁	N;INDF;FEM;SG	N
cantec	노래	cantec	노래	N;INDF;MASC;SG	N
cantec	노래	cantec	노래	N;INDF;MASC;SG	N
foc	화재	foc	화재	N;INDF;MASC;SG	N
foc	불화	foc	불화	N;INDF;MASC;SG	N
lege	법칙	lege	법칙	N;INDF;FEM;SG	N
lege	법률	lege	법률	N;INDF;FEM;SG	N
lege	법학	lege	법학	N;INDF;FEM;SG	N
curent	현재	curent	현재	N;INDF;MASC;SG	N
curent	전류	curent	전류	N;INDF;MASC;SG	N
functii	함수	functie	함수	N;INDF;FEM;PL	N
catedrala	성당	catedrală	성당	N;DEF;FEM;SG	N
catedrala	대성당	catedrală	대성당	N;DEF;FEM;SG	N
catedrala	성당	catedrală	성당	N;DEF;FEM;SG	N
catedrala	대성당	catedrală	대성당	N;DEF;FEM;SG	N
starea	상태	stare	상태	N;DEF;FEM;SG	N
inchisoare	교도소	inchisoare	교도소	N;INDF;FEM;SG	N
inchisoare	감옥	inchisoare	감옥	N;INDF;FEM;SG	N
inchisoare	교도소	inchisoare	교도소	N;INDF;FEM;SG	N
inchisoare	감옥	inchisoare	감옥	N;INDF;FEM;SG	N
inchisoare	교도소	inchisoare	교도소	N;INDF;FEM;SG	N
inchisoare	감옥	inchisoare	감옥	N;INDF;FEM;SG	N
scriitori	작가	scriitor	작가	N;INDF;MASC;PL	N
scoli	학교	scoli	학교	N;INDF;FEM;PL	N
scoli	학교	scoli	학교	N;INDF;FEM;PL	N
britanica	영국인	britanică	영국인	N;DEF;FEM;SG	N
sectiunea	섹션	sectiune	섹션	N;DEF;FEM;SG	N
sectiunea	섹션	sectiune	섹션	N;DEF;FEM;SG	N
sterge	지우기	sterge	지우+기	V;IND;SG;3;PRS;FIN	V
sterge	삭제하기	sterge	삭제+하+기	V;IND;SG;3;PRS;FIN	V
sterge	지우기	sterge	지우+기	V;IND;SG;3;PRS;FIN	V
sterge	삭제하기	sterge	삭제+하+기	V;IND;SG;3;PRS;FIN	V
premiera	시사회	premiera	시사회	N;DEF;FEM;SG	N
premiera	시사회	premiera	시사회	N;DEF;FEM;SG	N
istoricul	역사	istoric	역사	N;DEF;MASC;SG	N
istoricul	내역	istoric	내역	N;DEF;MASC;SG	N
istoricul	기록	istoric	기록	N;DEF;MASC;SG	N
personaj	성격	personaj	성격	N;INDF;MASC;SG	N
personaj	문자	personaj	문자	N;INDF;MASC;SG	N
personaj	인물	personaj	인물	N;INDF;MASC;SG	N
relatiile	연애	relatie	연애	N;DEF;FEM;PL	N
relatiile	관계	relatie	관계	N;DEF;FEM;PL	N
relatiile	관계	relatie	관계	N;DEF;FEM;PL	N
avioane	비행기	avion	비행기	N;INDF;FEM;PL	N
avioane	항공기	avion	항공기	N;INDF;FEM;PL	N
avioane	비행기	avion	비행기	N;INDF;FEM;PL	N
colegiul	대학교	colegiu	대학교	N;DEF;MASC;SG	N
colegiul	대학	colegiu	대학	N;DEF;MASC;SG	N
securitate	안보	securitate	안보	N;INDF;FEM;SG	N
securitate	보안	securitate	보안	N;INDF;FEM;SG	N
originea	출처	origine	출처	N;DEF;FEM;SG	N
muntele	산악	munte	산악	N;DEF;MASC;SG	N
inginer	기술자	inginer	기술자	N;INDF;MASC;SG	N
inginer	공학자	inginer	공학자	N;INDF;MASC;SG	N
datele	데이트	dată	데이트	N;DEF;FEM;PL	N
datele	자료	dată	자료	N;DEF;FEM;PL	N
datele	데이터	dată	데이터	N;DEF;FEM;PL	N
natura	자연	natură	자연	N;DEF;FEM;SG	N
natura	자연	natură	자연	N;DEF;FEM;SG	N
teritoriile	영토	teritoriu	영토	N;DEF;FEM;PL	N
titluri	제목	titlu	제목	N;INDF;FEM;PL	N
casatorie	혼인	casatorie	혼인	N;INDF;FEM;SG	N
casatorie	결혼	casatorie	결혼	N;INDF;FEM;SG	N
casatorie	혼인	casatorie	혼인	N;INDF;FEM;SG	N
casatorie	결혼	casatorie	결혼	N;INDF;FEM;SG	N
filozofie	철학	filozofie	철학	N;INDF;FEM;SG	N
litere	편지	literă	편지	N;INDF;FEM;PL	N
practic	기본적으로	practic	기본+적+으로	ADV	ADV
noaptea	밤에	noaptea	밤+에	ADV	ADV
parintii	부모님	parinte	부모님	N;DEF;MASC;PL	N
parintii	부모님	parinte	부모님	N;DEF;MASC;PL	N
arhitectura	건축학	arhitectură	건축학	N;DEF;FEM;SG	N
arhitectura	건축	arhitectură	건축	N;DEF;FEM;SG	N
arhitectura	건축학	arhitectură	건축학	N;DEF;FEM;SG	N
arhitectura	건축	arhitectură	건축	N;DEF;FEM;SG	N
regiunile	지역	regiune	지역	N;DEF;FEM;PL	N
scena	장면	scenă	장면	N;DEF;FEM;SG	N
scena	장면	scenă	장면	N;DEF;FEM;SG	N
scadere	감소	scădere	감소	N;INDF;FEM;SG	N
sotie	아내	sotie	아내	N;INDF;FEM;SG	N
sotie	아내	sotie	아내	N;INDF;FEM;SG	N
drepturi	권리	drept	권리	N;INDF;FEM;PL	N
cimitirul	묘지	cimitir	묘지	N;DEF;MASC;SG	N
cimitirul	묘지	cimitir	묘지	N;DEF;MASC;SG	N
practica	실무	practică	실무	N;DEF;FEM;SG	N
practica	실용적	practică	실용+적	N;DEF;FEM;SG	N
practica	실용	practică	실용	N;DEF;FEM;SG	N
practica	연습생	practică	연습생	N;DEF;FEM;SG	N
practica	연습	practică	연습	N;DEF;FEM;SG	N
practica	연습생	practică	연습생	N;DEF;FEM;SG	N
practica	연습	practică	연습	N;DEF;FEM;SG	N
sute	수백명이	sută	수백명+이	NUM;INDF;FEM;PL	NUM
sute	수백	sută	수백	NUM;INDF;FEM;PL	NUM
magazine	매장	magazine	매장	N;INDF;FEM;PL	N
magazine	상점	magazine	상점	N;INDF;FEM;PL	N
magazine	상점	magazine	상점	N;INDF;FEM;PL	N
cladiri	건물	cladire	건물	N;INDF;FEM;PL	N
cladiri	건축물	cladire	건축물	N;INDF;FEM;PL	N
cladiri	건물들	cladire	건물+들	N;INDF;FEM;PL	N
cladiri	빌딩	cladire	빌딩	N;INDF;FEM;PL	N
cladiri	건물	cladire	건물	N;INDF;FEM;PL	N
cladiri	건축물	cladire	건축물	N;INDF;FEM;PL	N
cladiri	건물들	cladire	건물+들	N;INDF;FEM;PL	N
cladiri	빌딩	cladire	빌딩	N;INDF;FEM;PL	N
cota	공유	cotă	공유	N;DEF;FEM;SG	N
unitatea	통일	unitate	통일	N;DEF;FEM;SG	N
unitatea	단결	unitate	단결	N;DEF;FEM;SG	N
editor	출판사	editor	출판사	N;INDF;MASC;SG	N
editor	출판	editor	출판	N;INDF;MASC;SG	N
editor	편집기	editor	편집기	N;INDF;MASC;SG	N
editor	편집자	editor	편집자	N;INDF;MASC;SG	N
exemple	예시	exemplu	예시	N;INDF;FEM;PL	N
exemple	예제	exemplu	예제	N;INDF;FEM;PL	N
alegeri	선거	alegere	선거	N;INDF;FEM;PL	N
alegeri	선거	alegere	선거	N;INDF;FEM;PL	N
serviciul	서비스	serviciu	서비스	N;DEF;MASC;SG	N
poezii	문학	poezie	문학	N;INDF;FEM;PL	N
ofiter	책임자	ofiter	책임자	N;INDF;MASC;SG	N
ofiter	경관	ofiter	경관	N;INDF;MASC;SG	N
ofiter	경찰관	ofiter	경찰관	N;INDF;MASC;SG	N
ofiter	장교	ofiter	장교	N;INDF;MASC;SG	N
ofiter	책임자	ofiter	책임자	N;INDF;MASC;SG	N
ofiter	경관	ofiter	경관	N;INDF;MASC;SG	N
ofiter	경찰관	ofiter	경찰관	N;INDF;MASC;SG	N
ofiter	장교	ofiter	장교	N;INDF;MASC;SG	N
ofiter	책임자	ofiter	책임자	N;INDF;MASC;SG	N
ofiter	경관	ofiter	경관	N;INDF;MASC;SG	N
ofiter	경찰관	ofiter	경찰관	N;INDF;MASC;SG	N
ofiter	장교	ofiter	장교	N;INDF;MASC;SG	N
iarna	겨울	iarnă	겨울	N;DEF;FEM;SG	N
iarna	겨울	iarnă	겨울	N;DEF;FEM;SG	N
rusi	러시아인	rus	러시아인	N;INDF;MASC;PL	N
rusi	러시아인	rus	러시아인	N;INDF;MASC;PL	N
frecvent	자주	frecvent	자주	ADV	ADV
administrator	관리자	administrator	관리자	N;INDF;MASC;SG	N
administrator	관리자	administrator	관리자	N;INDF;MASC;SG	N
problemele	문제	problemă	문제	N;DEF;FEM;PL	N
episcopul	주교	episcop	주교	N;DEF;MASC;SG	N
presa	미디어	presă	미디어	N;DEF;FEM;SG	N
presa	미디어	presă	미디어	N;DEF;FEM;SG	N
imperiu	제국	imperiu	제국	N;INDF;MASC;SG	N
secret	비밀	secret	비밀	N;INDF;MASC;SG	N
fondata	설립	fondata	설립	N;DEF;FEM;SG	N
element	항목	element	항목	N;INDF;MASC;SG	N
element	품목	element	품목	N;INDF;MASC;SG	N
element	아이템	element	아이템	N;INDF;MASC;SG	N
element	요소	element	요소	N;INDF;MASC;SG	N
element	원소	element	원소	N;INDF;MASC;SG	N
localizare	지역화	localizare	지역화	N;INDF;FEM;SG	N
localizare	현지화	localizare	현지화	N;INDF;FEM;SG	N
contact	접촉	contact	접촉	N;INDF;MASC;SG	N
contact	연락처	contact	연락처	N;INDF;MASC;SG	N
ordin	순서	ordin	순서	N;INDF;MASC;SG	N
ordin	주문	ordin	주문	N;INDF;MASC;SG	N
capacitate	용량	capacitate	용량	N;INDF;FEM;SG	N
capacitate	능력	capacitate	능력	N;INDF;FEM;SG	N
capacitate	능력자	capacitate	능력자	N;INDF;FEM;SG	N
arme	무기	armă	무기	N;INDF;FEM;PL	N
arme	총기	armă	총기	N;INDF;FEM;PL	N
stele	항성	stea	항성	N;INDF;FEM;PL	N
cantece	노래	cantec	노래	N;INDF;FEM;PL	N
cantece	노래	cantec	노래	N;INDF;FEM;PL	N
federatia	연맹	federatie	연맹	N;DEF;FEM;SG	N
federatia	연방	federatie	연방	N;DEF;FEM;SG	N
federatia	연맹	federatie	연맹	N;DEF;FEM;SG	N
federatia	연방	federatie	연방	N;DEF;FEM;SG	N
calitatea	화질	calitate	화질	N;DEF;FEM;SG	N
calitatea	화질이	calitate	화질+이	N;DEF;FEM;SG	N
jucatori	선수	jucator	선수	N;INDF;MASC;PL	N
jucatori	선수	jucator	선수	N;INDF;MASC;PL	N
varianta	변종	variantă	변종	N;DEF;FEM;SG	N
varianta	변종	variantă	변종	N;DEF;FEM;SG	N
statuia	동상	statuie	동상	N;DEF;FEM;SG	N
statuia	조각상	statuie	조각상	N;DEF;FEM;SG	N
profesorul	교수	profesor	교수	N;DEF;MASC;SG	N
profesorul	교수님	profesor	교수+님	N;DEF;MASC;SG	N
tipul	종류	tip	종류	N;DEF;MASC;SG	N
tipul	유형	tip	유형	N;DEF;MASC;SG	N
contract	계약	contract	계약	N;INDF;MASC;SG	N
compusa	작곡	compusa	작곡	N;DEF;FEM;SG	N
limbile	언어	limbă	언어	N;DEF;FEM;PL	N
mediul	환경	mediu	환경	N;DEF;MASC;SG	N
tronul	왕좌	tron	왕좌	N;DEF;MASC;SG	N
tronul	왕위	tron	왕위	N;DEF;MASC;SG	N
ansamblul	앙상블	ansamblu	앙상블	N;DEF;MASC;SG	N
rezultatul	결과	rezultat	결과	N;DEF;MASC;SG	N
recent	최근에	recent	최근+에	ADV	ADV
societate	사회	societate	사회	N;INDF;FEM;SG	N
protectie	보호	protectie	보호	N;INDF;FEM;SG	N
protectie	보호	protectie	보호	N;INDF;FEM;SG	N
concert	연주회	concert	연주회	N;INDF;MASC;SG	N
concert	콘서트	concert	콘서트	N;INDF;MASC;SG	N
motor	모터	motor	모터	N;INDF;MASC;SG	N
motor	전동기	motor	전동기	N;INDF;MASC;SG	N
grupa	집단	grupă	집단	N;DEF;FEM;SG	N
grupa	집단	grupă	집단	N;DEF;FEM;SG	N
grupa	분대	grupă	분대	N;DEF;FEM;SG	N
grupa	스쿼드	grupă	스쿼드	N;DEF;FEM;SG	N
redactor	편집기	redactor	편집기	N;INDF;MASC;SG	N
redactor	편집자	redactor	편집자	N;INDF;MASC;SG	N
canalul	채널	canal	채널	N;DEF;MASC;SG	N
obiect	객체	obiect	객체	N;INDF;MASC;SG	N
obiect	개체	obiect	개체	N;INDF;MASC;SG	N
obiect	대상	obiect	대상	N;INDF;MASC;SG	N
obiect	천체	obiect	천체	N;INDF;MASC;SG	N
ioana	조앤	ioană	조앤	N;DEF;FEM;SG	N
companii	회사	companie	회사	N;INDF;FEM;PL	N
specialitate	전문	specialitate	전문	N;INDF;FEM;SG	N
aspect	외모	aspect	외모	N;INDF;MASC;SG	N
aspect	모양	aspect	모양	N;INDF;MASC;SG	N
aspect	출연	aspect	출연	N;INDF;MASC;SG	N
cladire	건물	cladire	건물	N;INDF;FEM;SG	N
cladire	건축	cladire	건축	N;INDF;FEM;SG	N
cladire	빌딩	cladire	빌딩	N;INDF;FEM;SG	N
cladire	건물	cladire	건물	N;INDF;FEM;SG	N
cladire	건축	cladire	건축	N;INDF;FEM;SG	N
cladire	빌딩	cladire	빌딩	N;INDF;FEM;SG	N
actiunile	행동	actiune	행동	N;DEF;FEM;PL	N
actiunile	활동	actiune	활동	N;DEF;FEM;PL	N
actiunile	동작	actiune	동작	N;DEF;FEM;PL	N
actiunile	액션	actiune	액션	N;DEF;FEM;PL	N
debut	데뷔	debut	데뷔	N;INDF;MASC;SG	N
critica	평론	critică	평론	N;DEF;FEM;SG	N
critica	비판	critică	비판	N;DEF;FEM;SG	N
critica	비평	critică	비평	N;DEF;FEM;SG	N
critica	크리티컬	critică	크리티컬	N;DEF;FEM;SG	N
critica	평론	critică	평론	N;DEF;FEM;SG	N
critica	비판	critică	비판	N;DEF;FEM;SG	N
critica	비평	critică	비평	N;DEF;FEM;SG	N
critica	비판	critică	비판	N;DEF;FEM;SG	N
critica	크리티컬	critică	크리티컬	N;DEF;FEM;SG	N
artisti	음악가	artisti	음악가	N;INDF;MASC;PL	N
artisti	예술가	artisti	예술가	N;INDF;MASC;PL	N
artisti	아티스트	artisti	아티스트	N;INDF;MASC;PL	N
artisti	아티스트가	artisti	아티스트+가	N;INDF;MASC;PL	N
artisti	음악가	artisti	음악가	N;INDF;MASC;PL	N
artisti	예술가	artisti	예술가	N;INDF;MASC;PL	N
artisti	아티스트	artisti	아티스트	N;INDF;MASC;PL	N
artisti	아티스트가	artisti	아티스트+가	N;INDF;MASC;PL	N
regimentul	연대	regiment	연대	N;DEF;MASC;SG	N
memoria	추억	memorie	추억	N;DEF;FEM;SG	N
memoria	기억력	memorie	기억력	N;DEF;FEM;SG	N
memoria	메모리	memorie	메모리	N;DEF;FEM;SG	N
memoria	기억	memorie	기억	N;DEF;FEM;SG	N
mana	핸드	mană	핸드	N;DEF;FEM;SG	N
mana	핸드	mană	핸드	N;DEF;FEM;SG	N
mana	핸드	mană	핸드	N;DEF;FEM;SG	N
rezultatele	결과	rezultat	결과	N;DEF;FEM;PL	N
domenii	도메인	domeniu	도메인	N;INDF;FEM;PL	N
domenii	영역	domeniu	영역	N;INDF;FEM;PL	N
fondator	창립	fondator	창립	N;INDF;MASC;SG	N
fondator	설립자	fondator	설립자	N;INDF;MASC;SG	N
document	문서	document	문서	N;INDF;MASC;SG	N
evreilor	유대인	evreu	유대+이+ㄴ	N;DEF;MASC;PL	N
concurs	경쟁	concurs	경쟁	N;INDF;MASC;SG	N
concurs	대회	concurs	대회	N;INDF;MASC;SG	N
sol	토양	sol	토양	N;INDF;MASC;SG	N
statut	상태	statut	상태	N;INDF;MASC;SG	N
nave	혈관	navă	혈관	N;INDF;FEM;PL	N
cat	고양이	cat	고양+이		
mijloc	중간	mijloc	중간	N;INDF;MASC;SG	N
mijloc	가운데	mijloc	가운데	N;INDF;MASC;SG	N
durata	기간	durată	기간	N;DEF;FEM;SG	N
durata	기간	durată	기간	N;DEF;FEM;SG	N
lucruri	것들	lucru	것+들	N;INDF;FEM;PL	N
lucruri	사물	lucru	사물	N;INDF;FEM;PL	N
masini	자동차	masină	자동차	N;INDF;FEM;PL	N
masini	차량	masină	차량	N;INDF;FEM;PL	N
masini	머신	masină	머신	N;INDF;FEM;PL	N
masini	기계	masină	기계	N;INDF;FEM;PL	N
masini	자동차	masină	자동차	N;INDF;FEM;PL	N
masini	차량	masină	차량	N;INDF;FEM;PL	N
masini	머신	masină	머신	N;INDF;FEM;PL	N
masini	기계	masină	기계	N;INDF;FEM;PL	N
masini	자동차	masină	자동차	N;INDF;FEM;PL	N
masini	차량	masină	차량	N;INDF;FEM;PL	N
liste	목록	listă	목록	N;INDF;FEM;PL	N
campion	챔피언	campion	챔피언	N;INDF;MASC;SG	N
putine	몇몇	putea	몇몇	ADJ;INDF;FEM;PL	ADJ
ducele	공작	duce	공작	N;DEF;MASC;SG	N
campionilor	챔피언	campion	챔피언	N;DEF;MASC;PL	N
relatia	연애	relatie	연애	N;DEF;FEM;SG	N
relatia	관계	relatie	관계	N;DEF;FEM;SG	N
fratii	형제자매	frate	형제+자매	N;DEF;MASC;PL	N
fratii	남매	frate	남매	N;DEF;MASC;PL	N
fratii	형제들	frate	형제+들	N;DEF;MASC;PL	N
fratii	형제들	frate	형제+들	N;DEF;MASC;PL	N
intrare	입구	intrare	입구	N;INDF;FEM;SG	N
intrare	입력	intrare	입력	N;INDF;FEM;SG	N
intrare	입력기	intrare	입력기	N;INDF;FEM;SG	N
intrare	입출력	intrare	입출력	N;INDF;FEM;SG	N
intrare	항목	intrare	항목	N;INDF;FEM;SG	N
frumos	아름다운	frumos	아름답+ㄴ	ADJ;INDF;MASC;SG	ADJ
frumos	아름답다	frumos	아름답+다	ADJ;INDF;MASC;SG	ADJ
atestare	증명	atestare	증명	N;INDF;FEM;SG	N
pamantul	지구	pamant	지구	N;DEF;MASC;SG	N
mereu	항상	mereu	항상	ADV	ADV
mereu	언제나	mereu	언제나	ADV	ADV
limita	한계	limită	한계	N;DEF;FEM;SG	N
limita	제한	limită	제한	N;DEF;FEM;SG	N
limita	한계	limită	한계	N;DEF;FEM;SG	N
limita	제한	limită	제한	N;DEF;FEM;SG	N
lot	배치	lot	배치	N;INDF;MASC;SG	N
lot	일괄	lot	일괄	N;INDF;MASC;SG	N
ordinea	순서	ordine	순서	N;DEF;FEM;SG	N
ordinea	주문	ordine	주문	N;DEF;FEM;SG	N
jet	제트	jet	제트	N;INDF;MASC;SG	N
jet	제트기	jet	제트기	N;INDF;MASC;SG	N
denumire	이름	denumire	이름	N;INDF;FEM;SG	N
nascuta	출생	nascuta	출생	N;DEF;FEM;SG	N
nascuta	탄생	nascuta	탄생	N;DEF;FEM;SG	N
romanii	루마니아인	roman	루마니아인	N;DEF;MASC;PL	N
comisia	위원회	comisie	위원회	N;DEF;FEM;SG	N
trupe	밴드	trupă	밴드	N;INDF;FEM;PL	N
trupe	군대	trupă	군대	N;INDF;FEM;PL	N
capacitatea	용량	capacitate	용량	N;DEF;FEM;SG	N
capacitatea	능력	capacitate	능력	N;DEF;FEM;SG	N
capacitatea	능력자	capacitate	능력자	N;DEF;FEM;SG	N
economie	경제학	economie	경제학	N;INDF;FEM;SG	N
economie	경제	economie	경제	N;INDF;FEM;SG	N
temperatura	온도	temperatură	온도	N;DEF;FEM;SG	N
temperatura	온도	temperatură	온도	N;DEF;FEM;SG	N
profil	프로필	profil	프로필	N;INDF;MASC;SG	N
software	소프트웨어	software	소프트웨어	N;INDF;MASC;SG	N
sotul	남편	sot	남편	N;DEF;MASC;SG	N
sotul	남편	sot	남편	N;DEF;MASC;SG	N
dans	무용	dans	무용	N;INDF;MASC;SG	N
independenta	독립	independent	독립	N;DEF;FEM;SG	N
independenta	독립운동	independent	독립+운동	N;DEF;FEM;SG	N
independenta	독립	independent	독립	N;DEF;FEM;SG	N
independenta	독립운동	independent	독립+운동	N;DEF;FEM;SG	N
independenta	독립	independent	독립	N;DEF;FEM;SG	N
independenta	독립적	independent	독립+적	N;DEF;FEM;SG	N
independenta	독립	independent	독립	N;DEF;FEM;SG	N
independenta	독립적	independent	독립+적	N;DEF;FEM;SG	N
independenta	독립	independent	독립	N;DEF;FEM;SG	N
independenta	독립운동	independent	독립+운동	N;DEF;FEM;SG	N
val	파동	val	파동	N;INDF;MASC;SG	N
last	마지막	last	마지막	N;INDF;MASC;SG	N
tour	투어	tour	투+어	N;INDF;MASC;SG	N
tour	관광	tour	관광	N;INDF;MASC;SG	N
tour	구경	tour	구경	N;INDF;MASC;SG	N
tour	여행	tour	여행	N;INDF;MASC;SG	N
rolurile	역할	rol	역할	N;DEF;FEM;PL	N
apararea	방위	aparare	방위	N;DEF;FEM;SG	N
apararea	국방	aparare	국방	N;DEF;FEM;SG	N
apararea	디펜스	aparare	디펜스	N;DEF;FEM;SG	N
apararea	방위	aparare	방위	N;DEF;FEM;SG	N
apararea	국방	aparare	국방	N;DEF;FEM;SG	N
apararea	디펜스	aparare	디펜스	N;DEF;FEM;SG	N
apararea	방위	aparare	방위	N;DEF;FEM;SG	N
apararea	국방	aparare	국방	N;DEF;FEM;SG	N
apararea	디펜스	aparare	디펜스	N;DEF;FEM;SG	N
comandantul	지휘관	comandant	지휘관	N;DEF;MASC;SG	N
comandantul	사령관	comandant	사령관	N;DEF;MASC;SG	N
utilizatori	사용자	utilizator	사용자	N;INDF;MASC;PL	N
voturi	득표	vot	득표	N;INDF;FEM;PL	N
voturi	투표	vot	투표	N;INDF;FEM;PL	N
toamna	가을	toamnă	가을	N;DEF;FEM;SG	N
