年	год	年	год	N	N;INAN;NOM;MASC;SG
結構	архитектуры	結構	архитектура	N	N;INAN;NOM;FEM;PL
結構	структура	結構	структура	N	N;INAN;NOM;FEM;SG
字母	алфавит	字母	алфавит	N	N;INAN;NOM;MASC;SG
字母	буквы	字母	буква	N	N;INAN;NOM;FEM;PL
字母	письма	字母	письмо	N	N;INAN;NOM;NEUT;PL
字母	буква	字母	буква	N	N;INAN;NOM;FEM;SG
字母	письмо	字母	письмо	N	N;INAN;NOM;NEUT;SG
大陸	материке	大陸	материк	N	N;INAN;ESS;MASC;SG
大陸	континенте	大陸	континент	N	N;INAN;ESS;MASC;SG
大陸	континент	大陸	континент	N	N;INAN;NOM;MASC;SG
大陸	континентах	大陸	континент	N	N;INAN;ESS;MASC;PL
大陸	континентов	大陸	континент	N	N;INAN;GEN;MASC;PL
海岸	берегу	海岸	берег	N	N;INAN;DAT;MASC;SG
海岸	берег	海岸	берег	N	N;INAN;NOM;MASC;SG
海岸	побережье	海岸	побережье	N	N;INAN;NOM;NEUT;SG
海岸	берег	海岸	берег	N	N;INAN;NOM;MASC;SG
水平	горизонтали	水平	горизонталь	N	N;INAN;NOM;FEM;PL
都市	метрополис	都市	метрополис	N	N;INAN;NOM;MASC;SG
學習	изучаю	學習	изучать	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
學習	учусь	學習	учиться	V	V;IPFV;IND;SG;1;PRS;FIN;MID
學習	учимся	學習	учиться	V	V;IPFV;IND;PL;1;PRS;FIN;MID
學習	учусь	學習	учиться	V	V;IPFV;IND;SG;1;PRS;FIN;MID
學習	учиться	學習	учиться	V	V;IPFV;NFIN;MID
學習	учись	學習	учиться	V	V;IPFV;IMP;SG;2;FIN;MID
學習	учитесь	學習	учиться	V	V;IPFV;IND;PL;2;PRS;FIN;MID
動	ход	動	ход	N	N;INAN;NOM;MASC;SG
樂團	оркестр	樂團	оркестр	N	N;INAN;NOM;MASC;SG
那些	те	那些	тот	DET	DET;NOM;PL
材料	материал	材料	материал	N	N;INAN;NOM;MASC;SG
材料	материалы	材料	материал	N	N;INAN;NOM;MASC;PL
材料	материалы	材料	материал	N	N;INAN;NOM;MASC;PL
士兵	солдат	士兵	солдат	N	N;ANIM;NOM;MASC;SG
士兵	солдаты	士兵	солдат	N	N;ANIM;NOM;MASC;PL
士兵	солдат	士兵	солдат	N	N;ANIM;NOM;MASC;SG
魔法	волшебство	魔法	волшебство	N	N;INAN;NOM;NEUT;SG
魔法	магия	魔法	магия	N	N;INAN;NOM;FEM;SG
茶	чаю	茶	чай	N	N;INAN;DAT;MASC;SG
茶	чая	茶	чай	N	N;INAN;GEN;MASC;SG
茶	чай	茶	чай	N	N;INAN;NOM;MASC;SG
孩子	дитя	孩子	дитя	N	N;INAN;NOM;NEUT;SG
孩子	ребенок	孩子	ребенок	N	N;ANIM;NOM;MASC;SG
孩子	ребёнок	孩子	ребёнок	N	N;ANIM;NOM;MASC;SG
孩子	ребенка	孩子	ребенок	N	N;ANIM;ACC;MASC;SG
代理	исполняющий	代理	исполнять	V	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT
組合	комбинации	組合	комбинация	N	N;INAN;NOM;FEM;PL
組合	комбинация	組合	комбинация	N	N;INAN;NOM;FEM;SG
組合	сочетание	組合	сочетание	N	N;INAN;NOM;NEUT;SG
組合	сочетании	組合	сочетание	N	N;INAN;ESS;NEUT;SG
組合	микс	組合	микс	N	N;INAN;NOM;MASC;SG
王子	принц	王子	принц	N	N;ANIM;NOM;MASC;SG
王子	принс	王子	принс	N	N;INAN;NOM;MASC;SG
王子	князь	王子	князь	N	N;ANIM;NOM;MASC;SG
模型	модели	模型	модель	N	N;INAN;NOM;FEM;PL
模型	моделей	模型	модель	N	N;INAN;GEN;FEM;PL
模型	модели	模型	модель	N	N;INAN;NOM;FEM;PL
模型	образец	模型	образец	N	N;INAN;NOM;MASC;SG
模型	модель	模型	модель	N	N;INAN;NOM;FEM;SG
夜	ночи	夜	ночь	N	N;INAN;NOM;FEM;PL
夜	ночами	夜	ночь	N	N;INAN;INS;FEM;PL
夜	ночей	夜	ночь	N	N;INAN;GEN;FEM;PL
夜	ночи	夜	ночь	N	N;INAN;NOM;FEM;PL
夜	ночь	夜	ночь	N	N;INAN;NOM;FEM;SG
乘客	пассажир	乘客	пассажир	N	N;ANIM;NOM;MASC;SG
乘客	пассажира	乘客	пассажир	N	N;ANIM;ACC;MASC;SG
乘客	пассажиров	乘客	пассажир	N	N;ANIM;ACC;MASC;PL
乘客	пассажиры	乘客	пассажир	N	N;ANIM;NOM;MASC;PL
錦標	чемпионат	錦標	чемпионат	N	N;INAN;NOM;MASC;SG
錦標	турнир	錦標	турнир	N	N;INAN;NOM;MASC;SG
錦標	турниры	錦標	турнир	N	N;INAN;NOM;MASC;PL
錦標	чемпионат	錦標	чемпионат	N	N;INAN;NOM;MASC;SG
禁止	запретить	禁止	запретить	V	V;PFV;NFIN;ACT
禁止	запрещена	禁止	запретить	V	V;PFV;FEM;SG;PST;V.PTCP;PASS
禁止	запрещенные	禁止	запретить	V	V;PFV;NOM;PL;PST;V.PTCP;PASS
禁止	запрещается	禁止	запрещать	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
禁止	запрещено	禁止	запретить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
禁止	запрещенные	禁止	запретить	V	V;PFV;NOM;PL;PST;V.PTCP;PASS
禁止	запрещается	禁止	запрещать	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
禁止	запрещена	禁止	запретить	V	V;PFV;FEM;SG;PST;V.PTCP;PASS
禁止	запрещено	禁止	запретить	V	V;PFV;NEUT;SG;PST;V.PTCP;PASS
重播	воспроизвести	重播	воспроизвести	V	V;PFV;NFIN;ACT
宣傳	публичности	宣傳	публичность	N	N;INAN;NOM;FEM;SG
宣傳	пропаганды	宣傳	пропаганда	N	N;INAN;NOM;FEM;PL
宣傳	пропаганда	宣傳	пропаганда	N	N;INAN;NOM;FEM;SG
宣傳	пропаганду	宣傳	пропаганда	N	N;INAN;ACC;FEM;SG
巨大	огромная	巨大	огромный	ADJ	ADJ;NOM;FEM;SG
巨大	огромный	巨大	огромный	ADJ	ADJ;NOM;MASC;SG
巨大	огромные	巨大	огромный	ADJ	ADJ;NOM;PL
巨大	огромное	巨大	огромный	ADJ	ADJ;NOM;NEUT;SG
同樣	аналогично	同樣	аналогично	ADV	ADV
蛇	змея	蛇	змея	N	N;ANIM;NOM;FEM;SG
蛇	змеи	蛇	змея	N	N;ANIM;NOM;FEM;PL
蛇	змей	蛇	змей	N	N;ANIM;NOM;MASC;SG
蛇	змеи	蛇	змея	N	N;ANIM;NOM;FEM;PL
蛇	змей	蛇	змей	N	N;ANIM;NOM;MASC;SG
紫	вайолет	紫	вайолет	N	N;ANIM;NOM;FEM;SG
週	недели	週	неделя	N	N;INAN;NOM;FEM;PL
週	неделю	週	неделя	N	N;INAN;ACC;FEM;SG
週	неделя	週	неделя	N	N;INAN;NOM;FEM;SG
上市	перечисленные	上市	перечислить	V	V;PFV;NOM;PL;PST;V.PTCP;PASS
上市	перечисленных	上市	перечислить	V	V;PFV;GEN;PL;PST;V.PTCP;PASS
上市	перечислены	上市	перечислить	V	V;PFV;PL;PST;V.PTCP;PASS
森林	леса	森林	лес	N	N;INAN;NOM;MASC;PL
森林	лес	森林	лес	N	N;INAN;NOM;MASC;SG
森林	леса	森林	лес	N	N;INAN;NOM;MASC;PL
介紹	представляем	介紹	представлять	V	V;IPFV;IND;PL;1;PRS;FIN;ACT
介紹	представляя	介紹	представлять	V	V;IPFV;PRS;V.CVB;ACT
白色	уайт	白色	уайт	N	N;ANIM;NOM;MASC;SG
晚上	вечер	晚上	вечер	N	N;INAN;NOM;MASC;SG
晚上	ночи	晚上	ночь	N	N;INAN;NOM;FEM;PL
晚上	ночь	晚上	ночь	N	N;INAN;NOM;FEM;SG
國王	король	國王	король	N	N;ANIM;NOM;MASC;SG
國王	кинг	國王	кинг	N	N;INAN;NOM;MASC;SG
國王	царь	國王	царь	N	N;ANIM;NOM;MASC;SG
耳	ухо	耳	ухо	N	N;INAN;NOM;NEUT;SG
耳	уха	耳	ухо	N	N;INAN;NOM;MASC;SG
耳	уши	耳	ухо	N	N;INAN;NOM;NEUT;PL
改變	меняется	改變	меняться	V	V;IPFV;IND;SG;3;PRS;FIN;MID
改變	меняю	改變	менять	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
改變	изменить	改變	изменить	V	V;PFV;NFIN;ACT
改變	сменить	改變	сменить	V	V;PFV;NFIN;ACT
廣場	площадь	廣場	площадь	N	N;INAN;NOM;FEM;SG
廣場	квадрат	廣場	квадрат	N	N;INAN;NOM;MASC;SG
廣場	пьяцца	廣場	пьяцец	N	N;INAN;NOM;MASC;SG
廣場	площадь	廣場	площадь	N	N;INAN;NOM;FEM;SG
廣場	плаза	廣場	плаза	N	N;INAN;NOM;MASC;SG
市民	граждане	市民	гражданин	N	N;ANIM;NOM;MASC;PL
市民	граждан	市民	гражданин	N	N;ANIM;GEN;MASC;PL
市民	гражданин	市民	гражданин	N	N;ANIM;NOM;MASC;SG
市民	гражданина	市民	гражданин	N	N;ANIM;ACC;MASC;SG
樹	дерево	樹	дерево	N	N;INAN;NOM;NEUT;SG
樹	деревья	樹	дерево	N	N;INAN;NOM;NEUT;PL
樹	деревьев	樹	дерево	N	N;INAN;GEN;NEUT;PL
聯邦	федерация	聯邦	федерация	N	N;INAN;NOM;FEM;SG
聯邦	федерации	聯邦	федерация	N	N;INAN;NOM;FEM;PL
聯邦	конфедерация	聯邦	конфедерация	N	N;INAN;NOM;FEM;SG
聯邦	конфедерации	聯邦	конфедерация	N	N;INAN;NOM;FEM;PL
麻	конопля	麻	конопль	N	N;INAN;NOM;FEM;SG
酸	кислота	酸	кислота	N	N;INAN;NOM;FEM;SG
酸	кислоты	酸	кислота	N	N;INAN;NOM;FEM;PL
酸	кислот	酸	кислота	N	N;INAN;GEN;FEM;PL
董事	директоров	董事	директор	N	N;ANIM;GEN;MASC;PL
董事	директора	董事	директор	N	N;ANIM;NOM;MASC;PL
外交	дипломатия	外交	дипломатия	N	N;INAN;NOM;FEM;SG
外交	дипломатии	外交	дипломатия	N	N;INAN;NOM;FEM;PL
夫人	мадам	夫人	мада	N	N;ANIM;DAT;FEM;PL
公斤	килограммов	公斤	килограмм	N	N;INAN;GEN;MASC;PL
公斤	килограмма	公斤	килограмм	N	N;INAN;GEN;MASC;SG
公斤	килограмм	公斤	килограмм	N	N;INAN;NOM;MASC;SG
公斤	килограмма	公斤	килограмм	N	N;INAN;GEN;MASC;SG
公斤	кило	公斤	кило	N	N;INAN;NOM;MASC;SG
公斤	килограмм	公斤	килограмм	N	N;INAN;NOM;MASC;SG
效果	эффект	效果	эффект	N	N;INAN;NOM;MASC;SG
效果	последствия	效果	последствие	N	N;INAN;NOM;NEUT;PL
效果	эффекты	效果	эффект	N	N;INAN;NOM;MASC;PL
資格	квалификация	資格	квалификация	N	N;INAN;NOM;FEM;SG
連續	последовательно	連續	последовательно	ADV	ADV
連續	непрерывно	連續	непрерывно	ADV	ADV
輪	колеса	輪	колесо	N	N;INAN;NOM;NEUT;PL
輪	колесо	輪	колесо	N	N;INAN;NOM;NEUT;SG
輪	колеса	輪	колесо	N	N;INAN;NOM;NEUT;PL
輪	колёса	輪	колесо	N	N;INAN;NOM;NEUT;PL
輪	раунд	輪	раунд	N	N;INAN;NOM;MASC;SG
記錄	записать	記錄	записать	V	V;PFV;NFIN;ACT
記錄	записывать	記錄	записывать	V	V;IPFV;NFIN;ACT
寫	напиши	寫	пишаш	V	V;PFV;IMP;SG;2;FIN;ACT
寫	пиши	寫	писать	V	V;IPFV;IMP;SG;2;FIN;ACT
寫	пишите	寫	писать	V	V;IPFV;IMP;PL;2;FIN;ACT
寫	напишите	寫	писать	V	V;PFV;IMP;PL;2;FIN;ACT
寫	написать	寫	писать	V	V;PFV;NFIN;ACT
寫	пишу	寫	писать	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
寫	писать	寫	писать	V	V;IPFV;NFIN;ACT
鹿	олень	鹿	олень	N	N;ANIM;NOM;MASC;SG
地理	географии	地理	география	N	N;INAN;NOM;FEM;SG
地理	география	地理	география	N	N;INAN;NOM;FEM;SG
網頁	вебсайт	網頁	вебсайт	N	N;INAN;NOM;MASC;SG
網頁	сайт	網頁	сайт	N	N;INAN;NOM;MASC;SG
秘密	тайна	秘密	тайна	N	N;INAN;NOM;FEM;SG
秘密	секрет	秘密	секрет	N	N;INAN;NOM;MASC;SG
變	изменить	變	изменить	V	V;PFV;NFIN;ACT
變	сменить	變	сменить	V	V;PFV;NFIN;ACT
開放	открыть	開放	открыть	V	V;PFV;NFIN;ACT
開放	открытый	開放	открыть	V	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
開放	открытая	開放	открыть	V	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
主持	ведущая	主持	вести	V	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT
主持	принимающих	主持	принимать	V	V;IPFV;GEN;PL;PRS;V.PTCP;ACT
主持	принимающая	主持	принимать	V	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT
運輸	транспорт	運輸	транспорт	N	N;INAN;NOM;MASC;SG
運輸	транспортировка	運輸	транспортировка	N	N;INAN;NOM;FEM;SG
運輸	транспорт	運輸	транспорт	N	N;INAN;NOM;MASC;SG
運輸	перевозка	運輸	перевозка	N	N;INAN;NOM;FEM;SG
運輸	перевозки	運輸	перевозка	N	N;INAN;NOM;FEM;PL
大小	размеры	大小	размер	N	N;INAN;NOM;MASC;PL
大小	размеры	大小	размер	N	N;INAN;NOM;MASC;PL
大小	размер	大小	размер	N	N;INAN;NOM;MASC;SG
習性	привычки	習性	привычка	N	N;INAN;NOM;FEM;PL
頂	верх	頂	верх	N	N;INAN;NOM;MASC;SG
頂	топ	頂	топ	N	N;INAN;NOM;MASC;SG
三	три	三	три	NUM	NUM;NOM
三	трое	三	трое	NUM	NUM;NOM
符	амулет	符	амулет	N	N;INAN;NOM;MASC;SG
親	поцелуй	親	поцелуй	N	N;INAN;NOM;MASC;SG
兒子	сынок	兒子	сынок	N	N;ANIM;NOM;MASC;SG
兒子	сын	兒子	сын	N	N;ANIM;NOM;MASC;SG
骨	костей	骨	кость	N	N;INAN;GEN;FEM;PL
骨	кости	骨	кость	N	N;INAN;NOM;FEM;PL
骨	кость	骨	кость	N	N;INAN;NOM;FEM;SG
人口	переписи	人口	перепись	N	N;INAN;NOM;FEM;PL
人口	перепись	人口	перепись	N	N;INAN;NOM;FEM;SG
人口	переписей	人口	перепись	N	N;INAN;GEN;FEM;PL
人口	переписи	人口	перепись	N	N;INAN;NOM;FEM;PL
戰役	битва	戰役	битва	N	N;INAN;NOM;FEM;SG
戰役	бой	戰役	бой	N	N;INAN;NOM;MASC;SG
戰役	сражение	戰役	сражение	N	N;INAN;NOM;NEUT;SG
戰役	битв	戰役	битва	N	N;INAN;GEN;FEM;PL
戰役	сражения	戰役	сражение	N	N;INAN;NOM;NEUT;PL
戰役	битвы	戰役	битва	N	N;INAN;NOM;FEM;PL
電台	радио	電台	радио	N	N;INAN;NOM;NEUT;SG
墓	могила	墓	могила	N	N;INAN;NOM;FEM;SG
墓	гробнице	墓	гробница	N	N;INAN;DAT;FEM;SG
墓	могила	墓	могила	N	N;INAN;NOM;FEM;SG
北方	север	北方	север	N	N;INAN;NOM;MASC;SG
北方	норт	北方	норт	N	N;INAN;NOM;MASC;SG
星期	понедельникам	星期	понедельник	N	N;INAN;DAT;MASC;PL
星期	понедельник	星期	понедельник	N	N;INAN;NOM;MASC;SG
業務	бизнес	業務	бизнес	N	N;INAN;NOM;MASC;SG
前身	предшественника	前身	предшественник	N	N;ANIM;ACC;MASC;SG
前身	предшественник	前身	предшественник	N	N;ANIM;NOM;MASC;SG
前身	предшественник	前身	предшественник	N	N;ANIM;NOM;MASC;SG
投資	инвестиции	投資	инвестиция	N	N;INAN;NOM;FEM;PL
投資	инвестирование	投資	инвестирование	N	N;INAN;NOM;NEUT;SG
投資	капиталовложения	投資	капиталовложение	N	N;INAN;NOM;NEUT;PL
投資	инвестиции	投資	инвестиция	N	N;INAN;NOM;FEM;PL
投資	инвестирование	投資	инвестирование	N	N;INAN;NOM;NEUT;SG
投資	капиталовложения	投資	капиталовложение	N	N;INAN;NOM;NEUT;PL
投資	инвестиции	投資	инвестиция	N	N;INAN;NOM;FEM;PL
海洋	океаны	海洋	океан	N	N;INAN;NOM;MASC;PL
海洋	океанов	海洋	океан	N	N;INAN;GEN;MASC;PL
海洋	океан	海洋	океан	N	N;INAN;NOM;MASC;SG
海洋	океана	海洋	океан	N	N;INAN;GEN;MASC;SG
類型	жанр	類型	жанр	N	N;INAN;NOM;MASC;SG
類型	тип	類型	тип	N	N;INAN;NOM;MASC;SG
類型	типы	類型	тип	N	N;INAN;NOM;MASC;PL
類型	типов	類型	тип	N	N;INAN;GEN;MASC;PL
類型	виды	類型	вид	N	N;INAN;NOM;MASC;PL
機會	шанс	機會	шанс	N	N;INAN;NOM;MASC;SG
機會	возможность	機會	возможность	N	N;INAN;NOM;FEM;SG
機會	возможности	機會	возможность	N	N;INAN;NOM;FEM;PL
機會	возможности	機會	возможность	N	N;INAN;NOM;FEM;PL
錯誤	ошибка	錯誤	ошибка	N	N;INAN;NOM;FEM;SG
錯誤	ошибки	錯誤	ошибка	N	N;INAN;NOM;FEM;PL
錯誤	ошибка	錯誤	ошибка	N	N;INAN;NOM;FEM;SG
總部	штаб	總部	штаб	N	N;INAN;NOM;MASC;SG
健康	здоровья	健康	здоровье	N	N;INAN;NOM;NEUT;PL
健康	здоровье	健康	здоровье	N	N;INAN;NOM;NEUT;SG
健康	здравоохранения	健康	здравоохранение	N	N;INAN;NOM;NEUT;SG
健康	здравоохранение	健康	здравоохранение	N	N;INAN;NOM;NEUT;SG
股	подразделение	股	подразделение	N	N;INAN;NOM;NEUT;SG
股	единицы	股	единица	N	N;INAN;NOM;FEM;PL
股	единица	股	единица	N	N;INAN;NOM;FEM;SG
身高	высота	身高	высота	N	N;INAN;NOM;FEM;SG
身高	рост	身高	рост	N	N;INAN;NOM;MASC;SG
空中	воздухе	空中	воздух	N	N;INAN;ESS;MASC;SG
空中	воздух	空中	воздух	N	N;INAN;NOM;MASC;SG
工人	трудящиеся	工人	трудящийся	N	N;ANIM;NOM;MASC;PL
工人	работники	工人	работник	N	N;ANIM;NOM;MASC;PL
工人	рабочие	工人	рабочий	N	N;ANIM;NOM;MASC;PL
工人	работников	工人	работник	N	N;ANIM;GEN;MASC;PL
工人	трудящихся	工人	трудящийся	N	N;ANIM;GEN;MASC;PL
工人	работник	工人	работник	N	N;ANIM;NOM;MASC;SG
經常	часто	經常	часто	ADV	ADV
經常	нередко	經常	нередко	ADV	ADV
經常	часто	經常	часто	ADV	ADV
經常	зачастую	經常	зачастую	ADV	ADV
經常	часто	經常	часто	ADV	ADV
喜歡	нравится	喜歡	нравиться	V	V;IPFV;IND;SG;3;PRS;FIN;MID
警方	полицейские	警方	полицейский	N	N;ANIM;NOM;MASC;PL
警方	полиции	警方	полиция	N	N;INAN;NOM;FEM;PL
警方	полиция	警方	полиция	N	N;INAN;NOM;FEM;SG
十七	семнадцать	十七	семнадцать	NUM	NUM;NOM
能量	энергия	能量	энергия	N	N;INAN;NOM;FEM;SG
能量	энергии	能量	энергия	N	N;INAN;NOM;FEM;PL
能量	энергетика	能量	энергетика	N	N;INAN;NOM;FEM;SG
酒	алкоголь	酒	алкоголь	N	N;INAN;NOM;MASC;SG
酒	спирт	酒	спирт	N	N;INAN;NOM;MASC;SG
酒	вина	酒	вино	N	N;INAN;NOM;NEUT;SG
酒	вино	酒	вино	N	N;INAN;NOM;NEUT;SG
地面	поверхность	地面	поверхность	N	N;INAN;NOM;FEM;SG
地面	поверхности	地面	поверхность	N	N;INAN;NOM;FEM;PL
地面	основание	地面	основание	N	N;INAN;NOM;NEUT;SG
然後	тогда	然後	тогда	ADV	ADV
然後	потом	然後	потом	ADV	ADV
然後	затем	然後	затем	ADV	ADV
十四	четырнадцать	十四	четырнадцать	NUM	NUM;NOM
鬼	призрак	鬼	призрак	N	N;ANIM;NOM;MASC;SG
鬼	призраки	鬼	призрак	N	N;INAN;NOM;MASC;PL
鬼	привидение	鬼	привидение	N	N;INAN;NOM;NEUT;SG
鼠	крысы	鼠	крыса	N	N;ANIM;NOM;FEM;PL
鼠	крыса	鼠	крыса	N	N;ANIM;NOM;FEM;SG
鼠	мышка	鼠	мышка	N	N;ANIM;NOM;FEM;SG
鼠	мыши	鼠	мышь	N	N;INAN;NOM;FEM;PL
鼠	мышь	鼠	мышь	N	N;INAN;NOM;FEM;SG
鼠	мышей	鼠	мышь	N	N;ANIM;GEN;FEM;PL
鼠	мыши	鼠	мышь	N	N;INAN;NOM;FEM;PL
退出	бросить	退出	бросить	V	V;PFV;NFIN;ACT
兒童	детей	兒童	ребенок	N	N;ANIM;ACC;MASC;PL
兒童	дети	兒童	ребенок	N	N;ANIM;NOM;MASC;PL
兒童	дитя	兒童	дитя	N	N;INAN;NOM;NEUT;SG
兒童	ребенок	兒童	ребенок	N	N;ANIM;NOM;MASC;SG
兒童	ребёнок	兒童	ребёнок	N	N;ANIM;NOM;MASC;SG
兒童	ребенка	兒童	ребенок	N	N;ANIM;ACC;MASC;SG
東部	востоке	東部	восток	N	N;INAN;ESS;MASC;SG
東部	восток	東部	восток	N	N;INAN;NOM;MASC;SG
東部	ист	東部	ист	N	N;INAN;NOM;NEUT;SG
逐漸	постепенно	逐漸	постепенно	ADV	ADV
博物	музеи	博物	музей	N	N;INAN;NOM;MASC;PL
博物	музей	博物	музей	N	N;INAN;NOM;MASC;SG
對話	переписку	對話	переписка	N	N;INAN;ACC;FEM;SG
對話	переписка	對話	переписка	N	N;INAN;NOM;FEM;SG
對話	разговор	對話	разговор	N	N;INAN;NOM;MASC;SG
對話	беседа	對話	беседа	N	N;INAN;NOM;FEM;SG
對話	диалог	對話	диалог	N	N;INAN;NOM;MASC;SG
對話	диалоги	對話	диалог	N	N;INAN;NOM;MASC;PL
對話	диалог	對話	диалог	N	N;INAN;NOM;MASC;SG
對話	переписки	對話	переписка	N	N;INAN;NOM;FEM;PL
對話	разговоры	對話	разговор	N	N;INAN;NOM;MASC;PL
對話	беседы	對話	беседа	N	N;INAN;NOM;FEM;PL
琴	скрипка	琴	скрипка	N	N;INAN;NOM;FEM;SG
階段	этапе	階段	этап	N	N;INAN;ESS;MASC;SG
階段	стадия	階段	стадия	N	N;INAN;NOM;FEM;SG
階段	фаза	階段	фаза	N	N;INAN;NOM;FEM;SG
階段	этап	階段	этап	N	N;INAN;NOM;MASC;SG
階段	этапы	階段	этап	N	N;INAN;NOM;MASC;PL
階段	этапах	階段	этап	N	N;INAN;ESS;MASC;PL
階段	фазы	階段	фаза	N	N;INAN;NOM;FEM;PL
階段	этапах	階段	этап	N	N;INAN;ESS;MASC;PL
階段	стадии	階段	стадия	N	N;INAN;NOM;FEM;PL
階段	этапы	階段	этап	N	N;INAN;NOM;MASC;PL
階段	ступень	階段	ступень	N	N;INAN;NOM;FEM;SG
階段	этап	階段	этап	N	N;INAN;NOM;MASC;SG
階段	стадия	階段	стадия	N	N;INAN;NOM;FEM;SG
階段	этапе	階段	этап	N	N;INAN;ESS;MASC;SG
游	тур	游	тур	N	N;INAN;NOM;MASC;SG
游	гастроли	游	гастроль	N	N;INAN;NOM;MASC;PL
游	плавание	游	плавание	N	N;INAN;NOM;NEUT;SG
病	болезнь	病	болезнь	N	N;INAN;NOM;FEM;SG
病	заболевание	病	заболевание	N	N;INAN;NOM;NEUT;SG
病	болезни	病	болезнь	N	N;INAN;NOM;FEM;PL
病	болезнь	病	болезнь	N	N;INAN;NOM;FEM;SG
病	заболевание	病	заболевание	N	N;INAN;NOM;NEUT;SG
病	заболевания	病	заболевание	N	N;INAN;NOM;NEUT;PL
病	болезни	病	болезнь	N	N;INAN;NOM;FEM;PL
病	больным	病	больной	N	N;ANIM;DAT;MASC;PL
病	больные	病	больной	N	N;ANIM;NOM;MASC;PL
病	больной	病	больной	N	N;ANIM;NOM;MASC;SG
病	болезнь	病	болезнь	N	N;INAN;NOM;FEM;SG
病	болезни	病	болезнь	N	N;INAN;NOM;FEM;PL
格式	форматирование	格式	форматирование	N	N;INAN;NOM;NEUT;SG
格式	форматы	格式	формат	N	N;INAN;NOM;MASC;PL
格式	формат	格式	формат	N	N;INAN;NOM;MASC;SG
事故	авария	事故	авария	N	N;INAN;NOM;FEM;SG
事故	аварии	事故	авария	N	N;INAN;NOM;FEM;PL
事故	случайность	事故	случайность	N	N;INAN;NOM;FEM;SG
事故	дтп	事故	дтп	N	N;INAN;NOM;NEUT;SG
事故	происшествия	事故	происшествие	N	N;INAN;NOM;NEUT;PL
事故	аварии	事故	авария	N	N;INAN;NOM;FEM;PL
事故	аварий	事故	авария	N	N;INAN;GEN;FEM;PL
事故	дтп	事故	дтп	N	N;INAN;NOM;NEUT;SG
藝人	артисты	藝人	артист	N	N;ANIM;NOM;MASC;PL
藝人	исполнитель	藝人	исполнитель	N	N;ANIM;NOM;MASC;SG
藝人	художник	藝人	художник	N	N;ANIM;NOM;MASC;SG
藝人	артист	藝人	артист	N	N;ANIM;NOM;MASC;SG
藝人	художники	藝人	художник	N	N;ANIM;NOM;MASC;PL
藝人	артисты	藝人	артист	N	N;ANIM;NOM;MASC;PL
藝人	художников	藝人	художник	N	N;ANIM;ACC;MASC;PL
藝人	исполнители	藝人	исполнитель	N	N;ANIM;NOM;MASC;PL
藝人	артист	藝人	артист	N	N;ANIM;NOM;MASC;SG
天使	ангелами	天使	ангел	N	N;ANIM;INS;MASC;PL
天使	ангелы	天使	ангел	N	N;ANIM;NOM;MASC;PL
天使	ангелов	天使	ангел	N	N;ANIM;GEN;MASC;PL
天使	анхель	天使	анхель	N	N;INAN;NOM;MASC;SG
天使	ангел	天使	ангел	N	N;ANIM;NOM;MASC;SG
天使	ангела	天使	ангел	N	N;ANIM;NOM;MASC;SG
表面	поверхность	表面	поверхность	N	N;INAN;NOM;FEM;SG
表面	поверхности	表面	поверхность	N	N;INAN;NOM;FEM;PL
池	пруд	池	пруд	N	N;INAN;NOM;MASC;SG
池	пул	池	пуля	N	N;INAN;NOM;MASC;SG
池	бассейн	池	бассейн	N	N;INAN;NOM;MASC;SG
池	бильярд	池	бильярд	N	N;INAN;NOM;NEUT;SG
圖片	картинка	圖片	картинка	N	N;INAN;NOM;FEM;SG
圖片	фотография	圖片	фотография	N	N;INAN;NOM;FEM;SG
圖片	фотка	圖片	фотка	N	N;INAN;NOM;FEM;SG
圖片	рисунки	圖片	рисунок	N	N;INAN;NOM;MASC;PL
圖片	фотографии	圖片	фотография	N	N;INAN;NOM;FEM;PL
圖片	картинки	圖片	картинка	N	N;INAN;NOM;FEM;PL
圖片	имидж	圖片	имидж	N	N;INAN;NOM;MASC;SG
圖片	картинка	圖片	картинка	N	N;INAN;NOM;FEM;SG
圖片	образ	圖片	образ	N	N;INAN;NOM;MASC;SG
圖片	изображения	圖片	изображение	N	N;INAN;NOM;NEUT;PL
圖片	изображение	圖片	изображение	N	N;INAN;NOM;NEUT;SG
圖片	картинки	圖片	картинка	N	N;INAN;NOM;FEM;PL
圖片	изображения	圖片	изображение	N	N;INAN;NOM;NEUT;PL
圖片	образы	圖片	образ	N	N;INAN;NOM;MASC;PL
風暴	бури	風暴	буря	N	N;INAN;NOM;FEM;PL
風暴	шторм	風暴	шторм	N	N;INAN;NOM;MASC;SG
風暴	буря	風暴	буря	N	N;INAN;NOM;FEM;SG
