for	pour	for	pour	ADP	ADP
fuld	complet	fuld	complet	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
fuld	saoul	fuld	saoul	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
fuld	ivre	fuld	ivre	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
formentlig	surement	formentlig	surement	ADV	ADV
formentlig	probablement	formentlig	probablement	ADV	ADV
formentlig	sûrement	formentlig	sûrement	ADV	ADV
formentlig	vraisemblablement	formentlig	vraisemblablement	ADV	ADV
college	collège	college	collège	N;INDF;MASC+FEM;SG	N;MASC;SG
college	université	college	université	N;INDF;MASC+FEM;SG	N;FEM;SG
gods	cargaison	gods	cargaison	N;INDF;NEUT;SG	N;FEM;SG
gods	fret	gods	fret	N;INDF;NEUT;SG	N;MASC;SG
gods	marchandise	gods	marchandiser	N;INDF;NEUT;SG	N;FEM;SG
gods	fret	gods	fret	N;INDF;NEUT;SG	N;MASC;SG
fokus	focus	fokus	focus	N;INDF;NEUT;SG	N;MASC;SG
billedet	image	billede	image	N;DEF;NEUT;SG	N;FEM;SG
byggede	construite	bygge	construire	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
byggede	construit	bygge	construire	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
byggede	bâti	bygge	bâtir	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
byggede	construits	bygge	construire	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
indviet	consacrée	indvie	consacrer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
indviet	consacré	indvie	consacrer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
indviet	inauguré	indvie	inaugurer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
indviet	inaugurée	indvie	inaugurer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
indført	introduit	indføre	introduire	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
slå	battez	slå	battre	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
slå	battu	slå	battre	V;NFIN;ACT	V;MASC;SG;PST;V.PTCP
slå	battre	slå	battre	V;NFIN;ACT	V;NFIN
slå	touché	slå	toucher	V;NFIN;ACT	V;MASC;SG;PST;V.PTCP
slå	frappé	slå	frapper	V;NFIN;ACT	V;MASC;SG;PST;V.PTCP
slå	frapper	slå	frapper	V;NFIN;ACT	V;NFIN
privat	privé	privat	privé	ADJ;INDF;SG	ADJ;MASC;SG
åbnet	ouvert	åbne	ouvrir	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
kontakt	contact	kontakt	contact	N;INDF;MASC+FEM;SG	N;MASC;SG
manglende	manquant	mangle	manquer	V;PRS;V.PTCP	V;PRS;V.PTCP
klassiske	classiques	klassisk	classique	ADJ;PL	ADJ;MASC;PL
stigende	grandir	stige	grandir	V;PRS;V.PTCP	V;NFIN
stigende	grandissant	stige	grandir	V;PRS;V.PTCP	V;PRS;V.PTCP
stigende	grandissant	stige	grandir	V;PRS;V.PTCP	V;PRS;V.PTCP
stigende	ascendant	stige	ascendant	V;PRS;V.PTCP	V;PRS;V.PTCP
vor	notre	vores	son	DET;MASC+FEM;SG;1	DET;MASC;SG
grænse	frontière	grænse	frontière	N;INDF;MASC+FEM;SG	N;FEM;SG
grænse	border	grænse	border	N;INDF;MASC+FEM;SG	N;MASC;SG
grænse	bordure	grænse	bordure	N;INDF;MASC+FEM;SG	N;FEM;SG
grænse	limite	grænse	limite	N;INDF;MASC+FEM;SG	N;FEM;SG
grænse	frontière	grænse	frontière	N;INDF;MASC+FEM;SG	N;FEM;SG
forenede	unis	forene	unir	V;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
liga	league	liga	league	N;INDF;MASC+FEM;SG	N;MASC;SG
liga	ligue	liga	ligue	N;INDF;MASC+FEM;SG	N;FEM;SG
liga	liga	liga	liga	N;INDF;MASC+FEM;SG	N;FEM;SG
adolf	adolphe	adolf	adolphe	N;INDF;MASC+FEM;SG	N;MASC;SG
house	maison	house	maison	N;INDF;MASC+FEM;SG	N;FEM;SG
sport	sport	sport	sport	N;INDF;MASC+FEM;SG	N;MASC;SG
sport	sport	sport	sport	N;INDF;MASC+FEM;SG	N;MASC;SG
angriber	attaque	angriber	attaque	N;INDF;MASC+FEM;SG	N;FEM;SG
angriber	attentat	angriber	attentat	N;INDF;MASC+FEM;SG	N;MASC;SG
angriber	agresseur	angriber	agresseur	N;INDF;MASC+FEM;SG	N;MASC;SG
angriber	attaquant	angriber	attaquant	N;INDF;MASC+FEM;SG	N;MASC;SG
værdi	valeur	værdi	valeur	N;INDF;MASC+FEM;SG	N;FEM;SG
lukket	fermée	lukke	fermer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
lukket	fermé	lukke	fermer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
fordelt	distribué	fordele	distribuer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
fordelt	distribuée	fordele	distribuer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
oversættelse	traduction	oversættelse	traduction	N;INDF;MASC+FEM;SG	N;FEM;SG
planer	plans	plan	plan	N;INDF;MASC+FEM;PL	N;MASC;PL
falder	tomber	falde	tomber	V;IND;PRS;FIN;ACT	V;NFIN
falder	tombant	falde	tomber	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
falder	tombe	falde	tomber	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
falder	tomber	falde	tomber	V;IND;PRS;FIN;ACT	V;NFIN
kender	connaitre	kende	connaître	V;IND;PRS;FIN;ACT	V;NFIN
kender	connaître	kende	connaître	V;IND;PRS;FIN;ACT	V;NFIN
kender	savoir	kende	savoir	V;IND;PRS;FIN;ACT	V;NFIN
kender	sait	kende	savoir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kender	connait	kende	connaître	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
dvd	dvd	dvd	DVD	N;INDF;MASC+FEM;SG	N;MASC;SG
natten	soirée	nat	soirée	N;DEF;MASC+FEM;SG	N;FEM;SG
natten	nuit	nat	nuit	N;DEF;MASC+FEM;SG	N;FEM;SG
natten	soir	nat	soir	N;DEF;MASC+FEM;SG	N;MASC;SG
romersk	roman	romersk	roman	N;INDF;MASC+FEM;SG	N;MASC;SG
funktion	fonction	funktion	fonction	N;INDF;MASC+FEM;SG	N;FEM;SG
funktion	fonctionnement	funktion	fonctionnement	N;INDF;MASC+FEM;SG	N;MASC;SG
funktion	fonctionnalité	funktion	fonctionnalité	N;INDF;MASC+FEM;SG	N;FEM;SG
indsats	action	indsats	action	N;INDF;MASC+FEM;SG	N;FEM;SG
indsats	effort	indsats	effort	N;INDF;MASC+FEM;SG	N;MASC;SG
video	vidéo	video	vidéo	N;INDF;MASC+FEM;SG	N;MASC;SG
video	video	video	video	N;INDF;MASC+FEM;SG	N;FEM;SG
udlandet	etranger	udland	etranger	N;DEF;NEUT;SG	N;MASC;SG
leksikon	lexique	leksikon	lexique	N;INDF;NEUT;SG	N;MASC;SG
leksikon	encyclopédie	leksikon	encyclopédie	N;INDF;NEUT;SG	N;FEM;SG
klaver	piano	klave	piano	N;INDF;MASC+FEM;SG	N;MASC;SG
rum	compartiment	rum	compartiment	N;INDF;NEUT;SG	N;MASC;SG
rum	salle	rum	salle	N;INDF;NEUT;SG	N;FEM;SG
rum	chambre	rum	chambre	N;INDF;NEUT;SG	N;FEM;SG
rum	espace	rum	espace	N;INDF;NEUT;SG	N;MASC;SG
relativt	relativement	relativt	relativement	ADV	ADV
omfattede	incluses	omfatte	inclure	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
omfattede	inclus	omfatte	inclure	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
omfattede	incluse	omfatte	inclure	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
omfattede	compris	omfatte	comprendre	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
øerne	îles	øerne	île	N;DEF;NEUT;PL	N;FEM;PL
øerne	iles	øerne	ile	N;DEF;NEUT;PL	N;FEM;PL
aftale	nomination	aftale	nomination	N;INDF;MASC+FEM;SG	N;FEM;SG
aftale	accord	aftale	accord	N;INDF;MASC+FEM;SG	N;MASC;SG
aftale	aubaine	aftale	aubain	N;INDF;MASC+FEM;SG	N;FEM;SG
websted	site	websted	site	N;INDF;MASC+FEM;SG	N;MASC;SG
generation	génération	generation	génération	N;INDF;MASC+FEM;SG	N;FEM;SG
sønner	sons	søn	son	N;INDF;MASC+FEM;PL	N;MASC;PL
parken	parc	park	parc	N;DEF;MASC+FEM;SG	N;MASC;SG
hitler	hitler	hitle	hitler	N;INDF;MASC+FEM;SG	N;MASC;SG
anvendelse	application	anvendelse	application	N;INDF;MASC+FEM;SG	N;FEM;SG
anvendelse	candidature	anvendelse	candidature	N;INDF;MASC+FEM;SG	N;FEM;SG
anvendelse	utilisation	anvendelse	utilisation	N;INDF;MASC+FEM;SG	N;FEM;SG
anvendelse	applicabilité	anvendelse	applicabilité	N;INDF;MASC+FEM;SG	N;FEM;SG
farver	colorants	farve	colorant	N;INDF;MASC+FEM;PL	N;MASC;PL
farver	coloris	farve	coloris	N;INDF;MASC+FEM;PL	N;MASC;PL
farver	couleurs	farve	couleur	N;INDF;MASC+FEM;PL	N;FEM;PL
farver	teintes	farve	teinte	N;INDF;MASC+FEM;PL	N;FEM;PL
farver	coloris	farve	coloris	N;INDF;MASC+FEM;PL	N;MASC;PL
farver	couleurs	farve	couleur	N;INDF;MASC+FEM;PL	N;FEM;PL
farver	coloris	farve	coloris	N;INDF;MASC+FEM;PL	N;MASC;PL
farver	couleurs	farve	couleur	N;INDF;MASC+FEM;PL	N;FEM;PL
farver	coloris	farve	coloris	N;INDF;MASC+FEM;PL	N;MASC;PL
farver	couleurs	farve	couleur	N;INDF;MASC+FEM;PL	N;FEM;PL
stærke	forts	stærk	fort	ADJ;PL	ADJ;MASC;PL
udgjorde	constitué	udgjorde	constituer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
udgjorde	constituée	udgjorde	constituer	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
webside	site	webside	site	N;INDF;MASC+FEM;SG	N;MASC;SG
vækst	croissance	vækst	croissance	N;INDF;MASC+FEM;SG	N;FEM;SG
bredde	latitude	bredde	latitude	N;INDF;MASC+FEM;SG	N;FEM;SG
bredde	largeur	bredde	largeur	N;INDF;MASC+FEM;SG	N;FEM;SG
arena	aréna	arena	aréna	N;INDF;MASC+FEM;SG	N;MASC;SG
arena	arène	arena	arène	N;INDF;MASC+FEM;SG	N;FEM;SG
mesterskab	championnat	mesterskab	championnat	N;INDF;NEUT;SG	N;MASC;SG
toppen	top	top	top	N;DEF;MASC+FEM;SG	N;MASC;SG
udvalg	choix	udvalg	choix	N;INDF;NEUT;SG	N;MASC;SG
udvalg	sélection	udvalg	sélection	N;INDF;NEUT;SG	N;FEM;SG
udvalg	comité	udvalg	comité	N;INDF;NEUT;SG	N;MASC;SG
kærlighed	amour	kærlighed	amour	N;INDF;MASC+FEM;SG	N;MASC;SG
opgaver	tâches	opgave	tâche	N;INDF;MASC+FEM;PL	N;FEM;PL
opgaver	fonctions	opgave	fonction	N;INDF;MASC+FEM;PL	N;FEM;PL
opgaver	devoirs	opgave	devoir	N;INDF;MASC+FEM;PL	N;MASC;PL
gården	cour	gård	cour	N;DEF;MASC+FEM;SG	N;FEM;SG
internationalt	international	international	international	ADJ;INDF;NEUT;SG	ADJ;MASC;SG
internationalt	internationale	international	international	ADJ;INDF;NEUT;SG	ADJ;FEM;SG
opfattelse	perception	opfattelse	perception	N;INDF;MASC+FEM;SG	N;FEM;SG
opfattelse	perception	opfattelse	perception	N;INDF;MASC+FEM;SG	N;FEM;SG
ringe	appeler	ringe	appeler	V;NFIN;ACT	V;NFIN
ringe	appelez	ringe	appeler	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
ringe	appelle	ringe	appeler	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
professionelle	professionnels	professionel	professionnel	ADJ;PL	ADJ;MASC;PL
professionelle	professionnels	professionel	professionnel	ADJ;PL	ADJ;MASC;PL
professionelle	professionnelles	professionel	professionnel	ADJ;PL	ADJ;FEM;PL
sikkert	surement	sikkert	surement	ADV	ADV
sikkert	probablement	sikkert	probablement	ADV	ADV
sikkert	sûrement	sikkert	sûrement	ADV	ADV
landbrug	agriculture	landbrug	agriculture	N;INDF;NEUT;SG	N;FEM;SG
koncerter	concerts	koncert	concert	N;INDF;MASC+FEM;PL	N;MASC;PL
ødelagt	corrompu	ødelægge	corrompre	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ødelagt	corrompue	ødelægge	corrompre	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
ødelagt	gâché	ødelægge	gâcher	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ødelagt	ruiné	ødelægge	ruiner	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ødelagt	détruite	ødelægge	détruire	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
ødelagt	détruit	ødelægge	détruire	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ødelagt	brisé	ødelægge	briser	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ødelagt	cassé	ødelægge	cassé	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ødelagt	brisée	ødelægge	briser	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
ødelagt	cassée	ødelægge	casser	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
jøder	juifs	jøde	juif	N;INDF;MASC+FEM;PL	N;MASC;PL
jøder	juifs	jøde	juif	N;INDF;MASC+FEM;PL	N;MASC;PL
flertal	majorité	flertal	majorité	N;INDF;NEUT;SG	N;FEM;SG
flertal	pluriel	flertal	pluriel	N;INDF;NEUT;SG	N;MASC;SG
leje	location	leje	location	N;INDF;MASC+FEM;SG	N;FEM;SG
leje	loyer	leje	loyer	N;INDF;MASC+FEM;SG	N;MASC;SG
pladser	endroits	plads	endroit	N;INDF;MASC+FEM;PL	N;MASC;PL
pladser	lieux	plads	lieu	N;INDF;MASC+FEM;PL	N;MASC;PL
pladser	sièges	plads	siège	N;INDF;MASC+FEM;PL	N;MASC;PL
varer	marchandises	vare	marchandise	N;INDF;MASC+FEM;PL	N;FEM;PL
varer	biens	vare	bien	N;INDF;MASC+FEM;PL	N;MASC;PL
politiet	police	politi	police	N;DEF;NEUT;SG	N;FEM;SG
politiet	policier	politi	policier	N;DEF;NEUT;SG	N;MASC;SG
grønne	vertes	grøn	vert	ADJ;PL	ADJ;FEM;PL
grønne	verts	grøn	vert	ADJ;PL	ADJ;MASC;PL
skabelonen	gabarit	skabelon	gabarit	N;DEF;MASC+FEM;SG	N;MASC;SG
skabelonen	modèle	skabelon	modèle	N;DEF;MASC+FEM;SG	N;MASC;SG
udstyret	équipée	udstyre	équiper	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
udstyret	équipé	udstyre	équiper	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
teknisk	technique	teknisk	technique	ADJ;INDF;SG	ADJ;MASC;SG
undersøgelser	sondages	undersøgelse	sondage	N;INDF;MASC+FEM;PL	N;MASC;PL
undersøgelser	enquêtes	undersøgelse	enquête	N;INDF;MASC+FEM;PL	N;FEM;PL
undersøgelser	etudes	undersøgelse	etude	N;INDF;MASC+FEM;PL	N;FEM;PL
undersøgelser	études	undersøgelse	étude	N;INDF;MASC+FEM;PL	N;FEM;PL
undersøgelser	enquêtes	undersøgelse	enquête	N;INDF;MASC+FEM;PL	N;FEM;PL
undersøgelser	enquêtes	undersøgelse	enquête	N;INDF;MASC+FEM;PL	N;FEM;PL
forbund	alliance	forbund	alliance	N;INDF;NEUT;SG	N;FEM;SG
forbund	fédération	forbund	fédération	N;INDF;NEUT;SG	N;FEM;SG
forbund	confédération	forbund	confédération	N;INDF;NEUT;SG	N;FEM;SG
starter	débute	starte	débuter	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
starter	démarre	starte	démarrer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
starter	commence	starte	commencer	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
starter	démarrer	starte	démarrer	V;IND;PRS;FIN;ACT	V;NFIN
starter	démarrer	starte	démarrer	V;IND;PRS;FIN;ACT	V;NFIN
starter	commencer	starte	commencer	V;IND;PRS;FIN;ACT	V;NFIN
masse	masse	masse	masse	N;INDF;MASC+FEM;SG	N;FEM;SG
masse	messe	masse	messe	N;INDF;MASC+FEM;SG	N;FEM;SG
masse	lot	masse	lot	N;INDF;MASC+FEM;SG	N;MASC;SG
revolution	revolution	revolution	revolution	N;INDF;MASC+FEM;SG	N;FEM;SG
revolution	révolution	revolution	révolution	N;INDF;MASC+FEM;SG	N;FEM;SG
årtier	décennies	årti	décennie	N;INDF;NEUT;PL	N;FEM;PL
kongeriget	royaume	kongerig	royaume	N;DEF;NEUT;SG	N;MASC;SG
youtube	youtube	youtube	youtube	N;INDF;MASC+FEM;SG	N;FEM;SG
aktiviteter	activités	aktivitet	activité	N;INDF;MASC+FEM;PL	N;FEM;PL
kanoner	canons	kanon	canon	N;INDF;MASC+FEM;PL	N;MASC;PL
kanoner	fusils	kanon	fusil	N;INDF;MASC+FEM;PL	N;MASC;PL
kanoner	armes	kanon	arme	N;INDF;MASC+FEM;PL	N;FEM;PL
kanoner	pistolets	kanon	pistolet	N;INDF;MASC+FEM;PL	N;MASC;PL
kanoner	canons	kanon	canon	N;INDF;MASC+FEM;PL	N;MASC;PL
kanoner	canons	kanon	canon	N;INDF;MASC+FEM;PL	N;MASC;PL
episode	épisode	episode	épisode	N;INDF;MASC+FEM;SG	N;MASC;SG
episode	episode	episode	episoder	N;INDF;MASC+FEM;SG	N;MASC;SG
margrethe	margrethe	margrethe	margrethe	N;INDF;MASC+FEM;SG	N;FEM;SG
titler	titres	titel	titre	N;INDF;MASC+FEM;PL	N;MASC;PL
populær	populaire	populær	populaire	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
tekster	textes	tekster	texte	N;INDF;MASC+FEM;PL	N;MASC;PL
tekster	paroles	tekster	parole	N;INDF;MASC+FEM;PL	N;FEM;PL
kloster	monastère	kloste	monastère	N;INDF;NEUT;SG	N;MASC;SG
kloster	prieuré	kloste	prieuré	N;INDF;NEUT;SG	N;MASC;SG
kloster	couvent	kloste	couvent	N;INDF;NEUT;SG	N;MASC;SG
kloster	abbaye	kloste	abbaye	N;INDF;NEUT;SG	N;FEM;SG
valdemar	valdemar	valdemar	valdemar	N;INDF;MASC+FEM;SG	N;MASC;SG
etablerede	établies	etablere	établir	V;PL;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
etablerede	établis	etablere	établir	V;PL;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
kinesisk	chinois	kinesisk	chinois	ADJ;INDF;SG	ADJ;MASC;SG
kinesisk	chinoise	kinesisk	chinois	ADJ;INDF;SG	ADJ;FEM;SG
filosofi	philosophie	filosofi	philosophie	N;INDF;MASC+FEM;SG	N;FEM;SG
trådte	entré	træde	entrer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
trådte	entrés	træde	entrer	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
indeholdt	contenues	indeholde	contenu	V;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
årligt	annuellement	årligt	annuellement	ADV	ADV
offentlig	public	offentlig	public	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
offentlig	publique	offentlig	public	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
pop	pop	pop	pop	N;INDF;MASC+FEM;SG	N;FEM;SG
størstedelen	vrac	størstedel	vrac	N;DEF;MASC+FEM;SG	N;MASC;SG
pige	fille	pige	fille	N;INDF;MASC+FEM;SG	N;FEM;SG
pige	fillette	pige	fillette	N;INDF;MASC+FEM;SG	N;FEM;SG
ramt	touché	ramme	toucher	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ramt	frappé	ramme	frapper	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ramt	frapper	ramme	frapper	V;INDF;SG;PST;V.PTCP	V;NFIN
alfred	alfred	alfred	alfred	N;INDF;MASC+FEM;SG	N;MASC;SG
århundreder	siècles	århundrede	siècle	N;INDF;NEUT;PL	N;MASC;PL
virginia	virginie	virginia	virginie	N;INDF;MASC+FEM;SG	N;FEM;SG
veje	routes	vej	route	N;INDF;MASC+FEM;PL	N;FEM;PL
veje	chemins	vej	chemin	N;INDF;MASC+FEM;PL	N;MASC;PL
grundlæggende	fondamentaux	grundlæggende	fondamental	ADJ	ADJ;MASC;PL
grundlæggende	fondamentaux	grundlæggende	fondamental	ADJ	ADJ;MASC;PL
grundlæggende	basiques	grundlæggende	basique	ADJ	ADJ;MASC;PL
grundlæggende	basique	grundlæggende	basique	ADJ	ADJ;MASC;SG
grundlæggende	fondamentale	grundlæggende	fondamental	ADJ	ADJ;FEM;SG
grundlæggende	fondamental	grundlæggende	fondamental	ADJ	ADJ;MASC;SG
grundlæggende	fondamentaux	grundlæggende	fondamental	ADJ	ADJ;MASC;PL
grundlæggende	basiques	grundlæggende	basique	ADJ	ADJ;MASC;PL
grundlæggende	élémentaire	grundlæggende	élémentaire	ADJ	ADJ;MASC;SG
grundlæggende	basique	grundlæggende	basique	ADJ	ADJ;MASC;SG
lavere	inférieur	lav	inférieur	ADJ;CMPR	ADJ;MASC;SG
lavere	inférieure	lav	inférieur	ADJ;CMPR	ADJ;FEM;SG
efterfølger	successeur	efterfølge	successeur	N;INDF;MASC+FEM;SG	N;MASC;SG
linjer	lignes	linje	ligne	N;INDF;MASC+FEM;PL	N;FEM;PL
ønske	désir	ønske	désir	N;INDF;NEUT;SG	N;MASC;SG
ønske	souhait	ønske	souhait	N;INDF;NEUT;SG	N;MASC;SG
ønske	voeu	ønske	voeu	N;INDF;NEUT;SG	N;MASC;SG
oprette	créer	oprette	créer	V;NFIN;ACT	V;NFIN
oprette	créez	oprette	créer	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
oprette	crée	oprette	créer	V;NFIN;ACT	V;FEM;SG;PST;V.PTCP
oprette	créent	oprette	créer	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
oprette	créer	oprette	créer	V;NFIN;ACT	V;NFIN
oprettede	créée	oprette	créer	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
oprettede	créé	oprette	créer	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
oprettede	crée	oprette	créer	V;IND;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
oprettede	crées	oprette	créer	V;IND;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
oprettede	créés	oprette	créer	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
måder	façons	måde	façon	N;INDF;MASC+FEM;PL	N;FEM;PL
forsøger	essayant	forsøge	essayer	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
forsøger	essayer	forsøge	essayer	V;IND;PRS;FIN;ACT	V;NFIN
ophold	résidence	ophold	résidence	N;INDF;NEUT;SG	N;FEM;SG
ophold	séjour	ophold	séjour	N;INDF;NEUT;SG	N;MASC;SG
google	google	goo	google	N;INDF;MASC+FEM;SG	N;MASC;SG
charlotte	charlotte	charlotte	charlotte	N;INDF;MASC+FEM;SG	N;FEM;SG
bro	frangin	bro	frangin	N;INDF;MASC+FEM;SG	N;MASC;SG
bro	bridge	bro	bridge	N;INDF;MASC+FEM;SG	N;MASC;SG
bro	pont	bro	pont	N;INDF;MASC+FEM;SG	N;MASC;SG
bro	passerelle	bro	passerelle	N;INDF;MASC+FEM;SG	N;FEM;SG
tidlig	précoce	tidlig	précoce	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
diverse	diverses	diverse	divers	ADJ	ADJ;FEM;PL
diverse	divers	diverse	divers	ADJ	ADJ;MASC;PL
primære	primaires	primær	primaire	ADJ;PL	ADJ;MASC;PL
egenskaber	fonctions	egenskab	fonction	N;INDF;MASC+FEM;PL	N;FEM;PL
egenskaber	fonctionnalités	egenskab	fonctionnalité	N;INDF;MASC+FEM;PL	N;FEM;PL
egenskaber	propriétés	egenskab	propriété	N;INDF;MASC+FEM;PL	N;FEM;PL
egenskaber	attributs	egenskab	attribut	N;INDF;MASC+FEM;PL	N;MASC;PL
udvikle	développez	udvikle	développer	V;NFIN;ACT	V;IMP;PL;2;PRS;FIN
udvikle	développer	udvikle	développer	V;NFIN;ACT	V;NFIN
teori	théorie	teori	théorie	N;INDF;MASC+FEM;SG	N;FEM;SG
ankom	arrivés	ankomme	arriver	V;IND;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
ankom	arrivé	ankomme	arriver	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
kraftigt	fortement	kraftigt	fortement	ADV	ADV
kraftigt	fort	kraftigt	fort	ADV	ADV
kraftigt	vigoureusement	kraftigt	vigoureusement	ADV	ADV
kraftigt	énergiquement	kraftigt	énergiquement	ADV	ADV
mogens	mogens	mogens	mogen	N;GEN;DEF;MASC+FEM;SG	N;MASC;SG
jødiske	juives	jødisk	juif	ADJ;PL	ADJ;FEM;PL
drift	fonctionnement	drift	fonctionnement	N;INDF;MASC+FEM;SG	N;MASC;SG
drift	opération	drift	opération	N;INDF;MASC+FEM;SG	N;FEM;SG
mesterskabet	championnat	mesterskab	championnat	N;DEF;NEUT;SG	N;MASC;SG
fjernet	retirée	fjerne	retirer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
fjernet	enlevé	fjerne	enlever	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
fjernet	retiré	fjerne	retirer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
fjernet	supprimée	fjerne	supprimer	V;INDF;SG;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
fjernet	supprimé	fjerne	supprimer	V;INDF;SG;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
vokser	grandir	vokse	grandir	V;IND;PRS;FIN;ACT	V;NFIN
vokser	grandissant	vokse	grandir	V;IND;PRS;FIN;ACT	V;PRS;V.PTCP
vokser	pousse	vokse	pousser	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
vokser	grandit	vokse	grandir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
vokser	croît	vokse	croît	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
vokser	grandir	vokse	grandir	V;IND;PRS;FIN;ACT	V;NFIN
vokser	croître	vokse	croître	V;IND;PRS;FIN;ACT	V;NFIN
vokser	pousser	vokse	pousser	V;IND;PRS;FIN;ACT	V;NFIN
grader	degrés	grad	degré	N;INDF;MASC+FEM;PL	N;MASC;PL
grader	diplômes	grad	diplôme	N;INDF;MASC+FEM;PL	N;MASC;PL
talrige	nombreux	talrig	nombreux	ADJ;PL	ADJ;MASC;PL
talrige	nombreuses	talrig	nombreux	ADJ;PL	ADJ;FEM;PL
