sovieticii	شوراها	sovietică	شورا	N;DEF;MASC;PL	N;PL
solide	یکدست	solid	یکدست	ADJ;INDF;FEM;PL	ADJ
artificiala	مصنوعی	artificială	مصنوعی	ADJ;DEF;FEM;SG	ADJ
artificiala	مصنوعی	artificială	مصنوعی	ADJ;DEF;FEM;SG	ADJ
instructiuni	دستورالعملها	instructiune	دستورالع	N;INDF;FEM;PL	N;PL
instructiuni	دستورالعملها	instructiune	دستورالع	N;INDF;FEM;PL	N;PL
aluminiu	آلومینیوم	aluminiu	آلومینیوم	N;INDF;MASC;SG	N;SG
aluminiu	آلومینیوم	aluminiu	آلومینیوم	N;INDF;MASC;SG	N;SG
ziarist	خبرنگار	ziarist	خبرنگار	N;INDF;MASC;SG	N;SG
turismul	گردشگری	turism	گردشگری	N;DEF;MASC;SG	N;SG
ajax	آژاکس	ajax	آژاکس	N;INDF;MASC;SG	N;SG
flacara	شراره	flacară	شراره	N;DEF;FEM;SG	N;SG
flacara	شعله	flacară	شعله	N;DEF;FEM;SG	N;SG
flacara	شراره	flacară	شراره	N;DEF;FEM;SG	N;SG
flacara	شعله	flacară	شعله	N;DEF;FEM;SG	N;SG
flacara	شراره	flacară	شراره	N;DEF;FEM;SG	N;SG
flacara	شعله	flacară	شعله	N;DEF;FEM;SG	N;SG
grupari	گروهها	grupar	گروه	N;INDF;FEM;PL	N;PL
dinti	دندانها	dinti	دندان	N;INDF;MASC;PL	N;PL
dinti	دندانهای	dinti	دندان	N;INDF;MASC;PL	N;PL
distinctia	تمایز	distinctie	تمایز	N;DEF;FEM;SG	N;SG
nod	گره	nod	None	N;INDF;MASC;SG	N;SG
nod	گره	nod	None	N;INDF;MASC;SG	N;SG
selo	سلو	selo	سلو	N;INDF;MASC;SG	N;SG
geniu	نبوغ	geniu	نبوغ	N;INDF;MASC;SG	N;SG
geniu	نابغه	geniu	نابغه	N;INDF;MASC;SG	N;SG
intreprinderea	انترپرایز	intreprindere	انترپرایز	N;DEF;FEM;SG	N;SG
intreprinderea	سازمانی	intreprindere	None	N;DEF;FEM;SG	N;SG
autorilor	نویسندگان	autor	نویسنده	N;DEF;MASC;PL	N;PL
cavaleria	سواره	cavalerie	سواره	N;DEF;FEM;SG	N;SG
coltul	گوشه	colt	گوشه	N;DEF;MASC;SG	N;SG
cuplu	زوجی	cuplu	None	N;INDF;MASC;SG	N;SG
cuplu	زوج	cuplu	زوج	N;INDF;MASC;SG	N;SG
cuplu	گشتاور	cuplu	گشتاور	N;INDF;MASC;SG	N;SG
evanghelia	انجیل	evanghelie	None	N;DEF;FEM;SG	N;SG
marturie	شهادت	marturie	شهادت	N;INDF;FEM;SG	N;SG
marturie	شهادت	marturie	شهادت	N;INDF;FEM;SG	N;SG
conditie	شرط	conditie	شرط	N;INDF;FEM;SG	N;SG
onorific	افتخاری	onorific	افتخاری	N;INDF;MASC;SG	N;SG
como	کومو	como	کومو	N;INDF;MASC;SG	N;SG
cartiere	نواحی	cartier	ناحیه	N;INDF;FEM;PL	N;PL
cartiere	مناطق	cartier	منطقه	N;INDF;FEM;PL	N;PL
guvernele	دولتها	guvern	دولت	N;DEF;FEM;PL	N;PL
guvernele	دولتهای	guvern	دولت	N;DEF;FEM;PL	N;PL
confederatia	متحدین	confederatie	None	N;DEF;FEM;SG	N;SG
confederatia	کنفدراسیون	confederatie	کنفدراسیون	N;DEF;FEM;SG	N;SG
organisme	اجساد	organism	جسد	N;INDF;FEM;PL	N;PL
deciziile	تصمیمات	decizie	تصمیم	N;DEF;FEM;PL	N;PL
iarba	چمن	iarbă	None	N;DEF;FEM;SG	N;SG
iarba	چمنی	iarbă	چمنی	N;DEF;FEM;SG	N;SG
iarba	علف	iarbă	None	N;DEF;FEM;SG	N;SG
iarba	گرس	iarbă	گرس	N;DEF;FEM;SG	N;SG
iarba	علف	iarbă	None	N;DEF;FEM;SG	N;SG
iarba	چمن	iarbă	None	N;DEF;FEM;SG	N;SG
iarba	چمنی	iarbă	چمنی	N;DEF;FEM;SG	N;SG
iarba	علف	iarbă	None	N;DEF;FEM;SG	N;SG
iarba	گرس	iarbă	گرس	N;DEF;FEM;SG	N;SG
iarba	علف	iarbă	None	N;DEF;FEM;SG	N;SG
comitet	کمیته	comitet	کمیته	N;INDF;MASC;SG	N;SG
comitet	کمیسیون	comitet	کمیسیون	N;INDF;MASC;SG	N;SG
capabila	قادر	capabilă	قادر	ADJ;DEF;FEM;SG	ADJ
capabila	قادر	capabilă	قادر	ADJ;DEF;FEM;SG	ADJ
masiva	حجیم	masivă	حجیم	ADJ;DEF;FEM;SG	ADJ
saga	حماسه	sagă	حماسه	N;DEF;FEM;SG	N;SG
saga	ساگا	sagă	ساگا	N;DEF;FEM;SG	N;SG
natalia	ناتالیا	natalie	ناتالیا	N;DEF;FEM;SG	N;SG
arestarea	توقیف	arestare	توقیف	N;DEF;FEM;SG	N;SG
arestarea	بازداشت	arestare	بازداشت	N;DEF;FEM;SG	N;SG
arestarea	توقیف	arestare	توقیف	N;DEF;FEM;SG	N;SG
arestarea	دستگیری	arestare	دستگیری	N;DEF;FEM;SG	N;SG
vanzarea	فروش	vanzare	فروش	N;DEF;FEM;SG	N;SG
vanzarea	حراج	vanzare	حراج	N;DEF;FEM;SG	N;SG
daily	دیلی	daily	دیلی	N;INDF;MASC;SG	N;SG
sectie	حوزه	sectie	حوزه	N;INDF;FEM;SG	N;SG
chitarist	guitarist	chitarist	guitarist	N;INDF;MASC;SG	N;SG
chitarist	گیتاریست	chitarist	گیتاریست#یتار	N;INDF;MASC;SG	N;SG
sociologie	جامعهشناسی	sociologie	جامعهشناسی	N;INDF;FEM;SG	N;SG
variabila	متغیر	variabilă	متغیر	N;DEF;FEM;SG	N;SG
variabila	متغیر	variabilă	متغیر	N;DEF;FEM;SG	N;SG
sabia	شمشیر	sabia	شمشیر	N;DEF;FEM;SG	N;SG
proiectarea	دیزاین	proiectare	دیزاین	N;DEF;FEM;SG	N;SG
proiectarea	طرح	proiectare	طرح	N;DEF;FEM;SG	N;SG
proiectarea	طراحی	proiectare	طراحی	N;DEF;FEM;SG	N;SG
existent	موجود	existent	موجود	ADJ;INDF;MASC;SG	ADJ
instalarea	نصب	instalare	نصب	N;DEF;FEM;SG	N;SG
instalarea	نصب	instalare	نصب	N;DEF;FEM;SG	N;SG
puerto	پورتو	puerto	پورتو	N;INDF;MASC;SG	N;SG
geometrie	هندسه	geometrie	هندسه	N;INDF;FEM;SG	N;SG
notele	مراتب	notă	مراتب	N;DEF;FEM;PL	N;PL
calde	گرم	cald	گرم	ADJ;INDF;FEM;PL	ADJ
clienti	مشتریان	client	مشتری	N;INDF;MASC;PL	N;PL
clienti	مشتریان	client	مشتری	N;INDF;MASC;PL	N;PL
clienti	موکلین	client	None	N;INDF;MASC;PL	N;PL
calul	اسب	cal	اسب	N;DEF;MASC;SG	N;SG
abuz	سوءاستفاده	abuz	سوءاستفاده	N;INDF;MASC;SG	N;SG
unghi	زاویۀ	unghi	زاویۀ	N;INDF;MASC;SG	N;SG
unghi	زاویه	unghi	زاویه	N;INDF;MASC;SG	N;SG
madagascar	ماداگاسکار	madagascar	ماداگاسکار	N;INDF;MASC;SG	N;SG
interventii	مداخلات	intervent	مداخله	N;INDF;FEM;PL	N;PL
interventii	مداخلات	intervent	مداخله	N;INDF;FEM;PL	N;PL
examenul	امتحان	examen	None	N;DEF;MASC;SG	N;SG
examenul	معاینه	examen	معاینه	N;DEF;MASC;SG	N;SG
examenul	آزمون	examen	آزمون	N;DEF;MASC;SG	N;SG
operatie	عمل	operatie	عمل	N;INDF;FEM;SG	N;SG
operatie	جراحی	operatie	جراحی	N;INDF;FEM;SG	N;SG
voivodina	وویوودینا	voivodină	وویوودینا	N;DEF;FEM;SG	N;SG
peisajul	عرضی	peisaj	عرضی	N;DEF;MASC;SG	N;SG
peisajul	منظره	peisaj	منظره	N;DEF;MASC;SG	N;SG
copaci	درختان	copac	درخت	N;INDF;MASC;PL	N;PL
copaci	درختها	copac	درخت	N;INDF;MASC;PL	N;PL
urs	خرس	urs	None	N;INDF;MASC;SG	N;SG
urs	خرسی	urs	خرسی	N;INDF;MASC;SG	N;SG
nina	نینا	nină	نینا	N;DEF;FEM;SG	N;SG
plantele	گیاهان	plantă	گیاه	N;DEF;FEM;PL	N;PL
locuitor	مقیم	locuitor	مقیم	N;INDF;MASC;SG	N;SG
locuitor	ساکن	locuitor	ساکن	N;INDF;MASC;SG	N;SG
locuitor	رزیدنت	locuitor	رزیدنت	N;INDF;MASC;SG	N;SG
locuitor	اقامت	locuitor	اقامت	N;INDF;MASC;SG	N;SG
ueda	اوئدا	ueda	اوضدا		
cafea	قهوه	cafea	قهوه	N;DEF;FEM;SG	N;SG
guvernarea	حاکمیت	guvernare	حاکمیت	N;DEF;FEM;SG	N;SG
guvernarea	ملکوت	guvernare	ملکوت	N;DEF;FEM;SG	N;SG
ascensiunea	عروج	ascensiune	عروج	N;DEF;FEM;SG	N;SG
ascensiunea	صعود	ascensiune	صعود	N;DEF;FEM;SG	N;SG
ofiterii	ماموران	ofiteriu	None	N;DEF;MASC;PL	N;PL
ofiterii	افسران	ofiteriu	افسر	N;DEF;MASC;PL	N;PL
ferma	مزرعه	fermă	None	N;DEF;FEM;SG	N;SG
ferma	فارم	fermă	فارم	N;DEF;FEM;SG	N;SG
ferma	مزرعه	fermă	None	N;DEF;FEM;SG	N;SG
ferma	فارم	fermă	فارم	N;DEF;FEM;SG	N;SG
ivanovici	ایوانوویچ	ivanovic	ایوانوویچ	N;INDF;MASC;SG	N;SG
urmarirea	ردگیری	urmarire	ردگیر	N;DEF;FEM;SG	N;SG
urmarirea	ردیابی	urmarire	None	N;DEF;FEM;SG	N;SG
echipaj	سرنشین	echipaj	سرنشین	N;INDF;MASC;SG	N;SG
echipaj	خدمه	echipaj	خدمه	N;INDF;MASC;SG	N;SG
vecini	همسایگان	vecin	همسایه	N;INDF;MASC;PL	N;PL
vecini	همسایگان	vecin	همسایه	N;INDF;MASC;PL	N;PL
patron	حامی	patron	حامی	N;INDF;MASC;SG	N;SG
dosarul	پوشه	dosar	پوشه	N;DEF;MASC;SG	N;SG
click	کلیک	click	کلیک	N;INDF;MASC;SG	N;SG
rama	قاب	ramă	None	N;DEF;FEM;SG	N;SG
rama	چارچوب	ramă	چارچوب	N;DEF;FEM;SG	N;SG
rama	فریم	ramă	فریم	N;DEF;FEM;SG	N;SG
rama	راما	ramă	راما	N;DEF;FEM;SG	N;SG
rama	قاب	ramă	None	N;DEF;FEM;SG	N;SG
rama	چارچوب	ramă	چارچوب	N;DEF;FEM;SG	N;SG
rama	فریم	ramă	فریم	N;DEF;FEM;SG	N;SG
afganistan	افغانستان	afganistan	افغانستان	N;INDF;MASC;SG	N;SG
impactul	ضربه	impact	ضربه	N;DEF;MASC;SG	N;SG
impactul	اصابت	impact	اصابت	N;DEF;MASC;SG	N;SG
impactul	برخوردی	impact	برخوردی	N;DEF;MASC;SG	N;SG
impactul	برخورد	impact	برخورد	N;DEF;MASC;SG	N;SG
trentino	ترنتینو	trentino	ترنتینو	N;INDF;MASC;SG	N;SG
abilitatea	توانایی	abilitate	توانایی	N;DEF;FEM;SG	N;SG
abilitatea	قابلیت	abilitate	قابلیت	N;DEF;FEM;SG	N;SG
tango	تانگو	tango	تانگو	N;INDF;MASC;SG	N;SG
designer	طراح	designer	طراح	N;INDF;MASC;SG	N;SG
designer	نگارنده	designer	نگارنده	N;INDF;MASC;SG	N;SG
designer	designer	designer	designer	N;INDF;MASC;SG	N;SG
cultivarea	پرورشی	cultivare	پرورشی	N;DEF;FEM;SG	N;SG
politicieni	سیاستمداران	politician	سیاستمدار	N;INDF;MASC;PL	N;PL
blagoevgrad	بلاگووگراد	blagoevgrad	بلاگووگراد	N;INDF;MASC;SG	N;SG
teoriile	نظریات	teorie	نظریه	N;DEF;FEM;PL	N;PL
adeseori	اغلب	adeseori	اغلب	ADV	ADV
living	living	living	None	N;INDF;MASC;SG	N;SG
living	وزندگی	living	وزندگی	N;INDF;MASC;SG	N;SG
living	زندگی	living	زندگی	N;INDF;MASC;SG	N;SG
candidati	کاندیداهای	candidat	کاندیدا	N;INDF;MASC;PL	N;PL
candidati	کاندیداهای	candidat	کاندیدا	N;INDF;MASC;PL	N;PL
variantele	مشتقات	variantă	مشتقه	N;DEF;FEM;PL	N;PL
navigatie	ناوبری	navigatie	ناوبری	N;INDF;FEM;SG	N;SG
navigatie	ناوبری	navigatie	ناوبری	N;INDF;FEM;SG	N;SG
navigatie	قایقرانی	navigatie	قایقرانی	N;INDF;FEM;SG	N;SG
navigatie	دریانوردی	navigatie	دریانوردی	N;INDF;FEM;SG	N;SG
bratul	بازو	brat	بازو	N;DEF;MASC;SG	N;SG
bratul	دست	brat	دست	N;DEF;MASC;SG	N;SG
bratul	آرم	brat	آرم	N;DEF;MASC;SG	N;SG
bratul	بازوی	brat	بازوی	N;DEF;MASC;SG	N;SG
aurul	طلای	aur	طلا	N;DEF;MASC;SG	N;SG
aurul	gold	aur	gold	N;DEF;MASC;SG	N;SG
aurul	طلا	aur	طلا	N;DEF;MASC;SG	N;SG
aurul	گلد	aur	گلد	N;DEF;MASC;SG	N;SG
aurul	زرین	aur	None	N;DEF;MASC;SG	N;SG
litera	حرف	literă	حرف	N;DEF;FEM;SG	N;SG
litera	نامه	literă	نامه	N;DEF;FEM;SG	N;SG
violent	خشن	violent	None	ADJ;INDF;MASC;SG	ADJ
avantaj	مزیت	avantaj	مزیت	N;INDF;MASC;SG	N;SG
genetica	ژنتیک	genetică	ژنتیک	N;DEF;FEM;SG	N;SG
genetica	ژنتیکی	genetică	ژنتیکی	N;DEF;FEM;SG	N;SG
genetica	ژنتیک	genetică	ژنتیک	N;DEF;FEM;SG	N;SG
genetica	ژنتیک	genetică	ژنتیک	N;DEF;FEM;SG	N;SG
colegiu	کالج	colegiu	None	N;INDF;MASC;SG	N;SG
colegiu	دانشکده	colegiu	دانشکده	N;INDF;MASC;SG	N;SG
colegiu	دانشگاه	colegiu	دانشگاه	N;INDF;MASC;SG	N;SG
colegiu	دانشگاهی	colegiu	دانشگاهی	N;INDF;MASC;SG	N;SG
nucleu	هسته	nucleu	هسته	N;INDF;MASC;SG	N;SG
nucleu	هسته	nucleu	هسته	N;INDF;MASC;SG	N;SG
amiralul	آدمیرال	amiral	آدمیرال	N;DEF;MASC;SG	N;SG
amiralul	دریاسالار	amiral	دریاسالار	N;DEF;MASC;SG	N;SG
rezerve	ذخایر	rezervă	ذخیره	N;INDF;FEM;PL	N;PL
niger	نیجر	niger	نیجر	N;INDF;MASC;SG	N;SG
proiectata	projected	proiectat	projected	N;DEF;FEM;SG	N;SG
supraveghere	نظارت	supraveghere	نظارت	N;INDF;FEM;SG	N;SG
supraveghere	سرپرستی	supraveghere	سرپرستی	N;INDF;FEM;SG	N;SG
supraveghere	نظارت	supraveghere	نظارت	N;INDF;FEM;SG	N;SG
supraveghere	نظارتی	supraveghere	نظارتی	N;INDF;FEM;SG	N;SG
rap	rap	rap	rap	N;INDF;MASC;SG	N;SG
rap	رپ	rap	رپ	N;INDF;MASC;SG	N;SG
popularitatea	محبوبیت	popularitate	محبوبیت	N;DEF;FEM;SG	N;SG
decan	دین	decan	دین	N;INDF;MASC;SG	N;SG
française	française	franpai	française	N;INDF;MASC;SG	N;SG
surorile	خواهران	soră	خواهر	N;DEF;FEM;PL	N;PL
nepot	برادرزاده	nepot	برادرزاده	N;INDF;MASC;SG	N;SG
nepot	خواهرزاده	nepot	خواهرزاده	N;INDF;MASC;SG	N;SG
nepot	نوه	nepot	None	N;INDF;MASC;SG	N;SG
extindere	گسترش	extindere	گسترش	N;INDF;FEM;SG	N;SG
extindere	انبساط	extindere	انبساط	N;INDF;FEM;SG	N;SG
extindere	بسط	extindere	بسط	N;INDF;FEM;SG	N;SG
extindere	افزونه	extindere	افزونه	N;INDF;FEM;SG	N;SG
extindere	پسوند	extindere	پسوند	N;INDF;FEM;SG	N;SG
dune	dune	dune	dune		
fundamental	اساسی	fundamental	اساسی	ADJ;INDF;MASC;SG	ADJ
indirect	غیرمستقیم	indirect	غیرمستقیم	ADV	ADV
episoadele	قسمتهای	episod	قسمت	N;DEF;FEM;PL	N;PL
floare	گل	floare	گل	N;INDF;FEM;SG	N;SG
floare	شکوفه	floare	شکوفه	N;INDF;FEM;SG	N;SG
floare	فلاور	floare	فلاور	N;INDF;FEM;SG	N;SG
miezul	هسته	miez	هسته	N;DEF;MASC;SG	N;SG
parteneriat	شراکت	parteneriat	شراکت	N;INDF;MASC;SG	N;SG
parteneriat	همکاری	parteneriat	همکاری	N;INDF;MASC;SG	N;SG
parteneriat	شرکتی	parteneriat	None	N;INDF;MASC;SG	N;SG
miros	بوش	miros	بوش	N;INDF;MASC;SG	N;SG
miros	بوی	miros	بوی	N;INDF;MASC;SG	N;SG
mortal	کشنده	mortal	کشنده	N;INDF;MASC;SG	N;SG
mortal	مرگبار	mortal	مرگبار	N;INDF;MASC;SG	N;SG
manuscrisul	خطی	manuscris	خطی	N;DEF;MASC;SG	N;SG
movila	ماوند	movilă	ماوند	N;DEF;FEM;SG	N;SG
dog	سگ	dogă	سگ	N;INDF;MASC;SG	N;SG
dog	سگی	dogă	سگی	N;INDF;MASC;SG	N;SG
verificare	وارسی	verificare	None	N;INDF;FEM;SG	N;SG
verificare	تصدیق	verificare	تصدیق	N;INDF;FEM;SG	N;SG
verificare	بررسی	verificare	بررسی	N;INDF;FEM;SG	N;SG
expresii	عبارتهای	expresie	عبارت	N;INDF;FEM;PL	N;PL
expresii	عبارتهای	expresie	عبارت	N;INDF;FEM;PL	N;PL
mobilier	مبل	mobilier	مبل	N;INDF;MASC;SG	N;SG
mobilier	مبلمان	mobilier	مبلم	N;INDF;MASC;SG	N;SG
fund	کون	fund	کون	N;INDF;MASC;SG	N;SG
fund	باسن	fund	باسن	N;INDF;MASC;SG	N;SG
emisfera	نیمکره	emisfera	نیمکره	N;DEF;FEM;SG	N;SG
factorii	عوامل	factor	عامل	N;DEF;MASC;PL	N;PL
bucata	تکه	bucată	تکه	N;DEF;FEM;SG	N;SG
bucata	قطعه	bucată	قطعه	N;DEF;FEM;SG	N;SG
bucata	تکه	bucată	تکه	N;DEF;FEM;SG	N;SG
bucata	قطعه	bucată	قطعه	N;DEF;FEM;SG	N;SG
suplimentar	اضافه	suplimentar	اضافه	ADJ;INDF;MASC;SG	ADJ
oase	استخوانها	os	استخوان	N;INDF;FEM;PL	N;PL
oak	اوک	oak	اوک	N;INDF;MASC;SG	N;SG
oak	بلوط	oak	بلوط	N;INDF;MASC;SG	N;SG
profesorii	اساتید	profesor	استاد	N;DEF;MASC;PL	N;PL
coordonarea	هماهنگی	coordonare	هماهنگی	N;DEF;FEM;SG	N;SG
atomi	اتمهای	atomi	اتم	N;INDF;MASC;PL	N;PL
atomi	اتمها	atomi	اتم	N;INDF;MASC;PL	N;PL
obiceiul	عادت	obicei	عادت	N;DEF;MASC;SG	N;SG
palace	کاخ	palac	کاخ	N;INDF;MASC;SG	N;SG
palace	قصر	palac	None	N;INDF;MASC;SG	N;SG
flancul	جناح	flanc	جناح	N;DEF;MASC;SG	N;SG
depozit	انبار	depozit	انبار	N;INDF;MASC;SG	N;SG
depozit	انبار	depozit	انبار	N;INDF;MASC;SG	N;SG
depozit	ذخیره	depozit	ذخیره	N;INDF;MASC;SG	N;SG
depozit	مخزن	depozit	مخزن	N;INDF;MASC;SG	N;SG
vegas	وگاس	vegas	وگاس	N;INDF;MASC;SG	N;SG
semnificatie	معنای	semnificatie	معنا	N;INDF;FEM;SG	N;SG
semnificatie	معنی	semnificatie	معنی	N;INDF;FEM;SG	N;SG
semnificatie	معنا	semnificatie	معنا	N;INDF;FEM;SG	N;SG
oficiul	اداره	oficiu	اداره	N;DEF;MASC;SG	N;SG
oficiul	دفتر	oficiu	دفتر	N;DEF;MASC;SG	N;SG
julien	ژولین	julien	ژولین	N;INDF;MASC;SG	N;SG
traficul	ترافیک	trafic	ترافیک	N;DEF;MASC;SG	N;SG
traficul	ترافیکی	trafic	ترافیکی	N;DEF;MASC;SG	N;SG
manhattan	منهتن	manhattan	منهتن	N;INDF;MASC;SG	N;SG
avansata	پیشرفته	avansat	پیشرفته	N;DEF;FEM;SG	N;SG
aplicatie	کاربردی	aplicatie	کاربردی	N;INDF;FEM;SG	N;SG
aplicatie	کاربرد	aplicatie	کاربرد	N;INDF;FEM;SG	N;SG
aplicatie	اپ	aplicatie	اپ	N;INDF;FEM;SG	N;SG
aplicatie	برنامه	aplicatie	برنامه	N;INDF;FEM;SG	N;SG
exprimarea	ابراز	exprimare	ابراز	N;DEF;FEM;SG	N;SG
intretinere	نگهداشت	intretinere	None	N;INDF;FEM;SG	N;SG
intretinere	نگهداری	intretinere	نگهداری	N;INDF;FEM;SG	N;SG
intretinere	نگهداشت	intretinere	None	N;INDF;FEM;SG	N;SG
intretinere	نگهداری	intretinere	نگهداری	N;INDF;FEM;SG	N;SG
usi	درها	us	در	N;INDF;FEM;PL	N;PL
usi	درها	us	در	N;INDF;FEM;PL	N;PL
usi	درها	us	در	N;INDF;FEM;PL	N;PL
conturi	حسابهای	cont	حساب	N;INDF;FEM;PL	N;PL
urata	زشت	urata	None	ADJ;DEF;FEM;SG	ADJ
urata	زشت	urata	None	ADJ;DEF;FEM;SG	ADJ
vecinatate	همسایه	vecinatate	همسایه	N;INDF;FEM;SG	N;SG
vecinatate	همسایگی	vecinatate	همسایگی	N;INDF;FEM;SG	N;SG
vecinatate	محله	vecinatate	محله	N;INDF;FEM;SG	N;SG
vecinatate	همسایگی	vecinatate	همسایگی	N;INDF;FEM;SG	N;SG
fanii	هواداران	fan	هوادار	N;DEF;MASC;PL	N;PL
fanii	هوادارن	fan	هوادارن	N;DEF;MASC;PL	N;PL
fanii	طرفداران	fan	طرفدار	N;DEF;MASC;PL	N;PL
sensuri	معانی	sens	معنی	N;INDF;FEM;PL	N;PL
prevenirea	پیشگیری	prevenire	پیشگیری	N;DEF;FEM;SG	N;SG
mecanism	مکانیسم	mecanism	None	N;INDF;MASC;SG	N;SG
mecanism	مکانیزم	mecanism	مکت#مکا	N;INDF;MASC;SG	N;SG
talie	کمر	talie	کمر	N;INDF;FEM;SG	N;SG
amor	amor	amor	amor	N;INDF;MASC;SG	N;SG
amor	آمور	amor	آمر	N;INDF;MASC;SG	N;SG
dracula	دراکولا	dracula	دراکولا	N;DEF;FEM;SG	N;SG
bonus	پاداش	bonus	پاداش	N;INDF;MASC;SG	N;SG
bonus	جایزه	bonus	جایزه	N;INDF;MASC;SG	N;SG
justificarea	توجیح	justificare	توجیح	N;DEF;FEM;SG	N;SG
tradare	غدر	tradare	غدر	N;INDF;FEM;SG	N;SG
tradare	خیانت	tradare	None	N;INDF;FEM;SG	N;SG
tradare	خیانت	tradare	None	N;INDF;FEM;SG	N;SG
tradare	خیانت	tradare	None	N;INDF;FEM;SG	N;SG
tradare	خیانت	tradare	None	N;INDF;FEM;SG	N;SG
beck	بک	beck	بک	N	N;SG
corespondenta	مکاتبه	corespondent	مکاتبه	N;DEF;FEM;SG	N;SG
corespondenta	مکاتبه	corespondent	مکاتبه	N;DEF;FEM;SG	N;SG
adaptarea	سازگاری	adaptare	سازگاری	N;DEF;FEM;SG	N;SG
adaptarea	اقتباس	adaptare	اقتباس	N;DEF;FEM;SG	N;SG
adaptarea	سازگاری	adaptare	سازگاری	N;DEF;FEM;SG	N;SG
calda	گرم	calda	گرم	ADJ;DEF;FEM;SG	ADJ
grecilor	یونانیان	grec	یونانی	N;DEF;MASC;PL	N;PL
grecilor	یونانیها	grec	یونانی	N;DEF;MASC;PL	N;PL
profunda	عمیق	profunda	عمیق	ADJ;DEF;FEM;SG	ADJ
bond	باند	bond	باند	N;INDF;MASC;SG	N;SG
bond	پیوند	bond	پیوند	N;INDF;MASC;SG	N;SG
subsol	زیرنویس	subsol	زیرنویس	N;INDF;MASC;SG	N;SG
subsol	زیرزمین	subsol	زیرزمین	N;INDF;MASC;SG	N;SG
ram	رام	ram	رام	N;INDF;MASC;SG	N;SG
ram	ram	ram	ram	N;INDF;MASC;SG	N;SG
ram	رم	ram	رم	N;INDF;MASC;SG	N;SG
editorul	ویرایشگر	editor	ویرایشگر	N;DEF;MASC;SG	N;SG
heights	هایتس	heights	هایتس	N;INDF;MASC;SG	N;SG
nikita	نیکیتا	nikita	نیکیتا	N;DEF;FEM;SG	N;SG
aquila	آکویلا	aquila	آکویلا	N;DEF;FEM;SG	N;SG
gerard	جرارد	gerard	جرارد	N;INDF;MASC;SG	N;SG
instanta	دادگاه	instant	دادگاه	N;DEF;FEM;SG	N;SG
instanta	دربار	instant	دربار	N;DEF;FEM;SG	N;SG
ghidul	راهنما	ghid	None	N;DEF;MASC;SG	N;SG
ghidul	هدایت	ghid	هدایت	N;DEF;MASC;SG	N;SG
ghidul	راهبر	ghid	راهبر	N;DEF;MASC;SG	N;SG
salvarea	رستگاری	salvare	رستگاری	N;DEF;FEM;SG	N;SG
salvarea	نجات	salvare	نجات	N;DEF;FEM;SG	N;SG
salvarea	ذخیره	salvare	ذخیره	N;DEF;FEM;SG	N;SG
salvarea	ذخیرۀ	salvare	ذخیرۀ	N;DEF;FEM;SG	N;SG
exteriorul	بیرونی	exterior	None	N;DEF;MASC;SG	N;SG
legume	سبزیجات	legumă	سبزی	N;INDF;FEM;PL	N;PL
legume	سبزیجات	legumă	سبزی	N;INDF;FEM;PL	N;PL
conflictele	درگیریهای	conflict	درگیری	N;DEF;FEM;PL	N;PL
etiopia	حبشه	etiopia	حبشه	N;DEF;FEM;SG	N;SG
etiopia	اتیوپی	etiopia	اتیوپی	N;DEF;FEM;SG	N;SG
polul	قطب	pol	قطب	N;DEF;MASC;SG	N;SG
polul	تیرک	pol	تیرک	N;DEF;MASC;SG	N;SG
delhi	دهلی	delhi	دهلی	N;INDF;MASC;SG	N;SG
destinul	سرنوشت	destin	سرنوشت	N;DEF;MASC;SG	N;SG
destinul	تقدیر	destin	تقدیر	N;DEF;MASC;SG	N;SG
destinul	سرنوشتی	destin	سرنوشتی	N;DEF;MASC;SG	N;SG
simptome	علائم	simptom	علامت	N;INDF;FEM;PL	N;PL
teoretica	نظری	teoretică	نظری	N;DEF;FEM;SG	N;SG
prestigiu	حیثیت	prestigiu	حیثیت	N;INDF;MASC;SG	N;SG
potasiu	پتاسیم	potasiu	None	N;INDF;MASC;SG	N;SG
avantajul	مزیت	avantaj	مزیت	N;DEF;MASC;SG	N;SG
browser	مرورگر	browser	مرورگر	N;INDF;MASC;SG	N;SG
marseille	مارسی	marseillă	مارسی	N;DEF;FEM;SG	N;SG
nor	ابری	nor	ابری	N;INDF;MASC;SG	N;SG
nor	ابر	nor	ابر	N;INDF;MASC;SG	N;SG
client	مشتری	client	مشتری	N;INDF;MASC;SG	N;SG
client	مشتری	client	مشتری	N;INDF;MASC;SG	N;SG
client	کارخواه	client	کارخواه	N;INDF;MASC;SG	N;SG
client	موکل	client	موکل	N;INDF;MASC;SG	N;SG
olimpiada	المپیاد	olimpiada	المپیاد	N;DEF;FEM;SG	N;SG
olimpiada	المپیک	olimpiada	المپیک	N;DEF;FEM;SG	N;SG
olimpiada	المپیاد	olimpiada	المپیاد	N;DEF;FEM;SG	N;SG
olimpiada	المپیک	olimpiada	المپیک	N;DEF;FEM;SG	N;SG
omega	امگا	omega	امگا	N;DEF;FEM;SG	N;SG
inchiderea	خاتمه	inchidere	خاتمه	N;DEF;FEM;SG	N;SG
ritmul	موزون	ritm	موزون	N;DEF;MASC;SG	N;SG
ritmul	ریتم	ritm	None	N;DEF;MASC;SG	N;SG
relevante	مربوط	relevant	مربوط	ADJ;INDF;FEM;PL	ADJ
