ben	本	ben	本		
növény	廠	növény	廠	N;NOM;SG	N
növény	植物	növény	植物	N;NOM;SG	N
növény	工廠	növény	工廠	N;NOM;SG	N
növény	農作	növény	農作	N;NOM;SG	N
növény	作物	növény	作物	N;NOM;SG	N
cél	目標	cél	目標	N;NOM;SG	N
cél	目	cél	目	N;NOM;SG	N
cél	目標	cél	目標	N;NOM;SG	N
cél	目標	cél	目標	N;NOM;SG	N
reneszánsz	復興	reneszánsz	復興	N;NOM;SG	N
reneszánsz	文藝	reneszánsz	文藝	N;NOM;SG	N
megjegyzés	意見	megjegyzés	意見	N;NOM;SG	N
kapcsolatok	關係	kapcsolat	關係	N;NOM;PL	N
kapcsolatok	關係	kapcsolat	關係	N;NOM;PL	N
kapcsolatok	人脈	kapcsolat	人脈	N;NOM;PL	N
nadrág	褲	nadrág	褲	N;NOM;SG	N
nadrág	褲子	nadrág	褲子	N;NOM;SG	N
nadrág	長褲	nadrág	長褲	N;NOM;SG	N
nadrág	褲	nadrág	褲	N;NOM;SG	N
nadrág	褲子	nadrág	褲子	N;NOM;SG	N
valós	真實	valós	真實	ADJ;NOM;SG	ADJ
határ	邊疆	határ	邊疆	N;NOM;SG	N
határ	前	határ	前	N;NOM;SG	N
határ	邊境	határ	邊境	N;NOM;SG	N
határ	上限	határ	上限	N;NOM;SG	N
határ	極限	határ	極限	N;NOM;SG	N
határ	限	határ	限	N;NOM;SG	N
határ	限額	határ	限額	N;NOM;SG	N
határ	邊界	határ	邊界	N;NOM;SG	N
határ	邊界	határ	邊界	N;NOM;SG	N
határ	邊框	határ	邊框	N;NOM;SG	N
határ	邊境	határ	邊境	N;NOM;SG	N
hatalom	電力	hatalom	電力	N;NOM;SG	N
hatalom	電源	hatalom	電源	N;NOM;SG	N
hatalom	動力	hatalom	動力	N;NOM;SG	N
hatalom	權力	hatalom	權力	N;NOM;SG	N
eset	案例	eset	案例	N;NOM;SG	N
eset	個案	eset	個案	N;NOM;SG	N
eset	案件	eset	案件	N;NOM;SG	N
igazgató	主任	igazgató	主任	N;NOM;SG	N
igazgató	司長	igazgató	司長	N;NOM;SG	N
igazgató	經理	igazgató	經理	N;NOM;SG	N
igazgató	經理	igazgató	經理	N;NOM;SG	N
igazgató	校長	igazgató	校長	N;NOM;SG	N
internet	網路	inter	網路	N;NOM;SG	N
internet	網際	inter	網際	N;NOM;SG	N
korona	冠	korona	冠	N;NOM;SG	N
korona	皇冠	korona	皇冠	N;NOM;SG	N
állította	認領	állít	認領	V;DEF;IND;SG;3;PST;FIN;ACT	V
állította	聲稱	állít	聲稱	V;DEF;IND;SG;3;PST;FIN;ACT	V
elkészült	完成	elkészült	完成	V;INDF;IND;SG;3;PST;FIN;ACT	V
szereplők	字元	szereplő	字元	N;NOM;PL	N
szereplők	角色	szereplő	角色	N;NOM;PL	N
szereplők	球員	szereplő	球員	N;NOM;PL	N
szereplők	玩家	szereplő	玩家	N;NOM;PL	N
szereplők	演員	szereplő	演員	N;NOM;PL	N
zokni	襪子	zok	襪子	N;NOM;SG	N
zokni	襪	zok	襪	N;NOM;SG	N
zokni	襪子	zok	襪子	N;NOM;SG	N
eszközök	儀器	eszköz	儀器	N;NOM;PL	N
eszközök	樂器	eszköz	樂器	N;NOM;PL	N
eszközök	文書	eszköz	文書	N;NOM;PL	N
eszközök	工具	eszköz	工具	N;NOM;PL	N
eszközök	資產	eszköz	資產	N;NOM;PL	N
eszközök	裝置	eszköz	裝置	N;NOM;PL	N
bíróság	法庭	bíróság	法庭	N;NOM;SG	N
bíróság	法院	bíróság	法院	N;NOM;SG	N
betegség	病	betegség	病	N;NOM;SG	N
betegség	疾病	betegség	疾病	N;NOM;SG	N
betegség	病	betegség	病	N;NOM;SG	N
betegség	疾病	betegség	疾病	N;NOM;SG	N
betegség	病	betegség	病	N;NOM;SG	N
betegség	疾病	betegség	疾病	N;NOM;SG	N
hiba	錯誤	hiba	錯誤	N;NOM;SG	N
hiba	錯誤	hiba	錯誤	N;NOM;SG	N
grafikus	圖形	grafikus	圖形	N;NOM;SG	N
grafikus	圖形	grafikus	圖形	N;NOM;SG	N
grafikus	繪圖	grafikus	繪圖	N;NOM;SG	N
zenész	樂手	zenész	樂手	N;NOM;SG	N
part	岸上	part	岸上		
írás	尾	írás	尾	N;NOM;SG	N
írás	背面	írás	背面	N;NOM;SG	N
írás	反面	írás	反面	N;NOM;SG	N
írás	寫作	írás	寫作	N;NOM;SG	N
hagyomány	傳統	hagyomány	傳統	N;NOM;SG	N
hagyomány	傳統	hagyomány	傳統	N;NOM;SG	N
kereszt	十字	kereszt	十字	N;NOM;SG	N
kereszt	十字	kereszt	十字	N;NOM;SG	N
kereszt	交叉	kereszt	交叉	N;NOM;SG	N
tömeg	質量	tömeg	質量	N;NOM;SG	N
tömeg	彌撒	tömeg	彌撒	N;NOM;SG	N
tömeg	重量	tömeg	重量	N;NOM;SG	N
tömeg	體重	tömeg	體重	N;NOM;SG	N
tömeg	份量	tömeg	份量	N;NOM;SG	N
tömeg	人群	tömeg	人群	N;NOM;SG	N
tömeg	群眾	tömeg	群眾	N;NOM;SG	N
csillagok	星星	csillag	星星	N;NOM;PL	N
csillagok	明星	csillag	明星	N;NOM;PL	N
csillagok	星空	csillag	星空	N;NOM;PL	N
csillagok	星	csillag	星	N;NOM;PL	N
csillagok	恆星	csillag	恆星	N;NOM;PL	N
színe	色	színe	色	N;NOM;SG	N
színe	彩色	színe	彩色	N;NOM;SG	N
színe	顏色	színe	顏色	N;NOM;SG	N
színe	色彩	színe	色彩	N;NOM;SG	N
színe	彩色	színe	彩色	N;NOM;SG	N
színe	顏色	színe	顏色	N;NOM;SG	N
színe	色彩	színe	色彩	N;NOM;SG	N
messze	遠	messze	遠		
medence	骨盆	medence	骨盆	N;NOM;SG	N
medence	撞球	medence	撞球	N;NOM;SG	N
medence	池	medence	池	N;NOM;SG	N
medence	游泳	medence	游泳	N;NOM;SG	N
medence	泳池	medence	泳池	N;NOM;SG	N
különbség	差額	különbség	差額	N;NOM;SG	N
különbség	區別	különbség	區別	N;NOM;SG	N
különbség	差別	különbség	差別	N;NOM;SG	N
különbség	差異	különbség	差異	N;NOM;SG	N
nyújtott	准予	nyújt	准予	V;INDF;IND;SG;3;PST;FIN;ACT	V
közönséges	平凡	közönséges	平凡	N;NOM;SG	N
közönséges	粗俗	közönséges	粗俗	N;NOM;SG	N
közönséges	庸	közönséges	庸	N;NOM;SG	N
közönséges	低俗	közönséges	低俗	N;NOM;SG	N
haza	首頁	haza	首頁		
főváros	資本	főváros	資本	N;NOM;SG	N
főváros	首都	főváros	首都	N;NOM;SG	N
közönség	觀眾	közönség	觀眾	N;NOM;SG	N
csökkent	減少	csökken	減少	V;INDF;IND;SG;3;PST;FIN;ACT	V
rendszerek	系統	rendszer	系統	N;NOM;PL	N
találkozott	遇見	találkozik	遇見	V;INDF;IND;SG;3;PST;FIN;ACT	V
asszony	女人	asszony	女人	N;NOM;SG	N
asszony	女	asszony	女	N;NOM;SG	N
asszony	女子	asszony	女子	N;NOM;SG	N
elemek	項目	elem	項目	N;NOM;PL	N
elemek	電池	elem	電池	N;NOM;PL	N
elemek	元素	elem	元素	N;NOM;PL	N
elemek	要件	elem	要件	N;NOM;PL	N
temető	墓園	temető	墓園	N;NOM;SG	N
temető	墓地	temető	墓地	N;NOM;SG	N
temető	公墓	temető	公墓	N;NOM;SG	N
temető	墓地	temető	墓地	N;NOM;SG	N
üzenetet	留言	üzenet	留言	N;ACC;SG	N
üzenetet	訊息	üzenet	訊息	N;ACC;SG	N
üzenetet	信件	üzenet	信件	N;ACC;SG	N
parlament	國會	parlament	國會	N;NOM;SG	N
parlament	議會	parlament	議會	N;NOM;SG	N
éjszaka	夜晚	éjszaka	夜晚	N;NOM;SG	N
éjszaka	晚上	éjszaka	晚上	N;NOM;SG	N
éjszaka	夜	éjszaka	夜	N;NOM;SG	N
népek	鄉親	nép	鄉親	N;NOM;PL	N
újság	報章	újság	報章	N;NOM;SG	N
újság	報刊	újság	報刊	N;NOM;SG	N
újság	雜誌	újság	雜誌	N;NOM;SG	N
újság	報紙	újság	報紙	N;NOM;SG	N
újság	報	újság	報	N;NOM;SG	N
újság	報章	újság	報章	N;NOM;SG	N
ajánlott	推薦	ajánl	推薦	V;INDF;IND;SG;3;PST;FIN;ACT	V
ajánlott	推薦	ajánl	推薦	V;INDF;IND;SG;3;PST;FIN;ACT	V
kifejezetten	具體	kifejezett	具體	ADJ;FRML;SG	ADJ
szabadság	自由	szabadság	自由	N;NOM;SG	N
szabadság	自由	szabadság	自由	N;NOM;SG	N
függvény	功能	függvény	功能	N;NOM;SG	N
függvény	職能	függvény	職能	N;NOM;SG	N
függvény	函數	függvény	函數	N;NOM;SG	N
forgatókönyvíró	編劇	forgatókönyvíró	編劇	N;NOM;SG	N
filozófus	哲學	filozófus	哲學	N;NOM;SG	N
csoportok	群組	csoport	群組	N;NOM;PL	N
csoportok	團體	csoport	團體	N;NOM;PL	N
utat	路徑	út	路徑	N;ACC;SG	N
szöveget	歌詞	szöveg	歌詞	N;ACC;SG	N
sereg	集團	sereg	集團	N;NOM;SG	N
sereg	軍隊	sereg	軍隊	N;NOM;SG	N
sereg	軍	sereg	軍	N;NOM;SG	N
sereg	陸軍	sereg	陸軍	N;NOM;SG	N
olaj	油	olaj	油	N;NOM;SG	N
olaj	石油	olaj	石油	N;NOM;SG	N
olaj	機油	olaj	機油	N;NOM;SG	N
elfogadott	接受	el+fogadott	接受	V;INDF;IND;SG;3;PST;FIN;ACT	V
gondolat	思想	gondolat	思想	N;NOM;SG	N
gondolat	想法	gondolat	想法	N;NOM;SG	N
gondolat	思想	gondolat	思想	N;NOM;SG	N
legkisebb	最少	kevés	最少	ADJ;NOM;RL;SG	ADJ
legkisebb	最小	kevés	最小	ADJ;NOM;RL;SG	ADJ
milliárd	億萬	milliárd	億萬	NUM;NOM;SG	NUM
járat	班機	járat	班機	N;NOM;SG	N
gyűjtemény	收藏	gyűjtemény	收藏	N;NOM;SG	N
elmélet	假設	elmélet	假設	N;NOM;SG	N
elmélet	假說	elmélet	假說	N;NOM;SG	N
elmélet	理論	elmélet	理論	N;NOM;SG	N
elmélet	論	elmélet	論	N;NOM;SG	N
változatok	版本	változat	版本	N;NOM;PL	N
változatok	變體	változat	變體	N;NOM;PL	N
időpont	日期	időpont	日期	N;NOM;SG	N
időpont	約會	időpont	約會	N;NOM;SG	N
időpont	時光	időpont	時光	N;NOM;SG	N
időpont	時間	időpont	時間	N;NOM;SG	N
időtartam	期限	időtartam	期限	N;NOM;SG	N
időtartam	期間	időtartam	期間	N;NOM;SG	N
könyvet	圖書	könyv	圖書	N;ACC;SG	N
könyvet	書	könyv	書	N;ACC;SG	N
könyvet	書籍	könyv	書籍	N;ACC;SG	N
gyerekek	小孩	gyerek	小孩	N;NOM;PL	N
gyerekek	兒童	gyerek	兒童	N;NOM;PL	N
délkeleti	東南	délkeleti	東南	N;NOM;SG	N
tudós	科學	tudós	科學	N;NOM;SG	N
tudós	學人	tudós	學人	N;NOM;SG	N
tudós	狀元	tudós	狀元	N;NOM;SG	N
tudós	學者	tudós	學者	N;NOM;SG	N
fegyveres	武裝	fegyveres	武裝	N;NOM;SG	N
kihalt	滅絕	ki+hal	滅絕	V;INDF;IND;SG;3;PST;FIN;ACT	V
üzleti	企業	üzlet	企業	N;NOM;SG	N
üzleti	業務	üzlet	業務	N;NOM;SG	N
üzleti	商業	üzlet	商業	N;NOM;SG	N
üzleti	商務	üzlet	商務	N;NOM;SG	N
pilóta	試點	pilóta	試點	N;NOM;SG	N
válogatás	甄選	válogatás	甄選	N;NOM;SG	N
emlékmű	紀念	emlékmű	紀念	N;NOM;SG	N
emlékmű	碑	emlékmű	碑	N;NOM;SG	N
múlt	過往	múlt	過往	N;NOM;SG	N
múlt	過去	múlt	過去	N;NOM;SG	N
kollégium	宿舍	kollégium	宿舍	N;NOM;SG	N
kollégium	寢	kollégium	寢	N;NOM;SG	N
kollégium	宿舍	kollégium	宿舍	N;NOM;SG	N
kollégium	學院	kollégium	學院	N;NOM;SG	N
kollégium	書院	kollégium	書院	N;NOM;SG	N
kollégium	大學	kollégium	大學	N;NOM;SG	N
építészet	結構	építészet	結構	N;NOM;SG	N
építészet	架構	építészet	架構	N;NOM;SG	N
építészet	建築	építészet	建築	N;NOM;SG	N
tartalom	內容	tartalom	內容	N;NOM;SG	N
tetszik	喜歡	tetszik	喜歡	V;INDF;IND;SG;3;PRS;FIN;ACT	V
harc	戰	harc	戰	N;NOM;SG	N
harc	戰役	harc	戰役	N;NOM;SG	N
harc	戰鬥	harc	戰鬥	N;NOM;SG	N
harc	格鬥	harc	格鬥	N;NOM;SG	N
harc	打架	harc	打架	N;NOM;SG	N
harc	戰鬥	harc	戰鬥	N;NOM;SG	N
harc	打架	harc	打架	N;NOM;SG	N
harc	戰鬥	harc	戰鬥	N;NOM;SG	N
iskolában	學校	iskolában	學校	N;IN+ESS;SG	N
autópálya	公路	autópály	公路	N;NOM;SG	N
északnyugati	西北	északnyugati	西北	N;NOM;SG	N
napot	白天	nap	白天	N;ACC;SG	N
energia	能量	energia	能量	N;NOM;SG	N
energia	能源	energia	能源	N;NOM;SG	N
energia	電力	energia	電力	N;NOM;SG	N
energia	電源	energia	電源	N;NOM;SG	N
energia	動力	energia	動力	N;NOM;SG	N
energia	權力	energia	權力	N;NOM;SG	N
eszköz	裝置	eszköz	裝置	N;NOM;SG	N
eszköz	儀器	eszköz	儀器	N;NOM;SG	N
eszköz	樂器	eszköz	樂器	N;NOM;SG	N
eszköz	文書	eszköz	文書	N;NOM;SG	N
eszköz	工具	eszköz	工具	N;NOM;SG	N
fokozat	度	fokozat	度	N;NOM;SG	N
fokozat	程度	fokozat	程度	N;NOM;SG	N
fokozat	學位	fokozat	學位	N;NOM;SG	N
fokozat	等級	fokozat	等級	N;NOM;SG	N
fokozat	年級	fokozat	年級	N;NOM;SG	N
biológiai	生物	biológiai	生物	N;NOM;SG	N
biológiai	生物	biológiai	生物	N;NOM;SG	N
szerzetes	僧侶	szerzetes	僧侶	N;NOM;SG	N
szerzetes	僧	szerzetes	僧	N;NOM;SG	N
szolgál	服務	szolgál	服務	V;INDF;IND;SG;3;PRS;FIN;ACT	V
terv	計畫	terv	計畫	N;NOM;SG	N
politikusok	政界	politikus	政界	N;NOM;PL	N
politikusok	政客	politikus	政客	N;NOM;PL	N
politikusok	政治	politikus	政治	N;NOM;PL	N
politikusok	政客	politikus	政客	N;NOM;PL	N
politikusok	政治	politikus	政治	N;NOM;PL	N
amatőr	業餘	amatőr	業餘	N;NOM;SG	N
szabályok	規則	szabály	規則	N;NOM;PL	N
szabályok	細則	szabály	細則	N;NOM;PL	N
erdők	樹林	erdő	樹林	N;NOM;PL	N
erdők	森林	erdő	森林	N;NOM;PL	N
erdők	森林	erdő	森林	N;NOM;PL	N
jogász	律師	jogász	律師	N;NOM;SG	N
igazolt	確認	igazolt	確認	V;INDF;IND;SG;3;PST;FIN;ACT	V
háborúk	戰爭	háború	戰爭	N;NOM;PL	N
épületek	建築	épület	建築	N;NOM;PL	N
műhold	衛星	műhold	衛星	N;NOM;SG	N
erő	力氣	erő	力氣	N;NOM;SG	N
erő	強度	erő	強度	N;NOM;SG	N
erő	實力	erő	實力	N;NOM;SG	N
erő	力量	erő	力量	N;NOM;SG	N
erő	體力	erő	體力	N;NOM;SG	N
erő	武力	erő	武力	N;NOM;SG	N
erő	電力	erő	電力	N;NOM;SG	N
erő	電源	erő	電源	N;NOM;SG	N
erő	動力	erő	動力	N;NOM;SG	N
erő	權力	erő	權力	N;NOM;SG	N
körzet	組織	körzet	組織	N;NOM;SG	N
körzet	區	körzet	區	N;NOM;SG	N
körzet	地區	körzet	地區	N;NOM;SG	N
edit	編輯	edit	編輯	N;NOM;SG	N
esetekben	案例	eset	案例	N;IN+ESS;PL	N
gyár	廠	gyár	廠	N;NOM;SG	N
gyár	工廠	gyár	工廠	N;NOM;SG	N
rendőrség	警方	rendőrség	警方	N;NOM;SG	N
rendőrség	警務	rendőrség	警務	N;NOM;SG	N
rendőrség	警察	rendőrség	警察	N;NOM;SG	N
versenyzők	騎手	versenyző	騎手	N;NOM;PL	N
net	網	net	網	N;NOM;SG	N
lényegében	基本	lényeg	基本	N;IN+ESS;SG	N
hangszer	儀器	hangszer	儀器	N;NOM;SG	N
hangszer	樂器	hangszer	樂器	N;NOM;SG	N
hangszer	文書	hangszer	文書	N;NOM;SG	N
elem	電池	elem	電池	N;NOM;SG	N
elem	電量	elem	電量	N;NOM;SG	N
elem	項目	elem	項目	N;NOM;SG	N
elem	電池	elem	電池	N;NOM;SG	N
elem	部件	elem	部件	N;NOM;SG	N
elem	元素	elem	元素	N;NOM;SG	N
elem	元件	elem	元件	N;NOM;SG	N
elem	要件	elem	要件	N;NOM;SG	N
írott	書寫	írott	書寫	V;INDF;IND;SG;3;PST;FIN;ACT	V
írott	撰寫	írott	撰寫	V;INDF;IND;SG;3;PST;FIN;ACT	V
vereség	敗	vereség	敗	N;NOM;SG	N
oktatás	教育	oktatás	教育	N;NOM;SG	N
oktatás	學歷	oktatás	學歷	N;NOM;SG	N
kritikus	危急	kritikus	危急		
videó	視訊	videó	視訊	N;NOM;SG	N
videó	影片	videó	影片	N;NOM;SG	N
részletek	細節	részlet	細節	N;NOM;PL	N
részletek	詳情	részlet	詳情	N;NOM;PL	N
dráma	電視	dráma	電視	N;NOM;SG	N
dráma	劇情	dráma	劇情	N;NOM;SG	N
dráma	戲劇	dráma	戲劇	N;NOM;SG	N
dráma	劇	dráma	劇	N;NOM;SG	N
húsz	二十	húsz	二十	NUM;NOM;SG	NUM
oktatók	教員	oktató	教員	N;NOM;PL	N
autó	車	autó	車	N;NOM;SG	N
autó	汽車	autó	汽車	N;NOM;SG	N
feladat	任務	feladat	任務	N;NOM;SG	N
feladat	任務	feladat	任務	N;NOM;SG	N
javaslat	提案	javaslat	提案	N;NOM;SG	N
beteg	病	beteg	病	N;NOM;SG	N
beteg	病患	beteg	病患	N;NOM;SG	N
beteg	患者	beteg	患者	N;NOM;SG	N
beteg	病人	beteg	病人	N;NOM;SG	N
beteg	病	beteg	病	N;NOM;SG	N
portál	門戶	por	門戶	N;NOM;SG	N
változik	改變	változik	改變	V;INDF;IND;SG;3;PRS;FIN;ACT	V
festett	染色	festett	染色	V;INDF;IND;SG;3;PST;FIN;ACT	V
hal	魚類	hal	魚類	N;NOM;SG	N
hal	魚	hal	魚	N;NOM;SG	N
hal	魚兒	hal	魚兒	N;NOM;SG	N
típusa	型態	típus	型態	N;NOM;SG	N
típusa	類型	típus	類型	N;NOM;SG	N
temetőben	墓園	temető	墓園	N;IN+ESS;SG	N
temetőben	墓地	temető	墓地	N;IN+ESS;SG	N
temetőben	公墓	temető	公墓	N;IN+ESS;SG	N
temetőben	墓地	temető	墓地	N;IN+ESS;SG	N
völgy	河谷	völgy	河谷	N;NOM;SG	N
völgy	谷	völgy	谷	N;NOM;SG	N
völgy	山谷	völgy	山谷	N;NOM;SG	N
völgy	谷地	völgy	谷地	N;NOM;SG	N
kórház	醫院	kórház	醫院	N;NOM;SG	N
kedvenc	喜愛	kedvenc	喜愛		
kézilabda	手球	kézilabda	手球	N;NOM;SG	N
ügyvéd	律師	ügyvéd	律師	N;NOM;SG	N
törzs	部族	törzs	部族	N;NOM;SG	N
törzs	部落	törzs	部落	N;NOM;SG	N
törzs	株	törzs	株	N;NOM;SG	N
matematika	數學	matematika	數學	N;NOM;SG	N
matematika	數學	matematika	數學	N;NOM;SG	N
matematika	數學	matematika	數學	N;NOM;SG	N
matematika	數學	matematika	數學	N;NOM;SG	N
példány	標本	példány	標本	N;NOM;SG	N
példány	樣本	példány	樣本	N;NOM;SG	N
verzió	版	verzió	版	N;NOM;SG	N
verzió	版本	verzió	版本	N;NOM;SG	N
gyártott	製造	gyárt	製造	V;INDF;IND;SG;3;PST;FIN;ACT	V
professzor	教授	professzor	教授	N;NOM;SG	N
pénzt	金錢	pénz	金錢	N;ACC;SG	N
pénzt	錢	pénz	錢	N;ACC;SG	N
pénzt	現金	pénz	現金	N;ACC;SG	N
festők	畫家	festő	畫家	N;NOM;PL	N
tartalma	內容	tartalom	內容	N;NOM;SG	N
otthon	首頁	otthon	首頁		
tétel	項目	tétel	項目	N;NOM;SG	N
tétel	批次	tétel	批次	N;NOM;SG	N
tétel	分批	tétel	分批	N;NOM;SG	N
tétel	定理	tétel	定理	N;NOM;SG	N
visszatér	返回	visszatér	返回	V;INDF;IND;SG;3;PRS;FIN;ACT	V
visszatér	返回	visszatér	返回	V;INDF;IND;SG;3;PRS;FIN;ACT	V
visszatér	回歸	visszatér	回歸	V;INDF;IND;SG;3;PRS;FIN;ACT	V
alacsonyabb	更低	alacsony	更低	ADJ;NOM;CMPR;SG	ADJ
alacsonyabb	較低	alacsony	較低	ADJ;NOM;CMPR;SG	ADJ
önkormányzat	市	önkormányzat	市	N;NOM;SG	N
jármű	車輛	jármű	車輛	N;NOM;SG	N
magassága	身高	magasság	身高	N;NOM;SG	N
magassága	高度	magasság	高度	N;NOM;SG	N
tulajdonosa	業	tulajdonos	業	N;NOM;SG	N
harcok	格鬥	harc	格鬥	N;NOM;PL	N
harcok	打架	harc	打架	N;NOM;PL	N
harcok	戰鬥	harc	戰鬥	N;NOM;PL	N
képeket	影像	kép	影像	N;ACC;PL	N
képeket	圖片	kép	圖片	N;ACC;PL	N
képeket	圖片	kép	圖片	N;ACC;PL	N
képeket	像片	kép	像片	N;ACC;PL	N
képeket	圖畫	kép	圖畫	N;ACC;PL	N
képeket	照片	kép	照片	N;ACC;PL	N
zászló	旗幟	zászló	旗幟	N;NOM;SG	N
zászló	國旗	zászló	國旗	N;NOM;SG	N
zászló	旗	zászló	旗	N;NOM;SG	N
zászló	旗子	zászló	旗子	N;NOM;SG	N
szélesség	緯度	szélesség	緯度	N;NOM;SG	N
szélesség	寬度	szélesség	寬度	N;NOM;SG	N
tömege	質量	tömeg	質量	N;NOM;SG	N
tömege	彌撒	tömeg	彌撒	N;NOM;SG	N
népszámlálás	人口	népszámlálás	人口	N;NOM;SG	N
népszámlálás	普查	népszámlálás	普查	N;NOM;SG	N
népszámlálás	人口	népszámlálás	人口	N;NOM;SG	N
népszámlálás	普查	népszámlálás	普查	N;NOM;SG	N
vokál	聲樂	vokál	聲樂	N;NOM;SG	N
mérete	大小	méret	大小	N;NOM;SG	N
mérete	體積	méret	體積	N;NOM;SG	N
mérete	尺寸	méret	尺寸	N;NOM;SG	N
öböl	海灣	öböl	海灣	N;NOM;SG	N
öböl	灣	öböl	灣	N;NOM;SG	N
öböl	海灣	öböl	海灣	N;NOM;SG	N
franciák	法文	francia	法文	N;NOM;PL	N
hím	男性	hím	男性	N;NOM;SG	N
hím	男	hím	男	N;NOM;SG	N
hőmérséklet	氣溫	hőmérséklet	氣溫	N;NOM;SG	N
hőmérséklet	溫度	hőmérséklet	溫度	N;NOM;SG	N
hőmérséklet	體溫	hőmérséklet	體溫	N;NOM;SG	N
hőmérséklet	溫度	hőmérséklet	溫度	N;NOM;SG	N
hőmérséklet	氣溫	hőmérséklet	氣溫	N;NOM;SG	N
hőmérséklet	溫度	hőmérséklet	溫度	N;NOM;SG	N
fordított	反轉	fordított	反轉	V;INDF;IND;SG;3;PST;FIN;ACT	V
fordított	扭轉	fordított	扭轉	V;INDF;IND;SG;3;PST;FIN;ACT	V
fordított	倒轉	fordított	倒轉	V;INDF;IND;SG;3;PST;FIN;ACT	V
újságírók	記者	újságíró	記者	N;NOM;PL	N
címere	國徽	címer	國徽	N;NOM;SG	N
eltűnt	缺少	el+tűnik	缺少	V;INDF;IND;SG;3;PST;FIN;ACT	V
eltűnt	失蹤	el+tűnik	失蹤	V;INDF;IND;SG;3;PST;FIN;ACT	V
eltűnt	遺失	el+tűnik	遺失	V;INDF;IND;SG;3;PST;FIN;ACT	V
képviselői	代表	képviselő	代表	N;NOM;PL	N
dolgok	事情	dolog	事情	N;NOM;PL	N
bolygó	行星	bolygó	行星	N;NOM;SG	N
bolygó	星球	bolygó	星球	N;NOM;SG	N
buddha	菩薩	buddha	菩薩	N;NOM;SG	N
buddha	佛祖	buddha	佛祖	N;NOM;SG	N
hideg	冷	hideg	冷		
kutya	犬	kutya	犬	N;NOM;SG	N
kutya	狗	kutya	狗	N;NOM;SG	N
kutya	犬	kutya	犬	N;NOM;SG	N
kutya	狗	kutya	狗	N;NOM;SG	N
műfajok	流派	műfaj	流派	N;NOM;PL	N
fiatalok	青年	fiatal	青年	N;NOM;PL	N
fiatalok	青春	fiatal	青春	N;NOM;PL	N
fiatalok	青少	fiatal	青少	N;NOM;PL	N
felkelés	起義	felkelés	起義	N;NOM;SG	N
felkelés	叛亂	felkelés	叛亂	N;NOM;SG	N
felkelés	叛亂	felkelés	叛亂	N;NOM;SG	N
felkelés	起義	felkelés	起義	N;NOM;SG	N
felkelés	叛亂	felkelés	叛亂	N;NOM;SG	N
felkelés	叛逆	felkelés	叛逆	N;NOM;SG	N
levél	郵件	levél	郵件	N;NOM;SG	N
levél	郵寄	levél	郵寄	N;NOM;SG	N
levél	信件	levél	信件	N;NOM;SG	N
levél	葉子	levél	葉子	N;NOM;SG	N
levél	信	levél	信	N;NOM;SG	N
levél	字母	levél	字母	N;NOM;SG	N
levél	信函	levél	信函	N;NOM;SG	N
levél	信件	levél	信件	N;NOM;SG	N
nyáron	夏日	nyár	夏日	N;ON+ESS;SG	N
nyáron	夏季	nyár	夏季	N;ON+ESS;SG	N
nyáron	暑假	nyár	暑假	N;ON+ESS;SG	N
nyáron	夏天	nyár	夏天	N;ON+ESS;SG	N
vég	終	vég	終	N;NOM;SG	N
vég	結尾	vég	結尾	N;NOM;SG	N
gépek	機械	gép	機械	N;NOM;PL	N
gépek	機器	gép	機器	N;NOM;PL	N
hiányzik	缺少	hiányzik	缺少	V;INDF;IND;SG;3;PRS;FIN;ACT	V
hiányzik	失蹤	hiányzik	失蹤	V;INDF;IND;SG;3;PRS;FIN;ACT	V
hiányzik	遺失	hiányzik	遺失	V;INDF;IND;SG;3;PRS;FIN;ACT	V
font	鎊	font	鎊	N;NOM;SG	N
font	磅	font	磅	N;NOM;SG	N
font	磅	font	磅	N;NOM;SG	N
mondat	片語	mondat	片語	N;NOM;SG	N
mondat	句子	mondat	句子	N;NOM;SG	N
mondat	刑期	mondat	刑期	N;NOM;SG	N
mondat	句子	mondat	句子	N;NOM;SG	N
mondat	刑期	mondat	刑期	N;NOM;SG	N
tökéletes	完美	tökéletes	完美	ADJ;NOM;SG	ADJ
közlekedés	運輸	közlekedés	運輸	N;NOM;SG	N
közlekedés	交通	közlekedés	交通	N;NOM;SG	N
közlekedés	交通	közlekedés	交通	N;NOM;SG	N
közlekedés	運輸	közlekedés	運輸	N;NOM;SG	N
közlekedés	交通	közlekedés	交通	N;NOM;SG	N
microsoft	微	microsoft	微	N;NOM;SG	N
szerzetesek	僧侶	szerzetes	僧侶	N;NOM;PL	N
enciklopédia	百科	enciklopédia	百科	N;NOM;SG	N
enciklopédia	百科	enciklopédia	百科	N;NOM;SG	N
közepes	溫和	közepes	溫和	ADJ;NOM;SG	ADJ
kedvelt	讚	kedvelt	讚		
hajók	船隻	hajó	船隻	N;NOM;PL	N
hajók	艇	hajó	艇	N;NOM;PL	N
hajók	船隻	hajó	船隻	N;NOM;PL	N
hajók	船舶	hajó	船舶	N;NOM;PL	N
hajók	船隻	hajó	船隻	N;NOM;PL	N
szerzők	作者	szerző	作者	N;NOM;PL	N
felhasznált	使用	felhasznált	使用	V;INDF;IND;SG;3;PST;FIN;ACT	V
ellenfél	對手	ellenfél	對手	N;NOM;SG	N
