categoría	категорія	categoría	категорія	N;FEM;SG	N;INAN;NOM;FEM;SG
ellas	їх	él	вони	PRO;FEM;PL;3	PRO;ACC;PL;3
ellas	їм	él	вони	PRO;FEM;PL;3	PRO;DAT;PL;3
ellas	вони	él	вони	PRO;FEM;PL;3	PRO;NOM;PL;3
derechos	права	derecho	право	N;MASC;PL	N;INAN;NOM;NEUT;PL
ministro	міністр	ministro	міністр	N;MASC;SG	N;ANIM;NOM;MASC;SG
ministro	міністру	ministro	міністр	N;MASC;SG	N;ANIM;DAT;MASC;SG
interés	зацікавлення	interés	зацікавлення	N;MASC;SG	N;INAN;NOM;NEUT;SG
interés	інтерес	interés	інтерес	N;MASC;SG	N;INAN;NOM;MASC;SG
interés	вигода	interés	вигода	N;MASC;SG	N;INAN;NOM;FEM;SG
series	серії	serie	серія	N;FEM;PL	N;INAN;NOM;FEM;PL
series	ряди	serie	ряд	N;FEM;PL	N;INAN;NOM;MASC;PL
texto	текст	texto	текст	N;MASC;SG	N;INAN;NOM;MASC;SG
escritores	письменники	escritor	письменник	N;MASC;PL	N;ANIM;NOM;MASC;PL
escritores	письменників	escritor	письменник	N;MASC;PL	N;ANIM;ACC;MASC;PL
actriz	актриса	actriz	актриса	N;FEM;SG	N;ANIM;NOM;FEM;SG
actriz	акторка	actriz	акторка	N;FEM;SG	N;ANIM;NOM;FEM;SG
persona	особа	persona	особа	N;FEM;SG	N;ANIM;NOM;FEM;SG
capacidad	можливість	capacidad	можливість	N;FEM;SG	N;INAN;NOM;FEM;SG
capacidad	потужність	capacidad	потужність	N;FEM;SG	N;INAN;NOM;FEM;SG
capacidad	спроможність	capacidad	спроможність	N;FEM;SG	N;INAN;NOM;FEM;SG
capacidad	здатність	capacidad	здатність	N;FEM;SG	N;INAN;NOM;FEM;SG
capacidad	можливість	capacidad	можливість	N;FEM;SG	N;INAN;NOM;FEM;SG
cantidad	сума	cantidad	сума	N;FEM;SG	N;INAN;NOM;FEM;SG
cantidad	суму	cantidad	сума	N;FEM;SG	N;INAN;ACC;FEM;SG
cantidad	кількість	cantidad	кількість	N;FEM;SG	N;INAN;NOM;FEM;SG
fuentes	джерела	fuente	джерело	N;FEM;PL	N;INAN;NOM;NEUT;PL
fuentes	джерел	fuente	джерело	N;FEM;PL	N;INAN;GEN;NEUT;PL
fuentes	шрифти	fuente	шрифти	N;FEM;PL	N;INAN;NOM;MASC;PL
fuentes	фонтани	fuente	фонтан	N;FEM;PL	N;INAN;NOM;MASC;PL
luz	світлі	luz	світло	N;FEM;SG	N;INAN;NOM;NEUT;SG
luz	світло	luz	світло	N;FEM;SG	N;INAN;NOM;NEUT;SG
paz	пас	paz	пас	N;FEM;SG	N;INAN;NOM;MASC;SG
paz	миру	paz	мир	N;FEM;SG	N;INAN;GEN;MASC;SG
paz	мир	paz	мир	N;FEM;SG	N;INAN;NOM;MASC;SG
tercer	третій	tercero	третій	ADJ;MASC;SG	ADJ;NOM;MASC;SG
tercer	третя	tercero	третій	ADJ;MASC;SG	ADJ;NOM;FEM;SG
vuelta	колі	vuelta	коло	N;FEM;SG	N;INAN;NOM;NEUT;SG
vuelta	повернення	vuelta	повернення	N;FEM;SG	N;INAN;NOM;NEUT;SG
noche	вечір	noche	вечір	N;FEM;SG	N;INAN;NOM;MASC;SG
noche	ніч	noche	ніч	N;FEM;SG	N;INAN;NOM;FEM;SG
muestra	показує	mostrar	показувати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
personal	особисте	personal	особистий	ADJ;SG	ADJ;NOM;NEUT;SG
personal	особистий	personal	особистий	ADJ;SG	ADJ;NOM;MASC;SG
personal	персональний	personal	персональний	ADJ;SG	ADJ;NOM;MASC;SG
aeropuerto	аеропорт	aeropuerto	аеропорт	N;MASC;SG	N;INAN;NOM;MASC;SG
apoyo	підтримка	apoyo	підтримка	N;MASC;SG	N;INAN;NOM;FEM;SG
semana	тиждень	semana	тиждень	N;FEM;SG	N;INAN;NOM;MASC;SG
palacio	палац	palacio	палац	N;MASC;SG	N;INAN;NOM;MASC;SG
propia	власний	propio	власний	ADJ;FEM;SG	ADJ;NOM;MASC;SG
pacífico	тихий	pacífico	тихий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
pacífico	спокійна	pacífico	спокійний	ADJ;MASC;SG	ADJ;NOM;FEM;SG
pacífico	мирного	pacífico	мирний	ADJ;MASC;SG	ADJ;GEN;MASC;SG
pacífico	мирний	pacífico	мирний	ADJ;MASC;SG	ADJ;NOM;MASC;SG
escritor	письменник	escritor	письменник	N;MASC;SG	N;ANIM;NOM;MASC;SG
castilla	кастилія	castilla	кастилія	N;FEM;SG	N;INAN;NOM;FEM;SG
profesor	професор	profesor	професор	N;MASC;SG	N;ANIM;NOM;MASC;SG
profesor	викладач	profesor	викладач	N;MASC;SG	N;ANIM;NOM;MASC;SG
profesor	вчителю	profesor	вчитель	N;MASC;SG	N;ANIM;DAT;FEM;SG
profesor	вчитель	profesor	вчитель	N;MASC;SG	N;ANIM;NOM;MASC;SG
profesor	учитель	profesor	учитель	N;MASC;SG	N;ANIM;NOM;MASC;SG
profesor	вчителька	profesor	вчителька	N;MASC;SG	N;ANIM;NOM;FEM;SG
diseño	проектування	diseño	проектування	N;MASC;SG	N;INAN;NOM;NEUT;SG
diseño	дизайн	diseño	дизайн	N;MASC;SG	N;INAN;NOM;MASC;SG
diseño	розробка	diseño	розробка	N;MASC;SG	N;INAN;NOM;FEM;SG
casos	випадках	caso	випадок	N;MASC;PL	N;INAN;ESS;MASC;PL
casos	випадки	caso	випадок	N;MASC;PL	N;INAN;NOM;MASC;PL
casos	випадків	caso	випадок	N;MASC;PL	N;INAN;GEN;MASC;PL
negro	чорне	negro	чорний	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
negro	чорна	negro	чорний	ADJ;MASC;SG	ADJ;NOM;FEM;SG
negro	чорний	negro	чорний	ADJ;MASC;SG	ADJ;NOM;MASC;SG
camino	контур	camino	контура	N;MASC;SG	N;INAN;NOM;MASC;SG
camino	шлях	camino	шлях	N;MASC;SG	N;INAN;NOM;MASC;SG
camino	дорога	camino	дорога	N;MASC;SG	N;INAN;NOM;FEM;SG
camino	спосіб	camino	спосіб	N;MASC;SG	N;INAN;NOM;MASC;SG
camino	шлях	camino	шлях	N;MASC;SG	N;INAN;NOM;MASC;SG
ayuda	допомога	ayuda	допомога	N;FEM;SG	N;INAN;NOM;FEM;SG
ayuda	довідка	ayuda	довідка	N;FEM;SG	N;INAN;NOM;FEM;SG
ayuda	допомогу	ayuda	допомога	N;FEM;SG	N;INAN;ACC;FEM;SG
ayuda	допомоги	ayuda	допомога	N;FEM;SG	N;INAN;GEN;FEM;SG
nombres	назви	nombre	назва	N;MASC;PL	N;INAN;NOM;FEM;PL
nombres	імена	nombre	ім’я	N;MASC;PL	N;INAN;NOM;NEUT;PL
causa	причина	causa	причина	N;FEM;SG	N;INAN;NOM;FEM;SG
causa	причиною	causa	причина	N;FEM;SG	N;INAN;INS;FEM;SG
horario	розклад	horario	розклад	N;MASC;SG	N;INAN;NOM;MASC;SG
horario	розклад	horario	розклад	N;MASC;SG	N;INAN;NOM;MASC;SG
ciencias	науки	ciencia	наука	N;FEM;PL	N;INAN;NOM;FEM;PL
ciencias	наук	ciencia	наука	N;FEM;PL	N;INAN;GEN;FEM;PL
últimos	останні	último	останній	ADJ;MASC;PL	ADJ;NOM;PL
tamaño	розмір	tamaño	розмір	N;MASC;SG	N;INAN;NOM;MASC;SG
principio	принцип	principio	принцип	N;MASC;SG	N;INAN;NOM;MASC;SG
periodo	строк	periodo	строк	N;MASC;SG	N;INAN;NOM;MASC;SG
periodo	період	periodo	період	N;MASC;SG	N;INAN;NOM;MASC;SG
nacimiento	народження	nacimiento	народження	N;MASC;SG	N;INAN;NOM;NEUT;SG
etapa	етапу	etapa	етап	N;FEM;SG	N;INAN;GEN;MASC;SG
etapa	фаза	etapa	фаза	N;FEM;SG	N;INAN;NOM;FEM;SG
etapa	фазу	etapa	фаза	N;FEM;SG	N;INAN;ACC;FEM;SG
etapa	стадія	etapa	стадія	N;FEM;SG	N;INAN;NOM;FEM;SG
actualidad	течія	actualidad	течія	N;FEM;SG	N;INAN;NOM;FEM;SG
actualidad	струм	actualidad	струм	N;FEM;SG	N;INAN;NOM;MASC;SG
pequeño	малий	pequeño	малий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
pequeño	маленька	pequeño	маленький	ADJ;MASC;SG	ADJ;NOM;FEM;SG
pequeño	маленький	pequeño	маленький	ADJ;MASC;SG	ADJ;NOM;MASC;SG
zonas	зони	zona	зона	N;FEM;PL	N;INAN;NOM;FEM;PL
zonas	зон	zona	зона	N;FEM;PL	N;INAN;GEN;FEM;PL
zonas	ділянки	zona	ділянка	N;FEM;PL	N;INAN;NOM;FEM;PL
zonas	територіях	zona	територія	N;FEM;PL	N;INAN;ESS;FEM;PL
zonas	площі	zona	площа	N;FEM;PL	N;INAN;ACC;FEM;PL
zonas	районів	zona	район	N;FEM;PL	N;INAN;GEN;MASC;PL
referencias	посилання	referencia	посилання	N;FEM;PL	N;INAN;NOM;NEUT;PL
única	унікальний	único	унікальний	ADJ;FEM;SG	ADJ;NOM;MASC;SG
única	унікальне	único	унікальний	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
ediciones	редакціях	edición	редакція	N;FEM;PL	N;INAN;ESS;FEM;PL
debut	дебют	debut	дебют	N;MASC;SG	N;INAN;NOM;MASC;SG
presente	теперішній	presente	теперішній	ADJ;SG	ADJ;DAT;FEM;SG
presente	присутня	presente	присутня	ADJ;SG	ADJ;NOM;FEM;SG
congreso	конгрес	congreso	конгрес	N;MASC;SG	N;INAN;NOM;MASC;SG
congreso	конгресу	congreso	конгрес	N;MASC;SG	N;INAN;GEN;MASC;SG
guitarra	гітару	guitarra	гітар	N;FEM;SG	N;INAN;ACC;FEM;SG
guitarra	гітара	guitarra	гітар	N;FEM;SG	N;ANIM;NOM;FEM;SG
qué	що	qué	що	PRO;SG	PRO;INAN;NOM;NEUT;SG
qué	чим	qué	що	PRO;SG	PRO;INAN;INS;NEUT;SG
pablo	барні	pablo	барня	N;MASC;SG	N;INAN;NOM;MASC;SG
elementos	елементи	elemento	елемент	N;MASC;PL	N;INAN;NOM;MASC;PL
relaciones	стосунки	relación	стосунок	N;FEM;PL	N;INAN;NOM;MASC;PL
relaciones	відносини	relación	відносини	N;FEM;PL	N;INAN;NOM;MASC;PL
compuesto	композитний	compuesto	композитний	ADJ;MASC;SG;V.PTCP	ADJ;NOM;MASC;SG
compuesto	складене	compuesto	складений	ADJ;MASC;SG;V.PTCP	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS
horas	годин	hora	година	N;FEM;PL	N;INAN;GEN;FEM;PL
horas	години	hora	година	N;FEM;PL	N;INAN;NOM;FEM;PL
partes	частини	parte	частина	N;FEM;PL	N;INAN;NOM;FEM;PL
partes	частинами	parte	частина	N;FEM;PL	N;INAN;INS;FEM;PL
text	текст	text	текст	N	N;INAN;NOM;MASC;SG
lengua	язик	lengua	язик	N;FEM;SG	N;INAN;NOM;MASC;SG
lengua	язика	lengua	язик	N;FEM;SG	N;INAN;GEN;MASC;SG
lengua	мова	lengua	мова	N;FEM;SG	N;INAN;NOM;FEM;SG
lengua	мову	lengua	мова	N;FEM;SG	N;INAN;ACC;FEM;SG
torre	вежа	torre	вежа	N;FEM;SG	N;INAN;NOM;FEM;SG
torre	башта	torre	башта	N;FEM;SG	N;INAN;NOM;FEM;SG
torre	тура	torre	тур	N;FEM;SG	N;ANIM;NOM;FEM;SG
dado	дано	dar	дати	V;MASC;SG;PST;V.PTCP	V;PFV;IND;0;FIN
dado	надано	dar	надати	V;MASC;SG;PST;V.PTCP	V;PFV;IND;0;FIN
actividades	заняття	actividad	заняття	N;FEM;PL	N;INAN;NOM;NEUT;PL
nacionales	національні	nacional	національний	ADJ;PL	ADJ;NOM;PL
cantón	кантон	cantón	кантон	N;MASC;SG	N;INAN;NOM;MASC;SG
nuevas	нові	nuevo	новий	ADJ;FEM;PL	ADJ;NOM;PL
sencillo	просту	sencillo	простий	ADJ;MASC;SG	ADJ;ACC;FEM;SG
sencillo	простий	sencillo	простий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
sencillo	проста	sencillo	простий	ADJ;MASC;SG	ADJ;NOM;FEM;SG
sencillo	просте	sencillo	прости	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
sencillo	самотній	sencillo	самотній	ADJ;MASC;SG	ADJ;NOM;MASC;SG
sencillo	легка	sencillo	легка	ADJ;MASC;SG	ADJ;NOM;FEM;SG
sencillo	легке	sencillo	легке	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
federal	федеральний	federal	федеральний	ADJ;SG	ADJ;NOM;MASC;SG
participación	участь	participación	участь	N;FEM;SG	N;INAN;ACC;FEM;SG
participación	участь	participación	участь	N;FEM;SG	N;INAN;ACC;FEM;SG
participación	участь	participación	участь	N;FEM;SG	N;INAN;ACC;FEM;SG
fuerte	сильним	fuerte	сильний	ADJ;SG	ADJ;INS;NEUT;SG
fuerte	сильною	fuerte	сильний	ADJ;SG	ADJ;INS;FEM;SG
fuerte	сильний	fuerte	сильний	ADJ;SG	ADJ;NOM;MASC;SG
fuerte	сильна	fuerte	сильний	ADJ;SG	ADJ;NOM;FEM;SG
italiano	італієць	italiano	італієць	N;MASC;SG	N;ANIM;NOM;MASC;SG
posee	володіє	poseer	володіти	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
posee	володіє	poseer	володіти	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
jugadores	гравців	jugador	гравець	N;MASC;PL	N;ANIM;ACC;MASC;PL
jugadores	гравці	jugador	гравка	N;MASC;PL	N;ANIM;NOM;MASC;PL
lleva	несе	llevar	несе	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
seguridad	безпека	seguridad	безпека	N;FEM;SG	N;INAN;NOM;FEM;SG
seguridad	безпеки	seguridad	безпека	N;FEM;SG	N;INAN;GEN;FEM;SG
seguridad	безпека	seguridad	безпека	N;FEM;SG	N;INAN;NOM;FEM;SG
administración	адміністрування	administración	адміністрування	N;FEM;SG	N;INAN;NOM;NEUT;SG
administración	адмін	administración	адмін	N;FEM;SG	N;INAN;NOM;MASC;SG
administración	адміністратор	administración	адміністратор	N;FEM;SG	N;ANIM;NOM;MASC;SG
administración	управління	administración	управління	N;FEM;SG	N;INAN;NOM;NEUT;SG
administración	менеджмент	administración	менеджмент	N;FEM;SG	N;INAN;NOM;MASC;SG
administración	керівництво	administración	керівництво	N;FEM;SG	N;INAN;NOM;NEUT;SG
administración	керування	administración	керування	N;FEM;SG	N;INAN;NOM;NEUT;SG
administración	адміністрація	administración	адміністрація	N;FEM;SG	N;INAN;NOM;FEM;SG
administración	адміністрування	administración	адміністрування	N;FEM;SG	N;INAN;NOM;NEUT;SG
empresas	підприємцям	empresa	підприємець	N;FEM;PL	N;ANIM;DAT;MASC;PL
empresas	компаніями	empresa	компанія	N;FEM;PL	N;INAN;INS;FEM;PL
empresas	компанії	empresa	компанія	N;FEM;PL	N;INAN;NOM;FEM;PL
empresas	компаній	empresa	компанія	N;FEM;PL	N;INAN;GEN;FEM;PL
empresas	компаніями	empresa	компанія	N;FEM;PL	N;INAN;INS;FEM;PL
empresas	підприємств	empresa	підприємство	N;FEM;PL	N;INAN;GEN;NEUT;PL
empresas	підприємства	empresa	підприємство	N;FEM;PL	N;INAN;NOM;NEUT;PL
mercado	крамниця	mercado	крамниця	N;MASC;SG	N;INAN;NOM;FEM;SG
mercado	ринок	mercado	ринок	N;MASC;SG	N;INAN;NOM;MASC;SG
mercado	ринку	mercado	ринка	N;MASC;SG	N;INAN;DAT;FEM;SG
lucha	боротьба	lucha	боротьба	N;FEM;SG	N;INAN;NOM;FEM;SG
lucha	боротьба	lucha	боротьба	N;FEM;SG	N;INAN;NOM;FEM;SG
lucha	боротьбі	lucha	боротьба	N;FEM;SG	N;INAN;DAT;FEM;SG
lucha	бійка	lucha	бійка	N;FEM;SG	N;INAN;NOM;FEM;SG
lucha	бій	lucha	бій	N;FEM;SG	N;INAN;NOM;MASC;SG
lucha	бійка	lucha	бійка	N;FEM;SG	N;INAN;NOM;FEM;SG
lucha	боротьба	lucha	боротьба	N;FEM;SG	N;INAN;NOM;FEM;SG
estructura	структура	estructura	структура	N;FEM;SG	N;INAN;NOM;FEM;SG
ocupación	окупація	ocupación	окупація	N;FEM;SG	N;INAN;NOM;FEM;SG
literatura	література	literatura	література	N;FEM;SG	N;INAN;NOM;FEM;SG
católica	католицька	católico	католицький	ADJ;FEM;SG	ADJ;NOM;FEM;SG
armas	руки	arma	рука	N;FEM;PL	N;INAN;NOM;FEM;PL
energía	енергія	energía	енергія	N;FEM;SG	N;INAN;NOM;FEM;SG
idioma	мова	idioma	мова	N;MASC;SG	N;INAN;NOM;FEM;SG
idioma	мову	idioma	мова	N;MASC;SG	N;INAN;ACC;FEM;SG
cabeza	голова	cabeza	голова	N;FEM;SG	N;ANIM;NOM;FEM;SG
cabeza	голівка	cabeza	голівка	N;FEM;SG	N;INAN;NOM;FEM;SG
gobernador	губернатора	gobernador	губернатор	N;MASC;SG	N;ANIM;NOM;MASC;SG
geográfica	географічне	geográfico	географічний	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
geográfica	географічний	geográfico	географічний	ADJ;FEM;SG	ADJ;NOM;MASC;SG
geográfica	географічне	geográfico	географічний	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
mes	місяця	mes	місяць	N;MASC;SG	N;INAN;GEN;MASC;SG
mes	місяць	mes	місяць	N;MASC;SG	N;INAN;NOM;MASC;SG
situado	розташований	situado	розташований	ADJ;MASC;SG;V.PTCP	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
diferencia	дисперсія	diferencia	дисперсія	N;FEM;SG	N;INAN;NOM;FEM;SG
diferencia	різниця	diferencia	різниця	N;FEM;SG	N;INAN;NOM;FEM;SG
diferencia	різниці	diferencia	різник	N;FEM;SG	N;INAN;NOM;FEM;SG
objetivo	призначення	objetivo	призначення	N;MASC;SG	N;INAN;NOM;NEUT;SG
objetivo	ціль	objetivo	ціль	N;MASC;SG	N;INAN;NOM;FEM;SG
objetivo	ціллю	objetivo	цілий	N;MASC;SG	N;INAN;INS;FEM;SG
objetivo	ціль	objetivo	ціль	N;MASC;SG	N;INAN;NOM;FEM;SG
objetivo	мета	objetivo	мета	N;MASC;SG	N;INAN;NOM;FEM;SG
objetivo	мета	objetivo	мета	N;MASC;SG	N;INAN;NOM;FEM;SG
ruta	маршрут	ruta	маршрут	N;FEM;SG	N;INAN;NOM;MASC;SG
ruta	рута	ruta	рута	N;FEM;SG	N;INAN;NOM;FEM;SG
economía	економіка	economía	економіка	N;FEM;SG	N;INAN;NOM;FEM;SG
economía	господарство	economía	господарство	N;FEM;SG	N;INAN;NOM;NEUT;SG
economía	економіка	economía	економіка	N;FEM;SG	N;INAN;NOM;FEM;SG
economía	економія	economía	економія	N;FEM;SG	N;INAN;NOM;FEM;SG
histórico	історичний	histórico	історичний	ADJ;MASC;SG	ADJ;NOM;MASC;SG
histórico	історичної	histórico	історичний	ADJ;MASC;SG	ADJ;GEN;FEM;SG
histórico	історична	histórico	історичний	ADJ;MASC;SG	ADJ;NOM;FEM;SG
histórico	історичне	histórico	історичний	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
flores	квіти	flor	квіта	N;FEM;PL	N;INAN;NOM;MASC;PL
flores	квітки	flor	квітка	N;FEM;PL	N;INAN;NOM;FEM;PL
visita	відвідання	visita	відвідання	N;FEM;SG	N;INAN;NOM;NEUT;SG
visita	візит	visita	візит	N;FEM;SG	N;INAN;NOM;MASC;SG
visita	відвідування	visita	відвідування	N;FEM;SG	N;INAN;NOM;NEUT;SG
conde	кількість	conde	кількість	N;MASC;SG	N;INAN;NOM;FEM;SG
conde	відлік	conde	відлік	N;MASC;SG	N;INAN;NOM;MASC;SG
fase	етапу	fase	етап	N;FEM;SG	N;INAN;GEN;MASC;SG
fase	фаза	fase	фаза	N;FEM;SG	N;INAN;NOM;FEM;SG
fase	фазу	fase	фаза	N;FEM;SG	N;INAN;ACC;FEM;SG
resultados	результати	resultado	результат	N;MASC;PL	N;INAN;NOM;MASC;PL
niños	діти	niño	дитина	N;MASC;PL	N;ANIM;NOM;FEM;PL
niños	дітям	niño	дитина	N;MASC;PL	N;ANIM;DAT;FEM;PL
niños	дітьми	niño	дитина	N;MASC;PL	N;ANIM;INS;FEM;PL
niños	дітлахи	niño	дітлах	N;MASC;PL	N;ANIM;INS;MASC;PL
niños	дітки	niño	дитка	N;MASC;PL	N;ANIM;NOM;MASC;PL
niños	діти	niño	дитина	N;MASC;PL	N;ANIM;NOM;FEM;PL
niños	дітьми	niño	дитина	N;MASC;PL	N;ANIM;INS;FEM;PL
niños	дітей	niño	дитина	N;MASC;PL	N;ANIM;ACC;FEM;PL
pequeña	малий	pequeño	малий	ADJ;FEM;SG	ADJ;NOM;MASC;SG
pequeña	маленька	pequeño	маленький	ADJ;FEM;SG	ADJ;NOM;FEM;SG
pequeña	маленький	pequeño	маленький	ADJ;FEM;SG	ADJ;NOM;MASC;SG
campaña	кампанію	campaña	кампанія	N;FEM;SG	N;INAN;ACC;FEM;SG
campaña	похід	campaña	похід	N;FEM;SG	N;INAN;NOM;MASC;SG
campaña	кампанія	campaña	кампанія	N;FEM;SG	N;INAN;NOM;FEM;SG
dar	віддам	dar	відди	V;NFIN	V;PFV;IND;SG;2;FIN
dar	дайте	dar	дати	V;NFIN	V;IPFV;IMP;PL;2;FIN
dar	надати	dar	надати	V;NFIN	V;PFV;NFIN
colegio	школа	colegio	школа	N;MASC;SG	N;INAN;NOM;FEM;SG
colegio	училище	colegio	училище	N;MASC;SG	N;INAN;NOM;NEUT;SG
colegio	коледж	colegio	коледж	N;MASC;SG	N;INAN;NOM;MASC;SG
colegio	коледжі	colegio	коледжа	N;MASC;SG	N;INAN;NOM;MASC;SG
occidental	західний	occidental	західний	ADJ;SG	ADJ;NOM;MASC;SG
occidental	західна	occidental	західний	ADJ;SG	ADJ;NOM;FEM;SG
aproximadamente	приблизно	aproximadamente	приблизно	ADV	ADV
ocasiones	випадках	ocasión	випадок	N;FEM;PL	N;INAN;ESS;MASC;PL
tropas	війська	tropa	військо	N;FEM;PL	N;INAN;NOM;NEUT;PL
sección	розділ	sección	розділ	N;FEM;SG	N;INAN;NOM;MASC;SG
sección	секція	sección	секція	N;FEM;SG	N;INAN;NOM;FEM;SG
presencia	присутність	presencia	присутність	N;FEM;SG	N;INAN;NOM;FEM;SG
permite	дозволяє	permitir	дозволяти	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
permite	допускає	permitir	допускати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
sentido	глузд	sentido	глузд	N;MASC;SG	N;INAN;NOM;MASC;SG
sentido	почуття	sentido	почуття	N;MASC;SG	N;INAN;NOM;NEUT;SG
sentido	чуття	sentido	чуття	N;MASC;SG	N;INAN;NOM;NEUT;SG
ficha	вкладку	ficha	вкладка	N;FEM;SG	N;INAN;ACC;FEM;SG
ficha	вкладка	ficha	вкладка	N;FEM;SG	N;INAN;NOM;FEM;SG
animales	звірі	animal	звір	N;MASC;PL	N;ANIM;NOM;MASC;PL
animales	тварини	animal	тварина	N;MASC;PL	N;ANIM;NOM;FEM;PL
animales	тварини	animal	тварина	N;MASC;PL	N;ANIM;NOM;FEM;PL
esposa	дружині	esposa	дружина	N;FEM;SG	N;ANIM;DAT;FEM;SG
esposa	дружина	esposa	дружина	N;FEM;SG	N;ANIM;NOM;FEM;SG
ríos	річок	río	річка	N;MASC;PL	N;INAN;GEN;FEM;PL
ríos	річки	río	річка	N;MASC;PL	N;INAN;NOM;FEM;PL
ríos	ріки	río	ріка	N;MASC;PL	N;INAN;NOM;FEM;PL
catalina	катерина	catalina	катерина	N;FEM;SG	N;ANIM;NOM;FEM;SG
catalina	каталіна	catalina	каталін	N;FEM;SG	N;ANIM;NOM;FEM;SG
catalina	катерина	catalina	катерина	N;FEM;SG	N;ANIM;NOM;FEM;SG
murió	помер	morir	померти	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN
murió	померла	morir	померти	V;IND;SG;3;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN
realizar	виконують	realizar	виконувати	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN
realizar	виконати	realizar	виконати	V;NFIN	V;PFV;NFIN
bar	бар	bar	бар	N;MASC;SG	N;INAN;NOM;MASC;SG
bar	смужка	bar	смужка	N;MASC;SG	N;INAN;NOM;FEM;SG
medalla	медаль	medalla	медаль	N;FEM;SG	N;INAN;ACC;FEM;SG
función	функція	función	функція	N;FEM;SG	N;INAN;NOM;FEM;SG
función	функцію	función	функція	N;FEM;SG	N;INAN;ACC;FEM;SG
usuarios	користувачі	usuario	користувач	N;MASC;PL	N;ANIM;NOM;MASC;PL
usuarios	користувачів	usuario	користувач	N;MASC;PL	N;ANIM;ACC;MASC;PL
programas	програми	programa	програма	N;MASC;PL	N;INAN;NOM;FEM;PL
programas	програми	programa	програма	N;MASC;PL	N;INAN;NOM;FEM;PL
calidad	якість	calidad	якість	N;FEM;SG	N;INAN;NOM;FEM;SG
artistas	виконавців	artista	виконавець	N;PL	N;ANIM;ACC;MASC;PL
artistas	художники	artista	художник	N;PL	N;ANIM;NOM;MASC;PL
artistas	виконавців	artista	виконавець	N;PL	N;ANIM;ACC;MASC;PL
artistas	виконавці	artista	виконавець	N;PL	N;ANIM;NOM;MASC;PL
artistas	художників	artista	художник	N;PL	N;ANIM;ACC;MASC;PL
artistas	митці	artista	митка	N;PL	N;ANIM;NOM;MASC;PL
similar	подібна	similar	подібний	ADJ;SG	ADJ;NOM;FEM;SG
similar	подібний	similar	подібний	ADJ;SG	ADJ;NOM;MASC;SG
nuestra	наше	nuestro	наш	DET;FEM;SG;1	DET;NOM;NEUT;SG;1
nuestra	наша	nuestro	наш	DET;FEM;SG;1	DET;NOM;FEM;SG;1
nuestra	наш	nuestro	наш	DET;FEM;SG;1	DET;NOM;MASC;SG;1
independencia	незалежність	independencia	незалежність	N;FEM;SG	N;INAN;NOM;FEM;SG
independencia	незалежності	independencia	незалежності	N;FEM;SG	N;INAN;GEN;FEM;SG
buena	добрий	buen	добрий	ADJ;FEM;SG	ADJ;NOM;MASC;SG
sistemas	систем	sistema	система	N;MASC;PL	N;INAN;GEN;FEM;PL
virgen	діва	virgen	діва	N;FEM;SG	N;ANIM;NOM;FEM;SG
transporte	транспорт	transporte	транспорт	N;MASC;SG	N;INAN;NOM;MASC;SG
transporte	транспортування	transporte	транспортування	N;MASC;SG	N;INAN;NOM;NEUT;SG
transporte	перевезення	transporte	перевезення	N;MASC;SG	N;INAN;NOM;NEUT;SG
transporte	транспорт	transporte	транспорт	N;MASC;SG	N;INAN;NOM;MASC;SG
transporte	пересилання	transporte	пересилання	N;MASC;SG	N;INAN;NOM;NEUT;SG
pueblos	містами	pueblo	місто	N;MASC;PL	N;INAN;INS;NEUT;PL
pueblos	селах	pueblo	село	N;MASC;PL	N;INAN;ESS;NEUT;PL
pueblos	сіл	pueblo	сіль	N;MASC;PL	N;INAN;GEN;FEM;PL
pueblos	народи	pueblo	народ	N;MASC;PL	N;INAN;NOM;MASC;PL
coordenadas	координати	coordenada	координати	N;FEM;PL	N;INAN;NOM;FEM;PL
valor	мужність	valor	мужність	N;MASC;SG	N;INAN;NOM;FEM;SG
