commerciaux	comerciales	commercial	comercial	ADJ;MASC;PL	ADJ;PL
chercheur	investigador	chercheur	investigador	N;MASC;SG	N;MASC;SG
prépare	prepara	préparer	preparar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
prépare	preparar	préparer	preparar	V;IND;SG;3;PRS;FIN	V;NFIN
innovation	innovación	innovation	innovación	N;FEM;SG	N;FEM;SG
ref	árbitro	ref	árbitro	N;FEM;SG	N;MASC;SG
ardèche	ardèche	ardèche	ardèche	N;FEM;SG	N;MASC;SG
alternatif	alternativo	alternatif	alternativo	ADJ;MASC;SG	ADJ;MASC;SG
fortifications	fortificaciones	fortification	fortificación	N;FEM;PL	N;FEM;PL
définitive	definitivo	définitif	definitivo	ADJ;FEM;SG	ADJ;MASC;SG
définitive	definitiva	définitif	definitivo	ADJ;FEM;SG	ADJ;FEM;SG
définitive	definitivo	définitif	definitivo	ADJ;FEM;SG	ADJ;MASC;SG
jaunes	amarillos	jaune	amarillo	ADJ;MASC;PL	ADJ;MASC;PL
jaunes	amarillas	jaune	amarillo	ADJ;MASC;PL	ADJ;FEM;PL
évènement	acontecimiento	évènement	acontecimiento	N;MASC;SG	N;MASC;SG
évènement	evento	évènement	evento	N;MASC;SG	N;MASC;SG
sachant	sabiendo	savoir	saber	V;PRS;V.PTCP	V;V.MSDR
sachant	conociendo	savoir	conocer	V;PRS;V.PTCP	V;V.MSDR
répression	represión	répression	represión	N;FEM;SG	N;FEM;SG
répression	represión	répression	represión	N;FEM;SG	N;FEM;SG
blé	trigo	blé	trigo	N;MASC;SG	N;MASC;SG
inaugurée	inauguró	inaugurer	inaugurar	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
stable	constante	stable	constante	ADJ;MASC;SG	ADJ;SG
stable	estable	stable	estable	ADJ;MASC;SG	ADJ;SG
correspondent	corresponden	correspondre	corresponder	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
symphonique	sinfónica	symphonique	sinfónico	ADJ;MASC;SG	ADJ;FEM;SG
symphonique	sinfónica	symphonique	sinfónico	ADJ;MASC;SG	ADJ;FEM;SG
symphonique	sinfónico	symphonique	sinfónico	ADJ;MASC;SG	ADJ;MASC;SG
ecclésiastique	eclesiástica	ecclésiastique	eclesiástico	ADJ;MASC;SG	ADJ;FEM;SG
ecclésiastique	eclesiástico	ecclésiastique	eclesiástico	ADJ;MASC;SG	ADJ;MASC;SG
fonctionnaire	funcionario	fonctionnaire	funcionario	N;MASC;SG	N;MASC;SG
fonctionnaire	official	fonctionnaire	official	N;MASC;SG	N
fonctionnaire	funcionaria	fonctionnaire	funcionaria	N;MASC;SG	N;FEM;SG
catholicisme	catolicismo	catholicisme	catolicismo	N;MASC;SG	N;MASC;SG
rayons	rayos	rayon	rayo	N;MASC;PL	N;MASC;PL
linéaire	lineal	linéaire	lineal	ADJ;MASC;SG	ADJ;SG
commandé	ordenó	commander	ordenar	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
brevet	patente	brevet	patente	N;MASC;SG	N;SG
mémorial	memorial	mémorial	memorial	N;MASC;SG	N;MASC;SG
mémorial	monumento	mémorial	monumento	N;MASC;SG	N;MASC;SG
engagée	contrató	engager	contratar	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
propulsion	propulsión	propulsion	propulsión	N;FEM;SG	N;FEM;SG
mythe	mito	mythe	mito	N;MASC;SG	N;MASC;SG
faso	faso	faso	faso	N;MASC;SG	N;MASC;SG
manger	comiendo	manger	comer	V;NFIN	V;V.MSDR
manger	comer	manger	comer	V;NFIN	V;NFIN
manger	come	manger	come	V;NFIN	V;IND;SG;3;PRS;FIN
manger	comer	manger	comer	V;NFIN	V;NFIN
bouches	bocas	bouche	boca	N;FEM;PL	N;FEM;PL
prochaine	próximo	prochain	próximo	ADJ;FEM;SG	ADJ;MASC;SG
prochaine	siguiente	prochain	siguiente	ADJ;FEM;SG	ADJ;SG
prochaine	próxima	prochain	próximo	ADJ;FEM;SG	ADJ;FEM;SG
degrés	grados	degré	grado	N;MASC;PL	N;MASC;PL
degrés	títulos	degré	título	N;MASC;PL	N;MASC;PL
degrés	titulaciones	degré	titulación	N;MASC;PL	N;FEM;PL
extérieure	exterior	extérieur	exterior	ADJ;FEM;SG	ADJ;SG
extérieure	externa	extérieur	externo	ADJ;FEM;SG	ADJ;FEM;SG
extérieure	externo	extérieur	externo	ADJ;FEM;SG	ADJ;MASC;SG
extérieure	exterior	extérieur	exterior	ADJ;FEM;SG	ADJ;SG
extérieure	exterior	extérieur	exterior	ADJ;FEM;SG	ADJ;SG
philosophique	filosófica	philosophique	filosófico	ADJ;MASC;SG	ADJ;FEM;SG
philosophique	filosófico	philosophique	filosófico	ADJ;MASC;SG	ADJ;MASC;SG
styles	styles	style	stal	N;MASC;PL	N
styles	estilos	style	estilo	N;MASC;PL	N;MASC;PL
doubs	doubs	doub	doubs	N;MASC;SG	N;MASC;SG
nazis	nazis	nazi	nazi	N;MASC;PL	N;PL
nazis	nazis	nazi	nazi	N;MASC;PL	N;PL
guyane	guayana	guyane	guayana	ADJ;FEM;SG	ADJ;FEM;SG
guyane	guayana	guyane	guayana	ADJ;FEM;SG	ADJ;FEM;SG
rappeler	recordar	rappeler	recordar	V;NFIN	V;NFIN
esprits	licores	esprit	licor	N;MASC;PL	N;MASC;PL
esprits	espíritus	esprit	espíritus	N;MASC;PL	N;MASC;PL
esprits	mentes	esprit	mente	N;MASC;PL	N;FEM;PL
elisabeth	isabel	elisabeth	isabel	N;FEM;SG	N;FEM;SG
elisabeth	elisabeth	elisabeth	elisabeth	N;FEM;SG	N;FEM;SG
aude	aude	aude	aude	N;FEM;SG	N;MASC;SG
caméra	camera	caméra	camera	N;FEM;SG	N;FEM;SG
caméra	cámara	caméra	cámara	N;FEM;SG	N;FEM;SG
caméra	camara	caméra	camara	N;FEM;SG	N;FEM;SG
assiste	asiste	assister	asir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
assiste	asiste	assister	asir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
contiennent	contener	contenir	contener	V;IND;PL;3;PRS;FIN	V;NFIN
contiennent	contienen	contenir	contener	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
mix	mix	mix	mix	N;MASC;SG	N
mix	mezcla	mix	mezcla	N;MASC;SG	N;FEM;SG
grandeur	magnitud	grandeur	magnitud	N;FEM;SG	N;FEM;SG
grandeur	grandeza	grandeur	grandeza	N;FEM;SG	N;FEM;SG
grandeur	grandeza	grandeur	grandeza	N;FEM;SG	N;FEM;SG
immigration	inmigración	immigration	inmigración	N;FEM;SG	N;FEM;SG
airlines	airlines	airline	airlín	N;FEM;PL	N;MASC;PL
airlines	aerolíneas	airline	aerolínea	N;FEM;PL	N;FEM;PL
pollution	polución	pollution	polución	N;FEM;SG	N;FEM;SG
pollution	contaminación	pollution	contaminación	N;FEM;SG	N;FEM;SG
accessibles	accesibles	accessible	accesible	ADJ;MASC;PL	ADJ;PL
attribuée	atribuyó	attribuer	atribuir	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
hôte	host	hôte	host	N;MASC;SG	N;SG
hôte	anfitrión	hôte	anfitrión	N;MASC;SG	N;MASC;SG
hôte	acogida	hôte	acogida	N;MASC;SG	N;FEM;SG
hôte	huésped	hôte	huésped	N;MASC;SG	N;MASC;SG
revers	solapa	revers	solapa	N;MASC;SG	N;FEM;SG
revers	revés	revers	revés	N;MASC;SG	N;MASC;SG
revers	contratiempo	revers	contratiempo	N;MASC;SG	N;MASC;SG
revers	revés	revers	revés	N;MASC;SG	N;MASC;SG
calme	tranquilo	calme	tranquilo	ADJ;MASC;SG	ADJ;MASC;SG
calme	calmado	calme	calmado	ADJ;MASC;SG	ADJ;MASC;SG;V.PTCP
calme	tranquila	calme	tranquilo	ADJ;MASC;SG	ADJ;FEM;SG
calme	tranquilo	calme	tranquilo	ADJ;MASC;SG	ADJ;MASC;SG
calme	tranquila	calme	tranquilo	ADJ;MASC;SG	ADJ;FEM;SG
calme	callado	calme	callado	ADJ;MASC;SG	ADJ;MASC;SG;V.PTCP
organe	cuerpo	organe	cuerpo	N;MASC;SG	N;MASC;SG
organe	cadáver	organe	cadáver	N;MASC;SG	N;MASC;SG
organe	body	organe	body	N;MASC;SG	N
organe	órgano	organe	órgano	N;MASC;SG	N;MASC;SG
signification	importancia	signification	importancia	N;FEM;SG	N;FEM;SG
signification	trascendencia	signification	trascendencia	N;FEM;SG	N;FEM;SG
signification	significación	signification	significación	N;FEM;SG	N;FEM;SG
duel	duelo	duel	duelo	N;MASC;SG	N;MASC;SG
poétique	poético	poétique	poético	ADJ;MASC;SG	ADJ;MASC;SG
poétique	poética	poétique	poética	ADJ;MASC;SG	ADJ;FEM;SG
enregistrements	actas	enregistrement	acta	N;MASC;PL	N;FEM;PL
enregistrements	registros	enregistrement	registro	N;MASC;PL	N;MASC;PL
enregistrements	discos	enregistrement	disco	N;MASC;PL	N;MASC;PL
enregistrements	records	enregistrement	records	N;MASC;PL	N;MASC
enregistrements	grabaciones	enregistrement	grabación	N;MASC;PL	N;FEM;PL
enregistrements	registros	enregistrement	registro	N;MASC;PL	N;MASC;PL
enregistrements	inscripciones	enregistrement	inscripción	N;MASC;PL	N;FEM;PL
épaisseur	espesor	épaisseur	espesor	N;FEM;SG	N;MASC;SG
épaisseur	grosor	épaisseur	grosor	N;FEM;SG	N;MASC;SG
heureux	feliz	heureux	feliz	ADJ;MASC;SG	ADJ;SG
heureux	contenta	heureux	contentar	ADJ;MASC;SG	ADJ;FEM;SG
heureux	contento	heureux	contento	ADJ;MASC;SG	ADJ;MASC;SG
entreprend	emprende	entreprendre	emprender	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
bébé	bebe	bébé	beber	N;MASC;SG	N;MASC;SG
bébé	nena	bébé	nena	N;MASC;SG	N;FEM;SG
bébé	bebé	bébé	bebé	N;MASC;SG	N;MASC;SG
bébé	nene	bébé	nene	N;MASC;SG	N;MASC;SG
bébé	baby	bébé	baby	N;MASC;SG	N
bébé	babe	bébé	baber	N;MASC;SG	N;SG
bébé	nena	bébé	nena	N;MASC;SG	N;FEM;SG
entré	entró	entrer	entrar	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
moments	moments	moment	moment	N;MASC;PL	N
moments	momentos	moment	momento	N;MASC;PL	N;MASC;PL
moments	instantes	moment	instante	N;MASC;PL	N;MASC;PL
illustrateur	ilustrador	illustrateur	ilustrador	N;MASC;SG	N;MASC;SG
diesel	diésel	diesel	diésel	N;MASC;SG	N;MASC;SG
diesel	diesel	diesel	diesel	N;MASC;SG	N;MASC;SG
diesel	gasóleo	diesel	gasóleo	N;MASC;SG	N;MASC;SG
indiquant	indicando	indiquer	indicar	V;PRS;V.PTCP	V;V.MSDR
comprennent	incluyen	comprendre	incluir	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
comprennent	incluir	comprendre	incluir	V;IND;PL;3;PRS;FIN	V;NFIN
délai	demora	délai	demora	N;MASC;SG	N;FEM;SG
délai	tardanza	délai	tardanza	N;MASC;SG	N;FEM;SG
délai	retraso	délai	retraso	N;MASC;SG	N;MASC;SG
délai	retardo	délai	retardo	N;MASC;SG	N;MASC;SG
délai	plazo	délai	plazo	N;MASC;SG	N;MASC;SG
solidarité	solidaridad	solidarité	solidaridad	N;FEM;SG	N;FEM;SG
peugeot	peugeot	peugeot	peugeot	N;MASC;SG	N;MASC;SG
piémont	piamonte	piémont	piamonte	N;MASC;SG	N;MASC;SG
successifs	sucesivas	successif	sucesivo	ADJ;MASC;PL	ADJ;FEM;PL
successifs	sucesivos	successif	sucesivo	ADJ;MASC;PL	ADJ;MASC;PL
détient	sostiene	détenir	sostener	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
chapeau	gorro	chapeau	gorro	N;MASC;SG	N;MASC;SG
chapeau	sombrero	chapeau	sombrero	N;MASC;SG	N;MASC;SG
chapeau	hat	chapeau	haber	N;MASC;SG	N
chapeau	gorra	chapeau	gorra	N;MASC;SG	N;FEM;SG
chapeau	encabezamiento	chapeau	encabezamiento	N;MASC;SG	N;MASC;SG
vraisemblablement	presumiblemente	vraisemblablement	presumiblemente	ADV	ADV
régiments	regimientos	régiment	regimiento	N;MASC;PL	N;MASC;PL
portait	llevaba	porter	llevar	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
uniforme	uniforme	uniforme	uniforme	ADJ;MASC;SG	ADJ;SG
uniforme	uniforme	uniforme	uniforme	ADJ;MASC;SG	ADJ;SG
serment	juramento	serment	juramento	N;MASC;SG	N;MASC;SG
libéraux	liberales	libéral	liberal	N;MASC;PL	N;PL
libéraux	liberales	libéral	liberal	N;MASC;PL	N;PL
disciplines	disciplinas	discipline	disciplina	N;FEM;PL	N;FEM;PL
portugaise	portuguesa	portugais	portugués	ADJ;FEM;SG	ADJ;FEM;SG
edition	edición	edition	edición	N;FEM;SG	N;FEM;SG
edition	edition	edition	edition	N;FEM;SG	N;MASC;SG
supérieurs	superiores	supérieur	superior	ADJ;MASC;PL	ADJ;PL
supérieurs	superiores	supérieur	superior	ADJ;MASC;PL	ADJ;PL
scandale	escándalo	scandale	escándalo	N;MASC;SG	N;MASC;SG
débarquement	desembarco	débarquement	desembarco	N;MASC;SG	N;MASC;SG
débarquement	desembarque	débarquement	desembarque	N;MASC;SG	N;MASC;SG
débarquement	aterrizaje	débarquement	aterrizaje	N;MASC;SG	N;MASC;SG
festivals	fiestas	festival	fiesta	N;MASC;PL	N;FEM;PL
festivals	festivales	festival	festival	N;MASC;PL	N;MASC;PL
jésuites	jesuitas	jésuite	jesuita	N;MASC;PL	N;PL
jésuites	jesuitas	jésuite	jesuita	N;MASC;PL	N;PL
wta	wta	wta	wta	N;MASC;SG	N;SG
échoue	fracasa	échouer	fracasa	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
isle	isle	isle	isle	N;FEM;SG	N;MASC;SG
ducs	duques	duc	duque	N;MASC;PL	N;MASC;PL
ducs	ducs	duc	ducs	N;MASC;PL	N;MASC
alphabétique	alfabético	alphabétique	alfabético	ADJ;MASC;SG	ADJ;MASC;SG
juliette	juliette	juliette	juliette	N;FEM;SG	N;FEM;SG
juliette	julieta	juliette	julieta	N;FEM;SG	N;FEM;SG
juliette	julieta	juliette	julieta	N;FEM;SG	N;FEM;SG
attribution	asignación	attribution	asignación	N;FEM;SG	N;FEM;SG
attribution	atribución	attribution	atribución	N;FEM;SG	N;FEM;SG
attribution	reconocimiento	attribution	reconocimiento	N;FEM;SG	N;MASC;SG
arrestation	detención	arrestation	detención	N;FEM;SG	N;FEM;SG
arrestation	arresto	arrestation	arresto	N;FEM;SG	N;MASC;SG
cristal	cristal	cristal	cristal	N;MASC;SG	N;MASC;SG
cristal	crystal	cristal	crystal	N;MASC;SG	N
cristal	cristal	cristal	cristal	N;MASC;SG	N;MASC;SG
combinaison	combinación	combinaison	combinación	N;FEM;SG	N;FEM;SG
combinaison	combo	combinaison	combo	N;FEM;SG	N;MASC;SG
taxe	fiscalidad	taxe	fiscalidad	N;FEM;SG	N;FEM;SG
taxe	tributación	taxe	tributación	N;FEM;SG	N;FEM;SG
radar	radar	radar	radar	N;MASC;SG	N;MASC;SG
jouée	jugó	jouer	jugar	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
nominations	citas	nomination	cita	N;FEM;PL	N;FEM;PL
nominations	designaciones	nomination	designación	N;FEM;PL	N;FEM;PL
nominations	nombramientos	nomination	nombramiento	N;FEM;PL	N;MASC;PL
nominations	nominaciones	nomination	nominación	N;FEM;PL	N;FEM;PL
nominations	candidaturas	nomination	candidatura	N;FEM;PL	N;FEM;PL
insurrection	sublevación	insurrection	sublevación	N;FEM;SG	N;FEM;SG
insurrection	insurrección	insurrection	insurrección	N;FEM;SG	N;FEM;SG
insurrection	levantamiento	insurrection	levantamiento	N;FEM;SG	N;MASC;SG
insurrection	revuelta	insurrection	revuelta	N;FEM;SG	N;FEM;SG
insurrection	rebelión	insurrection	rebelión	N;FEM;SG	N;FEM;SG
insurrection	insurrección	insurrection	insurrección	N;FEM;SG	N;FEM;SG
insurrection	insurrección	insurrection	insurrección	N;FEM;SG	N;FEM;SG
insurrection	insurgencia	insurrection	insurgencia	N;FEM;SG	N;FEM;SG
repas	sémola	repas	sémola	N;MASC;SG	N;FEM;SG
éthique	ético	éthique	ético	ADJ;MASC;SG	ADJ;MASC;SG
luxe	lujo	luxe	lujo	N;MASC;SG	N;MASC;SG
luxe	deluxe	luxe	deluxir	N;MASC;SG	N
luxe	lujo	luxe	lujo	N;MASC;SG	N;MASC;SG
maîtresse	señora	maîtresse	señora	N;FEM;SG	N;FEM;SG
grenade	granada	grenade	granada	N;FEM;SG	N;FEM;SG
grenade	granada	grenade	granada	N;FEM;SG	N;FEM;SG
grenade	granada	grenade	granada	N;FEM;SG	N;FEM;SG
grenade	granada	grenade	granada	N;FEM;SG	N;FEM;SG
mail	correo	mail	correo	N;MASC;SG	N;MASC;SG
mail	correspondencia	mail	correspondencia	N;MASC;SG	N;FEM;SG
mail	mail	mail	mail	N;MASC;SG	N;MASC;SG
qualifier	calificar	qualifier	calificar	V;NFIN	V;NFIN
qualifier	calificar	qualifier	calificar	V;NFIN	V;NFIN
qualifier	califican	qualifier	calificar	V;NFIN	V;IND;PL;3;PRS;FIN
qualifier	califica	qualifier	calificar	V;NFIN	V;IND;SG;3;PRS;FIN
mobilier	mobiliario	mobilier	mobiliario	N;MASC;SG	N;MASC;SG
mobilier	mobiliario	mobilier	mobiliario	N;MASC;SG	N;MASC;SG
mobilier	mueble	mobilier	mueble	N;MASC;SG	N;MASC;SG
compositeurs	compositores	compositeur	compositor	N;MASC;PL	N;MASC;PL
compositeurs	compositores	compositeur	compositor	N;MASC;PL	N;MASC;PL
artisans	artesanos	artisan	artesano	N;MASC;PL	N;MASC;PL
artisans	artesanos	artisan	artesano	N;MASC;PL	N;MASC;PL
témoigne	testifica	témoigner	testificar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
témoigne	testificar	témoigner	testificar	V;IND;SG;3;PRS;FIN	V;NFIN
témoigne	atestiguar	témoigner	atestiguar	V;IND;SG;3;PRS;FIN	V;NFIN
strictement	estrictamente	strictement	estrictamente	ADV	ADV
tâches	tareas	tâche	tarea	N;FEM;PL	N;FEM;PL
impératrice	emperatriz	empereur	emperatriz	N;FEM;SG	N;FEM;SG
soccer	soccer	soccer	soccer	N;MASC;SG	N;SG
soccer	fútbol	soccer	fútbol	N;MASC;SG	N;MASC;SG
soccer	futbol	soccer	futbol	N;MASC;SG	N;MASC;SG
ressort	manantial	ressort	manantial	N;MASC;SG	N;MASC;SG
ressort	primavera	ressort	primavera	N;MASC;SG	N;FEM;SG
ressort	resorte	ressort	resorte	N;MASC;SG	N;MASC;SG
gère	gestiona	gérer	gestionar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
gère	administra	gérer	administrar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
marquer	anotando	marquer	anotar	V;NFIN	V;V.MSDR
marquer	anotar	marquer	anotar	V;NFIN	V;NFIN
marquer	marcar	marquer	marcar	V;NFIN	V;NFIN
marquer	anotar	marquer	anotar	V;NFIN	V;NFIN
humides	húmedos	humide	húmedo	ADJ;MASC;PL	ADJ;MASC;PL
humides	húmedos	humide	húmedo	ADJ;MASC;PL	ADJ;MASC;PL
humides	mojados	humide	mojado	ADJ;MASC;PL	ADJ;MASC;PL;V.PTCP
hof	hof	hof	hof	N;MASC;SG	N;MASC;SG
contraintes	condicionamientos	contrainte	condicionamiento	N;FEM;PL	N;MASC;PL
contraintes	limitaciones	contrainte	limitación	N;FEM;PL	N;FEM;PL
contraintes	restricciones	contrainte	restricción	N;FEM;PL	N;FEM;PL
détective	detective	détective	detective	N;MASC;SG	N;SG
conçue	concibió	concevoir	concibir	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
pole	polo	pole	polo	N;MASC;SG	N;MASC;SG
pole	caña	pole	caña	N;MASC;SG	N;FEM;SG
pole	pole	pole	pole	N;MASC;SG	N;FEM;SG
pole	poste	pole	poste	N;MASC;SG	N;MASC;SG
mondes	mundos	monde	mundo	N;MASC;PL	N;MASC;PL
wurtemberg	wurtemberg	wurtemberg	wurtemberg	N;MASC;SG	N;MASC;SG
wurtemberg	württemberg	wurtemberg	württemberg	N;MASC;SG	N;MASC;SG
truc	thing	truc	thing	N;MASC;SG	N
truc	cosa	truc	cosa	N;MASC;SG	N;FEM;SG
barbe	barbe	barbe	barbe	N;FEM;SG	N;SG
barbe	barba	barbe	barba	N;FEM;SG	N;FEM;SG
prouver	demostrando	prouver	demostrar	V;NFIN	V;V.MSDR
prouver	probar	prouver	probar	V;NFIN	V;NFIN
prouver	demostrar	prouver	demostrar	V;NFIN	V;NFIN
proposant	proponiendo	proposer	proponer	V;PRS;V.PTCP	V;V.MSDR
proposant	proponer	proposer	proponer	V;PRS;V.PTCP	V;NFIN
dette	endeudamiento	dette	endeudamiento	N;FEM;SG	N;MASC;SG
dette	deuda	dette	deuda	N;FEM;SG	N;FEM;SG
moyennes	medianas	moyen	mediano	ADJ;FEM;PL	ADJ;FEM;PL
meurthe	meurthe	meurthe	meurthe	N;FEM;SG	N;MASC;SG
bibliothèques	bibliotecas	bibliothèque	biblioteca	N;FEM;PL	N;FEM;PL
dessert	postre	dessert	postre	N;MASC;SG	N;MASC;SG
expert	experto	expert	experto	N;MASC;SG	N;MASC;SG
expert	perito	expert	perito	N;MASC;SG	N;MASC;SG
expert	experta	expert	experta	N;MASC;SG	N;FEM;SG
normand	normand	normand	normand	N;MASC;SG	N;SG
normand	norman	normand	normar	N;MASC;SG	N;MASC;SG
lourde	pesado	lourd	pesado	ADJ;FEM;SG	ADJ;MASC;SG;V.PTCP
lourde	pesada	lourd	pesado	ADJ;FEM;SG	ADJ;FEM;SG;V.PTCP
renard	renard	renard	renard	N;MASC;SG	N;SG
renard	zorro	renard	zorro	N;MASC;SG	N;MASC;SG
esclavage	esclavitud	esclavage	esclavitud	N;MASC;SG	N;FEM;SG
esclavage	servidumbre	esclavage	servidumbre	N;MASC;SG	N;FEM;SG
esclavage	esclavitud	esclavage	esclavitud	N;MASC;SG	N;FEM;SG
video	vídeo	video	vídeo	N;FEM;SG	N;MASC;SG
video	video	video	video	N;FEM;SG	N;MASC;SG
magnétique	magnética	magnétique	magnético	ADJ;MASC;SG	ADJ;FEM;SG
magnétique	magnético	magnétique	magnético	ADJ;MASC;SG	ADJ;MASC;SG
mississippi	mississippi	mississippi	mississippi	N;MASC;SG	N;MASC
mississippi	misisipi	mississippi	misisipi	N;MASC;SG	N;MASC;SG
collègues	colegas	collègue	colega	N;MASC;PL	N;PL
collègues	compañeros	collègue	compañero	N;MASC;PL	N;MASC;PL
attire	atrae	attirer	atraer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
attire	atrae	attirer	atraer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
attire	atraer	attirer	atraer	V;IND;SG;3;PRS;FIN	V;NFIN
graines	semillas	graine	semilla	N;FEM;PL	N;FEM;PL
graines	semillas	graine	semilla	N;FEM;PL	N;FEM;PL
rébellion	rebelión	rébellion	rebelión	N;FEM;SG	N;FEM;SG
républicaine	republicana	républicain	republicano	ADJ;FEM;SG	ADJ;FEM;SG
tueur	killer	tueur	killer	N;MASC;SG	N;SG
tueur	asesino	tueur	asesino	N;MASC;SG	N;MASC;SG
tueur	asesina	tueur	asesina	N;MASC;SG	N;FEM;SG
tueur	matador	tueur	matador	N;MASC;SG	N;MASC;SG
galeries	galerías	galerie	galería	N;FEM;PL	N;FEM;PL
apparente	aparente	apparenter	aparente	ADJ;FEM;SG	ADJ;SG
provincial	provincial	provincial	provincial	ADJ;MASC;SG	ADJ;SG
évident	obvio	évident	obvio	ADJ;MASC;SG	ADJ;MASC;SG
évident	obvia	évident	obvia	ADJ;MASC;SG	ADJ;FEM;SG
évident	evidente	évident	evidente	ADJ;MASC;SG	ADJ;SG
évident	evidente	évident	evidente	ADJ;MASC;SG	ADJ;SG
coûts	costos	coût	costo	N;MASC;PL	N;MASC;PL
coûts	costes	coût	coste	N;MASC;PL	N;MASC;PL
munitions	municiones	munition	munición	N;FEM;PL	N;FEM;PL
munitions	municiones	munition	munición	N;FEM;PL	N;FEM;PL
munitions	municiones	munition	munición	N;FEM;PL	N;FEM;PL
divine	divino	divin	divino	ADJ;FEM;SG	ADJ;MASC;SG
divine	divina	divin	divino	ADJ;FEM;SG	ADJ;FEM;SG
observe	observar	observer	observar	V;IND;SG;3;PRS;FIN	V;NFIN
observe	observa	observer	observar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
bouddhisme	budismo	bouddhisme	budismo	N;MASC;SG	N;MASC;SG
bouddhisme	budismo	bouddhisme	budismo	N;MASC;SG	N;MASC;SG
fraction	fracción	fraction	fracción	N;FEM;SG	N;FEM;SG
aidé	ayudó	aider	ayudar	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
concepts	conceptos	concept	concepto	N;MASC;PL	N;MASC;PL
concepts	nociones	concept	noción	N;MASC;PL	N;FEM;PL
harmonie	armonía	harmonie	armonía	N;FEM;SG	N;FEM;SG
harmonie	harmony	harmonie	harmony	N;FEM;SG	N;MASC;SG
révélé	reveló	révéler	revelar	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
parlementaires	parlamentarias	parlementaire	parlamentario	ADJ;MASC;PL	ADJ;FEM;PL
parlementaires	parlamentarias	parlementaire	parlamentario	ADJ;MASC;PL	ADJ;FEM;PL
renseignements	informaciones	renseignement	información	N;MASC;PL	N;FEM;PL
blocs	bloques	bloc	bloque	N;MASC;PL	N;MASC;PL
blocs	cuadras	bloc	cuadra	N;MASC;PL	N;FEM;PL
voulant	querer	vouloir	querer	V;PRS;V.PTCP	V;NFIN
voulant	queriendo	vouloir	querer	V;PRS;V.PTCP	V;V.MSDR
acheté	compró	acheter	comprar	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
coupé	cortar	couper	cortar	V;MASC;SG;PST;V.PTCP	V;NFIN
législation	legislación	législation	legislación	N;FEM;SG	N;FEM;SG
immeubles	edificaciones	immeuble	edificación	N;MASC;PL	N;FEM;PL
immeubles	construcciones	immeuble	construcción	N;MASC;PL	N;FEM;PL
immeubles	edificios	immeuble	edificio	N;MASC;PL	N;MASC;PL
immeubles	inmuebles	immeuble	inmueble	N;MASC;PL	N;MASC;PL
localement	localmente	localement	localmente	ADV	ADV
cerf	ciervo	cerf	ciervo	N;MASC;SG	N;MASC;SG
cerf	ciervo	cerf	ciervo	N;MASC;SG	N;MASC;SG
courtes	cortos	court	corto	ADJ;FEM;PL	ADJ;MASC;PL
proportion	proporción	proportion	proporción	N;FEM;SG	N;FEM;SG
palatinat	palatinado	palatinat	palatinado	N;MASC;SG	N;MASC;SG
noces	bodas	noce	boda	N;FEM;PL	N;FEM;PL
poméranie	pomerania	poméranie	pomerania	N;FEM;SG	N;FEM;SG
poméranie	pomerania	poméranie	pomerania	N;FEM;SG	N;FEM;SG
reçoivent	recibir	recevoir	recibir	V;IND;PL;3;PRS;FIN	V;NFIN
bal	bal	bal	bal	N;MASC;SG	N
câble	telegrama	câble	telegrama	N;MASC;SG	N;MASC;SG
câble	cable	câble	cable	N;MASC;SG	N;MASC;SG
mers	mares	mer	mare	N;FEM;PL	N;MASC;PL
