年	aasta	年	aasta	N	N;NOM;SG
工業	tööstuse	工業	tööstus	N	N;GEN;SG
工業	tootmisharu	工業	tootmis_haru	N	N;NOM;SG
工業	tööstus	工業	tööstus	N	N;NOM;SG
坦克	mahuti	坦克	mahtuma	N	N;NOM;SG
坦克	paak	坦克	paak	N	N;NOM;SG
坦克	tanki	坦克	tank	N	N;PRT;SG
坦克	tank	坦克	tank	N	N;NOM;SG
坦克	tankid	坦克	tank	N	N;NOM;PL
坦克	paagid	坦克	paak	N	N;NOM;PL
劇場	teater	劇場	teater	N	N;NOM;SG
劇場	teater	劇場	teater	N	N;NOM;SG
水域	veed	水域	vesi	N	N;NOM;PL
收入	tulud	收入	tulu	N	N;NOM;PL
收入	tulu	收入	tulu	N	N;NOM;SG
收入	sissetulek	收入	sisse_tulek	N	N;NOM;SG
收入	tulu	收入	tulu	N	N;NOM;SG
收入	tulud	收入	tulu	N	N;NOM;PL
成績	saavutused	成績	saavutus	N	N;NOM;PL
成績	hinded	成績	hind	N	N;NOM;PL
成績	saavutamine	成績	saavutamine	N	N;NOM;SG
成績	saavutus	成績	saavutus	N	N;NOM;SG
姓	perekonnanimi	姓	perekonna_nimi	N	N;NOM;SG
菜	roog	菜	roog	N	N;NOM;SG
菜	nõud	菜	nõud	N	N;NOM;PL
菜	nõusid	菜	nõu	N	N;PRT;PL
灰	gray	灰	gray	N	N;NOM;SG
灰	ash	灰	ash	N	N;NOM;SG
灰	tuhk	灰	tuhk	N	N;NOM;SG
灰	grey	灰	grey	N	N;NOM;SG
灰	tuhk	灰	tuhk	N	N;NOM;SG
工具	tööriist	工具	töö_riist	N	N;NOM;SG
工具	tööriistad	工具	töö_riist	N	N;NOM;PL
提升	tõsta	提升	tõstma	V	V;NFIN
退	taganeda	退	taganema	V	V;NFIN
十八	kaheksateist	十八	kaheksa_teist	NUM	NUM;NOM;SG
品牌	kaubamärkide	品牌	kauba_märk	N	N;GEN;PL
品牌	kaubamärgi	品牌	kauba_märk	N	N;GEN;SG
品牌	brand	品牌	brand	N	N;NOM;SG
翻譯	tõlgitud	翻譯	tõlkima	V	V;PST;V.PTCP;PASS
翻譯	tõlkida	翻譯	tõlkima	V	V;NFIN
目標	eesmärk	目標	ees_märk	N	N;NOM;SG
目標	eesmärgid	目標	ees_märk	N	N;NOM;PL
目標	eesmärgid	目標	ees_märk	N	N;NOM;PL
目標	eesmärk	目標	ees_märk	N	N;NOM;SG
目標	sihtmärgid	目標	siht_märk	N	N;NOM;PL
目標	eesmärgid	目標	ees_märk	N	N;NOM;PL
目標	eesmärk	目標	ees_märk	N	N;NOM;SG
目標	siht	目標	siht	N	N;NOM;SG
目標	märklaud	目標	märk_laud	N	N;NOM;SG
目標	target	目標	targe	N	N;NOM;SG
目標	sihtmärk	目標	siht_märk	N	N;NOM;SG
基礎	baasi	基礎	baas	N	N;PRT;SG
基礎	baas	基礎	baas	N	N;NOM;SG
基礎	alus	基礎	alus	N	N;NOM;SG
基礎	alus	基礎	alus	N	N;NOM;SG
自動	automaat	自動	automaat	N	N;NOM;SG
群島	saarestik	群島	saarestik	N	N;NOM;SG
群島	saared	群島	saar	N	N;NOM;PL
群島	saartele	群島	saar	N	N;AT+ALL;PL
理論	teooria	理論	teooria	N	N;NOM;SG
理論	doktriin	理論	doktriin	N	N;NOM;SG
理論	teooriaid	理論	teooria	N	N;PRT;PL
理論	teooriad	理論	teooria	N	N;NOM;PL
軍隊	armee	軍隊	armee	N	N;NOM;SG
軍隊	sõjavägi	軍隊	sõja_vägi	N	N;NOM;SG
鏡	peegel	鏡	peegel	N	N;NOM;SG
大樓	hoone	大樓	hoone	N	N;NOM;SG
大樓	ehitamine	大樓	ehitamine	N	N;NOM;SG
大樓	ehitis	大樓	ehitis	N	N;NOM;SG
出口	väljumine	出口	väljumine	N	N;NOM;SG
出口	väljapääs	出口	välja_pääs	N	N;NOM;SG
出口	eksport	出口	eksport	N	N;NOM;SG
出口	eksport	出口	eksport	N	N;NOM;SG
出口	ekspordi	出口	eksport	N	N;GEN;SG
地震	maavärin	地震	maa_värin	N	N;NOM;SG
海外	välismaal	海外	välis_maa	N	N;AT+ESS
;SG
海外	avamere	海外	ava_meri	N	N;NOM;SG
海外	offshore	海外	offshore	N	N;NOM;SG
產品	toode	產品	toode	N	N;NOM;SG
產品	toote	產品	toode	N	N;GEN;SG
產品	tooted	產品	toode	N	N;NOM;PL
條約	lepingud	條約	leping	N	N;NOM;PL
條約	leping	條約	leping	N	N;NOM;SG
條約	asutamisleping	條約	asutamis_leping	N	N;NOM;SG
助理	abiline	助理	abiline	N	N;NOM;SG
助理	assistent	助理	assistent	N	N;NOM;SG
助理	assistendid	助理	assistent	N	N;NOM;PL
畫	loosimine	畫	loosimine	N	N;NOM;SG
畫	viik	畫	viik	N	N;NOM;SG
畫	maal	畫	maa	N	N;AT+ESS
;SG
畫	maali	畫	maal	N	N;PRT;SG
畫	värvimine	畫	värvimine	N	N;NOM;SG
舞	tantsu	舞	tants	N	N;PRT;SG
舞	tants	舞	tants	N	N;NOM;SG
舞	tantsi	舞	tantsima	N	N;NOM;SG
舞	tantsimine	舞	tantsi=mine	N	N;NOM;SG
獸	elukas	獸	elukas	N	N;NOM;SG
獸	koletis	獸	koletis	N	N;NOM;SG
汽車	auto	汽車	auto	N	N;NOM;SG
汽車	car	汽車	car	N	N;NOM;SG
汽車	autosid	汽車	auto	N	N;PRT;PL
汽車	autod	汽車	auto	N	N;NOM;PL
避免	vältida	避免	vältima	V	V;NFIN
避免	väldi	避免	väldi	V	V;IMP;SG;2;PRS;FIN;ACT
結構	struktuurid	結構	struktuur	N	N;NOM;PL
結構	arhitektuur	結構	arhitektuur	N	N;NOM;SG
結構	struktuur	結構	struktuur	N	N;NOM;SG
結構	ülesehitus	結構	üle_sehitus	N	N;NOM;SG
字母	tähestik	字母	tähestik	N	N;NOM;SG
字母	kirju	字母	kiri	N	N;NOM;SG
字母	kirjad	字母	kiri	N	N;NOM;PL
字母	tähed	字母	täht	N	N;NOM;PL
字母	kirja	字母	kiri	N	N;IN+ALL;LGSPEC1;SG
字母	kiri	字母	kiri	N	N;NOM;SG
大陸	mandri	大陸	mander	N	N;NOM;SG
大陸	mandri	大陸	mander	N	N;NOM;SG
大陸	mandri	大陸	mander	N	N;NOM;SG
大陸	mandrite	大陸	manner	N	N;GEN;PL
海岸	kalda	海岸	kallas	N	N;NOM;SG
海岸	kaldal	海岸	kallas	N	N;AT+ESS
;SG
海岸	shore	海岸	shore	N	N;NOM;SG
海岸	rannik	海岸	rannik	N	N;NOM;SG
海岸	ranniku	海岸	rannik	N	N;NOM;SG
學習	õppima	學習	õppima	V	V;IN+ALL;V.CVB;ACT
學習	õpime	學習	õppima	V	V;IND;PL;1;PRS;FIN;ACT
學習	õppida	學習	õppima	V	V;NFIN
學習	õpi	學習	õpp	V	V;IMP;SG;2;PRS;FIN;ACT
樂團	bänd	樂團	bänd	N	N;NOM;SG
樂團	ansambel	樂團	ansambel	N	N;NOM;SG
樂團	orkester	樂團	orkester	N	N;NOM;SG
材料	materjal	材料	materjal	N	N;NOM;SG
材料	materjalid	材料	materjal	N	N;NOM;PL
士兵	sõdur	士兵	sõdur	N	N;NOM;SG
士兵	sõdurid	士兵	sõdur	N	N;NOM;PL
魔法	võlu	魔法	võlu	N	N;NOM;SG
魔法	magic	魔法	magic	N	N;NOM;SG
魔法	maagia	魔法	maagia	N	N;NOM;SG
茶	teed	茶	tee	N	N;PRT;SG
茶	tee	茶	tee	N	N;NOM;SG
孩子	laps	孩子	laps	N	N;NOM;SG
孩子	lapse	孩子	laps	N	N;GEN;SG
組合	kombineerimine	組合	kombineeri=mine	N	N;NOM;SG
組合	kombinatsioon	組合	kombinatsioon	N	N;NOM;SG
組合	mix	組合	mix	N	N;NOM;SG
王子	vürst	王子	vürst	N	N;NOM;SG
王子	prints	王子	prints	N	N;NOM;SG
王子	prince	王子	prince	N	N;NOM;SG
模型	mudelid	模型	mudel	N	N;NOM;PL
模型	modellid	模型	modell	N	N;NOM;PL
模型	mudel	模型	mudel	N	N;NOM;SG
模型	modell	模型	modell	N	N;NOM;SG
模型	näidis	模型	näidima	N	N;NOM;SG
夜	ööd	夜	öö	N	N;NOM;SG
夜	õhtud	夜	õhtu	N	N;NOM;PL
夜	õhtu	夜	õhtu	N	N;NOM;SG
夜	öö	夜	öö	N	N;NOM;SG
夜	ööd	夜	öö	N	N;NOM;SG
乘客	reisija	乘客	reisija	N	N;NOM;SG
乘客	sõitja	乘客	sõitja	N	N;NOM;SG
乘客	reisijate	乘客	reisija	N	N;GEN;PL
乘客	reisijad	乘客	reisija	N	N;NOM;PL
錦標	turniiri	錦標	turniir	N	N;PRT;SG
錦標	turniir	錦標	turniir	N	N;NOM;SG
錦標	turniiridel	錦標	turniir	N	N;AT+ESS
;PL
錦標	meistrivõistlused	錦標	meistri_võistlus	N	N;NOM;PL
錦標	meistrivõistluste	錦標	meistri_võistlus	N	N;GEN;PL
禁止	keelatud	禁止	keelama	V	V;PST;V.PTCP;PASS
禁止	keelatud	禁止	keelama	V	V;PST;V.PTCP;PASS
重播	kordus	重播	korduma	V	V;IND;SG;3;PST;FIN;ACT
宣傳	avalikustamine	宣傳	avalikustamine	N	N;NOM;SG
宣傳	reklaam	宣傳	reklaam	N	N;NOM;SG
宣傳	propaganda	宣傳	propaganda	N	N;NOM;SG
巨大	tohutu	巨大	tohutu	ADJ	ADJ;NOM;SG
巨大	hiiglaslik	巨大	hiiglaslik	ADJ	ADJ;NOM;SG
蛇	madu	蛇	madu	N	N;NOM;SG
蛇	snake	蛇	snake	N	N;NOM;SG
蛇	mao	蛇	magu	N	N;NOM;SG
蛇	maod	蛇	madu	N	N;NOM;PL
紫	lilla	紫	lilla	N	N;NOM;SG
紫	violet	紫	viole	N	N;NOM;SG
週	nädal	週	nädal	N	N;NOM;SG
上市	loetletud	上市	loetletud	V	V;PST;V.PTCP;PASS
森林	mets	森林	mets	N	N;NOM;SG
森林	metsa	森林	mets	N	N;IN+ALL;LGSPEC1;SG
森林	metsad	森林	mets	N	N;NOM;PL
晚上	õhtu	晚上	õhtu	N	N;NOM;SG
晚上	õhtu	晚上	õhtu	N	N;NOM;SG
晚上	öö	晚上	öö	N	N;NOM;SG
晚上	ööd	晚上	öö	N	N;NOM;SG
國王	king	國王	king	N	N;NOM;SG
國王	kuningas	國王	kuningas	N	N;NOM;SG
國王	kunn	國王	kunn	N	N;NOM;SG
耳	kõrv	耳	kõrv	N	N;NOM;SG
耳	kõrva	耳	kõrv	N	N;PRT;SG
耳	kõrvu	耳	kõrv	N	N;PRT;PL
耳	kõrvad	耳	kõrv	N	N;NOM;PL
廣場	ruudu	廣場	ruut	N	N;PRT;SG
廣場	ruut	廣場	ruut	N	N;NOM;SG
廣場	väljak	廣場	väljak	N	N;NOM;SG
廣場	piazza	廣場	piazza	N	N;NOM;SG
廣場	plaza	廣場	plaza	N	N;NOM;SG
市民	kodanikud	市民	kodanik	N	N;NOM;PL
市民	kodanik	市民	kodanik	N	N;NOM;SG
樹	puu	樹	puu	N	N;NOM;SG
樹	puud	樹	puu	N	N;NOM;PL
樹	puid	樹	puu	N	N;PRT;PL
樹	puud	樹	puu	N	N;NOM;PL
聯邦	föderatsiooni	聯邦	föderatsioon	N	N;PRT;SG
聯邦	föderatsioon	聯邦	föderatsioon	N	N;NOM;SG
聯邦	konföderatsioon	聯邦	konföderatsioon	N	N;NOM;SG
聯邦	konföderatsiooni	聯邦	kon_föderatsioon	N	N;PRT;SG
麻	kanep	麻	kanep	N	N;NOM;SG
酸	hape	酸	hape	N	N;NOM;SG
酸	happe	酸	happ	N	N;NOM;SG
酸	happed	酸	happ	N	N;NOM;PL
董事	direktorite	董事	direktor	N	N;GEN;PL
外交	diplomaatia	外交	diplomaatia	N	N;NOM;SG
夫人	madam	夫人	madam	N	N;NOM;SG
夫人	proua	夫人	proua	N	N;NOM;SG
公斤	kilogrammides	公斤	kilo_gramm	N	N;IN+ESS;PL
公斤	kilogrammi	公斤	kilo_gramm	N	N;PRT;SG
公斤	kilogrammi	公斤	kilo_gramm	N	N;PRT;SG
公斤	kilo	公斤	kilo	N	N;NOM;SG
效果	efekt	效果	efekt	N	N;NOM;SG
效果	mõju	效果	mõju	N	N;NOM;SG
效果	toime	效果	toime	N	N;NOM;SG
效果	mõjud	效果	mõju	N	N;NOM;PL
效果	mõju	效果	mõju	N	N;NOM;SG
效果	toime	效果	toime	N	N;NOM;SG
資格	kvalifikatsioon	資格	kvalifikatsioon	N	N;NOM;SG
資格	kvalifikatsiooni	資格	kvalifikatsioon	N	N;PRT;SG
輪	ratas	輪	ratas	N	N;NOM;SG
輪	ratta	輪	ratas	N	N;GEN;SG
輪	rool	輪	rool	N	N;NOM;SG
輪	veljed	輪	velge	N	N;NOM;PL
輪	rattad	輪	ratas	N	N;NOM;PL
輪	voor	輪	voor	N	N;NOM;SG
寫	kirjutada	寫	kirjutama	V	V;NFIN
寫	kirjuta	寫	kirjutama	V	V;IMP;SG;2;PRS;FIN;ACT
寫	kirjutage	寫	kirjutama	V	V;IMP;PL;2;PRS;FIN;ACT
鹿	hirv	鹿	hirv	N	N;NOM;SG
鹿	hirve	鹿	hirve	N	N;PRT;SG
地理	geograafia	地理	geo_graafia	N	N;NOM;SG
網頁	koduleht	網頁	kodu_leht	N	N;NOM;SG
網頁	veebileht	網頁	veebi_leht	N	N;NOM;SG
網頁	veebisait	網頁	veebi_sait	N	N;NOM;SG
網頁	kodulehekülg	網頁	kodu_lehe_külg	N	N;NOM;SG
秘密	saladus	秘密	saladus	N	N;NOM;SG
秘密	secret	秘密	secret	N	N;NOM;SG
人	npc	人	npc	N	N;NOM;SG
開放	ava	開放	ava	V	V;IMP;SG;2;PRS;FIN;ACT
開放	avada	開放	avama	V	V;NFIN
運輸	transport	運輸	transport	N	N;NOM;SG
運輸	vedu	運輸	vedu	N	N;NOM;SG
運輸	transport	運輸	transport	N	N;NOM;SG
大小	suurus	大小	suurus	N	N;NOM;SG
習性	harjumused	習性	harjumus	N	N;NOM;PL
頂	top	頂	top	N	N;NOM;SG
頂	ülemine	頂	ülemine	N	N;NOM;SG
三	kolm	三	kolm	NUM	NUM;NOM;SG
符	amulett	符	amulett	N	N;NOM;SG
親	musi	親	musi	N	N;NOM;SG
親	kiss	親	kiss	N	N;NOM;SG
親	suudlus	親	suudlus	N	N;NOM;SG
兒子	poja	兒子	poeg	N	N;NOM;SG
兒子	poeg	兒子	poeg	N	N;NOM;SG
骨	kondid	骨	kond	N	N;NOM;PL
骨	luud	骨	luud	N	N;NOM;SG
骨	luude	骨	luude	N	N;NOM;PL
骨	luud	骨	luud	N	N;NOM;SG
骨	kont	骨	kont	N	N;NOM;SG
骨	luu	骨	luu	N	N;NOM;SG
骨	luude	骨	luude	N	N;NOM;PL
人口	loenduse	人口	loendus	N	N;GEN;SG
人口	loendus	人口	loenduma	N	N;NOM;SG
戰役	lahing	戰役	lahing	N	N;NOM;SG
戰役	lahinguid	戰役	lahing	N	N;PRT;PL
戰役	lahingud	戰役	lahing	N	N;NOM;PL
電台	raadio	電台	raadio	N	N;NOM;SG
電台	radio	電台	radio	N	N;NOM;SG
墓	haud	墓	haud	N	N;NOM;SG
墓	haua	墓	haud	N	N;GEN;SG
墓	haud	墓	haud	N	N;NOM;SG
墓	hauda	墓	haud	N	N;IN+ALL;LGSPEC1;SG
墓	haua	墓	haud	N	N;GEN;SG
北方	põhi	北方	põhi	N	N;NOM;SG
北方	põhja	北方	põhi	N	N;IN+ALL;LGSPEC1;SG
北方	põhjas	北方	põhi	N	N;IN+ESS;SG
北方	põhja	北方	põhi	N	N;IN+ALL;LGSPEC1;SG
星期	esmaspäeval	星期	esmas_päev	N	N;AT+ESS
;SG
星期	esmaspäev	星期	esmas_päev	N	N;NOM;SG
業務	äri	業務	äri	N	N;NOM;SG
業務	äritegevus	業務	äri_tegevus	N	N;NOM;SG
前身	eelkäija	前身	eel_käija	N	N;NOM;SG
前身	eelkäija	前身	eel_käija	N	N;NOM;SG
投資	investeerimine	投資	investeerimine	N	N;NOM;SG
投資	investeerimine	投資	investeerimine	N	N;NOM;SG
投資	investeeringud	投資	investeering	N	N;NOM;PL
投資	investeering	投資	investeering	N	N;NOM;SG
投資	investeeringud	投資	investeering	N	N;NOM;PL
海洋	ookeanide	海洋	ookean	N	N;GEN;PL
海洋	ookeanid	海洋	ookean	N	N;NOM;PL
海洋	ookean	海洋	ookean	N	N;NOM;SG
類型	žanr	類型	žanr	N	N;NOM;SG
類型	tüüp	類型	tüüp	N	N;NOM;SG
類型	tüübid	類型	tüüp	N	N;NOM;PL
機會	võimalus	機會	võimalus	N	N;NOM;SG
機會	chance	機會	chance	N	N;NOM;SG
機會	võimalus	機會	võimalus	N	N;NOM;SG
機會	võimaluse	機會	võimalus	N	N;GEN;SG
機會	võimalused	機會	võimalus	N	N;NOM;PL
錯誤	väär	錯誤	väär	N	N;NOM;SG
錯誤	vigu	錯誤	viga	N	N;PRT;PL
錯誤	vead	錯誤	viga	N	N;NOM;PL
錯誤	viga	錯誤	viga	N	N;NOM;SG
總部	staap	總部	staap	N	N;NOM;SG
總部	peakorter	總部	pea_korter	N	N;NOM;SG
總部	peakorter	總部	pea_korter	N	N;NOM;SG
健康	tervena	健康	terve	N	N;FRML;SG
健康	tervist	健康	tervis	N	N;PRT;SG
健康	tervishoid	健康	tervis_hoid	N	N;NOM;SG
健康	tervis	健康	tervis	N	N;NOM;SG
股	ühik	股	ühik	N	N;NOM;SG
股	üksus	股	üksus	N	N;NOM;SG
身高	kõrgus	身高	kõrgus	N	N;NOM;SG
空中	õhus	空中	õhk	N	N;IN+ESS;SG
空中	õhu	空中	õhk	N	N;NOM;SG
空中	õhku	空中	õhk	N	N;PRT;SG
空中	õhk	空中	õhk	N	N;NOM;SG
空中	air	空中	air	N	N;NOM;SG
工人	töötajad	工人	töötaja	N	N;NOM;PL
工人	töölised	工人	tööline	N	N;NOM;PL
工人	töötaja	工人	töötaja	N	N;NOM;SG
工人	tööline	工人	tööline	N	N;NOM;SG
經常	sageli	經常	sageli	ADV	ADV
經常	tihti	經常	tihti	ADV	ADV
經常	sageli	經常	sageli	ADV	ADV
經常	tihtipeale	經常	tihti_peale	ADV	ADV
經常	tihti	經常	tihti	ADV	ADV
黑色	black	黑色	black	N	N;NOM;SG
喜歡	meeldib	喜歡	meeldima	V	V;IND;SG;3;PRS;FIN;ACT
警方	politsei	警方	politsei	N	N;NOM;SG
十七	seitseteist	十七	seitse_teise	NUM	NUM;NOM;SG
能量	energiat	能量	energia	N	N;PRT;SG
能量	energia	能量	energia	N	N;NOM;SG
能量	energeetika	能量	energeetika	N	N;NOM;SG
酒	alkohol	酒	alkohol	N	N;NOM;SG
酒	alkoholi	酒	alkohol	N	N;PRT;SG
酒	veini	酒	vein	N	N;PRT;SG
酒	vein	酒	vein	N	N;NOM;SG
酒	veinid	酒	vein	N	N;NOM;PL
地面	pinnale	地面	pind	N	N;AT+ALL;SG
地面	pind	地面	pind	N	N;NOM;SG
地面	maapind	地面	maa_pind	N	N;NOM;SG
然後	seejärel	然後	see_järel	ADV	ADV
然後	siis	然後	siis	ADV	ADV
十四	neliteist	十四	neli_teist	NUM	NUM;NOM;SG
鬼	vaim	鬼	vaim	N	N;NOM;SG
鬼	vaimu	鬼	vaim	N	N;PRT;SG
鬼	kummitus	鬼	kummitus	N	N;NOM;SG
鬼	tont	鬼	tont	N	N;NOM;SG
鼠	rat	鼠	rat	N	N;NOM;SG
鼠	rott	鼠	rott	N	N;NOM;SG
鼠	hiir	鼠	hiir	N	N;NOM;SG
鼠	hiire	鼠	hiire	N	N;GEN;SG
鼠	hiired	鼠	hiir	N	N;NOM;PL
鼠	hiiri	鼠	hiir	N	N;PRT;PL
退出	välju	退出	väli	V	V;IMP;PL;2;PRS;FIN;ACT
退出	välju	退出	väli	V	V;IMP;PL;2;PRS;FIN;ACT
兒童	lapsed	兒童	laps	N	N;NOM;PL
兒童	laps	兒童	laps	N	N;NOM;SG
兒童	lapse	兒童	laps	N	N;GEN;SG
東部	idas	東部	ida	N	N;IN+ESS;SG
東部	itta	東部	ida	N	N;IN+ALL;LGSPEC1;SG
東部	ida	東部	ida	N	N;NOM;SG
東部	ida	東部	ida	N	N;NOM;SG
博物	muuseumi	博物	muuseum	N	N;PRT;SG
博物	muuseum	博物	muuseum	N	N;NOM;SG
對話	vestlus	對話	vestlus	N	N;NOM;SG
對話	dialoog	對話	dialoog	N	N;NOM;SG
對話	dialoogi	對話	dialoog	N	N;PRT;SG
對話	dialoogide	對話	dialoog	N	N;GEN;PL
對話	dialoog	對話	dialoog	N	N;NOM;SG
對話	dialoogi	對話	dialoog	N	N;PRT;SG
對話	vestlused	對話	vestlus	N	N;NOM;PL
琴	viiulit	琴	viiul	N	N;PRT;SG
琴	viiul	琴	viid	N	N;NOM;SG
階段	etapp	階段	etapp	N	N;NOM;SG
階段	faasi	階段	faas	N	N;PRT;SG
階段	faas	階段	faas	N	N;NOM;SG
階段	etapid	階段	etapp	N	N;NOM;PL
階段	etapid	階段	etapp	N	N;NOM;PL
階段	lava	階段	lava	N	N;NOM;SG
階段	staadium	階段	staadium	N	N;NOM;SG
階段	etapp	階段	etapp	N	N;NOM;SG
游	tour	游	tour	N	N;NOM;SG
游	tuur	游	tuur	N	N;NOM;SG
游	ringkäik	游	ring_käik	N	N;NOM;SG
游	ujumine	游	ujumine	N	N;NOM;SG
病	haigus	病	haigus	N	N;NOM;SG
病	haigused	病	haigus	N	N;NOM;PL
病	haigus	病	haigus	N	N;NOM;SG
病	haiged	病	haige	N	N;NOM;PL
病	haigus	病	haigus	N	N;NOM;SG
維持	säilita	維持	säilima	V	V;IMP;SG;2;PRS;FIN;ACT
格式	vormid	格式	vorm	N	N;NOM;PL
格式	vorming	格式	vorming	N	N;NOM;SG
格式	vormindus	格式	vormindus	N	N;NOM;SG
格式	formaat	格式	formaat	N	N;NOM;SG
事故	avarii	事故	avarii	N	N;NOM;SG
事故	õnnetus	事故	õnnetus	N	N;NOM;SG
事故	õnnetused	事故	õnnetus	N	N;NOM;PL
事故	õnnetusi	事故	õnnetus	N	N;PRT;PL
藝人	meelelahutajad	藝人	meele_lahutaja	N	N;NOM;PL
藝人	esitaja	藝人	esitaja	N	N;NOM;SG
藝人	artist	藝人	artist	N	N;NOM;SG
藝人	kunstnik	藝人	kunstnik	N	N;NOM;SG
藝人	esitajad	藝人	esitaja	N	N;NOM;PL
藝人	kunstnikud	藝人	kunstnik	N	N;NOM;PL
藝人	meelelahutaja	藝人	meele_lahutaja	N	N;NOM;SG
天使	inglid	天使	inglid	N	N;NOM;PL
天使	angel	天使	angel	N	N;NOM;SG
天使	ingel	天使	ingel	N	N;NOM;SG
表面	pinnale	表面	pind	N	N;AT+ALL;SG
表面	pind	表面	pind	N	N;NOM;SG
池	tiigi	池	tiik	N	N;PRT;SG
池	tiik	池	tiik	N	N;NOM;SG
池	tiiki	池	tiik	N	N;PRT;SG
池	bassein	池	bassein	N	N;NOM;SG
池	basseini	池	bassein	N	N;PRT;SG
圖片	pilt	圖片	pilt	N	N;NOM;SG
圖片	pildi	圖片	pilt	N	N;GEN;SG
圖片	pildid	圖片	pilt	N	N;NOM;PL
圖片	pilte	圖片	pilt	N	N;PRT;PL
圖片	pilt	圖片	pilt	N	N;NOM;SG
圖片	pildi	圖片	pilt	N	N;GEN;SG
圖片	piltide	圖片	pilt	N	N;GEN;PL
圖片	pildid	圖片	pilt	N	N;NOM;PL
風暴	tormid	風暴	torm	N	N;NOM;PL
風暴	torm	風暴	torm	N	N;NOM;SG
風暴	tormi	風暴	torm	N	N;NOM;SG
風暴	storm	風暴	storm	N	N;NOM;SG
定義	mõiste	定義	mõiste	N	N;NOM;SG
定義	definitsioon	定義	definitsioon	N	N;NOM;SG
定義	määratlus	定義	määratlus	N	N;NOM;SG
定義	määratlemine	定義	määratlemine	N	N;NOM;SG
定義	määratlused	定義	määratlus	N	N;NOM;PL
定義	mõisted	定義	mõiste	N	N;NOM;PL
指定	täpsustada	指定	täpsustama	V	V;NFIN
指定	täpsustab	指定	täpsustama	V	V;IND;SG;3;PRS;FIN;ACT
指定	määratud	指定	määrama	V	V;PST;V.PTCP;PASS
指定	täpsustada	指定	täpsustama	V	V;NFIN
解決	lahendada	解決	lahendama	V	V;NFIN
解決	lahenda	解決	lahendama	V	V;IMP;SG;2;PRS;FIN;ACT
解決	lahenda	解決	lahendama	V	V;IMP;SG;2;PRS;FIN;ACT
解決	lahendada	解決	lahendama	V	V;NFIN
熊	karud	熊	karu	N	N;NOM;PL
熊	mõmmi	熊	mõmmi	N	N;NOM;SG
熊	karu	熊	karu	N	N;NOM;SG
休	hugh	休	hugh	N	N;NOM;SG
國語	mandariini	國語	mandariin	N	N;NOM;SG
火箭	raketid	火箭	rakett	N	N;NOM;PL
火箭	rakette	火箭	rakett	N	N;PRT;PL
火箭	rakett	火箭	rakett	N	N;NOM;SG
騎士	ratsu	騎士	ratsu	N	N;NOM;SG
騎士	rüütli	騎士	rüütel	N	N;NOM;SG
騎士	rüütel	騎士	rüütel	N	N;NOM;SG
騎士	knight	騎士	knight	N	N;NOM;SG
安排	korralda	安排	korraldama	V	V;IMP;SG;2;PRS;FIN;ACT
象	elevandid	象	elevant	N	N;NOM;PL
象	elevant	象	elevant	N	N;NOM;SG
明星	täht	明星	täht	N	N;NOM;SG
明星	tähe	明星	täht	N	N;GEN;SG
明星	staar	明星	staar	N	N;NOM;SG
明星	staarid	明星	staar	N	N;NOM;PL
明星	tähed	明星	täht	N	N;NOM;PL
明星	tähtede	明星	täht	N	N;GEN;PL
現任	olevik	現任	olevik	N	N;NOM;SG
現任	kingitus	現任	kingitus	N	N;NOM;SG
你	sinu	你	sina	PRO;2	PRO;GEN;SG;2
你	teie	你	sina	PRO;2	PRO;NOM;PL;2
羊	lambad	羊	lammas	N	N;NOM;PL
羊	lammas	羊	lammas	N	N;NOM;SG
羊	kits	羊	kits	N	N;NOM;SG
羊	kitse	羊	kitse	N	N;NOM;SG
河流	river	河流	river	N	N;NOM;SG
河流	jõgi	河流	jõgi	N	N;NOM;SG
河流	jõed	河流	jõgi	N	N;NOM;PL
出席	osalen	出席	osalema	V	V;IND;SG;1;PRS;FIN;ACT
出席	osales	出席	osalema	V	V;IND;SG;3;PST;FIN;ACT
車輛	sõidukid	車輛	sõiduk	N	N;NOM;PL
車輛	sõiduk	車輛	sõiduk	N	N;NOM;SG
車輛	sõiduki	車輛	sõiduk	N	N;GEN;SG
上午	hommik	上午	hommik	N	N;NOM;SG
機械	masin	機械	masin	N	N;NOM;SG
機械	masina	機械	masin	N	N;GEN;SG
機械	masinad	機械	masin	N	N;NOM;PL
爭議	vaidlus	爭議	vaidlus	N	N;NOM;SG
爭議	vaidlused	爭議	vaidlus	N	N;NOM;PL
爭議	vaidluse	爭議	vaidlus	N	N;GEN;SG
爭議	vaidlus	爭議	vaidlus	N	N;NOM;SG
同盟	league	同盟	league	N	N;NOM;SG
同盟	liidud	同盟	liit	N	N;NOM;PL
同盟	liit	同盟	liit	N	N;NOM;SG
同盟	liitlased	同盟	liitlane	N	N;NOM;PL
轉換	muuta	轉換	muutma	V	V;NFIN
疑似	kahtlustatakse	疑似	kahtlustama	V	V;IND;PRS;FIN;PASS
唱	laulge	唱	laulma	N	N;NOM;SG
唱	laula	唱	laulma	N	N;NOM;SG
血	veri	血	veri	N	N;NOM;SG
血	vere	血	veri	N	N;NOM;SG
努力	jõupingutused	努力	jõu_pingutus	N	N;NOM;PL
努力	pingutused	努力	pingutus	N	N;NOM;PL
事情	asjad	事情	asi	N	N;NOM;PL
