the	el	the	el	DET;DEF	DET;DEF;MASC;SG
names	nombres	name	nombre	N;PL	N;MASC;PL
writer	escritora	writer	escritora	N;SG	N;FEM;SG
writer	escritor	writer	escritor	N;SG	N;MASC;SG
writer	writer	writer	writer	N;SG	N;MASC;SG
characters	caracteres	character	carácter	N;PL	N;MASC;PL
characters	personajes	character	personaje	N;PL	N;MASC;PL
musical	musical	musical	musical	ADJ	ADJ;SG
nothing	nada	nothing	nada	PRO;SG	PRO;SG
border	frontera	border	frontera	N;SG	N;FEM;SG
border	borde	border	borde	N;SG	N;MASC;SG
medical	médicas	medical	médico	ADJ	ADJ;FEM;PL
countries	paises	country	pais	N;PL	N;MASC;PL
countries	países	country	país	N;PL	N;MASC;PL
writing	redacción	writing	redacción	N;SG	N;FEM;SG
writing	escritura	writing	escritura	N;SG	N;FEM;SG
makes	hace	make	hacer	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
interest	interes	interest	inter	N;SG	N;MASC;SG
interest	interés	interest	interés	N;SG	N;MASC;SG
killed	mató	kill	matar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
medal	medalla	medal	medalla	N;SG	N;FEM;SG
label	label	label	label	N;SG	N;SG
label	etiqueta	label	etiqueta	N;SG	N;FEM;SG
fair	justa	fair	justo	ADJ	ADJ;FEM;SG
search	busqueda	search	busqueda	N;SG	N;FEM;SG
search	búsqueda	search	búsqueda	N;SG	N;FEM;SG
search	buscador	search	buscador	N;SG	N;MASC;SG
reference	referencia	reference	referencia	N;SG	N;FEM;SG
especially	especialmente	especially	especialmente	ADV	ADV
refer	referir	refer	referir	V;IMP;FIN	V;NFIN
library	biblioteca	library	biblioteca	N;SG	N;FEM;SG
eventually	eventualmente	eventually	eventualmente	ADV	ADV
management	gerencia	management	gerencia	N;SG	N;FEM;SG
management	gestión	management	gestión	N;SG	N;FEM;SG
management	dirección	management	dirección	N;SG	N;FEM;SG
management	administración	management	administración	N;SG	N;FEM;SG
references	referencias	reference	referencia	N;PL	N;FEM;PL
features	características	feature	característica	N;PL	N;FEM;PL
features	rasgos	feature	rasgo	N;PL	N;MASC;PL
features	caracteristicas	feature	caracteristica	N;PL	N;FEM;PL
features	funciones	feature	función	N;PL	N;FEM;PL
navy	marina	navy	marina	N;SG	N;FEM;SG
sure	seguro	sure	seguro	ADJ	ADJ;MASC;SG
historical	históricas	historical	histórico	ADJ	ADJ;FEM;PL
historical	históricos	historical	histórico	ADJ	ADJ;MASC;PL
historical	histórica	historical	histórico	ADJ	ADJ;FEM;SG
historical	historico	historical	historico	ADJ	ADJ;MASC;SG
historical	histórico	historical	histórico	ADJ	ADJ;MASC;SG
lower	inferior	lower	inferior	ADJ;CMPR	ADJ;SG
daughter	hija	daughter	hija	N;SG	N;FEM;SG
reading	reading	reading	reading	N;SG	N
reading	lectura	reading	lectura	N;SG	N;FEM;SG
yet	aún	yet	aún	ADV	ADV
systems	sistemas	system	sistema	N;PL	N;MASC;PL
systems	systems	system	system	N;PL	N
debut	debut	debut	debut	N;SG	N;MASC;SG
movement	movimiento	movement	movimiento	N;SG	N;MASC;SG
specific	específicas	specific	especifico	ADJ	ADJ;FEM;PL
specific	específicos	specific	específico	ADJ	ADJ;MASC;PL
specific	específica	specific	específico	ADJ	ADJ;FEM;SG
specific	especifico	specific	especifico	ADJ	ADJ;MASC;SG
specific	específico	specific	específico	ADJ	ADJ;MASC;SG
always	siempre	always	siempre	ADV	ADV
actor	actor	actor	actor	N;SG	N;MASC;SG
natural	natural	natural	natural	ADJ	ADJ;SG
natural	naturales	natural	natural	ADJ	ADJ;PL
clear	despejado	clear	despejar	ADJ	ADJ;MASC;SG;V.PTCP
coast	litoral	coast	litoral	N;SG	N;MASC;SG
coast	costa	coast	costa	N;SG	N;FEM;SG
let	dejemos	let	dejar	V;IMP;FIN	V;IMP;PL;1;FIN
got	consiguió	get	conseguir	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
championships	campeonatos	championship	campeonato	N;PL	N;MASC;PL
ten	diez	ten	diez	NUM	NUM;PL
individual	individuo	individual	individuo	N;SG	N;MASC;SG
rule	regla	rule	regla	N;SG	N;FEM;SG
lists	listas	list	lista	N;PL	N;FEM;PL
thought	pensó	think	pensar	V;PST;FIN	V;IND;SG;3;PST;FIN
hand	hand	hand	hand	N;SG	N
hand	mano	hand	mano	N;SG	N;FEM;SG
needs	necesidades	need	necesidad	N;PL	N;FEM;PL
reliable	confiables	reliable	confiable	ADJ	ADJ;PL
reliable	fiable	reliable	fiable	ADJ	ADJ;SG
reliable	confiable	reliable	confiable	ADJ	ADJ;SG
reliable	fiables	reliable	fiable	ADJ	ADJ;PL
generally	generalmente	generally	generalmente	ADV	ADV
base	base	base	base	N;SG	N;SG
capital	capital	capital	capital	N;SG	N;FEM;SG
valley	valle	valley	valle	N;SG	N;MASC;SG
bank	banca	bank	banca	N;SG	N;FEM;SG
bank	banco	bank	banco	N;SG	N;MASC;SG
bank	bank	bank	bank	N;SG	N
gave	dio	give	dar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
gave	dió	give	dar	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
ground	terreno	ground	terreno	N;SG	N;MASC;SG
ground	ground	ground	ground	N;SG	N
reached	alcanzó	reach	alcanzar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
energy	energia	energy	energia	N;SG	N;FEM;SG
energy	energía	energy	energía	N;SG	N;FEM;SG
believe	creer	believe	creer	V;IMP;FIN	V;NFIN
leader	dirigente	leader	dirigente	N;SG	N;SG
leader	lider	leader	lider	N;SG	N;SG
leader	leader	leader	leader	N;SG	N;SG
leader	líder	leader	líder	N;SG	N;SG
active	activo	active	activo	ADJ	ADJ;MASC;SG
active	activa	active	activo	ADJ	ADJ;FEM;SG
block	bloque	block	bloque	N;SG	N;MASC;SG
block	bloqueo	block	bloqueo	N;SG	N;MASC;SG
block	cuadra	block	cuadra	N;SG	N;FEM;SG
bridge	bridge	bridge	bridge	N;SG	N;MASC;SG
bridge	puente	bridge	puente	N;SG	N;MASC;SG
families	familias	family	familia	N;PL	N;FEM;PL
changes	modificaciones	change	modificación	N;PL	N;FEM;PL
changes	cambios	change	cambio	N;PL	N;MASC;PL
followed	seguí	follow	seguir	V;PST;V.PTCP	V;IND;SG;1;PST;FIN
followed	siguió	follow	seguir	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
industry	industria	industry	industria	N;SG	N;FEM;SG
collection	colección	collection	colección	N;SG	N;FEM;SG
collection	coleccion	collection	coleccionar	N;SG	N;FEM;SG
request	petición	request	petición	N;SG	N;FEM;SG
request	solicitud	request	solicitud	N;SG	N;FEM;SG
soon	pronto	soon	pronto	ADV	ADV
soon	próximamente	soon	próximamente	ADV	ADV
leading	liderando	lead	liderar	V;V.MSDR	V;V.MSDR
leading	liderar	lead	liderar	V;V.MSDR	V;NFIN
olympic	olympic	olympic	olympic	N;SG	N;MASC;SG
writers	guionistas	writer	guionista	N;PL	N;PL
writers	escritores	writer	escritor	N;PL	N;MASC;PL
writers	redactores	writer	redactor	N;PL	N;MASC;PL
professor	profesor	professor	profesor	N;SG	N;MASC;SG
professor	catedrático	professor	catedrático	N;SG	N;MASC;SG
professor	profesora	professor	profesora	N;SG	N;FEM;SG
studio	estudio	studio	estudio	N;SG	N;MASC;SG
studio	studio	studio	studio	N;SG	N;MASC;SG
competition	concurso	competition	concurso	N;SG	N;MASC;SG
competition	competición	competition	competición	N;SG	N;FEM;SG
competition	competencia	competition	competencia	N;SG	N;FEM;SG
campaign	campaña	campaign	campaña	N;SG	N;FEM;SG
theatre	teatro	theatre	teatro	N;SG	N;MASC;SG
empire	imperio	empire	imperio	N;SG	N;MASC;SG
empire	empire	empire	empire	N;SG	N
length	eslora	length	eslora	N;SG	N;FEM;SG
length	longitud	length	longitud	N;SG	N;FEM;SG
islands	islas	island	isla	N;PL	N;FEM;PL
singer	cantor	singer	cantor	N;SG	N;MASC;SG
singer	cantante	singer	cantante	N;SG	N;SG
create	crear	create	crear	V;IMP;FIN	V;NFIN
additional	adicional	additional	adicional	ADJ	ADJ;SG
additional	adicionales	additional	adicional	ADJ	ADJ;PL
market	mercado	market	mercado	N;SG	N;MASC;SG
market	market	market	market	N;SG	N
words	palabras	word	palabra	N;PL	N;FEM;PL
producer	productor	producer	productor	N;SG	N;MASC;SG
producer	productora	producer	productora	N;SG	N;FEM;SG
notes	apuntes	note	apunte	N;PL	N;MASC;PL
notes	notas	note	nota	N;PL	N;FEM;PL
notes	notes	note	note	N;PL	N
hockey	hockey	hockey	hockey	N;SG	N;MASC;SG
novel	novela	novel	novela	N;SG	N;FEM;SG
code	code	code	coder	N;SG	N
code	codigo	code	codigo	N;SG	N;MASC;SG
code	código	code	código	N;SG	N;MASC;SG
referee	árbitro	referee	árbitro	N;SG	N;MASC;SG
sport	sport	sport	sport	N;SG	N
sport	deporte	sport	deporte	N;SG	N;MASC;SG
airport	aeropuerto	airport	aeropuerto	N;SG	N;MASC;SG
sound	sonido	sound	sonido	N;SG	N;MASC;SG
sound	sound	sound	sound	N;SG	N
status	status	status	status	N;SG	N
status	estatus	status	estatus	N;SG	N;MASC
status	estado	status	estado	N;SG	N;MASC;SG
status	situación	status	situación	N;SG	N;FEM;SG
irish	irlandesa	irish	irlandés	ADJ	ADJ;FEM;SG
child	niño	child	niño	N;SG	N;MASC;SG
child	niña	child	niña	N;SG	N;FEM;SG
perhaps	quizás	perhaps	quizás	ADV	ADV
perhaps	quizá	perhaps	quizá	ADV	ADV
idea	idea	idea	idea	N;SG	N;FEM;SG
foreign	extranjeras	foreign	extranjero	ADJ	ADJ;FEM;PL
foreign	extranjera	foreign	extranjero	ADJ	ADJ;FEM;SG
municipality	municipalidad	municipality	municipalidad	N;SG	N;FEM;SG
municipality	municipio	municipality	municipio	N;SG	N;MASC;SG
register	registro	register	registro	N;SG	N;MASC;SG
problems	problemas	problem	problema	N;PL	N;MASC;PL
native	nativas	native	nativo	ADJ	ADJ;FEM;PL
native	nativa	native	nativo	ADJ	ADJ;FEM;SG
native	autóctona	native	autóctono	ADJ	ADJ;FEM;SG
native	nativo	native	nativo	ADJ	ADJ;MASC;SG
coverage	cobertura	coverage	cobertura	N;SG	N;FEM;SG
channel	canal	channel	canal	N;SG	N;MASC;SG
channel	channel	channel	channel	N;SG	N;SG
parliament	parlamento	parliament	parlamento	N;SG	N;MASC;SG
edition	edición	edition	edición	N;SG	N;FEM;SG
edition	edition	edition	edition	N;SG	N;MASC;SG
minor	menor	minor	menor	ADJ	ADJ;SG
minor	menores	minor	menor	ADJ	ADJ;PL
says	dice	say	decir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
foundation	fundación	foundation	fundación	N;SG	N;FEM;SG
units	unidades	unit	unidad	N;PL	N;FEM;PL
movie	pelicula	movie	pelicula	N;SG	N;FEM;SG
movie	cine	movie	cine	N;SG	N;MASC;SG
movie	movie	movie	movie	N;SG	N;SG
movie	película	movie	película	N;SG	N;FEM;SG
runs	carreras	run	carrera	N;PL	N;FEM;PL
ice	hielo	ice	hielo	N;SG	N;MASC;SG
simply	sencillamente	simply	sencillamente	ADV	ADV
simply	simplemente	simply	simplemente	ADV	ADV
limited	limitados	limited	limitado	ADJ	ADJ;MASC;PL;V.PTCP
limited	limitado	limited	limitado	ADJ	ADJ;MASC;SG;V.PTCP
limited	limitada	limited	limitado	ADJ	ADJ;FEM;SG;V.PTCP
limited	limitadas	limited	limitado	ADJ	ADJ;FEM;PL;V.PTCP
unit	unit	unit	unit	N;SG	N
unit	unidad	unit	unidad	N;SG	N;FEM;SG
student	alumna	student	alumna	N;SG	N;FEM;SG
student	alumno	student	alumno	N;SG	N;MASC;SG
student	estudiante	student	estudiante	N;SG	N;SG
previously	anteriormente	previously	anteriormente	ADV	ADV
previously	previamente	previously	previamente	ADV	ADV
stated	declaró	state	declarar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
complete	completado	complete	completado	ADJ	ADJ;MASC;SG;V.PTCP
complete	completa	complete	completo	ADJ	ADJ;FEM;SG
complete	completas	complete	completo	ADJ	ADJ;FEM;PL
complete	completo	complete	completo	ADJ	ADJ;MASC;SG
test	test	test	test	N;SG	N;MASC;SG
test	prueba	test	prueba	N;SG	N;FEM;SG
test	ensayo	test	ensayo	N;SG	N;MASC;SG
bill	factura	bill	factura	N;SG	N;FEM;SG
parts	repuestos	part	repuesto	N;PL	N;MASC;PL
parts	piezas	part	pieza	N;PL	N;FEM;PL
parts	partes	part	parte	N;PL	N;FEM;PL
vocals	vocales	vocal	vocal	N;PL	N;PL
vocals	voces	vocal	voz	N;PL	N;FEM;PL
theory	teoría	theory	teoría	N;SG	N;FEM;SG
theory	teoria	theory	teoria	N;SG	N;FEM;SG
regional	regional	regional	regional	ADJ	ADJ;SG
regional	regionales	regional	regional	ADJ	ADJ;PL
computer	computadora	computer	computador	N;SG	N;FEM;SG
computer	ordenador	computer	ordenador	N;SG	N;MASC;SG
computer	informática	computer	informática	N;SG	N;FEM;SG
tournament	torneo	tournament	torneo	N;SG	N;MASC;SG
behind	detrás	behind	detrás	ADV	ADV
lot	lote	lot	lote	N;SG	N;MASC;SG
hospital	hospital	hospital	hospital	N;SG	N;MASC;SG
hospital	hospitalización	hospital	hospitalización	N;SG	N;FEM;SG
taking	tomando	take	tomar	V;V.MSDR	V;V.MSDR
taking	teniendo	take	tener	V;V.MSDR	V;V.MSDR
mountain	montaña	mountain	montaña	N;SG	N;FEM;SG
higher	superior	higher	superior	ADJ;CMPR	ADJ;SG
cases	estuches	case	estuche	N;PL	N;MASC;PL
cases	cases	case	case	N;PL	N
cases	casos	case	caso	N;PL	N;MASC;PL
editing	edición	editing	edición	N;SG	N;FEM;SG
editing	montaje	editing	montaje	N;SG	N;MASC;SG
replaced	sustituyó	replace	sustituir	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
food	alimentación	food	alimentación	N;SG	N;FEM;SG
food	alimento	food	alimento	N;SG	N;MASC;SG
food	comida	food	comida	N;SG	N;FEM;SG
multiple	múltiple	multiple	múltiple	ADJ	ADJ;SG
multiple	múltiples	multiple	múltiple	ADJ	ADJ;PL
multiple	multiples	multiple	multiple	ADJ	ADJ;PL
likely	probable	likely	probable	ADJ	ADJ;SG
likely	probables	likely	probable	ADJ	ADJ;PL
terms	términos	term	término	N;PL	N;MASC;PL
terms	terminos	term	termino	N;PL	N;MASC;PL
terms	condiciones	term	condición	N;PL	N;FEM;PL
thing	thing	thing	thing	N;SG	N
thing	cosa	thing	cosa	N;SG	N;FEM;SG
try	pruebe	try	probar	V;IMP;FIN	V;IMP;SG;3;FIN
try	probar	try	probar	V;IMP;FIN	V;NFIN
try	tratar	try	tratar	V;IMP;FIN	V;NFIN
topic	tópico	topic	tópico	N;SG	N;MASC;SG
topic	tema	topic	tema	N;SG	N;MASC;SG
woman	mujer	woman	mujer	N;SG	N;FEM;SG
categories	categorias	category	categorio	N;PL	N;FEM;PL
categories	categorías	category	categoría	N;PL	N;FEM;PL
greek	griega	greek	griego	ADJ	ADJ;FEM;SG
recent	recientes	recent	reciente	ADJ	ADJ;PL
recent	reciente	recent	reciente	ADJ	ADJ;SG
sent	envió	send	enviar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
speed	rapidez	speed	rapidez	N;SG	N;FEM;SG
speed	celeridad	speed	celeridad	N;SG	N;FEM;SG
speed	speed	speed	speed	N;SG	N
speed	velocidad	speed	velocidad	N;SG	N;FEM;SG
templates	plantillas	template	plantilla	N;PL	N;FEM;PL
money	dinero	money	dinero	N;SG	N;MASC;SG
money	money	money	money	N;SG	N
saw	vi	see	ver	V;IND;PST;FIN	V;IND;SG;1;PST;FIN
saw	vio	see	ver	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
saw	vieron	see	ver	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
true	cierto	true	cierto	ADJ	ADJ;MASC;SG
true	verdadera	true	verdadero	ADJ	ADJ;FEM;SG
true	verdadero	true	verdadero	ADJ	ADJ;MASC;SG
regular	regulares	regular	regular	ADJ	ADJ;PL
commercial	comercial	commercial	comercial	ADJ	ADJ;SG
commercial	comerciales	commercial	comercial	ADJ	ADJ;PL
cities	ciudades	city	ciudad	N;PL	N;FEM;PL
contains	contiene	contain	contener	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
trade	comercio	trade	comercio	N;SG	N;MASC;SG
degree	grado	degree	grado	N;SG	N;MASC;SG
degree	licenciatura	degree	licenciatura	N;SG	N;FEM;SG
birth	natalidad	birth	natalidad	N;SG	N;FEM;SG
birth	nacimiento	birth	nacimiento	N;SG	N;MASC;SG
birth	parto	birth	parto	N;SG	N;MASC;SG
rugby	rugby	rugby	rugby	N;SG	N;MASC;SG
access	acceso	access	acceso	N;SG	N;MASC;SG
access	access	access	acces	N;SG	N;MASC
prior	previo	prior	previo	ADJ	ADJ;MASC;SG
prior	previa	prior	previo	ADJ	ADJ;FEM;SG
seasons	estaciones	season	estación	N;PL	N;FEM;PL
seasons	temporadas	season	temporada	N;PL	N;FEM;PL
journal	diario	journal	diario	N;SG	N;MASC;SG
journal	journal	journal	journal	N;SG	N;SG
journal	revista	journal	revista	N;SG	N;FEM;SG
beginning	comienzo	beginning	comienzo	N;SG	N;MASC;SG
software	software	software	software	N;SG	N;MASC;SG
famous	famosa	famous	famoso	ADJ	ADJ;FEM;SG
famous	famosas	famous	famoso	ADJ	ADJ;FEM;PL
famous	famosos	famous	famoso	ADJ	ADJ;MASC;PL
famous	famoso	famous	famoso	ADJ	ADJ;MASC;SG
religious	religiosos	religious	religioso	ADJ	ADJ;MASC;PL
religious	religioso	religious	religioso	ADJ	ADJ;MASC;SG
religious	religiosa	religious	religioso	ADJ	ADJ;FEM;SG
religious	religiosas	religious	religioso	ADJ	ADJ;FEM;PL
appear	aparecer	appear	aparecer	V;IMP;FIN	V;NFIN
bit	bit	bit	bit	N;SG	N;MASC;SG
hours	horarios	hour	horario	N;PL	N;MASC;PL
hours	horas	hour	hora	N;PL	N;FEM;PL
running	running	running	running	N;SG	N;MASC;SG
brought	trajo	bring	traer	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
brought	traido	bring	trair	V;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
missing	desaparecido	missing	desaparecido	ADJ	ADJ;MASC;SG;V.PTCP
missing	desaparecidos	missing	desaparecido	ADJ	ADJ;MASC;PL;V.PTCP
missing	ausente	missing	ausente	ADJ	ADJ;SG
missing	desaparecida	missing	desaparecido	ADJ	ADJ;FEM;SG;V.PTCP
economic	económicas	economic	económico	ADJ	ADJ;FEM;PL
economic	económicos	economic	económico	ADJ	ADJ;MASC;PL
economic	económico	economic	económico	ADJ	ADJ;MASC;SG
economic	economico	economic	economico	ADJ	ADJ;MASC;SG
economic	económica	economic	económico	ADJ	ADJ;FEM;SG
structure	estructura	structure	estructura	N;SG	N;FEM;SG
rural	rural	rural	rural	ADJ	ADJ;SG
rural	rurales	rural	rural	ADJ	ADJ;PL
remained	permaneció	remain	permanecer	V;IND;PST;FIN	V;IND;SG;3;PST;FIN
remained	permanecieron	remain	permanecer	V;IND;PST;FIN	V;IND;PL;3;PST;FIN
decision	decision	decision	decisionr	N;SG	N;FEM;SG
decision	decisión	decision	decisión	N;SG	N;FEM;SG
certain	determinados	certain	determinado	ADJ	ADJ;MASC;PL;V.PTCP
hit	golpear	hit	golpear	V;IMP;FIN	V;NFIN
minutes	actas	minute	acta	N;PL	N;FEM;PL
minutes	minutos	minute	minuto	N;PL	N;MASC;PL
plays	obras	play	obra	N;PL	N;FEM;PL
whole	entera	whole	entero	ADJ	ADJ;FEM;SG
whole	enteras	whole	entero	ADJ	ADJ;FEM;PL
whole	enteros	whole	entero	ADJ	ADJ;MASC;PL
whole	entero	whole	entero	ADJ	ADJ;MASC;SG
lord	lord	lord	lord	N;SG	N;MASC;SG
web	web	web	web	N;SG	N;FEM;SG
web	telaraña	web	telaraña	N;SG	N;FEM;SG
decided	decidió	decide	decidir	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
operations	operaciones	operation	operación	N;PL	N;FEM;PL
function	función	function	función	N;SG	N;FEM;SG
assembly	ensamblaje	assembly	ensamblaje	N;SG	N;MASC;SG
assembly	asamblea	assembly	asamblea	N;SG	N;FEM;SG
assembly	montaje	assembly	montaje	N;SG	N;MASC;SG
security	seguridad	security	seguridad	N;SG	N;FEM;SG
uses	utiliza	use	utilizar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
operation	operación	operation	operación	N;SG	N;FEM;SG
operation	funcionamiento	operation	funcionamiento	N;SG	N;MASC;SG
successful	exitosos	successful	exitoso	ADJ	ADJ;MASC;PL
successful	exitoso	successful	exitoso	ADJ	ADJ;MASC;SG
successful	exitosa	successful	exitoso	ADJ	ADJ;FEM;SG
successful	exitosas	successful	exitoso	ADJ	ADJ;FEM;PL
legal	legales	legal	legal	ADJ	ADJ;PL
legal	jurídicas	legal	jurídico	ADJ	ADJ;FEM;PL
legal	legal	legal	legal	ADJ	ADJ;SG
legal	jurídico	legal	jurídico	ADJ	ADJ;MASC;SG
jewish	judía	jewish	judío	ADJ	ADJ;FEM;SG
staff	staff	staff	staff	N;SG	N;MASC;SG
establishments	establecimientos	establishment	establecimiento	N;PL	N;MASC;PL
goal	gol	goal	gol	N;SG	N;MASC;SG
goal	meta	goal	meta	N;SG	N;FEM;SG
goal	objetivo	goal	objetivo	N;SG	N;MASC;SG
goal	portería	goal	portería	N;SG	N;FEM;SG
agree	coincidir	agree	coincidir	V;IND;PRS;FIN	V;NFIN
agree	acordar	agree	acordar	V;IND;PRS;FIN	V;NFIN
agree	convenir	agree	convenir	V;IND;PRS;FIN	V;NFIN
bad	malas	bad	malo	ADJ	ADJ;FEM;PL
bad	malos	bad	malo	ADJ	ADJ;MASC;PL
bad	malo	bad	malo	ADJ	ADJ;MASC;SG
bad	mala	bad	malo	ADJ	ADJ;FEM;SG
attendance	asistencia	attendance	asistencia	N;SG	N;FEM;SG
nature	naturaleza	nature	naturaleza	N;SG	N;FEM;SG
nature	nature	nature	nature	N;SG	N
mount	monte	mount	monte	N;SG	N;MASC;SG
mount	montura	mount	montura	N;SG	N;FEM;SG
township	municipio	township	municipio	N;SG	N;MASC;SG
structures	estructuras	structure	estructura	N;PL	N;FEM;PL
hard	duro	hard	duro	ADJ	ADJ;MASC;SG
hard	duros	hard	duro	ADJ	ADJ;MASC;PL
hard	difícil	hard	difícil	ADJ	ADJ;SG
hard	dura	hard	duro	ADJ	ADJ;FEM;SG
saying	diciendo	say	decir	V;V.MSDR	V;V.MSDR
manager	gerente	manager	gerente	N;SG	N;SG
manager	administrador	manager	administrador	N;SG	N;MASC;SG
manager	gestor	manager	gestor	N;SG	N;MASC;SG
manager	manager	manager	manager	N;SG	N;FEM;SG
earlier	antes	earlier	antes	ADV	ADV
earlier	anteriormente	earlier	anteriormente	ADV	ADV
elections	elecciones	election	elección	N;PL	N;FEM;PL
meet	conozca	meet	conocer	V;IMP;FIN	V;IMP;SG;3;FIN
meet	conocer	meet	conocer	V;IMP;FIN	V;NFIN
box	box	box	box	N;SG	N
box	caja	box	caja	N;SG	N;FEM;SG
box	recuadro	box	recuadro	N;SG	N;MASC;SG
box	casilla	box	casilla	N;SG	N;FEM;SG
lines	líneas	line	línea	N;PL	N;FEM;PL
lines	lines	line	lín	N;PL	N
lines	lineas	line	linea	N;PL	N;FEM;PL
democratic	democrática	democratic	democrático	ADJ	ADJ;FEM;SG
democratic	democráticos	democratic	democrático	ADJ	ADJ;MASC;PL
democratic	demócrata	democratic	demócrata	ADJ	ADJ;SG
democratic	democrático	democratic	democrático	ADJ	ADJ;MASC;SG
success	exito	success	exito	N;SG	N;MASC;SG
success	éxito	success	éxito	N;SG	N;MASC;SG
singles	singles	singles	single	N;PL	N;MASC;PL
singles	solteros	singles	soltero	N;PL	N;MASC;PL
traditional	tradicionales	traditional	tradicional	ADJ	ADJ;PL
traditional	tradicional	traditional	tradicional	ADJ	ADJ;SG
rest	resto	rest	resto	N;SG	N;MASC;SG
rest	descanso	rest	descanso	N;SG	N;MASC;SG
highway	autovía	highway	autovía	N;SG	N;FEM;SG
highway	autopista	highway	autopista	N;SG	N;FEM;SG
highway	carretera	highway	carretera	N;SG	N;FEM;SG
matter	materia	matter	materia	N;SG	N;FEM;SG
particularly	particularmente	particularly	particularmente	ADV	ADV
particularly	especialmente	particularly	especialmente	ADV	ADV
wide	amplio	wide	amplio	ADJ	ADJ;MASC;SG
wide	amplia	wide	amplio	ADJ	ADJ;FEM;SG
month	mes	month	mes	N;SG	N;MASC;SG
admin	administrador	admin	administrador	N;SG	N;MASC;SG
admin	administración	admin	administración	N;SG	N;FEM;SG
cultural	culturales	cultural	cultural	ADJ	ADJ;PL
cultural	cultural	cultural	cultural	ADJ	ADJ;SG
commission	comisión	commission	comisión	N;SG	N;FEM;SG
commission	comision	commission	comision	N;SG	N;FEM;SG
plan	plano	plan	plano	N;SG	N;MASC;SG
plan	plan	plan	plan	N;SG	N;MASC;SG
practice	práctica	practice	práctica	N;SG	N;FEM;SG
command	mando	command	mando	N;SG	N;MASC;SG
command	comando	command	comando	N;SG	N;MASC;SG
command	comandancia	command	comandancia	N;SG	N;FEM;SG
nomination	candidatura	nomination	candidatura	N;SG	N;FEM;SG
nomination	nominación	nomination	nominación	N;SG	N;FEM;SG
nomination	nombramiento	nomination	nombramiento	N;SG	N;MASC;SG
parties	fiestas	party	fiesta	N;PL	N;FEM;PL
entire	enteras	entire	entero	ADJ	ADJ;FEM;PL
entire	enteros	entire	entero	ADJ	ADJ;MASC;PL
entire	entero	entire	entero	ADJ	ADJ;MASC;SG
anyone	alguien	anyone	alguien	PRO;SG	PRO;SG
anyone	cualquiera	anyone	cualquiera	PRO;SG	PRO;SG
overlaps	superposiciones	overlap	superposición	N;PL	N;FEM;PL
approximately	aproximadamente	approximately	aproximadamente	ADV	ADV
master	maestro	master	maestro	N;SG	N;MASC;SG
master	master	master	master	N;SG	N;MASC;SG
master	máster	master	máster	N;SG	N;MASC;SG
noted	observó	note	observar	V;PST;FIN	V;IND;SG;3;PST;FIN
noted	señalado	note	señalar	V;PST;FIN	V;MASC;SG;PST;V.PTCP
stop	detener	stop	detener	V;IMP;FIN	V;NFIN
stop	parar	stop	parar	V;IMP;FIN	V;NFIN
feature	característica	feature	característica	N;SG	N;FEM;SG
feature	rasgo	feature	rasgo	N;SG	N;MASC;SG
feature	largometraje	feature	largometraje	N;SG	N;MASC;SG
engine	motor	engine	motor	N;SG	N;MASC;SG
response	repuesta	response	repuesta	N;SG	N;FEM;SG
response	respuesta	response	respuesta	N;SG	N;FEM;SG
needed	necesitó	need	necesitar	V;PST;V.PTCP	V;IND;SG;3;PST;FIN
experience	experiencia	experience	experiencia	N;SG	N;FEM;SG
engineering	ingeniería	engineering	ingeniería	N;SG	N;FEM;SG
separate	separada	separate	separado	ADJ	ADJ;FEM;SG;V.PTCP
separate	separado	separate	separar	ADJ	ADJ;MASC;SG;V.PTCP
separate	separados	separate	separado	ADJ	ADJ;MASC;PL;V.PTCP
takes	toma	take	tomar	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
secretary	secretaria	secretary	secretaria	N;SG	N;FEM;SG
secretary	secretaría	secretary	secretaría	N;SG	N;FEM;SG
secretary	secretario	secretary	secretario	N;SG	N;MASC;SG
recording	grabación	recording	grabación	N;SG	N;FEM;SG
rules	normas	rule	norma	N;PL	N;FEM;PL
rules	reglas	rule	regla	N;PL	N;FEM;PL
trying	intentando	try	intentar	V;V.MSDR	V;V.MSDR
trying	probando	try	probar	V;V.MSDR	V;V.MSDR
