nicht	नहीं	nicht	नहीं	PART;NEG	PART;NEG
zeigen	दिखाएँ	zeigen	दिखा	V;NFIN	V;SBJV;PL;FIN;ACT
umgebung	वातावरण	Umgebung	वातावरण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
umgebung	परिवेश	Umgebung	परिवेश	N;NOM;FEM;SG	N;NOM;MASC;SG;3
umgebung	एनवायरनमेंट	Umgebung	एनवायरनमेंट	N;NOM;FEM;SG	N;NOM;MASC;SG;3
umgebung	पर्यावरण	Umgebung	पर्यावरण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
umgebung	परिवेश	Umgebung	परिवेश	N;NOM;FEM;SG	N;NOM;MASC;SG;3
bücher	पुस्तकें	büchern	पुस्तक	N;NOM;NEUT;PL	N;NOM;FEM;PL;3
bücher	किताबें	büchern	किताब	N;NOM;NEUT;PL	N;NOM;FEM;PL;3
entscheidung	फैसला	entscheidung	फैसला	N;NOM;FEM;SG	N;NOM;MASC;SG;3
entscheidung	निर्णय	entscheidung	निर्णय	N;NOM;FEM;SG	N;NOM;MASC;SG;3
entscheidung	निर्णय	entscheidung	निर्णय	N;NOM;FEM;SG	N;NOM;MASC;SG;3
anlage	परिशिष्ट	anlage	परिशिष्ट	N;NOM;FEM;SG	N;NOM;MASC;SG;3
anlage	संस्थापन	anlage	संस्थापन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
anlage	स्थापना	anlage	स्थापना	N;NOM;FEM;SG	N;NOM;FEM;SG;3
anlage	अधिष्ठापन	anlage	अधिष्ठापन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
anlage	संस्थापना	anlage	संस्थापना	N;NOM;FEM;SG	N;NOM;FEM;SG;3
anlage	अटैचमेंट	anlage	अटैचमेंट	N;NOM;FEM;SG	N;NOM;MASC;SG;3
anlage	संलग्नक	anlage	संलग्नक	N;NOM;FEM;SG	N;NOM;MASC;SG;3
anlage	अनुलग्नक	anlage	अनुलग्नक	N;NOM;FEM;SG	N;NOM;MASC;SG;3
schutz	आश्रय	schutz	आश्रय	N	N;NOM;MASC;SG;3
schutz	सुरक्षात्मक	schutz	सुरक्षात्मक	N	N;NOM;MASC;SG;3
schutz	संरक्षण	schutz	संरक्षण	N	N;NOM;MASC;SG;3
schutz	सुरक्षा	schutz	सुरक्षा	N	N;NOM;FEM;SG;3
lied	गाना	lied	गाना	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
eröffnet	खोला	eröffnen	खोल	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
eröffnet	खोली	eröffnen	खोल	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
rechte	सही	recht	सही	ADJ;NOM;FEM;PL	ADJ
jeweiligen	संबंधित	jeweilig	संबंधित	ADJ;NOM;MASC;PL	ADJ
unten	नीचे	unten	नीचे	ADV	ADV;NOM;MASC;SG;3
unten	नीचे	unten	नीचे	ADV	ADV;NOM;MASC;SG;3
unten	नीचे	unten	नीचे	ADV	ADV;NOM;MASC;SG;3
papst	पोप	papst	पोप	N;NOM;MASC;SG	N;NOM;MASC;SG;3
regelmäßig	नियमित	regelmäßig	नियमित	ADJ	ADJ;NOM
eltern	जनक	eltern	जनक		
ländern	देशों	ländern	देश	N;PL	N;ACC;MASC;PL;3
größe	ऊंचाई	groß	ऊंचाई	N;NOM;FEM;SG	N;NOM;FEM;SG;3
größe	ऊँचाई	groß	ऊँचाई	N;NOM;FEM;SG	N;NOM;FEM;SG;3
größe	महानता	groß	महानता	N;NOM;FEM;SG	N;NOM;FEM;SG;3
größe	विशालता	groß	विशालता	N;NOM;FEM;SG	N;NOM;FEM;SG;3
größe	आकार	groß	आकार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
größe	आकार	groß	आकार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
spricht	बोलती	sprechen	बोल	V;IND;SG;3;PRS;FIN	V;IPFV;FEM;SG;V.PTCP;ACT
spricht	बोलना	sprechen	बोल	V;IND;SG;3;PRS;FIN	V;MASC;NFIN;ACT
philosophie	दर्शन	philosophie	दर्शन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
philosophie	दर्शनशास्त्र	philosophie	दर्शनशास्त्र	N;NOM;FEM;SG	N;NOM;MASC;SG;3
vorher	पहले	vorher	पहले	ADV	ADV;NOM;MASC;SG;3
auftrag	असाइनमेंट	auftragen	असाइनमेंट	N;MASC;SG	N;NOM;MASC;SG;3
auftrag	कार्यभार	auftragen	कार्यभार	N;MASC;SG	N;NOM;MASC;SG;3
auftrag	आदेश	auftragen	आदेश	N;MASC;SG	N;NOM;MASC;SG;3
auftrag	जनादेश	auftragen	जनादेश	N;MASC;SG	N;NOM;MASC;SG;3
auftrag	मिशन	auftragen	मिशन	N;MASC;SG	N;NOM;MASC;SG;3
auftrag	क्रम	auftragen	क्रम	N;MASC;SG	N;NOM;MASC;SG;3
auftrag	ऑर्डर	auftragen	ऑर्डर	N;MASC;SG	N;NOM;MASC;SG;3
auftrag	आदेश	auftragen	आदेश	N;MASC;SG	N;NOM;MASC;SG;3
auftrag	अनुक्रम	auftragen	अनुक्रम	N;MASC;SG	N;NOM;MASC;SG;3
nein	नहींं	nein	नहींं		
verlor	खोई	verlieren	खो	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
verlor	खोया	verlieren	खो	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
denke	सोचो	denken	सोच		
brücke	ब्रिज	brücken	ब्रिज	N;NOM;FEM;SG	N;NOM;MASC;SG;3
brücke	पुल	brücken	पुल	N;NOM;FEM;SG	N;NOM;MASC;SG;3
brücke	सेतु	brücken	सेतु	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nacht	रात	nacht	रात	N	N;NOM;FEM;SG;3
nacht	रात्रि	nacht	रात्रि	N	N;NOM;FEM;SG;3
lesen	पढ़ें	lesen	पढ़	V;NFIN	V;SBJV;PL;FIN;ACT
lesen	पढ़े	lesen	पढ़े	V;NFIN	V;PFV;MASC;SG;FIN;ACT
lesen	पढ़ा	lesen	पढ	V;NFIN	V;PFV;MASC;SG;V.PTCP;ACT
lesen	पढ़ना	lesen	पढ़	V;NFIN	V;MASC;NFIN;ACT
lesen	पढना	lesen	पढ	V;NFIN	V;NFIN;ACT
idee	विचार	idee	विचार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
zweiter	दूसरा	zweit	दूसरा	ADJ	ADJ;NOM;MASC;SG
zweiter	दूसरी	zweit	दूसरा	ADJ	ADJ;NOM;FEM;SG
klein	छोटे	klein	छोटा	ADJ	ADJ;NOM;MASC;PL
klein	छोटा	klein	छोटा	ADJ	ADJ;NOM;MASC;SG
klein	छोटी	klein	छोटा	ADJ	ADJ;FEM;SG
klein	छोटे	klein	छोटा	ADJ	ADJ;NOM;MASC;PL
klein	छोटा	klein	छोटा	ADJ	ADJ;NOM;MASC;SG
klein	छोटी	klein	छोटा	ADJ	ADJ;FEM;SG
klein	नन्हा	klein	नन्हा	ADJ	ADJ;NOM;MASC;SG
klein	छोटा	klein	छोटा	ADJ	ADJ;NOM;MASC;SG
einführung	प्रस्तावना	einführung	प्रस्तावना	N;SG	N;NOM;FEM;SG;3
einführung	भूमिका	einführung	भूमिका	N;SG	N;NOM;FEM;SG;3
einführung	परिचय	einführung	परिचय	N;SG	N;NOM;MASC;SG;3
einführung	परिचयात्मक	einführung	परिचयात्मक	N;SG	N;NOM;MASC;SG;3
einführung	आरोपण	einführung	आरोपण	N;SG	N;NOM;MASC;SG;3
einführung	लांच	einführung	लांच	N;SG	N;NOM;MASC;SG;3
einführung	लॉन्च	einführung	लॉन्च	N;SG	N;NOM;MASC;SG;3
freien	मुक्त	frei	मुक्त	ADJ;NOM;PL	ADJ
zuerst	पहले	zuerst	पहले	ADV	ADV;NOM;MASC;SG;3
enzyklopädie	ज्ञानकोष	enzyklopädie	ज्ञानकोष	N;NOM;FEM;SG	N;NOM;MASC;SG;3
kind	शिशु	kind	शिशु	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
kind	बच्चा	kind	बच्चा	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
kind	संतति	kind	संतति	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
kind	बालक	kind	बालक	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
kind	बच्चा	kind	बच्चा	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
kleiner	छोटे	klein	छोटा	ADJ	ADJ;NOM;MASC;PL
kleiner	छोटा	klein	छोटा	ADJ	ADJ;NOM;MASC;SG
kleiner	छोटी	klein	छोटा	ADJ	ADJ;FEM;SG
kleiner	छोटे	klein	छोटा	ADJ	ADJ;NOM;MASC;PL
kleiner	छोटा	klein	छोटा	ADJ	ADJ;NOM;MASC;SG
kleiner	छोटी	klein	छोटा	ADJ	ADJ;FEM;SG
kleiner	छोटी	klein	छोटा	ADJ	ADJ;FEM;SG
ganzen	पूरे	ganz	पूरा	ADJ;NOM;MASC;PL	ADJ;MASC;PL
gesagt	कहा	sagen	कह	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
gesagt	बताया	sagen	बता	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
gesagt	बताई	sagen	बता	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
kampf	लड़ाई	kampfen	लड़ाई	N;SG	N;NOM;FEM;SG;3
kampf	युद्ध	kampfen	युद्ध	N;SG	N;NOM;MASC;SG;3
kampf	संघर्ष	kampfen	संघर्ष	N;SG	N;NOM;MASC;SG;3
kampf	टकराव	kampfen	टकराव	N;SG	N;NOM;MASC;SG;3
kampf	झगडा	kampfen	झगडा	N;SG	N;NOM;MASC;SG;3
kampf	लड़ाई	kampfen	लड़ाई	N;SG	N;NOM;FEM;SG;3
schwarz	काले	schwarz	काला	ADJ	ADJ;NOM;MASC;PL
schwarz	काला	schwarz	काला	ADJ	ADJ;NOM;MASC;SG
single	single	single	single		
fiel	गिरी	fallen	गिर	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
fiel	गिरे	fallen	गिर	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
forschung	अनुसंधान	forschung	अनुसंधान	N;NOM;FEM;SG	N;NOM;MASC;SG;3
forschung	शोध	forschung	शोध	N;NOM;FEM;SG	N;NOM;MASC;SG;3
wald	लकड़ी	wald	लकडी	N;NOM;MASC;SG	N;NOM;FEM;SG;3
wald	जंगल	wald	जंगल	N;NOM;MASC;SG	N;NOM;MASC;SG;3
erfolge	सफलताएँ	erfolge	सफलता	N;NOM;FEM;PL	N;NOM;FEM;PL;3
erfolge	उपलब्धियाँ	erfolge	उपलब्धि	N;NOM;FEM;PL	N;NOM;FEM;PL;3
löschung	रद्दीकरण	löschung	रद्दीकरण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
besondere	विशेष	besonder	विशेष	ADJ;NOM;FEM;PL	ADJ;NOM
besondere	खास	besonder	खास	ADJ;NOM;FEM;PL	ADJ;NOM
ergebnisse	उपलब्धियाँ	ergebnis	उपलब्धि	N;NOM;NEUT;PL	N;NOM;FEM;PL;3
ergebnisse	परिणाम	ergebnis	परिणाम	N;NOM;NEUT;PL	N;NOM;MASC;PL;3
verkauft	बेची	verkaufen	बेच	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
verkauft	बिकता	verkaufen	बिक	V;V.PTCP	V;IPFV;MASC;SG;V.PTCP;ACT
zwölf	बारह	zwölf	बारह	NUM	NUM
möglicherweise	शायद	möglicherweise	शायद	ADV	ADV
möglicherweise	शायद	möglicherweise	शायद	ADV	ADV
möglicherweise	संभवतः	möglicherweise	संभवतः	ADV	ADV
möglicherweise	संभवतः	möglicherweise	संभवतः	ADV	ADV
suche	खोज	suchen	खोज	N;NOM;FEM;SG	N;NOM;FEM;SG;3
suche	खोज	suchen	खोज	N;NOM;FEM;SG	N;NOM;FEM;SG;3
breite	चौड़ी	breit	चौड़ी	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
beziehungen	रिश्ते	beziehungen	रिश्ता	N;NOM;FEM;PL	N;NOM;MASC;PL;3
beziehungen	रिश्ते	beziehungen	रिश्ता	N;NOM;FEM;PL	N;NOM;MASC;PL;3
bewegung	मूव	bewegung	मूव		
bewegung	कसरत	bewegung	कसरत		
erfüllt	मिले	erfüllen	मिल	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
technik	तकनीक	technik	तकनीक	N;SG	N;NOM;FEM;SG;3
technik	इंजीनियरी	technik	इंजीनियरी	N;SG	N;NOM;FEM;SG;3
technik	इंजीनियरिंग	technik	इंजीनियरिंग	N;SG	N;NOM;FEM;SG;3
technik	अभियान्त्रिकी	technik	अभियान्त्रिकी	N;SG	N;NOM;MASC;SG;3
technik	तकनीक	technik	तकनीक	N;SG	N;NOM;FEM;SG;3
technik	तकनीक	technik	तकनीक	N;SG	N;NOM;FEM;SG;3
technik	प्रौद्योगिकी	technik	प्रौद्योगिकी	N;SG	N;NOM;FEM;SG;3
typ	क़िस्म	typ	कठिस्म		
entdeckt	खोजा	entdecken	खोजा	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
heimat	मातृभूमि	heimat	मातृभूमि	N;FEM;SG	N;NOM;FEM;SG;3
heimat	मुखपृष्ठ	heimat	मुखपृष्ठ	N;FEM;SG	N;NOM;MASC;SG;3
heimat	गृह	heimat	गृह	N;FEM;SG	N;NOM;MASC;SG;3
heimat	घर	heimat	घर	N;FEM;SG	N;NOM;MASC;SG;3
heimat	मातृभूमि	heimat	मातृभूमि	N;FEM;SG	N;NOM;FEM;SG;3
spielzeit	मौसम	spielzeit	मौसम	N;NOM;SG	N;NOM;MASC;SG;3
spielzeit	ऋतु	spielzeit	ऋतु	N;NOM;SG	N;NOM;FEM;SG;3
sicht	दर्शन	sechen	दर्शन	N;SG	N;NOM;MASC;SG;3
sicht	दृष्टि	sechen	दृष्टि	N;SG	N;NOM;FEM;SG;3
sicht	दृश्यता	sechen	दृश्यता	N;SG	N;NOM;FEM;SG;3
status	स्टेटस	status	स्टेटस	N	N;NOM;MASC;SG;3
status	स्थिति	status	स्थिति	N	N;NOM;FEM;SG;3
status	प्रस्थिति	status	प्रस्थिति	N	N;NOM;MASC;SG;3
entsprechenden	सम्बन्धित	entsprechend	संबन्धित	ADJ	ADJ
aufstieg	चढ़ाई	aufsteigen	चढ़ाई	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
wiki	विकि	wiki	विकि		
wiki	विक	wiki	विक		
bank	बेंच	bank	बेंच		
tor	tor	tor	tor	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
tor	गेट	tor	गेट	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
tor	द्वार	tor	द्वार	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
tor	फाटक	tor	फाटक	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
tor	गेटवे	tor	गेटवा	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
essen	खाने	essen	खा	V;NFIN	V;MASC;SG;FIN;ACT
essen	खाओ	essen	खाओ	V;NFIN	V;SBJV;SG;3;FIN;ACT
essen	खा	essen	खा	V;NFIN	V;ACT
ausstellung	प्रदर्शनी	ausstellingen	प्रदर्शनी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
ausstellung	एक्सपो	ausstellingen	एक्सपो	N;NOM;FEM;SG	N;NOM;MASC;SG;3
ausstellung	प्रदर्शनी	ausstellingen	प्रदर्शनी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
aufgabe	असाइनमेंट	aufgaben	असाइनमेंट	N;NOM;FEM;SG	N;NOM;MASC;SG;3
aufgabe	कार्यभार	aufgaben	कार्यभार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
aufgabe	कार्य	aufgaben	कार्य	N;NOM;FEM;SG	N;NOM;MASC;SG;3
aufgabe	मिशन	aufgaben	मिशन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
geld	मुद्रा	geld	मुद्रा	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
geld	पैसा	geld	पैसा	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
geld	धन	geld	धन	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
geld	नकद	geld	नकद	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
geld	नकदी	geld	नकदी	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
lösung	हल	lösung	हल	N;NOM;FEM;SG	N;NOM;MASC;SG;3
lösung	समाधान	lösung	समाधान	N;NOM;FEM;SG	N;NOM;MASC;SG;3
werbung	विज्ञापन	werbung	विज्ञापन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
werbung	विज्ञापन	werbung	विज्ञापन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
werbung	विज्ञापन	werbung	विज्ञापन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
werbung	विज्ञापन	werbung	विज्ञापन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
winter	सर्दियों	winter	सर्दी	N	N;ACC;FEM;PL;3
winter	सर्दियाँ	winter	सर्दी	N	N;NOM;FEM;PL;3
winter	सर्दी	winter	सर्दी	N	N;NOM;FEM;SG;3
winter	शीत	winter	शीत	N	N;NOM;MASC;SG;3
winter	सर्दियों	winter	सर्दी	N	N;ACC;FEM;PL;3
offensichtlich	जाहिर	offensichtlich	जाहिर	ADJ	ADJ
offensichtlich	स्पष्ट	offensichtlich	स्पष्ट	ADJ	ADJ
objekte	वस्तुएँ	objeken	वस्तु	N;NOM;NEUT;PL	N;NOM;FEM;PL;3
legte	रखी	legen	रख	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
herr	भगवान	herr	भगवान	N;NOM;MASC;SG	N;NOM;MASC;SG;3
herr	रब	herr	रब	N;NOM;MASC;SG	N;NOM;MASC;SG;3
herr	सर	herr	सर	N;NOM;MASC;SG	N;NOM;MASC;SG;3
französisch	फ्रांसीसी	französisch	फ्रांसीसी	ADJ	ADJ;NOM
allgemein	आम	allgemein	आम	ADJ	ADJ
sperre	लॉक	sperr	लॉक		
treffen	मिलें	treffen	मिल	V;NFIN	V;SBJV;FIN;ACT
nutzung	प्रयोग	nutzung	प्रयोग	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nutzung	उपयोग	nutzung	उपयोग	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nutzung	शोषण	nutzung	शोषण	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nutzung	उपयोग	nutzung	उपयोग	N;NOM;FEM;SG	N;NOM;MASC;SG;3
fällt	गिरने	fallen|fällen	गिर	V;IND;SG;3;PRS;FIN	V;NFIN;ACT
fällt	गिरना	fallen|fällen	गिर	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
führung	हिदायत	führung	हिदायत	N;NOM;FEM;SG	N;NOM;FEM;SG;3
führung	नेतृत्व	führung	नेतृत्व	N;NOM;FEM;SG	N;NOM;MASC;SG;3
bestimmte	निश्चित	bestimmt	निश्चित	ADJ;NOM;FEM;PL	ADJ;NOM
ordnung	क्रम	ordnung	क्रम	N	N;NOM;MASC;SG;3
ordnung	ऑर्डर	ordnung	ऑर्डर	N	N;NOM;MASC;SG;3
ordnung	आदेश	ordnung	आदेश	N	N;NOM;MASC;SG;3
ordnung	अनुक्रम	ordnung	अनुक्रम	N	N;NOM;MASC;SG;3
tragen	पहनें	tragen	पहन	V;NFIN	V;SBJV;PL;FIN;ACT
westlichen	पश्चिमी	westlich	पश्चिमी	ADJ;NOM;MASC;SG	ADJ
linken	शेष	link	शेष	ADJ;MASC;PL	ADJ
früheren	पिछले	früh	पिछला	ADJ	ADJ;ACC;MASC;PL
früheren	पिछला	früh	पिछला	ADJ	ADJ;NOM;MASC;SG
kraft	सामर्थ्य	krafen	सामर्थ्य		
komplett	पूरा	komplett	पूरा	ADJ	ADJ;NOM;MASC;SG
herkunft	उद्गम	herkunft	उद्गम	N;NOM;FEM;SG	N;NOM;MASC;SG;3
herkunft	मूल	herkunft	मूल	N;NOM;FEM;SG	N;NOM;MASC;SG;3
herkunft	उत्पत्ति	herkunft	उत्पत्ति	N;NOM;FEM;SG	N;NOM;FEM;SG;3
geprägt	तराशा	prägen	तराश	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
verbreitung	प्रसार	verbreitung	प्रसार	N;NOM;FEM;SG	N;NOM;MASC;SG;3
verbreitung	स्प्रेड	verbreitung	स्प्रेड	N;NOM;FEM;SG	N;NOM;MASC;SG;3
sofort	तत्काल	sofort	तत्काल	ADV	ADV
sofort	तत्काल	sofort	तत्काल	ADV	ADV
sofort	फौरन	sofort	फौरन	ADV	ADV
sofort	तुरंत	sofort	तुरंत	ADV	ADV
sofort	तत्काल	sofort	तत्काल	ADV	ADV
gesetz	कानून	gesetz	कानून	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
gesetz	विधि	gesetz	विधि	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
gesetz	एक्ट	gesetz	एक्ट	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
gesetz	अधिनियम	gesetz	अधिनियम	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
qualität	क्वालिटी	qualität	क्वालिटी	N	N;NOM;FEM;SG;3
qualität	गुणवत्ता	qualität	गुणवत्ता	N	N;NOM;FEM;SG;3
qualität	विशेषता	qualität	विशेषता	N	N;NOM;FEM;SG;3
veröffentlichung	प्रकाशित	veröffentlichung	प्रकाशित	ADJ	ADJ
galerie	गैलरी	galerie	गैलरी	N;NOM;FEM;SG	N;NOM;FEM;SG;3
galerie	गलियारा	galerie	गलियारा	N;NOM;FEM;SG	N;NOM;MASC;SG;3
galerie	दीर्घा	galerie	दीर्घा	N;NOM;FEM;SG	N;NOM;FEM;SG;3
verlassen	उजाड़	verlassen	उजाड़	V;NFIN	V;SG;FIN;ACT
verlassen	छोड़ें	verlassen	छोड़	V;NFIN	V;SBJV;PL;FIN;ACT
verlassen	छोड़	verlassen	छोड	V;NFIN	V;ACT
öffentliche	सार्वजनिक	öffentlich	सार्वजनिक	ADJ;NOM;FEM;PL	ADJ
stadion	स्टेडियम	stadion	स्टेडियम	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
moderne	आधुनिक	modern	आधुनिक	ADJ;NOM;FEM;SG	ADJ
bekommen	पाएँ	bekommen	पा	V;NFIN	V;SBJV;PL;FIN;ACT
bekommen	मिलेंगी	bekommen	मिल	V;NFIN	V;FEM;IND;SG;3;FUT;FIN;ACT
wagen	car	wagen	car		
wichtig	महत्वपूर्ण	wichtig	महत्वपूर्ण	ADJ	ADJ
leistung	निष्पादन	leistung	निष्पादन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
leistung	प्रदर्शन	leistung	प्रदर्शन	N;NOM;FEM;SG	N;NOM;MASC;SG;3
leistung	उपलब्धि	leistung	उपलब्धि	N;NOM;FEM;SG	N;NOM;FEM;SG;3
leistung	पावर	leistung	पावर	N;NOM;FEM;SG	N;NOM;FEM;SG;3
leistung	शक्ति	leistung	शक्ति	N;NOM;FEM;SG	N;NOM;FEM;SG;3
gespielt	निभाई	spielen	निभा	V;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
dieter	dieter	diet	dieter		
gott	भगवान	gott	भगवान	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gott	परमेश्वर	gott	परमेश्वर	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gott	भगवान	gott	भगवान	N;NOM;MASC;SG	N;NOM;MASC;SG;3
gott	रब	gott	रब	N;NOM;MASC;SG	N;NOM;MASC;SG;3
rat	चूहा	rat	चूहा	N	N;NOM;MASC;SG;3
rat	सलाह	rat	सलाह	N	N;NOM;FEM;SG;3
rat	मंत्रिपरिषद	rat	मंत्रिपरिषद	N	N;NOM;MASC;SG;3
rat	काउंसिल	rat	काउंसिल	N	N;NOM;FEM;SG;3
rat	परिषद	rat	परिषद	N	N;NOM;FEM;SG;3
unabhängig	स्वतंत्र	unabhängig	स्वतंत्र	ADJ	ADJ;NOM
hergestellt	बनाया	herstellen	बना	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
hergestellt	बना	herstellen	बन	V;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
tal	घाटी	tal	घाटी	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
sagt	कह	sagen	कह	V;IND;SG;3;PRS;FIN	V;FIN;ACT
sagt	कहा	sagen	कह	V;IND;SG;3;PRS;FIN	V;PFV;MASC;SG;V.PTCP;ACT
gewinnen	जीतना	gewinnen	जीत	V;NFIN	V;MASC;NFIN;ACT
oberen	ऊपरी	ober	ऊपरी	ADJ;NOM;PL	ADJ;NOM
großes	बड़ा	groß	बड़ा	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
großes	बड़ी	groß	बडा	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
sah	देखा	sehen	देख	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
sah	देखी	sehen	देख	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
sah	देखा	sehen	देख	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
sah	देखी	sehen	देख	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
sah	देखा	sehen	देख	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;V.PTCP;ACT
sah	देखी	sehen	देख	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;V.PTCP;ACT
natur	natur	natur	natur		
gelände	मैदान	gelände	मैदान	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
archiv	संग्रह	archiv	संग्रह	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
archiv	अभिलेखागार	archiv	अभिलेखागार	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
archiv	अभिलेख	archiv	अभिलेख	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
archiv	अभिलेखागार	archiv	अभिलेखागार	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
archiv	अभिलेख	archiv	अभिलेख	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
zustand	औकात	zustand	औकात		
bach	ब्रुक	bachen	ब्रुक		
schön	सुंदर	schön	सुन्दर	ADJ	ADJ
schön	खूबसूरत	schön	खूबसूरत	ADJ	ADJ
mensch	इंसानो	mensch	इंसानो	N;SG	N;NOM;MASC;SG;3
mensch	मनुष्य	mensch	मनुष्य	N;SG	N;NOM;MASC;SG;3
mensch	मानव	mensch	मानव	N;SG	N;NOM;MASC;SG;3
mensch	इंसान	mensch	इंसान	N;SG	N;NOM;MASC;SG;3
mensch	पुरुष	mensch	पुरुष	N;SG	N;NOM;MASC;SG;3
mensch	मनुष्य	mensch	मनुष्य	N;SG	N;NOM;MASC;SG;3
mensch	आदमी	mensch	आदमी	N;SG	N;NOM;MASC;SG;3
mensch	इन्सान	mensch	इन्सान	N;SG	N;NOM;MASC;SG;3
zukunft	भविष्य	zukunft	भविष्य	N	N;NOM;MASC;SG;3
bern	बर्न	bern	बर्न		
revolution	क्रांति	revolution	क्रांति	N;NOM;FEM;SG	N;NOM;FEM;SG;3
revolution	क्रान्ति	revolution	क्रान्ति	N;NOM;FEM;SG	N;NOM;FEM;SG;3
straßen	सड़कें	straß	सड़क	N;NOM;PL	N;NOM;FEM;PL;3
straßen	सड़कें	straß	सड़क	N;NOM;PL	N;NOM;FEM;PL;3
straßen	गलियां	straß	गली	N;NOM;PL	N;NOM;FEM;PL;3
