den	den	den	den	PRO;DEF;MASC+FEM;SG	PRO;SG;3
vägen	vei	väg	vei	N;NOM;DEF;MASC+FEM;SG	N
gammal	gammelt	gammal	gammel	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
gammal	gammal	gammal	gammal	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;SG
tryckta	trykte	trycka	trykkje	ADJ;NOM;PL;PST;V.PTCP	ADJ;PL;V.PTCP
centrum	downtown	centrum	downtown	N;NOM;INDF;NEUT;SG	N
centrum	sentrum	centrum	sentrum	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
centrum	centrum	centrum	centrum	N;NOM;INDF;NEUT;SG	N
centrum	sentrum	centrum	sentrum	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
centrum	center	centrum	cente	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
centrum	senter	centrum	senter	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
centrum	senter	centrum	senter	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
centrum	centre	centrum	cente	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
hemsida	nettsted	hemsida	nettsted	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
hemsida	nettside	hemsida	nettside	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
hemsida	hjemmeside	hemsida	hjemmeside	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
spelat	spilte	spela	spilte	V;V.CVB;ACT	V;IND;PST;FIN
studier	studier	studie	studie	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
filmer	filmer	filma	film	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
filmer	filmer	filma	film	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
byn	bygda	byn	bygd	N;NOM;DEF;MASC+FEM;SG	N;DEF;FEM;SG
ribeirão	ribeirão	ribeirão	ribeirão	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
carolina	carolina	carolin	carolin	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ben	knokler	ben	knokle	N;NOM;INDF;NEUT;PL	N;INDF;FEM;PL
roller	roller	roll	roller	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
uppdrag	oppdrag	uppdrag	oppdrag	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
uppdrag	tilordning	uppdrag	tilordning	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
uppdrag	misjon	uppdrag	misjon	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
uppdrag	mission	uppdrag	mission	N;NOM;INDF;NEUT;SG	N
uppdrag	oppdrag	uppdrag	oppdrag	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
rivière	rivière	rivière	rivière	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
kanal	canal	kanal	canal	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kanal	kanal	kanal	kanal	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kanal	channel	kanal	channel	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ålder	åge	ålder	åge	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ålder	age	ålder	age	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
ålder	alder	ålder	alder	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
fjärde	fjerde	fyra	fjerde	ADJ;NOM	ADJ;DEF;SG
club	club	club	club	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
club	klubb	club	klubb	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
flertal	multippel	flertal	multippel	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
borde	skulle	böra	skulle	V;IND;PST;FIN;ACT	V;IND;PST;FIN
borde	burde	böra	burde	V;IND;PST;FIN;ACT	V;IND;PST;FIN
konstnär	maler	konstnär	male	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
konstnär	kunstner	konstnär	kunstner	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
konstnär	artist	konstnär	artist	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
stil	stil	stil	stil	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
troligen	antageligvis	troligen	antageligvis	ADV	ADV
troligen	sannsynligvis	troligen	sannsynligvis	ADV	ADV
troligen	sannsynligvis	troligen	sannsynligvis	ADV	ADV
ändå	framleis	ändå	framleis	ADV	ADV
ändå	likevel	ändå	likevel	ADV	ADV
ändå	enda	ändå	enda	ADV	ADV
ändå	enno	ändå	enno	ADV	ADV
ändå	likevel	ändå	likevel	ADV	ADV
ändå	ennå	ändå	ennå	ADV	ADV
brazzaville	brazzaville	brazzaville	brazzavilie	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
die	die	du	die	N;NOM;INDF;NEUT;SG	N;INDF
die	dø	du	dø	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
isla	isla	isla	isle	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
oued	oued	oued	oued	N	N;INDF;MASC;SG
gräs	kjele	gräs	kjele	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
gräs	pot	gräs	pot	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
gräs	grass	gräs	grass	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
gräs	gress	gräs	gress	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
gräs	ugress	gräs	ugress	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
gräs	weed	gräs	weed	N;NOM;INDF;NEUT;SG	N
gräs	gress	gräs	gress	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
port	port	port	port	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
port	havn	port	havn	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
mine	gruve	man	gruve	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
mst	mst	mst	mst	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
material	materiale	material	materiale	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
material	materialer	material	materiale	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
don	don	don	don	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
norska	norsk	norska	norsk	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
norska	nordmann	norska	nordmann	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
norska	norwegian	norska	norwegian	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
folk	personer	folk	person	N;NOM;INDF;NEUT;PL	N;INDF;FEM;PL
folk	personar	folk	person	N;NOM;INDF;NEUT;PL	N;INDF;MASC;PL
folk	folk	folk	folk	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;PL
skogar	skoger	skoga	skoge	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
skogar	skoger	skoga	skoge	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
monte	monte	monte	monte	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
cup	kopp	cup	kopp	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
cup	beger	cup	bege	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
cup	cup	cup	cup	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
norte	norte	norte	norte	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
längd	varighet	längd	varighet	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
längd	lengde	längd	lengje	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
längd	høyde	längd	høyde	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
skillnad	forskjell	skillnad	forskjell	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
petit	petit	petit	petit	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
karta	kart	karta	kart	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
möjligt	mulig	möjlig	mulig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
armén	army	arm	army	N;NOM;DEF;MASC+FEM;SG	N
armén	hæren	arm	hær	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
program	program	program	program	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
visade	viste	visa	vise	V;IND;PST;FIN;ACT	V;IND;PST;FIN
svårt	hard	svår	hard	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;SG
svårt	vanskeleg	svår	vanskeleg	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
svårt	hardt	svår	hard	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
svårt	vanskelig	svår	vanskelig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
svårt	vanskelig	svår	vanskelig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
sporsäcksvampar	sekksporesopper	sporsäcksvamp	sekksporesoppe	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
star	stjerne	star	stjerne	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
mor	mor	mor	mor	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
mor	moder	mor	moder	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mor	mother	mor	mothe	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
heller	heller	heller	heller	ADV	ADV
green	grønn	gre	grønn	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
king	konge	king	konge	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
king	dobbelseng	king	dobbelseng	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
beach	beach	beach	beach	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
beach	strand	beach	strand	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
aktiva	aktive	aktiv	aktiv	ADJ;NOM;PL	ADJ;PL
max	max	max	max	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
max	maks	max	maks	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
list	liste	list	liste	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
list	list	list	list	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
list	slu	list	slu	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
hösten	høsten	höst	høst	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
hösten	fallet	höst	fall	N;NOM;DEF;MASC+FEM;SG	N;DEF;NEUT;SG
hösten	høsten	höst	høst	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
lärare	læremester	lärare	læremeste	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
samhället	samfunnet	samhälle	samfunn	N;NOM;DEF;NEUT;SG	N;DEF;NEUT;SG
goals	mål	goal	mål	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
goals	goals	goal	goal	N;NOM;INDF;MASC+FEM;SG	N;INDF;SG
https	https	httpa	https	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
brons	bronse	brons	bronse	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
säger	sier	säga	seie	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
säger	sier	säga	seie	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
känt	kjent	känd	kjent	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG
lagen	loven	lag	lov	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
svart	svart	svart	svart	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
vapen	favn	vapen	favn	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
vapen	armer	vapen	arm	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
vapen	arms	vapen	arm	N;NOM;INDF;NEUT;SG	N
vapen	skytevåpen	vapen	skytevåp	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
vapen	pistoler	vapen	pistol	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
städer	byer	stad	by	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
val	utvalg	val	utvalg	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
val	val	val	val	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
val	valg	val	valg	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
val	valg	val	valg	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
val	hval	val	hval	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
simon	simon	simon	simon	N;NOM;INDF;MASC+FEM;SG	N;MASC
simon	simón	simon	simón	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
inre	indre	inre	indre	ADJ;NOM;CMPR	ADJ;CMPR
harry	harry	harry	harry	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sten	sten	sten	sten	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sten	bergart	sten	bergar	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sten	stein	sten	stein	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sten	rock	sten	rock	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mängd	mengde	mängd	mengde	N;NOM;INDF;MASC+FEM;SG	N
mängd	beløp	mängd	beløp	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
mängd	mengde	mängd	mengde	N;NOM;INDF;MASC+FEM;SG	N
mängd	antall	mängd	antall	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
mängd	kvantitet	mängd	kvantitet	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
växte	vokste	växa	vokst	V;IND;PST;FIN;ACT	V;IND;PST;FIN
månader	måneder	månad	måned	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;PL
tom	tomt	tom	tomt	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
hålla	holde	hålla	holde	V;NFIN;ACT	V;IMP;FIN
platsen	beliggenhet	plats	beliggenhet	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
skriver	skriver	skriva	skrive	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
skriver	skriver	skriva	skrive	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
finalen	finalen	final	finale	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
finalen	finalen	final	finale	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
ursprungliga	originale	ursprunglig	original	ADJ;NOM;PL	ADJ;PL
ursprungliga	opprinnelige	ursprunglig	opprinnelig	ADJ;NOM;PL	ADJ;PL
vanligt	felles	vanlig	felles	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
vanligt	vanlig	vanlig	vanlig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
vanligt	vanlig	vanlig	vanlig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
kronor	kroner	krona	krone	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
viktig	viktig	viktig	viktig	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG
dig	deg	du	du	PRO;ACC;DEF;MASC+FEM;SG	PRO;HUM;ACC;SG;2
match	spill	match	spill	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
match	kampstart	match	kampstart	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
match	game	match	game	N;NOM;INDF;MASC+FEM;SG	N
match	fyrstikk	match	fyrstikk	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
match	treff	match	treff	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
match	match	match	match	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
föreningen	association	förening	association	N;NOM;DEF;MASC+FEM;SG	N
parc	parc	parc	parc	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
kompositör	komponist	kompositör	komponist	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
kompositör	publiseringsverktøy	kompositör	publiseringsverktøy	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
livet	livet	liv	liv	N;NOM;DEF;NEUT;SG	N;DEF;NEUT;SG
sar	sar	sa	sjå	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
regional	regional	regional	regional	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
datum	årstall	datum	årstall	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
datum	dato	datum	dato	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
datum	date	datum	date	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
datum	dato	datum	dato	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
datum	stevnemøter	datum	stevnemøte	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
tekniska	tekniske	teknisk	teknisk	ADJ;NOM;PL	ADJ;PL
tekniska	teknologiske	teknisk	teknologisk	ADJ;NOM;PL	ADJ;PL
djup	dybde	djup	dybde	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
djup	dype	djup	dype	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
djup	dyp	djup	dyp	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
djup	dypt	djup	dyp	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
djup	deep	djup	deep	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
castle	castle	castle	castle	N;NOM;INDF;NEUT;SG	N
castle	slott	castle	slott	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
medeltida	middelalderske	medeltida	middelaldersk	ADJ;NOM	ADJ;PL
villa	villa	villa	ville	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
lätt	enkel	lätt	enkel	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;SG
lätt	enkelt	lätt	enkel	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
lätt	rolig	lätt	rolig	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
lätt	lett	lätt	lett	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;NEUT;SG
titel	tittel	titel	tittel	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
flygplats	lufthavn	flygpla	lufthavn	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
flygplats	flyplass	flygpla	flyplass	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
makedonska	makedonsk	makedonsk	makedonsk	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
krig	krig	krig	krig	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
skog	woods	skog	woods	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
skog	skog	skog	skog	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
beroende	avhengige	beroende	avhengig	ADJ;NOM;PRS;V.PTCP	ADJ;PL
beroende	avhengig	beroende	avhengig	ADJ;NOM;PRS;V.PTCP	ADJ;INDF;NEUT;SG
beroende	avhengige	beroende	avhengig	ADJ;NOM;PRS;V.PTCP	ADJ;PL
beroende	hekta	beroende	hekte	ADJ;NOM;PRS;V.PTCP	ADJ;INDF;SG;V.PTCP
beroende	avhengig	beroende	avhengig	ADJ;NOM;PRS;V.PTCP	ADJ;INDF;NEUT;SG
leder	fører	leda	føre	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
texten	teksten	text	tekst	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
utveckling	utvikling	utveckling	utvikling	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
utveckling	evolusjon	utveckling	evolusjon	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
spanska	spansk	spanska	spansk	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
historik	historikk	historik	historikk	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
historik	history	historik	history	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
historik	historie	historik	historie	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
övre	øvre	övre	øvre	ADJ;NOM;CMPR	ADJ;CMPR
läst	lest	läsa	lese	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	ADJ;INDF;NEUT;SG;V.PTCP
lägga	legg	lägga	leggje	V;IMP;FIN;ACT	V;IMP;FIN
music	music	music	music	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
music	musikk	music	musikk	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
dagen	dagen	dag	dag	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
pris	pris	pris	pris	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
pris	premie	pris	premie	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
prefektur	prefektur	prefektur	prefektur	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
centre	senter	cena	senter	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
centre	centre	cena	cente	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
öarna	øyer	öare	øyer	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
frågan	spørsmålet	fråga	spørsmål	N;NOM;DEF;MASC+FEM;SG	N;DEF;NEUT;SG
nusa	nusa	nusa	nuse	N	N
arkitekt	arkitekt	arkitekt	arkitekt	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
vem	kven	vem	kven	PRO;INDF;MASC+FEM;SG	PRO;HUM
tack	takk	tack	takk	N;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
final	finale	final	finale	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
final	final	final	final	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
fjärilar	sommerfugler	fjäril	sommerfugle	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
gård	farm	gård	farm	N;NOM;INDF;MASC+FEM;SG	N;INDF
gård	gård	gård	gård	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
gård	bondegård	gård	bondegård	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sidor	sider	sida	side	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;PL
jorden	jorden	jord	jord	N;NOM;DEF;MASC+FEM;SG	N;DEF;MASC;SG
jorden	jorda	jord	jord	N;NOM;DEF;MASC+FEM;SG	N;DEF;FEM;SG
jorden	earth	jord	earth	N;NOM;DEF;MASC+FEM;SG	N
yngre	yngre	ung	ung	ADJ;NOM;CMPR	ADJ;CMPR
producent	produsent	producent	produsent	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
drottning	dronning	drottning	dronning	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
utbildning	trening	utbildning	trening	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
utbildning	opplæring	utbildning	opplæring	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
utbildning	utdannelse	utbildning	utdannelse	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
utbildning	utdanning	utbildning	utdanning	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
igenom	gjennom	igenom	gjennom	ADP	ADP
igenom	igjennom	igenom	igjennom	ADP	ADP
konst	art	konst	art	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
konst	kunst	konst	kunst	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
hall	hall	hall	hall	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
valde	valgte	välja	velge	V;IND;PST;FIN;ACT	V;IND;PST;FIN
italienska	italienske	italiensk	italiensk	ADJ;NOM;PL	ADJ;PL
hör	hører	höra	høre	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
landskap	landskap	landskap	landskap	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
landskap	landskap	landskap	landskap	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
landskap	liggende	landskap	liggende	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
återvände	returnerte	återvände	returnere	V;IND;PST;FIN;ACT	V;IND;PST;FIN
mästare	mester	mäst	mester	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mästare	mestre	mäst	mester	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
mästare	master	mäst	mast	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
mästare	herre	mäst	herre	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mästare	mester	mäst	mester	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mästare	champion	mäst	champion	N;NOM;INDF;MASC+FEM;SG	N;INDF;SG
mästare	mestere	mäst	mestere	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mästare	champions	mäst	champions	N;NOM;INDF;MASC+FEM;SG	N
station	stasjon	station	stasjon	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
station	holdeplass	station	holdeplass	N;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
fågel	fugl	fågel	fugl	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
fågel	bird	fågel	bird	N;NOM;INDF;MASC+FEM;SG	N
sports	sport	sport	sport	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
sports	idrett	sport	idrett	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
röst	voice	röst	voice	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
röst	røst	röst	røst	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
röst	stemme	röst	stemme	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
lokala	lokale	lokal	lokal	ADJ;NOM;PL	ADJ;PL
precis	akkurat	precis	akkurat	ADV	ADV
precis	nettopp	precis	nettopp	ADV	ADV
piano	piano	piano	piano	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
hölls	held	hålla	halde	V;IND;FIN;PASS	V;IND;PRS;FIN
spring	run	spring	run	N;NOM;INDF;MASC+FEM;SG	N;INDF;SG
spring	kjør	spring	kjør	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
spring	løp	spring	løp	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
uppslagsbok	encyklopedi	uppslagsbok	encyklopedi	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
uppslagsbok	leksikon	uppslagsbok	leksikon	N;NOM;INDF;MASC+FEM;SG	N;INDF;NEUT;SG
samarbete	samarbeid	samarbete	samarbeid	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
samarbete	samarbeid	samarbete	samarbeid	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
hockey	hockey	hockey	hockey	N;NOM;INDF;MASC+FEM;SG	N
försök	forsøk	försök	forsøk	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;SG
försök	try	försök	try	N;NOM;INDF;NEUT;SG	N
