daha	دیگر	daha	دیگر	ADV	ADV
madalya	مدال	madalya	مدال	N;NOM;SG;3	N;SG
madalya	مدال	madalya	مدال	N;NOM;SG;3	N;SG
azerbaycan	آذربایجان	azerbaycan	آذربایجان	N;NOM;SG;3	N;SG
hakları	حقوق	hak	حق	N;ACC;PL;3	N;PL
sayfası	صفحۀ	sayfa	صفحۀ	N;NOM;SG;3	N;SG
sayfası	صفحه	sayfa	صفحه	N;NOM;SG;3	N;SG
değişiklik	دگرگونی	değişiklik	دگرگونی	N;NOM;SG;3	N;SG
değişiklik	تغییر	değişiklik	تغییر	N;NOM;SG;3	N;SG
kulübü	باشگاه	kulüb	باشگاه	N;NOM;SG;3	N;SG
kulübü	چماق	kulüb	چماق	N;NOM;SG;3	N;SG
kulübü	کلاب	kulüb	کلاب	N;NOM;SG;3	N;SG
kulübü	کلوب	kulüb	کلوب	N;NOM;SG;3	N;SG
kulübü	کلوپ	kulüb	کلوپ	N;NOM;SG;3	N;SG
tanımlar	تعاریف	tanım	تعاریف	N;NOM;PL;3	N;PL
fark	خالدار	fark	خالدار	N;NOM;SG;3	N;SG
fark	فهم	fark	فهم	N;NOM;SG;3	N;SG
fark	تحقق	fark	تحقق	N;NOM;SG;3	N;SG
fark	تفاوت	fark	تفاوت	N;NOM;SG;3	N;SG
fark	فرق	fark	فرق	N;NOM;SG;3	N;SG
bölgede	منطقه	bölge	منطقه	N;ESS;SG;3	N;SG
bölgede	ناحیه	bölge	ناحیه	N;ESS;SG;3	N;SG
bölgede	استان	bölge	استان	N;ESS;SG;3	N;SG
bölgede	منطقۀ	bölge	منطقۀ	N;ESS;SG;3	N;SG
kanada	کانادا	kana	کانادا	N;ESS;SG;3	N;SG
ilçesi	منطقه	ilçe	منطقه	N;NOM;SG;3	N;SG
ilçesi	ناحیه	ilçe	ناحیه	N;NOM;SG;3	N;SG
ilçesi	بخش	ilçe	بخش	N;NOM;SG;3	N;SG
yalnızca	تنها	yalnızca	تنها	ADV	ADV
baş	هد	baş	هد	N;NOM;SG;3	N;SG
baş	سر	baş	سر	N;NOM;SG;3	N;SG
yaşam	زندگى	yaşam	زندگى	N;NOM;SG;3	N;SG
yaşam	زندگی	yaşam	زندگی	N;NOM;SG;3	N;SG
kötü	شر	kötü	شر		
festivali	عیدی	festivali	عیدی	N;ACC;SG;3	N;SG
festivali	جشنواره	festivali	جشنواره	N;ACC;SG;3	N;SG
festivali	فست	festivali	فست	N;ACC;SG;3	N;SG
isim	اسم	isim	اسم	N;NOM;SG;3	N;SG
isim	موصوف	isim	موصوف	N;NOM;SG;3	N;SG
isim	نام	isim	نام	N;NOM;SG;3	N;SG
hale	hale	hal	hale		
gece	شبی	gece	شب	N;NOM;SG;3	N;SG
gece	شب	gece	شب	N;NOM;SG;3	N;SG
emin	دلگرم	emin	دلگرم	ADJ	ADJ
bilgiler	اطلاعات	bilgi	اطلاع	N;NOM;PL;3	N;PL
bilgiler	اطلاعات	bilgi	اطلاع	N;NOM;PL;3	N;PL
bilgiler	معلومات	bilgi	معلوم	N;NOM;PL;3	N;PL
sonuç	نتیجۀ	sonuç	نتیجۀ		
site	سایت	sit	سایت	N;NOM;SG;3	N;SG
site	وبگاه	sit	وبگاه	N;NOM;SG;3	N;SG
site	وبسایت	sit	وبسایت	N;NOM;SG;3	N;SG
site	سایت	sit	سایت	N;NOM;SG;3	N;SG
site	رومیزی	sit	None	N;NOM;SG;3	N;SG
sınıf	رده	sınıf	رده	N;NOM;SG;3	N;SG
sınıf	ردۀ	sınıf	ردۀ	N;NOM;SG;3	N;SG
sınıf	کلاس	sınıf	کلاس	N;NOM;SG;3	N;SG
sınıf	class	sınıf	class	N;NOM;SG;3	N;SG
sınıf	کلاسی	sınıf	کلاسی	N;NOM;SG;3	N;SG
dizisi	دنباله	dizi	دنباله	N;NOM;SG;3	N;SG
seçildi	برگزیده	seç	برگزیده	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;3;V.PTCP
seçildi	برگزیده	seç	برگزیده	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;3;V.PTCP
oyunları	بازیهای	oyun	None	N;ACC;PL;3	N;PL
oyunları	بازیها	oyun	بازی	N;ACC;PL;3	N;PL
yaş	age	yaş	age		
bilinir	دانسته	bil	دانست#دان	V;IPFV;IND;SG;3;POS;PASS	V;SG;3;V.PTCP
park	park	park	park	N;NOM;SG;3	N;SG
park	پارک	park	None	N;NOM;SG;3	N;SG
park	پارکینگ	park	پارکینگ	N;NOM;SG;3	N;SG
siyasetçi	سیاستمدار	siyasetçi	سیاستمدار	N;NOM;SG;3	N;SG
edebiyat	ادبی	edebiyat	ادبی	N;NOM;SG;3	N;SG
edebiyat	ادبیات	edebiyat	ادبیات	N;NOM;SG;3	N;SG
edebiyat	literature	edebiyat	literature	N;NOM;SG;3	N;SG
müzesi	موزه	müze	موزه	N;ACC;SG;3	N;SG
haber	نیوز	haber	نیوز	N;NOM;SG;3	N;SG
haber	خبر	haber	خبر	N;NOM;SG;3	N;SG
haber	خبری	haber	None	N;NOM;SG;3	N;SG
annesi	مادر	anne	مادر	N;NOM;SG;3	N;SG
annesi	مادری	anne	مادر	N;NOM;SG;3	N;SG
yönetimi	مدیریت	yönetim	مدیریت	N;NOM;SG;3	N;SG
bazen	گاهی	bazen	گاه	ADV	ADV
doğum	تولد	doğum	تولد	N;NOM;SG;3	N;SG
doğum	ولادت	doğum	None	N;NOM;SG;3	N;SG
doğum	تولد	doğum	تولد	N;NOM;SG;3	N;SG
doğum	زادروز	doğum	زادروز	N;NOM;SG;3	N;SG
doğum	زایشگاه	doğum	زایشگاه	N;NOM;SG;3	N;SG
güvenlik	امنیتی	güvenlik	امنیتی	N;NOM;SG;3	N;SG
güvenlik	حراست	güvenlik	حراست	N;NOM;SG;3	N;SG
güvenlik	امنیت	güvenlik	امنیت	N;NOM;SG;3	N;SG
güvenlik	سلامت	güvenlik	سلامت	N;NOM;SG;3	N;SG
güvenlik	امن	güvenlik	None	N;NOM;SG;3	N;SG
güvenlik	امنیت	güvenlik	امنیت	N;NOM;SG;3	N;SG
güvenlik	ایمنی	güvenlik	ایمنی	N;NOM;SG;3	N;SG
başkenti	پایتخت	başkent	پایتخت	N;NOM;SG;3	N;SG
başkenti	سرمایه	başkent	سرمایه	N;NOM;SG;3	N;SG
hala	همچنان	hala	همچنان	ADV	ADV
hala	هنوزم	hala	هنوزم	ADV	ADV
hala	هنوز	hala	هنوز	ADV	ADV
camii	مسجد	camii	مسجد	N;NOM;SG;3	N;SG
camii	مسجدی	camii	مسجدی	N;NOM;SG;3	N;SG
derneği	انجمن	dernek	انجمن	N;NOM;SG;3	N;SG
enstitüsü	موسسه	enstitü	None	N;NOM;SG;3	N;SG
enstitüsü	مؤسسه	enstitü	مؤسسه	N;NOM;SG;3	N;SG
enstitüsü	انستیتو	enstitü	انستیتو	N;NOM;SG;3	N;SG
sonradan	بعدا	sonradan	بعداً		
öğretim	دستورالعمل	öğretim	دستورالعمل	N;NOM;SG;3	N;SG
öğretim	تدریس	öğretim	تدریس	N;NOM;SG;3	N;SG
öğretim	آموزش	öğretim	آموزش	N;NOM;SG;3	N;SG
dikkat	توجه	dikkat	توجه	N;NOM;SG;3	N;SG
takip	following	takip	following		
kanalı	کانال	kanalı	None	N;ACC;SG;3	N;SG
kanalı	مجرا	kanalı	None	N;ACC;SG;3	N;SG
kanalı	مجرای	kanalı	None	N;ACC;SG;3	N;SG
kanalı	کانال	kanalı	None	N;ACC;SG;3	N;SG
kanalı	مجرا	kanalı	None	N;ACC;SG;3	N;SG
kanalı	مجرای	kanalı	None	N;ACC;SG;3	N;SG
kanalı	چنل	kanalı	چنل	N;ACC;SG;3	N;SG
kanalı	channel	kanalı	channel	N;ACC;SG;3	N;SG
tasarımı	طراحی	tasarım	طراحی	N;ACC;SG;3	N;SG
aşk	دوست	aşk	دوست	N;NOM;SG;3	N;SG
aşk	عشق	aşk	عشق	N;NOM;SG;3	N;SG
aşk	عشقی	aşk	None	N;NOM;SG;3	N;SG
aşk	عاشق	aşk	عاشق	N;NOM;SG;3	N;SG
#aaa	#aaa	#aaa	#aaa		
adında	نامدار	ad	نامدار	N;ESS;SG;3	N;SG
etkisi	ضربه	etki	ضربه	N;NOM;SG;3	N;SG
etkisi	اصابت	etki	اصابت	N;NOM;SG;3	N;SG
etkisi	برخوردی	etki	برخوردی	N;NOM;SG;3	N;SG
etkisi	برخورد	etki	برخورد	N;NOM;SG;3	N;SG
etkisi	تاثیر	etki	None	N;NOM;SG;3	N;SG
etkisi	تأثیر	etki	تأثیر	N;NOM;SG;3	N;SG
etkisi	نفوذ	etki	نفوذ	N;NOM;SG;3	N;SG
etkisi	اثر	etki	اثر	N;NOM;SG;3	N;SG
etkisi	جلوه	etki	جلوه	N;NOM;SG;3	N;SG
etkisi	تأثیر	etki	تأثیر	N;NOM;SG;3	N;SG
yeşil	سبز	yeşil	سبز	ADJ	ADJ
grand	گرند	grand	گشت#گرد	N;NOM;SG;3	N;SG
grand	گراند	grand	گراند#گران	N;NOM;SG;3	N;SG
ailesi	فامیل	aile	فامیل	N;NOM;SG;3	N;SG
ailesi	خانوادگی	aile	خانوادگی	N;NOM;SG;3	N;SG
ailesi	خانواده	aile	خانواده	N;NOM;SG;3	N;SG
insanlar	انسانها	insan	انسان	N;NOM;PL;3	N;PL
insanlar	افراد	insan	فرد	N;NOM;PL;3	N;PL
insanlar	مردمان	insan	مردم	N;NOM;PL;3	N;PL
insanlar	آدمها	insan	آدم	N;NOM;PL;3	N;PL
parçası	جزء	parça	جزء	N;NOM;SG;3	N;SG
parçası	قسمت	parça	قسمت	N;NOM;SG;3	N;SG
parçası	پارت	parça	پارت	N;NOM;SG;3	N;SG
eğitimi	آموزش	eğitim	آموزش	N;ACC;SG;3	N;SG
eğitimi	تمرین	eğitim	تمرین	N;ACC;SG;3	N;SG
eğitimi	تعلیم	eğitim	تعلیم	N;ACC;SG;3	N;SG
eğitimi	اموزش	eğitim	اموزش	N;ACC;SG;3	N;SG
bilgisayar	رایانه	bilgisayar	رایانه	N;NOM;SG;3	N;SG
bilgisayar	کامپیوتر	bilgisayar	کامپیو	N;NOM;SG;3	N;SG
bilgisayar	رایانه	bilgisayar	رایانه	N;NOM;SG;3	N;SG
bilgisayar	کامپیوتر	bilgisayar	کامپیو	N;NOM;SG;3	N;SG
sınırları	مرزهای	sınır	مرز	N;NOM;PL;3	N;PL
sınırları	مرزها	sınır	مرز	N;NOM;PL;3	N;PL
sınırları	محدودیتها	sınır	محدودیت	N;NOM;PL;3	N;PL
parlaklık	درخشندگی	parlaklık	درخشندگی	N;NOM;SG;3	N;SG
parlaklık	تابشی	parlaklık	تابشی	N;NOM;SG;3	N;SG
parlaklık	درخشش	parlaklık	درخشش	N;NOM;SG;3	N;SG
parlaklık	روشنی	parlaklık	روشن	N;NOM;SG;3	N;SG
parlaklık	روشنایی	parlaklık	None	N;NOM;SG;3	N;SG
sistem	سامانه	sistem	سامانه	N;NOM;SG;3	N;SG
sistem	سیستم	sistem	سیستم	N;NOM;SG;3	N;SG
şimdi	اکنون	şimdi	اکنون	ADV	ADV
şimdi	الان	şimdi	الان	ADV	ADV
şimdi	حالا	şimdi	حالا	ADV	ADV
amacı	مقصود	amaç	مقصود	N;NOM;SG;3	N;SG
amacı	هدفی	amaç	هدفی	N;NOM;SG;3	N;SG
özellikleri	مشخصات	özellik	مشخصه	N;NOM;PL;3	N;PL
özellikleri	ویژگیها	özellik	ویژگی	N;NOM;PL;3	N;PL
özellikleri	ویژگیهای	özellik	ویژگی	N;NOM;PL;3	N;PL
özellikleri	ویژگیها	özellik	ویژگی	N;NOM;PL;3	N;PL
özellikleri	ویژگیهای	özellik	ویژگی	N;NOM;PL;3	N;PL
sovyetler	شوراها	sovyet	شورا	N;NOM;PL;3	N;PL
kişilik	شخصیت	kişilik	شخصیت	N;NOM;SG;3	N;SG
kişilik	شخصیتی	kişilik	شخصیت	N;NOM;SG;3	N;SG
adası	آیلند	ada	آیلند	N;NOM;SG;3	N;SG
adası	جزیره	ada	جزیره	N;NOM;SG;3	N;SG
alınan	گرفته	al	گرفت#گیر	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;3;V.PTCP
federasyonu	فدراسیون	federasyon	فدراسیون	N;NOM;SG;3	N;SG
uyum	هارمونی	uyum	هارمونی	N;NOM;SG;3	N;SG
uyum	هماهنگی	uyum	هماهنگی	N;NOM;SG;3	N;SG
öncesi	pre	önce	pre	N;NOM;SG;3	N;SG
programı	برنامۀ	program	برنامۀ	N;ACC;SG;3	N;SG
programı	پروگرام	program	پروگرام	N;ACC;SG;3	N;SG
programı	برنامه	program	برنامه	N;ACC;SG;3	N;SG
programı	برنامه	program	برنامه	N;ACC;SG;3	N;SG
programı	برنامه	program	برنامه	N;ACC;SG;3	N;SG
programı	زمانبندی	program	زمانبندی	N;ACC;SG;3	N;SG
resimleri	تصاویر	resim	تصویر	N;NOM;PL;3	N;PL
resimleri	عکسها	resim	عکس	N;NOM;PL;3	N;PL
yapısı	ساختار	yapı	ساختار	N;NOM;SG;3	N;SG
yapısı	سازه	yapı	سازه	N;NOM;SG;3	N;SG
öne	بوست	ön	بوست		
iletişim	ارتباط	iletiş	ارتباط	N;NOM;SG;3	N;SG
iletişim	مکاتبه	iletiş	مکاتبه	N;NOM;SG;3	N;SG
iletişim	ارتباطی	iletiş	ارتباط	N;NOM;SG;3	N;SG
iletişim	ارتباط	iletiş	ارتباط	N;NOM;SG;3	N;SG
iletişim	آشنای	iletiş	None	N;NOM;SG;3	N;SG
iletişim	تماس	iletiş	تماس	N;NOM;SG;3	N;SG
iletişim	مخابرات	iletiş	مخابرات	N;NOM;SG;3	N;SG
attı	انداخت	at	None	V;PFV;IND;SG;3;POS;PST	V;SG;3;PST
öğrenci	محصل	öğrenci	محصل	N;NOM;SG;3	N;SG
öğrenci	شاگرد	öğrenci	شاگرد	N;NOM;SG;3	N;SG
öğrenci	دانشجو	öğrenci	دانشجو	N;NOM;SG;3	N;SG
üyeleri	اعضای	üye	عضو	N;NOM;PL;3	N;PL
üyeleri	اعضا	üye	عضو	N;NOM;PL;3	N;PL
kolay	آسان	kolay	None	ADJ	ADJ
kolay	ساده	kolay	ساده	ADJ	ADJ
kolay	راحت	kolay	راحت	ADJ	ADJ
etiket	برچسب	etiket	برچسب		
etiket	برچسب	etiket	برچسب		
don	دان	don	آن		
baba	بابا	baba	None	N;NOM;SG;3	N;SG
baba	پدر	baba	پدر	N;NOM;SG;3	N;SG
baba	بابایی	baba	بابایی	N;NOM;SG;3	N;SG
baba	پدری	baba	پدر	N;NOM;SG;3	N;SG
baba	پدر	baba	پدر	N;NOM;SG;3	N;SG
çanakkale	داردانل	çanakkal	داردانل	N;NOM;SG;3	N;SG
sonuçlar	نتایج	sonuç	نتیجه	N;NOM;PL;3	N;PL
sonuçlar	نتایجی	sonuç	None	N;NOM;PL;3	N;PL
sonuçlar	عواقب	sonuç	None	N;NOM;PL;3	N;PL
time	time	tim	time		
günlük	daily	günlük	daily		
tarihleri	تاریخهای	tarih	تاریخ	N;ACC;PL;3	N;PL
soğuk	سردتر	soğuk	سرد	ADJ	ADJ;CMPR
kurdu	گرگ	kurt	گرگ	N;NOM;SG;3	N;SG
kurdu	وولف	kurt	وولف	N;NOM;SG;3	N;SG
kurdu	گرگه	kurt	گرگه	N;NOM;SG;3	N;SG
kurdu	ولف	kurt	ولف	N;NOM;SG;3	N;SG
kaliforniya	california	kaliforniya	california	N;ACC;SG;3	N;SG
kaliforniya	کالیفرنیا	kaliforniya	None	N;ACC;SG;3	N;SG
projesi	پروژه	proje	پروژه	N;NOM;SG;3	N;SG
nedeni	انگیزه	neden	انگیزه	N;NOM;SG;3	N;SG
nedeni	دلیلی	neden	دلیل	N;NOM;SG;3	N;SG
nedeni	علت	neden	علت	N;NOM;SG;3	N;SG
nedeni	دلیل	neden	دلیل	N;NOM;SG;3	N;SG
nedeni	علت	neden	علت	N;NOM;SG;3	N;SG
nedeni	دلیل	neden	دلیل	N;NOM;SG;3	N;SG
nedeni	cause	neden	cause	N;NOM;SG;3	N;SG
national	نشنال	national	نشنال	N;DAT;SG;3	N;SG
kararı	تصمیم	karar	تصمیم	N;NOM;SG;3	N;SG
kararı	فیصله	karar	فیصله	N;NOM;SG;3	N;SG
kamu	همگانی	kamu	همگانی	N;NOM;SG;3	N;SG
kamu	public	kamu	public	N;NOM;SG;3	N;SG
kişiler	اشخاص	kişi	شخص	N;NOM;PL;3	N;PL
kişiler	افراد	kişi	فرد	N;NOM;PL;3	N;PL
kişiler	مردمان	kişi	مردم	N;NOM;PL;3	N;PL
kişiler	آدمها	kişi	آدم	N;NOM;PL;3	N;PL
kişiler	مخاطبین	kişi	مخاطب	N;NOM;PL;3	N;PL
uydu	ماهواره	uy	ماهواره	N;NOM;SG;3	N;SG
uydu	نشست	uy	نشست	N;NOM;SG;3	N;SG
uydu	بلندای	uy	بلندا	N;NOM;SG;3	N;SG
basit	ساده	basit	ساده	ADJ	ADJ
kaynaklar	منابع	kaynak	منبع	N;NOM;PL;3	N;PL
kaynaklar	منابع	kaynak	منبع	N;NOM;PL;3	N;PL
alındı	گرفته	al	گرفت#گیر	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;3;V.PTCP
kan	کان	kan	None		
gitti	رفت	git	رفت#رو	V;PFV;IND;SG;3;POS;PST	V;SG;3;PST
gitti	رفته	git	رفت#رو	V;PFV;IND;SG;3;POS;PST	V;SG;3;V.PTCP
boyu	ارتفاعی	boy	ارتفاعی	N;NOM;SG;3	N;SG
boyu	بلندی	boy	بلندی	N;NOM;SG;3	N;SG
boyu	ارتفاع	boy	ارتفاع	N;NOM;SG;3	N;SG
boyu	height	boy	height	N;NOM;SG;3	N;SG
boyu	اندازۀ	boy	اندازۀ	N;NOM;SG;3	N;SG
boyu	اندازه	boy	اندازه	N;NOM;SG;3	N;SG
belki	شاید	belki	شاید	ADV	ADV
defans	دفاعی	defans	دفاعی	N;NOM;SG;3	N;SG
defans	دفاع	defans	دفاع	N;NOM;SG;3	N;SG
defans	دفاع	defans	دفاع	N;NOM;SG;3	N;SG
yardımcısı	asst	yardımcı	asst	N;NOM;SG;3	N;SG
yardımcısı	دستیاری	yardımcı	دستیار	N;NOM;SG;3	N;SG
yardımcısı	دستیار	yardımcı	دستیار	N;NOM;SG;3	N;SG
yardımcısı	معاون	yardımcı	معاون	N;NOM;SG;3	N;SG
yardımcısı	وایس	yardımcı	وایس	N;NOM;SG;3	N;SG
yardımcısı	معاون	yardımcı	معاون	N;NOM;SG;3	N;SG
adaları	جزایر	ada	جزایر	N;ACC;PL;3	N;PL
yönetmeni	فیلمبردار	yönetmen	فیلمبردار	N;ACC;SG;3	N;SG
çözünürlük	دقت	çözünürlük	دقت	N;NOM;SG;3	N;SG
çözünürlük	وضوح	çözünürlük	وضوح	N;NOM;SG;3	N;SG
ad	نام	ad	نام	N;NOM;SG;3	N;SG
birden	ناگهان	birden	ناگهان	ADV	ADV
american	امریکایی	american	None	N;NOM;SG;3	N;SG
american	امریکن	american	None	N;NOM;SG;3	N;SG
american	آمریکن	american	آمریکن	N;NOM;SG;3	N;SG
direktör	director	direk	director	N;NOM;SG;3	N;SG
direktör	کارگردان	direk	کارگردان	N;NOM;SG;3	N;SG
katkıda	سهم	katkı	سهم	N;ESS;SG;3	N;SG
anne	مادر	anne	مادر	N;NOM;SG;3	N;SG
anne	مامان	anne	مامان	N;NOM;SG;3	N;SG
anne	مادر	anne	مادر	N;NOM;SG;3	N;SG
anne	مادری	anne	مادر	N;NOM;SG;3	N;SG
bitki	هرب	bitki	هرب		
akademisi	آکادمی	akadem	آکادمی	N;NOM;SG;3	N;SG
akademisi	فرهنگستان	akadem	فرهنگست	N;NOM;SG;3	N;SG
hataları	خطاهای	hata	خطا	N;ACC;PL;3	N;PL
hataları	خطاها	hata	خطا	N;ACC;PL;3	N;PL
ince	لاغرتر	ince	لاغر	ADJ	ADJ;CMPR
ince	نازکتر	ince	نازک	ADJ	ADJ;CMPR
ince	لطیف	ince	لطیف	ADJ	ADJ
ince	لاغر	ince	لاغر	ADJ	ADJ
ciddi	جدی	ciddi	جدی	ADJ	ADJ
ceza	مجازات	ceza	مجازات	N;NOM;SG;3	N;SG
ceza	پنالتی	ceza	None	N;NOM;SG;3	N;SG
ceza	مجازات	ceza	مجازات	N;NOM;SG;3	N;SG
ceza	تنبیه	ceza	تنبیه	N;NOM;SG;3	N;SG
ceza	بازداشت	ceza	بازداشت	N;NOM;SG;3	N;SG
ceza	حکم	ceza	حکم	N;NOM;SG;3	N;SG
ceza	جمله	ceza	جمله	N;NOM;SG;3	N;SG
özelliği	ویژگی	özellik	ویژگی	N;NOM;SG;3	N;SG
şampiyonlar	قهرمانان	şampiyon	قهرمان	N;NOM;PL;3	N;PL
terk	رها	terk	رها	N;NOM;SG;3	N;SG
terk	ترک	terk	ترک	N;NOM;SG;3	N;SG
terk	رها	terk	رها	N;NOM;SG;3	N;SG
getirildi	آورده	getir	آورد#آور	V;PFV;IND;SG;3;POS;PST;PASS	V;SG;3;V.PTCP
trt	ترت	trt	ترت		
topluluğu	همای	topluluk	هما	N;ACC;SG;3	N;SG
sekiz	هشت	sekiz	هشت	NUM	NUM
yemek	ناهار	yemek	ناهار	N;NOM;SG;3	N;SG
yemek	نهار	yemek	نهار	N;NOM;SG;3	N;SG
yemek	غذایی	yemek	غذا	N;NOM;SG;3	N;SG
yemek	خوراک	yemek	خوراک	N;NOM;SG;3	N;SG
yemek	غذا	yemek	غذا	N;NOM;SG;3	N;SG
yemek	شام	yemek	شام	N;NOM;SG;3	N;SG
yemek	غذایی	yemek	غذا	N;NOM;SG;3	N;SG
yemek	خوراک	yemek	خوراک	N;NOM;SG;3	N;SG
yemek	دیش	yemek	دیش	N;NOM;SG;3	N;SG
yemek	غذایی	yemek	غذا	N;NOM;SG;3	N;SG
yemek	غذای	yemek	غذا	N;NOM;SG;3	N;SG
dans	dance	dans	dance	N;NOM;SG;3	N;SG
dans	رقص	dans	رقص	N;NOM;SG;3	N;SG
dans	رقص	dans	رقص	N;NOM;SG;3	N;SG
dans	رقصیدن	dans	رقصیدن	N;NOM;SG;3	N;SG
international	اینترنشنال	international	اینترنشنال	N;NOM;SG;3	N;SG
international	بینالمللی	international	بینالمللی	N;NOM;SG;3	N;SG
international	جهانی	international	جهانی	N;NOM;SG;3	N;SG
ulaşım	انتقال	ulaşım	انتقال	N;NOM;SG;3	N;SG
ulaşım	ترابری	ulaşım	None	N;NOM;SG;3	N;SG
önem	اهمیت	önem	اهمیت	N;NOM;SG;3	N;SG
vakfı	پایه	vakıf	پایه	N;ACC;SG;3	N;SG
vakfı	بنیاد	vakıf	None	N;ACC;SG;3	N;SG
yavaş	آسان	yavaş	None	ADJ	ADJ
yavaş	ساده	yavaş	ساده	ADJ	ADJ
yavaş	راحت	yavaş	راحت	ADJ	ADJ
ülkeler	ملتها	ülke	ملت	N;NOM;PL;3	N;PL
ülkeler	ملل	ülke	ملت	N;NOM;PL;3	N;PL
ülkeler	کشورها	ülke	کشور	N;NOM;PL;3	N;PL
sonuçları	نتایج	sonuç	نتیجه	N;ACC;PL;3	N;PL
sonuçları	نتایجی	sonuç	None	N;ACC;PL;3	N;PL
sonuçları	عواقب	sonuç	None	N;ACC;PL;3	N;PL
ada	آیل	ada	آیل		
ziyaret	دیدن	ziyaret	دیدن	N;NOM;SG;3	N;SG
ziyaret	بازدید	ziyaret	None	N;NOM;SG;3	N;SG
ziyaret	آباد	ziyaret	آباد	N;NOM;SG;3	N;SG
ziyaret	ملاقات	ziyaret	ملاقات	N;NOM;SG;3	N;SG
ziyaret	عیادت	ziyaret	عیادت	N;NOM;SG;3	N;SG
ziyaret	بازدید	ziyaret	None	N;NOM;SG;3	N;SG
ziyaret	بازدید	ziyaret	None	N;NOM;SG;3	N;SG
ziyaret	بازدید	ziyaret	None	N;NOM;SG;3	N;SG
lee	لی	None	None		
antlaşması	عهدنامه	antlaşma	عهدنامه	N;NOM;SG;3	N;SG
antlaşması	معاهده	antlaşma	معاهده	N;NOM;SG;3	N;SG
antlaşması	پیمان	antlaşma	پیمان	N;NOM;SG;3	N;SG
olimpiyat	المپیاد	olimpiyat	المپیاد	N;NOM;SG;3	N;SG
olimpiyat	المپیک	olimpiyat	المپیک	N;NOM;SG;3	N;SG
olimpiyat	المپیک	olimpiyat	المپیک	N;NOM;SG;3	N;SG
sen	تو	sen	تو	PRO;NOM;SG;2	PRO;SG;2
görülen	دیده	gör	دید	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;SG;3;V.PTCP
boy	قد	boy	قد		
hafif	روشن	hafif	روشن	ADJ	ADJ
yoluyla	via	yol	via	N;INS;SG;3	N;SG
yoluyla	طریق	yol	طریق	N;INS;SG;3	N;SG
taki	تاکی	taki	تاکی		
havalimanı	فرودگاه	havaliman	فرودگاه	N;ACC;SG;3	N;SG
sarayı	کاخ	sara	کاخ	N;ACC;SG;3	N;SG
sarayı	قصر	sara	None	N;ACC;SG;3	N;SG
giydi	پوشید	giy	پوشید	V;PFV;IND;SG;3;POS;PST	V;SG;3;PST
lideri	لیدر	lider	لیدر	N;NOM;SG;3	N;SG
lideri	رهبر	lider	رهبر	N;NOM;SG;3	N;SG
toplumsal	اجتماعی	toplumsal	اجتماعی	ADJ	ADJ
şehirler	شهرها	şehir	شهر	N;NOM;PL;3	N;PL
şehirler	شهرها	şehir	شهر	N;NOM;PL;3	N;PL
kalesi	قصر	kale	None	N;NOM;SG;3	N;SG
kalesi	کاستل	kale	کاستل	N;NOM;SG;3	N;SG
kalesi	کستل	kale	کستل	N;NOM;SG;3	N;SG
kalesi	قلعه	kale	قلعه	N;NOM;SG;3	N;SG
uçak	هواپیمای	uçak	هواپیما	N;NOM;SG;3	N;SG
uçak	هواگرد	uçak	هواگرد	N;NOM;SG;3	N;SG
uçak	هواپیمای	uçak	هواپیما	N;NOM;SG;3	N;SG
uçak	هواپیمایی	uçak	هواپیمایی	N;NOM;SG;3	N;SG
uçak	هواپیما	uçak	هواپیما	N;NOM;SG;3	N;SG
uçak	هواپیمای	uçak	هواپیما	N;NOM;SG;3	N;SG
uçak	طیاره	uçak	طیاره	N;NOM;SG;3	N;SG
gerçekten	واقعآ	gerçekten	واقعآ	ADV	ADV
gerçekten	واقعا	gerçekten	None	ADV	ADV
savaşları	جنگها	savaş	جنگ	N;NOM;PL;3	N;PL
kurucusu	بنیانگذار	kurucu	بنیانگذار	N;NOM;SG;3	N;SG
kurucusu	موسس	kurucu	موسس	N;NOM;SG;3	N;SG
kar	kar	kar	kar		
yoksa	وگرنه	yoksa	وگرنه		
mühendisliği	مهندسی	mühendislik	مهندسی	N;NOM;SG;3	N;SG
ikisi	هردو	iki	هردو		
dağları	کوهها	dağ	کوه	N;NOM;PL;3	N;PL
albümleri	آلبومهای	albüm	آلبوم	N;ACC;PL;3	N;PL
ilişkiler	روابط	ilişki	رابطه	N;NOM;PL;3	N;PL
ilişkiler	روابط	ilişki	رابطه	N;NOM;PL;3	N;PL
görüntü	تصویر	görüntü	تصویر	N;NOM;SG;3	N;SG
görüntü	نگاره	görüntü	نگاره	N;NOM;SG;3	N;SG
yugoslavya	یوگسلاوی	yugoslavya	یوگسلاوی	N;NOM;SG;3	N;SG
kaynakları	منابع	kaynak	منبع	N;ACC;PL;3	N;PL
kaynakları	منابع	kaynak	منبع	N;ACC;PL;3	N;PL
bilimler	علوم	bilim	علم	N;NOM;PL;3	N;PL
hep	همیشه	hep	همیشه	ADV	ADV
konser	کنسرت	konser	کنسرت	N;NOM;SG;3	N;SG
konser	کنسرت	konser	کنسرت	N;NOM;SG;3	N;SG
