年	ano	年	ano	N	N;MASC;SG
文件	arquivos	文件	arquivo	N	N;MASC;PL
文件	ficheiros	文件	ficheiro	N	N;MASC;PL
文件	arquivo	文件	arquivo	N	N;MASC;SG
文件	ficheiro	文件	ficheiro	N	N;MASC;SG
電視	drama	電視	drama	N	N;MASC;SG
電視	dramas	電視	drama	N	N;MASC;PL
藍	blue	藍	blue	N	N;MASC;SG
藍	azul	藍	azul	N	N;MASC;SG
藍	azuis	藍	azul	N	N;MASC;PL
力量	dosagem	力量	dosagem	N	N;FEM;SG
力量	força	力量	força	N	N;FEM;SG
力量	forças	力量	força	N	N;FEM;PL
板	pratos	板	prato	N	N;MASC;PL
板	placas	板	placa	N	N;FEM;PL
板	chapas	板	chapa	N	N;FEM;PL
板	placa	板	placa	N	N;FEM;SG
板	prato	板	prato	N	N;MASC;SG
板	chapa	板	chapa	N	N;FEM;SG
板	tábuas	板	tábua	N	N;FEM;PL
板	pranchas	板	prancha	N	N;FEM;PL
船	nave	船	nave	N	N;FEM;SG
船	embarcação	船	embarcação	N	N;FEM;SG
船	navio	船	navio	N	N;MASC;SG
船	barco	船	barco	N	N;MASC;SG
船	bote	船	bote	N	N;MASC;SG
船	embarcação	船	embarcação	N	N;FEM;SG
文章	artigos	文章	artigo	N	N;MASC;PL
意見	opiniões	意見	opinião	N	N;FEM;PL
意見	pareceres	意見	parecer	N	N;MASC;PL
意見	comentário	意見	comentário	N	N;MASC;SG
意見	comentários	意見	comentário	N	N;MASC;PL
意見	observações	意見	observação	N	N;FEM;PL
意見	opinião	意見	opinião	N	N;FEM;SG
意見	parecer	意見	parecer	N	N;MASC;SG
公主	princess	公主	princes	N	N;MASC;SG
公主	princesa	公主	princesa	N	N;FEM;SG
同意	acordado	同意	acordar	V	V;MASC;SG;V.PTCP
同意	concordou	同意	concordar	V	V;IND;SG;3;PST;FIN
同意	concordar	同意	concordar	V	V;NFIN
同意	concorda	同意	concordar	V	V;IND;SG;3;PRS;FIN
同意	concordam	同意	concordar	V	V;IND;PL;3;PRS;FIN
同意	concordo	同意	concordo	V	V;IND;SG;1;PRS;FIN
果	fruto	果	fruto	N	N;MASC;SG
果	frutos	果	fruto	N	N;MASC;PL
果	frutas	果	fruta	N	N;FEM;PL
果	fruta	果	fruta	N	N;FEM;SG
地下	underground	地下	underground	N	N;MASC;SG
地下	subterrânea	地下	subterrânea	N	N;FEM;SG
地下	subterrâneos	地下	subterrâneo	N	N;MASC;PL
十	dez	十	dez	NUM	NUM
銀行	banks	銀行	bank	N	N;MASC;SG
銀行	bancos	銀行	banco	N	N;MASC;PL
銀行	banco	銀行	banco	N	N;MASC;SG
銀行	bank	銀行	bank	N	N;MASC;SG
媒體	mídia	媒體	mídia	N	N;FEM;SG
媒體	media	媒體	media	N	N;MASC;PL
陵	mausoléu	陵	mausoléu	N	N;MASC;SG
拍攝	atire	拍攝	atire	V	V;SBJV;SG;3;PRS;FIN
拍攝	atirar	拍攝	atirar	V	V;NFIN
拍攝	filmando	拍攝	filmar	V	V;V.MSDR
拍攝	filmar	拍攝	filmar	V	V;NFIN
拍攝	atirando	拍攝	atirar	V	V;V.MSDR
旗	flags	旗	flags	N	N;MASC;SG
旗	bandeiras	旗	bandeira	N	N;FEM;PL
旗	pavilhão	旗	pavilhão	N	N;MASC;SG
旗	bandeira	旗	bandeira	N	N;FEM;SG
旗	bandeira	旗	bandeira	N	N;FEM;SG
旗	banners	旗	banner	N	N;MASC;PL
旗	banner	旗	banner	N	N;MASC;SG
旗	faixa	旗	faixa	N	N;FEM;SG
旗	estandarte	旗	estandarte	N	N;MASC;SG
行星	planet	行星	planet	N	N;MASC;SG
行星	planeta	行星	planeta	N	N;MASC;SG
行星	planetário	行星	planetário	N	N;MASC;SG
行星	planetas	行星	planeta	N	N;MASC;PL
作者	escritora	作者	escritor	N	N;FEM;SG
作者	escritor	作者	escritor	N	N;MASC;SG
作者	autores	作者	autor	N	N;MASC;PL
作者	roteiristas	作者	roteirista	N	N;MASC;PL
作者	escritores	作者	escritor	N	N;MASC;PL
作者	autor	作者	autor	N	N;MASC;SG
作者	autora	作者	autora	N	N;FEM;SG
皇家	real	皇家	real	N	N;MASC;SG
皇家	royal	皇家	royal	N	N;MASC;SG
皇家	realeza	皇家	realezar	N	N;FEM;SG
電子	elétrons	電子	elétron	N	N;MASC;PL
電子	elétron	電子	elétron	N	N;MASC;SG
電子	electrões	電子	eletrão	N	N;MASC;PL
電子	eletrônica	電子	eletrônico	N	N;FEM;SG
電子	electrónica	電子	electrónica	N	N;FEM;SG
電子	eletrônicos	電子	eletrônico	N	N;MASC;PL
電子	eletrônico	電子	eletrônico	N	N;MASC;SG
電子	eletrônica	電子	eletrônico	N	N;FEM;SG
電子	electrónica	電子	electrónica	N	N;FEM;SG
電子	eletrônicos	電子	eletrônico	N	N;MASC;PL
三十	trinta	三十	trinta	NUM	NUM
範圍	escopos	範圍	escopo	N	N;MASC;PL
範圍	gamas	範圍	gama	N	N;FEM;PL
範圍	intervalos	範圍	intervalo	N	N;MASC;PL
範圍	cordilheira	範圍	cordilheira	N	N;FEM;SG
範圍	alcance	範圍	alcance	N	N;MASC;SG
範圍	intervalo	範圍	intervalo	N	N;MASC;SG
範圍	gama	範圍	gama	N	N;FEM;SG
黨	partido	黨	partido	N	N;MASC;SG
黨	party	黨	party	N	N;MASC;SG
黨	festa	黨	festa	N	N;FEM;SG
教堂	igrejas	教堂	igreja	N	N;FEM;PL
教堂	igrejas	教堂	igreja	N	N;FEM;PL
教堂	igreja	教堂	igreja	N	N;FEM;SG
警察	polícia	警察	polícia	N	N;FEM;SG
警察	policia	警察	policia	N	N;FEM;SG
帝國	empire	帝國	empire	N	N;MASC;SG
帝國	império	帝國	império	N	N;MASC;SG
原本	originalmente	原本	originalmente	ADV	ADV
原本	inicialmente	原本	inicialmente	ADV	ADV
娛樂	recriação	娛樂	recriação	N	N;FEM;SG
娛樂	recreação	娛樂	recreação	N	N;FEM;SG
娛樂	entretenimento	娛樂	entretenimento	N	N;MASC;SG
娛樂	entertainment	娛樂	entertainment	N	N;MASC;SG
坡	ladeira	坡	ladeira	N	N;FEM;SG
坡	encosta	坡	encosta	N	N;FEM;SG
坡	inclinação	坡	inclinação	N	N;FEM;SG
坡	declive	坡	declive	N	N;MASC;SG
坡	poe	坡	por	N	N;FEM;SG
方案	programa	方案	programa	N	N;MASC;SG
方案	programas	方案	programa	N	N;MASC;PL
方案	programas	方案	programa	N	N;MASC;PL
方案	programa	方案	programa	N	N;MASC;SG
屋	casa	屋	casa	N	N;FEM;SG
部隊	tropas	部隊	tropa	N	N;FEM;PL
部隊	tropa	部隊	tropa	N	N;FEM;SG
詞	word	詞	word	N	N;MASC;SG
詞	palavra	詞	palavra	N	N;FEM;SG
詞	palavras	詞	palavra	N	N;FEM;PL
宮	palácio	宮	palácio	N	N;MASC;SG
宮	palace	宮	palace	N	N;MASC;SG
影	sombras	影	sombra	N	N;FEM;PL
影	sombras	影	sombra	N	N;FEM;PL
影	sombra	影	sombra	N	N;FEM;SG
影	shadow	影	shadow	N	N;MASC;SG
速	rapidez	速	rapidez	N	N;FEM;SG
速	velocidade	速	velocidade	N	N;FEM;SG
速	speed	速	speed	N	N;MASC;SG
會議	conferencia	會議	conferenciar	N	N;FEM;SG
會議	conferência	會議	conferência	N	N;FEM;SG
會議	encontros	會議	encontro	N	N;MASC;PL
會議	reuniões	會議	reunião	N	N;FEM;PL
會議	encontro	會議	encontro	N	N;MASC;SG
會議	reunião	會議	reunião	N	N;FEM;SG
資訊	informações	資訊	informação	N	N;FEM;PL
資訊	informação	資訊	informação	N	N;FEM;SG
戰鬥	battle	戰鬥	battle	N	N;MASC;SG
戰鬥	batalha	戰鬥	batalha	N	N;FEM;SG
戰鬥	fighting	戰鬥	fighting	N	N;MASC;SG
戰鬥	luta	戰鬥	luta	N	N;FEM;SG
戰鬥	briga	戰鬥	briga	N	N;FEM;SG
戰鬥	combate	戰鬥	combate	N	N;MASC;SG
戰鬥	fight	戰鬥	fight	N	N;MASC;SG
項目	project	項目	project	N	N;MASC;SG
項目	projeto	項目	projeto	N	N;MASC;SG
項目	projecto	項目	projecto	N	N;MASC;SG
項目	itens	項目	item	N	N;MASC;PL
項目	artigos	項目	artigo	N	N;MASC;PL
項目	projectos	項目	projecto	N	N;MASC;PL
項目	projetos	項目	projeto	N	N;MASC;PL
項目	item	項目	item	N	N;MASC;SG
玩家	player	玩家	player	N	N;MASC;SG
玩家	reprodutor	玩家	reprodutor	N	N;MASC;SG
玩家	jogador	玩家	jogador	N	N;MASC;SG
玩家	gamer	玩家	gamer	N	N;MASC;SG
玩家	jogadores	玩家	jogador	N	N;MASC;PL
限制	limitar	限制	limitar	V	V;NFIN
電腦	computador	電腦	computador	N	N;MASC;SG
電腦	computadores	電腦	computador	N	N;MASC;PL
引擎	motor	引擎	motor	N	N;MASC;SG
引擎	motores	引擎	motor	N	N;MASC;PL
執行	executar	執行	executar	V	V;NFIN
執行	execute	執行	executar	V	V;SBJV;SG;3;PRS;FIN
執行	executem	執行	executar	V	V;SBJV;PL;3;PRS;FIN
執行	executando	執行	executar	V	V;V.MSDR
英雄	heróis	英雄	herói	N	N;MASC;PL
英雄	heroes	英雄	heroes	N	N;MASC;SG
英雄	herói	英雄	herói	N	N;MASC;SG
英雄	heroi	英雄	heroi	N	N;MASC;SG
英雄	hero	英雄	hero	N	N;MASC;SG
興	xing	興	xing	N	N;MASC;SG
興	hing	興	hing	N	N;MASC;SG
小時	horário	小時	horário	N	N;MASC;SG
小時	horas	小時	hora	N	N;FEM;PL
小時	hora	小時	hora	N	N;FEM;SG
不足	insuficiente	不足	insuficiente	ADJ	ADJ;MASC;SG
不足	insuficientes	不足	insuficiente	ADJ	ADJ;MASC;PL
不足	insuficiente	不足	insuficiente	ADJ	ADJ;MASC;SG
不足	inadequado	不足	inadequado	ADJ	ADJ;MASC;SG
不足	inadequada	不足	inadequado	ADJ	ADJ;FEM;SG
不足	inadequados	不足	inadequado	ADJ	ADJ;MASC;PL
體育	desporto	體育	desporto	N	N;MASC;SG
體育	esporte	體育	esporte	N	N;MASC;SG
體育	desporto	體育	desporto	N	N;MASC;SG
體育	esportes	體育	esporte	N	N;MASC;PL
體育	desportos	體育	desporto	N	N;MASC;PL
洲	chau	洲	chau	N	N;MASC;SG
元素	elementos	元素	elemento	N	N;MASC;PL
元素	ingredientes	元素	ingrediente	N	N;MASC;PL
元素	elementar	元素	elementar	N	N;MASC;SG
元素	elementos	元素	elemento	N	N;MASC;PL
元素	elemento	元素	elemento	N	N;MASC;SG
王朝	dinastia	王朝	dinastia	N	N;FEM;SG
區域	zona	區域	zona	N	N;FEM;SG
區域	zone	區域	zone	N	N;MASC;SG
區域	area	區域	area	N	N;FEM;SG
區域	área	區域	área	N	N;FEM;SG
區域	região	區域	região	N	N;FEM;SG
區域	regiões	區域	região	N	N;FEM;PL
報	jornal	報	jornal	N	N;MASC;SG
報	jornais	報	jornal	N	N;MASC;PL
分子	moleculares	分子	molecular	N	N;MASC;PL
分子	molécula	分子	molécula	N	N;FEM;SG
分子	moléculas	分子	molécula	N	N;FEM;PL
分子	moléculas	分子	molécula	N	N;FEM;PL
隧道	túnel	隧道	túnel	N	N;MASC;SG
隧道	tunel	隧道	tunel	N	N;MASC;SG
隧道	túneis	隧道	túnel	N	N;MASC;PL
禮	rito	禮	rito	N	N;MASC;SG
雜誌	magazine	雜誌	magazine	N	N;MASC;SG
雜誌	revista	雜誌	revista	N	N;FEM;SG
雜誌	revistas	雜誌	revista	N	N;FEM;PL
平台	plataforma	平台	plataforma	N	N;FEM;SG
平台	plataformas	平台	plataforma	N	N;FEM;PL
概念	conceito	概念	conceito	N	N;MASC;SG
概念	noção	概念	noção	N	N;FEM;SG
概念	noções	概念	noção	N	N;FEM;PL
概念	conceitos	概念	conceito	N	N;MASC;PL
議會	parlamento	議會	parlamento	N	N;MASC;SG
議會	parlamentos	議會	parlamento	N	N;MASC;PL
傳統	tradições	傳統	tradição	N	N;FEM;PL
傳統	tradição	傳統	tradição	N	N;FEM;SG
傳統	tradições	傳統	tradição	N	N;FEM;PL
夏季	summer	夏季	summer	N	N;MASC;SG
照片	fotografias	照片	fotografia	N	N;FEM;PL
照片	foto	照片	foto	N	N;FEM;SG
照片	fotografia	照片	fotografia	N	N;FEM;SG
照片	imagem	照片	imagem	N	N;FEM;SG
照片	fotografa	照片	fotografar	N	N;FEM;SG
照片	fotografia	照片	fotografia	N	N;FEM;SG
照片	fotografias	照片	fotografia	N	N;FEM;PL
照片	fotos	照片	foto	N	N;FEM;PL
照片	imagens	照片	imagem	N	N;FEM;PL
照片	fotografias	照片	fotografia	N	N;FEM;PL
照片	fotos	照片	foto	N	N;FEM;PL
照片	foto	照片	foto	N	N;FEM;SG
照片	fotografia	照片	fotografia	N	N;FEM;SG
核	nuclear	核	nuclear	N	N;MASC;SG
核	nucleares	核	nuclear	N	N;MASC;PL
核	núcleo	核	núcleo	N	N;MASC;SG
更名	renomear	更名	renomear	V	V;NFIN
停止	parar	停止	parar	V	V;NFIN
停止	pára	停止	parar	V	V;IND;SG;3;PRS;FIN
劍	espadas	劍	espada	N	N;FEM;PL
劍	sword	劍	sword	N	N;MASC;SG
劍	espada	劍	espada	N	N;FEM;SG
機構	agencia	機構	agencia	N	N;FEM;SG
機構	agência	機構	agência	N	N;FEM;SG
機構	instituições	機構	instituição	N	N;FEM;PL
機構	instituição	機構	instituição	N	N;FEM;SG
帶	trazer	帶	trazer	V	V;NFIN
帶	tragam	帶	trazer	V	V;SBJV;PL;3;PRS;FIN
帶	traga	帶	trazer	V	V;SBJV;SG;3;PRS;FIN
帶	traz	帶	trazer	V	V;IND;SG;3;PRS;FIN
取消	cancelar	取消	cancelar	V	V;NFIN
取消	cancela	取消	cancelar	V	V;IND;SG;3;PRS;FIN
人類	humanos	人類	humano	N	N;MASC;PL
人類	humanas	人類	humano	N	N;FEM;PL
人類	human	人類	human	N	N;MASC;SG
市場	mercado	市場	mercado	N	N;MASC;SG
市場	marketplace	市場	marketplace	N	N;MASC;SG
市場	mercados	市場	mercado	N	N;MASC;PL
市場	mercado	市場	mercado	N	N;MASC;SG
接近	aproximando	接近	aproximar	V	V;V.MSDR
飛	fly	飛	fly	N	N;MASC;SG
飛	mosca	飛	mosco	N	N;FEM;SG
飛	flying	飛	flying	N	N;MASC;SG
軍事	militares	軍事	militar	N	N;MASC;PL
軍事	militar	軍事	militar	N	N;MASC;SG
協助	assistida	協助	assistir	V	V;FEM;SG;V.PTCP
協助	assistido	協助	assistir	V	V;MASC;SG;V.PTCP
協助	assistidos	協助	assistir	V	V;MASC;PL;V.PTCP
橋	bridge	橋	bridge	N	N;MASC;SG
橋	ponte	橋	ponte	N	N;FEM;SG
橋	bridges	橋	bridge	N	N;MASC;SG
橋	pontes	橋	ponte	N	N;FEM;PL
調查	investigar	調查	investigar	V	V;NFIN
調查	investiga	調查	investigo	V	V;IND;SG;3;PRS;FIN
投	gesso	投	gesso	N	N;MASC;SG
投	elenco	投	elenco	N	N;MASC;SG
投	arremesso	投	arremesso	N	N;MASC;SG
投	breu	投	breu	N	N;MASC;SG
主教	bispo	主教	bispo	N	N;MASC;SG
地點	local	地點	local	N	N;MASC;SG
地點	lugar	地點	lugar	N	N;MASC;SG
地點	place	地點	place	N	N;MASC;SG
地點	local	地點	local	N	N;MASC;SG
地點	sítio	地點	sítio	N	N;MASC;SG
地點	localização	地點	localização	N	N;FEM;SG
地點	locais	地點	local	N	N;MASC;PL
地點	lugares	地點	lugar	N	N;MASC;PL
地點	sítios	地點	sítio	N	N;MASC;PL
地點	localizações	地點	localização	N	N;FEM;PL
地點	localidades	地點	localidade	N	N;FEM;PL
地點	locais	地點	local	N	N;MASC;PL
颱風	tufões	颱風	tufão	N	N;MASC;PL
颱風	tufão	颱風	tufão	N	N;MASC;SG
決賽	finais	決賽	final	N	N;MASC;PL
決賽	final	決賽	final	N	N;MASC;SG
決賽	finais	決賽	final	N	N;MASC;PL
決賽	final	決賽	final	N	N;MASC;SG
大臣	ministro	大臣	ministro	N	N;MASC;SG
大臣	ministra	大臣	ministra	N	N;FEM;SG
人工	artificiais	人工	artificial	N	N;MASC;PL
移動	mover	移動	mover	V	V;NFIN
陸軍	exército	陸軍	exército	N	N;MASC;SG
陸軍	tropa	陸軍	tropa	N	N;FEM;SG
陸軍	army	陸軍	army	N	N;MASC;SG
法院	tribunal	法院	tribunal	N	N;MASC;SG
法院	corte	法院	corte	N	N;MASC;SG
法院	tribunais	法院	tribunal	N	N;MASC;PL
留	ficar	留	ficar	V	V;NFIN
留	fica	留	ficar	V	V;IND;SG;3;PRS;FIN
留	fique	留	ficar	V	V;SBJV;SG;3;PRS;FIN
電	eletricidade	電	eletricidade	N	N;FEM;SG
電	electricidade	電	electricidade	N	N;FEM;SG
電	elétricos	電	elétrico	N	N;MASC;PL
電	eléctricos	電	eléctrico	N	N;MASC;PL
電	elétrica	電	elétrico	N	N;FEM;SG
電	elétrico	電	elétrico	N	N;MASC;SG
效力	potência	效力	potência	N	N;FEM;SG
夢	dream	夢	dream	N	N;MASC;SG
夢	sonho	夢	sonho	N	N;MASC;SG
夢	sonhos	夢	sonho	N	N;MASC;PL
夢	dreams	夢	dreams	N	N;MASC;SG
科學	ciências	科學	ciência	N	N;FEM;PL
科學	ciência	科學	ciência	N	N;FEM;SG
科學	científica	科學	científico	N	N;FEM;SG
東北	nordeste	東北	nordeste	N	N;MASC;SG
東北	nordeste	東北	nordeste	N	N;MASC;SG
啟用	ativar	啟用	ativar	V	V;NFIN
啟用	activar	啟用	activar	V	V;NFIN
啟用	habilitar	啟用	habilitar	V	V;NFIN
啟用	habilitado	啟用	habilitado	V	V;MASC;SG;V.PTCP
啟用	ativada	啟用	ativar	V	V;FEM;SG;V.PTCP
啟用	ativado	啟用	ativar	V	V;MASC;SG;V.PTCP
啟用	ativar	啟用	ativar	V	V;NFIN
啟用	activar	啟用	activar	V	V;NFIN
啟用	ative	啟用	ative	V	V;SBJV;SG;3;PRS;FIN
皇后	imperatriz	皇后	imperatriz	N	N;FEM;SG
皇后	queen	皇后	queen	N	N;MASC;SG
皇后	rainha	皇后	rainha	N	N;FEM;SG
柱	colunas	柱	coluna	N	N;FEM;PL
柱	coluna	柱	coluna	N	N;FEM;SG
柱	pilares	柱	pilar	N	N;MASC;PL
柱	pilar	柱	pilar	N	N;MASC;SG
動物	animais	動物	animal	N	N;MASC;PL
動物	animais	動物	animal	N	N;MASC;PL
動物	animal	動物	animal	N	N;MASC;SG
佛教	budismo	佛教	budismo	N	N;MASC;SG
佛教	budistas	佛教	budista	N	N;MASC;PL
精神	espírito	精神	espírito	N	N;MASC;SG
精神	spirit	精神	spirit	N	N;MASC;SG
精神	espirito	精神	espirito	N	N;MASC;SG
精神	mental	精神	mental	N	N;MASC;SG
精神	mentais	精神	mental	N	N;MASC;PL
企業	empreendimentos	企業	empreendimento	N	N;MASC;PL
企業	empresas	企業	empresa	N	N;FEM;PL
企業	negócios	企業	negócio	N	N;MASC;PL
企業	negócios	企業	negócio	N	N;MASC;PL
企業	negócio	企業	negócio	N	N;MASC;SG
企業	empreendimento	企業	empreendimento	N	N;MASC;SG
企業	empresa	企業	empresa	N	N;FEM;SG
企業	enterprise	企業	enterprise	N	N;MASC;SG
核心	core	核心	core	N	N;MASC;SG
核心	núcleo	核心	núcleo	N	N;MASC;SG
核心	núcleo	核心	núcleo	N	N;MASC;SG
核心	kernel	核心	kernel	N	N;MASC;SG
核心	núcleo	核心	núcleo	N	N;MASC;SG
環境	ambiente	環境	ambiente	N	N;MASC;SG
環境	ambientes	環境	ambiente	N	N;MASC;PL
冰	ice	冰	ice	N	N;MASC;SG
冰	gelo	冰	gelo	N	N;MASC;SG
飛機	avião	飛機	avião	N	N;MASC;SG
飛機	aeronave	飛機	aeronave	N	N;FEM;SG
飛機	aviões	飛機	avião	N	N;MASC;PL
飛機	aeronaves	飛機	aeronave	N	N;FEM;PL
飛機	avião	飛機	avião	N	N;MASC;SG
飛機	avião	飛機	avião	N	N;MASC;SG
應	deveriam	應	dever	V	V;COND;PL;3;FIN
太陽	sun	太陽	sun	N	N;MASC;SG
太陽	sol	太陽	sol	N	N;MASC;SG
太陽	solares	太陽	solar	N	N;MASC;PL
太陽	solar	太陽	solar	N	N;MASC;SG
廳	hall	廳	hall	N	N;MASC;SG
廳	salão	廳	salão	N	N;MASC;SG
竹	bambu	竹	bambu	N	N;MASC;SG
選擇	escolhe	選擇	escolher	V	V;IND;SG;3;PRS;FIN
選擇	escolher	選擇	escolher	V	V;NFIN
選擇	selecionar	選擇	selecionar	V	V;NFIN
選擇	seleciona	選擇	seleciona	V	V;IND;SG;3;PRS;FIN
選擇	seleccionar	選擇	seleccionar	V	V;NFIN
選擇	selecione	選擇	selecione	V	V;SBJV;SG;3;PRS;FIN
珠	contas	珠	conta	N	N;FEM;PL
眼	eyes	眼	eyes	N	N;MASC;SG
眼	olhos	眼	olho	N	N;MASC;PL
眼	eye	眼	eye	N	N;MASC;SG
眼	olho	眼	olho	N	N;MASC;SG
眼	olhos	眼	olho	N	N;MASC;PL
妻子	mulher	妻子	mulher	N	N;FEM;SG
妻子	esposa	妻子	esposo	N	N;FEM;SG
雨	chuva	雨	chuva	N	N;FEM;SG
雨	rain	雨	rain	N	N;MASC;SG
編號	numeração	編號	numeração	N	N;FEM;SG
編號	número	編號	número	N	N;MASC;SG
編號	numero	編號	numero	N	N;MASC;SG
亭	quiosque	亭	quiosque	N	N;MASC;SG
思想	pensamento	思想	pensamento	N	N;MASC;SG
思想	pensamentos	思想	pensamento	N	N;MASC;PL
思想	reflexões	思想	reflexão	N	N;FEM;PL
破壞	sabotar	破壞	sabotar	V	V;NFIN
重建	reconstruir	重建	reconstruir	V	V;NFIN
重建	reconstruir	重建	reconstruir	V	V;NFIN
洋	hiroshi	洋	hiroshi	N	N;MASC;SG
洋	oceanos	洋	oceano	N	N;MASC;PL
洋	oceano	洋	oceano	N	N;MASC;SG
公民	cívico	公民	cívico	N	N;MASC;SG
公民	cívica	公民	cívico	N	N;FEM;SG
公民	civic	公民	civic	N	N;MASC;SG
公民	cidadãos	公民	cidadão	N	N;MASC;PL
公民	cidadã	公民	cidadã	N	N;FEM;SG
公民	cidadão	公民	cidadão	N	N;MASC;SG
改善	melhorar	改善	melhorar	V	V;NFIN
改善	melhorando	改善	melhorar	V	V;V.MSDR
改善	melhorada	改善	melhorar	V	V;FEM;SG;V.PTCP
改善	melhorado	改善	melhorar	V	V;MASC;SG;V.PTCP
改善	melhorou	改善	melhorar	V	V;IND;SG;3;PST;FIN
改善	melhorar	改善	melhorar	V	V;NFIN
改善	melhore	改善	melhore	V	V;SBJV;SG;3;PRS;FIN
鐵道	ferrovia	鐵道	ferrovia	N	N;FEM;SG
鐵道	ferroviária	鐵道	ferroviário	N	N;FEM;SG
鐵道	ferrovias	鐵道	ferrovia	N	N;FEM;PL
鐵道	ferrovia	鐵道	ferrovia	N	N;FEM;SG
製造	fabricados	製造	fabricar	V	V;MASC;PL;V.PTCP
製造	fabricado	製造	fabricar	V	V;MASC;SG;V.PTCP
製造	fabricada	製造	fabricar	V	V;FEM;SG;V.PTCP
製造	fabricadas	製造	fabricar	V	V;FEM;PL;V.PTCP
網路	web	網路	web	N	N;MASC;SG
網路	teia	網路	ter	N	N;FEM;SG
網路	internet	網路	internet	N	N;FEM;SG
網路	network	網路	network	N	N;MASC;SG
網路	rede	網路	rede	N	N;FEM;SG
網路	redes	網路	rede	N	N;FEM;PL
炮	canhões	炮	canhão	N	N;MASC;PL
炮	cannon	炮	cannon	N	N;MASC;SG
炮	canhão	炮	canhão	N	N;MASC;SG
炮	pistola	炮	pistola	N	N;FEM;SG
炮	gun	炮	gun	N	N;MASC;SG
炮	arma	炮	arma	N	N;FEM;SG
岩	rochedos	岩	rochedo	N	N;MASC;PL
岩	pedras	岩	pedra	N	N;FEM;PL
岩	rochas	岩	rocha	N	N;FEM;PL
岩	rocks	岩	rock	N	N;MASC;SG
岩	rochedo	岩	rochedo	N	N;MASC;SG
岩	rocha	岩	rocha	N	N;FEM;SG
岩	pedra	岩	pedra	N	N;FEM;SG
岩	rock	岩	rock	N	N;MASC;SG
排	pelotão	排	pelotão	N	N;MASC;SG
排	fila	排	fila	N	N;FEM;SG
排	fileira	排	fileira	N	N;FEM;SG
排	row	排	row	N	N;MASC;SG
朋友	friends	朋友	friend	N	N;MASC;SG
朋友	amigos	朋友	amigo	N	N;MASC;PL
朋友	amigas	朋友	amiga	N	N;FEM;PL
朋友	amigo	朋友	amigo	N	N;MASC;SG
朋友	amiga	朋友	amiga	N	N;FEM;SG
離開	deixe	離開	deixar	V	V;SBJV;SG;3;PRS;FIN
離開	sair	離開	sair	V	V;NFIN
離開	deixar	離開	deixar	V	V;NFIN
生命	vida	生命	vida	N	N;FEM;SG
生命	life	生命	life	N	N;MASC;SG
找到	encontrada	找到	encontrar	V	V;FEM;SG;V.PTCP
找到	encontrados	找到	encontrar	V	V;MASC;PL;V.PTCP
找到	encontraram	找到	encontrar	V	V;IND;PL;3;FIN
找到	encontrado	找到	encontrar	V	V;MASC;SG;V.PTCP
找到	encontrar	找到	encontrar	V	V;NFIN
找到	encontre	找到	encontre	V	V;SBJV;SG;3;PRS;FIN
找到	encontra	找到	encontrar	V	V;IND;SG;3;PRS;FIN
十五	quinze	十五	quinze	NUM	NUM
油	azeite	油	azeite	N	N;MASC;SG
油	óleo	油	óleo	N	N;MASC;SG
油	petróleo	油	petróleo	N	N;MASC;SG
油	óleos	油	óleos	N	N;MASC;PL
油	óleos	油	óleos	N	N;MASC;PL
狀態	status	狀態	status	N	N;MASC;SG
狀態	estatuto	狀態	estatuto	N	N;MASC;SG
狀態	estado	狀態	estado	N	N;MASC;SG
彈	play	彈	play	N	N;MASC;SG
艦	nave	艦	nave	N	N;FEM;SG
艦	embarcação	艦	embarcação	N	N;FEM;SG
艦	navio	艦	navio	N	N;MASC;SG
層	camadas	層	camada	N	N;FEM;PL
層	camada	層	camada	N	N;FEM;SG
主題	temáticas	主題	temática	N	N;FEM;PL
主題	temas	主題	tema	N	N;MASC;PL
主題	tópicos	主題	tópico	N	N;MASC;PL
主題	tópico	主題	tópico	N	N;MASC;SG
主題	temática	主題	temático	N	N;FEM;SG
主題	tema	主題	tema	N	N;MASC;SG
主題	tópicos	主題	tópico	N	N;MASC;PL
主題	temas	主題	tema	N	N;MASC;PL
主題	assunto	主題	assunto	N	N;MASC;SG
主題	objecto	主題	objecto	N	N;MASC;SG
球場	estádio	球場	estádio	N	N;MASC;SG
球場	stadium	球場	stadium	N	N;MASC;SG
返回	devolve	返回	devolver	V	V;IND;SG;3;PRS;FIN
返回	retorna	返回	retornar	V	V;IND;SG;3;PRS;FIN
返回	retornar	返回	retornar	V	V;NFIN
宇宙	universe	宇宙	universe	N	N;MASC;SG
宇宙	universo	宇宙	universo	N	N;MASC;SG
宇宙	cósmicos	宇宙	cósmico	N	N;MASC;PL
宇宙	cósmica	宇宙	cósmico	N	N;FEM;SG
醫院	hospital	醫院	hospital	N	N;MASC;SG
醫院	hospitalares	醫院	hospitalar	N	N;MASC;PL
醫院	hospitais	醫院	hospital	N	N;MASC;PL
平方	quadrada	平方	quadrada	N	N;FEM;SG
平方	praça	平方	praça	N	N;FEM;SG
平方	square	平方	square	N	N;MASC;SG
平方	quadrado	平方	quadrado	N	N;MASC;SG
平方	quadrados	平方	quadrados	N	N;MASC;PL
平方	quadrado	平方	quadrado	N	N;MASC;SG
批准	aprovar	批准	aprovar	V	V;NFIN
批准	aprova	批准	aprovar	V	V;IND;SG;3;PRS;FIN
