撤消	ανακαλέσει	撤消	ανακαλώ	V	V;PFV;IND;SG;3;FIN;ACT
區塊	μπλοκ	區塊	μπλοκ	N	N;NOM;NEUT;SG
區塊	τετράγωνο	區塊	τετράγωνος	N	N;NOM;NEUT;SG
區塊	μπλοκάρισμα	區塊	μπλοκάρισμα	N	N;NOM;NEUT;SG
區塊	μπλοκ	區塊	μπλοκ	N	N;NOM;NEUT;SG
地道	στοά	地道	στοά	N	N;NOM;FEM;SG
地道	σήραγγα	地道	σήραγγα	N	N;NOM;FEM;SG
地道	τούνελ	地道	τούνελ	N	N;NOM;NEUT;PL
地道	σήραγγες	地道	σήραγγα	N	N;NOM;FEM;PL
地道	τούνελ	地道	τούνελ	N	N;NOM;NEUT;PL
所	σόλομον	所	σόλομον	N	N;NOM;MASC;SG
所	σολομώντα	所	σολομώ	N	N;GEN;FEM;PL
腕	καρπός	腕	καρπός	N	N;NOM;MASC;SG
腕	καρπό	腕	καρπός	N	N;ACC;MASC;SG
機長	κυβερνήτη	機長	κυβερνήτης	N	N;ACC;MASC;SG
殘餘	απομεινάρι	殘餘	απομεινάρι	N	N;NOM;NEUT;SG
廢棄	εγκαταλειμμένο	廢棄	εγκαταλείμμενο	V	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
廢棄	εγκαταλείφθηκε	廢棄	εγκαταλείπω	V	V;PFV;IND;SG;3;PST;FIN;PASS
廢棄	εγκαταλελειμμένο	廢棄	εγκαταλείαιμμένος	V	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
學說	δόγματα	學說	δόγμα	N	N;NOM;NEUT;PL
學說	δόγμα	學說	δόγμα	N	N;NOM;NEUT;SG
加熱	θερμαίνεται	加熱	θερμαίνω	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
暴風	καταιγίδα	暴風	καταιγίδα	N	N;NOM;FEM;SG
暴風	θύελλα	暴風	θύελλα	N	N;NOM;FEM;SG
誘惑	αποπλάνηση	誘惑	αποπλάνηση	N	N;ACC;FEM;SG
誘惑	πειρασμός	誘惑	πειρασμός	N	N;NOM;MASC;SG
誘惑	πειρασμό	誘惑	πειρασμός	N	N;ACC;MASC;SG
壺	χόρτο	壺	χόρτος	N	N;NOM;NEUT;SG
壺	γλάστρα	壺	γλάστρα	N	N;NOM;FEM;SG
壺	κατσαρόλα	壺	κατσάρολα	N	N;NOM;FEM;SG
壺	κανάτα	壺	κανάτα	N	N;NOM;FEM;SG
電報	τηλεγράφημα	電報	τηλεγράφημα	N	N;NOM;NEUT;SG
城牆	τοίχους	城牆	τοίχος	N	N;NOM;MASC;PL
城牆	τείχη	城牆	τείχος	N	N;NOM;NEUT;PL
城牆	τοίχοι	城牆	τοίχος	N	N;NOM;MASC;PL
芭蕾	μπαλέτο	芭蕾	μπάλετος	N	N;NOM;NEUT;SG
環礁	ατόλλη	環礁	ατόλλη	N	N;NOM;FEM;SG
呼叫	καλέστε	呼叫	καλώ	V	V;PFV;IMP;PL;2;FIN;ACT
呼叫	κάλεσε	呼叫	καλώ	V	V;PFV;IND;SG;3;PST;FIN;ACT
呼叫	καλώ	呼叫	καλώ	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
呼叫	καλεί	呼叫	καλώ	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
呼叫	καλώντας	呼叫	καλώ	V	V;IPFV;V.CVB;ACT
硝酸	νιτρικά	硝酸	νιτρικός	N	N;NOM;NEUT;PL
硝酸	νιτρικό	硝酸	νιτρικός	N	N;NOM;NEUT;SG
嵌	ενσωματωμένη	嵌	ενσωματώνω	V	V;PFV;NOM;FEM;SG;V.PTCP;PASS
嵌	ενσωματωμένο	嵌	ενσωματωμένος	V	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
嵌	ενσωματωμένα	嵌	ενσωματωμένος	V	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
口腔	στόμα	口腔	στόμα	N	N;NOM;NEUT;SG
口腔	στοματικό	口腔	στοματικός	N	N;NOM;NEUT;SG
時鐘	ρολόγια	時鐘	ρολόγιος	N	N;NOM;NEUT;PL
時鐘	ρολόι	時鐘	ρολός	N	N;NOM;NEUT;SG
論點	επιχειρήματα	論點	επιχείρημα	N	N;NOM;NEUT;PL
論點	επιχειρηματολογία	論點	επιχειρηματολογία	N	N;NOM;FEM;SG
論點	επιχείρημα	論點	επιχείρημα	N	N;NOM;NEUT;SG
左邊	αριστερό	左邊	αριστερός	N	N;NOM;NEUT;SG
勇氣	κουράγιο	勇氣	κουράγιο	N	N;NOM;NEUT;SG
勇氣	θάρρος	勇氣	θάρρος	N	N;NOM;NEUT;SG
天線	κεραίες	天線	κεραίος	N	N;NOM;FEM;PL
天線	κεραία	天線	κεραίος	N	N;NOM;FEM;SG
絕望	απόγνωση	絕望	απόγνωση	N	N;ACC;FEM;SG
絕望	απελπισία	絕望	απελπισία	N	N;NOM;FEM;SG
絕望	απόγνωση	絕望	απόγνωση	N	N;ACC;FEM;SG
絕望	απελπισία	絕望	απελπισία	N	N;NOM;FEM;SG
格言	ρητό	格言	ρητός	N	N;NOM;NEUT;SG
格言	σύνθημα	格言	σύνθημα	N	N;NOM;NEUT;SG
腐	σήψη	腐	σήψη	N	N;NOM;FEM;SG
伏特	βολτ	伏特	βολτ	N	N;NOM;NEUT;SG
贏	κερδίσει	贏	κερδίζω	V	V;PFV;NFIN;ACT
贏	κέρδισε	贏	κερδίζω	V	V;PFV;IND;SG;3;PST;FIN;ACT
災害	καταστροφές	災害	καταστροφή	N	N;NOM;FEM;PL
災害	καταστροφή	災害	καταστροφή	N	N;ACC;FEM;SG
字元	χαρακτήρας	字元	χαρακτήρας	N	N;NOM;MASC;SG
字元	χαρακτήρα	字元	χαρακτήρας	N	N;ACC;MASC;SG
字元	χαρακτήρες	字元	χαρακτήρας	N	N;NOM;FEM;PL
晚餐	βραδινό	晚餐	βραδινός	N	N;NOM;NEUT;SG
晚餐	δείπνο	晚餐	δείπνο	N	N;NOM;NEUT;SG
豆腐	τόφου	豆腐	τόφος	N	N;NOM;NEUT;SG
濕地	υγροτόπων	濕地	ύγροτοπος	N	N;GEN;NEUT;PL
濕地	υγρότοπος	濕地	υγρότοπος	N	N;NOM;MASC;SG
獵物	θηράματα	獵物	θήραμα	N	N;NOM;NEUT;PL
獵物	θήραμα	獵物	θήραμα	N	N;NOM;NEUT;SG
獵物	λεία	獵物	λέγω	N	N;NOM;FEM;SG
鄰居	γείτονες	鄰居	γείτονας	N	N;NOM;MASC;PL
鄰居	γείτονες	鄰居	γείτονας	N	N;NOM;MASC;PL
鄰居	γείτονας	鄰居	γείτονας	N	N;NOM;MASC;SG
鄰居	γείτονα	鄰居	γείτονας	N	N;ACC;MASC;SG
鄰居	γειτόνισσα	鄰居	γειτόνισσα	N	N;NOM;FEM;SG
會	λογιστές	會	λογιστής	N	N;NOM;MASC;PL
會	λογιστή	會	λογιστής	N	N;NOM;MASC;SG
會	λογιστής	會	λογιστής	N	N;NOM;MASC;SG
橢	οβάλ	橢	οβάλ	N	N;NOM;NEUT;PL
美式	ποδόσφαιρο	美式	ποδόσφαιρος	N	N;NOM;NEUT;SG
方塊	κύβους	方塊	κύβος	N	N;NOM;MASC;PL
方塊	κύβο	方塊	κύβο	N	N;NOM;NEUT;SG
方塊	κύβος	方塊	κύβος	N	N;NOM;MASC;SG
方塊	τετράγωνο	方塊	τετράγωνος	N	N;NOM;NEUT;SG
方塊	πλατεία	方塊	πλατεία	N	N;NOM;FEM;SG
均衡	ισορροπία	均衡	ισορροπία	N	N;ACC;FEM;SG
均衡	ισοζύγιο	均衡	ισοζύγιος	N	N;NOM;NEUT;SG
均衡	εξισορρόπησης	均衡	εξισορρόπηση	N	N;GEN;FEM;SG
均衡	εξισορρόπηση	均衡	εξισορρόπηση	N	N;ACC;FEM;SG
均衡	ισορροπία	均衡	ισορροπία	N	N;ACC;FEM;SG
叢林	ζούγκλα	叢林	ζούγκλος	N	N;NOM;FEM;SG
慶典	γιορτή	慶典	γιορτής	N	N;NOM;FEM;SG
慶典	εορτασμός	慶典	εορτασμός	N	N;NOM;MASC;SG
宣教	ντάουα	宣教	ντάουα	N	N
膝	γόνατο	膝	γόνατος	N	N;NOM;NEUT;SG
膝	γόνατα	膝	γόνα	N	N;NOM;NEUT;PL
院	σχολές	院	σχολή	N	N;NOM;FEM;PL
省長	νομάρχης	省長	νομάρχης	N	N;NOM;MASC;SG
省長	κυβερνήτης	省長	κυβερνήτης	N	N;NOM;MASC;SG
省長	κυβερνήτη	省長	κυβερνήτης	N	N;ACC;MASC;SG
激情	πάθος	激情	πάθος	N	N;NOM;NEUT;SG
門票	εισητήρια	門票	εισητήρια	N	N;NOM;NEUT;PL
門票	εισιτήρια	門票	εισιτήριο	N	N;NOM;NEUT;PL
門票	εισιτήριο	門票	εισιτήριο	N	N;NOM;NEUT;SG
門票	εισητήριο	門票	εισητήριο	N	N;NOM;NEUT;SG
毒素	τοξίνη	毒素	τοξίνος	N	N;NOM;FEM;SG
毒素	τοξίνες	毒素	τοξίνα	N	N;NOM;FEM;PL
轎車	λιμουζίνα	轎車	λιμουζίνα	N	N;NOM;FEM;SG
轎車	λιμουζίνα	轎車	λιμουζίνα	N	N;NOM;FEM;SG
獅子	λέων	獅子	λέος	N	N;NOM;MASC;SG
經濟	οικονομολόγος	經濟	οικονομολόγος	N	N;NOM;MASC;SG
經濟	οικονομολόγοι	經濟	οικονονολόγος	N	N;NOM;MASC;PL
愛心	φροντίδα	愛心	φροντίδα	N	N;NOM;FEM;SG
性	σεξουαλικότητα	性	σεξουαλικότητα	N	N;ACC;FEM;SG
性	φύλο	性	φύλο	N	N;NOM;NEUT;SG
地下	υπόγειο	地下	υπόγειο	N	N;NOM;NEUT;SG
兄妹	αδέλφια	兄妹	αδέρφι	N	N;NOM;NEUT;PL
兄妹	αδέρφια	兄妹	αδέρφι	N	N;NOM;NEUT;PL
佛法	ντάρμα	佛法	ντάρμα	N	N;NOM;NEUT;SG
詳情	λεπτομέρειες	詳情	λεπτομέρεια	N	N;NOM;FEM;PL
詳情	λεπτομέρεια	詳情	λεπτομέρεια	N	N;NOM;FEM;SG
詳情	λεπτομέρειες	詳情	λεπτομέρεια	N	N;NOM;FEM;PL
生殖	αναπαραγωγή	生殖	αναπαραγωγή	N	N;NOM;FEM;SG
十	δεκα	十	δεκα	NUM	NUM
十	δέκα	十	δέκα	NUM	NUM;NOM;NEUT;PL
冰球	χόκεϋ	冰球	χόκει	N	N;NOM;FEM;SG
酸性	όξινο	酸性	όξινο	N	N;NOM;NEUT;SG
酸性	οξύ	酸性	οξύ	N	N;NOM;NEUT;SG
酸性	οξύτητας	酸性	οξύτητα	N	N;GEN;FEM;SG
酸性	οξύτητα	酸性	οξύτητα	N	N;NOM;FEM;SG
展望	προνοητικότητα	展望	προνοητικότητα	N	N;NOM;FEM;SG
展望	προοπτικές	展望	προοπτική	N	N;NOM;FEM;PL
展望	προοπτική	展望	προοπτική	N	N;NOM;FEM;SG
展望	όραση	展望	όραση	N	N;ACC;FEM;SG
展望	οπτασία	展望	οπτασία	N	N;NOM;FEM;SG
展望	όραμα	展望	όραμα	N	N;NOM;NEUT;SG
週年	επέτειος	週年	επέτειος	N	N;GEN;FEM;SG
週年	επέτειο	週年	επέτειο	N	N;ACC;FEM;SG
世系	κάθοδο	世系	κάθοδος	N	N;ACC;FEM;SG
世系	καθόδου	世系	κάθοδος	N	N;GEN;FEM;SG
猴子	μαϊμού	猴子	μαϊμός	N	N;NOM;MASC;SG
揭示	αποκαλύψει	揭示	αποκαλύπτω	V	V;PFV;3;NFIN;ACT
揭示	αποκάλυψε	揭示	αποκαλύπτω	V	V;PFV;IND;SG;3;PST;FIN;ACT
揭示	αποκαλύπτει	揭示	αποκαλύπτω	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
揭示	αποκαλύπτεται	揭示	αποκαλύπτω	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
前景	προοπτική	前景	προοπτική	N	N;NOM;FEM;SG
前景	προσκήνιο	前景	προσκήνιο	N	N;NOM;NEUT;SG
前景	προοπτικές	前景	προοπτική	N	N;NOM;FEM;PL
前景	προοπτική	前景	προοπτική	N	N;NOM;FEM;SG
妄想	παρανοϊκό	妄想	παρανοϊκός	N	N;NOM;NEUT;SG
妄想	παραίσθηση	妄想	παραίσθηση	N	N;NOM;FEM;SG
妄想	ψευδαίσθηση	妄想	ψευδαίσθηση	N	N;ACC;FEM;SG
妄想	αυταπάτη	妄想	αυταπάτης	N	N;NOM;FEM;SG
妄想	παράνοια	妄想	παράνοια	N	N;NOM;FEM;SG
妄想	παραισθήσεις	妄想	παραίσθηση	N	N;NOM;FEM;PL
空前	πρωτοφανή	空前	πρωτοφανός	N	N;ACC;FEM;SG
大炮	κανόνια	大炮	κανόνι	N	N;NOM;NEUT;PL
大炮	κανόνι	大炮	κανόνι	N	N;NOM;NEUT;SG
大炮	πυροβολικό	大炮	πυροβολικός	N	N;NOM;NEUT;SG
明智	σοφοί	明智	σοφοί	N	N;NOM;MASC;PL
明智	σοφός	明智	σοφός	N	N;NOM;MASC;SG
抽籤	επιστήσω	抽籤	εφιστώ	V	V;PFV;IND;SG;1;FIN;ACT
椅	καρέκλες	椅	καρέκλος	N	N;NOM;FEM;PL
椅	πολυθρόνα	椅	πολυθρόνω	N	N;NOM;FEM;SG
椅	καρέκλα	椅	καρέκλος	N	N;NOM;FEM;SG
聖人	αγίων	聖人	άγιος	N	N;GEN;NEUT;PL
捕獲	συλλαμβάνει	捕獲	συλλαμβάνω	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
聽眾	ακροατής	聽眾	ακροατής	N	N;NOM;MASC;SG
聽眾	ακροατές	聽眾	ακροατός	N	N;NOM;MASC;PL
蒜	σκόρδο	蒜	σκόρδος	N	N;NOM;NEUT;SG
居所	κατοικία	居所	κατοικία	N	N;NOM;FEM;SG
居所	διαμονής	居所	διαμονή	N	N;GEN;FEM;SG
居所	οικία	居所	οικία	N	N;NOM;FEM;SG
優點	πλεονεκτήματα	優點	πλεονέκτημα	N	N;NOM;NEUT;PL
優點	πλεονέκτημα	優點	πλεονέκτημα	N	N;NOM;NEUT;SG
思維	σκέψης	思維	σκέψη	N	N;GEN;FEM;SG
思維	σκέψη	思維	σκέψη	N	N;NOM;FEM;SG
計程	ταξί	計程	ταξί	N	N;NOM;NEUT;PL
天花	ευλογιά	天花	ευλογιά	N	N;NOM;FEM;SG
昂貴	ακριβός	昂貴	ακριβός	N	N;NOM;MASC;SG
小丑	καραγκιόζης	小丑	καραγκιόζη	N	N;NOM;MASC;SG
小丑	κλόουν	小丑	κλόω	N	N;NOM;MASC;PL
語氣	τόνο	語氣	τόνος	N	N;ACC;MASC;SG
語氣	τόνος	語氣	τόνος	N	N;NOM;MASC;SG
隔離	απομόνωση	隔離	απομόνωση	N	N;ACC;FEM;SG
隔離	διαχωρισμός	隔離	διαχωρισμός	N	N;NOM;MASC;SG
隔離	διαχωρισμό	隔離	διαχωρισμός	N	N;ACC;MASC;SG
中	διάμεση	中	διάμεση	N	N;NOM;FEM;SG
中	διάμεσο	中	διάμεσος	N	N;NOM;NEUT;SG
摔	πάλη	摔	πάλη	N	N;NOM;FEM;SG
高爾夫	γκολφ	高爾夫	γκολφ	N	N;NOM;NEUT;SG
證書	βεβαιώσεις	證書	βεβαίωση	N	N;NOM;FEM;PL
證書	πιστοποιητικό	證書	πιστοποιητικό	N	N;NOM;NEUT;SG
山脊	κορυφογραμμή	山脊	κορυφογραμμή	N	N;NOM;FEM;SG
惡作	φάρσα	惡作	φάρσω	N	N;NOM;FEM;SG
佈局	διαρρύθμιση	佈局	διαρρύθμιση	N	N;NOM;FEM;SG
佈局	διάταξη	佈局	διάταξη	N	N;ACC;FEM;SG
拳擊	πυγμαχία	拳擊	πυγμαχία	N	N;NOM;FEM;SG
青蛙	βατράχια	青蛙	βατράχιο	N	N;NOM;NEUT;PL
青蛙	βάτραχος	青蛙	βάτραχος	N	N;NOM;MASC;SG
青蛙	βάτραχο	青蛙	βάτραχος	N	N;NOM;NEUT;SG
面板	πάνελ	面板	πάνελ	N	N;NOM;NEUT;SG
高	αποτελεσματική	高	αποτελεσματικός	ADJ	ADJ;NOM;FEM;SG
高	αποτελεσματικό	高	αποτελεσματικός	ADJ	ADJ;NOM;NEUT;SG
高	αποδοτικό	高	αποδοτικός	ADJ	ADJ;NOM;NEUT;SG
高	αποδοτική	高	αποδοτικός	ADJ	ADJ;NOM;FEM;SG
伴隨	συνοδεύει	伴隨	συνοδεύω	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
骨灰	στάχτες	骨灰	στάχ	N	N;NOM;FEM;PL
骨灰	στάχτη	骨灰	στάχτης	N	N;NOM;FEM;SG
骨灰	τέφρα	骨灰	τέφρα	N	N;NOM;FEM;SG
預留	προορίζεται	預留	προορίζω	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
商家	έμπορος	商家	έμπορος	N	N;NOM;MASC;SG
商家	έμποροι	商家	έμπορος	N	N;NOM;MASC;PL
執照	άδειες	執照	άδεια	N	N;NOM;FEM;PL
執照	άδεια	執照	άδεια	N	N;NOM;FEM;SG
執照	αδεια	執照	αδεια	N	N;NOM;FEM;SG
執照	δίπλωμα	執照	δίπλωμα	N	N;NOM;NEUT;SG
執照	άδεια	執照	άδεια	N	N;NOM;FEM;SG
煩惱	ιδιαιτερότητες	煩惱	ιδιαιτερότητα	N	N;NOM;FEM;PL
脊椎	σπονδυλωτά	脊椎	σπονδυλωτός	N	N;NOM;NEUT;PL
粉紅	ροζ	粉紅	ροζ	N	N;NOM;FEM;SG
軍營	στρατώνα	軍營	στρατώνα	N	N;ACC;MASC;SG
軍營	στρατώνες	軍營	στρατώνα	N	N;NOM;FEM;PL
頸部	λαιμό	頸部	λαιμός	N	N;NOM;NEUT;SG
頸部	σβέρκο	頸部	σβέρκο	N	N;NOM;NEUT;SG
頸部	λαιμός	頸部	λαιμός	N	N;NOM;MASC;SG
定制	προσαρμοσμένο	定制	προσαρμόζω	V	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
定制	προσαρμοσμένη	定制	προσαρμόζω	V	V;PFV;NOM;FEM;SG;V.PTCP;PASS
定制	προσαρμοσμένο	定制	προσαρμόζω	V	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
定制	προσαρμοσμένη	定制	προσαρμόζω	V	V;PFV;NOM;FEM;SG;V.PTCP;PASS
火花	σπίθα	火花	σπίθα	N	N;NOM;FEM;SG
火花	σπαρκς	火花	σπαρκς	N	N
火花	σπίθες	火花	σπίθη	N	N;NOM;FEM;PL
火花	σπίθα	火花	σπίθα	N	N;NOM;FEM;SG
脈	παλμοί	脈	παλμός	N	N;NOM;MASC;PL
脈	παλμούς	脈	παλμός	N	N;ACC;MASC;PL
脈	παλμός	脈	παλμός	N	N;NOM;MASC;SG
脈	σφυγμός	脈	σφυγμός	N	N;NOM;MASC;SG
脈	παλμό	脈	παλμός	N	N;ACC;MASC;SG
電器	συσκευές	電器	συσκευά	N	N;NOM;FEM;PL
客房	αίθουσες	客房	αίθουσα	N	N;NOM;FEM;PL
客房	δωμάτια	客房	δωμάτι	N	N;NOM;NEUT;PL
伸展	τέντωμα	伸展	τέντωμα	N	N;NOM;NEUT;SG
餐	τραπεζαρία	餐	τραπεζαρία	N	N;NOM;FEM;SG
餐	τροφοδοσίας	餐	τροφοδοσία	N	N;GEN;FEM;SG
餐	τροφοδοσία	餐	τροφοδοσία	N	N;ACC;FEM;SG
眼淚	δάκρυ	眼淚	δάκρυ	N	N;NOM;NEUT;SG
眼淚	δάκρυα	眼淚	δάκρυο	N	N;NOM;NEUT;PL
特赦	αμνηστία	特赦	αμνηστία	N	N;ACC;FEM;SG
電影	κινηματογράφους	電影	κινηματογράφος	N	N;ACC;MASC;PL
電影	θέατρο	電影	θέατρο	N	N;NOM;NEUT;SG
電影	θεατρο	電影	θεατρο	N	N;NOM;FEM;SG
電影	κινηματογράφο	電影	κινηματογράφος	N	N;ACC;MASC;SG
電影	σινεμά	電影	σινεμά	N	N;NOM;NEUT;SG
電影	κινηματογράφος	電影	κινηματογράφος	N	N;NOM;MASC;SG
休假	αφήσω	休假	αφήνω	V	V;PFV;IND;SG;1;FIN;ACT
口音	προφορά	口音	προφορά	N	N;NOM;FEM;SG
肢	άκρο	肢	άκρο	N	N;NOM;NEUT;SG
肢	άκρα	肢	άκρα	N	N;NOM;NEUT;PL
王座	θρόνος	王座	θρόνος	N	N;NOM;MASC;SG
王座	θρόνο	王座	θρόνος	N	N;ACC;MASC;SG
核糖	ριβόζη	核糖	ριβόζη	N	N
偏好	προτίμηση	偏好	προτίμηση	N	N;ACC;FEM;SG
偏好	προτιμήσεις	偏好	προτίμηση	N	N;NOM;FEM;PL
偏好	προτιμήσεων	偏好	προτίμηση	N	N;GEN;FEM;PL
糖果	γλυκά	糖果	γλυκά	N	N;NOM;NEUT;PL
糖果	γλυκά	糖果	γλυκά	N	N;NOM;NEUT;PL
糖果	καραμέλες	糖果	καράμελος	N	N;NOM;FEM;PL
糖果	καραμέλα	糖果	καραμέλα	N	N;NOM;FEM;SG
山寨	αγροικία	山寨	αγροικία	N	N;NOM;FEM;SG
擾動	αναταραχή	擾動	αναταραχή	N	N;NOM;FEM;SG
擾動	διαταραχή	擾動	διαταραχή	N	N;NOM;FEM;SG
擾動	διαταραχές	擾動	διαταραχή	N	N;NOM;FEM;PL
擾動	ταραχές	擾動	ταραχή	N	N;NOM;FEM;PL
擾動	διαταραχές	擾動	διαταραχή	N	N;NOM;FEM;PL
範例	παραδείγματα	範例	παράδειγμα	N	N;NOM;NEUT;PL
範例	παράδειγμα	範例	παράδειγμα	N	N;NOM;NEUT;SG
範例	παραδειγμα	範例	παραδειγμα	N	N;NOM;NEUT;SG
施政	διακυβέρνηση	施政	διακυβέρνηση	N	N;ACC;FEM;SG
瘟疫	πανούκλα	瘟疫	πανούκλο	N	N;NOM;FEM;SG
瘟疫	πανώλη	瘟疫	πανώλης	N	N;NOM;FEM;SG
瘟疫	πανούκλα	瘟疫	πανούκλο	N	N;NOM;FEM;SG
瘟疫	μάστιγα	瘟疫	μάστιγα	N	N;NOM;FEM;SG
捍衛	υπερασπιστεί	捍衛	υπερασπίζω	V	V;PFV;NFIN;PASS
奔	τρέχει	奔	τρέχω	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
奔	τρέχοντας	奔	τρέχων	V	V;IPFV;V.CVB;ACT
奔	τρέχω	奔	τρέχω	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
括號	παρένθεση	括號	παρένθεση	N	N;NOM;FEM;SG
震驚	σοκαριστικό	震驚	σοκαριστικός	N	N;NOM;NEUT;SG
震驚	σοκ	震驚	σοκ	N	N
貨櫃	κοντέινερ	貨櫃	κοντέινερ	N	N;NOM;NEUT;PL
貨櫃	δεξαμενή	貨櫃	δεξαμενή	N	N;NOM;FEM;SG
貨櫃	δοχείο	貨櫃	δοχείο	N	N;NOM;NEUT;SG
貨櫃	δοχεία	貨櫃	δοχεία	N	N;NOM;NEUT;PL
貨櫃	εμπορευματοκιβώτια	貨櫃	εμπορευματοκιβώτιο	N	N;NOM;NEUT;PL
貨櫃	κοντέινερ	貨櫃	κοντέινερ	N	N;NOM;NEUT;PL
貨櫃	περιέκτες	貨櫃	περιέκτης	N	N;NOM;MASC;PL
協作	συνεργασίες	協作	συνεργασία	N	N;NOM;FEM;PL
郵件	αλληλογραφία	郵件	αλληλογραφία	N	N;NOM;FEM;SG
郵件	ταχυδρομείο	郵件	ταχυδρομείο	N	N;NOM;NEUT;SG
無視	αγνοήστε	無視	αγνόώ	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
無視	αγνόησε	無視	αγνοώ	V	V;PFV;IND;SG;3;PST;FIN;ACT
無視	αγνοήσω	無視	αγνοώ	V	V;PFV;IND;SG;1;FIN;ACT
無視	αγνοώντας	無視	αγνοώ	V	V;IPFV;V.CVB;ACT
材質	υλικά	材質	υλικά	N	N;NOM;NEUT;PL
材質	υλικό	材質	υλικό	N	N;NOM;NEUT;SG
虧損	απώλειες	虧損	απώλεια	N	N;NOM;FEM;PL
虧損	απώλεια	虧損	απώλεια	N	N;ACC;FEM;SG
虧損	ζημία	虧損	ζημία	N	N;ACC;FEM;SG
虧損	απώλειες	虧損	απώλεια	N	N;NOM;FEM;PL
虧損	ήττες	虧損	ήττα	N	N;NOM;FEM;PL
虧損	ζημίες	虧損	ζημία	N	N;NOM;FEM;PL
虧損	έλλειμμα	虧損	έλλειμμα	N	N;NOM;NEUT;SG
熔	λιώσιμο	熔	λιώσιμος	N	N;NOM;NEUT;SG
口袋	τσέπης	口袋	τσέπης	N	N;GEN;FEM;SG
口袋	τσέπη	口袋	τσέπη	N	N;ACC;FEM;SG
口袋	τσέπες	口袋	τσέπα	N	N;NOM;FEM;PL
口袋	θύλακες	口袋	θύλακας	N	N;NOM;MASC;PL
蜜蜂	μέλισσες	蜜蜂	μέλισσα	N	N;NOM;FEM;PL
蜜蜂	μέλισσα	蜜蜂	μέλισσα	N	N;NOM;FEM;SG
瑜伽	γιόγκα	瑜伽	γιόγκα	N	N;NOM;FEM;SG
硫磺	θειάφι	硫磺	θειάφι	N	N;NOM;NEUT;SG
硫磺	θείο	硫磺	θείο	N	N;NOM;NEUT;SG
硫磺	θειάφι	硫磺	θειάφι	N	N;NOM;NEUT;SG
硫磺	θείο	硫磺	θείο	N	N;NOM;NEUT;SG
硫磺	θείου	硫磺	θείος	N	N;GEN;NEUT;SG
快艇	ταχύπλοα	快艇	ταχύπλοο	N	N;NOM;NEUT;PL
快艇	ταχύπλοο	快艇	ταχύπλοο	N	N;NOM;NEUT;SG
療	θεραπεία	療	θεραπείο	N	N;NOM;FEM;SG
療	θεραπείες	療	θεραπεία	N	N;NOM;FEM;PL
狐狸	αλεπού	狐狸	αλεπός	N	N;NOM;FEM;SG
石灰	ασβεστόλιθο	石灰	ασβεστόλιθος	N	N;NOM;NEUT;SG
閏	άλμα	閏	άλμα	N	N;NOM;NEUT;SG
站立	στέκεται	站立	στέκω	V	V;IPFV;IND;SG;3;PRS;FIN;PASS
站立	σταθεί	站立	στέκω	V	V;PFV;NFIN;PASS
風車	ανεμόμυλο	風車	ανεμόμυλος	N	N;ACC;MASC;SG
風車	ανεμόμυλους	風車	ανέμομυλος	N	N;ACC;MASC;PL
同化	αφομοιώσουν	同化	αφομοιώνω	V	V;PFV;IND;PL;3;FIN;ACT
同化	αφομοιωθεί	同化	αφομοιώνω	V	V;PFV;NFIN;PASS
鍋	χόρτο	鍋	χόρτος	N	N;NOM;NEUT;SG
鍋	γλάστρα	鍋	γλάστρα	N	N;NOM;FEM;SG
職責	δασμός	職責	δασμός	N	N;NOM;MASC;SG
職責	καθήκον	職責	καθήκον	N	N;NOM;NEUT;SG
職責	δασμοί	職責	δασμός	N	N;NOM;MASC;PL
職責	καθήκοντα	職責	καθήκον	N	N;NOM;NEUT;PL
孵化	εκκολαφθεί	孵化	εκκολαμβάνω	V	V;PFV;IND;SG;3;FIN;PASS
文藝	αναγέννηση	文藝	αναγέννηση	N	N;ACC;FEM;SG
忠誠	πίστη	忠誠	πίστα	N	N;NOM;FEM;SG
忠誠	αφοσίωση	忠誠	αφοσίωση	N	N;ACC;FEM;SG
祖國	πατρίδα	祖國	πατρίδα	N	N;ACC;FEM;SG
祖國	πατρίδα	祖國	πατρίδα	N	N;ACC;FEM;SG
老化	γήρανσης	老化	γήρανση	N	N;GEN;FEM;SG
老化	γήρανση	老化	γήρανση	N	N;NOM;FEM;SG
老化	γήρανσης	老化	γήρανση	N	N;GEN;FEM;SG
老化	γήρανση	老化	γήρανση	N	N;NOM;FEM;SG
