ve	та	ve	та	CONJ	CONJ
televizyon	телебачення	televizyon	телебачення	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
durum	стан	durum	стан	N;NOM;SG;3	N;INAN;NOM;MASC;SG
durum	статус	durum	статус	N;NOM;SG;3	N;INAN;NOM;MASC;SG
durum	ситуація	durum	ситуація	N;NOM;SG;3	N;INAN;NOM;FEM;SG
durum	становище	durum	становище	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
durum	умова	durum	умова	N;NOM;SG;3	N;INAN;NOM;FEM;SG
gelenek	традиція	gelenek	традиція	N;NOM;SG;3	N;INAN;NOM;FEM;SG
yanlış	неправильна	yanlış	неправильний	ADJ	ADJ;NOM;FEM;SG
yanlış	неправильний	yanlış	неправильний	ADJ	ADJ;NOM;MASC;SG
yanlış	неправильне	yanlış	неправильний	ADJ	ADJ;NOM;NEUT;SG
yanlış	неправильна	yanlış	неправильний	ADJ	ADJ;NOM;FEM;SG
yanlış	неправильний	yanlış	неправильний	ADJ	ADJ;NOM;MASC;SG
al	візьми	al	узяти	V;PFV;IMP;SG;2;POS;PRS	V;PFV;IMP;SG;2;FIN
al	взяти	al	взяти	V;PFV;IMP;SG;2;POS;PRS	V;PFV;NFIN
al	отримати	al	отримати	V;PFV;IMP;SG;2;POS;PRS	V;PFV;NFIN
ses	звук	ses	звук	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ses	голос	ses	голос	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ses	аудіо	ses	аудіо	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
ses	шум	ses	шум	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ses	гучність	ses	гучність	N;NOM;SG;3	N;INAN;NOM;FEM;SG
milli	національна	milli	національний	ADJ	ADJ;NOM;FEM;SG
milli	національне	milli	національний	ADJ	ADJ;NOM;NEUT;SG
milli	національний	milli	національний	ADJ	ADJ;NOM;MASC;SG
milli	національні	milli	національний	ADJ	ADJ;NOM;PL
kitap	книжка	kitap	книжка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kitap	книга	kitap	книга	N;NOM;SG;3	N;INAN;NOM;FEM;SG
ödülleri	винагороди	ödül	винагорода	N;NOM;PL;3	N;INAN;NOM;FEM;PL
ödülleri	нагороди	ödül	нагорода	N;NOM;PL;3	N;INAN;NOM;MASC;PL
kaldı	залишилося	kal	залишитися	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;IND;SG;PST;FIN
kaldı	залишилось	kal	залишитися	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;IND;SG;PST;FIN
kaldı	лишилось	kal	лишитися	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;IND;SG;PST;FIN
kaldı	зупинилась	kal	зупинитися	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
kaldı	залишився	kal	залишитися	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
bakanı	міністр	bakan	міністр	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
geçti	пройшов	geç	пройти	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
geçti	перейшов	geç	перейти	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
krallık	царство	krallık	царство	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
krallık	королівство	krallık	королівство	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
doğdu	народився	doğ	народитися	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
doğdu	народилась	doğ	народитися	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
doğdu	народилася	doğ	народитися	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
ortak	партнерські	ortak	партнерський	ADJ	ADJ;NOM;PL
başkanlığı	президія	başkanlık	президія	N;NOM;SG;3	N;INAN;NOM;FEM;SG
bakanlığı	міністерства	bakanlık	міністерство	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
bakanlığı	міністерство	bakanlık	міністерство	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
durumu	стан	durum	стан	N;NOM;SG;3	N;INAN;NOM;MASC;SG
durumu	статус	durum	статус	N;NOM;SG;3	N;INAN;NOM;MASC;SG
durumu	умова	durum	умова	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kırmızı	червона	kırmızı	червоний	ADJ	ADJ;NOM;FEM;SG
kırmızı	червоний	kırmızı	червоний	ADJ	ADJ;NOM;MASC;SG
kırmızı	червоне	kırmızı	червоний	ADJ	ADJ;NOM;NEUT;SG
kırmızı	червоні	kırmızı	червоний	ADJ	ADJ;NOM;PL
atatürk	ататюрк	atatürk	ататюрк	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
yardım	допомога	yardım	допомога	N;NOM;SG;3	N;INAN;NOM;FEM;SG
yardım	довідка	yardım	довідка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
oranı	частота	oran	частота	N;NOM;SG;3	N;INAN;NOM;FEM;SG
oranı	швидкість	oran	швидкість	N;NOM;SG;3	N;INAN;NOM;FEM;SG
oranı	ставка	oran	ставка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
oranı	коефіцієнт	oran	коефіцієнт	N;NOM;SG;3	N;INAN;NOM;MASC;SG
oranı	співвідношення	oran	співвідношення	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
şarkıcı	співак	şarkıcı	співак	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
şarkıcı	співачка	şarkıcı	співачка	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
katıldı	приєднався	kat	приєднатися	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;MASC;IND;SG;PST;FIN
katıldı	долучився	kat	долучитися	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;MASC;IND;SG;PST;FIN
katıldı	приєдналася	kat	приєднатися	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;FEM;IND;SG;PST;FIN
hafta	тиждень	hafta	тиждень	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ekonomik	економічне	ekonomik	економічний	ADJ	ADJ;NOM;NEUT;SG
ekonomik	економічні	ekonomik	економічний	ADJ	ADJ;NOM;PL
ekonomik	економічна	ekonomik	економічний	ADJ	ADJ;NOM;FEM;SG
ekonomik	економічний	ekonomik	економічний	ADJ	ADJ;NOM;MASC;SG
ekonomik	економічне	ekonomik	економічний	ADJ	ADJ;NOM;NEUT;SG
adam	гай	adam	гай	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
adam	хлопець	adam	хлопець	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
adam	адам	adam	адам	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
adam	людина	adam	людина	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
adam	чоловік	adam	чоловік	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
adam	мужчина	adam	мужчина	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
hizmet	служба	hizmet	служба	N;NOM;SG;3	N;INAN;NOM;FEM;SG
hizmet	послуга	hizmet	послуга	N;NOM;SG;3	N;INAN;NOM;FEM;SG
hizmet	сервіс	hizmet	сервес	N;NOM;SG;3	N;INAN;NOM;MASC;SG
düzenlenen	проведено	düzenle	провести	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;0;FIN
girdi	увійшов	gir	увійти	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
yıllar	роки	yıl	рік	N;NOM;PL;3	N;INAN;NOM;MASC;PL
sürekli	постійно	sürekli	постійно	ADV	ADV
basketbol	баскетбол	basketbol	баскетбол	N;NOM;SG;3	N;INAN;NOM;MASC;SG
kullanımı	користування	kullanım	користування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
kullanımı	використання	kullanım	використання	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
kullanımı	користування	kullanım	користування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
kullanımı	використання	kullanım	використання	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
kullanımı	користування	kullanım	користування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
kullanımı	використання	kullanım	використання	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
belli	певних	belli	певний	ADJ	ADJ;GEN;PL
belli	певні	belli	певний	ADJ	ADJ;NOM;PL
belli	конкретний	belli	конкретний	ADJ	ADJ;NOM;MASC;SG
belli	певна	belli	певний	ADJ	ADJ;NOM;FEM;SG
belli	очевидне	belli	очевидний	ADJ	ADJ;NOM;NEUT;SG
belli	очевидна	belli	очевидний	ADJ	ADJ;NOM;FEM;SG
öldü	помер	öl	померти	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
öldü	померла	öl	померти	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
öldü	помер	öl	померти	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
öldü	померла	öl	померти	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
hızlı	швидкі	hızlı	швидкий	ADJ	ADJ;NOM;PL
hızlı	швидке	hızlı	швидке	ADJ	ADJ;NOM;NEUT;SG
hızlı	швидка	hızlı	швидкий	ADJ	ADJ;NOM;FEM;SG
hızlı	швидкий	hızlı	швидкий	ADJ	ADJ;NOM;MASC;SG
hızlı	швидкі	hızlı	швидкий	ADJ	ADJ;NOM;PL
hızlı	швидке	hızlı	швидке	ADJ	ADJ;NOM;NEUT;SG
hızlı	швидка	hızlı	швидкий	ADJ	ADJ;NOM;FEM;SG
hızlı	швидкий	hızlı	швидкий	ADJ	ADJ;NOM;MASC;SG
aslında	насправді	aslında	насправді	ADV	ADV
aslında	взагалі	aslında	взагалі	ADV	ADV
zaten	уже	zaten	уже	ADV	ADV
zaten	вже	zaten	вже	ADV	ADV
milletvekili	конгресмен	milletvekili	конгресмен	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
sayfası	сторінка	sayfa	сторінка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
değişiklik	зміна	değişiklik	зміна	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kulübü	клуб	kulüb	клуб	N;NOM;SG;3	N;INAN;NOM;MASC;SG
fark	реалізація	fark	реалізація	N;NOM;SG;3	N;INAN;NOM;FEM;SG
fark	різниця	fark	різниця	N;NOM;SG;3	N;INAN;NOM;FEM;SG
fark	різниці	fark	різник	N;NOM;SG;3	N;INAN;NOM;FEM;SG
ilçesi	улус	ilçe	улус	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ilçesi	округ	ilçe	округ	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ilçesi	район	ilçe	район	N;NOM;SG;3	N;INAN;NOM;MASC;SG
yayınlanan	оприлюднено	yayınla	оприлюднити	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;0;FIN
yayınlanan	опубліковано	yayınla	опубліковано	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;0;FIN
kendini	себе	kendi	себе	PRO;ACC;SG;3;REFL	PRO;ACC;REFL
güncelleme	оновити	güncelle	оновити	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;PFV;NFIN
baş	голова	baş	голова	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
baş	голівка	baş	голівка	N;NOM;SG;3	N;INAN;NOM;FEM;SG
yaşam	життя	yaşam	життя	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
isim	назва	isim	назва	N;NOM;SG;3	N;INAN;NOM;FEM;SG
gece	ніч	gece	ніч	N;NOM;SG;3	N;INAN;NOM;FEM;SG
bilgiler	інформації	bilgi	інформація	N;NOM;PL;3	N;INAN;NOM;FEM;PL
bilgiler	відомості	bilgi	відомість	N;NOM;PL;3	N;INAN;NOM;FEM;PL
site	сайт	sit	сайт	N;NOM;SG;3	N;INAN;NOM;MASC;SG
site	сайт	sit	сайт	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sınıf	клас	sınıf	клас	N;NOM;SG;3	N;INAN;NOM;MASC;SG
dizisi	послідовність	dizi	послідовність	N;NOM;SG;3	N;INAN;NOM;FEM;SG
yapılmış	зробила	yap	зробити	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN
yapıldı	зробила	yap	зробити	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;FEM;IND;SG;PST;FIN
park	парк	park	парк	N;NOM;SG;3	N;INAN;NOM;MASC;SG
park	паркінг	park	паркінг	N;NOM;SG;3	N;INAN;NOM;MASC;SG
park	паркування	park	паркування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
siyasetçi	політик	siyasetçi	політик	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
edebiyat	література	edebiyat	література	N;NOM;SG;3	N;INAN;NOM;FEM;SG
haber	новина	haber	новина	N;NOM;SG;3	N;INAN;NOM;FEM;SG
annesi	матір	anne	мати	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
annesi	мати	anne	мати	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
çalıştı	спрацювало	çalış	спрацювати	V;PFV;IND;SG;3;POS;PST	V;PFV;NEUT;IND;SG;PST;FIN
yönetimi	управління	yönetim	управління	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
yönetimi	менеджмент	yönetim	менеджмент	N;NOM;SG;3	N;INAN;NOM;MASC;SG
yönetimi	керівництво	yönetim	керівництво	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
yönetimi	керування	yönetim	керування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
yönetimi	адміністрація	yönetim	адміністрація	N;NOM;SG;3	N;INAN;NOM;FEM;SG
yönetimi	адміністрування	yönetim	адміністрування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
bulundu	знайшов	bulun	знайти	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
bulundu	знайшовся	bulun	знайтися	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
bulundu	знайшла	bulun	знайти	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
bazen	інколи	bazen	інколи	ADV	ADV
bazen	деколи	bazen	деколи	ADV	ADV
bazen	іноді	bazen	іноді	ADV	ADV
doğum	народження	doğum	народження	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
doğum	материнство	doğum	материнство	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
güvenlik	безпека	güvenlik	безпека	N;NOM;SG;3	N;INAN;NOM;FEM;SG
güvenlik	безпека	güvenlik	безпека	N;NOM;SG;3	N;INAN;NOM;FEM;SG
başkenti	капітал	başkent	капітал	N;NOM;SG;3	N;INAN;NOM;MASC;SG
başkenti	столиця	başkent	столиця	N;NOM;SG;3	N;INAN;NOM;FEM;SG
hala	ще	hala	ще	ADV	ADV
hala	надалі	hala	надалі	ADV	ADV
hala	досі	hala	досі	ADV	ADV
camii	мечеть	camii	мечти	N;NOM;SG;3	N;INAN;NOM;FEM;SG
derneği	асоціація	dernek	асоціація	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kuruldu	заснував	kur	заснувати	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;MASC;IND;SG;PST;FIN
enstitüsü	інститут	enstitü	інститут	N;NOM;SG;3	N;INAN;NOM;MASC;SG
öğretim	інструкція	öğretim	інструкція	N;NOM;SG;3	N;INAN;NOM;FEM;SG
öğretim	факультет	öğretim	факультет	N;NOM;SG;3	N;INAN;NOM;MASC;SG
dikkat	увага	dikkat	увага	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kurulmuş	заснував	kur	заснувати	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;PFV;MASC;IND;SG;PST;FIN
bilimsel	науковий	bilimsel	науковий	ADJ	ADJ;NOM;MASC;SG
bilimsel	наукових	bilimsel	науковий	ADJ	ADJ;GEN;PL
bilimsel	наукова	bilimsel	науковий	ADJ	ADJ;NOM;FEM;SG
aşk	любов	aşk	любов	N;NOM;SG;3	N;INAN;NOM;FEM;SG
aşk	кохання	aşk	кохання	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
etkisi	вплив	etki	вплив	N;NOM;SG;3	N;INAN;NOM;MASC;SG
etkisi	перебіг	etki	перебігти	N;NOM;SG;3	N;INAN;NOM;MASC;SG
etkisi	вплив	etki	вплив	N;NOM;SG;3	N;INAN;NOM;MASC;SG
etkisi	ефект	etki	ефект	N;NOM;SG;3	N;INAN;NOM;MASC;SG
müdürlüğü	директорія	müdürlük	директорія	N;NOM;SG;3	N;INAN;NOM;FEM;SG
yeşil	зелене	yeşil	зелений	ADJ	ADJ;NOM;NEUT;SG
yeşil	зелені	yeşil	зелений	ADJ	ADJ;NOM;PL
yeşil	зелений	yeşil	зелений	ADJ	ADJ;NOM;MASC;SG
ailesi	сімейство	aile	сімейство	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
ailesi	родина	aile	родина	N;NOM;SG;3	N;INAN;NOM;FEM;SG
insanlar	люди	insan	людина	N;NOM;PL;3	N;ANIM;NOM;FEM;PL
insanlar	люди	insan	людина	N;NOM;PL;3	N;ANIM;NOM;FEM;PL
parçası	частина	parça	частина	N;NOM;SG;3	N;INAN;NOM;FEM;SG
sınırları	межі	sınır	межа	N;NOM;PL;3	N;INAN;NOM;FEM;PL
sınırları	кордони	sınır	кордон	N;NOM;PL;3	N;INAN;NOM;MASC;PL
sınırları	межі	sınır	межа	N;NOM;PL;3	N;INAN;NOM;FEM;PL
sınırları	кордони	sınır	кордон	N;NOM;PL;3	N;INAN;NOM;MASC;PL
sınırları	границі	sınır	границя	N;NOM;PL;3	N;INAN;NOM;FEM;PL
sınırları	межі	sınır	межа	N;NOM;PL;3	N;INAN;NOM;FEM;PL
parlaklık	світність	parlaklık	світність	N;NOM;SG;3	N;INAN;NOM;FEM;SG
parlaklık	яскравість	parlaklık	яскравість	N;NOM;SG;3	N;INAN;NOM;FEM;SG
demokratik	демократичні	demokratik	демократичний	ADJ	ADJ;NOM;PL
demokratik	демократичний	demokratik	демократичний	ADJ	ADJ;NOM;MASC;SG
demokratik	демократична	demokratik	демократичний	ADJ	ADJ;NOM;FEM;SG
sistem	система	sistem	система	N;NOM;SG;3	N;INAN;NOM;FEM;SG
şimdi	тепер	şimdi	тепер	ADV	ADV
şimdi	зараз	şimdi	зараз	ADV	ADV
eyaleti	еялет	eyalet	еялет	N;NOM;SG;3	N;INAN;NOM;MASC;SG
amacı	мета	amaç	мета	N;NOM;SG;3	N;INAN;NOM;FEM;SG
özellikleri	характеристики	özellik	характеристика	N;NOM;PL;3	N;INAN;NOM;FEM;PL
özellikleri	атрибути	özellik	атрибути	N;NOM;PL;3	N;INAN;NOM;MASC;PL
özellikleri	особливості	özellik	особливість	N;NOM;PL;3	N;INAN;NOM;FEM;PL
özellikleri	можливості	özellik	можливість	N;NOM;PL;3	N;INAN;NOM;FEM;PL
özellikleri	властивості	özellik	властивість	N;NOM;PL;3	N;INAN;NOM;FEM;PL
kişilik	особистість	kişilik	особистість	N;NOM;SG;3	N;INAN;NOM;FEM;SG
boş	порожнім	boş	порожній	ADJ	ADJ;INS;FEM;SG
boş	порожнє	boş	порожній	ADJ	ADJ;NOM;NEUT;SG
boş	порожня	boş	порожній	ADJ	ADJ;NOM;FEM;SG
boş	порожні	boş	порожній	ADJ	ADJ;NOM;PL
boş	порожній	boş	порожній	ADJ	ADJ;DAT;FEM;SG
boş	порожній	boş	порожній	ADJ	ADJ;DAT;FEM;SG
adası	острів	ada	острів	N;NOM;SG;3	N;INAN;NOM;MASC;SG
adası	острів	ada	острів	N;NOM;SG;3	N;INAN;NOM;MASC;SG
kim	хто	kim	хто	PRO;NOM;SG;3	PRO;ANIM;NOM;MASC;SG
alınan	отримано	al	отримати	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;0;FIN
alınan	взято	al	взяти	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;0;FIN
alınan	зроблено	al	зробити	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;0;FIN
federasyonu	федерація	federasyon	федерація	N;NOM;SG;3	N;INAN;NOM;FEM;SG
uyum	гармонія	uyum	гармонія	N;NOM;SG;3	N;INAN;NOM;FEM;SG
resimleri	картинки	resim	картинка	N;NOM;PL;3	N;INAN;NOM;FEM;PL
yapısı	структура	yapı	структура	N;NOM;SG;3	N;INAN;NOM;FEM;SG
iletişim	комунікація	iletiş	комунікація	N;NOM;SG;3	N;INAN;NOM;FEM;SG
iletişim	спілкування	iletiş	спілкування	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
iletişim	контакт	iletiş	контакт	N;NOM;SG;3	N;INAN;NOM;MASC;SG
attı	закинув	at	закинути	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
attı	кинув	at	кинути	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
attı	кинула	at	кинути	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
öğrenci	кадет	öğrenci	кадет	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
öğrenci	студентка	öğrenci	студентка	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
öğrenci	студент	öğrenci	студент	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
üyeleri	учасники	üye	учасник	N;NOM;PL;3	N;ANIM;NOM;MASC;PL
üyeleri	члени	üye	член	N;NOM;PL;3	N;ANIM;NOM;MASC;PL
kolay	легка	kolay	легка	ADJ	ADJ;NOM;FEM;SG
kolay	легкі	kolay	легкий	ADJ	ADJ;NOM;PL
kolay	легке	kolay	легке	ADJ	ADJ;NOM;NEUT;SG
baba	тато	baba	тато	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
baba	тато	baba	тато	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
baba	батько	baba	батько	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
baba	отець	baba	отець	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
sonuçlar	результати	sonuç	результат	N;NOM;PL;3	N;INAN;NOM;MASC;PL
sonuçlar	наслідки	sonuç	наслідок	N;NOM;PL;3	N;INAN;NOM;MASC;PL
sonuçlar	висновки	sonuç	висновок	N;NOM;PL;3	N;INAN;NOM;MASC;PL
onları	їх	o	вони	PRO;ACC;PL;3	PRO;ACC;PL;3
soğuk	холодні	soğuk	холодний	ADJ	ADJ;NOM;PL
soğuk	холодна	soğuk	холодний	ADJ	ADJ;NOM;FEM;SG
soğuk	холодний	soğuk	холодний	ADJ	ADJ;NOM;MASC;SG
kültürel	культурний	kültürel	культурний	ADJ	ADJ;NOM;MASC;SG
kültürel	культурні	kültürel	культурний	ADJ	ADJ;NOM;PL
kurdu	вовк	kurt	вовк	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
birisi	хтось	biri	хтось	PRO;NOM;SG;3	PRO;ANIM;NOM
birisi	хтось	biri	хтось	PRO;NOM;SG;3	PRO;ANIM;NOM
projesi	проект	proje	проект	N;NOM;SG;3	N;INAN;NOM;MASC;SG
nedeni	мотив	neden	мотив	N;NOM;SG;3	N;INAN;NOM;MASC;SG
nedeni	причина	neden	причина	N;NOM;SG;3	N;INAN;NOM;FEM;SG
nedeni	привід	neden	привід	N;NOM;SG;3	N;INAN;NOM;MASC;SG
nedeni	причина	neden	причина	N;NOM;SG;3	N;INAN;NOM;FEM;SG
kararı	рішення	karar	рішення	N;NOM;SG;3	N;INAN;NOM;NEUT;SG
kişiler	особи	kişi	особа	N;NOM;PL;3	N;ANIM;NOM;FEM;PL
kişiler	люди	kişi	людина	N;NOM;PL;3	N;ANIM;NOM;FEM;PL
kişiler	контакти	kişi	контакт	N;NOM;PL;3	N;INAN;NOM;MASC;PL
uydu	супутник	uy	супутник	N;NOM;SG;3	N;INAN;NOM;MASC;SG
basit	просту	basit	простий	ADJ	ADJ;ACC;FEM;SG
basit	простий	basit	простий	ADJ	ADJ;NOM;MASC;SG
basit	проста	basit	простий	ADJ	ADJ;NOM;FEM;SG
basit	прості	basit	простий	ADJ	ADJ;NOM;PL
basit	просте	basit	прости	ADJ	ADJ;NOM;NEUT;SG
kaynaklar	джерела	kaynak	джерело	N;NOM;PL;3	N;INAN;NOM;NEUT;PL
kaynaklar	виконавці	kaynak	виконавець	N;NOM;PL;3	N;ANIM;NOM;MASC;PL
kaynaklar	ресурси	kaynak	ресурс	N;NOM;PL;3	N;INAN;NOM;MASC;PL
cumhurbaşkanı	президент	cumhurbaşkanı	президент	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
alındı	отримала	al	отримати	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;FEM;IND;SG;PST;FIN
alındı	забрала	al	забрати	V;PFV;IND;SG;3;POS;PST;PASS	V;PFV;FEM;IND;SG;PST;FIN
gitti	зник	git	зник	V;PFV;IND;SG;3;POS;PST	V;PFV;MASC;IND;SG;PST;FIN
gitti	зникла	git	зникнути	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;IND;SG;PST;FIN
boyu	висота	boy	висота	N;NOM;SG;3	N;INAN;NOM;FEM;SG
boyu	тривалість	boy	тривалість	N;NOM;SG;3	N;INAN;NOM;FEM;SG
boyu	довжина	boy	довжина	N;NOM;SG;3	N;INAN;NOM;FEM;SG
boyu	розмір	boy	розмір	N;NOM;SG;3	N;INAN;NOM;MASC;SG
belki	можливо	belki	можливо	ADV	ADV
defans	захисник	defans	захисник	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
defans	оборона	defans	оборона	N;NOM;SG;3	N;INAN;NOM;FEM;SG
defans	захист	defans	захист	N;NOM;SG;3	N;INAN;NOM;MASC;SG
defans	захист	defans	захист	N;NOM;SG;3	N;INAN;NOM;MASC;SG
yardımcısı	помічник	yardımcı	помічник	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
yardımcısı	депутат	yardımcı	депутат	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
yardımcısı	заступник	yardımcı	заступник	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
yardımcısı	віце	yardımcı	віце	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
yardımcısı	заступник	yardımcı	заступник	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
ad	назва	ad	назва	N;NOM;SG;3	N;INAN;NOM;FEM;SG
birden	раптово	birden	раптово	ADV	ADV
birden	раптом	birden	раптом	ADV	ADV
birden	несподівано	birden	несподівано	ADV	ADV
american	американець	american	американець	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
direktör	режисер	direk	режисер	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
direktör	директор	direk	директор	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
anne	матуся	anne	матуся	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
anne	матуся	anne	матуся	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
anne	мама	anne	мама	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
anne	матір	anne	мати	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
anne	мати	anne	мати	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
anne	мама	anne	мама	N;NOM;SG;3	N;ANIM;NOM;FEM;SG
ansiklopedik	енциклопедичний	ansiklopedik	енциклопедичний	ADJ	ADJ;NOM;MASC;SG
akademisi	академія	akadem	академія	N;NOM;SG;3	N;INAN;NOM;FEM;SG
