اتھاہ	adanc	اتھاہ	adanc		
اِشتمالی	comunistă	اِشتمالی	comunist	ADJ	ADJ;INDF;FEM;SG
اِشتمالی	comuniste	اِشتمالی	comunist	ADJ	ADJ;INDF;FEM;PL
اِشتمالیت	comunism	اِشتمالیت	comunism	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اشراف	aristocrat	اشراف	aristocra	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اشرافی	aristocratice	اشرافی	aristocratic	ADJ	ADJ;INDF;FEM;PL
اشعار	cuplete	اشعار	cuplet	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اشعار	versuri	اشعار	vers	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اُشن	fierbinte	وشن	fierbinte		
اشو	horse	اشو	horsă		
اشہب	gri	اشہب	gri		
اشہب	horse	اشہب	horsă		
اشیا	bunuri	شےء	bun	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اشیا	marfuri	شےء	marfă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اشیا	mărfuri	شےء	marfă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اشیا	lucruri	شےء	lucru	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اشیا	articole	شےء	articol	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اشیا	efecte	شےء	efect	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اصالتاً	practic	اصالتاً	practic	ADV	ADV
اصالتاً	categoric	اصالتاً	categoric	ADV	ADV
اصل	adevarat	اصل	adevarat	ADJ	ADJ;INDF;MASC;SG
اصل	pură	اصل	pur	ADJ	ADJ;INDF;FEM;SG
اصل	pura	اصل	pura	ADJ	ADJ;DEF;FEM;SG
اصل	nealterat	اصل	nealterat	ADJ	ADJ;INDF;MASC;SG
اصل	real	اصل	real	ADJ	ADJ;INDF;MASC;SG
اصل	reale	اصل	real	ADJ	ADJ;INDF;FEM;PL
اصل	reală	اصل	real	ADJ	ADJ;INDF;FEM;SG
اصل	standard	اصل	standard	ADJ	ADJ
اصل	legitima	اصل	legitimă	ADJ	ADJ;DEF;FEM;SG
اصل	legitim	اصل	legitim	ADJ	ADJ;INDF;MASC;SG
اصل	legitimă	اصل	legitim	ADJ	ADJ;INDF;FEM;SG
اصل	legitime	اصل	legitim	ADJ	ADJ;INDF;FEM;PL
اصل	originala	اصل	original	ADJ	ADJ;DEF;FEM;SG
اصل	originale	اصل	original	ADJ	ADJ;INDF;FEM;PL
اصل	original	اصل	original	ADJ	ADJ;INDF;MASC;SG
اصل	originală	اصل	original	ADJ	ADJ;INDF;FEM;SG
اصل	adevarat	اصل	adevarat	ADJ	ADJ;INDF;MASC;SG
اصل	pură	اصل	pur	ADJ	ADJ;INDF;FEM;SG
اصل	pura	اصل	pura	ADJ	ADJ;DEF;FEM;SG
اصل	nealterat	اصل	nealterat	ADJ	ADJ;INDF;MASC;SG
اصل	real	اصل	real	ADJ	ADJ;INDF;MASC;SG
اصل	reale	اصل	real	ADJ	ADJ;INDF;FEM;PL
اصل	reală	اصل	real	ADJ	ADJ;INDF;FEM;SG
اصل	standard	اصل	standard	ADJ	ADJ
اصل	legitima	اصل	legitimă	ADJ	ADJ;DEF;FEM;SG
اصل	legitim	اصل	legitim	ADJ	ADJ;INDF;MASC;SG
اصل	legitimă	اصل	legitim	ADJ	ADJ;INDF;FEM;SG
اصل	legitime	اصل	legitim	ADJ	ADJ;INDF;FEM;PL
اصل	originala	اصل	original	ADJ	ADJ;DEF;FEM;SG
اصل	originale	اصل	original	ADJ	ADJ;INDF;FEM;PL
اصل	original	اصل	original	ADJ	ADJ;INDF;MASC;SG
اصل	originală	اصل	original	ADJ	ADJ;INDF;FEM;SG
اِصلاح	amendament	اِصلاح	amendament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِصلاحی	corectate	اِصلاحی	corecta	ADJ;NOM	ADJ;INDF;FEM;PL
اِصلاحی	corectat	اِصلاحی	corecta	ADJ;NOM	ADJ;INDF;MASC;SG
اصلی	ancestrale	اصلی	ancestral	ADJ	ADJ;INDF;FEM;PL
اصلی	intrinsecă	اصلی	intrinsec	ADJ	ADJ;INDF;FEM;SG
اصلی	elementar	اصلی	elementar	ADJ	ADJ;INDF;MASC;SG
اصلی	elementară	اصلی	elementar	ADJ	ADJ;INDF;FEM;SG
اصلی	elementare	اصلی	elementar	ADJ	ADJ;INDF;FEM;PL
اصلی	pură	اصلی	pur	ADJ	ADJ;INDF;FEM;SG
اصلی	pura	اصلی	pura	ADJ	ADJ;DEF;FEM;SG
اصلی	adevarat	اصلی	adevarat	ADJ	ADJ;INDF;MASC;SG
اصلی	înnăscută	اصلی	înnăscut	ADJ	ADJ;INDF;FEM;SG
اصلی	originala	اصلی	original	ADJ	ADJ;DEF;FEM;SG
اصلی	originale	اصلی	original	ADJ	ADJ;INDF;FEM;PL
اصلی	original	اصلی	original	ADJ	ADJ;INDF;MASC;SG
اصلی	originală	اصلی	original	ADJ	ADJ;INDF;FEM;SG
اصلی	inerente	اصلی	inerent	ADJ	ADJ;INDF;FEM;PL
اصلی	veritabil	اصلی	veritabil	ADJ	ADJ;INDF;MASC;SG
اصلی	autentică	اصلی	autentic	ADJ	ADJ;INDF;FEM;SG
اصلی	esențială	اصلی	esențial	ADJ	ADJ;INDF;FEM;SG
اصلی	esențiale	اصلی	esențial	ADJ	ADJ;INDF;FEM;PL
اصلی	esential	اصلی	esential	ADJ	ADJ;INDF;MASC;SG
اصلی	ancestrale	اصلی	ancestral	ADJ	ADJ;INDF;FEM;PL
اصلی	intrinsecă	اصلی	intrinsec	ADJ	ADJ;INDF;FEM;SG
اصلی	elementar	اصلی	elementar	ADJ	ADJ;INDF;MASC;SG
اصلی	elementară	اصلی	elementar	ADJ	ADJ;INDF;FEM;SG
اصلی	elementare	اصلی	elementar	ADJ	ADJ;INDF;FEM;PL
اصلی	pură	اصلی	pur	ADJ	ADJ;INDF;FEM;SG
اصلی	pura	اصلی	pura	ADJ	ADJ;DEF;FEM;SG
اصلی	adevarat	اصلی	adevarat	ADJ	ADJ;INDF;MASC;SG
اصلی	real	اصلی	real	ADJ	ADJ;INDF;MASC;SG
اصلی	reale	اصلی	real	ADJ	ADJ;INDF;FEM;PL
اصلی	reală	اصلی	real	ADJ	ADJ;INDF;FEM;SG
اصلی	înnăscută	اصلی	înnăscut	ADJ	ADJ;INDF;FEM;SG
اصلی	fundamentală	اصلی	fundamental	ADJ	ADJ;INDF;FEM;SG
اصلی	fundamentale	اصلی	fundamental	ADJ	ADJ;INDF;FEM;PL
اصلی	fundamental	اصلی	fundamental	ADJ	ADJ;INDF;MASC;SG
اصلی	naturale	اصلی	natural	ADJ	ADJ;INDF;FEM;PL
اصلی	naturală	اصلی	natural	ADJ	ADJ;INDF;FEM;SG
اصلی	natural	اصلی	natural	ADJ	ADJ;INDF;MASC;SG
اصلی	naturali	اصلی	natural	ADJ	ADJ;INDF;MASC;PL
اصلی	originala	اصلی	original	ADJ	ADJ;DEF;FEM;SG
اصلی	originale	اصلی	original	ADJ	ADJ;INDF;FEM;PL
اصلی	original	اصلی	original	ADJ	ADJ;INDF;MASC;SG
اصلی	originală	اصلی	original	ADJ	ADJ;INDF;FEM;SG
اصلی	inerente	اصلی	inerent	ADJ	ADJ;INDF;FEM;PL
اصلی	veritabil	اصلی	veritabil	ADJ	ADJ;INDF;MASC;SG
اصلی	autentică	اصلی	autentic	ADJ	ADJ;INDF;FEM;SG
اصلی	esențială	اصلی	esențial	ADJ	ADJ;INDF;FEM;SG
اصلی	esențiale	اصلی	esențial	ADJ	ADJ;INDF;FEM;PL
اصلی	esential	اصلی	esential	ADJ	ADJ;INDF;MASC;SG
اصناف	genuri	اصناف	gen	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اصناف	specii	اصناف	specie	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اصناف	soiuri	اصناف	soi	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اصوات	sunete	اصوات	sunet	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اصوات	voci	اصوات	voce	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اصوات	zgomote	اصوات	zgomot	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اُصول	aer	اُصول	aer	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُصول	air	اُصول	air	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُصول	principiu	اُصول	principiu	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُصول	praf	اُصول	praf	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُصولی	doctrinare	اُصولی	doctrinare	ADJ	ADJ;INDF;FEM;PL
اِضافی	genitiv	اِضافی	genitiv	ADJ	ADJ;INDF;MASC;SG
اِضافی	suplimentar	اِضافی	suplimentar	ADJ	ADJ;INDF;MASC;SG
اِضافی	relative	اِضافی	relativ	ADJ	ADJ;INDF;FEM;PL
اِضافی	relativă	اِضافی	relativ	ADJ	ADJ;INDF;FEM;SG
اضلاع	cartiere	ضلع	cartier	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اضلاع	districte	ضلع	district	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اضلاع	părți	ضلع	parte	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اضلاع	piese	ضلع	piesă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اضلاع	părţi	ضلع	pară	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اِطلاقی	aplicabil	اِطلاقی	aplicabil	ADJ;NOM	ADJ;INDF;MASC;SG
اِطلاقی	aplicabile	اِطلاقی	aplicabil	ADJ;NOM	ADJ;INDF;FEM;PL
اِطلاقی	aplicate	اِطلاقی	aplicat	ADJ;NOM	ADJ;INDF;FEM;PL
اِطلاقی	aplicat	اِطلاقی	aplicat	ADJ;NOM	ADJ;INDF;MASC;SG
اِطمینان	răgaz	اِطمینان	răgaz	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اطوار	comportament	اطوار	comportament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِعتمادی	credibil	اِعتمادی	credibil	ADJ	ADJ;INDF;MASC;SG
اِعتمادی	credibilă	اِعتمادی	credibil	ADJ	ADJ;INDF;FEM;SG
اِعتمادی	credibile	اِعتمادی	credibil	ADJ	ADJ;INDF;FEM;PL
اعجف	subtire	اعجف	subtire		
اعجف	subțire	اعجف	subțire		
اعداد	numere	عدد	număr	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اعداد	cifre	عدد	cifră	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اعدادیات	statistici	اعدادیات	statistică	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اعراب	beduini	عراب	beduin	N;NOM;MASC;PL;3	N;INDF;MASC;PL
اعراب	arabi	عراب	arab	N;NOM;MASC;PL;3	N;INDF;MASC;PL
اعرابی	beduin	اعرابی	beduin	ADJ	ADJ;INDF;MASC;SG
اعشاری	zecimal	اعشاری	zecimal	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اعصاب	nervi	اعصاب	nerv	N;NOM;MASC;PL;3	N;INDF;MASC;PL
اعضا	brain	اعضا	brain	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اعضا	creier	اعضا	creier	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اعضا	rinichi	اعضا	rinichi	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اعضا	ficat	اعضا	ficat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اعلیٰ	exaltat	اعلیٰ	exalta	ADJ	ADJ;INDF;MASC;SG
اعلیٰ	supremă	اعلیٰ	suprem	ADJ	ADJ;INDF;FEM;SG
اعلیٰ	suprema	اعلیٰ	suprem	ADJ	ADJ;DEF;FEM;SG
اعلیٰ	suprem	اعلیٰ	suprem	ADJ	ADJ;INDF;MASC;SG
اعمال	comportament	اعمال	comportament	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اعمال	deeds	اعمال	deeds	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اغراض	scopuri	غرض	scop	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اغراض	nevoi	غرض	nevoie	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اِفادیت	beneficiu	اِفادیت	beneficiu	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِفادیت	utilitar	اِفادیت	utilitar	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِفتتاحی	inaugural	اِفتتاحی	inaugural	ADJ	ADJ;INDF;MASC;SG
افراد	tipuri	فرد	tip	N;NOM;MASC;PL;3	N;INDF;FEM;PL
افراد	membri	فرد	membru	N;NOM;MASC;PL;3	N;INDF;MASC;PL
افراد	cuplete	فرد	cuplet	N;NOM;MASC;PL;3	N;INDF;FEM;PL
افراد	persoane	فرد	persoană	N;NOM;MASC;PL;3	N;INDF;FEM;PL
افراد	liste	فرد	listă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
افراد	registre	فرد	registru	N;NOM;MASC;PL;3	N;INDF;FEM;PL
افراد	specii	فرد	specie	N;NOM;MASC;PL;3	N;INDF;FEM;PL
افراد	indivizi	فرد	individ	N;NOM;MASC;PL;3	N;INDF;MASC;PL
افسانوی	legendar	افسانوی	legendar	ADJ	ADJ;INDF;MASC;SG
افسانوی	legendară	افسانوی	legendar	ADJ	ADJ;INDF;FEM;SG
افسانوی	legendara	افسانوی	legendară	ADJ	ADJ;DEF;FEM;SG
افسانوی	fictiv	افسانوی	fictiv	ADJ	ADJ;INDF;MASC;SG
افسانوی	fals	افسانوی	fals	ADJ	ADJ;INDF;MASC;SG
افسانوی	falsa	افسانوی	fals	ADJ	ADJ;DEF;FEM;SG
افسانوی	falsă	افسانوی	fals	ADJ	ADJ;INDF;FEM;SG
افسانوی	false	افسانوی	fals	ADJ	ADJ;INDF;FEM;PL
افسانوی	legendar	افسانوی	legendar	ADJ	ADJ;INDF;MASC;SG
افسانوی	legendară	افسانوی	legendar	ADJ	ADJ;INDF;FEM;SG
افسانوی	legendara	افسانوی	legendară	ADJ	ADJ;DEF;FEM;SG
افسانوی	fictiv	افسانوی	fictiv	ADJ	ADJ;INDF;MASC;SG
افسانوی	fabulos	افسانوی	fabulos	ADJ	ADJ;INDF;MASC;SG
افسانوی	fabuloasa	افسانوی	fabulosa	ADJ	ADJ;DEF;FEM;SG
افسانوی	fabuloasă	افسانوی	fabulos	ADJ	ADJ;INDF;FEM;SG
افسانوی	fals	افسانوی	fals	ADJ	ADJ;INDF;MASC;SG
افسانوی	falsa	افسانوی	fals	ADJ	ADJ;DEF;FEM;SG
افسانوی	falsă	افسانوی	fals	ADJ	ADJ;INDF;FEM;SG
افسانوی	false	افسانوی	fals	ADJ	ADJ;INDF;FEM;PL
افسر	conducător	افسر	conducător	N;NOM;MASC;SG;3	N;INDF;MASC;SG
افسر	conducător	افسر	conducător	N;NOM;MASC;SG;3	N;INDF;MASC;SG
افسر	ofițer	افسر	ofițer	N;NOM;MASC;SG;3	N;INDF;MASC;SG
افسر	ofiţer	افسر	ofiţer	N;NOM;MASC;SG;3	N;INDF;MASC;SG
افسر	ofiter	افسر	ofiter	N;NOM;MASC;SG;3	N;INDF;MASC;SG
افسردہ	trista	افسردہ	trist	ADJ	ADJ;DEF;FEM;SG
افسردہ	tristă	افسردہ	tristă	ADJ	ADJ;INDF;FEM;SG
افسردہ	triste	افسردہ	trist	ADJ	ADJ;INDF;FEM;PL
افسردہ	trist	افسردہ	trist	ADJ	ADJ;INDF;MASC;SG
افسردہ	deprimată	افسردہ	deprimat	ADJ	ADJ;INDF;FEM;SG
افسردہ	depresivă	افسردہ	depresiv	ADJ	ADJ;INDF;FEM;SG
افسردہ	deprimat	افسردہ	deprima	ADJ	ADJ;INDF;MASC;SG
افعال	acte	افعال	act	N;NOM;MASC;PL;3	N;INDF;FEM;PL
افلاکی	cerească	افلاکی	cere	ADJ	ADJ;INDF;FEM;SG
افواہ	zvon	افواہ	zvon	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِقتدار	power	اِقتدار	power	N;NOM;MASC;SG;3	N
اِقتدار	control	اِقتدار	control	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِقتصادی	economic	اِقتصادی	economic	ADJ	ADJ;INDF;MASC;SG
اِقتصادی	economică	اِقتصادی	economic	ADJ	ADJ;INDF;FEM;SG
اِقتصادی	economice	اِقتصادی	economic	ADJ	ADJ;INDF;FEM;PL
اقسام	tipuri	اقسام	tip	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اقسام	categorii	اقسام	categorie	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اقسام	jurăminte	اقسام	jurământ	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اقل	lcm	اقل	lcm		
اقل	lcm	اقل	lcm		
اقل	minimum	اقل	minimum		
اقوال	zicale	اقوال	zical	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اقوال	declaratii	اقوال	declarat	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اقوال	declarații	اقوال	declarație	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اقوال	opinii	اقوال	opinie	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اقوال	avize	اقوال	aviz	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اقوال	păreri	اقوال	părere	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اکابر	conducători	اکابر	conducător	N;NOM;MASC;PL;3	N;INDF;MASC;PL
اکابر	lideri	اکابر	lider	N;NOM;MASC;PL;3	N;INDF;MASC;PL
اِکتسابی	învățat	اِکتسابی	învăța	ADJ	ADJ;INDF;MASC;SG
اِکتسابی	dobândite	اِکتسابی	dobândit	ADJ	ADJ;INDF;FEM;PL
اِکتسابی	dobândită	اِکتسابی	dobândi	ADJ	ADJ;INDF;FEM;SG
اِکتسابی	dobândit	اِکتسابی	dobândi	ADJ	ADJ;INDF;MASC;SG
اِکتسابی	achiziționat	اِکتسابی	achiziționa	ADJ	ADJ;INDF;MASC;SG
اکم	much	اکم	much		
اُکیلنا	anula	اُکیلنا	anula	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اُکیلنا	desface	اُکیلنا	desface	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُکیلنا	anulează	اُکیلنا	anula	V;MASC;SG;NFIN;ACT	V;IND;3;PRS;FIN
اکھاّ	toti	اکھاّ	toti		
اُکھاڑنا	distruge	اُکھاڑنا	distruge	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُکھاڑنا	expulza	اُکھاڑنا	expulza	V;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اُکھاڑنا	extrage	اُکھاڑنا	extrage	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
اُکھاڑنا	separă	اُکھاڑنا	separa	V;NFIN;ACT	V;IND;SG;3;PST;FIN
اُکھاڑنا	demola	اُکھاڑنا	demola	V;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اگرچہ	deși	اگرچہ	deși	CONJ	CONJ;POS
اگرچہ	deși	اگرچہ	deși	CONJ	CONJ;POS
اگرچہ	deși	اگرچہ	deși	CONJ	CONJ;POS
اگل	inainte	اگل	inainte		
اگلا	doamne	اگلا	domn		
اگلا	superioare	اگلا	superior		
اگلا	doamne	اگلا	domn		
اگلا	superioare	اگلا	superior		
اگم	adancime	اگم	adancime		
اگن	iad	اگن	iad		
اُگھاڑنا	divulga	اُگھاڑنا	divulga	V;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اُگھاڑنا	dezvăluie	اُگھاڑنا	dezvălui	V;NFIN;ACT	V;IND;3;PRS;FIN
اُگھاڑنا	dezvaluie	اُگھاڑنا	dezvalui	V;NFIN;ACT	V;IND;3;PRS;FIN
اُگھاڑنا	dezvăluie	اُگھاڑنا	dezvălui	V;NFIN;ACT	V;IND;3;PRS;FIN
الاپ	cantec	الاپ	cantec	N;NOM;MASC;SG;3	N;INDF;MASC;SG
الاپ	song	الاپ	song	N;NOM;MASC;SG;3	N;INDF;MASC;SG
الاپ	cântec	الاپ	cântec	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِلتقاط	cules	اِلتقاط	cules	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُلٹ	inversează	اُلٹ	inversa	V;SG;ACT	V;IND;3;PRS;FIN
اُلٹا	strâmb	اُلٹا	strâmb		
اُلٹا	instant	اُلٹا	instant		
اُلٹا	converse	اُلٹا	convers		
اُلٹانا	inversează	اُلٹانا	inversa	V;MASC;SG;NFIN;ACT	V;IND;3;PRS;FIN
اُلٹانا	inversează	اُلٹانا	inversa	V;MASC;SG;NFIN;ACT	V;IND;3;PRS;FIN
اُلجھنا	ceartă	اُلجھنا	ceartă	V;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
اُلجھنا	argumentează	اُلجھنا	argumenta	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
اُلجھنا	argumenta	اُلجھنا	argumenta	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
الحاد	graves	الحاد	graves	N;NOM;MASC;SG;3	N;INDF;MASC;SG
الس	lene	الس	lene		
الس	lene	الس	lene		
الفاظ	termeni	لفظ	termen	N;NOM;MASC;PL;3	N;INDF;MASC;PL
الفاظ	cuvinte	لفظ	cuvânt	N;NOM;MASC;PL;3	N;INDF;FEM;PL
الفاظ	vorbe	لفظ	vorbă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
الگ	dislocat	الگ	disloca	ADJ	ADJ;INDF;MASC;SG
الگ	distinct	الگ	distinct	ADJ	ADJ;INDF;MASC;SG
الگ	distinctă	الگ	distinct	ADJ	ADJ;INDF;FEM;SG
الگ	distincte	الگ	distinct	ADJ	ADJ;INDF;FEM;PL
الگ	izolat	الگ	izolat	ADJ	ADJ;INDF;MASC;SG
الگ	izolată	الگ	izolat	ADJ	ADJ;INDF;FEM;SG
الگ	izolate	الگ	izolat	ADJ	ADJ;INDF;FEM;PL
الگ	deconectat	الگ	deconectat	ADJ	ADJ;INDF;MASC;SG
الگ	discrete	الگ	discret	ADJ	ADJ;INDF;FEM;PL
الگ	discret	الگ	discret	ADJ	ADJ;INDF;MASC;SG
الگ	discretă	الگ	discret	ADJ	ADJ;INDF;FEM;SG
الگ	unicat	الگ	unica	ADJ	ADJ;INDF;MASC;SG
الگ	unic	الگ	unic	ADJ	ADJ;INDF;MASC;SG
الگ	unice	الگ	unic	ADJ	ADJ;INDF;FEM;PL
الگ	unici	الگ	unică	ADJ	ADJ;INDF;MASC;PL
الگ	unică	الگ	unic	ADJ	ADJ;INDF;FEM;SG
الگ	dislocat	الگ	disloca	ADJ	ADJ;INDF;MASC;SG
الگ	distinct	الگ	distinct	ADJ	ADJ;INDF;MASC;SG
الگ	distinctă	الگ	distinct	ADJ	ADJ;INDF;FEM;SG
الگ	distincte	الگ	distinct	ADJ	ADJ;INDF;FEM;PL
الگ	izolat	الگ	izolat	ADJ	ADJ;INDF;MASC;SG
الگ	izolată	الگ	izolat	ADJ	ADJ;INDF;FEM;SG
الگ	izolate	الگ	izolat	ADJ	ADJ;INDF;FEM;PL
الگ	deconectat	الگ	deconectat	ADJ	ADJ;INDF;MASC;SG
الگ	separat	الگ	separat	ADJ	ADJ;INDF;MASC;SG
الگ	separată	الگ	separa	ADJ	ADJ;INDF;FEM;SG
الگ	separate	الگ	separat	ADJ	ADJ;INDF;FEM;PL
الگ	discrete	الگ	discret	ADJ	ADJ;INDF;FEM;PL
الگ	discret	الگ	discret	ADJ	ADJ;INDF;MASC;SG
الگ	discretă	الگ	discret	ADJ	ADJ;INDF;FEM;SG
الگ	unicat	الگ	unica	ADJ	ADJ;INDF;MASC;SG
الگ	unic	الگ	unic	ADJ	ADJ;INDF;MASC;SG
الگ	unice	الگ	unic	ADJ	ADJ;INDF;FEM;PL
الگ	unici	الگ	unică	ADJ	ADJ;INDF;MASC;PL
الگ	unică	الگ	unic	ADJ	ADJ;INDF;FEM;SG
الم	prop	الم	prop		
امانت	depozit	امانت	depozit	N;NOM;FEM;SG;3	N;INDF;MASC;SG
امانت	faith	امانت	faith	N;NOM;FEM;SG;3	N;INDF;MASC;SG
اُمّت	neam	اُمّت	neam	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُمّت	crez	اُمّت	crez	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُمّت	creed	اُمّت	creed	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اِمتناعی	restrictive	اِمتناعی	restrictiv	ADJ;NOM	ADJ;INDF;FEM;PL
اِمتیازی	preferențiale	اِمتیازی	preferențial	ADJ;NOM	ADJ;INDF;FEM;PL
اِمتیازی	distinct	اِمتیازی	distinct	ADJ;NOM	ADJ;INDF;MASC;SG
اِمتیازی	distins	اِمتیازی	distins	ADJ;NOM	ADJ;INDF;MASC;SG
اُمڈنا	umfla	اُمڈنا	umflă	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
امراض	boli	مرض	boală	N;NOM;MASC;PL;3	N;INDF;FEM;PL
امریکی	american	امریکی	american	ADJ	ADJ;INDF;MASC;SG
امریکی	americană	امریکی	american	ADJ	ADJ;INDF;FEM;SG
امریکی	americancă	امریکی	americanc	ADJ	ADJ;INDF;FEM;SG
امشاسپند	angels	امشاسپند	angels	N;NOM;MASC;SG;3	N;INDF;MASC;SG
اُمنڈنا	umfla	اُمنڈنا	umflă	V;MASC;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
اموات	decese	موت	deces	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اموال	bunuri	اموال	bun	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اموال	marfuri	اموال	marfă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اموال	mărfuri	اموال	marfă	N;NOM;MASC;PL;3	N;INDF;FEM;PL
اموال	averi	اموال	aver	N;NOM;MASC;PL;3	N;INDF;FEM;PL
امیدوار	candidat	امیدوار	candidat	N;NOM;MASC;SG;3	N;INDF;MASC;SG
امیرانہ	impunătoare	امیرانہ	impunător	ADJ	ADJ;INDF;FEM
امیرانہ	luxoasă	امیرانہ	luxos	ADJ	ADJ;INDF;FEM;SG
امیرانہ	luxos	امیرانہ	luxos	ADJ	ADJ;INDF;MASC;SG
امیرانہ	impunătoare	امیرانہ	impunător	ADJ	ADJ;INDF;FEM
امیرانہ	luxoasă	امیرانہ	luxos	ADJ	ADJ;INDF;FEM;SG
امیرانہ	luxos	امیرانہ	luxos	ADJ	ADJ;INDF;MASC;SG
اناڑی	neexperimentat	اناڑی	neexperimentat	ADJ	ADJ;INDF;MASC;SG
اناڑی	stângace	اناڑی	stângaci	ADJ	ADJ;INDF;FEM
اناڑی	crud	اناڑی	crud	ADJ	ADJ;INDF;MASC;SG
اناڑی	începător	اناڑی	începător	ADJ	ADJ;INDF;MASC;SG
اناڑی	începătoare	اناڑی	începătoare	ADJ	ADJ;INDF;FEM
انبار	stack	انبار	stack		
انبار	stack	انبار	stack		
انت	sfarsit	انت	sfarsi		
اِنتخابی	electorale	اِنتخابی	electoral	ADJ	ADJ;INDF;FEM;PL
اِنتخابی	electoral	اِنتخابی	electoral	ADJ	ADJ;INDF;MASC;SG
اِنتخابی	electorală	اِنتخابی	electoral	ADJ	ADJ;INDF;FEM;SG
اِنتصابی	verticală	اِنتصابی	vertical	ADJ	ADJ;INDF;FEM;SG
اِنتصابی	verticale	اِنتصابی	vertical	ADJ	ADJ;INDF;FEM;PL
اِنتصابی	vertical	اِنتصابی	vertical	ADJ	ADJ;INDF;MASC;SG
اِنتظام	sistem	اِنتظام	sistem	N;NOM;MASC;SG;3	N;INDF;MASC;SG
