процедура	procedimento	процедура	procedimento	N;INAN;NOM;FEM;SG	N;MASC;SG
приобретает	adquire	приобретать	adquirir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
согласиться	concordar	согласиться	concordar	V;PFV;NFIN;MID	V;NFIN
согласиться	concorda	согласиться	concordar	V;PFV;NFIN;MID	V;IND;SG;3;PRS;FIN
согласиться	concordam	согласиться	concordar	V;PFV;NFIN;MID	V;IND;PL;3;PRS;FIN
согласиться	concordo	согласиться	concordo	V;PFV;NFIN;MID	V;IND;SG;1;PRS;FIN
упомянуть	mencionar	упомянуть	mencionar	V;PFV;NFIN;ACT	V;NFIN
пещера	gruta	пещера	gruta	N;INAN;NOM;FEM;SG	N;FEM;SG
пещера	caverna	пещера	cavernar	N;INAN;NOM;FEM;SG	N;FEM;SG
кабардино	cabárdia	кабардин	cabárdia	N;INAN;NOM;MASC;SG	N;FEM;SG
снимаю	filmando	снимать	filmar	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;V.MSDR
снимаю	filmar	снимать	filmar	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;NFIN
гости	visitantes	гость	visitante	N;ANIM;NOM;MASC;PL	N;PL
гости	hóspedes	гость	hóspede	N;ANIM;NOM;MASC;PL	N;MASC;PL
гости	convidados	гость	convidado	N;ANIM;NOM;MASC;PL	N;MASC;PL
обнаружена	descoberto	обнаружить	descobrir	V;PFV;FEM;SG;PST;V.PTCP;PASS	V;MASC;SG;V.PTCP
обнаружена	detectada	обнаружить	detectar	V;PFV;FEM;SG;PST;V.PTCP;PASS	V;FEM;SG;V.PTCP
обнаружена	detectado	обнаружить	detectar	V;PFV;FEM;SG;PST;V.PTCP;PASS	V;MASC;SG;V.PTCP
переворот	golpe	переворот	golpe	N;INAN;NOM;MASC;SG	N;MASC;SG
афганистан	afeganistão	афганистан	afeganistão	N;INAN;NOM;MASC;SG	N;MASC;SG
перри	perry	перрь	perry	N;INAN;NOM;MASC;SG	N;MASC;SG
обслуживание	serviço	обслуживание	serviço	N;INAN;NOM;NEUT;SG	N;MASC;SG
религиозный	religiosa	религиозный	religioso	ADJ;NOM;MASC;SG	ADJ;FEM;SG
религиозный	religioso	религиозный	religioso	ADJ;NOM;MASC;SG	ADJ;MASC;SG
сортов	variedades	сорт	variedade	N;INAN;GEN;MASC;PL	N;FEM;PL
сортов	castas	сорт	casta	N;INAN;GEN;MASC;PL	N;FEM;PL
выделение	seleção	выделение	seleção	N;INAN;NOM;NEUT;SG	N;FEM;SG
выделение	selecção	выделение	selecção	N;INAN;NOM;NEUT;SG	N;FEM;SG
степанов	stepanov	степан	stepanov	N;ANIM;NOM;MASC;SG	N;MASC;SG
банки	bancos	банк	banco	N;INAN;NOM;MASC;PL	N;MASC;PL
банки	potes	банк	pote	N;INAN;NOM;MASC;PL	N;MASC;PL
банки	frascos	банк	frasco	N;INAN;NOM;MASC;PL	N;MASC;PL
банки	latas	банк	lata	N;INAN;NOM;MASC;PL	N;FEM;PL
патриархата	patriarcado	патриархат	patriarcar	N;INAN;GEN;MASC;SG	N;MASC;SG
используемый	utilizada	использовать	utilizar	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS	V;FEM;SG;V.PTCP
используемый	usada	использовать	usar	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS	V;FEM;SG;V.PTCP
используемый	usado	использовать	usar	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS	V;MASC;SG;V.PTCP
используемый	utilizado	использовать	utilizar	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS	V;MASC;SG;V.PTCP
настоящие	verdadeiros	настоящий	verdadeiro	ADJ;NOM;PL	ADJ;MASC;PL
сорок	quarenta	сорок	quarenta	NUM;NOM	NUM
ларри	larry	ларри	larry	N;ANIM;NOM;MASC;SG	N;MASC;SG
курган	kurgan	курган	kurgan	N;INAN;NOM;MASC;SG	N;MASC;SG
зам	zam	зам	zam	N;ANIM;NOM;MASC;SG	N;MASC;SG
временной	temporal	временный	temporal	ADJ;NOM;MASC;SG	ADJ;MASC;SG
запретить	banir	запретить	banir	V;PFV;NFIN;ACT	V;NFIN
запретить	proibir	запретить	proibir	V;PFV;NFIN;ACT	V;NFIN
крыша	telhado	крыша	telhar	N;INAN;NOM;FEM;SG	N;MASC;SG
крыша	teto	крыша	teto	N;INAN;NOM;FEM;SG	N;MASC;SG
промышленный	industrial	промышленный	industrial	ADJ;NOM;MASC;SG	ADJ;MASC;SG
продюсеры	produtores	продюсер	produtor	N;ANIM;NOM;MASC;PL	N;MASC;PL
объяснение	explicação	объяснение	explicação	N;INAN;NOM;NEUT;SG	N;FEM;SG
атмосферу	atmosfera	атмосфера	atmosfera	N;INAN;ACC;FEM;SG	N;FEM;SG
добавления	aditamentos	добавление	aditamento	N;INAN;NOM;NEUT;PL	N;MASC;PL
добавления	acréscimos	добавление	acréscimo	N;INAN;NOM;NEUT;PL	N;MASC;PL
добавления	adições	добавление	adição	N;INAN;NOM;NEUT;PL	N;FEM;PL
добавления	apêndices	добавление	apêndice	N;INAN;NOM;NEUT;PL	N;MASC;PL
прорыв	avanço	прорыв	avanço	N;INAN;NOM;MASC;SG	N;MASC;SG
сложный	complexo	сложный	complexo	ADJ;NOM;MASC;SG	ADJ;MASC;SG
сложный	complexa	сложный	complexo	ADJ;NOM;MASC;SG	ADJ;FEM;SG
мастерство	habilidade	мастерство	habilidade	N;INAN;NOM;NEUT;SG	N;FEM;SG
мастерство	perícia	мастерство	perícia	N;INAN;NOM;NEUT;SG	N;FEM;SG
сущность	essência	сущность	essência	N;INAN;NOM;FEM;SG	N;FEM;SG
дизель	diesel	дизель	diesel	N;INAN;NOM;MASC;SG	N;MASC;SG
дизель	gasóleo	дизель	gasóleo	N;INAN;NOM;MASC;SG	N;MASC;SG
приоритет	prioridade	приоритет	prioridade	N;INAN;NOM;MASC;SG	N;FEM;SG
кратко	brevemente	кратко	brevemente	ADV	ADV
кратко	resumidamente	кратко	resumidamente	ADV	ADV
боли	dores	боль	dor	N;INAN;NOM;FEM;PL	N;FEM;PL
секс	sex	секс	sexta-feira	N;INAN;NOM;MASC;SG	N;MASC;SG
секс	sexo	секс	sexo	N;INAN;NOM;MASC;SG	N;MASC;SG
уолтер	walter	уолтер	walter	N;ANIM;NOM;MASC;SG	N;MASC;SG
инцидент	incidente	инцидент	incidente	N;INAN;NOM;MASC;SG	N;MASC;SG
серый	cinzento	серый	cinzento	ADJ;NOM;MASC;SG	ADJ;MASC;SG
серый	cinzenta	серый	cinzento	ADJ;NOM;MASC;SG	ADJ;FEM;SG
серый	cinzento	серый	cinzento	ADJ;NOM;MASC;SG	ADJ;MASC;SG
точность	precisão	точность	precisão	N;INAN;NOM;FEM;SG	N;FEM;SG
точность	exactidão	точность	exactidão	N;INAN;NOM;FEM;SG	N;FEM;SG
точность	rigor	точность	rigor	N;INAN;NOM;FEM;SG	N;MASC;SG
точность	precisão	точность	precisão	N;INAN;NOM;FEM;SG	N;FEM;SG
точность	exatidão	точность	exatidão	N;INAN;NOM;FEM;SG	N;FEM;SG
просмотра	visualização	просмотр	visualização	N;INAN;GEN;MASC;SG	N;FEM;SG
политбюро	politburo	политбюро	politburo	N;INAN;NOM;NEUT;SG	N;MASC;SG
альянс	aliança	альянс	aliança	N;INAN;NOM;MASC;SG	N;FEM;SG
альянс	alliance	альянс	alliance	N;INAN;NOM;MASC;SG	N;MASC;SG
заявляет	declara	заявлять	declarar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
проза	prosa	проза	prosa	N;INAN;NOM;FEM;SG	N;FEM;SG
упорно	teimosamente	упорно	teimosamente	ADV	ADV
белки	proteínas	белок	proteína	N;INAN;NOM;MASC;PL	N;FEM;PL
белки	proteínas	белок	proteína	N;INAN;NOM;MASC;PL	N;FEM;PL
белки	esquilos	белок	esquilo	N;INAN;NOM;MASC;PL	N;MASC;PL
мяса	carne	мясо	carne	N;INAN;GEN;NEUT;SG	N;FEM;SG
мяса	meat	мясо	meat	N;INAN;GEN;NEUT;SG	N;MASC;SG
управляет	gere	управлять	gerir	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
скандал	escândalo	скандал	escândalo	N;INAN;NOM;MASC;SG	N;MASC;SG
разницы	margens	разница	margem	N;INAN;NOM;FEM;PL	N;FEM;PL
свадьбы	casamentos	свадьба	casamento	N;INAN;NOM;FEM;PL	N;MASC;PL
свадьбы	bodas	свадьба	boda	N;INAN;NOM;FEM;PL	N;FEM;PL
ранение	lesão	ранение	lesão	N;INAN;NOM;NEUT;SG	N;FEM;SG
ранение	prejuízo	ранение	prejuízo	N;INAN;NOM;NEUT;SG	N;MASC;SG
ранение	ferimento	ранение	ferimento	N;INAN;NOM;NEUT;SG	N;MASC;SG
ранение	ferimento	ранение	ferimento	N;INAN;NOM;NEUT;SG	N;MASC;SG
подразумевает	implicado	подразумевать	implicar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP
подразумевает	implica	подразумевать	implicar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
подразумевает	insinua	подразумевать	insinuar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
фсб	fsb	феб	fsb	N;INAN;NOM;FEM;SG	N;MASC;SG
цепь	circuito	цепь	circuito	N;INAN;NOM;FEM;SG	N;MASC;SG
цепь	cadeia	цепь	cadeia	N;INAN;NOM;FEM;SG	N;FEM;SG
цепь	corrente	цепь	corrente	N;INAN;NOM;FEM;SG	N;FEM;SG
видна	visível	видный	visível	ADJ;FEM;SG	ADJ;MASC;SG
пятой	quinto	пятый	quinto	ADJ;INS;FEM;SG	ADJ;MASC;SG
волгоград	volgogrado	волгоград	volgograr	N;INAN;NOM;MASC;SG	N;MASC;SG
делегации	delegações	делегация	delegação	N;INAN;NOM;FEM;PL	N;FEM;PL
персона	persona	персона	persona	N;INAN;NOM;FEM;SG	N;FEM;SG
умершего	falecido	умереть	falecer	V;PFV;GEN;MASC;SG;PST;V.PTCP;ACT	V;MASC;SG;V.PTCP
заменены	substituídos	заменить	substituir	V;PFV;PL;PST;V.PTCP;PASS	V;MASC;PL;V.PTCP
процессор	processador	процессор	processador	N;INAN;NOM;MASC;SG	N;MASC;SG
процессор	cpu	процессор	cpu	N;INAN;NOM;MASC;SG	N;MASC;SG
изредка	ocasionalmente	изредка	ocasionalmente	ADV	ADV
эксперименты	experiências	эксперимент	experiência	N;INAN;NOM;MASC;PL	N;FEM;PL
эксперименты	experimentos	эксперимент	experimento	N;INAN;NOM;MASC;PL	N;MASC;PL
монах	frei	монах	frei	N;ANIM;NOM;MASC;SG	N;MASC;SG
монах	frade	монах	frade	N;ANIM;NOM;MASC;SG	N;MASC;SG
монах	monk	монах	monk	N;ANIM;NOM;MASC;SG	N;MASC;SG
монах	monge	монах	monge	N;ANIM;NOM;MASC;SG	N;MASC;SG
гражданина	cidadã	гражданин	cidadã	N;ANIM;ACC;MASC;SG	N;FEM;SG
гражданина	cidadão	гражданин	cidadão	N;ANIM;ACC;MASC;SG	N;MASC;SG
занят	ocupado	занять	ocupar	V;PFV;MASC;SG;PST;V.PTCP;PASS	V;MASC;SG;V.PTCP
занят	ocupada	занять	ocupar	V;PFV;MASC;SG;PST;V.PTCP;PASS	V;FEM;SG;V.PTCP
баз	bases	база	base	N;INAN;GEN;FEM;PL	N;FEM;PL
добровольцев	voluntários	доброволец	voluntário	N;ANIM;ACC;MASC;PL	N;MASC;PL
добровольцев	voluntárias	доброволец	voluntário	N;ANIM;ACC;MASC;PL	N;FEM;PL
добровольцев	voluntários	доброволец	voluntário	N;ANIM;ACC;MASC;PL	N;MASC;PL
рождение	parto	рождение	parto	N;INAN;NOM;NEUT;SG	N;MASC;SG
рождение	nascimento	рождение	nascimento	N;INAN;NOM;NEUT;SG	N;MASC;SG
отменить	cancelar	отменить	cancelar	V;PFV;NFIN;ACT	V;NFIN
отменить	cancela	отменить	cancelar	V;PFV;NFIN;ACT	V;IND;SG;3;PRS;FIN
отменить	anular	отменить	anular	V;PFV;NFIN;ACT	V;NFIN
отменить	desfazer	отменить	desfazer	V;PFV;NFIN;ACT	V;NFIN
винтовки	espingardas	винтовка	espingarda	N;INAN;NOM;FEM;PL	N;FEM;PL
винтовки	rifles	винтовка	rifle	N;INAN;NOM;FEM;PL	N;MASC;PL
самостоятельный	autónomo	самостоятельный	autónomo	ADJ;NOM;MASC;SG	ADJ;MASC;SG
самостоятельный	autônoma	самостоятельный	autônomo	ADJ;NOM;MASC;SG	ADJ;FEM;SG
доски	tábuas	доска	tábua	N;INAN;NOM;FEM;PL	N;FEM;PL
доски	pranchas	доска	prancha	N;INAN;NOM;FEM;PL	N;FEM;PL
доски	tábuas	доска	tábua	N;INAN;NOM;FEM;PL	N;FEM;PL
отступить	recuar	отступить	recuar	V;PFV;NFIN;ACT	V;NFIN
отступить	retirar	отступить	retirar	V;PFV;NFIN;ACT	V;NFIN
очевидна	óbvia	очевидный	óbvio	ADJ;FEM;SG	ADJ;FEM;SG
очевидна	óbvio	очевидный	óbvio	ADJ;FEM;SG	ADJ;MASC;SG
вступление	introdução	вступление	introdução	N;INAN;NOM;NEUT;SG	N;FEM;SG
существо	wesen	существо	wesen	N;INAN;NOM;NEUT;SG	N;MASC;SG
существо	criatura	существо	criatura	N;INAN;NOM;NEUT;SG	N;FEM;SG
открытая	aberto	открыть	abrir	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS	V;MASC;SG;V.PTCP
открытая	abrir	открыть	abrir	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS	V;NFIN
открытая	aberta	открыть	abrir	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS	V;FEM;SG;V.PTCP
знати	nobres	знать	nobre	N;INAN;NOM;FEM;PL	N;MASC;PL
принесли	trouxeram	принести	trouxer	V;PFV;IND;PL;PST;FIN;ACT	V;IND;PL;3;FIN
единство	unidade	единство	unidade	N;INAN;NOM;NEUT;SG	N;FEM;SG
единство	unity	единство	unity	N;INAN;NOM;NEUT;SG	N;MASC;SG
восьмой	oitavo	восьмой	oitavo	ADJ;NOM;MASC;SG	ADJ;MASC;SG
столкновение	colisão	столкновение	colisão	N;INAN;NOM;NEUT;SG	N;FEM;SG
столкновение	confronto	столкновение	confronto	N;INAN;NOM;NEUT;SG	N;MASC;SG
столкновение	clash	столкновение	clash	N;INAN;NOM;NEUT;SG	N;MASC;SG
батарея	pilha	батарея	pilha	N;INAN;NOM;FEM;SG	N;FEM;SG
батарея	bateria	батарея	bateria	N;INAN;NOM;FEM;SG	N;FEM;SG
оценил	classificou	оценить	classificar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
оценил	avaliado	оценить	avaliar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
оценил	classificado	оценить	classificar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
оценил	apreciada	оценить	apreciar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;FEM;SG;V.PTCP
оценил	apreciado	оценить	apreciar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
топливо	combustível	топливо	combustível	N;INAN;NOM;NEUT;SG	N;MASC;SG
топливо	fuel	топливо	fuel	N;INAN;NOM;NEUT;SG	N;MASC;SG
зенит	zenit	зенить	zenit	N;INAN;NOM;MASC;SG	N;MASC;SG
зенит	zenith	зенить	zenith	N;INAN;NOM;MASC;SG	N;MASC;SG
кристаллическая	cristalino	кристаллический	cristalino	ADJ;NOM;FEM;SG	ADJ;MASC;SG
кристаллическая	cristalina	кристаллический	cristalina	ADJ;NOM;FEM;SG	ADJ;FEM;SG
снятие	elevação	снятие	elevação	N;INAN;NOM;NEUT;SG	N;FEM;SG
снятие	levantamento	снятие	levantamento	N;INAN;NOM;NEUT;SG	N;MASC;SG
снятие	retirada	снятие	retirada	N;INAN;NOM;NEUT;SG	N;FEM;SG
снятие	abstinência	снятие	abstinência	N;INAN;NOM;NEUT;SG	N;FEM;SG
прекращения	terminação	прекращение	terminação	N;INAN;NOM;NEUT;SG	N;FEM;SG
прекращения	cessação	прекращение	cessação	N;INAN;NOM;NEUT;SG	N;FEM;SG
прекращения	rescisão	прекращение	rescisão	N;INAN;NOM;NEUT;SG	N;FEM;SG
купил	comprou	купить	comprar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
купил	comprada	купить	comprar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;FEM;SG;V.PTCP
купил	adquirido	купить	adquirir	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
купил	comprado	купить	comprar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
купил	comprei	купить	comprar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;1;PST;FIN
купил	comprou	купить	comprar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
купил	comprada	купить	comprar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;FEM;SG;V.PTCP
купил	comprado	купить	comprar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
срочно	urgentemente	срочно	urgentemente	ADV	ADV
похожие	semelhantes	похожий	semelhante	ADJ;NOM;PL	ADJ;MASC;PL
похожие	semelhantes	похожий	semelhante	ADJ;NOM;PL	ADJ;MASC;PL
врачи	médicos	врач	médico	N;ANIM;NOM;MASC;PL	N;MASC;PL
врачи	medicos	врач	medico	N;ANIM;NOM;MASC;PL	N;MASC;PL
врачи	doutores	врач	doutor	N;ANIM;NOM;MASC;PL	N;MASC;PL
врачи	médicos	врач	médico	N;ANIM;NOM;MASC;PL	N;MASC;PL
глубину	profundidade	глубина	profundidade	N;INAN;ACC;FEM;SG	N;FEM;SG
галактики	galáxias	галактика	galáxia	N;INAN;NOM;FEM;PL	N;FEM;PL
собирать	cobrar	собирать	cobrar	V;IPFV;NFIN;ACT	V;NFIN
собирать	recolher	собирать	recolher	V;IPFV;NFIN;ACT	V;NFIN
собирать	coletar	собирать	coletar	V;IPFV;NFIN;ACT	V;NFIN
уникальный	único	уникальный	único	ADJ;NOM;MASC;SG	ADJ;MASC;SG
уникальный	única	уникальный	único	ADJ;NOM;MASC;SG	ADJ;FEM;SG
павловна	pavlovna	павловна	pavlovna	N;ANIM;NOM;FEM;SG	N;FEM;SG
мюллер	müller	мюллер	müller	N;ANIM;NOM;MASC;SG	N;MASC;SG
мюллер	mueller	мюллер	mueller	N;ANIM;NOM;MASC;SG	N;MASC;SG
мюллер	muller	мюллер	muller	N;ANIM;NOM;MASC;SG	N;MASC;SG
мюллер	muller	мюллер	muller	N;ANIM;NOM;MASC;SG	N;MASC;SG
мостов	pontes	мост	ponte	N;INAN;GEN;MASC;PL	N;FEM;PL
миллион	milhão	миллион	milhão	N;INAN;NOM;MASC;SG	N;MASC;SG
комнаты	salas	комната	sala	N;INAN;NOM;FEM;PL	N;FEM;PL
комнаты	quartos	комната	quarto	N;INAN;NOM;FEM;PL	N;MASC;PL
ралли	comício	ралли	comício	N;INAN;NOM;NEUT;SG	N;MASC;SG
ралли	rally	ралли	rally	N;INAN;NOM;NEUT;SG	N;MASC;SG
ралли	rali	ралли	rali	N;INAN;NOM;NEUT;SG	N;MASC;SG
сократить	encurtar	сократить	encurtar	V;PFV;NFIN;ACT	V;NFIN
сократить	reduzir	сократить	reduzir	V;PFV;NFIN;ACT	V;NFIN
сократить	reduza	сократить	reduzir	V;PFV;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
сократить	corta	сократить	cortar	V;PFV;NFIN;ACT	V;IND;SG;3;PRS;FIN
сократить	cortar	сократить	cortar	V;PFV;NFIN;ACT	V;NFIN
стрельба	tiroteio	стрельба	tiroteio	N;INAN;NOM;FEM;SG	N;MASC;SG
стрельба	tiro	стрельба	tiro	N;INAN;NOM;FEM;SG	N;MASC;SG
стрельба	tiroteio	стрельба	tiroteio	N;INAN;NOM;FEM;SG	N;MASC;SG
раскопки	escavações	раскопка	escavação	N;INAN;NOM;FEM;PL	N;FEM;PL
раскопки	escavações	раскопка	escavação	N;INAN;NOM;FEM;PL	N;FEM;PL
корпорация	corporation	корпорация	corporation	N;INAN;NOM;FEM;SG	N;MASC;SG
корпорация	corporação	корпорация	corporação	N;INAN;NOM;FEM;SG	N;FEM;SG
австрийская	austríaca	австрийский	austríaco	ADJ;NOM;FEM;SG	ADJ;FEM;SG
австрийская	austríaco	австрийский	austríaco	ADJ;NOM;FEM;SG	ADJ;MASC;SG
вершина	apex	вершина	apex	N;INAN;NOM;FEM;SG	N;MASC;SG
вершина	vértice	вершина	vértice	N;INAN;NOM;FEM;SG	N;MASC;SG
перестал	parou	перестать	parar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
перестал	parei	перестать	parar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;1;PST;FIN
перестал	parado	перестать	parar	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;V.PTCP
стрелок	atirador	стрелок	atirador	N;ANIM;NOM;MASC;SG	N;MASC;SG
стрелок	shooter	стрелок	shooter	N;ANIM;NOM;MASC;SG	N;MASC;SG
стрелок	pistoleiro	стрелок	pistoleiro	N;ANIM;NOM;MASC;SG	N;MASC;SG
резиденция	residence	резиденция	residence	N;INAN;NOM;FEM;SG	N;MASC;SG
резиденция	residência	резиденция	residência	N;INAN;NOM;FEM;SG	N;FEM;SG
катание	patinação	катание	patinação	N;INAN;NOM;NEUT;SG	N;FEM;SG
катание	patinagem	катание	patinagem	N;INAN;NOM;NEUT;SG	N;FEM;SG
католицизм	catolicismo	католицизм	catolicismo	N;INAN;NOM;MASC;SG	N;MASC;SG
эпитет	epíteto	эпитет	epíteto	N;INAN;NOM;MASC;SG	N;MASC;SG
изготовление	fabrico	изготовление	fabrico	N;INAN;NOM;NEUT;SG	N;MASC;SG
изготовление	fabricação	изготовление	fabricação	N;INAN;NOM;NEUT;SG	N;FEM;SG
изготовление	fabrico	изготовление	fabrico	N;INAN;NOM;NEUT;SG	N;MASC;SG
изготовление	fabricação	изготовление	fabricação	N;INAN;NOM;NEUT;SG	N;FEM;SG
изготовление	making	изготовление	making	N;INAN;NOM;NEUT;SG	N;MASC;SG
победителей	vencedores	победитель	vencedor	N;ANIM;ACC;MASC;PL	N;MASC;PL
победителей	ganhadores	победитель	ganhador	N;ANIM;ACC;MASC;PL	N;MASC;PL
победителей	vencedoras	победитель	vencedora	N;ANIM;ACC;MASC;PL	N;FEM;PL
пользователи	utilizadores	пользователь	utilizador	N;ANIM;NOM;MASC;PL	N;MASC;PL
пользователи	usuários	пользователь	usuário	N;ANIM;NOM;MASC;PL	N;MASC;PL
полу	semi	пол	semir	N;INAN;DAT;MASC;SG	N;MASC;SG
борисов	borisov	борис	borisov	N;ANIM;NOM;MASC;SG	N;MASC;SG
землетрясения	terremotos	землетрясение	terremoto	N;INAN;NOM;NEUT;PL	N;MASC;PL
землетрясения	sismos	землетрясение	sismo	N;INAN;NOM;NEUT;PL	N;MASC;PL
землетрясения	terramotos	землетрясение	terramoto	N;INAN;NOM;NEUT;PL	N;MASC;PL
колоний	colônias	колония	colônia	N;INAN;GEN;FEM;PL	N;FEM;PL
колоний	colónias	колония	colónia	N;INAN;GEN;FEM;PL	N;FEM;PL
христиане	cristãos	христианин	cristão	N;ANIM;NOM;MASC;PL	N;MASC;PL
христиане	cristãos	христианин	cristão	N;ANIM;NOM;MASC;PL	N;MASC;PL
рнк	rna	рнк	rna	N;INAN;NOM;FEM;SG	N;MASC;SG
рнк	arn	рнк	arn	N;INAN;NOM;FEM;SG	N;MASC;SG
тыл	retaguarda	тыл	retaguarda	N;INAN;NOM;MASC;SG	N;FEM;SG
тыл	traseiro	тыл	traseiro	N;INAN;NOM;MASC;SG	N;MASC;SG
тыл	traseira	тыл	traseira	N;INAN;NOM;MASC;SG	N;FEM;SG
кипр	chipre	кипр	chipre	N;INAN;NOM;MASC;SG	N;MASC;SG
мифы	mitos	миф	mito	N;INAN;NOM;MASC;PL	N;MASC;PL
судьбу	destino	судьба	destino	N;INAN;ACC;FEM;SG	N;MASC;SG
судьбу	destiny	судьба	destiny	N;INAN;ACC;FEM;SG	N;MASC;SG
судьбу	destino	судьба	destino	N;INAN;ACC;FEM;SG	N;MASC;SG
судьбу	fate	судьба	fate	N;INAN;ACC;FEM;SG	N;MASC;SG
глубины	profundezas	глубина	profundeza	N;INAN;NOM;FEM;PL	N;FEM;PL
глубины	profundidades	глубина	profundidade	N;INAN;NOM;FEM;PL	N;FEM;PL
огпу	ogpu	огпа	ogpar	N;INAN;NOM;MASC;SG	N;MASC;SG
ногу	foot	нога	foot	N;INAN;ACC;FEM;SG	N;MASC;SG
ногу	pé	нога	pé	N;INAN;ACC;FEM;SG	N;MASC;SG
ногу	perna	нога	perna	N;INAN;ACC;FEM;SG	N;FEM;SG
страх	fear	страх	fear	N;INAN;NOM;MASC;SG	N;MASC;SG
страх	medo	страх	medo	N;INAN;NOM;MASC;SG	N;MASC;SG
страх	temor	страх	temor	N;INAN;NOM;MASC;SG	N;MASC;SG
интересная	interessante	интересный	interessante	ADJ;NOM;FEM;SG	ADJ;MASC;SG
заседания	encontros	заседание	encontro	N;INAN;NOM;NEUT;PL	N;MASC;PL
заседания	reuniões	заседание	reunião	N;INAN;NOM;NEUT;PL	N;FEM;PL
побеждает	ganha	побеждать	ganhar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
побеждает	vence	побеждать	vencer	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
разработчик	construtor	разработчик	construtor	N;ANIM;NOM;MASC;SG	N;MASC;SG
разработчик	programador	разработчик	programador	N;ANIM;NOM;MASC;SG	N;MASC;SG
разработчик	desenvolvedor	разработчик	desenvolvedor	N;ANIM;NOM;MASC;SG	N;MASC;SG
статуи	estátuas	статуя	estátua	N;INAN;NOM;FEM;PL	N;FEM;PL
активная	ativo	активный	ativo	ADJ;NOM;FEM;SG	ADJ;MASC;SG
активная	activo	активный	activo	ADJ;NOM;FEM;SG	ADJ;MASC;SG
активная	ativa	активный	ativo	ADJ;NOM;FEM;SG	ADJ;FEM;SG
активная	activa	активный	activo	ADJ;NOM;FEM;SG	ADJ;FEM;SG
растворяется	dissolve	растворяться	dissolver	V;IPFV;IND;SG;3;PRS;FIN;MID	V;IND;SG;3;PRS;FIN
вмешательства	interferências	вмешательство	interferência	N;INAN;NOM;NEUT;PL	N;FEM;PL
вмешательства	intervenções	вмешательство	intervenção	N;INAN;NOM;NEUT;PL	N;FEM;PL
корона	coroa	корона	coroa	N;INAN;NOM;FEM;SG	N;FEM;SG
корона	crown	корона	crown	N;INAN;NOM;FEM;SG	N;MASC;SG
корона	corona	корона	corona	N;INAN;NOM;FEM;SG	N;FEM;SG
политиков	políticos	политик	político	N;ANIM;GEN;MASC;PL	N;MASC;PL
политиков	politicos	политик	politico	N;ANIM;GEN;MASC;PL	N;MASC;PL
посла	embaixadora	посол	embaixadora	N;ANIM;ACC;MASC;SG	N;FEM;SG
посла	embaixador	посол	embaixador	N;ANIM;ACC;MASC;SG	N;MASC;SG
регулярного	regular	регулярный	regular	ADJ;GEN;MASC;SG	ADJ;MASC;SG
нова	nova	новый	novo	ADJ;FEM;SG	ADJ;FEM;SG
