catégorie	類別	catégorie	類別	N;FEM;SG	N
format	格式	format	格式	N;MASC;SG	N
mode	時裝	mode	時裝	N;FEM;SG	N
mode	時尚	mode	時尚	N;FEM;SG	N
mode	模式	mode	模式	N;FEM;SG	N
artiste	藝術	artiste	藝術	N;MASC;SG	N
artiste	藝人	artiste	藝人	N;MASC;SG	N
créer	創建	créer	創建	V;NFIN	V
créer	創建	créer	創建	V;NFIN	V
décide	決定	décider	決定	V;IND;SG;3;PRS;FIN	V
garde	衛兵	garde	衛兵	N;FEM;SG	N
garde	警衛	garde	警衛	N;FEM;SG	N
garde	守護	garde	守護	N;FEM;SG	N
garde	監護	garde	監護	N;FEM;SG	N
garde	羈	garde	羈	N;FEM;SG	N
fédération	聯邦	fédération	聯邦	N;FEM;SG	N
police	警方	police	警方	N;FEM;SG	N
police	警務	police	警務	N;FEM;SG	N
police	警察	police	警察	N;FEM;SG	N
comédie	喜劇	comédie	喜劇	N;FEM;SG	N
empereur	皇帝	empereur	皇帝	N;MASC;SG	N
empereur	天皇	empereur	天皇	N;MASC;SG	N
infanterie	步兵	infanterie	步兵	N;FEM;SG	N
rejoint	加入	rejoindre	加入	V;MASC;SG;PST;V.PTCP	V
chevalier	騎士	chevalier	騎士	N;MASC;SG	N
armes	軍	arme	軍	N;FEM;PL	N
armes	武器	arme	武器	N;FEM;PL	N
armes	兵器	arme	兵器	N;FEM;PL	N
armes	火器	arme	火器	N;FEM;PL	N
armes	槍械	arme	槍械	N;FEM;PL	N
armes	槍支	arme	槍支	N;FEM;PL	N
armes	槍械	arme	槍械	N;FEM;PL	N
livres	圖書	livre	圖書	N;MASC;PL	N
livres	書	livre	書	N;MASC;PL	N
livres	書籍	livre	書籍	N;MASC;PL	N
personnalités	人格	personnalité	人格	N;FEM;PL	N
unique	獨特	unique	獨特	ADJ;MASC;SG	ADJ
unique	獨一	unique	獨一	ADJ;MASC;SG	ADJ
capitaine	機長	capitaine	機長	N;MASC;SG	N
capitaine	隊長	capitaine	隊長	N;MASC;SG	N
commission	委員	commission	委員	N;FEM;SG	N
fit	適合	faire	適合	V;IND;SG;3;PST;FIN	V
taux	速率	taux	速率	N;MASC;SG	N
taux	率	taux	率	N;MASC;SG	N
taux	利率	taux	利率	N;MASC;SG	N
surface	表面	surface	表面	N;FEM;SG	N
surface	地面	surface	地面	N;FEM;SG	N
surface	地表	surface	地表	N;FEM;SG	N
architecture	結構	architecture	結構	N;FEM;SG	N
architecture	架構	architecture	架構	N;FEM;SG	N
architecture	建築	architecture	建築	N;FEM;SG	N
inscrit	註冊	inscrire	註冊	V;MASC;SG;PST;V.PTCP	V
transport	運輸	transport	運輸	N;MASC;SG	N
transport	交通	transport	交通	N;MASC;SG	N
transport	運輸	transport	運輸	N;MASC;SG	N
transport	交通	transport	交通	N;MASC;SG	N
sort	拼字	sort	拼字	N;MASC;SG	N
sort	咒語	sort	咒語	N;MASC;SG	N
sort	拼	sort	拼	N;MASC;SG	N
sort	咒	sort	咒	N;MASC;SG	N
annonce	廣告	annonce	廣告	N;FEM;SG	N
pièce	硬幣	pièce	硬幣	N;FEM;SG	N
pièce	錢幣	pièce	錢幣	N;FEM;SG	N
conseiller	顧問	conseiller	顧問	N;MASC;SG	N
conseiller	顧問	conseiller	顧問	N;MASC;SG	N
portail	門戶	portail	門戶	N;MASC;SG	N
terrain	陸地	terrain	陸地	N;MASC;SG	N
terrain	土地	terrain	土地	N;MASC;SG	N
terrain	地形	terrain	地形	N;MASC;SG	N
terrain	地勢	terrain	地勢	N;MASC;SG	N
usage	用法	usage	用法	N;MASC;SG	N
usage	用量	usage	用量	N;MASC;SG	N
comprend	包括	comprendre	包括	V;IND;SG;3;PRS;FIN	V
secrétaire	秘書	secrétaire	秘書	N;MASC;SG	N
tennis	網球	tennis	網球	N;MASC;SG	N
donner	捐獻	donner	捐獻	V;NFIN	V
donner	捐贈	donner	捐贈	V;NFIN	V
donner	捐款	donner	捐款	V;NFIN	V
donner	捐	donner	捐	V;NFIN	V
pièces	硬幣	pièce	硬幣	N;FEM;PL	N
pièces	錢幣	pièce	錢幣	N;FEM;PL	N
pièces	部件	pièce	部件	N;FEM;PL	N
fonctions	功能	fonction	功能	N;FEM;PL	N
fonctions	職能	fonction	職能	N;FEM;PL	N
fonctions	函數	fonction	函數	N;FEM;PL	N
fonctions	函數	fonction	函數	N;FEM;PL	N
fonctions	功能	fonction	功能	N;FEM;PL	N
fonctions	特色	fonction	特色	N;FEM;PL	N
fonctions	特徵	fonction	特徵	N;FEM;PL	N
fonctions	特點	fonction	特點	N;FEM;PL	N
fonctions	職責	fonction	職責	N;FEM;PL	N
informations	資訊	information	資訊	N;FEM;PL	N
charge	負載	charge	負載	N;FEM;SG	N
charge	電荷	charge	電荷	N;FEM;SG	N
charge	收費	charge	收費	N;FEM;SG	N
charge	載荷	charge	載荷	N;FEM;SG	N
sites	網站	site	網站	N;MASC;PL	N
basket	籃	basket	籃	N;MASC;SG	N
basket	籃子	basket	籃子	N;MASC;SG	N
basket	籃球	basket	籃球	N;MASC;SG	N
utiliser	使用	utiliser	使用	V;NFIN	V
utiliser	利用	utiliser	利用	V;NFIN	V
utiliser	使用	utiliser	使用	V;NFIN	V
économie	經濟	économie	經濟	N;FEM;SG	N
économie	經濟	économie	經濟	N;FEM;SG	N
économie	經濟	économie	經濟	N;FEM;SG	N
longueur	長度	longueur	長度	N;FEM;SG	N
légende	標題	légende	標題	N;FEM;SG	N
légende	傳奇	légende	傳奇	N;FEM;SG	N
vingt	二十	vingt	二十	NUM	NUM
arrivée	抵達	arriver	抵達	V;FEM;SG;PST;V.PTCP	V
arrivée	到	arriver	到	V;FEM;SG;PST;V.PTCP	V
conditions	條件	condition	條件	N;FEM;PL	N
scénariste	作家	scénariste	作家	N;MASC;SG	N
scénariste	作者	scénariste	作者	N;MASC;SG	N
scénariste	編劇	scénariste	編劇	N;MASC;SG	N
scénariste	編劇	scénariste	編劇	N;MASC;SG	N
bibliothèque	圖書	bibliothèque	圖書	N;FEM;SG	N
commerce	商務	commerce	商務	N;MASC;SG	N
commerce	商業	commerce	商業	N;MASC;SG	N
commerce	貿易	commerce	貿易	N;MASC;SG	N
énergie	能量	énergie	能量	N;FEM;SG	N
énergie	能源	énergie	能源	N;FEM;SG	N
parties	部件	partie	部件	N;FEM;PL	N
fiction	虛構	fiction	虛構	N;FEM;SG	N
fiction	小說	fiction	小說	N;FEM;SG	N
intérêt	興趣	intérêt	興趣	N;MASC;SG	N
intérêt	利息	intérêt	利息	N;MASC;SG	N
structure	結構	structure	結構	N;FEM;SG	N
kilomètres	公里	kilomètre	公里	N;MASC;PL	N
kilomètres	英里	kilomètre	英里	N;MASC;PL	N
kilomètres	公里	kilomètre	公里	N;MASC;PL	N
jeunesse	青年	jeunesse	青年	N;FEM;SG	N
jeunesse	青春	jeunesse	青春	N;FEM;SG	N
jeunesse	青少	jeunesse	青少	N;FEM;SG	N
régions	區域	région	區域	N;FEM;PL	N
passer	通行	passer	通行	V;NFIN	V
enseignement	教書	enseignement	教書	N;MASC;SG	N
enseignement	教學	enseignement	教學	N;MASC;SG	N
enseignement	教	enseignement	教	N;MASC;SG	N
enseignement	教育	enseignement	教育	N;MASC;SG	N
enseignement	學歷	enseignement	學歷	N;MASC;SG	N
exposition	展覽	exposition	展覽	N;FEM;SG	N
exposition	展品	exposition	展品	N;FEM;SG	N
exposition	展覽	exposition	展覽	N;FEM;SG	N
exposition	展	exposition	展	N;FEM;SG	N
exposition	展覽	exposition	展覽	N;FEM;SG	N
poids	重量	poids	重量	N;MASC;SG	N
poids	重量	poids	重量	N;MASC;SG	N
poids	體重	poids	體重	N;MASC;SG	N
poids	份量	poids	份量	N;MASC;SG	N
santé	歡呼	santé	歡呼	N;FEM;SG	N
santé	健康	santé	健康	N;FEM;SG	N
heure	時辰	heure	時辰	N;FEM;SG	N
heure	小時	heure	小時	N;FEM;SG	N
heure	時光	heure	時光	N;FEM;SG	N
heure	時間	heure	時間	N;FEM;SG	N
feu	消防	feu	消防	N;MASC;SG	N
feu	火	feu	火	N;MASC;SG	N
feu	火災	feu	火災	N;MASC;SG	N
profession	職業	profession	職業	N;FEM;SG	N
profession	專業	profession	專業	N;FEM;SG	N
profession	職業	profession	職業	N;FEM;SG	N
trouver	找到	trouver	找到	V;NFIN	V
trouver	尋找	trouver	尋找	V;NFIN	V
voyage	旅行	voyage	旅行	N;MASC;SG	N
voyage	旅費	voyage	旅費	N;MASC;SG	N
voyage	旅遊	voyage	旅遊	N;MASC;SG	N
voyage	旅途	voyage	旅途	N;MASC;SG	N
voyage	旅程	voyage	旅程	N;MASC;SG	N
voyage	旅行	voyage	旅行	N;MASC;SG	N
voyage	行程	voyage	行程	N;MASC;SG	N
supérieur	優越	supérieur	優越	ADJ;MASC;SG	ADJ
supérieur	較高	supérieur	較高	ADJ;MASC;SG	ADJ
supérieur	更高	supérieur	更高	ADJ;MASC;SG	ADJ
logo	標誌	logo	標誌	N;MASC;SG	N
logo	標識	logo	標識	N;MASC;SG	N
localité	位置	localité	位置	N;FEM;SG	N
localité	地點	localité	地點	N;FEM;SG	N
arrière	後方	arrière	後方	N;MASC;SG	N
régime	政權	régime	政權	N;MASC;SG	N
régime	制度	régime	制度	N;MASC;SG	N
résultat	結果	résultat	結果	N;MASC;SG	N
couleurs	色	couleur	色	N;FEM;PL	N
couleurs	彩色	couleur	彩色	N;FEM;PL	N
couleurs	顏色	couleur	顏色	N;FEM;PL	N
couleurs	色彩	couleur	色彩	N;FEM;PL	N
couleurs	彩色	couleur	彩色	N;FEM;PL	N
couleurs	顏色	couleur	顏色	N;FEM;PL	N
couleurs	色彩	couleur	色彩	N;FEM;PL	N
couleurs	顏色	couleur	顏色	N;FEM;PL	N
couleurs	色彩	couleur	色彩	N;FEM;PL	N
couleurs	顏色	couleur	顏色	N;FEM;PL	N
couleurs	色彩	couleur	色彩	N;FEM;PL	N
signe	簽名	signe	簽名	N;MASC;SG	N
orchestre	樂團	orchestre	樂團	N;MASC;SG	N
orchestre	樂隊	orchestre	樂隊	N;MASC;SG	N
orchestre	管弦	orchestre	管弦	N;MASC;SG	N
orchestre	樂團	orchestre	樂團	N;MASC;SG	N
concours	比賽	concours	比賽	N;MASC;SG	N
concours	競賽	concours	競賽	N;MASC;SG	N
concours	競賽	concours	競賽	N;MASC;SG	N
concours	競爭	concours	競爭	N;MASC;SG	N
concours	競賽	concours	競賽	N;MASC;SG	N
termine	完成	terminer	完成	V;IND;SG;3;PRS;FIN	V
liées	被	lier	被	V;FEM;PL;PST;V.PTCP	V;PASS
phase	階段	phase	階段	N;FEM;SG	N
journaliste	記者	journaliste	記者	N;MASC;SG	N
journaliste	記者	journaliste	記者	N;MASC;SG	N
record	唱片	record	唱片	N;MASC;SG	N
record	紀錄	record	紀錄	N;MASC;SG	N
célèbre	著名	célèbre	著名	ADJ;MASC;SG	ADJ
mariage	婚姻	mariage	婚姻	N;MASC;SG	N
mariage	婚禮	mariage	婚禮	N;MASC;SG	N
devenir	成	devenir	成	V;NFIN	V
message	留言	message	留言	N;MASC;SG	N
message	訊息	message	訊息	N;MASC;SG	N
message	信件	message	信件	N;MASC;SG	N
mêmes	相同	même	相同	ADJ;MASC;PL	ADJ
artistes	藝術	artiste	藝術	N;MASC;PL	N
artistes	藝人	artiste	藝人	N;MASC;PL	N
artistes	藝術	artiste	藝術	N;MASC;PL	N
artistes	藝人	artiste	藝人	N;MASC;PL	N
constitution	憲法	constitution	憲法	N;FEM;SG	N
presque	幾乎	presque	幾乎	ADV	ADV
affaire	案例	affaire	案例	N;FEM;SG	N
affaire	個案	affaire	個案	N;FEM;SG	N
affaire	案件	affaire	案件	N;FEM;SG	N
esprit	頭腦	esprit	頭腦	N;MASC;SG	N
esprit	心靈	esprit	心靈	N;MASC;SG	N
esprit	精神	esprit	精神	N;MASC;SG	N
suivi	跟	suivre	跟	V;MASC;SG;PST;V.PTCP	V
suivi	追蹤	suivre	追蹤	V;MASC;SG;PST;V.PTCP	V
suivi	跟蹤	suivre	跟蹤	V;MASC;SG;PST;V.PTCP	V
suivi	監測	suivre	監測	V;MASC;SG;PST;V.PTCP	V
moteur	引擎	moteur	引擎	N;MASC;SG	N
moteur	馬達	moteur	馬達	N;MASC;SG	N
moteur	電機	moteur	電機	N;MASC;SG	N
relations	關係	relation	關係	N;FEM;PL	N
relations	關係	relation	關係	N;FEM;PL	N
élève	瞳孔	élève	瞳孔	N;MASC;SG	N
séries	系列	série	系列	N;FEM;PL	N
galerie	畫廊	galerie	畫廊	N;FEM;SG	N
découvert	透支	découvrir	透支	V;MASC;SG;PST;V.PTCP	V
parlement	國會	parlement	國會	N;MASC;SG	N
parlement	議會	parlement	議會	N;MASC;SG	N
zip	拉鍊	zip	拉鍊	N;MASC;SG	N
zip	zip	zip	zip	N;MASC;SG	N
étudiant	學生	étudiant	學生	N;MASC;SG	N
théorie	理論	théorie	理論	N;FEM;SG	N
théorie	論	théorie	論	N;FEM;SG	N
doute	疑問	doute	疑問	N;MASC;SG	N
mémoire	記憶	mémoire	記憶	N;FEM;SG	N
mémoire	記憶	mémoire	記憶	N;FEM;SG	N
mémoire	記憶	mémoire	記憶	N;FEM;SG	N
ami	朋友	ami	朋友	N;MASC;SG	N
ami	好友	ami	好友	N;MASC;SG	N
images	影像	image	影像	N;FEM;PL	N
images	圖片	image	圖片	N;FEM;PL	N
images	圖片	image	圖片	N;FEM;PL	N
images	像片	image	像片	N;FEM;PL	N
images	圖畫	image	圖畫	N;FEM;PL	N
images	照片	image	照片	N;FEM;PL	N
éducation	教育	éducation	教育	N;FEM;SG	N
éducation	學歷	éducation	學歷	N;FEM;SG	N
magazine	雜誌	magazine	雜誌	N;MASC;SG	N
officier	官	officier	官	N;MASC;SG	N
officier	軍官	officier	軍官	N;MASC;SG	N
hauteur	身高	hauteur	身高	N;FEM;SG	N
hauteur	高度	hauteur	高度	N;FEM;SG	N
camp	難民	camp	難民	N;MASC;SG	N
camp	營	camp	營	N;MASC;SG	N
camp	營地	camp	營地	N;MASC;SG	N
secteur	部門	secteur	部門	N;MASC;SG	N
représentant	代表	représentant	代表	N;MASC;SG	N
saisons	季	saison	季	N;FEM;PL	N
saisons	季節	saison	季節	N;FEM;PL	N
saisons	季	saison	季	N;FEM;PL	N
saisons	季節	saison	季節	N;FEM;PL	N
temple	神廟	temple	神廟	N;MASC;SG	N
temple	寺	temple	寺	N;MASC;SG	N
temple	寺廟	temple	寺廟	N;MASC;SG	N
temple	廟	temple	廟	N;MASC;SG	N
temple	聖殿	temple	聖殿	N;MASC;SG	N
forêt	森林	forêt	森林	N;FEM;SG	N
forêt	森林	forêt	森林	N;FEM;SG	N
forte	強壯	fort	強壯	ADJ;FEM;SG	ADJ
forte	強烈	fort	強烈	ADJ;FEM;SG	ADJ
forte	堅強	fort	堅強	ADJ;FEM;SG	ADJ
conflit	衝突	conflit	衝突	N;MASC;SG	N
conflit	衝突	conflit	衝突	N;MASC;SG	N
conflit	爭端	conflit	爭端	N;MASC;SG	N
conflit	糾紛	conflit	糾紛	N;MASC;SG	N
conflit	爭議	conflit	爭議	N;MASC;SG	N
commandant	少校	commandant	少校	N;MASC;SG	N
commandant	司令	commandant	司令	N;MASC;SG	N
docteur	醫師	docteur	醫師	N;MASC;SG	N
docteur	醫生	docteur	醫生	N;MASC;SG	N
docteur	博士	docteur	博士	N;MASC;SG	N
gouverneur	省長	gouverneur	省長	N;MASC;SG	N
gouverneur	總督	gouverneur	總督	N;MASC;SG	N
gouverneur	州	gouverneur	州	N;MASC;SG	N
collège	學院	collège	學院	N;MASC;SG	N
collège	書院	collège	書院	N;MASC;SG	N
collège	大學	collège	大學	N;MASC;SG	N
utilise	利用	utiliser	利用	V;IND;SG;3;PRS;FIN	V
utilise	使用	utiliser	使用	V;IND;SG;3;PRS;FIN	V
bassin	骨盆	bassin	骨盆	N;MASC;SG	N
bassin	盆地	bassin	盆地	N;MASC;SG	N
bassin	海盆	bassin	海盆	N;MASC;SG	N
bassin	流域	bassin	流域	N;MASC;SG	N
bassin	盆	bassin	盆	N;MASC;SG	N
victoires	勝利	victoire	勝利	N;FEM;PL	N
bureau	桌面	bureau	桌面	N;MASC;SG	N
contrat	合同	contrat	合同	N;MASC;SG	N
contrat	合約	contrat	合約	N;MASC;SG	N
arbitre	裁判	arbitre	裁判	N;MASC;SG	N
arbitre	裁判	arbitre	裁判	N;MASC;SG	N
justice	正義	justice	正義	N;FEM;SG	N
justice	司法	justice	司法	N;FEM;SG	N
directement	直接	directement	直接	ADV	ADV
directement	直接	directement	直接	ADV	ADV
appel	電話	appel	電話	N;MASC;SG	N
appel	通話	appel	通話	N;MASC;SG	N
semaine	星期	semaine	星期	N;FEM;SG	N
semaine	週	semaine	週	N;FEM;SG	N
pied	腳	pied	腳	N;MASC;SG	N
pied	英尺	pied	英尺	N;MASC;SG	N
you	你	you	你	PRO;SG;2	PRO;2
chanteur	歌手	chanteur	歌手	N;MASC;SG	N
neuf	九	neuf	九	NUM	NUM
photographie	像片	photographie	像片	N;FEM;SG	N
photographie	照片	photographie	照片	N;FEM;SG	N
photographie	攝影	photographie	攝影	N;FEM;SG	N
principe	原則	principe	原則	N;MASC;SG	N
principe	原理	principe	原理	N;MASC;SG	N
bord	邊緣	bord	邊緣	N;MASC;SG	N
distribution	分銷	distribution	分銷	N;FEM;SG	N
environnement	環境	environnement	環境	N;MASC;SG	N
utilisée	使用	utiliser	使用	V;FEM;SG;PST;V.PTCP	V
entreprises	企業	entreprise	企業	N;FEM;PL	N
entreprises	業務	entreprise	業務	N;FEM;PL	N
entreprises	商業	entreprise	商業	N;FEM;PL	N
entreprises	商務	entreprise	商務	N;FEM;PL	N
entreprises	公司	entreprise	公司	N;FEM;PL	N
entreprises	企業	entreprise	企業	N;FEM;PL	N
entreprises	企業	entreprise	企業	N;FEM;PL	N
lumière	光線	lumière	光線	N;FEM;SG	N
lumière	光	lumière	光	N;FEM;SG	N
lumière	燈光	lumière	燈光	N;FEM;SG	N
lumière	光明	lumière	光明	N;FEM;SG	N
lumière	燈	lumière	燈	N;FEM;SG	N
lumière	燈光	lumière	燈光	N;FEM;SG	N
supérieure	優越	supérieur	優越	ADJ;FEM;SG	ADJ
train	火車	train	火車	N;MASC;SG	N
train	列車	train	列車	N;MASC;SG	N
lieutenant	中尉	lieutenant	中尉	N;MASC;SG	N
textes	文字	texte	文字	N;MASC;PL	N
textes	案文	texte	案文	N;MASC;PL	N
moitié	半數	moitié	半數	N;FEM;SG	N
pilote	司機	pilote	司機	N;MASC;SG	N
pilote	試點	pilote	試點	N;MASC;SG	N
réponse	答	réponse	答	N;FEM;SG	N
réponse	答案	réponse	答案	N;FEM;SG	N
reine	女王	reine	女王	N;FEM;SG	N
reine	皇后	reine	皇后	N;FEM;SG	N
reine	王后	reine	王后	N;FEM;SG	N
auteurs	作家	auteur	作家	N;MASC;PL	N
auteurs	作者	auteur	作者	N;MASC;PL	N
auteurs	作者	auteur	作者	N;MASC;PL	N
chansons	歌曲	chanson	歌曲	N;FEM;PL	N
chansons	歌	chanson	歌	N;FEM;PL	N
compris	包括	comprendre	包括	V;MASC;SG;PST;V.PTCP	V
compris	理解	comprendre	理解	V;MASC;SG;PST;V.PTCP	V
via	通過	via	通過	ADP	ADP
via	經	via	經	ADP	ADP
via	透過	via	透過	ADP	ADP
via	通過	via	通過	ADP	ADP
volume	體積	volume	體積	N;MASC;SG	N
volume	音量	volume	音量	N;MASC;SG	N
pape	教皇	pape	教皇	N;MASC;SG	N
pape	教宗	pape	教宗	N;MASC;SG	N
questions	問題	question	問題	N;FEM;PL	N
parle	聊	parler	聊	V;IND;SG;3;PRS;FIN	V
lire	讀	lire	讀	V;NFIN	V
lire	讀取	lire	讀取	V;NFIN	V
lire	讀取	lire	讀取	V;NFIN	V
lire	讀	lire	讀	V;NFIN	V
ouvrages	圖書	ouvrage	圖書	N;MASC;PL	N
ouvrages	書	ouvrage	書	N;MASC;PL	N
ouvrages	書籍	ouvrage	書籍	N;MASC;PL	N
industrie	工業	industrie	工業	N;FEM;SG	N
industrie	產業	industrie	產業	N;FEM;SG	N
industrie	行業	industrie	行業	N;FEM;SG	N
industrie	業界	industrie	業界	N;FEM;SG	N
lettre	信	lettre	信	N;FEM;SG	N
lettre	字母	lettre	字母	N;FEM;SG	N
lettre	信函	lettre	信函	N;FEM;SG	N
lettre	信件	lettre	信件	N;FEM;SG	N
terres	土地	terre	土地	N;FEM;PL	N
terres	陸地	terre	陸地	N;FEM;PL	N
terres	土地	terre	土地	N;FEM;PL	N
man	人	man	人	N;MASC;SG	N
man	男人	man	男人	N;MASC;SG	N
opération	手術	opération	手術	N;FEM;SG	N
opération	行動	opération	行動	N;FEM;SG	N
piste	曲目	piste	曲目	N;FEM;SG	N
piste	軌道	piste	軌道	N;FEM;SG	N
piste	軌跡	piste	軌跡	N;FEM;SG	N
piste	跑道	piste	跑道	N;FEM;SG	N
piste	軌跡	piste	軌跡	N;FEM;SG	N
piste	小徑	piste	小徑	N;FEM;SG	N
paix	和平	paix	和平	N;FEM;SG	N
vieux	舊	vieux	舊	ADJ;MASC;SG	ADJ
propriétaire	業	propriétaire	業	N;MASC;SG	N
faible	虛弱	faible	虛弱	ADJ;MASC;SG	ADJ
faible	軟弱	faible	軟弱	ADJ;MASC;SG	ADJ
faible	薄弱	faible	薄弱	ADJ;MASC;SG	ADJ
journée	白天	journée	白天	N;FEM;SG	N
puissance	電力	puissance	電力	N;FEM;SG	N
puissance	電源	puissance	電源	N;FEM;SG	N
puissance	動力	puissance	動力	N;FEM;SG	N
puissance	權力	puissance	權力	N;FEM;SG	N
zones	地區	zone	地區	N;FEM;PL	N
formule	公式	formule	公式	N;FEM;SG	N
formule	方程	formule	方程	N;FEM;SG	N
formule	配方	formule	配方	N;FEM;SG	N
sœur	姐姐	sœur	姐姐	N;FEM;SG	N
sœur	姊姊	sœur	姊姊	N;FEM;SG	N
sœur	妹妹	sœur	妹妹	N;FEM;SG	N
sœur	姐姐	sœur	姐姐	N;FEM;SG	N
sœur	姐妹	sœur	姐妹	N;FEM;SG	N
sœur	姊妹	sœur	姊妹	N;FEM;SG	N
sœur	姊姊	sœur	姊姊	N;FEM;SG	N
opéra	歌劇	opéra	歌劇	N;MASC;SG	N
reçu	收據	recevoir	收據	V;MASC;SG;PST;V.PTCP	V
piano	鋼琴	piano	鋼琴	N;MASC;SG	N
montagne	山	montagne	山	N;FEM;SG	N
montagne	山區	montagne	山區	N;FEM;SG	N
montagne	山地	montagne	山地	N;FEM;SG	N
montagne	山	montagne	山	N;FEM;SG	N
montagne	山脈	montagne	山脈	N;FEM;SG	N
montagne	山區	montagne	山區	N;FEM;SG	N
découverte	發現	découvrir	發現	V;FEM;SG;PST;V.PTCP	V
découverte	探索	découvrir	探索	V;FEM;SG;PST;V.PTCP	V
découverte	發現	découvrir	發現	V;FEM;SG;PST;V.PTCP	V
découverte	探索	découvrir	探索	V;FEM;SG;PST;V.PTCP	V
front	前面	front	前面	N;MASC;SG	N
front	陣線	front	陣線	N;MASC;SG	N
front	額頭	front	額頭	N;MASC;SG	N
circonscription	組織	circonscription	組織	N;FEM;SG	N
circonscription	選區	circonscription	選區	N;FEM;SG	N
poète	詩人	poète	詩人	N;MASC;SG	N
champ	欄位	champ	欄位	N;MASC;SG	N
champ	冠軍	champ	冠軍	N;MASC;SG	N
archives	檔案	archive	檔案	N;FEM;PL	N
archives	檔案	archive	檔案	N;FEM;PL	N
archives	歸檔	archive	歸檔	N;FEM;PL	N
vote	選票	vote	選票	N;MASC;SG	N
projets	項目	projet	項目	N;MASC;PL	N
formes	表格	forme	表格	N;FEM;PL	N
formes	形狀	forme	形狀	N;FEM;PL	N
proximité	親近	proximité	親近	N;FEM;SG	N
proximité	周邊	proximité	周邊	N;FEM;SG	N
proximité	鄰近	proximité	鄰近	N;FEM;SG	N
proximité	附近	proximité	附近	N;FEM;SG	N
obtenir	獲取	obtenir	獲取	V;NFIN	V
obtenir	獲得	obtenir	獲得	V;NFIN	V
obtenir	得到	obtenir	得到	V;NFIN	V
motif	動機	motif	動機	N;MASC;SG	N
motif	圖案	motif	圖案	N;MASC;SG	N
motif	格局	motif	格局	N;MASC;SG	N
motif	模式	motif	模式	N;MASC;SG	N
chant	歌曲	chant	歌曲	N;MASC;SG	N
chant	首歌	chant	首歌	N;MASC;SG	N
chant	歌	chant	歌	N;MASC;SG	N
chant	聖歌	chant	聖歌	N;MASC;SG	N
chant	聲樂	chant	聲樂	N;MASC;SG	N
chant	歌聲	chant	歌聲	N;MASC;SG	N
chant	唱歌	chant	唱歌	N;MASC;SG	N
chant	歌唱	chant	歌唱	N;MASC;SG	N
congrès	國會	congrès	國會	N;MASC;SG	N
soleil	太陽	soleil	太陽	N;MASC;SG	N
soleil	陽光	soleil	陽光	N;MASC;SG	N
soleil	陽光	soleil	陽光	N;MASC;SG	N
amis	朋友	ami	朋友	N;MASC;PL	N
amis	好友	ami	好友	N;MASC;PL	N
amis	朋友	ami	朋友	N;MASC;PL	N
amis	好友	ami	好友	N;MASC;PL	N
peinture	畫	peinture	畫	N;FEM;SG	N
peinture	油漆	peinture	油漆	N;FEM;SG	N
peinture	顏料	peinture	顏料	N;FEM;SG	N
peinture	畫	peinture	畫	N;FEM;SG	N
peinture	油畫	peinture	油畫	N;FEM;SG	N
peinture	繪畫	peinture	繪畫	N;FEM;SG	N
légion	軍團	légion	軍團	N;FEM;SG	N
inclinaison	傾向	inclinaison	傾向	N;FEM;SG	N
inclinaison	意向	inclinaison	意向	N;FEM;SG	N
figure	圖	figure	圖	N;FEM;SG	N
limite	極限	limite	極限	N;FEM;SG	N
limite	限額	limite	限額	N;FEM;SG	N
limite	上限	limite	上限	N;FEM;SG	N
limite	極限	limite	極限	N;FEM;SG	N
limite	限	limite	限	N;FEM;SG	N
limite	限額	limite	限額	N;FEM;SG	N
gens	人	gens	人	N;MASC;PL	N
gens	人們	gens	人	N;MASC;PL	N;PL
gens	人民	gens	人民	N;MASC;PL	N
guitare	吉他	guitare	吉他	N;FEM;SG	N
liberté	自由	liberté	自由	N;FEM;SG	N
liberté	自由	liberté	自由	N;FEM;SG	N
star	星星	star	星星	N;FEM;SG	N
star	恆星	star	恆星	N;FEM;SG	N
star	星	star	星	N;FEM;SG	N
star	明星	star	明星	N;FEM;SG	N
fête	節慶	fête	節慶	N;FEM;SG	N
fête	節日	fête	節日	N;FEM;SG	N
fête	宴會	fête	宴會	N;FEM;SG	N
fête	盛宴	fête	盛宴	N;FEM;SG	N
fête	黨	fête	黨	N;FEM;SG	N
fête	政黨	fête	政黨	N;FEM;SG	N
fête	宴會	fête	宴會	N;FEM;SG	N
fête	聚會	fête	聚會	N;FEM;SG	N
photo	像片	photo	像片	N;FEM;SG	N
photo	照片	photo	照片	N;FEM;SG	N
photo	照片	photo	照片	N;FEM;SG	N
photo	圖片	photo	圖片	N;FEM;SG	N
canal	運河	canal	運河	N;MASC;SG	N
canal	頻道	canal	頻道	N;MASC;SG	N
canal	海峽	canal	海峽	N;MASC;SG	N
canal	通道	canal	通道	N;MASC;SG	N
jouer	玩	jouer	玩	V;NFIN	V
jouer	播放	jouer	播放	V;NFIN	V
jouer	玩	jouer	玩	V;NFIN	V
jouer	播放	jouer	播放	V;NFIN	V
recherches	搜尋	recherche	搜尋	N;FEM;PL	N
offre	優惠	offre	優惠	N;FEM;SG	N
offre	優惠	offre	優惠	N;FEM;SG	N
frontière	邊界	frontière	邊界	N;FEM;SG	N
frontière	邊框	frontière	邊框	N;FEM;SG	N
frontière	邊境	frontière	邊境	N;FEM;SG	N
frontière	邊疆	frontière	邊疆	N;FEM;SG	N
