تابی	ヒート	تابی	ヒート	N;NOM;MASC;SG;3	N
تعظیم	名誉	تعظیم	名誉	N;NOM;FEM;SG;3	N
تعظیم	リスペクト	تعظیم	リスペクト	N;NOM;FEM;SG;3	N
تعظیم	礼拝	تعظیم	礼拝	N;NOM;FEM;SG;3	N
تعظیم	名誉	تعظیم	名誉	N;NOM;FEM;SG;3	N
تعلیم	教育	تعلیم	教育	N;NOM;FEM;SG;3	N
تعلیم	学歴	تعلیم	学歴	N;NOM;FEM;SG;3	N
تعلیم	教育	تعلیم	教育	N;NOM;FEM;SG;3	N
تعلیم	学歴	تعلیم	学歴	N;NOM;FEM;SG;3	N
تعمیر	建物	تعمیر	建物	N;NOM;FEM;SG;3	N
تعمیر	構造	تعمیر	構造	N;NOM;FEM;SG;3	N
تعمیر	建物	تعمیر	建物	N;NOM;FEM;SG;3	N
تعمیر	構造	تعمیر	構造	N;NOM;FEM;SG;3	N
تعمیل	パフォーマンス	تعمیل	パフォーマンス	N;NOM;MASC;SG;3	N
تعمیل	性能	تعمیل	性能	N;NOM;MASC;SG;3	N
تعمیل	服	تعمیل	服	N;NOM;MASC;SG;3	N
تعمیل	パフォーマンス	تعمیل	パフォーマンス	N;NOM;MASC;SG;3	N
تعمیل	性能	تعمیل	性能	N;NOM;MASC;SG;3	N
تعمیل	コンプライアンス	تعمیل	コンプライアンス	N;NOM;MASC;SG;3	N
تعمیل	服	تعمیل	服	N;NOM;MASC;SG;3	N
تغذیہ	栄養	تغذیہ	栄養	N;NOM;MASC;SG;3	N
تغذیہ	栄養	تغذیہ	栄養	N;NOM;MASC;SG;3	N
تفارُق	師団	تفارُق	師団	N;NOM;MASC;SG;3	N
تفارُق	差分	تفارُق	差分	N;NOM;MASC;SG;3	N
تفتیش	審査	تفتیش	審査	N;NOM;FEM;SG;3	N
تفتیش	試験	تفتیش	試験	N;NOM;FEM;SG;3	N
تفتیش	検査	تفتیش	検査	N;NOM;FEM;SG;3	N
تفتیش	取調	تفتیش	取調	N;NOM;FEM;SG;3	N
تفتیش	プローブ	تفتیش	プローブ	N;NOM;FEM;SG;3	N
تفتیش	捜査	تفتیش	捜査	N;NOM;FEM;SG;3	N
تفحُّص	捜査	تفحُّص	捜査	N;NOM;MASC;SG;3	N
تفرقہ	師団	تفرقہ	師団	N;NOM;MASC;SG;3	N
تفریح	楽しみ	تفریح	楽しみ	N;NOM;MASC;SG;3	N
تفریح	アミューズメント	تفریح	アミューズメント	N;NOM;MASC;SG;3	N
تفریح	エンターテイメント	تفریح	エンターテイメント	N;NOM;MASC;SG;3	N
تفریح	エンターテインメント	تفریح	エンターテインメント	N;NOM;MASC;SG;3	N
تفریح	楽しみ	تفریح	楽しみ	N;NOM;MASC;SG;3	N
تفریح	レクリエーション	تفریح	レクリエーション	N;NOM;MASC;SG;3	N
تفصیل	事項	تفصیل	事項	N;NOM;MASC;SG;3	N
تفصیل	詳細	تفصیل	詳細	N;NOM;MASC;SG;3	N
تفل	唾液	تفل	唾液		
تقاتُل	ファイティング	تقاتُل	ファイティング	N;NOM;MASC;SG;3	N
تقاضا	需要	تقاضا	需要	N;NOM;MASC;SG;3	N
تقاضا	債権	تقاضا	債権	N;NOM;MASC;SG;3	N
تقاطُر	霧雨	تقاطُر	霧雨	N;NOM;MASC;SG;3	N
تقاطُر	蒸留	تقاطُر	蒸留	N;NOM;MASC;SG;3	N
تقاطُع	道路	تقاطُع	道路	N;NOM;MASC;SG;3	N
تقاطُع	交差点	تقاطُع	交差点	N;NOM;MASC;SG;3	N
تقدُّس	純度	تقدُّس	純度	N;NOM;MASC;SG;3	N
تقدیر	フォーチュン	تقدیر	フォーチュン	N;NOM;FEM;SG;3	N
تقدیر	運命	تقدیر	運命	N;NOM;FEM;SG;3	N
تقدیر	フォーチュン	تقدیر	フォーチュン	N;NOM;FEM;SG;3	N
تقدیر	ロット	تقدیر	ロット	N;NOM;FEM;SG;3	N
تقدیر	運命	تقدیر	運命	N;NOM;FEM;SG;3	N
تقدیر	運命	تقدیر	運命	N;NOM;FEM;SG;3	N
تقریب	フェスティバル	تقریب	フェスティバル	N;NOM;FEM;SG;3	N
تقریب	祭事	تقریب	祭事	N;NOM;FEM;SG;3	N
تقریب	祭り	تقریب	祭り	N;NOM;FEM;SG;3	N
تقریب	お	تقریب	お	N;NOM;FEM;SG;3	N
تقریب	原因	تقریب	原因	N;NOM;FEM;SG;3	N
تقریب	おすすめ	تقریب	おすすめ	N;NOM;FEM;SG;3	N
تقریب	参道	تقریب	参道	N;NOM;FEM;SG;3	N
تقریب	理由	تقریب	理由	N;NOM;FEM;SG;3	N
تقریب	理性	تقریب	理性	N;NOM;FEM;SG;3	N
تقریب	フェスティバル	تقریب	フェスティバル	N;NOM;FEM;SG;3	N
تقریب	祭事	تقریب	祭事	N;NOM;FEM;SG;3	N
تقریب	祭り	تقریب	祭り	N;NOM;FEM;SG;3	N
تقریب	お	تقریب	お	N;NOM;FEM;SG;3	N
تقریب	原因	تقریب	原因	N;NOM;FEM;SG;3	N
تقریب	おすすめ	تقریب	おすすめ	N;NOM;FEM;SG;3	N
تقریب	参道	تقریب	参道	N;NOM;FEM;SG;3	N
تقریب	儀式	تقریب	儀式	N;NOM;FEM;SG;3	N
تقریب	式典	تقریب	式典	N;NOM;FEM;SG;3	N
تقریب	理由	تقریب	理由	N;NOM;FEM;SG;3	N
تقریب	理性	تقریب	理性	N;NOM;FEM;SG;3	N
تقریر	談話	تقریر	談話	N;NOM;FEM;SG;3	N
تقریر	アドレス	تقریر	アドレス	N;NOM;FEM;SG;3	N
تقریر	住所	تقریر	住所	N;NOM;FEM;SG;3	N
تقریر	教本	تقریر	教本	N;NOM;FEM;SG;3	N
تقریر	トーク	تقریر	トーク	N;NOM;FEM;SG;3	N
تقریر	談話	تقریر	談話	N;NOM;FEM;SG;3	N
تقریر	音声	تقریر	音声	N;NOM;FEM;SG;3	N
تقریر	スピーチ	تقریر	スピーチ	N;NOM;FEM;SG;3	N
تقریر	アドレス	تقریر	アドレス	N;NOM;FEM;SG;3	N
تقریر	住所	تقریر	住所	N;NOM;FEM;SG;3	N
تقریر	教本	تقریر	教本	N;NOM;FEM;SG;3	N
تقریر	トーク	تقریر	トーク	N;NOM;FEM;SG;3	N
تقریرکرنا	講義	تقریرکرنا	講義	V;SG;NFIN;ACT	V
تقریرکرنا	講演	تقریرکرنا	講演	V;SG;NFIN;ACT	V
تقریرکرنا	喋る	تقریرکرنا	喋る	V;SG;NFIN;ACT	V
تقسیم	師団	تقسیم	師団	N;NOM;FEM;SG;3	N
تقسیم	シェア	تقسیم	シェア	N;NOM;FEM;SG;3	N
تقشُّف	日焼け	تقشُّف	日焼け	N;NOM;MASC;SG;3	N
تقلید	エミュレーション	تقلید	エミュレーション	N;NOM;MASC;SG;3	N
تقلیدکرنا	フォロー	تقلیدکرنا	フォロー	V;NFIN	V
تقلیدکرنا	エミュレート	تقلیدکرنا	エミュレート	V;NFIN	V
تقویت	体力	تقویت	体力	N;NOM;MASC;SG;3	N
تقویت	強度	تقویت	強度	N;NOM;MASC;SG;3	N
تقویت	扶助	تقویت	扶助	N;NOM;MASC;SG;3	N
تک	まで	تک	まで	ADP	ADP
تک	まで	تک	まで	ADP	ADP
تکالیف	トラブル	تکلیف	トラブル	N;NOM;MASC;PL;3	N
تکبُّر	傲慢	تکبُّر	傲慢	N;NOM;MASC;SG;3	N
تکبُّر	プライド	تکبُّر	プライド	N;NOM;MASC;SG;3	N
تکبُّر	傲慢	تکبُّر	傲慢	N;NOM;MASC;SG;3	N
تکثیر	超	تکثیر	超	N;NOM;MASC;SG;3	N
تکثیر	乗算	تکثیر	乗算	N;NOM;MASC;SG;3	N
تکثیر	乗法	تکثیر	乗法	N;NOM;MASC;SG;3	N
تکثیف	縮合	تکثیف	縮合	N;NOM;MASC;SG;3	N
تکرار	論争	تکرار	論争	N;NOM;MASC;SG;3	N
تکرار	論証	تکرار	論証	N;NOM;MASC;SG;3	N
تکرار	反復	تکرار	反復	N;NOM;MASC;SG;3	N
تکرار	論争	تکرار	論争	N;NOM;MASC;SG;3	N
تکرار	論証	تکرار	論証	N;NOM;MASC;SG;3	N
تکرار	反復	تکرار	反復	N;NOM;MASC;SG;3	N
تکریم	名誉	تکریم	名誉	N;NOM;MASC;SG;3	N
تکریم	名誉	تکریم	名誉	N;NOM;MASC;SG;3	N
تکریم	リスペクト	تکریم	リスペクト	N;NOM;MASC;SG;3	N
تکلُّف	トラブル	تکلُّف	トラブル	N;NOM;MASC;SG;3	N
تکلُّف	儀式	تکلُّف	儀式	N;NOM;MASC;SG;3	N
تکلُّف	式典	تکلُّف	式典	N;NOM;MASC;SG;3	N
تکلیف	トラブル	تکلیف	トラブル	N;NOM;FEM;SG;3	N
تکلیف	痛み	تکلیف	痛み	N;NOM;FEM;SG;3	N
تکمُّلی	積分	تکمُّلی	積分	N;NOM;MASC;SG;3	N
تکمیل	終端	تکمیل	終端	N;NOM;MASC;SG;3	N
تکمیل	結論	تکمیل	結論	N;NOM;MASC;SG;3	N
تکمیل	エンディング	تکمیل	エンディング	N;NOM;MASC;SG;3	N
تکمیل	終端	تکمیل	終端	N;NOM;MASC;SG;3	N
تکمیل	結論	تکمیل	結論	N;NOM;MASC;SG;3	N
تکمیل	エンディング	تکمیل	エンディング	N;NOM;MASC;SG;3	N
تکمیل	竣工	تکمیل	竣工	N;NOM;MASC;SG;3	N
تِکھارنا	証明	تِکھار	証明	V;SG;NFIN;ACT	V
تِکھارنا	確認	تِکھار	確認	V;SG;NFIN;ACT	V
تگ	フライング	تگ	フライング	N;NOM;MASC;SG;3	N
تگ	ランニング	تگ	ランニング	N;NOM;MASC;SG;3	N
تلاش	捜査	تلاش	捜査	N;NOM;FEM;SG;3	N
تلاش	クエスト	تلاش	クエスト	N;NOM;FEM;SG;3	N
تلاش	捜査	تلاش	捜査	N;NOM;FEM;SG;3	N
تلافی	報酬	تلافی	報酬	N;NOM;MASC;SG;3	N
تلافی	報酬	تلافی	報酬	N;NOM;MASC;SG;3	N
تلاقی	同	تلاقی	同	ADJ	ADJ
تلخی	苦味	تلخی	苦味	N;NOM;MASC;SG;3	N
تلخی	辛味	تلخی	辛味	N;NOM;MASC;SG;3	N
تلف	損失	تلف	損失	N;NOM;MASC;SG;3	N
تلف	費用	تلف	費用	N;NOM;MASC;SG;3	N
تلف	経費	تلف	経費	N;NOM;MASC;SG;3	N
تلی	ボトム	تلی	ボトム	N;NOM;FEM;SG;3	N
تلے	以下	تلا	以下	N;NOM;MASC;SG;3	N
تلے	以下	تلا	以下	N;NOM;MASC;SG;3	N
تمازت	フラッシュ	تمازت	フラッシュ	N;NOM;FEM;SG;3	N
تمثیل	類	تمثیل	類	N;NOM;MASC;SG;3	N
تمثیل	類	تمثیل	類	N;NOM;MASC;SG;3	N
تمثیل	ドラマ	تمثیل	ドラマ	N;NOM;MASC;SG;3	N
تمغہ	ディプロマ	تمغہ	ディプロマ	N;NOM;MASC;SG;3	N
تمغہ	メダル	تمغہ	メダル	N;NOM;MASC;SG;3	N
تمغہ	デコレーション	تمغہ	デコレーション	N;NOM;MASC;SG;3	N
تمہید	マネジメント	تمہید	マネジメント	N;NOM;MASC;SG;3	N
تمہید	マネージメント	تمہید	マネージメント	N;NOM;MASC;SG;3	N
تمہید	序文	تمہید	序文	N;NOM;MASC;SG;3	N
تمہید	編曲	تمہید	編曲	N;NOM;MASC;SG;3	N
تمہید	マネジメント	تمہید	マネジメント	N;NOM;MASC;SG;3	N
تمہید	マネージメント	تمہید	マネージメント	N;NOM;MASC;SG;3	N
تمہید	序文	تمہید	序文	N;NOM;MASC;SG;3	N
تمہید	編曲	تمہید	編曲	N;NOM;MASC;SG;3	N
تمیز	センス	تمیز	センス	N;NOM;MASC;SG;3	N
تمیز	感覚	تمیز	感覚	N;NOM;MASC;SG;3	N
تمیز	カテゴリー	تمیز	カテゴリー	N;NOM;MASC;SG;3	N
تمیز	区分	تمیز	区分	N;NOM;MASC;SG;3	N
تمیز	カテゴリ	تمیز	カテゴリ	N;NOM;MASC;SG;3	N
تمیز	資格	تمیز	資格	N;NOM;MASC;SG;3	N
تمیز	審判	تمیز	審判	N;NOM;MASC;SG;3	N
تنازعہ	論争	تنازعہ	論争	N;NOM;MASC;SG;3	N
تناظُر	遠近	تناظُر	遠近	N;NOM;MASC;SG;3	N
تناظُر	遠近	تناظُر	遠近	N;NOM;MASC;SG;3	N
تناظُر	視点	تناظُر	視点	N;NOM;MASC;SG;3	N
تناظُر	シナリオ	تناظُر	シナリオ	N;NOM;MASC;SG;3	N
تنافُس	競技	تنافُس	競技	N;NOM;MASC;SG;3	N
تنافُس	コンペ	تنافُس	コンペ	N;NOM;MASC;SG;3	N
تنافُس	競争	تنافُس	競争	N;NOM;MASC;SG;3	N
تنافُس	コンペティション	تنافُس	コンペティション	N;NOM;MASC;SG;3	N
تنافُس	コンテスト	تنافُس	コンテスト	N;NOM;MASC;SG;3	N
تنبل	怠け者	تنبل	怠け者		
تنبیہ	訓戒	تنبیہ	訓戒	N;NOM;MASC;SG;3	N
تنتر	加持	تنتر	加持	N;NOM;MASC;SG;3	N
تنتر	チャーム	تنتر	チャーム	N;NOM;MASC;SG;3	N
تنتر	魅力	تنتر	魅力	N;NOM;MASC;SG;3	N
تنتری	音楽家	تنتری	音楽家	N;NOM;MASC;SG;3	N
تنتری	ミュージシャン	تنتری	ミュージシャン	N;NOM;MASC;SG;3	N
تنخواہ	給料	تنخواہ	給料	N;NOM;MASC;SG;3	N
تنخواہ	俸給	تنخواہ	俸給	N;NOM;MASC;SG;3	N
تنخواہ	給与	تنخواہ	給与	N;NOM;MASC;SG;3	N
تنخواہ	賃金	تنخواہ	賃金	N;NOM;MASC;SG;3	N
تنخواہ	給料	تنخواہ	給料	N;NOM;MASC;SG;3	N
تنخواہ	俸給	تنخواہ	俸給	N;NOM;MASC;SG;3	N
تنخواہ	給与	تنخواہ	給与	N;NOM;MASC;SG;3	N
تنخواہ	賃金	تنخواہ	賃金	N;NOM;MASC;SG;3	N
تنظیم	パーティ	تنظیم	パーティ	N;NOM;FEM;SG;3	N
تنظیم	パーティー	تنظیم	パーティー	N;NOM;FEM;SG;3	N
تنظیم	団体	تنظیم	団体	N;NOM;FEM;SG;3	N
تنظیم	組織	تنظیم	組織	N;NOM;FEM;SG;3	N
تنظیم	パーティ	تنظیم	パーティ	N;NOM;FEM;SG;3	N
تنظیم	パーティー	تنظیم	パーティー	N;NOM;FEM;SG;3	N
تنظیم	団体	تنظیم	団体	N;NOM;FEM;SG;3	N
تنظیم	組織	تنظیم	組織	N;NOM;FEM;SG;3	N
تنظیم	編曲	تنظیم	編曲	N;NOM;FEM;SG;3	N
تنفُّر	バージョン	تنفُّر	バージョン	N;NOM;MASC;SG;3	N
تنفُّر	反感	تنفُّر	反感	N;NOM;MASC;SG;3	N
تنفیذ	発行	تنفیذ	発行	N;NOM;MASC;SG;3	N
تنقیح	決済	تنقیح	決済	N;NOM;MASC;SG;3	N
تنقیح	集落	تنقیح	集落	N;NOM;MASC;SG;3	N
تنقیح	捜査	تنقیح	捜査	N;NOM;MASC;SG;3	N
تنقیح	クリーニング	تنقیح	クリーニング	N;NOM;MASC;SG;3	N
تنقیح	洗浄	تنقیح	洗浄	N;NOM;MASC;SG;3	N
تنقید	レビュー	تنقید	レビュー	N;NOM;FEM;SG;3	N
تنقید	審査	تنقید	審査	N;NOM;FEM;SG;3	N
تنقید	評論	تنقید	評論	N;NOM;FEM;SG;3	N
تنقیض	野党	تنقیض	野党	N;NOM;MASC;SG;3	N
تنگ	圧縮	تنگ	圧縮	V;ACT	V
تنگ	圧縮	تنگ	圧縮	V;ACT	V
تنگی	貧困	تنگی	貧困	N;NOM;FEM;SG;3	N
تنومند	健康	تنومند	健康	ADJ	ADJ
تنومند	強い	تنومند	強い	ADJ	ADJ
تنومند	濃い	تنومند	濃い	ADJ	ADJ
تنی	共有	تنی	共有	V;PFV;FEM;SG;V.PTCP;ACT	V
تنی	引き分け	تنی	引き分け	V;PFV;FEM;SG;V.PTCP;ACT	V
توازُن	平衡	توازُن	平衡	N;NOM;MASC;SG;3	N
توازُن	残高	توازُن	残高	N;NOM;MASC;SG;3	N
توازُن	バランス	توازُن	バランス	N;NOM;MASC;SG;3	N
توانا	ヘルシー	توانا	ヘルシー	N;NOM;MASC;SG;3	N
توانائی	権力	توانائی	権力	N;NOM;FEM;SG;3	N
توانائی	パワー	توانائی	パワー	N;NOM;FEM;SG;3	N
توانائی	能力	توانائی	能力	N;NOM;FEM;SG;3	N
توانائی	体力	توانائی	体力	N;NOM;FEM;SG;3	N
توانائی	強度	توانائی	強度	N;NOM;FEM;SG;3	N
توانائی	エネルギー	توانائی	エネルギー	N;NOM;FEM;SG;3	N
توانائی	権力	توانائی	権力	N;NOM;FEM;SG;3	N
توانائی	パワー	توانائی	パワー	N;NOM;FEM;SG;3	N
توانائی	能力	توانائی	能力	N;NOM;FEM;SG;3	N
توانائی	体力	توانائی	体力	N;NOM;FEM;SG;3	N
توانائی	強度	توانائی	強度	N;NOM;FEM;SG;3	N
توپنا	埋める	توپنا	埋める	V;MASC;SG;V.PTCP;ACT	V
تودہ	スタック	تودہ	スタック	N;NOM;MASC;SG;3	N
تودہ	ヒープ	تودہ	ヒープ	N;NOM;MASC;SG;3	N
تودہ	スタック	تودہ	スタック	N;NOM;MASC;SG;3	N
تودہ	ヒープ	تودہ	ヒープ	N;NOM;MASC;SG;3	N
توڑ	回答	توڑ	回答	V;ACT	V
توڑ	答え	توڑ	答える	V;ACT	V
توڑ	答弁	توڑ	答弁	V;ACT	V
توڑ	速報	توڑ	速報	V;ACT	V
توڑ	救済	توڑ	救済	V;ACT	V
توڑ	違反	توڑ	違反	V;ACT	V
توڑ	休憩	توڑ	休憩	V;ACT	V
توڑ	区切り	توڑ	区切り	V;ACT	V
توڑا	不足	توڑا	不足	V;PFV;MASC;SG;V.PTCP;ACT	V
توڑنا	破壊	توڑ	破壊	V;MASC;SG;NFIN;ACT	V
توڑنا	割り込み	توڑ	割り込む	V;MASC;SG;NFIN;ACT	V
توڑنا	落胆	توڑ	落胆	V;MASC;SG;NFIN;ACT	V
توڑنا	散布	توڑ	散布	V;MASC;SG;NFIN;ACT	V
توڑنا	分ける	توڑ	分ける	V;MASC;SG;NFIN;ACT	V
توڑنا	分割	توڑ	分割	V;MASC;SG;NFIN;ACT	V
توڑنا	休憩	توڑ	休憩	V;MASC;SG;NFIN;ACT	V
توڑنا	区切り	توڑ	区切り	V;MASC;SG;NFIN;ACT	V
توقُّر	威厳	توقُّر	威厳	N;NOM;MASC;SG;3	N
توقُّر	品格	توقُّر	品格	N;NOM;MASC;SG;3	N
توقُّر	尊厳	توقُّر	尊厳	N;NOM;MASC;SG;3	N
توقُّف	ストップ	توقُّف	ストップ	N;NOM;MASC;SG;3	N
تولنا	見積もり	تولنا	見積もり	V;MASC;SG;V.PTCP;ACT	V
تولنا	見積もり	تولنا	見積もり	V;MASC;SG;V.PTCP;ACT	V
تہدید	訓戒	تہدید	訓戒	N;NOM;MASC;SG;3	N
تہدید	脅威	تہدید	脅威	N;NOM;MASC;SG;3	N
تہذیب	文化	تہذیب	文化	N;NOM;MASC;SG;3	N
تہذیب	カルチャー	تہذیب	カルチャー	N;NOM;MASC;SG;3	N
تہذیب	マナー	تہذیب	マナー	N;NOM;MASC;SG;3	N
تہذیب	文化	تہذیب	文化	N;NOM;MASC;SG;3	N
تہذیب	カルチャー	تہذیب	カルチャー	N;NOM;MASC;SG;3	N
تہذیب	マナー	تہذیب	マナー	N;NOM;MASC;SG;3	N
تہذیب	文明	تہذیب	文明	N;NOM;MASC;SG;3	N
تہنیت	あいさつ	تہنیت	あいさつ	N;NOM;MASC;SG;3	N
تہوار	フェスティバル	تہوار	フェスティバル	N;NOM;MASC;SG;3	N
تہوار	祭事	تہوار	祭事	N;NOM;MASC;SG;3	N
تہوار	祭り	تہوار	祭り	N;NOM;MASC;SG;3	N
تہوار	お	تہوار	お	N;NOM;MASC;SG;3	N
تِیتری	バタフライ	تِیتری	バタフライ	N;NOM;MASC;SG;3	N
تیز	知的	تیز	知的	ADJ	ADJ
تیز	知的	تیز	知的	ADJ	ADJ
تیز	鋭い	تیز	鋭い	ADJ	ADJ
تیز	賢い	تیز	賢く	ADJ	ADJ
تیزی	輝度	تیزی	輝度	N;NOM;MASC;SG;3	N
تیزی	光度	تیزی	光度	N;NOM;MASC;SG;3	N
تیزی	精神	تیزی	精神	N;NOM;MASC;SG;3	N
تیزی	スピリット	تیزی	スピリット	N;NOM;MASC;SG;3	N
تیزی	速度	تیزی	速度	N;NOM;MASC;SG;3	N
تیزی	スピード	تیزی	スピード	N;NOM;MASC;SG;3	N
تیزی	辛味	تیزی	辛味	N;NOM;MASC;SG;3	N
تیزی	暴力	تیزی	暴力	N;NOM;MASC;SG;3	N
تیزی	輝度	تیزی	輝度	N;NOM;MASC;SG;3	N
تیزی	光度	تیزی	光度	N;NOM;MASC;SG;3	N
تیزی	精神	تیزی	精神	N;NOM;MASC;SG;3	N
تیزی	スピリット	تیزی	スピリット	N;NOM;MASC;SG;3	N
تیزی	速度	تیزی	速度	N;NOM;MASC;SG;3	N
تیزی	スピード	تیزی	スピード	N;NOM;MASC;SG;3	N
تیزی	辛味	تیزی	辛味	N;NOM;MASC;SG;3	N
تیزی	暴力	تیزی	暴力	N;NOM;MASC;SG;3	N
تیسُّر	可用性	تیسُّر	可用性	N;NOM;MASC;SG;3	N
تیسُّر	施設	تیسُّر	施設	N;NOM;MASC;SG;3	N
تیمارداری	看護	تیمارداری	看護	N;NOM;MASC;SG;3	N
تھاپ	蛇口	تھاپ	蛇口	N;NOM;MASC;SG;3	N
تھاپنا	タップ	تھاپنا	タップ	V;SG;NFIN;ACT	V
تھامنا	拘留	تھامنا	拘留	V;SG;NFIN;ACT	V
تھامنا	保護	تھامنا	保護	V;SG;NFIN;ACT	V
تھامنا	サポート	تھامنا	サポート	V;SG;NFIN;ACT	V
تھامنا	支持	تھامنا	支持	V;SG;NFIN;ACT	V
تھامنا	拘留	تھامنا	拘留	V;SG;NFIN;ACT	V
تھامنا	保護	تھامنا	保護	V;SG;NFIN;ACT	V
تھامنا	停止	تھامنا	停止	V;SG;NFIN;ACT	V
تھامنا	サポート	تھامنا	サポート	V;SG;NFIN;ACT	V
تھامنا	支持	تھامنا	支持	V;SG;NFIN;ACT	V
تھان	品種	تھان	品種		
تھُتکاری	魔女	تھُتکاری	魔女	N;NOM;MASC;SG;3	N
تھُتکاری	スリッパ	تھُتکاری	スリッパ	N;NOM;MASC;SG;3	N
تھُتھانا	うねり	تھاتھانا	うねり	V;MASC;SG;NFIN;ACT	V
تھتھلنا	散布	تھتھل	散布	V;SG;NFIN;ACT	V
تھتھلنا	溶ける	تھتھل	溶ける	V;SG;NFIN;ACT	V
تِھجنا	停止	تِھجنا	停止	V;SG;NFIN;ACT	V
تِھجنا	滞在	تِھجنا	滞在	V;SG;NFIN;ACT	V
تھُڑنا	減らす	تھاڑنا	減らす	V;NFIN	V
تھکانا	疲労	تھکا	疲労	V;PFV;MASC;SG;V.PTCP;ACT	V
تُھکتھُکانا	憎悪	تُھکتھُکانا	憎悪	V;MASC;SG;NFIN;ACT	V
تُھکتھُکانا	憎しみ	تُھکتھُکانا	憎しみ	V;MASC;SG;NFIN;ACT	V
تُھکتھُکانا	軽蔑	تُھکتھُکانا	軽蔑	V;MASC;SG;NFIN;ACT	V
تھکنا	落ちる	تھک	落ちる	V;MASC;SG;V.PTCP;ACT	V
تھکنا	落下	تھک	落下	V;MASC;SG;V.PTCP;ACT	V
تھکنا	落ちる	تھک	落ちる	V;MASC;SG;V.PTCP;ACT	V
تھکنا	落下	تھک	落下	V;MASC;SG;V.PTCP;ACT	V
تھم	投稿	تھم	投稿	V;ACT	V
تھم	投稿	تھم	投稿	V;ACT	V
تھمنا	停止	تھمنا	停止	V;MASC;SG;NFIN;ACT	V
تھمنا	停止	تھمنا	停止	V;MASC;SG;NFIN;ACT	V
تھوپنا	割り当て	تھوپ	割り当てる	V;MASC;SG;NFIN;ACT	V
تھوپنا	割り当て	تھوپ	割り当てる	V;MASC;SG;NFIN;ACT	V
تھوپنا	課す	تھوپ	課す	V;MASC;SG;NFIN;ACT	V
تھوپنا	責め	تھوپ	責める	V;MASC;SG;NFIN;ACT	V
تھوپنا	割り当て	تھوپ	割り当てる	V;MASC;SG;NFIN;ACT	V
تھوپنا	割り当て	تھوپ	割り当てる	V;MASC;SG;NFIN;ACT	V
تھوپنا	課す	تھوپ	課す	V;MASC;SG;NFIN;ACT	V
تھوپنا	責め	تھوپ	責める	V;MASC;SG;NFIN;ACT	V
تُھورنا	食べる	تُھورنا	食べる	V;SG;NFIN;ACT	V
تھوڑا	小さい	تھوڑ	小さい	ADJ;NOM;MASC;SG	ADJ
تھوڑا	小さい	تھوڑ	小さい	ADJ;NOM;MASC;SG	ADJ
تُھوک	唾液	تُھوک	唾液		
تُھوکنا	軽蔑	تھھوکنا	軽蔑	V;SG;NFIN;ACT	V
ٹاپ	蛇口	ٹاپ	蛇口	N;NOM;MASC;SG;3	N
ٹاپتے	放浪	ٹاپ	放浪	V;IPFV;MASC;PL;V.PTCP;ACT	V
ٹاپتے	さまよう	ٹاپ	さまよう	V;IPFV;MASC;PL;V.PTCP;ACT	V
ٹال	回避	ٹال	回避	V;ACT	V
ٹالا	回避	ٹالا	回避	V;PFV;MASC;SG;V.PTCP;ACT	V
ٹالنا	延期	ٹال	延期	V;SG;NFIN;ACT	V
ٹانچنا	盗む	ٹانچنا	盗む	V;MASC;SG;NFIN;ACT	V
ٹانکابھرنا	縫う	ٹانکابھرنا	縫う	V;SG;NFIN;ACT	V
ٹانکنا	飲み込む	ٹانکنا	飲み込む	V;SG;NFIN;ACT	V
ٹانکنا	参加	ٹانکنا	参加	V;SG;NFIN;ACT	V
ٹپکنا	割り込み	ٹپکنا	割り込む	V;SG;ACT	V
ٹپکنا	死ぬ	ٹپکنا	死ぬ	V;SG;ACT	V
ٹپکنا	流れ	ٹپکنا	流れる	V;SG;ACT	V
ٹپکنا	漏洩	ٹپکنا	漏洩	V;SG;ACT	V
ٹپنا	飛躍	ٹپنا	飛躍	V;MASC;SG;NFIN;ACT	V
ٹکرانا	比較	ٹکرانا	比較	V;MASC;SG;NFIN;ACT	V
ٹکڑا	師団	ٹکڑا	師団	N;NOM;MASC;SG;3	N
ٹکڑا	パート	ٹکڑا	パート	N;NOM;MASC;SG;3	N
ٹکڑا	部分	ٹکڑا	部分	N;NOM;MASC;SG;3	N
ٹکڑا	分数	ٹکڑا	分数	N;NOM;MASC;SG;3	N
ٹکڑا	ビット	ٹکڑا	ビット	N;NOM;MASC;SG;3	N
ٹکڑا	条項	ٹکڑا	条項	N;NOM;MASC;SG;3	N
ٹکڑا	セクション	ٹکڑا	セクション	N;NOM;MASC;SG;3	N
ٹکڑا	ピース	ٹکڑا	ピース	N;NOM;MASC;SG;3	N
ٹکسالی	ピュア	ٹکسالی	ピュア	N;NOM;MASC;SG;3	N
ٹکسالی	本物	ٹکسالی	本物	N;NOM;MASC;SG;3	N
ٹکسالی	本物	ٹکسالی	本物	N;NOM;MASC;SG;3	N
ٹِکنا	座る	ٹِکنا	座る	V;MASC;SG;ACT	V
ٹِکنا	耐える	ٹِکنا	耐える	V;MASC;SG;ACT	V
ٹِکنا	滞在	ٹِکنا	滞在	V;MASC;SG;ACT	V
ٹِکنا	停止	ٹِکنا	停止	V;MASC;SG;ACT	V
ٹگرانا	流れ	ٹگرانا	流れる	V;MASC;SG;NFIN;ACT	V
ٹگرنا	散策	ٹگر	散策	V;MASC;SG;NFIN;ACT	V
