και	e	και	e	CONJ	CONJ
ποιήματα	poemas	ποίημα	poema	N;NOM;NEUT;PL	N
έντονα	fortemente	έντονα	forte	ADV	ADV
στόχος	obxectivo	στόχος	obxectivo	N;NOM;MASC;SG	N
στόχος	obxectivo	στόχος	obxectivo	N;NOM;MASC;SG	N
δημιουργεί	crea	δημιουργώ	crear	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
άνοιξη	primavera	άνοιξη	primavera	N;NOM;FEM;SG	N
ηλικίας	anos	ηλικία	ano	N;GEN;FEM;SG	N
ηλικίας	idade	ηλικία	idade	N;GEN;FEM;SG	N
ηλικίας	anos	ηλικία	ano	N;GEN;FEM;SG	N
σκοπός	propósito	σκοπός	propósito	N;NOM;MASC;SG	N
σκοπός	fin	σκοπός	fin	N;NOM;MASC;SG	N
σκοπός	intención	σκοπός	intención	N;NOM;MASC;SG	N
σκοπός	obxectivo	σκοπός	obxectivo	N;NOM;MASC;SG	N
λόγια	palabras	λόγος	palabra	N;NOM;NEUT;PL	N
λόγια	verbas	λόγος	verba	N;NOM;NEUT;PL	N
παραλία	praia	παραλία	praia	N;NOM;FEM;SG	N
συνεχώς	constantemente	συνεχώς	constante	ADV	ADV
μικρότερο	menor	μικρός	menor	ADJ;NOM;CMPR;NEUT;SG	ADJ
μικρότερο	pequenos	μικρός	pequeno	ADJ;NOM;CMPR;NEUT;SG	ADJ
μικρότερο	pequenas	μικρός	pequeno	ADJ;NOM;CMPR;NEUT;SG	ADJ
μικρότερο	menor	μικρός	menor	ADJ;NOM;CMPR;NEUT;SG	ADJ
μικρότερο	pequeno	μικρός	pequeno	ADJ;NOM;CMPR;NEUT;SG	ADJ
σώματα	corpos	σώμα	corpo	N;NOM;NEUT;PL	N
σώματα	corpo	σώμα	corpo	N;NOM;NEUT;PL	N
εξαίρεση	excepción	εξαίρεση	excepción	N;ACC;FEM;SG	N
εξαίρεση	excepcións	εξαίρεση	excepción	N;ACC;FEM;SG	N
αιτία	razón	αιτία	razón	N;NOM;FEM;SG	N
αιτία	motivo	αιτία	motivo	N;NOM;FEM;SG	N
αιτία	pola	αιτία	pola	N;NOM;FEM;SG	N
αιτία	causa	αιτία	causa	N;NOM;FEM;SG	N
ξεκινά	comeza	ξεκινός	comezar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
ξεκινά	comeza	ξεκινός	comezar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
ξεκινά	empeza	ξεκινός	empezar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
πολιτισμός	cultura	πολιτισμός	cultura	N;NOM;MASC;SG	N
πολιτισμός	cultivo	πολιτισμός	cultivo	N;NOM;MASC;SG	N
πολιτισμός	civilización	πολιτισμός	civilización	N;NOM;MASC;SG	N
τράπεζα	banco	τράπεζα	banco	N;NOM;FEM;SG	N
τράπεζα	ribeira	τράπεζα	ribeira	N;NOM;FEM;SG	N
τράπεζα	penedo	τράπεζα	pener	N;NOM;FEM;SG	N
τράπεζα	citybank	τράπεζα	citybank	N;NOM;FEM;SG	N
διαφορετική	diferentes	διαφορετικός	diferente	ADJ;NOM;FEM;SG	ADJ
διαφορετική	distintas	διαφορετικός	distinto	ADJ;NOM;FEM;SG	ADJ
διαφορετική	distinto	διαφορετικός	distinto	ADJ;NOM;FEM;SG	ADJ
διαφορετική	distintos	διαφορετικός	distinto	ADJ;NOM;FEM;SG	ADJ
διαφορετική	diferente	διαφορετικός	diferente	ADJ;NOM;FEM;SG	ADJ
εκκλησίες	igrexas	εκκλησία	igrexa	N;NOM;FEM;PL	N
πύργος	torre	πύργος	torre	N;NOM;MASC;SG	N
σχολεία	escolas	σχολείο	escola	N;NOM;NEUT;PL	N
συζητήσεις	debates	συζήτηση	debate	N;NOM;FEM;PL	N
συζητήσεις	discusións	συζήτηση	discusión	N;NOM;FEM;PL	N
αρχαίο	antiga	αρχαίος	antigo	ADJ;NOM;NEUT;SG	ADJ
αρχαίο	antigas	αρχαίος	antigo	ADJ;NOM;NEUT;SG	ADJ
προώθηση	promoción	προώθηση	promoción	N;ACC;FEM;SG	N
προώθηση	ascenso	προώθηση	ascenso	N;ACC;FEM;SG	N
επίσκοπος	bispo	επίσκοπος	bispo	N;NOM;MASC;SG	N
πλούσια	ricos	πλούσιος	rico	ADJ;NOM;FEM;SG	ADJ
πλούσια	rica	πλούσιος	rico	ADJ;NOM;FEM;SG	ADJ
πλούσια	rico	πλούσιος	rico	ADJ;NOM;FEM;SG	ADJ
παράσταση	espectáculo	παράσταση	espectáculo	N;ACC;FEM;SG	N
περάσει	pasar	περνώ	pasar	V;PFV;NFIN;ACT	V
περάσει	pase	περνώ	pase	V;PFV;NFIN;ACT	V
σοφία	sensatez	σοφία	sensatez	N;NOM;FEM;SG	N
σοφία	sabiduría	σοφία	sabiduría	N;NOM;FEM;SG	N
σοφία	sabedoría	σοφία	sabedoría	N;NOM;FEM;SG	N
δυνατόν	posible	δυνατός	posible	ADJ;NOM;NEUT;SG	ADJ
δυνατόν	posíbel	δυνατός	posíbel	ADJ;NOM;NEUT;SG	ADJ
αναγνώριση	identificación	αναγνώριση	identificación	N;ACC;FEM;SG	N
αναγνώριση	documento	αναγνώριση	documento	N;ACC;FEM;SG	N
αναγνώριση	identidade	αναγνώριση	identidade	N;ACC;FEM;SG	N
αναγνώριση	recoñecemento	αναγνώριση	recoñecemento	N;ACC;FEM;SG	N
τάγμα	batallón	τάγμα	batallón	N;NOM;NEUT;SG	N
άκρο	fuga	άκρο	fugar	N;NOM;NEUT;SG	N
σήμα	sinal	σήμα	sinal	N;NOM;NEUT;SG	N
χρόνος	momento	χρόνος	momento	N;NOM;MASC;SG	N
χρόνος	tempo	χρόνος	tempo	N;NOM;MASC;SG	N
χρόνος	vez	χρόνος	vez	N;NOM;MASC;SG	N
χρόνος	hora	χρόνος	hora	N;NOM;MASC;SG	N
πράξεις	operacións	πράξη	operación	N;NOM;FEM;PL	N
πράξεις	actos	πράξη	acto	N;NOM;FEM;PL	N
πράξεις	accións	πράξη	acción	N;NOM;FEM;PL	N
δυνατό	forte	δυνατός	forte	ADJ;NOM;NEUT;SG	ADJ
δυνατό	fortes	δυνατός	forte	ADJ;NOM;NEUT;SG	ADJ
βασιλείς	reis	βασίλης	rei	N;NOM;MASC;PL	N
επάνω	arriba	επάνω	arriba	ADV	ADV
ύφος	estilo	ύφος	estilo	N;NOM;NEUT;SG	N
χώρους	espacios	χώρος	espacio	N;ACC;MASC;PL	N
χώρους	espazos	χώρος	espazo	N;ACC;MASC;PL	N
παραστάσεις	programas	παράσταση	programa	N;NOM;FEM;PL	N
παρακαλώ	favor	παρακαλώ	favor	N;VOC;FEM;SG	N
παράγοντες	axentes	παράγοντας	axente	N;NOM;MASC;PL	N
παράγοντες	factores	παράγοντας	factor	N;NOM;MASC;PL	N
αστέρας	estrela	αστέρα	estrela	N;NOM;MASC;SG	N
φυτά	plantas	φυτώ	planta	N;NOM;NEUT;PL	N
αγίων	santos	άγιος	santo	N;GEN;NEUT;PL	N
τεχνολογία	tecnoloxía	τεχνολογία	tecnoloxía	N;NOM;FEM;SG	N
όπλα	brazos	όπλο	brazo	N;NOM;NEUT;PL	N
όπλα	armas	όπλο	arma	N;NOM;NEUT;PL	N
όπλα	armas	όπλο	arma	N;NOM;NEUT;PL	N
όπλα	armamento	όπλο	armamento	N;NOM;NEUT;PL	N
όπλα	arma	όπλο	arma	N;NOM;NEUT;PL	N
όπλα	armas	όπλο	arma	N;NOM;NEUT;PL	N
όπλα	fusís	όπλο	fuso	N;NOM;NEUT;PL	N
όπλα	armados	όπλο	armar	N;NOM;NEUT;PL	N
όπλα	metralladoras	όπλο	metrallador	N;NOM;NEUT;PL	N
έκρηξη	explosión	έκρηξη	explosión	N;ACC;FEM;SG	N
βασιλικό	royal	βασιλικός	royal	ADJ;NOM;NEUT;SG	ADJ
βασιλικό	real	βασιλικός	real	ADJ;NOM;NEUT;SG	ADJ
πάρκο	parque	πάρκο	parque	N;NOM;NEUT;SG	N
ποίηση	poesía	ποίηση	poesía	N;NOM;FEM;SG	N
εθνών	nacións	εθνό	nación	N;GEN;NEUT;PL	N
ανατολικό	próximo	ανατολικός	próximo	ADJ;NOM;NEUT;SG	ADJ
ανατολικό	orientais	ανατολικός	oriental	ADJ;NOM;NEUT;SG	ADJ
ανατολικό	oriental	ανατολικός	oriental	ADJ;NOM;NEUT;SG	ADJ
ερείπια	ruínas	ερείπιο	ruína	N;NOM;NEUT;PL	N
ασφάλεια	seguridade	ασφάλεια	seguridade	N;NOM;FEM;SG	N
ασφάλεια	seguridade	ασφάλεια	seguridade	N;NOM;FEM;SG	N
ασφάλεια	seguro	ασφάλεια	seguro	N;NOM;FEM;SG	N
ασφάλεια	seguros	ασφάλεια	seguro	N;NOM;FEM;SG	N
γραφείο	oficina	γραφείο	oficinar	N;NOM;NEUT;SG	N
γραφείο	despacho	γραφείο	despacho	N;NOM;NEUT;SG	N
γραφείο	correo	γραφείο	correo	N;NOM;NEUT;SG	N
γραφείο	despacho	γραφείο	despacho	N;NOM;NEUT;SG	N
γραφείο	mesa	γραφείο	mesa	N;NOM;NEUT;SG	N
καθημερινή	daily	καθημερινός	daily	ADJ;NOM;FEM;SG	ADJ
εσωτερική	interno	εσωτερικός	interno	ADJ;NOM;FEM;SG	ADJ
εσωτερική	interna	εσωτερικός	interno	ADJ;NOM;FEM;SG	ADJ
απλή	simples	απλός	simple	ADJ;NOM;FEM;SG	ADJ
απλή	simple	απλός	simple	ADJ;NOM;FEM;SG	ADJ
απλή	sinxelo	απλός	sinxelo	ADJ;NOM;FEM;SG	ADJ
απλή	sinxela	απλός	sinxela	ADJ;NOM;FEM;SG	ADJ
αρχεία	arquivos	αρχείο	arquivo	N;NOM;NEUT;PL	N
αρχεία	discos	αρχείο	disco	N;NOM;NEUT;PL	N
διάκριση	discriminación	διάκριση	discriminación	N;ACC;FEM;SG	N
διάκριση	diferenza	διάκριση	diferenza	N;ACC;FEM;SG	N
διάκριση	distinción	διάκριση	distinción	N;ACC;FEM;SG	N
εβδομάδες	semanas	εβδομάδα	semana	N;NOM;FEM;PL	N
επιστολή	carta	επιστολή	carta	N;ACC;FEM;SG	N
επιστολή	letra	επιστολή	letra	N;ACC;FEM;SG	N
πιθανότητα	probabilidade	πιθανότητα	probabilidade	N;ACC;FEM;SG	N
πιθανότητα	posibilidade	πιθανότητα	posibilidade	N;ACC;FEM;SG	N
πέρασμα	noroeste	πέρασμα	noroeste	N;NOM;NEUT;SG	N
πέρασμα	pasaxe	πέρασμα	pasaxe	N;NOM;NEUT;SG	N
πέρασμα	paso	πέρασμα	paso	N;NOM;NEUT;SG	N
γύρος	redondo	γύρος	redordo	N;NOM;MASC;SG	N
γύρος	redondos	γύρος	redondo	N;NOM;MASC;SG	N
γύρος	xira	γύρος	xira	N;NOM;MASC;SG	N
γερμανικό	alemán	γερμανικός	alemán	ADJ;NOM;NEUT;SG	ADJ
γερμανικό	alemana	γερμανικός	alemanar	ADJ;NOM;NEUT;SG	ADJ
βρετανική	británico	βρετανικός	británico	ADJ;NOM;FEM;SG	ADJ
βρετανική	británica	βρετανικός	británico	ADJ;NOM;FEM;SG	ADJ
βρετανική	británicos	βρετανικός	británico	ADJ;NOM;FEM;SG	ADJ
βρετανική	británicas	βρετανικός	británico	ADJ;NOM;FEM;SG	ADJ
βρετανική	inglesa	βρετανικός	inglesa	ADJ;NOM;FEM;SG	ADJ
συγκρούσεις	conflito	σύγκρουση	conflito	N;NOM;FEM;PL	N
χειμώνα	inverno	χειμώνω	inverno	N;NOM;NEUT;PL	N
εταιρείες	empresas	εταιρεία	empresa	N;NOM;FEM;PL	N
εταιρείες	corporacións	εταιρεία	corporación	N;NOM;FEM;PL	N
εταιρείες	empresas	εταιρεία	empresa	N;NOM;FEM;PL	N
εταιρείες	compañías	εταιρεία	compañía	N;NOM;FEM;PL	N
εφημερίδες	xornais	εφημερίδα	xornal	N;NOM;FEM;PL	N
εφημερίδες	xornal	εφημερίδα	xornal	N;NOM;FEM;PL	N
εφημερίδες	xornais	εφημερίδα	xornal	N;NOM;FEM;PL	N
εφημερίδες	prensa	εφημερίδα	prensa	N;NOM;FEM;PL	N
εφημερίδες	papeis	εφημερίδα	papel	N;NOM;FEM;PL	N
εφημερίδες	prensa	εφημερίδα	prensa	N;NOM;FEM;PL	N
εφημερίδες	xornal	εφημερίδα	xornal	N;NOM;FEM;PL	N
εφημερίδες	xornais	εφημερίδα	xornal	N;NOM;FEM;PL	N
χρήματα	cartos	χρήμα	carto	N;NOM;NEUT;PL	N
χρήματα	diñeiro	χρήμα	diñeiro	N;NOM;NEUT;PL	N
χρήματα	xiro	χρήμα	xiro	N;NOM;NEUT;PL	N
τραγουδίστρια	cantante	τραγουδίστρια	cantante	N;NOM;FEM;SG	N
κλίμακα	escala	κλίμακα	escala	N;NOM;FEM;SG	N
μέλλον	futuro	μέλλον	futuro	N;NOM;NEUT;SG	N
κύκλος	círculo	κύκλος	círculo	N;NOM;MASC;SG	N
κύκλος	ciclo	κύκλος	ciclo	N;NOM;MASC;SG	N
νωρίτερα	antes	νωρίς	antes	ADV;CMPR	ADV
νωρίτερα	máis	νωρίς	máis	ADV;CMPR	ADV
νωρίτερα	cedo	νωρίς	cedo	ADV;CMPR	ADV
σκοτώθηκε	mataron	σκοτώνω	matar	V;PFV;IND;SG;3;PST;FIN;PASS	V
σκοτώθηκε	matou	σκοτώνω	matar	V;PFV;IND;SG;3;PST;FIN;PASS	V
σκοτώθηκε	asasinado	σκοτώνω	asasinar	V;PFV;IND;SG;3;PST;FIN;PASS	V
εφαρμογές	aplicacións	εφαρμογή	aplicación	N;NOM;FEM;PL	N
αλλάξει	cambiou	αλλάζω	cambiar	V;PFV;NFIN;ACT	V
αλλάξει	cambiei	αλλάζω	cambiar	V;PFV;NFIN;ACT	V
αιώνες	séculos	αιώνας	século	N;NOM;MASC;PL	N
χτίστηκε	construida	χτίζω	construida	V;PFV;IND;SG;3;PST;FIN;PASS	V
χτίστηκε	construíu	χτίζω	construír	V;PFV;IND;SG;3;PST;FIN;PASS	V
χτίστηκε	construín	χτίζω	construír	V;PFV;IND;SG;3;PST;FIN;PASS	V
χτίστηκε	construímos	χτίζω	construír	V;PFV;IND;SG;3;PST;FIN;PASS	V
ιστορίες	historias	ιστορία	historia	N;NOM;FEM;PL	N
βρετανικό	británico	βρετανικός	británico	ADJ;NOM;NEUT;SG	ADJ
βρετανικό	británica	βρετανικός	británico	ADJ;NOM;NEUT;SG	ADJ
βρετανικό	británicos	βρετανικός	británico	ADJ;NOM;NEUT;SG	ADJ
βρετανικό	británicas	βρετανικός	británico	ADJ;NOM;NEUT;SG	ADJ
βρετανικό	inglesa	βρετανικός	inglesa	ADJ;NOM;NEUT;SG	ADJ
έρευνες	investigación	έρευνα	investigación	N;NOM;FEM;PL	N
έρευνες	investigacións	έρευνα	investigación	N;NOM;FEM;PL	N
εκλογή	elección	εκλογή	elección	N;NOM;FEM;SG	N
εκλογή	eleccións	εκλογή	elección	N;NOM;FEM;SG	N
κάνοντας	fai	κάνω	facer	V;IPFV;V.CVB;ACT	V
κάνοντας	facer	κάνω	facer	V;IPFV;V.CVB;ACT	V
κάνοντας	facendo	κάνω	facer	V;IPFV;V.CVB;ACT	V
κάνοντας	fas	κάνω	fase	V;IPFV;V.CVB;ACT	V
κάνοντας	facer	κάνω	facer	V;IPFV;V.CVB;ACT	V
κάνοντας	facendo	κάνω	facer	V;IPFV;V.CVB;ACT	V
ρίζες	raíces	ρίζη	raíz	N;NOM;FEM;PL	N
μερικοί	algo	μερικοί	algo	PRO;NOM;MASC;PL;3	PRO
ποιητές	poetas	ποιητής	poeta	N;NOM;MASC;PL	N
σύνδεση	conexión	σύνδεση	conexión	N;NOM;FEM;SG	N
σύνδεση	enlace	σύνδεση	enlace	N;NOM;FEM;SG	N
αυτοκίνητα	coches	αυτοκίνητο	coche	N;NOM;NEUT;PL	N
αυτοκίνητα	coche	αυτοκίνητο	coche	N;NOM;NEUT;PL	N
αυτοκίνητα	autos	αυτοκίνητο	auto	N;NOM;NEUT;PL	N
πλευρές	lados	πλευρά	lado	N;NOM;FEM;PL	N
πλευρές	bandos	πλευρά	bando	N;NOM;FEM;PL	N
πλευρές	caras	πλευρά	cara	N;NOM;FEM;PL	N
τεράστια	enormes	τεράστιος	enorme	ADJ;NOM;FEM;SG	ADJ
τεράστια	enorme	τεράστιος	enorme	ADJ;NOM;FEM;SG	ADJ
τεράστια	gran	τεράστιος	gran	ADJ;NOM;FEM;SG	ADJ
τεράστια	xigante	τεράστιος	xigante	ADJ;NOM;FEM;SG	ADJ
τεράστια	grande	τεράστιος	grande	ADJ;NOM;FEM;SG	ADJ
τεράστια	enorme	τεράστιος	enorme	ADJ;NOM;FEM;SG	ADJ
τεράστια	enormes	τεράστιος	enorme	ADJ;NOM;FEM;SG	ADJ
νούμερο	número	νούμερος	número	N	N
δίνοντας	dar	δίνω	dar	V;IPFV;V.CVB;ACT	V
καφέ	marróns	καφένας	marrón	N;NOM;NEUT;SG	N
καφέ	marrón	καφένας	marrón	N;NOM;NEUT;SG	N
καφέ	café	καφένας	café	N;NOM;NEUT;SG	N
οδός	ruta	οδός	ruta	N;NOM;FEM;SG	N
οδός	rúa	οδός	rúa	N;NOM;FEM;SG	N
οδός	estrada	οδός	estrada	N;NOM;FEM;SG	N
οδός	camiño	οδός	camiño	N;NOM;FEM;SG	N
συμπεριλαμβανομένων	incluíndo	συμπεριλαμβανόμενος	incluír	V;PFV;GEN;FEM;PL;V.PTCP;PASS	V
συμπεριλαμβανομένων	incluído	συμπεριλαμβανόμενος	incluír	V;PFV;GEN;FEM;PL;V.PTCP;PASS	V
συμπεριλαμβανομένων	incluídos	συμπεριλαμβανόμενος	incluír	V;PFV;GEN;FEM;PL;V.PTCP;PASS	V
κάνω	facer	κάνω	facer	V;IPFV;IND;SG;1;PRS;FIN;ACT	V
άμυνας	defensa	άμυνα	defensa	N;GEN;FEM;SG	N
μάτια	ollos	μάτι	ollo	N;NOM;NEUT;PL	N
εκδηλώσεις	eventos	εκδήλωση	evento	N;NOM;FEM;PL	N
εκδηλώσεις	sucesos	εκδήλωση	suceso	N;NOM;FEM;PL	N
εκδηλώσεις	feitos	εκδήλωση	feito	N;NOM;FEM;PL	N
εκδηλώσεις	adversos	εκδήλωση	adverso	N;NOM;FEM;PL	N
εκδηλώσεις	xuntanzas	εκδήλωση	xuntanza	N;NOM;FEM;PL	N
εκδηλώσεις	acontecementos	εκδήλωση	acontecemento	N;NOM;FEM;PL	N
ποικιλία	diversidade	ποικιλία	diversidade	N;NOM;FEM;SG	N
ποικιλία	variedade	ποικιλία	variedade	N;NOM;FEM;SG	N
δολοφονία	asasinatos	δολοφονία	asasinato	N;NOM;FEM;SG	N
δολοφονία	homicidio	δολοφονία	homicidio	N;NOM;FEM;SG	N
δολοφονία	asasinato	δολοφονία	asasinato	N;NOM;FEM;SG	N
δολοφονία	asasino	δολοφονία	asasino	N;NOM;FEM;SG	N
παρασκευή	venres	παρασκευή	venre	N;FEM	N
καθήκοντα	tarefas	καθήκον	tarefa	N;NOM;NEUT;PL	N
απώλειες	perda	απώλεια	perda	N;NOM;FEM;PL	N
απώλειες	perdas	απώλεια	perda	N;NOM;FEM;PL	N
απώλειες	baixas	απώλεια	baixa	N;NOM;FEM;PL	N
κινητήρα	máquina	κινητήρας	máquina	N;ACC;MASC;SG	N
κινητήρα	motor	κινητήρας	motor	N;ACC;MASC;SG	N
κινητήρα	motoras	κινητήρας	motora	N;ACC;MASC;SG	N
κινητήρα	motor	κινητήρας	motor	N;ACC;MASC;SG	N
αντικαταστάθηκε	substituída	αντικαθιστώ	substituír	V;PFV;IND;SG;3;PST;FIN;PASS	V
απλό	simples	απλός	simple	ADJ;NOM;NEUT;SG	ADJ
απλό	simple	απλός	simple	ADJ;NOM;NEUT;SG	ADJ
απλό	sinxelo	απλός	sinxelo	ADJ;NOM;NEUT;SG	ADJ
απλό	sinxela	απλός	sinxela	ADJ;NOM;NEUT;SG	ADJ
απλό	claro	απλός	claro	ADJ;NOM;NEUT;SG	ADJ
εβδομάδα	semana	εβδομάδα	semanar	N;ACC;FEM;SG	N
εβδομάδα	á	εβδομάδα	á	N;ACC;FEM;SG	N
έρχεται	vir	έρχομαι	vir	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
έρχεται	vén	έρχομαι	vir	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
έρχεται	vou	έρχομαι	var	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
επιστήμες	ciencia	επιστήμα	ciencia	N;NOM;FEM;PL	N
επιστήμες	ciencias	επιστήμα	ciencia	N;NOM;FEM;PL	N
επιστήμες	cencia	επιστήμα	cencia	N;NOM;FEM;PL	N
αυλή	patio	αυλός	patio	N;ACC;FEM;SG	N
αυλή	xardín	αυλός	xardír	N;ACC;FEM;SG	N
αυλή	pendente	αυλός	pendente	N;ACC;FEM;SG	N
επαγγελματική	profesional	επαγγελματικός	profesional	ADJ;NOM;FEM;SG	ADJ
γαλλικό	francesa	γαλλικός	francesar	ADJ;NOM;NEUT;SG	ADJ
γαλλικό	francesas	γαλλικός	francesa	ADJ;NOM;NEUT;SG	ADJ
φήμη	reputación	φήμη	reputación	N;ACC;FEM;SG	N
φήμη	sona	φήμη	sona	N;ACC;FEM;SG	N
δημοσίευσε	no	δημοσιεύω	no	V;PFV;IND;SG;3;PST;FIN;ACT	V
κόλπο	truco	κόλπος	truco	N;ACC;MASC;SG	N
τύμπανα	drum	τύμπανο	drum	N;NOM;NEUT;PL	N
τύμπανα	tambores	τύμπανο	tambor	N;NOM;NEUT;PL	N
ανακάλυψη	descubrimento	ανακάλυψη	descubrimento	N;ACC;FEM;SG	N
διαφορές	diferenzas	διαφορά	diferenza	N;NOM;FEM;PL	N
κινήσεις	movementos	κίνηση	movemento	N;NOM;FEM;PL	N
νόμπελ	nobel	νόμπελ	nobel	N;NOM;NEUT;SG	N
κανονική	normal	κανονικός	normal	ADJ;NOM;FEM;SG	ADJ
κανονική	típica	κανονικός	típico	ADJ;NOM;FEM;SG	ADJ
κανονική	normal	κανονικός	normal	ADJ;NOM;FEM;SG	ADJ
αδελφή	irmá	αδελφή	irmán	N;NOM;FEM;SG	N
έπεσε	caeu	πέφτω	caeu	V;PFV;IND;SG;3;PST;FIN;ACT	V
έπεσε	namorou	πέφτω	namorar	V;PFV;IND;SG;3;PST;FIN;ACT	V
έπεσε	adormeceu	πέφτω	adormecer	V;PFV;IND;SG;3;PST;FIN;ACT	V
άγαλμα	estatua	άγαλμα	estatua	N;NOM;NEUT;SG	N
βορρά	norte	βορράς	norte	N;ACC;MASC;SG	N
δύσκολο	difícil	δύσκολος	difícil	ADJ;NOM;NEUT;SG	ADJ
δύσκολο	duro	δύσκολος	duro	ADJ;NOM;NEUT;SG	ADJ
δύσκολο	difícil	δύσκολος	difícil	ADJ;NOM;NEUT;SG	ADJ
δύσκολο	dificil	δύσκολος	dificil	ADJ;NOM;NEUT;SG	ADJ
προσπαθεί	intenta	προσπαθώ	intentar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
προσπαθεί	tenta	προσπαθώ	tentar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
προσπαθεί	tentando	προσπαθώ	tentar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
προσπαθεί	intentando	προσπαθώ	intentar	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
αριθμούς	números	αριθμός	número	N;ACC;MASC;PL	N
αριθμούς	das	αριθμός	das	N;ACC;MASC;PL	N
αριθμούς	número	αριθμός	número	N;ACC;MASC;PL	N
στρατόπεδο	campo	στρατόπεδο	campo	N;NOM;NEUT;SG	N
στρατόπεδο	campamento	στρατόπεδο	campamento	N;NOM;NEUT;SG	N
στρατόπεδο	acampamento	στρατόπεδο	acampamento	N;NOM;NEUT;SG	N
εννέα	9	εννέα	9	NUM;NOM;NEUT;PL	NUM
διαφορετικό	diferentes	διαφορετικός	diferente	ADJ;NOM;NEUT;SG	ADJ
διαφορετικό	distintas	διαφορετικός	distinto	ADJ;NOM;NEUT;SG	ADJ
διαφορετικό	distinto	διαφορετικός	distinto	ADJ;NOM;NEUT;SG	ADJ
διαφορετικό	distintos	διαφορετικός	distinto	ADJ;NOM;NEUT;SG	ADJ
διαφορετικό	diferente	διαφορετικός	diferente	ADJ;NOM;NEUT;SG	ADJ
αλήθεια	verdade	αλήθεια	verdade	N;NOM;FEM;SG	N
αλήθεια	verdade	αλήθεια	verdade	N;NOM;FEM;SG	N
αλήθεια	verdade	αλήθεια	verdade	N;NOM;FEM;SG	N
ποσότητα	cantidade	ποσότητα	cantidade	N;NOM;FEM;SG	N
διαδρομή	ruta	διαδρομή	ruta	N;ACC;FEM;SG	N
διαδρομή	camiño	διαδρομή	camiño	N;ACC;FEM;SG	N
διαδρομή	senda	διαδρομή	senda	N;ACC;FEM;SG	N
έκφραση	expresión	έκφραση	expresión	N;ACC;FEM;SG	N
υπολογιστή	ordenador	υπολογιστής	ordenador	N;ACC;MASC;SG	N
υπολογιστή	computador	υπολογιστής	computador	N;ACC;MASC;SG	N
υπολογιστή	ordenadores	υπολογιστής	ordenador	N;ACC;MASC;SG	N
προσφορά	poxa	προσφορά	poxa	N;ACC;FEM;SG	N
προσφορά	oferta	προσφορά	oferta	N;ACC;FEM;SG	N
παρατηρήσεις	comentarios	παρατήρηση	comentario	N;NOM;FEM;PL	N
δίκη	ensaio	δίκη	ensaio	N;NOM;FEM;SG	N
δίκη	xuízo	δίκη	xuízo	N;NOM;FEM;SG	N
δίκη	proceso	δίκη	proceso	N;NOM;FEM;SG	N
σχόλια	comentarios	σχόλιο	comentario	N;NOM;NEUT;PL	N
νομική	xudicial	νομικός	xudicial	ADJ;NOM;FEM;SG	ADJ
νομική	legal	νομικός	legal	ADJ;NOM;FEM;SG	ADJ
νομική	legais	νομικός	legal	ADJ;NOM;FEM;SG	ADJ
γράμμα	carta	γράμμα	carta	N;NOM;NEUT;SG	N
γράμμα	letra	γράμμα	letra	N;NOM;NEUT;SG	N
πνεύμα	espírito	πνεύμα	espírito	N;NOM;NEUT;SG	N
βουνά	montañas	βουνό	montaña	N;NOM;NEUT;PL	N
βουνά	das	βουνό	das	N;NOM;NEUT;PL	N
βουνά	andes	βουνό	ande	N;NOM;NEUT;PL	N
βουνά	montes	βουνό	monte	N;NOM;NEUT;PL	N
βουνά	montaña	βουνό	montaña	N;NOM;NEUT;PL	N
βουνά	monte	βουνό	monte	N;NOM;NEUT;PL	N
συμφωνώ	concordo	συμφωνώ	concordo	V;IPFV;IND;SG;1;PRS;FIN;ACT	V
γενιά	xeración	γενιά	xeración	N;NOM;FEM;SG	N
κατανομή	crise	κατανομή	crise	N;NOM;FEM;SG	N
κατανομή	depresión	κατανομή	depresión	N;NOM;FEM;SG	N
κατανομή	distribución	κατανομή	distribución	N;NOM;FEM;SG	N
κλειστό	pechado	κλειστός	pechado	N;NOM;NEUT;SG	N
κλειστό	sondaxes	κλειστός	sondaxe	N;NOM;NEUT;SG	N
αυτοκίνητο	coche	αυτοκίνητο	coche	N;NOM;NEUT;SG	N
αυτοκίνητο	auto	αυτοκίνητο	auto	N;NOM;NEUT;SG	N
αυτοκίνητο	carro	αυτοκίνητο	carro	N;NOM;NEUT;SG	N
εξαρτάται	depende	εξαρτώ	depender	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
εξαρτάται	da	εξαρτώ	da	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
δικαιοσύνης	xustiza	δικαιοσύνη	xustiza	N;GEN;FEM;SG	N
